#META#TextURIYuain	-----|------|----|
#META#DEA F	-----|---⌫|
#META#F EW	-----|-⌫-|
#META #ARLIMAhttp s//www.arlima.net/ad/chreti en_de_troyes.htm l# li o	-----⌫|-----|----⌫---------------------------⌫----------------⌫--⌫--⌫|
#MET A#AuthorChrétien deTr oye s	----⌫-|-----|--------|-|--⌫---⌫|
#M ETA # AuthorBorn	--⌫---⌫|---------|
#META#AuthorBornAmb	-----|------------|
#META#Auth orDied	-----|----⌫-----|
# META #AuthorDiedAmb	-⌫----⌫|------------|
#META #Aut horFl1	-----⌫|---⌫-----|
#M ETA# A utho rFl2	--⌫---|-⌫----⌫---|
# META# Te xtTitleYuain	-⌫----|--⌫------|----|
#ME TA#TextSubtitleLe Cheualier	---⌫--|-----------|-|--------|
#META# Textuol s	-----|-------⌫|
#META#TextS ubi romance	-----|-----⌫--|------|
#META#Tex tDo mlit	-----|---⌫---⌫|--|
# META#Translationfalse	-⌫----|----------|----|
#META#Collection	-----|---------|
#META#C oll ectionNo	-----|-⌫---⌫-------|
#META#TextDescARLu ersoctosyllabiquesàrimes	-----|----------|-⌫--|--------------|-|----|
#META#TextDesc uers8	-----|--------⌫---||
# META# TextDateARL 1178-1181	-⌫----|----------|--------|
#META # TextDateAdi	-----⌫|----------|
#META# Text D ateMin1178	-----|----⌫-⌫-----|---|
#ME TA#TextDateMax1181	---⌫--|----------|---|
# META# EdE dit or	-⌫----|---⌫---⌫-|
#M ETA# EdPl ace	--⌫---|----⌫--|
#META # EdPublisher	-----⌫|----------|
#META#Eduol	-----|----|
#META#EdYear	-----|-----|
#ME TA# EdPages	---⌫--|------|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
# META# MsN um	-⌫----|---⌫-|
#M ETA#MsDateARL	--⌫---|--------|
# META #MsDateAd i	-⌫----⌫|--------⌫|
#META # Form	-----⌫|---|
#META#Complete	-----|-------|
#M ETA#N oWord s	--⌫---|-⌫-----⌫|
#META#N oLin es	-----|-⌫----⌫-|
#META#Dial Auth	-----|----⌫---|
#META#Dial Scribe	-----|----⌫-----|
#META#Scan URL https //fr.wikisource.org/wiki/Yuain_ou_le_Cheualie r_a u_Lion	-----|----⌫--|-----⌫---------------------------------------------⌫---⌫-----|
#META#ScanURI Oth er	-----|-------⌫---⌫-|
# META# Ark ID	-⌫----|---⌫-|
#META#L cc nID	-----|-⌫--⌫--|
#META#Oclc ID	-----|----⌫-|
#META#WebAuthor	-----|--------|
#META#O RCIDWe bAutho r	-----|-⌫------⌫------⌫|
#META#WebReuiewer	-----|----------|
#META#ORC IDRe uiewer	-----|---⌫----⌫-----|
#META#Mis cInfo	-----|---⌫----|
unknownedi tion	------|---⌫---|
C onment eleporroit prouuer	-⌫-----|--|------|------|
Conporro itcheu alier t rouuer	|-|-----⌫-|----⌫----|-⌫-----|
Melleurconque s nefuse ssire	------||-----⌫|-|-|--⌫|---|
Moutuolenti e rs l i orroi t	---|-------⌫-⌫-|-⌫|-----⌫|
Mais eleli	---|--|-|
adeffendu.	|--------|
En cestuoloiraatendu	-|---|-----||-----|
I usquesa tantquechelereuint	-⌫-----||---|--|----|-----|
Maisonques deffens enen tint	---|-----|-------⌫||-|---|
Puisliredit	---|-|----|
tout maint enan t	---|-----⌫----⌫|
es t cheorea uenant	--⌫|--|--|-⌫-----|
Quesi deduel	--|-|-|---|
uo usoc hiés	--⌫-|--⌫----|
PourDieu caruousenchastiés	---|---|--|---|-|--------|
Silaiss iésseuiax non pour h onte	-|-----⌫---|-----|--|---|-⌫---|
A sihautefenme nemonte	|-|----|----|-|----|
Que duelsi longuemen tma intiengne.	--|---|-|---------⌫|--⌫---------|
Deuost rehonnoruousre souu i engne	-|----⌫-|-----|---|--⌫----⌫-⌫----|
Etde uostre grant	-|-|-----|----|
gen tillesce.	---⌫--------|
Cuidiés uous quetout e	-------|---|--|----⌫|
Soit morte a uecuostreseignor	---|----|-⌫--|-----|------|
C hentaussi boi nsetchentme llor	-⌫---|----|---⌫-|-|----|--⌫---|
Ensontr e mésparm ile monde.	-|---|-⌫-⌫---|----⌫|-|-----|
-Setumemen sDixteconfonde	|-|-|-|---⌫|--|-|-------|
Etnepourqua nt.i. seul	-|---------⌫-|--|---|
men n onme	|-|-⌫---|
Quiaitte smoing de si	--|--|--⌫-----|-|-|
Con me mesires otsonaé.	---⌫-|------|-|--|---|
Etsi uousen courecheriés	-|-|---|-|------------|
en re manecheriés.	-|--⌫------------|
ferai ieten ass eür.	----|-||-|---⌫----|
Elerespon tA	--|------⌫||
Quiuous pui stt ousiou rs aue nir	--|---|---⌫-|-⌫------⌫-|---⌫--|
Sei luous ueno i t aplaisir.	-|-⌫|---|----⌫-⌫||-------|
EtchedoinstDix	-|--|-----|--|
quei luou spl aise	--|-⌫|---⌫|--⌫---|
ieme tais e	-|-|----⌫|
Quen usne nousotne escou te.	--|-⌫-|-|---|-|-|-----⌫--|
uousme te n résiatostpour sote	---|-|--⌫-⌫---|-|---|---|---|
Maisiediraibien	---|-|----|---|
ch eme samble	--⌫|-|-----|
Quant.ii. cheual ierssont	----|---|------⌫---|---|
e nsa mble	-⌫---⌫---|
uenansarm ez enbataille	-----|---⌫-|-|-------|
Liquiexcuid iezu ousquimiex uaille	-|----|----⌫--|-⌫--|--|---|-----|
Quant liunsalaut r econquis	----|-|--|||---⌫-⌫|------|
Endroitdem oid oinie	------|-|-⌫-|-⌫--|-|
Au uainqu eor .Et	-|------⌫---⌫|-|
uousq uef ai tes	---|-⌫-|-⌫--⌫--|
-Ilm e st a ui s quetu magaites	|-||-⌫-|-⌫--⌫|--|-||------|
Sim eueuza	-|-⌫|---||
paroleprendre .	-----|-------⌫|
-P ar foy uous	|-⌫-|--|---|
po ezb ienentendre	--⌫-|-⌫--|-------|
men uoizparmileuoir	|-|---|----|-|---|
Etsi leprin s pares tou u o ir	-|-|-|----⌫|--|--⌫---⌫-⌫-⌫-|
Quemiexuau tcilqui	--|---|---⌫|--|--|
uostresegnour queiln ef ist	-----|------|--|-|-⌫|-⌫--|
Il le conquistetc el	-|-|-------|-|-⌫-|
Parhardem entenduquescha	--|------⌫--|-------|--|
Siq ueil enclost ensameson.	-|-⌫-|-|------|-|-|-----|
oyfetell ede srason	-|--|---⌫|--⌫-----|
L a plusgrantqueonquesfus tdi te .	-⌫|---|----|--|-----|---⌫|--⌫--⌫|
Fui plainedemalespe ri te.	--|-----|-|--|----⌫--⌫--|
Fuigarcefole etaniouse.	--|----|---|-|-------|
Ne direia meztell e	-|---|--⌫--|----⌫|
Nedeuantmoiiameznenuiengnes	-|-----|--|----||-|-------|
Por c oydeluipa role tie ngnes.	--|-⌫-|-|--|--⌫---|---⌫-----|
-Ce rtesdame bien	|--⌫---|---|---|
Queiadeuo usgrénen aur oie	--|-|-|--⌫-|---||-|---⌫--|
Et iel uousdimoutbien	-|--|---|-|---|---|
meüstese nconuant	|------|-⌫|------|
Q ue iayren	-⌫-|-|--||
en auerriez	-|-------|
Ne mau grénem ensauriez.	-|---⌫---|-||-|-------|
Mal m auezmon	--||---|--|
conu ant te n u.	----⌫--|--⌫-⌫-|
Orsimest einssiauen u	-|-||--|-----|----⌫|
Quedi t mauezuostreplaisir	--|--⌫||---|-----|------|
Si aiperd u. i.bo ntaisi r .	-|-|----⌫|-⌫-|--⌫|-----⌫-⌫|
Atantuersla chamb re retourne	----|---|-|-----⌫-|-------|
L aoume sire	-⌫|-|--⌫---|
Yuai nsseiourne	----⌫-|-------|
Que elleg ade*amoutgra nt	--|---|-⌫---||---|---⌫-|
Me zniachose qui	--⌫||||----|--|
Qua ntla da me ueoi rnepu et	---⌫-|-|--⌫-|----⌫|-|--⌫-|
Et delplaitque	-|--|----|--|
ce lleli muet	--⌫--|-|---|
Nes en garde nenen	-||-|----|-||-|
Mezlada m e	--|-|--⌫-⌫|
t ou tenuitout	-⌫--⌫-|---|--|
A limeïs megranttençon	|-|-----⌫-|----|------|
Touteuoi e fu encui senson	--------⌫|-|-|---⌫-----|
Desafontaine garant i r.	-|-|-------|------⌫-⌫-|
Si ceconmencearepentir	-|-|-------||-------|
elleauoitblas mee	---|----|----⌫--|
Etlaidie etmesa mee	-|-----|-|----⌫--|
Car elle esttout e seureet c e rte	--|---|--|----⌫|----|-|-⌫-⌫--|
loier nepor deserte	----|-|--|------|
Ne poramorqu e a lui	-|--|---|--⌫||--|
onques e m	-----|-⌫|
aime elleliquelui	---|---|-|--|--|
Nesab iauténesonannui	-|-|-⌫-----|-|--|----|
Neliche le roi telle	-|-|---⌫--⌫---⌫|---|
C artropestsa	-⌫-|---|--|-|
loiaus amie.	-----|----|
Estes uousla dame changiee	----|---|-|---|-------|
De celique lle outledan gié	-|---|-|-⌫--|--|-----⌫---|
Necu idei ame zan ul fuer	-|--⌫--|-⌫---⌫||-⌫-|---|
Queamerl a doi ede	--|---|-⌫|---⌫|-|
Etce lui q u	-|--⌫--|-⌫|
A m outlaiaumente scusé	|-⌫--|--------|-⌫-----|
Par r aisonetpardroit	--|-⌫----|-|--|----|
Quene liauo it	--|-|-|---⌫-|
pasfor fa it.	--|---⌫--⌫--|
Sicedesra in etout ausi	-|-|-----⌫--⌫|---|---|
ilfustuenusdeu antli	-|---|----|---⌫--|-|
Sise con m ence a plaidoier	-|-|---⌫-⌫---||--------|
uafetelle puez	-|--|---|---|
Qu e partoinesoitmor zmesir e	--⌫|--|--|-|---|---⌫|-----⌫|
il ne puige desdire	-|-|--|-|------|
Ainzl otr oybie n . -Di	---||---⌫-|---⌫-⌫||-|
doncporcoy.	---|--|---|
Feïsletupormal demoy	----|-|-|--|--|-|--|
Por h aïne nepordesp i t	--|-⌫----|-|--|----⌫-⌫|
mor trespit	---⌫|-----|
Sonques pormal	|-----|--|--|
deuouslefis.	-|---|-|---|
-Dontnasturi en s uers	|---||-|-|--⌫--⌫|---|
moi mespris	--|------|
Ne uers luineüs tu nu l tort	-|---|--||---|-|--⌫|---|
Que cilpeüst ilteüst mort.	--||-|-----|-||----|----|
P o r cemi en esc ientcuitgié	-⌫-⌫|-|--⌫-|---⌫---|---|---|
aiadroit et bieni ugié.	-||----|-|---|-⌫-----|
Ainssi parlimeïs mepruesue	-----|--|-|-----⌫-|------|
Qued roitsenzetraisoni tr ueu e	--|-⌫---|---|-|-----||--⌫---⌫|
Que enliha ïrne*ellenuldroit	--|-|-|--⌫--|--|---|--|----|
Siditcequeelleuouroit	-|--|-|--|---|------|
Parlim eïsmes	--|-|-⌫------|
Ausintconlabuchequ i fume	-----|--|-|----|--⌫|---|
Tantquelaflames i es t	---|--|-|----|||--⌫|
Quenu lzn e la souflenatise.	--|--⌫-|-⌫|-|-----||-----|
Etsor uenoitladamoiselle	-||-|-----|-|---------|
Iadesraineroitlaquerelle	-|-----------|-|-------|
Dontelle latantplaidoiee	---|---|||---|--------|
estébien la idengiee.	----|---|--⌫--------|
Etellereuintp a rmatin	-|---|-----|-⌫-⌫|----|
7 6 d.17 86	-⌫-⌫----⌫-|
Si reconmenc e so nla tin	-|---------⌫|--⌫|--⌫--|
l auoit laissié.	|----|--------|
Qu iame sf aitecesauoit	--⌫||--⌫--⌫---|-|-----|
Dece que laydi e lauoit.	-|-|--|-----⌫||-----|
liuoud raam ende r	-|----⌫-|--⌫----⌫|
Et delc heuali e rdem ander	-|--|-⌫------⌫-⌫|---⌫----|
l estree tle l ingnage	|----|-⌫|-|-⌫------|
S isum elie commesage	-⌫||--⌫---|----|---|
Etdis tMercicrier uousu eil	-|---⌫|----|----|---|-⌫--|
Delgr an t outrage	--|--⌫--⌫|------|
e td elo rgue il	-⌫|-⌫||-⌫----⌫-|
Queieu ous ai	--|-|-⌫--|-|
dit conme foll e	--|----|----⌫|
Sirema indraya	-|----⌫-----||
uostreesco lle.	-----|----⌫---|
Mesditesmoyse uouss auez	--|----|--|-|---|-⌫---|
Lecheualie r dont uousmauez	-|--------⌫|---|---||---|
plaitsilongu emen t	----|-|-----⌫----⌫|
Quelzhonsestiletde	----|---|--|-|-|-|
est tiexquamo ya tiengne	--|---|-||--⌫|-⌫------|
ne rema ingne	-|----⌫----|
Iel e feray	-|-⌫|----|
ce uous otroy	-|---|----|
Segn eur dematerreetdemoy.	----⌫--|-|-|----|-|-|---|
M e s ille	-⌫-⌫|-|-|
conuenroi tcifaire	---------⌫|-|----|
Que on ne puiss e demoiretraire	--|-|-|-----⌫|-|--|-------|
Nedir eCe s tc ellequi prist	-|---⌫||-⌫-⌫|-⌫---|--|----|
Celiquison gneur*ocist .	---|--|---⌫-----|-----⌫|
- Enno nDieudame ainssi ier til.	|-|--⌫|---|---|-----|---⌫|--|
Segneurauroiz l epl u sgentil	------|-----|-⌫|--⌫-⌫|-----|
QuionquesfustdellinAbel.	--|-----|---|--|--|----|
-Conm ent aanon-	|----⌫--|||--||
Mesi reYuain.	----⌫-|-----|
-Parfoycilzn estmie	|--|--|---||--|--|
ui ll ai n	--⌫--⌫--⌫|
Ainzestm ou tfranzie le	---|--|-⌫--⌫|----|-|-|
Siestfilzle	-|--|---|-|
77a.18 1 9	------⌫-⌫|
-Parfoidameuousdites	|--|--|---|---|----|
- Etquantle pourronsn ous auoir	|-|----|-|-------|-⌫--|----|
- Desqua .u.iours.- Tr opdemouroit	|----||--|-----||--⌫-|--------|
Quemienueil	--|---|---|
ia uen us s eroit.	-|---⌫-|-⌫-----|
uiengne annu ito udema in seuiaus.	------|----⌫-|-⌫|----⌫-|-------|
-Dam e necuitpas	|---⌫|-|---|--|
cuns oisiaus	|--|------|
. i.io ur tan tuoler.	-⌫-|--⌫-|---⌫|-----|
Mezgey feraiia	--|-||----|-|
. I. mien gars sonquici tost	-⌫-|---|----⌫--|--|-|---|
Quiuabien des que alacor t	--|-|---|---⌫--||-|---⌫|
Lero yArtu aumien espoir	-|--⌫|---|-|---|-----|
Aum a inzde squ a demainassoir	-|-⌫-⌫--|--⌫--||-----|-----|
Queiu quelaniertiltrouuez.	--|--⌫--|-||---|-|-------|
-Ci l zt ermezesttrop	|--⌫-⌫|-⌫----|--|---|
lo ns asez	--⌫-|---|
Liiourso nt lon c.Mezditesli	-|---|--⌫-|---⌫-|--|----|-|
Quedemainau soir resoit ci	--|-----|-|---|-----|-|
Nenul e essoignene retiengne	-|---⌫|-------|-|--------|
Qued ema in ass oirci neuiengne	--|-⌫---⌫-|---⌫--|-|-|------|
Etau plustost queil ne seult.	-|-|---|---|--|-|-|-----|
Carsebienesfo rcierse ue ult	--|-|---|----⌫----|-|--⌫--|
Ferad e.ii. iournees une	---|-⌫|---|-------|--|
Et an qu enu itluirala lune	-|--⌫--⌫---⌫-|----|-|---|
S i reface delanu itio ur	-⌫|-----|-|-|--⌫-|--⌫-|
Etielid on rayaureto ur	-|-|-|-⌫--⌫--|-|----⌫-|
Quanque iluoud r aq u eielidoigne.	------|-|----⌫-⌫|-⌫-⌫|-|-|------|
- Sormoyla issiezcest e besongne	|--|--|--⌫-----|----⌫|-------|
Que uousla uroiz	--|---||-⌫----|
ent reuosmayns	---⌫-|--|----|
Ete n deme ntre smande roiz	-|-⌫-⌫----⌫----⌫|-----⌫---|
uos genzet c i demanderoi z	--|---|-|-⌫|----------⌫|
Conse ildelroyqui doit	-----⌫-|--|--|--|---|
Pourl acoustumemaintenir	---|-⌫|-------|--------|
Deuostref ontai nedef fandre	-|-----|-⌫-----⌫-|---⌫-----|
uousco nue nratelc onse ilprendre	---|--⌫---⌫--|--|-⌫----⌫-|------|
Etiln iauraiaci	-|-|||---|-|-|
Quis ostuanterqueily	--||--|-----|--|-||
Lorspouroizdire toutadroit	---|------|---|---||----|
Quemari er	--|----⌫-|
uous conuenro it.	---|--------⌫--|
Uns cheualiersmouta losez	--|---------|---|-⌫----|
uousrequiert	---|-------|
etuousne los és	-|---|-||--⌫--|
Prendrecilne uous	------||-|-|---|
lou enttuit.	---⌫--|----|
Etcep re nge bie n en	-|-|-⌫--⌫|-|---⌫|-|
co nno is geamal uaiz	--⌫---⌫-|-||---⌫---|
Quepour chargier	--|---|-------|
autruile fays	-----|-|---|
D ontilseroienttropch argié	-⌫--|-|-------|---|--⌫-----|
uousen uenront	---|-|------|
trestuit a upié	-------|-⌫|---|
Etsiuousenmercier ont	-|-|---|-|-------⌫--|
degrantpoourseront.	-|----|----|------|
Ca r quipooura desonombre	--⌫|--|----||-|--|----|
C i l p uetuolentierssedescombre	|-⌫|-⌫--|---------|-|--------|
Denc o nt re	|---⌫-⌫--⌫-|
delanceoude	-|----|-|-|
Quecest mauu aiz iuz a	--||--|----⌫--|--||
Et ladamerespontParfoy	-|-|---|------|--|--|
Ycelueilie	---|---|-|
e tc i lotroy	-⌫|-⌫||----|
Et ie lauoie iap enssé	-|-||----|-|-⌫-----|
Si c onuo uslauezd euisé	-|-⌫-|--⌫-||---|-⌫-----|
Et toutains silef eromnous.	-|---|----⌫-|-|-⌫---|----|
Me zpo rcoydemourez uous	--⌫|--⌫|--|-------|---|
plusn e d elai ez	---|-⌫|-⌫----⌫-|
Ieremaindr ai auecmezgenz .	-|--------⌫-|---|--|----⌫|
Ainssif inal iparlem en z.	-----|-⌫--|-⌫|------⌫--⌫-|
Etcell efai ntquelle	-|----⌫|---⌫-|-|---|
e nuoit querre	-⌫----|-----|
MonseignorYuai nen sa	---------|----⌫|-|-|
fetchascun iour b angnier	--|------|---|-⌫------|
E tlauer et a plennier	-⌫|----|-|-⌫-------|
Etaueccili	-|---|-|-|
a pareill e	-⌫-------⌫|
Robedeska ll a ste ue rmei lle	---||----⌫--⌫-⌫--|--⌫----⌫--|
De uai r flechieato utlacr oie.	-|---⌫|------||--⌫-|-|--⌫---|
N estr iensque lle	|--|-⌫---|-|-⌫--|
Queilconuiengnea liacesme r	--|-|---------||-|------⌫|
F ermaildorasoncol fe rm e r	-⌫-----||-||--|--|--⌫--⌫-⌫|
Ouur éa pierr e s	----⌫-||-----⌫-⌫|
p re cieusses	-⌫--⌫-------|
Qui m outf on tles biens	--|-⌫--|-⌫--⌫|--|----|
gracieusez	---------|
Sainturesteet	----------|-|
aum osniere	---⌫------|
d un eric he banniere	|--⌫|---⌫-|-------|
Bienla deltoutapareill ié.	---|||--|---|--------⌫---|
Etas adame conseil lié	-||-⌫|---|-------⌫---|
Quereuenus	--|------|
Si a esplo itiéconm esage .	-||-----⌫----|----⌫|----⌫|
Conm entf et	----⌫--|-⌫-|
elle. Quantuenra	----|----|----|
MesireY uain	-----|-⌫---|
- Saien zest ia.	|-----⌫|--|--|
-Saienzest il	|-----|--|-|
uiengnedont	------|---|
Cele ementetenrepost	----⌫----|-|-|-----|
Dementiersq uelezmo y	---------|-⌫-|--|--⌫|
Gardezquen en n*i uie ngne p l us	-----|--||-||-|---⌫---|-⌫-⌫-|
Carg iaur oie*m outle quart.	--|||---⌫---|-⌫--|-|-----|
Ladamoisele atantse n pa rt	-|--------|----||-⌫|--⌫-|
Ces t uen ueason	|--⌫|---⌫-||--|
ho steariere	--⌫--|-----|
Meznem ontr emieensa	--|-|-⌫----⌫|--|-|-|
Laioiequ enson cuer auoit	-|---|-|-|--|---|----|
A inzfaintq uesa	-⌫--|----|-⌫-|-|
dame sauoi t	---|-----⌫|
Quelle lauoit l aienzgardé	-|---||----|-⌫----|-----|
Etdist MesireYuainpourD é	-|---|-----|----|---|-⌫-|
mezmestiercelee.	--|------|-----|
De u ous esttantl a chozealee	-|-⌫--|--|---|-⌫|----|---|
Quema damel a	--|-|---|-⌫|
Qui mo ut menblasmeet mout	--|--⌫-||-|-----|-|---|
Etmoutmen aacoiso nnee	-|---||-||------⌫---|
Maiztelseürtémadonnee	---|--|-------|||-----|
Quedeuantliu ouspuisconduire	--|-----|-|-⌫--|---|-------|
Sanzuousderiensgreuerne nuire.	---|---|-|----|-----|-|-----|
N euousgreuera	-⌫|---|------|
r iensce cr oy	-⌫---|-|--⌫-|
F ors tantqu eie mentirne	-⌫--|---|--⌫|-|-----|-|
Queieferoietraïson	--|-|-----|-------|
Quelleuous ueut	-|---|---|---|
ensa priso n.	-|-|-----⌫-|
- Cer tes fetil ie	|---⌫--|--|-|-|
ueilmou t bien	---|---⌫|---|
Quene megreueraia rien	--|-|-|------|-|---|
Ensa prisonueiliebienestr e.	-|-|-----|---|-|---|----⌫-|
- Siser oi z	|-|---⌫--⌫|
uouspar lama in destre	---|--|-|--⌫-|-----|
Dont ieuous tiengOren	---|-|---|----|-|-|
loz uous conte ne z	--|---|-----⌫--⌫|
Sisimplementdeuantsafac e	-|---------|-----|-|---⌫|
Quemale priso n neuousface.	--|---|-----⌫|-|---|----|
Neporelneuousesma iez	-|--|-|-|---|----⌫--|
Ne cuitmieque uous	-|---|--|--|---|
Prison qui trop	-----|--|---|
uoussoit grie ue.	---|---|----⌫--|
Ladamoiselleainssil enmaine	-|---------|-----||------|
Si l esmar ri	-||-----⌫-|
et l aseüre	-||------|
Etparoleparcouuerture	-|-----|--|---------|
Delaprisono uilert	-|-|-----|-⌫|-|--|
Quesanzpris onnestnusami s	--|---|----⌫-||--|--|---⌫|
q ueprisonleclaime	-⌫-|-----|-|-----|
Quebieneste npri sonquia ime.	--|---|--|-⌫|---⌫--|--|-⌫---|
Lad am oiselle	-|-⌫--⌫------|
par lamain	--|-|---|
Enma ine monsegneurYuain	----⌫--|---------|----|
iliertmoutchie rtenuz	-|---|---|----⌫|----|
Sicrientilestre mal	-|-----|-|----|--|
Et ci lle crien t ne stpas	-||-⌫|-|-----⌫||-⌫-|--|
merueille.	---------|
Desor unecous teuermeille	----|--|----⌫-|--------|
True uer ent la dame s eant.	----⌫---⌫--|-|---|-⌫----|
Grantpoourceuousa creant	----|----|-|---|-⌫-----|
Otmesire Yuains alentree	-|-----|-----|||-----|
De la c ham breouil* trou uee	-|-|-⌫---⌫--|-|-||----⌫--|
La damene lord it nul	-|---|-|--|-⌫-|--|
Etpour c e	-|---|-⌫|
plus g r antpo ourot	---|-⌫-⌫--|--⌫--|-|
Sifu depao uresbahiz	-|-|-|---⌫-|------|
Queilcuidaes tre	--|-|----|--⌫--|
Etcestu t loi n scell eparla	-||----⌫|---⌫-⌫|----⌫|--|-|
Tantquelapucelle	---|--|-|------|
Etdi st .u.c dehaizai tfam e	-|--⌫-|---|-----|--⌫|---⌫|
Quim ai ne en chambreabel edame	--|-⌫--⌫-|-|------||---⌫|---|
Cheualierqui nesenaproc he	--------|--|-||-|-----⌫-|
Et qu inanelanguenebouch e	-|--⌫|||-|-----|-|-----⌫|
Neson d on tacointier se sache.	-|--|-⌫--⌫|--------|-|-----|
Aces tmot p arlepoingle sache	|---⌫|--|-⌫-|-|----|-|----|
Sili distEn sa	-|-|---|-|-|
uoustr aiez	---|--⌫---|
Cheualier et	--------|-|
poourn aiez	----||---|
De mada mequelleuous	-|-|--⌫-|-|---|---|
Mezquere zli pai z etacorde	--|-----⌫|-|---⌫|-|-----|
pro ieray auec uous	---⌫----|---|---|
Quelamor t	--|-|---⌫|
Esclados leRous	-------|-|---|
Quifu ses siresuouspardoint.	--|-|--|----|---|--------|
MesireYua insmaintena n t ioint	-----|---⌫--|--------⌫-⌫|----|
Lesmainz si cest a	--|----|-||--||
gen oulzmis	---⌫---|--|
Etlidist con me	-|-|---|---⌫-|
uraiz amis	----|---|
Dameia uoirnecrïer ay	---|-|---|-|------⌫-|
Merciain zuous m er cïeray	----|---⌫|---|-⌫--⌫------|
Dequ anqueuousm e	-|--⌫----|---|-⌫|
uouroiz fere	------|---|
Queriens nemeporroit	--|----|-|-|------|
desp lere.	----⌫----|
Etceieuous	-|-|-|---|
l auostregrant	-⌫|-----|----|
Queian e m enorroizdireel .	--|-|-⌫||-|-----|---|--⌫|
-Ainz maiz dit ellen	|---|---|--|---||
Queciuo usmetésade uise	--|-|--⌫-|-----||--⌫---|
Del to uten	--|--⌫-|-|
tout enm a fra nchise	---|-|-⌫|---⌫-----|
Sanzcequene	---|-|--|-|
uouse n effor z.	---|-⌫|-----⌫-|
- Damenuleforce	|---|---|----|
Nest co nmecellesanz	|--|--⌫--|----|---|
Qui meco nm andea	--|-|--⌫--⌫---||
uostreuouloirdet out entout.	-----|------|-|-⌫--|-|----|
Rie nzn ulle	---⌫-|-⌫---|
Q uei luouzplaise	-⌫-|-⌫|---|-----|
aconmander	|--------|
Etceieuouspoieamend er	-|-|-|---|---|-----⌫-|
La mort do ntienairie nzmeffait	-|---|--⌫-|-||-|---⌫-|------|
Ie l a mendero ies a nzplait.	-||-⌫-------⌫-|-⌫-⌫-|-----|
-Conm entfetelle.Orlemedites	|----⌫--|--|----|-|-|-|----|
Sis o iezdelamen de cuitez	-|-⌫-⌫--|-||----⌫-|-----|
C euou sde	-⌫|---⌫|-|
riensme meffeïst e z	----|-|---------⌫-⌫|
Quantuousmon	----|---|--|
seg nieur ocisistes .	---⌫----|---------⌫|
- Damefetiluost reme rci	|---|--|-|----⌫-|--⌫--|
Quan t uostresiremasailli	----⌫|-----|---||------|
Queltortoig e demoydef fe ndre	---|---|-|-⌫|-|--|---⌫--⌫---|
Quia utr uiueutocire	--|-⌫---⌫-|---|----|
Se cil *ocistquice d e ffent	-|--||----|--|-|-⌫-⌫----|
Di tezcede	--⌫--|-|-|
rienzy mespri s.	----||------⌫-|
- Nen ilqui bienigardea	|---⌫-|--|---||----||
Etiecui tq ueri ens n euaudroit	-|-|---⌫|-⌫-|--⌫--|-⌫|-------|
Quantfetocireuousaroie.	----|--|----|---|-----|
I ce moutu olen tiers	-⌫-|---|-⌫----⌫----|
Dontc elleforce p uetueni r	---|-⌫---|----|-⌫--|----⌫|
Quiuo usconma ndea consentir	--|--⌫-|-----⌫--||--------|
To uz mesuouloir s sanz	--⌫-|--|-------⌫|---|
Touz torz et touzmeffaiz uou scuit	---|---|-|---|------|---⌫|---|
Messeezuoussimecontez	--|---|---|-|-|-----|
Co nme ntuousestes sidont e z.	--⌫---⌫-|---|----|-|----⌫-⌫-|
- Damefet illa forceuient	|---|--|-|-|----|----|
cuerq uiauou ssetient	---|-⌫-||---⌫|-|----|
E*cestu oloir m amon cuer	-|---|-⌫----|||--|---|
-Etq uiest	|-|-⌫-|--|
lecuerbiaus amis	-|---|----|---|
-Dame mi oil. - Et	|---|-|---||-|
les oil zqui	--|---⌫|--|
- La grantbiautés quee n uou s ui.	|-|----|-------|--|-⌫|---⌫|--|
-Etlabiautez qui	|-|-|------|-||
-Dametantque	|---|---|--|
amer mefait .	---|-|----⌫|
-AmerEtqui	|---|-|--|
-uousdamech iere.	|---|---|--⌫----|
- u o i re	|-⌫-⌫-⌫-|
u oir. -En	-⌫---||-|
quel maniere	---|------|
- Entelq uegraindre estre	|-|--|-⌫-|-------|----|
M oncuer non que s alle ursneltruiz	-⌫-|---||--⌫---⌫|----⌫--|--|----|
En telq u ailleurspen sserne pu i s	-|--|-⌫|-------|---⌫---|-|--⌫-⌫|
En telqueto uta uousmotroy	-|--|--|--⌫-||---||----|
Entelqueplus aiquemoy	-|--|--|---|-|--|--|
E ntel qu e pouruousad eliure	-⌫|--|--⌫|---|---||-⌫-----|
ueil c iluous plaist mourir	---||-|---|-----|-----|
-Etose riez uous	|-|---⌫---|---|
Pourmoyma fontaine ad effendre	---|--|-|-------||-⌫-------|
-Oïl uo irdame u ers t o u zh omes.	|---|--⌫-|---|-⌫--|-⌫-⌫-⌫|-⌫----|
-Sach i ez dontbienac ordez sonmes.	|----⌫-⌫-|---|---|--⌫----|------|
Ainssintsacordentbriem e nt.	-------||-------|-----⌫-⌫--|
Etlad a meou tson	-|-|-⌫-⌫-|--⌫|--|
parle ment	-----⌫---|
De u ant tenu	--⌫-⌫--|---|
a sesb aronz	|--|-⌫----|
Et d istDec inousen alon z	-|-⌫--|-|-⌫|---|-|----⌫|
Encelle sale oumesge nzsont	-|----|---|-|--|--⌫-|---|
