pourlamitiede	---||-----|-|
roisciertpo rtoinon pasporlui	---||---|--⌫|--|--|--|--|--|
bienpeustal uid esconfire	---|----||-⌫-|-⌫--------|
un s euldeuosser gentso ufire	-|-⌫--|-|--|---⌫---|--⌫----|
ceste uentance	----|-------|
etcede sro i	-|-|--⌫---⌫|
ser gent le roi	---⌫---|-|--|
al apuceleatou t	|-⌫|-----||---⌫|
napa ssonqeurespeonté	||--⌫|--|---|--------|
n a uoi tpoint trou blésa pe nse	|-⌫---⌫|----|----⌫---|-|--⌫--|
c ellequiadamedieupense	-⌫---|--||-------|----|
dieuseulement honeureet	---|--------|------|-|
amor elleae mp r ise	---|---||-⌫--⌫-⌫--|
c estebatail leriens nedoute	-⌫---|------⌫-|----|-|----|
es t commendee	--⌫|--------|
dieufetelleu eraisauoi r	---|--|---|-⌫---|-----⌫|
uer ai uertu uerai	---⌫-|----|----|
ueraieuertuquitozsoutiens	-----|----|--|--|-------|
quito z g ardesquitoz	--|--⌫|-⌫----|--|--|
qu ito t formas quitot	--⌫|--⌫|-----|--|--|
qui a tes c hie rsamisd eis	--||--|-⌫---⌫-|---|-⌫--|
quantdeuent les	----|-----|--|
princesuen droient	------|---⌫------|
nepensassentquei ldiroient	-|---------|--|-⌫|-------|
tuleur donnoieshabu ndance	-|---|-------|----⌫-----|
deparoll ede sapien c e	-|------⌫|-|------⌫-⌫|
p orleur auers aireconfondre	-⌫-|---|-----⌫---|--------|
ne sauoient	-|-------|
querepondre	--|-------|
tuquiesp onsquest	-|--|---⌫--|-|--|
bien afe r e	---||--⌫-⌫|
donemoi sens acesteafere	---|--|---||----|----|
donnemoi do uce u retparolle	----|--|--⌫---⌫-⌫|-|------|
qu e i lnemetiegne ntafolle	--⌫|-⌫|-|-|------⌫-||----|
cilquiuuellentq uassertonnon	--|--|-------|-⌫-----|--|--|
ueincuzlesfes uueulent	------|--|--|-------|
deleurmescrean ce	-|---|--------⌫-|
reconnoissance	-------------|
parletesm o i ngde ton escrit	--|-|----⌫-⌫-⌫-|-|--|-----|
quetu aiesno n ihesucrist	--|-|---|--⌫|---------|
diex tozpoissanzu eraisetuis	---|----------|-⌫----|-|--|
einss isoit ilcommedeu is	-----⌫|---|-|----|---⌫-|
a peines ots	|-----|-||
oroisonfeite	------|----|
quantdex qui lesdehez rehete	----|--|--|--|----|-----|
et t ozle s desuoiez rauoie	-|-⌫-|--⌫|-------|-----|
u nange duciellienuoie	-⌫|---|-|---|-|-----|
que laconforte etditamie	--|-|-------|-|--|---|
ta paro lle n endoutemi e	-|----⌫--||-|----|--⌫|
oieete ntend ue	--|-|-⌫-----⌫-|
ci l aquituesatendue	--⌫||--|-|-|------|
donrat oiatauolente	----|-⌫-||-|------|
douceparolle a grantplente	----|------||----|-----|
parcoiuainc raste s	--|--|-----⌫--|--⌫|
quant les a ras audesozmis	----|--|-⌫--|-|----|--|
illerontl euriniqu ite	-|-----|-⌫--|-----⌫--|
e tconnoist rontla uer ite	-⌫|--------⌫---|-|---⌫--|
puissouferrontpor die ula pe i ne	---|---------|--|---⌫|-|--⌫-⌫-|
lassusel p ardurable r egne	-----|-|-⌫--------|-⌫---|
t amor aleue ́	|---|-----⌫|
etse tuas ihes ulo é	-|-|-|-|----⌫|--⌫-|
encorelaim eetloeet	-----||---⌫|-|--|-|
partensserasdumonde p rise	--|---|----|-|----|-⌫---|
sitendrase l ciellasus	-|------|-⌫|---|-|--|
qant seras uenueaud esus	---|----|----|-|-⌫---|
detouztesanemismortiex	-|---|--|-----|------|
espousara s ainzne	-----|---⌫|---|-|
ties t oziorsdonnee	|--|-⌫-|---|-----|
reinese ras coronee	----|--⌫--|------|
quecile st rois quiteuel t	--|--|-⌫-|---|--|-|---⌫|
a telsegneurd oitlenentendre	|--|------|-⌫--|--|-------|
gardespor autresnelechanges	-----|--|-----|-|-|------|
iesuimichielprincede sanges	-|--|------|-----|--⌫|----|
que diexton bo nespoustenuoie	--|---|--|--⌫|-----||-----|
por to ic o nduire a droiteuoie	--|--⌫|-⌫-⌫-----||-----|---|
atentliangesse n despart	|---|-|----||-⌫|------|
lapucel lede lautrepart	-|-----⌫-|-||----|---|
quiaeulebonc on for t	--||-|-|--|-⌫--⌫---⌫|
uersdieu ato rné son	---|---||--⌫---|--|
detenirsonpropose me nt	-|----|--|-------⌫--⌫-|
ileucatents oni uge ment	----|----|-⌫-|-⌫---⌫---|
al endemaince dist	||-------|-|---|
sesistli rois en le pretoi re	-|---|-|---|-|-|------⌫-|
dele zlui les cinquantesages	----⌫|--|--|--------|----|
al adameuint	|-⌫|---|---|
un me sages	-|--⌫----|
deparleroiqu ilia di t	-|--|-|--|--⌫|-||--⌫|
queluieg nealui san zcontredit	-|-|----⌫-||--|---⌫|--------|
lapu celeestue nu ea	-|--⌫---|--|--⌫--⌫||
t retouzlipeuples iacort	-⌫-----|-|------||----|
desputoison	----------|
li roisleur demanderei son	-|---|---|------|---⌫--|
l apuceleenestant	-⌫|-----|-|-----|
si apar léhardiement	-||---⌫--|---------|
r o i st u	-⌫-⌫-⌫|-⌫|
a sfetcomman dement	-⌫|--|------⌫-----|
q ueces cinquant e sagessoie nt	-⌫-|--|--------⌫|----|----⌫-|
encontremoi etsi	-------|--|-|-|
me ssaient	|-⌫------|
tulesastoz atapartie	-|--|-|--||-|-----|
estpas bien	--|--|---|
l e uure partie	|-⌫---|-----|
bientigardeac este bataille	---|||----||-⌫---|-------|
iesu iieun e fames ans	-|--⌫|----⌫|---|-⌫--|
et sanzaideet sanzdeffensse	-|---|---|-|---|--------|
seiesucrist demoinepensse	-|---|----|-|--|-|-----|
neporro i pas	-|-----⌫|--|
uerseulsdurer	---|---|----|
mesce mefet	--|-|-|--|
quesadeffensse m ape rmise	--|-|--------|||--⌫----|
diex enquiiai mentente	---|-|--||-||------|
mesde ce medoit ennuier	--|-|-|-|---|------|
q uetuleuras	-⌫-|-|---|-|
p ramis loier	-⌫----|----|
s ilme peuentau	|-|-|-----|-|
desouzmeitre	-----|-----|
ett ume doiz undon pr ameitr e	-|-⌫|-|---|-|--|--⌫------⌫|
o rcereuoilld ire	-⌫|-|------|-⌫--|
et con t er	-|---⌫-⌫-|
queseieles	--|-|-|--|
puis seurmonter	---|---------|
parbontesmoing des aint escrit	--|--|-------|-|-⌫---|-----|
quetucrerasen ihesucrist	--|-|-----|-|---------|
ces tmap ramessec est	|--⌫|-|-⌫------||--|
itexserames guerr edo ns	---|---|--|-----⌫---⌫-|
liroisreponttot main tene nt	-|---|-----|--|----⌫----⌫-|
bel amietel conuenent	--|---|--|--------|
tune nedoiz f e re	-|-|-|---|-⌫-⌫-|
ienesui pas	-|-|--|--|
detonafere	-|--|----|
mes iauerronsbienau parler	--|-|------|---|-|-----|
s etesdiex	-⌫|--|---|
tepor rasgarder	-|---⌫--|-----|
lapucelleplusne	-|------|---|-|
uers ses anemi sser etorne	---|--|-----⌫|-|-⌫-----|
por ce q ansacause	--|-||-|-|----|
en telmaniere	-|--|------|
l es defie	-⌫-|----|
se gneu rceenzsonttuit u e nu	--⌫----⌫|----|---|---|-⌫-⌫-|
petitieune grantet chanu	----|----|----|-|----|
par ollesescout er	---⌫----|------⌫-|
ornedoitnusdeuous	-|-|---|--|-|---|
s i lariensem p ensse d edire	|-⌫||----|-|-⌫----|-⌫|---|
entrer enl amati re	-----|-|-⌫|----⌫-|
portouzparolt lemielzparle nt	--|---|-----|-|----|-----⌫-|
ettretozdientson talen t	-|-----|----|--|-----⌫|
repontqui fu	-----|--|-|
etmielzuaillantet	-|----|-------|-|
miel zsene z	----⌫|----⌫|
e inssinest	-⌫----||--|
porto iauons marchié	--|--⌫|----|-------|
meint p as	----|-⌫-|
etportoisomesassemblé	-|--|--|----|--------|
ieneldiraipasene mble	-|--|----|--|-|-⌫---|
ap ert parleru oudr ai	--⌫--|-----|-⌫----⌫-|
c ommen ciezet ierepondra i	-⌫-----⌫---|-|-|--------⌫|
lau irge ne	-|-⌫---|-|
sestpas teue	|--|--|---|
ainz disttoted e sp orueue	---|---|---|-⌫-⌫--⌫-----|
pui squ edeuotre fol oi ence	---⌫---⌫|-|----|---⌫--⌫---|
ota imo n qe ur	---⌫|--⌫|--⌫-|
etma leance	-|-|-----|
et ieconnu lafaussete	-|-|----|-|-------|
ou i auoielo nc t ens est é	-||----|--⌫-|-⌫--|---⌫-|
dieutout monpensermis	---|---|--|-----|--|
endieuqu iest	-|---|--⌫|--|
limiensamis	-|----|---|
etieoireceul af o i	-|-|-|----|-⌫|-⌫-⌫|
deihe sucristenqui iecroi	-|---⌫------|-|--|-|---|
d esice iormefuamer	-⌫--|-|--|-|-|---|
et e n tr e totes	-|-⌫-⌫--⌫|----|
d es lorsenhai	-⌫-|---|-|--|
gesleur liur es	--|---|----⌫-|
dont mes cuersote sté siyures	---|--|----|-|-⌫---|-|----|
qui l nep ooitestre	-|-⌫|-|-⌫---|----|
siuolentiersauoieapris	-|---------|----|----|
que iauoiemi s au	--||----|--⌫|-|
les cl ersdecest eter r etouz	--|--⌫--|-|----⌫|---⌫-⌫|---|
mestresp asséa uoie	------|-⌫----|-⌫---|
par l esliuresqueiesauoie	--|-⌫-|-----|--|-|-----|
mesporce qu eiesedeuoir	--|--|-|--⌫|-|-|-|---|
qu elanuliorpornulsauoir	--⌫|-|--|--|--|--|-----|
nauroi epar dur abl e uie	|-----⌫|---⌫---⌫---⌫|--|
einssicom mei oiprimes e nuie	-----|---⌫-||-|-----|-⌫---|
d e laprendreetdu	-⌫||-------|-|-|
mepoge tenir	-|-|-|----|
quetotnemeisse enobli	--|--|-|-----|-|---|
quen monqeur auoieestabli	-|-|--|---|----|------|
quece nestoit se fab leno n	--|-||-----|-|---⌫-|--⌫|
endieuqu eihesu crist	-|---|--⌫|-----⌫----|
t ornaimonqeuret m	-⌫----|--|---|-||
sini sai aut resapience	-|||--|---⌫-|-------|
fo rsceluidieuq ui degn a	--⌫-|----|---|-⌫-|----⌫|
ho m e porhomeetp or lui	--⌫-⌫|--|---|-|-⌫-|--|
deuirgesanz	-|----|---|
corrupti o n	--------⌫-⌫|
so uffr ie t	--⌫----⌫|-⌫|
mortet passion	---|-|------|
sancequemestiernen auoit	--|-|--|------||-|----|
mesdefi neu ertesauoi t	--|-|--⌫-|-⌫---|-----⌫|
selimors de la	-|-|---|-|-|
de abledecut h ome	--⌫---|----|-⌫--|
nefustp ar m ortdomerecuz	-|---|-⌫-|-⌫--||--|----|
h om fustaussicommeueuz	-⌫-|---|----|----|---|
po rcei l prist	--⌫|-|-⌫|----|
nostre natur e	-----|-----⌫|
en sembl an ce de creat ure	-|-----⌫--⌫-|-|-----⌫--|
bienparutasumilite	---|----|||------|
quiestoitd iexparuer ite	--|-----|-⌫--|--|---⌫--|
ilestoitdiexet hom ensemb l e	-|-----|---|-|--|------⌫-⌫|
issiest ilissimesemble	---|--|-|---|-|-----|
ces tcilenquimonqeursef ie	|--⌫|--|-|--|--|---|-|-⌫-|
moiefilosofie	---|--------|
enson nonetensonmemoire	-|--|--|-|-|--|------|
cest mauit oi re	|--|-|---⌫--⌫-|
qui uein crat ozmesan emis	--|----⌫--|-⌫-|--|--⌫---|
care inssilemailpramis	--|-⌫----|-|||-|-----|
a poineauoi t ellece dit	|----|----⌫|---|-|--|
quant liuns d eusdit cemesdit	----|-|--||--|--|-|-----|
etcria commeforsenez	-|---|----|-------|
sirefet il quimain tene z	---|--|-|--|----⌫----⌫|
etlempire de	-||-----|-|
quies tes sages	--|--⌫--|----|
et uaillant	-|-------|
quantfaudraiceste folor	----|-----|-----|----|
cegran tbar atcestedo lor	-|----⌫|---⌫-|----|--⌫--|
dont cistcres tien desleal	---|---|----⌫---|------|
sont sidu tottorné a	---|-|-|--|-----||
q uilontno zdiexsiendespi t	-⌫|-|--|--⌫|---|-|-|-----⌫|
oez commecest e le sdespit	--|----|----⌫|--⌫|-----|
noscu idionsa	--|--⌫-----||
laparclo se	-|------⌫-|
oirdelu i aucunechose	--|-|--⌫|-----|----|
dontnos fusionsesbaudi	---|--|------|------|
nosso m esuoire me nttra i	--|--⌫-⌫-|-----⌫--⌫-|---⌫|
qu elm ontn	-|-|-⌫--||
aplu sd esagesho mes	|---⌫|-⌫|----|--⌫--|
b ienuoiquenuainnostrauellom es	-⌫--|--|-|-|---|--|---------⌫-|
por ic estem eschin e	--|--⌫---|-⌫------⌫|
quiacommen cié sa parolle	--||------⌫---|-|------|
por c eihesu q ueil	--|-⌫|----|-⌫-|-|
tantaimen t	---|-----⌫|
ce e st leurdieuquice	-|-⌫-|---|---|--|-|
t esmo ignent	-⌫----⌫-----|
de son de ciplefu uend uz	-|--|--⌫----|-|----⌫-|
mains encroizpenduz	----|-|----|-----|
mesnepot escha perdemort	--|-|--|-----⌫--|-|---|
ci lquiessaucentateltort	--⌫|--|--------||--|---|
au tierziora p res sasemblerent	-|----|--|-⌫-⌫--||----------|
si d eciplesilempo rtere nt	-|-⌫-----|-||----⌫-----⌫-|
pui snonci erent porlescitez	---⌫|-----⌫----|--|--|----|
quil ertdemort res ucitez	-|-|--|-|---|---⌫-----|
et pora croireleur faintise	-|--|-⌫-----|---|-------|
dientqu ila	----|-|-||
saman entise	-|---⌫-----|
u cielamo ntou	|---|---⌫-|-|
quan t ilde mortres ucita	----⌫|-|-|---|---⌫----|
l apucellerepont	-⌫|------|-----|
i aifaitadroi tcommencement	|-|---||----⌫|-----------|
de celuidi eu	-|----|--⌫-|
don tpasn edou t	---⌫|--|-⌫|---⌫|
quiestcommencementdetout	--|--|-----------|-|---|
ilestdroit roisetem pereres	-|--|----|---|-|--⌫------|
diex lisou uerainsperes	---|-|---⌫------|----|
etquito te s bontez habunde	-|--|--⌫--⌫|-----|------|
etfist denoient	-|---|-|-----|
to tlemonde	--⌫|-|----|
t i roie ie fab lan t	|-⌫---|-|---⌫---⌫|
iete diraitot	-|-|----|--|
mon semblant	--|-------|
deluipa rlui	-|--|--⌫|--|
en lui peuzquerre	-|--|---|-----|
quantquetupeuz u eoir en terre	-------|-|---|-⌫---|-|----|
lese nsetlauiuefontaine	-|--⌫-|-|-|---|-------|
donc t ozbienssor t	---|-⌫-|----|---⌫|
parla rgeueine	--|--⌫--|----|
lors repontli rec torien s	---|-----|-|---⌫------⌫|
secil quicroientcretiens	-|--|--|------|-------|
f ust l i filzdieu	-⌫--|-⌫|---|---|
ou uer aidiex	-|---⌫-|---|
commentpo t ile str emortiex	------|--⌫|-|-⌫---⌫|------|
c omment poist	-⌫-----|----|
mortde confire	---|--⌫------|
celuiquide la	----|--|-|-|
mort estsire	---|--|---|
ets i lfust hom ne	-||-⌫|---|--|-|
po ist mie	--⌫--|--|
demortres uciteren uie	-|---|---⌫-----|-|--|
lademoise lle	-|-------⌫--|
li respont	-|------|
frer e tuaslessié	----⌫|-|-|------|
porpass erparmi	--|----⌫-|----|
se croizleperesanz le fil l	-|----|-|---|---|-|---⌫|
mespris trop	------|---|
leidem ent	------⌫--|
tumasdit aucommencement	-||-|--|-|-----------|
ilfusthomnepoistnestre	-|---|--|-|----|-----|
etsi fustdiexhom nepot estre	-|-|---|---|--|-|--|----|
etsifust de x mortn el	-|-|---|--⌫|---|-⌫||
e tsi fust hom	-⌫|-|---|--|
nereuesquist	-|---------|
dont necro iz tuquantpoeste	---|-|---⌫-|-|----|-----|
diexdeferesa	---|-|---|-|
etsetucroizqu il	-|-|-|----|-|-|
por coinecroiz tucestafere	--|--|-|----|-|---|----|
quecilquitout es cho s es	--|--|--|----⌫-|---⌫-⌫-|
preistmort d omes i luolsist	-----|---||--||-⌫|------|
le senfers	--⌫|-----|
etfetlesclosetdro izetfer s	-|--|--|---|-|---⌫-|-|---⌫|
et cil quinepeuentueoir	-|--|--|-|-----|----|
enlu mine p ar son pooir	----⌫---|-⌫-|--|----|
s eu rluisegnorie neust	-⌫--⌫|--|-------||---|
e tso i re suci ter	-⌫|--⌫|--⌫----⌫--|
c edoiztucroirefineme nt	-⌫|---|-|-----|------⌫-|
etcilquisofrilet ormen t	-|--|--|----|-|-⌫-----⌫|
est homue rais	--|--|--⌫---|
sa nzfauss ete	--⌫-|-----⌫--|
lamort ocist l umanite	-|---|----||------|
el n ocistmieih esu crist	-||----|--|--⌫---⌫----|
mesi hesucri st lamort oc ist	--|-⌫-------⌫-|-|---|--⌫--|
gardesquedeceuznesoies	-----|--|-----|-|----|
dr oizest quetumeimesuo ies	--⌫--|--|--|-|-----|--⌫--|
dela notre	-|-|----|
sai nt eescriture	---⌫--⌫|--------|
mess ei e dip arauenture	--|-⌫|-⌫|-|-⌫-|-------|
n encro i re pas	|-|---⌫-⌫-|--|
se iele ted ipar	-|-|-|-|-⌫|--|
porcetedonraisanzdelai	--|-|-|-----|---|----|
letesmoin g de lateuelai	-|-------⌫|-|-|---|--|
espoirme saurasmielz re pondre	-----|-|-----|----|--⌫-----|
l enn epeuthomemielzcon f ondre	-⌫-|-⌫|---|---|----|---⌫-⌫----|
que ferirde	--|----|-|
deton platon	-|--|-----|
tedir a iprim es	-|---⌫-⌫|----⌫-|
quidistquedexsemon terroit	--|---|--|--|-|---⌫------|
montreznesestoit	------|-||-----|
et quaroitqua trere onz signes	-|-|----|---⌫--|--⌫--|-----|
cest lau roie	|--|-|-⌫---|
c r oizquif udign es	-⌫-⌫--|--|-⌫|----⌫-|
desoutenirledignemestre	-|-------|-|----|-----|
quit otlemontaasades tre	--|-⌫-|-|---|||-|---⌫--|
sebileparla asonte ns	-----|----||--|--⌫-|
queihes ucrist nestroit	--|----⌫-----|-------|
quiseroi tnezdunepucele	--|-----⌫|--||--|-----|
e tsiredistaut renouelle	-⌫|-|-----|---⌫-|------|
et si distquebeneoist	-|-|---|--|-------|
cil quisero itpenduzenfust	--|--|----⌫-|-----|-|---|
porce be neurel edis t	--|-|--⌫----|-⌫|---⌫|
quil reuiuroitsi commeilfist	-|-|--------|-|----|-|---|
tel s ontlitesmoin gde sebile	--|-⌫--|-|-------⌫|-|-----|
ia tedeis se de uirgile	-|-|----⌫-|-|------|
mes bient en	--|---||-|
peuzita ntfere	---|---⌫-|---|
s etunem peu ztonqeur	-⌫|-||-|---⌫|--|---|
d ont estildro izq	-⌫--|--|-|---⌫-||
arrieresaies	-------|---|
le deableq	-|-----||
auoi rsoloies	----⌫|------|
a t antest	-⌫-⌫--|--|
lauirge teu e	-|----|---⌫|
lap aro lle a cil esmue	-|-⌫---⌫--||--|----|
etdistp ucel eor merespon	-|---|-⌫----⌫|-|-|-----|
c e quedemanderai	-⌫|--|---------|
seihesuquitabo ucheno me	-|----|--|-|--⌫---|--⌫-|
es toi td ie uensemblencedome	--⌫---⌫|-⌫--⌫|-|--------||--|
et f i s t tant mi raclesenterre	-|-⌫-⌫-⌫|---|--⌫-----|-|----|
com ment losa l am o rtrequerre	---⌫---||--|-⌫|-⌫-⌫-|-------|
depar lui resordent	-|--|--|--------|
c om men tsoufr i per illdemort	-⌫--⌫---⌫|-----⌫|---⌫--|-|---|
cilq uinamestie rdemorir	--|-⌫-|||------⌫|-|----|
etp eut l a gentd emort	-|-⌫--|-⌫|---|-⌫|---|
elle repontcilsestteuz	---|-----|--||--|---|
ci l nepeut estredeceuz	--⌫|-|---|----|-----|
q ue tucuidesq uedieusoitmort	-⌫-|-|-----|-⌫-|---|---|---|
cec roi zt uas	-|-⌫---⌫|-⌫|-|
gra ntt ort	---⌫-|-⌫--|
ai nznemorut ne nemorra	--⌫-|-|----|-|-|----|
quetoz iors fuetse ra	--|--|---|-|-|--⌫-|
mesce netieng mi e a	--|-|-|----|--⌫||
enferm etede	------⌫--|-|
quipoisthome soufrirmo rt	--|----|---|------|--⌫-|
forsdieu qui	---|---|--|
sucitehomemor t	-----|---|---⌫|
hom quiau oit	--|--|--⌫--|
lepechiefe t	-|-----|--⌫|
souffril a	------|-⌫|
de squilau oit pechie ́enfust	--⌫--|-|--⌫--|------⌫|-|---|
droizestqu e torm e ntezilfust	----|--|--⌫|----⌫-⌫---|-|---|
la c har morut naturelment	-|-⌫--|----|----------|
deu f utotquites du torm e nt	--|-⌫|--|-----|-|----⌫-⌫-|
ce sachiezsil eu ousistfere	-|------|-|-⌫|-⌫-----|---|
quebienpoisthom mesoutraire	--|---|----|---⌫-|--------|
parunseulengin	--|-|---|----|
mess aioutise estreisonable	--|-⌫|------|--|---------|
qu e sanzreison ilnefistrien	--⌫|---|-----|-|-|---|---|
ceste ch osees tablitil	----|--⌫--|--⌫-----|-|
qu il uoltqu e	-|-|---|--⌫|
celuiu ainquist	----|-⌫-------|
quiho me uainqui	--|--⌫-|------|
e tconquist	-⌫|-------|
etporceprist seurlui	-|--|-|----|---|--|
fuhumbles e t confes	-|------|-⌫|-----|
homuersluiquisauuélau oit	--|---|--|--|-----||--⌫--|
issifucomme estr e deuoit	---|-|----|----⌫|-----|
p artiexdizet pa r ti expro uuences	-⌫-|---|--|-|--⌫|--⌫-|---⌫------|
leur afailli es leur doutance s	---||------⌫-|---|--------⌫|
siqu ilneseuentme sq uedire	---|-|-|-----|--⌫|-⌫-|---|
neneli peue n tcontredire	-|-|-|----⌫-⌫|---------|
ac esdiznont riensrespondu	|-⌫-|--||--|----|-------|
ma téetconfondu	--⌫--|-|-------|
sicomme di eulauoit deuisé	-|----|--⌫-||----|------|
puisal iun s	---||-⌫|--⌫|
sion tperdu	-|--⌫|----|
leursens tretot	---|---|-----|
quehonizsont dutotento t	--|----|---|-|--|-|--⌫|
quan t le mperier esa ueu	----⌫||-⌫-------⌫-||--|
qu eilsesont	--⌫|-|-|---|
tretu itteu	-----⌫-|--|
et qu isonttretui tesbahi	-|-||---|------⌫|-----|
parmautalent	--|--------|
comme ieuoic igrant	----|-|--|-⌫|----|
moultestiésoreheiti é	----|------|--|-----⌫-|
et aprestezdedesputer	-|-------|-|-------|
m oultuo s	-⌫---|--⌫|
queperdu a uezlapa ro lle	--|----|-⌫--|-|--⌫--⌫--|
por unem eschine tte folle	--|--|-⌫-------⌫--|----|
li plussagesdeuls toz selieue	-|---|----||---|--|-|----|
ilforment legrieue	-|------|-|-----|
silirespo nt ir ieement	-|-|-----⌫-|--⌫------|
roiscesachiezuer aiement	---|-|------|---⌫------|
que auionstesmoinzassez	--|-----|-------|----|
descienc e au ionspassez	-|------⌫|--⌫---|-----|
tretoz le s clers	-----|--⌫|----|
qui s oient	--|-⌫----|
onques mes	-----|--|
nefum e s me né	-|---⌫-⌫|--⌫--|
acequenusfust ta nt os é	|-|--|--|---|--⌫-|--⌫-|
conqu esparnousfustopo sé	|----⌫-|--|---|---|---⌫--|
liun sd enos	-|--⌫|-⌫|--|
po r uoirlesaches	--⌫|---|-|-----|
en luifust	-|--|---|
sigrant outrages	-|----|-------|
quec o ntrenososast pa rler	--|-⌫-⌫---|--|----|--⌫---|
toutconfusle	---|-----|-|
c o nue nroit aler	-⌫-⌫---⌫----|---|
autr e chos eestdel ame ichine	----⌫|----⌫|--|-|-⌫|--⌫-----|
sapiencedeuis e	-------|-----⌫|
querep ondr en elisauons	--|---⌫----⌫|-⌫|-|-----|
sigrantpeorde liauons	-|----|---|-|-|----|
nosnosonsdireune pa rolle	--||----|---|--|--⌫----|
poricestepucellefole	--|-----|------|---|
s i te disonst retuitensemble	-⌫|-|-----|-⌫-----|-------|
que ueri tez estetbien n os	--|----⌫--|--|-|---|-⌫-|
c equeladam oiselle dit	-⌫|--|-|---⌫------|--|
ia nimetr om esco ntredit	-|||----⌫--⌫-|--⌫------|
ei nzrece uromessa cre anc e	--⌫-|----⌫-----|-|---⌫---⌫|
sen osnauo nsme lleur s prouuence	-|-⌫-||---⌫-|--⌫-----⌫|--------|
tesmoing del escriture	-------|-||--------|
d i ex diexouasmisetacure	-⌫-⌫-|---|-|-|---|-|---|
se nemo ntre lealescrit	-|-|--⌫---|---|-----|
noscroiromesenihesu cr it	--|--------|-|-----⌫--⌫-|
quiesc hiues les mauuesuices	--|---⌫----|--|-----|----|
etdoneto z lesben efic es	-|---|--⌫|--|---⌫----⌫-|
i lest pois sanzdes	-⌫|--|----⌫---|--|
biendonner	---|-----|
setbien guerredonner	--|---|-----------|
toutlet rauaillettot l ennu i	---|-|-⌫------|-|--||----⌫|
quesisergentsoufrepor	--|-|------|-----|--|
qua ntliti r a nta enten du	---⌫-|-|--⌫-⌫-⌫-||-----⌫-|
quaihesu c ristse	-||-----⌫-⌫---|-|
ilontguerpiel eur l oy	-|--|------|-⌫--|-⌫-|
enmila c ite sanzdelai	---|-|-⌫--|---|----|
acommendéquelenliface	|--------|--|--|-|---|
unfeuarden en mi	-|--|----|--⌫-|
sicommandelianem i s	-|-------|-|----⌫-⌫|
q uetuit lisa geilsoient mis	-⌫-|---|-|--⌫-|-|-----|--|
le smainslieesetlespiez	--⌫|----|----|-|--|---|
issi soientpar l eurpechiez	---|-----|--|-⌫--|------|
to rnau nmesage	--⌫--|-⌫|-----|
etu n des clersqui	-|-⌫|--|----|--|
estoit sage	-----|---|
sefuleu ez ensonestant	-|-|---⌫-|-|--|-----|
to uzlesautresuet	--⌫-|--|-----|--|
confortant	---------|
et distsegneur	-|---|------|
p aor n aiez	-⌫--||---|
lesdeables la	--|------|-|
dieu me rci	---|--⌫--|
qu ese rui auonsiusq ues ci	--⌫|--⌫--|----|----⌫--|-|
u eez ihesucristqui	-⌫--|---------|--|
nosa pe le	--|-⌫--⌫-|
alonstuitprierl a pucele	----|---|----|-⌫|-----|
ancois qu annosait enserr é	-----|-|-|--|--|------⌫-|
soio nsregeneré	----⌫-|--------|
p arbaptesme	-⌫-|-------|
sicommeestdroiz	-|----|--|----|
carautrement pasneuaudroit	--|--------|--|-|-------|
alacelestial coronne	|-|--------|------|
quedamedie x amartir s	--|-------⌫||------⌫|
tretuit le siuent ceme se mble	------|-|-----|-|-|--⌫---|
a lapucelleuontensemb le	|-|------|---|------⌫-|
si lipri ent	-|-|---⌫--|
totem pl orant	--|-|--⌫----|
que l leuautmiedemorant	-|-⌫-⌫-|---|--|-------|
receuoirleurface b a ptesme	-------|---|---|-⌫-⌫-----|
etla sainteon ci ond u	-|-|-----|--⌫--⌫-|-⌫|
segn eurcedit ladieuam ie	----⌫--|-|--|-|---|--⌫-|
pordieuneuosesm aie z	--|---|-|--|---⌫---⌫|
me shardi z cheu aliersso ie z	--⌫|-----⌫|----⌫-----|--⌫--⌫|
da medieuuosaessaie z	--⌫-----|--||------⌫|
parmoiqueu os iciueez	--|--|--|-⌫-|--|---|
asontalent u osa	|--|-----|-⌫-||
uosestes oreet b on etfin	--|----|--|-|-⌫-|-|--|
mes meill eur s eroizenlafin	--|-----⌫--|-⌫----|-|-|--|
debaptesmena iezp eor	-|-------||-⌫--|-⌫--|
que lidouz	--|-|---|
sans du sauueor	---|-|------|
quile sp andipornospec hi ez	-|-|-⌫--⌫---|--|--|---⌫--⌫-|
limonz es tent ec hi ez	-|---|--⌫|---⌫--⌫--⌫-|
baptesmedesal u z	-------|-|---⌫-⌫|
etmoul tuos au rahuiualuz	-|----⌫|--|--⌫-|--|----|
labon efo i etlacrean ce	-|---⌫|--⌫|-|-|-----⌫-|
naieznu l e doutance	|---|--⌫-⌫|-------|
quelifeusouuousen terrez	--|-|---|-|---|--⌫-----|
etle torment	-|-|------|
q ue souferrez	-⌫-|--------|
uos tendra tozsainset he it i ez	--|-----|--|----|-|--⌫--⌫-⌫-|
ne plore zpas	-|-----⌫|--|
soiez tozlie z	----|--|---⌫|
n edoutez pascel s quil ecor s	-⌫|-----|--|---⌫|--|-⌫|---⌫|
peuentocirrepard eho rs	-----|-----|--|-⌫---⌫-|
ce lu icreezquic orsetame	--⌫--⌫|----|--|-⌫--|-|--|
peutocirredinfe rnalflame	---|-----||----⌫---|----|
atant son tli	----|---⌫|-|
seri antuenu	----⌫--|---|
