cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
e queu olen te nl eir lam unt	|--|-⌫----⌫|-⌫||--|-|-⌫--|
bat ailledeiue nt od l itenir	---⌫----|-----⌫-|-|-⌫|----|
quant ensembledurent uenir	----|-------|-----|----|
la chaluesur i zlesuit	-|-----|---⌫-⌫|--|--|
ensunqueoradpensée dit	-|--|----|-|-----||--|
quemut redu toutcelafaire	--|--|----⌫---|--|-----|
nesotasquels sedutt raire	-|--|-|----|-|--|-⌫----|
o d ce usuoltestrequeueinterun t	-⌫|--⌫-|---|----|--|---------⌫|
lagreinurfor ceauerunt	-|------|---⌫-|------|
s ur unhaut fustse n est	-⌫-|-|---|---||-⌫|--|
pu resgarderce leas semblee	--⌫|-------|--⌫-|--⌫------|
ceoli fuuissun escient	--|-|-|--|--|------|
que liliun saueit p lus gent	--|-|----⌫|----|-⌫--|---|
greinuriu st ise	------|--⌫--⌫--|
odlesa u tressuriz sest	-|--|-⌫-⌫---|----||--|
l iegl esfu amunt uolez	-⌫|---⌫-|-||---|----|
o d lesoiseusquilotma n dez	-⌫|--|-----|-|-|-|--⌫-⌫--|
tanteniot tant enuiendrent	---|-||-|---|-|--------|
bestespurfoussetiendrent	-----|--|---|-|--------|
quantle chauesurizlesueit	----|-|----|----|--|---|
mu tli pes aqueodeus n	--⌫|-|---⌫|--|-|--||
desb estesestd uncdepartie	--|-⌫----|--|-⌫--|-------|
muscasifistfo lie	----|-|---|--⌫--|
mesq uant leseles	--|-⌫---|--|---|
pa r deuanttuzle sdescouri	--⌫|-----|--|--⌫|-------|
safelunieouerte	-|------|-----|
esatraisuns	|-|-------|
tutdescuuerte	--|---------|
desiasb esteslah u erent	---|-|-⌫----|-|-⌫-⌫----|
alurc rie r e	|--|-⌫---⌫-⌫|
seclameren t	-|--------⌫|
dela chalue	-|-|-----|
surizse pleignen t	----|-|--------⌫|
hunissenteb last eignent	--------||-⌫----⌫------|
emustrentlisafelunie	|-------|-|-|------|
e cumelead	|--|--|-|
safeimentie	-|--|-----|
lur criere luradiuré	--|-----|--|-|----|
queel eenfralu r	--|--⌫|-|--|--⌫|
e quemut b i e n l esuengera	|--|--|-⌫-⌫-⌫|-⌫-|------|
puisla maudi stesiura	---|-|-----⌫-||-|--|
que i ame senl iune uenist	--|-⌫---⌫|-|-⌫-|-|-----|
queoiselsnebes tela	--|-----|-|---⌫-|-|
tute l a char li	---|-⌫|---|-|
seitdeiurueue	---|-|--|---|
apreslaruu a	----|-|---⌫|
sa plumeos te rluidescourir	-|----|--⌫--⌫|--|--------|
autresi e stdel	------|-⌫-|--|
qu emeseireue rssunseignur	--⌫|------|--⌫-|--|------|
akiildeit ho n urporte r	|-|-|---|--⌫-⌫-|-----⌫|
eleauteefeigarder	|-----||--|-----|
sisis siresaddelime s t ier	-|--|----|-|-|-|--⌫-⌫-⌫--|
a sa utresseueutdunc	-⌫|-⌫----|-|---|---|
a sun busuin liueutfaillir	|--|-----|-|---|------|
eod autr esseu eut t e nir	|-|----⌫-|-|-⌫--|-⌫-⌫--|
sisissir esuie nteldesus	-|--|---⌫-|---⌫-|-|----|
ne peotlessersunma u ueisus	-|---|-----|--|--⌫-⌫---|-|
duncu od rit	---|-⌫--⌫--|
aluir eturner	|--|-⌫------|
de tutespars ueutmeserrer	-|----|---|---|-------|
si honurenperte sunaueir	-|----|-|---||--|----|
erepruuer e nuntsi heir	|-------|-⌫|--|-|---|
e nest sihuniz	-⌫|--|-|----|
cumfudunc la chaluesu riz	--|-|---|-|-----|--⌫--|
deitmespariuruoler	---|--|--|--|----|
ne il nedeit en	-|-|-|---|-|
curtpa rler	---|--⌫---|
issia uientqueunce rfbeueit	---|-⌫----|--|-|--⌫-|-----|
aune ewe karseiaue it	|--|--|--|--|---⌫-|
guardad edenzsescornesuit	-----|-⌫----|--|-----|--|
asei memesad	|--|----|-|
bes telecu ntr eualeit	---⌫-|-|--⌫---⌫------|
bel escornes n aueit	---⌫-|-----||----|
tantent endia sei loer	---|---⌫---||--|---|
easescorn esesgar der	||--|----⌫-|-----⌫--|
quil uit chiensuenircurant	-|-|--|-----|----|-----|
e l ur mestreap res	|-⌫-|-----|--⌫--|
apres luiu ienent si	----|--|-⌫-----|-|
lqu ereien t	|--⌫------⌫|
p urceo que prendre	-⌫-|--|--|------|
leuo leien t	-|--⌫-----⌫|
met tut esmaiét	--|--|-------|
parsesco rnesest atach iét	--|--|--⌫---|--|-----⌫---|
enun buissun e st retenuz	-|-|------|-⌫-|------|
duncs u ntlichienalui	---|-⌫-⌫-|-|----||--|
quan til les u itsiapris mer	----⌫|-|--|-⌫-|-|-----⌫--|
sise cumen cea desreine r	-|-|-----⌫-||--------⌫|
ueirs est feti l qu euileinsdit	----|--|--|-⌫|--⌫|------|--|
pare ssamplee p arrespit	--|-⌫------||-⌫-|-----|
liplusurueul entceoloer	-|-----|----⌫--|--|---|
qu ildeureientsu uent blamer	-|-|--------|--⌫---|-----|
eblamerceoquil	|-----|--|-|-|
deureien t	--------⌫|
fo rmentlo ersilsa uei ent	--⌫----|--⌫-||-|--⌫---⌫--|
d unh ummec unte lie scriz	|-|-⌫---|-⌫---|-|-⌫----|
esteiteenf uiz	-----||---⌫--|
demeinegrantdo l ur	------|----|--⌫-⌫-|
tu mbee nuiteiur	--⌫--||---||--|
presde ileoc	---|-|----|
aueitu nlarun	----|-⌫|----|
queertdespendu purmespri s un	--|--|-------|--|------⌫-⌫-|
un cheu alerle	-|----⌫---|-|
suntp arent er tsilenfui	---|-⌫----|--⌫|-||----|
par lacuntre e fucrié	--|-|------⌫|-|----|
quelelarunauei t osté	--|-|----|----⌫|----|
sun iug ement meme s	--|---⌫----|----⌫|
er tateint	--⌫|-----|
pendu sereit	----|-----|
duncne sot	---|-|--|
cunsei ltrouer	------⌫|-----|
cumil sepuissedeliuere r	--|-|-|-----|--------⌫|
kars ce u ert	--|-⌫--⌫|--|
quilleten eit pur	-|-|-|---⌫--|--|
a l cimiterieuettu td reit	-⌫|--------|--|--⌫|-⌫---|
ulaprode femmeesteit	|-|----|----|-----|
q uesun s eignurot tantpl uré	-⌫-|--|-⌫-----|-|---|--⌫---|
c ui ntementadali parlé	-⌫--⌫------|-||-|-----|
dit li queele	--|-|--|--|
secu nfortas t	-|--⌫-------⌫|
m utsereit lezseele	-⌫-|-----|--|-|--|
laprodefemmele sgarda	-|----|----||-⌫-----|
grant ioiefists i	----|---|---|-⌫|
queel ef erasa	--|--⌫|-⌫--|-|
li cheuale rli	-|-------⌫|-|
quemut liertmesauenu	--|--|-|--|-------|
del larun quilot	--|----|-|-|-|
n e liseitcun se il	-⌫|-|---|---⌫--⌫-|
h orsdel pais l estuta le r	-⌫--|--|---||----|-⌫--⌫|
lapro de femmel iresp undi	-|---⌫-|----|-⌫|----⌫---|
desfuiu mmunbarun dici	-------⌫|--|----||--|
ert iamesap arceu	--|----|--⌫----|
deliuer erdeit hum	-------⌫-|---|--|
parle mort	--|-|---|
le uifdun tlemad	-|--|---⌫|--|-|
paricestesignefian ce	--|-----|---------⌫-|
ent endrequei lc rean ce	---⌫----|----⌫|-⌫----⌫-|
deiuentaueirlimorz esuifs	------|----|-|---|-|---|
tantestli mund	---|--|-|---|
f auseiolifs	-⌫--||-----|
chien s encun trerent	----||-----⌫------|
pa r m i un	--⌫-⌫-⌫|-|
boisu ilalerent	---||-|------|
lechien esga rdé	-|----|----⌫---|
epuissiladareisun é	|---|-||-|-------⌫-|
fre re fetilmutestesb ea us	---⌫-|--|-|--|----|-⌫--⌫-|
e st luisanttis pe aus	-⌫-|------|--|--⌫--|
lichiensrespuntceoestuerite z	-|-----|------|--|--|------⌫|
ieo manguz biensi	--|-----|---|-|
esuefgispui st ut le	|---|--|---⌫|-⌫-|-|
deuantle s piezmu nse ig nur	-----|--⌫|---|--⌫|--⌫--⌫--|
puischescuniur run gerles os	---|------|--|---⌫--|--|-|
duntieomefazgras	---|--|-|--|---|
siuus uolez o dmeiuenir	-|--|----|-⌫|--|----|
e uusliuolie zobeir	|--|-|-----⌫|----|
si cumieo faz asez	-|--|--|--|---|
plus uiandeq ue neuo drez	---|-----|-⌫-|-|--⌫---|
siferaiueir s	-|----|----⌫|
li lusrespunt	-|--|------|
duncsacum pain ent sisenuunt	---||----⌫----⌫--|-||-|---|
einzqueauilefeussentuenu	---|--||---|-------|---|
gard alilus siad	----⌫|-|--|-|-|
chien po rtasunco ler	----|--⌫--|--|--⌫--|
sachaenele uit trainer	-|-----|-|--|------|
ilmer ue illesu ei	-|---⌫--⌫----|-⌫-|
en t ur tunco l	--⌫-⌫-|--|--⌫|
mesn e saiquei	--|-⌫|--|---|
respun tcestma ch aen e	------⌫||--|-|--⌫---⌫|
dunt h umme me lielasemai ne	---|-⌫---|-|--|-|-----⌫-|
karsuuent efeizmorde r eie	--|------⌫|---|-----⌫-⌫--|
ap lusursr iensmesf e reie	|-⌫-----|-⌫---|----⌫-⌫---|
q uemessiresueut garantir	-⌫-|--|----|---|-------|
simefetlier ereteni r	-|-|--|---||------⌫|
lanuit uois enturlameisun	-|---|---|----|-|-----|
quen iapr ismentl i l arun	--|||---⌫-----|-⌫|-⌫---|
queife tlilusestil issi	---|--⌫|-|--|--|-|---|
q uealernepoez forsparli	-⌫-|---|-|---|---|--|-|
turemei ndrasieo	-|-----⌫----|--|
iachaenenechoiserai	-|-----|-|--------|
meuzu oi lestre	---|-⌫--⌫|----|
que ench ein é	--|----⌫---⌫-|
richement uiure	--------|----|
quantuncor epuisestre	----|-----⌫|---|----|
ieo uoisalboi s	--|---|-|---⌫|
parla c hae neestdepartie	--|-|-⌫---⌫-|--|-------|
luramu re lurcumpa in ie	--|---⌫||--|-----⌫--⌫-|
deunhum meuoil	-|-|---⌫-|---|
es s ampleremem brer	--⌫-⌫----|-----⌫---|
desesmeinscu nte	-|--|----|--⌫--|
ed eses p i ez	|-⌫|--|-⌫-⌫-|
e desun c hiefk ert irie z	|-|--|-⌫---||--|----⌫|
uerssunuentre	---|--|-----|
quil porta	-|-|----|
pur lur gu aainz	--|--|--⌫----|
qu ilga sta	-|-|--⌫--|
duncneuolstrentmes tr au ailler	---|-|--------|--|--⌫--⌫-----|
lito lirent li	-|--⌫-----|-|
mes qua ntli uent res ieuna	--|---⌫-|-|----⌫--|----|
has tiuementafeblia	---⌫-------|------|
meins e piez q u ilne poe ie nt	----||---|-⌫|-|-|---⌫--⌫-|
sitr auailler cumi l suleie nt	-|--⌫-------|--|-⌫|------⌫-|
q u ant grant	-⌫-⌫--|----|
febletese nt irent	------|--⌫--⌫----|
mangerebeiureal uentre	-----||-----|-|-----|
of frirent	--⌫------|
mes tropleurentfet iuner	--|---||-----|--|----|
nepoei trien g us t er	-|----⌫|---|-⌫--⌫-⌫-|
liuentre sr euerti anient	-|------⌫|-⌫-----||----|
emeins e p ieztutensement	|----||-⌫--|--|-------|
par ce st e essam ple	--|--⌫--⌫|-----⌫--|
pe othumuee r	--⌫-|--|---⌫|
echescunf ranchummeledeitsauer	|------|-⌫---|----|-|---|----|
nu l nepeot aue rhonur	--⌫|-|---|---⌫|----|
k ihunte fetasunseignur	-⌫|----|--||--|------|
nelisiretut	-|-|---|--|
purq u il uoi llehunir	--|-⌫|-|---⌫--|----|
lautree st failliz	|----|-⌫-|------|
ambur en erent maubail l iz	----|-|----|-------⌫-⌫-|
deunsingedit	-|-|----|--|
quedem anda	--|---⌫---|
d e sakuel i	-⌫|-|--|-⌫|
siluiplus t uendunast	-|--|----⌫||-|-----|
auis lif u	---|-|-⌫|
que tropleot	--|---|-|-|
etuz su nts anz kue sienfant	|--|--⌫-|-⌫--|--|-|-----|
demand equei	------⌫|---|
que sa c ue li	--|-|-⌫-|-|
re quereit	--⌫------|
les ingesdistceom	-|-⌫----|---|--||
ert nient depis	--|----|-|--|
enu oliezunpoi d uner	-|-⌫----|-|--|-⌫---|
queeleuusnuis t	--|--|--|----⌫|
purt ostaler	--|-⌫--|---|
dis tlegupilne uusenchaut	---⌫|-|----|-|--|-|----|
cestere questepoiuusuaut	----|--⌫-----|--|--|---|
iad eme cuequeest granz	-|-⌫|-|--|--|--|----|
nealeueres uoz enf anz	-|-------|--|---⌫--|
n enautre re gned	|-|----|--⌫---|
ne ntregent	|-⌫---|---|
ieouusdibie n ap ertem ent	--|--|-|---⌫|--⌫-----⌫--|
mes queelefustdetelafaire	--|--|--|---|-|--|-----|
quei e onelapuisseamei traire	--|-⌫-⌫|-|-|-----||--|-----|
ceste essample	----|-------|
sii ladplus keli n	-|-⌫|-|---|-|-||
neuolt s uffrir	-|---|-⌫-----|
karilne peot	--|-|-|---|
qualtre en aiteissenehonur	-|----|-|--|----|-|----|
meuz leuol tperdrede iuren iu r	---|-|---⌫|-----|-|--|-|--⌫|
dit qu e u oltaler	--|--⌫|-⌫--|---|
enautre ter e	-|----|---⌫|
bestesa ssembla	-----|-⌫------|
et utsun estreli mu str a	|-⌫-|--|----|-|--⌫---⌫|
e quildeus sent reichoisir	|-|-|----⌫---|--|------|
kar nequi dot	--|-|---⌫--|
mes reu en ir	--|---⌫--⌫-|
niotbesteke	||-|----|-|
queunautre leunlu rbaill ast	--|-|----|---|--⌫|-----⌫--|
illu rr e spunt qu ilnela	-|--⌫|-⌫-⌫----|-|-|-|||
ne nurr inulkar ilneo sa	-|----⌫|--|--|-|-|-⌫-|
de e usm eme sde iuentgar der	-|-⌫-|-⌫---⌫|--⌫----|---⌫--|
kimeuzles p u is seguuerner	-|---|--|-⌫-⌫--⌫-|-------|
dun caueientlel u	---⌫|------|-|-⌫|
ot nulsihar di	-|--|-|---⌫-|
queosast prendresilui	--|----|------|-|--|
tantl etienentafelun	---|-⌫|------||----|
eapl usur s	||--⌫----⌫|
aueitpremi s	----|-----⌫|
qu em utlesame r eit tutdis	--⌫|-⌫-|--|---⌫-⌫--|--|--|
alliunuun tsiliuntdit	-|---|---⌫|-|-|--|--|
quilaueientlelue slit	-|-|------|-|-|-⌫---|
illurrespun tnen	-|--|------⌫||-|
que cuinteb est eunt choisie	--|-----|-⌫---⌫|--|------|
presteigne leenperna nt	----||----⌫||-------⌫-|
si decurage ede	-|-|-----||-|
est eitsif rancs cumildeuereit	---⌫--|-|-⌫----|--|-|-------|
mesde un echose	--|-|--⌫|----|
se cremeit	-|------|
quilnepre isista	-|-|-|---⌫----||
c unseille r	-⌫--------⌫|
legupilque tant sottricher	-|----|--|---|--|------|
amd u i suntfelune engres	---⌫-⌫|---|----||-----|
sedell uueulent auer pes	-|--|-⌫|------|---|--|
silefacent sursa inziurer	-|-|-----|--|--⌫--|----|
qu ilnedeiebesteadeser	-|-|-|---|----|-----|
n eque iames asun	-⌫|--|----||--|
nem angastchartantnequant	-|-⌫-----|---|---|-|----|
li lus aduolenters	-|--|-|--------|
li unt demandé	-|--|-------|
mes quantilfu asseurez	--|----|-|-|-------|
e lileunse n fua le z	|-|---||-⌫|-|-⌫--⌫|
grant talentadechar mange r	----|-----||-|---|-----⌫|
pa rengin uodra pu rchacer	--⌫|----|----|--⌫------|
queles bestes otrierunt	--|--|-----|--------|
s a uolenteeiugerunt	-⌫|------||-------|
cheuerolap ele ́	-------|--⌫---⌫|
encunseilliaddeman dé	-|------|-|-|-----⌫--|
que paramuruei r	--|--|---|---⌫|
d es a ale inesi	-⌫|-⌫|---⌫--|-|
c illirespun	-⌫-|-|-----|
q ue a peine	-⌫-||----|
su ffrir le poeit	--⌫----|-|----|
lilus se fistmut curuciez	-|--|-|---|--|-------|
purseshum mesadenueiez	--|--|---⌫--|-|------|
atuzensemble demanda	|--|-------|------|
queliuge mentchescunfra	---|----⌫---|------|--|
d e celiki dit	-⌫|---|-|--|
asunseignur	|--|------|
hunteleidesce	----|-------|
e deshonur	|-------|
cil li dientquil	--|-|----|-|-|
d eitmurir	-⌫--|----|
li lusuet lecheuerolseisir	-|--|--|-|-------|-----|
l uresgart	-⌫-|-----|
puis si mangalameillu rpart	---|-|----|-|------⌫|---|
pursa fe luniecouerir	--|-|--⌫----|------|
enfet autresdepart ir	-|--|-----|------⌫-|
apresicelesaulee	----|----|-----|
uneau tre bestead apelee	--|--⌫--|----|-|-----|
tu ta utretel	--⌫|-⌫------|
desaal eine queili sembl a	-|-|--⌫---|---|-|-----⌫|
ledolen teuolt	-|-----⌫-|---|
meuz men tir	---|---⌫--|
que puruerit emorts uf frir	--|--|-----⌫|---|-⌫--⌫---|
ditli queplu s	--|-|--|---⌫|
n esentimesnem eillur	-⌫|----|--|-|-⌫-----|
ad conc ilieasemblé	-|----⌫---|-------|
baruns addemand e ́	-----|-|------⌫-⌫|
queild eitfere pariug ement	--|-|-⌫--|---|--|---⌫----|
de celuique luitrichee men t	-|----|--|--|-----||---⌫|
tuziug entque	--|---⌫--|--|
dunc ad li lus la	---|-|-|--|-|
beste prise	----|----|
adoc iseedepecie	-|--⌫--||------|
e deuan teustuz	|-----⌫|--|--|
ileocmang ie	----|----⌫-|
gueres apresned emurra	-----|----|-|-⌫-----|
quelilu suit eesgar da	--|-|--⌫|--||-----⌫-|
unsinge gras	-|----|---|
deluiad granttalent eu	-|--|-|----|-----|-|
man gerle uolstedeuorer	---⌫--|-|----||------|
desaaleinesi eleer tpuiant	-|-|-----|-|--|--⌫|-----|
usieleest eit su efulant	|-|--|---⌫--|--⌫-|----|
le sing e fumutueizi ez	-|----⌫|-|--|-----⌫-|
ne uoleitmieestr e	-|-----|--|----⌫|
elene saueititantlidist	--|-|-----|----|-|---|
n esotli lus quilen fesist	-⌫|--|-|--|-|-|-|-----|
karil ne l poeit	--|-|-||----|
treir eamor t	-----⌫||---⌫|
silneli uousistfere	|-|-|-|------|---|
litmalade se feint	--|-----|-|----|
a tutesbestessi sep lein t	|----|-----|-|-|-⌫----⌫|
quiln epotmietr espasser	-|-|-⌫|--|--|--⌫-------|
quillalouen t reui siter	-|-||------⌫|----⌫----|
firentmir es ue n ir	-----|---⌫-|--⌫-⌫-|
pur sau e rs ilp eu stgu ari r	--|---⌫-⌫||-|-⌫--⌫-|--⌫---⌫|
li miresunt	-|---|---|
tutesguaré	--|-------|
nuntrienueunetr oué	|--|---|--|-|--⌫---|
quileustmal qu eli neust	-|-|---|--|--⌫|-|----|
si ma ngersata l ent eust	-|--⌫----||--⌫-⌫--|---|
fetilnuldes ir er	--|-|--|---⌫--⌫-|
fors de char d esinge	---|-|---|-⌫|----|
mesieone uoilbeste	--|--|-|---|----|
munsermentm estutgarder	--|------||----|-----|
tel ereisun	---⌫|-----|
qu elotriass entmi b arun	--⌫||-------⌫--|-|-⌫---|
dunc liloentco mmunemen t	---|-|----|--⌫--------⌫|
quil le facese urement	-|-|-|---|--⌫------|
cu ntre sunc orsdemal guarir	--⌫---|--|-⌫--|-|--|-----|
nepuent ilnu l guarantir	-|----|-|--⌫|--------|
quantiloikem liloa	----|-|-||-|-|--|
pris tsil ma nga	----⌫|-||--⌫--|
p uis e ure nttut luriugement	-⌫--|-⌫---⌫-|--|--|-------|
net ient ue r s eusnulse rment	-|-⌫---|--⌫-⌫|--|--|--⌫----|
pur ceomustr e li sage	--|--|-----⌫|-|---|
quehumnedeustpur nule	--|--|-|----|--|---|
felunhumef eresei gnur	----|---|-⌫--|---⌫---|
a nul honu r	|--|----⌫|
ia nega r derale aute	-|-|--⌫-⌫---|--⌫---|
plusalest range que	---|||---⌫----|--|
sise demeine enuers sagent	-|-|------|-----|-|---|
cumfi stlilus del serment	--|--⌫-|-|--|--|------|
dun ueneurnuscun teici	|-|-----|--|---⌫-|--|
queu nluauei tacuil li	--|-⌫|-|----⌫|-----⌫-|
pa rm iunchampfuili lus	--⌫--⌫|-|----|--|-|--|
u un berk er	|-|----⌫-|
se ei ttutsuls	--⌫--⌫|--|---|
purs afranchis eli requist	--|-⌫|--------⌫|-|------|
quille mu scast esi	-|-|-|--⌫----||-|
alueneur qui l e nsiwe it	-|-----|--||-⌫-----⌫-|
que al boi se steit alétut	--|-|---⌫|-⌫----|---|--|
lipa stredist	-|--⌫---|---|
q ue sifera	-⌫-|-|---|
desuz safaude lemusca	----|-|----|-|----|
li ue nere	-|--⌫---|
ui entcr iant	--⌫--|--⌫---|
e nautresdeman dant	-⌫|-----|-----⌫---|
siilaueit leluueu	-|-|----|-|-|--|
resp untne	----⌫--|-|
od same inli uetenseignant	-|-|--⌫-|-|--|---------|
queal b oi sle deit aler querant	--|-|-⌫--⌫|-|---|---|------|
endementersqui llienseign ot	----------|-|-⌫|-|-------⌫-|
tuz iursgardot	--|---|-----|
nepo tses oilz pasre mue r	-|--⌫|--|---|--|--⌫---⌫|
mes nepu rquantl	--|----⌫-----||
enfi s tale r	-|--⌫-⌫|---⌫|
qu a ntilleu itbien esluiné	--⌫-⌫-|-|-|-⌫-|---|-------|
sidi stal lu qu ilotmuscé	-|--⌫-|-|-|-|-|-|-----|
ne meseztuorebon gre	-|-|--|-|--|--|--|
queieotea i	--|--|-|-⌫|
issideli ueré	---|----⌫----|
l ilusrespundicuint e ment	-⌫|--|-------|-----⌫-⌫---|
ta la ngetesmeinsuereiment	-|--⌫--|--|----|--------|
deiieo fetil bongresaueir	--|--|--|-|--|--|-----|
mesu ne rientedi	--|-⌫-|---|-|-|
alasta mauolente	----||-|------|
tioil sereientia	-|--|-------|-|
ta lang et esmeins	-|----⌫|-⌫-|----|
megarir ent	-|-----⌫--|
p urpoim edescourirent	-⌫-|--|-⌫|-----------|
dunpou n cuntequefuir ie z	|-|---⌫|----|--|-|--⌫--⌫|
memese curucez	----||------|
de ceoq uet ele	-|--|-⌫-|-⌫--|
uoizneaueit	---|-|----|
ceodist auendreit	--|---|--------|
aladestinee	|-|-------|
e ladamelideman da	|-|---|-|-----⌫-|
otasezenlabea ute	-|---|-|-|---⌫--|
laueitsi aurn é	|----|-|----⌫-|
qu eneueeitn ulautr eoisel	--⌫|-|----|-⌫-|----⌫|----|
lepoundit quilsecremeit	-|---|--|-|-|-|------|
quedetuzois eusplus	--|-|--|---⌫--|---|
uie lesteit	---⌫|-----|
bel chanter	--|------|
ele res pun tles	--|---⌫---⌫|--|
bientedeittabeautesuffire	---|-|---|-|-----|------|
nenilfetilbien lepuis di re	----|--|-|---|-|---|--⌫-|
quant liruiss inolpetiz	----|-|-----⌫---|----|
ad me ill uruoiz ieo suihuniz	-|--⌫---⌫-|---|--|--|----|
ildeplusurs	-|-|------|
cu mplusuntplussunt coue itus	--⌫|---|--|---|---|----⌫---|
un eber bizotaignelé	--⌫|---⌫--|-|-------|
elib ercher lena dosté	|-|-⌫-----||-|-⌫|----|
sun aignelet si lenpor t a	--|-------|-||-|---⌫-⌫|
aune cheure lebailla	|--|-----|-|-----|
quede sun leitlad bien	--|-|--|---||-|---|
al bo islenmeine ens embleod	-|--⌫-||-|----|---⌫----|-|
quant e l eert creueeg rant	----|-⌫-⌫|--|----||-⌫---|
puisl apel asilidist tant	---||----⌫|-|-|---|---|
uate na laberbiz ta	-||-⌫||-|-----|-|
ealmutunqueest	|-|----|--|--|
asezte ainurrilun gement	---|-|-|----|---⌫-----|
el e re spundisagem ent	--⌫|--⌫-----|-----⌫--|
mes tauisque me uzdeit	|--⌫|---|--|--⌫-|---|
mame r e celequemesot pestr e	-|--⌫-⌫|---|--|-|--|-----⌫|
meuzque ce le ke	---|--|--⌫-|-|
equidelimedeseuera	|--|-|-|-|-------|
issiauint que unpastiz	---|----|--|-|-----|
otgrantcu m painede berbi z	-|----|--⌫-⌫----|-|-----⌫|
u n buche rsalotodsamui ler	-⌫|-----⌫||---|-|-|---⌫--|
parmil echamp es banier	----|-⌫|----|--⌫-----|
le sberb izsa nzgardetroua	--⌫|----⌫-|--⌫-|----|----|
unen ocistsile nport a	-|-|----|-||-⌫|----⌫|
ch escunelcha mpr eueit	--⌫----|-|---⌫-|-⌫----|
lesberbizmut sen cur ucer ent	--|-----|--||-|---⌫----⌫--|
entreeusdis tren t	----|--|---⌫----⌫|
ecunseiler ent	|---------⌫--|
quene seue ulentpas	--|-|-|--⌫----|--|
pardreitirese laissentprendr e	--|----|--|-|-------|------⌫|
sedesturnerunt	-|-----------|
nepur muri rmot ne di rrunt	-|--|----⌫|--|-|--⌫----|
ta ntatendi ren tlebricun	--⌫-|------⌫---⌫|-|-----|
qu il niremistfor s unmu tun	-|-|||-----|---⌫|-|--⌫--|
see it enlap lein e	---⌫-|-|-|-⌫----⌫|
ne putmuer	-|--|---|
queneseple ign e	--|-|-|---⌫---⌫|
grantlaschesc efet	----|--------⌫|--|
il fesimes	-|------|
etropmau uei scunseilcreimes	|---|---⌫---⌫|------|------|
q ue grant cu mpainie este ium s	-⌫-|----|--⌫------|----⌫---⌫|
quant nusnusnedefend ium s	----|--|--|-|------⌫---⌫|
uers ces t hummequeagrant tort	---|---⌫|----|--||----|---|
nus adt uz priseieté	--|-|-⌫-|---||----|
pur ceodit hum	--|--|--|--|
enrepruuer	-|-------|
p lusursseleissent	-⌫-----|-|-------|
quecuntresterno sen tlu renemis	--|---------||-⌫---⌫|--⌫|-----|
kenef acent aeus lepis	-|-|-⌫----||--|-|--|
un empere resnurriia	-|------⌫--|----|-|
un singequef orment ama	-|----|--|-⌫-----|--|
elisingesbie na tendeit	|-|-----|---⌫|-⌫------|
quanqueashum esfe re ueeit	------|-|---⌫-|--⌫-|----|
cumlempereuru itse ruir	--||-------|-⌫-|--⌫---|
eses festes li	|--|-----|-|
letiendrentaseignur	-|--------||------|
alaforest s e	|-|-----|-⌫|
mi st uniur	--⌫-|-|--|
tuz l es singesfistas emble r	--|-⌫-|-----|---|--⌫-----⌫|
pet iz egra n zquil pot trouer	---⌫-||---⌫-⌫|-|-|--|-----|
surtuzs e fist	--|--|-⌫|---|
puissis retientensemb le od sei	---|-||------|------⌫-|-|--|
desplusu rs fistsescheualers	--|-----⌫-|---|--|--------|
e desasquanz sescuns eil lers	|--|------|--|----⌫---⌫---|
e lessergau nzdesa meisun	|--|------⌫-|-|-|-----|
establi ilchesc unparnun	------|-|-----⌫-|--|--|
d uncpristfemm e	-⌫--|----|----⌫|
si ote n fa nz	-|-|-⌫-⌫--⌫-|
etientfestesri chesegranz	|----|-----|--⌫---||----|
duihu m me erent alboisalé	--|--⌫-⌫-|----|-|---|---|
esteientesgua r é	-------|-----⌫-⌫-|
lauli singeconuerse re nt	-||-|----|--------⌫--⌫-|
utre l uruo len tealerent	---|-⌫-|--⌫---⌫-|------|
il eren ta ss emblé	-|----⌫|-⌫--⌫-----|
firentm iede	-----|-⌫-|-|
l i unsesteitforment leials	-⌫|--|-----|------|-----|
el iautrestric hereefaus	|-⌫|-----|----⌫---||---|
quant enlu r	----|-|--⌫|
curtfurententré	---|-----|-----|
des singessuntmu t	--|-----|---|--⌫|
bi ena pelé	--⌫-|-⌫----|
lileaus hum les esguarda	-|----|--|--|-------|
l emperere lidemanda	|-------|-|------|
q u ei luisem blot	-⌫-⌫-|--|---⌫---|
de s a meisnee	-|-⌫|------|
sielee steitbele	-|--|-⌫----|---|
eensei gnee	|-----⌫---|
hum adre spundu	--|-|--⌫-----|
quesin ge sfu	--|---⌫--⌫|-|
d e meiedemafemmedi	-⌫|--||-|-|----|-|
fizquetuueizici	--|--|-|---|--|
quei tensemblenelmeceler	---||-|-----|-||-|----|
ce o quemendeitfet i lsem bler	--⌫|--||-|---|--|-⌫|---⌫---|
tuess ingeeelesingesse	-|-|-⌫---||--|-------|
leide hiduse	----|-----|
efelun esse	|-----⌫---|
p oezsa ueirde tunfiz	-⌫--|--⌫---|-|--|--|
queceoe stun singetelpetiz	--|--|-⌫-|-|-------|----|
al tricheursuncumpainun	-|-------|--|--------|
distmemesceste raisun	---|----|----|-----|
d emanderen tde	-⌫---------⌫|-|
lurdit ke li sem bl o t	--|--|-|-|---⌫--⌫-⌫|
