o rfaitespaixpourDie	-⌫|-----|---|---|--|
uistem ent l eportedeffermeeEtil est entre ́zens	------⌫--|-⌫|----|--------|-|-|--|-----⌫-|--|
L ors quilfu reuenu sfuleclocquesonne e.	-⌫--|-|-|-|------⌫|-|-|------|-----⌫-|
Leconseilseassambla	-|------|-|-------|
en lasall e pareeEt	-|-|----⌫|----|-|
lao nt l es nouuellesoÿes etescou tees .	-|-⌫-|-⌫-|--------|----|-|-----⌫----⌫|
lesenne schalLac hoseestordonnee.Or	-|-----⌫----|-|-⌫---|--|--------|-|
appereill onsnous tre st ous	---------⌫--|---|---⌫--⌫--|
uespre e Se ysseronsde matinainchoiz	------⌫|-|-------|-|----|-------|
laubecreueeP aru	|---|-----|-⌫-||
porte sr oyaulxsansnoize etsans	-----⌫|-⌫-----|---|----|-|---|
cryee Etsy	----|-|-|
les courr onssus comme	--|-----⌫--|--|----|
bestederuees. Etceulxont re spondu S y	----|-------|-|----|--|--⌫-----|-⌫|
s oitcom meuousaggre e.	-⌫--|---⌫-|---|-----⌫-|
Ainsyfupar la	----|-|--|-|
uillecestecho secomptee .Toute nuytanuytienefu	----|----|---⌫-|-------⌫|----|---|------|-|-|
trompeso nnee Ne	-----|--⌫---|-|
corne ol liffant sonnéa	--|-|--⌫------|-----||
l a u olleeNe haul teraison	-⌫|-⌫----|-|----⌫-|-----|
ditte neno i sedemenee.	----|-|--⌫-⌫-|-------|
Parcinc qpo rtes	--|----⌫|--⌫---|
yssirentcestuerité	-------||--|------|
prouuee Toutreuenant a ungpa r parol le	------|---|-------||--|--⌫|-----⌫-|
assignee . Puisretou rnerent a	--------⌫|---|-----⌫------||
lostt outa unehu ee.Quantuie nta	|--|-⌫--||--|--⌫--|----|---⌫-||
lapproichiertell en o i sey	|----------|----⌫|-⌫-⌫-⌫-||
menee Quetoutenr etentist et lepi ereet	----|--|---|-|-⌫-------|-|-|--⌫--|-|
pree.To uttelyo st	----|--⌫---|-|-⌫-|
tellementeffr aee	--------|----⌫--|
Quetouty s	--|---|||
en fuioi en t comme bestesagareeCar	-|-----⌫--⌫|----|-----|-----|--|
ilz cuidoien tbienauoir paixconfermee.Syn	--|--------⌫|---|----|---|---------|-||
auoient dormy a repoz	------|----||----|
delanneeOresto ien t	-||----|-|----⌫---⌫|
ain si com m etoutasseüree Syfurentplus	---⌫-|---⌫-⌫|---|--------|-|-----|---|
sou rp r isa	---⌫--⌫-⌫-||
cellematineeQue	----|------|--|
unglerequiaite mblé	--|---|--|--|-⌫----|
unelieueeEtung	--|-----|-|--|
l emainependre.Moul t fu	-⌫|----|------|----⌫|-|
grande lanoize q uant	-----|-|----|-⌫---|
l aprochie r	|--------⌫|
HideusementafaitlesLombarsr es ueilli er.	----------||---|--|------|-⌫--⌫------⌫--|
Trestoutsenu ont fuyant	-------||-|-⌫--|-----|
baronset ch euallier.Le royThiery demouroit quant il oÿ	-----|-|--⌫--------|-|--|-----|--------|----|-|--|
b u squ ier	-⌫-⌫---⌫--|
So nmaistrechambrencqui le prinst	--⌫|------|--------|--|-|-----|
ahucquier.Or	|--------|-|
siresd istil	----|-⌫--|-|
orsus sans attargier	-|--|---|--------|
Toussommesmors	---|-----|---|
ouprinssan snezung	-|----|---⌫|-----|
re couur ier. Tou t t raïson f ut ch e comme	--⌫-----⌫---|---⌫|-⌫------|-⌫-|--⌫|----|
uousraccomptayhier. uecy	---|---------|----|---|
c e u lx dAcquittainequ iu ie nnentessillier Tousceulx	-⌫-⌫-⌫-||----------|--⌫|-⌫--⌫----|--------|---|----|
deuostreost	-|-----|--|
deuantet derrier . Oncquesne fu ueü	-----|-|-------⌫|------|-|-|---|
simorte le n combrierEt	-|-----⌫|-⌫-⌫-------|-|
ler oyloÿ s i se prista seignier. Ou	-|-⌫-||--|-⌫|-|----||--------|-|
arayef iancequa ntme	----|-⌫----|---⌫-|-|
esseill ierD ecel lui p roprementquidoitgens con seillier	-------⌫--|-⌫|---⌫--|-⌫--------|--|---|---|---⌫-------|
d euoitpourle s me nb r estre nchierTraïsonp ourpens erpou r au truy	-⌫----|---|--⌫|--⌫--⌫-⌫-|---⌫-----|-------|-⌫-------⌫-|---⌫|--⌫---|
domp ma igierPar	----⌫--⌫----|--|
s ai nt PierredeRommequere quiere ntpasm ierSeie	-⌫--⌫-|-----|-|----|--|--⌫------⌫-|----⌫--|-|-|
puis aPauyesa u ue ment	---||----|--⌫-⌫--⌫---|
re payrierL appostel le f e rray cedo mmaige	--⌫------||--------⌫-|-⌫-⌫---|-|--⌫-----|
payer.Qu ant	-----|--⌫--|
soncl er m ateraÿ	--|--⌫-|||-----|
etfai ttelencombrier Mon	-|---⌫|--|---------|--|
doit rendre.Leroy	---|------|-|--|
sestuiste mentch aulchie ́set uest us	|--|-----⌫---|--⌫-------⌫-|-|----⌫-|
cheualsya son blas o npr is. uenusestsur	-----|-||--|----⌫-⌫|--⌫--|----|--|--|
leschampzs a ente ndus	--|-----|||----⌫---|
lescryzQ uesihomme fais oi e ntcontreualleslarris.	--|---|-⌫-|-|----|----⌫--⌫-⌫-|--------|--|------|
Moul tu olentiers	----⌫|-⌫--------|
all astcontre	---⌫--|-----|
s esennemis Mais	-⌫-|------|---|
neu oit cheua l lierquisen so it	-|-⌫--|-----⌫-⌫---|--||-|--⌫-|
aas tizC he scunuado llansetesbaubi z. Donts	---⌫--|-⌫--⌫---|-|--⌫----|-|-------⌫-|---||
esclamale roy	------|-|--|
fo iz chetif.Ella s d is tleroyieperchcymes	--⌫-|------|----⌫|-⌫--⌫|-|--|-|----|-|--|
estparleliegalqueencheme nt	--|--|-|-----|--|-------⌫-|
suytraÿzD ontli ontd it les	--|-----|-⌫--|-|--|-⌫-|--|
princes Nob le	------|---⌫-|
roixgent ilz Mettézuousa	---|----⌫--|------|---||
ga rrantr allo ns e nno	--⌫----|-⌫----⌫-|-⌫|-|
payzCaracydemour ercenes tpo int	---|--||-|------⌫-|-||--⌫|--⌫--|
uostre pourffit. Lorslont	-----|--------|---||--|
p rins parl eregn ede soncheualdepr i sOu	-⌫---|--|-⌫|----⌫|-|--|-----|-|--⌫-⌫|-|
il uaul sistounonal a	-|----⌫---|-|--||-⌫|
uoyeleontmiz.P our aller	---|-|--|---|-⌫--|----|
au chastelque	-|------|--|
deuan tore nt p ris Se	-----⌫|---⌫-|-⌫--|-|
mirent a leuoyemaispresfur entsieuyz	-----||-|---|---|---|---⌫--|-----|
Carlese n neschal aussy	--|-|--⌫-⌫------|----|
sourpristle paÿz.Synefuissentr etra is onle s euïb st	--------|-|-----|-|-|-------|-⌫----⌫-|-|--⌫|-----⌫-|
sais siz. Au	----⌫---|-|
boss ennes tresenuont	--|-⌫-----⌫--||-|---|
d armuresgarnyz Enungbosson t e ntré z	|------|-----|-|--|--|---⌫|-⌫-----⌫|
quif uuerset iolyz.	--|-⌫|---|-|-----|
Lorssappa r eillel eiour	---||----⌫-⌫----|-⌫|---|
quileures t	--|---|--⌫|
esclarcyEtlesLombars sen uont	-------|-|--|------||-|---|
fuiant parleslaryz .Assé zeny	-----|--|--|-----⌫|-----⌫|-||
otdemors ets en ot moultdepris	-|-|---|-||-|-|----|-|---|
N oblesenfuli	-⌫----|-|-|-|
gains chesc un	----|-----⌫-|
enamou l t	-||---⌫-⌫|
pris.Nelais sierent le si euteque	----|-|----⌫------|-|--⌫---|--|
prézdemid y	----|-|---⌫|
Puissenuontrepai rantouchastel do ntie	---||-|---|-----⌫---|-|------|--⌫-|-|
dyQuides Lombars	-|--|--|------|
deuantauoite stépris.Layansa uoitLombarsnesçayuC	-----|----|-⌫---|----|-----|-⌫---|------|-|----|-|
lesgens dAcquit tainel es	--|---||------⌫----|-⌫-|
oren t tantassa illiQuilzrendirentle	----⌫|---|----⌫---|-|--|--------|-|
to urssans plus fairede stry.	--⌫--|---|---|----|--⌫----|
Sa uuecorp zet auoirainsiful	--⌫--|----⌫|-|----|----|-||
pri s.Puisr allerrentLombars trestousen leu rpaÿz.Encement	---⌫-|---|-⌫--------|------|-------|-|---⌫|-----|-------|
d eliurézle	-⌫-------|-|
pour prisMaisainspourc hou ne f u le ur	----⌫---|---|---|---|-⌫--|-|-⌫|--⌫-|
grrandizSauoient des Lo mbarsplentéenpriso nmis.Et	-------||------|--|--⌫----|------|-|-----⌫|---|-|
s enneschalot sesestasfurnis	-⌫--------|-|--|----|-----|
Il enf utellementfieret	-|-|-⌫|--------|---|-|
enorgeuil lizQuiluault toutsi reses tr e etmaistre	---------⌫--|-|-|----|---|--⌫--|--⌫--⌫|-|------|
donn oit be aux	----⌫--|--⌫--|
uairsetles gris Etc eulxqu il pooit	----|-|--|---|-|-⌫---|-|-|----|
donner aux	-----|--|
gr anset aux	--⌫--|-|--|
p etisIlaue ulistlemonde. Saige	-⌫---|-|---⌫----|-|-----|----|
baronsquisenreuo ntleur uoy e. uai ssen t	-----|--||-|----⌫-|---|---⌫-|---⌫||--⌫|
l e ro yTheryqu i moult	-⌫|--⌫|----|--⌫|----|
fo rmen tanoye. Il	--⌫----⌫|-----|-|
nenua rema nant trefnet entedesoyeEt	|-|-|----⌫---|---|-|-⌫---|-|---|-|
cheu alliersaperdubellemoy e .Ly	----⌫------||----|----|---⌫-⌫|-|
r oy eniureD ieu	-⌫-|-|---|-⌫--|
aqu idut outs	|--⌫|-|-⌫--||
apppoyeQu e R oum e d e struira quiestplus grant	------|--⌫|-⌫---⌫|-⌫-⌫------|--|--|---|----|
q ueTroyeOuil fera	-⌫-|----|-|-|---|
saperteenc ertainemonnoye.	-|----|-|-⌫------|-------|
uersPauyesenu amoul tfor mentse	---|----||-|-⌫|----⌫|---⌫---|-|
honttoye.Tant	--------|---|
u aexplo itta n tau	-⌫|-----⌫----⌫-⌫|-|
sa maisn ie	-|-----⌫-|
qu oyeQue Pauy eest	--⌫--|--|----⌫|--|
entr és quiluist et r eflammoye . Quantleroÿnnesceu t	----⌫--|--|----|-|-⌫---------⌫|----|-|------|----⌫|
deu ray l a	-|-⌫--|-⌫|
fau lseuoyeQuele	---⌫--|---|--|-|
royfutraÿz du re me ntlui annoye.Et toutela	--|-|-----|--⌫--⌫--⌫-|--|------|-|----|-|
ci téenuironsetientqu oye . Leroymont eau	--⌫--|------|-|----|--⌫---⌫|-|--|----⌫|-|
ung p rinces	--|-⌫----||
a ppoye .Ensa chambreest entr é et [. ..]noblent s aroye.	-⌫-----⌫|-|-|------|--|----⌫-|-|--⌫---------||-----|
secontientetpa ireet seconto ye	-|-------|-|--⌫--|-|-|-----⌫-|
Que sileustco ncquizlaterred e	--||-|---|--⌫-----|-|----|-⌫|
Sauoy e .Biendistqueuns	-----⌫-⌫|---|---|--|--|
doit entrer enfolleuoyeOnn e ra	---|-----|-|----|---|-|-⌫|-|
pert e.Leroyestreuenu au pal las deP a uye.	----⌫-|-|--|--|-----|-|---⌫--|-|-⌫-⌫---|
Leduca fai t	-|--||---⌫|
ue nirdeuantsabaronn ieEtquantill aueü	--⌫--|-----|-|------⌫-|-|----|-|||---|
haulteme ntlu iescry e	--------⌫-|--⌫|-----⌫|
SauarydAcquit taineperdre	-----||------⌫----|-----|
uousfault la	---|----|-|
uostreienm	-----|--||
ontfai t annoyetuillonnie.Telleou ltra ige ma	--|---⌫|----|-|---------|----|--⌫----⌫--|||
faitqu i uenraa	---|--⌫|----||
folli e .-Sir esedistle ducamender	-----⌫-⌫||---⌫|-|---|-|--|------|
nelep uismye. Certesse	-|-|-⌫--|---|-----|-|
ppoisemoya men derne	-----|--|-⌫---⌫--|-|
m ie . uous pouézde moyfai re	-⌫--⌫|---|-----|-|--|---⌫-|
to ute u o	--⌫--|-⌫|
commandi eIesui	--------⌫|-|--|
e nuostrec ommand et	-⌫|-----|-⌫-----|-|
e nuostrebaillie.Dont	-⌫|-----|-------|---|
command aleroy alas oyeme isnieQu e	-------⌫|-|--||-|-⌫--|--⌫----|--⌫|
le d ucsoitg a r de ́ z en prison	-|-⌫-|---|-⌫-⌫-⌫--⌫-⌫|-|-----|
uero uillie.Ain sy	----⌫------|---⌫-|
remetlachoseiu squ esauneautr e fye. Or	----|-|----|--⌫---⌫-||--|----⌫|---|-|
lairaydur oyetde	-----|-|-⌫-|-|-|
sabaronnyeDiray du	-|-------|----|-|
senneschaletde	---------|-|-|
s am ais nie	-⌫|-⌫---⌫--|
Qui poissan mentreng nae tti ent lase ignou r ie	--|-------⌫---|----⌫-|-⌫|--⌫--|-|--⌫-----⌫-⌫-|
D Acquittaine legrant	|----------|-|----|
celleterrei olye .Commed roi tso uuerainchescun alui s	----|----|-⌫----⌫|----|-⌫---⌫|--⌫------|------||--||
ottrye.Les	------|--|
enffans n epris oit une pommepou rie Pardede ns s a	------|-⌫|----⌫--|--|----|---⌫--|-------⌫-|-⌫|
cui sineles	---⌫---|--|
transmistune	--------|--|
fye. L eungto urne	---|-⌫|--|--⌫---|
le rost seala sauc ebroÿeLe	-|---|-||-|----⌫|-----|-|
autrefait le feudontla	----|---|-|--|---|-|
charano rchie. Lesenneschaln efai t d	---||--⌫-----|-|---------|-⌫|---⌫||
eulxque unemocquer ie	---|--|--|-------⌫-|
Etles teno ita	-|--|----⌫-||
fol etto utplainde so ttie	--|-|--⌫-|----|-|--⌫---|
neua lle ntlem onted uneallie.Maison dist	-|--⌫---⌫-|-|-⌫---||--|-----|---|-|---|
souuentr aisonappublye Quepar	------|-⌫----|-------|--|--|
g ra ntpou retée st chamb remalgarn ye	-⌫--⌫-|---⌫----|-⌫-|-----⌫-|--|----⌫-|
T esmoigless ottesdames. Orfurent lesenffanstenus	-⌫-----|--|-⌫----|-----|-|-----|--|------|----|
eng r antuieuté.	-|-⌫-⌫--|-------|
lesenneschalu ah ors dela	-|---------|-⌫|-⌫--|-|-|
citéEnriuiereouenbosou il	----|-|------|-|-|--|-|-|
auollen te ́ Et quilestrepairiéens ou pa llais	|------⌫--⌫|-|-|-|--|--------|--|-|--⌫----|
pare ́Ilfault que	----⌫|-|----|--|
lese nffanssilaillentdeshouserEtgar dentle shouseau lx	--|-⌫-----|-||------|--------|-|---⌫---|--⌫|-------⌫-|
ch e minéSe sporons ousespeesonco utel acheré. Ainsi	--⌫-⌫----||-⌫------|-||----|--|--⌫---|-------|----|
enffanst elle mentdesmenéLemai strede s e nfansq ui long tem pz	------|-⌫----⌫---|-------|-|---⌫---|--⌫|-⌫----|-⌫-|---|---⌫-|
estEnauo itmoultl ecuer	--|-|---⌫-|----|-⌫|---|
courrouchi éet	----------⌫-|-|
ayeré.Il estoit cheual lier	------|-|-----|------⌫---|
gr ant aet.Lesen ffan sot nourisen gran t a uctoritt é	--⌫--|---|--|--⌫----⌫|-|-----|-|----⌫|-⌫--------⌫-|
tempzquel e d uce stoit en maies té.	----|--|-⌫|-⌫-|-⌫----|-|-----⌫---|
M ai sen leurequeu nglot pris	-⌫--⌫|-||---|--|-⌫-||-|---|
neattrappéSi furentlesenffa nshors	-|--------|-|-----|--|-----⌫-|---|
desamainhostézEt	-|-|---|------|-|
seruicemiscomme ie uousaycompté.	------|--|----|-|---|-|-------|
Senfu aucue rcourro uchié et	|-|-|-|---⌫|------⌫-----|-|
mou ltensceutmaulgréMais nesçotdir e	---⌫-|-|----|-------|---|-|----|---⌫|
mo tpourlegrantcruaulté	--⌫|---|-|----|--------|
Du f el lon	-|-⌫--⌫--|
sennesc h al quimoultsceu tdema yté.Non	-------⌫-⌫-|--|----|----⌫|-|--⌫----|--|
pourquant aux	---|----|--|
enff a nsfaisoitgrantamistéMaisil z	----⌫-⌫-|------|----|------|---|--⌫|
f ur entlong tempzengrant	-⌫--⌫--|---|----|-|----|
aduersitéEnce	---------|-|-|
uillainse ruaige. Tantfurentlesenff ans ence	------|--⌫------|---|-----|--|----⌫--|-|-|
uilla inseruaigeQuilzeubrentaccom pl yXu	-----⌫-|-------|-|--|------|-----⌫--⌫|-|
ansdeleurea ige.	--|-|---|--⌫---|
auoi ent pouresabbizetnorre c hiz le uis aige.Tout	----⌫--|-----|----|-|-----⌫-⌫--|-|---⌫----|---|
ainsi c omme sos	----|-⌫---|--|
c uisoyentl epot ta ige. Quantlefaulx	-⌫-------|-⌫|---⌫--⌫---|----|-|----|
sennes chal repairoit du	------⌫---|--------|-|
bos qua ige Se s esc uier sesto ientcestoittoutleurouuraige.Mais	---⌫---⌫--|--⌫|---⌫----⌫|----⌫---||-----|---|---|--------|---|
leu iel ch euallierenot	-|-⌫--|--⌫-------|-|-|
aucuer grantraige . Aliaumes	-|---|----|-----⌫|-------|
auoita nom et	----||--|-|
tintgrantheritaige . L es en ffans appellaenung basset langaige.	---|----|---------⌫|-⌫-|--⌫----|------|-|--|-----|--------|
Aÿen fa n sdistilneuall ézung fro mmai geQuant	--|--⌫--⌫-⌫|---|-|-|----⌫--|--|---⌫----⌫-|----|
uo us estes	--⌫-|----|
extr aisdup lus	----⌫--|-|-⌫--|
haultainglinaigeQue trestousceulxqui	--------|------|--|-------|----|--|
sontuiuant	---|-----|
iusquauQuartaige.uozoncles	----|-|---------|--|-----|
est leroy dePauyelelarg e Qui	--|-|--|-|----|-|----⌫|--|
uostr eperet ienten sa prisons auuaige .	-----⌫|---|-⌫---|-|-|-----|-⌫-------⌫|
Et ycyu ous uoztenézen	-|--|-⌫--|--|-----|-|
tresuiel houssai ge	---|---|-------⌫-|
Etuoustournéz leroz asi tr esg rant hontaige	-|---|-------|-|--||-|--⌫-|-⌫---|-------|
Et deschaul ch iézalu i	-|--------⌫--⌫---||--⌫|
quideuist e n seruaige Estredessoubzuous	--|-----|-⌫|-------|----|-------|---|
uousfuiss iéz b iensaige.Certesseppoise	---|-----⌫---|-⌫--|-----|-----|-|-----|
moypar Die u	--|--|---⌫|
ymaige.Se debon sangfuissi é z	------|-|-|--|---|------⌫--⌫|
et de hardycorraigePointneuous	-|-|----|-------|----|-|---|
souffri ssiéz en	-------⌫-----|-|
ceu illainseruaigeQuantle sd eux	-|-⌫-----|-------|----|--⌫|-⌫--|
enfans ontoÿ	-----|--|--|
lela ngaige Anthiaume	-|--⌫-----|--------|
respondyb onparler	-------|-⌫-|-----|
sansoultraig eSire	---|--------⌫|---|
nous ne uëonshommede	---|-|-----|----|-|
nol ignaigeQuiaitpitetdeno	-|-⌫------|--|--|----|-|-|
seruaig e.Etdis t le cheuallier	-------⌫-|-|---⌫|-|---------|
d uns aigeQuis	|-|-⌫---|--||
accroupt onlabbaisse.Sei gneursen fans loyalet	-------|-||--------|---⌫-----|--⌫---|----|-|
conuen antRepr en nézcuer enuouspartropestre	------⌫--|----⌫--⌫---|---|-|---|--|---|----|
souffrant Ca r d e	--------|--⌫|-⌫|
cheque onuousfaitu ous estes tro pde p portant.Saichié s	--|--|-|---|---|-⌫--|----|---⌫|--⌫-⌫-------|--------⌫|
pour uousor e t	---|---|-|-⌫|
ar gent luisantEthommesarmoyé	--⌫---|------|-|-----|------|
dutoutauocommand	-|---||-|------|
Cheuaulxetpal froisetbons	-------|-|---⌫----|-|---|
mulle za mblan s.Ieuousaba n donnetout	-----⌫|-⌫-----⌫-|-|---|---⌫-⌫----|---|
nemalléz espar eignan t	-||-----|-----⌫------⌫|
Cariad i zengaignayau ostreapprendre	--|---⌫-⌫|--------||-⌫----|--------|
Que i e uousen don raypour uousueniren auant.	--|-⌫|---|-|---⌫--|---|---|----|-|-----|
Iep uisasséz donner	-|-⌫--|-----|-----|
etau oirmen	-|--⌫--|--|
r emanant. Etsaich iésque pouruouss ont	-⌫-------|-|-----⌫---|--|---|---|-⌫--|
lesp lu seurs	--|-⌫--⌫----|
dollan t . Syuousp riequ iluous	------⌫-⌫|-|---|-⌫--|-|-|---|
u eu illeso uuenir d u bontampzDont	-⌫--⌫---|--⌫-----|-⌫|--|----|---|
uousest ezyssuzcar	---|---⌫-|----|--|
mal esta ffre ant	--|--|-⌫----⌫--|
Que u ous faichiézouur aige si	--|-⌫--|--------|----⌫---|-|
ort et sipuantQ ue deschaulchier cellui	--|-|-|----|-⌫-|------------|-----|
sur quiestez p uissant Qui	--|--|----|-⌫------|--|
uousdeuïst	---|------|
po rter foyethonneurbieng ran t.Sauaryuo	--⌫---|--|-|------|---|-⌫---⌫-|-----|-|
perequitant	---|--|---|
estcombattantRoyTh eryqui	--|---------|--|--⌫--|--|
estuotayonquiac uer daymant. E tli	--|-|----|--||-⌫--||------|-⌫|-|
faulx sennes chalq uiacue rdethyr ant uous me t en	----|------⌫---|-⌫-||---⌫|-|----⌫--|---|--⌫|-|
telseruaigequ	--|-------|-|
o n cquesneuizsigrant.- Sire s uous	-⌫-⌫----|-|--|-|-----||----⌫|---|
dittesuoirsidise nt	-----|---|-|----⌫-|
enffans. Nou s	-------|---⌫|
ferons plusdores	-----|---||---|
mais e nauant.A don tdele	---|-⌫|-----|-⌫---⌫|-|-|
cuisi n esallerentdepportantEt sa ssi rentat abledroit	-----⌫-⌫||-------|---------|-||-⌫---⌫---||-⌫---|----|
cornant.Etquant le senneschal lesuaappercheuant	-------|-|----|-|---------|--|-|-----------|
T osthainellemen t	-⌫--|-----------⌫|
appel laungsergentEtpuisselui adit	-----⌫-|--|------|-|---|-|--||--|
haultement enoyant	---------|-|----|
Faitteswydiersesgars quensysansm on co m m and	------|-----|--|---|-|---|---|-⌫-|--⌫-⌫-⌫--|
Ai nsyassir a table	--⌫--|----||----|
mal allerentp ens an t Lesergent prinstsa masquequ imoult	--|-------|-⌫---⌫--⌫|-|------|-----|-|-----|--⌫|----|
e stoitpesant.SyenferyAnt hya u me aubrach ung	-⌫----|------|-|-|---|---⌫---⌫-⌫-|-|----|--|
c opori blee tgrant	-⌫-|---⌫--|-⌫|----|
Etp uisferi t	-|-⌫--|----⌫|
Garr inledemoiselpois santEt	----⌫-|-|-------|----⌫---|-|
dist Trayéze nsus	---|------|-⌫|--|
felglouttonsoudoyantuo mere	--|-------|--------|-|---|
fuputtainsineu allézung	-|------|-|-|-⌫-----|--|
Commentauézore z le	------|----|---⌫|-|
hardime nts igrant Quesans co m ma ndementuous	-------⌫-|-⌫|----|--|---|--⌫-⌫--⌫------|---|
allerassean tEtuuÿdie ́zd ecyetnalléz	----|------⌫|-|-------⌫-|-⌫|-|-||-----|
arrestantEtquant	--------|-|----|
c e ulxlont	-⌫-⌫--||--|
oÿsyenfurent d olant Maisilz	--|-|-|-----|-⌫----|---|--|
n o rente speenenul	|-⌫---|-⌫---|-|--|
coute autrensant .D etablese leue rentcourrouchi ézet dollant .	-----⌫-|--------⌫|-⌫|----|-|----⌫---|----------⌫--|-|-------⌫|
Anth iaumeetGar ins	----⌫----|-|---⌫-||
enallerentfuiantPardedens	-|-------|-----|--------|
lacui sinelase	-|---⌫---|-|-|
uo n tdeuisa ntEt dÿentl	--⌫-⌫|------⌫-|-|-----||
un alautreNous s ommes tropme schant .	-|||----|---|-⌫----|---|--⌫------⌫|
-Ga rr in distAnthiaume	|--⌫--⌫-|---|--------|
Dieu enconuen ant Qu enesouf fray	---|-|------⌫--|--⌫|-|----⌫---|
iammaisnetantnequant.- Syfaiz f reres	------|-|---|-|-----||-|---|-⌫----|
distci l au main s	---|--⌫|-|----⌫|
i u squesautantQuelef aulx senneschal uousyracy	-⌫-⌫----|-|---|--|-|-⌫---|---------|---|--|-|
mandantPourlu ia	------|---|--⌫||
desho usseretu o u ssaul réz	-----⌫----|-|-⌫-⌫-⌫|----⌫---|
auantPuis le	----|---|-|
yrézdeshouseret ie y ray	----|--------|-|-|-⌫--|
escou ttant Duneespeele yray lesdeux gambes	-----⌫----||--|----|-|---|--|---|-----|
coppant.Et puis	-------|-|---|
yro nsa P auye c ourr a nt Car nous sommes	---⌫-||-⌫---|-⌫----⌫-⌫-|--|---|-----|
tenus a foletnon	----||--|-|--|
saichant Destr esi deb onaire.Orontles	-------||----⌫|-|---⌫------|-|--|--|
deux enffansac cordet	---|------|--⌫---|-|
con seil pri sP uisne demouron tgairessenousdist	---⌫---|---⌫|-⌫--|-|--------⌫|-----|-|---|---|
liescripz Que	-|------|--|
lefel sennes chalestoitaretour	-|--|------⌫---|-----||-----|
uenoit dugibier et s a uo it	-----|-|-----|-||-⌫--⌫-|
maint oiselp risDedeuxnoblesfa u c onsquonauoit	----|----|-⌫--|-|---|-----|--⌫-⌫-⌫--|-|-|----|
bi en appris.	--⌫-|------|
il fustentr éensou pall aisdep risDemandales	-|---|----⌫-|--|-|----⌫--|-|-⌫--|------|--|
ilzysontsaill yz.An thia umele enffantlegam be	--||---|-----⌫--|--⌫----⌫--|-|------|-|---⌫-|
houseaux l uios te	-------|-⌫-|--⌫-|
quisonth o r sethonniz.	--|---|-⌫-⌫-⌫|-|------|
EtG arrintenoit ungbran	-|-⌫----|-----|--|---|
q uibienestoit fourbizSyenfery telcopet	-⌫-|---|-----|------|-|-|---|--|--|-|
parsi bonadmis	--|-|--|----|
pardessuslege n oulleferysi	--------|-|--⌫-⌫--|-|---|-|
Legambeluitrenchac omme	-|----|--|------|-⌫---|
cuissede brebiz.Et Anthiaume	-----|-|------|-|--------|
luilancheungcouttelensoupyz Le	--|-----|--|------|--|-|--|-|
senneschalreuerseiusa leterreocchiz. Dont	---------|------|--||-|----|------|---|
leu a aup allaisla	---⌫|-|-⌫-----|-|
noizeetlicryz.A	----|-|-|----||
d ame en fufaitgehy z . Damefont le s	-⌫--|-|-|---|----⌫-⌫|---|---|--⌫|
b a ron suostr epereest	-⌫-⌫---⌫|-----⌫|---|--|
mordy. Mortlont	-----|---||--|
enffansa uduc est	------|-⌫|--|--|
uomary.Quant la dame	-|----|----|-|---|
le nte n t	|-⌫---⌫-⌫|
sescuersfustesbaubiz	--|----|---|-------|
cheÿpausmee encor e su foiz ouuI Pour la mort	----|------|-----⌫-⌫||---|-|-|---|-|---|
desonpere.M ort e s t	-|--|----|-⌫--|-⌫-⌫|
lesenneschaulxet aléas afin . P arded enslepallais	-|-----------|-|---||-⌫|---⌫|-⌫-----⌫--|-|------|
oy issiézgra nt	--⌫------|---⌫-|
hu stin.Et lese n ffanssauallent	--⌫----|-|--|-⌫-⌫----||-------|
dupallaismaberin Du squal	-|------|------|--⌫--|||
ostelAli aume ne	----|---⌫---|-|
pr endentoncquesfin.La fur entensel lé uistement	--⌫-----|------|---|-|---⌫--|-----⌫--|--------|
unron chinEtsi donnaachescunbonhauberchdoublentin	-|---⌫---|-|-|----||------|--|-------|---------|
armuresetbo n brancarcherin Etde	------|-|--⌫|----|-------|-|-|
songranttr esoirleurdonna	--|----|--⌫----|---|----|
maintflorin.Or e scoutté zseign eursquefirent	----|------|-|-⌫--------⌫|-----⌫---|--|-----|
lescousi nsDu	--|-----⌫-|-|
fellonsennes chalqu e	-----|------⌫---|--⌫|
ona ppell oitGaudin.Al ost el	-|-⌫-----⌫--|------|||---⌫-|
sont uenu zp ou r	---|----⌫|-⌫--⌫|
A nthiaume etGa r i nEtd ïent	-⌫-------|-|--⌫-⌫-⌫|-|-⌫----|
quilzmorontet serontmiz afin.	-|--|-----|-|-----|--||---|
Ali aume chescun fistm ettreen ungesc rin -I ammaisne	---⌫---|------|---|-⌫----|-|--|---⌫--||-⌫-----|-|
lest rouuissié z	--|-⌫----------⌫|
syfel lonBeduinPuisles fistyss irh orsl	-|---⌫--|-----|---|--|---|---⌫-|-⌫--||
endemainau matin	-------|-|----|
AD ie ulescomman da quidel eau e fist uin.	|-⌫--⌫|--|------⌫-|--|-||---⌫|---|---|
Et ceulxses ontleuéz	-|----|-|-⌫--|-----|
ach emin Po uraller a Pauye uëo i r ceulx	|--⌫---|--⌫-|----||----|----⌫-⌫|----|
deleurlinEt	-|---|--|-|
sçauoirdeleu r	-------|-|---⌫|
lecertain co n uin.Maisiluerront	-|------|--⌫-⌫---|---|-|------|
fre reGarrin Et leur me re	---⌫-|-----|-|---|--⌫-|
