ad mes mainsestuenuznouelement	-|--|----|--|----|---------|
laen c eluqu ie s ta auenir	-|-|-⌫--|--⌫|-⌫-⌫||-----|
icaz est doulepo ene	---|--|----|--⌫--|
etdoulebaturecarciunt	-|----|-----|--|-|--|
encomencementdestormenzet	------------|--|------|-|
apres lail a perfectiondes	----|--|-⌫|---------|--|
homsac h es nus netepuit	--|---⌫-⌫-|--|-|-|---|
contrarier si	---------|-|
otroeuetpohoste	-------|------|
a t es auersares	|-⌫-|--------|
auient ne u ient	-----|-|-⌫---|
senslauol entede deulapostez	---|-|---⌫---|-|--|-|-----|
deu estdene isort oy	--|--|----⌫|--|-⌫-|
congietdeuqui t econtrarie n t	------|--|--|-⌫|---------⌫-⌫|
funt lo conseildedeu	---|-|------|-|--|
deuted onet	--|-|-⌫---|
indign acionstecommandet	------⌫-----|-|--------|
il coreciezte comandetes prou ertoz	-|-------|-|-------|--⌫----⌫-|--|
maskar ceuque tes	--|--|--|--||-|
debrisiez parflouotez detoncors	--------|--|-------|-|--|---|
aflaueli zparenfartez	--------⌫|--|-------|
de tacharetpa ragu i lenemenz	-|-|---|-|--⌫|---⌫-⌫-------|
lan guorspar	---⌫----|--|
pans eparpassionsdetanimep ar	----⌫|--|-------|-||----|-⌫-|
enua isantbatalledespi ritzte	----⌫----|------||----⌫---|-|
done di uine iusticepo r	---|--⌫---|------|--⌫|
ton pechi e	--|-----⌫|
etp or tacolpe l o t	-|-⌫-|-|----|-⌫||
diuine sentencedei uiem entkartote	-----|-------|-|-⌫----⌫--|--|---|
contrarietez dechosse s	-----------|-|------⌫|
commotepardiserted etespechiez	------|--|------|-⌫|--|------|
tes armescomba tent	--|----|-----⌫---|
encotre toi	------|--|
tu es naurezpartes	-|-|-----|--|--|
sae t es e t tesdarzkar parc e nq ue	---⌫-⌫-|-⌫|--|---|--|--|-⌫-⌫|-⌫-|
tespechie ́es tormentez	|-|------⌫|-|--------|
ens eutes lacha r	---⌫--|-|-|---⌫|
flaelez es	------|-|
ench ar enicale gemisenla	-|--⌫-|-|----|----|-|-|
queletu pechis enicale	----|-|-----|-|----|
es t orment eze nicalet	-|-⌫------⌫-|-⌫|----||
iui ementzdetorment laquele	---⌫-----|-|------|-|----|
tefucausedepech ied ec en	-|-|----|-|----⌫-|-⌫|-⌫-|
comperesles tormentz duntes	-------|--|-------|--||-|
chauz enuicese squirt a	----|-|----|-⌫----|-⌫|
conc iance	----⌫----|
enten t tapanse	-----⌫|-|----|
toi ato iparoce tescurs	--||--⌫|-----|--|---|
engardeta desertepardroit	------|-|------|--|----|
ar guezpariusteiugement es	--⌫---|--|----|-------|-|
d roi t etempesteztede triul et	-⌫---⌫-⌫|--------|-|--⌫-----⌫-|
po ine de iust ice	--⌫--|-|----⌫--|
t apressekar	|------|--|
nefasniantde bie nn iant	-|--|----|-|---⌫|-⌫---|
dedroiturete coisenu l erie m	-|-------|-|----|--⌫-⌫|---⌫|
sancte e sen to inia nzdanguse	-----|-⌫|-|--⌫|---⌫-||-----|
nulememoreded igniteesgarde si	---|-----|-|-⌫-----|------|-|
chaken iorpech eset	-----|--|----⌫-|-|
dechies et	------|-|
telac ions ne seraisiet li	|----⌫---|-|-|------|-|
orgueuzdelorg uilo usnen	------|-||---⌫----⌫-|--|
e st demista uanta cenest	-⌫-|----|-|-----⌫-||--|
retraite nesfo rsenneriete	-------|--|--⌫--------|-|
rauist maute len tt enflammen t	-----|-----⌫---⌫||---------⌫|
huchorstecommu e t	------|-|-----⌫-⌫|
indignationste comm uitapariliz	-----------|-|----⌫--|-------|
es ades a ireo utre mesure t	-|---||--|-⌫---|-----||
es commuizpar	-|------|--|
forsennerie detoncoragea custumirs	----------|-|--|-----|-⌫--------|
estre en uiosasbonse tas	----|--⌫---|-|---|-⌫|-|
melors as estrangesaurt ez	-----|-|--------|----⌫-|
et astr ang es	-|----⌫---⌫-|
uertuzacui nen estu	-----||--|--|-|-|
ietheim a lerenommei	-----|-⌫-⌫-|-------|
de ceuable s n iante sta bles	--⌫-------⌫|-⌫---|-⌫---⌫---|
enuious ascharsten aules	------|------|---⌫----|
briinsnian thumain se tsen s	-----|----⌫|------⌫|-⌫|---⌫|
fruitintoi nenest misericorde	----|-|--|--|--|----------|
c hauzes encu uisedel siecletu	-⌫---|-|-|--⌫---|--|-----|-|
ars en terreneamor	--|-|------|---|
asen blechosesque sunt aperi r	----⌫--|-----|--|---||----⌫|
ne s esfinir l es	-|-⌫-|----|-⌫-|
cuuissesdet a	-------|-|-⌫|
saif chaskun iort enuolepesd e	---|------|--||--------|-⌫|
no uespechiez e tnoueles	--⌫--|------|-⌫|------|
etacras le suiez tu	-|----|--⌫|---|-|
d estru itfaloniem a isl	-⌫-----⌫-|------|-⌫-⌫-||
nesaoleslaflamm edol	-|-----|-|-----⌫|--|
luxuriosc uiuise omalauirostoi	-------|-⌫-----||--------|--|
n e tehoto i t il	-⌫|-|----⌫-⌫|-|
es tre a spars par	--⌫--|-⌫----|--|
maintesluxur e s ensprisa uoteres	------|-----⌫-⌫|------|-⌫------|
luxuriosensipers e ueresen cel	-------|---|----⌫-⌫----|-|--|
tor mentet enluxureseten	---⌫---|-|-|------|-|-|
charnela mor	------|-⌫--|
l aiscumlong emantet	-⌫--|--|----⌫----|-|
dekequante ta quel fin	-|------|-⌫||---|--|
t etraretces encorseluxureia	-⌫|-----|--|------|-----|-|
la pa rfinrepos e	-|--⌫---|-----⌫|
pechie retde lafil eni e	------⌫|-|-|-|---⌫---⌫|
muete sma l e s morse nmiez	--|--⌫|--⌫-⌫-⌫|---|-⌫|---|
l ongeme ntestrecha itis	-⌫------⌫-|----|---⌫---|
m atfinat espech iez	-⌫-|--||-⌫-|----⌫--|
etl o ietafelonieta	-|-⌫-⌫||-|------|-|
a itm esureet ta falonie	-⌫-|-⌫----|-|-|------|
termee sga rdelagrandacede tes	----|-⌫---⌫--|-|-------|-|--|
pec hiez etsiueasnon	---⌫---|-|-----|--|
ba tuzconoi stescolpesamende	--⌫--|-----⌫|--|-----|-----|
tancu meslot ens	--|--⌫|-|-|-⌫--|
neianeual le s	-|-|-|---⌫--⌫|
e npispechant	-⌫|--|------|
lasmoimalauro s chatifne	--|--|-------⌫|-----|-|
sauoie que ie f usseferuz	-----|--|-|-⌫---|----|
parminiquitet etiuiezparma	--||--------|-|----|--|-|
etke cesti ui emenz fust	-|-|---|-⌫--⌫----|---|
d e mamauaiseiusticetulo	-⌫|-|------|------|-|-|
mani f este ́et	----⌫-⌫----⌫|-|
demonstre s etfesis	---------⌫|-|----|
conosan tpa rt oi ai	-------⌫|--⌫|-⌫-|-|
coneut ceque ie	-----|-|--|-|
nesauoieie	-|-----|-|
nestplusreposza	|--|---|-----||
manifestest et asezconeu et	-------|--|-|---|----|-|
esgarde ́nest mai s	-------⌫||--|---⌫|
moin edoto sechose	--|-⌫|----⌫-|----|
e tianen est repo nu	-⌫|-|--|--|----⌫-|
otuho mdec	|-|--⌫|-||
es ttote ceste	--⌫|---|----|
misereetcesteagraceces tecru z	-----|-|----|-----|---⌫-|---⌫|
cestepo i neles chauses detespechiz	----|--⌫-⌫-|--|------|-|--|-----|
sunt atenuies ces te	---|-------|---⌫-|
langorsnestpasd au enturemas	------||--|--||--⌫-----|--|
de pr opre colpecest e enfartez	-|--⌫---|----|----⌫|-------|
estdetapropreiniquite	--|-|-|-----|-------|
sembletild uncautr eou	------|-|-⌫--|----⌫|-|
toousens to o uiuges	-|-|---|-|-⌫|----|
amazlostuaat rechose	---|--|-||--⌫-|----|
certe s niantnulechose	-----⌫|----|---|----|
aikei epue dire	-|-|-⌫|--|---|
encon tr eiecreialauerteinel	-----⌫--⌫|-|---||-|-----|-||
pu is deneiretiel	--⌫-|-----|-|-||
qu idoteicest quid e noie ice	--⌫|---|----|--|-⌫-⌫---|--|
sien si estsitu lesporcert	-|--⌫-|--|-|-||-|--|---|
poresgarde ́tetenquisoste	--|-------⌫-|-|-----|---|
teiniquiterem u f det oiton	-|-------|---⌫-⌫|-|-⌫-|--|
restri ntoidetonmal uice	------⌫|--|-|--|--|---|
deuaniteiette retrai	-|------|-|-|-----|
d ep echie	-⌫|-⌫----|
fui locultiuem entdeuic e	--|-|--------⌫--|-|---⌫|
etlalaideuiede ua nit e	-|-|----|--|-|--⌫---⌫|
mausd elancin e ui e	---|-⌫||-----⌫|--⌫|
pa r ceste	--⌫|----|
biendisbienensenges	---|--|---|-------|
enstrusb iensemonsbien	------|-⌫--|-----|---|
am one stesmaisie desireue estre	--⌫---⌫---|---|-|-------|----|
pec h ieit et	---⌫-⌫---|-|
fuir parmuncorag eet	---|--|--|-----⌫|-|
estr e retrait de	----⌫|------|-|
custum ee tsormonter	------⌫|-⌫|--------|
lo tresfelonus masmotest	-|---|----|-|--|--|--|
greschoseuencre lacustume	---|----|-----|-|------|
pe chieetl imauas us	--⌫---|-|-⌫|----|-|
a poines e st	|-----|-⌫-|
dest ruizl iassiduescustumeetli	----⌫---|-⌫|-------|------|-|-|
cunstinu ezusesttornezen	--------⌫-|-|--|-----|-|
l ic oragesestr oizde	-⌫|-⌫-----|----⌫--|-|
apoinespuitestr e	|-----|---|----⌫|
icalessigrant	-----|-|----|
e s tre raiez a	-⌫-⌫--|----||
croimes pechi ez	---|--|-----⌫-|
p aracuen espascedetens	-⌫-|----|------|-|---|
dem ongr e	-|-⌫-|--⌫|
aicorrompumoichai ti f	-|-------|--|----⌫--⌫|
caauantparmonspoi neest ude mai	-|----|--|--|----⌫-|---⌫--||-|
conchiéi a depece	-------|-⌫|-|---|
pa rdeu ma primere mentparmon	--⌫---|||-------⌫---|--|--|
p ropr eiuiemen t par	-⌫----⌫|-------⌫|--|
ma prop reuolente m auastei bons	-|----⌫-|------|||-----|---|
es toiedegresui	--⌫---|-|--|--|
frans estoie d emongre	----|-----|-⌫|--|--|
faizdatresdemort malauoros	---|-----|-|---|--------|
iemeimes prumerementde mon	-|-----|----------|-|--|
apar ilaiamo ip echie ieprimi ers	----⌫---||--⌫|-⌫----|-|-----⌫--|
enbracailokesondepechieret ie	-------||-----|-|------|-|-|
estroit par lau anture	------|--||--⌫-----|
d epech ietl imale custumemet	-⌫|----⌫--|-⌫|---|------||-|
emp loi griementetfaita soidroi t	---⌫--|-------|-|---||--|----⌫|
moiensipec he	--|---|---⌫-|
nesaipar la c ustume	-|--|--|-|-⌫-----|
pec hiretquamien euo il enco r	---⌫--|-|---|-|-⌫|--⌫-|----⌫|
elusdepechiet ie	||-|-|------|-|
uoilbi nfairemais l i	---|--⌫|----|---|-⌫|
acus tumétdesirneme la isent	----⌫-----|----|-|-|--⌫----|
i eme nforz	-⌫||-⌫----|
alere ncontr e lomauais	---|-⌫------⌫|-|-----|
u s maisie suigr euez	-⌫|---|-|--|--⌫---|
l acharliamors me	-⌫|---|-|----|-|
d race aiust ice	-⌫---||----⌫--|
reluctaencont remauuaisecustume	------|------⌫-|-------|------|
pe chieetreco mb at	--⌫---|-|----⌫--⌫-|
partote tauertuuenc	--|---|-|----|---|
locha rnal	-|---⌫---|
usnespar dolor	-|--|--|----|
et lanosant	-|-|-----|
sacezo par	---|-|--|
aresta aumaua is us	-----|-|----⌫-|-|
deuantme ta teilofud el	-----|--⌫||--|-|-|-⌫-|
parmanabl e torment contre	---------⌫|------|-----|
cestecharlaremanbrancedo	----|---|-|----------|-|
torm entsormonc etacalo r	----⌫--|-------⌫|-|----⌫|
lamem o redel ardordenf er	-|---⌫-⌫-|-||----||---⌫-|
escloentlard orde luxurelap o ine	-------||---⌫-|-|-----|-|-⌫-⌫--|
defornicacio ns	-|----------⌫-|
uenque ntlipaorsdelp lus	------⌫-|-|----|--|-⌫--|
torm ent li plu sforzdolors	----⌫--|-|---⌫|---|-----|
sormun tlamenor	------⌫|-|----|
port eresleslegiers setu	----⌫---|--|------|-|-|
recordesles gries li	-------|--|----|-|
sanbl an ce	-----⌫--⌫-|
del aue niriuiem ants e it	-||---⌫--|-----⌫--|-⌫-⌫-|
deuant tes	-----|--|
o izpor uoiq uetues	-⌫-|---⌫--|-⌫-|-|-|
asofrirena uantporpanse	|-----|-|-⌫---|-------|
lauenir sen tence dedeet	|-----|---⌫----|-|-|-|
redotelo iugemant	-----|-|-------|
dedea aue nir	-|-||---⌫--|
tei lipaorsd	--|-|----||
enfer e tdepoineste	----|-⌫|-|-----|-|
poanteettere traced e	-----|-|-|--⌫----|-⌫|
colpe esgar de chaumiorla fi nde	----|-----⌫-|----|--|-|--⌫|-|
tauiatotes horesaies	-|--|----|----|---|
mor t d euant taiet	---⌫|-⌫----|--|-|
laue nemantdes	|---⌫-----|--|
painesremanbre	-----|-------|
toi delniantcer	--|--|----|--|
i ordetamor ts eies	-⌫-|-|-|---⌫|-⌫---|
cusenceno s	---------⌫|
que nesoiesr a u i z	--|-|----|-⌫-⌫-⌫-⌫|
subitainemantchascuniorapro c heli	------------|------|--|----⌫-⌫-|-|
darainsio rz	------|--⌫-|
chascun iornos	------|--|--|
tot delauiaa des	--|-|-|--|-⌫--|
nosha stonsa	--|--⌫----||
t ermede uia et son smené par	-⌫---|-|--|-|---⌫|----|--|
decorranzmomanzafi nne sa uons	--------|-----||--⌫|-|--⌫---|
auen netoeet	----⌫--|-|-|
requir eanoitnostre	------⌫|----|-----|
nos trefinsesr ep o nue anos	---⌫--|---|-|-⌫--⌫-⌫--||--|
limes conosance	-|---⌫--------|
del a uenir	-||-⌫----|
esueestniant certea	---|--|----|----||
liencontr ede	-|-------⌫|-|
des por ueueetlifi nsde t oz	---⌫---⌫---|-|-|--⌫-|-|-⌫-|
ni a n tcertenosnel	--⌫-⌫-⌫|----|--|-||
s auonse t	-⌫----|-⌫|
limorzuienti snelement	-|---|----|-⌫--------|
etdes porueuts onstoluetsos tra it	-|---⌫------|-⌫--|---|-|---⌫---⌫-|
doto nsquecil	----⌫-|--|--|
nenosrepreh engne co mmelileres	-|--|------⌫----|--⌫--|-|----|
etlitur bins	-|-|---⌫---|
del de uin	--|--⌫--|
iug ement nos	---⌫----|--|
li subitainemor z noshot	-|--------|---⌫|--|--|
qu iespr entap echier	--⌫|----⌫--||-⌫-----|
rauissubitan ement lo	----|-------⌫----|-|
quiinflamment les	--|---------|--|
u iuant as uicesles partrait	-⌫----|-|----|--|-------|
tost astor manzqua nthomesli	---|-|---⌫---|---⌫-|----|-|
desporueu hefinsharauis	---------⌫-|---|-|----|
pohenedemortetsos trait	-----|-|---|-|---⌫----|
desfaillentetsu ntostei	----------|-|--⌫-|----|
d ecuidentmorir e t	-⌫-------|----|-⌫|
ra ui subitenemant	--⌫-|-----------|
amortetdem enéas	|---|-|---⌫---|-|
parmenable stormen zesgarded alt rui	----------⌫|------⌫|------||---⌫--|
to rmantcui turedotes	--⌫----|--|-|------|
escho islafosseoutuuaiz	-----⌫-|-|----|-|-|---|
altruideuan t	-----|-----⌫|
r e doteen toimaiism em ant les	-⌫-⌫---|-|--|------⌫--⌫--|--|
estrangesperizle se stranges	--------|----|--⌫|-⌫-------|
au enturesteprofece nt	--⌫------|-|-------⌫-|
liapes delmo rant	-|---|--|--⌫---|
amandemant etliperd e	---------|-|-|----⌫|
d esaltres t esapelemant	-⌫-|-----|-⌫-|--------|
felonsteretrace de	-----|-|------|-|
lipoinede colpe	-|----|-|----|
la finsdespec hanztamance	-|---|--|---⌫---||-----|
etlimorzdes reprochiez	-|-|---|--|---------|
te so stracelap oine de s	-|--⌫-----|-|-⌫---|--⌫|
profei teata	------⌫-||-|
salu t antcum tu	---|-⌫--|--|-|
pu izamandece	--⌫-|-----|-|
mal faitet repaletaide	--|---|-|-----|--|-|
uiceetd e pechi e tantcumes	---|-|-⌫|-----⌫|---|--|-|
es paceetlocong ie	--⌫---|-|-|----⌫-|
ucheplore e tte	---|----|-⌫|-|
repantt ant	-----|-⌫--|
cumtupuiz etli ame	--|-|---|-|-|--|
estan corelcorse ttuuis	--|--⌫--|-|---|-⌫|-|--|
plaingetan questa	-----|-|--⌫-----|
lauenirremede ancois queli	|-----|-----|------⌫--|-|
mort t aua n ce	---||---⌫-⌫-|
p arfu nda cetenglu ti sseet	-⌫----⌫---⌫-||-----⌫--⌫--|-|
tera ui sse ounus	-|--⌫--⌫--|-|--|
nestde par dunnulefranchise d e	|--|-|---⌫--|---|--------|-⌫|
penitenc enuzcongiez	--------⌫|--|------|
d am an demant	|--⌫--⌫-----|
nusrecorsdecon fession	--|-----|-|---⌫------|
nusretorzaupardun	--|-----|-|-----|
u or disrecont es cekest	-⌫-|--|------⌫-|-||--|
conuigna ble tu maparoles	--------⌫--|-||-------|
acequeplus	|-|--|---|
mestmestiersiel	|--|-------|-||
sai conulaietapris	--|---||-|-|----|
lo parasdemantice	-|----|-----|--|
sauoir etauo ir	-----|-|---⌫-|
c oneu sies t	-⌫---|-|--⌫|
esper anceenconfessionet	-----⌫---|-|---------|-|
remisionset pard ons	--------|-|----⌫--|
leus estre p arir aius ticepar	---|--|--⌫-⌫---||---⌫---|--|
p enetance	-⌫-------|
o i lpla inemant	-⌫-⌫|---⌫------|
detotentot certes	-|--|-|--|-----|
sanzdo telaconf essions	---|--⌫-|-|----⌫------|
sain eetiustifieetdone	----⌫|-|-------|-|---|
pechieztot e	------|---⌫|
esperanceet le u sdemis ericorde	--------|-|--⌫-⌫|-|---⌫-------|
este nconfessi oncrohies	--|-⌫|--------⌫-|------|
certe mantne doter	-----⌫---|-|----|
despererde	|------|-|
misericorde deu aiesesp eranc e	----------|--|---|---⌫-----⌫|
etfi anceenconf e ssion	-|--⌫---|-|----⌫-⌫----|
ne d esp ererde	-|-⌫---⌫---|-|
salutai n z s ohi e sconuerti t	----|--⌫-⌫|-⌫---⌫-⌫|--------⌫|
carquidesperedelpec hie	--|--|------|--|---⌫--|
pardonplus estdagnez	-----|---|--|-----|
dedesperacionquedel afaite	-|----------|--|-|-⌫|----|
f eloni ed esperanceacroist	-⌫-----⌫|-⌫--------|------|
lopechie etes	-|-----|-|-|
peredet ozpec hiez	---|-|-⌫-|---⌫---|
porceta mand eet	--|-||-⌫----⌫|-|
esperance dep ardondem at	--------|-|-⌫----|---⌫-|
et ta iniquiteetspe re	-|-|-------|-|---⌫-|
uiaetsalut nullesigr anz co lpe	--|-|----|----|-|--⌫--|--⌫--|
ait pa rdon	--|--⌫---|
carcontu soies	--|--|-|----|
pec hi eres etfel	---⌫--⌫---|-|--|
et apressez	-|-------|
d orzcrimn es	|--|-----⌫-|
li leusde penitence	-|---|-|--------|
pitiede deu	----|-|--|
so cort le gierement	--⌫---|--⌫--------|
a s repentanz	-⌫|--------|
parpe nitencee s tdenez	--|--⌫------|-⌫-⌫|----|
pa rdons et t uit lipechi e os te i	--⌫----|-|-⌫--|-|-----⌫|--⌫--⌫|
perduauoiees perance	----|----|--⌫------|
etd if iéa m on	-|-⌫--⌫--||-⌫-|
c orageuencuze stoitetb im pres	-⌫----|-----|-⌫----|-|-⌫-|---|
chauzend esper ance	----|-|-⌫-----⌫---|
mescorages	--|------|
esporde lapiete de du	----|-|-|----|-|-|
etnedotpasdesa	-|-|--|--|-|-|
abite en esperance et m	----|-|--------|-||
a endracie ́ aesper ancede	|--------⌫||-----⌫---|-|
pietiet maidené esper ance	----|-||-|----|-----⌫---|
penit ancesi	-----⌫---|-|
reu ardeieta prochiéamaiee t	---⌫----|-|-⌫-------|||--|-⌫|
ade t ampli r	---⌫|-----⌫|
cea iiugié ete staubl iafaire	-|-⌫|-----|-|-⌫------⌫||----|
et ceestfichiéemo n corage	-|-|--|------||--⌫|-----|
e tn enpuit estre	-⌫||-|---|----|
deust ed engnelesd esiree s	---|-⌫|-⌫----|--|-⌫------⌫|
chosesetotroitates	-----|-|-----||--|
disei erset t anfa st possant	-----⌫--|-||-|--⌫-|------|
parfaceta uol unte	------|-|---⌫---|
enb ien etconfe rme et ah usta	-|-⌫--|-|-----⌫--|-|--⌫--||
tesdis ierstot echose	--|---⌫---|---⌫|----|
facespardeu	----|--|--|
outreh anttan con te	------⌫--|--|--|-|
laistetlimors	----|-|-|---|
atarze oredeman d e	-----|--|-----⌫-⌫|
dep riheneta s iressa uce	---⌫---|-|--⌫-⌫-|----⌫--|
tauoisclamaformantplain te s	-|---|----|------|----|--⌫|
iniquitezles mau sdetes	--------|--|---⌫|-|--|
feloniesdeplorepa r plors	-------|------|--⌫|----|
d estru icequetues	-⌫-----⌫|-|--|-|-|
mauuasemant leueparlarmesc eque t	----------|---|--|-----|-⌫|--||
c o ntreloi	-⌫-⌫---|--|
les ploreisfaloniessuilent	--|------|-------|------|
e stre d estrutes	-⌫---|-⌫-------|
lasm oimalagure anmeensigranz	--|-⌫-|-------|---|-|-|----|
pe chi ez etcrimi nes en	--⌫---⌫-|-|-----⌫--|-|
ment esfelonies ke plo re	----⌫-|-------|-|---⌫-|
ie pr imiers	-|--⌫-----|
etpla ngne	-|---⌫---|
que sp lor squeslarmespregneie	---⌫|-⌫---⌫|---|-----|-----|-|
ancoismem ore ne sosf e st	-----|---⌫--|-|----⌫-⌫-|
arecont erles faizde tan tcr imines	|------⌫-|--|---|-|---⌫|--⌫-----|
nesmeupechiemont	--|--|-----||--|
a porté consentem ant de dolo rmes	-⌫-----|---------⌫--|-|----⌫|--|
larm essuntesqualiespar	----⌫-|---|--------|--|
lad ur a ce delcuirl i	-|-⌫--⌫-⌫-|--|---|-⌫|
coragesen redizn	------|--⌫----||
etnulecompuntionemplo rm	-|---|---------|-|---⌫||
conuertieet entristaceou estu	--------|-|-|-------|-|-|-|
au edeplorouestes	--⌫|-|---|-|----|
plorieuosp reireparieizou	---|-|--|-⌫--|--------|-|
uosfontaines delarmes	--|--------|-|-----|
soiz moitesmen nim e fai tes	---|-----||--⌫---⌫|---⌫--|
sensens ouu oslarmesetu os	--|---|-|-⌫-|-----|-|-⌫-|
fonte ines ouuos auoizsustrait	-----⌫---|-|--|----|-------|
aspe rd oizmeparplorset	----⌫--⌫--|-|--|----|-|
de co roizsormafacon e mmos t iz	--⌫--⌫---|--|-|----|-⌫----⌫-⌫-|
e t arosezm es iusses	-⌫|-----|-⌫-|-----|
denezmoiamer	----|--|---|
plagnemantent re	---------|---⌫-|
tozsuichauzpie zetplus	--|--|----|---⌫|-|---|
graue neman tuen cuai	-----⌫-----⌫|---⌫-|-|
les pain es de	--|----⌫-|-|
parma felonie	--|-|------|
li e nfe r nalto rmentso fe s en t a	-|-⌫---⌫-⌫--|--⌫----|--⌫--⌫-⌫--⌫||
m es mais nuspe chiez	-⌫-|---|--|--⌫----|
nest sorlomienn u llefelonie	|--|--|-|---|-⌫-⌫--|------|
surl umeieiemepens	--|-⌫|---|-|-|---|
plusfelondeto zpec ho rs nus n	---|----|-|--⌫|---⌫--⌫-|--||
amacompareson	|-|---------|
a droitre ntles poines de la	|----|--⌫-|--|-----|-|-|
duemalaurteietsui	--|--------|-|--|
triblez partant tormenze td e	------|--|---|------|-⌫|-⌫|
pechieuienent tuitli	-----|------|---|-|
par droitdenetator mant	--|----|----||---⌫---|
choses pardro itiugemant est	-----|--|---⌫-|-------|--|
reuierdonéam espechizc onuenables	----------||-⌫-|-----|-⌫---------|
changesne cedant monsm est	------|--⌫-----|---||--|
denei k eneiepechiéli	----||-||-|------|-|
de m espechiz	-|-⌫-|-----|
donéma colpe atroueiest plus	----|-|----|------|--|---|
dure demesplaies	---|-|--|-----|
etlipo inede madagnacionsest	-|-|--⌫--|-|-|---------|--|
pluslegiere	---|------|
demonp echie	-|--|-⌫----|
ceqeieaipechiéest	-|-|-|-|------|--|
estplus l iegierl ac olpequ e	--|---|-⌫-----|-⌫|-⌫---|--⌫|
ieafaitestgr euen e	-||---|--|--⌫----⌫|
liuang ence	-|----⌫---|
qu eie sofreest	--⌫|-|----|--|
pe nslo mal qe	--⌫-|-|--|-|
f aitetceq uesofren	-⌫--|-|-|-⌫-|----||
est passigran tma	--|--|-|----⌫|-|
p laie e st	-⌫---|-⌫-|
plusle gieredel	---|--⌫----|--|
mespechizatreest	--|-----|---|--|
que plusme	--|---|-|
tormanteet fait triste	-------|-|---|-----|
medestorbeque p lu sm	-|-------|--|-⌫--⌫||
espaetetacoinus m as nem	-------||--|--|-⌫-|-||
est semblanzettot epoine	--|-------|-|---⌫|----|
liqueschose	-|---|----|
estdeuantporteee tsormonte	--|-----|-----|-⌫|-------|
toz tormanzet	--|------|-|
trest oz mas	-----⌫-|--|
la ssa o tuanma cequ eestque	--⌫--||-|---|-|--⌫|--|--|
tu dotesmunt	-|----|---|
cha steit qu e	---⌫----|--⌫|
debotea dolente	-----||------|
etl odurdel	-|-⌫|--|--|
asuuiart lo malqueie	-------|-|--|--|-|
sofre etplus estcil	----|-|---|--|--|
qu eremantie	--⌫|-----|-|
so freencesteui emaisie	--⌫--|-|----|--⌫|---|-|
quen eso frep lu s gr isapresia	--|-⌫|--⌫--|-⌫--⌫|--⌫-|----|-|
soitcequeiesente	---|-|--|-|----|
enl apoi ne n eq ued an t ie	-|-⌫|---⌫-|-⌫--⌫---⌫--⌫|-|
dotles tormanzd enfer	--|--|------||----|
delacol pe lipre ns e nte poineme	-|-|---⌫-|-|---⌫--⌫-⌫--|----|-|
de sireiam a s liaauenir	--⌫---|---⌫-⌫|-||-----|
plusestce que	---|--|-|--|
sot eing ieredot	---⌫---|-|----|
plus gr ies choseenparmanablecert es	---|--⌫--|----|-|---------|----⌫-|
iedoil depresa ntes	-|---|-|-----⌫---|
poinesmaspl us eingemis desa	-----|--|--⌫-|-------|--||
auenirm esdeus	-----|-⌫-|---|
soscorrea mo i anzqueie m oire	-------||--⌫|-----|-|-⌫---|
et lim ormauance	-|-|-⌫-||-----|
l i e nfermerauisentliflame m	-⌫|-⌫---|-|-------|-|----||
arde tlestenebres	----⌫|--|-------|
m enuolopent souinaama i	|---------|-----||--⌫|
a ncoisqueiemaehais	-⌫-------|-||-----|
as t ormanzets oied e u orezpar les	-|-⌫-----|-|-⌫--|-⌫-⌫-⌫---|--|--|
foiesdenferett ormen tez	----||----|-|-⌫-----⌫--|
sensfiniecolp ab less u i	---|--|-|----⌫--⌫--|-⌫-⌫|
aspae nt ezpar lapao rdetoin	-----⌫--⌫-|--|-|---⌫|-|---|
iugemanttoniredot	-------|--|--|--|
porl apaorde	--|-⌫|---|-|
mon pechi ep arlagra ndace	--|-----⌫|-⌫-|-|---⌫----|
felo nie trenbablesdeto n	----⌫--|---------|-|--⌫|
aduene mant re dot ma	------⌫---|--⌫--|-|
conscianc ecar si	---------⌫|--|-|
li iusz apoine	-|---||----|
su rasaluezie f al ou	--⌫-|-----|-|-⌫-|-|
siraikeferai	----|-|----|
iecum lipaors	-|--|-|----|
deltre nbla ble	--|---⌫----⌫--|
iuiementsirat	-------|----|
uenuei cum	-----|--|
lacogniedeliuiemant	-|-----|--|-------|
sira uenuequeres ponder ay	---|----|--|---⌫------⌫-|
adirequan t sera y	|---|----⌫|----⌫|
presen tez de uant	------⌫--|--⌫---|
de crist waaiicel	-|----|-|-|---|
io r quant	--⌫|----|
pech ai i el tre spass a	----⌫-|-⌫||---⌫-----⌫|
quantresproueimoi la m o ie	----|--------|--|-|-⌫-⌫-|
ne lux itnenefust	-|---⌫-|-|-|---|
neznenaparu stsor	--|-||-----⌫-|--|
deiuier et	------|-|
a bhominables iors	-⌫----------|---|
est adiredetot en	--||---|-|--|-|
le quesmemist	-|---|-|---|
f orsacest secleetaure	-⌫--||---|----|-|---|
enfantemanzetlesuses demun	----------|-|--|---|-|--|
naisementdefarma icelior	--------|------|---|--|
delumireent enebre s	-|-----|-|-⌫------⌫|
granz oscul t ez la	----|-----⌫-⌫-|-|
parm inable auu gl acelescrau ante	----⌫-----|---⌫--⌫--||------⌫---|
