sech il qui	-|--⌫-|--|
pa rmaltalent	--⌫|--------|
ie t e commant fel anemis	-|-⌫|------|--|-----|
decelui qui e n crois fu mis	-|----|--|-⌫|----|-|--|
etrechutmortetp assion	-|-----|---|-|-⌫-----|
pournoustousieterde	---|---|---|----|-|
eninferestoientenchart re	-|----|-------|-|-----⌫-|
que mais netepuisesenbat re	--|---|-|-|-----|-----⌫-|
ence s teille	-|--⌫-⌫-|---|
tant comgiere	---|--|||--|
fuytost dechy mauuaizleciere	--|---|-|--|------|------|
pou rsiuylonguem ent	---⌫----|-------⌫--|
enfuy isne l ement	----|----⌫-⌫----|
li sainshomest dedenssace le	-|----|--|--|-----|-|--⌫-|
le filala uiergep ucele	-|--||-|-----|-⌫----|
pr iemoult	--⌫-|----|
que secourz li fache	--|------|-|----|
enuerzterreenclinesafache	-----|----|------|-|----|
soursa mainam isesa kene	---|-|---||-⌫--|-|---|
en sabo uch e boute sa	-|-|--⌫---⌫|----|-|
tour nee tmaineettire	----⌫-|-⌫|----|-|---|
et e n aprezdecu eur souspire	-|-⌫|----|-|--⌫--|-------|
engranttourmentestoit	-|----|-------|-----|
boucearetraitefo rz	----||-------|--⌫-|
lap ene q ui	-|-⌫--|-⌫-|
ert ate mpre e	--|---⌫----⌫|
decole ur dorbien destempree	-|----⌫-||-|---|---------|
a ueutoutlepla in	|--|---|-|---⌫-|
d euant ses euxatraits a main	-⌫----|--|--||----|-⌫|---|
longuemen tles gardeliprestre	---------⌫||--⌫----|-|------|
hedieu xquelzco lo urpeutceestre	-|----⌫|----|--⌫--⌫-|---|-|----|
enporroi t onescripr eletre	-|------⌫|-|-------⌫|----|
parassay le comme n cheame tre	--|----|-|-----⌫-⌫--||--⌫--|
da leslautrel etre kistnoire	--⌫--||----|-⌫---|-|-|----|
maiscele re sple ntquiest	---|---|--⌫----⌫-|--|--|
toutelautreletre	----||----|----|
ahisainteue rtusdiuine	--|-----|--⌫---|-----|
en crepl useusce	--⌫--|--⌫-|----|
escrisen p eusce	-----|-|-⌫----|
d i euxcorm	-⌫-⌫--||-||
enfustgras sedonnee	-|---|----⌫-|-----|
sa pense e	-|-----⌫|
en sabouchesapenneboute	-|-|-----|-|----|----|
lebuhotuoitplain	-|----|---|----|
de telgoute	-|--|----|
com meditelcolour	---⌫-||---|-----|
so nfainoubl ie et sa	--⌫|---|----⌫-|-|-|
oubli e dius le	-----⌫|---|-|
souste noit	------⌫---|
bo uce lenqueprend oit	--⌫--||----|-----⌫--|
s a s aliuel orz	-⌫|-⌫----||--|
etq uantescopiruoloith orz	-|-⌫---|------|-----|-⌫--|
sacolo urzmu oit	-|----⌫--|--⌫--|
adr o iture	|--⌫-⌫----|
aucorpz f upar	-|----|-⌫|--|
etalescrireest oitorsfin s	-|||------|---⌫--|--|---⌫|
ainsque uenue fustsafins	------|----|---|-|---|
uitonlescri pquitantfugens	--|-||-----⌫|--|---|-|---|
loere nt diu lezgenz	-----⌫-|--|--|---|
etdr oi zfupour le grantmerueille	-|--⌫--⌫|-|---|-|----|--------|
iehans nuitet iour se traueille	-----|---|-|---|-|--------|
ded iu se ruira	-|-⌫-|--⌫---||
sapoisanche	-|--------|
moul tertpoure sasoustenanch e	----⌫|--|----|-|-----------⌫|
derbeuiuoitetd e ra chin e z	|---|-----|-|-⌫|--⌫----⌫-⌫|
maisle zdouco urzlez me dechinez	---|--⌫|-----⌫--|--|--⌫-------|
nis limanne bienen suy	--|-|----|---|-|--|
quipeut le pulee ns esdeserz	--|---|-|---|-⌫-|-|-----|
ne lou r plotmiex qu a nt lemangoient	-|---⌫|---|---|--⌫-⌫-|-|--------|
herbe s iehan	-----⌫|----|
cardieu sle s a uueurimetoit	--|----⌫|-|-⌫-⌫----||-----|
quis onamipa s	--|-⌫-|--|--⌫|
nou bl ioit	|--⌫--⌫---|
souuentlefa isoitu isit er	------|-|--⌫----|-⌫----⌫-|
orle lara yd eluy es ter	-|-|----⌫|-⌫|--|--⌫--|
sid irayde	-|-⌫---|-|
lafille auroy	-|----|-|--|
quisuslemist p arson	--|--|-|---|-⌫-|--|
liotce lencombrier	-|-|--⌫|---------|
troya npassere nt toutentier	---|-⌫|-------⌫-|---|-----|
queelen epot agesir	--|--|-⌫|--|-----|
de sante auoit grant	-|----|----|----|
agran tdol our usesa u ie	|----⌫|---⌫--|--|-|-⌫-|
lemesquancheo td eseruie	-|---------|-⌫|-⌫------|
ausaint homme mist	-|----|----|---|
sus at ort	--||-⌫--|
e t ioure t nuitsez de tort	-⌫|---|-⌫|---|--|--⌫---|
te ldoeilaa poynesafole	--⌫|----|||--|-||----|
lasse f aitellecom fuy	----|-⌫--|---|--|--|
qua ntiencou pay lomm e saintime	---⌫-||-----⌫--||---⌫|-------|
quisi bien ertdelroy	--|-|---|--|--|--|
caror apertsourmasem enche	--|-|----|---|-|---⌫----|
oruo yiebi enl a	-|--⌫|-|--⌫-|-⌫|
p rouuemenc h e	-⌫---------⌫-⌫|
dela parole kildescripst	-|-|-----||-|--------|
enuers les ain t corpz	-----|-|-⌫---⌫|----|
ihesucri st	----|---⌫-|
quan tilisi	----⌫|-|--|
dec estp alaiz	-|-⌫--|-⌫----|
oia nttrestous etclerzetlaiz	---⌫-|-------|-|----|-|---|
proia qu e gr o sse	----|--⌫|--⌫-⌫--|
remansisce	---------|
dusque z ad ont quelreu eisce	------⌫|--⌫---⌫--||---⌫----|
bienadieusfaitsauol en te	---||----|---|-|---⌫--⌫-|
yyansai iaen chaint ees té	-|--|-|-|--⌫------⌫|--⌫--|
ert mezcorpze n combrez	--|--|----|-⌫-⌫------|
carilestpiechadeuourez	--|-|--|-----|-------|
pourc acay lassecaitiue	-----⌫---|----|------|
mou lts uy dolantequesuy uiue	---⌫-|-⌫-|------|--|--|---|
sigros se suyapoi necrieue	-|----⌫-|--||--|-|-----|
toutadezgis tonquezne	---|---|---⌫|-----|-|
l irois enteldespitl au oit	-⌫|---|-|--|-----||--⌫--|
ilne lo oit neneueoit	-|-||-⌫--|-|-|----|
en unecambreestoit repuse	-|--|-----|-----|-----|
ensereecom meun eencluse	------|---⌫-|--⌫|------|
adezgistenu nlitenuerse	---|---|-|-⌫|--|------|
femeiconue rse	---||-----⌫--|
q ui lia po rte sa uitaille	-⌫-|-|-⌫--⌫--|-|-------|
ensil anguistensi tra uaille	---|-⌫------|---|---⌫-----|
tan tamalnusnelp orroit	---⌫||--|--|-||-⌫-----|
sour t oute	---|-⌫---|
riendesire	---|-----|
nemor rapas	-|---⌫-|--|
entelman ier e	-|--|---⌫---⌫|
diuxacomplirala proiere	---|--------|-|------|
comme boinsperedroiturierz	----|----|---|----------|
y yansfugrossetouzentierz	-⌫|--|-|-----|---|------|
l ilasse qui est en te mpest e	-⌫|----|--|--|-|--⌫-----⌫|
dunehautefeste	|--|----|----|
lac ambrela roine	-|-⌫----|-|----|
siar asona lameschine	-|--⌫----|-|-------|
fill ecompesme	----⌫|--|----|
carme ditezseu o u ssauez	--|-|----|-|-⌫-⌫-⌫|----|
se enc hainteest ezu enflee	-|---⌫-----|---⌫-||-----|
delro y en aiesté ciflee	--|--⌫|-|-|----|-----|
sou uentquantildeuousmempeske	---⌫---|----|-|-|---||------|
dame uofille	---|-|----|
po rteunueske	--⌫--|-|----|
qu an tiler tnés bi en le gard ez	--⌫--⌫|-|--⌫|---|--⌫-|-|----⌫-|
al apostoile lerendés	||--------|-|------|
simeranpro sne etcontralie	-|-|------⌫--|-|--------|
da mecertez parmafolie	--⌫-|-----|--|-|----|
ailemal que ie	-|-|--|--|-|
pourcachay	---------|
chestabondr oi ts e honte	-|--||--|--⌫--⌫|-⌫|----|
lecolai du rmentcargie ́	-|--|-|--⌫----|------⌫|
d e monmeffaitde	-⌫|--|------|-|
mon pechie	--|-----|
k atortle mis sur	||---|-|--|--|
l esa in th omme	-⌫|--⌫--⌫|-⌫---|
couppezces tla s onm e	------||--⌫|-|-⌫---⌫|
dun danselfuqueiouamoie	|-|-----|-|--|--|----|
p our m onper e	-⌫--|-⌫-|---⌫|
queiec re moie	--|-|-⌫--⌫---|
qu i ne lf es ist	-||-||-⌫--⌫--|
li ureramort	--⌫---||---|
encoupayat ort	-------||-⌫--|
grant honte e n o t etsa ns	----|----|-⌫|-⌫|-|--⌫-|
une priereliui faire	--|-----|-|-|----|
adieuquib ienestauerree	|---|--|-⌫--|--|------|
con quezn efu is e deliuree	|--⌫---|-⌫|--⌫--⌫|-------|
dessyquilreuenist ariere	------|-|-------|-----|
iadel frui tbe le mere	-|--|----⌫|--⌫-|---|
n ere deliure cest	|--|------||--|
siaray ueuc elsaint	-|---|--|-⌫-|----|
pourlemeffaita ylemeschief	---|-|------|-⌫|-|-------|
laroyne sinasonchief	-|----|---|--|----|
quantotle p echie	----|-|-|-⌫----|
fillep ourquoyfesistelmal	----|-⌫--|---|----|--|--|
courchiéen azdi eu etsezsainz	--------|-|-|--⌫-|-|--|----|
moulte rtpr eudom licapelainz	----|-⌫-|--⌫----|-|--------|
fu de shonere z	-|--⌫-------⌫|
piechaestmo rze t	-----|--|--⌫-|-⌫|
d euoure z	-⌫------⌫|
iamai snul	-----⌫|--|
iour ne le	---|-|-|
ordicommen t deliue rraz	-|-|------⌫|------⌫---|
quantsanzlu ynep oeuz desloiier	----|---|--⌫|-|-⌫---|--------|
uaurrait enuo ier	-------|----⌫--|
se riansen lille fierz et oz	--⌫----|-||---|----|-|-|
ilitrouueroient le soz	-||-----------|--⌫|-|
dec hiausqui ontestéochiz	-|-⌫----|--|--|----|----|
carasseze niaonmis	--|----|-⌫|||-|--|
tot quei lliscen t et malzet buns	--|----⌫-------⌫|-|---|-|---|
estoit unsdelzsuenz	-----|--|---|----|
onlezf eroitlauere n sa nle	-|--|-⌫----|----|-⌫-⌫--⌫--|
senb euueroiece me	|-|-⌫-------|-|-|
del aigueuilfustatouchiez	-||----||-|---|--------|
unsd esezos de fi	--|-⌫|--|-|-|-|
d eliureestoiesansdoubtanche	-⌫-----|-----|---|---------|
celleestma	----|--|-|
fo is etmacr ea n che	--⌫-|-|-|--⌫--⌫-⌫--|
dameor aiez merchy demoy	---|-|---|-----|-|--|
fille orsueufre girayauroy	----|-|------||---|-|--|
che st eoe uureraconteretd ir e	---⌫--⌫|--⌫---|-------|-|-⌫--⌫|
la damecuilicoeu rzsouspire	-|---|--|-|----⌫-|-------|
e stt out pl ou ranta u	-⌫-|-⌫--|--⌫--⌫---|-⌫|
e t siliestaspiezkeue	-⌫|-|-|--|-|---|---|
uo i a nttrestouz les	--⌫-⌫-⌫-|-------|--|
piezl ib aise	---|-⌫|-⌫---|
necuidiezmi e qualroyplaise	-|------|--⌫|-|-|--|-----|
leue zs usdist il	----⌫|-⌫-|---|-|
bel eam ie	---⌫|--⌫-|
ne leu e r aymie	-|---⌫-⌫-⌫-|--|
sara y undon queiou demanch	|---⌫|-|--|--|--|------|
da m ei e fera yuocommant	--⌫-⌫|-⌫|----⌫|-|------|
bienpoez uos tre	---|---|---⌫--|
plaisirdi re	------|--⌫-|
sui e ni o udon tcertainesire	--|-⌫|-⌫-⌫|---⌫|-------|---|
oildamequoyqu il megrieue	--|---|-----|-|-|-----|
aces t motla	|---⌫|--|-|
d ame seli eue	-⌫--|-|--⌫--|
ap roimies est	--⌫-----||--|
asoreil le	||-----⌫-|
lefai tl e fille liconseille	-|---⌫|-⌫|----|-|--------|
sonfourfait et	--|-------|-|
safelonni e	-|-------⌫|
tou t sicomelle l	---⌫|-|--|---||
dontelle otencore sa	---|---|-|-----|-|
la ueriteay descouuerte	-|-----|-|----------|
pourc heluyqui	---|-⌫----|--|
moultdieuc remoit	----|---|-⌫-----|
et defin coeurloyalamoit	-|-|--|----|----|----|
a to rt nommalecapelain	|--⌫-|----|-|-------|
liroisale ueesamain	-|---||--⌫--|-|---|
estplus d ece ntfois	--|---|-⌫|--⌫-|---|
lazdist il	--|---|-|
b iensayque	-⌫--|--|--|
dieuxmerequerra	----|-|-------|
sonseria nt etde mand era	--|-----⌫-|-|--⌫----⌫--|
atortlifist olirla uie	|---|-|--|-⌫---|-|--|
lifoleale m ortdeseruie	-|---||-|-⌫--|-------|
k i lipou rcachasanzpard onz	-⌫|-|---⌫-----|---|----⌫--|
auoy sirechouest	---|---|---|--|
de lelassedo ntparoil chy	-|-|----|--⌫-|-----|--|
queuouzaiezdelimerchy	--|---|---|-|-|-----|
plest ne uouzdesd irez	----|-|---|----⌫---|
damedist iletuouzl	---|---|-|-|---||
certezcesuiiemoultdolanz	-----|-|--|-|----|-----|
elleliproiedez serianz	---|-|----|--|------|
qui pou r sez oz	--|---⌫|--|-|
enlylle iront	-||---|----|
moy l e zaporte r ont	--|-⌫-⌫|------⌫-⌫--|
quenfe rezuouzamie chiere	-|-|--⌫--|---|---|-----|
cel eli conte l aproie re	---⌫|-|----|-⌫|-----⌫-|
qu e lica pelains	--⌫|-|--⌫------|
fist parire	---|--|--|
o iclernostre	-⌫|---|-----|
c ar iamaizne	-⌫-|-----|-|
dusqu a tantq u e lel e	----|-⌫-----⌫|-⌫-|-⌫|
uauc unos quid eluysoit	|---⌫-|-|--|-⌫|--|---|
toutm aintenantd eliueroit	---|-⌫--------|-⌫--------|
cestlicreanche aledolente	|--|-|-------||-|------|
q uiensoeufremainteto urmente	-⌫-|-|------|-----|--⌫------|
luyrie ntrouuer	--|---⌫|------|
pourlacaitiu edeliurer	---|-|------⌫|-------|
bien poe ut ad uenir	---|---⌫-|--⌫----|
liroisafaitserians uenir	-|---||---|------|----|
silourdis t	-|---|---⌫|
soncommandem ent	--|---------⌫--|
chils ont arméhisne lement	---|-⌫--|----|-----⌫-----|
de b oines arm ezpou r	-|-⌫----|---⌫-|---⌫|
deffendr e	--------⌫|
aléen suntsans	---|-|---|---|
plusattendre	---|-------|
d usquanez q u ison t	-⌫---||--|-⌫-⌫|---⌫|
d ebienfairecascunsestri ue	-⌫|---|----|------|-----⌫-|
enc ontrele zbestezsauuage z	---⌫----|--⌫|-----|-------⌫|
donttouz e s toitplainzlibosquaiez	---|---|-⌫-⌫---|-----|-|--------|
moult lezre doutent	----|--|--⌫------|
li seriant	-|------|
en ue rzl yll esenuontnoant	--⌫--⌫-||---⌫||-|---|----|
pour secourrela damoisele	---|-------|-|--------|
iehanz esto i tdeuantlacele	-----|----⌫-⌫|-----|-|---|
sila uoitherbese trachinez	-|--⌫---|-----|-⌫|-------|
chiauxuoi t ue nirpar	-----|---⌫|--⌫--|--|
de lmezdauber tapareill ie z	|-⌫---||-----⌫|--------⌫--⌫|
mo ults estli sainshom merueilliez	--⌫--||--|-|----|--|----------|
cuidequilleuiegnent	----|-|-|-|-------|
en uerzl ecielsezyymainz puire	--⌫---|-⌫|---|--|-|----|----|
pui sdistdiexoiez maproiiere	---⌫|---|---|---|-|-------|
chiuoy ueniru negentfi ere	--|--|----|-⌫-|---|--⌫--|
seuostresplaisirziest si re	-|------|-------||--|--⌫-|
liurerme uoeulent amart ire	-----|-|-------||----⌫--|
quem aisn i	--|-⌫--|||
aitdemontempore	--|-|--|------|
recheuezm a meenuostreglore	-------||-⌫-|-|-----|----|
iamep orront	-|-|-⌫-----|
trouuer totprest	------|--|----|
pu isque uos tresp lais irz	--⌫----|---⌫---|-⌫----⌫--|
qu em ai s nia de	--⌫|-⌫--⌫||||-|
l icapelains uint auriu age	-⌫|--------|---|-|---⌫--|
encontre chiauxquiariuoie n t	-------|-----|--|-------⌫-⌫|
esmerueillent q uantleuoient	------------|-⌫---|-|-----|
neseu entque puis ta dueni r	-|---⌫--|--|----⌫|-⌫-----⌫|
illourdi stb ien puisiezue ni r	-|---|--⌫-|-⌫--|------|--⌫--⌫|
plai stuous ilherbegieronouz	----⌫-|---|-|--------||---|
siref ontilquiestez uous	---|-⌫--|-|--|----|---|
quien tr echezbest ezma nez	--|--⌫--⌫|---|----⌫-|--⌫--|
si gno urdisti lch ifuym enez	--⌫---⌫-|---|-⌫|--⌫|--|-⌫---|
yyans a parfausse acoison	-|--||--|-----|------|
iehanslicapellainz aya	-----|-|---------|-||
ie ha nuiuez uousdontbiauxmestre	--⌫--⌫|----|---|---|----|-----|
o ilmerchi	-⌫-|-----|
leroy celestre	-|--|-------|
qu imadon né	--⌫|||---⌫--|
cilli conterentlauenture	--|-|--------||-------|
kipour s ezozerent	-|---|-⌫-|-|----|
signeurbienuous	------|---|---|
est aduenu	--|-----|
toute n sanlemen	---|-⌫-⌫----||-|
soufrezun poyiamerare z	------|-|--|-|-|----⌫|
courussezliurezprendre	-----|--|-----|------|
t o st reuint	-⌫-⌫-|-----|
niuault pluz	||----|---|
en lornac helere chuptlont	-|--|---⌫---|--⌫----||--|
agr a nt ioiearrieres e n uont	|--⌫-⌫-|---|------||-⌫|---|
ta nt o n tdenagierest riué	--⌫-|-⌫-⌫|-|-----|---⌫----|
kalaterreson tarriué	||-|----|---⌫|------|
moult desirentq ueli roissache	----|-------|-⌫-|-|---|----|
le guang kontf aiten la	-|----||--|-⌫--|-|-|
onquez en boznen	-----|-|--||-|
t errenoe uue	-⌫---|---⌫--|
nefu faitesi be letroeu ue	-|-|----|-|--⌫-|-----⌫-|
yy messa gi erza u r oyenu oient	-|-----⌫--⌫--|-⌫|-⌫-|---⌫----|
quybienetbel	--|---|-|--|
parler s auo ient	-----|-⌫---⌫---|
con télion t	---⌫--|-|--⌫|
commentamainent	------|-------|
lesainthome	-|----|---|
do nt ioieenmainent	--⌫-|---|-|------|
saine tsa u fet plain de	---|-⌫|--⌫-⌫|-|----|-|
q ua ntliroizl otsi	-⌫--⌫-|-|---||-|-|
son pi se n droiterepent anche	--|--⌫|-⌫|-----|------⌫----|
crie ntquedieux	----⌫-|--|----|
n en uenganche	|-|--------|
deltort queausaintho mefist	--|---|--|-|----|--⌫-|---|
trestoutelicitez	--------|-|----|
quantil o irentlanouuele	----|-|-⌫----|-|------|
to utbla s merentladamoisele	--⌫-|---⌫-⌫-----|-|--------|
pa r c uifu esmus	--⌫|-⌫-|-|----|
apiezua encontre li	|---|-|-------|-|
etlar oyne agrantpite	-|-|-⌫---||----|---|
alen contrede	||--⌫-----|-|
encontrerentlec a pellain	-----------|-|-⌫-⌫------|
hom aleuésama in	--||----|-|--⌫-|
sez abeneize ts igni ez	|-||-----|-⌫|-⌫----⌫-|
liroisliestkeusa spiez	-|---|-|--|---|-⌫|---|
etl aroyn es	-|-⌫|----⌫||
age no ull e	---⌫--⌫---⌫|
etle menton li moul le	-|-|-----|-|----⌫-|
ca relle pleuretenrement	--⌫|---|-----|--------|
merchy liproiie douch ement	-----|-|-----|-----⌫----|
onta t ort	--||-⌫--|
iehans qu idediu a	-----|--⌫|-|--||
lorrespon tamoultsimplef ac he	--|------⌫||----|-----|-⌫--⌫-|
ieluo uz pardoinsetdie xs ifache	-||--⌫-|-------|-|---⌫|-⌫|----|
chep ourcachalapecc heres se	--|-⌫-------|-|----⌫-----⌫-|
e stmou ltm enter esse	-⌫-|---⌫-|-⌫-----⌫---|
encordur e	----|---⌫|
liblasmezlaiz	-|------|---|
ontenzel p a laiz	--|--|-|-⌫-⌫---|
tr est otsone mp ire	--⌫---⌫-|--|-⌫--⌫--|
ladamoisel eloydire	-|--------⌫||-|---|
moultagrant	----||----|
d e sir deueoir	-⌫-⌫--|-|----|
parluycuide merchyauoir	--|--|----|-----|----|
d ela dolour	-⌫|-|-----|
qu itantest male	--⌫|---|--|---|
aporter se faite nl esale	------|-|---|-⌫|-⌫|---|
d e uant l eroyqui est sez	-⌫-⌫---|-⌫|--|--|--|--|
p iteenote u sa mere	-⌫--|-|-|-⌫|-|---|
de hont e et d an gousse	-|----⌫|-||--⌫-----|
belle fil l ecriez	----|---⌫-⌫|----|
ausa intqueil uousuaille	-|--⌫--|--|-|---|-----|
sezmain sioint	--|----⌫|----|
traua ille	-----⌫---|
pla insieted oleurzet hauz	---⌫--|---|-⌫-----|-|---|
biaux ca pellains nezetloia ux	----|--⌫-------|--|-|----⌫-|
ato rtuouz missus le grant rage	|--⌫-|---|--|--|-|----|---|
oiantmonpe re et sonbarnage	----|--|--⌫-|-|--|------|
iediqueco uppezn yeu stez	-|-|--|--⌫----|||--⌫---|
enmonpechienenelseustez	-|--|-----|-|-||------|
sire me rch ydechestelasse	---|--⌫---⌫|-|-----|----|
quyatelduelse uie p asse	--||--|---|-|--|-⌫---|
chest droissecomprema folour	-|--|----|-|-----|-|-----|
quan tlisainshomotl a do lou r	----⌫|-|----|--|-|-⌫|--⌫---⌫|
piteot de sa	---|-|-|-|
meses tanche	-----⌫-----|
a studo nc uraiere pentanc he	-⌫|-|--⌫-|----|--⌫-------⌫-|
seihesu smesequoeure	-|-----⌫|-|--------|
la roynedepitepleur e	-|----|-|---|-----⌫|
a gen ousuaf ormentligrieue	|---⌫--|-|-⌫-----|-|-----|
ieh ans li cappe l lainsle nlieue	---⌫--|-|-----⌫-⌫----||-⌫|----|
sylidistmoultpiteu sement	-|-|---|----|-----⌫-----|
ke lelaist	|-⌫-|----|
sond oulousemen t	--|-⌫----------⌫|
certeznepuisdolourz m edonte	-----|-|---|------|-⌫|----|
mone nfantuoymorirahonte	--|-⌫----|--|----||----|
pla istserezconfortee	---⌫--|----|--------|
enune cambrec e stportee	-|--|-----||-⌫-|-----|
lilasseq uigrantdoeuldemaine	-|----|-⌫-|----|----|------|
lisainshomlaroi ne	-|----|--|-|---⌫-|
luisfe rma a p rezluy	|--|--⌫--|-⌫-⌫--|--|
li prestre	-|------|
laischaforsque la dame estre	------|------|-|---|----|
ert plai nede tristour	--|----⌫-|-|-------|
da me or proiez a ucrea tour	--⌫-|-|-----|-⌫|----⌫---|
nousenu oitco n fortet	---|---⌫--|--⌫-⌫---|-|
etmaproiiere essauc heet oie	-|-|-------|------⌫-|-|--|
dec houque	-|-⌫--|--|
ie li uoeul	-|-|----|
req uerr e	---⌫----⌫|
lezyygen ouz	--|-|---⌫--|
a misate rre	|--||--⌫--|
s acommenchieorison	||---------|-----|
sainterai son	-----|---⌫--|
biauxsirediextuky	----|---|---|-|-|
e lu ent re	-⌫|-⌫---⌫-|
de poissonsauuaz	-|------|-----|
etmoyasgardéuerzlez	-|--|-|-----|---|--|
q uitantestoien tde rub e stez	-⌫-|---|-------⌫|-|---⌫-⌫---|
syuoir que cestehonour maz	-|---|--|----|-----||-|
quy d oibtm oult	--|-⌫---|-⌫---|
bienestrere traite	---|----|--⌫-----|
orte proiede	-|-|----|-|
chesteesgaree	-----|------|
qued u squaore azen seree	--|-⌫-⌫--||--|-|--⌫----|
de liurelepartapoisanche	--⌫----|-|--|-|--------|
ren moy le	--|--|-|
fr u itdetasa m bl anche	--⌫-⌫-|-|-|--⌫-⌫--⌫----|
aferist atermine	------||------|
ilas ignielame sc hine	-||-⌫----|-|--⌫--⌫---|
quien dole ur a	--|-|----⌫-||
me z maintiour	--⌫|----|---|
onquezniotpl usdesei our	-----|||-|--⌫-|-|---⌫--|
maizleuz maintenanta d eliure	---|---|---------||-⌫-----|
dunenfantmalle se	|-|-----|----|-|
si for mé comm e deyy ans	-|---⌫--|----⌫|-|-|--|
detoutez parolezdefans	-|-----|------||----|
ot lecorpsdoctrin é etsage	-|-|----|-------⌫-|-|---|
onqueznu l iourd eson eage	-----|--⌫|---|-⌫|--|---|
ne uitpluzb ellecrea t ure	-|--|---|-⌫---|----⌫-⌫--|
deliureeest desa porture	-------|--|-|-|------|
sain e selieuehisne leme nt	----⌫|-|----|-----⌫----⌫-|
la da moiselem alnesent	-|--⌫------|-⌫-|-|---|
l e sain th omme a ert par	-⌫|----⌫|-⌫---|-⌫--|--|
e rtag enoulliez	-⌫-|--⌫--------|
saine suy dist point	----|--|---|----|
nem e grieue	-|-⌫|-----|
ie hanslicappellainsse lieue	--⌫---|-|----------|-|----|
etuoitlenfanc honqui parole	-|---||------⌫--|--|-----|
sil a planieetsilacole	-||-⌫-----|-|-||----|
t antost lirequie rtcil	-⌫-----|-|------⌫-|--|
e t s a ito lieet	-⌫||-⌫-|-⌫--|-|
si aitc resme	-|--|-⌫----|
tantost lenf antbabtisa	------||---⌫--|------|
et delca ppe llain	-|--|--⌫---⌫----|
diulo er entpour lemiracle	--|--⌫--⌫--|---|-|------|
q ue di euxotfait	-⌫-|--⌫--|-|---|
p ourson signacle	-⌫--|--|-------|
l iroislonneure	-⌫|---||------|
e tsiprinch i er	-⌫|-|------⌫-⌫-|
etliaultrezpulezl	-|-|------|----||
sez liurezm i st alecapelle	--|-----|-⌫-⌫-||-|------|
q uantoie f u la nouuele	-⌫---|--|-⌫|-|------|
quesez l i urez tous dor	--|--|-⌫-⌫---|---||-|
qu ensab ouchede stemprép rist	-|-|-|-⌫----|--⌫-------|-⌫---|
parmiracled ieuenloerent	--|------|-⌫--|-|------|
e t puisbouche	-⌫|---|-----|
do rl apelerent	|-⌫||--------|
pouri c el	---|-⌫-⌫-|
miracleensourno n	------|-|------⌫|
sainsiehansbouchedor otanon	----|-----|-----||-|-||--|
est netteetm oultsaintime	--|----|-|-⌫---|-------|
pu is plot a diulero yhautime	--⌫-|---||--|-|--⌫|------|
fuues quesde	-|---⌫---|-|
desauie uousay conté	-|-|--|---|-|-----|
etq uan tf in er	-|-⌫---⌫|-⌫--⌫-|
dutl eb oinmestre	--|-⌫|-⌫--|-----|
orison fist au	-----|---|-|
royc elestre	--|-⌫------|
que feme z quienfant port a ssent	--|----⌫|--|-----|----⌫-⌫----|
s alour be soin glereclamas sent	||---|--⌫----⌫|-|--------⌫---|
quele nf ant mortn e rec h eust	--||-⌫--⌫--|---|-⌫|---⌫-⌫---|
dusquensains fonsbabtisiez fust	----|-|----|---|--------|---|
etl amereah o nour	-|-⌫|---||-⌫-⌫---|
do nn ache qu il r equ ist	--⌫--⌫|--|-|-|-⌫---⌫--|
tenirle doibt o nenmemore	----|-|----|-⌫|-|-----|
pourrenau t qu i	---|-----⌫|--⌫|
si courtoisemen t	-|------------⌫|
depriezdieuomnip otent	------|---|-----⌫----|
a usignourdont tousbie nz estfaiz	-⌫|------|---|---|---⌫-|--|---|
q ueil li pard oinstsezm e ffais	-⌫-|-|-|----⌫----|--|-⌫-⌫----|
etotroitura ierepe ntanche	-|-----|---⌫-|----⌫------|
com cilq u iest d etelpoisanche	--|--|-⌫-⌫|--|-⌫|--|--------|
dedo n nerpermanable	-|--⌫-⌫--|---------|
amenamenchasc unsen die	---|---|-----⌫--|-|--|
