mil chentetsoisanteanz	--|----|-|-------|--|
moingne quelorout amen ee	------|--|--|--|----⌫-|
porgerbo utse	--|-----⌫-|-|
ser ourq ui lafu mariee	---⌫--|-⌫-|-|-|-----|
gu illa ume de baieues	--⌫----⌫--|-|------|
uintetc inq an z fuduc mo ultoutcourte	---|-|-⌫--|--⌫|-|--|--⌫--|--|-----|
longue men tenf up ui z normendieef fre e	------⌫---⌫|-|-⌫|-⌫--⌫|--------|--⌫---⌫|
franchoiz lorfirent faire mainte	--------|--|-----|----|-----|
maleiornee	---|-----|
guillaume fufizrouau	--------|-|--|--|-|
bonconquereour	--|----------|
auuassalauhardi auboncombateour	-|-----|-|----|-|--|---------|
qu i fist maintebataill eetsouff rimaint	--⌫|---|-----|-------⌫|-|-----⌫-|----|
d u lignag e lec laimmentetl echiefe t la flour	-⌫|------⌫|-|-⌫-------|-|-⌫|----|-⌫|-|----|
tan t guerreafra nch oize ttantlor fis tpoour	---⌫|------|---⌫---⌫--|-⌫|---|--|---⌫|----|
queil sent raco rderent paizp ristren te t	--|-||---⌫----⌫------|---|-⌫-------⌫|-⌫|
leroiqu ilten oit	-|--|-|-|---⌫--|
li fi s ts igrant	-|--⌫-⌫|-⌫|----|
gille unesou efille lidonnaa	----|--|---⌫|----|-|----||
ettoute no rmendie etdedenze tentou r	-|----|--⌫------|-|-----|-⌫|-----⌫|
grantnobleceet	----|------|-|
demo ultgrant uallor	-|--⌫--|----|-----|
plusorsde sezuoisinzletindrent pour	------|-|--|------|-|-------|---|
tre nteanzti ntnormen diee n	---⌫--|--|--⌫-|------⌫--|-⌫|
sa b onneu igor	-|-⌫---|-⌫---|
