ainzkelamalege nt dep erse	-----|-|---|--⌫-|-|-⌫---|
ior enuit sa nzdefi nement	--||---|--⌫-|----⌫-----|
d amehumbleme nt	-⌫--|--------⌫-|
ieunaen ueil lant urat	----|-|----⌫---|---|
ditelmesfait pardun preiat	|---|------|-----|-----|
kilp eustauerre cha tement	|-|-⌫---|---|--⌫---⌫-----|
desonchaitif	-|--|------|
kel e lifist defensiun	|--⌫|-|---|--------|
e ncuntrediablefelun	-⌫------|-----|----|
kilontdedeu sisupplanté	-||--|-|--|-|---------|
etatel reniemen tm ené	-||--|--------⌫|-⌫---|
quarante iorzidemura	-------|---||-----|
equ aran ten uizi ue illa	|--⌫----⌫-|-⌫--||--⌫---|
odiiunes e odureisuns	-|-----||-|-------|
re quistlad ame ag enuilluns	--⌫----|-|-⌫--||-⌫--------|
lamered eu sa intemarie	-|---|-⌫-|--⌫---|----|
enuers deulifust	-----|--|-|---|
epuis apreslesiursquarante	|---|----|--|---|-------|
uintali la dame	---||-|-|---|
aune nuitu erai em ent	|--|---|-⌫----⌫--⌫--|
liaparutapertement	-|-----|---------|
ki es taieatut lemunde	-|--⌫|--||--|-|----|
kigracee ntutesriens	-|----|-⌫|----|----|
kiestrefu iatu zpecheurs	-|--|----⌫||--⌫|-------|
kiest acres tiens succur s	-|--||----⌫----|------⌫|
kiestaieatuz e r ranz	-|--|--||--|-⌫-⌫---|
kie sttuttensods esbien uo illanz	-|-⌫-|--|---|-|-⌫-|----⌫--⌫-----|
ki cunseil leles	-|-------⌫-|--|
kiestu eie	-|--|-⌫--|
de peleri ns	-|------⌫-|
detuzcha itifs	-|--|---⌫----|
ki cumf ortduneas esamis	-|----⌫--|---||-⌫-|---|
ki estesteile desir ee	-|--|------|-----⌫-|
meredeuel cielcoru nee	---|--|-|---|----⌫--|
acestui uint apertement	|-----|---|---------|
ed istlimultpitusement	|-⌫--|-|---|---------|
chaiti fshoemdolentcoquede it	------⌫-|---|-----|-|--|--⌫-|
k etu criess iaesplei t	-⌫|-|----|-⌫||------⌫|
keiot aieeuailleatei	-|-||--||-----||--|
kiren iasmu nfi zem ei	-|---⌫--|--⌫|--⌫||-⌫-|
comentpuis dunc m unf iz	-----|---|---|-⌫-|-⌫-|
estde ci ele deterr e	--|-|--⌫-||-|----⌫|
ke ilp arduins ttun	-|-|-⌫-------⌫|--|
ulem alfa itqueas enginnié	|-|-⌫----⌫-|--|-|--------|
reguarderai	----------|
quantiopur	----|-|--|
tei lerequ errai	--|-|----⌫----|
kiren iassila idemen t	-|---⌫--|-|--⌫------⌫|
parescri t d ecumf ermement	--|-----⌫|-⌫|----⌫-------|
defianc e ertilrequis	-|-----⌫|--|-|-----|
pur tei ki siuilment g uerpis	--|--|-|-|------|-⌫-----|
comenteste raipur	-----|----⌫--|--|
de uan ts un	--⌫---⌫|-⌫-|
sain tsiegereal	----⌫|----|---|
coment purra i labucheour ir	-----|-----⌫|-|----|---⌫-|
qant io telma ls dei	---|-|--|--⌫-|--|
d escourir	-⌫-------|
uers munfiz	---|--|--|
eu ers lapuis sance	|-⌫--|-|----⌫----|
kilait tei bienuoill ance	|-|--|--|---------⌫---|
dole ntc eo q uasu er sme ipechié	----⌫-|-⌫-|-⌫|-|-⌫--⌫|--⌫|------|
pu rratalkesestre alegié	--⌫---|----|----|------|
purceo ke ioaimmut	--|--|-|-|--|--|
cresti ens	------⌫--|
etutlurlinage en tuztens	|--|--|-----|-|--|---|
maimement cesaimenfei	--------|--|--|-|--|
temple requerentmei	-----|--------|--|
kia meiif untlur preiere	-||--||-⌫--|--|------|
odboen cue ro d	-|---|---⌫|-⌫|
fei entiere	--|------|
kiiui ue ntentelmaniere	-||--⌫--⌫-|-|--|------|
a tres tu z	|----⌫--⌫|
ot re ilurpreiere	--⌫--⌫|--|------|
icels succur i celsenbraz	----|-----|-⌫---|-----|
reisnabl ement l ur uolei r fa z	--------⌫----|-⌫-|-----⌫|--⌫|
io ne uoil	-|-|---|
ueer nesuff ri r	---|-|----⌫--⌫|
lecoruz mo nfizne	-|----|--⌫|--|-|
neuoilqueilsecu r ucerien	-|---|--|-|-|--⌫-⌫--|---|
io u oilf aire bien	-|-⌫--|-⌫---|---|
estutrequerremult	----|-------|---|
odquertrub lé	-|---|----⌫--|
od pitusuul t	-|----|---⌫|
labenignetedemu nfiz	-|--------|-|--⌫|--|
keestr epuissiezsis esliz	-|----⌫|-------|--|----|
n estpassul ement merciab le	|--|--|---⌫----|-------⌫-|
maisiustesi ugesueritable	---|-----|-⌫---|--------|
surtutesriensest	--|----|----|--|
i ustisiers	-⌫--------|
edesuensiuges drei t u riers	|-|----|----|----⌫-⌫-⌫----|
dunc dittheofle	---|--|------|
humblement	---------|
siestildame	-|--|-|---|
u eireme nt	-⌫------⌫-|
b e neitedame glo riu se	-⌫-⌫----|---|---⌫---⌫-|
saintis medame preciuse	-------⌫-|---|-------|
kiestesahumainegent	-|----||------|---|
protecti unesaluement	--------⌫-||--------|
du l ce hafne	--⌫-⌫-|----|
refui se urport	----|--⌫-|---|
deuusuntcrestienscumfort	-|--|--|--------|------|
damebienueietresbiensai	---|---|--||---|---|--|
ked olurus ementpech ai	-|-⌫------⌫----|----⌫-|
auu s eauostre fizc her	|--⌫|||-----|--|-⌫--|
dreit urier	-----⌫----|
n esu ipasdigneen	-⌫|--⌫|--|----|-|
requeresami s eri corde	------|-|--⌫-⌫---⌫----|
ma is nequedenti oai essample	--⌫-|--------|-⌫|-|-------|
decels kiainzpecherentample	-|---|-|---|--------|----|
kiainz pecherentdeuantmei	-|---|--------|-----|--|
en uostre fizencuntr efei	-|-----|--|-------⌫|--|
parpenita nce	--|------⌫--|
deseruirent	----------|
pe chie zk e ainzmesfirent	--⌫----⌫|-⌫|---|--|-----|
pur ceodame	--|--|---|
a lie auos	|-|||--|
uienc cumchaitif	----|--|------|
multbosuignos	---|--------|
karsepenitan ce ne	--|-|-------⌫-|-|
lireisnini ueinsmort	-|---|----⌫----|---|
parp e nitenceerentsal ué	--|-⌫-⌫------|----|---⌫--|
lininiuein de	-|-------|-|
se penitencen efustdig ne	-|--------|-⌫|---|---⌫-|
coment serraitdauidben igne	-----|------|----|---⌫---|
d el nobleprofecial dun	-⌫-|----|--------|--|
apresl af ornicaciun	----|-⌫|-⌫---------|
quant en homeci de ch ai	----|-|------⌫-|--⌫-|
puisquantd e buche	---|----|-⌫|----|
le co neut	-|--⌫---|
s espe chiez rec eut	-⌫-|--⌫----|---⌫--|
enonsulementcelpardun	|--|-------|--|-----|
mais puis dere chie flebeldun	---|---|----⌫----⌫|-|--|--|
de lasaint ed eu	-|-|-----⌫|-⌫-|
ilr e ceutap res la	-|-⌫-⌫---|--⌫--|-|
sepenitencenef ust c here	-|--------|-|-⌫--|-⌫---|
co mentpu rreitduncseint pie re	--⌫---|--⌫----|---|----|---⌫-|
a ueirpard une sal u ement	-⌫---|----⌫-||---⌫-⌫----|
ki reneiout deusi ui lment	-|-------|--|-|--⌫----|
nemieunefeiznesec un de	-|--|--|---|-|---⌫--⌫-|
mais tr ei sfeizedeuoiz parfunde	---|--⌫--⌫|---||-|---|-------|
karpa rplurement	--|--⌫|--------|
fistuostrec hierfiz	---|-----|-⌫---|--|
epuisl ifist s i granthonur	|---|-⌫|---|-⌫|----|----|
kedetuz sains lefistpastur	-|-|--|----|-|---|-----|
sepe nitencene fust saint e	-|--⌫------|-|---|-----⌫|
coment orreits aintpol	-----|-----|-⌫---|--|
lapla inte	-|---⌫---|
e nuersc orinth i	-⌫----|-⌫------⌫|
enputeriechai	-|------|---|
saintpol le pris t puradrescier	----|--|-|----⌫|--|--------|
ke malfe nelpeust	-|----|-||----|
chalengi e r	--------⌫-⌫|
sepenitence nefustfine	-|--------|-|---|---|
come ntuendre itsa i nteiustine	----⌫-|------⌫-|--⌫-⌫--|------|
ac yp rienlemal f aisant	|-⌫--⌫---|-|--|-⌫-----|
kid olur emalfist sigrant	-|-⌫---||--|---|-|----|
k i ltaillal e sfemmesen cei ntes	|-⌫|-----|-⌫-⌫|-----|--⌫---⌫---|
e turmen tae oc c ist	|------⌫-||--⌫-⌫--|
la s eintelecumfortasi	-|-⌫----|-|-------|-|
pechiezoutmerci	------|--|----|
ne out miesuleme ntpardu n	-|--|--|------⌫-|-----⌫|
ne despechiez re mi ssiun	-|--|------|--⌫--⌫----|
maistantl amapuis nostresire	---|---||--|---|-----|---|
ertpuisdemartyre	--|---|-|------|
d untio pe cheres	-⌫--|-|--⌫-----|
suihait ié	--|----⌫--|
uiencdameauostrepitie	----|---||-----|----|
par les pecheurskeioaimustré	--|--|-------|-|-|-|------|
suienz elquermult	--|--|-|---|---|
cumfor té	------⌫--|
purceoe spe ir aueirpardun	--|--|-⌫---⌫-|----|-----|
etdespech ie zremissiun	-|--|----⌫--⌫|--------|
si meu oille z dameai d ier	-|-|-⌫-----⌫|---|--⌫-⌫--|
euostrefi z	|-----|--⌫|
purm eipreer	--|-⌫-|----|
uu s suleaima	--⌫|---|-|-|
req uierlauostre	---⌫---|-|-----|
bienu oillanc e	-----⌫-------⌫|
k e uus medeignezcumforter	-⌫|--|-|------|--------|
euostrefizpur meipree r	|-----|--|--|--|----⌫|
e nqui ioaipechiég riefment	-⌫|--|-|-|------|-⌫-------|
side uusneaiali ege ment	-|-|--|-|-|---⌫---⌫---|
idunc nesaiioq uelp a rt	----|-|--|-|-⌫--|-⌫-⌫-|
damesanzuus nesai qu e	---|---|--|-|--|--⌫|
e quantil aue it dit	|----|-|---⌫-|--|
pitusemen tde que r parfi t	---------⌫|-|---⌫|-----⌫|
lamere deusein tee	-|---|--|----⌫-||
ho nurable	--⌫------|
lachere damemerciab le	-|----|---|-------⌫-|
kipur tuzg ra ntbien	-|--|--|-⌫--⌫-|---|
en uersdeuplusquealtrerien	--⌫---|--|---|--|----|---|
ki est refuicuns eil cu mfort	-|--|----|----⌫--|--⌫----|
a tuz kiso efren t mal	|--|-|--⌫-----⌫|--|
kiestasdolur usleesce	-|--|-|-----⌫-|-----|
kiestsuppu ail deueillesc e	-|--|-----⌫--|-|--------⌫|
a tuzp rotectiun	|--|-⌫--------|
kilar equirentparraisun	-|-|-⌫-------|--|-----|
ki cr es tiene	-|--⌫--⌫----|
gentnurist	---|-----|
duncbo n ement dist	---|--⌫-⌫----|---|
chaiti fthe o fleregeis	------⌫|---⌫-⌫--|-----|
sei tfizdeupoestifs	---⌫|--|--|-------|
k eioenfant ais eintement	-⌫|-|------⌫-|-⌫--------|
ketureniascumdolent	-|-|-----|--|-----|
k ilem und p arsei	-⌫|-|-⌫--|-⌫-|--|
lerequerraipurtei	-|--------|--|--|
receiu ebonement	------⌫|-------|
etheofle dit	|------|--|
humblement	---------|
dam e beneitecreature	---⌫|------|-------|
comentemprendrai	-----|---------|
io la cure	-|-|---|
de requerre uostre cher fiz	-|-------|-----|---|--|
reniai malbailliz	-----|---------|
ki ai lab uche cuntredite	-|-|-|-⌫---|---------|
ec un c hied ede udespite	|-⌫--⌫-⌫--|-⌫|--⌫|------|
uostre fiz keiadisamai	-----|--|-|----|---|
oser aiio prei er	----⌫-|-|----⌫-|
odlab ucheu sunnuntucher	-|-|-⌫---||--|--|-----|
io forfa it	-|-----⌫-|
par ua insdes irsde	--|--⌫--|---⌫--|-|
l isoustra it	-⌫|-------⌫-|
kecors eal me perduai	-|---||--⌫-|----|-|
pa rico k ereneai	--⌫|--|-⌫|-----|
karp er duaile	--|-⌫--⌫-|-|-|
sain tbaptesme	----⌫|-------|
keiorecuie lesaintcresme	-|-|----||-|----|-----|
parlecyrografe elescrit	--|-|--------|||-----|
el asainteda m e	|-⌫|-----|--⌫-⌫|
r egeistant	-⌫----|---|
ki lseitueirsd euomn ipot ent	|-⌫|---|----|-⌫-|---⌫----⌫--|
ki ltedefended el d iable	|-⌫|-|------|-⌫-|-⌫----|
k armultest piuseme rciab le	-⌫-|---|--|---||--⌫-----⌫-|
il rec e ura	-|---⌫-⌫--|
tapenitance	-|--------|
tesler meseta cun science	--|---⌫--||-|---⌫------|
sifaitil detuzueirem ent	-|---|-|-|--|------⌫--|
ki lerequerentb onement	-|-|--------|-⌫------|
karpur ceopristde ucharen	--|--|--|----|--⌫|---|-|
k ep eche urs	-⌫|-⌫----⌫--|
s aluasten fei	-⌫-----|-|--|
theofle dunc o dp acience	------|---|-⌫|-⌫------|
odsimpleuolt odreuerence	-|-----|---|-|--------|
odgra nt crie	-|---⌫-|--||
odpl urement	-|--⌫------|
distio regeisueireme nt	---|-|-----|-------⌫-|
kil est ueirs deusen trini te	|-|--|----|---|-|-----⌫-|
iocreiioa uriohonu r	-|---|-|-⌫-|-|----⌫|
entreisperson es	-|----|------⌫-|
unsei gnur	-|---⌫---|
cest iesus c ri stnostreauo é	|--|----|-⌫--⌫-|-----|---⌫-|
ai nzl emundd elpere engendre ́	--⌫-|-⌫|---|-⌫-|---|--------⌫|
esderainsio rz deignathoem estre	-|------|--⌫-|------|---|----|
de uusdame deu i rge neistre	-|--|---|-|-⌫-⌫--|------|
d e tutegent	-⌫|---|---|
uintelsiecle ueraiem ent	---|-|-----|-------⌫--|
iocrei bien kilestdeuparfit	-|---|---||-|--|--|-----|
ueirs deuueirshoemcumditlescrit	----|--|----|---|--|--||-----|
k ipur nus pecheu rs erttraiz	-⌫|--|--|------⌫-|--|----|
feru batue escopiz	---|---||------|
lai ssasur	---⌫--|--|
croizes tendre	----|--⌫-----|
pas t urssalmeuoltrendre	---⌫-⌫--||---|---|-----|
purnuschait ifs	--|--|-----⌫--|
pecheurs guarir	-------|-----|
leissat enseuelir	------|--------|
res usci ta elci elm u nta	---⌫----⌫-|-|--⌫-|-⌫-⌫--|
dulc ementles soenscumforta	----⌫----|--|----|-------|
tuzi cel sil apparut	--|-⌫---⌫|-|------|
odl ac harkede uusre ce ut	-|-⌫|-⌫--|-|-|--|--⌫--⌫-|
maintlasuselcieloduic tori e	----|-|--|-|---|-|---⌫----⌫|
auen i r estods agrantglorie	|---⌫-⌫|--|-|-⌫|----|-----|
iugi er uifsemo rz p ar	----⌫-|---||--⌫-|-⌫-|
cheunguerredun	----|--------|
selung lesoures k aitouré	-----|--|----||--|----|
tuitico cre i deu e r i te	---|--|---⌫|-|-⌫-⌫-⌫-⌫-|
cest ui cult ifcestui aur	----⌫-|----⌫-|-----|--|
cest ui apelmun cherseignur	----⌫-|---|--|---|------|
requ ieruus dame	----⌫--|--|---|
saintepucele preciuse	-----|-----|-------|
offrez mei auostrec herfiz	-----|--||-----|-⌫--|--|
q ue ioseie	-⌫-|-|---|
off re z meianostre s e ignur	---⌫--⌫|--||-----|-⌫-⌫----|
atuncherfizal creatu r	|--|---|--|-|------⌫|
requieru os dulceda me chere	------|-⌫-|----|--⌫-|----|
kenerefus ezmap reiere	-|-|-----⌫-|-|-⌫-----|
ki supplanté sui erauiz	-|---------|--||----|
e malbail liz	|-------⌫--|
de liurezicest maleuré	--⌫-----|----|-------|
dem ac haitiue iniqui te	-|-⌫|-⌫------|------⌫-|
karc haitiuementaiperdu	--|-⌫----------|-|----|
lag rac edeu e sa uertu	-|-⌫---⌫|--||-|----|
quantce oaueitdittheofilus	----|--⌫|----|--|--------|
la da menerefaitduncp lus	-|--⌫-|-|-----|---|-⌫--|
forsqu elep reists en t en ciun	-----|--|-⌫----||--⌫-⌫--⌫---|
deluiduncsatisf actiun	-|--|---|------⌫-----|
nostredame saint e marie	-----|---|-----⌫|----|
ki est cumfortcunseilaie	-|--|------|------|--|
atutecres tieneg ent	|---|----⌫----|-⌫--|
edeser ranzaleg ement	|--|--⌫---|----⌫----|
ueireuei e	----|---⌫|
u e rrai chemin	-⌫-⌫---|-----|
atuzcels qui lisunt aclin	|--|---|--|-|---|----|
kientrede u egent requiert	-|----|--⌫||---|-------|
ice oquemesti erses teie rt	---⌫|--|-----⌫--|--⌫||--⌫-|
dist bonement	---|-------|
ionur r ideuueraieme nt	-|---⌫-⌫|--|--------⌫-|
i esuschristnos tre cherseignur	-⌫---|-----|---⌫--|---|------|
detuz crestiensait endru r	-|--|--------|-|-⌫-----⌫|
pu rlebaptesmeke asreceu	--⌫|-|-------|-|-|----|
e lnundemuncherfiziesu	-⌫|--|-|--|---|--|---|
ceokeio aig rantpitie	--|-|-|-|-⌫---|----|
quantcrestiensuntmes aisié	----|-------|---|---⌫-----|
quan t crestienunt malentente	----⌫|-------|--|--|------|
ensembleodelsens uidolente	-------|-|--|-|-⌫-|------|
p urlapi ti e quedeu us	-⌫-|-|--⌫--⌫|--|-|-⌫-|
ai esum munfiz men	|-⌫---|--|--||-|
as esduz piez	|-⌫-|--|---|
char rai degr e	----⌫--|-|--⌫|
quiltere ceiueensalu ete	-|-|-|--⌫----|-|----⌫--|
o dcest di tde l au isi un	-⌫|---|--⌫|-||--⌫---⌫-|
luiseitle ior clerdenuirun	------|-|--|---||------|
elase in te	|-|--⌫--⌫-|
dame epucele	---||-----|
departise nluisante e	------||-⌫|-------||
theofletr e isiurspuisura	------|--⌫-⌫-|---|---|--|
de f in cu ersi	-|-⌫-|--⌫-|-|
quenecessa	--|-|----|
riendedeureq uerre	---|-|--|---⌫----|
s uuent f eri delchie f	-⌫----|-⌫--|--|----⌫|
san z uianderemistesta ble	---⌫|-----|-----|----⌫--|
en icelsainttemplehonu rable	-|---|----|-----|----⌫----|
e spandi lermesepreiere	-⌫-----|-----||------|
sacher emere	-|----⌫|---|
requistl adameche re ebele	------|-⌫|---|---⌫-||---|
quead eu prese ntastsaqu erele	--||-⌫-|-----⌫----|-|--⌫----|
saludeuie lidonast	---|-|--|-|-----|
edeldiablel esluignast	|--|-----||---------|
derechiefuint la gloriiuse	--------|---|-|--------|
la sain tedame preciuse	-|----⌫-|---|-------|
nost r edameseinte marie	----⌫-⌫|---|-----|----|
kilasus elciel estreine	-|-|--|-|---|--|----|
oi ls od haitie	--⌫-|-|-----|
e distlui en dul ce mani ere	|---|--|-|---⌫-|----⌫--|
suffisantest tapenitance	--------|--|-|--------|
quadeu m ustre	-||--|-⌫----|
taconsc ience	-|-----⌫----|
licriaturs	-|-------|
detuterie n	-|---|---⌫|
tape n itanceprenten bien	-|--⌫-⌫-----|----|-|---|
tes lermes	--|-----|
adreceuengre	-|----|-|--|
tarequestetad	-|-------||-|
se tuuelsmaindr e	-|-|---|------⌫|
ent e lpurpens	-|-⌫-⌫|------|
de squeal derainiordetuntens	--⌫---|-|-----|--|-|--|---|
desquetamortqueneforueies	-----|-|---|--|-|-------|
sicumpa rmeileprameteie s	-|--|--⌫|--|-|---------⌫|
th eofle li respundi	--⌫----|-|-------|
ch eredameuostremerci	--⌫--|---|-----|----|
certe siogarderaimut bi en	-----⌫|-|-------|--|--⌫-|
quan tque uus	----⌫---|--|
pl aist en tut erien	--⌫---|-|---⌫|---|
uo streplaisirfraiuostre sui	--⌫---|------|---|-----|--|
apr esdeune aiautrere fui	---⌫-|--|-|-|----|--⌫--|
bien tendra i	---|------⌫|
ce okeiopramis	--⌫|-|-|-----|
d equa nt quepu rrai	-⌫|---⌫--⌫--|--⌫---|
uuseste s dame cuuert ure	--|----⌫|---|------⌫--|
detr estuteh umainenature	-|--⌫-----|-⌫-----|-----|
iolsaidequeorle regei s	-||--|-|----|-|-----⌫|
ked ameestes depareis	-|-⌫--|----|-|-----|
kifuref us éucumfus	-|-|---⌫--⌫-||-----|
kiunkesoutfianceen	-|----|--|-----|-|
uquelshoemre qu ist	|----|---|--⌫--⌫--|
uersdeurien	---|--|---|
ki uusclamastnespleit astbien	-|--|------||-------⌫--|---|
duntiope che ur	---|-|--⌫---⌫-|
r equi eruostreb en ignete	-⌫----⌫-|-----|-⌫--⌫-----|
uostrebunte uostrepitie	-----|----|-----|----|
ki suienordure plungié	-|--|-|-----|-------|
keuusd amemepurchac iez	-|--|-⌫--|-|-------⌫--|
lachartr e	-|------⌫|
duntsuireneiez	---|--|------|
ma prop re main escris	-|----⌫-|---|-----|
que ioimis	--|-||--|
dame sec e le charteaueie	---|-|-⌫-⌫-|-----|----|
paruostresuccurs bienguarreie	--|-----|------|---|-------|
deceoa ielquer	-|--|-⌫|-|---|
gra ntpesance	---⌫-|------|
edema almedute egreuance	|-|-|---|---||-------|
quan tceooutdit	----⌫|--|--|--|
d e querplura	-⌫|---|----|
e altres feiztreisiursur a	|-----|---|----|---|--⌫|
sirequi stla	-|-----⌫-|-|
d ame honurable	-⌫--|--------|
damemerciable	---|--------|
kiest salu ueiree sperance	-|--|---|----|-⌫-------|
atu zcrestiens	|--⌫|--------|
sanzdutance	---|------|
requis tli siunkeslamast	------⌫|-|-|----||----|
kesa chartrelipurchacast	-|-|------|-|---------|
aprescestreisiurs ueirement	----|--|----|---|--------|
re uintladameac eldolen t	--⌫---|-|---||-⌫-|-----⌫|
od beluoltod	-|--|---|-|
bele facun	---|----|
une nuit parauisiun	--|---|--|------|
odlesescriz	-|--|-----|
e mistlitut dreitsu rsonpiz	|---|-|--|----|--⌫|--|--|
iloec lemis tmultb elem ent	----|-|---⌫|---|-⌫----⌫--|
si cumildorm iueirement	-|--|-|----⌫|--------|
pu is quantt heofles	--⌫-|----|-⌫-----||
lachart reod	-|-----⌫-|-|
duncd euintal queor sihai tié	---|-⌫----|-|----|-|---⌫---|
quedeplaine goie epit ie	--|-|-----|---||---⌫-|
c o mencataplu rerforment	-⌫-⌫-----||---⌫--|------|
eloaddeupitusement	|---|--|---------|
lendemaink	|-------||
auintpardim ain e	----|--|---⌫---⌫|
a leglisealadpl u sproc eine	||-----|---|--⌫-⌫|----⌫---|
lauli euesq ue s	-||-|-----⌫--⌫|
utu tlipoplesduncueneit	|--⌫|-|-----|---|-----|
delac i te e	-|-|-⌫-⌫-||
p urueerpur o irsermun	-⌫-|---|--|-⌫-|-----|
quantlewan ge liee steitpa rlit	----||----⌫--⌫--|-⌫----|--⌫---|
e l offren d e	||------⌫-⌫|
chantéed it	------||-⌫-|
theof ledunkesauantuint	-----⌫-|-----|----|---|
e leuesque	||------|
parl espieztint	--|-⌫-|---|---|
cuntali com entout	----|-|---⌫--|--|
m ultpitusement	-⌫--|---------|
tutsunch a itif	--|--|--⌫-⌫---|
reni ement	----⌫----|
cumfolement reniatdeu	--|-------|-----|--|
culuertmaldithe br eu	------|-----|--⌫--⌫-|
diable o utfa itescr it	-----|-⌫-|--⌫-|----⌫-|
cuma i nzertaeuesq ueesli t	--|-⌫-⌫-|--||-----⌫-|----⌫|
cumleuesquie o utrefus e ́	--||-------|-⌫-|-----⌫-⌫|
uilestei tduncordene ́	|-|-----⌫|---|------⌫|
cumpurr ecoure rglorieu aine	--|--|-⌫------⌫|-----|-⌫---|
guerpil aioi e	-----|-⌫|---⌫|
soueraigne	---------|
quantd itli out s a fel u nie	----|-⌫-|-|--|-⌫|---⌫-⌫--|
cum larequis tp it usement	--|-|------⌫|-⌫--⌫------|
od p lureod	-|-⌫--||-|
ge mi ssement	--⌫--⌫------|
cum souent li	--|-----|-|
requis tme rci	------⌫|--⌫--|
cumdedeu pardun des erui	--|-|--|-----|---⌫---|
desa m alueise felunie	-|-|-⌫------|------|
parladulcesainte	--|-|----|-----|
delcyrografeli r e dist	--|--------|-|-⌫-⌫---|
c oment lame reiesu crist	-⌫----|-|--⌫-|---|----|
li outaporté b ien e	-|--|------|-⌫--||
l ecyrografe od	-⌫|--------|-|
lidit oa nt lagent	-|--|--⌫-|-|---|
oan tle popleelecouent	---⌫|-|----||-|-----|
lecyrografe l i	-|--------|-⌫|
p reialiquel ire lefe ist	-⌫---|-|--|-⌫--|-|--⌫--|
lachartre e	-|------||
laletreente ndist	-|----|----⌫----|
t ui tliclerckidunc	-⌫--⌫|-|----|-|---|
iest eient	|---⌫----|
lilailesfemmeske iuen eient	-|--|--|-----|-||---⌫----|
dicelmiserieeu rent pitie	|---|------|--⌫---|----|
chaunen ert	----|-|--|
a l cuerplaé	-⌫|---|----|
rendirent grace slungem ent	--------|-----⌫|------⌫--|
adeuets amere ensement	|--|-|-⌫|---|-------|
kil imustra c el amistie	-|-⌫|-----|-⌫-|------|
querece ulout e n	--|----⌫||--|-⌫|
ki si deigna receiureengre	-|-|-----|-------|-|--|
ki dedeusesu ntturne ́	-|-|--|-|--⌫-|-----⌫|
lie uesquesioiusf o r ment	-|-⌫------|----|-⌫-⌫-⌫---|
dist pitus ement	---|-----⌫----|
uenezami uenez	----|--|----|
loumde uensesduzconselz	---|--⌫|-|--|--|------|
uenez t r estuz	----|-⌫-⌫----|
grantmiraclesiescute z	----|------|-|------⌫|
uosdeu amiuenezauant	--|--|--|----|----|
loumdeukisiestpuissan t	---|--|-|-|--|-------⌫|
kineuo l t kepecher e empire	-|-|--⌫-⌫|-|------⌫|-----|
kisaconuersiun des ire	-|-|---------|---⌫--|
ueneztre stuz enpacience	----|---⌫---|-|-------|
uee zicestepenit ence	---⌫|-----|-----⌫---|
uene z ueeric este pitie	----⌫|---|--⌫---|----|
ces le rmes e ceste	--|--⌫---||----|
kio sterent	-|-⌫------|
lafelu nie	-|----⌫--|
de ce st ui	-|--⌫--⌫-|
duntlalmeestguarie	---||---|--|-----|
uenez ueerle rmesquihaitent	----|---|--⌫---|--|------|
kie nuer sdeualme s a faite nt	-|-⌫----⌫|--|----⌫|-⌫-----⌫-|
kiade ureq uirentpardun	-||--⌫|---⌫-----|-----|
et depechezremissiun	-|-|-----|--------|
tuitcresti en uenez ue n ez	---|------⌫-|----|--⌫-⌫-|
lermessaintesesgu a rdez	-----|------|----⌫-⌫---|
k i deude lciel enpitiemouent	-⌫|--|--⌫|---|-|----|-----|
ki desoncoruz pa rd untrouen t	-|-|--|----|--⌫--⌫-|------⌫|
u ene zueer cumpotaider	-⌫---⌫|---|--|--|----|
plur ur eisunde quer	---|--⌫----|-|---|
cha unshoempoet	---⌫--|---|---|
e sm er ueille r	-⌫--⌫--⌫------⌫|
lasuffrance	-|--------|
chascunpuet	------|---|
auergra nttendrur	---|---⌫-|------|
del acharitedel amur	-|-⌫|------|-||---|
quedeus aduersnus p echeurs	--|---|-|---|--|-⌫------|
kireceit no zpitu sclamurs	-|-----|--⌫|----⌫|------|
moyseski la	-----|-|-|
qua ranteiursp r imesiuna	---⌫----|---|-⌫-⌫---|---|
dedeureceuttables elei	-|--|-----|-----||--|
keil escristde sund uz dei	-|-|------|-|--|-⌫-|--|
cistnostre frerer ei una	---|-----|----|-⌫--⌫--|
quarant eiursedeuura	-------⌫|---||--|--|
enz eltemplesainte marie	--|-|-----|-----|----|
pur ad r esc i ersafole	--|--⌫-⌫---⌫-⌫-|-|---|
par ie unero ut	--|--⌫---|-⌫-|
e s a gracequi lainz	|-⌫|----|-|-⌫|---|
deu nos tres eignur	--|---⌫--|-⌫-----|
ensemblementodcestpec heur	-----------|-|---|---⌫---|
kioisibenignement	-|-|-|----------|
d icest pechur	|----|-----|
parlaprei ereela requeste	--|-|----⌫--||-|-------|
saintemarieki est p rest e	-----|----|-|--|-⌫----⌫|
apr esent ern ozurei suns	|--⌫-----⌫-|-⌫-|----⌫---|
a deue nosafflict iu ns	|--||--|-------⌫--⌫-|
kiest d e su zdeu cheuet a ine	-|--|-⌫-⌫--⌫|--|------⌫-⌫--|
e entredeu enusfun taig ne	|----|--||--|---⌫----⌫-|
refui dechait ifsparfiance	----|-|-----⌫--|--|-----|
deserranz uer aie esperan ce	--|-----|---⌫--|-------⌫-|
refu geriedec h a iti fs	----⌫----|-|-⌫-⌫-⌫---⌫-|
uiee salua s e samis	--||---||-⌫-⌫|---|
kirefreinela maleicun	-|-------|-|-------|
d uma ine naturea raisu n	|---⌫--|-----||-----⌫|
ki estportede	-|--|----|-|
kiurede upurnus	-|--|--⌫|--|--|
kifait ent r er enceleporte	-|---|---⌫-⌫-|-|---|----|
