nobles lilions	-----|-|----|
netiesselinnefis	-|--------|-|--|
brunsliorss	----|-|--||
moic la mé s	--|-⌫--⌫---⌫|
certes atort	-----||---|
en suib la més	-|--|-⌫--⌫---|
caincp armoine perdis apiel	|---|-⌫-|--|-|----|-⌫|---|
n enefisma l ar oeniel	-⌫|-|--|--⌫||-⌫-----|
ne asoncon pereysen g rin	-||--|---⌫---|----⌫-⌫--|
atortmencusentmiuoissin	|---||-------|-|------|
lasmalseruiceai tos iors	--|--|------|-|--|---|
por bienfait a o n	--|-------||-⌫|
leco lfrait	-|--⌫|----|
cascunslesetni	------|-|--|||
que telne pece	--|--|-|---|
malegra s semadiusdon n ee	---|---⌫-⌫-|||---|---⌫-⌫-|
maisi tel se stmadestinee	---|-⌫---⌫|-⌫-|-|-------|
queiasi bien	--|-|-|---|
auiegnecontraire	------|--------|
certesmuta ia ce s b ien fait	-----|--|-⌫||--⌫|-⌫--|---|
quior meporchacent tel p lait	--|-|-|---------|--|-⌫---|
uosmenauéschifait sem ondre	--||-|----|--|---|---⌫----|
etsuitos pres derespondre	-|--|--|---|-|--------|
a ui ugement	-⌫|-⌫------|
deuos tre cort	-|---⌫--|---|
acesmotysengrinsacort	|--|--|--------|----|
roientre lesaut res	--|----|--|---⌫--|
etroenia lsli f olsli uialtres	-|------⌫-|-|-⌫--|-|-------|
l amasengeetti bersli	-⌫|------|-|--⌫---|-|
q uiauoitest éprisau	-⌫-|----|---⌫-|---|-|
damerosete lagelin ne	---|-----|-|-----⌫-|
pi nte s auoi s ine	--⌫--|-⌫|---⌫-⌫--|
renar t ilni a	-----⌫|-||||
mestierg uainche	------|-⌫------|
sainniéses	--------|-|
a lemain es cl ence	|-|---|--⌫--⌫---|
orlicouuient que rais son	-|-|-------|--|----⌫--|
gr antpaoracon nele	--⌫--|---|||-|-|-|
s ornesetrena rsdebar at	|-|-|--|----⌫-|-|---⌫-|
maracointatibertle	--|------|-----|-|
etbrun lorsso rn es tes li ens	-|---||--||-⌫||--⌫|-|--⌫--|
mutpar ert	--|--|--|
bonsrectorien s	---|---------⌫|
ensis en es cape	---||-|--⌫---|
sanscaperon settaill ier chape	---|------|--|-----⌫--|----|
mestierparole fainte	------|-----|-----|
derenartfont	-|-----|---|
auroiconp lante	-|--|----⌫----|
pars lestutparler	---||----|-----|
ca p ain nes sepuet escuse r	||-⌫---⌫--|-|---|------⌫|
cedistn oblesqueuosestuis	-|---|-⌫----|--|--|--|--|
cedistrenar s	-|---|-----⌫|
cem est auis	-||--|---|
siquebienconnois parraisson	----|---|------|--|------|
mesp roisson	----⌫------|
siresi rece dist ren ars	---|--⌫-|-|---|---⌫--|
mamenenaitpart	|--|--|--|---|
seie dema l faitmerecort	-|-|-|--⌫-⌫---|-|-----|
do ntenuers uosaie	--⌫-|-----|--|--|
ildirontce q ue iluaud r ont	-|-----|-|-⌫-|-|----⌫-⌫--|
iaporche de	-|--|--|-|
rienne metaud ront	---|-|-|----⌫---|
sil uosplai s tq uimesi resestes	|-|--|----⌫-⌫|-⌫-|-|--⌫--|----|
sordisde pluis s ors biest es	-----|-|-----⌫-⌫--|-----⌫-|
atelai portégra n t	|--|-|-----|---⌫-⌫|
quipuism a	--|---|||
f aitgrant	-⌫--|----|
desho nn or	-----⌫--⌫-|
biensai quelitor s	---|--|--|-|---⌫|
enes t mien s	-|--⌫|----⌫|
totes uoie suaint rali b i ens	----|----⌫|-----⌫-|-|-⌫-⌫--|
onqu es derien nementr emis	----⌫-|-|---|-||----⌫---|
de coi deusseestr e anemis	-|--|-----|----⌫|-----|
dantysengrinm o nchier conpere	---|-------|-⌫-⌫|----|------|
a rmelamoiemere	-⌫--|-|---|---|
femenefi s	---|-|--⌫|
a mutpo r moiasai l lie	|--|--⌫|--|----⌫-⌫--|
et pressuidem ostrer sansfaille	-|---|--|-|-⌫-----|---|-----|
pariugeme ntu	--|------⌫-||
parbata ille	--|----⌫---|
en s iconill esgardera	--⌫-⌫|--|-||--------|
etc onlacorsle iug era	-|-⌫-|-|---|-|---⌫--|
ys en grinsestsallis	--⌫--⌫----|--|-----|
q uiqueilp oist n ecu iquilplace	-⌫----|-|-⌫---|-⌫|--⌫--|-|----|
sadroit ureuaura prouer	-|-----⌫--|----|-----|
totsansmenc oing ne controuer	--|---|----⌫----⌫-|--------|
nob le s conmandequeildie	---⌫--⌫|-------|--|-|--|
quico ntredie	--|--⌫------|
ren art distysengrinse nten	---⌫--|---|--------|-⌫---|
iesuicilqui sondroitaten	-|--|--|--|--|----|---|
d es grans	-⌫-|----|
anuisquetumasfais	----|--|-||-|---|
q ue nos auo nscaensretrai s	-⌫-|--|---⌫-|----|------⌫|
suntencoramendé	---|----|------|
selauoitli ro isconmandé	-||----|-|--⌫-|--------|
mu tcesaut resgreuer	--⌫|--|---⌫--|-----|
ainsc on tipeustame n er	----|-|||----|---⌫-⌫-|
etdeion e se t dekenus	-|-|---⌫-⌫|-⌫|-|----|
ase sportenus	---⌫|--|----|
tui tcil quicl a mor de	---⌫|--|--|--⌫-⌫--|-|
t o i font	-⌫-⌫|---|
ki ici enp re se nt	-|--|-|-⌫--⌫--⌫-|
pa rmoiqui par to is uihonnis	--⌫|--|--|--|--⌫|-⌫-|-----|
uuelquelicans	---|--|-|---|
soithuifenis	---|--|----|
se iepuisia n en	-|-|---|-||-|
p armi la uertem en irai	-⌫---|-|----||-|---|
lau l epuisse aperceuoir	-||-⌫|-----|---------|
qu ene m en aille	--⌫|-||-|----|
parl euoir	--|-⌫|---|
aimestierdefa irealonge	-|------|-|--⌫--|-----|
i acontrouer me n coign e	-⌫|--------|--⌫-⌫-----⌫|
de traissont ep r ouer a i	-|-------|-⌫|-⌫-⌫----⌫-⌫|
s i quegarant enauera i	-⌫|--|-----|-|-----⌫|
et m osterr aipar gra nt	-|-⌫------⌫-|--|---⌫-|
parfolie et p ar tra is o n	--|----|-|-⌫-|---⌫--⌫-⌫|
bienen sauraiokiso n dire	---|-|-----|-----⌫|---|
u oloiesesc ondire	-⌫-----|---⌫-----|
renarsr e spontbien	-----|-⌫-⌫----|---|
d itaué s	-⌫-|----⌫|
o rdites conment le saués	-⌫|----|------|-|-----|
dist y sengrinsbienle	---|-⌫-------|---|-|
qu eiademot	--⌫|-|-|--|
n enme ntirai	|-|--⌫-----|
m es co nperesestesenloi	-⌫-|--⌫-----|----|-|--|
si maue ́smenéabello i	-||---⌫-|----||-----⌫|
plusde yy foi sq ueie n emente	---|-|-|---⌫|-⌫-|-|-⌫|----|
maint e bies teaués f ait dolente	-----⌫|----⌫-|----|-⌫--|------|
ont pluis soraperce u	--|-----⌫--|------⌫|
quemaintesfoismas	--|------|---||-|
or sa selicuersnemefaut	-|-|-|-|----|-|-|---|
nos so ume s uen u a lasau t	--|--⌫---⌫|---⌫|||----⌫|
muta ipa r	--|-⌫|--⌫|
en dure ́s	--⌫----⌫-|
mainte sfois ten iesp ariur é s	------⌫|---||-|--|-⌫-----⌫--⌫|
de mafeme masma illi	-|-|---||-|--⌫---|
re nars tu	--⌫---|-|
onquesuers tafemenel fis	-----|---|-|---|-||--|
neenu er stoirien neme spris	-|---⌫--⌫|--|---|-|--⌫----|
dis t yseng rinsc ertesrenar t	---⌫|-----⌫---|-⌫----|-----⌫|
ielmos terraidemoie pa rt	-||---⌫-----|-|---|--⌫-|
a forcemasaillites	|----||---------|
a ucon trouerpasne	-⌫|--|-----|--|-|
faillistes	---------|
uoiantmes io lsuausistunon	-----|--|--⌫-|------||--|
li bat istesuos	-|---⌫----|--|
b ienuosu i boute r	-⌫--|--|-⌫|-----⌫|
ete npaindre	-|-⌫-------|
etdurementla keueestra idr e	-|-------|-|---|-----⌫---⌫|
iluecleten i stuporso t e	----|-|---⌫-⌫|-|--|--⌫-⌫|
cenefu pa s ius depelote	-|-|-|--⌫|--|-|-----|
ce ne poriésuos	-|-|------|--|
desfend re	-------⌫-|
qu eneuosenuiss ede scendre	--⌫|-|--|-|----⌫|--⌫------|
maisseie ce ler lepeusse	---|-|-|--⌫--|-|-----|
ennulliudirenel	-|--|--|---|-||
cedis trenars ia diune place	-|---⌫|-----|-|--|-|----|
l ecreator	-⌫|------|
q ueie f aicteldescouenue	-⌫-|-|-⌫--|--|---------|
quema con merea ie foutue	--|-|---⌫---|-⌫-|-----|
plus basquenl uelsic on	---|--|-|-||--|-|-⌫-|
uos dite s	--|----⌫|
donque sserro iei eheri tes	------⌫|-----⌫-|-⌫|----⌫--|
orpuetonb ien de	-|---|-|-⌫--|-|
qu euosne sauésh onte a uoir	--⌫|--|-|-----|-⌫---|-⌫---|
qu ece aués	--⌫|-|----|
que tuit liau tr e orentteu	--|---|-|--⌫--⌫|----|--|
nedeus siéspaschosedire	-|----⌫----|--|----|---|
quia hersenttorna st aire	--||------|-----⌫-||--|
mais si au és	---|-|--⌫--|
lacho seenprisse	-|---⌫-|-------|
hont eauésderier	----⌫|----|-----|
le d osmisse	-|-⌫-|----|
leb outeretlefaissoier	-|-⌫----|-|-|--------|
cefi sieporlifo rssachir	-|--⌫|-|--|-|--⌫-|-----|
bout eren paindre me ueistes	----⌫-|--⌫------|-|------|
biensaiquea malletenistes	---|--|--||--|-|-------|
mais ne le f isseporbien non	---|-|-|-⌫-|-|--|---|--|
rendésmalguerredon	------|--|--------|
ie lfis po r bien	-||--|--⌫|---|
etporfrancisse	-|--|--------|
orm enre nd ésmauuaisseruis	-||-|--⌫--⌫--|------|-----|
mutfuifol squantmen	--|--|---⌫|----||-|
oren estes mesanemis	-|-|----|--|-----|
cilli d is t b ien	--|-|-⌫--⌫|-⌫--|
tepuesuan te r	-|---|---⌫--⌫|
bien se safolmesse canter	---|--⌫||--|----|-----|
etc e stbienchos econneue	-||-⌫-|---|----⌫|------|
mainteh o ntea i p artoieue	-----|-⌫-⌫--|-⌫|-⌫-|--|--|
t an t meconsilla s enlorelle	-⌫--⌫|-|--------⌫|-||-----|
qu e ntrermefesi senlaselle	-|-⌫----|-|----⌫|-|-|----|
etaualer zzpoidedens	-|-----|-|--|-----|
lamal egoutehaieses	-|---⌫|----|----|-|
parta n tesfo ism	--|--⌫-⌫--|--⌫-||
aurasfait hont e	----|---|----⌫|
queie n ens ai	--|-||-|-⌫-|
tud eisque la porroitestre	-|-⌫--|--|-|------|----|
laien sestpar adis ter restre	-----⌫|--|---⌫---|---⌫-----|
o il a uoitgaaignerie s	|-|-⌫---|----------⌫|
de presde boisde pescheries	-|---|-|---|-|---------|
nusne seus t	--|-|----⌫|
rien demander	---|-------|
qu e illuecnepeusttr ouer	--⌫|-----|-|----|--⌫---|
et quiuoloitmangie rpoissons	-|--|-----|------⌫|-------|
oubarsu perches u s au mons	-|---||------||-⌫--⌫---|
auoitconluiplaiss oit	----|--|--|------⌫--|
conil prendre en uoloit	--|-|------|-|-----|
d etos bi en	-⌫|--|--⌫-|
estliliusgarnis	--|-|---|-----|
decoifuiilluecescarnis	-|--|--|-----|-------|
iecuidaique	-|-----|--|
deisseu oir	-----|-⌫--|
mais ie nefismiesa uoir	---|-|-|--|--|--⌫---|
mutme n gingnasaic el e	--||-⌫-⌫------||--⌫--⌫|
m utmengignas aicel e	-⌫-||-------||----⌫|
et lacordeledes t ortoill e	-|-|------|---⌫-⌫-------⌫|
tu estoies enlautre	-|------|-||----|
ie f uipes anstu	-|-⌫-|---⌫--|-|
foslegiers	--|------|
tu traitrestulosengi ers	-|-------|-|-------⌫--|
ieaual ai ett u	-|----⌫-|-|-⌫|
quantenmilepusmencontras	----|---|-|--||--------|
mescuersiri és etgrains	--|----|---⌫--|-|-----|
mu tesdef elonnieplains	--⌫|-|-|-⌫------|-----|
i edemando ie quequeroies	-⌫|-------⌫-|--|-------|
ettude sisquetu monto ies	-|-|--⌫--|--|-|-----⌫--|
ceestlacostumedoumont	-|--|-|------|--|---|
li unuienentli	-|-|------|-|
autre uont	----|---|
dynfere stoi esesc apés	|----|-⌫----⌫-|---⌫----|
et ieiestoie	-|-||-----|
tu deu enis	-|---⌫---|
teltraisonme po r quesis	--|------|-|--⌫-⌫-----|
il lu e que ssoufrigrantmesaisse	--⌫--⌫-⌫---⌫|-----|----|-------|
de boire estoie ie	-|----|-----|-|
mut ai sse	--|--⌫--|
troisfoismereclos tsorlateste	----|---|-|------⌫|--|-|----|
muti e n duraigrant moleste	--||-⌫-⌫----|----|------|
li bl a ncmonnemissentfors	-|--⌫-⌫-|----|------|---|
maistantm ebatiren tlec o rs	---|---|-⌫|-------⌫|-|-⌫-⌫-|
de pot en cese tde	-|---⌫--⌫--|-⌫|-|
misse nt a uent rill o ns	-----⌫-||----⌫----⌫-⌫-|
depeusmefissent te l	-|---|-|------|--⌫|
quela m e laissi eren tpormort	--|-|-⌫|------⌫----⌫|--|---|
enzzfossequie rtpul lan s	-|-|----|--|-⌫-|---⌫---⌫|
par la choem emissentens	--|-|---|-⌫|------|--|
estrecreués	----|------|
mutaipartoi estés	--|-|--|--|-----|
en part i a	-|----⌫||
g rantpainne	-⌫---|-----|
ap ainnespocrauoi rmalainne	|-⌫-----|--|-----⌫||------|
dolent tuitlimenbr e	-----|---|-|-----⌫|
mu t suiiri é s quant moienme nbre	--⌫|--|---⌫--⌫|----|--|-|--⌫---|
al erpeschier	--⌫-|-------|
enlaglac etantacr o cier	-|-|----⌫|---|---⌫-⌫---|
quet ote oc la keu ee ngele e	--|-⌫--|-|-|---⌫|-⌫-----⌫|
eten laglace	-|-|-|----|
s ansla ke uep erdre alesci r	-⌫--|-|--⌫-|-⌫----|||----⌫|
poo ieiepart ir	---⌫-|-|----⌫-|
ysengrin disest uacertes	-------|-|--|-⌫||-----|
eusparmoi cespertes	--|--|--|--|-----|
tu parole s en or ce	-|------⌫|-|--⌫-|
talecerietenfistf orce	-|------||-|---|-⌫---|
tue stoies si besoignol s	-|-⌫-----|-|---------⌫|
et de poissons sidesirous	-|-|-------|-|-------|
cuidoi es preuauoir	------⌫-|---|----|
bien dist li	---|---|-|
liures desauoir	-----|-|-----|
q ueq uitot couoi te	-⌫-|-⌫-|--|-----⌫-|
ceoiss ebiend ire	-|----⌫|---|-⌫--|
mutesthonisqu itantco uoite	--|--|----|--⌫|---|--⌫----|
qu i so n ga aigper tetsenploite	-||--⌫|--⌫--|---⌫|-||-------|
quequetutespoissonssentis	--|--|-|--|-------|-----|
qu en ton yy nenmeisses	-|-|--|-||-|------|
maisporescarnite	---|--|------|-|
se tutantnenfuisses	-|-|---||-|------|
parcoitufuisses engingniés	--|--|-|------|----------|
quant deuenirtal aisemondre	----|-|----||--⌫-|-------|
lorsconmenc ha szzpoiagroindre	---|-------⌫--⌫|-|--||-------|
quantiefuienuoi és	----|-|--|-----⌫--|
si tel aissa iaspoi ssons tendre	-|-|-⌫-----⌫|-|---⌫----|-----|
sem a ilstenui ntquel blam eenai	-|-⌫-⌫--||-|--⌫-|---|----⌫|-|-|
onque sdespoisson snemangai	-----⌫|--|-------⌫|-|-----|
re nartbiente ses	--⌫---|---|-|--|
et genspa rp aroleamu ser	-|---|--⌫|-⌫----|---⌫--|
maisneporroieauo ir	---|-|------|---⌫-|
les mals quetumasd it et	--|---|--|-||-|-⌫-|-|
tos i o rsm as	--|-⌫-⌫-||-|
tenu po rbr icon	---|--⌫|--⌫---|
mangié dunbacon	------||-|----|
sauoieg rantme s tier de	|----|-⌫---|--⌫-⌫---|-|
tubiendecoiure	-|---|-------|
desisque duncelier	----|--||-|-----|
tefist onmaistre b autillier	-|---|-|------|-⌫--------|
enta garde	-|-|----|
estoientliuin	-------|-|--|
tosiorsau soir et aumati n	--|---|-|---|-|-|----⌫|
lama menas tu c onme fol	-||-⌫----|-|-⌫---|--|
ase sioibatulecol	---⌫||-|---|-|--|
am enastua	--⌫---|-||
tuma scanté main tes	-||-⌫|-----|----⌫--|
fo is uers	--⌫-|---|
ren arsorastu tort	---⌫--|-|-|-|---|
de cesuiie abon re cort	-|-|--|-||--|--⌫---|
que tu b ustantquefustosiures	--|-|-⌫-|------|--|--|----|
quetudeisque	--|-|---|--|
totsa nsliures	--|--⌫-|-----|
canteroiesbi en zzcond uit	---------|--⌫-|-|----⌫--|
lorsc onmencasas i	---|-⌫-------||-⌫|
grantbruit	----|----|
que tot c ilde la uile i	--|--|-⌫-|-|-|---||
qui agr antmeru el l e le tindrent	--||--⌫--|----⌫--⌫-⌫|-|-------|
n usn e l e	-⌫-|-⌫|-⌫|
sei ed el celierfors memis	-|-⌫|-⌫-|-----|---|-|--|
cartropnos auoien t	--|---|--|------⌫|
batusamoiquetient	----||--|--|----|
malch acemals liuient	--|--⌫--|---|-|----|
re na rtmuti esdemalepart	--⌫--⌫-|--|-⌫-|-|---|---|
la meteni s tupormusart	-|-|----⌫|-|--|-----|
o tumef esislacouronne	|-|-|-⌫---|-|-------|
d aiuech a ude	|---|--⌫-⌫--|
co nme aper sonn e	--⌫--||---⌫----⌫|
si gr ande sianpleetsilee	-|--⌫---|-|----|-|-|--|
que toteoilatestepel e e	--|---|-|-|----|---⌫-⌫|
nemerem e s tpol s sorles io ls	-|-|---⌫-⌫-⌫|---⌫|--|--|--⌫-|
tutent orn asf ai santt esi us	-||-|-⌫---⌫-|-⌫--⌫---|-⌫-|-⌫-|
deuoiesmonn e faire	------|----⌫|----|
ce rtes trop iesd emale	--⌫---|---|--|-⌫|---|
part oiestm a cars af eb lie	--|-⌫-|--|-⌫|---|--⌫--⌫--|
aillor s te sifis folie	------⌫|-|-|--|----|
u ntr oncon medonnas d	-⌫|--⌫----|-|-----||
que tuconquesis	--|-|--------|
pormoiplusalecier	--|--|---|------|
enmaintliusm	-|----|---||
asfaitt rebucier	-|---|-⌫-------|
ied eman daiu	-|-⌫----⌫--||
pormoidecoiurecontrouas	--|--|-------|--------|
quecharetestantenmenoient	--|-------|---|-|-------|
quelesneconbrisoien t	-|---|-|-----------⌫|
desang illesia uo ittant	--|---⌫----||-⌫--⌫-|---|
souuentaloientarestant	------|------|-------|
licheualtiroient apainne	-|-----|-------||-----|
lacharetequitropert plainne	-|------|--|---|--|------|
iede man da i par qu el	-|--⌫---⌫--⌫|--|--⌫-|
sanbla nce	------⌫--|
ie en porroieen plir ma pance	-|-|------|--⌫---|-|----|
tume desis	-|-|----|
quilteieterent	-|-|-|-------|
o charetilquant t et rouerent	|-------|----|-⌫|-⌫-------|
etprierentqu	-|-------|-|
ases mangai sses	---|------⌫---|
etle lor gardaisses	-|-|--|---------|
tant me na las amonestant	---||-⌫|-⌫--|---------|
qu e ielor au	--⌫|-|--|-|
etiefissanbla ntconme mors	-|-|--|------⌫-|----|---|
la fuiiebatuspar	-|--|-|----|--|
etdalenas e tdebastons	-||-----|-⌫|-|------|
tantquenco r m e n deutlicrepon s	-----|----⌫||-⌫|---|-|------⌫|
nestmeruelleseiai anui	|--|-------|-||-|---|
quan tdetot uengiés ne m esui	----⌫|-|--|-------|-|-⌫|--|
enzzdes pluslons iorsdeste	-|-|--|---|---|---||---|
naroiepast o t raconté	|----|--|-⌫-⌫|-------|
les anuisquetu mauras fais	--|----|--|-||----|---|
mais orest	---|-|--|
tant m en e ́s liplais	---|-⌫--⌫-⌫-|-|----|
queacort en soumesuenu	--||---|-|-----|---|
seadroiti soumes ten u	-||----||-----|---⌫|
b ienenaien demafianc e	-⌫--|-|-|-|-|-|-----⌫|
corenaueraila uengance	|-|-|-----|-|-------|
ie aimenégrant loia ute	-|-|----|----|----⌫--|
tu a s uersmoifaitfausete	-|-⌫|---|--|---|------|
renars respont par	-----|------|--|
reconfo rt	-------⌫-|
sir eys eng rinuosaués tort	---⌫|--⌫---⌫--|--|----|---|
uosmasal e ́s nesa i de coi	--||----⌫-⌫-|-|--⌫|-|--|
cilautrebaron s untsi	--|----|----|-⌫--|-|
quiuosoen t nedientmo t	--|--|---⌫|-|----|--⌫|
telsia quiuostient	---|||--|--|----|
uostre raissons	-----|-------|
estdescouuerte	--|----------|
o r au és	-⌫|--⌫--|
ditrai ssonaperte	--|---⌫---|-----|
et cilquit ropment	-|--|--|-⌫--|---|
air enarttrop ai sou fer t	-|-⌫----|---|-|---⌫---⌫|
ton granto rg uel	--|----|-⌫--⌫--|
etton desro i	-|--|-----⌫|
seorenai congiedo u roi	-|-|-|-|-----|--⌫|--|
iae nuerras bata il lealoie l	-|-⌫|-----|----⌫--⌫-|||---⌫|
renarsrespont	-----|------|
rienta ntn eu uel	---|--⌫-|-⌫|-⌫--|
porconbatresongage	--|-------|--|---|
ysengrin setliroisleprent	--------⌫|-|-|---|-|----|
renarsapres lesu ent endi	-----|----|-|--⌫-|-⌫---|
si qu elicorsi enten di	-|--⌫|-|---||-----⌫-|
b iendientlibaron sansdoute	-⌫--|----|-|----|---|----|
ba taill eiafiert tote	--⌫-----⌫||-----|---|
sor nesetrenars descremie	|-|-|--|-----||-------|
labataillearam ie	-|-------|----⌫-|
li roisd e mandele sostages	-|---|-⌫-⌫----|--⌫|------|
qui mu testoitcorto i s etsages	--|--⌫|-----|-----⌫-⌫|-|----|
delsn iertpa rd ounés	|--||---|--⌫--⌫-----|
ys engrinsa	--⌫------||
les suensdounés	--|----|------|
porluii faitbr un	--|--||---|--⌫-|
lorsentrer	|--|-----|
tibert lec at e t bricemer	-----|-|-⌫-|-⌫|-------|
e t lelieure sirecoart	-⌫|-|-----|---|----|
c elsm istys eng ri nsde	-⌫--|-⌫--|--⌫---⌫--⌫-|-|
adessuenss e ur e ́s	|--|----|-⌫-⌫--⌫-⌫-|
queila a saparttornés	--|-|||-|---|------|
bruia ntet bauc ant lesang le r	-----⌫-|-|----⌫--|-|----⌫--⌫|
quil ot aueuc l uiasanble r	-|-|-|----|-⌫-|-------⌫|
ethesp inartl ehirecon	-|----⌫----|-⌫|------|
grinberts oncosinle taiss on	-------|-⌫-|----|-|-----⌫-|
cist fisent a renartse co rs	---|-----||-----|--⌫--⌫-|
mutenpesaa dantbrun l or s	--|-|---||---|---||--⌫|
labataille ontater min ee	-|-------|--|----⌫---⌫-|
ayyio rs l	|-|--⌫-||
on taiorne e	--⌫|------⌫|
grinb e rsacrea ntemutbien	-----⌫-⌫-|-----⌫--|--|---|
nelairaipornul e ri en	-|-----|--|---⌫|--⌫-|
quilneface renartconbatre	-|-|-|---|-----|-------|
p or lorguel	-⌫-||-----|
ysengrinabat re	-------|----⌫-|
li rois lordista iéstuit	-|---|--|---|-⌫---|---|
alésauos ostels huimais	----||--|-----|------|
liba ronsunt de camp parti	-|--⌫--|---|-|---|----|
malem en tontleiuparti	-----⌫--⌫|--|-|-|----|
renartetysen grin	-----|-|----⌫---|
qui mutestoientmal uoi ssin	--|--|-------|--|---⌫---|
rena rsn es t p ast det elp uissance	----⌫-||--⌫|-⌫--|-|-⌫-|-⌫-------|
conme ysengrinsestcemesanble	----|--------|--|-|-|-----|
renars sauoitd eles cremie	-----|-----|-⌫||--⌫-----|
por ce a batai llearami e	--|-||-----⌫--|-----⌫|
engigneusestmaisn estp asfors	--------|--|---||--|-⌫-|---|
seys engrinsl i fait e ffors	-|--⌫------|-⌫|---|-⌫----|
dese setcou u ri r	-|-|--|---⌫-⌫--⌫|
e tbien tapiret bien	-⌫|---|----|-|---|
sonconpaignon	--|---------|
q ua ntiluoitlaisse	-⌫--⌫-|-|---||----|
etiluoitchos equi	-|-|---|----⌫|--|
li plaisse	-|------|
e ntremis delaprendre	-⌫------|-||-------|
q uen usneleporoitso upren dre	-⌫-|-⌫-|-|-|-----|--⌫-----⌫--|
tantset ren ars engiensplu iss ors	---|--|---⌫--|------|---⌫---⌫--|
deluitesianbese td eto rs	-|-----|-----|-⌫|-⌫|--⌫-|
ainsqu iysengrins baillier l epuisse	------⌫|--------|-------|-⌫|-----|
libriss era ob r asocuisse	-|-----⌫--||-⌫-⌫-||-----|
ysengrin sententmut	--------⌫|-----|--|
enpaissetienta	-|---|-|----||
carel d roitque ilase fie	--|-|-⌫---|--|-||-|--|
en soncuer sefie	-|--|---|-|--|
seilaspuins le puetbaillier	-|-|-|----|-|---|-------|
forme ntle cuidemalbai lli er	-----⌫-|-|----|--|---⌫---⌫-|
tantdesi re quas l et ien gne	---|----⌫-|-|-|-⌫|-⌫---⌫--|
ia necuid equa tansi uie ngne	-|-|----⌫|-||---||---⌫---|
mut li desplaist en	--|-|--------|-|
quela batailletantlitarge	--|-|-------|---|-|----|
iane c uide ueoir cele	-|-|-⌫---|----|---|
renartestoitenmutgrantpa inne	-----|-----|-|--|----|--⌫---|
d ar me saquerrelase mainne	|--⌫--⌫|------|-|--⌫-----|
et ysengri ns tot	-|-------⌫-|--|
armes porchacen tmaintenant	----|---------⌫|---------|
grant pain neert dehaster	----|----⌫-|--|-|-----|
etd ar meu resenprunter	-||--⌫---⌫--|--------|
sones cu etso narmeure	--|--⌫-|-|--⌫|------|
coutiel a cuisseenfautreure	------||-----|----------|
caucesg anbissi esbi en fait es	-----|-⌫-------⌫-|--⌫-|----⌫-|
queila en sesianbes	--|-||-|--|-----|
estu erm alsdesous	--|-⌫---⌫--|-----|
et sacauce r oug ea estros	-|-|----|-⌫---⌫||-----|
bastonoitde melli er	-----|--|-|-----⌫-|
bienfuar mésau io r	---|-|--⌫---|-|--⌫|
nerefumiedesgarnis	-|---|--|--------|
r enarsquitantestesc arnis	-⌫----|--|---|--|---⌫----|
asesauoitdebonsamis	---|----|-|---|---|
quid elu ise	--|-⌫|--⌫|-|
sun te n tremis	---⌫|-⌫-⌫-----|
escu reont	---|----|
a sa man i ere	|-|---⌫-⌫--|
aconmandé que	|--------|--|
on li quire	-|-|----|
une nquirentqu itosfuiaun es	-|-⌫|------|--⌫|--|-|----⌫-|
ensacote not p as	-|-|---||-|-⌫-|
bastonot bon d unea ube	-----|-|--||--|-⌫--|
qui mutestoitbonsenpleuine	--|--|-----|---|-|------|
enluifumut	-|--|-|--|
bi enenpl oi és	--⌫-|----⌫--⌫--|
decoroi e s fu bienloiés	-|-----⌫-⌫|-|---|-----|
decie f encieftotlo nt	-|---⌫|-|---|--|--⌫-|
trestos armés	------|-----|
ala co rtua it	|-|--⌫-|--⌫-|
estesuosa la cor trenart	----|--||-|---⌫|-----|
etysengr i n delautre part	-|------⌫-⌫|-||----|---|
etliba ro nsunt tuitensanble	-|-|--⌫--⌫|---|---|-------|
cascuns en dist	------|-|---|
cequilisanble	-|--|-|-----|
renarsnefu mie	-----|-|-|--|
hau t furoigniéset	---⌫|-|--------|-|
etbarbe se	-|----|-|
fis tre r e	---⌫|--⌫-⌫|
p or ledesdainde	-⌫-|-|------|-|
sonconpere	--|------|
ys engrins lot en	--⌫------||-|-|
grantde spit	----|--⌫---|
quisaforceprisse petit	--|-|----|-----|----|
ainsnedaingnaosterce ueul	---|-|------|----|--⌫---|
iafui ssent ensanble son	-|---⌫----|-------|--|
maisainsque illetie ngneasmains	---|------|-|-|---⌫---|-|----|
serraplusmalades	----|---|------|
h er meline fuenfreor	-⌫--⌫-----|-|-|----|
pordantrenartetenerror	--|---|-----|-|-|----|
quela dameparer tsi	--|-|---|--|--⌫|-|
et pe rchehai e etmalebranche	-|--⌫-------⌫|-|----------|
et rena rdialstu it li	-|----⌫-----|--⌫-|-|
fais soie ntgr antd olporlorpere	----⌫----⌫-|--⌫--|-⌫-|--|--|---|
mereenlataissniere	---|-|-|---------|
fontadiu proiere	---||--|------|
elsdiu prie et aorre	--|--|---|-|----|
que renartga riss eetsecoure	--|-----|--⌫----⌫|-|------|
de son anemilega risse	-|--|----|-|--⌫----|
quenla b ataill ene perisse	-|-|-|-⌫------⌫|-|------|
e nsisifilenlor	-⌫--|-|--|-|--|
font adepor l uio risson	---||-|--|-⌫-|-⌫-----|
po r lor pe requitantles	--⌫|--|--⌫-|--|---|--|
lesuo itbiausf ius les cl ainme	--|--⌫-|----|-⌫--|--|--⌫----|
