quib en com encee	--|-⌫-|---⌫---||
silla teignen ttostledeuoren t	|-||-⌫-------⌫|---|-|-------⌫|
lesgen zquidiloec meinentp res	--|---⌫|--||----|------|-⌫--|
se ue nt quilsontfe lse engres	--⌫--⌫-|-|-|---|--⌫-||-----|
grant pl ente	----|--⌫---|
siontunengin apre sté	-|--|-|----|----⌫---|
iumenzpe rnent	-----|--⌫----|
q uipuleinsont	-⌫-|------|--|
quant ioe fnes e alaitan zso nt	----|---⌫---||-------⌫|--⌫-|
lesontfet ieuner	--|--|--|-----|
alquartior lesfont	-|----|--|--|---|
esselesa fferme nt escrins	-|----|-⌫------⌫-|------|
alsi luisanzcomestor	---|------|--|--|-|
entreelse la terr eas formi z	----|--||-|----⌫|-|-----⌫|
fluiu emu ltarab iz	-----⌫|--⌫-|----⌫-|
iumenzal fluiueuenent	-----|-|-----|-----|
lespul ein s deuerselsr etenent	--|---⌫---⌫|-----|--|-⌫------|
puischa ce nt u ltreles iumenz	---|---⌫--⌫-|-⌫---|--|-----|
qui ontfeimas quoerseasdenz	--|--|---|-|-----||-|---|
delatre p artestlerbe	-||---|-⌫--|--||---|
eben es pesseep arcreue	|--|--⌫----||-⌫------|
iloec uontl esiumenzpessant	----|---|-⌫-|-----|------|
eles for mizdemei nt en ant	|--|---⌫--|-----⌫--⌫--⌫--|
quilue ientl es escrinspareir	-|-|--⌫---|-⌫-|------|-----|
iquidentbon r ecetaueir	|------|--|-⌫---|----|
ormuscere repo ndre	-|-----||----⌫---|
d on cne sestoetm iesomondr e	-⌫--⌫||-⌫|-----|-⌫-|-------⌫|
dese scrinsemplir e ch arger	--|-⌫-----|-----||--⌫----|
delbon orpreciosecher	--|--|-|------||---|
issiuonttot eior portant	---|---|---⌫|--|------|
desiquiluent uers	-----|-|---|---|
l a nuita nt	|-⌫-----⌫-|
quelesiume nz sont saolees	--|--|----⌫-|---|------|
eontlor p ances	|--|--|-⌫----|
qu antl orpuleinso enthenir	--⌫--|-⌫-|------|-⌫--|----|
donc se h astentde	---|-|-⌫-----|-|
le f luiuemeintenantrepassent	-|-⌫----|---------|--------|
cil p ernentlor oreamassent	--|-⌫-----|--|-||-------|
q uiriches	-⌫-|-----|
en son temananz	-|---⌫||-----|
elesformizensontdolanz	|--|-----|-|---|-----|
altre formi	----|----|
d ecelsqueieo uos	-⌫|---|--|--|--|
quif ormicaleon	--|-⌫---------|
desfor mize stcille	--|---⌫--|-⌫-|--|-|
siestli pluspetitde toz	-|--|-|---|----|-|--|
liplusha rdiz	-|---|--⌫---|
elipl us proz	|-|--⌫-|---|
altres formizhet durement	-----|-----|--|-------|
puldrere belement	-------|-------|
semusceta ntest uezi ez	-|----|--⌫-|--|----⌫-|
quant les altres uenentchar gez	----|--|-----|-----|----⌫--|
lapuldrere sal t	-|-------|---⌫|
silesoccitselesassalt	-|--|----|-|--|-----|
seignors po rdeuqui	-------|--⌫|--|--|
prene z gardeal petit formi	-----⌫|----|-|----|----|
s i porueanzesage	-⌫|-------||---|
decono istre	-|----⌫----|
sonauentage	--|-------|
porueezuoseapre st ez	------|--||----⌫--⌫-|
tantcom sibelsestli estez	---|--|-|---|--|-|----|
c est tan tcomuosau ezleis ir	|--|---⌫|--|--|--⌫-|----⌫-|
q ue asseur puissez ue nir	-⌫-|-----|------|--⌫--|
al fortiuer	-|---|---|
ceoest adire	--|--||---|
aceliordedolore	|--|--|-|----||
q uantli bonsenirrontadest re	-⌫---|-|--||-|-----||----⌫-|
elimaluaisdeuerssenestre	|-|------|-----|-------|
seiezpensisecorios	----|-----||-----|
dentreras noe ceso d	|-----|-|---⌫--|-⌫|
siqueuoz lampesseien tp leines	-|--|--|-----|-----⌫|-⌫-----|
debonesoeures e	-|----|-----||
c erteines	-⌫-------|
caria asnoecesnen teront	--|-|-|-----||--⌫-----|
q ui lorlampespleines	-⌫-|--|-----|------|
deboneoille	-|---|----|
p or uerite	-⌫-|-----|
deloillede c h arite	-||----|-|-⌫-⌫----|
cilenteront ieoluosafi	--|-------|--||--|--|
esposal richeconu i	----|-|----|----⌫|
qu iaurontlor lampe semplie s	--⌫|-----|--|-----⌫|------⌫|
debonesoeures	-|----|-----|
enlor uies	-|--|---|
mesq uisalampeuuide	--|-⌫-|-|----|----|
sachezqueia ni e ntera	-----|--|-|||-⌫----|
einz remein drapor uerite	---|------⌫--|--|-----|
endoele en chaitiuete	-|---||-|---------|
el feuard ent	-|--|---⌫--|
quidurrapardurab le men t	--|----|--------⌫--⌫---⌫|
d o nt damnedeunostozeniette	-⌫-⌫-|-------|--|--|------|
ee nsaioi e od seinos	|-⌫|-|---⌫|-|--|--|
delas erein euos d irrom	-|-|-⌫-----⌫|--|-⌫----|
quimult aes trange facon	--|---||--⌫-----|----|
carde lacein ture e namont	--|-|-|----⌫---|-⌫|----|
est laplus b eler endelmont	--|-|---|-⌫--|-⌫-|--|---|
defem m ef ormee	-|---⌫-⌫|-⌫----|
laltr epartie	|----⌫|-----|
estfigur e e	--|-----⌫-⌫|
comepeisson	---|------|
ou comoisel	-|--|----|
tantchan tedolcem ente	---|----⌫-|------⌫--||
qu ecilqu iuo ntp ar mernagant	--⌫|--|--⌫|--⌫-|-⌫-|--|-----|
sito stcom	-|--⌫-|--|
iloentce lchant	-|---|--⌫|----|
ne s e poent	-|-⌫|----|
q uelanes couenge uenir	-⌫-|-||-|------|----|
tantlor semblelechantsuef	---|--|-----|-|----|---|
queilse ndorm ent e nlor ne f	--|-||-⌫-----⌫--|-⌫|--|--⌫|
tre stuitsontendormiz	---⌫----|---|-------|
doncso ntdeceuzetraiz	---|--⌫-|-----||----|
c arlesserei neslesoccient	-⌫-|--|-----⌫--|--|------|
braientnene	------|-|-|
la sereinequi s i ben	-|------|--|-⌫|--|
que pa rson cha nt lesgenzenchante	--|--⌫|--|---⌫-|--|---|-------|
do neessamplea cels	--⌫-|-------||---|
quiparcestmont deiuentna ger	--|--|---|---|------|--⌫--|
nos quip ar cestmonde pas som	--|--|-⌫-|---|----|---⌫--|
somesdeceuzpartelso n	----|-----|--|--|--⌫|
gloireparle	-----|--|-|
decestmonde qui	-|---|----|--|
qu ant ledelit	--⌫--|-|----|
auom amors	---|----|
la luxurelaisedel cors	-|-----||---|--|---|
elaglotonie eliure sce	|-|-------|||----⌫--|
laisedellitela	|---|--|--||-|
lespalefreiz les cheua ls gras	--|--------|--|-----⌫-|---|
lanoble sc ederiches	-|-----⌫--⌫|-|-----|
toziorsnos t reom celepart	--|---|--|-⌫---|---|---|
de lauenirnosestmultt art	-||-----|--|--|---|-⌫--|
il oeques t antnosde litom	--⌫-----|-⌫--|--|--⌫----|
queafo rce	--||--⌫--|
n os en dormo m	-⌫-|--⌫-----⌫|
occit laserei ne	----|-|-----⌫-|
cest limalfezquinos mal	|--|-|-----|--|--|--|
quita ntnos	--|--⌫-|--|
fetplongeres uices	--|------|-|----|
quil nosenclot	-|-|--|-----|
deden zs e slice s	-----⌫|-⌫-⌫|----⌫|
d oncnosassaltd oncnoscor tsore	-⌫--|--|-----|-⌫--|--|---⌫|---|
donc nosoccit	---|--|----|
doncno sacore	---|--⌫|----|
alsicom lesse reinesfont	---|--|--|--⌫-----|---|
lesmarin ers qui	--|-----⌫--|--|
m esil i ameintmar in er	-⌫-|-|||----|---⌫--⌫-|
set garde r e gai ter	--|-----⌫||---⌫--|
quantiluetsiglant par l a	----|-|--|------|--|-⌫|
sesoreillessoeltesto per	--|-------|----|----⌫--|
quil noie lec hantqui ldeceit	-|-||--|-|-⌫---|--||-----|
totensementfair e	--|-------|----⌫|
l ihomqui passepar	-⌫|--|--|----|--|
chastese de ittenir e	-----|-|--⌫-|----||
oreill es estoper	------⌫-|------|
qu ilnoiedirene pa r l er	-|-||--|---|-|--⌫-⌫-⌫-|
enpecchele	-|-----|-|
eissisedefendent meint	|---|-|--------|----|
lororeillese	--|-------||
lorelzgardent	--|--|------|
oien tne quilnesga rdent	----⌫|-|-|-||----⌫----|
l esdelizne	-⌫-|----|-|
l esuanitez	-⌫-|------|
par queiplusor ssontenchantez	--|---|------⌫|---|--------|
elbestiairea	-|--------||
bele essa mpleebonematire	---|----⌫---||---|-----|
bonesen tenc eeg ra ntra ison	---|---⌫----⌫||-⌫--⌫-|--⌫---|
o ruosdirromdel	-⌫|--|-----|--|
fet comunporcelet	--|--|-|-------|
quantilalaitep etitet	----|-|-----|-⌫-----|
multparest richementarmé	---|--|--|--------|----|
carde na ture estespiné	--|-|--⌫---|--|------|
e quantiloitou ue it	|----|-|--|-|--⌫-|
pres deluiou b es tes ouge nt	---|-|--|-|-⌫--⌫--|-|--⌫-|
ensesarmessenclot e serre	-|--|----||-----||----|
puis nedotegaire slorguerre	---|-|---|-----⌫|--|-----|
dehomenesepoe ti ldef endre	-|---|-|-|---⌫|-⌫|---⌫----|
mes sib este le uoleit pre ndre	--|-|-⌫---|-|-----|---⌫---|
comentle deuorast	-----|-|-------|
quem alem entnesespinast	--|-⌫----⌫--|-||-------|
mult est cointe sliheri cons	---|--|------⌫|-|----⌫---|
quimeintesb oiseesboissons	--|----|-|-⌫--||-|-------|
u n emult gra nt	-⌫-⌫|---|---⌫-|
cointi se fait	------⌫-|---|
quantsauiandequerreuait	----|-|-----|-----|---|
totesapetit ealeur e	---|-|-----⌫|-----⌫|
senuaitala uigne maure	|-|---||-|----|----|
tant fetquen lauigne	---|--|-|-|-|----|
est monté	--|-----|
o uplus a derais insp lente	-⌫|---||-|----⌫--|-⌫----|
sila crollesi	-|-|-----|-|
queilch eentespe s sem ent	--|-|--⌫---|----⌫-⌫---⌫--|
quanta terre so nt e spandu	----||----|--⌫-|-⌫-----|
eilest aualdescendu	|-|--|---|-------|
pardesussenuoltre eenuerse	-------||-------||------|
e al loncea	|-|---|||
lat ra uers e	-|-⌫--⌫----⌫|
tantqueles raisinssontfichez	---|--|--|------|---|-----|
es bron conez	-|----⌫----|
quison t d elgez	--|---⌫|-⌫----|
quant sesentcha rgédurement	----|-|---|---⌫---|-------|
si sen retorne belement	-||-|------|-------|
recetasesfoons	----||--|----|
etant co mdure la saisons	|---|--⌫|---|-|------|
depomesfet il	-|----|--|-|
raisinsdontieouosdi	------|---|--|--|-|
bon crestienquiraisonas	--|-------|--|-----|-|
c es teessamp lenobliepas	-⌫--⌫-|------⌫-||----|--|
teidelhericon	--|--|------|
delt raitorculuertlarron	--|-⌫-----|------|-----|
uig ne e t onpom er	---⌫-||-⌫-|---⌫-|
d elsuduian tlarro nfr aiter	-⌫-|-------⌫|-----⌫|--⌫----|
delmalf equ itoz iors e ngigne	--|----⌫|--⌫|--|---|-⌫-----|
lefru it detauign e	-|---⌫-|-|-|----⌫|
se nule boneouraigneasf ait e	-|---|---|-------|-|-⌫---⌫|
lidiab le st oz iorsagaite	-|----⌫--⌫|-⌫-|---|-----|
quilt aittrahi	-|-||--|----|
ee ngigné	|-⌫------|
eboté en alc unp ecche	|----|-|---⌫-|-⌫----|
tant qu ilpuissele fruitescorr e	---|-|-|-----|-|----|------⌫|
q ui tedeit aidere se c orre	-⌫-|-|---|----||--⌫-⌫---|
diablesaprent	------|-----|
qu e lacure d elmont	--⌫|-|---|-⌫-|---|
deben botertei enzsehaste	-|--|----|--|--|-|----|
tesfr ui zespiritelsdegast e	--|--⌫--⌫|---------|------⌫|
tauigneetonpomerescot	-|----||--|----|----|
issi te guerrei e ilp artot	---|-|-------⌫|-|-⌫----|
unoiselest on cnefutex	-|----|--|--⌫|-|-|--|
lati n anon ybex	----⌫||--|---|
sonnonen romanz nesa i	--|--|-|-----|-|--⌫|
mesmultest de malua ise uie	--|---|--|-|-----⌫--|--|
plusordn eplus	---|--|-⌫|---|
icest o i selhabitea d es	----|-⌫-⌫--|-----|-⌫-⌫-|
enriue destanc	-|---||-----|
sau eir seil porreittrou e r	---⌫--|-|-|------|----⌫-⌫|
ou caroigne	-|-------|
oupeiss o n porri	-|-----⌫-⌫|----|
uiandee stn orri	-----|-⌫-|-⌫---|
laca roigneque lamergette	-|--⌫-----|--|-|--|----|
home ou best epeisson ou	---|-|----⌫|------|-|
celeatent e cele mangue	---|----||---|-----|
lariue uenue	-|---|----|
enlewe nose pase ntr er	-||--||--|--|-⌫---⌫-|
set mie noer	--|--|---|
neil nesen uoelt e nt remettre	-|-|-||-|----|-⌫--⌫-------|
aprendrepeine mettre	-------|----|-----|
a lariueat ent fame illos	|-|---|--⌫--|----⌫----|
tante stmalue s	---|-⌫-|-----⌫|
epere scos	|----⌫---|
quenlacler e ewen	-|-|-|----⌫|--||
nebo n peisson nimangera	-|--⌫|------|||------|
iorsse pren t a ordure	---|-|----⌫||-----|
de nettete n aiamais	-|------|||-----|
boncresti en quiuo el taprendre	--|------⌫-|--|--⌫--⌫|-------|
deitacestepa ro le entendre	---||----|--⌫--⌫-|-------|
esi orraquesignefi e	|-|---|--|-------⌫|
cest oiseld emaluese uie	---|----|-⌫|------|--|
il signefie	-|-------|
lec haitif pecc heor dolent	-|-⌫-----|----⌫---|-----|
peccheseg i stemeint	-----|-|-⌫-⌫-||----|
e anu lefeizne ateint	||--⌫-|---|-|-----|
as uiande se sp iritels	-|------⌫|-⌫--⌫------|
mestozio rsentent a sch ar nels	--|--|--⌫-|-----|-⌫|--⌫--⌫---|
equ el ssontlescha rnelsuiande s	|--⌫--⌫|---|--|---⌫----|------⌫|
parf eiquant	--|-⌫-|----|
tu les medemandes	-|--|-|-------|
ieotedirraiq ue seintpoldit	--|-|-----|-⌫-|----|--|--|
equeieotruisen	|--|--|----|-|
s onescrit	-⌫-|-----|
ldeittenira eschar	|---|----||-----|
les o eures diti lde lachar	--|-⌫----|--|-⌫|-|-|---|
sontapert e se mult	---|-----⌫-⌫||---|
malua ises	-----⌫---|
alalmeen gendrent	||---|--⌫-------|
granzmesaises	----|-------|
coment ontcesoeure s	-----|--|--|-----⌫|
org oil efornicacion	---⌫--||----------|
coueitiseiuresce auaric e	--------|------|------⌫|
enuie quimu ltestmal	----|--|--⌫-|--|--|
telsuiandes	---|------|
quin osenequi neuoel t	--||--|-|--|-|----⌫|
enla b ele clereew eentrer	-|-|-⌫--|----|--⌫|-----|
neiloec aprendrea noer	-|----|-------||---|
asbonspeissons quil tro ue reit	-|---|-------|-|-|---⌫--⌫---|
s ienlacleree we uen eit	-⌫|-|-|----|-⌫-|---⌫--|
boncrestienfe taltremen t	--|-------|--⌫|--------⌫|
quie stb aptizezsein t ement	--|-⌫-|-⌫------|----⌫-⌫----|
de ewee desperit	-|--|||------|
cil en tr e sa nz nul	--|--⌫--⌫|--⌫-|--|
ewes del it ab les	---|---⌫--⌫--⌫--|
esmestersesperitables	-|------|-----------|
bonesuiandesso nt	----|------|--⌫-|
qui ra encon alalm efont	--|--⌫----|||---⌫|---|
lau it lem deuia ndes pures	-|-⌫-|--|-|---⌫---|----|
boneseseine seseures	----||-----⌫||-----|
quelapostreporu erite	--||------|--|-⌫----|
apeleioie e charite	----|---||------|
humilitee pacien c e	-------||------⌫-⌫|
feichasteteec ontinen ce	--|-------||-⌫-------⌫-|
icestes uiandesporueir	------|------|--|---|
fontprodho meuiureeualeir	---|------⌫-|----||-----|
p orc estes	-⌫-|-⌫----|
debennag erd ehalt	-|--|---⌫-|-⌫|---|
nossomes alsi	--|----|---|
e ncestmo nde	-⌫|---|--⌫--|
c omen lahalte merparfonde	-⌫-|-|-|----|--|-------|
quin os t orme n tee	--|-⌫-|-⌫----⌫-⌫-||
nos enco m bre	--|----⌫-⌫--|
tant iamalsquil	---|||---|-|-|
sageme ntestoure i t noer	------⌫-|-------⌫-⌫|---|
qu it ozles uol d reit sormonter	--⌫|-⌫-|--|---⌫-⌫---|--------|
porterlico uentun een se igne	-----|-|--⌫---|--⌫|--⌫--⌫---|
quiel noni esu cristseseign e	--|-|--|-⌫--|----|-|-----⌫|
priedeuotement	---|---------|
cilnoebene	--|--|--||
deuotemen tde uom orer	---------⌫|--⌫--|---|
mei nsuersle celleuer	---⌫-|---|-|--|----|
edire adeu odsi mplechere	|---||--|-|--⌫---|----|
siretonuo lt etalumere	---|--|--⌫-||-|-----|
estsigne e pardes usnos	--|-----⌫|------⌫-|--|
en tonsei nt sign e	-|--|---⌫-|----⌫|
quantnosleuom	----|--|----|
sig nedecro iz ia almeins	---⌫-|-|---⌫-|||-|----|
e sino sd e	|-|--⌫|-⌫|
b onquoerorom	-⌫-|----|---|
totdre ituers	--|---⌫-|---|
damnedeunoom	-------|---|
parmicestmondeperill os	----|---|----|------⌫-|
oulipluso rssont fameillos	-|-|-----⌫-|---|--------|
desui andes espiritels	--|--⌫----|---------|
n e se uoelent	-⌫|-|------|
fairete ls	----|--⌫-|
peine nee ntente	----|-|-⌫-----|
qu eilsa chen tp arlat ormen te	--⌫|-|--⌫----⌫|-⌫-|-|-⌫-----⌫-|
de cestmaluesmond e noer	-|---|-----|----⌫|---|
porceolescouentenfon drer	--|--|--|-----|-----⌫---|
p ordeuseignor scarapernom	-⌫-|--|-------⌫|--|------|
enquel guise	-|---|----|
adeu q uies tdolze humei n s	|--|-⌫-|--⌫|---||-----⌫-⌫|
deuomleu erequoerseme ins	----|---⌫-||-----||--⌫--|
cest l enseigneque n osportom	|--||-------|--|-⌫-|-----|
par queiuersdamnedeu noo m	--|---|---|-------|---⌫|
si la nefnedrescoutsauei le	-|-|--|-|-------|-|---⌫-|
quan telsiglealcurs	----⌫|-|----|-|---|
de lesteil e	-||------⌫|
elne porreitmiesigl er	-|-|------|--|----⌫-|
loise ln epor reit p asuoler	|----⌫|-⌫|---⌫---|-⌫-|----|
se illeselesnestend eit	-|-|--|---||------⌫--|
silal un e	-|-|-⌫--⌫|
nedescour e it	-|-------⌫-⌫-|
sescorsorbese r reitt oz	--|---|---|--⌫-⌫---|-⌫-|
quantlifizd	----|-|--||
israeliadi s	-----|----⌫|
contreamalec hse	-----|------⌫|-|
combateient	----------|
les hor es uenqu eient	--|---⌫-|-----⌫----|
quemoysessesmeinsleuout	--|-----|--|----|-----|
esi tos tc om illes	|-|---⌫|-⌫-|-|--|
liiue uerent	-|---⌫|----|
po rceofetmu ltriche la bor	--⌫|--|--|--⌫-|----|--⌫--|
quicestmond e poettrespasser	--|---|----⌫|---|---------|
lestoceenfo ndrer	|-----|----⌫----|
esaduersitezqui	-|---------|--|
quitraienth omeel	--|------|-⌫--|-|
ua l parf ont	--⌫|----⌫--|
malues q ui c i n aprent	-----|-⌫-|-⌫||-----|
anoerespirite l ment	|---|--------⌫-⌫---|
edes c harnels	|--|-⌫------|
uiandesuit	------|--|
odlesmo rzmoert sanzcontredit	-|--|--⌫-|----|---|--------|
si comedi tenl euangire	-|---|--⌫|-||-------|
iesucristn ostr eueraisire	---|----|-⌫----⌫|----|---|
less ez lesmorz lesm orzcou ri r	----⌫-|--|---|--|-⌫--|---⌫--⌫|
enterrere e nseuelir	-------||-⌫-------|
e deuquitozlesbons gouer ne	|--|--|--|--|---|-----⌫-|
seitno streueile en ostr e	---|--⌫---|----||-⌫----⌫|
q uenospar cest mon d e	-⌫-|--|--|---|---⌫-⌫|
pu isso mpas ser	--⌫----⌫|---⌫--|
quenosneper isso m	--|--|-|---⌫----⌫|
m esadrei t port	-⌫-||----⌫|---|
ueni rpuissom	----⌫|------|
assezauezoi	----|---|-|
c omentrenartsolei tem b ler	-⌫----|-----|-----⌫|--⌫-⌫--|
de sge lines costeinsde noes	--⌫|--⌫----|-------|-|---|
uolenters fisttrossersesioe s	--------|---|------|--|---⌫|
entotess aisons	-|----|-⌫-----|
degeli nese dec hapons	-|----⌫--||-|-⌫-----|
totad es uit deroberie	--|--⌫-|--|-|------|
dela rre cindetricherie	-|--⌫---⌫--|-|--------|
tantest mal u esedepu taire	---|--|---⌫-⌫-||----⌫----|
oez q u en dit l e	--|-⌫|-|--|-⌫|
bestiair e	--------⌫|
li gop iz estm u ltartillos	-|---⌫-|--|-⌫-⌫-|-------|
quan tilest	----⌫|-|--|
alquesfameillos	-----|--------|
eil ne setou	|-|-|--|-|
querrepreie	-----|----|
porla fe im qui formentlaspreie	--|-|--⌫-|--|------||------|
sen uetaune r ugeterre	|-|--||--|-⌫--|----|
la senuoltreetoeilleem erre	-||-------||------||-⌫---|
tantquil resembletotsanglent	---|-|-|-------|--|-------|
puiss enuet cocherb element	---||-|--|-----|-⌫------|
place descoue rte	----|-------⌫--|
qui est ac es oisels aperte	--|--||-⌫-|-----|-----|
dedenzson c orsr etentsaleine	-----|--|-⌫--|-⌫----||-----|
sia lapanceduree	-||-|----|---||
licu lu erzquitantset	-|--⌫--⌫--|--|---|--|
metlalanguehors	--|-|-----|---|
de s agule	-|-⌫|---|
leselzclot des de n zreschigne	--|--|---|--|--⌫-⌫|--------|
esifeiterementengigne	|-|----------|------|
lesoise lsq uigesirleueient	--|----⌫-|-⌫-|----|-|-----|
car cert einementmort le c r eient	--|----⌫-------|---|-|-⌫-⌫----|
d onc descendentpo r luib eccher	-⌫--|---------|--⌫|--|-⌫-----|
mesquantillessentapro cher	--|----|-|--|---|----⌫---|
presdeses denze il ueit a ise	---|-|--|---||-|---|-⌫--|
s if elone ssement	-⌫|-⌫-----⌫------|
qu ante nsa gulesontenc los	--⌫--|-⌫|-|---|---|---⌫--|
quet o tdeuoreechare	--|-⌫-⌫|-----||---||
cest gopi lqui tant set defart	---|----⌫|--|---|--|-|---|
qu enosapelom cirenart	--⌫|--|-----|-|-----|
signefielema l	-------|-|--⌫|
poeple meten eissil	-----|--|-|-----|
cestli malfezquinos guerr e ie	|--|-|-----|--|--|-----⌫-⌫-|
chescunioruent	------|--|---|
sornosen preie	--|--|-|----|
acels qui uiu entchar nelmen t	|---|--|---⌫--|----⌫------⌫|
se fei nt totmort ce r tei nement	-|---⌫-|--|---|--⌫-⌫---⌫-----|
po rceoqueplus p res lesatraie	--⌫|--|--|---|-⌫--|--|-----|
ia p oint dem anaie	||-⌫---|-|-⌫----|
p ui squ il	-⌫--⌫--|-|
ensongoitron	-|--|------|
tostle sdeuo r ec el	---|--⌫|----⌫-⌫|-⌫-|
comeligopizfetlo isel	---|-|----|--||-⌫---|
quant lesentp res	----|-|---|-⌫--|
desonmusel	-|--|----|
m esiliaoisels plusor s	-⌫-|-|||-----|------⌫|
quilesguisch eseles	--|--|------⌫-||--|
del gopilaparc eiuent ben	--|----|-----⌫-----|--|
sinidesce ndreient	-|||-----⌫-------|
liiaisidescente lapie	-|---||------||-|--|
e meintquine se seuentmie	|----|--|-|-|-----|--|
de l a gra nttraisongaiter	-|-⌫|---⌫-|------|-----|
leger sont mu ltaengigner	----|---|--⌫-||-------|
defole gentestalt resi	-|---|---|--|---⌫---|
apris eaden ti	----||----⌫-|
a l e ccherie a malua iste	|-⌫-⌫------||-----⌫---|
que ianenserront ch astié	--|-||-|------|--⌫-----|
iusqu ilch eent	----|-|--⌫---|
es d enz renar t	-|-⌫--|-----⌫|
idoncuen tl e chastier tart	----|---⌫|-⌫|-------|---|
lisa gesq uibenaparceit	-|--⌫--|-⌫-|--|-------|
le lar ron quile sfols	-|---⌫--|--|--⌫|---|
se tret ensusdesleccheries	-|---|----|--|---------|
d esiuresces des	-⌫-|-------|--|
dontlesgranzordures norrissent	---|--|----|------|---------|
quele c orse l al mei	--|-|-⌫--|||--⌫-||
peri s se nt	----⌫-⌫--⌫-|
oruo sdirrai del unicorne	-|--⌫|-----|-||-------|
bestequin a queunecorne	----|--|||--|--|----|
e nzelmileud elfrontp osee	-⌫-|-|----|-⌫-|----|-⌫---|
i cest ebeste estsi ose e	-⌫----⌫|----|--|-|---⌫|
sic om batan z	-|-⌫--⌫-----⌫|
esih ardie	|-|-⌫----|
quasolifan zprentaa tie	-|-|------⌫|----|--⌫--|
laplusegr ebeste	-|---|---⌫|----|
estd elmo nt	--|-⌫-|--⌫-|
cel esquiisont	---⌫-|--||---|
combatodl olifant	-----|-||------|
le ped uretrenc hant	-|-|-⌫-||-----⌫---|
delpe siagu	--|-|-|--|
querenne n	--|--||-⌫|
poet estre feru	---|----|---|
quelenepercee qu elnefende	-|--|-|----||-|-|-|----|
napaspoeir qu es	||--|----|--⌫||
ende fende	-|--⌫----|
liolif anzq uan tlerequer t	-|----⌫--|-⌫---⌫|-|------⌫|
car desozleuentrele	--|----|-|-----|-|
delpe t rench a ntcomale mele	--|-|-⌫-----⌫-⌫-|--|---⌫---|
siforme nt qu et otl esb oele	-|-----⌫-|--⌫|-⌫-||---⌫---|
c este bes te estd etel uigor	-⌫---|---⌫-|--|-⌫|--|----|
qu elenecreint	-|--|-|-----|
nul ue neor	--|--⌫---|
cil quilauoelent enlacer	--|--|-|------|------|
primes por espier	-----|--|-----|
quant e leest e nd eduitalee	----|-⌫-|--|-⌫|-⌫----|---|
ou enmo nta ign eouenu alee	-|-|--⌫---⌫---⌫|-|-|-⌫---|
qu ant ilont trouéson c onuer s	--⌫--|-|--|-----|--|-⌫-----⌫|
e tres ben auiséses	|---|--|-----|--|
siuontporune damei sel e	-|---|--|--|-----⌫---⌫|
qu il se uent	-|-|--⌫---|
benqueestpuce le	--|--|--|----⌫-|
pu islafo nt seeire	--⌫-|-|--⌫-|----||
alrecet po rlabeste prendr e	-|----|--⌫|-|----|------⌫|
quant l unicor nee s treuen ue	----||------⌫-|-⌫-⌫|-----⌫-|
ealapuceleueue	||-|-----|---|
dreit al i uent deme int enant	----||-⌫|---|----⌫---⌫----|
umilieensonde uant	-----|-|--|--⌫---|
eladameiselelap rent	|-|--------|-|-⌫---|
come cilqu i	---|--|--⌫|
al iserent	|-⌫|-|---|
odlapuceleiuetant	-|-|-----|--|---|
quendormi ee sten son deuant	-|-------⌫|-⌫-|-|--|-----|
atantsaillentcilq ui lespient	----|-------|--|-⌫-||------|
iloecla pernents ilalie n t	----|-|------|-⌫|-|---⌫-⌫|
pu islamein e ntdeuantl erei	--⌫-|-|----⌫-⌫-|-----|-⌫|--|
t ot aforce eagran tdesrei	-⌫-||----|||----⌫|-----|
iceste merueil losebeste	-----|-------⌫---|----|
qui un ecornea enla	--|--⌫|----||-|-|
sign efie nostre seignor	----⌫---|-----|------|
iesucrist nost resal u e or	---|----|----⌫-|---⌫-⌫-⌫-|
c estl u nicorne	|--||-⌫------|
espiri tel	------⌫--|
quienla uirgnepristo s tel	--|-|-|-----|----|-⌫-⌫--|
qui tantest deg rantdignite	--|---|--|-|-⌫---|------|
encestepristhu mani te	-|----|----|--⌫----⌫-|
parun tal mondesap arut	--|--⌫|-|----||--⌫---|
son poeplemi enele crut	--|-----|--⌫|-|-|---|
des iueus aince isles pierent	--|----|-----⌫-||--⌫------|
tantqu ille pristr e ntet lelie rent	---|-|-|-|------⌫-⌫-|-|-|---⌫---|
deuantpilate lem ener en t	-----|-----|-|-⌫----⌫--⌫|
e iloeca m ortl ed ampnerent	|----||-⌫--|-⌫|-⌫--------|
celecorneue raiement	---|----|--⌫-------|
quelabest e a t ant sulement	--|-|----⌫||-⌫--|-------|
signef ie lum an i te	------⌫-||--⌫--⌫-⌫-|
sicomdeu dist parue rite	-|--|--|---|--|--⌫---|
en le uan gileap erteet clere	-||-⌫---⌫---|--⌫---|-|----|
nossomesunieo	--|----|-|--|
e m on pere	|-⌫-|---|
e libonsp r est res za charie	|-|---|-⌫-⌫---⌫--|--⌫-----|
ainz que d eu nasqui s tde mar ie	---|--|-⌫-|------⌫-⌫|-|---⌫-|
distqueen la mesonda ui	---|--|-|-|----|--⌫-|
sonbo nenf ant	--|--⌫|---⌫--|
so n bonami	--⌫|--|--|
d rescereitdamnedeus on	-⌫--------|-------|-⌫-|
edeu meismes distunc or	|--|------|---|---⌫-|
pard auiqu iceocrie eco r ne	--|-⌫--|--⌫|--|---||--⌫-⌫-|
sicomlicorsdel	-|--|-|---|-||
