ocum es ri ches	|--|-|--⌫---|
de pertie anz uin t al	--⌫-----|--|---⌫|||
u nper sort ce mesembletke	-⌫|--|---|-|-|------|-|
cestesotte soi tliimage ne	----|----|---⌫|-|-----⌫-|
dede uquene puet	-|--⌫|--|-|---|
estretrenchie	----|-------|
nedepert ieetken	-|------⌫-|-||-|
enteiree tsoileie	------|-⌫|------|
en lanatur e	-|-|-----⌫|
car aly m ag neeta la	--|||-⌫-⌫--⌫-|-||-|
dedeu f utfaiz lihomensi	-|--|-⌫-|---|-|--|---|
en lym agene	-||--⌫----|
aus t lofranciug ement	---⌫|-|----|---⌫----|
de uolenteiteten	-|--------|-|-|
l asembla nceles	-⌫|------⌫--|--|
ui rtuzli semblancesiest per ie	--⌫---|-|--------|-|--|---⌫-|
maisenl ymageneest lihom	---|-||------|--|-|--|
t res pa ssezelfeu denferporit	-⌫---⌫--⌫---|-|--||----|----|
imagen e etnemies p erardoir	------⌫|-|-|---|-⌫-------|
lou tormentd el f eu senterit	--|------|-⌫-|-⌫-|-------|
iain edeffaritcestecotte	--|-⌫|-------|----|----|
mies trenchiei eanz	---|---------⌫|--|
persort car enquelconqueleukeli	--|---|--|-|---------|--|-|-|
ainr me soit	----⌫-|---|
toteens emble	---|---⌫----|
maisensinen es t ilmie sde	---|---|--|--⌫|-|---⌫|-|
la semblan cecar	-|-------⌫-|--|
ouel eperma int	-|--⌫|-----⌫--|
oueles echangetchaitiuem ent	-|--|-⌫|------|---------⌫--|
k eli ai nrme	-⌫|-|--⌫---|
pechietet sideuient	------|-|-|------|
semblanzasottesbestes	-------||-----|-----|
ma isporceu	--⌫-|--|--|
homfutd espol liez de	--|--|-⌫-----⌫---|-|
uirt uzs i estassicouenaule	----⌫-|-⌫|--|---|--------|
choseke n osd iienscomentil	----|-|-⌫-|-⌫----|-----|-|
futdespoll ie z d une chascune	--|-------⌫--⌫||--|-------|
laiustise pe rdit	-|------|--⌫---|
l io mquanteu e	-⌫|-⌫|----|--⌫|
futanceos obedi enza	--|-----|-----⌫--||
delserp entetadansa	--|----⌫--|-|----||
dela femmeka la uoix	-|-|----|||-|---|
dede utoteuoi esiauoitancor	-|--⌫|-------⌫-||----|----|
une chos e	--|----⌫|
ouil sepoissent	-|-|-|-------|
e stre ahers	-⌫---|----|
etke nostresires misme s	-|-|-----|----|-----⌫|
lorfaisiu et	--|------⌫-|
entendantp erson encerchementm aisc eu	--------|-⌫-|--|-----------|-⌫--|-⌫-|
mism esmisent ilen aie r dos	----⌫-|-----|-|-|---⌫|--|
qu antils et or narent e m	--⌫--|-|-⌫|-⌫--⌫-----|-⌫|
parol le s	-----⌫--⌫|
porescuse rlor pech iet	--|------⌫|--|----⌫--|
liprimiere pertiedeiust ise	-|-------|-----|-|----⌫--|
est nia nt	--|---⌫-|
pechierl iseconde	------|-⌫|------|
estda mnerlopechiet	--|--⌫---|-|------|
perp enitence	--|-⌫-------|
lamiser icordeperditass ili	-|-----⌫-----|-----|---⌫|-|
quant euefut	----|--|--|
siarda nzenson	-|----⌫-|-|--|
cuuise q uilleale i m ismesnen	-----|-⌫|---||--⌫|-⌫----|--|
esperna tnenas ombaronne na	-------⌫|--||-⌫-|----|--⌫||
se sfilzqu iestoient	--⌫|---|--⌫|-------|
aaueni ranzle s	|-----⌫|--|--⌫|
assargent ittozdesoz horrible	---------⌫-|--|----|-------|
maldeizonetde s ozlaneces sitei t	--------|-|--⌫-⌫-|-|-----⌫-----⌫|
adansmismes	----|-----|
se uoltcourir	-|---|-----|
encontren ostresignord e laf emme	-------|-⌫----|-----|-⌫|-|-⌫---|
au oitpechie ́t assi cum	--⌫--|------⌫-|---|--|
ilp erdaieresond osseu o lsist	-|-⌫-|-----|--|-⌫-|-|-⌫-⌫----|
es chu irde lasaetelifem meu it	--⌫---⌫-|-|-|----|-|---⌫-|-⌫-|
larbr equi be as	|----⌫|--|--⌫-|
estoi t d e	-----⌫|-⌫|
etdeletaules por ma ingier	-|---------|--|--⌫-----|
siauoit oitdelserpentquil	-|----|--|--|------|-|-|
s eroientsi	-⌫------|-|
c umdeulicorde	-⌫-|--|-|----|
detro i scor donsne puet mies	-|---⌫-⌫|---⌫---|-|---|---|
ligier ement r umprecest	------⌫----|-⌫----||--|
decu riositeitde de leit et de	-|--⌫--------|-|--⌫---|-|-|
ua nit eitc es	--⌫---⌫--|-⌫-|
chosesatsoule ment	-----|-|-----⌫---|
munde scestlo	-----⌫||--|-|
lacharloc uuise desoil zetl	-|---|-|-⌫----|--|---⌫|-||
orgoild e uieet	-----|-⌫|--|-|
decez tr oisui ce s	-|--|--⌫--|--⌫--⌫|
fut siatraite etenlacieienostre	--|-|------|-|--------|-----|
cruiersmere quilletote m isericorde	------|---|-|---|---|-⌫---------|
gettataier	-----|---|
dos ensifist	--|---|---|
adans qui simaleme nt	----|--|-|------⌫-|
otpitietde	-|-----|-|
ensemblep echatquantil	-------|-⌫----|----|-|
d e lein e uoltadroitpitiet	-⌫|--|-⌫|---||----|-----|
auoiro ulapoenesos tenir	----|-⌫|-|----|---⌫----|
le ipe nnie futa sside	--⌫|--⌫---|--|-⌫--|-|
lifemmeprimiers quantele malementtornat	-|----|-------|----|--|-------|-----|
lou s endeceukele	--|-⌫-|-|--||--|
oitde m ort morraset	--|-|-⌫--|-----|-|
d ist queno s perauent u re	-⌫--|--|--⌫|--|-----⌫-⌫-|
nemur ienset	-|---⌫---|-|
apresqua nte le	----|---⌫-|-⌫-|
crutloserp entqui	---|-|----⌫--|--|
del tot desno ieuetetdisoitquil	--|--|-----⌫----|-|-----|-|-|
ennule ma niere nemorroi ent	-|---|--⌫----|-|------⌫--|
pennizfutas siadansde	-----|--|--⌫-|----|-|
laiou il fut hontous delei	--|-|-|--|------|-|--|
a regehi ret quil trast auant	|------⌫|-|-|-|----|----|
couertur e s porluiaescuser	--------⌫-⌫|--|--||------|
certesli ueritezmisme sdist cil	-----|-|------|-----⌫|---|--|
kidemiauer it hont e dauan tle s	-|-|-|----⌫-|----⌫|-----⌫|--⌫|
homes eti uaueraihonte	----|-|-⌫|-----|----|
del uidauant	-|-⌫-|-----|
lesangeles de deu	--|------|-|--|
perderentassiapermemmes carpaiznen	--------|---|---------|--|---|--|
es t miesasfell on sce	--⌫|---|-|----⌫--⌫|-|
di st nostresiresne nauoientil	--⌫-|-----|----|--⌫|------|-|
dons atro ueit contraireloy	---|----⌫---|--------|--|
menb res cilquide nouel	----⌫--|--|--|-|----|
estoientho ntousdelor	-------|--⌫----|-|--|
dotai distil por	----|---|-|--|
e stoienuz ch aitis hom ensi	-⌫----|--|--⌫----|--|---|
nedoteuestumiesdau anttune	-|------|-|---|---⌫--|-|-|
qua roiesmies les folles	---⌫----|---|--|-----|
ceuke tunuzfussesensi	--|-|-|--|-----|---|
cumtuf ai s or	--|-|-⌫--⌫|-|
ma isce semblet	--⌫-|-|------|
q ue g r ies	-⌫-|-⌫-⌫--|
tenceon sf ust n eie entre lesui rtuz	-------⌫|-⌫--|-⌫--|----|--|--⌫---|
perceukeli pro phetesdist k	--|--|-|-|---⌫-----|---||
elessencontrarentet k	---||-----------|-||
elespermei	---|-----|
lobaisierde paixse	-|------|-|---|-|
rac ordarentueri t ezetiustise	---⌫-------|----⌫-⌫-|-|------|
afflieuent	---------|
uoirement l ouchaitif mais	--------|-⌫-|------|---|
m is e ricor deiu gieuentanceo s	-⌫--⌫-⌫-----⌫-|--⌫------|-----⌫|
kenlesparnastcar c ez	|-||--------|--|-⌫-|
dousui rtuzsunt	---|--⌫---|---|
compaignessi cumles	---------|-|--|--|
pri m ieres porceuke	---⌫-⌫----|--|--|-|
celespermanoienten l afflicc ion de	----|----------|-||-------⌫--|-|
lommeet kelesde tote	|---|-||---|-|---|
parzloba toient	---|-|--⌫-----|
ensi keleslespresente s	---||---|--|--------⌫|
greuancesacomb leuentper lotormentqui	--------|-----⌫-----|--|-|------|--|
estoita auenirsi s	-----||-----|-||
e nal erent	-⌫|--⌫----|
cestes elc uerdelpere	-----|-|-⌫--|--|---|
et s i rep ararentalsignor	-|-⌫|---⌫------|-|-----|
q ui d one ies l esauoit	-⌫-|-⌫---⌫--|-⌫-|----|
il soulsestoit	-|----|-----|
uoir ementqui	----⌫----|--|
p en seuet pensesd epaixquant	-⌫--⌫----|-----|-⌫|---|----|
n eueot n ullechosek enefust	-⌫|---|-⌫---|----|-⌫|-|---|
affliccion certesli paizne	---------|-----|-|---|-|
feneuetnelimis er ico rden e se	------|-|-|---⌫--⌫---⌫--|-⌫|-|
uoloitquoi sier	-----|----⌫---|
anzparleuentetse	--|--------|-|-|
mouoie ntl esent ralles del pere ensi	------⌫-|-⌫-|---⌫-----|--|---|---|
c ump er umpis usurred eieteri t	-⌫-|-⌫-|-|-|-⌫-----|-⌫-------⌫|
do nsdient	--⌫-|----|
elesde us l ommeen	---|--⌫-||---|-|
permenantet neferitm iesancorquil	--------|-|-|----|-⌫--|----|-|-|
plusplaisiulesso it o blieratil	---|---------|--⌫-|-⌫------|-|
donsafairemercit	---||----|-----|
oude t arr it	-|--⌫-⌫---⌫-|
ilensonirorses misericordes	-|-|--|---|--|-----------|
et ia soitc euke li	-|-|---|-⌫-|-|-|
desm isericordesatarzastmoltlongement	--|-⌫----------|-------|---|--------|
etfes istassi cumsem blant	-|---⌫--|---|--|---⌫----|
quillaprei ere de c elesn e	-|-|-|----⌫--|-|-⌫---|-⌫|
uolustmiefaire porceuquil	-----|--|----|--|--|-|-|
iustiseeta uer itei tne fust	------|-||---⌫----⌫|-|---|
contrairestoteu oiesnefu tmie ssen s	---------|-----⌫---|-|--⌫|---⌫|---⌫|
frut liencha zque	---|-|-----⌫|--|
fisentanz oitlorpreiere	-----|--|--|--|------|
c ouenaule	-⌫-------|
assicu miltelresponsd on ast	---|--⌫|-|--|------|-⌫--⌫--|
alorpreierecum longement	|--|------|--|--------|
pr oir ozuos iu suisassi	--⌫---⌫-|--|-|---|---|
auozsero rsc	|--|----⌫-||
aiustiseet	|------|-|
au e riteit cui	|-⌫-⌫-----|--|
uosueozestresiaparillieies	--|---|----|-|-----------|
uenianceapelonsleset si	-------|------|--|-|-|
uingnentaua nt etsi par lons	-------|---⌫-|-|-|---⌫---|
e nsembl e de ce ste	-⌫------⌫|-|--⌫--|
ch osedon kes	--⌫--|---⌫--|
l imisag eceles t iense	-⌫|-----⌫|-----⌫-⌫--|-|
ape rmemmesqu	---⌫------|-|
iluirentlamisere	-|-----|-|-----|
d esh om m ese t lac ruie r	-⌫-|-⌫--⌫-⌫-|-⌫|-|-⌫----⌫|
s iploreuenta merementli angele	-⌫|--------|-⌫-------|-|-----|
de paixquiquaroientplusfe olm ent	-|---|--|--------|---|--⌫---⌫--|
ce lesch osesk a paix ape r tie nent	--⌫--|--⌫---|||---|---⌫-⌫---⌫---|
que li angeledepai x a l i or	--|-|-----|-|---⌫|-⌫|-⌫-|
estaulituintli ueritez	-------|---|-|------|
c omunato rnemente t eniesquanues	-⌫---|---⌫------|-⌫|------||---|
mont atnemies an corpla nierem entcle re	----⌫-|-|---|--⌫--|---⌫------⌫--|---⌫-|
mais ancoraikes oscure	---|----|----|-----|
delcommouementdela	--|----------|-|-|
fi erteitdons futf aitceu	--⌫-----|---|--|-⌫--|--|
lei tauon senlaprophete	---⌫|----⌫|-|-|-------|
si retamisericordeestenciel	--⌫-|-|----------|--|-|---|
etta ueri tezen iesqu anues m ais	-|-|----⌫--|--⌫----||---|-⌫--|
de lumiereseoitmoiiens	-|------|----|------|
et chascunedeceles parleuetmi ezk	-|-------|-|----|-------|--⌫-||
el epootporsa partiequi pot	--⌫|---|--|-|-----|--|--|
estreaceldesrainement	----||--|-----------|
a nuncerat quil oitetse	-⌫-------|--||--|-|-|
lnos recont e rat	|--|------⌫-⌫--|
perauentu r e unsdesraisnemenzfu t	--|------⌫-⌫|--|------------|--⌫|
qui recontezne puetestre	--|-------|-|---|----|
etqui ho mnedoitmies	-|--|--⌫|-|---|---|
direces emblettote uo i es ketote l i	---|-|-⌫-----|----⌫--⌫-⌫-|-|---|-⌫|
s ummedecest	-⌫---|-|---|
plait fu sttels	----|--⌫-|---|
dep i tie tli	-|-⌫-⌫---⌫|-|
raisn aule c riat ure	-----⌫---|-⌫----⌫--|
cedi stmiserico rde	-|--⌫-|--------⌫--|
care lees tchai tiue	--|-⌫-|--⌫|----⌫---|
deuenueetmo l tomdoitom	------|-|--⌫-⌫|-|---|-|
auoir grant piti etuenuzestli tens	----|----|----⌫-|----|--|-|---|
cum doitauoir pitietde	|-|---|----|-----|-|
lui c arli tensestiaitrespass ez	--|-⌫-|-|---|--|--|--------⌫-|
e tueritez r edisi u etdaltre part	-⌫|------|-⌫-----⌫-⌫-||----|---|
ilcouientsireq ueli parolle	-|------|---|-⌫-|-|------|
q uetudisissoit aa mplieet	-⌫-|-|----|---|--⌫----|-|
po r ce ucouient adantotmor i r	--⌫|--⌫|------|---|--|---⌫-⌫|
totesceles ch o ses kenlui est oien t	----|----|--⌫-⌫--||-|--|---⌫----⌫|
aliorquilmai niat del frut	-|--|-|-|---⌫---|--|---|
quidefenduzl if ut peresce	--|-------|-⌫|-⌫-|----|-|
dis tm ise ricordeporc ai me ngenuis	---⌫|-⌫---⌫------|--|-⌫-||-⌫------|
tu dons pozqueiesitost	-|---|-----|-|-|---|
d oieperir uer itezmism e s seit bien	-⌫--|----|---⌫---|----⌫-⌫|---|---|
miserico rde es tper i e et	--------⌫--|--⌫|---⌫-⌫|-|
nianz nenestsi tu ancunefieie	----|--|--|-|-|-----|----|
nena spitietetceleredisoit	--|-⌫|-----|-|---|-------|
assiencont resiresi	---|------⌫-|---|-|
assappet de lasentenc e de	-------|-|-|-------⌫|-|
donsestperiet a	---|--|----|-⌫|
nene permanretenpermenant	-|-|--------|-|--------|
liuns desc her ubin	-|--|--|-⌫---⌫---|
doueroittramatrealroi	-------|-------|-|--|
salemon caral fil cedist est	------|--|-|--|-|---|--|
doneztozl iiuge menzet d auantlui	----|--|-⌫|----⌫---|-|-⌫----|--|
uingnentensemblemisericorde et	-------|-------|----------|-|
ueritezet si	------|-|-|
tracent auant	------|----|
celesparolles mismesdonteles	----|-------|-----|---|---|
sedeplagniuentdauant iur econos	-|-----------|-----|-|-⌫-----|
bie ncedist	---⌫|-|---|
ueritezque	------|--|
misericordeatbonein tenc i onmais	----------|-|---|--⌫----⌫-⌫-|---|
iu uorr oiequesoninte ncionsfust	-|----⌫--|--|--|----⌫-----|---|
selo ncscience etporkaiuuet	----⌫-|------|-|--|--|---|
om espargnetanceos a	-|--------|-----||
q ui colpaules est	-⌫-|--------|--|
ka sa serourma istu	||-|-----|--⌫-|-|
ce distmiseric ordenenespargn es	-|---|-------⌫---|--|-------⌫-|
nen al altre	--|||----|
a nz forsennessifi erement enlome	-⌫-|--------|-|--⌫------|-||--|
quipechie ́tatke	--|------⌫-|-|-|
ensemble lui t orment esas sita	-------|--|-⌫------⌫-|--⌫-|-|
quel malted esserui i u	---|--|-|-⌫------|-⌫|
situes enc ontremi	-|-|-|---⌫----|-|
dancunechose dilo umeet	|-----|----|-|--⌫|-|-|
ainiantforfait	-|----|------|
p orkaimeporseus tu	-⌫-|--|-|------|-|
gran zieret	----⌫|----|
ceste d esc ordechi er	----|-⌫---⌫---|---⌫-|
freireetmo lte ntrela cieie	-----|-|--⌫-|-⌫------⌫----|
ceste te nc e onsqu i	----|--⌫--⌫-⌫--|--⌫|
seroitnuls	-----|---|
quilai n edust dire bonecho s e	--|--|-⌫|---|---|---|---⌫-⌫|
fusta nossic isthomnefust	---||--|-|-⌫--|--|-|---|
unkes neiz certesensiesto i til	----|---|-----|---|----⌫-⌫|-|
chierf reireom neueot come nt	----|-⌫----|-|-|---|----⌫-|
miser icordeet ueritezp uissent	-----⌫-----|-|------|-⌫------|
estrewardeiesense mb lea ncor	----|-------|----⌫--⌫-|-⌫---|
di siuetplusliueritezcareledisiu et	--⌫----|---|-|------|--|--|-----⌫-|
quel itorzkenli feroit	--|-⌫|---||-|-|-----|
reto r neroitsorlouiugeor mismese t	----⌫-⌫-----|--|--|-----|-----|-⌫|
por ce usedouoit omwa rder	--|--⌫|-|-----|-|--⌫---|
qu e lip aro lledel pere	--⌫|-|-⌫---⌫--|--|---|
et forzne fusttr e s pesseiene n	-|---|-|---|--⌫-⌫-⌫------|--⌫|
e sueudie ie pernuleok e son	-⌫-------⌫-|--|---|--⌫-⌫--|
cum eled isoitceu	--|--|-⌫----|--|
siuint paiz	-|---|---|
auantetsilor	----|-|-|--|
distpordeu	---|--|--|
distelewardezuosde tels parolles	---|--|-----|--|-|---|-------|
telstenceonsnesietmies	---|-------|-|---|---|
e ntreuo s deso nestetenceonsnen	-⌫---|--⌫|----⌫----|-------|--|
apertientmiesa	--------|---||
do nsseclingnatliiugier e suer sterre	--⌫-|-|-------|-|------⌫-⌫|---⌫|----|
sie scriuoit enlater rede son	-|-⌫-------|-|-|---⌫-|-|--|
doitlespar ollesde cel e	---|--|---⌫----|-|---⌫|
escriture esto i entcelespa rollesque	--------|----⌫-⌫--|----|--⌫-----|--|
paizl es t oian t	---|-⌫--⌫|----⌫|
to z carele	--⌫|--|--|
seoitpluspres	----|---|---|
cest e disti usuis	----⌫|---|-⌫|---|
aleie s adansnemueret cele	----||----|-|---|-|---|
di stiu suisale iesi l ne	--⌫-|-|---|---⌫-||-⌫|-|
conseut mis ericordeo rauig net dons	------|---⌫-------|-⌫|----⌫--|---|
uneb onemorzet ensi auerit	--|-⌫--|---|-|---|-----|
etliuneetlialtre	-|-|--|-|-|----|
el edemandettutfurent	--⌫|-------|--|-----|
meruil lo usde ceste sageparollecar	------⌫--⌫-|-|----|---|------|--|
enleie stoit liforme dela	-|--|-⌫----|-|----|-|-|
raco rdeetdel	----⌫--|-|--|
iugementen sembleensi	-------|--⌫-----|---|
ne poren tauoirnuleokeson	-|-----⌫|----|---|-----|
pl usde tenciercarper	--⌫-|-|------|--|--|
cesteparoll epot	----|------⌫|--|
omfa ireceu	-|--⌫--|--|
demande uet c es tq ue	-------⌫--||--⌫|-⌫-|
l ihommoru stet quilcon seuist	-⌫|--|----⌫-|-|-|-|---⌫-----|
misericordema i s com ent porit	----------|--⌫-⌫|---⌫--|----|
dientilper	----|-|--|
quel rais o nporit	---|----⌫-⌫|----|
estre bone mo rzque tres	----|---|--⌫-|--|---|
cruier ee st	------⌫|-⌫-|
e tt resamereet kede	-⌫|-⌫--|----|-|-|-|
soule o ieestespauuentaul e et	----|-⌫-|--|------------⌫|-|
horrible etcillordi st	-------|-|--|--|--⌫-|
limorzdistildes pech orsest	-|---|---|-|--|----⌫--|--|
pesmemaisli mo rzdes	----|---|-|--⌫-|--|
puetdeuenirprecioseneseri t	---|------|-------|-|----⌫|
el emoltprecioseseleest	--⌫|---|-------||--|--|
portedeuie	----|-|--|
gloreaw il uoir mol t	----|--⌫-|---|---⌫|
preciosedientil mais coment	-------|----|-|---|-----|
poritceu estrebi enpue t estre	----|--|----|--⌫-|---⌫|----|
distilsiancuensest	---|-|-|------|--|
percharit eit	--|------⌫--|
me uretet quiniantne	--⌫---|-|--|----|-|
doppet a lamort carlimorz	-----||-|---|--|-|---|
ne por itmiesdetenirl	-|---⌫-|---|------||
anzforritsi	--|-----|-|
cumd it est	--|-⌫-|--|
laieusedelauersi eretsi	-|----|-||------⌫-|-|-|
d estrurat lapa ro itkenmei est	-⌫-------|-|--⌫--⌫-||----|--|
queligranzconfusions kef ermeie	--|-|----|---------|-|-⌫-----|
e stentrelam ortetlauie	-⌫-|----|-|-⌫--|-|-|--|
seritde srumpueforz es tsi	----|--⌫------|---|--⌫|-|
cum mo rtli ch ariteizan z est	--|--⌫-|-|--⌫------|--⌫|--|
nes plusforzke mor z	--|---|---|-|---⌫|
ceusilleen l amaisonentret decel	--||---|-|-⌫|-----|-----|-|--|
fortilleloulieritet sili	---|---|--|-----|-|-|-|
torrittozses	-----|--|--|
uasselseten	------|-|-|
sontresp as	--|-----⌫-|
mismes matterituoie e lparfun t	-----|-------|---|-⌫|------⌫|
por ceuquelideliureit	--|--|--|-|--------|
p oienttrespas s er	-⌫----|-------⌫-⌫-|
mol tsistbiencesteparolle	---⌫|---|---|----|------|
toz etmoltlor	--|-|---|--|
s emblat estre foyaule	-⌫-----|----|------|
et bonemaisou	-|---|---|-|
estreatrouezcilinnocen zqui	----|------|--|-------⌫|--|
nuls sillamortn en	---||-|-|---|-⌫-|
des seruitet il	---⌫-----|-|-|
perdat ne l adeu oit	--|--|-|-⌫|---⌫--|
quide sonpl aisiru olust	--|-|--|--⌫----|-⌫----|
morir tot lomundeence rchetueritez	----|--|-|----|----⌫----|------|
e tnelui nenatroueue tsenst ache	-⌫|----|--|--------⌫|---|-⌫---|
nes un enfant quinen atmais	--|-|-----|--|--|-|---|
un i ordeu iesorterre	-|-⌫-|-|-⌫-|--|----|
mise ricorde encerc het	----⌫------|------⌫--|
totlo c ieletens	--|-|-⌫--|-|--|
angles mismesne natrueuet mies	-----|-----|--⌫|-------|---|
te le charitei tcar uns altres	--⌫-|--------⌫|--|--|-----|
d euoitauoirces teuictorec	-⌫----|----|---⌫-|------||
e stcildec uyne n a ueroit	-⌫-|--|-|-⌫-|--⌫|-⌫-----|
plus gran t	---|----⌫|
clariteit kece u	--------|-|--⌫|
qu ilsonai nrm e matteroit	-|-|--|--⌫---⌫|--------|
sesserch anznondign es etniant	--|-----⌫--|--|----⌫-|-|----|
profetaulesets il i ainenos	----------|-||-|-⌫-|-|--|
apelet mies serianzceu misme s	-----|---|------|--|-----⌫|
degrantamor et de grant	-|----|---|-|-|----|
humilt eitmaisnosa ncor	------⌫--|---|--|-⌫---|
fiys siensnostotceu que	----⌫----|--|--|--|--|
comandeitn oses tque do ueriens nos	--------|-⌫-|--⌫|--|--⌫------|--|
altrec hos e dire siceu nonke	----|-⌫---⌫|---|-|--|--|-|
nosseria nt	--|-----⌫-|
summesni antutle	-----|--⌫--|---|
maisqu ilo seroitarai snier de	---|--⌫||-⌫-----|----⌫----|-|
cestechose	----|----|
estaul i t repairentu erit ezet misericorde	------⌫-⌫|--------|-⌫----⌫-|-|----------|
molt destroites deceuqueles	---|---------|-|--|-|---|
nenorentatroueitceukeles	--|----|-------|--||---|
desireuen t	---------⌫|
q uantpaiz	-⌫---|---|
k edesoure	-⌫|------|
s eoitlescom men zata	-⌫---|--|---⌫---⌫--||
uos nesauoiz d isteleniant	--|-|-----|-⌫--|--|----|
nenepe nseznulsne n est	-|-|--⌫---|---|--⌫|--|
quibienf acet	--|---|-⌫---|
nul snenest	---⌫|--|--|
k eniesquauncilm ismes	|------||-|--|-⌫----|
quilouco nsolatdo neit	--|--|--⌫---|-|--⌫---|
mismesfac etlaiuedon sentendi t	-----|---⌫-||---|---⌫|-------⌫|
l irois queceledisoit etsi	-⌫|---|--|---|-----|-|-|
distiu merepenz	---|-|-|-----|
d eceu q ueiu	-⌫|--|-⌫-|-|
ommeassi cum ceu diet	---|---|--|--|---|
amienr enornetlipo enemien	|-|-|-⌫------|-|--⌫--|-|-|
couientsostenir la p oene etpor	------|-------|-|-⌫---|-|--|
l om mecu yiu	|--⌫-|--⌫|-|
ai creeitme	-|-----|-|
couientfaire penitenceet	------|----|--------|-|
disteque uos iu uig	---|---|--|-|--|
bouragesnep uetmies trespass ersi	-------|-|-⌫--|---|--------⌫-|-|
donsapelet	---|-----|
apermem mesgabri el	-------⌫--|-----⌫-|
ua iet sid ia lafille	--⌫|-|-|-⌫||-|----|
desi onk eses	-|--⌫-|-⌫|--|
sidistsyon	-|---|---|
aourn eta maysonet si	-----⌫|-|-----|-|-|
receo f tonroycest roi	-----⌫|--|--|---|--|
dauanzarent	----------|
miserico rdeetueritez	--------⌫--|-|------|
sicu mescritest misericorde	-|--⌫|-----|--|----------|
etue r itezdauance runt sa f a c eonet	-|--⌫-⌫---|-------⌫---|-|-⌫-⌫-⌫--|-|
i ustise aparilliuetlosie geselonc	-⌫-----|----------|-|---⌫-|-----|
ceuqu escritestiustise	--|-|-----|--|------|
et iugemenz	-|-------|
est l iaparillemenz	--|-⌫|-----------|
tonsiegepai z uin t	--|----|---⌫|---⌫|
ensemble lo	-------|-|
roi po rceuquecil proph e tes	--|--⌫|--|--|--|-----⌫-⌫--|
f ustatrouezfoya ulesquidistpaiz	-⌫--|------|----⌫---|--|---|---|
ierten nostr ete rre quantil	---|-|-----⌫|--⌫--|----|-|
uen uzseritporceusechanteuentli	---⌫-|----|--|--|-|---------|-|
an gel e quantnost res ires fut	--⌫---⌫|----|----⌫-|-⌫---|--|
que paiz fust	--|---|---|
enterreas hommes	-|----|-|-----|
de boneuolenteitdons primesse	-|---|--------|---|-----|-|
bai sarent iustiseet	---⌫-----|------|-|
pai zkedeca	---⌫|-|--||
estoientmiepettit	-------|--|-----|
de s cordeiescarsiloysa uo yt dauant	--⌫-⌫-------|--|-|---|-⌫--⌫-|-----|
auc uneiustisece le	---⌫--|------|--⌫-|
iustise auoit anceosa willo nq ue	------|----|-----|-⌫-----⌫|-⌫-|
baisi er destregnanz plusperc rimor	-----⌫-|----------|---|--|-⌫----|
keperamouratr ahanzn e cele	-|--|----|---⌫----|-⌫|---|
iustisenen	------|--|
otmieslorec onciliemen t	-|---|-|---⌫----------⌫|
sicumcesteiu sti se	-|--|----|--⌫---⌫-|
que delaf oyt est coment	--|-|-|-⌫--|--|-----|
ceuquenes abra hamnemoys es	--|--|--|----⌫--|-|----⌫-|
ne l i altreius tehomme	-|-⌫|----|---⌫-|----|
nepo i ent	-|--⌫-⌫--|
mont eracele	----⌫-||---|
paizdeperme nantbienaurteitouen trer	---|-|-----⌫---|----------|-|--⌫---|
elregnedepaix	-|----|-|---|
quantpasse uentde	----|-----⌫---|-|
cesteuiesi porceunon	----|--|-|--|--|--|
q ue iustise	-⌫-|------|
e tpaizneses t oienancor	-⌫|---|-||--⌫-⌫---|----|
entrebai sieie scertes dec eu	--------⌫-----⌫|-----|-|-⌫-|
doie nsnos	----⌫-|--|
chier frei re enseurela	----|----⌫-|------|-|
iust ise entre bais ieie sse suntius t ise	----⌫--|-----⌫----⌫----⌫|-|---|---⌫-⌫--|
aiuntes sesun t	------|-|---⌫|
amistiez quene	-------|--|-|
estredepertiesensik ecel ui	----|--------|---|-⌫|---⌫-|
r eceouet esclariementetperuns	-⌫------|-----------|-|--|--|
embracemenzlipa iz dorma nz et	----------|-|--⌫-|-----⌫-|-|
reposanz eniceu	-------|-|---|
mismesq u i	-----|-⌫-⌫|
tesmog n aged eiustis eporterit	------⌫-⌫--|-⌫|------⌫|-------|
ensem ble lui	-----⌫--|--|
ancordec eu	----|-|-⌫-|
wardezchi er frereen	-----|---⌫-|----|-|
sollemni teitquihuiestlasimple	--------⌫---|--|--|--|-|-----|
hyst oire denost rerap ar il lementassi	----⌫---|-|----⌫-|---⌫--⌫--⌫-----|---|
cum unetresd elet a uleplanece	--|--|---|-⌫----⌫-⌫--|------|
om e niuntagabrihel	-|-⌫----||-------|
lauirginequi	-|------|--|
regehitla n oueleuirtuthonoretom	------|-|-⌫----|-----|------|-|
deno u elsa lut omostetl	-|--⌫-⌫-|--⌫--|-|----||
m a ldeceond esf emmes et s i	-⌫-⌫------|-⌫-|-⌫----|-|-⌫|
receotlin ou ele mer e noue lebeneiceo n	-----|-|-⌫--⌫--|---⌫|----⌫-|--------⌫|
ce le ie mp list om de g ra ce que	--⌫--⌫|-⌫--⌫---|-|-|-⌫--⌫-|--|
nese it quecuuises	-|--⌫-|--|------|
so i t porceu	--⌫-⌫|--|--|
keceleengen uisset perlosaint	-|---|-----⌫-----|--|-|----|
e speritun filalhaltisme	-⌫-----|-|--|-|-------|
quecompagnien e dignet	--|--------|-⌫|-----|
