seimme peti t queut	-----|----⌫|----|
qas armesfu re n t desconfit	|-|----|--⌫--⌫-⌫|--------|
pararmesfurentmort andui	--|----|-----|---|----|
dom i aigrantdue let g ra ntanui	--||-|----|---⌫|-|-⌫--⌫-|---|
meuind rent	-|----⌫---|
lesnouele s	--|------⌫|
queli corb elet lescor n eilles	--|-|----⌫-|-|--|---⌫-⌫-----|
a anbedoxles iauz creuerent	|------|--|---|--------|
a insimorz le sgenzl es tro ue rent	-⌫---|---|--⌫|---|-⌫-|---⌫--⌫---|
deldoeldes filzfu	--|---|--|---|-|
morz lipere	---|-|---|
etieaiioie mout	-|-|-|---|---|
et uiepuis queilfumorz	-|--|----⌫--|-|-|---|
uos estieztoz	--|-----|--|
m esconfor z	-⌫-|------⌫|
queiauoieettozl ibiens	--||----|-|--|-⌫|----|
queilniauoit plus des	--|-|||----|---|--|
r ienp lu s nem auoit	-⌫--|-⌫--⌫|-||----|
de xl ais ie ́	--⌫|-⌫---⌫--⌫|
domilm epoitf airelie	--|-|-⌫|---|-⌫---|--|
liualezententmou tpe tit	-|----|-----|---⌫|--⌫--|
ace ques a	|-|--|-⌫|
mereli dit	---|-|--|
amangierfaitilmap ortez	|------|---|-||--⌫----|
d ecoimara isone	-⌫|--||---⌫----|
mai smoutiroieuolent iers	---⌫|---|----|------⌫---|
au roiquifaitlescheualiers	-|--|--|---|--|---------|
etieira i cu iquil enpoist	-|-|---⌫|--⌫--|-|-|----|
lamere tantco m illi	-|---|---|--⌫|-|-|
loretin t et si l o seiorne	-|-----⌫|-|-|-⌫|------|
a pareilleetatorne	-⌫-------|-|-----|
dech aneuaz et	-|--⌫-----|-|
gros echemi se	----⌫|-----⌫-|
alamaniere	|-|------|
etalaguise	-||-|----|
degalaislen	-|-----||-|
a fai tensenble	|---⌫|-------|
brai esetchaucescem ese nble	----⌫-|-|------|-|-⌫|--⌫---|
etsiot cote et	-|-|-|---|-|
duncui rdec erfcl o s	|-|---⌫|-|-⌫--|--⌫-⌫|
ei ns ilamerelatorn a	--⌫--⌫|-|---||-----⌫|
yyiorzsanspluslos eio rn a	-|---|---|---|-|-⌫---⌫--⌫|
que p lusniot mes tierlosenge	--|-⌫--|||-|---⌫---|------|
lamere doel estrange	-|---|---|-------|
selbesee t	-||---|-⌫|
aco leen plorant	---⌫-|-|------|
or ai iedoelmo ut grant	-|-|-|---|--⌫-|----|
biaxfilzqant al er uosen	---|---|---|--⌫-|--|-|
alacort lo roi	|-|---|-|--|
silid iro iz	-|-|-⌫---⌫-|
q armesuosdoint	|----|--|----|
decon tr editniau r a	-|---⌫--⌫---|||--⌫-⌫|
qui l les uosbien losai	-|-⌫|--|--|---|-|--|
m a is qantuos uanroizale ssai	-⌫-⌫-|---|--|------|||-⌫---|
darmes porterc ommentier tdonques	|----|-----|-⌫-----|---⌫|------|
ceque uo s nefeistes	-|--|--⌫|-|------|
n autrui nela	|-----|-|-|
ueistesf ere	------|-⌫--|
commentans auroiz achief tre re	------|-|-⌫-----||----|---⌫-|
mauua isementuoirec e dot	-----⌫------|----|-⌫|--|
malseroi z afaitiez dot ot	--|-----⌫|-------|-|-⌫-|
n estpas meru eillece mestuis	|--|--|----⌫----|-||--|--|
ne se t ceq e na	-|--⌫|-||-⌫||
maismerueille	---|--------|
cequela nuoit etotsouant	-|--|--⌫|---|-|-|-----|
biax filzun	---|---|-|
uoil aprendre	---|-------|
oi l uo sfaitmoutboenente ndre	|-⌫|--⌫|---|---|---|----⌫---|
uo s plait a	--⌫|----||
granz biens	----|----|
uosenporrauenir	--|-|----|----|
c heual iers seroi ziuscapo	-⌫-----⌫---|-----⌫|---||-|
filzse dex pl ait et	---|-|--|--⌫--|-|
seuos t ro uez ne pres	-|--|-⌫--⌫--|-|---|
damequidaiea itbesoig	---|--||--|-⌫-|-----|
desconseillie	------------|
la utreaid eapareil lie	|-⌫---|---⌫|-------⌫--|
lo rsoitseles	--⌫|---||---|
uosenreq uie re nt	--|-|---⌫---⌫--⌫-|
car totes anorsiafi e rent	--|----|----||---⌫-⌫---|
quiasdamesanorne porte	--|-|----|---|-|----|
la soeamorsdoitestremo rte	-|--|----|---|----|--⌫--|
damesetpuce les seruez	----|-|----⌫--|-----|
siseroiz par	-|-----|--|
tota nor ez	--|-⌫---⌫-|
e ts eu os aucun eenproiez	-⌫|-⌫|-⌫-|-----⌫|-|-----|
gardezian e lie nnui ez	-----|-|-⌫|-|-⌫----⌫-|
deri en nul e	-|--⌫-|---⌫|
quilide splaise	--|-|--⌫------|
am outqui labaise	|-⌫--|--|-|----|
se lelobaisie r uosconsent	|-⌫-|-|------⌫|--|------|
tot l os orplusuo sen	--|-⌫|-⌫-----|--⌫|-|
sel eisierlo uolez pormoi	-|-⌫-----|-|----|--|--|
maiss ele aennel ensondoi	---||--||----|-|--|--|
ceintureasmoniere	-------|--------|
separamoro par	-|--|---||--|
lauosd one moutn	-|--|-⌫--|---||
eniert bel	-|---|--|
queuosenenporto iz son enn el	--|--|-|-------⌫-|--|---⌫-|
del anel prendreuosdoiggie	-||---|------|--|---|--|
et delaumosnierecongi e	-|-||---------|-----⌫|
biaxfilzencoruos uoil dire el	---|---|----|--|---|---|-|
enm eisonnen ostel	-|-⌫----||-|----|
naiel ongue mentco mpaignon	|--|-⌫-----⌫---|--⌫-------|
que uosnedemandezsonnon	--|--|-|-------|--|--|
son nonsachoizalaparsome	--|--|------||-|------|
non conoisten	--|------|-|
biaxfilza spreuz domez	---|---|-⌫|-----⌫----|
auecle spr eudom esale z	---|--⌫|--⌫-----⌫-|---⌫|
preuzd omnef orsconse illemi e	------⌫-|-|-⌫--------⌫---|--⌫|
caxquitien nent l orcompaig nie	--|--|----⌫---|-⌫-|-------⌫--|
rienuosuuil prier	---|--|---|----|
fil z caegliseetam ostier	---⌫|||-----|-||-⌫-----|
ale z priernostres eignor	---⌫|----|-----|-⌫-----|
doi nt onor	---⌫-|---|
uo si dointco n tenir	--⌫||----|--⌫-⌫----|
fin puisiezueni r	--|------|----⌫|
merefait ilquee st	---|---|-|--|-⌫-|
zz leuoenfa itlo	-|--||-|--⌫-|-|
celuiqu icielet	----|--⌫|---|-|
te rrefist	--⌫--|---|
ethomesetfa mes i mist	-|----|-|--⌫--||---|
etmost rie rqoifilz	-|----⌫---⌫|--|---|
b eleetsaintismes	-⌫--|-|---------|
decor sein z plaine	-|--|----⌫|-----|
etde tresors	-|-|------|
et s i sac refi enlocors	-|||---⌫----⌫||-|---|
ihesucristla	----|----|-|
pr ofetesainte	--⌫----|-----|
cui giu firent ho ntemain te	--|--|-----|--⌫--|----⌫-|
tr aizfuetiugi ezatort	--⌫--|-|-|----⌫-||---|
ets ofr iengoisede mort	-|-⌫---⌫|------|-|---|
porleshom eset porles fames	--|--|---⌫-|-|--|--|----|
q enen fer aloi ent	|-|--⌫--|----⌫--|
qante le spartoientdo cors	---|-⌫--⌫|--------|-|---|
e tcilles enregita fors	-⌫|--|--|-|-----|---|
p uisf ual estachel iez	-⌫--|-⌫|||------|-⌫--|
etbatuzetcrucif ie z	-|----|-|------⌫--⌫|
et portacoroned espin es	-|----|-----||-----⌫-|
poroirmes e set ma tines	--|--|---⌫-⌫|-|--⌫----|
etp orc elseignoraor er	-|-⌫-|-⌫-|------|---⌫-|
uo s loieaumo stie raler	--⌫|-|-|-|--⌫----⌫|---|
don ci rai	---⌫|-⌫--|
iemo utuolentiers	-|--⌫-|---------|
asyg lise setasmosti ers	-|--⌫----⌫|-|-|-----⌫--|
faitli ualezdoreen	---|-|----||--|-|
einsilou osmet	----|-|-⌫-|--|
at antsenpartsanz grantdemore	--⌫--||-|---|---|----|-----|
congie prentetla mere plore	-----|----|-|-|---|----|
quesa s elelif u	--|-|-⌫--|-|-⌫|
maniereeta	------|-||
fu apareillie z	-|----------⌫|
uns r euelinsauoi tchauc i ez	--|-⌫------|----⌫|-----⌫-⌫-|
et partotla o ilaloit	-|--|--|-||-|----|
yyiau e loz portersoloit	-|---⌫-⌫--|-----|-----|
l e siauelozs oloitporter	-⌫-⌫|------|-⌫----|-----|
len fistla	|-|---|-|
mere oster	---|----|
tr op se n blastga lois	--⌫-|--⌫-⌫----|--⌫---|
s i eu stele feztoztr ois	-⌫|--⌫-|--|--|--|--⌫--|
mout uo l entiers silpoistes tre	---|--⌫-⌫------||-|----|--⌫--|
uneroorteensa m eindestre	--|-----|-|-|-⌫--|-----|
porta porsoncheu al ferir	----|--|--|----⌫-|----|
plorantlob aiseau d epartir	------|-|-⌫---|-|-⌫------|
quimout ch ierl auoit	--|---|--⌫--||----|
et pr iedeuqueill auo it	-|--⌫-|--|--|-||---⌫-|
biax f il z	---|-⌫--⌫|
faitele dexuosdoint	---|--|--|--|----|
ioie pl usquilne men re mein t	---|--⌫-|-|-|-||-|--⌫----⌫|
queuosu e igniez	--|--|-⌫-⌫-----|
qantli ualezfuesloigniez	---|-|----|-|---------|
logietdunepierre	-|---||--|-----|
sisetrestorn eetuoitcheue	-|-|--------⌫|-|---|----|
samere au c hief dopont arriere	-|---|-|-⌫---|-|---|------|
e t gis tpasmee e n tel	-⌫|---⌫|-----|-⌫|--|
deuantlo pontcon	-----|-|---|--|
selfustmorte	|-|---|----|
et cilcilled elaroorte	-|--|----|-⌫|-|-----|
lochaceor par mila croupe	-|------|---⌫-|-|-----|
lic h euaxnechietnenecoupe	-|-⌫-⌫---|-|----|-|-|----|
ainzl enport eboene ale ure	---||------⌫|----|---⌫--|
pa rmi lag rant	--⌫--|-|-⌫---|
f orestoscure	-⌫----|-----|
etcheualche deslomatin	-|--------|--|-|----|
tantqueliiorzui nt	------|-|---|--⌫-|
auchant des oiselez	-|----|--|------|
selieueet monteli ualez	-|----|-|----|-|----|
sa a ucheu a lchier	||-⌫|----⌫-⌫-----|
tantq ueilu itzztref	-----⌫-|-|-⌫-|-|---|
enunepraierieb ele	-|--|-------|-⌫--|
sortdu ne fonte nel e	---||-⌫-|-----⌫---⌫|
q ui moutestoitbeleet coranz	-⌫-|---|-----|---|-|-----|
etlagraue lereluisanz	-|-|-----⌫-|--------|
litre zfu biaxa grantmerueille	-|---⌫|-|---||----|--------|
l unepartiefuuermeille	|--|-----|-|--------|
e tl au tre	-⌫||--⌫--|
uerzdorfr oisbend ee	---||----⌫--|----⌫-|
uneaigledor ee	--|----|---⌫-|
elpom elferoit	-|---⌫-|-----|
quimo u testo itcl e rsetuerma uz	--|--⌫-⌫|----⌫-|--⌫-⌫-|-|-----⌫-|
sicom illuisoi ta uma tin	-|--|-|------⌫|-⌫|--⌫--|
airs ertclers etserin	---|--|----|-|----|
sire luisoienttuitlip re	-|--⌫--------|---|-|-⌫-|
de l anlumineme n t	-||----------⌫-⌫|
entorlo trealaro ond e	----|-|--||-|--⌫---⌫|
qui estoitli plu sbiax do monde	--|-----|-|---⌫|---|-|----|
auoitrame eset foillie s	----|----⌫-|-|-------⌫|
et logesgal esches drecies	-|----|---⌫-----|------|
li ualezuers	-|----|---|
lo tre f ala	-|---⌫|--|
etdi tainzqu il	-|--⌫|-----|-|
parue n istla	-----⌫-⌫--|-|
des or uo i	---⌫-|--⌫|
ie uost re meson	-|----⌫-|----|
orferoieiedesreso n	-|-----|-|-------⌫|
seaorer ne uosalo ie	-|----|-|--|---⌫-|
uoirditmamere toteuoie	---|--|-|---|---|---|
quime d it	--|-|-⌫-|
que mos tiersestoit	--|---⌫----|-----|
bele chosequisoit	---|----|--|---|
qu eianetrouase	--⌫|-|-|------|
aorern alas e	----||----⌫|
locri at orancui	-|---⌫--⌫-|-|--|
pr i ereparfoi	--⌫-⌫--|--|--|
queme doi nte ncui	--|-|---⌫-|-⌫---|
q ueien auroiegrant	-⌫-||-|-----|----|
lorsuie nt autre fsel troueouert	---|---⌫-|-|---⌫|-||----|----|
de denzletreszz litcouert	--⌫---|-|---|-|--|-----|
d unecouted e	|--|----|-⌫|
paile uoit	----|---|
ellittote sole	-|--|---|---|
unedamoiseleendormie	--|--------|-------|
maispresest oit	---|---|---⌫--|
saco mpa ignie	-|--⌫---⌫----|
q alees e rentsespuceles	|----|-⌫---|--|------|
porcoillirfloretesnouele s	--|------|-------|------⌫|
enzzuergieriluecmoutpres	-|-|------|----|---|---|
s enaportoien ta gra n tfes	|-|---------⌫||---⌫-⌫|--|
queporlotrefionchieruol oient	--|--|-|---|-------|---⌫----|
issi co nferelosoloient	---|--⌫|---|-|-------|
qan t liualez	---⌫|-|----|
otre fentra	|---⌫|----|
secheuaxs i fort acopa	-|-----|-⌫|---|----|
que ladamoisselel	--|-|---------||
sisesueilla ettre ssa i lli	-||-------|-|---⌫---⌫-⌫--|
dureme nt esbahie	------⌫-|------|
quelee rtsanz	-|--|-⌫-|---|
compaignie	---------|
etli ualez	-|-|----|
quimin cesfu	--|---⌫--|-|
dit puceleieuos	--|-----|-|--|
sicom mamerelem apri st	-|--|-|---|-||----⌫-|
mameremensaigna	-|---||-------|
q uel es pucelessaluase	-⌫-|-⌫-|------|------|
enque l que leuie le s	-|---⌫-⌫--|--|-|--⌫|
lap uc elede poo rtra nbl e	-|-⌫--⌫--|-|---⌫|---⌫---⌫|
por loualet	--|-|----|
quifollisenble	--|--|-|-----|
sisetien t por fole p rouee	-|-|----⌫|--|---|-⌫----|
decequesole la	-|-|--|---|||
u aletfaite le	-⌫---|---|-⌫-|
t ientauoie	-⌫--|-|---|
f uiquemesamisne	-⌫-|--|--|---|-|
ainzuosba iseraipar mon chie f	---|--|--⌫-----|--|--|----⌫|
faitli ualez	---|-|----|
cuiquil soitgrief	----|-|---|----|
ai nzqueie departe	--⌫----|-|------|
iene dotp a s tant uostreami	-|-|--|-⌫-⌫|---|-----|--|
redotcuiqu e il	----|-----⌫|-|
ainzuos bese re	---|--|----⌫-|
orendr oit	------⌫--|
le mensaigna	-||-------|
faitlapucele	---|-|-----|
q ueiepuisse	-⌫-|-|-----|
fui queme s amisnetetruise	--|--|--⌫|---|-|-|-----|
tu ie smo r z	-|--⌫|--⌫-⌫|
liualeza uoitlespoinzf o rz	-|----|-⌫---|--|----|-⌫-⌫-|
s il e nbra ca mout u i teme nt	-⌫||-⌫----⌫-|---|-⌫-⌫----⌫-|
car ilnelsot fereautrement	--|-|-||--|---|--------|
ettres totesafor ceam ise	-|----⌫---|-|---⌫-||-⌫--|
si quecontreterrel a	-|--|-----|----|||
el iut sozl it oteestendue	-|--|--|-⌫|-⌫--|-------|
s i s este le mou tdeffen due	-⌫||--|-⌫-|---⌫|------⌫--|
ettressailliquanquele pot	-|---------|-----|--|--|
maisdeffensemestierni ot	---|-------|------|||-|
queliua lezen zz r andon	--|-|--⌫--|-|-|-⌫----|
lab eseuolsis teleonon	-|-⌫--|------⌫|--||--|
yy fo i zsi co m li c ontesdit	-|--⌫-⌫|-|--⌫|-|-⌫----|--|
t an tc u n anel ensondoi uit	-⌫--⌫-|-⌫|---|-|--|--|--|
a une esmeraude mout	|--|--------|---|
encorfaitilmeditma	----|---|-|-|--|-|
qenuostre dollanel	|-|-----|--||---|
maisq u erienplusneuos feise	-----⌫-⌫|---|---|-|--|----|
orcalanel ieluoil	-|-||---|-||---|
mo nanel n a urastu ia u oir	--⌫|---||-⌫---|-|-|-⌫--|
faitlapucele bienl o	---|-|-----|---|-⌫|
saforcedodoi nel marac h és	||----|-|--|-|||----⌫-⌫--|
liualez pa r	-|----|--⌫|
lo poi ng la prent	-|---⌫-|-|----|
aforcelesdoiz	|----|--|---|
sial anel en so n	-|||---|-|--⌫|
etel soendoi	-|-|---|--|
meesmesmis	------|--|
pucelebie n	-----|---⌫|
or men ira iiebienpaiez	-||-|---⌫|-|---|----|
etmoutm eillorbaiser	-|---|-⌫-----|-----|
uo sfa i t	--⌫|--⌫-⌫|
quechanberierequeilait	--|----------|--|-|--|
en totelamesonmam ere	-|---|-|----|-|-⌫--|
quen auezpas	--||---|--|
laboch eemm ere	-|----⌫|---⌫--|
et cele lia ditualet	-|---|-||--|----|
nenportezp asmona nelet	|-------|-⌫-|--|-⌫----|
quei anseroie malbaillie	--||-|-----|---------|
enpe r driezlauie	-|--⌫-⌫----|-|--|
qu eq uil tardastiel te pramet	--⌫--⌫|-|------|-||-|-----|
liualezasoncuer	-|----||--|---|
rien nule deqanqueil	---|---|-|-----|-|
mai sdece que	---⌫|-|-|--|
mor o it de	---⌫-⌫-|-|
unbocel troeue plaindeuin	-|----|-----|----|-|--|
etunhanapd argentselonc	-|-|----||-----|-----|
et uoitsor	-|---|--|
zztroseldeionc	-|-----|-|---|
uneto aill e	--|--⌫----⌫|
blancheetnoeue	------|-|----|
silasozlieué etdesoztroeue	-|||--------|-|----|-----|
yy pa stezde cheuriautoz	-|--⌫---|-|-------|--|
n e lianuiapas	-⌫|-|----|--|
porla faimqui	--|-|---|--|
formen tlangoise	------⌫||------|
und espastezdeuant	-|-⌫-|-----|-----|
etmaniuepargra nt talent	-|-----|--|---⌫-|-----|
etuerseenze lhanapdargen t	-|----|--|-⌫|----||-----⌫|
del uinqui	--|--|--|
n estoitmielaiz	|-----|--|---|
senboitsouent etagra nzt raiz	|-|---|-----|-||---⌫-|-⌫---|
e tditpucele cist pa ste	-⌫|--|-----|---|--⌫--|
neseront hui parmoi	-|-----|--|--|--|
uen ez mengierqu il sont	---⌫-|------|-|-|---|
saurachau cu ns	|---|----⌫--⌫-|
assezdos ue n	----|-|-⌫--⌫|
r emanrazz toz entier s	-⌫-----|-|--|------⌫|
etcele plore endema ntiers	-|---|----|------⌫-----|
q uequec illaprieets emo nt	-⌫----|-⌫-|-|---|-|-⌫---⌫-|
etcelez z mot nelire spont	-|---|-⌫|--|-|-|--⌫----|
ai nzplo re tandrementet fort	--⌫-|---⌫-|---------|-|---|
etdurementsespoin zdetort	-|-------|--|----⌫|-----|
etcilmaniatant	-|--|----|---|
comlui plot	--|--|---|
etbuttantqu eassez en ot	-|--|------⌫|----|-|-|
et puisco u rilerem anant	-|---|--⌫-⌫-|-|---⌫----|
et pri st con giede	-|---⌫-|---⌫--|-|
mai n tenant	---⌫-⌫-----|
etcoma ndaa	-|----⌫--||
c ui s es saluzpas ne nbeli	-⌫-|-⌫-|----|--||-⌫----|
sautfaiti lbeleamie	---|---|-⌫|---|---|
etporde uneuospo istil	-|--|--⌫|-|--|--⌫--|-|
deuostreanel	-|-----|---|
se ielenport	-|-||-----|
car ainzq uemuire	--|-----⌫-|----|
leuosguer redonere gie	-|--|----⌫-------|--|
iemenuoisau o stre congie	-||-|---||-⌫-⌫---|-----|
etceleplor ee tditqu eia	-|---|----⌫|-⌫|--|--⌫|-|
adeu ne locomandera	|--|-|-|--------|
car i l licouendra p or lui	--|-⌫|-|-------|-⌫-|--|
soffrirgra nt	------|---⌫-|
p aineegra ntanui	-⌫---||---⌫-|---|
quetantnenotnule	--|---||-|-|---|
neiapar lu it antcom	-|-|--|--⌫|-⌫--|--|
nenauras ecorsne	|-|---|-⌫----|-|
sisachebi en quil l a traie	-|----|--⌫-|-|-|||----|
einsir emestcel eplorant	----|-⌫----|---⌫|------|
puisnal agaires demorant	---||--⌫|-----|-------|
amisd ob ois	---|-⌫|-⌫--|
delualetquisa	--|----|--|-|
uit lesescloz	--|--|-----|
ets amie ploranttroua	-||---|------|----|
etditda m oiseleie croi	-|--|--⌫-⌫-----|-|---|
ac ezens aignesqueci uoi	|-⌫-|---⌫-----|--|-|--|
quecheualiera euc i	--|--------||-|-⌫|
nonas ireie	--||-⌫--|-|
maisunualetgalois	---|-|----|-----|
ennu io xetuil ain et sot	----⌫--⌫|-|---⌫--|-|--|
d eu ostreuinbeu	-⌫|-⌫----|--|--|
tantcomlui	---|--|--|
u ozyypastez	-⌫-|-|-----|
etporce belesiplorez	-|--|-|---|-|-----|
sileustbeuetmengie ́	|-|---|--|-|------⌫|
trestout si	-------|-|
louolsisegi e	-|------|--⌫|
mesani ax est enlaquere le	--|---⌫-|--|-|-|-----⌫-|
lo m a tolu silenpo rte	-|||---|-||----⌫--|
ieuolsisemiauzest rem orte	-|------|----|---⌫-|-⌫---|
quilleneust issiporté	-|-||-|---|---|-----|
ezuosceluidesconforte ́	-|--|----|-----------⌫|
eta ngoisox enson	-|-⌫------|-|--|
parfoifaitil ciotoltrage	--|--|---|-|-|-|------|
etde squillenportesila it	-|--⌫--|-||------|-||-⌫-|
maisiecuit qu i li	---|-|---|-|-⌫||
otpl us fait	-|--⌫-|---|
seplusiotne l	-|---||-|-||
parfoi fait	--|--|---|
eleil meb aisa	--|-|-|-⌫---|
besau oiren el diiebie n	---|-⌫---|-⌫||-|-|---⌫|
fumalaoitg remi en	-|------|-⌫-|--⌫-|
aincois uossist etsiuos	------|--|---|-|-|--|
conquesnul con treditn	|-----|--|---⌫-----||
icee st bie n choseseue	--|-⌫-|---⌫|----|---|
ora uez uosu ostreeise eue	-|-⌫--|--|-⌫----|---|--|
fe tcil cuiialo sie angoise	--⌫|--|--|----⌫--|------|
cuidiezque	------|--|
ie neuosconois e	-|-|--|------⌫|
sifazcertesbienuosconois	-|--|-----|---|--|-----|
nesui si broinesnesi	-|--|-|------|-|-|
que uostrefauset ene	--|-----|------⌫|-|
entreeestesen ma l euoie	-----|----|-|--⌫-⌫|---|
eten trauailet en g ra ntpeine	-|-|------|-|-|-⌫--⌫-|----|
que ianemengera daueine	--|-|-|------||-----|
uostrecheuax nen	-----|-----|-||
i ertsaig niez	-⌫--|----⌫---|
tant queiem	----⌫--|-||
en seraiuengiez	-|----|------|
et laoildesferrera	-|-||-|---------|
iamais referrez neser a	-----|-------|-|---⌫|
siurez apie	-----||--|
nei amaisneser ont changié	-|-⌫----|-|---⌫--|-------|
lidrapdomuos	-|---|--|--|
estesues tue	----|---⌫--|
a inzm esiuroiz apie et	-⌫--|-⌫|------||--|-|
tantq uelateste	-----⌫-|-|----|
e nauraiprise	-⌫|----|----|
ian enfera iautre	-||-|----⌫|----|
atan tsasiste tsimania	----⌫||----|-⌫|-|----|
etli ualeztantcheua lcha	-|-|----|---|-----⌫---|
u ncharbonieruenant	-⌫|---------|-----|
u nas ne deua ntluimena nt	-⌫|--⌫-|----⌫-|--|----⌫-|
ui l ains f aitile nsoignemoi	--⌫-⌫---|-⌫--|-|-⌫------|--|
quil asne maignesdeuanttoi	--||---|------|-----|--|
laplus droiteuoieacardoil	-|---|-----|---||------|
li rois artus	-|---|----|
queu eoir uo il	--|-⌫---|--⌫-|
ifai t cheualierscedit len	|---⌫|---------|-|--|--|
ualet faitilenicestse n	----|---|-|-|----|--⌫|
aun chaste lsor merasis	|-|------⌫|--|--|---|
lo r oi artu biax dolza mis	-|-⌫-|---|---|---|-⌫--|
li eetdolantitro ueras	--⌫|-|-----||---⌫----|
a celchastels etu i	|--|------|-⌫|-||
ormed ir astu	-|-|-⌫--⌫-|-|
iamon uuel	-|--|---|
de c oiliroisa ioieetduel	-|-⌫-|-|---||---|-|---|
i e l tediraifaitil	-⌫||-|----|---|-|
mo ut tost	--⌫-|---|
lir oi s artu sototes	-|-⌫--⌫|----⌫||---||
sestaur oi rion	|--|-|-⌫-|---|
l iroisd e s illesfuueincuz	-⌫|---|-⌫-⌫|----|-|------|
et d ecest liro is	-|-⌫||--|-|--⌫-|
etd esescompaignonsir iez	-|-⌫|--|----------|--⌫--|
queauchast el	--|-|-----⌫-|
sedepartir ent	-|--------⌫--|
laole meillorse ior uir ent	-||-|------|--⌫--|---⌫--|
nilneset co mmantil	|-|-|--|--⌫----|-|
ce estlidelsqueliroisa	-|--|-|---|--|-|---||
ualez neprisezzd enie r	----|-|----|-|-⌫----⌫|
lesnoue les au charbo nier	--|----⌫--|-|------⌫---|
forstantquen l auoie ene ntra	---|-----|-|-⌫|---|-|-⌫---|
celepartoil limostra	---|---||-|-|-----|
t antq ue so rmeruit zz chastel	-⌫----⌫-|--⌫|--|--|-|------|
moutb i enseantet	---|-⌫-⌫-|----|-|
for tetbe l	---⌫|-|--⌫|
et uoitissirparmi	-|---|----|----|
unc heuali e rar m équipo rte	-|-⌫------⌫-⌫|--⌫-⌫-|--|--⌫--|
unecoup ed ore nsa	--|----⌫||-|-⌫|-|
salance tenoit etson frein	-|----|-----|-|--|----|
etson es cua lasenestr e	-|--|--⌫-||-|-------⌫|
et lac o u pedor aladestre	-|-|-⌫-⌫-⌫-||-||-|-----|
etsesar m esbienliseoient	-|--|--⌫-⌫-|---|-|------|
quitot es uermeil le ses toient	--|---⌫-|-------⌫--⌫|--⌫-----|
liuallezuitle s	-|-----|--|--⌫|
armes beles	----|----|
estoientnoueles	-------|------|
siliplorentetdit	-|-|------|-|--|
cestesdeman derai	-----|-----⌫----|
si les medone	-|--|-|---|
b iaumenie rt	-⌫--||-|--⌫-|
dahezaitquia utre sl iquiert	----|--|--|-⌫----⌫|-⌫|-----|
at antuerslo c hastiaus e ncort	--⌫--|---|-|-⌫------||-⌫|---|
quetartli es tquilu iegn e a	--|---|-|--⌫|-|-|-⌫----⌫||
tantquepresdelcheualier	------|---|--|--------|
et lich eualiersl e deti nt	-|-|--⌫-------|-⌫|----⌫-|
u npetit si	-⌫|----|-|
l idemand a	-⌫|------⌫|
ouirastuualet diua	-|---|-|----|---|
ieuoilfet il acor taler	-|---|--|-||---⌫|---|
auroiu o zarmes deman der	-|--|-⌫-⌫|----|-----⌫--|
ualetfai til	----|---⌫|-|
tu ferasbien	-|----|---|
tostettostreuien	---|-|---|-----|
ett antdira saumauuaisroi	-|-⌫--|----⌫|-|------|--|
seilneuiautten irdemoi	-|-|-|----|---⌫-|-|--|
sate rrequeil	-|--⌫--|--|-|
oilenuoit qui ladeffende	|-|-----|--|-|-------|
uers moi qui dique	---|--|--|-|--|
eleestm oie	--|--|-⌫--|
etacez an saignes	-||--|--⌫------|
te n c roie	|-⌫|-⌫---|
qued euant liprisorendroit	--|-⌫----|-|---|--------|
atotle u i nque	|--|-|-⌫-⌫|--|
ceste coped orque ienpor t	----|---||-|--||-----⌫|
orquie re autrui	-|----⌫-|-----|
qui lirecort	--|-|-----|
qu ec ilniamotenten du	--⌫|-⌫-||||--|-----⌫-|
iusca la cortnaatendu	---||-|---|||-----|
o liroisetli cheualier	|-|---|-|-|--------|
estoientasisau m engier	-------|---|-|-⌫-----|
la salefupar terre au al	-|---|-|--|----|--⌫-|
et liualezentre ach eual	-|-|----|----||--⌫---|
enlasal equimoutful e e	-|-|---⌫|--|---|-|-⌫-⌫|
et longued emarbre	-|-----|-⌫|-----|
et liro isar tusest as is	-|-|--⌫-|--⌫--|--|--⌫-|
au chie fdune tabl e	-|----⌫||--|----⌫|
et tuit licheualier ma ni oient	-|---|-|--------|--⌫--⌫----|
asa utresparloient	-|-⌫----|--------|
forsliqui fupensisetm uz	---|-|--|-|-----|-|-⌫-|
liualezest auant uenuz	-|----|--|----|----|
mais ne setlo qu e l il salut	---|-|--|-|--⌫-⌫|-|----|
carlo roimie ne conut	--|-|--|--|-|----|
diuafaitil tu	---|---|-|-|
qui ca ui ens	--|-|--⌫--|
qui lo cos telantamein t iens	--|-|---⌫--|-|-|---|-⌫---|
m ostremoi liquexestlirois	-⌫----|--|-|---|--|-|---|
yuonezquimout fucort ois	-----|--|---|-|----⌫--|
li d istami sueez le l a	-|-⌫--|---⌫|---|-|-⌫|
li ualezcelepa rtala	-|----|---|--⌫-|--|
sinc o mil sot	--|-⌫-⌫|-|--|
pensasened itmot	----|-|-|-⌫-|--|
par f oifaitli ualez	--|-⌫-|---|-|----|
cistroisnefistcheualier	---|---|-|---|--------|
co mmen tporroit cheual ier	--⌫----⌫|------|------⌫--|
qantennenpoetparole	---|-||-|---|-----|
ta ntostdel retorner satorne	--⌫----|--|-------||-----|
lechief deson	-|----|-|--|
mais s ipresdo	---|-⌫|---|-|
roilotmené	--||-|----|
aguisedomemalsen é	|----||--|------⌫-|
