oeztrestuitunnouauc onte	--|-------|-|----|-⌫---|
la zunshomspenduz	--⌫|--|---|-----|
martins ales crizentenduz	------||--|---|-------|
biens euenttu itq u es ecoruz	---|-⌫----|--⌫-|-⌫-⌫|-⌫-----|
seron tquarnoutpoin tdem oré	-----⌫|---||--|----⌫|---⌫---|
martin zz poio ré	-----|-|--|-⌫--|
ilec et soroi sondi ta	---|-||----⌫--|--⌫||
lemortresusc i ta	-|---|------⌫-⌫-|
enc el tenscedit	-|-⌫-|---|-|--|
l i es toi re s	-⌫|--⌫---⌫--⌫|
est o itmorta t o rss ain t lidoires	---⌫-⌫-|---||-⌫-⌫-|-⌫---⌫|-------|
quiarc euesques o utesté	--|---⌫-------|-⌫-|----|
lo rauoitapresté	--⌫|----|-------|
mar ti nsifulorsesleuz	---⌫--⌫|-|-|---|-----|
aar ceuesquemesme uz	|--⌫-------|--|--⌫-|
nepe ustestrede sigl ise	-|--⌫--|----|-||---⌫--|
iu squeui nt a	--⌫---|--⌫-||
luipar faint is e	--|--|-----⌫--⌫|
unsqu idistquetel maladie	--|--⌫|---|--|--|------|
auoitsafamequ e deuie	----|-|---|--⌫|-|--|
n i au oi tmesatendement	||--⌫--⌫|--|---------|
lorsuin tmartinshasti uement	---|---⌫|------|-----⌫-----|
leche minquec il limostra	-|---⌫--|--|-⌫-|-|-----|
mesgen tac heual	--|---⌫||-⌫----|
qui totmai ntenant	--|--|---⌫------|
lesesir ent	-|-----⌫--|
etiusquators	-|----||---|
menerl enf irent	----||-|-⌫----|
q uantli pueplesfu	-⌫---|-|------|-|
chescunque	------|--|
seilcestu ipuent auoir	-|-|-----⌫|----|----|
nouchangeront	|-|---------|
por nulauoir	--|--|----|
li e ue squ equii	-|-⌫--⌫---⌫|--||
delu iplusdire ne	-|--⌫|---|---|-|
forsqueleiz	------|---|
iertet uesteure	---|-|-------|
auoit s al eet che ueleure	----|-⌫--⌫|-|---⌫------|
neireetlaide	----|-|----|
etformentmes l ee	-|------|---⌫-⌫-|
parpoi quilnorentla	--|--|-|-||----|-|
dopoeplequiestoi tuenuz	-|-----|-||-----⌫|----|
contreluisiert	-----|--||---|
toz tempstenuz	--|----|----|
lieuesquesdomans	-|-------|-|---|
defen soroutnom si auint	-----⌫--|--|--|-|----|
que cilquilal econ dutleire	--|--|--|-|-⌫---|--|----|
enliglise ne saiousere	-||-----|-|--|-||--|
alezde dir re sitard a	---|-|---⌫-|||----⌫|
zz c lersen zz	-|-⌫---|-|-|
sau tiergarda	---⌫---|----|
sialepremier uers leu	-||-|------|---|--|
quisus defensor e st cheu	--|--|-------|-⌫-|---|
d euer slexpo sic ion	-⌫----⌫||----⌫---⌫--|
estoitune parole	-----|--|-----|
parquoidef ensoretsa iue	--|---|---⌫----|-||-⌫--|
destruit etcon fu ndu seront	-------|-|---⌫--⌫--|-----|
l o rs s esc rie ntq uileferont	-⌫-⌫-||---⌫---⌫-|-⌫||-|-----|
arce uesquedesus son	----⌫-----|----|--|
ci luit bienquese	--⌫|--|---|--|-|
lo rdonotquilno lesseroient	--⌫|----|-|-|||----------|
si leuol t puisqui lleuol oient	-|-|---⌫|-----|-⌫|-|---⌫----|
ein si out cilla rceuesquie	---⌫-|--|--||-⌫---------|
toutem paiz etpuis	---|-|---|-|---|
yyanzmoltsai ntement	-|--|---|---⌫------|
ets enauoi troondement	-||-|----⌫|---------|
yyquantesleu	-|----|----|
lior ent si	||--⌫--|-|
nonc poricene se mua	|--|--|--|-|-|--|
qua rcelerobe	---⌫|---|---|
queilauoit deuant	--|-|----|-----|
einsisest en lui aparue	----||--|-|--|-----|
come d euanthumilitez	---|-⌫----|--------|
et p atience	-|-⌫------|
etc haritez	-|-⌫------|
quiil molt	--|-|---|
lui ueer grant	--|---|----|
malli feso it	--|-|----⌫-|
et porc efistune chapele	-|--|-⌫|---|--|------|
qu eleno r mermosti er apele	--⌫|--|-⌫|--------⌫-|----|
defust fufei te samaison	-|---|-|---⌫-|-|-----|
si fure nten t ote seson	-|----⌫-|-|-⌫--|----|
moinne s tout a tere	------⌫|---||---|
nulsqu i eustpro pre	---|--⌫|---|---⌫--|
nu lsni uend oitneachat o it	--⌫-|||----⌫--|-|-----⌫-⌫-|
ne mene s terex ni estoit	-|----⌫-⌫----|||-----|
forses criu ai nne horsaloien t	---|--⌫----⌫--⌫|-|---|------⌫|
delorporp r iseettuit menioient	-|--|----⌫-⌫--|-|---|--------|
ensemblesanznuledemore	-------|---|---|-----|
encorn estoi ta	----||-----⌫||
nus deusqu ieu st	--||--|--⌫|--⌫-|
silneustmalad es	|-||---|-----⌫-|
ilequespr esd e	------|--⌫-|-⌫|
outzz temple da ntiquite	--|-|-----||-⌫-------|
o ule sgen z m olt	-⌫|--⌫|---⌫|-⌫--|
souuent aloient	------|------|
aor oisonsquaril	|--⌫-----|---|-|
quidoie nt	-------⌫-|
queaucunsmart irs	--|-----|----⌫--|
mesn i auoit nusquiseust	--|||----|--|--|----|
lauie de lui nelenon	-|--|-|--|-|-|--|
larceuesqueoi	|---------|-|
de ce leygliseetdou mart yr	-|--⌫-|-----|-|--|----⌫-|
auplust ostquilsepout	-|---|-⌫--|-|-|-|---|
desamaisonestdeualez	-|-|-----|--|------|
celmostierestalez	--|------|--|---|
suslatombemolt	--|-|----|---|
homblemen t	---------⌫|
priadieuq uedemostrement	---|---|-⌫-|-----------|
lifeistcomment	-|----|------|
estoitcilquiile cdelez	-----|--|--|---⌫|----|
estoitenterrez despieca	-----|-------|--|----|
quantpr iédi euune pice	----|--⌫--|--⌫-|--|---|
ilequ e sueue	-----⌫-⌫|---|
quimoltestoit leideet	--|---|-----|----|-|
il laconi ur e quellidie	-|-|----⌫--⌫|-|-|-|--|
etsonnomettoutesauie	-|--|--|-|----|-|--|
loreslidi t queilauoit	----|-|--⌫|--|-|----|
estélerre s	----|-----⌫|
et sil auo it	-|-||---⌫-|
p endupor sonmeffe t	-⌫---|--|--|-----⌫|
q ueila uoi tilecmeffet	-⌫-|-|-⌫---⌫|---|-----|
ci lquiifu r en t bienoire nt	--⌫|--||--⌫-⌫--⌫|---|----⌫-|
lauoizmeslamepas ne ui rent	-|---|--||--|--|-|--⌫---|
d ileca l autelfet oster	|---|||----|--|----|
larceuesques etacoster	|----------|-|------|
afeitlapier re a unepa rt	|---|-|----⌫-||--|--⌫-|
et m ain tenant d	-|-⌫---⌫-----||
ile c separt	---⌫|-|---|
puis encontragenzquialoi ent	---|-------|---|--|----⌫--|
quizzsarrazinmortportoie nt	--|-|-------|---|-------⌫-|
enzzli tporlui enfoir	-|-|--⌫|--|--|-----|
lar ce uesques	|--⌫--⌫------|
quiuolto ir	--|---|-⌫-|
queil port oient le sseigna	--|-|----⌫----|--⌫|-----|
la g entpo r luinesede igna	-|-⌫--|--⌫|--|-|-|--⌫---|
ar es ter seele peust	--⌫--⌫--|-|--|----|
an us quise meust	|-⌫-|--|-|----|
qui lido nnasttot	--|-|--⌫----|--|
lor do mon de	|-|-|---⌫-|
enuironluialaroo nd e	------|--||-|---⌫--⌫|
torneren tsanzoutrepa ss er	--------⌫|---|----|--⌫--⌫-|
me scil quin elesu outlasser	--⌫|--|--|-⌫|--|-⌫--|-----|
les aseigniezs isenalerent	--||-------|-⌫||-|------|
etle corsoeus	-|-|---||--|
emport e rent	------⌫-⌫---|
a uchasteau d ambaizeraui nt	-⌫|-------||------|----⌫-|
quelia rceuesque la uint	--|-|-⌫--------|-|---|
sia zzlorte mpleabatu	-||-|--|--⌫---|----|
par poiqueiln e l ontbatu	--|--|--|-|-⌫||--|---|
porce quiluoltlor pin ab atr e	--|-|-|-|---|--|--|--⌫---⌫|
soloie nt e sbatre	------⌫-|-⌫-----|
zz desp aiens	-|--|-⌫----|
li recriout	-|-------|
q uesensondieuta nt sefi ou t	-⌫-||-|--|---|--⌫-|-|--⌫--⌫|
q u eil s ouz	-⌫-⌫|-|-⌫--|
lepins e me ist	-|--|-⌫|--⌫--|
ianelerr oitquil	-|-|----⌫--|-|-|
c hoere tqu ilne le	-⌫---|-⌫|-|-|-|-|
ets ondieulorsledefendist	-|-⌫-|---|---|-|--------|
s ilpeust q uil nefu sttuez	|-|----|-⌫|-|-|--⌫-|---|
larceuesqu e uitquehuez	|---------⌫|--|--|---|
s er oitseiln esi metoit	-⌫--⌫--|-|-|-⌫|||-----|
comcilq ui bie ncreanzestoit	--|--|-⌫-|---⌫|-----|-----|
dista upa ien quill	---|-⌫|--⌫--|-|-||
e t ciliurequ il le f endra	-⌫|--|---|-|-|-|-⌫----|
totm aintenant silaf en du	--|-⌫--------|-|||-⌫--⌫-|
et martinsl a	-|------|||
bien atendu	---|-----|
mes si tostcom	--|-|---|--|
iluoltchoer	-|---|----|
susl uie ti llepout	--|-⌫-|-⌫|-⌫|-|---|
croizfistlesigne	----|---|-|----|
lipi nsset orneet si	-|--⌫-|-|-⌫---|-|-|
si fortceluiquiletr ein cha	-|---|----|--|-|--⌫---⌫--|
q uepar poidex nes	-⌫-|--|--|--|-||
lisarrazin	-|-------|
tuitsesbahirent	---||---------|
dumi racle q uant il leuirent	-|--⌫----|-⌫---|-|-|-----|
siont tuitlor	-|--|---|--|
dieu renoié	---|------|
etsesontilec	-|-|---|---|
d unautre templ e	|-|----|-----⌫|
qu iardoit	--⌫|-----|
lifeusd ont pointneseg a rdoit	-|---|-⌫--|----|-|-|-⌫-⌫----|
sepristenlamaison	-|----|-|-|-----|
martinsquicel e oeure mol tcouste	------|--|---⌫|----|---⌫|-----|
sus l amaison mont ez	--|-⌫|-----|----⌫-|
lors lifistdex	---|-|---|--|
s igran t bontez	-⌫|----⌫|-----|
uerslefeu se	---|-|--|-|
mainten ant to z	-------⌫--|--⌫|
l i feuscessa	-⌫|---|----|
a leuroussicomilsoloit	|------|-|--|-|-----|
destruireuoloit	--------|-----|
meslip aiensne li soffrirent	--|-|-⌫----|-|-|---------|
ainzle batirentetleidirent	---|-|-------|-|--------|
m ar t inspresdilecs enrepeire	-⌫--⌫-⌫--|---||---||-|------|
enge uneencendreeten	-|--⌫--|-|-----|-|-|
setintetdam edieuproia	-|---|-|---⌫----|----|
tant quedescie uclienuoia	---|--|--|---⌫-|-|-----|
q uiarme ́estoie n t	-⌫-|----⌫|------⌫-⌫|
etlance s etes cuz tenoient	-|-----⌫|-|--⌫--|-------|
qui li dis trentqu	--|-|---⌫----|-|
alastarriere	----|------|
poracheue r sueurepremiere	--|------⌫||----|-------|
quardexle s auoi te nu oiez	---|--|--⌫|----⌫|-⌫--⌫---|
po r lui garde rdesrenoiez	--⌫|--|-----⌫|--|------|
lor sialasilabatit	---⌫||--|-||-----|
mes n us despaiensn oba tit	--|-⌫-|--|-----|||--⌫--|
sorentbien queaiue	-----|---|--|---|
liestoitd ep a rdieu	-|-----|-⌫|-⌫-⌫|---|
sisontabaptesme	-|---||-------|
tuiten sembleioene etchenu	---|--⌫-----|----|-|----|
qu antilue rso stum depec a	--⌫--|-|--⌫-|-⌫---|-----⌫|
untemplezzp aiensedreca	-|-----|-|-⌫---|-|----|
t reitele spee nue	-⌫----||-⌫---|--|
martinala teste tendue	-----||-|----|-----|
porrec euoir tantostmartire	--|---⌫----|------|------|
li p aiensq uif orm ent saire	-|-⌫----|-⌫-|-⌫---⌫--||---|
hauc ele br azpor mieu z	----⌫|-|--⌫-|--|----⌫|
me sdexquiles biensseitmerir	--⌫|--|--|--|----|---|----|
fi stlepaien choera	--⌫-|-|----|----||
sifortquedopoingli desse r re	-|---|--|-|----|-|-----⌫-⌫-|
etuoleaunepart l	-|---||--|---||
lorslia mercideman dee	---|-||----|-----⌫--|
lipaiensquifut	-|-----|--|--|
et so u t qu ilout estétra iz	-|--⌫-⌫|-|-|--|----|---⌫-|
sicomilym agresbr isout	-|--|-|--⌫----|--⌫----|
quimoltsep r isout	--|---|-|-⌫-⌫----|
trest soncouteaupor luiocir e	----|--|------|--|--|----⌫|
ne nes outq uilde uint	-|-|-⌫--|-⌫|-|--⌫---|
etceuirent gent plus	-|-|-----|---|---|
atr eu esuint e n alama igne	|--⌫--⌫-|---|-⌫|-----⌫---|
euesquesou t gr antco mpaingne	-------|--⌫|--⌫--|--⌫-------|
quila estoientas semblé	--|-|-------|--⌫------|
lauintdeuantlui	-|---|-----|--|
enemb le ́	-|---⌫--⌫|
qui chaer s elessa	--|----|-⌫|----|
piez nen esecessa	---|-|-⌫|-|----|
defeiredueln e deplorer	-|----|---|-⌫|-|-----|
pri asanzdem orer	---⌫|---|---⌫---|
de luipitiee ust	-|--|----|-⌫--|
etqu il alastsili pleust	-|-|-|----|-|-|-----|
une puce le uisiter	--|----⌫-|------|
quisaf ill e iert et fo rs giter	--|-|-⌫---⌫|---|-|--⌫-|----|
del enfermeteq uelea uoit	-||--------|-⌫|--|-⌫---|
certainement sauo it	-----------|----⌫-|
queleen seroitpar	-|--|-|-----|--|
s i ert eliasiconreee	-⌫|--|-|-|-|------|
quelne menias tnene	-|-|-|------⌫|-|-|
nemembreleuerquele	-|-----|----|-|--|
nulema niere	---|--⌫----|
l arc euesquese treit	|---⌫------|-|----|
et lidistque	-|-|---|--|
fol la mena	--||-⌫---|
quilne stpass i dignes	-|-||-⌫-|--|-⌫|-----|
lepoo ir d et elcure	-|---⌫-|-⌫|-⌫-|---|
liperesquinese	-|----|--|-|-|
p out teire	-⌫--|----|
de feireson duel ne	-|----|--|---|-|
e nuironma rtingra nt	-⌫-----|--⌫---|---⌫-|
pre sseout	---⌫--|--|
d euesquesquilon t t antprié	|-------|--||--⌫|-⌫--|----|
queau prodomme a	--|-|-------||
qui liiro it	-|-⌫||---⌫-|
l a pucelequ i lemala	-⌫|-----|--⌫|-|--||
seiutausicoms elfust	-|--|---|--||-|---|
etli pueplesho rsdela	-|-|------|--⌫-|-|-|
m iracleuo eir	-⌫-----|--⌫--|
e st m a rtinslessiéchoeir	-⌫-|-⌫-⌫----|------|-----|
a terre etdeuant tozora	|----|-|-----|--|--|
mesguere ilecne demora	--|----|---|-|-----|
quilal amalad e esgard ee	-|-||-⌫|-----⌫|------⌫-|
o eiledeman dee	-⌫---|-----⌫--|
silointetpuis lab e neis t	-||---|-|---|-|-⌫-⌫----⌫|
lorslordist q ue len lifeist	---|--|---|-⌫-|--|-|----|
zzpetitet ourirlabouche	-|------|----|-|-----|
totmaintenan tquil iatouche	--|---------⌫|-|-||------|
luile lifut rend ue	|---|-|--|----⌫-|
l a parol equeleout perdue	-⌫|-----⌫|-|--|--|-----|
apres lesmembres	----|--|------|
l i bailla	-⌫|-----|
etta nt ostsanznulef aillea	-|--⌫--⌫--|---|---|-⌫----||
telsant eeue	--|----⌫|--|
quellecondui tiusque nla	-|-|-|------⌫|----|-⌫|-|
sestoitenzz hommefichiez	|-----|-|-|----|------|
quiestoito tet radien	--|-----||---⌫-----|
lesgenzlorentmis en	--|---||----|--|-|
quiln elesmeheingnast	-|-|-⌫|--|----------|
martin pri ent	-----|---⌫--|
q u eildeignast	-⌫-⌫|-|-------|
porluiaiuer	--|--|----|
quarnusnele	---|--|-|-|
soutremuer	---|-----|
p or cequeil les	-⌫-|-|--|-|--|
u oloit mordre	-⌫----|-----|
etsi negardoitpasenord re	-|-|-|------|--|-|---⌫-|
le quel mordi stp remierement	-|---|-----⌫-|-⌫----------|
tetra dien s de uotemen t	-----⌫----⌫|--⌫-------⌫|
s il empria	-⌫||-|---|
mes martins	--|------|
bi enl ide ueia	--⌫-|-⌫|--⌫---|
q uilniraquartoteres on	-⌫|-||--|---|---|---⌫-|
deffententreren la meson	------|-----|-|-|----|
a p aienesco mm en ié	|-⌫---|----⌫--⌫--⌫--|
lipaiensli	-|-----|-|
tostcom garizser a	---|--|----|---⌫|
s itostbapti zier s efera	-⌫|---|-----⌫---|-⌫|---|
l or snelipout	-⌫--⌫|-|-|---|
mart infaillir	----⌫-|------|
sifist ledeable	-|---|-|-----|
etempresb a pt eia	-|-----|-⌫-⌫--⌫--|
lautreeinsi coml	|----|----|--||
e ncel chasteau e n ce lter mine	-⌫|--|-------|-⌫|--⌫|---⌫---|
futenunemesonperrin e	--|-|--|----|------⌫|
martins entrez	------|-----|
ledeableetbi enconneu	-|-----|-|--⌫-|-----|
l orsc oni uracequillauit	-⌫--|-⌫---⌫--|-|-|-|-|--|
quilsen alas tetcilrauit	-|-||-|----⌫|-|--|----|
quiltro uade de nz	-|-|---⌫-|--⌫--⌫-|
lorsfiert de p iezetmortd edenz	---|----|-|-⌫--|-|---|-⌫|---|
t oute lagentqu eilectreuue	-⌫---|-|---|--⌫|---|-----|
martinslicort ainzqu	------|-|---|-----|
ilse meuue	-|-|----|
sesdoiz e nlagol e	--|---|-⌫|-|---⌫|
et lid itde	-|-|-⌫-|-|
cez te saoule	--|-|-----|
et silesdeuore	-|-|--|-----|
lors li corut olesdenzsor e	---|-|----||--|---|---⌫|
porle mordrese il	--|-|-----|-|-|
pout lorss iseust	---|---|||----|
paroufoi r ilsenfoist	--|-|---⌫|-||-|----|
iene cuitque meshom	-|-|---|--|--|--|
de ableme nersiestroit	--⌫---|--⌫--|-|------|
q uil letenoitente lde stroit	-⌫|-|-|-----|-|--⌫|--⌫-----|
qu entelfiletcomest la soie	-|-|--|----|--|--|-|---|
lefistsaillir emmi	-|---|------|---|
lorsfutla gent totetro blee	---|--|-|---|---|---⌫---|
qu a rlen lordistquenla	--⌫-⌫|--|--|---|-|-|-|
estrangegen t uenirdeuoit	-------|---⌫|----|-----|
qu i lalorc hose empor teroit	--⌫|-|--|-⌫---|-----⌫-----|
zzdemo niaque a m an dé	-|----⌫-----||-⌫--⌫--|
m artinssiliademandé	-⌫-----|-|-||-------|
ertuoirque la	--|---|--|-|
gentdisoient	---|-------|
cil lidist q ueuenu	--|-|---|-⌫-|---|
yydeable amenacier	-|-----||-------|
la gentporluid	-|---|--|--||
ilec chacier	---|------|
si queiam es ni	-|--|---⌫-|||
seior nast	-----⌫---|
ainco isq ue lagents	-----⌫---⌫-|-|---||
qui outla t raiso noi e	--|--|-|-⌫-----⌫|--⌫|
fu lauiletoteesio ie	-|-|---|---|----⌫-|
apa risdedeuant la p orte	|--⌫--|-|-----|-|-⌫---|
a trou ézz	|----⌫-|-|
m es eauquipo rt e	-⌫--⌫--|--|--⌫--⌫|
ens amain uneta rtarie	-|-⌫|---|--|--⌫-----|
quimolt iertdeffetsiliprie	--|---|---|-----|-|-|---|
qu i liaiutporsa	-||-|---|--|-|
mar tinslesaigneet p uisle bais e	---⌫---|-|-----|-|-⌫--|-|----⌫|
e ndesdeignast	-⌫|----------|
ni anul quine s	|||--|--|-||
enseingnast	-|--------|
quetelch os eout	--|--|--⌫--⌫|--|
e tl im eseausa receue	-⌫|-⌫|-⌫-----||-----|
sanctepor ce qu illebeisa	-----|--|-|-|-|-|----|
etfei tas genz	-|---⌫|-|---|
mai ntgrant	---⌫-|----|
ce quedesa robeonttrou é	-|--|-|-|---|--|----⌫-|
qu ar maintefoizfutesproué	--⌫-|-----|---|--|-------|
q ue quantlimalade	-⌫-|----|-|-----|
itouchoient	|---------|
sai nt antosts	---⌫|-⌫-----||
e n aloient	-⌫|------|
sainzhomiertet bonscrestiens	----|--|---|-|---|--------|
zzpreuostquiarboriens	-|------|--|--------|
etout uneto use	-|--|--|--⌫--|
qui sa f illeiertmesan goissouse	--|-|-⌫---|---|--|--⌫--------|
fut mol tdelafieure quartaine	--|---⌫|-|-|-----|--------|
larceuesque cele	|---------|---|
unes leitresli e nuoia	---|------|-|-⌫----|
cel soirqu ela	--|---|--⌫|-|
tousebroia	----|----|
lafieur equi fo rmen tl a ngoiss e	-|-----⌫|--|--⌫----⌫||-⌫------⌫|
liperesquioutgrant	-|----|--|--|----|
sussonpizmislesleit res a	--|--|--|--|--|----⌫--||
si tost com ele	-|---|--|--|
estla fieu re depar tie	--|-|----⌫-|-----⌫--|
lors alat ouse asa pa rtie	---||-|-⌫---||-|--⌫---|
es le ueu i rg init e	--⌫--⌫-|-⌫-⌫--⌫----⌫|
li pe resiusque n la cite	-|--⌫--|----|-⌫|-|---|
larceuesquela	|---------|||
qu i totmainten antla uela	--⌫|--|-------⌫--|-|---|
p a ulinsqui	-⌫-⌫----|--|
ou t moltgrant dolor	--⌫|---|----|----|
en l ueil sique	-||---|-|--|
n ule coulor	-⌫--|-----|
nenc onnoi ssoit qu eune taye	|-|-⌫-----⌫----|--⌫|--|---|
audesusquitot le ncom brout	-|----|--|--||-⌫----⌫----|
mart in sante	----⌫-|----|
et re couurees aueu e	-|--⌫------|-⌫|---⌫|
einsicom mart ins	----|--|----⌫--|
de sa mesonzz	-|-|----|-|
quim oltiertmala deua ler	--|-⌫--|---|--||----⌫--|
qu antiluolt	--⌫--|-|---|
au mostieraler	-|------|---|
siestdou degreiuscheuz	-|--|--|----|--|----|
agrant peines enestmeuz	|----|----||-|--|---|
tantfu blecie z	---|-|------⌫|
et deplaie z	-|-------⌫|
oncporcene futesm aiez	--|--|-|-|--|---⌫---|
ainzs eiutetserepo sa	---|-⌫|--|-|-|----⌫-|
mes m olt petitde r eposa	--|-⌫--|----|-|-⌫---||
mala desensamaladi e	----⌫--|-|-|------⌫|
et ihesu cristquipas no ublie	-|----|----|--|--||-⌫----|
lessiens lanuitl ien uoia	--|----|-|---|-⌫|--⌫---|
zza ngrequi li neptea	-|-⌫---|--|-|-----|
sesplaies et o oignem e nt	--|-----|-||------⌫-⌫-|
li oins tleco rsmoltdou cement	-|----⌫|-|--⌫-|---|---⌫-----|
siqui l liasan te do nnee	-|-|-⌫|-||---⌫-|--⌫---|
d esesplaiessanzquartenee	-⌫|--|-----|---|--------|
demaxi melemper eor	-|----⌫-||-----⌫--|
oren t li euesquepoor	----⌫|-|------|---|
mainte foizq u il	-----|---|-⌫|-|
mallo rfeist	--|--⌫|----|
s i n io ut n ulqui	-⌫|||-⌫-|-⌫-|--|
afa i requamqueil uoloit	|--⌫-⌫-|------|-|-----|
mes quantamartinriens to loit	--|----||-----|----|--⌫---|
ouquantil s iert	-|----|-||---|
do sienpaiez	-|---|----|
iapar ma rtinnen	-|--|--⌫---||-|
seilseustque to tuen dist	-|-|----|--|--⌫|---⌫---|
ainz limandoutque to st rendi st	---|-|------|--|--⌫-|-----⌫-|
ieustplusatendu	|---|---|-----|
si liestoittantostren du	-|-|-----|------|---⌫-|
grant forcea	----|----||
o lui s ifurent arren gie ́	|--|-⌫|-----|-----⌫---⌫|
euo dessis o ncl es et lifrer es	---⌫--|--|-⌫---⌫-|-|-|----⌫-|
l empere rizet lemperieres	|------⌫--|-||---------|
etlarceuesqueresaisistre nt	-||---------|-----------⌫-|
euode setliautre d istrent	-----⌫|-|-|----|-⌫------|
auchapelain queil sassie	-|--------|--|-||----|
si est assis	-|--|----|
etla me snie	-|-|--⌫---|
se ruitde q uan qu ilc onuenoit	--⌫---|-|-⌫---⌫-|-|-⌫-------|
empereor tenoi t	-------|-----⌫|
zzualezqui pa sn e s acoupe	-|----|--|--⌫|-⌫||-----|
ensa mainuin enune coupe	-|-|---|--|-|--|----|
l aco upeie rt dor bien	-⌫|--⌫--|--⌫-||-|---|
li emperieres la	-|---------|||
amartinmesquantbeu a	|-----|--|----|--||
lacoupetan tostrenduea	-|----|---⌫---|-----||
auchapelainquisesoeit	-|--------|--|-|----|
carn u lsihaut	--|-⌫-⌫|-|---|
neni uoeit	--||----|
cilqui fu rent	--|--|--⌫---|
senmeru eilli erent	|-|----⌫-----⌫----|
me stotesfoiz plusl	--⌫|----|---|---||
enpris i erent	-|----⌫-⌫----|
maximesoc heualerie	------||-⌫--------|
de uoit alerenlo mbardi e	--⌫---|---|-|--⌫------⌫|
po r ualentinienmeff eire	--⌫|----------|----⌫---|
ma rtin lidistdecelaffeire	--⌫---|-|---|-|--|------|
quesiliue t	--||-||--⌫|
premier eme nt	-------⌫---⌫-|
l eueincra mes desra einement	-⌫|------|--|-----⌫-------|
uain cuzetmorssera	----⌫--|-|---|---|
cilditquen o ulessera	--|--|--||-⌫|------|
queiln iauten	--|-|||--|-|
sauin tsicomditoutesté	|----⌫|-|--|--|--|----|
omarti n li	|-----⌫|-|
angr eparlerent	----⌫|--------|
mainte s foiz et leso lacierent	------⌫|---|-|-|--⌫--------|
nesathan tant nes en seust	-|-----|---|-||-|----|
il n el a perceust	-|-⌫||-⌫-------|
zzior ne sa i doniluenoit	-|--|-|--⌫|--|-|-----|
meszz grantcorde bu ef tenoit	--|-|----|--|-|--⌫-|-----|
ensamaintotens anglent é	-|-|---|--|---⌫-------⌫-|
amartinadit	|-----||--|
quezzdessiens	--|-|--|----|
ma r tin tozl essiens espia	--⌫-⌫--|--|-⌫-|----|----|
poruoeirs e tui t	--|----|-⌫|---⌫|
ies toient	|--⌫-----|
lorslidi s tre nt	---|-|--⌫-⌫---⌫-|
q ueil auoient	-⌫-|-|------|
p or buchezzcharetier	-⌫-|----|-|--------|
puis so n ts usuersleboism on té	---|--⌫-⌫|-⌫-|---|-|---|-⌫--⌫--|
sitr ouent lomme	-|--⌫----||---|
en zztrespas	-|-|------|
me sil moru teneslepas	--⌫|-|----⌫|--------|
zz de a ble sle con u eia	-|--⌫-⌫---⌫|-|---⌫-⌫--|
mai n tesfoiz	---⌫-⌫--|---|
etli ent ica	-|-|---⌫--|
quetoz ses moinnesho rs	--|--|--|------|--⌫-|
qua rnusni	---⌫|--|||
p echieou quifeitne leust	-⌫----|-|--|---|-||---|
sigrant queil ne	-|----|--|-|-|
iamesauoir co nfe ssion	----|----|--⌫---⌫----|
quaria naurarede mpc ion	---|-||---|----⌫---⌫--|
nushomtant	--|--|---|
b onne teiche	-⌫---|-----|
qui empresleb apt esmepeiche	--|-----|-|-⌫---⌫---|-----|
martin sau	------⌫|-|
sath anrespondoit	----⌫-|---------|
quilmen to it quar c hescunhom doit	-|-|---⌫--⌫-|---|-⌫-----|--|---|
de son pechie estrec onfes	-|--|-----|----|-⌫----|
etrepentant et tout	-|--------|-|---|
descha rgieretia	|-----⌫----|-|-|
puisr est ez	---|-⌫---⌫-|
ne se roittant	-|--⌫---|---|
fu stendetez	--⌫-|------|
deable promet oit	-----|------⌫--|
plusnesen tremetoi t	---|-||--⌫--------⌫|
den uire et	-|-⌫---|-|
boen r epe ntement	---|-⌫---⌫------|
eust qu edexau	---|--⌫|--|-|
i u gement	-⌫-⌫-----|
mercidelu iau oi rp orr oit	----|-|--⌫|--⌫--⌫|-⌫---⌫--|
et olessiens tost l eto rroit	-||--|----|---|-⌫|--⌫----|
de bienfeirelesermo nno t	-|---|----|-|-----⌫---⌫|
etsisa i bienqueil onc	-|-|--⌫|---|--|-|--|
dece troué auct orite	-|-|-----|----⌫----|
mes u olentiersl	--|-⌫--------||
eust ge t é	---|--⌫-⌫-|
desonpechies eilpeust	-|--|-----|-⌫|-|----|
et sea damlede up leust	-|-||-------⌫|-⌫----|
clers refu tzzboenioennepre stres	----|----⌫|-|---|-----|---⌫----|
s iploutmoltsa uieets i s estres	-⌫|----|---|-|--|-|-⌫-⌫|-----|
al arc e uesqueselretint	||---⌫-⌫-----|-||-----|
mesg ue res o luines etint	--|-⌫--⌫--||--|-|-⌫|---|
e in z fistmeson en zzuergier	-⌫--⌫|---|----|-|-|------|
pr esdelu i	--⌫-|-|--⌫|
herbergier	---------|
oumaintesmoin nesassembla	-|------|----⌫--|-------|
zz en iuintquimoltse mbla	-|-||---|--|---|--⌫---|
u mblesestre et pacient	-⌫----|----|-|------|
ana thoile smonescient	---⌫------⌫|--|------|
atozapelerse	|--|-----|-|
neded irene s eteisoit	-|-|-⌫--|-|-⌫|------|
quangres a luipa rlentsoue nt	-|-----||--|--⌫----|----⌫-|
et zzior lor	-|-|--|--|
queihesu cr istblan cheuesteure	--|----|--⌫--|----⌫--|-------|
