carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
l iq ue n srol lantad lenseignefe rme e	-⌫|-⌫--⌫-⌫|---⌫---|-||-------|--⌫---⌫|
ensuruntertrecuntre	-|--|-|-----|-----|
lecielleuee	-|---|----|
francse herbergentpar tute	----|-|---------|--|---|
lacu ntre e	-|--⌫----⌫|
pa ien che ualchent	--⌫--|---⌫-------|
parc ez greig nursualees	--|-⌫-|-----⌫---|-----|
halbercsuestu z e tresbienfermeez	-------|-----⌫||---|---|------|
healmeslacezecein tes lurespees	------|----||----⌫--|--|-----|
escuzascolselancesadubee s	----|-|---||-----|------⌫|
enunbruill parsum lespuis remestrent	-|-|-----|--|--|--|---|---------|
yy miliea tendentlai urnee	-|----|-⌫------||--⌫----|
deusquel dulurquel ifranc eis	---|---|----|--|-⌫|-----⌫--|
ne lseue nt	-||----⌫-|
tresuait l eiur l a	-------|-⌫|--|-⌫|
noitest aseri e	---|--|-----⌫|
carle ssedort liempereres	-----⌫|-|---|-|--------|
sun i atqui leretalgreignurs	---⌫-⌫-|-|-⌫|---|-|--------|
porz d e sizer	---|-⌫|----|
entre sespoin zteneitsa h anstefraisnine	----|--|----⌫|-----|-|-⌫----|--------|
guesn es li	-----⌫-|-|
quensla dsur luisaisie	----||-⌫|--|--|-----|
part el airl	--|-⌫-|--||
ates tru sseee brandie	-|--⌫---⌫---||------|
lece l en uolentles escic les	-|--⌫|-|-----|--|-----⌫--|
carl ess e	----⌫-|-⌫|
dortquilnesesueilletmie	---|-|-|-||--------|--|
ap res ices tealtreauisiun suniat	--⌫--|----⌫-|----|------|-----|
quilenfr ance	-|-|-|--⌫---|
sa capeleadais	-|-----|-|--|
el destre b razlimorstunsu erssimals	-|-----|-⌫--|-|----|--|-⌫--|-|---|
deuersardene uit uenir u ns leuparz	-----|-----|--|----|-⌫-|------|
s uncorsdemen iemultfierem entasalt	-⌫-|---|-----⌫-|---|------⌫--|----|
d enz desale uns u el tresaual at	|--|-|---|--|-⌫--⌫---|----⌫-|
a carle s le	|-----⌫|-|
galopse lessa lz	-----||--|--⌫-|
ladestr eoreillealpremer uertrenchat	-|-----⌫|------|-|-----|--|-------|
i ree ment secumbat	-⌫---⌫---|-|-----|
d ie ntfran ceisque grantbataille	-⌫--⌫-|----⌫---|--|----|-------|
ilne s euent liquelsd	-|-|-⌫----|-|----||
carlessedort mie	-----|-|---|--|
n e sesu e illat	-⌫||---⌫-⌫----|
tres uait l anoi t eapertla	----⌫---|-⌫|---⌫||----|-|
parmi celhost	----|--|---|
liem pereresm ult	-|--⌫------|-⌫--|
fierement cheu al c het	--------|----⌫--⌫-⌫--|
seignu rsbar onsdist	------⌫-|---⌫--|---|
liemperere car les	-|-------|---⌫--|
ueezlesporzeles destr eizpassages	---|--|---||--|-----⌫--|-------|
ka rme iu gez ki ert	--⌫|-|--⌫--|-|--|
en larereguarde	-|-|---------|
guenes respuntrolla ntcistmie nsfil las tre	-----|------|-----⌫-|---|---⌫-|---⌫---⌫--|
n auez baron	|---|----|
desigrant u asselag e	-|-|----|-⌫-------⌫|
li r eisfierement lereguardet	-|-⌫--|--------|-|--------|
sili ad dituo sestes uifs dia bles	-|-|-|--|--⌫|----|---|---⌫---|
elcorsuosesten tree mortelrage	-|---|--|--|--⌫---|-----|---|
ekiserat deuantm eienlan s gua rde	|-|----|-----|-⌫-|-||--⌫-⌫---⌫--|
guenesr e spuntoge rde denemarche	-----|-⌫-⌫----|---⌫|-|---------|
nauezba run	|---|--⌫--|
kimi elzdeluila facet	-|--⌫--|-|--|-|----|
l ique nsrollantquantils	-⌫|---⌫-|------|----|-||
oit i uge r	--|-⌫---⌫|
parlé daleide cheualer	------⌫||--|-|-------|
s ireparastremult uosdei	-⌫--|-------|---|--|--|
la reregua rdeauezsur meiiu giét	-|-------⌫--|---|--|--|--⌫----|
n iperdratcarleslireis	||------|-----|-|---|
men escient re palefr eidnedestrer	--|-------⌫-|------⌫--|-|------|
nemul nemule	-|--|-|---|
qued eietcheualcher	--|-⌫---|---------|
ne n i pe rdrat ne	-|||--⌫----|-|
run cinne su mer	---⌫--|-|--⌫--|
quea sespe e s neseiteinze slegie ́t	--|-⌫|----⌫-⌫|-|---|---|-⌫------⌫-|
guenesrespunt ueirdite s iolsaibi en	-----|------|---|----⌫|-||--|--⌫-|
qu antotro llantquil ert	--⌫--|-|--⌫----|-|-|--|
e nlareregua rde	-⌫|-|-------⌫--|
ireement parlatas u nparastre	-------|-----||-⌫-⌫|-------|
ahic uluert	--|-⌫-----|
maluaishomdep ut aire	------|--|-|-⌫-|---|
le guantmecaist en laplace	-|----|-|----|-|-|----|
cumefista tei le bastundeuantcarle	---|---||--|-|-----|-----|----|
dreiz e m pereredistrollan tlebarun	----|-⌫-⌫-----|---|------⌫|-|----|
d unezme ilarc que uos tenez	-⌫---|--⌫||--|--|--|----|
menescientre nel m er e proueru nt	--|--------|-||-⌫|-⌫-⌫-------⌫-|
queilme che detcu mfist aguenelun	--|-|-|---⌫--|--⌫|---||-------|
de samain destre	-|-|---|-----|
liemperer es entint sunch e f enbr un c	-|-------⌫-|-|---|--|--⌫-⌫|----⌫--⌫|
sid uistsa barbee	-|-⌫---|-|----||
detoerstsungernun	-------|--|-----|
ne poetmuer qued es oilz nepl urt	-|---|---|--|-⌫-|---|-|--⌫--|
anpres icoiestnei mes uenud	-----|--||--|---⌫--|----|
meillo r uass aln	------⌫|----⌫-||
out enlacurtd e	--|-|-|---|-⌫|
edistal reibenl	|---|-|--|--||
auez enten dut	---|-----⌫--|
liquens r ollantil	-|----|-⌫-----|-|
estm ultir ascut	--|-⌫--|--⌫----|
l arere guardees t	-⌫|----⌫-----|--⌫|
iugee surlui	----|--|--|
n auezbaron	|---|----|
kiiamais laremut	-|-----|-|----|
dune zli l a rcqueu os auez	----⌫|-||-⌫-|--|-⌫-|---|
silitruuezk itresbienl i	-|-|-----|-⌫|---|---|-⌫|
lireisliduneterollant la	-|---|-|----||------|||
li emp ere resapeletses niesr olla nt	-|---⌫---⌫--|-----|--|---|-⌫----⌫-|
b el siren iesor sauez	-⌫-|---|-⌫--|-|----|
u e iremen t	-⌫-⌫------⌫|
demimunhost uos lerrai	---|--|---|--|-----|
retenezles	------|--|
coestuostresalue men t	-|--|-----|-----⌫---⌫|
c oditliqu ens io nenfe rai	-⌫|--|-|--⌫--|-||-|--⌫--|
deu smecunfunde se lage st e en	---⌫|-|-------|-|-|--⌫--⌫|-|
yym iliefrancsretendrai ben	-|-⌫---|-----|--------|--|
u ail lanz	-⌫---⌫---|
pa sse zles po rz trestutsourement	--⌫---⌫|--|--⌫-|------|--------|
iamarcrend reznulhumea mun u iuant	-|--|-----⌫--|--|---||--|-⌫----|
li q u ensrollant est mun tétel de str er	-|-⌫-⌫--|------|--|---⌫---|-|--⌫---⌫-|
cuntreluiuientsiscumpainz oliuer	-----|--|----|--|-------|-----|
ui ntig erins e	--⌫-||-⌫----||
liproz quen sger ers	-|---|----⌫|---⌫--|
euintiotessi	|---||---|-|
euint iastors	|---||-----|
eans e isli ueillz	|---⌫-⌫-|-|-----|
uintigerartderossi llonli fiers	---||-----|-|-----⌫---|-|----|
ue nuzi estliriches	--⌫--||--|-|-----|
duxgaif iers	--|----⌫---|
distlarceu esq ueioira ipar munchef	---||-----⌫---⌫-|-|---⌫|--|--|---|
uoscodistli quensgualters	--|-|---|-|----|-------|
hom suirolla nt ion elidei fa ill ir	--|--|-----⌫-|-|-⌫|-|--|--⌫---⌫-|
esli sent yymilie	----⌫---|-|----|
cheu alers	----⌫----|
liquensrollantgualter del	-|----|------|------|-||
h um apel et	-⌫-|----⌫-|
pernez mil fra ncs de fra nce	-----|--|---⌫--|-|---⌫--|
nostretere	-----|---|
sipurper nezlesdes erz eles	-|------⌫--|--|---⌫--||--|
quel em pereren is undes	--||--⌫-----|-⌫-|-|--|
suens ni p erdet	----|||-⌫----|
respuntgualte rpuruos l edeiben	------|------⌫|--|--|-⌫|--|--|
odmilfranceisde france	-|--|-------|-|-----|
gua lterdesrenget lesdest r e ize l este rtres	---⌫---|--------|--|----⌫-⌫-⌫-||-⌫-|--⌫----|
nen descendra t purmaluaisesnuueles	|-|---------⌫|--|--------|------|
e nceisqu e nseient yyespe es	-⌫------|-⌫|-----|-|----⌫-|
reis al maris	---|--⌫----|
del regnedebe lferne	--|----|-|--⌫-----|
unebataillelur liu r atlei ur p esme	--|-------|--|---⌫-⌫-|-|-⌫-|-⌫---|
halt sun t lipuie	---|---⌫|-|--||
li ualtenebrus	-|--|-------|
lesrochesbisesles d estreiz	--|-----|----|--|-⌫------|
merueill us	--------⌫-|
leiurp asse rentfran cei s	-|--|-⌫----⌫---|----⌫---⌫|
agrantdulur	|----|----|
e not homlarimu r	-⌫|-|--|-|----⌫|
puisqu eiluenent	------⌫|-|-----|
alatere maiur	|-|---|----|
u irentguascuigne later elurs eignur	-⌫----|---------|-|---⌫|--|-⌫-----|
dunclere me m bret de s fiusedeshonurs	---|-|--⌫--⌫-⌫---|--⌫|---||--|-----|
edes pulcele	|--|------|
edesgentilzoixurs	|--|------|-----|
ce lnenia d kidep itet	--⌫|--||-⌫|-|-|-⌫---|
sur tuzles alt res est carlesanguissus	--|--|--|---⌫--|--|-----|--------|
e spaigneadlessét sun ne uold	-⌫------|-|------|--|--⌫---|
pitetlenprentnepoet	----||-|----|-|---|
muernenplu rt	---||-|---⌫-|
liyypersunt	-|-|--|---|
remes enespaigne	----|-|-------|
yymiliefrancsunte n lurcumpaigne	-|----|-----|--|-⌫|--|--------|
pourne demuri r	---|-|-|----⌫|
li empe re res enrep airet e nfrance	-|----⌫--⌫-||-|---⌫----|-⌫|-----|
suzsunmantel e n fait	--|--|-----|-⌫|---|
lacuntenance	-|---------|
deiu steluil iduxneimesche ualchet	----⌫--|--|-⌫|--|-----|---⌫------|
alreidequeiauezpesance	-|--|-|---|---|------|
car lesre spun ttort fait kilm ede m a nde t	---⌫--|--⌫----⌫|---|---|-||-⌫|--⌫-⌫-⌫---⌫|
si gr antdoelai ne puism u e r	-|--⌫--|---|-|-|---|-⌫-⌫-⌫|
nelpleigne	-||------|
parguenelun sera t destr uite	--|-------|----⌫|-----⌫---|
enoitmauint	----||----|
un aui siundangele	-|---⌫---||-----|
que e ntre mes puinzm edepecoutmahanste	--|-⌫---|--|----|-⌫|-------|-|-----|
iu gétmis nes alarereguarde	--⌫---|--|--||-|---------|
iolaile ssétenuneestrange	-||-|--⌫----|-|--|-------|
iol pertia	-||---|-|
n en aurai	|-|----|
carleslimagnes nepo etmuern	-----|-|-----|-|--⌫-|---||
fra ncsp ur luiuntgra n ttendrur	---⌫--|-⌫-|--|--|---⌫-⌫|------|
e de roll ant	|-|----⌫--|
meru eilluse p our	----⌫------|-⌫--|
guenslifelse n a d	----|-|---|-⌫|-⌫|
faittr ai sun	---|--⌫--⌫--|
delreipaienen a d	--|--|----|-|-⌫|
oudgranz duns	--|----|---|
oreargentpalies e ciclatuns	-||-----|-----||--------|
muls eche ua lsecameilze	---||---⌫--⌫-||------||
marsiliesmandet d	--------|-----||
espai gne les bar uns	-----⌫--|--|---⌫--|
cuntesuezcuntes eduxealm acurs	-----|--------||--||---⌫----|
lesami rafleselesfilzascunturs	--|---⌫-----||--|---|-|------|
yy mi lie enaiustet en	-|--⌫--|-|------|-|
ensar ragucefaitsuner sestaburs	-|---⌫-----|---|----|--|-----|
mahumet leue nt en l a	------|----⌫-|-|-⌫|
plush al te tur	---|-⌫--⌫-|--|
n iadp aiennelprit ene	||-|-⌫---|-||---||-|
puissicheual chen t pa rmult	---|-|------⌫----⌫|--⌫|---|
grant c u nten cun	----|-⌫-⌫----⌫--|
la terecerteinee	-|---|-------||
lesualsel es m unz	--|---||-⌫-|-⌫--|
decelsdefrance	-|---|-|-----|
uirent lesgun fanun s	-----|--|---⌫-----⌫|
la rereguardedesyy cumpaignuns	-|---------|--|-|----------|
ne less eratbataille nelurdunt	-|----⌫---|-------|-|--|---|
l i nie s ma rsi lieilestuenuz auan t	-⌫|---⌫|--⌫---⌫--|-|--|----|----⌫|
surunmulet od	--|-|----|-|
unbastuntuchant	-|-----|------|
dista sununcle be lementen riant	---||--|----|--⌫-----|-|----|
belsirerei s io	--|---|---⌫|-|
s eruit tant	-⌫----|---|
sinai o ute	-||-|-⌫-||
p einese ah ans	-⌫----||--⌫--|
fa ites batailles e uencu esen	--⌫---|--------||-----⌫-|-|
dunezmun feu	----||-|--|
coestl e colpde rollan t	-|--|-⌫|---|-|------⌫|
io lociraia	-||-----||
mun espi ettrenchant	--|----⌫-|--------|
se ma humet m euoe lt estreguarant	-|--⌫----|-⌫|---⌫-|----|------|
detuteespaignea quiterailes pans	-|---|-------|-⌫-------|--|---|
des porz despaigne	--|---||-------|
entrequ a durestant	------||--------|
lasseratcarlessir ecrerru ntsif r a nc	--|----|-----|-|-⌫-------⌫-|-|-⌫-⌫-⌫-|
ianaure zmaisg uere	-||----⌫|---|-⌫---|
entutuostreuiuant	-|--|-----|-----|
lireism arsiliel e n	-|---|-⌫------||-⌫|
addunétleguant	-|-----|-|----|
marsiliestientleguantensun	--------|----|-|----|-|--|
ap eletde multfierer aisun	--⌫---|-|---|----|-⌫----|
belsire reisfaitm auez	--|---|---|---||---|
ungrantd un	-|----|-⌫-|
eslisezmeiyy de uozbaruns	------|--|-|-|--|-----|
simcu mbatrai as	-||--⌫------|-|
yy cumpaign uns	-|--------⌫--|
t utpr emereinl	-⌫-|--⌫------||
en re spuntfalsaron	-|--⌫----|-------|
frerealrei mar siliun	----|-|--|---⌫-----|
belsire snies e	--|----⌫|---||
io euosirum	-||--|---|
ceste bataille ue irement	----|-------|--⌫------|
larereg uar de delagranthost	-|-----⌫---⌫-|-|-|----|---|
ilestiugétq uenusles o cir um	-|--|-----|-⌫-|--|--|-⌫---⌫-|
reisc orsalisil est de l	---|-⌫------|-|--|-||
altr epart	----⌫|---|
barbari nse st	-------⌫-|-⌫-|
c ilad p arlét alei debon	-⌫-|-|-⌫-----||--|-|--|
l ordeuneuoltestrecuard	|-|--|-|---|----|----|
asuos poignantmalpri misdebrigant	-|--|-------|------⌫--|-|------|
plusc urtapietquene	---|-⌫--||---|--|-|
fa itu ncheua l	--⌫-|-⌫|-----⌫|
deu antmarsiliecils	---⌫--|-------|--||
escriet multhal t	------|---|---⌫|
io cunduir aimuncorsen rencesu als	-|-------⌫-|--|---|-|-------⌫--|
s etrui srollant	-⌫|----⌫|------|
nelerraiq ue nel	-|-----|-⌫-|-||
uns amura flesiadd e b alaguez	--|-----⌫---||-|-⌫|-⌫------|
cor sadmultgentele	---⌫|-|---|---||-|
pui squeilestsursunch eualmun tét	---⌫---|-|--|--|--|--⌫---|---⌫---|
mults e fa itfiersde	---|-⌫|--⌫-|----|-|
sesar mesport er	--|--⌫--|----⌫-|
de uassela ge es ti l benalo sez	-|-------⌫-|--⌫|-⌫|--|---⌫--|
fustchrestiensase z	---|---------|---⌫|
oust barnet	---|-----|
deuan t marsiliecile n	-----⌫|-------|--|-⌫|
es t escrie ́t	--⌫|------⌫-|
enr en cesuals	-|-⌫--⌫------|
iraim u ncors	---|-⌫-⌫|---|
se truis rolla ntde	-|----|-----⌫-|-|
mort serat	---|----|
e oli ueretuz	|---⌫--||--|
le sy y pers	--⌫|-⌫|---|
franceismurr unta do el	-------|----⌫--||--⌫-|
eau iltie t	||-⌫-----⌫|
carle slimagnes	-----⌫|-|-----|
uelz este redote z	---|--||------⌫|
recrean z ertdesaguerre	-------⌫|--|-|-|-----|
sin us r em eind rat espa igne en qu itedet	-|-⌫-|-⌫--⌫----⌫--|----⌫---|-|--⌫-----|
lireis mars i liemu ltl en	-|---|----⌫-⌫--|--⌫-||-|
ad merciét	-|-------|
unsalmacursi a dde moriane	--|-------||-⌫|-|------|
nadplusfelun	|-|---|----|
teredesp a igne	---||---⌫-⌫---|
deuantmarsil i eadfaite	-----|------⌫-⌫|-|----|
sa uant ance	-|----⌫---|
enrenc esualsguieraimacumpaigne	-|----⌫-----|------|-|--------|
yymilie adescuz	-|----|-|----|
rollantdemortli duins	------|-|---|-|----|
iamaisne r tiorque carl es nesepleignet	-----||-⌫-⌫|--|--|----⌫-|-|-|-------|
daltre part e stt urgis	|----|---|-⌫-|-⌫----|
deturtelu se	-|-------⌫-|
ci l estun s	--⌫|--|--⌫|
q ue nssiest lacitet sue	-⌫--⌫-|-|--|-|----|--|
de chrestiensuoel tfairemaleu ode	-|---------|----⌫|----|---|-⌫--|
deuantm ars ilie asaltressisaiu st	-----|-⌫---⌫---|-|-----|-||---⌫-|
codi s t a lreineu osesm aiezunches	-|--⌫-⌫|-⌫|--|-|-⌫-|---⌫---|-----|
plus ualtmahumqueseintperre	---|---|----|--|----|----|
selui seruez l	-|--|-----||
onurdelcampertno s tre	---|--|---|--|--⌫-⌫--|
enren cesual s	-|---⌫------⌫|
a rollantirai iuindre	|------|---|------|
nau r at guaran tisunpur hume	|--⌫-⌫-|------⌫----|--|---|
e speekieste bone elunge	-⌫---|-|--||---||----|
adu rendaliolam et raie ncuntre	|--⌫-----|-|-|-⌫--⌫--|-⌫------|
asezorrezla queleiratdesure	---|----|-|----|---|-----|
f ranceismurrun t si	-⌫------|------⌫|-|
anuss abandunent	|--||---------|
car le s li uelzaur at	---⌫--⌫|-|---|---⌫-|
edeolehunte	|---||----|
iamaisentere	-----|-|---|
ne porteracur one	-|------|---⌫--|
delaltrep a rtest	-||----|-⌫-⌫-|--|
escremizdeu alterne	-------|-|-⌫------|
sarrazinsestsiestsue latere	--------|--|-|--|--|-|---|
deuantmar siliesescrietenlapresse	-----|---⌫----||------|-|-|-----|
en r ence s ualsirailorgoill desfaire	-|-⌫----⌫-⌫---|---||------|-------|
se t roisrollantn enporterat la	-|-⌫---|------||-|-------|-|
neoliuerki lesal t r escad e let	-|-----|-|--|--⌫-⌫-⌫-|---⌫-⌫--|
liyype r tuitsun tiugeza	-|-|--⌫|---|---⌫|----||
f ranceis murrun te france en ertdeserte	-⌫------|------⌫||-----|-|--|------|
debonsu assalsau ra t	-|---|-⌫-----|--⌫--⌫|
carlessuff r aite	-----|----⌫-⌫---|
daltr epartestuns	|----⌫|---|--|--|
pai ensesturganz	---⌫--|--------|
estramarizi	---------||
est un so enscumpa inz	--|-|--⌫--|-----⌫--|
cilsuntfe luntraitursuduia nt	--|---|--⌫--|------|------⌫-|
codist mars ilies e ignur s u enezauant	-|---|----⌫---|-⌫-⌫-----⌫|-⌫---|----|
en ren c esuals irezas	-|---⌫-⌫-----|---|-|
p orz passant	-⌫--|------|
si aider eza	-|-----⌫-||
c onduiremagent	-⌫------|-|---|
e c ilresp un den t s ireauostr ecomandement	|-⌫-|----⌫--⌫---⌫|-⌫--||-----⌫|----------|
n usasaldrumoliuere rollant	-⌫-|-------|-----||------|
li y yperna uruntdemortguarant	-|-⌫|--||-⌫----|-|---|------|
nozespeessu n tbonese trenchant	--|-----|--⌫-⌫|----||--------|
nus le sferunsue rmei l les dechaldsanc	--|--⌫|-----|--⌫----⌫-⌫--|-|----|---|
f ranceis murrun t	-⌫------|------⌫|
carles e n ert dolent	-----|-⌫|--|-----|
terem aiuruo sme trum	---|-⌫---|--⌫|--⌫---|
en present	-|------|
uenezireissil uerrezueirem ent	----||---|-||-----|------⌫--|
l em pereoruosmetrume npresent	|--⌫-----|--|-----|-⌫|------|
curanti uin t mar ga riz	-----||---⌫|---⌫--⌫--|
ciltientlatereentrequ	--|----|-|---|------|
ascazmarine	-|--------|
pursab elt etdamesli suntam ie s	--|-|-⌫---⌫-|----|-|---|--⌫--⌫|
u eit uerslu ine s	-⌫--|---|--⌫|-||
esclargis set	---------⌫--|
leueitnepoet mue rne	-|---|-|---|---⌫|-|
niadpaiende	||-|----|-|
telch eualerie	--|--⌫-------|
presse s urlesa ltr essescriet	-----|-⌫-|--|-⌫---⌫-||------|
e distalreine	|---|-|--|-|
uos esma iezmie	--|----⌫--|--|
enrences ual sirairollant ocire	-|------⌫---⌫|---|------|----|
neo liuernenporterat	-|-⌫----||-|-------|
liyyp ersuntre mese nm arti rie	-|-|-⌫-|---|--⌫--|-⌫|-⌫----⌫--|
ueezmespee ki	---||----|-|
d orestenhe ldie	|-|--|----⌫---|
si la tramistli	-|-|------|-|
amiralz depr imes	------|-|--⌫---|
iouosp le uis q ue n uer meill	-|--|-⌫--⌫--|-⌫|-⌫|---⌫----|
sancert mi se	---|--|--⌫-|
fran cei smur r unte fran ce	----⌫---⌫|---⌫-⌫--||----⌫-|
uelzalabarbe f lurie	---||-|----|-⌫----|
iamaisn ert iurnquilnenaitdoel	-----||--|---|-|-||-|--|---|
iusqua unanauru mfrancesaisie	----||-|-|----⌫|-----|-----|
gesir porrum elburc de seint d enise	----|-----|-|---|-|----|-⌫----|
lireispaiensparfundementl enclinet	-|---|-----|-----------||-------|
delaltrepart est	-||----|---|--|
chernubl esde munigre	--------⌫-|-|------|
iosq ualater esicheu oel	----⌫||-|---⌫|-|----⌫--|
l ibali en t	-⌫|----⌫--⌫|
greignor faisportet pargiuquantils e nuei s et	-------|---|-----|--|--|----|-||-⌫----⌫-⌫-|
que yymulez n efu nt qu antil	--|-|----|-⌫|--⌫-|--⌫--|-|
ice l eterecodit dunil esteit	---⌫-⌫|---|-|--|--|-|-----|
ilu istne blet ni	|--⌫--|-|---|||
po et pascreistre	--⌫-|--|-------|
ichet ruseeniadeiset	|---|----|||------|
piere niadque	----|||-|--|
tute ne seitneire	---|-|---|----|
dient alqu anz quediables i	----|----⌫--|--|------||
meign e nt	-----⌫-⌫-|
ce di st cher nubles maboneespeeaicei nte	-|--⌫-|----⌫-----|-|---|----|-|---⌫--|
enrencesualsiolateindr aiuermeil le	-|---------|-|-|------⌫-|-------⌫-|
setrois rollantl iproz enm imaueie	-|----|------|-⌫|---|---⌫|-|---|
senelasaill	-|-||-----|
fazioquecreire	--|-|--|-----|
sicunquerraidurendal od	-|---------|-------|-|
franceis murr u nt e	-------|----⌫-⌫-||
france enertdeserte	-----|-|--|------|
a ice zmozliyy	|---⌫|--|-|-|
itelsy y miliesarr azinso dels mein ent	----|-⌫|----|----⌫----|-⌫|--|----⌫--|
bata il l e sargu en teha s t eient	----⌫--⌫-⌫||----⌫--⌫||--⌫-⌫-⌫----|
u un t s adu b er desuz une	-⌫--⌫||---⌫-⌫-|----|--|
pai en sadubentd esos bercssara zineis	---⌫-||------|-⌫-|--⌫----|----⌫-----|
tu itliplusuren sunt saraguzeis dublez	--⌫-|-|-----|-|---|---------|-----|
lacentlor elme s multbonssarraguzeis	-----|--|----⌫|---|---|----------|
ceignent espee sdelacer uian eis	-------|-----⌫|-||---|----⌫--|
escuzuntgenze s p iezualent i neis	----|--|---|-⌫-⌫-⌫--|------⌫-⌫---|
egunfanuns	|--------|
blancs ebl oise ue rmeilz	-----||--⌫--||--⌫-----|
lais sentlesmu lz e tuzles	----⌫---|--|--⌫-||--|--|
esdestrers	-|-------|
mun te ntsicheua lchentes treiz	---⌫--⌫-|-|-----⌫-----|--⌫----|
cler s futli iur z	----⌫|--|-|---⌫|
ebelsf ut lisoleilz	|---|-⌫-|-|------|
n untgu arnementquetutne r eflambeit	|--|--⌫-------|--|--|-|-⌫--------|
sunentmil graillesporc oque	-----|--|-------|--|-⌫|--|
plusbelseit	---|--|---|
granzest la	----|--|-|
l oi rentf ranceis	|--⌫---|-⌫------|
distoliu ersirecum painz	---|----⌫-|---|---⌫----|
dsa rrazi ns purumbat aille	|--⌫-----⌫-|----|---⌫----|
respontrol la ntedeus lanus otr ei t	------|---⌫--⌫-||---|-|--|---⌫--⌫|
bendeu unsciestre p ur nost r erei	--|---⌫--|-|----|-⌫-|----⌫-⌫|--|
pur sun seignordeit	--|--|------|---|
homs usfrir destreiz	--|-⌫-----|-------|
e en d ure r e granz c h alze	|--⌫-⌫---⌫||----|-⌫-⌫--||
g ranzfrei z	-⌫---|----⌫|
sindeitho m pe rd r e	-||---|--⌫|--⌫--⌫-⌫|
edel quire del	|--|---||--|
o rguartchascuns queg ranzco lpslempl eit	-⌫|----|-------|--|-⌫---|--⌫--||----⌫--|
quemaluaisecancunde nus c hantét	--|-------|-----|-|--|-⌫------|
pai enunttor t e	---⌫-|--|---⌫||
chrestiensunt dreit	---------|--|----|
maluaiseess ample	-------|---⌫----|
nen seratiademei	|-|----|-|-|--|
oliuer estdesur	-----|--|----|
unpui h aut muntez	-|--|-⌫--|-----|
guardetsuzdestreparm iun	------|--|-----|----⌫|-|
ual h erbus	--|-⌫----|
siueitu enircelege ntpaienur	-|---|-⌫---|---|--⌫-|------|
sinapelatrollantsuncumpaign un	-||-----|------|--|--------⌫-|
deuers espaigne ueiuenirtelb ru ur	-----|-------|--|----|--|-⌫--⌫-|
tanz blancso sberc stanz	---|-----|-⌫-----⌫|---|
elmes flambius	----|-------|
ici stferuntnos	---⌫-|-----|--|
f ranceisgrantirur	-⌫------|----|---|
g uenesle sout li fell i	-⌫----|-|---|-|--|-⌫|
kinusiug at deuantle mper eur	-|--|---⌫-|-----||-⌫----⌫--|
taisol iuerli quensrol lant r espunt	---|--⌫---|-|----|---⌫---|-⌫-----|
m isparrastreestneuoeill que moten suns	-⌫-|--------|--|-|-----|--|--|-|---|
oliu ere stde su runpui muntét	----⌫-|-⌫-|--⌫--⌫|-|--|------|
or ueit il be n d espaign ele regne t	-|---|-|--⌫||-------⌫|-|-----⌫|
esarr azins	|----⌫----|
kitantsuntasemblez	-|---|---|-------|
luisentcilel meki	------|--|--⌫-|-|
ad o r suntgemmez	-|-⌫|---|-----|
c ilosber cs safrez	-⌫-|-----⌫-|-----|
e cil espiez cilgunfanunfe rmez	|--|-----|--|-------|--⌫---|
eschelesne p oetilacunter	-------|-|-⌫--|-|------|
tantenia dquemesure	---|-||-⌫|--|-----|
e l ui meismeenes tmult	|-⌫-|-----|-|--⌫|---|
esg uarét	---⌫-----|
cumil einzpo u t de lpuiest	--|-|---|--⌫-⌫|--⌫|--|--|
uintas franceistut luradacuntét	---|-|-------|--|--|-|-------|
dist oliuerio	---|-----|-|
ai pai ensueuz	-|---⌫--|---|
uncmais n u lshom ente renen uit	--|---|-⌫-⌫-|--|-|--⌫-||-|--|
cilde u antsuntyymilie	--|--⌫-⌫--|---|-|----|
helmeslacieze	-----|-----||
blancs osbercsuestuz	-----|------|-----|
dreite scezhanste s l uisentcilespi etbrun	------⌫|--|------⌫|-⌫-----|--|----⌫-|---|
b ataillea urezunches m ais tel	-⌫------|-⌫---|-----|-⌫--|--|
seignursfranceis de deu	-------|-------|-|--|
aiezuer tut	---|---⌫--|
elcampestezque	-|---|----|--|
dient franceis dehetai tki sen	----|-------|----|--⌫|-||-|
i a pur murirneuus	-⌫|--|----|-|--|
distoliuerpaienuntgra nt	---|-----|----|--|---⌫-|
denoz franceis mi	-|--|-------|||
sembl et auei r multpoi	-----⌫-|----⌫|---|--|
cumpaig nrollan tkarsunezuostrecorn	-------⌫|------⌫|--|----|-----|---|
silorrat carlessi retu rneratl	-||----|-----|-|----⌫-----||
respunt rollant io	------|------|-|
fereiequefols	-----|--|---|
en du lcefra nceen p erdreiemun	-|--⌫--|---⌫--|-|-⌫------|--|
sempres ferraid eduren dalg r anzco lps	------|-----|-⌫|-----⌫--|-⌫-⌫--|--⌫--|
sa nglant en ertlibranzentres qu al	--⌫-----|-|--|-|----|------⌫-|||
felun pai enmariuindrent	----|---⌫-|--||-------|
io uo spleuis	-|--⌫|-----|
tuz su ntiug ezamort	--|--⌫-|---⌫-||---|
cum pa inzrol lantlo lifa ncarsu nez	---⌫--⌫--|---⌫---||-⌫----⌫|--|--⌫--|
silorr atcarlesferat lost	-||---⌫-|-----|----||--|
succurat noslire isod	-------|--|-|--⌫-|-|
