quiparoleauroipesche or	--|-----|-|--|------⌫-|
orsa chiez bienqu	-|--⌫----|---|-|
enu ains elasse	-|-⌫--|-⌫|----|
qui totuelt deli	--|--|---|-|-|
i saroita corder	|-----|-⌫-----|
a sa biautetouteretraire	|-|-----|----|-------|
tropconue nroi t depainetraire	---|-----⌫----⌫|-|----|-----|
quantpercheuausl	----|---------||
ausitostcomeil l otueue	---|---|---|-||-|---|
siu intuers li	-|-⌫--|---|-|
maiselene ualt tantatendre	---|--|-|---|---|------|
queillesalua st ancois	--|-|-|-----⌫-|-----|
sal uee n b el francoi s	---⌫-|-⌫|-⌫-|-------⌫|
carasseze nauoit apris	--|----|-⌫|----|----|
sire faitelequiempris	---|---|--|--|-|---|
no usasremi s et	--⌫-|-|----⌫|-|
e n richeche	-⌫|-------|
et iectez d e sigr anttri str eche	-|-----|-⌫|-|--⌫--|---⌫---⌫---|
ualorpart abonte	----|--|-⌫|----|
dontnus nepu etla dig n ite	---|--|-|--⌫-|-|---⌫-⌫--|
auoir forsuous	----|---|---|
cee s tnoiens	-|-⌫-⌫|-----|
bien s oiezuous	---|-⌫---|---|
uen uscaiens	---⌫-|-----|
si serés uous	-|-----|---|
puisfair e	---|----⌫|
per cheuau squi de g r ant asfaire	---⌫------⌫|--|-|-⌫-⌫--|------|
estoitlirend i son sa lu	-----|-|----⌫|--|--⌫-|
damese ie uousai ualu	---|-|-|---|-|---|
distperche uausde	---|------⌫---|-|
si mait dieus	-||--|----|
plaistbien	-----|---|
ma i sienesa i	--⌫-⌫|-|-|--⌫|
por coic esoi t	--|--|-⌫|---⌫|
etneporquantsiluouspla is oit	-|---------||-|---|---⌫--⌫--|
uole ntierslorroiepar	----⌫-----||-----|--|
par mo n chiefsire fai tladame	--|--⌫|----|---|---⌫|-|---|
cuionf aitbi en	--|-|-⌫--|--⌫-|
ie m iacort	-|||----|
ilestbiendr oisquil	-|--|---|--⌫--|-|-|
ledoib ienrecorde r	-|--|-⌫--|-------⌫|
de coi m auez fait	-|--||---|---|
sirepardieulesalueor	---|--|---|-|------|
biensai chi esle roi	---|--|---⌫-|-|--|
auez estéetdem andé	---|----|-|---⌫----|
dugraal parcoi	-|----|--|--|
somes ensifaite	----|-|-|----|
regnenauoit	----||----|
quinefustga stenefontaine	--|-|---|--⌫--|-|-------|
etlaterregasteet soutaine	-|-|----|----|-|-------|
or o nt lo rcors	-|-⌫-|--⌫|---|
cha scunee stsaine	---⌫----|-⌫-|----|
etdelalanc eporcoisaine	-|-|-|----⌫|--|--|----|
biaus sirequant le demandastes	----|---|----|-|----------|
t ot cestpais enam endastes	-⌫-|---|---|-|--⌫-------|
quiest richeset aza z e z	--|--|-----|-|---⌫-⌫-⌫|
do n tdeuant	--⌫-⌫|-----|
estienssoffrai t oz	------|-------⌫-⌫-|
or nous auez secorus toz	-|---|---|------|--|
e tquan tuousal	-⌫|----⌫|---|-|
premier ifustes	------||-----|
g raalueueuste s	-⌫---|--|-----⌫|
etla lance qui si	-|-|----|--|-|
sir equan quessenefioit	---⌫|----⌫---|--------|
laueritetout seussiez	-|-----|---|-------|
sadontdemandéleussiez	|----|-------||------|
etli riche sroisfustgar is	-|-|-----⌫|---|---|---⌫-|
de s aplaie	-|-⌫|----|
quiest ma ris	--|--|--⌫--|
souen tesfoism aisencor quide	-----⌫--|---|-⌫--|----|----|
queuostrepaine	--|-----|----|
etuostreestu ide	-|-----|----⌫--|
metezsanzmetre ennonch a loir	----|---|----|-|--|--⌫-⌫---|
qu euoustant	--⌫|---|---|
peussiez u aloir	-------|-⌫----|
sachiezla uerte	------|-|----|
ata ntlor p a rlemens de fine	|--⌫-|--|-⌫-⌫------|--⌫---|
mais la ioiene fine pas	---|-|---|-|---|--|
lada moi seleenes lep as	-|--⌫---⌫---|----⌫---⌫-|
prent p ercheualparle main d estre	----|-⌫-------|--|-|---|-⌫----|
silemai nea	-|-|---⌫-||
u n e f enestre	-⌫-⌫|-⌫------|
porche que	--|--|--|
ilne lianuit	-|-|-|----|
por de uiser iusquea la	--|--⌫----|-----||-|
q ueli sozperssoitaprestez	-⌫-|-|------|---|-------|
etperch e ua us estac oute z	-|-----⌫-⌫--⌫-|--|--⌫----⌫|
et uit leuiu iergrant etbel	-|--|-|---⌫--|----|-|--|
q uiest oitdesozle c hastel	-⌫-|---⌫--|----|-|-⌫-----|
etpardedensuitlemanoir	-|--|-----|--|-|-----|
ous i deliteusfaitma noi r	-|-⌫|-------|---|--⌫---⌫|
fuliliusd elitables	-|-|---|-⌫--------|
ains quefuissent misesles table s	---|--|-------|----|--|-----⌫|
uitp erch euausqui f ua a is e	--|-⌫----⌫----|--|-⌫||-⌫--⌫|
laflambed unegrant	-|-----||--|----|
bleue plus que nesoitaz ur	----|---|--|-|---|--⌫-|
quinaissoittresparmi unmu r	--|-------|---|----|-|--⌫|
par letreu dunecheminee	--|-|---||--|-------|
a cele quil	|---|--||
ot la menee	-|-|----|
deman decoment ceest oit	-----⌫-|-----|-|---⌫--|
que fust ele	--|--|-⌫--|
flambeietoi t	-----|-----⌫|
cele respont sansde ceuoir	---|------|---|--⌫-----|
uousendirai si re	---|-|----|--⌫-|
lieetdeb oneuo lente	--|-|-|-⌫--|--⌫----|
enor rezialauer ite	-|--⌫--|-|-|---⌫--|
s anz atargieret	-⌫--|-------|-|
en celm anoir	-|--|-⌫----|
maintuns feuresde granteage	----|--|-----|-|----|---|
u ns r oi slidonacelmanage	-⌫-|-⌫--⌫|-|---|--|-----|
por tr oisespe esquilfor ga	--|--⌫--|----⌫-|-|-|---⌫-|
encel cha s te luneforgea	-|--|---⌫-⌫--⌫|--|----||
la oulesforgatote str ois	-|-|--|----|----⌫|--⌫--|
delun efu ilsidestrois	-||--⌫|-|-|-|-------|
conquesenuna n ne	|-----|-|-|-⌫|-|
deforgi er tantqu	-|-----⌫-|---|-|
trenchantetdu reetmo lt bienfaite	--------|-|--⌫-|-|--⌫-|---|----|
et dist que	-|---|--|
seroit f rai te	-----|-⌫---⌫-|
fo rsparunperil qu il s auoit	--⌫-|--|-|----|-|-|-⌫----|
kenu sfors qu eilne sau oit	-|--⌫|---|--⌫|-|-|---⌫--|
perilseroitbris i e	----|-----|----⌫-⌫|
l espeequ itan tes tprisie	|----|--⌫|---⌫|--⌫|-----|
neiarefaite	-|-|------|
deua ntquei lle referoit	----⌫-|--|-⌫|-|-------|
e tceleflambe qui	-⌫|---|-----|--|
et uerslesautres est	-|---|--|-----|--|
on quespuis estainte ne fu	--⌫---|---|-------|-|-|
etsi n i fait onpoint defu	-|-|||---|-|----|-|-|
n ecil aincpui s ne uolt	-⌫|--|---|---⌫|-|---|
quil idonast plain un	--|-⌫|-----|----|-|
foriastilno ient	------|-|--⌫---|
que ilsetbi ena	--|-|--|--⌫-||
qua nt ilcelifai terau ra	---⌫-|-|---|---⌫-|---⌫-|
p etitapr esuiura	-⌫---|---⌫-|----|
la u eriteenuousdesp ont	-|-⌫----|-|---|----⌫--|
etsachiezqu au pie	-|------|-|-|--|
de son pont	-|--|---|
a deus serpenz enchaan ez	|---|------|-------⌫-|
ilnestnushomde	-||--|--|--|-|
siluelte ntrerdedens	|-|---|-⌫----|-----|
nemembreen rapo rte	-|-----|-|----⌫--|
fors samaisniequilese rt	---|-|------|--|-|--⌫-|
ettoz di ssont lihuis	-|--|--⌫|---|-|---|
orescoutezbiau sdols	-|-------|----⌫|---|
por coilise rpentisont m is	--|--|-|--⌫----||---|-⌫-|
po rchequese	--⌫|--|--|-|
q uen ceste	-⌫|-|----|
con tre euenoit	---⌫---⌫|-----|
alcunsporlesp eerefair e	-----|--||---⌫-|------⌫|
quelis erpent	--|-|-⌫-----|
deputafair e	-|--|-----⌫|
locir roien tseil	|----⌫-----⌫|-|-|
l aiensen tr ersilneuolo it	-⌫----|--⌫--⌫-||-|-|----⌫-|
comeunsoisiaus	---|--|------|
d euoir sach iés	-⌫|---|----⌫---|
este roitdep e ch iez	----⌫---|---⌫-⌫--⌫--|
quant p ercheuauscesmos o i	----|-⌫--------|--|--|-⌫|
moltdureme ntsenesio i	---|------⌫-||-|----⌫|
le l iuatroue ́	-|-⌫-||-----⌫|
ce lisamble	-|-|-----|
oules pieces erente nsa m ble	-|--|-----|----|-⌫---⌫-⌫--|
re misesde sabone	--⌫----|-|-|---|
si qu ele ertfo rsdureettem pree	-|-|--|--|--⌫-|---|-|---⌫---|
lorsredemandealapucele	---|--------||-|-----|
il u nen ou ele	-|-⌫-|-⌫--⌫--|
uous demantcomentcist ch astiaus	---|-----|-----|---|--⌫------|
qui tan tes t	--|---⌫|--⌫|
m olt ifait deli teusesbat re	-⌫--||---|----⌫---|-----⌫-|
sireonlapele co thoatr e	---|-||----|--⌫------⌫|
cilmezla ien sa	--|--|--⌫---⌫||
quima no irs fu	--|--⌫--⌫--|-|
auroifrolac	-|--|-----|
alonssozpe rcartans	----|-----⌫|--|---|
lors uo ntlaue rquetotfu prest	---|--⌫-|----⌫|--|--|-|----|
p uis uon tsozper a ldoi s plus haut	-⌫--|---⌫|-----|-⌫|---⌫|---|---|
celenuitfuse	---|---|-|-|
die us mesal t	---⌫-|-|---⌫|
per cheuausseruisa plaisi r	---⌫------|-----||------⌫|
ap res mengierse uontiesir	--⌫--|------|-|---|----|
percheu ausotl itcointe e t r iche	-------⌫--|-|-⌫-|-----|-⌫|-⌫---|
on quesacont ene apr in che	--⌫---||----⌫|-||--⌫--⌫--|
ne uiplus pl ais antneplusnoble	-|-|---|--⌫---⌫--|-|---|----|
dedeus dras decost an tinoble	-|---|---|-|----⌫--⌫------|
colchea chascuncor	-----||------|--|
pendo ituneeschale tedor	-----⌫-|--|-------⌫-||-|
qui sonoitsitresdolcement	--|-----|-|---|--------|
ets acordoitsis im ple ment	-||-------|-|-⌫--⌫---⌫---|
sambleunemel odie	-----|--|---⌫---|
i lnestho mtant aitmaladie	-⌫||--|--⌫|---|--|------|
s ilestsorlecol che colchiez	|-|--|--|-|---⌫--|-------|
que ia puisl i doeill eli chies	--|-|---|-⌫|------⌫|-|----|
percheuausensellitsecoulche	---------|--|-|--|-|------|
richelacolche	----|-|-----|
etlapucele liconseille	-|-|-----|-|--------|
moltb element	---|-⌫------|
ens enl orei lle	--|-||----⌫--|
aimesondelit	---|--|----|
odluise co u ch eraellit	-|--|-|--⌫-⌫--⌫--|-|--|
car molt biend eseruilauoit	--|---|---|-⌫-----||----|
percheu aussigente le uoit	-------⌫--|-|----|-|---|
queil n e seset conseillier	--|-|-⌫|-|--|----------|
ou des condir eouotroier	-||--⌫------⌫|-|------|
lico rs li	-|--⌫-|-|
fr emiste tlime mbre	--⌫----|-⌫|-|--⌫---|
e tdela qu este l iramembre	-⌫|-|-|--⌫---|-⌫|-------|
de l gra al queil a	--⌫|---⌫-|--|-||
parfoifait	--|--|---|
quantie uoipuc elesi	----|-|--|---⌫--|-|
quisondeduit	--|--|-----|
moffreetpresente	|----|-|-------|
lo smi erechoiure	|-⌫|--⌫|--------|
iequit qu ele meuelt dec h oiure	-|---|-|--|-|---|---⌫-⌫----|
ou iequitqu ele est	-|-|---|-|--|--|
costumiere	---------|
deproier cheualiers	-|-----|---------|
pa scomenchié	--⌫|---------|
maisbiend oit redouterpechie	---|---|-⌫--|-------|-----|
lihometenfaiseten dis	-|--|-|-|---|-|-|--|
qu iconquerr euelt	--⌫|--------⌫|---|
acestmotpercheuaus f remist	|---|--|---------|-⌫-----|
la demoiselea	-|--------||
raisonmist	-----|---|
beledistilde	---|---|-|-|
telmestie r	--|------⌫|
naiio u oremiemestier	|-|--⌫|--|--|------|
ne ieuo irne	-|-|--⌫-|-|
uous refusmie	---|----|--|
seporchenonma	-|--|--|--|-|
do lceamie	--⌫--|---|
feroiegrant pechie	-----|----|-----|
se ieauoie d es pechié	-|-|----|-⌫--⌫------|
uopucelagenelemien	-|-------|-|-|---|
madolceamie or sachie z bien	-|----|---|-|------⌫|---|
queo nq uesnoiiorde ma uie	--|-⌫--⌫--||-|--|-|-|--|
denul s i faitdedui t	-|--|-⌫|---|-----⌫|
nei e nes aia coi ce monte	-|-⌫|-|-⌫-||--|-|----|
la puceleot uergoign eet	-|-----|-|--------⌫|-|
puisdistsire	---|---|---|
sachiez que di tleuousauoie	------|--|--⌫|-|---|----|
poracomplir uo uolente	--|-------|-|------|
qu antieuo usuoiental enté	--⌫--|-|--⌫-|--|-----⌫----|
del i ule ssiercai	--|-⌫|--⌫----||-|
di t auous	--⌫||---|
ausibelmenestcome uo us	---|--||-|--|---|--⌫-|
atants enpartplu s nen parla	|---||-|---|---⌫||-|----|
ensachambrecou c hierala	-|-|------|---⌫-⌫---|--|
et percheu austorn eetretorne	-|-------⌫--|----⌫|-|------|
augraalsonpenseatorne	-|----|--|----|-----|
a che atoutsonpen se	|--||---|--|---⌫-|
encelpense sest endormis	-|--|----||--|-------|
descialiorquil	----|-|--|-|-|
quelagaite	--|-|----|
le iorco rna	-|--|--⌫--|
percheuausmaintenantselieue	---------|---------|-|----|
car li demorersmo ltli grie ue	--|-|-------|--⌫-|-|----⌫-|
la pucelea sonleue r fu	-|-----||--|----⌫|-|
uestued un	-----||-|
ric h ebosfu	---⌫-⌫|----|
molt l ip riede	---|-⌫|-⌫--|-|
car moltleuolroit honorer	--|---|-|------|------|
sesonseruicheuolo itprendre	-|--|-------|----⌫-|------|
percheu ausneualtplusatendre	-------⌫--|-|---|---|------|
por proiereneporpram esse	--|------|-|--|----⌫---|
lap ucelepor oirmesse	-|-⌫----|--|--|----|
l amene ́ aune	||----⌫||--|
estoit etri che et	-----|-|--⌫--|-|
denostredam e	-|-----|---⌫|
quisor toutesautreses t iame	--|--|-----|-----|--⌫|---|
apreslame ssesanztargier	----|-|--⌫--|---|------|
li fait aporte ra	-|---|------⌫||
unchaponale	-|-----||-|
s alseenrost	-⌫---|-|---|
apres mengiersarmamolttost	----|------||---|---|---|
perche uauspuisatrait	------⌫---|---||----|
quifubrisiee	--|-|------|
ettronchonnee	-|----------|
pui sestmontez s anzdemoranc e	---⌫|--|-----|-⌫--|--------⌫|
son escua pris et sa	--|---||---|-|-|
la pucelepor conuoier	-|-----|--|-------|
etpora lchemin rauoier	-|--|-⌫|-----|------|
restmonteeetsage ntodli	---|-----|-|-|--⌫-|-|-|
apercheua l moltabel i	|--------⌫|---|----⌫|
cequiluit u n e	-|-|-|--|-⌫-⌫|
h ac hependre	-⌫--⌫-|-----|
sesta le zle pr endre	|--|-⌫--⌫|-|--⌫----|
puisest delchastel aualez	---|--|--|------|-----|
lapuceleli fuaulez	-|-----|-|-|-|--|
quia uoitanonescola sse	--|-⌫---||--|------⌫--|
parmi les rues	----|--|---|
ou il passe	-|-|----|
uinrent acorantles gens toutes	------|------|--|---|-----|
etparcompaignese t par	-|--|---------|-⌫|--|
totle nclin ent parfo ndement	--||-⌫-----⌫--|-----⌫------|
etses crient	-||--⌫-----|
touthaut ement	---|----⌫----|
sireq ui toz	---|-⌫-|--|
nousasrefais	---|-|-----|
etdeschar giez de si gran tfa is	-|-------⌫---|-|-|----⌫|--⌫-|
etrem isen	-|---⌫-|-|
sigra ntriche ce	-|---⌫-|-----⌫-|
biendeueriensd oel ettristre ce	---|--------|-⌫--|-|-------⌫-|
demenerquan tsitosttenpars	------|----⌫|-|---||-|---|
ens ih uchent d e toutes pars	---⌫|-⌫-----|-⌫|-----|---|
percheu ausquile hacheport e	-------⌫--|--|-|----|----⌫|
uatant q u il uintdeuant lapo rt e	-|---|-⌫|-|---|-----|-|--⌫--⌫|
d elcha stelouli serpentsont	-⌫-|---⌫---|-|-|------|---|
enchaanédesusle pont	--------|----|-|---|
gr a n tetfier etlai t ethide us	--⌫-⌫-⌫|-|---|-|---⌫|-|----⌫-|
ie quitonqueshomne	-|---|-----|--|-|
nenul sipe rilleustrespas	-|--|-|--⌫------|------|
cel e partuintisnel lep as	---⌫|---|---|-----⌫---⌫-|
sestdescen dus de	|--|------⌫--|-|
lademois eledist	-|------⌫--|---|
c auezuous e mpensé	|---|---|-⌫------|
mad amoisele por	-|-⌫-------|--|
m espe eweil l aien sentrer	|----⌫|---|-⌫----⌫|-----|
etcesdeusgrans serpensoutre r	-|--|---|----|------|-----⌫|
que ieuoienc h aa nezchi	--|-|--|---⌫-⌫--⌫--|--|
ha ge nti u sch eualiers merchi	-|--⌫---⌫-⌫|--⌫-------|-----|
m ori ruo lésaescien t	-⌫---⌫|--⌫---||------⌫|
etdistpercheu auspornoient	-|---|-------⌫--|--|-----|
m echastie zie	-⌫|-------⌫|-|
we ilsauoi r	--⌫-|-----⌫|
silporroitlaienshome	|-|------|-----|---|
qu i me sp eem ere fes ist	--⌫||-⌫--⌫-|-⌫|--⌫---⌫--|
cargran t piecha que	--|----⌫|----||--|
o nme dist	-⌫|-|---|
s ilauenoit q uelefust	|-|------|-⌫|--|---|
qu ele sero i tlaiens refaite	-|--|----⌫-⌫|-----|------|
l e s gens quil a sont quantilloent	-⌫-⌫|---|--|-⌫|---|----|-||---|
licrient merc hi	-|-----|----⌫-|
sil ilo e nt	-|-⌫|--⌫-⌫-|
que il lai stceleuoiees ter	--|-|---⌫-|---|---|--⌫--|
perche uausneuoltarester	------⌫---|-|---|------|
por lorcrier	--|--|----|
lapucel etenrementpleure	-|-----⌫|--------|-----|
porlap itie en lermesfont	--|-|-⌫---|-|-----|---|
et les gens auecl i	-|--|---|---|-⌫|
te ld oel qu eiamaisn ert retr ait	--⌫|-⌫--|--⌫|-----||--|----⌫--|
perche uausleslepon tse	------⌫---|--|-|---⌫|-|
sonescumistdeuantsonu is	--|---|---|-----|--|-⌫-|
uneoroi sonc e mest auis	--|----⌫--|-⌫||--|---|
aditqueilauoitaprise	|--|--|-|----|-----|
mainsalehach eprise	----||-|----⌫|----|
sorlepo ntest	--|-|--⌫-|--|
maintenantmis	---------|--|
encon tre lesd eusanemis	-----⌫--|--|-⌫--|-----|
serp entpercheualuoient	----⌫--|--------|-----|
uenir biensamble q ui l maruoient	----|---|-----|-⌫|-⌫|--------|
cha scunssehir iceetsecreste	---⌫----|-|---⌫--|-|-|-----|
luiocirresapre ste	--|-----||----⌫--|
etsiuo us pu is bienaffic hie r	-|-|--⌫-|--⌫-|---|-----⌫---⌫|
quilfont lesongl esenfichier	-|-|---|--|----⌫-|--------|
espier re squi fure ntdegrez	-|----⌫--⌫|--|----⌫-|-|---|
espriset a rdan tetengre s	-----|-|-⌫----⌫|-|-----⌫|
uinre nt corantsanzplusat endre	-----⌫-|-----|---|---|--⌫----|
qu anqu ilonqu es puent	--⌫---|-|----⌫-|----|
etpercheuaustantlesate nt	-|---------|---|--|---⌫-|
que chas cunssa chaine estent	--|----⌫---|-|-----|-----|
tant c ome ele au oit	---|-⌫--|--|--⌫--|
e tperche u aus par	-⌫|------⌫-⌫--|--|
grantuigor	----|----|
lor uintl egran t haceentesee	--|---|-⌫|----⌫|---|------|
lun fiertsi c	|-|----|-||
une grant tesee	--|----|----|
liafaitles deusp ie zuoler	-||---|--|---|-⌫--⌫|----|
afaitreculer	|---|------|
loncq uenaune	---|-⌫-|||--|
etli autres uers luiselance	-|-|-----|---|--|-|----|
sifierten l	-|----|-||
esc ulesdeu spiez	---⌫|--|---⌫|---|
nussi trenchansespi e z	--|-|--------|----⌫-⌫|
quifust sitostou trepassez	--|---|-|---|--⌫--|-----|
p ercheuausq u ifua pense z	-⌫--------|-⌫-⌫|-|-⌫-----⌫|
quant uoitqueli doipiesontoltre	----|---|--|-|--|--|---|----|
a lescula empa intlaoltre	||---|-|----⌫--|-|----|
s os talaguigedeson col	|--⌫-|-|----|-|--|--|
t ie ng mi ea fol	-⌫--⌫-|--⌫||--|
que illasi empeechié	--|-|||-|---------|
d eles cuqu	-⌫||--⌫-|-|
ilauoi tp erchié	-|----⌫|-⌫------|
quiln epuets esia mbes	-|-|-⌫|---|-⌫-|--⌫---|
dechefistp ercheuauss auoir	-|--|---|-⌫--------|-⌫----|
leserpen tencombré	-|------⌫|--------|
maintenantcoubr é	---------|-----⌫-|
sahache etfiertl egrants erpent	-|----|-|----|-⌫|----|-⌫-----|
e ntr eletesteet	-⌫---⌫|-|----|-|
l ec ha rpent	-⌫|-⌫--⌫----|
l eco llit renchaplus n ar es te	-⌫|--⌫|-|-⌫-----|---||--⌫--⌫-|
s iqu enl i aue uo lelat este	-⌫|-|-||-⌫--|--⌫-|-|-⌫---|
qui mo ltest oithideusee t noire	--|--⌫-|---⌫--|------|-⌫|----|
et lia utreserpens	-|-|-⌫---|------|
grant oirre	----|----|
fiertdesaq ueuepercheu al	----|-|-|-⌫---|-------⌫-|
siqu ille ruecontreual	-|-|-|-|--|--------|
en susde lui plus	-|--|-|--|---|
dun et oise	|--⌫|-⌫---|
perc heuaussautsus sientoise	----⌫-----|---|--|-|------|
sahachequ ifu	-|----|--⌫|-|
bien a gu e	---|-⌫--⌫|
trenchans que besague	--------|--|------|
etli ser pen ss ei oint etclot	-|-|---⌫---⌫|-⌫|-⌫---|-|---|
ettrestoz s est mis enun	-|------||--|--|-|-|
sorle s d euspi ez	--|--⌫|-⌫--|--⌫-|
derrier safich e	------||-----⌫|
sifortquenun marbrelesfiche	-|---|-|-|-|-----|--|----|
duremen tse	-------⌫|-|
lanceete sq ueu t	----|-|-⌫--⌫---⌫|
etpercheuaus par	-|---------|--|
iree squeut	--|-⌫-----|
la ha ch eetpardedens	-|--⌫--⌫|-|--|-----|
d esiasentrailles licou le	-⌫--|-|---------|-|---⌫-|
quile ntama labouele e	-|-|-⌫----|-|------⌫|
delcorsli uole une fumee	--|---|-|---|--|----|
u ermeille c omefusespris	-⌫-------|-⌫--|--|-----|
percheuausa sones cupris	---------||--|--⌫-|---|
ouli serpens auoi tboutez	-|-|------|----⌫|-----|
sespie zet	--|---⌫|-|
ill i aostez	-|-⌫||----|
par legui che ason	--|-|---⌫--||--|
c oll epent	-⌫-|-⌫|---|
esgarde duserpe nt	------|-|-----⌫-|
quant lapucele et	----|-|-----|-|
sagensuoit	-|---|---|
queper cheuaus ocisauoit	--|---⌫------|---|----|
lesdeus s erpensg rans et	--|---|-⌫-----|-⌫---|-|
repairiez lidoels	--------|-|----|
quilauoient sigrantmen é	-|-|------|-|----|---⌫-|
soncheu alli o nt amené	--|----⌫-|-|-⌫-|-----|
puisestmo ntez si	---|--|--⌫---|-|
porteentresi	----|----|-|
leseign or de celemaison	-|-----⌫-|-|---|-----|
salueensaraison	----|-|-|-----|
per cheuaus alo i	---⌫------||--⌫|
q uarmolt leuoit deg r anteage	-⌫--|---|-|---|-|-⌫-⌫--|---|
deus u ossaltfai tperch euaussire	---|-⌫-|---|---⌫|-----⌫----|---|
qua ntcill entent	---⌫-|--||-----|
fo rmentsaire	--⌫----||---|
uiellechefuc henus	--------|-|-⌫----|
sidis tmalsoiez	-|---⌫|--|----|
uousuen u s	---|---⌫-⌫|
iesai moltbienqueuous	-|--|---|---|--|---|
est esuous caienzauol ez	---⌫-|---|-----|----⌫-|
quicha de densestes	--|--|--⌫---|----|
distpe rcheuausainsaioutrez	---|--⌫-------|---|-|-----|
lesdeusserpensgrans	--|---|------|----|
et crestus	-|------|
tantm esui a ausc ombatus	---|-⌫|--||--|-⌫------|
qu ei elesaia n sdeus ocis	--⌫|-⌫|--|-|-⌫-⌫----|---|
deus e nait graceset	---|-⌫|--|-----|-|
ormensaigniez sanz	-||---------|---|
lefeurequi	-|----|--|
soloit forgier	-----|------|
dis tcil quenauezuous a	---⌫|--|-|-|---|---||
m espee li	|----|-|
coui entr efaire	----⌫--|-⌫-----|
d istperche uausse dieu s mesau t	-⌫--|------⌫---|-|----⌫|-|---⌫|
quantci l l oi enestant sa lt	----|--⌫||-|-|-----|--⌫-|
tozfr em istetmuesonsanc	--|--⌫--⌫--|-|--|--|---|
lespee ch oisista	|----|--⌫-----||
son fla nc	--|---⌫-|
mei sme sauoitf aite	---⌫---⌫|----|-⌫---|
si sotbien ouele est oitf raite	-|--|---|-|--|---⌫--|-⌫----|
uas salfaitilpar	---⌫--|---|-|--|
grantp echie	----|-⌫----|
aue zuo st rebrantpech oie ́	---⌫|--⌫--⌫-|----|----⌫---⌫|
queie f is passéamainsdis	--|-|-⌫-|-----||----|--|
aleportede paradis	|-|----|-|------|
le brisast estresbienle uoi	-|-------⌫-|---|---|-|--|
maissac hiésrefaire ledoi	---|---⌫----|------|-|--|
ou ia ref aite	-|-|---⌫---|
un guichetdesferma	-|------|-------|
pu isa dit uassald esc en dez	--⌫-||--|-----|-⌫---⌫--⌫--|
etuostreespee me r endez	-|-----|----|-|-⌫----|
siraioindraich asc unepiece	-|---------|--⌫---⌫--|----|
naura maisgard eque	|---|---|----⌫|--|
po rcopconendoief erir	--⌫|--||-|-|---|-⌫---|
apreudom e doit asferir	|-------⌫|---|------|
le spee ce	|-⌫---|-|
saché sdeuoir	------⌫|-|---|
n e nuscoars nel doitauoir	-⌫|--|----|-||---|----|
perc heua uslot	----⌫----⌫-||-|
pl usniate nt	--⌫-|||---⌫-|
se spe e descaint si	|-⌫---⌫|-------|-|
estoitmiefols	-----|--|---|
sosflelefu	-----|-|-|
ad eusgrans	|-⌫--|----|
qu ionquesnulior nefina	--⌫|-----|--|--|-|---|
lespiecespristetaf fina	--|-----|----|-|--⌫---|
si lareforgies i	-|||-------|-⌫|
qu eonquesn ip arut derie n	--⌫|-----|||-⌫---|-|---⌫|
q ue el eeustesté brisiee	-⌫-|--⌫|---|----|------|
lespee quitantf uprisiee	|----|--|---|-⌫|------|
bienbrunistetref ait la l etre	---|------|-|---⌫--|-|-⌫---|
puis lifaitel fuerreremetre	---|-|---|-|-----|------|
sidistuassalo ruous	-|---|-----|-⌫|---|
weildi r e	---|--⌫-⌫|
c on uousdoit al meil lores lire	|-|---|---|-|----⌫--|--⌫---|
qui soi t elmondebienlesai	--|---⌫|-|----|---|-|--|
enma intgran tperilleus	-|--⌫--|----⌫|--------|
auezporl egraalesté	---|--|-⌫|----|----|
etma intyuere tma inteste	-|--⌫--|---|-⌫|--⌫--|---|
etesterezie qui tenc or e	-|------|-|---⌫|---⌫--⌫|
uouspuisiebie ndire ore	---|---|-|---⌫|---|--|
queiene porrai ga ire s uiur e	--|-|-|-----|--⌫---⌫|----⌫|
ac est motlespeeliliu re	|-⌫--|--||----|-|---⌫-|
percheuauslecaint cong ieprent	---------|-|----|----⌫-|----|
p uis estmo nte zsauoieemprent	-⌫--|--|--⌫---⌫|-|---|------|
lepontetle	-|---|-|-|
port erepasse	----⌫|------|
et medam oisele escolasse	-|-|---⌫-----|--------|
etsag en tencontre luiuienent	-|-|-⌫--⌫|-------|--|------|
et quanquil pue ntledetienen t	-|-----|-|---⌫-|-|--------⌫|
maisnenpue nt ach i ef	---||-|---⌫-||--⌫-⌫-|
que illep uissent detenir	--|-|-|-⌫------|------|
ainzs e np artet il leco nuoient	---||-⌫|-⌫--|-|-|-|--⌫------|
grant cheminl	----|-----||
percheuau sa itant sem	---------⌫||----||-|
etlapu cele sen depart	-|-|--⌫---||-|-----|
et repaire uers	-|------|---|
sonchastel	--|------|
p ercheuausl e sc u	-⌫--------||-⌫--⌫|
enchante l	-|------⌫|
cheualchequil n aplusta rgié	--------|-|-|||---|--⌫----|
mai snotmie molt eslongié	---⌫||-|--|---|--------|
lechast elquantilotlescloches	-|-----⌫-|----|-|-|--|------|
sonerpartotesle sparroches	----|--|----|--⌫|--------|
cartrebuchesfenise stoi t	--|--------|----|-⌫----⌫|
espeerefa iteauoit	----|----⌫--|----|
quibone ertett ranchansetdure	--|---|--|-|-⌫-------|-|---|
tou t e io rtantconliiors	---⌫-⌫|--⌫|---|--|-|---|
oir remesire	---⌫-|-|---|
percheuaus	---------|
