#META #TextURIBenT roieC	-----⌫|------|----⌫----|
#META#DEAFhttp//www.dea f-page.de/ bibl/bib99b.php#BenT roieC	-----|---|-------------⌫----------⌫--------------------⌫----|
#META# TL Troie	-----|-|----|
#META# FEW	-----|--|
#META# AR LIMA http s//www.arlima.net/ad/benoit_de_sain te-maure. html#tro	-----|--⌫---|----⌫-----------------------------------⌫---------⌫-------|
#META#Aut hor	-----|---⌫--|
Sont liarbalestiermon tez	---|-|----------|---⌫--|
Ecilquilesgr anzpeusaguz	|--|--|--|--⌫--|---|---|
pe sanzchaiIlouscornuz	--⌫---|--------|-----|
G eteront siquemortser on t	-⌫------|-|--|---|---⌫--⌫|
Tuitcilquideuss aproismeront.	---|--|--||--||------------|
Quosir e i eloncp lai tfai s ant	---|--⌫-⌫-⌫|---|-⌫---⌫|---⌫-⌫--|
E s tab lia lere iPri ant	-⌫-⌫---⌫-||-|--⌫|---⌫--|
istreientpre mier	--------|---⌫---|
Pageu04P022	----------|
Lique l après	-|---⌫|-----|
liquelderrier.	-|---|-------|
Tozpremerainsçom est a	--|---------|--||--||
eissuzPh ilemenis	-----|--⌫-------|
O l asoëgentho noree	|-⌫|---|---|--⌫----|
Quemout estfiereeredot ee	--|---|--|----||-----⌫-|
Dardanidèsontfaitourir.	----------|--|---|-----|
D onc poïsseiztomouteoïr	-⌫--|--------|------|---|
Gran zs onsgran znoises	----⌫|-⌫--|----⌫|-----|
egranzcriz	|----|---|
Ed ol if anzgranz	||--⌫--⌫--|----|
corn e ï z.	----⌫-⌫--⌫-|
Cilde G rece s enzdem o rier s	--|-|-⌫---|-⌫--|---⌫-⌫----⌫|
Resontmontésorlordestriers	-----|-----|--|--|--------|
Tostontlor cors d	---|--|--|---||
armes guarniz	----|------|
Etoz lorcon reizdepartiz.	|--|--|---⌫---|--------|
enissentdelportal	-|-----|--|-----|
Sontad uréebon	---|--⌫---||--|
Enzel mi li eudelgrant t a sd	--|-|-|--⌫-|--|----|-⌫-⌫||
Les uo ntferiririeze	--|--⌫-|----|----||
Pa geu04P0 23	--⌫-------⌫-|
Quesorhaub ers esor cuirieés	--|--|----⌫--||--|--------|
Lorontlorlance spece i ees.	--|--|--|-----⌫|----⌫-⌫---|
Desataï nzchie ts orlesablon	--|-----⌫-|----⌫|-⌫-|-|-----|
M ainz quinediënt onenon.	-⌫---|--|-|-----||-|---|
Le smainsontmises	--⌫|----|--|----|
Esin donent deteusc olees	|--|-----|-|---|-⌫----|
Aceus defor sque	|---|-----⌫|--|
marei uirent.	---||------|
Sifaitement les recoillirent	-|--------|--|-----------|
Quebienlet ierz	--|---|-|-⌫---|
olameitié	|-|------|
En ontsem pres descheuauchié.	-|--|---⌫---|--------------|
Sadoncnefusse nt liarchier	|----|-|-----⌫-|-|------|
Edesmurs liarbalestier	|--|---|-|----------|
Mauua isement lorifus tpri s.	-----⌫------|--||---⌫|---⌫-|
faitbienP hilemeni s	---|---|-⌫--------⌫|
Moutrescot bien	---|-----|---|
Echierlo r asesmorzuenduz	|----|--⌫||--|---|-----|
Seisantei adessuens rescos	-------|||--|----|-----|
Quipas még isent en l erbos.	--|---⌫--|-⌫----|-||-----|
Alarescossedes premiers	|-|-------|--|-------|
Pageu04 P024	-------⌫---|
Sen e issiren tmil cheualiers	|-|-⌫-------⌫|--|---------|
Sorl escheuauspri slesescuz	--|-⌫-|------|---⌫|--|----|
Oles bonses pieze s moluz	|--|---|--⌫---|-⌫-⌫----|
Enuaïr uontlo renemis	------|---|--⌫|-----|
Eaïdier Phi lemenis.	|------|---⌫-------|
P olidamas liprozlesguie	-⌫-------|-|---|--|---|
Quihautements	--|--------||
enseignee s cr ie.	-------|-⌫-⌫--⌫--|
Unrei at ai ntne	-|--|--⌫--⌫-|-|
fail lip as	----⌫-|-⌫-|
M ort legetaenmiletas.	-⌫--|-|---|-|-|-|---|
Iciresfondren t	--|----------⌫|
mai ntebroig ne	---⌫--|-----⌫-|
Esiuosdiquegrant	|-|--|-|--|----|
Lor icreiss eitquantci ldedenz	--||------⌫--|----|--⌫|-----|
Seneïssirent	|-|---------|
Dis mileeplu s serré est reit.	--|---||---⌫|-----|---⌫----|
ase mb le eueit	---⌫--⌫--⌫|---|
Direpuetb ienquonctel dol or	---|---|-⌫--|-|--|--|---⌫-|
Nesidesmesuréestor	-|-|---------|----|
N e u itne	-⌫|-⌫-|-|
neuerraia m ais.	-|----|-|-⌫---|
Pageu04P02 5	----------⌫|
La tr en chentdesescuz	-|--⌫--⌫----|--|----|
Edes heaume slescoinzag uz	|--|------⌫|--|----|--⌫-|
Delsanc iestgrantla paluz	--|---||--|----|-|----|
cors ch iet e de uale	---|--⌫--||--⌫---|
Siquetui t en sont freit epale.	-|--|---⌫|-|---|----||----|
Icistconten zduraassez	----|------⌫|---|----|
Enz es trench ieesde sf ossez	--|-|------⌫---|--⌫|-⌫----|
Tan tque lipro z Dio medès	---⌫|--|-|---⌫|---⌫-----|
Lidu sdAthene eUlixès	-|--⌫||-----||------|
ETel amon e Aïaus	|---⌫---||-----|
Agamennon eMenela us	--------||------⌫-|
Lorfirentunenu aiemen t	--|-----|-|---⌫------⌫|
uos dice rtaine m ent	--|-|--⌫------⌫-⌫--|
Quecildedenz	--|--|-----|
senr ent ri ssient	|-|-⌫---⌫--⌫-----|
Moutuol enti erss	---|---⌫----⌫--||
il poïssient.	-|----------|
Maisdepoidegen tfulentre e	---|-|--|-|---⌫|-||-----⌫|
Delaportesi estopee	-|-|----|-|------|
Quenenipotl edisme	--||-||--|-⌫|----|
P ageu04P026	-⌫---------|
Por çole s	--|--|--⌫|
c ou inta torner.	-⌫--⌫--||------|
il com porlamort	-|--|--|-|---|
si dotee lasor t	-|----|-|---⌫|
ot nul tant	-|--|---|
fu sthardiz	--⌫-|-----|
nef ust esfreiz.	-|-⌫--|-------|
Damage agrantdambe dou sparz	-----||----||----⌫---⌫|---|
Maiso s aieteseo	---||-⌫-----|||
Eoquarreausquecill ort raie nt	||--------|--|--|-⌫-|-⌫----⌫-|
Quim outenocie ̈nt	--|-⌫--|-|----⌫--|
ep laien t	|-⌫-----⌫|
OntfaitlesGre usretraireensus	--|---|--|---⌫-|-------|-|--|
Cinc cenzdelorhom ese plus	---|---|-|--|---⌫-||---|
Laissentde denzlesgranzfossez	-------|--⌫---|--|----|-----|
Sor eus futozli	--|--|-|--|-|
crizleuez.	---|-----|
Biensi aide n t ci l dedenz	---|||----⌫-⌫|--⌫|-----|
B ienfurecoureel or genz.	-⌫--|-|-------|-⌫-|----|
uintPa nthesil ee	---|--⌫-------⌫-|
Osa gen t estreiteese rree	|-|---⌫|-------||--⌫---|
Pageu04P027	----------|
Quemo utert	--|--⌫-|--|
fier e e com batant.	----⌫||---⌫------|
Librieuzdeslancesiestgr ant	-|-----|--|-----||--|--⌫--|
Hautsescriënta	---||--------||
cielnest rien	---||--|---|
Auer se les lai sdeBre tons	----⌫|-⌫--|---⌫|-|---⌫---|
Harpeuiële nautreso ns	----|-----||----|--⌫-|
Nestseplorsn onauerslorcr iz.	|--|-|----|-⌫-|----|--|--⌫--|
Sorlesescuzpeinzauerniz	--|--|----|----||-----|
uontGrezeisféri rsenz dem ore	---|------|-----⌫|---|---⌫--|
Tant ena batentenpoidore	---|-|-⌫-----|-|--||--|
cue ureliherbeiz.	---⌫--|-|-------|
Dèso reengroisselito rneiz	---|-⌫-|--------|-|--⌫----|
E n m ilesuentres	-⌫|-⌫|--|------|
lesataignent	--|--------|
Siqued e s arçonsles	-|--|-⌫-⌫|------|--|
empe ignent	----⌫-----|
Esiq u ele s grosf uzpla nez	|-|-⌫-⌫|--⌫|---|-⌫-|---⌫--|
Lor remainen tparlescostez.	--|--------⌫|--|--|------|
Quant les la ncessontdebri siees	----|--|--⌫---|---|-----⌫----|
Siont les es p eessachiees	-|--|--|--⌫-⌫--|-------|
Dontelsfierentgr anzc ous	---|--|------|--⌫--|-⌫--|
Pa geu04P028	--⌫--------|
Ciottraïn	-|-|-----|
dech euali er s	-|--⌫-----⌫--⌫|
Ciots ifa ita bateïz	-|-|-⌫|--⌫-|-⌫------|
E si angoiss os	|-|-------⌫-|
ch apleïz	--⌫------|
Querienriel	--|---|---|
poüstp as sofrir.	-----|-⌫-|------|
Çopuisbie ndiresenzment ir	--|---|---⌫|---|---|----⌫-|
Quecildefors sontsibranle ́	--|--|-----|---|-|------⌫|
Quap einesontpuisaresté.	-||-⌫---|---|---|-------|
Me rueillesfait Pa nthesïlee	--⌫-------|---|--⌫---------|
Ia ni ferracoupd es	-|||----|---|-⌫||
ocie.Mai ̈sgr ie fment	----|---⌫-|--⌫--⌫----|
Lïrem au m etentG r eu s a gent.	--|---⌫--⌫-⌫----|-⌫-⌫-|-⌫|----|
OMenelauiostalabele	|------|----|-|---|
Quenu e rslemis t ius de la sele	-|---⌫-⌫-|-|--||--|-|-|---|
Almeinsenot le milsoudor	-|----|-|-|-|--------|
Main t e n iguaaigna le ior.	----⌫|-⌫||-------|-|---|
Elee Di omede ̀sioste rent	--||--⌫-----⌫-|-----⌫---|
Deplaïne sla i ss entr econtrerent	-|-----|-⌫---⌫-⌫||----⌫----------|
Pageu 04P029	-----⌫-----|
Queleslancesenastelerent	--|--|-----|-----------|
esc uzesfondre rent.	---⌫-|--------⌫----|
Le sculïtoli	|-⌫--|--|---|
iornen ot p uissaisine.	--||-|-|-⌫--|-------|
Soz luis e narbra sond estrie r	--|--||-⌫-----|--|-⌫------⌫|
Moûtpar fuprès d eltrebuc hier .	----|--|-|----|-⌫-|------⌫----⌫|
Con e ü ab iensa	---⌫-⌫-||-⌫--|-|
esa proëce.	|-|-------|
R edot eeesten petitdore	-⌫----⌫-|--|-|----||--|
Esg reignors presses lorco rtsore	-|-⌫-------|------|--|--⌫-|---|
Soue ntlorfait mu er	----⌫-|--|---|--⌫-|
E guerpirselese cheu aus.	|------|----||----⌫---|
Bienli aidentses	---|-|-----|--|
Sanci espandentecerue l es	---||--------||-----⌫-⌫-|
Tozlescon reiz	--|--|---⌫---|
fon t t rair ear iere	---⌫|-⌫----⌫|--⌫---|
Pageu04P030	----------|
bi en quelapoudriere	--⌫-|--|-|--------|
E stdel sancuermeildestempree.	-⌫-|--|---|------|----------|
Rei T elamonmoutdesagree	--|-⌫-----|---|-------|
Ç o que iluei t nel puet sofrir	--⌫|--|-|---⌫|--|---|-----|
Panthesilee uait ferir .	----------|---|-----⌫|
Sorpr isela	-----⌫--|||
nel e ui t pas	-|-⌫|--⌫|--|
Iusl abatienmile tas	--||----|-|-|-|--|
Puismetla main al brantd	---|--|-|---|-|----||
En mi elesseuaitplong ier.	-|-|---|-|---|-----⌫---|
A treise n faitleschiés	|----|-⌫|---|--|-----|
Maism out le dut	---|-⌫--|-|--|
chier comparer	----|-------|
lon t de son dest rier	|--⌫|-|--|----⌫---|
Parqui nzeli euslifont raier	--|---⌫--|--⌫--|-|---|----|
L e sancdel corsparmi	-⌫|---|--|---|--|-|
labroi gne.	-|----⌫---|
Ci lid utcreis tretel es soign e	-|-|-⌫-|-----⌫--|--|--⌫-----⌫|
Quolaï de Philemenis	-|||---⌫-|---------|
Len menoënt	|-|-------|
e ntreelespris.	-⌫---|---|----|
Ap einepot	|-⌫---|--|
rescos se aueir.	------⌫-|-----|
M aisparforce e	-⌫--|--|----||
parestoueir	--|-------|
LelortoliDi omedès	-|--|---|--⌫------|
Pageu04P031	----------|
Quidarmesisofritelfais	--||----||----|--|---|
Quonques puisl orequ	-|-----|---||--|-|
N e fuenestorsi greu ez.	-⌫|-|-|----|-|----⌫--|
il fustdepartiz	-|---|-------|
Eniottantdese spasmi z	-||-|---|--|-⌫------⌫|
Que lomnen	--||-||-|
sotlenombre d ire.	--|-|-----|-⌫---|
Onc sif ait d uelnete l	--|-|-⌫--|-⌫--|-|--⌫|
De ̀s or coui entba issierorg uieuz.	--⌫-|-|----⌫--|--⌫-----|---⌫-----|
Panthe sileeserescr ie	------⌫----|-|-----⌫-|
Se s puceles o sei ra lie	--⌫|------||--|--⌫--|
Pui slorcheu auche	---⌫|--|----⌫----|
Adoncirotgrantfereïz	----||--|----|------|
E grant b ataille tote io r	|----|-⌫------|---|--⌫|
Maiss i com	---|-⌫|--|
re contelAuto r	--⌫----||----⌫|
esfo rzdesA m azonei ̂ses	----⌫-|--|-⌫-⌫------⌫---|
Pageu04P032	----------|
D es fr anchespu celescort eise s	-⌫-|--⌫-----|--⌫----|----⌫----⌫|
Fur entGreusiestou teié	---⌫--|---|-|-----⌫----|
Es i laidiesiplaié	|-⌫|----||-|-----|
Etan tpe rd i rent	|---⌫|--⌫--⌫-⌫---|
Que sen zautre recour ement	--|---⌫|----|------⌫----|
Lor estutlauile gue rpir	--|----|-|---|---⌫---|
Easherber ges	|-|------⌫--|
Mo utlaidi e moutdesconf it.	--⌫-|----||---|-------⌫--|
Selanui tn	-|-|---⌫||
enpr eï strespit	-|--⌫---⌫-|-----|
Dela b ataille	-|-|-⌫------|
mailestast	---------|
Sacheizi a p îez n	------|-⌫|-⌫---||
eneschapast.	-|---------|
La reïnePan thesilee	-|-----|---⌫-------|
Lora tresb ienl ir emostr ee	--||---|-⌫--||--⌫|-----⌫-|
QueleadEctor comp arélont	-|--|||----|----⌫---||--|
E pl uss el	|--⌫-||-|
puetlecompar ront.	---|-|------⌫----|
Sacheizensicomnoslisons	------|---|--|--|-----|
Prisleseüstes paueillons	---|--|----|-|---------|
Mo rz e ue ncuze detrenchiez	--⌫-||--⌫---||----------|
Queian en esc ha pastuns	--|-||-|---⌫--⌫---|--|
P ageu04 P033	-⌫------⌫---|
tot leplus	--|-|---|
sol li fizTyde üs.	--|-|--|----⌫---|
corslor destoli .	---|--|-------⌫|
Quigran tfaisdarme siso fri	--|----⌫|---||----⌫||--⌫--|
Ianauro ntmaiso	-||----⌫-|---||
luisoi o r.	--|---⌫-⌫-|
Ainzq uil partissentde l estor	---|-⌫|-|---------|-||----|
Fuuespresbasenuitproch aine	-|------|--||---|-----⌫---|
Assez orenttrau ail e peine.	----|----|----⌫--||-----|
LiTr oïen ol or conr eîz	-|--⌫----||-⌫-|----⌫---|
Le petitpasserrezes treîz	-|----|--|-----|--⌫-----|
Se n en trentenz	|-⌫|--⌫----|--|
m outlontbienfait	-⌫--||--|---|---|
D e t restozfudit eretra it	-⌫|-⌫-----|-|--||-----⌫-|
Quelareï ne	--|-|----⌫-|
senzdesd it	---|----⌫-|
Qu ifust degr ant nede	--⌫|---|-|--⌫--|-|-|
Aueitlepr isdeceliornal	----|-|--⌫-|-|--|-----|
S ique liduimeil i oruassal	-⌫|--|-|--|----⌫-⌫-|-----|
deus tan tfaitdesforz	|--|---⌫|---||-----|
Netant des	-|---|--|
lor ocis ne mor z	--|---|-|---⌫|
C omlareïnesolement.	-⌫-|-|-----|--------|
P a geu04P034	-⌫-⌫--------|
La n uitlifirent	-|-⌫--|-|-----|
maint present	----|------|
Moutl ontioïeehonoree	---||--|----||------|
bien celebree	---|-------|
Efai tsesb uense sesta lanz.	|---⌫|--|-⌫---||--|--⌫----|
Tozcuide estre re scosPrianz	--|----|----|--⌫---|-----|
P arliepar la soëgent	-⌫-|-||--|-|---|---|
Entrese sbraz lacole	----|--⌫|---||----|
renttotseilidone	---|--|--|-|---|
Eq uantq uilali abandone.	|-⌫---|-⌫|-||-|--------|
M outli f a itgrantpitiél i	-⌫--|-|-⌫-⌫-|----|-----|-⌫|
Quartendrem entploredes ieuz	---|-------⌫--|----|--|---|
Desesfiz ed eson damage.	-|--|--||-⌫|--|------|
E cele come	|---|---|
prozesag e	---||---⌫|
Leco nf orte m outbo nement.	-|--⌫--⌫---|-⌫--|--⌫------|
Lanuitiu rentse ürement	-|---|--⌫---|--⌫-------|
Enl ac itémai sliGrez ei s	-|-⌫|-⌫---|---⌫|-|----⌫--⌫|
Sonteng rantc riemeeen	---|-|-⌫---|-⌫----||-|
Quilneseientlendemain	-|-|-|-----||-------|
E parasautde l	|--|----|--⌫|
totconquis.	--|-------|
Esgua rdéontqu aspaueillons	-----⌫---|--|-|-|---------|
Sera tantlorde fensions	---|---|--|--⌫-------|
QueMenela usse it repairi ez	--|------⌫-|--⌫-|-------⌫-|
Pageu 04P035	-----⌫-----|
De laou ilert enueiez	-|-|-|-|--|------|
Eque lif iz Achillèsu ieng e	|--|-|-⌫-|--------|-⌫----⌫|
Nia uns ol	|||-|-⌫-|
quinesenc rienge .	--|-||-|-⌫------⌫|
Cele nuitsesontb ienguar ni	---|---|-|---|-⌫--|----⌫-|
Equantli iorz	|----|-|---|
furesclarci	-|--------|
Siserarmerentcild edenz	-|-|--------|--|-⌫----|
Forsseneissi	---||-|----|
tote lorgenz.	---|--|----|
L or conreizo nt	-⌫-|------|-⌫-|
bie n deuisez	---⌫|------|
Ainz queli	---|--|-|
soleizfust	-----|---|
Furent ilprès	-----|-|----|
despaueill ons.	--|-------⌫---|
Quant Greuu iren t les confan ons	----|---|-⌫----⌫|--|------⌫--|
Eles compaignesauenir	|--|---------|-----|
Lor armessontalésai si r	--|----|---|---|---⌫--⌫|
Defendron tseioautr ement	---------⌫|--||----⌫----|
Loriraiatrop malement.	--|--|-|---|--------|
Deuantlestentes serengieren t	-----|--|-----|-|---------⌫|
Troiesaproismierent	----||------------|
Quisuontfe r irsenz	---|---|--⌫-⌫-|---|
autree sg uart.	----|-⌫--⌫----|
La uo lentsaietese dart	-|--⌫---|------||---|
Laotestordur emortal	-|-|----|--||-----|
P age u04P036	-⌫---⌫------|
La otdetrenchié	-|-|----------|
main t uassal	----⌫|-----|
Lafu rentGreu	-|--⌫---|---|
Maismoutsedefendirentfort.	---|---|-|----------|----|
Ilperdentmoutm aisneq ueden	-|------|---|-⌫--|---⌫----|
Chierlecomperent	----|-|--------|
fu mo ut granzefiers	-|--⌫-|----||----|
Tantcomduraliiorz enti ers.	---|--|---|-|---|----⌫---|
Lar eïne deFemenie	-|-⌫----|-|------|
Lor iafait mainteenuaïe	--|||---|-----|------|
Ent rel iesesdameisel es	---⌫-|-⌫||--|--------⌫-|
L orf o ntoïrfreide s noueles.	-⌫-|-⌫-⌫-|---|------⌫|-------|
Parmaintesfe i zlesderomp eient	--|------|--⌫-⌫|--|------⌫----|
Dela ou i l sedefen de ient	-|-|-|-⌫|-|-----⌫--⌫---|
O n cteld olor	-⌫-⌫|--|-⌫---|
ge ntnesofri ren t	--⌫-|-|-----⌫---⌫|
fa itepe rte	--⌫--|--⌫--|
ne fi rent.	-|--⌫----|
I cestasautices tm artir e	-⌫---|----|----⌫|-⌫-----⌫|
