alaueillede	|-|-----|-|
et comand ele roi artusadieuet toz	-|------⌫|-|--|----||---|-|--|
les autres ausi.	--|-----|---||
etqua ntlenli	-|---⌫-|--|-|
uo lt demande rqui	--⌫-|-------⌫|--|
il estoi til ne ntintonquesplet aa x	-|-----⌫|-||-⌫|---|-----|---||-⌫|
ainz responditoutpleinementquiln e	---|-------|---|---------|-|-|-⌫|
lordiroitorepa s	--|-----|--|--⌫|
car il lesauroientb ie na tensseil	--|-|-|--------|-⌫--⌫||---|-|-|
losoientdeman der.	|------|-----⌫--||
siuientaumestre huisdoupale s quiclosert	-|----|-|-----|---|--|----⌫|--|---|--|
s ilueureetdescen ten la c ort aual	-⌫||----|-|------⌫|-|-|-⌫--|---|
sitro euech eualier s et escuiers	-|---⌫--|--⌫-------⌫|-|-------|
iusqua quinze quilatend oient	----||-----|--||-----⌫----|
et estoientue n uaue clui .	-|-------|--⌫-⌫|---⌫|--||
eti l monteetsepartdelacor t en	-|-⌫|----|-|-|---|-|-|---⌫|-|
telmani erequiln e sorentplusdeson e stre	--|----⌫--|-|-|-⌫|-----|---|-|--|-⌫---|
acelefoi z .	|---|---⌫||
qua ntci l delasaleuir entseoirlech eualier ou	---⌫-|--⌫|-|-|---|---⌫--|----|-|--⌫------|-|
siege que tantpreudome auoien tredouté o u tantes	----|--|---|-------|------⌫|-------|-⌫|-----|
granzauenturesestoient iaau e nuessi nia	----|--------|-------|-|--⌫-⌫---|-||||
celui quinen	----|--||-|
ai tgr ant merueille	--⌫|--⌫--|--------|
cari luoien t celui	--|-⌫|-----⌫|----|
sii one home quilneseu entdon ttelgrace	-|-⌫--|---|-|-|-|---⌫--|---⌫|--|----|
l ip uiste str eu enuesece nestd ela	-⌫|-⌫---|-⌫---⌫|-⌫---|-|-||--|-⌫|-|
uolentenos treseignor.	------|---⌫--|------||
etla f este	-|-|-⌫---|
comencegra nzpa rl aie nz	------|---⌫-|--⌫|-⌫---⌫-|
s ifo nthonorau	-⌫|--⌫-|----|-|
che ualier et	---⌫-----|-|
liun et li autrecarbien	-|-|-|-|----|--|---|
pensent que ces oit ci lpar cui le smerueill esdou	------|--|-|-⌫--|--⌫|--|--|--⌫|--------⌫-|--|
sain tgraaldoiuentf aillir et	----⌫|----|------|-⌫-----|-|
bien lou conoissentparlesprueued els iege ou	---|--|---------|--||-------|-⌫-|-⌫---|-|
onqueshom ne	-----|--|-|
s estoitassi za cui iln en	|-----|----⌫||--|-||-|
fustmescheu enaucu ne maniere	---|------|-|----⌫-|------|
nemes acestui.	-|--||-----||
sile seruentethonorentde quantquil	-|-|------|-|-------|-|------|-|
pu eentcome celui queiltien entam es treet a	--⌫---|---|----|--|-|----⌫--||-⌫--⌫--|-||
seignor pardesuzcelz	------|--|----|---|
d elatablereonde.	-⌫|-|----|-----||
e tla n c elotquimolt	-⌫|--⌫-⌫-⌫---|--|---|
uolent iers le resgar do i tp or	------⌫---|-|------⌫--⌫-⌫|-⌫-|
lamerueillequ il n ena	-|--------|-|-||-||
conoistque ceestcilqu il	------|--|-|--|--|-|-|
cheual ier nouel	------⌫--|----|
s ienamolt grantio ie.	-⌫|-||---|----|--⌫-||
etporcelifet	-|--|-|-|--|
il leg r eignor honor queilpuet	-|-|-⌫-⌫-----|----|--|-|---|
etlemet enparo le de	-|-|--|-|----⌫-|-|
main tesch osesetli	----⌫--|--⌫---|-|-|
sonestrequ eil l endieaucune	--|----|--⌫|-||-|--|-----|
etcil quiauq ues lecon oi stetne	-|--|--|---⌫--|-|---⌫--⌫-|-|-|
loserefusersirespontmain tes	|--|------|-|------|----⌫--|
qu ill i demande.	-|-|-⌫|------||
mesb oorzq uitantest liez	--|-⌫---|-⌫-|---|--|---|
quenuspluset quibienconoi stqueceest	--|--|---|-|--|---|-----⌫-|--|-|--|
galaad lifilzlancelot ci l	-----|-|---|-------|--⌫|
quidoitlesauenturesmenerachiefparolea	--|---|--|--------|----||----|-----||
lyonel son frereetli di st biaufrere sauez uos	-----|--|----|-|-|--⌫-|---|----|----|--|
quicis tch eualiersest quisietousie ge	--|---⌫|--⌫-------|--|--|---|-|---⌫-|
perill eux	------⌫--|
ienelsaimietr esbie nfet	-|-||--|--|--⌫-|---⌫|--|
lyone lforstantquecee st cilquia estéh ui	-----⌫|---|------|-|-⌫-|--|--||----|-⌫-|
fetcheualiernouel qu e	--|--------|----|--⌫|
mes s irelancelot fisthui	--|-⌫--|-------|---|--|
che ualiern ouelde sa ma in	---⌫-----|-⌫---|-|-|--⌫-|
cildontentre	--|---|----|
moietuosauonstoute ior	--|-|--|----|----|--|
parléquemes si re	-----|--|--|--⌫-|
lancelote ng endraen	-------|-⌫--⌫----|-|
lafillele riche	-|----|-|----|
roip escheor.	--|-⌫------||
ueraiementle sac hiez uosfaitboorzque	---------|-|---⌫---|--|---|----|--|
ceestil et quilest	-|--|-|-|-|-|--|
nostrecousi ns prochains.	-----|-----⌫-|--------||
e tde ces te au entur ed euonsnos	-⌫|-|---⌫-|--⌫-----⌫|-⌫----|--|
estremoltlie	----|---|--|
carcenest mie doutequil	--|-||--|--|----|-|-|
ne uiegneencora	-|-----|----||
greignor chosequecheual ie rs q ue ieonquesconeusse	-------|----|--|------⌫--⌫-|-⌫-|-|-----|-------|
belcomence ment	--|-------⌫---|
einsipa rolent	----|--⌫-----|
freredegalaadeta usifonttuitli	----|-|-----|-|-⌫--|---|---|-|
autreparlaienz.	----|--|-----||
si en corttantla	-|-|---|---|-|
n oueleamont etaual quelaro ine q ui	-⌫----|----|-|---|--|-|--⌫--|-⌫-|
en seschambr es me ng o it	-|--|------⌫-|--⌫--⌫-⌫-|
enoiparlerparu n u aslet qui	-|-|-----|--|-⌫|-⌫----|--|
li dis tdam e	-|---⌫|---⌫|
merueillesson tauenueslai enz	---------|---⌫|------|---⌫--|
coment fet el e	-----|--|--⌫|
parfoidame	--|--|---|
fe t il unscheualiers e stacort	--⌫|-|--|---------|-⌫-||---|
uenuzqu ia acom plie	----|--⌫||----⌫---|
l au enture	|--⌫-----|
dous ieg e perilleusetest li	--|-⌫---⌫|--------|-|--|-|
cheua lierssiiuen eshom que	-----⌫----|-|----⌫-|--|--|
toz li siecle ssemeru ei lledont celegraceli	--|-|------⌫|-|----⌫--⌫--|---|---|----|-|
puet estr euenue.	---|----⌫|----||
uoirefet ele	----|--|--|
pu e tceest reuoirs	--⌫-⌫|-|---⌫-|----|
oilfetcilu era iementlesachiez	--|--|--|-⌫---⌫-----|-|------|
ennondieufete led ontliest	-|--|---|--|-⌫-|-⌫--|-|--|
ilmolt b ien auenu	-|---|-⌫--|----|
carcele auent ure	--|---|-----⌫--|
neuoultonquesmes n us hom acheu erquil	-|----|-----|--|-⌫-|--|-----⌫-|-|-|
n ifustmorsoumehaig niezainzqu il leust	||---|---|-|------⌫---|-----|-||---|
menee a fin .	----||--||
diexfont lesdamestantfu de bonehor e	---|---|--|----|---|-|-|---|---⌫|
nez lich eualiers	--|-|--⌫-------|
onquesmes homtantfustdegrant proesc e nepot	-----|--|--|---|---|-|----|------⌫|-|--|
auenir ace quei l	-----||-|--|-⌫|
estauenu z.	--|-----⌫||
et pa r ces te	-|--⌫|---⌫-|
auenturepuet	-------|---|
len biencon oistreque ce estcilquime traa	--|---|---⌫-----|--|-|--|--|--|--⌫--||
finlesaue ntures	--|--|---⌫-----|
gran tbreta ign e	----⌫|-----⌫---⌫|
e t parcuili rois mehaigniez	-⌫|--|--|-|---|---------|
receuragarison.	------|------||
biax amis fetlaroin eau ua lletsediex t	---|---|--|-|----⌫|-|--⌫---|-|---||
a ito r me	-⌫-|-⌫|-|
quellef ac on	-----|-⌫--⌫-|
da mefetil se diexm	--⌫-|--|-|-|---||
aitceestu nsdes	--|-|--|-⌫-|--|
biaxcheualiersdoumond e .	---|---------|--|----⌫||
mesilesti uenes	--|-|--|-⌫----|
a merueil lese tresembl e a	|-------⌫--|-⌫|-------⌫||
l ancelotet auparen te le r oiban si merueilleusement que	-⌫------|-|-|-----⌫-|-|-⌫-|--|-|---------------|--|
tuit cildelaienz uo nt d isantp oruoirque	---|--|-|-----|--⌫-|-⌫----|-⌫-|---|--|
ilenestes trez .	-|-|--|--⌫---||
et lors ledesirrela ro ine a u eoir	-|---|-|------|-|--⌫--||-⌫---|
asse z plu s	----⌫|---⌫|
q u ele ne	-⌫|--|-|
fesoitdeuant .	-----|-----||
c arparcequeele aoiparlerde	-⌫-|--|-|--|--||-|-----|-|
la se mblance penseelebi enque	-|--⌫------|----|--|--⌫-|--|
cesoitg alaad	-|---|-⌫----|
quelancelotauoitengendréenlafille	--|-------|----|--------|-|-|----|
auricheroipesc heoreinsi	-|----|--|----⌫---|----|
auoi ti aconté parmaintesfois	----⌫|-⌫|-----|--|------|---|
enque lmanie r eil	-|---⌫|-----⌫-⌫|-|
auoitestédeceuz	----|----|-----|
e tce estoitla chose pa rcoiel efu st	-⌫|-|-----|-|----|--⌫|--|--⌫|--⌫-|
pluscorroucieeuerslancelotse la c o ulpe enfust	---|---------|---|-------|-|-|-⌫-⌫---|-|---|
aper teme ntso ie.	----⌫----⌫-|--⌫-||
q uan tliroisot	-⌫---⌫|-|---|-|
mengie ́ et licomp aignon delatablereond e	------⌫|-|-|----⌫-----|-|-|----|-----⌫|
si se leu erent delorsieges	-|-|---⌫----|-|--|-----|
etlirois meismesuintausiegeperill euxet	-|-|---|------|---|-|----|------⌫--|-|
leua le drap	---|-|---|
de soieet troua	-|---|-|----|
l en on galaadqu	-⌫|-⌫-|-----|-|
ildesirro itmolt a	-|-------⌫-|---||
m ostreamonseignorgau ua inetli	-⌫----||--|------|---⌫--⌫-|-|-|
di t biaxniez or auon snos	--⌫|---|---|-|----⌫|--|
galaadlebon cheu alierpa rf aitquen osetci lde	-----|-|--|----⌫----|--⌫--⌫--|--|-⌫-|-|--⌫|-|
latablereon deauons tantdesirréa	-|----|----⌫-|----|---|-------||
orpensonsdel ui	-|------|-|-⌫-|
honorerets eruir	------|-|-⌫----|
tant comeilser aa ue c	---|---|-|---⌫|-⌫--⌫|
carc aienzne demorra ilpas	--|-⌫----|-|------|-|--|
l o nguementcesaiiebienporlag rantq ue ste	-⌫-⌫-------|-|--|-|---|--|-|-⌫---|-⌫--⌫--|
dougraalqui prochien ementcomencera s icomeiecr oi	--|----|--|--------⌫----|--------|-⌫|---|-|--⌫-|
etlan celotle nosa	-|---⌫----|-|--||
hui fait entendantquilne l	--|---|--------|-|-|-||
deistpas siln	----|--||-||
en seus ta ucune chose.	-|----⌫|-⌫----|----||
sire fetmessiresgauuain et	---|--|--|----|------|-|
uosetnosle deu onsseruir c omec elu ique	--|-|--|-|---⌫--|-----|-⌫--|-⌫---⌫|--|
diexnosae nuoi é pordeliurernostrepais	---|--||-⌫----⌫-|--|-------|-----|---|
desgranz merueilles	--|----|---------|
etdesestr anges	-|--|----⌫----|
aue nt ures q ui tantsou ent	---⌫--⌫---|-⌫-|---|---⌫--|
i sont auenu espars ilonctens .	|---|-----⌫-|--|-⌫|---|---||
lors u ientli roi sa galaad etli	---|-⌫---|-|---⌫||-----|-|-|
biens oiezuosu enuzmolt uos auonsdesirré	---|-⌫---|--|-⌫---|---|--|----|-------|
oru os au onscaienzladieumercietlau ostre	-|-⌫-|--⌫--|-----|-|---|----|-|-|-⌫----|
quiidaigna stesue nir.	--||------⌫---|--⌫--||
sirefeti lie	---|--|-⌫|-|
isuiuenu z	|--|----⌫|
car ieledeuoie bien ferepor	--|-|-|-----|---|---|--|
ceq uede ceanz doiuentmouoirtu it cil	-|-⌫-|-|----|------|-----|--⌫-|--|
q ui serontc ompa ignon d elaqueste dousaint	-⌫-|-----|-⌫----⌫----|-⌫|-|-----|--|----|
graalquipartens sera com enc iee	----|--|--|---|---|---⌫---⌫--|
sire fet lirois deuostreu enu e auio nsnos	---|--|-|---|-|-----|-⌫---⌫|----⌫-|--|
moltg ra n tme stierpormoltes	---|-⌫--⌫-⌫|--⌫----|--|-----|
chos eset por lesgranzmer ueillesde	----⌫-|-|--|--|----|---⌫------|-|
ceste terre mener	----|----|----|
a finetpor une auen ture m ener achie f qui	|--|-|--|--|----⌫---|-⌫---||----⌫|--|
huinosestauenue aqu o icildece anz	--|--|--|-----||--⌫-⌫|--|-|--⌫--|
ontfailli.	--|-----||
etiesaibi en	-|-|--|--⌫-|
queuosni faudrezpascomecilqui	--|--|||------|--|---|--|--|
deuezacheuer	----|------|
lesauentu r esaqoiliautreauront	--|------⌫-⌫-||--|-|----|-----|
carporce uosa	--|--|-|--||
diexe nu oiéentrenos	---|-⌫--⌫---|----|--|
qu euos parfacoiz ceque li autre	--⌫|--|--------|-|--|-|----|
neporentonques meneraf in.	-|-----|-----|----||-⌫-||
sirefetgalaa douestcele	---|--|-----⌫|-|--|---|
auenturedontuos me parlez	-------|---|--|-|-----|
ielaue rroie uolenti ers .	-|-|--⌫----|-------⌫--||
la uosmo sterraif etlirois.	-|--|--⌫------|-⌫-|-|---||
etlo rsle pr e ntp arlamain	-|--⌫-|-|--⌫-⌫-|-⌫-|-|---|
si descend entdo upal es	-|-------⌫--|--⌫|---⌫-|
et tuitlibaron d e lai enzuon tapres por	-|---|-|----|-⌫|---⌫--|---⌫|----|--|
ueoir coment lauenture do uperronseramen eea	----|-----||-------|--⌫|-----|---|---⌫-||
sii acor r ent liu n	-||----⌫-⌫--|-|-⌫|
e t liautre	-⌫|-|----|
ent elmani erequil ne remestcheu ali eren tot	-|-⌫-|----⌫--|-|-|-|-----|----⌫---⌫-|-|--|
lep ales quilaneueni st.	-|-⌫---|--|-|-|----⌫-||
et la nouele paruientmainte nant alaroine	-|-|-----|-------|------⌫---||-|----|
et si tostcome	-|-|---|---|
o t dire sifet	-⌫|---|-|--|
osterles tableset	----|--|-----|-|
dist a quatrede splushautes	---||-----|--⌫|---|-----|
damesq uiestoientauec	----|-⌫-|-------|---|
li belesdames ue n ezauec moi iusqa la	-|----|----|--⌫-⌫-|---|--|---||-|
carie nelair oi e ennule	--|-|-|----⌫--⌫|-|---|
maniere qu e ieneuo i ecesteaue nture me ner	------|--⌫|-|-|--⌫-⌫|----|---⌫----|--⌫--|
a f in sei e	|-⌫-|-|-⌫|
ip uisonquesue nira tens.	|-⌫--|-----|--⌫--||---||
at antde scent lareine dou pales	--⌫--|--⌫----|-|----|--|----|
etot auecsoigrantco mpaignie	-|-|---|--|----|--⌫-------|
etdedamois eles.	-|-|------⌫---||
quan tel esfurent	----⌫|--⌫-|-----|
al eueetlicheual ierl esui rentuenir s i	||--|-|-|------⌫--|-⌫-|--⌫---|----|-⌫|
comencieren tadire	-----------⌫||---|
to rnez uos u eez ci laroine	--⌫---|--|-⌫--|-|-|----|
sil ifo ntmainten a ntuoi etuitliplus	-|-⌫|--⌫-|-------⌫-⌫-|---⌫|---|-|---|
etli roisdistagalaad	-|-|---|---||-----|
sire ueezci lauenturedontie	---|---|-||-------|---|-|
a ce stee speet rer e	|--⌫--|-⌫---|-⌫---⌫|
forsdecest pe rron onth uifaillides plusproisiez	---|-|---|--⌫---|--|-⌫-|-----|--|---|-------|
cheualiersdemon o stelq uionques	---------|-|--|-⌫---|-⌫-|-----|
nel emporenttrere.	-||-|-----|----||
sire fet gal a a dcenes tmie de	---|--|---⌫-⌫-⌫|-||--⌫|--|-|
merue ille car lauent ureest oi t	-----⌫---|--||-----⌫--|---⌫--⌫|
e rtpas lor .	-⌫-|--|--||
etpo rlagrant	-|--⌫|-|----|
seur teque i e	----⌫-|--|-⌫|
auoie dece stee speeau oi r	----|-|--⌫--|-⌫---|--⌫--⌫|
nenaportai iepoint a c ortsi	|-|------|-|----||-⌫--|-|
comu os pois te sueoir.	--|-⌫-|----⌫--⌫|----||
et lors metlamainalespe eet	-|---|--|-|---|||----⌫|-|
latre st fors	-|---⌫-|---|
dou per ronautresi legi erementcome seeleni	--|---⌫--|------|----⌫------|---|-|--|||
tenist p as	-----|-⌫-|
puispren tlefuerreetl amet dedenz .	---|----⌫|-|-----|-|-⌫|--|-----||
etmaintenantla	-|---------|-|
cai nsten torluietdi stauroi	---⌫--|--⌫--|--|-|--⌫-|-|--|
sire orualtmielzque	---|-|---|----|--|
orne mefautm e sfors escudon tie n	-|-|-|---|-⌫-⌫|---|---|---⌫|-||
biausiref etlirois escuuosenu oieradiexd	---|---|-⌫-|-|---|---|--|---⌫----|---||
aucun epa rt ausi nt	-----⌫|--⌫-|----⌫-|
c omeil afetespe e .	-⌫--|-||--|----⌫||
etlo rs rega r denttot contreu a llariueetuoientuenir	-|--⌫-|----⌫-⌫---|--|-------⌫-⌫|-|---|-|-----|----|
un edamoiselemonteesorunpall efroi	--⌫|--------|-----|--|-|----⌫----|
bla nc qui uenoituer sauxmoltgrantaleure.	---⌫-|--|-----|---⌫|--|---|----|-----||
etquant e lefu aa xu enue sisalu ale	-|----|-⌫-|-||-⌫|-⌫---|-|----⌫|-|
toute lacompaignie etdemanda se lancelotes toitiluec	----|-|---------|-|------|-|-------|--⌫---|----|
e tilestoittresdeuant	-⌫|-|-----|---|-----|
luisilirespontda mo ise leueezmeci	--|-|-|------|--⌫--⌫---⌫-|---|-|-|
et ele le resgarde silecon o ist	-|--|-|-------|-|-|---⌫-⌫--|
e tlors li dittot	-⌫|---|-|--|--|
emplora ntha	-|-----⌫-|-|
lancelo ttantest uostre aferechan gi ezpuisiermatin	-------⌫|---|--|-----|----|----⌫--⌫-|---|--|----|
etq uantilotcesilidistdamoiselecoment	-|-⌫---|-|-|-|-|-|---|--------|-----|
d ite sle moi.	-⌫---⌫|-|--||
parfoi feteleieleuosdirai	--|--|--|--|-|-|--|----|
uoi a nt toz cax deceste place .	---⌫-⌫-|--|--|-|----|----||
uosestie z h ier matinlimield r esch eualiersdou	--|-----⌫|-⌫--|----|-|-----⌫-⌫-|--⌫-------|--|
etquilor suosapelastl an celotle meillor	-|--|---⌫|--|------|-⌫--⌫----|-|------|
cheualier de tozild eist	--------|-|--|-|-⌫---|
uoi r car alorslest iez	---⌫|--|----||---⌫--|
oreledi roit lenle deu ro itt eni ra me n congiercar	--|-|--⌫---|--|-|---⌫--⌫-|-⌫---⌫||--⌫-⌫------|--|
mei lloria deuos etbien	---⌫---|||-|--|-|---|
es tprouee choseparlau entu rede	--⌫|-----|----|--||--⌫----⌫-|-|
cesteesp eeaquoi uosnosastes metrelamain	----|---⌫-||---|--||------|----|-|---|
etceestlic hangemenzetli	-|-|--|-|-⌫--------|-|-|
muemenz d euo strenondont ieuosai f et	------|-⌫|--⌫---|--|---|-|--|-|-⌫-|
remembrance porce	----------|--|-|
quede sor e mesne	--|--⌫|--⌫|--|-|
cuidiez queuosso iezlimi eldresch euali ersd ou	------|--|--|--⌫--|-|--⌫-----|--⌫-----⌫--|-⌫-|
etild istquiln elcuidera iamesc ar	-|-|-⌫--|-|-|-⌫||------|----|-⌫-|
cesteauenture lena	----|-------||-||
mistot forsdelcuidier .	--|--|---|-||------||
lors se retor nela	---|-|-----⌫-|-|
damoisele de ue rs leroi e t	--------|--⌫--⌫-|-|--|-⌫|
l idit roisa r tusce	-⌫|--|---|-⌫-⌫--|-|
temandeparm oinasciensli h erm ites	-|----|--|-⌫-|-------|-|-⌫---⌫---|
queencest iorduit	--|-|---|--||-||
auendra l agraindr e honorsqu ionq uesaue nist	------|-⌫|-------⌫|-----|--⌫|---⌫--|---⌫---|
acheua lierde	|-----⌫---|-|
br eta igne .	--⌫---⌫---||
etceneseramie p ortoime s	-|-|-|---|--|-⌫-|--|--⌫|
p or a utre .	-⌫-|-⌫---||
et sez tud eq oi	-|--|-|-⌫|-⌫-|
delsaint gra alquihu i a parraen	--|----|---⌫-|--|--⌫|-⌫----|-|
tonh osteletrepestralescompai gno nsdelatablereonde	--|-⌫----|-|-------|--|------⌫---⌫-|-|-|----|-----|
etmai ntenan tqueleot dite	-|---⌫------⌫|-|--|-|---|
cesteparolesisen	----|-----|-||-|
retornae tsere mis t enlauoieque	------|-⌫|-|--⌫---⌫|-|-|---|--|
elee rtuen ue .	--|-⌫-|---⌫-||
ilassezenla placebarons e t cheua liers	-|----|-|-|----|-----|-⌫|-----⌫----|
qu i l a uoldren tret enirporsauoir qui eleestoit	--⌫|-⌫|-------⌫|---⌫---|--|-----|--|--|-----|
et d ont eleert uen ue	-|-⌫--|--|--|---⌫-|
m e seleneuoltonquesr emano ir porhom	-⌫-⌫|--|-|---|-----|-⌫-----⌫-|--|--|
quionques lenpr oiastetlorsdist	--|-----||-|--⌫----|-|---|---|
l iroisas b aronsdesonostelbelseignor	-⌫|---|-|-⌫----|-|--|----|--|------|
ilesteinsin t q ue dela qu este	-|--|------⌫|-⌫-|-|-|--⌫---|
delsaintgraalauonsnosueraiedemon stranceeue que uos	--|----|----|----|--|-----|-----⌫------|--|--|--|
i entreroizproc hainement.	|--------|----⌫--------||
et p orceque	-|-⌫-|-|--|
i e sai bien queiene uos uerraiiam es	-⌫|--|---|--|-|-|--|-----|---⌫-|
toz eins intensemblecome	--|----⌫--|-------|---|
uoses tesorendroit uueilie	--|--⌫--|--------|----|-|
que enlapraierie decamaalotsoit	--|-|-|-------|-|-------|---|
orend roitcomenciezuns	-----⌫---|--------|--|
tornoieme nss ie nu oisiez qu eapresno s	---------⌫-|-⌫|-⌫--⌫-----|--⌫|----|--⌫|
m orsenfacentremembrance lioirqui apr es	-⌫--|-|-----|----------|-|--|--|---⌫-|
n o suendront	-⌫-⌫|-------|
s acordent tuita ces teparole .	|-------|---||---⌫-|-----||
sireuienenten	-|--------|-|
laciteet prenent lor	-|---|-|------|--|
arme sde tex iot por	----⌫|-|--||-|--|
aios terplus	----⌫--|---|
detexiotquinepristrentfors	-|--||-|--|-|--------|---|
couerturesetescuzcar	---------|-|----|--|
molt s e f ioient enlo r	---|-⌫|-⌫-----|-|--⌫|
proescesli plusd	-------|-|---||
etliroisqu itot ceot	-|-|---|--⌫|--|-|-|
esme u nel auoit fetforsporueoir partie	----⌫|-||----|--|---|--|----|-----|
dela cheualerie	-|-|---------|
car bienp ensoit	--|---|-⌫-----|
queilnereuendr oit m e s	--|-|-|-------⌫--|-⌫-⌫|
acort qua ntilsempart iroit .	|---|---⌫-|-||-|----⌫----||
quanttu i tfu rentasem blé es	----|--⌫-⌫|--⌫---|----⌫---|-|
prez de camaal otl igrant et lipet it galaadpar	---|-|------⌫-|-⌫|----|-|-|---⌫-|-----|--|
laproie redou	-|-----⌫-|--|
r oiet del a	-⌫-|-|-|-⌫|
roine mistsonhauberc	----|---|--|------|
etson hiaumeen sateste	-|--|-----|-|-|----|
m esonques escu niuolt pr endrepor	-⌫-|-----|---|||---|--⌫----|--|
chosequelenlid eistet messiresgauuainsqui	----|--|--|-|-⌫---|-|--|----|-------|--|
tropene stoitliezdistquei llipor ter alances	---|-|-⌫----|---|---|--|-⌫|-|---⌫---⌫|-----|
et ausi nt	-|----⌫-|
distmessi resyuains	---|--|--⌫--|-----|
etboo rzde gaunes.	-|---⌫-|-|-----||
etlar oine fumont ees orlesmurs	-|-|-⌫---|-|----⌫-|-⌫-|--|---|
a grantcompaigniede dames etdedamoiseles.	|----|---------|-|----|-|-|---------||
et galaad qui	-|-----|--|
fuuenuz enlapraieri eauec	-|----|-|-|-------⌫|---|
les autres comencalancesa	--|-----|------|-----||
brisie r sidur ement quenusne	------⌫|-|---⌫----|--|--|-|
l ueistqui	|----|--|
am erueillesnel tenist	|-⌫--------|-||-----|
sienfis ttant en poid o r e quil	-|-|---⌫|---|-|--||-⌫-⌫|-|-|
home nef am een	---|-|-⌫--⌫|-|
laplace qu isacheua lerieueist quia	-|----|--⌫|-|-----⌫----|----|--||
merueillesne	---------|-|
ltenistetau	|-----|-|-|
mei llor detoz.	---⌫---|-|--||
et distrent	-|-------|
ci lquionquesmesnelauoien tueuquehautement	--⌫|--|-----|--|-||------⌫|--|--|--------|
a u o itcomencieecheualerie	-⌫-⌫-⌫-|--------|---------|
et bien paroit .	-|---|-----||
ilauo i tleiorfaitque	-|---⌫-⌫|-|--|---|--|
d iluecen auantporroitil l egierementsor m o nter d e	|----|-|----|------|-|-⌫---------|---⌫-⌫-⌫---|-⌫|
proes cetozles a utres cheu a liers.	-----⌫-|--|--|-⌫----|----⌫-⌫----||
carquant litornois f uremesil trouerent que	--|----|-|------|-⌫|----|-|--------|--|
detoz lescom paignonsd e latable	-|--|--|---⌫-------|-⌫|-|----|
reonde qui	-----|--|
armespor tassentn e nauoitilremesq uedeus	----|---⌫------||-⌫|----|-|----|-⌫-|---|
qui lneus ta b atuz etc e	-|-⌫||---⌫|-⌫-⌫---|-|-⌫|
ert la ncelot	--|--⌫-----|
e tperceual.	-⌫|-------||
tel manierelitornois ius qu apresnone	--|------|-|------|---⌫-|----|---|
etlorsremest	-|---|-----|
carl i roismeism es	--|-⌫|---|-----⌫-|
quiauoitdoutanc e	--|----|-------⌫|
quil ne torn astauderreain a c orrouzles	-|-|-|----⌫--|-|-------||-⌫-----|--|
fistdepartiret fist agalaad	---|-------|-|---||-----|
deslacierson	--------|--|
hiaumee tlebaillaa porter	-----|-⌫|-|-----||-----|
aboo r tde gaunes	|---⌫-⌫|-|-----|
sil enmena desprezen	-||-|---|--|---|-|
la ci tedec amaalotparmila	-|--⌫-|-|-⌫------|----|-|
mestrerueleuisagedescouert p or cequetuit	-----|--|-|-----|--------|-⌫-|-|--|---|
leuei ssentap ert ement.	-|---⌫----|--⌫---⌫----||
etquant laroinelot bienauis ési	-|----|-|----||-|---|----⌫-|-|
dist q ueuoirement	---|-⌫-|--------|
lauoitlancelotengend r écar onques	|----|-------|------⌫-⌫-|--|-----|
re semblerent duihome si me rueilleusementcomeildu i fesoi ent	--⌫---------|--|---|-|--⌫-------------|---|-|--⌫|-----⌫--|
etpor ceun	-|--|--||
pas mer ue ille seil estoitdegrantcheua leriegarnizcar	--|---⌫--⌫---|-|-|-----|-|----|-----⌫----|-----|--|
autrementfor lign asti l tro p	--------|---⌫----⌫--|-⌫|---⌫|
etuneda mequi oto i une partied e ce s	-|--|--⌫-|--|-|-⌫|--|-----|-⌫|--⌫|
parolesl irespon ditotmainte n antdamep or d ieudoit	------|-⌫|------⌫-|--|------⌫-⌫--|---|-⌫-|-⌫--|---|
il donc pardr oitestre si bonscheualierscomeuos	-|---|--|--⌫--|----|-|---|---------|---|--|
fet l a roine .	--|-⌫|----||
ca rilestdet otesparz	--⌫|-|--|-|-⌫---|---|
estrezdes meillorscheualier sdoumondeet dou	-----|--|-------|---------⌫|--|----|-|--|
p lusha utlig nage que lensache.	-⌫--|--⌫-|---⌫---|--|--|----||
atantdes ce n dir ent lesdames	----|---⌫--⌫-⌫---⌫--|--|----|
uesprespor lahautescedouior .	------|--|-|-------|--|--||
etq uantlirois	-|-⌫---|-|---|
fu issuzdoumostieret ilu intoupales en	-|----|--|------|-|-|-⌫--|-|----|-|
ha utsicomandaque	--⌫-|-|------|--|
lestablesfu ss entmises.	--|-----|--⌫--⌫--|----||
etlors s ale rentseoir licheualier	-|---||---⌫---|----|-|--------|
cha scunsensonl euausicome ilauoien tfet	---⌫----|-|--|-⌫-|---|---|-|------⌫|--|
etquantilsefure nt tuitasisparlaie nz	-|----|-|-|----⌫-|---|---|--|----⌫-|
et il se fur ent	-|-|-|---⌫--|
tuit ac oisiezlors oirenti lueni r	---|--⌫-----|---|-----|-⌫|----⌫|
un escroiz detonoire	-|------|-|------|
si grantetsi	-|----|-|-|
merueille u squ i l l orfu au is quelipales	---------⌫-⌫|-|-⌫|-⌫-|-|--⌫-|--|-|----|
deustfon d re.	----|---⌫-⌫-||
e t m a intenantentrala ienz	-⌫|-⌫-⌫-------|----|--⌫---|
u nsrais de soleilqui fi stlepalespluscle rs	-⌫-|---|-|-----|--|--⌫-|-|----|---|---⌫-|
