#ME TA# TextURISGeorguosL	---⌫--|------|---------|
#META#DEAF http//www.deaf-pa g e.de/bibl/bib99s.p h p#SGeorguosL	-----|---|-----------------⌫-⌫------------------⌫-⌫-----------|
#M ETA#T LSGe orge	--⌫---|-⌫||--⌫---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttp s//arlima.net/no/2627	-----|-----|----⌫--------------------|
#META#Author	-----|-----|
#M E TA#Author B or n	--⌫-⌫--|------⌫-⌫--⌫|
#M E TA #AuthorBornAmb	--⌫-⌫--⌫|------------|
#META #AuthorDied	-----⌫|---------|
#ME TA# AuthorD ie dAmb	---⌫--|-------⌫--⌫---|
#ME T A#AuthorFl1	---⌫-⌫-|--------|
#ME TA#Autho rF l2	---⌫--|-----⌫--⌫-|
#META#TextTitle La	-----|--------|-|
uiede s aintGeorg e	--|-|-⌫---|-----⌫|
Lauois de De us aint	-|---|-|--⌫|-⌫---|
E sp erit e	-⌫--⌫----⌫|
Io r ge totseque tuuodras	--⌫-⌫-|--|-|--|-|-----|
Demand erpor ueir tuauras.	------⌫-|--|---|-|-----|
Deuoï sa int	--|--|--⌫--|
Iorgeàdeliure	----|-|------|
morsfistleu eretuiure	---|---|---⌫-|-|----|
parEsmeest	--|---|--|
Queomeque femesont prisé	--|--|--|---|---|-----|
xxxu s ans d ote	---|-⌫--|-⌫--|
Telfu desreu escuz la	--|-|--|---⌫----|-|
Iobel auoit nomliun sd iaus	----|----|--|-|--⌫||---|
Quifu pa i ens etpuisf usaus.	--|-|--⌫-⌫--|-|---|-⌫|----|
Lisains li distmultbonemen t	-|----|-|---|---|-------⌫|
Amisd i moicertainement	---|-⌫|--|-----------|
ldirepa s n et enuit	|---|--⌫|-⌫||----|
Combien aquemors fus testuit	------||--|---|---⌫--|---|
Sildistcca nsa	|-|---|-|-⌫-||
Q ue mo rsfu mes	-⌫-|--⌫-|--⌫--|
etplusassé s.	-|---|-----⌫-|
Lisain sdis t Quelleiaor ées	-|----⌫|---⌫|---|--|---⌫---|
En d ementré que uiue ́es	-|-⌫-------|--|----⌫--|
Io beldistApolinsansfa ille	--⌫--|---|-----|---|--⌫---|
Maiste l deus neua u tune	---|--⌫|---|-|--⌫-⌫|--|
Por ceauonssoff ert	--|-|----|----⌫--|
gra ntpeine	---⌫-|----|
Ettorm entgra nten fernalreg ne.	-|----⌫--|---⌫-|-|-----|---⌫--|
inferfors no sgetas	----|---|--⌫|----|
Quanttus inos recoss i tas	----|-|-⌫|--|------⌫-⌫--|
Ortep rionscom unement	-|-|-⌫----|---⌫------|
hastiuement.	-----------|
Quilnenos c oui eigne	-|-|-|--|-⌫---⌫----|
Et au feud infer	-|-|--||----|
Ileucnotaig e apareillée	----||-|---⌫|----------|
Quifustnid o ce	--|---|-|-⌫-⌫-|
ni s alée.	-|-⌫-----|
Lis ainsfist enlaterrecrois	-|-⌫---|---|-|-|----|----|
Donc sailif ontaineàgra ntfrois	---|----|-⌫------|-|---⌫-|----|
Lor sl esbat ia s ilesfistliés	---⌫|-⌫-|---⌫-|-⌫|--|---|----|
Lauéfurentdelor pech és.	----|-----|-|--|----⌫---|
L is ains lo rdistAinsque	-⌫|-⌫---|--⌫|---|---|--|
Enparadisirèssansfaille.	-|------|----|---|------|
C o n gé lor	-⌫-⌫-⌫--|--|
donac ils enmurent	---|-⌫-||-------|
Queonquespuis uéu	--|-----|---|---|
C il quilesmiraclesape rceurent	-⌫-|--|--|-------|---⌫-------|
EnI esu-CristnotreDeucrur ent	-|-⌫--------|----|--|----⌫--|
Etdiren ttuitporl aprou ance	-|-----⌫|---|--|-⌫|----⌫---|
Io rge agrant puissance.	--⌫--||----|---------|
Daciensdireà poine	------||--|-|--|-|
Se queil ueit	-|--|-|---|
form e ntligrieue.	----⌫-⌫-|-|------|
Dangoissebrisasasaintur e	|-------|----|-|-------⌫|
Pas méchaïàte rredure	---⌫--|----|-|--⌫--|---|
Ileuques brait etf ormentcrie	-------|----|-|-⌫-----|---|
Totes tmahautesse	--|--⌫|-|-------|
Ior ge afait ma	---⌫-||---|-|
gentrenéer	---|------|
Porson Deu	--|--|--|
sene puisnéer.	-|-|---|-----|
Destruitame sdeus	-------||--⌫|---|
Or l estuetmorr i r	-||-----|----⌫-⌫|
sansdelloi.	---|------|
Oulecors me	-|-|---|-|
destrench era i	---------⌫---⌫|
Ouardeirenunfeufe rai	-|-----|-|-|--|--⌫--|
Torme nté enmain te ma nie ̀re	-----⌫---|-|----⌫-|--⌫---⌫--|
S ison c orsauan tetarière.	-⌫|--|-⌫--|----⌫|-|-------|
Biena uiiansetplu s se	---||--|--|-|---⌫|-|
Queonque snotp aord emoi.	--|-----⌫||-|-⌫--|-⌫|---|
Grantmalma f aitaucuerme	----|--|||-⌫--|-|---|-|
limetraienl aboche.	-|-----|-|-⌫|-----|
De ma cité	-|-|----|
dema muraille	-|-|-------|
Horsilseratrainésansf aille.	---|-|---|------|---|-⌫-----|
Làuu eil-geq uilpe rd elauie	--|--⌫-----|-⌫|-|--⌫--⌫|-|--|
Où fuo ciseAle xandrie.	--|-|-⌫---|---⌫-------|
Labocheausaintfist enfr en er	-|----|-|----|---|----⌫--⌫-|
Daciense tes	------|-⌫|-|
chan smener.	----⌫|-----|
B ienuotmorriretmotlitarde	-⌫--|--|-----|-|--|-|----|
P itosementla gentre gar de	-⌫--------|-|---|--⌫---⌫-|
Quiaprèsl uiesteit	--|-----|-⌫-|-----|
Doceme ntenDeula salue.	------⌫-|-|--|-|-----|
Tos siau squ ilu it dolensestre	--|----⌫|-|-|-⌫-|-----|----|
Siless e igna desa main destre.	-|--|-⌫-⌫---|-|-|---|------|
Lors dis tàciaus quile	---|---⌫|-|----|--|-|
décole rledeueie nt	-------⌫|-|------⌫-|
Biau seign ors un p oidemorer	---|-----⌫--|-|-⌫-|------|
Me l ai cès àmonDeu	-|-⌫--⌫---|-|--|--|
Li sainsumlement s agenoille	-|----|-------||--------|
Deses lermessaface moille	-|--|-----|-|---|-----|
Au cieltentse smains simpleme nt	-|---|---|--⌫|----|--------⌫-|
Sa prie ̀refistsaintement	-|----⌫--|---|---------|
Iesu-C ristr esesperitables	------⌫---|-⌫-|-----------|
Endis e t enf ais es establ e s	-|--|-⌫|-|-⌫--|-|------⌫-⌫|
Quipor nos a ̀mor ttel iuras	--|--|--|-⌫|---⌫|-|-⌫----|
Etlespeché orsdeliuras	-|--|------⌫--|-------|
Quan te nlacroistesof rois pendr e	----⌫|-⌫|-|----|-|---⌫---|-----⌫|
E ttonsaint sanc la iss as espandre	-⌫|--|----|---|--⌫---⌫-|-------|
Portossiaustepriquit aoren t	--|--|----|-|--|--||-----⌫|
E tqui p or tei sir e menoren t.	-⌫|--|-⌫-|--|---⌫||------⌫-|
q ui uendront en méglise	-⌫-|-------|-||------|
A moi faireenor etser uise	|--|----|---|-|---⌫---|
D e f ensle s demort subite ine	-⌫-⌫-⌫--|--⌫|-|---|------⌫--|
E tdeperi let degrant peine.	-⌫|-|----⌫|-|-|----|-----|
SireDesmapre ́e re	---|--|-|---⌫--⌫-|
Entesmains rensmon esp eri t e.	-|--|----|---|--|---⌫---⌫-⌫-|
Uneuois del c ie ldess endi	--|---|--|-⌫--⌫|----⌫---|
Qui lidi st etil	--|-|--⌫-|-|-|
IorgeIor ge b o néurés	----|---⌫-|-⌫-⌫-------|
esaçéur és.	-|-------⌫---|
uiente na ̀	---||-⌫|-⌫|
m o idesoremai s	-⌫-⌫|---------⌫|
Neu ueilquen c es t mont sées	-|-⌫---|-|-|-⌫--⌫|---|----|
S ains Iorgene	-⌫---|----|-|
uostp lu satendre	---|-⌫--⌫|------|
Ai nsco menc ̧asonc ors e stendre	--⌫-|--⌫----⌫-|--|-⌫--|-⌫------|
Sesmains ioinst	--|----|-----|
sursapeitréine	--|-|---------|
uerslessergenssonc hiefencline	---|--|------|--|-⌫---|------|
Que tan tostlechief litrenche rent	--|---⌫---|-|----|-|-------⌫---|
Conqu esde rienn e	-----⌫-|-|---|-⌫|
lsparaigneren t.	|------------⌫-|
L iAngleDeular mesaisirent	-⌫|----|--||--⌫-|--------|
Agrantioie qua n til lauiren t	|----|---|---⌫-⌫|-|-|-----⌫|
Lié furent docementchanterent	---|-----|-------|---------|
uéanttos au ciella port er ent	-----|--|-|---|-|----⌫--⌫--|
Grantioi eenestetfu iadis	----|---⌫|-|--|-|-|----|
Desain tIorge enParadis.	-|----⌫|----|-|-------|
La mortsaintIorgeauesoïe	-|---|----|----|---|---|
Di g neme nte tsasainte	--⌫-⌫----⌫-|-⌫|-|-----|
EtDesuos dointsantéet	-|--|--|----|-----|-|
pre ́eresuosoie	---⌫----|--|--|
Etuosd oin tfenire nbonpoi nt	-|--|-⌫---⌫|----|-⌫|--|---⌫-|
Atosuo suieset	|--|--⌫|---|-|
Et sensetb i enà g rantp lant é	-|---|-|-⌫-⌫-|-|-⌫---|-⌫----⌫-|
Etdebie n faireuolenté	-|-|---⌫|----|-------|
Cui seclape r omnia	--|----|--⌫|----|
Esthon oruirtusGlo r ia.	--|---⌫-|-----|---⌫-⌫--|
