Quenul senblant	--|--|-------|
Bienoutolu icent conpaign ons	---|--||--⌫|---|--------⌫--|
Olorpui ozol orbasto ns	|--|---⌫-||-⌫-|-----⌫-|
Ai nzne ueïstesta ntsi	--⌫-|-|-------|--⌫-|-|
ne si desfait	-|-|------|
Chacu ntenoit	-----⌫|-----|
sa tar tarie	-|---⌫----|
Crïent auroi	------|-|--|
Siretuue us faire iu stise	---|-|--⌫-|----|--⌫----|
Tafemeardoir en	-|---|-----|-|
Gr anzestm esse	--⌫--|--|-⌫-|-|
ieainzrie nso i	-|---|---⌫|--⌫|
Cest eiustisedur rapoi	----⌫|------|---⌫-|--|
Mot lauratost cilgrant	--||---|---|--|----|
f eu ar se	-⌫-|--⌫-|
E tla po u drecistuenz	-⌫|-|--⌫-⌫--|---|---|
Ce st feucharraencestebrese	--⌫-|--|-----|-|----|----|
Cesteiustiseerttost	----|------|--|---|
Tel iu stise deli ferez	--|--⌫----|-|-|----|
Maiss euos croi re me uolez	---|-⌫|--|----⌫-|-|----|
Et q u e uo u droit me xmortauoir	-|-⌫-⌫|--⌫-⌫----|--⌫|---|----|
uiur oit etsanzu al oir	----⌫--|-|---|-⌫--⌫--|
Etque nusne norroit	-|--|--||-⌫|-----|
Qui plusne ten	--|---|-||-|
te n is tporber	--⌫-⌫--⌫|--|--|
Roisuo udroies lefa ireissi	---|--⌫------|-|--⌫--|---|
Lirois l entent si respondi	-|---||-----|-|-------|
Se tum e nseigne scest	-|-||-⌫-------⌫|---|
sanz fall e	---|----⌫|
Qu eleuiue ̈et	-|--|----⌫|-|
queneualle	--|-|----|
ens auraic e sache sbie n	-|-⌫----|-⌫|-----⌫|---⌫|
Etsetu ueussi pren du	-|-|-|---|-|---|-|
Onques ne fudit tel man iere	-----|-|-|--|--|---⌫---|
Tantdo le rose	---|--⌫--⌫---|
netantfir e	-|---|---⌫|
Quio re ndro it	--|-⌫--⌫----⌫-|
totel ap ir e	---|-⌫|-⌫--⌫|
Seüst por	-----|--|
Deuleroi e sl ire	--|-|--|-⌫--⌫--|
eüstmamortot te n s	----||---|--|--⌫-⌫|
I ua insrespont	-⌫--⌫--|------|
Si coniepens	-|--|-|---|
Ie tedirai asez	-|-|----|---|
ueez iaici conpaignons	---||-|-|----------|
Yseutnosdones ert conm une	----|--|---||--|----⌫--|
Paiorfin dame	----|--|---|
n ot maisune	|-|---|--|
Sire ennos	---|-|--|
asigrantardor	|-|----|----|
Sozcieln a	--|---|||
damequiunior	---|--|-|--|
Peüsts oufrir n ostreconuers	-----|-⌫-----|-⌫----|------|
Lidr apnos son t	-|--⌫-|--|---⌫|
aucorsaers Otoi solo itestre a	-|---|---||--|----⌫-|----||
honorO uairo griseto	----||---||---|-||
Le sbuensuinsiau oita pris	--⌫|----|---||--⌫--|-⌫---|
Esg ra nzsoliersde m arbreb is	-|-⌫--⌫-|------|-|-⌫----|-⌫-|
Se ladonez	-|-|----|
anos meseau s	|--|------⌫|
Qantelue r ra n osbasbordeaus	---|-|--⌫-⌫-|-⌫-|--|-------|
Etesliralescou ellier	-|-----||-----⌫-----|
est ouraan os couch ier	---⌫---||-⌫-|-----⌫--|
Sireen leudet esbe aus mengie rs	---|-|--|-|-⌫-|--⌫--|------⌫-|
Aura depiece s dequar tie rs	---|-|-----⌫|-|----⌫---⌫-|
Que len n osenuoiace s	--||-|-⌫-|----||--⌫|
Por cel seignorqui	--|--|------|--|
maintlasus	----|----|
Qantoruerra lanos trecort	---|-|----|-|---⌫--|---|
A do n cuerra sidesconfort	-⌫--⌫-⌫|----|-|---------|
Doncuoudroi tmiex	---|-------⌫|---|
m orirque uiure	-⌫---|--|----|
Don c saurabi e n	---⌫|----|--⌫-⌫|
Y seutla giure	-⌫---|-|----|
Que malementaura	--|-------|---|
M ex uoudroit estr earseenunré	-⌫-|-------|----⌫|---|-|-|--|
Lirois lentent en	-|---||-----|-|
Nede gra ntpic e nese	-|-|---⌫-|---⌫|-|-|
Bien entendi que dit	---|------|--|--|
Yseutprist l	----|----||
a la ma in	|-|--⌫-|
Siremerc i	---|----⌫|
Ainzque midoignesart moi ci	---|--|||------|--|--|-|
Liro isli doneetcillapren t	-|--⌫-|-|---|-|--|-|----⌫|
Des m aladesiotbiencent	--|-⌫-----||-|---|---|
Quis aünent totentorli	--||------|--|----|-|
braitqu iot	----|--⌫|-|
le criAtote ge nzen	-|--||---|--⌫-|-|
prentpitiez	----|-----|
Yuainsest lie z	-----|--|---⌫|
Yuain sl enmeine	-----⌫||-|----|
Tot droitaua l parsus	--|----|---⌫|--|--|
Desautresmeseausliconplot Ni	--|-----|------|-|------|||
acelu inai t	|----⌫||--⌫|
Totdroitu ontuersl enbuschemen t	--|----|-⌫--|---||-----------⌫|
T ristran qui les atent A hauteuoiz	-⌫------|--|--|----||----|---|
Gouerna lcrie	-------⌫|---|
Filzqu e feras	---|--⌫|----|
ues ci t amie	--|-||---|
Tristran quelauenture	-------|---|-------|
Yseut belefigure	----|---|-----|
Co ndeüs t es	--⌫|-----⌫-⌫-|
po rmoi morir	--⌫|--|----|
Etiereduiporuosperir	-|-|----|--|--|----|
Tel gent uosti enententre mains	--|---|--|--⌫----|----|----|
D ecesoient	-⌫|-|-----|
i l to zc ertains	-⌫|--⌫|-⌫------|
Se il noslais e nt en	-|-||-|----⌫-⌫-|-|
Teliar aferaidole nt	--||--⌫|----|----⌫-|
Fiert l edestrierdubuison saut	----|-⌫|-------|-|-----|---|
Aqantquilpuets escrieenhaut	|---|-|-|---||-----|-|---|
Yuain asezl auezmenee	----|---||---|----|
Laisi ezlatost qua cestespee	-----⌫-|-|---|-||---|----|
Neuos facelechiefuoler	-|--|---|-|----|----|
I ua insa qeu tades fuble r	-⌫--⌫-||-⌫---⌫||---⌫-----⌫|
Enhautsescr i e	-|---||----⌫-⌫|
Or iparra quiertdes noz	-||----|--|--|--|--|
Quicesme se ausueïst	--|--|--⌫--⌫--|-----|
Ost erchapesetdesfubler	---⌫-|-----|-|--------|
crollesapotence	-----|-|------|
Li unsmenaceetlautre	-|--|-----|-||----|
Tristrannen	-------||-|
uost rienatochier	---|---|-------|
N e en testernelaid engier	-⌫|--⌫-----|-|----⌫-----|
Go uernalestuenuzau cri	--⌫-----|--|----|-|--|
Ensamain tintunu ert	-|-|---|---|-|-⌫--|
Yseut tie nt	----|---⌫-|
Lisansli chietaupié	-|---|-|----|-|---|
Bienaïdea	---|----||
Tristranson	-------|--|
Yseutsaisist par	----|------|--|
lamaind estre	-|---|-⌫----|
Liconteo rdïent qu	-|------⌫|-----|-|
Firen tnïerq uisont uilai n	-----⌫|----|-⌫-|---|-----⌫|
Nens euent miebienl estoire	|-|-⌫----|--|---||------|
Beroxla mex	----|||--|
ensenmemoire	-|--|------|
Tris tranpreuzetc ortoisAocirre	----⌫---|----|-|-⌫-----||-----|
gentdeteslois	---|-|--|---|
Tristransen uoita l aroïne	-------||-|---||-⌫|-----|
Lasentl eplainetlaga udine S enuet	-----|-⌫|----|-|-|--⌫----||-|--|
Tristranet	-------|-|
Yseutsesiotornesent	----||----|-|-|---|
Enlafore stde	-|-|----⌫-|-|
Morrois son t	------|---⌫|
La nui tiurentdesorunmont	-|---⌫|-----|----|-|---|
Tristransia seür	-------|-||----|
fustenchastelo	---|-|------||
T ri stranoutmotbuen	-⌫--⌫----|--|--|---|
Motsesoutbiendel	--|-|---|---|-||
GouernalenotuntoloitAun	-------|-|-|-|-----||-|
fo restier quiltenoit	--⌫------|---|-----|
Etd eusseetes enpenees	-|-⌫--|-----|-------|
Barbelees otlenmenees	--------|-||-|-----|
Tristranprist larcparl eboi sua it	-------|----||--|--|-⌫|---⌫|--⌫-|
uituncheurelancoche et	--|-|------|------|-|
El costéde st refiertforment	-|-----|--⌫--⌫-|----|------|
Braitsauten hautet	----|---|-|---|-|
ius d ecent	--|-⌫----|
Tris t ran la pr isat otsenui ent	----⌫-⌫--|||--⌫-|--⌫-||-|--⌫--|
Saloge faitaubran t quil	-|---|---|-|----⌫|-|-|
Lesrainstrenchefaitlafu llie	--|----|------|---|-|--⌫---|
Y seut labi enespésionchie	-⌫---|||--⌫-|-----|------|
Tris transasist o	----⌫---||----||
la roï ne	-|----⌫-|
Gouernalsotdela cuisine	-------|--|-|-|------|
Desechebuschefaitbuenfeu	-|----|-----|---|---|--|
Motau oient	--|--⌫----|
a fairequeu	|----|---|
Ilnauoient nelaitn e sel	-||------|-|---|-⌫|--|
foiza lor ostel	---||--|----|
Laroïneer t	-|-----|--⌫|
for men tlassee	---⌫---⌫|-----|
Porla poor que lot passee	--|-|---|-|-⌫|-|-----|
prist dormi rseuot	----|-----⌫|-|--|
Sorsonamidormirseuot	--|--|--|-----|-|--|
Seignorseisifontlonguement	-------|---|---|---------|
En la fore stp arfondement	-|-|----⌫-|-⌫----------|
Longuementsontenceldesert	---------|---|-|--|-----|
Oiezdunai n	---|-|---⌫|
Un conse l	-|-----⌫|
sot linainsd uroi	--|-|----|-⌫|--|
Nesot queil	-|--|--|-|
Pargrantdesroi	--|----|-----|
Ledescouri il fist	-|-------|-|---|
Qarpuisanprist lirois lateste	--|---|-|----|-|---|-|----|
Lin ainert	-|-⌫--|--|
iureslibaron	----|-|----|
Uniorlemistrenta	-|--|-|-------||
Q uecedeu oitque	-⌫-|-|---⌫--|--|
tantp arloie nt	---|-⌫------⌫-|
Il etliroiset	-|-|-|---|-|
cons elloientAcele rbienun suenconsel	----⌫-------||----⌫|---|-|---|-----|
Motm a trou étoziorsfeel	--|||----⌫-|--|---|---|
Bi enuoiq ue leuolez	--⌫-|--|-⌫-|-|----|
Et i eneuuelma foimen tir	-|-⌫|-|---|-|--|---⌫--|
Mais ie merrai	---|-|-----|
le stroisdeuos	--⌫|----|-|--|
Auenturo s	--------⌫|
Etiluec aun e	-|----||--⌫|
aubeespine	---|-----|
Une f osse asozla racine	--|-⌫---||--|-|-----|
Monchief porai dedenzboter	--|----|----|-----|----|
Etuosmor rezdefors	-|--||--⌫--|-----|
er tdusegroi	--⌫|-|-----|
Dont iesuiuersle	---|-|--|---|-|
ro iparfoi	--⌫|--|--|
Li baron uie nenta lespine	-|----|---⌫---|||-----|
Deuanteus uien tli	-----|--|----⌫|-|
Li nains fucort lateste o tgro s e	-|----|-|---|-|----|-⌫|---⌫-⌫|
Deliurementontfait laf oss e	----------|--|---|-|-⌫---⌫|
Iusqas espaul es l i ont mis	---|-|------⌫-|||--|--|
Or escoute zs eign o rmarch i s	-|-------⌫|-⌫----⌫-⌫|-----⌫-⌫|
E spine a uosnon	-⌫----||--|--|
Marcaorelles dech eual	---||------|-|--⌫---|
Bienont oïle	---|--|--|-|
nainparler S auintun	---|-----||----|-|
io r aprés	--⌫|-----|
Parloutases	------||--|
baro nsroi	----⌫-|--|
Ensamain t int d auborc	-|-|---|-⌫--||-----|
Atanti sontue nu	----||---|--⌫-|
Aq uil inains distlesecro i	|-⌫-|-⌫|----|---|-|-----⌫|
dïentpriueement	-----|---------|
sauon to n celeme nt	----|--⌫|------⌫-|
Lirois senristetdi st	-|---||-|---|-|--⌫-|
Queiaiorelles	--||-|------|
decheual Mest	-|-----||--|
auenuparcestdeuin	----|--|---|----|
Certesi aert faitde	-----|-⌫|--|---|-|
Traist lespeelechief en	-----||----|-|----|-|
Motenfubel a mainte g ent	--|-|-|--||-----|-⌫--|
Queha oientlen ain	--|--⌫----|-|-⌫--|
Tristranetpor laroïne	-------|-|--|-|-----|
Seignors motauezbien oï	-------|--|---|---|--|
Tristranauoitsalli	-------|----|----|
Totcontre ualpar lerochier	--|------⌫--|--|-|------|
Gouernal sorl e destr ierSenfuissuz quaril	-------|--|-⌫|-----⌫--||-|-|----|---|-|
Quilfustars se	-|-|---|--|-|
Ma rc l etenoit	--⌫-|-⌫|-----|
Or son t ensenb leen	-|---⌫|------⌫-|-|
T ristran deueneisonles	-⌫------|-|-------|--|
Longu ement s ontencelboschage	-----⌫----|-⌫--|-|--|-------|
nuit onther ber iage	---|--|---⌫---⌫---|
Sis en trestornent a u matin	-||-|----------|-⌫|----|
Enlermi tagef re re	-||----⌫---|-⌫--⌫-|
uindrentuniorpar	-------|-|--|--|
Aspreuiemeinent etdure	----|--|------|-|---|
Ta ntsentraimentdebone a mor L unpor	--⌫-||---------|-|---|-⌫--||-|--|
ne sentdolor	-|---|----|
Lih ermite	-|-⌫-----|
Tristran co nnut	-------|--⌫---|
Sor sapotenceapoié fu	--|-|------|-----|-|
Ar esneleoiezconment	--⌫---|-|---|------|
Tris tran grantsoirementAleniuré	----⌫---|----|--------|||-|----|
Cornoualle	---------|
Quiuosrendroita uroisanzfalle	--|--|-------|-⌫|--|---|----|
Ce n tmars	--⌫-⌫|---|
a uroita gerredon	-⌫----||-------|
Encesteterrenabaron	-|----|----|||----|
Au roi ne lait pleui enmain	-|--|-||--|----|-|---|
uos rend rea l ui	--|----⌫-||-⌫-|
o mortous ai n	|---|-|-⌫--⌫|
O grinsli ditmotbonem ent	-⌫----|-|--|--|-----⌫--|
Tristanqu i se repent	------|--⌫|-|-----|
pechiél ifaitpardon	------|-⌫|---|-----|
Par foi et par confession	--|--|-|--|---------|
Tri st ranli dit	---⌫--⌫--|-|--|
Sireparfoi	---|--|--|
aimeenbonef oi	---|-|---|-⌫-|
uosnente ndezpasla rai son Qel	--||----⌫---|--|-|---⌫--||-|
maime cest parla poison	|---||--|--|-|-----|
Gen e me pusde lie ́partir	-|-⌫|-|--|-|---⌫|-----|
Ne le demoinen	|-⌫-|-|--||-|
quiermentir	----|-----|
Ogrins lidist	-----|-|---|
Etquel conf ort	-|---|----⌫--|
Puetondoneraho memort	---|-|----||--⌫-|---|
Ass ez estmortquilongu ement	---⌫-|--|---|--|-----⌫----|
Gisten pechié	---|-|------|
silne rep ent	|-|-|---⌫--|
D o nernepuet nus p enitanceA	-⌫-⌫--|-|---|--|-⌫-------||
pech eorsanz repe ntanceL e rmit e	----⌫--|---|----⌫-----||-⌫----⌫|
Ogrinsmotlessarmone	-----|--|--|------|
Durepentir	-|-------|
consel lord one	-----|--|-⌫--|
Li hermitessoue nt lordit	-|-------|----⌫-|--|--|
Lesprofeci esdelescrit	--|-------⌫-|-||-----|
amentoi ts ouentLe rmitelor delunge mentA	-------⌫|-⌫----||-⌫----|--|-------⌫---||
Tristra ndis t	-------⌫|---⌫|
pa rgrantde sro i	--⌫|----|--⌫---⌫|
Queferastu	--|----|-|
Cons elletoi	----⌫---|--|
Y seut ame rue lle	-⌫---||--⌫---⌫--|
Si quene ndornenesomel le	-|--||-⌫|--|-|-|-----⌫-|
Detotanest	-|--|-|--|
li con selpris	-|---⌫--|---|
Mex aimol iestrem end is	--|--||-⌫|----|-⌫---⌫-|
E tuiure d erbesetde	-⌫|----||----|-|-|
glanQauoi rler eigneauroi	---||----⌫|-|-⌫----|-|--|
Delié lai sie r	-|---|---⌫---⌫|
pa rlerneruis	--⌫---|-|---|
Cer tesquarfairenelepuis	---⌫--|---|----|-|-|---|
Iseutaupiél e rmiteplo re	----|-|---||-⌫----|---⌫-|
Mainte co lormueen poidore	-----|--⌫--|--|-|--||--|
Motlicriemerci	--|-|---|----|
Deu omnipotent	--|---------|
Ilnemaimepasne ie	-|-||---|--|-|-|
Forsparunher be ́ d ontiebui	---|--|-|---⌫--⌫|-⌫--|-|--|
Etilenbut ce	-|-|-|--|-|
fu pechi ez	-|-----⌫-|
lirois chaciez	-|---|------|
L ihermitestostl irespon t	-⌫|-------|---|-⌫|------⌫|
Dexquifi stlemont	--|--|--⌫-|-|---|
Iluos don stuoirerepentan ce	-|--|---⌫-|----|--------⌫-|
Et sa ciez	-|--⌫---|
de u oir s anz d otance	-|-⌫--|-⌫--|-⌫-----|
iurent ch iés lermi te	-----|--⌫---||----⌫-|
Poreus e sforçam otsauite	--|--|-⌫------|-⌫-|-|---|
Au matinet senpart	-|------||-|---|
A uboissetientlet	-⌫|---|-|----|--|
lesplainschan s	--|-----|----⌫|
Lipainlo r fautceestgrant	-|---|--⌫|---|-|--|----|
Decersdebic hesde	-|---|-|---⌫--|-|
cheure u s	------⌫-⌫|
Ocist ase zpar	----|---⌫|--|
Laou pr enentlorher be rgage	-|-|--⌫----|--|---⌫--⌫----|
Fontlorcuisi ne etlor beau f eu	---|--|-----⌫-|-|--|---|-⌫-|
Solunenuitsonten	--|--|---|---|-|
Se ignorsoiezcon por	--⌫-----|---|--|--|
Ou tfa itli rois cr ïer s onban	--⌫|--⌫-|-|---|--⌫---|-⌫-|--|
Cornou all enaparroise	------⌫---⌫|||-------|
Ou lan ouellen enangoi s e	-|-|-⌫-----||-|-----⌫-⌫|
Quequiporroit	--|--|------|
Tristrantrou er	-------|----⌫-|
enfeïstlecri	-|-----|-|--|
Qui ueutoïru ne auenture	--|---|---|-⌫-|-------|
Congrantchose a	--|----|----||
annoret ure	-|-----⌫--|
Si m escoute unsolpetitet	-||------|-|--|------|
orezdunbu enbrach et	---||-|--⌫-|-----⌫-|
Qens ner oisn	---|-|-⌫--||
outt el berseret	--|-⌫-|-------|
Ilertisneauset tozt ensprez	-|--|------|-|--|-⌫--|---|
Quaril ert bauzisn eausn on	---|-|--|---|---⌫---|-⌫-|
E tsiauoita	-⌫|-|----||
Husda nzLïeze stoit	-----⌫-|----|-⌫----|
enunlandon	-|-|-----|
ga rdo itpa rle donio n	--⌫---⌫-|--⌫|-|-----⌫|
Qar mis estoita	--|--|-----||
g rantfr eor	-⌫---|--⌫--|
Qan t ilne uoiet son	---⌫|-|-|----|--|
men gi er nepainn epast	---⌫--⌫-|-|---|-⌫|---|
Nenulerien qen lidonast	-|---|---||-|-|-----|
Grig noutet	----⌫---|-|
siferoi tdu	-|-----⌫|-|
Des uiz l e rmant	--|--|-⌫-⌫----|
Dexqelpitié	--|--|-----|
Faisoita maintegentlichien s	------||-----|---|-|-----⌫|
Chascundisoit Sil	------|-----||-|
e stoitmiens	-⌫----|----|
G el metroiedu l andon fors	-⌫-|------|-|-⌫----|---|
Quar s ile nrage ce ert	---||-|-⌫----|-|--|
Husdenti atex brach e tzNertmaistr ouéqui	------|-⌫|--|-----⌫-⌫-||--|---|--⌫---|--|
Ne te ldu e lface porseignor	-|--⌫|--⌫-⌫|---|--|------|
Beste nefu	----|-|-|
detel amor	-|--|---|
Sal emo nditquedro ituriers	---⌫---⌫|--|--|---⌫-------|
Quesesamiscert	--|--|---||--|
s esleur iersAu oslepoo nnospro uer	-⌫-|----⌫---||-⌫-|-|---⌫|--|---⌫--|
uos ne uolez derie ngoste r	--|-|----|-|---⌫|-----⌫|
Pus que u ostresire f upris	--|--|-⌫----|---|-⌫|---|
R ois quar soit	-⌫--|---|---|
fors dulandonmis	---|-|-----|--|
Li r oi sadita	-|-⌫--⌫||--||
so n co rage	--⌫|--⌫---|
P orsonseignorcroit	-⌫-|--|------|----|
quil enrage	-|-|-----|
Certesmota li chie nsg r a nt sens	-----|--||-|----⌫-|-⌫-⌫-⌫-|---|
Ienequitmaisq	-|-|---|---||
en no st retens	-|--⌫--⌫-|---|
Enlaterrede	-|-|----|-|
Corno ualle	-----⌫----|
Aitcheualierqui	--|--------|--|
Tris tranu alle	----⌫---|-⌫---|
C ornoualleb ar on t roi	-⌫--------|-⌫--⌫-|-⌫--|
Enontaraisonéli roi	-|--|--------|-|--|
Si requar deslïez	--⌫-|---|-------|
Si uerronbiencertainement	-|-----|---|-----------|
Seil meine cestedolor	-|-|----|----|----|
Por lapitiédesonseigno r	--|-|-----|-|--|------⌫|
Qu a riasi tostn	--⌫-⌫|-|-|---||
ert deslïez	--|-------|
Qu il ne mordes	-|-|-|----||
estenr agiez	--|---⌫----|
Ou autrerienoube ste oug en tSaura	-|----|---|-|--⌫--|-|-⌫--⌫||---|
lalangueouerte auue nt	-|-----|-----|-|--⌫-|
Lirois apele	-|---|----|
u nes cuier	-⌫|--⌫----|
Husdanfaired eslïer	-----|----|-⌫------|
Sor ban s sorsel espui enthaut	--|---⌫|--|---⌫-|---⌫--|---|
Q uarli chienc rie ment	-⌫--|-|----|-⌫---⌫---|
deprinsaut	-|---|---|
Tui t d isoient	---⌫|-⌫------|
Husdent en rage	------|--⌫---|
ce n au oitil corage	-||--⌫--|-|-----|
Ta ntostcom ilf udeslïez	--⌫----|--|-|-⌫|-------|
les renzc ort esue lliez	--|---|-⌫--|----⌫----|
Queonquesni demora	--|-----|||-----|
se nist parl u s	|-⌫|--|--||-⌫|
lo stelouilso loit	|-⌫---|-|-|--⌫---|
Etlia utrequiaprés uont	-|-|-⌫---|--|-----|---|
L i chiens	-⌫|-----|
escriesoue n tgront	-----|----⌫-⌫|----|
Motpardemeinegrant dolor	--|--|------|----|----|
En contr éade sonseignor	--⌫-----⌫-||-|--|------|
fistunpa s	---|-|--⌫|
Qant ilfuprisquildutestrears	---|-|-|---|-|-|--|----|--|
Quelibr ac he z nen aut aprés	--|-|--⌫--⌫--⌫|--|--|-----|
E tdit ch ascunde uenir me s	-⌫|--|--⌫----|-|----|--⌫|
Husd antanla	----⌫--|-|-|
chanbrëest misO	-------|--|--||
Tristranfutraït etpris	-------|-|-----|-|---|
etuoi zclarele	-|---⌫|------|
C riantsenuetuers	-⌫----||-|--|---|
la cha pel e	-|---⌫---⌫|
Lipue pleuait aprésle chi en	-|---⌫--|---|-----|-|---⌫-|
Ainzpuis qu ilfu	---|---|-|-|-|
f ors d u lïen	-⌫--|-⌫|----|
N efinasifuau	-⌫|---|-|-|-|
Fondéen hautsorlerochier	-----|-|---|--|-|------|
Husdentlib auz	------|-|-⌫--|
qui neuoit lenz	--|-|---|---|
Par lusen la chapele	--||-|-|-|------|
e ntre enz	-⌫---|--|
Saut sorlau telneu i tsonmestre	---|--||--⌫--|-|-⌫-⌫|--|-----|
Forsse n issiparlafenestre	---||-⌫|---|--|-|-------|
Aual larochees t aualez	---|-|----|--⌫|-----|
Enl a ianbese st esgene z Aterrem e t le	-|-⌫|----||-⌫-|------⌫||----|-⌫-⌫|-|
nes si crieAla siluedu bois	--|-|---||-|----|-|---|
Tristr anfist lenbuscheme nt	------⌫-|---||----------⌫-|
Un petitsare stut	-|----||---⌫---|
Forssenissiparleb o is	---||-|---|--|-|-⌫-⌫-|
Nus n eleuoi tqui pitiénait	--|-⌫|-|---⌫|--|-----||--|
Auro idiëntlicheual ier	-|--⌫|-----|-|------⌫--|
Lais on aseur re	----⌫-||----⌫-|
cesttra llie r	---|---⌫----⌫|
Entelleu nosporro itmener	-|--|--|--|-----⌫-|----|
Dontgriésser oit	---|-----|---⌫--|
leretorner	-|-------|
Laisentlechient ornentarire	------|-|----|-⌫-----|----|
H usd entaqeutune chariere	-⌫---⌫--|----|--|-------|
mot s esbau dist	--||-----⌫---|
D ucriauchienliboistenti st	-⌫|--|-|----|-|---|-----⌫-|
Tri str an e s t o i telb oisaua lOlarei ̈neet	---⌫---⌫-|-⌫-⌫-⌫-⌫-⌫|-|-⌫--|---⌫||-|---⌫--|-|
Lanoiseoient	-|----|----|
Tris tranl entent	----⌫---||-----|
Parfoifa itilieoi	--|--|--⌫-|-|-|-|
crie ment sontesfroï	----⌫---|---|------|
Tristran saut	-------|---|
arcten d i	--|---⌫-⌫|
es poiseaualsentraient	--⌫----|---||-|------|
Crimeont duroi sisenesma ient	----|--|-|--|-||-|----⌫---|
D ïentquiluient	-⌫----|-|-|----|
olebrache t	|-|------⌫|
Nedemo rac u npetitet	-|----⌫-||-⌫|------|
Librach et	-|-----⌫-|
qui larotesut	--|-|---|--|
Q ua nt sonseign or	-⌫--⌫-|--|-----⌫-|
Lechiefhoquelaque uecrole	-|----|----|-|---⌫-|----|
Quiuoitcondeioie semolle	--|---|--|-|---|-|----|
D i re p uet qu	-⌫-⌫-|-⌫--|-|
ainz neuit	---|-|--|
Yseutala crinebloie	----||-|----|----|
Acortet pus	----|-|--|
Tozfa itioi enisau	--|--⌫-|---⌫|--|-|
D uchienout	-⌫|----|--|
Tristran gra n tpitié	-------|---⌫-⌫|-----|
Dexfaitilparquelpechié	--|---|-|--|---|------|
N osacistberseretse ü	-⌫-||---|-------|--⌫-|
Chien qi enbois nesetientmuN	----|-|-|---|-|-|----|-||
amesti erahome bani	|-----⌫-||---|---|
Elboiss omes d u	-|---|-⌫---|-⌫|
Parplai nparbois	--|----⌫|--|---|
partotet e rre	--|---|-⌫-⌫--|
Damen os faitliro is	---|-⌫-|---|-|--⌫-|
Marcque rreSilnostr ouout nepooitprendre	---|---⌫--||-|--|--⌫----|-|----|------|
Ilnosferoitardoir	-|--|-----|-----|
auonnul m estier d echien	---|--|-⌫-----|-⌫|----|
Unec hose sachi ez uosbien	--|-⌫---|-----⌫-|--|---|
Husdensauénosrema int	------|---|--|----⌫--|
Poornosferaet	---|--|---|-|
Asezestmex qu ilsoit	---|--|--|-|-|---|
soionparson	----|--|--|
Etpoise men por safranchi se	-|----||-|--|-|-------⌫-|
Que illam or t a iciquis e	--|-|-|-⌫--⌫||--|----⌫|
Grantnature li faiso it f er e	----|-----|-|-----⌫-|-⌫--⌫|
Maisconmentm	---|------||
enpusie retrair e	-|--|-|-------⌫|
Certescepoisemoi	-----|-|----|--|
Qu eie lid oiedo nerm ort	--⌫|-|-|-⌫--|--⌫--|-⌫--|
Ormen aidi ezaconsellier	-||-|----⌫-||---------|
De nos garderauonmestier	-|--|-----|---|------|
Yseutli dist	----|-|---|
Lichienssabeste prentau	-|-----|-|----|----|-|
Quep a r nature	--|-⌫-⌫|-----|
queparusIoïia direqu uns eüs	--|--|-||--|-|---|-|-|-⌫---|
Auoitun fores tier g aloi s	----|-|-----⌫---|-⌫----⌫|
Artusenfu faitrois	----|-|-|---|---|
Que ilauoitsiafa itié	--|-|----|-|---⌫----|
auoit son cerfsagnié	----|--|---|------|
seete berserece	----|--------|
Puis nefuï s t	---|-|----⌫-⌫|
par celet race	--|---|-⌫---|
Quelichiensnesui ̈st	--|-|-----|-|---⌫--|
Porcrïernesto nast le	--|-----||----⌫---|-|
natainsist tant s abest e	|--------|---|-⌫|----⌫|
Iacriastn ef ei ̈s t molest e	-|-----|-⌫|-⌫--⌫--⌫|------⌫|
Tri s trangrantioief ust	---⌫-⌫---|----|---|-⌫--|
P or metrepeinequi peü s t	-⌫-|----|----|--|----⌫-⌫|
Hudent lecrila isier	-----|-|--|--⌫----|
Sabesteataind rëet chac ier	-|----|------⌫--|-|----⌫--|
Tristransestutet	-------||----|-|
P uisdi stit ant	-⌫--|--⌫-|--⌫--|
Hu sd en t par	--⌫--⌫--⌫|--|
paineme t reenuoie	----|--⌫-⌫-|-|---|
Queillaisastcripo rs ilenc e	--|-|------|--|--⌫|-⌫-----⌫|
Motlau roie	--||--⌫---|
agrant reuerence	|----|--------|
Et acemetrai iem apa i ne	-||-|-----|-|-⌫|--⌫-⌫-|
Ai nzqueia pastc estesemain e	--⌫-|--|-|---|-⌫---|------⌫|
Peseramoise ie	-----|--|-|-|
Etiecrie m mo tduchienlecri	-|-|----⌫|--⌫|-|----|-|--|
Quariepo r roieentel leue stre Ouos	---|-|--⌫-⌫---|-|--|--|-⌫---||--|
G ouernalmon	-⌫------|--|
Se ilcriout	-|-|-----|
feroitnosprendre	-----|--|------|
peinemet re etent endre A bestepr end re sanz crïer	----|---⌫-|-|---⌫----||----|--⌫---⌫-|---|-----|
Tr istrane nbois berser	--⌫-----|-⌫|---|-----|
Afaitiez fu a un d aintrait	-------|-||-|-⌫--|----|
Lisansenchie t	-|---|-|----⌫|
librache tbrait	-|------⌫|----|
Lidains naurez	-|----|-----|
senfuitl esaut	|-|---|-⌫|---|
Husdentli bauz encrieen haut	------|-|---|-|---|-|---|
cr iauchienre son e	--⌫|-|----|--⌫---⌫|
Tristranlefiert	-------|-|----|
grantcoplidone	----|--|-|---|
asonseignors	|--|------||
