pe leusiertunsrichesre is	--⌫---|---|--|-----|--⌫-|
forsdes aruo usdelparleor	---|--|----⌫-|--|------|
ot un e placegrante	-|--⌫|----|----||
dehautmurto teau ir onee	-|---|--|--⌫-|--⌫--⌫---|
letraitdur ot	-|----|---⌫-|
a u n archer	|-⌫|-----|
laioerentmain tcheu al ier	-|------|----⌫|----⌫--⌫--|
dezasesches eastab les	--|-|-----||-|---⌫--|
e aautresiuesdeportables	||-----|---|----------|
assezeniau eitleior	----|-||--⌫--|-|--|
maintbelcheualmaintostor	----|--|-----|----|----|
emaint tres	|----|---|
richegu arn ement	----|--⌫---⌫----|
ipoeitl onue eirsouent	|----|-⌫-|--⌫--|-----|
parlapo rteentrentli	--|-|--⌫--|------|-|
oe tesuait	--⌫--|---|
contre eus li re is	-----|--|-|--⌫-|
si baronesiuasuassor	-|----||-|--------|
les recu r enta grant honor	--|----⌫-⌫--||----|----|
quant lireissotquiil esteient	----|-|---|--|--|-|-------|
ou aleient e dont ueneient	-|------||---|-------|
ho noral esde grantmanier e	--⌫---|-⌫-|-|----|------⌫|
etmoutpa rlor	-|---|--⌫|--|
fistbelechi ere	---|---|---⌫--|
la nuitlor fistsibelostel	-|---|--|---|-|--|----|
quncpui sq uemuren tno rent ti el	|--|---⌫|-⌫-|-----⌫||-⌫---|--⌫-|
ama ngierlordonaas se z	|--⌫----|--|---|--⌫--⌫|
em ou tlesabie n con reez	|-⌫--⌫|--||---⌫|---⌫---|
assezi si str ent longeme nt	----||--⌫---⌫--|-------⌫-|
clareepiment	----||-----|
li rei se schambres enueia	-|---⌫|-⌫|-------|-----|
esi tramistpor	|-|------|--|
cestune fillequilaue it	|--|--|----|-|-|---⌫-|
quedemoutgra nt	--|-|---|---⌫-|
beau t ee steit	----⌫-⌫|-⌫----|
ilnaue it plus enfa nz ne heir	-||---⌫-|---|----⌫-|-|---|
tr opi ert elede grantsaueir	--⌫-|-⌫--|--|-|----|-----|
moutsotd engin	---|--||----|
d e mais tr ie	-⌫|----⌫--⌫-|
deconiure e desorcerie	-|------||-|-------|
esar z o tt an t s en tentemise	-|--⌫|-⌫|-⌫--⌫||--⌫----|---|
quet roppar iert sageeap rise	--|-⌫--|--|---|---||--⌫---|
astronomie e nigromance	---------||---------|
sottoteparcueredes	--|---|--|---||-||
d a rzsaue it tant edeconiure	|-⌫-|----⌫-|---||-|------|
iorfeistnuit oscure	--|----|---|-----|
s el euousi st co fus tuiaire	|--⌫|-----⌫-|-|---⌫|-----|
aceus por cui	|---|--|--|
leuousistfaire	-|------|----|
leseuesfai seitco r reariere	--|---|---⌫---|--⌫-⌫-|-----|
scientose iertdegran t	--------|---|-|----⌫|
reisl a demand ot	---|-⌫|------⌫-|
sisato rna plu s belq uepot	-||---⌫--|---⌫|--|-⌫-|--|
dunei nde a	|--|-⌫--||
rich ementf aitee bi en ouree	----⌫----|-⌫---||--⌫-|----|
sotunbliaut for réd	|-|-|-----|---⌫--||
e rm ine s	-⌫--⌫---⌫|
eunmantelde sanbelin es	|-|-----|-|--------⌫-|
couertd undrap	-----||-|---|
outremarin	---------|
quisessetpeisualeitdorfin	--|--|--|---|-----||-|--|
q uant gent ementsefu uestue	-⌫---|----⌫----|-|-|-----|
c hambreshorsissue	-⌫------|---|----|
sespuceles mena	--|------|---|
desiqu elfu deuan tle r ei	-----|-|-|-----⌫|-|-⌫-|
belede grantma niere	---|-|----|--⌫----|
de corsdefaicon	-|---|-|-----|
be nde efuduntreceor	--⌫---⌫|-||-|------|
onquesnushon	-----|--|--|
nez nen uit meil lor	--||-|--|----⌫--|
asescheueus esteit	|--|------|-----|
autreparol ene	----|-----⌫|-|
ma is elpais ne el regne	--⌫-|-|---|-|-|----|
n en esteitr iensde	|-|-----|-⌫---|-|
sale uintle pas	---|---|-|--|
l a chiere t inta uquesen	-⌫|-----|-⌫--|-⌫----|-|
plusfine e freschee coloree	---|---||------||------|
quel aro seq uantelee stne e	--|-⌫|--⌫-|-⌫---|--|-⌫-|--⌫|
moutfucorteiseebienap rise	---|-|-------||---|--⌫---|
lezluiasise	--|--|----|
bienot en q uis e demandé	---|-|--⌫-⌫--||-------|
erentde q u el regne	----|-|-⌫-⌫-|----|
q uant ele	-⌫---|--|
certai nem en t sot	------⌫---⌫--⌫|--|
quecertiasonmoutparli	--||--|----|---|--|-|
moutenaueit	---|-|----|
emout l aueit	|---||----|
aama enz en	---|--|-|
ne poe it pasa n egunfu e r	-|---⌫-|--||-⌫---|--⌫-⌫|
te ni rsesieuzse alui	--⌫--⌫|--|---|-||--|
mout liiert d e	---|-|---|-⌫|
gentefaco n	----|----⌫|
lafor meesguarde	-|---⌫-|-------|
des oncor s	-|-⌫-|---⌫|
che ueusr ec ercelez e sors	---⌫---|-⌫--⌫------||---|
aebe u sieuz	||--⌫-⌫|---|
eb elefac e	|-⌫--|---⌫|
mais desorcrientque	---|--|-|-----|--|
trop ne li place	---|-|-|----|
beleboche aedo us reguarz	---|----|||--⌫-|------|
be lmento n be l cors	--⌫|-----⌫|--⌫|---|
eb eus braz	|-⌫--|---|
largee granta laforcheur e	----||----||-|--------⌫|
sacontenance e p arl eu re	-|---------||-⌫---⌫--⌫-|
saiueede mout bo ne	----||-|---|--⌫-|
m outlereguardeenmi e la	-⌫--|-|-------|----⌫|-|
mo ut iamedeases ieuz	--⌫-|||----|--|---|
douzf ran ssimplesesa nsergueuz	---|-⌫---⌫|------||--⌫-|------|
mou tpar le	---⌫|--|-|
miredoucement	---|--------|
sescuersdef ina moresprent	--|----|-|-⌫-|-⌫--|------|
moutparliplaist moutliagree	---|--|-|-----|---|-|----|
tost lia ureits	---|-|-⌫----||
amordone e	---|----⌫|
queliqueist	--|-|-----|
ne q uitiale n esc o ndes ist	-|-⌫--|-||-⌫|---⌫-⌫----⌫--|
un c maisnu il iorn	--⌫|---|--⌫-|--||
namer ne uoust nen ot ami	|---|-|----|-||-|--|
oriatornésisoncuer	-|||-----|-|--|---|
quel nelaira anegunfue r	-|-|-|----||----|---⌫|
qu ele ne n face son	-|--||-⌫|---|--|
poipro i se ratot sonsa uoir	--|---⌫-⌫--⌫-|--|--|--⌫---|
naempli s tsoncorage	|------⌫-⌫|--|-----|
ian eserauers l ui sauuag e	-|-⌫|---|---|-⌫-|------⌫|
ensi so fria moutgrantpeine	---|--⌫--||---|----|----|
tozles uitio rz de	--|--|--|--⌫-|-|
lase maine	-|--⌫----|
ne reposne	-|----|-|
desorlatient	--|-|-|----|
amors uer sc ui rien sn ade sfense	----|---⌫|-⌫-|----⌫|||--⌫-----|
souen tes guarde e seporpense	-----⌫|--⌫-----||-|-------|
co m ente leait ioie plenier e	--⌫-⌫--|-⌫-|--|---|-------⌫|
quardestreit ees tagrantmaniere	---|--------⌫|--⌫||----|------|
mout e ndote	---|-⌫|---|
lecomencier	-|--------|
quant uintenpres	----|---|-----|
siotlireis	-|-|-|---|
a se i mandee	|--⌫|-----|
pauimentee	---------|
assez laconio isteembrace	----|-|-----⌫--||------|
centfeizli a bais iélaf ace	---|---|-||----⌫--|-|-⌫--|
comandeliedit apres	------|-||--|----|
quo ia so neohercule s	-||--⌫--⌫|||-------⌫|
parou tporbi enc eli	-----⌫|--|--⌫-|-⌫|-|
ecelequ edamor esp rent	|---|--⌫||---|---⌫---|
ui ntaeu s	--⌫-||--⌫|
mo ut uergo in dose	--⌫-|-----⌫--⌫---|
deparlersage escientose	-|-----|---||--------|
ias ongrantioie	---⌫-|----|---|
soef bass etquelo m	---|----⌫-|--|--⌫|
lid ist uassau t netene z	-|-⌫--|------⌫|-|----⌫|
a mauuestie nalegerie	|--------|||------|
se au osme uiengacoin tier	-||-⌫-|-|----|-----⌫---|
ilneuosdeitpasenuier	-|-|--|---|--|-----|
d reiz estebi enscom	-⌫---|--||--⌫--|-||
quihome uei td	--|---|---⌫||
autrep ais	----|-⌫--|
la paroute	|-⌫-----||
eq ueleial conseillidoin t	|-⌫-|----|------|-|----⌫|
dam efait il	---⌫|---|-|
uosd itesbi en	--|-⌫---|--⌫-|
mar ciuosrentsor tote	---⌫-|--|---|--|---|
dont iluos p lotqu a	---|-|--|-⌫--|-||
m ei parlastes	-⌫-|--------|
e queprimierem araisonastes	|--|-------||-----------|
faisi auezquedebuenaire	---||---|--|-|---|---|
quanticeuo senplota	----|--|--⌫|-|---||
lesiorzdemonhee	--|---|-|--|--|
sachezu os en saur ai ma is	-----|-⌫-|-|----⌫-|--⌫-|
m o u tparpoezgrantioieaueir	-⌫-⌫-⌫|--|---|----|---|----|
quar moutes tes de grantsaueir	---|---|--⌫--|-|----|-----|
beute auezmou t efranchise	----|---|---⌫||--------|
hauts en seste s aprise	---|-⌫--⌫|----⌫|-----|
iasonfa itel e	----|--⌫-|--⌫|
bien sauon	---|----|
uenez p or latoison	----|-⌫-|-|-----|
onque sporelca	-----⌫|--|-|-|
neuenistes	-|-------|
mai sgran testouti een preistes	---⌫|----⌫|-------⌫|--⌫-------|
quars ierenttuit asse mb lé	---|-⌫|----|---|----⌫--⌫--|
cilqui furentequi son tné	--|--|-----||--|---⌫|--|
nep orreien tilengignie r	-|-⌫-------⌫|-|--------⌫|
ne por pe nsernepo rchacier	-|---⌫--⌫---|-|--⌫-------|
poussen t auei r	-------⌫|----⌫|
aiezuosiaesp eir	---|--|-|---⌫--|
por neientlecuid e riez	--|-----|-|----⌫-⌫---|
uos treuailleriez	--|------------|
essaiésesontia plusor	------|-|---|-|-----|
quinfurentmor t al chief de l tor	--||-----|---⌫|-|----|--⌫|--|
onq uesnoiqu	---⌫--||-|-|
enesc hapast	-|---⌫-----|
n usquid el aueirs epen ast	-⌫-|--|-⌫||----|-⌫|---⌫--|
l ideuiont lor guarde	-⌫|--||--|--|-----|
maniereepar tel guise	------||--|--|----|
mars iam isdo usb uesdarain	---|||-⌫-|--⌫-|-⌫--||----|
quantireemaltalenzles t oche	----|--||--------|--|-⌫---|
parmi lesnes e	----|--|--||
parlaboche	--|-|----|
i ie tentdelor	-⌫--⌫---|-|--|
corsfue ar dant	---|--|--⌫---|
iadelamortn aur aguarant	-|-|-|---||---⌫|------|
quinie rtatei nzne c onseuz	--||--⌫-|----⌫-|-|-⌫-----|
sempresnardra comsec	------||----|--|-||
pa r coniu reison	--⌫|-----⌫-----|
ontcilenguar dele mouton	--|--|-|----⌫-|-|-----|
quila t oison u oudraaueir	--|-|-⌫----|-⌫----|----|
si con uendra par	-|---⌫-----|--|
queillespuissesidonter	--|-|--|-----|-|-----|
q ue trairelesface	-⌫-|-----|--|---|
poi ssa nzd eus debatai lle	---⌫---⌫-|-⌫--|-|-----⌫--|
lesiaensi missen s faille	--|||---|--|---⌫|-----|
encoriael apass er	----|||-||----⌫-|
queas s ezfait	--|--⌫-⌫-|---|
p lusad ote r	-⌫--||-⌫---⌫|
qu ar unsserpenz	--⌫-|--|------|
quitozi orz ueille	--|--|-⌫--|-----|
quipasn edort	--|--|-⌫|---|
nines o meille	-|-|-⌫-⌫-----|
leregardedel autre	-|------|-||----|
par tele ngi nepar	--|--|-⌫---⌫||--|
queia rien	--|-|---|
n iapresm era	||------⌫--|
s itostcomesenpr es morr a	-⌫|---|---|-----⌫-|----⌫|
quarfuegeteense mbleuenin	---|--|---|----⌫---|----|
q ui t o stlia donél a fi n	-⌫-|-⌫-⌫-|-||----|-⌫|--⌫|
g ranze ste fiers e	-⌫---|-⌫-||----||
tropisdous	---|-----|
a inchomn euitsimer ueillous	-⌫--|--|-⌫|--|-|---⌫-------|
nepor r eitmieestre conqu is	-|---⌫-⌫--|--|----|-----⌫-|
ne engeig nie za	-|------⌫---⌫||
enfe r eie loncserm on	-|--⌫-⌫--|---|----⌫-|
s achesianaurasl a	-⌫----|-||----|-⌫|
porrienque	--|---|--|
s eitne lquidermie	-⌫--|-||-----|--|
guar co m easempr isgrantfolie	---|--⌫-⌫|-|----⌫-|----|----|
ainztedibi e n	---|-|-|--⌫-⌫|
que ian en	--|-||-|
iasonrespontcomeafa itiez	----|------|---|---⌫----|
dame faitilnemesmaiez	---|---|-|-||------|
ne s uimiepor co u e nuz	-|-⌫-|--|--|-|-⌫-⌫--|
quementorge come esperduz	--||-|----|---|-------|
mieuzuoilmorir q ue	----|---|----|-⌫-|
s enn uil sans aueirle	|-|-⌫--|---|----|-|
s eo meinel	-⌫||--|-||
i am aisne menquier ret orner	-⌫--⌫--|-||-|----|---⌫----|
t oziorzhonizsereie	-⌫-|---|----|-----|
iamais honornaurei e	-----|----||-----⌫|
parci men couient a passer	--|-||-|------||-----|
tanten ai faitn elpu ismuer	---|-|-|---|-⌫||--⌫-|---|
seitbie nsseitmau squel quem en	---|---⌫-|---|---⌫|----⌫--||-|
ne pu etestr eque	-|--⌫-|----⌫|--|
io menuenge	-||-|----|
iasonf ait	----|-⌫--|
n en querr eies chastiement	|-|-----⌫---|----------|
seurspuez estrede morir	----|---|----|-|----|
puetrien s gu arir	---|----⌫|--⌫---|
dueuse pit iezmeprentdetei	----||---⌫--|-|----|-|--|
irascosai euei	---|-|--||--|
deco seurefusse	-|-|----|----|
a mor au eirp ouss e	-⌫--|--⌫--|-⌫----⌫|
q u afemmeespos e me preisses	-⌫||----|-----⌫|-|-------|
si que iamais ior	-|--|-|---|--|
m e guer pisses	-⌫|----⌫-----|
quant ent a	----|-|-⌫|
t erreretorna s ses	-⌫---|-------⌫-⌫--|
e ncest paisnemelaisasses	-⌫|---|---|-|-|--------|
e meportassesleialfei	|-|--------|----|--|
iepr eiss eengineconrei	-|--⌫----⌫|----||-----|
comcestechoseparfeisses	--|----|----|---------|
quem ort ne m ahei nni	--|-⌫--|-|-⌫----⌫|||
prendr eies	------⌫---|
f o rs mei neten	-⌫-⌫-|--|-||-|
puetriens aidier	---|----|-----|
ne auancier necon seilli er	-|-------|-|---⌫------⌫-|
maisi osaita nt de nigr oma nce	---|-⌫|--|--⌫-|-|----⌫---⌫--|
queiaiaprise des menfan ce	--||-|-----|--||-----⌫-|
quequantqueiouu eilp uistotfaire	--|-------|-|--⌫--|-⌫--|--|----|
mie rt peine necontrai re	|--⌫-|----|-|-------⌫-|
quan tqueestgrief	----⌫---|--|----|
tot mest legi er	--||--|----⌫-|
ia nitroue rai enconbrer	-|||-----⌫--|--------|
oresgua rde que tu	-|-----⌫--|--|-|
saueir se ce	-----|-|-|
motrei er as	|-----⌫--⌫-|
ton cu erme n di senzde ceu eir	--|--⌫-||-⌫|-|---|--⌫---⌫--|
tottuncorageenuueil saueir	--|--|-----|-|----|-----|
dam efait ilio qu en direie	---⌫|---|-|-|-|-|-----|
sortozl es deuste iurereie	--|--|-⌫-|---|-|-------|
esor tresto tenostrelei	|--|------⌫-|-----|--|
ame r to ziorse	---⌫|--⌫|---||
afemmeuo sesposerai	|----|--⌫|--------|
rienuos amerai	---|--|-----|
mada mesereizemamie	-|--⌫-|-----|||---|
demeiaureiz laseig n orie	-|--|-----|-|----⌫-⌫---|
tantentendrai	---|--------|
auos seruir	|--|-----|
que tot fer ai uostr e p lais ir	--|--|---⌫-|-----⌫|-⌫----⌫-|
menrai u osen enmacontree	-----|-⌫-|-|-|-|------|
ou uo ssereizmouthonore e	-|--⌫|-----|---|------⌫|
tuituos i po rteront	---|--||--⌫------|
e li plusricheeli	|-|---|----||-|
plusiaureizi oieaplaisir	---||-----|-⌫--||------|
quelicors nen	--|-|---||-|
p orrasof rir	-⌫---|---⌫--|
res p ont atant	---⌫-⌫--|----|
f aiteleuostretalant	-⌫--|--|-----|-----|
c oremandradesque xx x	-⌫|-------|-----|--⌫|
qu antseseraco uchi ezlirei s	--⌫--|-|---|--⌫----⌫-|-|---⌫|
enmachambreuendre izt ozsous	-|-|------|------⌫-|-⌫-|---|
iacumpaignonnaurei z	-|---------||-----⌫|
fereiz tels eura n ce	-----|--|-⌫----⌫-⌫-|
que uers uo sna ieplus	--|---|--⌫||-⌫-|---|
pui suos diraicomfai tement	---⌫|--|----|--|---⌫-----|
porreizles buesel e serpent	------|--|---||-⌫|------|
ueintreedo ntier	------||--⌫----|
eiustisier	|--------|
ne uo sferontp uis	-|--⌫|-----|-⌫--|
encom brer	-----⌫---|
da me fait ilensi	--⌫-|---|-|---|
mai senueiez s o splais to m ei	---⌫|------||-⌫|-----⌫||-⌫-|
saureieoutorner	------|-|-----|
horeioleuasse	---|-|------|
distlapuceleceiert bienfait	---|-|-----|-|---|---|---|
pris puissisen uait	---|---|-||-|---|
ariereen ses chambr es s	-----|-|--|------⌫-||
m outlitressautle cuerse lue ntr e	-⌫--|-|-------|-|----|-⌫|--⌫---⌫|
a espris degranz amors	|-----|-|----|----|
mo utli enuie	--⌫-|-|----|
queli iors	--|-|---|
ne senuaitagreignoresple it	-||-|---||-------|-----⌫-|
moutse meru eillequeco	---|-|----⌫----|--|-|
tan ta le soleilesguardé	---⌫||-|-----|--------|
uitesconsé	--|-------|
moutl i t arda puis l an uit ier	---|-⌫|-⌫---|---||--⌫---⌫--|
queson plai tli fait porl oignier	--|--|----⌫|-|---|----⌫------|
e quantleioren	|----|-|--|-|
not ele pas tot acheué	|-|--|--|--|------|
soue ntesfeiz aesgu ard é	----⌫---|---||----⌫---⌫-|
l alune s el eeste it leu e e	-⌫|---||--⌫|----⌫-|---⌫-⌫|
crien t que sempress	-----⌫|--|------||
enh autlanuit	-|-⌫--|-|---|
torne pasa deduit	----|--||-----|
coqu p arla	-|-|-⌫-|-|
s a le ueillieren t	-⌫-⌫-|----------⌫|
ecoquepas nesecouchierent	|-|--|--|-|-|----------|
s on uuelfussenttuitendo rmi	-⌫-|---|------|---|----⌫--|
m outpar enaso ncuer marri	-⌫--|--|-||--⌫|---|----|
chambresuait oir	-------|---|--|
sencor parolentde dormir	|----|-------|-|-----|
iluece scouteiluecestait	----|-⌫-----|----|-----|
nenot te nirco nteneplait	|-|-|--⌫--|--⌫--|-|----|
icofaiteleque	--|---|--|--|
ces tegenzquantsecouc hera	---⌫-|---|----|-|----⌫---|
ontil iuré qu il u e illeront	--|-|----|-|-|-⌫-⌫-------|
e quem aisnese cou c heront	|--|-⌫--|-|-|---⌫-⌫-----|
maisgentque tantueil last	---|---|--|---|----⌫---|
que deueil lier n e sela ssast	--|-|----⌫---|-⌫|-|--⌫----|
m au uaisegenz fol eprou ee	-⌫--⌫----|---|---⌫|----⌫-|
iaes tlam ienuiz passee	-|--⌫|-|-⌫-----|-----|
mouta maispoi	---||---|--|
deciqu alior	-----|-|--|
certes mout	-----|---|
a enmeifo lor	|-|--|--⌫--|
dequeimesuii o entremise	-|---|-|--|-⌫|--------|
mieuzdeureie	----|------|
estrepri s e	----|---⌫-⌫|
que cil qui esttrouez	--|--|--|--|-----|
folcora g eemauu aizsemblant	--|----⌫-⌫||----⌫--|-------|
porreit lon ortr ouer enmei	------|--|-|--⌫---|-|--|
mestois ne saiporquei	|-----|-|--|--|---|
estuetm edoncs estreenesfrei	-----|-⌫|----|----|-|-----|
qu euo luntiers n euiengeamei	--⌫|--⌫-------|-⌫|-----||--|
i asonquel	-⌫---|---|
horeq uienuoi	---|-⌫||----|
o il moutu olen tiers cocrei	|-|---|-⌫----⌫----|-|---|
doncsc i nequi atent	----|-⌫|-|--|----|
tanten a ifai tqu	---|-|-⌫|---⌫|-|
o rmenrepent	-⌫||-|-----|
de l huis separt	-||---|-|---|
enitelguise	-|---|----|
uintasonlitsi sest asise	---||--|--|-||--|----|
maisiocui tbiencertainement	---|-|---⌫|---|-----------|
queln i serrapas longement	-|-|||----|--|--------|
releue s enni puetp lusestr e	-----||-|||---|-⌫--|----⌫|
salaourir une fenestre	|--|----|--|-------|
uitlaluneq ueiert leue e	--|-|---|-⌫-|---|----⌫|
loresli fu siredoblee	----|-|-||--|-----|
eleestil enuiz	--|--|-|----|
passeeestiala mienuiz	-----|--|-|-|------|
c lotlafe n estre ariere torne	-⌫--|-|--⌫-⌫----|-----|----|
iriee en est	----|-|--|
moutp ensiue em orne	---|-⌫-----||-⌫---|
enmi l achambre s aresta	---|-⌫|------||-----|
totenestant siescot a	--|-|-----|-|-----⌫|
l an oiseo i	-⌫|-⌫---|-⌫|
auquesba issé	-----|--⌫----|
sespartetla maisnee	|-------|-|------|
sen uai tpensiue	|-|---⌫|------|
siesguard aparmi la sale	-|-------⌫|----|-|---|
aschanberlensui tlesl iz	-|----------|--⌫|--|-⌫-|
eloresli fu en u iaire	|----|-|-|-|-⌫----|
queiusqu apoi secoucheroient	--|----||--|-|-----------|
equegua iresplus ni	|--|---⌫---|---|||
se rroi ent	--⌫----⌫--|
parlachamb reuait su seius	--|-|-----⌫-|---|--⌫||--|
re guarde alpe rt us	--⌫-----|-|--⌫--⌫-|
tantquetre stu it furentcouchié	------|---⌫---⌫-|-----|-------|
bienaueu e agaitié	---||--||-------|
le li to ui asons e	-|--⌫|-⌫|-⌫---|-⌫|
une s o emaistre ap ela	--|-⌫-⌫|------|--⌫--|
totson conseil li agehi	--|--|------|-||---|
car el se fiem o ut	--|-|-|--|-⌫-⌫-|
dreitacellit	----||--|--|
faiteleiras	---|--|---|
totsoau et lepetitpas	--|----⌫-|-|----|--|
te guar deedesf rei	-|----⌫-|||---⌫--|
celu iqui gist mameine otei	----⌫|-||---||-----||--|
elprimierement	-|-----------|
uosc ouchez	--|-⌫-----|
esta l ép a rti e	--|-⌫-⌫-|-⌫-⌫---⌫|
s ilt ie ndreittost	-⌫||-⌫--⌫-----|---|
q u aco uchierfusseiza tel h or e	-⌫||--⌫-----|------||--|-⌫--⌫|
quarbienenestmaistenseho re	---|---|-|--|---|---||--⌫-|
fait lapucele iolo trei	---|-|-----|-||-⌫---|
nefir ent mie	-|---⌫--|--|
loncconrei	---|-----|
en u n chier	-|-⌫|----|
l it dored ar gen t	-⌫-||-|||--⌫---⌫|
quonquesn us onn e nui tplusgent	-|-----|-⌫-|-||-⌫|--⌫|---|---|
dontliquatre	---|-|-----|
pecol igual	----|----|
fur enttui t ouréa	---⌫--|---⌫|----||
aes mara ldes u er de ian z	|--⌫----⌫---|-⌫--⌫--⌫---⌫|
eourobins clersreluisan z	|-|-----|----|--------⌫|
colteiotgrant uolsed e paile	----||-|----|----|-⌫|----|
quem eillorn ot fai teen the saile	--|-⌫-----||-|---⌫-|-|---⌫----|
e le nceusblansde ugiezd esei e	|--⌫----|----|--⌫----|-⌫|---⌫|
ne quitquenushommeillorsueie	-|---|--|--|--|-------|---|
moutiot un	---||-|-|
ric heoreiller	---⌫-|-------|
onqu es puc elenotsicher	----⌫-|---⌫--||-|-|---|
l ico uertuirsfu	-⌫|--⌫-------|-|
richeas ez	----|--⌫-|
best esfutozorlez	----⌫-|-|--|----|
querel uisent comeorpimen z	--|---⌫-----|---|-------⌫|
daut r esmou tchieresfu	|---⌫-⌫-|---⌫|------|-|
uols fud undrapsarragoceis	---|-||-|---|----------|
s eietrest ot	-⌫--|-----⌫-|
que mout fu	--|---|-|
gen te esage	---⌫-||---|
bi e nest eit digne ditie llit	--⌫-⌫|---⌫--|----||----⌫|--|
la uielle senz	-|-----|---|
autre respit	----|-----|
s enestfors del ach ambree is sue	|-|--|---|-|-⌫|--⌫----|-⌫--⌫--|
dreitaulit i asonestuenue	----|-|--|-⌫---|--|----|
totbe lemen teensecrei	--|--⌫-----⌫||-|-----|
letraitparmilamai nasei	-|----|----|-|---⌫||--|
s e n leuamoutis nel	|-⌫|---|---|--⌫--|
sisafubla desonmant el	-||-----|-|--|----⌫-|
to t soauete	--⌫|-----||
s ensontdedenzla chambre entr é	|-|---|-----|-|------|----⌫-|
ottresbieni ueient	-|---|---||-----|
cardui cirge	--|--|----|
grantiardeient	----||-------|
la maistrea luis	-|------|||--|
closeser ré	---||---⌫--|
dec iqual lit mené	---⌫--|-|--|----|
medealesenti uenir	----|-|----|----|
si asemblan tfaitdedormir	-||-------⌫|---|-|-----|
e cilnefupas trop	|--|-|-|--|---|
lecouuertoirlieueoses	-|---------|----||--|
celet ressautuer slui setorne	---|-⌫------|---⌫|--|-|----|
auquesfuuergoindosee	-----|-|----------||
uass aut faitel qu iuos cond uit	----⌫--|---|-|--⌫|--|----⌫--|
mout p arauez ueillie ́ anuit	---|-⌫-|---|-------⌫|----|
t elnoiseai	-⌫-|----|-|
tote nuit oie	---|---|--|
grantpeine endormie	----|----|-------|
dame fa itilne quie r guion	---|--⌫-|-|-|----⌫|----|
seuos ecestedamenon	-|--||----|---|--|
se nuos tre prisonmesuimis	|-⌫|---⌫--|-----|-|--|--|
deit pasestredepis	---|--|----|-|--|
lauielleensemble lesl aissa	-|-----|-------|--|-⌫----|
ch ambre sen ent r a	--⌫----||-|---⌫-⌫|
iasona pa rlétozpremiers	----||--⌫---|--|-------|
dame li uo st re cheuali ers	---|-|--⌫--⌫-|-------⌫--|
icilqui quite ssans partie	---|--|-----⌫|---|-----|
sera toz lesiorzdesauie	---|--|--|---|-|-|--|
uospri eerequiert doucement	--|---⌫||-------|--------|
quel rec euez	--||---⌫---|
silig ement	-|---⌫----|
quanu liormaischoseneface	-||--⌫|--|---|----|-|---|
que uos grietqueuosdesp lace	--|--|----|--|--|----⌫---|
me dea respont beus amis	--⌫--|------|---|---|
g r an t cho se mauezmoutpramis	-⌫-⌫--⌫|---⌫-||---|---|-----|
uol ie z tenir	---⌫--⌫|----|
uos neme poez pluso frir	--|-|-|---|---|-⌫---|
mais seur teuuei lque i en	---|----⌫-|----⌫|--||-|
pu is atendra iuost remanaie	--⌫-|-------⌫|----⌫-|-----|
trestot uost replais ir	------|----⌫-|-----⌫-|
senz fausetee senzmenti r	---|------||---|-----⌫|
uo senferaitel	--⌫|-|----|--|
s eur tance	-⌫---⌫----|
qua t ortaureizuersmeido tan ce	-||-⌫--|-----|---|--|--⌫---⌫-|
unepe liceua iree grise	--|--⌫---|--⌫--||----|
ue stmed easor sachemise	--⌫-|---⌫-|--|-|------|
delli tsenest	--|--⌫||-|--|
atant leue e	----|----⌫|
uneimageaportee	--|----|------|
de iupiterle deupuissant	-|------|-|--|-------|
iasonfaitel	----|---|-|
uenezaua nt	----|---⌫-|
u ezcil i mage	-⌫-|-||-⌫---|
i o ne uu eilmief aire	-⌫|-|--⌫--|--|-⌫---|
deme i edeuos	-|--⌫||-|--|
lassemble e	|--------⌫|
par co uoilestreas euree	--|-|---|----|--⌫----|
image tamainmetras	----|-|---|-----|
l imageiur eras	|----|---⌫---|
a mei feip ortere tenir	|--|--|-⌫----||----|
e meiap r endre senzguerpir	|--||-⌫-⌫----|---|------|
leialseignorl eial amant	----|------|-⌫---|----|
m eseiesmais d ore en auant	-⌫|----|---||--|-|----|
i asonens ili otreia	-⌫---|---⌫|-|-----|
maisenuersl isenpariura	---|-----|-⌫||-|------|
couenant nel e inelitint	-------|-|-⌫-⌫|-|-|---|
espeirl enmesauint	-----||-|-------|
mai sionaiordecoqu efaire	---⌫|-||-|-|-|-|--⌫|----|
delreco nternedelretraire	--|----⌫---|-|--|-------|
ass ezia dela	---⌫-||||-||
nelesuosquierpl us porl oigni er	-|--|--|----|--⌫-|----⌫-----⌫-|
n u itseiurent pui s	-⌫-⌫-|-|-----|---⌫|
ensi comioel liuretruis	---|--|-|-|----|----|
to tn ua nuebrazab raz	--⌫|-⌫||-||---||-⌫--|
autrecelee	----|----|
seilen iasonne pe c h a	-|-|-|----|-|--⌫-⌫-⌫|
cele nuitla despuce la	---|---|-|-------⌫-|
quars illeuou t eleautretan t	---||-|-|---⌫|--|--------⌫|
equantcouint al aiornant	|----|-|---|||-------|
damefaitilnetar gera	---|---|-|-|---⌫---|
desciqu apoiaiornera	------||--|-------|
neporr a imais guaires ester	-|----⌫-⌫|---|------|----|
qu ilnem en estuisse	-|-|-||-|-------|
o r m est me stiersmoutm ebe soigne	-⌫||--|--⌫-----|---|-⌫|--⌫-----|
