Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
Forment manacela pu tegentsauuag e.	------|-----|-|--⌫-|---|------⌫-|
Tantua li quenspa r plainsetparbo sca ge	---|-|-|----|--⌫|-----|-|--|--⌫---⌫-|
Queunenuitne pristi lherbergaie	--|--|---|-|----|-⌫|---------|
Celi est uis d ou rep arie r t rop targ e.	-|-|--|--|-⌫-|---⌫----⌫|-⌫--|----⌫-|
Ilnered outene biaut ansneo rag e	-|-|---⌫---|-|---|-⌫--|-|-⌫---⌫|
Ainc narestutaport neapassage	---||------||---|-||------|
u ientaOrliensLoirep ass eanage.	-⌫---||------|----|-⌫---⌫||----|
u a s entG uillames	-⌫||--|-⌫-------|
quidiexsoitenaïe	--|---|---|-|---|
Ai nccunenuitnepris therbergeri e	--⌫-||--|---|-|----⌫|----------⌫|
uientaOrliensLo irep asse anauie	----||------|--⌫--|-⌫---||----|
Puisestmonte ́s oud est r ierdePersie	---|--|-----⌫-|-|-⌫---⌫-⌫--|-|-----|
Parmi la uileasau oie	--|-|-|---||-|-⌫--|
a cuellie.	-⌫-------|
B orgoisneluoitki alautre	-⌫-----|--|---|-|||----|
Et uua eisarméssan scomp aign ie	-||-|--|-----|---⌫|----⌫----⌫-|
Licas telainsa	-|---⌫------||
lanouuele oi ̈e	-|------|--⌫-|
Aprés Guillaumepointpar milacauch ie.	-----|--------|----|--|-|-|-----⌫--|
Il lidemand epa rmo lt	-|-|------⌫|--⌫|--⌫-|
grantestoti e	----|------⌫|
Kieste suosuasalnelcelésmi e.	-|----⌫|--|----|--|-----|--⌫-|
Armésauésn ost re ci técerchie	-----|----|-⌫---⌫-|--⌫--|------|
Nesa i seestesr obe r es	-|--⌫|-|----|-⌫---⌫-⌫-|
M aisparlafoi kedo i sainteMarie	-⌫--|--|-|--|-|--⌫|-----|----|
E t sai nte crois que on	-⌫|---⌫--|----|--|-|
aeuree tpri e	----|-⌫|---⌫|
Seuos nauésmol tboneauouerie	-|--||----|---⌫|---|-------|
Nen par tirés seltenrésafolie .	|-|---⌫-----|--|------||-----⌫|
Lorspoint au ant s	---|----|--⌫--||
alatar gesaisie	|-|---⌫-|-----|
Pa rtelaïrla	--⌫|--|---|||
enuersluisa chie	-----|--|--⌫---|
Po rpoi doucol	--⌫|--|--|--|
neli aesrachi e.	-|-||-------⌫-|
Glous distGu ill ames li cors dieu t e	----|---|--⌫---⌫---|-|---|---|-⌫|
A moltgra nttort	|---|---⌫-|---|
ce rtesme con tr alie.	--⌫---|-|---⌫--⌫----|
Laissema tar gesifer ascor t oisie	-----|-|---⌫-|-|---⌫-|---⌫-⌫----|
porteelicorsm	-----|-|---||
an afloibie.	-|--------|
Ceualiers su isifaites uil oni e	--------|--⌫|-|-----|---⌫---⌫|
S i maït die xn	-⌫||---|---⌫||
aisoig de gab erie.	-|---|-|---⌫----|
Li castelai ns fuplains	-|--------⌫-|-|-----|
de felonie	-|------|
Q uantpluslique ns enuerslui	-⌫---|---|-|---⌫-|-----|--|
Tant pl uslifaitorgu elete stoutie	---|--⌫-|-|---|----⌫-|-|-⌫------|
Molt le porsacheparsatarge florie.	---|-|-------|--|-|----|------|
Diexdis t liq uens ki totas en bailli e	---|---⌫|-|-⌫---|-|--|-|-|------⌫|
a uéssau é	-⌫---|---⌫-|
Etunss eushom	-|--|-⌫--|--|
melaid engee t	-|----⌫---|-⌫|
D esapa role m eh onit et conchie	-⌫|-|--⌫---|-⌫|-⌫---|-|------|
Etsiu ilment meporchace et	-|-|-⌫-----|-|-------|-|
Miexuuelmorirke iene lechastie.	---|---|----|-|-|-|-|-------|
Traitasespee	----|||----|
Ce fu Ioiouse ou	-|-|------|-|
durements e fie	-------|-⌫|--|
Le castelain en	-|--------|-|
fiertd elés l oïe.	----|-⌫----||----|
Dec ie l pis est	---⌫|-⌫|--|--|
l espeeglacie	|----|-----|
Mortletrebuce. La uile	---|-|-------|-|---|
est est ormie	--|---⌫----|
corent lablauclocheest	-----|-|---------|--|
Guillamestor n e	--------|---⌫-⌫|
deuant unea baïe	-----|--|-⌫----|
Ma inte sai e te ontsorluidescochie	--⌫---|---⌫-⌫-|--|--|--|--------|
Ensonhaube rce tenl es cu	-|--|-----⌫-|-⌫|-||--⌫-|
ceualmais i l	----|---|-⌫|
otgarantie	-|-------|
L acouerturedont l amaille	-⌫|--------|---|-⌫|-----|
esttrelie.	--|------|
Guillamessainteuirge	--------|-----|----|
Huiencest ior m e soiésenaïe	--|-|---|--|-⌫|-----|-|---|
Or uoiiebienkeneees tla fol ie	-|--|-|---|-|--|--⌫|-|---⌫-|
Seies deport	-|--|-----|
ne mesparneront mie	-||----------|--|
Cargensdeborc	--|---|-|---|
sont degrant aatie	---|-|----|----|
N iame surepuis	|||--⌫---|---|
k eleestestor mie.	|--|--|-----⌫---|
Aicestmot leur	|----|--|---|
fait une enuaïe	---|--|------|
A u brancd	-⌫|----||
ac ier les de trence	--⌫--|--|--⌫-----|
et es mie.	-|--⌫---|
Lan otmes tierGuillamecouardie	-||-|---⌫---|-------|-------|
Liborgois f uientsontlapl aceguerpie	-|------|-⌫----||--|-|--⌫--|------|
Dro it uerslep on tontIeur	---⌫-|---|-|-⌫--⌫|--|---|
uoi eacu e llie	---⌫|---⌫-⌫---|
Encontré on tmoltgran tceualerie	--------|--⌫|---|----⌫|--------|
D e L oeïsertseureeetpartie.	-⌫|-⌫----|--|-----|-|------|
Er nausestoitencelec e uauchie	--⌫---|-----|-|---|-⌫-⌫------|
C iexdeGeronde	-⌫--|-|------|
ki tantot baronie	-|---|-|------|
Frereert Guil lamealach iere hardie	----|--|----⌫---||-|--⌫---|-----|
Si les portaErmengarsdePauie	-|--|----|--------|-|----|
La franchedameque	-|------|---|--|
I hesubeneïe.	-⌫---|-------|
Gransfulanoi seetlicrisesforcha.	----|-|-|---⌫-|-|-|---|--------|
Guillamesdurementsaïra	--------|-------||----|
Ainc desborg oisun	---|--|----⌫--|-|
s euln ene sp ar gna	-⌫--||-|-⌫--⌫--⌫--|
. l.aubr anc en	-⌫-|-|--⌫--|-|
det rencha	---⌫-----|
Toutelarue uers lepont lescac ha.	----|-|--|---|-|---|--|---⌫--|
I sneleme ntarireret orna	-⌫-------⌫-|----|---⌫---|
D Orliensissi queplus	|------|---|--|---|
Legrant c emin uersEstampessen	-|----|-⌫---|---|-------||-|
Es uos ErnautkienOrlie ns ent ra	-|--|-----|-|-|-----⌫-|---⌫-|
Gra ntcompaignie deche ualiersme na	---⌫-|---------|-|---⌫------|--⌫-|
DeLoeïs ue uoitkil	-|-----|--⌫---||-|
Sirefont il molt ma lementnous	---|---|-|---|--⌫-----|---|
Unscheualierski paricipassa	--|---------|-|--|--|----|
Leca stelainbiaussireochis n os	-|--⌫------|----|---|----|-⌫-|
Etdeborgois tant	-|-|------|---|
ke conten i a	-|----||||
Porseule ment	--|-----⌫---|
ke on li demanda	-|-|-|------|
Por quoiarméspariciceuauch a.	--|---|-----|--|--|-------⌫-|
E tdi stErnausSaue ́sqel pa rtilua	-⌫|--⌫-|-----|----⌫-|--|--⌫-|-|-|
Oïlbiaussir euersP aris s	---|----|---⌫|---|-⌫---||
Legr ant c heminuer sEstampestorna	-|--⌫--|-⌫----|---⌫|-------|----|
Sorunc eualn ussigrantn esgarda	--|-|-⌫---|-⌫-|-|----||------|
Totertcou ertdefer	--|--|---⌫--|-|--|
Ernauslentent	-----||-----|
ses armesdeman da	--|----|-----⌫-|
L aubercuestietsonelmelaca	|-----|----|-|--|---|---|
Isnelement en son ceual monta	---------|-|--|----|----|
P ri stsonescu unela ncee npoigna	-⌫--⌫-|--|---|--|--⌫--|-⌫------|
En sambleod lui	--⌫-----|-|--|
.x.cheualie rs mena	--|--------⌫-|---|
DOrliens iss i	|------|---⌫|
Demieliueses	----|---|--|
conpagn on s pasa	-------⌫--⌫|---|
Guillau m eata int ki soef	-------⌫-⌫|---⌫--|-|---|
Tien tune lancecunborgois esracha.	----⌫|--|----||-|------|-------|
Ern a us le u oithautement li	---⌫-⌫-|-|-⌫--|--------|-|
P ar Dieu uassa lmauaisementuos ua	-⌫-|---|-----⌫|----------|--|-|
Ala citéuenir uoscon uen ra	|-|----|----|--|---⌫---⌫-|
Lagentd Orliens	-|---||------|
illuecuosiugera.	-----|--|------|
E td istGui llam e sDehaitporuos	-⌫|-⌫--|---⌫----⌫-⌫|-----|--|--|
PointFolati se	----|------⌫-|
l er egne lilascha.	-⌫|-⌫---|-|------|
Erna us ses freres uers	----⌫-|--|-----|---|
l ui es perouna	-⌫-|--⌫------|
T antcomceuausdeso us lui	-⌫--|--|-----|----⌫-|--|
Se u ontferir	-|-⌫--|----|
lun s lautre n espargna	|--⌫||----||-------|
Les lances	--|-----|
brisent I aplusforte	------|-⌫|---|----|
Li quen s G uillames s onfreresihurta	-|----⌫|-⌫-------|-⌫-|----|-|----|
Kedou ceualenuers letrebucha.	-|--|----|-----|-|--------|
uoit leliquens silecontralia	---|-|-|----|-|-|--------|
Par di eu uas al moltpet it uos ama	--|--⌫-|---⌫-|---|---⌫-|--|--|
Kia Guillameios teruosenuoia	-||-------|---⌫--|--|-----|
Celui dOrenge ki	----||-----|-|
Plusdo lanshomne	---|--⌫---|--|-|
butnenemanga	--|-|-|----|
Ialim arc h is	-|-|-⌫---⌫-⌫-|
plus n e uos touchera.	---|-⌫|--|--------|
Sonceualprist ets ileramena.	--|----|----|-|-⌫|-|------|
Erna usl entent	----⌫-||-----|
toslisanslimua	--|-|---|-|--|
Augrantcorsageetasdis	-|----|------|-|-|--|
Desoncierfrere formen t semerueilla.	-|--|---|----|------⌫|-|---------|
Ilsaillisus	-|-----|--|
par lestrierl e nbrac ha	--||------||-⌫-----⌫-|
P lusde.uii.f oisla gambeliba isa.	-⌫--|-|----|-⌫--|-|----|-|--⌫---|
uoitleguillamesdesiex douciefplour a	---|-|--------|--|--|--|---|-----⌫|
Dececotfaitdu rement s	-|-||-|---|--⌫-----||
Maisde son freremi e	---|-|--|----|--⌫|
recon nutn a.	-----⌫--||-|
Sonceualpristetsi li	--|----|----|-|-|-|
Par grant am oramonterl ir oua.	--|----|--⌫-||-----|-⌫|-⌫---|
Qu antErna useutGuilla me conneü	--⌫--|----⌫-|--|------⌫-|------|
siliéso nq uesmessi nefu.	-|----|-⌫--⌫--|--|-|-|--|
Il li escri e Biausfrere dontuienstu	-|-|-----⌫|----|----|---|----|-|
Iesui Er na usketuas abatu	-|--|--⌫--⌫-|-|-|-|----|
Moltparsui	---|--|--|
l ie ́squant	-⌫--⌫-|----|
ton copaisentu.	--|--|-|-----|
O rsaii e bientuesd egrantuertu	-⌫|--|-⌫|---|-|-|-⌫|----|----|
M aisie n ai	-⌫--|-||-|
ma lme rc h i au roi	--⌫|--⌫--⌫-⌫|-|--|
Guillam es lot granti oie	-------⌫-||-|----|-⌫--|
Apiédesce n tdelb o nde strier	|---|-----⌫-⌫|--|-⌫-⌫|--⌫-----|
Cas cun sostadou cief so n elme	---⌫---⌫|---|--|---|--⌫|---|
Ernau slebaise et	-----⌫|-|----|-|
soue ntetmenu	----⌫-|-|---|
L esiexla fac eetle col	-⌫-|--|-|---⌫|-|-|--|
Deua ntsa boucefistGuillameses cu	----⌫-|-|----|---|--------|--⌫-|
toucha nua nu.	-----|-||--|
Liceualier	-|-------|
poignantuenu.	-------|----|
Quantl econnuren tcascunslirent	----|-⌫|--------⌫|------|-|---|
Communaument son tap iédescendu	-----------|---⌫||-⌫--|-------|
DeforsOrlienseumiunpre	-----|------|-|-|-|--|
Lasontassissousunarbrefoill u.	-|---|----|---|-|----|-----⌫-|
LiquensGuillam es leur atout	-|----|-------⌫-|---||---|
Le grantdam agek e i lot	-|----|---⌫--|-⌫|-⌫|-|
EnAlischanso u	-|--------|-⌫|
labataill e fu	-|-------⌫|-|
Mort sontmihom memes neueus	---|---|-|---⌫-|--|-----|
ai perdus.	-|------|
Bertranont prisSarrasin	------|--|---|-------|
GaudinlepreuetGuicha rt lemembru	-----|-|---|-|------⌫-|-|-----|
E tGuiëlindelCommarcisson dru .	-⌫|-------|--|--------|--|---⌫|
uiu ië nmortdontm olt s ui irascu	---⌫---⌫|---|---|-⌫--|-⌫-|-----|
Deuant Orengesonta siegeuenu	-----|-----|---||----|---|
N iail essién eiouene ne	||-|-⌫-----|-⌫|-----|-|
Forsseul lagaitee tunclercaso lu.	---|---|-|----|-⌫|-|----|---⌫--|
.xxx.cait ifsontaueuc remasu	----|----⌫-|---|----|-----|
Que ie rescous aun roi mescreü.	--|-|------||-|--|--------|
Tant pars ont foibl e	---|--|-⌫--|-----⌫|
nontforcen euertu.	|--|----|-⌫|-----|
Cas cunedame a lehau bercuestu	---⌫---|---||-|---⌫---|----|
Lesp ee chainteetlaciélelme	|---⌫-|------|-|-----||---|
Lalance oup oinget	-|----|-|-⌫---|-|
asoncolle scu.	|--|--||-⌫---|
Poi ont uitaill euinetformentmolu	--|--|-------⌫|--|-|------|---|
Seabrief t ermenesonttost s e coru	-||----|-⌫---|-|---|---|-⌫-⌫---|
Prise ertOre n gearseetdest ruitea	----|--|---⌫-⌫-|---|-|----⌫----||
Ernaus lentent	-----||-----|
to u ta le	--⌫-⌫||-|
s an cm eü	-⌫--⌫|-⌫--|
re spondu.	--⌫------|
Quan t uoit	----⌫|---|
Guilla mes Ernausnerespontm ie	------⌫--|-----|-|------|-⌫-|
Nepu etmu erken plorantneli die	-|--⌫-|--⌫-||-|------|-|-|--|
Pa r grantamor	--⌫|----|---|
etdo ucementli	-|--⌫------|-|
Ditesbi ausfre resfer e ́smeuos aïe	----|--⌫--|---⌫--|---⌫-⌫-|-|--|---|
Oïluoir si reiene uos faurai mie	---|---|--⌫-|-|-|--|-----|--|
Tantcomiouaie	---|--|--|--|
cors la uie.	---|-|---|
Et distGuillames	-|---|--------|
uos targiésmie	--|-------|--|
Fait essau oir	----⌫-|---⌫--|
Ermengar tde Pauie	--------⌫|-|----|
La no stremerequiIhesusbe neïe	-|--⌫---|---|--|-----|--⌫----|
EtA ymerialab arbef lorie	-|-⌫----||-|-⌫---|-⌫----|
K ilmese ceurentuersla gent pae n ie.	|-|-|--⌫------|---|-|---|---⌫-⌫--|
ALoeïsiraiasaint De ni se	|-----|---||----|--⌫--⌫-|
Pr oierailuipor	--⌫-----|--|--|
dieulefil Marie	---|-|--|----|
Kilmes eceu rent sagrant ostbanie	|-|-|-⌫----⌫---|-|----|--|----|
Mais iecriem molt keilnem	---|-|----|---|-|-|-||
e sc ondie	-⌫--⌫----|
Kine mecargesaricebaronie.	||-|-|----|-|---|-------|
Dontd ist ErnausNeuosesmaiésmie.	---|-⌫--|-----|-|--|-------|---|
AMontlaonlaforscite ́garnie	|-------|-|---|----⌫|-----|
Ladoit ten irun ef es teioïe	-|---|---⌫-|--⌫|-⌫--⌫-|----|
Moltiauradel a	---||---|-|-⌫|
baceler ie	-------⌫-|
Deuermendoisidoitfere	-|---------||---|---|
Mes pere iert amoltbe le mais nie .	--|---||--||---|--⌫-|----⌫---⌫|
Alési sirene saikeplus	----||---|-|--|-|---|
Or etargentetdest riersde	-|-|-----|-|----⌫----|-|
uosbailleraietm aceual erie.	--|--------|-|-⌫|-----⌫----|
LiquensGuill ame sd oucem entl en	-|----|-----⌫---⌫|-⌫-----⌫--||-|
Maisne n menal e uail lant dunea ill ie.	---||-⌫|---|-⌫|----⌫---||--|-⌫---⌫--|
E rnaut baisa mais l ab o ucea	-⌫----|----|---|-⌫|-⌫-⌫--||
Plorantdepartenten mila pr aerie.	------|--------|-|-|-|--⌫-----|
Liqu ens G uillam es a	-|--⌫--|-⌫------⌫-||
sa uoi eacuellie	-|---⌫|-------|
Dusqu aEs tampes	----||--⌫-----|
nasaregnesachie	||-|----|-----|
L anuitigutsipristher bergerie.	-⌫|---||--|||----|---⌫--------|
Pui sremonta eldest rierde S u rie	---⌫|------|-|----⌫---|-|-⌫-⌫--|
Satarg emi sta	-|----⌫|--⌫-||
un erenderie	--⌫|-------|
Ain sk eretortseraarseetbruïe	---⌫|-⌫|-----|---|---|-|-----|
prist kid est ruit labeï e.	----|-|-⌫---⌫---||-----⌫-|
Gui l lamespensadel e sploitier	---⌫-⌫----|----|-||-⌫--------|
Sou elme torse en	--|---|----|-|
son ha uberedob lier.	--|--⌫----|---⌫----|
coru sonauferrantdes trier	---|--|--------|---⌫----|
Cundiëme ncea euredem angi er	|-|------⌫--||---|-|-⌫----⌫-|
Sicoml agentuen oient doum ostier	-|--|-⌫|---|---⌫----|--|-⌫-----|
E ntreenLaonGuillames auu is fier.	-⌫---|-|---|--------|-|-⌫-|----|
Parm i la ruecommencea cheuaucier	--|-⌫|-|--|-------||---------|
Bienre semblehomki	---|--⌫-----|--|-|
ue nist dost oier.	--⌫---||---⌫----|
Moltleg aberent	---|-|-⌫------|
gar çonet	---⌫---|-|
pauto nier	-----⌫---|
Porle ceualk i uirentsi	--|-|----|||-----|-|
Distl unalautre Cis	---||-|||----|--|
semble bien	-----|---|
Aincmaisnushomue	---|---|--|--|-|
uit si grant so mier	--|-|----|--⌫---|
Dea ble l ou tsihaut	---⌫--||--⌫|-|---|
faitencroier.	---|--------|
uoiscomes tgrans com samble Berruier	---|--|--⌫|----|--|-----|-------|
Liquensse taistn	-|----|-|----||
a curede tenci er	|---|-|-----⌫-|
Outresenp a sse	----||-|-⌫-⌫--|
neuuautnularaisnier.	|-|---|--|---------|
Deuant lasaleauoit unoliuier	-----|-|---|----|-|------|
Lad esce ndidel	-|-⌫----⌫--|-||
a ufer rautdestrier.	-⌫----⌫---|--------|
Sigarneme ntn	-|-------⌫-||
est oientp asentier	---⌫----|-⌫-|-----|
Ainssontde routetdeuantet	---|---|--⌫---|-|-----|-|
Chain te o tles peed ontIipoinsest	-----⌫-|-⌫||--⌫--|-⌫--|-|----|--|
d or mier.	|-|----|
Fr ancois le uoieutn i	|-⌫-----|-|-----|||
otkes mer ue llier	-||--⌫---⌫--⌫----|
Ma is n iotnul nella issaste str aie r.	--⌫-|||-|--|--|--⌫-----|-⌫---⌫---⌫-|
Sus el pal aisle ua it unsmes	--|-|---⌫--|-|--⌫-|--|--|
Kelafors aueu unescuie r	-|-|---||--|-|------⌫|
Ainene uithomnulausigrantsorpiés	---|-|--|--|--|---|----|--|----|
Silfust arm és	|-|---|---⌫--|
biensamblast sou doier	---|-------|---⌫----|
il ui entporFrancec alengie r.	-|--⌫--|--|-----|-⌫-------⌫-|
iotprin ceia	|-|----⌫-|-|
sostuerslui drecier.	|--|---|--|-------|
Sig ransco rsagesfait molta resoigni er.f	-|-⌫---|--⌫-----|---|---||--------⌫---|
L o cisl otpristsoi ameruellier	-⌫-⌫--||-|----|--||---------|
De d ieudegloirese	-|-⌫--|-|-----|-|
commenceasaigni e r	-------||------⌫-⌫|
kilotpristsoia enbronchier .	|-|-|----|--||-----------⌫|
Sus as fenes tres	--|-|-----⌫---|
uontFranchoisapo ier	---|--------|---⌫--|
Por esgarde rlemarchisau	--|-------⌫|-|------|-|
Li quens Guillames desc endi aupe r ron	-|----|--------|----⌫---|-|--⌫-⌫--|
Maisne troua	---|-|----|
escu ie r negarcon	----⌫--⌫|-|-----|
Kilite nist s ondestrier	-|-|--⌫---|-⌫-|-------|
Liberlatacealoliu ierroon.	-|--||----|||----⌫--|----|
Cil kileuoien t sontenmo lt grantfrico n	--|-|-|-----⌫|---|-|--⌫-|----|-----⌫|
redoutent q u elaloe faucon.	--------|-⌫-⌫||---|------|
ALoeïoupalaisle dist on	|----|-|-----|-|---|-|
a ualdescenduaupe rron	|--|-------|-|--⌫---|
U nescuierb ienresamblebaron	-⌫|------|-⌫--|-------|----|
Nesai silest cheu alierouhaushom	-|--||-|--|----⌫----|-|---|--|
E n toute France n anu ldesa	-⌫|----|-----|||--⌫|-|-|
f a c hon.	-⌫-⌫-⌫---|
Grant a le co rsleuis	----||-|--⌫-|-|--|
etl ementon	-|-⌫|-----|
Leregartf ier assésplusd	-|-----|-⌫--|-----|---||
l esp eeausenestre geron.	|---⌫-|-|-------|-----|
Am enéaundestrierAra gon	--⌫---||-|-------|---⌫--|
la testesiag roslecr e pon	-|----|-||-⌫--|-|--⌫-⌫--|
Bi enate in d r oita l oliuie rens on.	--⌫-|---⌫--⌫-⌫-⌫--|||------⌫|-|-⌫--|
Moltabo nfrai nd	---||--⌫|----⌫||
amai nt b ot on	|---⌫-|-⌫--⌫-|
Etla sel e	-|-|---⌫|
estd eloueureSalem on.	--|-⌫||-----|-----⌫--|
Unshaumespe ntdeuauta	--|-----|--⌫-|-----||
Derr ieret rosses onhaubercfremillon	----⌫---|-⌫----|-⌫-|------|--------|
Ma isna entor forr el ne gambison.	--⌫-|||----|----⌫-|-|--------|
Blancee stlamaille a ssésp lus dauketon	-----|-⌫-|-|-----|-⌫----|-⌫--||------|
a derou ge	|-|---⌫-|
comcarbon.	--|------|
Moltpars ontgra ntand oi	---|--|-⌫--|---⌫-|---⌫-|
si esperon	-|------|
Plusalabro ce	---||-|---⌫-|
de.x.pansenuiron.	-|--|---|-------|
Sia uestuun	-||----|-|
ma uaissiglaton	--⌫---|-------|
Et pardes e urunherminpe liec h on.	-|--|---⌫-⌫-|-|-----|--⌫----⌫-⌫--|
Hautalenespardeseurlegernon	---||-|--|--|-----|-|-----|
E tg ros lesbraslespoi n s	-⌫|-⌫--|--|---|--|---⌫-⌫|
q uarr é senson	-⌫----⌫--⌫|-|--|
Ampleuiaireetc eue u s	----|-----|-|-⌫---⌫-⌫|
A gra nt meruell e resamblebienfelon.	|---⌫-|-------⌫|-------|---|-----|
Fra nc hois lenten dentsiens on t en frai con	---⌫--⌫---||-----⌫---|-|-|-⌫--⌫|-|----⌫--|
N ia ce lui n	|||--⌫--||
eu baisas tle men ton.	-|------⌫|-|---⌫---|
Di stLoeïsCarmialés Sa nson	--⌫-|-----|--|||----|--⌫---|
uen é srenoneiersa	---⌫--⌫|--------|-|
Bi en enqere ́s kii lestetsonnon	--⌫-|------⌫-|-|-⌫|--|-|--|--|
Et dont ile st et	-|---|-|-⌫-|-|
deqelregion .	-|--|------⌫|
Tex puetilestrema luoisiui auon.	--|---|-|----|--⌫|-----||----|
DistLoeïs	---|-----|
Sa nse s carmi	--⌫---⌫|--|||
Maisgardésbien chaensnel	---|------|---|--|--|-||
sace deqelterreil est nes.	---|-|--|----|-|--|---|
Tex pueti l estresachiésp ar uerit és	--|---|-⌫|----|-------|-⌫-|-----⌫--|
Alésamis gardésn edemorés.	----|---|------|-⌫|--------|
Siredis t Sansessicomuosc ommand és.	---|---⌫|-----|-|--|--|-⌫------⌫---|
Ilsentornasaualales degrés	-||-|----||----|--|------|
Guillame sosloliuier rame ́s	-------|--||------|----⌫-|
Nelconnutmie sil	--|-----|--|-||
ailsal ués	|-|---⌫---|
Puis li d emand e Siredontes tesnes	---|-|-⌫-----⌫|---|---|--⌫--|--|
Comauésnon di tes	--|----|--|--⌫--|
qu euosquerés	--⌫|--|------|
uoirdistGu illames	---|---|--⌫------|
aparmain lesaurés.	-------|-|-------|
Ne d o itenFranceme snonsestrecelés	-|-⌫-⌫-|-|-----|--⌫|---|----|-----|
Io aianonGuillamesaucortne s	-|-||--|--------|-|---|--⌫|
Siuingd O r engedurement s ui	-|---||-⌫-⌫---|-------|-⌫-|
uo streme r chicest ceualmetenés.	--⌫---|--⌫-⌫--|---|----|-|------|
Tan tkeioaiea	---⌫|-|-|--||
L oeïparle ́.	-⌫---|-----⌫-|
SiredistSanse sunpe tituossoffrés	---|---|-----⌫|-|--⌫--|--|-------|
I irai lassus el palaissignorés	|---|-----|-|-----|--------|
Auroisera mes	-|--|---|--|
mesagesconte ́s.	------|-----⌫--|
Sir eGui llamesap armainme ra urés	---⌫|---⌫-----|--⌫-----|-|--⌫----|
Ci m enuoia	-||-----|
iam areu douterés	-|-⌫-|-|--------|
Pordieuuospriekene uos aïrés.	--|---|--|---|-|-|--|-------|
Et distGuillamesAmisor uosha stés	-|---|--------|---|-|--|--⌫----|
Di tesleroii a m arlicelerés	--⌫--|-|--|-⌫|-⌫-|-|-------|
Ke iesuichipouresetesgarés.	-|-|--|--|-----|-|--------|
Oruerraiioso nqes	-|-----|-||-⌫---|
fumespri ués.	-|--|---⌫----|
Contre moiuigneetsesrice sbar nés	-----|--|----|-|--|----⌫|---⌫---|
Ors auraiio	-|-⌫----|-|
eomment iesuiamés .	------|-|--|-----⌫|
Alab esoigneestam isespro u és.	|-|-⌫------|--|--⌫-|-----⌫-⌫---|
S eo r mefaut puis ni aseurtés.	-⌫|-⌫|-|---|---||||--------|
Sired i st	---|-⌫-⌫-|
San sesielidiraiassés	---⌫--|-|-|----|-----|
Monuuelf eroitliro is uos	--|---|-⌫----|-|--⌫-|--|
uolentés.	---------|
Atan tsenestelpal disre to rnés	|---⌫||-|--|-|---⌫--|--⌫--⌫----|
Etdistau roi	-|---|-|--|
Ch ouest Guillameski	--⌫-|--|--------|-|
redoutés.	---------|
Par moiuos mand ek eneoutre	--|--|--|----⌫||-------|
Loeïslots e st uers	-----||-||-⌫-|---|
terr eclinés.	----⌫|-------|
Dist a Sa nso uAléssi uos	---||--⌫---⌫|----|-|--|
Keiapar moi	-|-|--|--|
n eserarauisés.	-⌫|---|--------|
Asuis deablessest s escors	-|--|------||--|-⌫-|---|
comm ande ́s.	----⌫----⌫--|
Tantnousauratrauelliésetpenés	---|---|---|----------|-|-----|
C en est pas homs	-⌫||--|--|---|
ainsestunuis maufés.	---|--|-|--|-------|
Maud eh a itait	----⌫--⌫-⌫-|--|
e t elcolet	-⌫|-|--|-|
Qui iles tbel kechi est arriués	--|-|--⌫|--|-|--|--|-------|
Liroissesietdolan s	-|---|-|---|-----⌫|
et trespeu sés.	-|-------⌫----|
Cildamoiselaualentlesdegr és	--|-------|------|--|----⌫--|
Et cheualier doutili	-|--------|---|-||
Cu ili quens otmainsnoblesdons do nés	--⌫|-|----|-|----|-----|---|--⌫---|
Les piausd em artreles e rm insengolés	--|----|-⌫|-⌫----|--|-⌫--⌫--|-------|
Etleshaubersetleselmesiemmés	-|--|------|-|--|----|------|
E tle sespeeset le sescusbou c lé s	-⌫|--⌫|-----|-|--⌫|----|---⌫-⌫---⌫|
arg en t les	---⌫--⌫|--|
deniersmoneés	------|------|
Lespale frois lesdestriers seiornés.	--|----⌫----|--|--------|---------|
Q uantil l e uire ntkil fu sidesramés	-⌫---|-|-⌫|----⌫-||-|-|-|--------|
Onqesn ifu	----|||-|
ba issiésne ac olés.	--⌫------|-|--⌫-----|
Mauai seme ntfu liquenssalués	-----⌫----⌫-|-|-|----|------|
contrairefu souentapelés	--------|-|-----|------|
Et d unsetd autre sesca rn is	-||--|-||-----⌫|----⌫--⌫-|
Souentes foisfulique nsranproné s.	-------|---|-|-|---⌫-|---------⌫-|
Ensiuadomm e kichieten po uertés	---|-||---⌫|-|----|-|--⌫------|
I anertch eris seruis nehonorés	-⌫||--|--⌫---|-----|-|-------|
Et distG uillamesSigneurgranttort	-|---|-⌫-------|------|----|---|
Ieuosaitosnoriseta leués	-|--|-|--|----|-|-⌫-----|
Mesbiax auoirsparmai ntes	--|---|-----|--|---⌫---|
f oisdo nés	-⌫--|--⌫---|
Denie rsetro besetcheuax presentés	-----⌫-|-|--⌫--|-|-----|---------|
S orneuosdoingn en	|-|-|--|----||-|
doiestre blasmés	--|----|-------|
Arcantf ui tos desbaretés.	-----|-⌫-|--|-----------|
Mortsontmihommemoltme nest	---|---|-|----|---||-⌫|--|
poi re més	--|--⌫---|
Bertrans me s	-------|--⌫|
est e nprisonés	--|-⌫---------|
Gera rset Guis	----⌫-|-|---|
et des autre sassés .	-|--|-----⌫|------⌫|
Ocisi est uiuië ns la losés	---||--|------⌫-||-⌫-----|
