o tzzempereeur	-⌫|-|--------|
qu ant illenm enoient	--⌫--|-||---⌫------|
lempereeursili	|--------|-|-|
dema ndent dequelmort	----⌫----|-|---|---|
ilmorrapendez	-|----|-----|
le d ist il sire	-|-⌫--|-|---|
uolentiersilsen	---------|-||-|
partentetsen	------|-||-|
entrent enlaruele	------|-|-|--|-|
c ril euadesgenz	-⌫-|-⌫--|--|---|
piti eenorent	----⌫|-|----|
atant es uous zz des	----|-|---|-|--|
sage sq uises mestres	----⌫|-⌫-|--|------|
e s toitetauo itno n	-⌫-⌫---|-|---⌫-|--⌫|
auguste s ilr egardason	-------⌫|-|-⌫-----|--|
de c i pleque	--⌫-⌫-⌫--|--|
destr uic ionsi	-----⌫---⌫--|-|
enotpitieilsen	-|-|----|-||-|
pas sao utreet	---⌫-|-⌫---|-|
uintau degredel a	---|-|----|-|-⌫|
salesi descendiet	---|-|-------|-|
uintde uant	---|--⌫---|
lempereeur silesalua	|--------|-|-|----|
liemp erieres	-|---⌫------|
nerespondi	-|-------|
saluaincois	---|------|
et li distie uous	-|-|---|-|---|
bailliémonfilz a	-------|--|---||
ense igniere t u ous li	----⌫-----|-⌫|-⌫--|-|
a ueztol uela	-⌫--|---⌫-|-|
parolepar c el	-----|--|-⌫-|
quid iexanon	--|-⌫--||--|
fet i e uousenrendrai	--|-⌫|---|-|------|
le guerr e d onsire fet	-|-----⌫-⌫-⌫-|---|--|
aug ustes bienai	---⌫----|---|-|
partiedeschoses coment	-----|--|-----|-----|
sonta le esle ma ltal ent	---|-⌫--⌫-|-|--⌫----⌫--|
deuous ne stpas	-|---||-⌫-|--|
uersluipo ur	---|--|--⌫-|
cequilneparole	-|-|-|-|-----|
autrechos e i a	----|----⌫|||
se uousencest e	-|---|-|----⌫|
maniere le uolezocirre	------|-|----|-----|
si uou s empuis seil	-|---⌫|-|----⌫-|-|
aueni rconme	-----⌫|----|
son neue u e t	--|----⌫|-⌫|
conment li	------|-|
emperierespa rfo i	---------|--⌫|--⌫|
seu ousu olezuo stre	-|-⌫--|-⌫---|--⌫---|
filzrespi tierdemort	---|-----⌫---|-|---|
leuousdiraipuisen	-|---|----|---|-|
fetesuostreuolente quant	----|-----|------|----|
ditcertefetli	--|----|--|-|
emperier es ielet	--------⌫-|-|-||
as sez i otmesagesqui	--⌫--||-|------|--|
corurent porl e nfant	-------|--||-⌫----|
ra menerpuis fu	--⌫----|---|-|
i aolelors	-⌫---|---|
conmenc amestreau gust es	-------⌫|-----|--⌫----⌫-|
son cont e	--|----⌫|
sireypocras fu liplus	---|------|-|-|---|
sageshons que le npeus t	----|---|--|--⌫|----⌫|
detoutso nlignageil	-|---|--⌫|------|-|
neu eua celuine	---⌫-||----|-|
uostilriensapre ndre	---|-|----|----⌫---|
desonsen s et	-|--|---⌫|-|
nepou rquantle	-----⌫-----|-|
ual let sep orpensaque	---⌫--|-|-⌫------|--|
aucunec hosel en	-----|-⌫---||-|
co u uenoitilsau oir	--⌫-⌫-----|-|---⌫--|
siien tendi	-||--⌫----|
y mist grantentente et	|---|----|------|-|
tant fis tquil	---|---⌫|-|-|
des couuri a sono ncle	---⌫-----||--|-⌫---|
y p ocrassonsens	-⌫-⌫----|--|---|
yp ocr asuitqueil	--⌫---⌫-|--|--|-|
ass ezne demo ragueres	---⌫-|-|----⌫-|-----|
que n ouele s	--|-⌫-----⌫|
uindre nt que lir oisde	------⌫-|--|-|-⌫--|-|
hongrie au oit zzfi lz	------|--⌫--|-|--⌫-|
qui e stoit	--|-⌫----|
mal adessi mandayp ocras	---⌫---|-|----|--⌫----|
quil uenista	-|-|-----||
illiremanda	-|-|------|
quiln i p ooit aler	-|-|||-⌫---|---|
mesillienuoieroit zz	--|-|-|---------|-|
sienn e u eu il	---|-⌫-⌫-⌫-|-|
c onmanda sonneue ua	-⌫------|--|----⌫||
atorneretlichar cha zz	------|-|-|----⌫--|-|
lidis tquilsen	-|---⌫|-|-||-|
alastaueclesmesa ges	----|---|--|----⌫--|
ilerrerent tantque	-|-------|------|
iluindrenten hongrie	-|-------|-|------|
auant i l leregardaet	----|-⌫|-|------|-|
puisleroyetp ui sla	---|-|--|-|-⌫--⌫|-|
merei llapr ist	---|-⌫|-|--⌫--|
parl ame inpuisl a	--|-⌫|--⌫-|---|-⌫|
trestaunepartet	----||--|---|-|
puis demandaaueoir	---|------||----|
euls t rois	---|-⌫---|
lenl i mous traquantil	--|-⌫|----⌫--|----|-|
lesotu euessi	--|-|-⌫---|-|
pensapu isape lala	----|--⌫-|---⌫-|-|
reyn eet li	----⌫|-|-|
quie stcist	--|-⌫-|---|
enfe ssire ilest	----⌫|---|-|--|
fil zetf ilzm onse ign eur	---⌫|-|-⌫--|-⌫-|--⌫---⌫--|
roydameiecroibien	--|---|-|---|---|
quilest uostr esfilz	-|-|--|-----⌫-|---|
estpasfilzlero y	--|--|---|-|--⌫|
siestditlar eyne	-|--|--|-|-⌫---|
nonest uoirditil	--|--|---|--|-|
etse uousn eme	-|-|---|-⌫|-|
autre choseiem en	----|----|-||-|
iraii ap ar foi fe t	---|-⌫|-⌫-|--|--⌫|
sauoiequeuo usle	-----|--|--⌫-|-|
deissiez a	-------||
uous feroieh onte	---|-----|-⌫---|
ducors fered a meie	-|---|---|-⌫-⌫-|-|
en iraimesbien	-|---|--|---|
s a chiezse	-⌫-⌫----|-|
uousnemeditesqu i	---|-|-|----|--⌫|
l en g endrai lnepuet	|--⌫-⌫----|-⌫|-|---|
gar ison lorssenpa rt	---⌫---|---||-|--⌫-|
etconme n caacrollerle	-|-----⌫-⌫-||------|-|
quant ceuoi tlareyne	----|-|---⌫|-|----|
silerap eleet li	-|-|---⌫--|-|-|
s ireie leuous	-⌫--|-|-|---|
parte l co u uentquil	--|--⌫|--⌫-⌫---|-|-|
nensoitparole	|-|---|-----|
d amedistilnonsera	-⌫--|---|-|--|---|
sirefet la	---|--|-|
auint que liqu ensde	----|--|-|--⌫--|-|
pas soitparcestpais	---⌫---|--|---|---|
sile h eberiames sires	-|-|-⌫-----|--|----|
ettant quilmep lo t	-|----⌫-|-|-|-⌫--⌫|
etquiliutamoi	-|-|-|--||--|
etengendra cestenfant	-|-------|---|-----|
dieunenparlez a	---||-|-----||
nonferaiie	--|----|-|
pois onauoust re	----⌫-|------⌫-|
doi t auoirdone zli	---⌫|----|----⌫|-|
chardebu efamengie r	---|-|--⌫-||------⌫|
il fir entsonconmandement	-|---⌫--|--|-----------|
tostconm eilen	---|----⌫|-|-|
otme ngié	-|--⌫----|
il fu gariz quan tli	-|-|----|----⌫|-|
rois uitceq ue	---|--|-|-⌫-|
filzfuga riz	---|-|--⌫--|
sidonaaceluias a	-|---||----||-⌫|
uolentecils	------|--||
m ei ntena n t	-⌫--⌫-----⌫-⌫|
to uzliezet uint a	--⌫-|---|-|---||
son onc lel io nc lesli	--|---⌫-|-⌫|-⌫--⌫--|-|
astulen fa nt gari	-|-||--⌫--⌫-|---|
sire oilq ue lidon as	---|--|-⌫-|-|---⌫-|
tuamengier	-||------|
char de buef dont	---|-|---|---|
estoit il a uous tressire	-----|-|-⌫----⌫---|---|
uoire sa ges	----|--⌫--|
esdist ypocrasypocras	-|---|------|------|
i pensaatraisonet	|----||------|-|
felonie uers	------|---|
so nneueuzz	--⌫|----|-|
iour l ape la et	---||---⌫-|-|
distbi ausn ies	---|--⌫--|-⌫--|
uenez auecmoien	----|---|--|-|
ue rgieret quantil	--⌫----|-|----|-|
uergiersidistypocras	------|-|---|------|
dex conmeiese n t	--|----|-|--⌫-⌫|
herbe cilsaut	----|--|---|
auantets agenoille	----|-||--------|
etl iaporta etli	-|-⌫|-----|-|-|
dist si re uezla	---|--⌫-|--|-|
ypocras l aprist	------|-⌫|----|
en sa main puispassa	-|-|---|---|----|
zz pouauantsidi st	-|--|----|-|--⌫-|
sent ie unemeilleur cil	---|-|--|-------|--|
uintauantpourcueillir	---|----|---|-------|
etsa genoillayp o cras	-||-⌫-------|--⌫-⌫---|
sefubienpourueuzsi	-|-|---|-------|-|
cousteletocistson	------|-|----|--|
neueu etencore f istil	----|-|-----|-⌫--|-|
touzses li ures siles	---|--|--⌫---|-|--|
ar di apresyprocrasfu	--⌫-|----|-------|-|
la mortsi ot menoison	-|---|-|-|-------|
mesagede mort	-----|-|---|
quer re zztonnel	----⌫-|-|-----|
muy s ilef istemplir	--|-⌫|-|-⌫--|-----|
de laplusclere	-|-|---|----|
fon t aineque lenp oist	---⌫-⌫---|--|--|-⌫---|
tr ouu e rpuis fist les	--⌫---⌫-⌫|---|---|--|
fonz depecieren cen t	---|-------|-|---⌫|
leu setyfis t	---⌫|-||---⌫|
yybroches p uismist	-|------|-⌫--|---|
po ud r eent ou rchascune	--⌫--⌫-⌫|---⌫--⌫|-------|
lor s man dap luseu rsg e nz	---⌫|---⌫-|-⌫-----⌫-|-⌫-⌫-|
s ileurdist	-⌫|---|---|
seigneur s	--------⌫|
mor t parmenoisonesgar dez	---⌫|--|-------|-----⌫--|
ieaifetcest tonnel	-|-|--|---|-----|
emplirdelap lusc lere	-----|-|-|-⌫--|-⌫---|
font a i neque lenp uiss e	----⌫-⌫-⌫-|--|--|-⌫----⌫|
tr ouuerore n treez	--⌫----|-|-⌫|----|
toutesl e s	-----|-⌫-⌫|
uolentiersfont	---------|---|
c ilmeintenantlestrai ent	-⌫-|---------|--|----⌫--|
mes iln en	--|-||-|
goute deaue	----||---|
orpoezueoirdist	-|---|----|---|
ypoc rasconment	----⌫--|------|
estanchie e	---------⌫|
cestefo ntainneetmoi ne	----|--⌫------|-|--|-|
pui s estan c hier	---⌫|-----⌫-⌫---|
biencertainem ent queie	---|---------⌫--|--|-|
memuir nedemora	-|---|-|-----|
gu erespuisq ue	--⌫---|-----⌫-|
mestreaugus t es	-----|-----⌫-⌫-|
al empe r eeurorest	||----⌫-⌫---|-|--|
y pocrasmort etsesnies	-⌫-----|---|-|--|---|
morzet s es	---|-|-⌫-|
greua st i lore	-----⌫-|-⌫|--|
eustless iéson neueuen	---|----⌫--|--|----|-|
eustlessi ésesl i ures	---|-----⌫-|--|-⌫-⌫---|
c erte s d it li emp erieres	-⌫----⌫|-⌫-|-|---⌫------|
riensneligreuastsire	----|-|-|------|---|
autret el uolezuous	------⌫-|----|---|
faireuou sn	----|---⌫||
zzfilzet celuiu olez	-|---|-|----|-⌫---|
destruir epo urle di t de	--------⌫|--⌫-|-|--⌫|-|
uo st refameuous estes	--⌫--⌫-|---|---|----|
etsauezbienqu eiames	-|----|---|--⌫|----|
ne nau rez pl usenf ant	|-⌫|--⌫--|--⌫-|---⌫--|
uosainsint	--|------|
destrui resiuousen	-------⌫-|-|---|-|
ila usintconm e	-|-⌫----|----⌫|
ypocrasdes on neueupar	------|-|-⌫-|----|--|
ditl iemperieres ilne	--|-⌫|---------|-|-|
m enauendrapas ainsint	|-|------|--|------|
nemorr ameshui sire	-|----⌫|--|--|---|
distmestre augus tes yy	---|-----|-----⌫--|-|
cenzmerciz c aru os	---|-----|-⌫-|-⌫-|
feroizuostreenne ur	-----|-----|----⌫-|
ainsint furespitiezcel e	------|-|--------|---⌫|
portesfurent closes li	-----|-----|-----|-|
emp e rieresuintal	---⌫-⌫-----|---|||
emp ereriz	---⌫-----|
e lelifis tlede chi ere	-⌫-|-|---⌫|---|---⌫--|
etot leseulzenflez	-|-|--|---|-----|
d eplor er	-⌫|----⌫-|
liemp eriere sli demanda	-|---⌫------⌫|-|------|
dame queauez uous	---|--|---|---|
lemoisire f e tele	-|--|---|-⌫-⌫|--|
gra ntire etgrant	---⌫-|--|-|----|
maut alent	----⌫----|
dame fetli	---|--|-|
e mp erieres	-⌫--⌫------|
pou r co i sirefetele	---⌫|--⌫|---|--|--|
mesdiresniuau droi t	--|----|||---⌫----⌫|
rien s m estou t esuoies	----⌫|-⌫-|---⌫-⌫-|----|
quant uousme preis tes	----|---|-|-----⌫--|
onques poursitost	-----|---|-|---|
less iercomen t dame	----⌫--|-----⌫|---|
distl i emperier es son me s	---|-⌫|--------⌫-|---⌫--⌫|
less i ersi r e	----⌫-⌫-|--⌫-⌫|
o il car ien	-⌫-|--|-||
esgarderoiem ie uostre	----------|-⌫-|-----|
ui lenie ne uost re	--⌫----|-|----⌫-|
abesse ment damecon mentsire	------⌫---|---|---⌫---|---|
iel euo us	-|-⌫|--⌫-|
ieuoibi enquetuit	-|--|--⌫-|--|---|
liho medeuostrecourt	-|--⌫-|-|-----|----|
queurentseure	-------|----|
celuiqueuo us	----|--|--⌫-|
queiluue lentqu i l	--|-|---⌫---|-|-⌫|
aitlempireets ece	--||-----|-|-⌫|-|
ace q ueilledo ie	|-|-⌫-|-|-|--⌫-|
a uoirsiuou sempuisse	-⌫---|-|---⌫|-|-----|
ilausiauenir	-|---|-----|
c on meilfi sta c elui	-⌫--⌫-|-|--⌫-||-⌫---|
la t es teson	-|-⌫--⌫-|--|
longai ngneparamoursdame	------⌫---|--|-----|---|
quifu cil ditesl e	--|-|--|----|-⌫|
m oi si re	-⌫-|--⌫-|
fet e l e queuaudroit	--|-⌫-⌫|--|-------|
mesdires dame ie uous	--|----|---|-|---|
que u ou s leme d ie z	--|-⌫--⌫|-|-|-⌫--⌫|
sireuolentier spoursauo ir	---|---------⌫|---|----⌫-|
uousypenrieze speriment	---||------|-⌫--------|
sire e nce steuileot	---|-⌫|--⌫--|---|-|
zz empereeurquiot non	-|--------|--|-|--|
octeuien qui	-------|--|
oretargent	-|-|-----|
q ueautre choseil	-⌫-|----|----|-|
amatan tqu il en	--|---⌫--|-|-|
emplitoute latourdu	----|----|-|---|-|
c ressantsiotyys ages	-⌫------|-|-|-|-⌫---|
uileli yyfurentalé	---|-|-|-----|---|
enconquest etdesyy	-|-------|-|--|-|
qu i remestrent	--⌫|---------|
fusilarge set	-|-|-----⌫|-|
despe ndanzque ilmet oit	-----⌫----|--|-|---⌫--|
ilauoi te t	-|----⌫|-⌫|
ilnepooitauoiril	-|-|----|----|-|
acr eoitlisiensn	---⌫---|-|----||
ueez anuluiilauoit	---||----|-|----|
yyfilze ty y f ille s	-|---|-⌫|-⌫|-⌫----⌫|
ilseuestoit	-|-|------|
noblementettenoitson	--------|-|-----|--|
corschieret	---|----|-|
liau tressagessi	-|--⌫---|----|-|
e s toit sichiches	-⌫-⌫---|-|------|
uoloitrien s	-----|----⌫|
desp endreetqu a nqueil	----⌫----|-|--⌫-⌫---|-|
a uoir il retenoita	-⌫---|-|-------||
celu i bail laocteuie nssa	----⌫|----⌫-|-------⌫-|-|
lilarges sagesapela	-|-----|----|----|
d e se sfilzun e	-⌫|--⌫|---|--⌫|
etlidi stua si	-|-|--⌫-|-|-|
z z picetiezz	-⌫|--|-|-|-|
sial onsa latou r du	-|--⌫--||-|---⌫|-|
si pi constantque	-|--⌫---|------|
e n treonsd u	-⌫|-----|-⌫|
c elarg ent	-⌫-|---⌫--|
s i nousen	-⌫|---|-|
fe r on sbienet	--⌫-⌫--⌫|---|-|
a qui te ronsa uoi	-⌫---⌫--⌫---|-⌫--|
sired istli uallezce	---|-⌫--|-|-----|-|
neferonsno us m ieque	-|-----|--⌫-|-⌫-|--|
nous se nou s yestiens	---|-|---⌫||------|
trouez nous etnostre	-----|---|-|-----|
lignage seriensmorzet	------|------|---|-|
honizcenaue ndra ia	----|-||---⌫---|-|
fetliperesquelen	--|-|----|--|--|
n ousyt rui ssesi	-⌫--||-⌫---⌫--|-|
pereie fere	---|-|---|
ilfis tespes lalun e	-|---⌫|----|-|---⌫|
ne luisoi t pasne	-|------⌫|--|-|
meintenant s en alerent	---------||-|------|
celepart si	---|---|-|
conmencierenta piquierau	------------||------|-|
pi e d ela	--⌫|-⌫|-|
piquierent	---------|
tantquilentrerente nz	-----|-|--------|-⌫-|
puis sechargierentde	---|-|----------|-|
cel au oi r	--|--⌫--⌫|
et enaport erent tant	-|-|-----⌫----|---|
conme ilporent	----|-|-----|
s ilessie rentleur	-⌫|------⌫---|---|
ret ornerentenleu r	---⌫-------|-|---⌫|
meson e t se de scharc h ierent	----|-⌫|-|--⌫------⌫-⌫-----|
len dem ainsaquiterent	|--⌫---⌫--||---------|
etue sti same sniee	-|--⌫--|-|--⌫----|
richementetfistredrecier	--------|-|---|--------|
m eson s qui	-⌫----⌫|--|
che oientet	---⌫----|-|
se maintintnob lementli	-|-------|---⌫-----|-|
gardeuintala	----|---||-|
pou rsauoir	---⌫|-----|
que r iens niato uch as t	--|-⌫---|||---⌫---⌫--⌫|
uitledement	--|-------|
esfon dree	-----⌫---|
ettrouualepertuis	-|-----|-|------|
l or sentra	-⌫--⌫|----|
dedenz s i	-----|-⌫|
bienque le ne not de	---|--|--⌫|-⌫|-|-|
l auoirportél o r ss	|----|-----|-⌫-⌫-⌫||
enuintariereen	-|---|-----|-|
os telsanz ferenul	--⌫--|---|---|--|
samblant puisfist fere	-------|---|---|---|
un e chaudiere	--⌫|--------|
atainturiers i	|---------|-⌫|
deuantlep ertuisdela	-----|-|-⌫-----|-|-|
et fist fereune	-|---|---|--|
fossemeru eil l eu s esil	----|----⌫---⌫-⌫--⌫-⌫|-||
if istenfoir	|-⌫--|-----|
pui spristglu z de	---⌫|----|---⌫|-|
plusfortqueilpot	---|---|--|-|--|
etglysede mer	-|----|-|--|
poizet pl onet	---|-|--⌫-|-|
ensamble si quel a	-------|-|--|-⌫|
chaudie ref u touteplaine	-------⌫-|-⌫|----|-----|
pri st b ranchete setpetites	---⌫-|-⌫--------⌫|-|------|
chaudiereetlacouui d e	--------|-|-|----|-⌫|
apr es ce n edemora	---⌫-|-|-⌫|-----|
gueresquelilar ges	-----|--|-|---⌫--|
otdespenduce queil	-|-------|-|--|-|
otaporté s in ot	-|------|-⌫||-|
mesqued espendre	--|--|-⌫-------|
car il otte nu esgranz	--|-|-|--⌫--⌫-|----|
courzetf etgranz	----|-|-⌫-|----|
des pensunenuit	---⌫---|--|---|
ap e l asonfil zsili	--⌫-⌫-⌫|--|---⌫|-|-|
dist fil zalonsen core	---|---⌫|----|--⌫---|
latourau oisiredist	-|---|--⌫-|---|---|
le ualletno nferons	-|-----|--⌫|-----|
soufrez uous	------|---|
distlipere s	---|-|----⌫|
encoreu nefoiz	-----|-⌫-|---|
ditlifilzauostre	--|-|---||-----|
conman dem entalonsen de	------⌫---⌫--|----|-|-|
pardieuil funuit	--|---|-|-|---|
ettart ilse m irent	-|---|-|-|-⌫----|
alauoieliperes	|-|---|-|----|
auantetlif i lzapres	----|-|-|-⌫-⌫-|----|
tantquiluindrenta	-----|-|-------||
siconmeliperescuid a	-|----|-|----|----⌫|
entrer enzsichaien	-----|--|-|---|-|
lacha udiere	-|---⌫-----|
etyaui ntiusques a	-||---⌫-|------||
la gorgeilsenti	-|----|-|----|
la glu z et	-|---⌫|-|
lagl yselestr aindre nt	-|--⌫--||----⌫------⌫-|
silesmembresqu	-|--|------|-|
cr iatoutbe l eme nt aso n	--⌫-|---|--⌫-⌫---⌫-||--⌫|
f ili esui	-⌫-|-⌫|--|
morzli ua llez lidist	---|-|--⌫---|-|---|
none stesbiau	--|-⌫---|---|
a iderai le uallets	-⌫-----|-|-----||
ab es sa alachaudiere et	--⌫--⌫-||-|--------|-|
lid i stt raitoiari ere	-|-⌫-⌫-|-⌫--|--|---⌫--|
biaufilz setu	---|---|-|-|
tuesmorzque	-|-|---|--|
ie dontco upemoidit	-|---|--⌫--|--|--|
latesteauoibiau p er e	-|----|---|---|-⌫--⌫|
feroie ieen	-----|-|-|
nulemanier e	---|------⌫|
ainziraiquer re aide	---|---|----⌫-|---|
puetestreditli	---|----|--|-|
biaud ouz f ilzfaitost	---|-⌫--|-⌫--|--|---|
ainzqu eautresgenzme	------⌫|-----|---|-|
tiegnentcar	-------|--|
puisque ie	------|-|
tes tecoupeen e	---⌫-|-----|-⌫|
ie p asconneuzneme s	-|-⌫-|------|-|--⌫|
lignages n iauraia	-------|||---|-|
re prouche	--⌫------|
cil s ab essaala	--||--⌫---||-|
chaudiere atoutel	--------||----||
arm eureq u	---⌫---|-⌫|
i lau oit aporteesil i	-⌫|--⌫--|------|-|-⌫|
coupa lateste	----|-|----|
s i esbahiz	-⌫|------|
queill aietaenune	--|-|-⌫|---|-|--|
des fo ss ess onp eree t	--|--⌫--⌫-|-⌫-|-⌫--|-⌫|
lesfillesle sorents i	--|-----|-|-----|-⌫|
otmou ltgrantduel	-|---⌫-|----|---|
parmilostel	----||----|
quant lisage s	----|-|----⌫|
aue rss efuleuezil	---⌫-|-⌫|-|----|-|
etentraenzil regard a	-|----|--|-|------⌫|
etuitceluienla	-|--|----|-|-|
qui otlatestecoupee	--|-|-|----|-----|
lorsapelasesse rianz	---|----|--|--⌫----|
e tl enfist	-⌫||-|---|
trereil regardaa	----|-|------||
destreeta senestre s us	-----|-||-------|-⌫-|
mesnepotestre	--|-|--|----|
con ne uzlorsf istli	---⌫--⌫-|---|-⌫--|-|
sa ges prendre	--⌫--|------|
yy cheuax sile fist	-|-----|-|-|---|
lie rpar les pie z	---⌫|--|--|---⌫|
lefisttrainerpa rmi	-|---|------|--⌫--|
ro meet conmandaq ue	--⌫-|-|-------|-⌫-|
celepartoui l	---|---|-|-⌫|
ue rro ientgrant due lfaire	--⌫---⌫---|----|---⌫|----|
tornassentet quilles	---------|-|-|-|--|
prei ssent	----⌫----|
l iualleta lerent	-⌫|-----|-⌫-----|
lescheuausparmirome et	--|------|----|---|-|
quil uindrent par	-|-|-------|--|
deuantlostelau s age	-----||----|-|-⌫--|
qu elentrainoit	--⌫|--|-------|
filz estoi ent	---|-----⌫--|
dedenzetses	-----|-|--|
is sirent hors	--⌫-----|---|
q uantiluirentleu r	-⌫---|-|-----|---⌫|
peretrainer	---|------|
conm encierentacr ier	----⌫--------||--⌫--|
lifreresneles pot	-|-----|-|--|--|
reten irlors sefer i d	-----⌫-|---|-|---⌫||
un couste l	-|------⌫|
parmilacuis se	----|-|----⌫-|
alerentapreslem ort	------|----|-|-⌫--|
en trerentenz et	--⌫------|--|-|
demanderentl e seigneurde	----------|-⌫|-------|-|
uallezr espondiquil	-----|-⌫------|-|-|
esto itenlauile et	----⌫-|-|-|---|-|
don q uescespu celes	---⌫-⌫--|--|--⌫----|
sicrientseigneurne	-|-----|-------|-|
uousque i em e sui	---|--|-⌫|-⌫|--|
naurezen la	-----|-|-|
uncoustel siau oient	-|------|-|--⌫----|
af ol ezoumorzuoirsest	--⌫--⌫-|-|---|----|--|
fon tcil bienle	---⌫|--|---|-|
pour uoir atan tse	---|---|----⌫|-|
cildel os tel et	--|-||--⌫--|-|
enme neren t horsde rome	----⌫-----⌫|---|-|---|
celu iq ue	----⌫|-⌫-|
lentrainoitsi l	--|-------|-||
enfoire ntoresire dist	-------⌫-|--|---|---|
l empereri s	|--------⌫|
li f ilz fu riches	-|-⌫--|-|-----|
ce dontli p ereses t	-|---|-|-⌫---|--⌫|
mo rz ah o nteetla	--⌫-||-⌫-⌫--|-|-|
t este son perepourcoi	-⌫---|--|---|---|--|
n e l a mist	-⌫|-⌫|---|
zz b el cimet iere mo ul tli	-|-⌫-|-----⌫---|--⌫--⌫|-|
ne du cor snede la	-|-|---⌫|-|-|-|
testequan til otl	----|----⌫|-|-||
auo irautel	---⌫-|----|
uousdi iede uostr e	---|-|-|-|-----⌫|
filzil pourchace	---|-|--------|
em pereres etpuisquil	--⌫------|-|-----|-|
auralaterreen	---|-|----|-|
main m oultlisera	---|-⌫---|-|---|
poude uousetseuous	--|-|---|-|-|---|
ainsintlefe tes que	------|-|--⌫--|--|
uueil liez croiresi uous	-----⌫---|-----|-|---|
en a u iegne i l	-|-⌫-⌫----|-⌫|
a usi conmeil	-⌫--|----|-|
cel uiqui sateste fu	---⌫-|--|-|----|-|
ietee enla longai gne	----|-|-|------⌫--|
parmonchieffetl i	--|--|----|--|-⌫|
emperieres ilnem en	---------|-|-||-|
ca r ienen	--⌫|-||-|
croirai iamesn us	------|----|-⌫-|
mati ns irefe tl	----⌫|-⌫--|--⌫||
em perer i zdie xu ous en	--⌫-----⌫-⌫|---⌫|-⌫--|-|
prist forc eet courage	----|----⌫|-|------|
celenuit pa ssa iusqu es	---|---|--⌫--|-----⌫-|
quel es po rt es	--|-⌫-|--⌫--⌫-|
ou ue rteslie mper ieres f u	--⌫--⌫---|-|-⌫----⌫----|-⌫|
lepal esempl i	-|---⌫-|----⌫|
baronsdelaterreli	-----|-|-|----|-|
empe rieres	----⌫-----|
conmandaa sessersqu	-------||--|---|-|
il destr uisi ssentso nfil	-|-----⌫----⌫----|--⌫|--|
cil a uostre	--||-----|
con mandeme ntille	---⌫-------⌫-|-|-|
t r estre ntdelaiaole	-⌫-⌫-----⌫-|-|-|----|
lamenerentpar deuantl	|--------|--|-----||
empereeu r	--------⌫|
illid emanderentde	-|-|-⌫---------|-|
il morroit	-|------|
uifdist li	--|---|-|
empe rie res cils	----⌫---⌫--|--||
atantetenm enerentl	----|-|---⌫------||
enfantmoulthumblement	-----|----|---------|
lesr u esd erome	--|-⌫-⌫-|-⌫|---|
at ant es uousqueli	--⌫--|-|---|--|-|
unsdesmest resui nt qui	--|--|----⌫--|--⌫-|--|
nonle n till us	--|--⌫-⌫----⌫-|
cilencontra	--|-------|
sondeci plequili	--|----⌫--|--|-|
enclin alisagesenot	------⌫|-|----|-|-|
gra ntpit ie s ipassa	---⌫-|---⌫-|-⌫|----|
outre t a nt	----|-⌫-⌫-|
uintaupiedes	---|-|--|--|
deg rezdela	---⌫--|-|-|
descendiet	-------|-|
chascunsl i cri aha	-------|-⌫|---⌫|-|
mestrepensezde uo stre	-----|-----|-|--⌫---|
decipleil uintdeu ant l	------|-|---|---⌫--||
empereeursile salua	--------|-|-|----|
li emperie res ne respont	-|-------⌫--|-|------|
pasasons alut ainz	--||--|-⌫---|---|
queiadi exne	--|-|--⌫-|-|
aistauoi sire	---|---|---|
lantillu s pourc oi iele	--------⌫|---|-⌫-|-|-|
uosdir ai fe tli	--|---⌫-|--⌫|-|
emperieresie uo usau oie	---------|-|--⌫-|--⌫--|
baillé monfilz a	------|--|---||
apr endreeta	---⌫----|-||
endoctrinerla premie re	----------|-|------⌫-|
doctr in equeuousli	-----⌫--⌫|--|---|-|
sil iaueztoluela	-|-⌫|---|----|-|
parolelautre queil	-----||----|--|-|
uoloit prendre mafamea	-----|------|-|---||
doi ntioi r non	---⌫-|---⌫|--|
uous cariasitostne	---|--|-|-|---|-|
des t ruiz conme uous morroiz	---⌫-⌫---|----|---|------|
apresluisire fet	----|--|---|--|
mestres l antillus s oufrez	------|-⌫-------|-⌫-----|
queierespoigne	--|-|--------|
deuostrefa mepre n drea	-|-----|--⌫-|---⌫-⌫--||
forc ece est fort	----⌫|-|--|---|
croi remes se	----⌫-|--|-|
uousle uol ezainsint	---|-|---⌫-|------|
destruireetsanzachoison	--------|-|---|-------|
siu ousempuiss e	-|-⌫--|-|-----⌫|
ausiauenir co nme il	---|-----|--⌫--|-|
de safa me coment len	-|-|--⌫-|-----||-|
au in tildonqu es	--⌫--⌫|-|-----⌫-|
emperieres	---------|
sireiene le	---|-|-|-|
se uous ne	-|---|-|
re spitie z	--⌫------⌫|
uostre filz c arc e qu e	-----|---|-⌫-|-⌫|--⌫|
ie dir oie	-|---⌫--|
nepro fi t eroit	-|---⌫--⌫-⌫----|
estoitdestru i zli	-----|------⌫-⌫|-|
emperier es conman daque	--------⌫-|------⌫-|--|
leramenast assez fu	-|-------|----|-|
qui corutp our le	--|----|-⌫--|-|
ramenezlor sco nmenca	------|---⌫|--⌫-----|
mestreslant illus sonconte	------|----⌫----|--|----|
oten ceste	-|-|----|
ui le zzhomequi fu	--⌫-|-|---|--|-|
lig n agesinotpoin t	---⌫-⌫--|-||-|----⌫|
