formCico umence	---|-|--⌫-----|
estoit pre udo m qila uo itensambleoluiame né	-----|---⌫---⌫||-|-⌫--⌫-|-------||--|---⌫--|
Maurus au oit nonsi leur distDon tne	-----|--⌫--|--|-|---|---|---⌫|-|
ueezuo sqi cil estqi c estmoinetret	---|--⌫|-|--|--|-|-⌫--|----|---|
fors decee nzI lrespondirentsidistrentNos	---|-|---⌫-|-⌫|-----------|-|-------|--|
n enueonsm ie .	|-|----|-⌫-||
SeinzB eneoiz lord istProionsnostre	----|-⌫-----|--|-⌫--|------|-----|
Sign orqe u os	----⌫-|-|-⌫-|
puissi e z ueoir celu i qices tmoineen meine	------⌫-⌫|----|----⌫|-|---⌫|----|-|----|
Qantilorent	---|-|----|
iorz feteslor	---|----|--|
oris sons Mau rusuitco ment linoirs enfes	----⌫---|---⌫--|--|--⌫---|-|----|----|
e ntraio itle m oineetPompeiens	-⌫|-----⌫-|-|-⌫---|-|--------|
qiestoitabbesdeleglisse	-|-----|----|-||------|
ne lepooitmieueoir adonc.	-|-|----|--|----|----||
Auti erziorqantl orissonfu	-|--⌫--|--|---||------|-|
fineeiss i seinz Beneoizdeleglissesi	----|---⌫|----|------|-||------|-|
t r ouale m o inedefors esta ntqilaarrestoittozcoiz	-⌫-⌫--|-|-⌫-⌫--|-----|----⌫-|-|-|--------|--|---|
fesoitnul echosee t seinz	-----|---⌫|----|-⌫|----|
Bene oizlebatiduneuergepo rlauiuté	----⌫--|-|---||--|----|--⌫|-|-----|
qienson co rs estoit	-|-|--|--⌫-|-----|
e ntreeneonqespui sce l	-⌫----|-|----|---⌫|--⌫|
iorlin oirs e nfes cees t lideables neli	--|-|-⌫---|-⌫---|-|--⌫|-|------|-|-|
enortatele	-----|---|
oeur e afere	----⌫||---|
einzfu l i moinesenorissons assiduelme ntensamble	---|-|-⌫|-----|-|-------|----------⌫-|-------|
osesfreres.	|--|-----||
Apre ́scea uintqedes	----⌫-|-|-⌫---|-|--|
eglissesq eilauoit f eteset estorees	-------|-⌫|-|----|-⌫---|-|-------|
lae n uironsonhab itacle	-|-⌫-⌫----|--|---⌫-----|
e s t oient les.	-⌫-⌫-⌫----|--||
ensomlah autescedelaroche e t	-|--|-|-⌫------|-|-|----|-⌫|
mou testoit grief choseet traueilleuse asfreres	---⌫|-----|----|----|-|-----------|-|-----|
eglisses de descendreaul a cen	-------|-|--------|-|-⌫-⌫|-|
porpren dre	--|----⌫--|
euecariliauoit	--|--|-||----|
grantperil	----|----|
et gr an t po or aceus qide scendoie n tde lamontei gne	-|--⌫--⌫|--⌫-||---|-|--⌫--------⌫-⌫|-|-|------⌫--|
Porces assemblerent li	--|-||-----------|-|
frered es.	----|-⌫-||
egl is ses siuindrent aseint	---⌫--⌫--|-|-------||----|
B eneoitetsilid istrentSei nzperesm outnos est	-⌫-----|-|-|-|-⌫------|---⌫-|----|-⌫--|--|--|
gr i e fcho seetpenabl e	--⌫-⌫-⌫|---⌫-|-|------⌫|
dec hascuniordescend r e au lacpor eue.	-|-⌫-----|--|-------⌫-⌫|-|--|--|--||
Porcestepeinecouendroi tilque	--|----|----|---------⌫|-|--|
no se gl issesfussentrem uees et enautreleuassises.	--⌫|-⌫--⌫----|------|---⌫---|-|-|----|--|------||
QantseinzBeneoizloroïce dire	---|----|------|--|--|-|---|
il lesconfor tamoutbenign ementet mout	-|--|------⌫-|---|------⌫----|-|---|
d ocement .	-⌫------||
E t qantuintlanuitilmonta la	-⌫|---|---|-|---|-|----|-|
rocheensambleol uil enfantqi Placidus	----|-------||-⌫-||-----|-|-------|
auoi tnon don tie uos	----⌫|--|---⌫|-|--|
p arlé qu eplusde genzne lesorentet	-⌫----|--⌫|---|-|---|-|-|-----|-|
si fis ts orissonlamout docementanost re	-|---⌫||------|-|---|-------||----⌫-|
Etqantill o tfineeilmisttro i s	-|---|-||-⌫|----|-|---|---⌫-⌫|
pierresaussintcompor enseig nes la	------|------|--|--|------⌫--|-|
ouill au oitfete.	-|-||--⌫--|---||
Puis sisenrepairaarriere	---|-||-|------|------|
q eonq uesriennenso re ntci ld es troise gl isses	-⌫|---⌫--|---||-|--⌫--⌫-|--⌫|-⌫-|----|-⌫--⌫----|
Qant uint ale ndemein	---|---||--⌫------|
reuindr enta lui	-------⌫--||--|
compleind re de la destrece	---------⌫-|-|-|-------|
del eueetil lor dist Alez et	-||--|-|-|--|---|---|-|
sich auez laroche	-|--⌫---|-|----|
deseurelaou uo strouer oiztrois	------|-|-|--⌫|------⌫--|----|
p ierresmisesensemble.	-⌫-----|----|-------||
NostreSir es estb iensi puissanz qu	-----|---⌫-|--|-⌫--|-|-------|-|
ilpu eteue fere	-|--⌫-|--|---|
ue nir en somlamonteigne et uos	--⌫--|-|--|-|--------|-|--|
osterdel grant trauail ouuos estes .	----|--|----|------|-|--|----||
Lorssenalerent	---||-|------|
li fre re auleuouli seinz	-|---⌫-|-|--|-|-|----|
h omlo r disoitsi le	-⌫-|--⌫|-----|-|-|
trouerent ia	--------|-|
trestou t moisteetausin t com suantdeue e t	-------⌫|-----|-|-----⌫|--|----||--|-⌫|
tantost comil loren tc h auéen	------|--|-||----⌫|-⌫-⌫---|-|
decor ut le ue a	-----⌫-||-⌫-||
sigrantplenté tresqa	-|----|------|----||
iore ndescente led	--|-⌫|------|-⌫-||
ensom lamon tagnetresqen laualee	-|--|-|---⌫----|----|-|-|----|
Etci len orent etont	-|--⌫|-|----|-|--|
assezq uil ahabitent	----|-⌫-|-⌫|-------|
Un autre ten s apr e ́s	-|----|---⌫|---⌫-⌫-|
ce auintqeunspo uresdelascien ce	-|----|-|--|--⌫---|-|-|-----⌫-|
decestsiecl eGotusauoitnon	-|---|-----⌫|----|----|--|
sei nt Be neoitp or	---⌫-|--⌫----|-⌫-|
lui rendreasaconuersa tio n .	--|-----||-|--------⌫---⌫||
Lisei n zhomlereçut	-|---⌫-⌫|--|-|-----|
moltuol e ntiers.	---|---⌫-⌫-----||
E insintfucilenlameson tant q ece	-⌫-----|-|--|-|-|----|---|-⌫|-|
uint a unior qeseinzBeneoiz	---||-|--|-|----|------|
licomand aa p rendr e	-|------⌫||-⌫-----⌫|
un fauchartporos terbuissons et	-|-------|--|--⌫--|-------|-|
o rtiesforsdun leuou iluoloit	-⌫----|---||-|--|-|-|-----|
uncortilfereetc i ll e us estoitpresdel	-|-----|---|-|-⌫-⌫|-⌫-⌫-|-----|---|--|
lacqidesozlarochee stoit.	--|-|----|-|----|-⌫----||
Gotuscomençaa	----|-------||
de struireet aoster	--⌫------|-||----|
l espesse c e desbui ss onset	|-------⌫-⌫|--|---⌫--⌫--|-|
desort iesaso npooiretsicomil	--|---⌫--||--⌫|----|-|-|--|-|
sefforç oiten telmaniere li fers del	|-------⌫--|-|--|------|-|---|--|
faucharts ailli fors	-------|-⌫----|---|
del m anche	--|-⌫----|
si cheïel lac	-|----|-|--|
en telleuq e nusnecuidastiamésque	-|--|--|-⌫|--|-|------|-----|--|
liferspeüst estre	-|---|-----|----|
troué ssi est oi tl	------⌫|-|---⌫--⌫||
eue pa rfonde .	--|--⌫-----||
Q a n tGotus	-⌫-⌫-⌫|----|
uitqilauoit	--||-|----|
fer perduiltresta Maurumetsili	--|----|-|----||-----|-|-|-|
d i stle domacheq ila uo it	-⌫-⌫-|-|------||-|-⌫--⌫-|
Maurus limoines	-----|-|-----|
alaaseintBe neo itsil imostra cestech o se	--||----|--⌫---⌫-|-|-⌫|-----|----|--⌫-⌫-|
Q ant liseinz homoï laparoleqeMaurus	-⌫--|-|----|--|--|-|-----|-|-----|
lic ontoitil alaau	-|-⌫-----|-|--|-|
lac si pristle manched el	--|-|----|-|-----|-⌫-|
f auchartqeGotustenoitensam einsi	-⌫------|-|----|-----|-|-|-⌫--|-|
lebouta enle ueet meint ena ntreuint li	-|----|-||-⌫-|-|-----⌫---⌫-|-----|-|
fersdel aparfondece	---|-|-⌫|---------|
elmanchesicomilauoitesté deu an t .	-|-----|-|--|-|----|----|---⌫--⌫||
rendiaucon uerse tsi lidistBeaus	----|-|---⌫---|-⌫|-|-|---|----|
f rere o rourezsine de menez dolorne	-⌫---|-⌫|----|-|-|--⌫----|----|-|
tristece .	-------||
Uneautrefoiz	--|----|---|
auintqeseinz Beneoiz e s toit ensaceaille	----|-|----|------|-⌫-⌫---|-|-|------|
etPl acidusqiestoit	-|--⌫-----|-|-----|
moines et assez enf esissideforsatot	-----|-|----|---⌫-|---|-----|---|
unu esselpor pu is ierella cdele ue	-|-⌫----|--|--⌫--⌫--|-|--⌫|-||-⌫-|
Sicomilsabess oitporleueprendreil	-|--|-||-----⌫--|--||--|------|-|
sotmot si fudedenz ch eüs etmeint enant	--|--|-|-|-----|--⌫---|-|-----⌫----|
lesloingnal onde ensusdelar iue	|--------||---|----|-|-|-⌫--|
letreit dune archie .	-|----||--|-----||
SeinzBeneoizqideden zsa cealle estoit	----|------|-|-----⌫|-|-----|-----|
sottantostcestechose.	--|------|----|----||
Lor s apel a Mau rum par	---⌫|----⌫|---⌫--|--|
granthaste s i	----|----|-⌫|
lid istBeaus frer eqeuri snelementcar	-|-⌫--|----|----⌫|---|-⌫--------|--|
lien fesqiestoi t	-|--⌫--|-|-----⌫|
alezaulacp o rdeleue estcheüs	---|-|--|-⌫-⌫|-||--|--|-----|
qeles ondes lont ia	-|--|----||--|-|
mout ensust r et ete sloigniéde	---|----|-⌫-⌫-|-|-⌫--------|-|
Orpoezoïrme rueilleqe tantost com eMauruso treceüe	-|---|---|--⌫------|-|------|---⌫|-----|-⌫|------|
s a beneïc ̧on etsoncomandementsena la isneleme nt tresq	-⌫|-------⌫--|-|--|----------||-|-⌫-|--------⌫-|----|
allieu oulondea uoit	-|---|-||---|-⌫---|
mene ́sileprist p ar	----⌫|-|-|----|-⌫-|
lesch eueusetrepera ar riere t out pardeseurel	--|--⌫----|-|-----|--⌫----|-⌫--|--|------||
euesi seurementqilcuidoita ler	--|-|--------||-|------|-⌫--|
Etqantilfureu enuz	-|---|-|-|---⌫---|
ala riueetilotlenfant	|-|---|-|-|-||-----|
ilregardaarriere	-|------|------|
Don tpr imesaper çut ilqil auoit al é s eurl	---⌫|--⌫---|----⌫---|-||-|----|--⌫-|-⌫--||
e uesisenes mer ueillaetespo orimout	-⌫-|-||-|--⌫---⌫-----|-|----⌫--|---|
dureme nt.	------⌫-||
Lorsreperaase intBeneoit et	---|-----||--⌫--|------|-|
liracontac este chose .	-|------|-⌫---|----||
Seinz Beneoiz	----|------|
dist qecen estoitmi epars es	---|-|-||-----|--⌫|--|-⌫-|
meritesein zestoit parlobediencequ il	------|---⌫|-----|--||--------|-|-|
auoit aemplie.	----|------||
EtMa urusdisoit	-|--⌫---|-----|
encontr eqe	-------⌫|-|
cee stoit ta ntse ulementparsoncon ma ndeme ntcar ado ncne	-|-⌫----|--⌫-|--⌫------|--|--|---⌫--⌫-----⌫-|--|---⌫-|-|
li so u e noit	-|--⌫-⌫-⌫---|
d o be dience	|-⌫--⌫-----|
L aou l eueqe	-⌫|-||--|-|
seinzBeneoiza u oitestruitet fetenloneur nostre	----|------|-⌫-⌫--|------|-|--|-||----|-----|
SignorIesuCristcr oissoientetmont eplioient p ar tieus	-----|---|----|--⌫--------|-|----⌫--------|-⌫-|----|
mira clesetparautrespluiseur s genzi uenoie nt pord eguer pir	----⌫---|-|--|-----|--------⌫|---||------⌫-|--|-⌫-----⌫--|
las eculer uie ets isesosm etoient a	-|-⌫-----|--|-|-⌫|-|----⌫------||
sadoctrine.	-|-------||
Uns pre st re sqiFl orentinsotnonqipres	--|---⌫--⌫--⌫|-|--⌫-------|-|--|-|---|
de l egliss ehabitoitou seinzBeneoiz auoi t	-||------⌫|-------|-|----|------|----⌫|
sacon gregation fuesprisenuersleseint	-|---⌫--------|-|-----|-----|-|----|
homeparmalicedel dea ble	---|--|-----|--|---⌫--|
si c omençaaauo ir enuiedeses	-|-⌫------||---⌫-|----|-|--|
fez etde sesoeuressi prist	--|-|-|--|-----|-|----|
abl asme r saconuersation e tsaui e porcequ	|--⌫----⌫|-|-----------|-⌫|-|--⌫|--|-|-|
cui doit retrere ceusq i	---⌫---|------|---|-⌫|
le uisit oie nt etqip orseruir no stre	-|-----⌫---⌫-|-|-|-⌫-|-----|--⌫---|
S ignoraluisedonoi entme sqantil ui t	-⌫----||--|-|-----⌫--|--⌫|---|-|--⌫|
qet out cene li ualoit ri en ilfu	-|-⌫--|-|-|-|-----|--⌫-|-|-|
tant auuglé sdesa	---|-------⌫|-|-|
gr antm ale au entu re qu	--⌫--|-⌫--|--⌫----⌫-|-|
a sei nt Ben eoit unp ein	|---⌫-|---⌫---|-|-⌫--|
totenueniméau ss intc omsec efustparamors	--|--------|--⌫--⌫--|-⌫-|-|-⌫|---|--|----|
etporbeneïço n.	-|--|---------⌫||
Li seinzh omlereç ut	-|----|-⌫-|-|----⌫-|
agranzgrez ettan tost so tilbienla	|----|---|-|---⌫---|--⌫|-|---|-|
pes tilenceetlamaleauentu re qi rep ost eestoit el	---⌫------|-|-|---|------⌫-|-|---⌫---⌫|-----|-|
Adon cauoi tencostume	----⌫|----⌫|-|------|
unsco rbe ausdeuenir	--|--⌫---⌫--|-|----|
aluiaheuredemengieretsi	|--||----|-|------|-|-|
pre no itle pein qelisei nz	---⌫--⌫-|-|---|-|-|---⌫-|
ho m lidonoitdesa	--⌫|-|-----|-|-|
Lor s ui ntlicorbeaussicomi lsoloit et seinz	---⌫|--⌫-|-|-------|-|--|-⌫|-----|-|----|
Beneoizligeta	------|-|---|
lepeindeuantqeliprestres liauo itenuoié	-|---|-----|-|-|-------|-|---⌫-|------|
etsil idist Iete	-|-|-⌫|---|-|-|
coma nçelnon	----⌫--|-|--|
n ostreSignorIesu Cris tq etu emportescest	-⌫----|-----|---|----⌫|-⌫|-|-------|---|
peinetsile m eten	---|-|-|-|-⌫-|-|
t elleuqenu shomn ele puis s etr ouer.	-⌫-|--|-|--⌫|--|-⌫|-|----⌫-⌫|--⌫---||
Qan t li corbeausoïla	---⌫|-|-------|--|-|
paroledel sein thomeil tendises	-----|--|----⌫|---|-|----|--|
eles ets icome nçatou t	---|-|-⌫|----⌫---|---⌫|
enuiron lepein	------|-|---|
acor reet s icri oit	|---⌫-|-|-⌫|---⌫--|
moutd ur e mentensamaniere autresintcoms il	---|-⌫--⌫-⌫---|-|-|------|--------|--||-|
deïstIene lefeïss emie	-----|-|-|-|------⌫|--|
uolentiers seieo sasse.	---------|-|-|-⌫----||
Liseinzhom Deulicomandaun e	-|----|--|--|-|------|--⌫|
foiz etautr eetsidisoit Lieue	---|-|----⌫|-|-|-----|----|
le s eu rementet	-|-⌫--⌫-----|-|
sileg iet e laou ilnepuisse	-|-|-⌫---⌫|-|-|-|-|-----|
est retrouez .	---⌫-|-----||
Longuementatarialicorbeau s qe prendre	---------|-----|-|-------⌫|-|------|
nelosame s	-||--|--⌫|
enl a fin lepr ist	-|-⌫|--|-|--⌫--|
il parlecomand ementdel seint home ensonbe c	-|--|-|------⌫----|--|----|---|-|--|--⌫|
sises leuaatoutsilemporta.	-||--⌫---|----|-||------||
Aprésc ebien le spa cede .	-----|-⌫|---||-⌫---⌫-|-||
he uresreperal i corb iausetseinz Ben eo izli	--⌫---|-----|-⌫|----⌫---|-|----|---⌫--⌫-|-|
donasa proue ndetel e	---|-|-----⌫--|---⌫|
comi lli auoitacostumee	--|-⌫|-|----|--------|
Lise inzhom	-|--⌫--|--|
uitlenuieqeli prestre s auoit uers luiet	--||----|-|-|-------⌫|----|---|--|-|
la feloniesienfu	-|------|-|-|-|
plus dolenzporlep restre qep or	---|-----|--|-|-⌫-----|-|-⌫-|
luimeïsmes.	--|-------||
Etqan tliprestr esuitqi l neporroit	-|---⌫|-|------⌫-|--||-⌫|-|------|
se intBeneoitocirreilsepensaqui lt oudroit	--⌫--|------|-----|-|-|----|-|-⌫|-⌫------|
lesames asesdeci ples entel	--|---||--|----⌫---|-|--|
man ie req ilenuoiero it	---⌫--⌫-||-|--------⌫-|
deu ant eus.	---⌫--|--||
damoiseles totesnuesquipar les meinss	---------|----|---|--|--|--|----||
entretendr o ientet karoleroientet ioeroient ensemble .	----------⌫-⌫---|-|-----------|-|--------|-------||
Einsint trestorneroient lorpense ese t	------|--------------|--|-----⌫-|-⌫|
enflame roie nten luxure.	-------⌫----⌫-|-|-----||
Qantli seinz hom uitceilcremi d e	---|-|----|--|--|-|-|----|-⌫|
se siouenesfreres si est ab li	--⌫|------|-----|-|---⌫--⌫-|
etmist partout	-|---|------|
pre uoz et fr eresqi	---⌫--|-|--⌫---|-|
demorassent.	----------||
Etp uissi prist	-|-⌫--|-|----|
ense mbleo	----⌫---||
l ui petit de c o mpagnie de moines	-⌫-|----|-|-⌫-⌫------|-|-----|
sisenalaet tintsauoie	-||-|--|-|---|-|---|
carilsau oit bienqeFlorencesli	--|-|---⌫--|---|-|--------|-|
pres tres nefesoits e	----⌫---|-|-----|-⌫|
porluinon as es freres	--|--|--||-⌫-|-----|
ces assauz neces	--|-----|-|--|
fe lonies.	--⌫-----||
M es tant ostc om ilenf u	-⌫-|----⌫--|-⌫-|-|-|-⌫|
ue nga biennostreS ign orcarla	--⌫--|---|-----|-⌫---⌫-|--|-|
oulipres tresestoitenunso lie ret	-|-|----⌫---|-----|-|-|--⌫---⌫|-|
i l s e sleeço itde	-⌫||-⌫-------⌫-|-|
seintBene oitqiestoit alez sauo iene	----|----⌫--|-|-----|---|-|--⌫-|-|
sot il mot	--|-|--|
sic heï lisoliersetfondid esouz	-|-⌫---|-|------|-|----|-⌫----|
lu i n eonq es lamesonne	--⌫|-⌫|---⌫-|-|----|-|
sen remutenn u le﻿partie.	|-|----|-|-⌫-⌫-|------||
L a fuFlorenc esmors ences temaniere.	-⌫|-|-------⌫-|---|-|---⌫-|------||
DontlenonçaMaurusm eintena ntq u ill e	---|-|-----|-----|-⌫-------⌫-|-⌫|-|-⌫|
soutaseint Bene oitq ienc orenes toit	---||----|----⌫--|-⌫|---⌫--||--⌫---|
miealezloingde la	--|---|----|-|-|
li ues et silidistSeinz peres	--⌫--|-|-|-|---|----|----|
retornecarliprestres qui	------|--|-|-------|--|
tehaoitestmo rz.	-|----|--|--⌫-||
Qa ntseinz Beneoizoïcest e	--⌫-|----|------|--|----⌫|
s ecomençaadolose rmout duremen t eta	-⌫|-------||------⌫|---|-------⌫|-||
compleindre ie nesai secefuporce	----------|-|-|--|-|-|-|--|-|
qe ses enemise s toit	-|--|-----|-⌫-⌫---|
porce q e se s de cipl essesleeçoitdesam ort	--|-|-⌫|--⌫|--⌫----⌫-||---------|-|-|-⌫--|
Et por celencharcha	-|--|-||-|------|
ilpeneance qilli mandatel	-|-------||-|-|----|--|
cho se etquilestoitlie z etioïeus	---⌫-|-|-|-|-----|---⌫|-|------|
ne uoutpasli s einzhom retor ner	-|---|--|-|-⌫---|--|-----⌫--|
arriereeinz senala aunchastelq iCassius	------|---||-|--||-|------|-⌫|------|
estoitapelezqi estoit	-----|-----|-|-----|
assisen la	----|-|-|
cos tieredunegrant mont aig ne.	---⌫----||--|----|----⌫---⌫-||
La m onteigneestoit l oingestendueen	-|-⌫-------|-----|-⌫---|-------|-|
haut pres de	---|---|-|
liuescharchiesd efor e zet	----|--------|-⌫|---⌫-⌫|-|
deboi schage.	-|---⌫-----||
Laauoitunuiez templede p aiens	-|----|-|---|-----|-|-⌫----|
ouli u ileinaoroientancienementApollin	-|-|-⌫----|-------|----------|------|
Ete ncore adonceniauoitgr ant	-|-⌫----|----|-||----|--⌫--|
plentéace lte nsquilafesoient lo rsacrefices .	------||--⌫|--⌫-|--|-|-------|--⌫|---------||
La uintseinz Beneoiz sicombrisal	-|---|----|------|-|-------||
ydoleetdestr uistla utel	----|-|-----⌫---||-⌫---|
si c omandaatrenchierleboiset aa batre et	-|-⌫-----||--------|-|---|-||-⌫----|-|
enm eïsmesletempledApolli nf istilunaut re	-|-⌫------|-|-----||------⌫|-⌫--|-|-|---⌫-|
seintmar tinetla ou liaut ieus	----|---⌫--|-|-|-|-|---⌫---|
d Apolli n e st o it	|------⌫|-⌫--⌫-⌫-|
f istil unautel desein tIehan.	-⌫--|-|-|----|-|----⌫|----||
Etc onmençaapreeciereta atornerafoiles	-|-⌫-------||-------|-||------||--|--|
mescreanz gen zqi laenuiron	--------|---⌫|-|-|------|
habitoien t.	---------⌫||
Einsico umençaseins Beneoi saferelameson	----|--⌫------|----|------⌫||---|-|----|
qiM oncas sinsest apel e e .	-|-⌫-----⌫---|--|----⌫-⌫||
Lichastiaus ot premi erem ent	-|--------|-|-----⌫----⌫--|
anonCassinsetporla	|--|------|-|--|-|
montaignequiest desus	--------|--|--|----|
lechastelouelefu f etefuele	-|------|-|--|-|-⌫--|-|--|
nomeeMon tca s sins .	----|---⌫---⌫-⌫---||
Li deablesqi	-|------|-|
grantdoleur enauoit	----|-----|-|----|
etgrantire	-|----|--|
nenes toitmiem out liezdes	|-|--⌫---|--|-⌫--|---|--|
oeur es seintBeneoitetpor cene	----⌫-|----|------|-|--|-|-|
ilmied euant	-|--|-⌫----|
repostemen tneparsongesme spartoteaperte	----------⌫|-|--|-----|--⌫|--|---|-----|
auis ion et	----⌫--|-|
sisecompl eg noi t sitreshaut	-|-|-----⌫--⌫---⌫|-|---|---|
forceq esei nz Beneoiz lifesoitqeli	----|-⌫|---⌫-|------|-|-----|-|-|
frereooientbien sa	----|-----|---|-|
uoizet sesparol ese n c ore ne lepeü ss e nt il	---|-|--|-----⌫-|-⌫-⌫-⌫--|-|-|----⌫--⌫-⌫-|-|
Et sicom s einzBeneoi z	-|-|--|-⌫---|------⌫|
re c ontoi tasesfr eres	--⌫-⌫-----⌫||--|--⌫---|
quil pleinement leueoiti l estoittoznoir s	-|-|---------|-|----|-⌫|-----|--|----⌫|
et espris deflambeslaboucheet	-|-----|-|------|-|-----|-|
liardoient e tlifr ere ooientbien le deable	-|-------|-⌫|-|--⌫--|-----|---|-|-----|
parlereten tendoientsesparol escaril	-----|-|--⌫--------|--|-----⌫-|--|-|
huçoitpremiersleseinthomepar sonnon .	------|-------|-|----|---|--|--|--||
E tqantli seinz	-⌫|---|-|----|
homqui bie n conoissoit	--|--|---⌫|---------|
led eable ne leuoloit	-|-⌫----|-|-|-----|
respondrelid eables l ecomenç oit a	--------|-|-⌫-----|-⌫|-------⌫--||
laidengiercar	---------|--|
qa ntilhuçoit	--⌫-|-|------|
Ben eoi t Beneoitet seinz	---⌫---⌫|------|-|----|
Ben eoiz neresp ondoitmie lideable sli	---⌫---|-|----⌫-----|--|-|------⌫|-|
disoittan tost	-----|---⌫---|
Maleoi znon mi ebeneoizQe	------⌫|--|--⌫|------|-|
medemandest uEtp orqoi	-|-------|-⌫|-|-⌫-|--|
mefez tugreuanceOr	-|--|-|-------|-|
uosc onter aides estorsqui furent entrele seint	--|-⌫-----⌫-|--|-----|--|-----|----|-|----|
homeetledeable carl id eables lehaoit	---|-|-|-----|--|-⌫|-⌫-----|-|----|
mou tdurementsi l ifesoit qa nq uil	---⌫|-------|-|-⌫|-----|--⌫--⌫|-|
pooitdemal	----|-|--|
Un ior aui ntqe	-|--|---⌫-|-|
feso ient les	----⌫---|--|
h abitacles etlesme s o n s de cele	-⌫--------|-|--|--⌫-⌫-⌫-⌫|-|---|
abei ̈eqeseinzBeneoize s to it a Mon tcassin.	----⌫-|-|----|------|-⌫-⌫--⌫-||---⌫------||
leu dun edelor	--||--⌫|-|--|
mesonssiiauoitune	-----|-||----|--|
pierreq ilu oud rent osterporlele u	-----||-|-⌫---⌫---|----|--|-|--⌫|
adescom breretporle	|------⌫---|-|--|-|
Ils iassemblerent.	-|||-----------||
mesnelap or rent mouoir ta nt	--|-|-|-⌫--⌫---|-----|--⌫-|
qeplu isorsen iuindrentmeslapi err e	-|---⌫----|-||-------|--|-|--⌫---⌫|
fuau ssi co iecomselefust	-|--⌫--|--⌫-|--||--|---|
enter r eenracinee.	-|---⌫-⌫|--------||
Etparce qilnelapooient	-|--|-||-|-|-|------|
m ouoirpartantd e	-⌫----|--|---|-⌫|
iauoientassamblé p oo ientil biencert einement	|------|--------|-⌫--⌫---|-|---|----⌫-------|
sa uoirqeli deablessese oitdeseure	--⌫---|-|-|------|-|--⌫--|------|
Qantil uirent	---|-|-----|
n ela moueroie ntile nuoiere nt	-⌫|-|--------⌫-|-|-⌫-------⌫-|
porseintBene oitqil uenistla	--|----|----⌫--||-|-----|-|
il parses oriss ons ostast	-|--|--|-----⌫--|-----|
ledeab le si quilpeüsse nt mouoir	-|----⌫-|-|-|-|-------⌫-|-----|
et l euer ce lepierre	-|-⌫---|--⌫-|-----|
Seins Beneoiz iuintsifist sorisson	----|------||---|-|---||------|
etsabeneïçon	-|-|---------|
e t tantostle ueren t lapierresile gierement	-⌫|------|--⌫-----⌫|-|-----|-|--⌫--------|
conques rienne lor gr e ua	|-----|---|-|--|--⌫-⌫-|
Don tp lotau	---⌫|-⌫--|-|
seint h ome	----|-⌫--|
qeli freref oi ̈ssentl a t erreen cel	-|-|----|-⌫--⌫-----|-⌫|-⌫---|-|--|
endroito u lapierrea uoit geüet	------|-⌫|-|-----|-⌫---|---|-|
eu s sifirent.	--⌫|-|-----||
Qant ilorentauq uesparfontalé	---|-|----|---⌫--|------|---|
sitrouerent	-|--------|
u neyma geqe pai en auoientfaiteetaoree	-⌫-|---⌫-|-|---⌫-|------|----|-|----|
Celeym ageestoitde qoiure .	---|--⌫--|-----|-|-----||
Lifrer elapr istrentsilege tere ntpar auentureen	-|----⌫|-|--⌫------|-|-|--⌫----⌫-|--|-------|-|
lor cu isine.	--|--⌫----||
Et meintena nt	-|--------⌫-|
lorsembla qe	--|-----|-|
feus saillist detotesparzde	---|-------|-|----|---|-|
la m eso nsiq ilcuidier entqel idefices	-|-⌫---⌫|-||-|-------⌫--|-||-------|
d e l acuisine fust toz	-⌫|-⌫|------|---|--|
e sprizetenflambez.	-⌫----|-|--------||
get oient eue	---⌫----|--|
po rcel f u	--⌫|--|-⌫|
esteindreet ilfesoientgran tnoise	--------|-|-|-------|----⌫|----|
sein zBeneoiz iuintqi me int enantuitq e	----⌫|------||---|-|--⌫---⌫----|--|-⌫|
ce es toit	-|--⌫---|
fantosmes.	--------||
Lorssecoucha seinzBeneoizen o riss onsetsi	---|-|-----|----|------|-|-⌫----⌫--|-|-|
apela sesfre rescui lideabl esdegaboitentel	----|--|---⌫--|--|-|-----⌫-|-------|-|--|
maniere silordistqilfeïssen tle	------|-|--|---||-|--------⌫|-|
signedelaseint e	----|-|-|-----⌫|
Croizsoreussiesgardassentqe	----|--|--|-|-----------|-|
l i edefices delac ui sinen ar doi t	-⌫|-------|-|-|-⌫--⌫---||--⌫---⌫|
Ei nsintcomli seinzhomcoma nda si	--⌫----|--|-|----|--|----⌫--|-|
firent lifrere etniuiren tn oie nt de	-----|-|----|-|||-----⌫|-⌫---⌫-|-|
la flambequ illorsembloitdeuantqil e üssent	-|-----|-|-|--|-------|-----||-|-⌫------|
Aprésceauintqeli	-----|-|----|-|-|
frerefesoien t lapar oid e lormeson	----|-------⌫|-|---⌫-|-⌫|--|----|
en hautsicom	-|---|-|--|
ill e couenoit fe reetseinz	-|-⌫|-------|--⌫-|-|----|
Beneoi zest oit enorissonsdedenz lenclo istre desace lle	------⌫|---⌫--|-|-------|-----||-----⌫----|-|-|--⌫--|
Lideablesli	-|------|-|
apa rutsi li distq il alasta	---⌫--|-|-|---||-|----||
sesf rere sqi ouroient.	--|-⌫----⌫|-|-------||
L i seinzhom man da asesfr eres m out	-⌫|----|--|---⌫-||--|--⌫---|-⌫--|
isnelementparun message q i l segardassent sagement	---------|--|-|------||-⌫|-|---------|-------|
