une maniere degent sont	--|------|-|---|---|
uoiese met	---|-|--|
tantque l echeual ier ata in t	---|--|-⌫|------⌫--|---⌫--⌫|
meism essepla i nt	-----⌫-|-|---⌫-⌫-|
decellenuit	-|----|---|
si c ommeildist	-|-⌫---|-|---|
li a durépetit	-||----|----|
au telpensee etaut el	--⌫--|-----|-|---⌫-|
otcelledont	-|----|---|
ilert part is	-|--|----⌫-|
acuilisemblep ourla	|--|-|-----|-⌫--|-|
quefailliait a son dedu it	--|-----|--||--|----⌫-|
nedo u iourneli	-|--⌫|---|-|-|
sa nlepoi nt	--⌫--|---⌫-|
lich e ualierserten tel	-|--⌫-⌫------|--|-|--|
p enseeetde parol e	-⌫----|-|-|-----⌫|
du sla taint sil	--⌫||-⌫----|-||
et l ia faitioiemoutgrant	-|-⌫||---|---|---|----|
ieuouscreant	-|---|-----|
que touzio ursmezuous	--|---|--⌫--|--|---|
n eiamezneuous	-⌫|-|--|-|---|
caruou sm auezdeltoutuoir dit	--|---⌫||---|--|---|---|--|
et lad ucoise ma ment it	-|-|-⌫-----|||----⌫-|
siref aitilpourd ieumer ci	---|-⌫--|-|---|-⌫--|---⌫-|
par amoursuousrequieret pri	--|-----|---|------|-|--|
que cel conseillceler uou s pla i se	--|--|-------|----|---⌫|---⌫-⌫-|
perduauroieioieetaise	----|-----|---|-|---|
et mauroiesansnulef aute	-|------|---|---|-⌫---|
seresauoiequ e n u lautr e	-|-------|--⌫|-⌫-⌫|----⌫|
l esauoi t forsque uoussansplus	-⌫|-----⌫|---|--|---|---|---|
or n e npar lezi afetlidu s	-||-⌫|---⌫--|-⌫|--|-|--⌫|
s aic hiez qu il iert	-⌫---⌫---|-|-|---|
s ibie ncelé	-⌫|---⌫|----|
queiapar moin e n ie rt	--|-|--|--||-⌫|--⌫-|
einsisen son t pa rlan t uenu	----||-|---⌫|--⌫----⌫|---|
dela dontestoientmeu	-|-|---|-------|--|
celio urq uant ce ui nta umengier	--|--⌫-|-⌫---|-|--⌫-|-⌫|------|
moust ral id usau cheua lier	-----⌫-|-⌫|-⌫-|-|-----⌫---|
pl usbe lsam blant	--⌫-|--⌫|---⌫----|
conquesnot fe t	|-----||-|--⌫|
mezgrantcourousetgrant	--|----|------|-|----|
enot la ducoise	-|-|-|------|
sansfaille	---|-----|
qu elleseleuade la taule	-|---|-|---|-|-|----|
gr ants emblant	--⌫--|-⌫------|
pa rfaint ise	--⌫|-----⌫--|
quemaladie	--|------|
lisoitprise	-|---|----|
aleeestco uchierenson	---|--|--⌫-----|-|--|
otpetitd edel i t	-|----|-⌫|---⌫-⌫|
et li du squ an tilotm e ngie ́	-|-|--⌫|--⌫--⌫|-|-|-⌫-⌫----⌫|
lagent deduit etfe sto ié	-|---|-----|-|--⌫---⌫--|
si les t al ez	|-⌫|--⌫|--⌫-|
tant ostueoir	----⌫--|----|
fist s eur sonlit s e oir	---|-⌫--|--|--|-⌫-⌫--|
eta commandéque	-||--------|--|
neremaingnelaiensol ui	-|--------|-----||-⌫-|
onfait tantos tcequilco mmande	-|---|------⌫|-|-|-|--⌫-----|
duserrantlidemande	--|-----|-|------|
commentcismau sliest u enus	------|--|---⌫|-|--|-⌫---|
ne qu eco ue stqu	-|--⌫|--⌫|-⌫-|-|
es ceauen u	-|-|----⌫|
ellere sp ontsediex me ga rt	---|--⌫--⌫--|-|---|-|--⌫-|
ienemen p renoi e regart	-|-||-|-⌫-----⌫|-----|
o requantau	-⌫-|----|-|
mengierm assis	------||----|
etplus daui s	-|---||---⌫|
n eus t e n u ou s queie	|---⌫|-⌫|-⌫--⌫|--|-|
qu antuous	--⌫--|---|
p luschierdeuez celi	-⌫--|----|----|---|
queieuous aiditquipourchace	--|-|---|-|--|--|--------|
comm entho nte et anuiuousfache	----⌫--|--⌫--|-|---|---|----|
etquantuiq ueplusbel samblant	-|----|-|-⌫-|---|--|-------|
uousli faisiez comme deuant	---|-|------|----|-----|
sigrantduel et sigrant	-|----|---|-|-|----|
de mo urerne poi	--⌫--⌫---|-|--|
h a f ait lidu s ma douc eamie	-⌫|-⌫--|-|--⌫|-|----⌫|---|
certesi ounelquerroie mie	-----|-⌫-|-||-------|--|
ne uo usniautre	-|--⌫-|-|----|
parnuleauenture	--|---|-------|
a uenistconquesuousmedites	-⌫-----||-----|---|-|----|
a i nzsaibie nquie nest deliures	-⌫-⌫-|--|---⌫|-||-⌫|--|-------|
c onque snepensa de cefaire	|-----⌫|-|----|-|-|----|
tantai ap r isdes ona fa ire	---|-|--⌫-⌫-|-|-⌫-|-⌫--⌫--|
enq uerésplu s	---⌫-----|---⌫|
at antsepartdiluec l i dus	--⌫--|-|---||----|-⌫|--|
etcelerem es t sipensiue	-|---|---⌫--⌫|-|------|
queiamaisiourqueleso itui ue	--|-|---|---|-|--|--⌫-|--⌫-|
zz io ura aise nesera	-|--⌫-||---|-|---|
d euant cequaprisplusara	-⌫----|-|-|----|---|--|
dece quel i	-|-|--|-⌫|
d us lideffe nt	-⌫-|-|-----⌫-|
quineli demandenoient	-||-|-|------|-----|
tant n esara	---|-⌫|---|
caren soncuerengienporpen se	--|-|--|---|-----|------⌫-|
que ell epo r rab iensauoir	--|---⌫|--⌫-⌫-|-⌫--|-----|
selle suef fre iusqu esau soir	|---|----⌫--|-----⌫-|-|---|
qu ell e ait	-|---⌫|--|
ledu centresez bras	-|--⌫|----|--|---|
elle set bien quetelsolas	---|--|---|--|--|----|
el feratantnedoutepoint	-|---|---|-|----|----|
m iex sonuoloirquen	-⌫--|--|-----|-|-|
autrepoint	----|----|
tient en cel eguise	----|-|---⌫|----|
queellemieus l atise	--|---|----||----|
acro irequ elesoit	|---⌫--|-|--|---|
p orcesansplus qu illa baisiee	-⌫-|-|---|---|-|-|||------|
lidi st el lemoutestes faus	-|--⌫-|--⌫-|---|----|---|
e t traitreset d eloiaus	-⌫|-------|-|-⌫------|
q uimemo u strez	-⌫-|-|--⌫-⌫----|
samblant d amour	-------||----|
etainsnem amast e s iour	-|---|-||-----⌫-⌫|---|
eti aiestélon c tam pzsi	-||-|----|---⌫|---⌫-|-|
queia icreu	--||-⌫|---|
uostreparol e	-----|-----⌫|
qu esouuentes fois	--⌫|--------|---|
desissiés	---------|
que deloial	--|-|----|
cuer mamiss iés	---||-----⌫---|
mais hui mensuiaperceue	---|--||-|--|-------|
a ie s t éd eceue	-⌫|-⌫-⌫-⌫-|-⌫----|
duse tuous en cro i	--|-⌫|---|-|---⌫|
iame desistesuo usp ar	-|-|-------|--⌫-|-⌫-|
fetcellequi a malibee	--|----|--||--||--|
queienefu sse si os ee	--|-|-|--⌫--|-|--⌫-|
queien euo usenquisse	--|-|-⌫|--⌫-|-------|
decequeuou s sauezorbien	-|-|--|---⌫|----|-|---|
s eu rsauez uousporde	-⌫--⌫|----|---|--|-|
de sequeciluous ac onte ́	-|-|--|--|---||-⌫----⌫|
fai tlad amemencoingn eetu oire	---⌫|-|-⌫--|---------⌫|-|-⌫---|
quiuous afait p enseretc roire	--|---||---|-⌫----|-|-⌫----|
mez de ton sauoir nemechaut	--|-|--|-----|-|-|----|
m ais iaipensé	-⌫--||-|-----|
quepet it uaut	--|---⌫-|---|
auou s amerde cuerloial	|---⌫|---|-|---|----|
se fustou bi enoum al	-|---|-|--⌫-|-|-⌫-|
toutec hoze	----|-⌫---|
sanz nul res orst	---|--|---⌫---|
quene se uss iez	--|-|--⌫---⌫--|
aussito st	----|--⌫-|
sis a ich ie zore san s	-|-⌫-⌫---⌫--⌫|--|---⌫|
q u eiamais na rai telfiance	-⌫-⌫|-|---||-⌫--|--|-----|
cue r ne telmaniere	---⌫|-|--|------|
queiaieuc a	--||-|-|-⌫|
e n arriere	-⌫|------|
lo rs acommenc ié aparler	--⌫-||-------⌫--||-----|
l ad ucoise e ta souspirer	-⌫|-⌫-----|-⌫||--------|
et sesfreaplusq u	-||-----|---|-⌫|
etli dusgrant pitieen o t	-|-|--|----|----|-|-⌫|
sili a ditmadouc e	-|-||--|-|----⌫|
ienesoufferro ieanul	-|-|---------⌫-||--|
neuostreco uro usneu ostreire	-|-----|--⌫---⌫-|-|-⌫----|--|
et saichié s	-|--------⌫|
ienewoeill pas	-|-|-----|--|
ce qu e uole ́squeie uo us	-|--⌫|----⌫-|--|-|--⌫-|
s an s f airetropgrantuilon nie	-⌫--⌫|-⌫---|---|----|-----⌫--|
ce ll erespontisnellep as	--⌫--⌫|------|--------⌫-|
sire sine med itespas	---|-|-|-|-⌫---|--|
c arieuoi bienauo	-⌫-|-|--|---||-|
qu enmoine uousfie z	-|-|--|-|---|---⌫|
q ue ie saicheu ostrec o ns eill	-⌫-|-|-----|-⌫----|-⌫-⌫--⌫---|
etsaichiezquemout	-|-------|--|---|
m e smerueill	|-⌫--------|
cai n zn oistesgrantne petit	|--⌫-⌫||-----|----|-|----|
conterq ue uous m eussi ez	-----|-⌫-|---||-----⌫-|
dontuoi rsia	---|---⌫-|-|
n iertp ar	|---|-⌫-|
etsiuous die nbonne	-|-|---|-|-⌫|----|
uien au endr a	--||--⌫----⌫|
quantceot ditformentp lour a	----|-|-|--|------|-⌫----⌫|
etlidussi lacolle etbaise	-|-|--|-||-----|-|----|
desoncour ous est	-|--|----⌫--|--|
a mesa ise	|----⌫--|
sen p uettenir	|-|-⌫--|----|
deso ncora igeregehi r	-|--⌫|----⌫--|------⌫|
adonclidistma	----|-|---|-|
ie ne sai que	-|-|--|--|
fai reparmame	---⌫-|--||--|
quetantme fie	--|---|-|--|
e n uousetcroi	-⌫|---|-|---|
quechoze celern euousdo i	--|----|----|-⌫|---|--⌫|
miens cuers	----|----|
en sa icemot	-|--⌫--|--|
mais ie uouspri nen	---|-|---|--||-|
p arlésmot	-⌫-----|--|
saichiezet	-------|-|
ita ntuouse nd is	---⌫-|---|-⌫|-⌫-|
i e nsuiparu o us	|-⌫|--|--|-⌫-⌫-|
uou s enreceuerésl amort	---⌫|-|---------|-⌫|---|
etelle ditb ienm iacort	-|---|--|-⌫--|||----|
estreneporroit quefeiss e	----|-|------|--|-----⌫|
chosedontuersuousm e spresisse	----|---|---|---|-⌫-⌫--------|
aimmepour cele croit	----|---|-|-|----|
e t cu i de q ueueritezsoit	-⌫|--⌫-⌫-|-⌫-|------|---|
cellli diepuisliconte	|--|-|--|---|-|----|
d esa niecetrest outleconte	-⌫|-|----|-----⌫--|-|----|
comaprislot delch eualier	--|----||-|--|--⌫------|
etcommentilfuelu regie r	-|------|-|-|-|-⌫-----⌫|
seul aseulo uni ot cau	---||---|-⌫|||-||-|
etcomlichiennes uintaeus	-|--|-|-------|---||--|
l issu eetdel entree	|----⌫|-|-||-----|
laue ritecontee	-|--⌫---|-----|
siqu ilni ade ri ens teu	-|-|-||||-|--⌫--|--|
n ai toine	|--⌫|-|-|
d ucoi se lenten t	-⌫----⌫-||-----⌫|
aimmeplusbassement	----|---|--------|
qui d e s amour l a escondit e	--|-⌫||----|||--------⌫|
amor tesetiente tdespi te	|---⌫-|-|----|-⌫|-----⌫-|
mez ainz deces emblantne	--|---|-|-|-⌫------|-|
ainzot roiam outetpra mist	---|--⌫---|-⌫--|-|---⌫---|
auan tabien celéces teoeuu re	----⌫||---|----|---⌫-|----⌫-|
ets ilauientquelle	-||-|-----|-|---|
desc ueuure	----⌫-----|
etqu il lep ende	-|-|-|-|-⌫---|
etsilie stilm o ut	-|-|-|-⌫-|-|-⌫-⌫-|
depar lerac el equihet	-|---⌫--||-⌫--⌫|--|--|
desice lle heu requelle	--|---⌫--|---⌫-|-|---|
q ue elle estamieacelui	-⌫-|---|--|---||----|
qui lia faithont e et	--|-||---|----⌫|-|
pourita n t celi	---|---⌫-⌫|-|-|
e s t au is	-⌫-⌫|--⌫-|
quilneuautestre	-|-|-|---|----|
siaffermet out son pourpens	-|------|-⌫--|--|-------|
que s el le	--||--⌫-|
uoitnelieune	---|-|---|-|
qual a n ieceleducpar ot	-||-⌫|-⌫---|-|--|---⌫-|
qu ellelidiraa ussitost	-|---|-|---|-⌫-------|
neiane celera	-|-|-|-----|
te l choze	--⌫|----|
ou el leaitfel onnieencloze	-|--⌫-|--|---⌫----|------|
maisain sne p otnel ius	---|---⌫|-|-⌫-|-|-⌫--|
tant q uala penthecousteauie nt	---|-⌫||-|-----------|----⌫-|
qui apresfue t	--|----|-|-⌫|
lapr emiere	-|--⌫-----|
sacourtpleniere	-|----|-------|
et quilenu oiapa rtoutquerre	-|-|-|---⌫--|--⌫----|-----|
touteslesdames	-----|--|----|
etsa niece	-|-|----|
lapr emerainne	-|--⌫--------|
quideuregi	--|-|----|
iertchastelainn e	---|-----------⌫|
etquantladuc hoiseleui t	-|----|-|---⌫----|-|--⌫|
errant touslisanslifremist	-----|---|-|---|-|------|
comcel ledelmo nt que plushet	--|---⌫-|--|--⌫-|--|---|--|
mez sonco raig e celer	--|--|--⌫----⌫|----|
si quepl u s belsamblantlifet	-|--|--⌫-⌫|--|-------|-|--|
cainz encor eneli	|---|-----⌫|-|-|
mais mo utgrantt a lentot dedire	---|--⌫-|----|-⌫-⌫---|-|-|---|
se dontellea aucu ergranti re	-|---|---||-|--⌫-|----|-⌫-|
etlademeuremoutlicouste	-|-|------|---|-|-----|
pour selu iiourdepent heco uste	---|----⌫|---|-|----⌫----⌫---|
quant l estaublesfu rent	----|-⌫-|------|--⌫---|
duc oisemen ees	---⌫---|---⌫--|
le sdamestre sto utesosoi	--⌫|----|---⌫---⌫---||--|
porellesparerenrequoi	--|----|----|-|-----|
pour uenircoint ezalakaro le	---|----|-----⌫-||-|----⌫-|
nieceledu c pa role	----|-|--⌫|--⌫---|
laduchoisequi	-|-------|--|
uitsonlieu	--|--|---|
si dist asoicomme pa r gieu	-|---||--|----|--⌫|---|
chastelainnesoiez	-----------|----|
b iencoin t e	-⌫--|----⌫-⌫|
car belam iau e ze tcoin te	--|--|--⌫|--⌫-⌫|-⌫|----⌫-|
et elle respontsimplement	-|---|------|---------|
sai quel acointemen t	--|---|----------⌫|
uou s ditesmadameparfoi	---⌫|----|-|---|--|--|
car talent nai damiauoir	--|-----||-||--|----|
que nesoit doutoutal	--|-|---|--|---|||
etd emoiet	-|-⌫|--|-|
demons egnour	-|--|-⌫-----|
iele croibienf aitla duc h esse	-|-|---|---|-⌫--|-|---⌫-⌫---|
m ezuousestesbonne mest resse	-⌫-|---|----|----|----⌫----|
qu ant auezaprislemestier	--⌫--|---|----|-|------|
doupetit chie nnet affai t ier	--|----|----⌫---|-----⌫-⌫--|
lesdam esont oi lecompte	--|---⌫-|--|-|-|-----|
mez neseuent a	--|-|-----||
qu oi cemonte	--⌫-|-|----|
o lad uche ssesen	|-|-⌫----⌫--||-|
as quarolesqui faites	-|-------|--|-----|
etla chast ela innerema int	-|-|-----⌫---⌫---|----⌫--|
licuersdir eli	-|----||--⌫|-|
trambl eettaint	------⌫|-|----|
etalumetrestouteluent re	-|----|-------|-|----⌫-|
dedensunechambre	-----|--|------|
launepuceleteestoit	-|--|-------|-----|
p ie d ulit seseoit	-⌫-|-⌫|--|-|----|
me z el l e ne la pot ueoi r	--⌫|--⌫-⌫|-|-|--|----⌫|
maisn atalen t damyau o ir	---|||-----⌫||--|--⌫-⌫-|
mout secomplai nt mo u ts edeme nte	---|-|-------⌫-|--⌫-⌫|-⌫|----⌫--|
etsedetortetse tour ment e	-|-|-----|-|-|----⌫----⌫|
et dist sirehadieu	-|---|---|-|---|
quepuetorestrequ aioy	--|---|-|----|-|-|-|
quema damema	--|-|---|||
quei a iafa itié mo nchiennet	--||-⌫|---⌫----|--⌫|-------|
cene set elle	-|-|--|---|
ces aigebien queparcelui	-|-⌫-|-|---|--|--|----|
quei amoie e ttrayma	--||----|-⌫|---|||
nesenel idei st il ia	-|-|-|-⌫|---⌫-|-|-|
sele neustgrant a cointance	|--||---|----|-⌫--------|
amast sansdoutance	----|---|-------|
plusque moique il a traie	---|--|--|--|-||----|
bi ensa ique il	--⌫-|--⌫|--|-|
ne maimme mie	-||----|--|
m efautdecouuenant	-⌫|---|-|--------|
dousd iexet iel a moietant	---|-⌫--|-|-||-⌫---|---|
commenului puet plu s	----|----|---|---⌫|
quailleursnep ooie penser	-|-------|-|-⌫---|-----|
neian epens asseanulfue r	-|-|-⌫|----⌫---||--|---⌫|
quilpeusttrouueranulf u er	-|-|----|------||--|-⌫-⌫-|
enuersmoi cour ousnehayn e	-----|--|----⌫--|-|----⌫|
porduches senepou r ro yne	--|------⌫-|-|---⌫|--⌫--|
deluimepe nsai autressi	-|--|-|--⌫---|-------|
qu i setenoitam on	-||-|-----||-⌫-|
toutesauie et	----|-|--|-|
ca rbi enconn oisa moncoraige	--⌫|--⌫-|----⌫--||--|------|
sauoitmoutbienque ta ntlam asse	-----|---|---|--|--⌫-||--⌫---|
et q uapre s li petit durasse	-|-⌫|----⌫|-|----|------|
ne leueisse nule	-|-|-----|---|
af ine amoure scedoncdrois	|-⌫--|----|-⌫|-|---|----|
que ila ainssidecouuert	--|-||-----|--------|
n ostreconseilltoutenapert	-⌫----|-------|---|-|----|
ce mestauisquant de lui	-||--|---|----|-|--|
et quant desam ourmesouuie nt	-|----|-||--⌫--|-|------⌫-|
porlu imorir p asne m espargne	--|--⌫|----|-⌫-|-||-------|
atantsetutla chastelainne	----|-|--|-|-----------|
forsqu elledit e nsouspirant	---|-|---|--|-⌫|---------|
fineamo uradieuuousc omman t	---|---⌫-||---|---|-⌫-----⌫|
dese spoinz	-|--⌫|----|
licuerslif aut liuisli	-|----|-|-⌫--|-|--|-|
ango isseumentchi et	----⌫--------|---⌫-|
etgistpalleet	-|---|----|-|
descoulou re e	---------⌫--⌫|
enmilelitmo rte sans	---|-|--|--⌫--|---|
ami sn ele	---⌫|-⌫|-|
quise deduisoit en lasal e	--|-|--------|-|-|---⌫|
ausquaroles	--|-------|
ausdan c esbale	--|---⌫-⌫-|---|
plaistri ens que il uo ie	-----|--⌫--|--|-|--⌫-|
quantcel ea	----|---⌫||
quises cu ers	--|--|--⌫--|
neluit point dontil	-||--|----|---|-|
sesmerueil le	|---------⌫-|
a u ducenl orei lle	-⌫|--|-||----⌫--|
sire disti l	---|---|-⌫|
ou estuo niece	-|--|-|----|
qu is idemeure sigrant piece	--⌫|-⌫|------|-|----|----|
e stausqua r olesu enue	-⌫-|--|---⌫-⌫---|-⌫---|
lauezuousdon cq uesmiseen	|---|---|---⌫--⌫--|---|-|
e tlidus la	-⌫|-|--|-|
quarole esgarde	------|------|
quidec eneseprenoit garde	--|-|-⌫|-|-|------|----|
si laasoi parla main trai t	-||||--|--|-|---|----⌫|
et d roita lachambresenuait	-|-⌫---||-|------||-|---|
licuers li trembletouteluentre	-|----|-|------|---|-|-----|
to utdroit a la	--⌫-|----||-|
garderobeent re	--------|---⌫-|
quantiluits amieenu ersee	----|-|--||---|---⌫----|
alaterredescoulou ree	|-|----|---------⌫--|
halas distilmad ouce amour	-|--|---|-|-|-⌫---|----|
laplus courto i se la meillou r	-|---|------⌫-⌫-|-|-------⌫|
co n quesfust	|-⌫-⌫---|---|
etlaplus l oial	-|-|---|-⌫---|
commetrichi erre desloi al	----|------⌫---|------⌫-|
uo usai mortesi fustdroiture	--⌫-|-|----|-|---|-------|
que susmoi to urnastl	--|--|--|--⌫-----||
siqueuous neneussiezmal	-|--|---||-|------|--|
mes lecu eraui ez loial	--|-|--⌫-|---⌫-|----|
uousauezauan tprise	---|---|----⌫|----|
feraide moiiustice	----|-|--|------|
porl atraison	--|-⌫|------|
queiai fete	--||-|---|
d ufuerre aune	-⌫|-----||--|
espe etret e	----⌫|----⌫|
quiertpendueau n	--|--|-----||-⌫|
ses enferi	-||-|---|
p armi le cuer	-⌫---|-|---|
cha irselaistsu sl autreco rs	---⌫-|-|----|--⌫||----|--⌫-|
t anta estriuéqu i est mor s	-⌫--||-------|-||--|---⌫|
etlapucelle est horssail lie	-|-|------|--|---|----⌫--|
quan telleuitl ecorssa nsuie	----⌫|---|--|-⌫|---|--⌫-|--|
de ce que le uit	-|-|-|-⌫-|--|
eleen contra a dit	--|--⌫-----||--|
ce qu ele a	-|-|--||
s i quelen	-⌫|-|--||
i ariensteu	||----|--|
commentlafaireertcommencié	------||-----|--|---------|
mezdupetitchien net	--|-|----|-----⌫--|
dontla d uchesseauoitp allé	---|-|-⌫------|----|-⌫----|
esu ousadoncl ed uc desué	-|-⌫--|----|-⌫|-⌫-|-----|
to utmaintenant e nlachambreentre	--⌫-|---------|-⌫|-|------|----|
aucheualie r	-|--------⌫|
trethorsduuentre	---|---|-|-----|
lespeedonte stoito cci s	|----|---|-⌫----|-⌫---⌫|
tanto stsestala	-----⌫-||--||-|
grante rred roi tal aquar o le	----|-⌫--|-⌫---⌫||-⌫|----⌫-⌫-|
sanzp l us	---|-⌫-⌫-|
direlonguepar o le	---|-----|---⌫-⌫-|
to utmaintenantala	--⌫-|---------||-|
enarenduesa	-||-----|-|
proum esse	-----⌫---|
qu e e lchief	--⌫|-⌫|----|
lia embat ue	-||-----⌫-|
qu eilportoitnue	--⌫|-|------|--|
sanzpa r lerquetropfuiriez	---|--⌫-⌫--|--|---|-|----|
l aduchesse chieta s se zpiez	-⌫|-------|----|-⌫|--⌫|---|
uoiant tousceusdela	-----|---|---|-|-|
courstoutetroub lee	----|----|-----⌫--|
de sc he ualiersquilaestoient	--⌫|-⌫--⌫------|--|-|-------|
qui grantioiemen éauoient	--|----|---|---⌫-|------|
dustrestout a ussi	--|-------|-⌫---|
dist to ut	---|--⌫-|
l afereenmila cort	|----|---|-|---|
etq uants aperchurentet uoient	-|-⌫---||----------|-|-----|
les amans quim orse st oient	--|----|--|-⌫--|-⌫--⌫----|
meis mementquan tillauo ient	----⌫-----|----⌫|-||---⌫---|
ettrestoute smariestoien t	-|-------|-⌫----|-------⌫|
donccefugra ns me s chie f uilain	---|-|-|---⌫-|--⌫-⌫----⌫|-----|
li dusenterrel	-|--|------||
fist lesamansen	---|--|----|-|
etladuc hesseena utreleu	-|-|---⌫----|-|-⌫---|--|
parceste xemple pu et lihom	--|---|-⌫-----|--⌫-|-|--|
s amourceler quecestgrant s on	|----|----|--||--|----|-⌫-|
tousiour sen ramembrance	---|----⌫|-|----------|
queli raco nter	--|-|----⌫---|
etli chelers entouzpoin z ua ut	-|-|------|-|---|----⌫|--⌫-|
etquedecenecrien tassaut	-|--|-|-|-|-----⌫|-----|
desfausfelonsenquereours	--|---|-----|----------|
qui enquier entautr uia mour	--|-------⌫--|----⌫-|-⌫---|
