me laisié sporl	-|-------⌫|--||
d eg lo ireneuoloi tuerg ongier Ançois le	-⌫|-⌫--⌫--|-|-----⌫|----⌫-----|------|-|
uaurafa ire leueret	----|--⌫--|----|-|
baptisier Sile prendraa feme	--------|-|-|------||---|
aper eta mollier.T ant	|--|-||-------|-⌫--|
fistAiol sen	---|----⌫|-|
tere queil es t sai nsel	---|--|-|--⌫|---⌫-|-|
ciel.C LII I Aiols	----|-⌫---⌫|----|
lifiexEliefumol t	-|---|---|-|---⌫|
pr eus etg entisIl	--⌫--|-|-⌫----|-|
deslachasonelmesor	-------|--|---|--|
le tablelem istEt	-|----|-|-⌫--|-|
o stelesmaniclesde lb lanc auberc	-⌫--|--|-------|--⌫|-⌫---|-----|
trellis.Mi rabiauslapucele sepe nadel	-------|--⌫------|-|-----|-|--⌫-|--|
s eruirSe li	-⌫----|-|-|
d onadelaiguea lmangiersontassis.Aiol[s]	-⌫--|-||----|-⌫|------|---|-----|------|
manga assés	----|-----|
ma isdeu inbut petitCardurement segai te	--⌫-|-|-⌫-|--|----|--|-------|-|---⌫-|
liche ua lier[s]	-|---⌫--⌫------|
genti s.Quantil orent man gietetbeupar	-----⌫-|----|-|----|---⌫---|-|--|--|
loisirMirabel	-----|------|
la pucelefi stcouch ier en	-|-----|--⌫-|-----⌫--|-|
.i. lit Etilafait grantfe uen	--|--|-|-||---|----|--⌫|-|
li tneua u tdo rmirD es si c	--⌫|-|--⌫-⌫|--⌫---|-⌫--⌫-||
alendemainq ueliioresclair chi	||-------|-⌫-|-|--|-------⌫--|
Queilreme tle sfrai nses auferans de pris Puis	--|-|----⌫|--⌫|----⌫-|-|-------|-|---|---|
a traite l	|-----||
espeesal escu	----||||---|
auantmis. Trestoutelamaison recierka	----|---|--------|-|-----|-------|
enq uistA ss é si atroué[et]argentet or	---⌫---|-⌫--⌫--⌫|||-----|---|-----|-|-|
finEtpailes	--|-|-----|
etc e nda us	-|-⌫-⌫---⌫-|
etpeliçonherm inPlusualut l ieskiés de .xxx.	-|-------|----⌫-|---|----|-⌫|------|-|----|
lesceua usleto rselicheualiers gent is	--|----⌫-|-|--⌫--|-|---------|----⌫-|
Mira biausles conduis tiusqu al ponttorne is.Ai ol[s]fuen	----⌫----|--|-------⌫|----|-|---|-----⌫--|--⌫----|-|-|
ostelde.iiii.pa rs l espristIl	----|-|-----|--⌫-||------|-|
afaitsonatr aitsor le	|---|--|---⌫--|--|-|
ponttorneisLefui abouté	---|------|-|-|||-----|
ain squ i l send e partist	---⌫|--⌫-⌫||-|-⌫-⌫------|
Durementue nta	-------|--⌫--|
bisetostfuars et bruis.Lilaron(s) l	---|---|-|--|-|-----|-|-------||
es garderentquiel bo s furentmi s	--⌫--------|--|-|--⌫|-----|--⌫|
Ta ntredoutent	--⌫-|--------|
osentenuai r.Plorant s en	----|-----⌫-|------||-|
sont tornéDexles puist	---|-----|--|--|----|
maleirDessia	-----|----||
Malrep a ir ene	------⌫-⌫--⌫|-|
pris entonq ues fin.Robausles	----⌫--|---⌫--|---|-----|--|
uoitlo rmaistres al	---|--⌫|-------|||
e ncontrelor uint Illes[a ] a pelésco m	-⌫------|--|---|-|--|--⌫|-⌫-----|--⌫|
iaporés oir	-|-----|--|
C om auésuosouréfranc c he u alier	-⌫-|----|--|----|----|-⌫--⌫-⌫----|
gen til Et cilli	---⌫--|-|--|-|
respondirentToutsome s	-----------|---|----⌫|
uo compaignienos	-|---------|--|
f iomespetit Tout es tuo maiso na rseet	-⌫----|----|---|--⌫|-|-----⌫|-⌫--|-|
uo pontleueis	-|---|-----|
Etnocomp aignonsont detranc hietet ocis .Quant	-|-|----⌫-----|---|-------⌫---|-|----⌫|----|
lileresapoi nesrage	-|----||--||-----|
uis I laprises ses arm es	--|-⌫||-----|--|---⌫-|
ceua lsaisiTré sparmi	----⌫|----|----⌫|--|-|
legrantbos aadrechier	-|----|--||--------|
Dessi a l emaisonnepristil onquesf inSi	----||-⌫|-----|-|----|-|-----|-⌫-|-|
letrouatoute	-|----|----|
arseet s ongrant pontbr ui Iluit	---|-|-⌫-|----|---|--⌫-|-|--|
sescompaignons enselfosé	--|----------|--|-|----|
ges irEtquant le uo it	---⌫-|-|----|-|--⌫-|
lile resapoi nesrageuis.	-|--⌫--||--||-----|---|
re pairaas	--⌫----|-|
aut re s ses	---⌫--⌫|--|
a a raisonmisue nrés	||-----|--|--⌫----|
uosa uoecmoi	--|-⌫---|--|
fra nccheualie rgentilSisieurai	---⌫-|--------⌫|-----|-|------|
legloutonqui sim a	-|------|--|-|||
escarniS eie le	------|-⌫|-|-|
pui sa taindreapuine	---⌫|-⌫------||--|-|
fo ssé ua ter[tr]eu	--⌫---|||-------||
ilsoitendormisIenen pren d roi em ie	-|---|-------|-||-|----⌫-⌫---⌫|-⌫-|
tre sto tlor queDex fi stQue	---⌫---⌫||-|--|--|--⌫-|--|
nenpr engela	|-|--⌫---|-|
teste al branc	----|-|----|
dac hierforbiLilaronr espondirent Meruellesau és	|--⌫---|----|-|----|-⌫----------|--------|--⌫--|
Mais tre Robaut biaussireu os noses te[ s]failliA	----⌫--|-----|----|---|-⌫-|--|--⌫---⌫-|-----||
premierbesoing uosestes foi	------|------|--|----|--|
mentiDe uostre com p aigni e	----|-|-----|---⌫-⌫-----⌫|
somest out	----|-⌫--|
d e partiNironsmaisauec	-⌫-⌫----||----|---|---|
u ostantcom nos	-⌫-|---|--|--|
soi onsui f.Qua n t l	---⌫--|--⌫-|---⌫-⌫||
en ten d ilileresle sensqu i da marir	--⌫---⌫-⌫|-|----|-|---|--⌫-⌫-|----|
Commentfilaputainsimestes defailliu os	------|--||-----|-||----|-------|-⌫-|
comp erer p arles	----⌫---|-⌫-|--|
sai ns que Dexfist.Molt biensefu	---⌫-|--|--|----|---|---|-|-|
cil erent de sgarn iIlbroch ele	--|----|--⌫-----⌫|-|-----⌫|-|
son espielbra ndi	--|-----|---⌫--|
I lfier tleprem e rain	-⌫|----⌫|-|----⌫-⌫---|
pa rmileg ros delpis	--⌫|-|-|-⌫--|--|--|
Deuantluia	-----|--||
abatimort souinPuisatraite	----|---|----|---||-----|
s iua lautre f e rirPar des(o)usle sespaules	-⌫|-||----|-⌫-⌫--|--|-------|--⌫|-------|
latest een	-|----⌫|-|
faitecompaig ni eli	----|-------⌫--⌫|-|
mauai sh o m lor	-----⌫|-⌫-⌫|--|
fi s t.AprèsAiols akieuttout le	--⌫-⌫-|-----|---||-----|---|-|
fere ́cemin	----⌫|----|
Enc or(e)le	---⌫----|-|
fera il coureçou[s]	---|-|-----------|
SAiolsne sen prent	|----|-||-|----|
g ard equi	-⌫---⌫|--|
chemin.CLIuDe s or s en uaAio l[s]	------|---|--⌫|-||-|-|---⌫---|
chemin plenier	-----|------|
S enmain e lapucele	|-|----⌫|-|-----|
etlesco ransdestriers.	-|--|--⌫---|---------|
Toute iora liber	----|--||-|--|
esré etcheualcietTantque ilref uuespre	----|-|---------|---|--|-|---⌫|-----|
etprès delanuitier	-|----|-||-------|
HéDieu s dist Mirabiauso le	--|----⌫|---|--------||-|
afaitiéMolte stlonccele	-------|---|-⌫-|---|---|
Francheoudeuonsrep airier	------|-|-----|---⌫-----|
-Belechedist	|---|--|---|
Aio l[s] or neuos esma iésChid eu antaun	---⌫---|-|-|--|----⌫---|--|-⌫--⌫--||-|
pu ietun c aste letuiés	--⌫|-|-|-⌫----⌫--|----|
Etuneuilegasteli	-|--|---|----|-|
desroc hie ́Mais i l nyma i nt nush on né[s]	------⌫---⌫|---|-⌫|||--⌫-⌫-|--|-⌫-|-----|
demeres ou sie l.	-|---|-⌫--⌫---⌫-|
Celepart seie puis memetra iuolentiers Bien i	---|---|-|-|---|-|-----⌫|---------|---||
hu imaislé s lemur	--⌫----|---⌫|-|--|
he rberg i erDemainaronssecor[s]	--⌫-----⌫-⌫-|-----|----|-------|
l a otroié.-Siredistla	||-------||---|---|-|
pucele che	-----|--|
soitaldieu	---|-|---|
congié.La u ile	-------|-|-⌫--|
trouent gasteu duren therbergierEl	------|----||-----⌫|---------|-|
unemontai ngele ́s.i.des rube fierDesousot	--|------⌫--|--⌫-|--|---⌫---|---|-----|-|
pr aie let	--⌫---⌫|-|
.i.largeuiuier .Apié	--|----|------⌫||---|
sont dess endude sauferans	---|----⌫---|--⌫|-------|
destrier[s]Aiol[s]l es	----------|------|-⌫-|
en past ure ligentieuscheualiers	--⌫----⌫--|-|-------|---------|
peu rentlerbe	---⌫---||---|
et b urente luiuier. Lapuce les e	-|-⌫----|-⌫|------|-|----⌫-|-⌫|
cou chedale ́s	---⌫--|----⌫-|
lecheualierHestes uosgen til homepourement	-|--------|-----|--|---⌫--|---|--------|
herbergietCAi ol[s]	---------||--⌫----|
nela pucele n	-|-|-----||
ont l a nuit	--|-⌫|---|
mangier Iadonastpor	------|-|-----|--|
u npaintoutlemi llordestrierDes	-⌫|---|---|-|--⌫---|-------|--|
.ui i.queil auoit conquise tgaingié.Ilot	---⌫-|--|-|----|------|-⌫|--------|-|-|
la ube rcues tuet	|-⌫---⌫-|---⌫-|-|
sonelmel a chiéLagrantespeeçain teson	--|---|-⌫-⌫----|-|----|----|-----⌫-|--|
es c usors on	--⌫-⌫|--|-⌫-|
Salancheiostel ui ses esperonses	-|-----|----|-⌫-|--|-------|-|
pi ésSe batai lle	--⌫--|-|-----⌫--|
lisort qui l soi taparelliésCarmolt	-|---|-|-⌫|---⌫|----------|--|---|
crient leslaronsqu	-----|--|-----|-|
auoi t laisiés.Ilestoitmolt fo rme ntpen és et	----⌫|--------|-|-----|---|--⌫---⌫-|---⌫--|-|
trauelliésCar il ot tou te	----------|--|-|-|---⌫-|
i oresréetcheua ucié	-⌫-|----|-|-----⌫----|
nuitalostelasmaus la ronsuelliéEtl	---|||----|-|---|--⌫---|------|-||
autrenui t de u ant	----|---⌫|--⌫-⌫--|
toutadéscheuaucié. Aiols	---|----|----------|----|
n auoitdormi	|----|----|
bienot.iii.iors	---|-|----|---|
entiersTant quedemi e liewe	------|---|--|----⌫|----|
ala stuns hom(e)a pié	---⌫-|--|-----||---|
Senpres estendormisligentiexcheualiersEtil et	-----||--|-------|-|------|---------|-|-|-|
pucelealgentcorsafaitiéMa is	-----|-|---|---|-------|--⌫-|
lanuitlia ui( e) nttant	-|---|-|-⌫---⌫--⌫-|---|
orible pechiéAins	-----|------|---|
n a ui(e)n t iss i	|-⌫------⌫|---⌫|
cheualie rCardiablesleuauttout enfinengingie r. Uns	--------⌫|--|------|-|---|---|----|--------⌫-|--|
s erpensdep utaireest issusdelroc hier Qui	-⌫-----|-|-⌫-|---|--|----|--|---⌫---|--|
bien auoitde	---|----|-|
lon cuneaus neet . x u.pié sMol tnoir[s]et molt	---⌫|--|---⌫-|-|-⌫-⌫-|----⌫|---⌫|------|-|---|
mi rabellou setfiers	--⌫--------⌫|-|----|
Etot ent re .ii.iexlarge ment demi	-|-|---⌫-|---|--|-----⌫---|---|
Les paiensde laterr eauoittous	--|-----|-|-|----⌫|----|---|
ess ill ié sOnques	---⌫---⌫---⌫|-----|
bestene uaus ist	----|-|----⌫--|
iusticierHa sti uementselanche co ntre ual l e	--------|--⌫---⌫-----|-|-----|--⌫----⌫--|-⌫|
rochierDe ssiqueaAiol legen tilcheualier .	------|--⌫--|--||---|-|---⌫--|---------⌫|
Laiamb eli	-|----⌫|-|
eng ouleens ambleatou[t]lepiéLa quisse	---⌫---|---⌫----|------|-|---|-|-----|
etle genoil du squ	-|-|-----|--⌫--|
al neudelbraie r Souauet	-|--|--|-----⌫|------|
liestraint	-|-------|
n acuredelmeng ier	||---|--|----⌫--|
uertud el ciel	----|-⌫-|---|
ose plust o uchierC ontreditli	--|---|-⌫-⌫-----|-⌫-------|-|
auoitnostr e	----|-----⌫|
sires delcielEtporla	----|--|---|-|--|-|
trieueDieu nelpot	-----|---|--|--|
enpiri erNepeustes tre honiscuiDieusuaura a idier Che	------⌫-|-|----|--⌫--|----|--|----|----|-⌫----|--|
fuparundeue nresqueDexfulaide ngi e ́s E tqu	-|--|-|----⌫---|--|--|-|-----⌫---⌫-⌫-|-⌫|-|
il fumis en	-|-|--|-|
croispornos	----|--|--|
dinfersa ci erD essialendem ainne s	|----|--⌫--⌫-|-⌫---|||-----⌫--|-||
e suellier.LafilleMibrienlecoisi tout	-⌫--------|-|----|------|-|----|---|
premierE tuit	------|-⌫|--|
le serpentgrantparcre uetent ierTelhisde	-|------|----|------⌫|-|---⌫--|--|----|
en ot ladame le	-|-|-|---|-|
sens quidecangier	---|----|------|
Qu enes osemouoir ne parlerne	--⌫|-||--|-----|-|-----|-|
hucier.Maisa	------|---||
trais tadroit se lon cle ciefEt	-----⌫||----|--⌫---⌫|-|---|-|
lidistenlo relle	-|---|-||-⌫----|
cortoise ment etbien Ge ntiex	--------⌫---|-|---|--⌫----|
damois eussire m al somes	------⌫--|---|-⌫-|----|
engingie ́El corsa u n	--------⌫|-|---||-⌫|
serpent tenés	------|-----|
t out uost repié	-⌫--|----⌫-|---|
Laquisseet legenoiliusqualneudel	-|-----|-|-|-----|----|-|--|--|
bra ier.Po rDieu	---⌫---|--⌫|---|
da m oiseu ss ireneuouscautde noisier	--⌫-⌫-----⌫|-⌫--|-|---|---|-|------|
mouré s tantpoi	------⌫|---|--|
quene soiésm angiés. Quantl	--|-|-----|-⌫-------|----||
ent endiAiolsmolt enest	---⌫---|----|---|-|--|
esmaiésPuis	-------|---|
regardasaiamb es	------|-|----⌫||
Nottel pao r de	|-|--|---⌫|-|
m ortanuli o r d esousie lUne or ison	-⌫--||--|-⌫-⌫|-⌫-------⌫|--|--⌫---|
co mmencheque li o tgrantme s tier	--⌫------|--|-|-⌫|----|--⌫-⌫---|
Dameldéreclama l eg lo rieus	-------|------|-⌫|-⌫--⌫----|
de lci e lGl ori eussirepere	--⌫|--⌫-⌫|--⌫---⌫--|---|---|
quif uettoustans [i]e[r]s	--|-⌫|-|---|---|-------|
Et caret sancpr esis en l adinge moll i er	-|--|-|---|--⌫---|-|-⌫|----|----⌫-⌫-|
tune ́s iamescroirenel qui erEt enla	-|--⌫-|-|--------|--|---⌫-|-|-|-|
saintec roiste	-----|-⌫---|-|
l aisa sclofic i er Al	-⌫----⌫|------⌫-⌫-|-|
ioralloncdeuenrespeneret	--|-|---|-------|----|-|
tra uillier Quant Longis teferiqu inesis ot	---⌫------|----|-----|-|---|--⌫|-|||-⌫-|
De lalancheel costéquenfist	-|-|-----|-|-----|-|-|---|
lesanc raierTout	-|---|----|---|
auallegrose	---|-|----|
ansteiusque s aspuinsgla c hierIl le	----|------⌫|-|----|---⌫-⌫---|-|-|
ses iexselfesisesc lairi erEtilbati	--|--|--|----|---⌫-----⌫-|-|-|---|
sacoupesise	-|----|-|-|
repentibie nDieusuoslipardon astes	------|---⌫|----|--|-|------⌫----|
boin ementsans	----⌫----|---|
da ngierD essi qu	--⌫----|-⌫---|-|
a Golgat asfesis	|------⌫-|----|
tons a n c raier Et	--|-⌫-⌫-⌫|----|-|
de Calua irela piere	-|-----⌫--|-|----|
pe çoierL ipelerin le	--⌫-----|-⌫|------|-|
qui laleuontbaisierSi rep oruostr e mortche	--|-|-|---|------|--⌫-|-⌫-|-----⌫|---|--|
sauonssans	-----|---|
quidierCrola	------|----|
par toutle montliterreet	--|---|-|---|-|----|-|
Etlesh a utes monta ignesett restoutliroch ier	-|--|-⌫-⌫---|-----⌫----|-|-⌫------|-|----⌫--|
Oisia us ne	-----⌫-|-|
potuolerc eliornesleechierNenulebesteui ue	--|----|-⌫-|--||---------|-|---|----|--⌫-|
sauonsn os trés bie nTristrefu rentetmornen i	-----|-⌫-|----|---⌫|------|--⌫---|-|----|||
courecierEl	--------|-|
saintismesepulcreuosfesistescouci er	--------|-------|--|-------|-----⌫-|
G aitieruos fis t	-⌫-----|--|---⌫|
Pilat e siotmaintsaudoier	-----⌫|-|-|----|-------|
Mais tout lorgaitement neualut.i .denier Al	---|---|--|--------|-|----|--⌫|-----|-|
iorsu ssitastes biausperedroiturierEnin fer	--|--⌫--------|----|---|---------|-|--⌫--|
enalaste s	-|------⌫|
tout. i.antieusentierL es port esetlesh u isen	---|-⌫-|-----|------|-⌫-|----⌫-|-|--|-⌫-⌫-|-|
bri sier uosne cre mi e ́snien t le pooirl	---⌫---|--|-|---⌫--⌫-⌫-|----⌫|-|----||
auersieruos	-------|--|
ge tastes queta ntauiéschier[s].Issicomch e	--⌫-----|--|--⌫-|-----|--------|---|--|--⌫|
uoi rs u erai [s]Dex iustichi er[s] Gari ssiés huim en	---⌫-|-⌫----⌫--|--|--------⌫----|----⌫-----|--|-⌫-|
m ort et d essillierEtsime	-⌫--|-||--------|-|-|-|
deliurés de	--------|-|
cheputaue rsier	--|--|---⌫----|
enpuisse ale r s ain[ s]et sause tentier[s].	-|-----|---⌫|-⌫----⌫-|-|---|-⌫|---------|
CL uAio lsauoitsa	--⌫|---⌫-|----|-|
iamb een selcorsdelawiure S ilot	----⌫|--⌫|-|---|-|-|----||-|-|
paorde mo rtneuosmeruelliés	---|-|--⌫-|-|--|----------|
mie Molt douchement reclaime le	--|---|---------|-------|-|
Marie Glori eussire perequi toutle mont	----|-----⌫--|---|---|--|---|-|---|
fesistesEtlecieletleterr e	-------|-|-|---|-|-|----⌫|
etles iecle e stabl i stes	-|-|-⌫----|-⌫-----⌫-⌫---|
etEuainalprimerainfesistesQui mangie ren t	-|----|-|--------|-------|--|------⌫---⌫|
lefruitque lorcontr e desistesIssi c om che	-|----|--|--|-----⌫-⌫-------|---|-⌫-|--|
glorieusperesire Gar isi éshuimoncorsmesmenbres et	-------|---|---|---⌫---⌫--|--|--|---|--|------|-|
men auéssui	|-|----|--|
d anseletem esc i neM o lt p oi	-⌫-------|-⌫---⌫-⌫-|-⌫-⌫-|-⌫-|
poésprisier ma	----|------|-|
g rantcheua lerieQuant nos	-⌫---|-----⌫----|----|--|
gransa mist iés	----|-⌫----⌫---|
serontia departi es	-----|-|-------⌫-|
Montéssoruoceualmabeledouceamie	------|--|-|----|-|---|----|---|
T ornésuosent	-⌫-----|--|--|
a riere chesteui és u o ieantie Tenés bi en	-⌫----|-----|--⌫--|-⌫-⌫-|----|-----|--⌫-|
uostreesclosne mesconnis siésmie Dieu[ s] uos	-----|-----|-|---------⌫----|--|-----⌫-|--|
tramech ea	-------⌫||
homequibien	---|--|---|
uosfac eaieEtres pont Mirabiaus Por	--|---⌫|--|-|---⌫---|--------|--|
laue ́s ditsireP ui squeiai rel enquisMa homet	|---⌫-|--|---|-⌫--⌫|--||-|---⌫-----|--⌫----|
id elesIa Dameldéneplache lefils ainte Mar ieQu e	--⌫---|-|-------|-|-----|-|--|-⌫----|---⌫-|--⌫|
g uerpise uo corspor	-⌫------|-|---|--|
nu lerien qu i uiue A in smoraiauoecuo s	--⌫-|---|--⌫|---|-⌫--⌫|----|----|--⌫|
a doel etamar ti re.Al	|---|-||---⌫--⌫--|-|
g ra ntdoel	-⌫--⌫-|---|
quelemainecietp asme e	-|--|----|---|-⌫----⌫|
so uine.CL uI La	--⌫----|--⌫-|-|
dolantep orle	------|-⌫-|-|
boin bac heler	---|---⌫----|
Quele nelepotmiea son talentsa uu er	-|--|-|-|--|--||--|-----|--⌫--⌫-|
recl amalero idemaiesté Damel dex sirepere	----⌫--|-|--⌫|-|-------|-----⌫--|---|---|
qui t out as a	--|-⌫--|-||
sauer Etfaiteshom eetfemeeto ir etp arle r	----|-|-----|---⌫|-|---|-|-⌫-|-|-⌫----⌫|
Abraha mfistele i afustes u os si	------⌫|---|--|-⌫|-----|-⌫-|-|
boin clerc	---|----|
on[t] di te t	----|--⌫|-⌫|
aconté Ies uuos commandacomhome	------|---⌫|--|-------|--|---|
cor porelPardedensunuer gierue sti és en tré	---⌫----|--|-----|-|---⌫---||-⌫---⌫--|--⌫---|
lidonisiésla	-|--------|-|
rienque plusamés Cer tIsaa cuo[s]fieus	---|--|---|----||--⌫|----⌫|----|----|
q uauiés engenré Ensac refieme ntuo[s]uo loit esprouer.	-⌫|-----|-------|-|---⌫-------⌫-|----|--⌫---|--------|
Adon tes toitcoustumepart r est o ut le	----⌫|--⌫---|-------|--|-⌫-⌫---⌫-⌫-|-|
resné Queonar[si s]t	-----|--|-|-----⌫--|
l edis meq ueauoi ent donéEt[ uo us	-⌫|---⌫-|-⌫-|----⌫--|----|-|-⌫--⌫-|
u]ous enm e sistesen	----|-|-⌫-⌫-----|-|
grantloiau te ́Que uausisteslenfant ochireetde cauper	----|-----⌫--⌫|--|--------||-----|-----|-|--⌫-----|
Etpa r des(o)us .i.asne lef esistes monterDroita	-|--⌫-⌫-------|--|---|-|-⌫------|-----|----||
u ide t lefesisenporterOutreIherusalems orlemo nt	-⌫---⌫|-|----|-------|----|---------|-⌫-|-|--⌫-|
Be lcle rLafesi st e[s]unfeuesprendre	--⌫----⌫|-|----⌫--⌫---|-|--|--------|
et a lumerUn e	-|-⌫----|--⌫|
espe e portastespo ruos treenfanttuerSeluoliése n	----⌫|--------|--⌫|---⌫--|-----|---|--|------|-⌫|
ardoiret enb ras erEtlesos et la	-----|-|---⌫---⌫-|-|--|-|-|-|
po ureaDieu	--⌫--||---|
rep r esenter	---⌫-⌫------|
Quantunssai nsangles	----|--|---⌫-|-----|
fudeseuruosa prest é s	-|-----|--|-⌫-----⌫--⌫|
distenlorelle Biaus	---|-||-----|----|
dousamisestés D amelde[x]uosa	---|---|-----|-⌫--------|--||
bie na sonamip rou é. Un mouton	---⌫||--|--|-⌫---⌫--|-|-----|
u ousdonacor n ue tbien lané	-⌫--|---|---⌫-⌫|-⌫|---|----|
Sid ist Biau s	-|-⌫--|----⌫|
do usamische moton	--⌫-|---|--|----|
re tenésSen	--⌫-----||-|
faitessacrefiched ousa m isau tretelQ ueu ous deuiésfaire	-----|---------|-⌫--|-⌫-⌫-|--⌫-----|-⌫-|-⌫--|------|----|
deuo str eenfantcarnel.	-|--⌫---⌫|-----|------|
Lespee uos	|----|--|
toli li enfesfu saués.	---|-|----|-|------|
Issico mche fu uoirsglorieus sireDésGarissiés	---|--⌫|--|-|----|-------|---|---|---------|
afolésPor soie amorp r endraisaint ecre sti enté	------|--|---|---|-⌫-⌫-----|-----⌫|---⌫---⌫----|
En s a in s fons meferai baptisier	-|-⌫-⌫--⌫|---|-|----|--------|
et leuer. CLuII	-|-----|----|
Mira bi aus fudolan teforment	----⌫--⌫--|-|-----⌫-|------|
porle d ansel	--|-|-⌫----|
Qua ntnelipeutai dierne delonc nede	---⌫-|-|-|---|--⌫---|-|-|---|-|-|
près.Atant euos	-----|----|---|
Robaut tr éspar mil e	-----|--⌫--|--|-|-⌫|
desert Li leres de put airesui les	-----|-|----|-|--|---|--|--|
deprèsIl fu uie uset k enusreg ar tot	-|----|-|-|---⌫-|-|-⌫---|---⌫--⌫|-|
defelse rf	-|--|--⌫-|
Porq uanti lnert	----⌫---|-⌫||--|
sipoures qu eil	-|-----|--⌫|-|
n ait .i.kas tel	|--|--|---⌫--|
toutior(s)	---|-----|
uitdembl er d	--||----⌫-||
autremest ie rne sert .Ilbroche	----|----⌫--⌫|-|----⌫|-|-----|
ledestrier siuint a Mi rabel	-|-------|-|---||--⌫----|
Cele nelconnut	---|--|-----|
destrierisne lPorles ricesad ousqueport oit liquiuer[s].	-------|----⌫|--|--|----|--⌫--|--|----⌫--|-|---------|
CLuI IILiuieusfu	----⌫-|-|----|-|
gra ns etf orset demal enartousU qu	---⌫-|-|-⌫--|-|-|--|-------||-|
i luit lapuceleuerslui cortl es	-⌫|--|-|-----|---|--|---|-⌫-|
granscors.	----|----|
Lipremiers	-|-------|
dis tBel equiestes	---⌫|---⌫|--|----|
uous-Biaussire une	---||----|---|--|
aiperdu m onsignorNous issi m esd Espaignea	-|----|-⌫-|-----|---|----⌫-⌫-||-------||
prime s l autre	-----⌫||----|
iorDela maison monpereun ri che	--|-|-|-----|--|---|-|--⌫--|
Sar ra si nlont porsieut felonetor guell ousTousno(u)s	---⌫--⌫--⌫||--|-------|----|-|--⌫-----⌫--|---|-----|
ho mes ont	--⌫--|--|
estremés. i.sousNemaisious[l.	--|-----|-⌫-|---|-|---|------|
iou] et mes sires s	---|-|--|----||
enfuions aestrous.Aces te uilegaste	-|-----||-------||---⌫-|---|----|
nousfailliersoiriors	---|-----|-----|---|
Si nousloames	-|---|-----|
chipar se lo n c ceste	--|--|--⌫--⌫-⌫|----|
torHuimatin si ueisme[ s]celdiable o rgellousQui	--|--|----|-|-------⌫-|--|-----|-⌫-------|--|
te noitmon	--⌫---|--|
signorpar s on	-----|--|-⌫-|
pie ́adolour Sisoufro itgrant	---⌫||-----|-|------⌫-|----|
angoissedeletrés	-------|-|-|----|
gr antodo ur	--⌫--|---⌫-|
Queliserpensliietequi	--|-|------|-|---|--|
moltmefaitfreorCa r lochiésor s irepar	---|-|---|----|--⌫||------|-|-⌫--|--|
f r ancised	-⌫-⌫-----||
amorIeuos donrai.m. marsdargenttout a	---|-|--|-----|--|---||-----|---||
Quan tl entendi liuieussiotmolt	----⌫||------|-|----|-|-|---|
grantpaorLauoir	----|---||----|
conuoitailmais leser pentcrient mout Iap uis	-------|-|---|-|---⌫---|-----|---|-|-⌫--|
De xf aiti l anes.i. iorSe par	--⌫|-⌫--|-⌫||--|--|--|-|--|
moiiaiaaiue	--|||-|---|
secor[s ]Car ma ma isonaarse et l iure[e]a	-------⌫|--|-|--⌫---||---|-|-⌫------||
con paignons a mo rs moltena i	---⌫-------||--⌫-|---|-|-⌫|
gra nt iror	---⌫-|---|
Ains pr end ronscest	---|--⌫---⌫---|---|
es kiecsen irons moi etu ous.	--⌫---||-|----|--|-|-⌫---|
Qua n t lentent l apuc ele silen prent	---⌫-⌫||-----|-⌫|---⌫--|-||-|----|
t el dolor	-⌫-|----|
.IIII.fois chietpasmeeuoiantlesiex Aio l.C LIX	-----|---|----|-----|-----|--|--|---⌫-|-⌫--|
li uieusdelserpentqueiluoitAioltie nt	-|----|--|------|--|-|---|---|---⌫-|
quissequimoltfu a	-----|--|---|-||
destroitNeporq ua ntsel cenaen uerslui	-------|------⌫--⌫-|--|---|--⌫---|--|
de sondoi tLiu ieus en iure	-|--|---⌫|-|-⌫---|-|---|
Dé(x)quihaut sie tetlonc	-----|--|---|---⌫|-|---|
uo itAidiésne secourusn isere ́sia	--⌫-|------|-|-------|||----⌫-|-|
par moi.I luint	--|---|-⌫|---|
alapucele selidist parbufoi Montéstos t	|-|-----|-|-|---|--|----|------|---⌫|
damoisel e	--------⌫|
desor celceual no ir S eniro ns	----|--|----|--⌫-||-|---⌫-|
c e lauoir.Qu ant l entent	-⌫-⌫|-----|--⌫--||-----|
Mirabiausquidié squelin en	--------|-------⌫|--|-||-|
pois tAhitraitresu ieus Dieu s de struis eta loi El e	----⌫|--|-------|-⌫---|----⌫|--⌫------⌫|-|--|--⌫|
estendise paumesel fie rtsidem anoisQue nla	------|-|----|--|---⌫-|-|---⌫----|-|-⌫|-|
ma i ssel een perentli.u.doit.	--⌫-⌫----⌫|-|-----|-|--|----|
Etliuieustraitl	-|-|----|----||
li u int toutirois	-|-⌫--|---|----|
ottelpa orque	-|--|--⌫-|--|
selais a caioir	-|----⌫|-----|
Puislafaitemonter	---|||----|-----|
uliplaistu	|-|-----||
li poi st Ue le uoilleu	-|---⌫-||-⌫-|-----||
non eldestri er bauchant noirPuisaq uel liles	--|-|------⌫-|-------|---|---|--⌫---⌫-|--|
a utressesa	-⌫----|--||
mis deuan t soiFor s le d estrier Aiol cilr emain t	--|-----⌫|--|---⌫|-|-⌫------|---|--|-⌫-----⌫|
uoi tDa utrepartsous.i.arb re	---⌫||-⌫---|---|---|--|---⌫-|
en. i. breulentpaisoit.	-|-⌫-|-------|-------|
