mes siresainza nthoinesfu	--|---|----|-⌫-------|-|
t resquatantque	-⌫----|-------|
l ameenuit pre sfuttrespaseedon t	-⌫|------|---⌫|--|--------|---⌫|
fur entsiagreué dedoloret	---⌫--|-|------|-|----|-|
delastequetuit	-||---|--|---|
sendormorirent	|------------|
lorreui nt	--|----⌫-|
li esperiz en	-|------|-|
saint anthoinessisopiraet	----|--------|-|-----|-|
le uasonchiefamontamultgrant	--⌫-|--|----|----||---|----|
painne etquantil	-----|-|----|-|
uitq uetuit	--|-⌫-|---|
dormoientforscelui quil	--------|---|----|--||
auoitaporté ill ocena	----|------|-|-⌫|---|
uenistaluietcil iuint	-----||--|-|--||---|
proiaqu illoreporta stas o n	----|-|-|-|-------⌫-||-⌫-⌫|
habitaclee tnesueillast	--------|-⌫||---------|
de c elsq ui	-|-⌫--|-⌫-|
la dedenzdorm oient	-|-----|----⌫----|
liuo stcontredire	-|--⌫-|---------|
ainzl oreportalaouil l	---|-⌫|------|-|-|-||
a uoitpris	-⌫---|---|
a insi redemora sa inz anthoi nes	-⌫---|-------|--⌫--|------⌫--|
toz seul si	--|---|-|
co millauo it	--⌫|-||---⌫-|
a costum elisainzhom nepo oit	|------⌫|-|----|--|-|--⌫--|
es tredroizporlesplaies	--⌫--|----|--|--|-----|
quitoteserent	--|----|----|
nouel lesainz	-----⌫--|---|
licoue noittoten	-|----⌫---|--|-|
gi san tfair e anostreseignors es	--⌫---⌫|----⌫||-----|------|-⌫-|
oroisonsetsesproi eres	-------|-|--|----⌫---|
etq uant il auoit	-|-⌫---|-|----|
sicriot aaute	-|----||---|
uo izdiables	--⌫-|------|
e t disoiti e	-⌫|-----|-⌫|
suianthoines	--|--------|
ie ne me mieporuosbataill es	-|-|-|--|--|--|-------⌫-|
nepo rles dolors que tum as	-|--⌫|--|-----|--|-||-|
s off riret	-⌫---⌫--|-|
neia tant d anui nesaura s f aire	-|-|---||---|-|-----⌫|-⌫---|
quet umep uissespartirne	--|-⌫|-|-⌫-----|-----|-|
deseurerde	-------|-|
lenmo rnos tre seig norihesu	|----⌫|---⌫--|----⌫--|----|
crist nede	----|-|-|
sa charite z	-|-------⌫|
s i c onil	-⌫|-⌫-|-|
disoi t cel i	-----⌫|-|-⌫|
meruilloitm ultdesbie ns	---------|-⌫--|--|---⌫-|
quielsaint	--|-|----|
ho meestoientne	--⌫-|-------|-|
commentil auoi t osé	------|-|----⌫|---|
leuouilauoitesté	--|-|-|----|----|
siso rmo nte z	-|--⌫---⌫---⌫|
dontsecommencaliennemispar	---|-|-------|-|------|--|
desue rietoza	-----⌫--|--||
depec iersi refi st	-----⌫--|-|----⌫-|
ueni rsesmenis tresdeuantlui	----⌫|--|-----⌫---|-----|--|
distdon tneu iezuos	---|---⌫|-|-⌫--|--|
puis sor mo nter par	---|---⌫--⌫---|--|
for nicacionnepa r do lor d ecors	---⌫-------|-|--⌫|--⌫--|-⌫|---|
anthoinesainznoslaide ngeencore	--------|---|--|-----⌫--|-----|
pre ne z totes uos	---⌫--⌫|----|--|
arm eset si	---⌫-|-|-|
l al onsasaillirplus	|--⌫--|-------|---|
a i gre mentildo itbien	-⌫-⌫---⌫---|-|--⌫-|---|
siles sente	-|--|----|
apellee tesmue t	-----|-⌫|-----⌫|
cedistil etli	-|---|-|-|-|
otr oierent tuit ense mble lo rs	---⌫------|---|----⌫---|--⌫-|
io tgrantnoisse et grantt emultesis	|-⌫|----|-----|-|----|-⌫-----|-||
enuindrentalabitacl e	-|-------|||-------⌫|
saintanthoinelorssetr esmurent en	----|-------|---|-|--⌫-------|-|
d iuersesm an ieresdebe s tes d e	-⌫------|-⌫--⌫----|-|--⌫-⌫--|-⌫|
serpenzsiraempl irentle	------|-|------⌫----|-|
paroizde r ompi r en tpar	-----|--⌫-⌫----⌫-⌫--⌫|--|
fant o sme i lestoienttresmuéen	----⌫-⌫--|-⌫|-------|-------|-|
lionset e n tor s	----|-|-⌫|---⌫|
eten lo u s	-|-|--⌫-⌫|
etens erpenzeten escorpi ons	-|-|-⌫-----|-|-|-------⌫--|
et enli p arz	-|-|--⌫-⌫--|
d e cruoses	-⌫|------|
menieres etchacuns	-------|-|------|
fremis oit	------⌫--|
seloncsanatureuers saint	-----|-|-----|---|----|
an thoineetnelelaisseientpaspor	--⌫-----|-|-|-|---------|--|--|
ce acorre s oretuit	-||----|-⌫--|---|
auoientcrueusessemb lances et	------|-------|----⌫-----|-|
etorribles	-|-------|
s a inzan thoinese sto itpar eus	-⌫-⌫--|--⌫------|-⌫---⌫-|--|--|
durementtormentez e tgriespai nnes	-------|--------|-⌫|----|---⌫---|
messa pensee du roit adesbo ne	--|-|-----|--⌫---|---|--⌫-|
etueraieet saine	-|-----|-|----|
etiafucequi l gemistet	-|-|-|-|-|-⌫|-----|-|
por le s plaies qui	--|--⌫|-----|--|
li est o ient	-|---⌫-⌫---|
faitesilauoit si	-----|-|----|-|
parfaiz sensquildegaboit l es	------|---|-|-|-------|-⌫-|
de able sets idi soitse	--⌫----⌫|-|-⌫|--⌫---|-|
u ole znulechoseet	-⌫---⌫|---|----|-|
seno st r esire	-|--⌫--⌫-⌫|---|
uosasor moidoneepoesteie	--||--|--|----|-----|-|
s u i toz prest	-⌫-⌫|--|----|
uene z sime deuorez ets euosne	----⌫|-|-|------|-|-⌫|--|-|
lepoe zfaire	-|---⌫|----|
porque uo se ffor ciez uos doncde	--|--|--⌫|-⌫----⌫---|--|---|-|
uainechose et	----|----|-|
pornoian tlo	--|-----⌫|-|
faitesli signes del asain te	-----|-|-----|-|-⌫|----⌫-|
cr oizet lafoi que	--⌫--|-|-|--|--|
anost re seignore st limurspar	|----⌫-|------|-⌫-|-|---|--|
quoi i e neuoscieng	---|-⌫|-|--|----|
dontfremi soientliennemiet	---|-----⌫-----|-|-----|-|
estraign oientlor denzenuers	--------⌫----|--|---|-----|
lo sainthome mes neiantneu aloit	-|----|---|--|-----|-|-⌫----|
laforce ne lorcorage	-|----|-|--|-----|
quar nost re sireiesuc rist n	---|----⌫-|---|---|-⌫---||
obl iami e s onser f quiporlui	---⌫-|--⌫|-⌫-|---⌫|--|--|--|
soffro itces dol orset	------⌫-|--|---⌫--|-|
ces paines	--|-----|
ainzlifubonaidierres	---|-|-|--|--------|
sainz an thoinesleua cont rem ontses	----|--⌫------|---|----⌫---⌫--|--|
iauz siuitune g rant	---|-|--|--|-⌫---|
lui descendre parmilofeste	--|--------|----|-|----|
desonhab itacl eceleclarte	-|--|---⌫-----⌫|---|-----|
estoi ta usi	-----⌫|-⌫--|
comunsrais desolo il	--|--|---|-|----⌫-|
etsi tos t comele	-|-|---⌫|--|--|
dedenzdes cenduesisenf uirentsi	-----|---⌫-----|-||---⌫-----|-|
trestuitli diablequo nques	-------|-|-----|-|-⌫----|
n iosareman oirnon quepu i s n	||--|-----⌫--||--⌫--|--⌫-⌫||
apar u rentet l isainzhomf uaus i	----⌫-⌫---|-|-⌫|----|--|-⌫|---⌫|
maintenant ga r i zde sesdolors et	---------|--⌫-⌫-⌫|-|--|-----|-|
sonhabitacl e	--|--------⌫|
qui au oitesté	--|--⌫--|----|
depeciezfu	-------|-|
refaizenm ei sme lo reet	-----|-|-⌫--⌫--||-⌫-|-|
s aint a nthoinequenostre sire li	-⌫---|-⌫------|--|-----|---|-|
estoiten presences ico mmen ca	-----|-|-------|-⌫|--⌫----⌫-|
as opirerdeparfont	|-⌫-----|-|------|
cueretapres	---|-|----|
prisaparlera	---||-----||
lalumiere qui	-|------|--|
li esto itapar uesidist	-|----⌫-|----⌫-|-|---|
est o iestu biauss ireiesu crist	---⌫-⌫--|-|----|-⌫--|---|----|
quine meuenis	--|-|-|----|
une uoizrespondi	--|---|-------|
etd istanth oines g estoie	-|-⌫--|----⌫----||-----|
cipresenzmesiete reg ard oie	-|------|--|-|-|---⌫---⌫--|
porc equeieuoloie oi r et	--|-⌫|--|-|-----|--⌫|-|
uoiertonestrifetta batailleet por	----|--|-----|-|-|-------|-|--|
ceque iai ueu qu e	-|--||-|--|--⌫|
m aintenuzsifermementt	-⌫-------|-|--------||
aideraiie t ottensen toz	------|-|-⌫-|---|-|--|
les leus ou tu serasetsi fer ai	--|---|-|-|----|-|-|---⌫-|
de toimen cio npartot	-|--|---⌫---⌫|--|--|
quantsainzant hoines oi ceil se	----|----|---⌫-----|-|-|-|-|
l euasirendi	-⌫--|-|----|
ano stre seignor	|--⌫---|------|
etloengeset	-|------|-|
sentibienetso tque la	----|---|-|--⌫|--|-|
li estoitp luscreuequ	-|-----|-⌫--|----|-|
fu st a men uisiedeuant	--⌫-|-⌫---⌫----|-----|
l auoitperdue	|----|-----|
adonte st oit	----|-⌫--⌫--|
sainzenthoin esenl	----|-------⌫-|-||
yyan s dontsesmuet	-|--⌫|---||-----|
sis enalaauuelhomquil	-||-|--|-|--|--|-|-|
auoitpremierementtrouésili	----|-----------|-----|-|-|
et distquil s enala ssen t el	-|---|-|-||-|---⌫----⌫|-|
deserzabiter ens em bl e	-----|-----|---⌫--⌫--⌫|
etliuielz home respondiqu	-|-|----|---|-------|-|
estoitdetrop gran t aages i	-----|-|---|----⌫|---|-⌫|
por r o itmiesof f rir	---⌫-⌫-⌫-|--|---⌫-⌫--|
les pai nes del	--|---⌫--|--|
nouelleuquar	----|--|---|
trop ertfei bles	---|--|---⌫---|
sainz anthoinessepartideluisi	----|--------|-|----|-|--|-|
senala toz seus	|-|--|--|---|
tantquiluin tesmontaignes desdeserz	-----|-|---⌫|-|---------|--|-----|
lacommen cailpremierement	-|------⌫-|-|-----------|
afaireenhermitagelauoie quiencori	|----|-|--------|-|---|--|----||
es teta do ncniest oitpas	--⌫|-|-⌫--⌫-|||---⌫--|--|
quen eueamoinen a	----⌫--||----|||
meslideable s	--|-|------⌫|
qui contrairesesta	--|---------|--||
criatureen fumultdolen z	-------|-|-|---|-----⌫|
s ineseuol t	-⌫|-|-|---⌫|
encormiearesterdelui	----|--|------|-|--|
tempter nedeluigiter	------|-|-|--|----|
bon por p ens ementsille	--|---⌫-⌫---⌫----||-|-|
peustfairecarsi commelisainz	----|----|--|-|----|-|----|
en al oi t toz seusli	-|--⌫--⌫|--|---|-|
enemis ligita	-----|-|---|
z z escuel led	-⌫|------⌫-||
e nmisa uoiequa n t sainzanthoinesla	-⌫--|-|---|---⌫-⌫|----|--------|-|
uittantost sot	--|------|--|
c estoitenginsdod eable	|-----|-----|-|-⌫----|
commenc aa re sgard er sanzpoor	-------⌫||--⌫-----⌫-|---|---|
sidist dontciuenu e	-|---|---|-|----⌫|
cest eescueleen c est desert	----⌫|------|-|-⌫--|-----|
n u shomni trespassecar	-⌫-⌫|--|||--------|--|
a ch e minneu oiesoisiaus	|--⌫-⌫--|-|-⌫--||------|
nonquiuol e ntpar l air etse ele	--|--|---⌫-⌫-|--||--|-|-|--|
detrosselqu on	-|------|-|-|
portastillo se nt is	------|-|-|--⌫--⌫-|
bienp arce	---|-⌫-|-|
queleert pesanz nenela	-|--|--|-----|-|-|-|
perdres il auantfus t	-----||-|----|---⌫|
alez gra nt piececa r il ret ornast	---|---⌫-|----|--⌫|-|---⌫-----|
arrieresi l	------|-||
eusttrouee por ce	---|-----|--|-|
quelauoie nertmieante e	--|-|---||--|--|----⌫|
deabl esce esttes engins	-----⌫-|-|--|--|-----|
tumeuielz decoi urem es	-|-|----|-----⌫--|-⌫-|
naientne te ualt tune	-----|-|-|---|-|-|
peesch er as miemapenseene	------⌫--⌫-|--|-|-----|-|
en comb reras	--⌫----⌫----|
tesargenz soit	--|-----|---|
p er dicion	-⌫--⌫-----|
ensi c omil p arl oitentel meniere	---|-⌫-|-|-⌫---⌫--|-|--|------|
sisesuenuilescuele	-||------||------|
quiestoitdeuantluiausicom un	--|-----|-----|--|---|--|-|
poide lumie re ap res	--|-|-----⌫-|--⌫--|
se fu departizde	-|-|-------|-|
auant i lregar da s i u itgisant	----|-⌫|-----⌫-|-⌫|-⌫-|-----|
grant masse	----|----|
dor en mi lauoie cene	|-|--⌫-|-|---|-|-|
nost resire	----⌫-|---|
liauoitmis	||----|--|
por luiesprouer	--|--|-------|
ertenginsdediable	--|-----|-|-----|
sai iebien	--|-|---|
sanzdot ance q ue cefu	---|---⌫---|-⌫-|-|-|
orsquantsai ntantho ineuit	--|----|---⌫-|-----⌫--|--|
la gra ntplented el orqui	-|---⌫-|-----|-⌫||-|--|
resplen dissoitilsen	-------⌫------|-||-|
esmerueilaoltre	---------|----|
menie r elorssencommencaafuiret	-----⌫-⌫|---||-|-------||---|-|
acorreausicom	|----|---|--|
seil fuist	-|-|----|
auan t u ngrantfeuardan t	----⌫|-⌫|----|--|-----⌫|
tantqu iluintal amontaigne	-----|-|---||-⌫|--------|
et qua ntill otraualeesi troua	-|---⌫-|-||-|------|-|----|
corantquiltrespassa	-----|-|-|--------|
oltre et puissitroua	----|-|---|-|----|
unch astel	-|--⌫----|
desert dont lesplushautes	-----|---|--|---|-----|
maisier esfurentcha ues enbas	-------⌫-|-----|---⌫--|-|--|
et multi auoitserpenz	-|---||----|------|
b estes quil adeden z ha b itoientet	-⌫----|--|-⌫|-----⌫|--⌫-⌫------|-|
uenimportanzlaen tra	----|------|-|--⌫--|
sa inzant hoine sporhabiter etpor	--⌫--|---⌫-----⌫|--|------|-|--|
mano irsicom nouiausostes	----⌫-|-|--|------|----|
main ten antquesainz anthoinesfu	----⌫---⌫-----|----|--------|-|
ded enzentrezsis	---⌫--|-----|-||
tuit liser pe nzne n	---|-|---⌫--⌫-|-||
i ose rentplus	|---⌫---|---|
a rester po r	-⌫-----|--⌫|
sa uenuel isa inz	-|----|-⌫|--⌫--|
homestoupal entree	--|------||-----|
depier res et	-|----⌫--|-|
s i e nclostetdel	||-⌫-----|-|-||
auoitilasezpetitsicom ele	----|-|---|----|-|--|--|
ue noitsorla roch edela pluie	--⌫---|--|-|----⌫|-|-|----|
ensimenasai n zant hoines ui e	---|---|---⌫-⌫|---⌫-----|--⌫|
s oli tairened elanese	-⌫---⌫----|-|-⌫|-|-|-|
ilu nquesneauec l uineparloit	-|-⌫----|-|---|-⌫-|-|------|
nus quil laissastentrer	--|-|-|-------|-----|
habitablesainthomeq uili	--------|----|---|-⌫-|||
sauoien tli	-------⌫|-|
ap ortoientpai n	--⌫-------|---⌫|
y yf aiesenlan tant	-⌫|-⌫---|-||-|---|
sol em ent por	---⌫--⌫--|--|
sostenirsauiee tquantili	-------|-|--|-⌫|----|-||
n e parloientilm iealui ne ne le	-⌫|--------|-|-⌫-||--|-|-|-|
ueoienteinzli	------|---|-|
pard efore	--|-⌫----|
qu illiauoient	-|-|-|------|
aportépu i ss enpartoient	------|--⌫-⌫||-|--------|
plussors prodomnes qu i d elui	-------|--------|--⌫|-⌫|--|
auo ientoinou elesquil	---⌫---|-|---⌫---|-|-|
enl ermitageet ill orequer oie nt	-||-------|-|-|-⌫|------⌫---⌫-|
por ceq uil lo de siroientauoier	--|-|-⌫|-|-|--⌫-------||----|
oirses parolesetu enoien ta	--|--|------|-|-⌫------⌫||
luietlaou il	--|-|-|-|-|
estoientdeuant	-------|-----|
sonhabitacleilles	--|--------|-|--|
deab lesausicoms e	----⌫--|---|--|-⌫|
granzp re ssesd e genzqui a	----|-⌫--⌫---|-⌫|---|--||
pa rloient et	--⌫------|-|
porqu oiestu uenuennoz	--|--⌫-|-|-|---|-|--|
habitaclesque montent li deserz	---------|--|------|-|-----|
atoine queiastuafaire ua	|--|-|--||-|-||----|-|
t e n f ors deces e stranges	|-⌫|-⌫--|-|--|-⌫-------|
contreesnen	-------|-||
iaresteplus	|-----|---|
neporroi e sso ffr ir	-|------⌫-⌫|--⌫---⌫-|
ag aizqueno stefer ons	--⌫--|--|--⌫|-|---⌫--|
ma utalenz cilqu i defors	--⌫------|--|--⌫|-----|
et cespa roles ooient depremie rs	-|--|--⌫----|-----|-|------⌫-|
cuidoien tqu ecefuss ent	--------⌫|--⌫|-|----⌫--|
hommesquipar deforefussent	-----|--|--|-----|------|
montéa es chieles	-----||--⌫------|
estriuas s e nt	--------⌫-⌫-⌫-|
ausainthome	-|----|---|
tuitesbaidepeor proioi ent	---|----|-|---|------⌫--|
ausai nthome secors ethaielisa inz	-|---⌫-|---|-----|-|---|-|--⌫--|
homsaproismo itdelentree	--||--------⌫-|-||-----|
por conforterles	--|--------|--|
frere setsilor	-----⌫|-|-|--|
ilnausse nt	-||-----⌫-|
et qua ntillorauo itce ditsilor	-|---⌫-|-|--|---⌫-|-|--|-|--|
proioitmu ltdocementq uil	------|--⌫-|-------|-⌫|-|
sen pa rtissent	|-|--⌫-------|
et alassentl or	-|-------|-⌫-|
uoieet si lo r disoit enco re	---|-|-|--⌫|-----|----⌫-|
quilsesaign assentdelsine	-|-|-|-----⌫-----|--|---|
sai n tecroizl or	---⌫-⌫-|----|-⌫-|
dotassent ceus	--------|---|
q uil ooien t	-⌫|-|-----⌫|
nientainsi separt o ien tdo	----|----|-|----⌫-⌫---⌫|-|
homeci lquia lui esto ient	---|--⌫|--||--|----⌫---|
et i l remano i t tozseu s	-|-⌫|------⌫-⌫|--|---⌫|
sanz mal au oiretsan z bleceuresqueli	---|--|--⌫--|-|---⌫|--------|--|-|
enemi lifeissent	----|-|-------|
quisouentlas sail loient	--|-----||--⌫----⌫-----|
s ouent auenoit	-⌫----|------|
que multesgenz	--|-----|---|
uenoienta lermitag ep or trouer	-------|||-------⌫|-⌫-|-----|
saintan thoinequantils orentquil	----|--⌫-----|----|-|-⌫----|-|-|
f uenuiequar il	-⌫|-|--|---|-|
auoientquidéa u ant qu il	------|-----|-⌫-⌫--|-|-|
eustestémor ze t trespass ez de	---|----|---⌫|-⌫|--------⌫-|-|
et quan tilu enoientill a ded enz	-|----⌫|-|-⌫------|-|-⌫|---⌫--|
losaint homme qu idisoit	-|----|----|--⌫|-----|
e ten cordisoit	-⌫|--⌫--|-----|
ilcestuers en	-|---|---|-|
telmanierecomuosmoez	--|------|--|--||--|
etdire menasainz	-|---|---|----|
anthoineses	--------|-|
deser zuiesolli taireyy	-----⌫|--|-----⌫----|-|
plain set plusc on quesni	-----⌫|-|---||--⌫---|||
con uenz dome	---⌫---||--|
compaign iehumaine	--------⌫-|------|
a dont i furent uenu plusorsprodome	-⌫---||-----|---|------|------|
quicou otiseauoi entet	--|---⌫----|----⌫--|-|
proposem enten els	--------⌫--|-|--|
deluiensiuiretde	-|--|------|-|-|
ses hueuresetplusor	--|------|-|-----|
quilo quen oisente t a	--|-|----⌫-----|-⌫||
parentetaenmi	-----|-||---|
do nt illia uoit	--⌫-|-|-|-⌫---|
compaigni eu e noient	---------⌫|-⌫-⌫-----|
alui dont se	|--|---|-|
de ste rraetdescou ri	--⌫---⌫--|-|------⌫-|
sainzantho in eslent reedeson	----|-----⌫--⌫-||---⌫--|-|--|
habitaclesis emostra a elset	--------|-|-⌫|-----||--|-|
en lor prese n ce	-|--|-----⌫-⌫-|
tuit c i lqu i la	---|-⌫-⌫|--⌫|-|
es toien ts ees bairentdeceque	--⌫-----⌫|-⌫|--⌫------|-|-|--|
nesto it empiriene ses	|----⌫-|------|-|--|
cors apesant iznemalmis	---|-------⌫-|-|-----|
lo nc seiorqu	--⌫-|----|-|
ilauoit fait en tre	-|----|---|--⌫--|
le spierreset deceq uesesuiaires	--⌫|------|-|-|-|-⌫-|--|------|
n estoit e mp alizparlelong s	|-----|-⌫--⌫---|--|-|----⌫|
ieunesneparl es painesque	-----|-|--|-⌫-|-----|--|
li auoientf aites m a in tesfoiz ainz	-|------|-⌫----|-⌫-⌫--⌫--|---|---|
estoient tu itsimenbr e	-------|--⌫-|-|-----⌫|
ausib iauetausi sain	---|-⌫--|-|---|---|
auoien t este ́	------⌫|----⌫|
etdausi grantb iauteestoitilqu	-||---|----|-⌫----|-----|-|-|
onques a uoitesté	-----|-⌫---|----|
hecomg rant miracle	-|--|-⌫---|------|
ce estoit q u	-|-----|-⌫|
ile rtdesip ure pens eeet	-|-⌫-|-|-|-⌫--|----⌫-|-|
siferm cor age c	-|---|---⌫--||
onqueporioi equil	----|--|---⌫|-|-|
uitlenrire	--|--|---|
unquespordolorqu	-----|--|----|-|
ilsoffrist	-|-------|
d emenatristec ene po rloa nge	-⌫----|-------⌫|-|--⌫|---⌫--|
quidoneeli fu st	--|----|-|--⌫-|
nesenorgueli	-||--------|
totiorse rtsapense e	------|-⌫-|-|-----⌫|
atrenpeeigal ement e t totte ns	-------|----⌫----|-⌫|--|--⌫-|
soffroitenun point l e s chosesq ui	-------|-|-|----|-⌫-⌫|-----|-⌫-|
lliaueno ientet	--|-----⌫---|-|
n ost re s ires	-⌫---⌫-|-⌫---|
s enaplusors	-⌫--|------|
etplusorsen fers dediuerses	-|------|--⌫---|-|-------|
maladies par l	-------|--||
enmitiequil au o it	------|-|-|--⌫-⌫-|
a seint anthoinequarsa parole	|----|-------|---|-|-----|
estoit boneetd o cesi	-----|---|-|-⌫-⌫-|-|
con fortoit ce lsqui	---⌫------|--⌫-|--|
est oienteten seign oitcels	---⌫----|-|--⌫-----⌫--|---|
haoient s iconcordoitcelsq ui	------|-⌫|---------|---|-⌫-|
sentrehaoie n tetsid isoit	|----------⌫-⌫|-|-|-⌫----|
eteno roittozcelsquia lui	-|---⌫---|--|---|--||--|
uenoientquenus	-------|--|--|
nulecr iature comnost re	---|--⌫-----|--|----⌫-|
seignoriesucrist	------|---|----|
quin ostre souerainsperesest	--|-⌫----|--------|----|--|
meto itauant	----⌫-|----|
etle s granz io ies d euie parmenableet	-|--⌫|----|--⌫--|-⌫|--|---------|-|
lagrant docor	-|----|----|
misericorde de nostre	----------|-|-----|
seignor qui son	------|--|--|
p roprefiln esp arna	-⌫----|--||---⌫---|
miequiporno stresalu nel	--|-||--|--⌫---|---|-||
enuoiastmor ir enterre	-------|---⌫-|-|----|
dotrino iti l etense ignotcels	-------⌫-|-⌫|-|----⌫----|---|
q u i al uiuenoie ntetlor	-⌫-⌫||-⌫-|------⌫-|-|--|
preschoitmultsouent lasainte	--------|---|-----|-|-----|
euan giletantque l iplusor	----⌫---|------|-⌫|-----|
deguerpi ssoient lesc hoseshumai nes	--------⌫------|--|-⌫----|-----⌫--|
enueno ien tha biter	-|----⌫---⌫|--⌫----|
porma neruiesolitair eet	--|--⌫--|--|--------⌫|-|
f ulicommencemenz	-⌫|-|-----------|
et ensi fude l	-|---|-|-||
ermitag e et comment li	-------⌫|-|------|-|
deserzf urentrae mpli	-----|-⌫----|---⌫---|
de sainzho messouentes f o iz auint que	-|----|--⌫--|-------|-⌫-⌫-|----|--|
sai n z anthoines t respassa	---⌫-⌫|--------|-⌫-------|
le riudeni lporaler uiset er	-|--|-|--⌫|--|---|-----⌫-|
freresquidautrepa rtmenoi ent	-----|--||----|--⌫-|-----⌫--|
el nilauoit	-|--|----|
mult de cruel sb es te s	---|-|-----⌫|-⌫--⌫--⌫|
ser pens co rco driles etd	---⌫---|--⌫---⌫-----|-||
asezqui u nques malne	---|--|-⌫----|--|-|
l ifirentet	-⌫|-----|-|
quantilesto it r epa iriezet	----|-|----⌫-|-⌫---⌫----|-|
ilauo it co nfortezles a ncie ns h ome s	-|---⌫-|--⌫------|--|-⌫----⌫-|-⌫---⌫|
sicomilsauoit	-|--|-|-----|
qui les toit	-|-⌫|--⌫---|
raisons seloncloraagessi se	------|-----|--|----|-|-|
r emet oitautrauailetalapaine	-⌫----⌫--|-|------|-||-|----|
illauoit enus	-||----|-|-|
c ostu mec eestdoroiso n s	-⌫----⌫-|-⌫|--||------⌫-⌫|
fairee tdedirea nostreseignor etde	----|-⌫|-|---||-----|------|-|-|
ren dreg raices et loenges	---⌫--|-⌫-----|-|------|
un io rauintqueli frer e	-|--⌫|----|--|-|----⌫|
desert arest oie ntetnouelement	-----|-----⌫---⌫-|-|---------|
iestoient uen upar les sarm on s	|-------|---⌫|--|--|----⌫--⌫|
sai ntanthoin es e ra sembl er ent	---⌫-|-------⌫|-⌫|--⌫-----⌫--⌫--|
deua ntluietsili proierentqui	----⌫-|--|-|-|-|--------|-||
lor commandast	--|---------|
deuiure quilne	-|----|-|-|-|
trespass esent miese	--------⌫----|--|-|
cene stoitporfaire	-||-⌫----|--|----|
lorslorrespondi	---|--|-------|
sa inzanthoines	--⌫--|--------|
mu ltseureme nt	--⌫-|-------⌫-|
dis t quele se scritu respooient	---⌫|--|--⌫|-⌫------⌫--|------|
soffrir a tozlescommand emenz	------||--|--|-------⌫----|
dedescipline	-|---------|
etc emeesmement	-|-⌫|---------|
seruit bonec hosesqu il	-----|---|-⌫----|-|-|
confortesaint	------------|
p arsai nte s	-⌫-|---⌫---⌫|
parolesliunsa saut res	------|-|--|-⌫|---⌫--|
et ce queuos dites et fait es	-|-|--|--|----|-|----⌫-|
distli sainz homme	---|-|----|----|
faites a s auoirsicomauostre	-----||-⌫----|-|--||-----|
pereetieuos enseignerai	---|-|-|--|----------|
sicomm e m es	-|----⌫|-⌫-|
filz ce que i ai f ait	---|-|--||-|-⌫--|
p ar loncaagelipremie rs	-⌫-|---|---|-|------⌫-|
conmande m enz qu eieuosfaz a	--------⌫-⌫--|--⌫|-|--|--||
ce es t queu os	-|--⌫|--|-⌫-|
n alachiezm iedesprop osemenzque	|-------|-⌫-|--|----⌫------|--|
uos auezentrepris	--|---|--------|
a fa ire mes quilebi en a	|--⌫--|--|--|-|--⌫-||
commenciési legardeet	---------|-|-|----|-|
acr oisse sila boneoueu re	---⌫----|-|-|---|----⌫-|
a ithon oretloange	-⌫-|---⌫-|-|-----|
a dieuquarcesteu ie sie st	|---|---|----|-⌫-|-|-⌫-|
corte enuersceli	----|-----|---|
parmenablemen t ainsi	-------------⌫|----|
parlasainz	----|----|
ant hoineset puis	---⌫-----|-|---|
setut unpetit apreslor	-|--|-|----|----|--|
commenca a sarmoner	-------||-------|
m ultlongue ment	-⌫--|------⌫---|
et amos trerla uoiede	-||---⌫---|-|---|-|
menie re squebonlor	-----⌫--⌫|--|--|--|
estoitetlor	-----|-|--|
trahoit auant les	------|----|--|
aut oritezdeseu a n gi lesetle s	---⌫-----|--|--⌫-⌫-⌫--⌫--|-|--⌫|
escritur esdes profetes et l or	--------⌫-|--|-------|-|-⌫-|
di soit unc orequil se	--⌫---|---⌫--|-|-|-|
gar das sent des	---⌫---⌫---|--|
agaizaudiablequar lienemise	----|-|-----|---|-|----|-|
tresmuoit enp lu ssors menieres	--------|-|-⌫--⌫----|-------|
debestesen	-|-----|-|
ors enlions en serpenzet	--|-|----|-|------|-|
enformesde	-|-----|-|
belesdamoiseles	----|---------|
pordecoiure c eus quia la	--|-------|-⌫--|--||-|
hautecedes	------|--|
aten doient	----⌫-----|
etsilordisoitencorehemi	-|-|--|-----|-----|-|-|
frereparqua ntes me nieres	----|--|---⌫---|--⌫-----|
etsouen t lideabl e sun tuenu a	-|-----⌫|-|-----⌫|---⌫|---||
ausicomc heualierarmé	---|--|-⌫-------|----|
so rescorpionsquil	--⌫|---------|-|-|
che uachoientet	---⌫--------|-|
si amenoie ntser p e nz etb es tes	-|-------⌫-|---⌫-⌫-⌫-|-|-⌫--⌫--|
ded iuerses m enieres tantq uil	-|-⌫------|-⌫------|-----⌫|-|
aempliss oientetauir onn oi ent	--------⌫----|-|----⌫---⌫--⌫--|
totela mais on ouieestoieetqua nt	---|-|----⌫-|-|-|-----|-|---⌫-|
iel e sen telme niere	-|-⌫-⌫|-|--|--⌫----|
ie di soietantostoie a uoiece	-|--⌫---|------||-|-⌫---|-|
ditilesto ientchaciéenuoie	--|-|----⌫---|------|-|---|
par laha utemisericord edenost re	--|-|--⌫--|----------⌫|-|----⌫-|
seignoriesucrist	------|---|----|
enuntensauintiadisunautrefo iz	-|-|---|----|----|-|----|--⌫-|
