c ilqui mistcestcontee nromans	-⌫-|--|---|---|----|-⌫|-----|
ocir ent c iaxqasm ai nsloruint	----⌫--|-⌫--||-|-⌫--⌫-|--|---|
qu il e nocistrentplus	-|-|-⌫|--------|---|
biches cheuriexlie ures goupiex	-----|-------|---⌫---|------|
qui ontpar	--|--|--|
deu er slescortiex	---⌫--⌫|--|------|
danconstan tolumaintchap o n	--|------|---|----|----⌫-⌫|
likeufir ent lauenoison	-|--|---⌫--|-|-------|
de strousse rsilaporte ntcuire	--⌫--------⌫|-|-|-----⌫-|----|
nia nulqui	|||--|--|
defaimn e muire	-|---|-⌫|----|
dece uls qui	-|--⌫--|--|
ontenbosesté	--|-|--|----|
por ceont lisenesc hal	--|-|--|-|------⌫--|
alacuisinelor	|-|------|--|
queque l empereres	-----||--------|
asesueneorsdes noueles	|--|------|--|------|
cez damese tcezdamoiseles	--|----|-⌫|--|---------|
sen reuontastente sdeduire	|-|-----|-|-----⌫|------|
etcilquineuoelentciax nuire	-|--|--|-|------|---|----|
qui reco ntoientlor me ncon ges	--|----⌫------|--|--⌫----⌫--|
uos deissiez quece	--|-------|--|-|
fustsonges	---|-----|
d esmer ueillesquillor contoient	-⌫-|---⌫------|-|-|--|--------|
ilseritde ce	-|-|--|-|-|
quilmento ient	-|-|-----⌫---|
mesc estcoustume d etiexgenz	--||--|-------|-⌫|---|---|
apresn onefubeaus et genz	----|-⌫--|-|----|-|---|
lisoupe rsapre stezetcuiz	-|-----⌫-|----⌫---|-|---|
etseria nsuoiseus etrecuiz	-|-----⌫-|------|-|-----|
dequanque ferea	-|------|---||
cort couint	---|-----|
iotassez etqu antceuint	|-|----|-|--⌫--|-|---|
qu enrep arlades napesmetre	-|-|---⌫---|--|----|----|
bienfuquisensote ntremetre	---|-|--||-|--|-⌫--------|
qassezi ot uarle z etgenz	|----||-|-----⌫|-|---|
asbacins asuassiaxdargent	-|-----|-|------||-----|
donentle uecom munem ent	-----||-⌫-|---⌫-----⌫--|
o n lesrassi stsifetement	-⌫|--|-----⌫-|-|-------|
comilorent	--|-|----|
cil q uiuin d rentde lboisuene r	--|-⌫-|---⌫-⌫---|--⌫|---|----⌫|
dunepar tt uitassis	|--|---⌫|-⌫--|----|
qu il ne sontmies i	-|-|-|---|--|-⌫|
deuian de comsont liautr e	-|----⌫-|--|---|-|----⌫|
tan t en ont pris etd	---⌫|-|--|---|-||
un etdautre	-|-||----|
quiln enestmes ure	-|-||-|--|---⌫--|
li uene or	-|----⌫-|
n orent pas h onte	|----|--|-⌫---|
ore nt boe f au	---⌫-|---⌫|-|
premiermes	------|--|
as bonsausd estrempé daigres	-|---|--|-⌫--------||-----|
etpuisoi sonsetmortere ux	-|---|--⌫---|-|-------⌫-|
i liot telsdesam oreus	-⌫||-|---|--|--⌫----|
quienmeniasse nt bien c e cuit	--|-|--------⌫-|---|-⌫|---|
mesi lsouperentpar dedu i t	--|-⌫|--------|--|----⌫-⌫|
lord aintiezetlor	--|-⌫------|-|--|
uenoi s on	-----⌫-⌫-|
i otsig r antfoison	|-|-|-⌫-⌫--|-----|
fustpoures ni failli	---|-----|||-----|
m essaue zd ont sont	-⌫-|----⌫|-⌫--|---|
mal bailli	--|-----|
que ilneseuent qest mesese	--|-|-|-----||--|-----|
e insiles paistcilsroisae se	-⌫---|--|----|---|---||-⌫-|
quantilorent meng ié assez	----|-|----|----⌫--|----|
etbeut restota lor	-|--|-⌫-----||--|
pasrougeuinatostees	--|----|--||------|
quantles napesf urentostees	----|--|----|-⌫----|-----|
ilsesonttuitleu e ́destables	-|-|---|---|---⌫-⌫|--|-----|
aléioer astabl es	---|---|-|----⌫-|
e t yy cheualiersd autre	-⌫|-|---------||----|
rei oentasdezauhasart	---⌫---|-|--|-|-----|
denieraautre tre squ ayy	-----||----|---⌫--||-|
autre reson tassis	----|-----⌫|----|
cilaseschezcilalam ine	--|-|-----|--||-|-⌫--|
uieleorsadrasdermine	-------||---||-----|
uiel entparcezpauellons	----⌫--|--|--|--------|
lesd ameset	--|-⌫---|-|
lescompeg nons	--|------⌫---|
lem p ereo rs en i ssent hors	|--⌫-⌫----⌫||-|-⌫----|---|
mainamain empur lorbi a u	---||---|-|--|--|--⌫-⌫|
deuantlet refenzzpreuer t	-----|-|-⌫--|-|-|--|---⌫|
lespucelesetliual let	--|------|-|-|---⌫--|
rontla car olecommenciee	---|-|---⌫--|---------|
unedam es es tauanc iee	--|---⌫||--⌫|-----⌫--|
uestue du ne	-----||-⌫-|
coteleengr a ine	-----|-|--⌫-⌫--|
sichantece s tepremeraine	-|-----|--⌫-⌫-|---------|
c e st totlagie usenmilespr ez	|-⌫-|--|-|---⌫-|---|--|--⌫-|
u osnesentezmielesmaus	-⌫-|-|-----|--|--|---|
damesiuon tpo rcaroler	----||---⌫|--⌫|------|
remirez u ozbras	------|-⌫-|---|
sentez m i eles	-----|-⌫-⌫|--|
maus damer	---||---|
sicomge faz	-|--|-|--|
un uallez aupr euostd	-|-----|-|--⌫----||
red i tcestequinest pas	---⌫-⌫|----|--||--|--|
c estlaius desozl	|--|-|--|----||
robins enmaines	-----|------||
l a fon ta ineis or tserie	-⌫|---⌫--⌫--||-⌫--⌫|----|
desou z loliu et e	-----⌫||----⌫--⌫|
enon de u robin s e nmaine	|--|--⌫|-----⌫|-⌫-----|
belem ariete	---|-⌫-----|
cesten otpasduréyytours	----||-|--|----|-|----|
q uant lifilzauconted	-⌫---|-|---|-|----||
qui m out a moit	--|-⌫--|-⌫---|
ch eualerie	--⌫-------|
recommen c ea uoizserie	--------⌫-⌫||---|----|
mainse le u oitaaliz	---|-|--⌫-⌫--|----|
i ainonenmelot	|-|--|------|
b iaus eparaetu es ti	-⌫--|-⌫|---|-|-⌫--⌫-|
sozlaroche guion	--|-|----|----|
cu ilairaig e mesamors	--⌫|-----|-⌫|--|----|
amiesauos non	---|||--|--|
et la duchessedosteriche	-|-|-------||--------|
qu isiesto itd ebeauteriche	--⌫|-|----⌫-|-⌫|-----|----|
qenne parloitse d e	|-|-|------|-|-⌫|
r ecommencecestechanco n	-⌫--------|----|------⌫|
mainse leuala bien	---|-|---|-|---|
fete ael iz	---|---⌫-|
parc i passe	--|-⌫|----|
libru nslibiausrobins	-|---⌫-|-|----|-----|
biau s eparaepl usbiause	---|-⌫|---||--⌫-|---|-|
marchiezlafoilleetgeqieudrai	-------|-|-----|-|-|-------|
par c i passerobinsliamorous	--|-⌫|----|-----|-|------|
encorenestli h erbagesplus	----|-|--|-|-⌫------|---|
quederobinque	--|-|----|--|
tanton tch anté que i usqasliz	---|--⌫|--⌫----|--|-⌫--|-|--|
ontfetesdur erles	--|----|---⌫-|--|
se si reoede sde	-|--⌫-|----⌫|-|
ro nquer oles	--⌫-----⌫---|
troua sttelroice fustbarnez	-----⌫-|--|--|-|---|-----|
mes litense stsi atornez	--|-|---|-⌫-|-|------|
netro euemes	-|---⌫--|--|
qu ibienface	--⌫|---|---|
porces enled istetefface	--|-||-----⌫--|-|-----|
cheu aleriehuiestli iors	----⌫-----|--|--|-|---|
cele gr an t ioieetcizseiors	---|--⌫--⌫|---|-|--|-----|
durabie nyyior spassez	---|---⌫|-|---⌫|-----|
quantcil q uila uoit amassez	----|--|-⌫|-|-⌫---|------|
uoelent ra leren lor	------|--⌫--|-|--|
l ors ueno ientce mestauis	-⌫--|----⌫---|-||--|---|
si b i aupres entetsi biau d on	-|-⌫-⌫-|----⌫--|-|-|---|-⌫-|
e tioiau de mainte	-⌫|----|-|-----|
donechascunet chascun e	---|------|-|-------⌫|
damen esune	---|-⌫-|--|
nepuc ele qui noient uaille	-|---⌫--|--|-----|-----|
doi nstainzques	---⌫--|------||
etfetchascu net antdonor	-|--|------⌫-|-⌫--||---|
quilde sertsa grace	-|-|--⌫---|-|----|
itelsrois do it bi en	----|---|--⌫-|--⌫-|
tenir te rre	----|--⌫--|
qui se fet	--|-|--|
auoiretco nquerr e	----|-|--⌫------⌫|
cistassem bloit lesparlemenz	---|-----⌫----|--|--------|
po rueoirses baron sensam ble	--⌫|----|--|-----⌫|-----⌫--|
ilnesto itmie cemesam b le	-||----⌫-|--|-|-|---⌫-⌫-|
decezroi s n e	-|--|---⌫|-⌫|
d ecezb arons	-⌫|--|-⌫----|
quidonent or alor	--|-----|-||--|
rentesetpreuosteza ferme	-----|-|--------||----|
don tles t erreseti l	---⌫|--|-⌫----|-|-⌫|
so ntdestruites etil	--⌫-|---------|-|-|
le mondeauil oni	-|----|----⌫--|
c e metlesprodomesarriere	-⌫|--|--|-------|------|
etles mauues en lachaiere	-|--|-----|-|-|------|
malf et bersq esmetenbaillie	--|-⌫-|---||-|--|-|------|
q ue ia po r nulesegnorie	-⌫-|-|--⌫|---|-------|
nulsui lains n	---|--⌫----||
i erts euil a ins no n	-⌫--|-⌫|---⌫-⌫--|--⌫|
cist emperer es cistprodom	---|-------⌫-|---|-----|
lorfutoz tensadeseschis	--|-|--|---|---|-----|
deuauas sors fe soitbail lis	-|-----⌫---|--⌫---|----⌫--|
quiaimen tdeu	--|-----⌫|--|
etcriem ent ho n te	-|-----⌫--|--⌫-⌫-|
quis onoretquanqaluimonte	--||---|-|----||--|----|
li gardoie ntcome lo r iex	-|-------⌫-|---|--⌫|--|
lempereres uo loit	|--------|--⌫---|
q u e l iuilainetli bour iois	-⌫-⌫|-⌫|-----|-|-|----⌫---|
gaa igna ssent delorauo i rs	---⌫----⌫----|-|--|---⌫-⌫-|
tolistpor tresor fere	-----|--|-----|---|
carquantilenauoi t	--|----|-|-|----⌫|
il s auoit bien quetot ert	-|-⌫----|---|--|--|--|
etceliu enoit de	-|-|-|-⌫----|-|
qasonbesoig	||--|-----|
e stoittotprest	-⌫----|--|----|
etlec ha tel etleconq uest	-|-|-⌫--⌫--|-|-|----⌫---|
i lnene rent	-⌫||-|-⌫---|
segardenon	-|----|--|
r ichee t degrantnon	-⌫---|-⌫|-|----|--|
e t marc heantde gr antau o ir	-⌫|----⌫----|-|--⌫--|--⌫-⌫-|
il netrouoientbelauo ir	-|-|--------|--|---⌫-|
foir e ou ilalassent	----⌫|-|-|-------|
ne biau cheual quil	-|---|-----|-|-|
nach atassent	|---⌫-------|
porpres enterl empereor	--|----⌫----||-------|
moutli fesoient	---|-|-------|
p lus donor	-⌫--||---|
c ilpresentqu es il	-⌫-|------|--⌫||-|
le staillast	--⌫|-------|
ia nuls marchean zqui alast	-|---|--------⌫|--|----|
nesiensneautres	-|----|-|-----|
parsaterr e	--|-|----⌫|
pornulbeso igpornulegue rre	--|--|----⌫-|--|---|---⌫--|
n es oufristqu ilfust d estorbez	-⌫|-⌫------|-|-|---|-⌫-------|
t antlarrons	-⌫--|------|
auoitessorbez	----|-------|
tantrobeor sfet ess illier	---|------⌫|--|---⌫-----|
siseur comparz zmo ustier	-|---|--|--|-⌫|--⌫-----|
aloit chascunsparmi sonregne	----|-------|----|--|----|
bienuitl ihausprincese t	---|--|-⌫|---|------|-⌫|
quisi sagem ent ti nt saterre	--|-|-----⌫--|--⌫-|-|----|
or auintqu e li quens	-|----|--⌫|-|----|
auoit guerre	----|-----|
a uducdebaiu ie re	-⌫|--|-|----⌫--⌫-|
por nulauoir nepor proiere	--|--|----|-|--|------|
neuo l oitli dusd onertriue	-|--⌫-⌫--|-|--|-⌫---|----|
lempere re a la	|------⌫-|-⌫-|
lecontesi les apes a	-|----|-|--|----⌫|
etfis ttant	-|---⌫|---|
queli dusbesa	--|-|--|---|
leco ntemes cefu	-|--⌫--|--|-|-|
moutfe tbien	---|--⌫|---|
prodomquisepaine	-----|--|-|----|
depes querreenmaintem aniere	-|--|-----|-|-----|-⌫-----|
ilreuenoitarriere	-|-------|------|
a zz sienchastelsor l erin	|-|---|------|--|-⌫|--|
siert zz ior leu e z parmat in	|---|-|--|---⌫-⌫|--|---⌫-|
etli i ors	-|-|-⌫--|
eschaufauers tierce	-------|---|-----|
et ilot cheuauc hiégrant	-|-|-|-------⌫---|----|
cesachiezqu il lianuia	-|------|-|-|-|----|
uns ien uieleor	-|-⌫--|------|
quon apeleal a cort iuglet	-|-|----||-⌫|---|-----|
fist apelerpar	---|-----|--|
il ert s ageset de	-|--|-⌫---|-|-|
g ra nt pri s	-⌫--⌫-|---⌫|
ets auoi t	-||----⌫|
o i et apris	-⌫|-|----|
mainte chancon et maint biaucont e	-----|------|-|----|---|----⌫|
liuallez ertf ilz au nconte	-|-----|--|-⌫--||-⌫|----|
silapela tantque ciluient	-||----|------|--|----|
fetlempereres	--||--------|
dorg oe iloudemel an co lie	|---⌫--⌫-|-|-|---⌫--⌫--⌫--|
que tuh eztantma com pegnie	--|-|-⌫-|---|-|---⌫-----|
d ehezaitsanzmoiquit aprist	-⌫---|--|---|--|--||-----|
parle frainlep rist	--|-|----|-|-⌫---|
si sse n t	|-⌫---⌫-⌫|
f orsdelcheminamdui	-⌫--|--|-----|----|
fetl iempereresiaihui	--|-⌫|--------||-|--|
cert eseu mou t grant	----⌫-|-|---⌫|----|
aucuncontedont geme sueil	----|----|---|-||-⌫----|
mecontef e tilbia us amis	-|----|-⌫-⌫|-|---⌫-|---|
en riant lialoresmis	-|----|-||----|--|
leb razs enestresorl	-|-⌫--|-⌫------|--||
fetiln e l te ne zmie afaule	--|-|-⌫||--⌫--⌫|--||----|
u ne meruelle	-⌫-|-------|
unsb ache lers	--|-⌫----⌫---|
quidelaui nt	--|-|-|--⌫-|
ou ce ot esté	-|-|-|----|
encel echampaigneha nta	-|---⌫|---------|--⌫--|
unscheualiers	--|---------|
preus e tuailla nz	----|-⌫|------⌫-|
etsiert biausetauenanz	-|-|--|----|-|------|
moutsagecont ena nce	---|---|----⌫---⌫--|
une dameen france	--|---|-|-----|
marche de perc hois	-----|-|----⌫---|
p orr iens	-⌫-|-⌫---|
qen li meistachoi s	|-|-|----||----⌫|
nele ssastil quil ni alas t	-|--⌫----|-|-|-|||----⌫|
i ln est cheualiers sillamast	-⌫||--|---------||-||----|
qu il necuidastb ienestrerois	-|-|-|------|-⌫--|----|---|
la biautele	-|-----|-|
prisdelbarro is	---|--|-----⌫-|
a uiorqu epluse npot auoir	-⌫|--|--⌫|---|-⌫|--|----|
ce sa c hiezde fietde uo ir	-|--⌫-⌫---|-|-|-|-|--⌫-|
sifu noi e nz aue rs c estui	-|-|---⌫-⌫-|---⌫-|-⌫----|
fe t liempereres	--⌫|-|--------|
naur ai g etalent dedor mir	|---⌫-|-⌫|-----|-|---⌫--|
ca rp leust or auaa espir	--⌫|-⌫----|-|-|-|----|
sim eust coustéyy yymars	-||---|------|-|-|---|
mesc hastiaxf u sttoz	--|-⌫------|-⌫-⌫-|--|
anquenuit ainzquegient r asse	--------|------|||---⌫-⌫---|
par couentque geenco ntrass e	--|-----|--|-|----⌫------⌫|
un a ut rete lcome	-|-⌫--⌫-|--⌫|---|
sifusttotelauileen	-|---|---|-|---|-|
fustorsiresdemi	---|-|----|-|-|
niertpas ladamesan z	|---|--|-|---|---⌫|
pre uet uaillant	---⌫|-|-------|
par deuiuglet	--|--|-----|
s e ladame fu s iplesanz	-⌫|-|---|-|-⌫|------|
endroit soi com cil	------|--|--|--|
f uuai llanz	-⌫|---⌫----|
ce fust meruel lece m e s tuis	-|---|------⌫-|-||-⌫-⌫|--|
fetiu gles	--|--⌫---|
ce quegedeuis	-|--|-|----|
cilfumo utpr e uzmesc	--|-|--⌫-|--⌫-⌫-|--||
est noienz	--|-----|
auerscelid e c u icomenz	----|---|-⌫|-⌫-⌫|-----|
ad escri ur ecomelertb ele	|-⌫-----⌫--⌫|--|-|--|-⌫--|
c r ignerec ercele	-⌫-⌫---|---⌫-----|
en ond oiant aual leui s	-|---⌫----|---|-|--⌫|
aflorderoseafl o rdelis	|---|-|---||--⌫-⌫|-|--|
samble lafacedecolor	-----|-|---|-|----|
rougeur olablanchor	------||-|-------|
ifu mo ut soutilmentassise	|-|--⌫-|---------|-----|
de rien s nifup as	-|----⌫|||-|-⌫-|
entreprise	---------|
na turequ ilafisttant bele	--⌫---|--⌫|-|---|---|---|
le mon tiusq	-|---⌫|---|
ne peust len sapert rou er	-|----|--|-|--|-⌫---⌫-|
l esoilsotbeaus poresgarder	-⌫-|---|-|----|--|-------|
u airsetclersplusquen estr ubis	-⌫---|-|----|---|--||--|-⌫---|
s orci ls bi enfez	-⌫----⌫-|--⌫-|--|
lons ettretiz	---|-|-----|
non pasio ignansce stueritez	--|--|--⌫-----||-⌫-|------|
d elaboucheetle ne z	-⌫|-|-----|-|-|--⌫|
auo ittoz fezparm aiestire	---⌫-|--|--|--|-⌫-------|
nap ristp ashuisia d esc rire	|--⌫---|-⌫-|--|-||-⌫---⌫---|
qu il embel ien	--⌫||-----⌫|-|
tel me niere	--|--⌫----|
mo utp ar auoitsimplela chiere	--⌫-|-⌫-|----|-----|-|-----|
bla nchepoi trine	---⌫---|---⌫----|
i lnotsibeleiu squ	-⌫||-|-|---|--⌫--|
corsotgentbiausbrazbelesm ains	---|-|---|----|---|----|-⌫---|
nusn epeustestreuilains	--|-⌫|----|----|------|
il fuste nsacompegni e	-|---|-⌫|-|--------⌫|
tan t er tplaine	---⌫|--⌫|-----|
decor toisi e	-|---⌫-----⌫|
et de sens olagra ntb e aute	-|-|---||-|---⌫-|-⌫-⌫---|
cesac hiez uosdeu erite	-|---⌫---|--|-|-⌫----|
queleert tel com	-|--|--|--|--|
ortien feti lcest	-|---|--|-⌫|---|
mantelg ris	-----|-⌫--|
certes qu ilestbi enemploiez	-----|-|-|--|--⌫-|-------|
i e uoudr oieestreelcors	-⌫|-----⌫--|----|-|---|
mesquegemortnir eceusse	-----|-|---|||-⌫------|
c ouentque	-⌫----|--|
senfranc e amest elene tel	|-|-----⌫||--|-⌫--|-|--|
i adiexnem e	-⌫|---|-|-⌫|
mainta lostel	----|||----|
silia l ie u	|-|||-⌫--⌫|
nefustalauoie	-|---||-|---|
limessages	-|-------|
por l alerquerre	--||---|-----|
ets i l uoloitauoir	-||-⌫|-----|----|
etb onsegnor et bonami	-|-⌫-|-----|-|--|--|
t os tauro itrecou ré enmi	-⌫--⌫|----⌫-|-----⌫--|-|-|
d el ada menedi	-⌫|-⌫|--⌫-|-|-|
morr aisanz teleamie	----⌫-|---|---|---|
qe n monregnen asap areille	|-⌫|--|----|||-|-⌫------|
fet iougles	--|------|
uosditesme rue l le	--|----|--⌫---⌫-⌫-|
quenest nesipreuzne	--||--|-|-|----|-|
necheualier	-|--------|
nedamoi sele	-|-----⌫---|
qau sibeleencorenesoit	|--⌫-|---|-----|-|---|
etausipreuz	-|---|----|
s i uos dibi enque g ensai	-⌫|--|-|--⌫-|--||-|--|
etq u egenai	-|-⌫-⌫|-||-|
don énes une	---⌫-|--|--|
b eauteceliquecestenait	-⌫----|---|--|----||--|
ceditbien chascuns quilau oi t	-|--|---|-------|--|-|-⌫--⌫|
e tsisaibien c omela	-⌫|-|--|---|-⌫-|-||
quesesfreresestdehau t non	--|--|-----|--|-|---⌫|--|
moutgregnorprisen core	---|------|---|--⌫---|
quecildont	--|--|---|
g euosdi s oieo re	-⌫|--|--⌫-⌫--|-⌫-|
qui siestoit b ien entechiez	--|-|-----|-⌫--|--------|
biausamisiouglet or	----|---|------|-|
segede cepuiscertainse stre	-|-|-|-|---|-------|-⌫---|
deboneheureuos	-|---|----|--|
qua toziorsmesuosenert mi ex	-||--|---|--|--|-|--|--⌫-|
einsiioiege	----|---|-|
uossai lemanoir	--|--|-|-----|
etlater r eouilpuetmanoir	-|-|---⌫-⌫|-|-|---|-----|
tant est etpr euzet biaus	---|--|-|--⌫--|-|----|
t ient ilnecite	-⌫---|-|-|---|
nechastiaus	-|--------|
dequelrichec epueti lestre	-|---|------⌫|---|-⌫|----|
fetioug les	--|----⌫--|
o nquesnepotpestre	-⌫----|-|--|-----|
desate rreyyescuiers	-|-|--⌫--|-|-------|
puisquilfu pr imescheual i e rs	-----|-|-|--⌫---|------⌫-⌫-⌫-|
et sestet agris eta ue r	-||--|-||---|-||--⌫|
toztenz et esteetiuer	--|---|-|---|-|---|
etasoitiers de	-||--|----|-|
co mpegno ns	--⌫------⌫-|
car ses gra nz pr isetsesrenons	--|--|---⌫-|--⌫-|-|--|-----|
etsesgranz	-|--|----|
cuers et saproece	----|-|-|-----|
leporuoitsibienet adrece	-|------|-|---|-|-----|
qu ilaterreetauoiras s ez	-|-||----|-|----|--⌫-⌫-|
moutadexenluiamassez	---||--|-|--|------|
tozs esgr anzbiensfe tlemperere	--|-⌫-|--⌫--|----|--⌫||-------|
m out pu etestrel ielamere	-⌫--|--⌫-|----|-⌫-|-|---|
q u i porta filzdesihautc ue r	-⌫-⌫|----|---|-|-|---|-⌫--⌫|
bienmedeu roitonge terpuer	---|-|---⌫---|-|--⌫--|---|
aia co mpegnon	-||--⌫------|
d icomentil anon	-⌫|-----|-||--|
guill ame dedolel apele nt	-----⌫--|-|---||-----⌫-|
tuitcilqui el paisreperent	---|--|--|-|---|-------|
non pas par ce	--|--|--|-|
quel es o itso e	-|--⌫|-⌫-⌫-|--⌫|
dimoi do nt porqoi se n a uoue	-|--|--⌫-|--|--||-⌫|-⌫---|
q uil enmaint pres a un pl e ssie	-⌫|-|-|----|---||-|--⌫-⌫---|
do l eplusessa ucié	--⌫-⌫|---|----⌫----|
sonsornon quepar uneuil e	--|-----|--|--|--|---⌫|
pl us des e ns quede guile	--⌫-|-|-⌫-⌫-|--|-|----|
fet lempe rere s cefetmon	--||----⌫----⌫|-|--|--|
etsasu ercom en ta	-|-|--⌫-|---⌫--⌫||
qui si abelet	--|-||--|-|
ge nt lecors	--⌫-|-|---|
sir eel anonlienors	---⌫|-||--|------|
cedi tl inonsdelapucele	-|--⌫|-⌫|---|-|-|-----|
a mors lacuit d unee s tencele	-⌫---|||---||--|-⌫-⌫------|
decel biau	-|--|---|
n on moutpresdelcuer	-⌫-|---|---|--|---|
orliserontsachiezdu n fuer	-|-|-----|------||-⌫|---|
t otes les autrespor cesti	-⌫---|--|-----|--|----|
beneoizquicestnon	------|--|---|--|
prestres quifupar rins	-------|--|-|---⌫---|
il fu st ar ceuesqesderains	-|--⌫-|--⌫-------|-|----|
s eie fussesires defrance	-⌫|-|----|----|-|-----|
fereerrome ntentreuosyy	---|------⌫-|----|--|-|
fet iougles s ite consau tdieus	--|------|-⌫|-|------⌫|----|
ormerembeliz lapuce le	-|-|-------|-|----⌫-|
