s eignoursoez chancon	-⌫-------|--|------|
apre slire spon d i parmouttr es	----⌫|-|--⌫----⌫-⌫|--|---|--⌫-|
grantfointie	----|------|
sire morse stli dusenterrede	---|---|-⌫-|-|--|-|----|-|
oumoutierd u	-|------|-⌫|
sepulcrelanfoi	-------||----|
deu an tlematreautela npieresozt e rrine	---⌫--⌫|-|----|----|-⌫|----|----⌫-⌫----|
t ant cefiaanmo ietan m acompaignie	-⌫--|-|--|-|--⌫|-|-|-⌫|---------|
mel a saitson filetsafame	-|-⌫-⌫---|--|--|-|-|---|
et sat err eet	-|-|-⌫---⌫|-|
cesfie z parmoutgrant d ruerie	--|---⌫|--|---|----|-⌫-----|
or lame dounezsire si	-|-|-|-----|---|-|
ferezcortois i e	----|-------⌫-⌫|
di tliroisia i gran tme ruel l e	--⌫|-|---||-⌫|----⌫|--⌫----⌫-⌫|
encor na ueziusmis ne paum es n	----||-⌫--|--|--|-|----⌫-||
nese i or néunm ois	-|--⌫-⌫--⌫--|-|-⌫--|
puisqueuousreuenistez	------|---|---------|
sidemandeziai fa mmeseuousu ientdefo lie	-|-------|--|--⌫--|-|---|-⌫---|-|--⌫--|
la da me de	-|--⌫-|-|
biauuiex ne po ezauorm ie	-------|-|--⌫-|---|-⌫-|
eleestu ostre commere	--|--|-⌫----|------|
bi enlauo n soidire	--⌫-||---⌫-⌫|-|---|
ansamble ceseroitdesuerie	-------|-|-----|-------|
c armilonsonanfantdonna stesbapstitire	-⌫-|----|--|-----|-----⌫---|---------|
foiq uedo ideidithugue sl e mien	--|-⌫-|--⌫|--|--|-----⌫|-⌫|---|
p eremeime s	-⌫--|-----⌫|
m aisporamo rdou pereouieoucompaign ie	-⌫--|--|---⌫|--|---|-|-|-|--------⌫-|
fasoeie a ufilamor etdruerie	----|-|-⌫|--|---|-|------|
es tpar uousdo nnee et	--⌫|--|---|--⌫---|-|
ieuous donraidorfin	-|---|-----||-|--|
une mulechargie	--|---|------|
etquant charl eslantant deuers	-|----|-----⌫-||-----|-----|
hugo nseplie	----⌫|-|---|
souuan t lauezoiet	------⌫||---|-|-|
parmainte foie	--|-----|---|
g rantauor	-⌫---|---|
e stgranstrais onsbati e	-⌫-|----|-----⌫--|----⌫|
tant li a don n éhugues argentorde	---|-||---⌫-⌫-|-----|-----|-|-|
queladamelidonne etbauui auz	--|-|---|-|----|-|-----⌫--|
par deisignorbarono i l	--|--|-----|----|-⌫||
a uezco nter	-⌫--|--⌫---|
qu e p or auorf ait lantraison	--⌫|-⌫-|---|-⌫--|--|------|
et safoiamantir et home pariurer	-|-|--|------|-|---|-------|
se fit hug ueslifauscui	-|--|---⌫--|-|---|--|
dex puit crauanter	--|---|--------|
a orson d ebauuiaz son comperesonp er	|----|-⌫|------|--|------|--|-⌫-|
queen ih erusa lem duitco ndureet	--|-|--⌫-----⌫--|---|--⌫----|-|
por auorlauanduaupaien sdoutremer	--|---|||----|-|-----⌫||-------|
re pariés e stanfranceauroi	--⌫------|-⌫-|-|-----|-|--|
charlonparler	------|-----|
tantliuautdesonor balieretpre santer	---|-|---|-|--|-|-----|-|---⌫-----|
lif era ladame mau lgre li espo user	-|-⌫--|-|---|---⌫---|-|----⌫---|
et lidonra bau u aizet	-|-|----|---⌫-⌫--|-|
l annor agarde r	|----||-----⌫|
maintena nt analerentsusles che uaus monte r	--------⌫-|-|------|--|--|---⌫---|-----⌫|
abiauuaizne fin e rent	|-------|-|---⌫-⌫---|
charles martiaus	------|-------|
o l ui porlo uplait	|-⌫-|--|--⌫|----|
an al erentl esnoual esconter	-|--⌫----|-⌫-|-----⌫-|-----|
qu e h ugue sdebaucare	--⌫|-⌫----⌫|-|------|
reparedo ut re mer	-----||-⌫--⌫--⌫--|
tuitcuiderent d	---|--------||
or sonquilde us tretorner	--⌫--|-|-|--⌫--⌫|-------|
etissent debauuaizpo rioe demener	-|-----|-|------|--⌫|--|------|
do uducors on dem and en t quetantlessiaut a mer	--⌫|--|---⌫-|---⌫---⌫--⌫|--|---|--|----|-⌫--|
huguesnelor do igna	-----|-|--|--⌫---|
et lafrancheduchesseleprit	-|-|------|-------|-|---|
pordei sirecompe res	--|--|---|-----⌫--|
nemedeuezceler	-|-|----|----|
lidu smessi res que	-|--⌫|--|--⌫--|--|
nou uoiret orner	|-|--|---⌫----|
ra nde zle mo i compe recar ie	--⌫---⌫|-|--⌫|-----⌫-|--|-|
etuosleme deustes a	-|--|-|-|------||
deu foir amen er	--|--|-⌫----⌫-|
dam ece a dit hugue sia mais nelou	---⌫|-||--|-----⌫|--⌫---|-|--|
orsonscuitantdeuoeamer	-----|--|---|----|---|
ou r egne desu lie	-|-⌫---|-|--⌫--|
la leuid eui er	-|-|-|-⌫---⌫-|
oumotiersai ntse pulcrele fiieanterrer	-|-----|---⌫-|--⌫-----|-|-|-|-------|
lasaitm oices te terreetl	-----|-⌫-|---⌫-|----|-||
annoragarder	----||-----|
etso nanfant milon fer ai ie a dou ber	-|--⌫|-----|----|---⌫-|-|-⌫---⌫--|
etuousmaemmes dameamoll ieres po ser	-|---|------|---||----⌫--|--⌫--⌫--|
uoscilesant reseignesque ie uo sueul	--|-|--|---⌫--------|--|-|--⌫|---|
l aniaullia moutré as ondoi	|-----|-||------||-⌫-|--|
quil t oli	-|-|-⌫--|
soncom perequa ntd e lui diut se u rer	--|---⌫---|---⌫-|-⌫|--|---|--⌫-⌫--|
quantleuoitla du chessesi ap ri s a	----|-|---|-|--⌫-----|-||-⌫--⌫||
adithugues anuers	|--|-----|-----|
moi antandez	--|-------|
morsestorsde b iauua iz do n	---|--|--|-|-⌫-----⌫-|--⌫|
iesui airez	-|--|----|
ia maismaudresde luin e ser a recouurez	--⌫---|------|-|--|-⌫|---⌫|--------|
d roitani e rusalemo udexfud esinez	-⌫---|-|-⌫-⌫------|-⌫|--|-|-⌫-----|
i leclanfoiiean tre	-⌫--||----|-|--⌫--|
lesde usautez	--|--⌫-|----|
siuosm andelidusquamarimepre nez	-|--|-⌫---|-|--|-||---|-|---⌫--|
iesuico ins debe rrimenans e t	-|--|--⌫--|-|--⌫--|-----|-⌫|
bi e n maintarai later re etle s uosheritez	--⌫-⌫|--------|-|---⌫-|-|--⌫|--|------|
ato zi orsuosferai	|--⌫|-⌫--|--|----|
toutesu os uolentez	-----|-⌫-|-------|
ci lesancei gnes seuos	-|--|-----⌫---|-|--|
nema n creez	-||-⌫|----|
l anelor sonlibale	|---|--⌫--|-|---|
quilliauoit	-|-|-|----|
e trespondila damece	-⌫|-------|-|---|-|
connoi ieasez	-----|-|---|
b al aimonse ignourquantd emoifuseur ez	-⌫--⌫-|--|--⌫-----|----|-⌫|--|-|----⌫-|
etalaausepu lcre da medeuaore r	-|--|-|----⌫---|--⌫----|----⌫|
orpremetdeu undonlero i	-|-----|--|-|--|-|--⌫|
demaies tei	-|-----⌫--|
qu enepanr aimariiamai s	--⌫|-|----⌫-|---|-----⌫|
por amourmo nseignouraurai le	--|----|--⌫|-------|----|-|
chi efuo ile ́	---⌫-|--⌫---⌫|
et norrir aim il on a n ces gra nsorfa ntez	-|------⌫-|-⌫--⌫-|-⌫|--|---⌫-|----⌫---|
etseli plaisestoitiaensinc amenez	-|-|-|----|-----|-|-----|-----|
huguesneuouspanr oe porquanqueuou saue z	-----|-|---|----⌫-|--|------|---⌫|---⌫|
queuo us estesa n foi mescomperes iurez	--|--⌫-|----|-⌫|--|--|-------|----|
demonenfantmilon siconbien	-|--|-----|----|-|--|---|
nedoitl unsauo i rlautrec	-|---||--|---⌫-⌫||----||
dameditlitraitesanuer	---|--|-|------|----|
mo iantandez	--⌫|-------|
i ei ur eraisor sainsseuos	-⌫|-⌫--⌫---|--|----|-|--|
lecomm ande z	-|----⌫----⌫|
ouian feraiiuis e	-||-|----|----⌫|
uoanttot le barne	----|--|-|----|
quemilesne recutparmoi crestiente	--|----|-|----|--|--|---------|
amordorso n loutieg	---||----⌫|--|---|
ieanc h ierte	-|-|-⌫-⌫----|
an tandrefis aupeupl eque defonsl	--⌫-----|--|-|-----⌫|--|-|---||
dame cedit l i	---|-|--|-⌫|
ro ishugon crore	--⌫-|----|----|
huguesestmou t pro dom bienpu e testreu erte z	-----|--|---⌫|---⌫--|---|--⌫-⌫|----|-⌫----⌫|
etieleuo sco mmantque	-|-|-|--⌫|--⌫----|--|
uosh ugon prenez	--|-⌫---|-----|
sir eceditladame i aim ara n	---⌫|-|--|-|---|-⌫-|-⌫-|-⌫|
nelo uprandroe porquanqueuo s auez	-|--⌫|-------|--|------|--⌫|---|
di sireroisetsi est uer itez	-|---|---|-|-|--|---⌫---|
q uei lamonsi gnour	-⌫-|-⌫||--|--⌫----|
murtri o uan e rbé	-----|-⌫|--⌫-⌫---|
ouuandupor a uoira de niersmenoez	-|----|--|-⌫---||--⌫----|-----|
dameceditliroisor	---|-|--|-|---|-|
neuo sdemantez	-|--⌫|-------|
hugonuosconuient panre	----|--|-------|----|
sianaurezmalgrez	-|-|----|--|---|
dam ecedis tliroisicelasi e ́s	---⌫|-|---⌫|-|---|--|----⌫-⌫-|
iluosconuient hugon amari	-|--|-------|----||---|
qu i saurabie n	--⌫|----|---⌫|
lesterresetl ou pais	--|-----|-|-⌫-|---|
certes ce ditladame	-----|-|--|-|---|
ce n iert iaamongre	-||---|-||--|--|
parde charle s	--|-|------⌫|
baus ire pichie faitesmorteil	--|-⌫--|-----|-----|------|
quantuou snous uolezfaireanunlit	----|---⌫|---|----|----|-|-|--|
nequiera uorm ari	-|----|-⌫--|-⌫--|
antrestot mon ae	-|------|--|-|
nefaitespas iteilplaitporauoirandur e r	-|-----|--|----|----|--|----|-----⌫-⌫|
uo uslaure z dit lirois n onpoe z	--⌫-||----⌫|--|-|---||-|---⌫|
etcha rlesl	-|---⌫---||
asasiesanplusde	|----|--|---|-|
neplusnela lasaito umotierdemorer	-|---|-|-|-----|-⌫|-----|------|
autresd r a sporlibi en ator n e r	-----|-⌫-⌫-⌫|--|-|--⌫-|----⌫-⌫-⌫|
anmoignenta force	---------||----|
ahugo nesposer	|----⌫|------|
donc ueisiés b or ioiz	---|-------|-⌫--⌫---|
etb oriosesplorer	-|-⌫------|-----|
etl icris et la noxeco mme ncaaleuer	-|-⌫|---|-|-|---|--⌫---⌫--||----|
porl amoralada mmec	--||---||-|--⌫--||
a nsiu oentmener	-⌫--|-⌫---|----|
uousmilonlouiantibacheler	---|----|--|----|-------|
re parant debercerporsoncors deporter	--⌫-----|-|-----|--|--|---|-------|
et guin eman tz ces matrescu iie suspuit sauuer	-|----⌫----⌫-|--|-----|--⌫|--⌫--|---|-----|
qu antiloi la nose	--⌫--|-|-|-|---|
b rutdemener	-⌫--|------|
demandaque ce estetlanli	------|--|-|--|-|--|-|
iaiest uostre p arensreparié s doutremer	--|--|-----|-⌫----|--------⌫||-------|
et est mors uostre p eresliiantisb achelers	-|--|---|-----|-⌫---|-|-----|-⌫-------|
et meigneuos tre	-|-----|---⌫--|
meremalgre li	---|-----|-|
ual esl antent color prita	---⌫-||-----|----|---||
dougrantqueil otcommancaa	--|----|--|-|-|-------||
et conilcered recesi comman c e ac rier	-|--|-|-|---⌫---|-|------⌫-⌫||-⌫---|
he guinem ant baumatreconmen tporai	-|------⌫--|--|----|------⌫|----|
comment poraiteil	------|----|---|
duelsofrirne	---|-----|-|
que ieu oimon	--|-|-⌫-|--|
parinmamer eesposer	----|-|---⌫|------|
bi ensaimonpereaitmort quant	--⌫-|--|--|---|--|---|----|
ne uo ireto rner	-|--⌫|----⌫---|
maisparicel apotr equel andoitaorer	---|--|---|-----⌫|--|-⌫-|---|----|
iei raice st mariage chalongier	-|-⌫--|--⌫-|------|---------|
sehugu eslitraites nel	-|----⌫-|-|------|-||
uiaut lasierester	----|-----|----|
et iesu cr iscedone que	-|---|--⌫-|-|---|--|
ie soeado ube z	-|--|---⌫---⌫|
ie licuitcestotrage	-|-|---|---|-----|
moutbienguerredouner	---|---|-----------|
cil cortaun	--|---||-|
palisqueuitlezluiester	----|--|--|--|--|----|
sianau oitun peilesrach ie ́ et	-|-|--⌫--|-|---|------⌫--⌫|-|
anuaitasnocespance desp ero nn er	-|---|-|----|----||---⌫---⌫--⌫-|
pa rd eforslemotier	--⌫|-⌫----|-|-----|
sa nuait dr oit	|-⌫|---|--⌫--|
sameresongrant dueldem ener	-|---|--|----|---|---⌫---|
si gnororsondurementregrater	--⌫---|----|-------|-------|
etquantm ilonsl antantlesanccuide desuer	-|----|-⌫----||-----|-|---|----|-----|
parmoutfiermaut ala n tsepr ita escrier	--|---|---|----⌫---⌫-⌫|-|--⌫-||------|
parde i hugues parin s	--|--⌫|-----|-----⌫|
ne d eus ié s panser	-|-⌫---⌫---⌫|-----|
comparaged eusiésmiauzgarder	--------|-⌫------|----|-----|
traitor uousuolezdemener	------|---|----|------|
queuolezuoco mmereamolierespos er	--|----|-|--⌫----||-----|-----⌫-|
c auezfaitd e monpere f aus trai te s	|---|---|-⌫|--|---|-⌫--|----⌫--⌫|
p orquoinelauez	-⌫-|---|-||---|
uousarier esramené	---|-----⌫-|------|
uaglous ce adithugu e s	-|----|-||--|----⌫-⌫|
dextepuetmal doun er	--|-|---|--|----⌫-|
tu n espasmes fi liausbienlep uisafier	-||-|--|--|--⌫----|---|-|-⌫--|----|
et mor se stli	-|---⌫|-⌫-|-|
tiensp eres	----|-⌫---|
ouregne doutremer	-|----||-------|
me uiausseruir ethon or er	-|----|-----|-|---⌫--⌫-|
ietedon raites arme s	-|-|---⌫--|--|----⌫|
et si te pouraisbien doutoute n	-|-|-|------|---|--|---|-⌫|
hegl ouscea	-|--⌫--|-||
di tmiles con aso rfol panser	--⌫|----|--|-|-⌫|--|-----|
milesh a ucele	----|-⌫-⌫--|-|
peil meruill ou setquarre ́	---|-------⌫--⌫|-|------⌫|
que porle roi	--|--|-|--|
charl onneuot lasie rester	-----⌫-|-|--|-----⌫|----|
sicuida sonparinoci ere et crauanter	-|----|--|----|---⌫--|-|--------|
hugueschosileco ppri tsoi	-----|----|-|--⌫|---⌫|--|
atresto rner	|------⌫---|
uoi tle roiau pie liest	---⌫|-|--|-|--|-|--|
quel ifaceuaniance quemoutlidoit	--|-⌫|---|-------|--|---|-|---|
q uantleuoitcharlemain eslesanc cuidedes ue r	-⌫---|-|---|----------⌫-|-|---|----|---⌫--⌫|
il coruta milon aupons lauoitcouuré	-|----||----|-|---||----|------|
iantilbaro n lialerentoster	-----|----⌫|-|------|----|
sorlo r mantiausle mucentpor	--|--⌫|-------|-|-----|--|
luiase gurer	--|---⌫----|
signorcelorditmilesne me	-----|-|--|--|----|-|-|
lasie ́ stuer	-----⌫-⌫|---|
r emambre uousdorsonqui tantuo us sia u t	-⌫------|---||----|--|---|--⌫-|---⌫-⌫|
ne lasie ́ss onanfanthonnirne ue rg onder	-|-----⌫-|-⌫-|-----|-----|-|--⌫--⌫----|
quantlibar on	----|-|---⌫-|
l oirentsi fatemant parler	|-----|-|-------|-----|
por amordoufra nc	--|---|--|---⌫-|
duc commancenta plorer	--|---------||-----|
lampereorcharloncommance nt ablasmer	|-------|------|--------⌫-||------|
annondei am pereres nou deusiés	-|--|--|--⌫------||-|-------|
neaun teilanfa ntco recie rnair er	-||-|---|----⌫-|--⌫-----⌫||---⌫-|
c illipoisedo rsonnusnela n	|-|-|----||-⌫---|--|-||-⌫|
doit blasmer	---|------|
faiteslesno cesfarel aisi é s milo n ester	-----|--|--⌫--|---|-⌫----⌫--⌫|----⌫|----|
ned euezces	-|-⌫---|--|
parolles an ulmalatorne r	-------||-⌫-|--|------⌫|
lorsseretraitlirois lasaitmilon	---|-|------|-|---|-----|----|
etlianfass	-|-|----||
an cortsi commanceaplorer	-|---|-|-------||-----|
an non dei ampereresnondeusiezpa n ser	-|--|--|--------||-|------|--⌫-⌫--|
que cim e uolezmanme re	--|-|-⌫|----|--|--⌫-|
san s ong reimari er	--|-⌫-|-⌫--|----⌫-|
et moiuolezdo u toutuiuant d esheriter	-|--|----|--⌫|---|-----|-⌫--------|
uous faitesgran tpic hie	---|-----|----⌫|---⌫--|
sanfatesablasme r	|-|----||------⌫|
etia fu ors m esp eresli ianti s	-|-|-|--|-⌫-|-⌫---|-|-----⌫|
qui s oloituostre enc eigneanbatail l eporter	--|-⌫----|-----|---⌫----|-|------⌫-⌫|-----|
etsi uousfitborgoigneet ra ndr e et	-|-|---|--|--------|-|--⌫---⌫|-|
dont nefu cont re uoushuguesau contente r	---|-|-|----⌫-|---|-----|-|--------⌫|
eformentsepenadeuou s des heriter	|------|-|---|-|---⌫|---⌫------|
fut orsmes	--|--|--|
pere sianeuous	----⌫|-|-|---|
quierceler	----|----|
uousnausiésiafrancea nulioragarder	---||------|-|-----||--|--||-----|
traitornefelon ne	------|-|----|-|
deusi é s ame r	-----⌫--⌫|---⌫|
ilamotrimo n pere ieledi	-||----|--⌫|---|-|-|-|
sa nfa uc er	--⌫|--⌫--⌫-|
ma m er eli	-|-⌫--⌫|-|
fe ro iz esp oser	--⌫--⌫-|---⌫---|
mais ieleuous	---|-|-|---|
defan u oanttotlebarne	----|-⌫---|--|-|----|
ia anpaisni sera sepui s	-|-|---|||---|-|---⌫|
arm esporter	---⌫-|-----|
certes iene s uipasdesnuesauol ez	-----|-|-|-⌫-|--|--|---|----⌫-|
ancois s ontq uinze	-----|-⌫--|-⌫----|
conte tuit demonparan tei	----|---|-|--|-----⌫--|
quantiloro nt le tort que uous ci	----|-|---⌫-|-|---|--|---|-|
ne laqu itereizp orqu anqu euousauez	-||---⌫------|-⌫-|--⌫----⌫|---|---|
s irea d ithuguesauez uousescouté	-⌫--||-⌫-|-----|---|---|-------|
parmo nchie fceil	--|--⌫|----⌫|-|-|
uits oiezase g urez	--|-⌫---|---⌫-⌫---|
ancor u ous	----|-⌫--|
torrafrance etlesuos her itez	----|-----|-|--|--|---⌫---|
seuous ma nuolezcrore	-|---||-⌫|----|----|
uousle demambrerez	---|-|----------|
charlem ainesl antant lesa nc c uidedesuer	-------⌫----||-----|-|--⌫-|-⌫---|-----|
hug uescedit li roi sor lelasiez	---⌫--|-|--|-|---⌫|-|-|-----|
iaiporl uine	--|--|-⌫-|-|
larois ladameaesposer	-----|-|---||------|
guinemant dit	--------|--|
f aitesles nous	-⌫----|--|---|
ouieli fera iiai toz lesmam brezcope r	-|-|-|----⌫|--|--|--|---⌫---|----⌫|
guinemansbi e n le	--------|--⌫-⌫|-|
ueulcreanter	---|-------|
ne lioroish u imaisu nsol mot etsonner	-|-|----|-⌫-⌫----|-⌫|--|---⌫-|-----|
maisie seroeprezo randroitdemontrer	---|-|----|---|-⌫-------|-|------|
q uehugues a orsonmonsignoran er bei	-⌫-|-----||----|--|-----|--⌫--⌫--|
ouuanduporauorou mortouafolé	-|----|--|---|-|---|-|-----|
u oirditdosde clermontlan an deuroitparler	-⌫--|--|--|-|-------|--|-|------|-----|
s ign orditla mpere res totce la sié sester	-⌫---⌫-|--||-⌫-----⌫--|--|-|--⌫----⌫|----|
guinemant sondamoiseilpri ue ́	--------|--|--------|---⌫--⌫|
guinemansquant ilpuetdoit	--------|----|-|---|---|
milon c onforter	----|-⌫-------|
etcharlesfait la	-|------|---|-|
dameaumout ier	---|-|----⌫--|
e nsq ue llefutuen uetroi sfoisl estutpasmer	-⌫---⌫|-⌫--|--|---⌫-|----⌫|---||----|-----|
et qu antuintau mous ti ersi	-|--⌫--|---|-|----⌫--⌫-|-|
neuo lt creanter	-|--⌫-|-------|
enscommencaleduc or sonare g rater	--|-------|-|--|--⌫--||--⌫-⌫----|
ouelleueuleou	-|---|----|-|
noni lec lifontiurer	--|-⌫--|-|---|----|
queuous diroep lus lailafontesposer	--|---|----|-⌫--|--|-|---|------|
etanapreslanf ontdou mousti er	-|-|----||-|-⌫--|--|------⌫-|
ilontdem andél	-|--|---⌫----||
acient a udigner	-----|-⌫|-----|
liarpeouri c hante n tet	-|------||-⌫-----⌫-⌫|-|
u iolentiugler	-⌫-----|-----|
miles nestpas asn oces caril	----||--|--|-|-⌫---|--|-|
n i o sealer	||-⌫-|---|
ainsfuauec sonmatre	---|-|---|--|----|
cui ildo ittantamer	--|-|--⌫-|---|---|
iusqualamienu itn efina	----||-|-----⌫-|-⌫|---|
ma i s g uinem ansce sm atres leu areconforter	--⌫-⌫|-⌫-----⌫--|--⌫|-⌫----|-|-⌫|----------|
damoi siausdo u s amisicela is iez ester	-----⌫----|--⌫-⌫|---|--|--⌫--⌫--|----|
ens mangiezc	--|------||
il u ousplaitque	-|-⌫--|----|--|
pr ezestli soupers	--⌫-|--|-|------|
sirecea ditmilestot	---|-||--|----|--|
c elasiésester	-⌫|------|----|
tei l duel a i demame req ue	---⌫|---|-⌫|-|-|--⌫-|-⌫-|
nepu is reposer	-|--⌫-|------|
etde monpereorsonque hugue	-|-|--|---|----|--|----|
a ennerbei	|-------|
anfuraiquantili ert aiorné	------|----|-|-⌫--|------|
nepuiscestecon tree ueoirne esgarder	-|---|----|---⌫---|----|-|-------|
guinemanztoutcelasiés est er	--------|---|-|------|---⌫-|
enco rp ourezla honte	----⌫|-⌫----|-|----|
se de xplaist amender	-|--⌫|-----|------|
or laronsde mil onl ouiantilbac heler	-|-----|-|---⌫-|-⌫-|-----|---⌫----|
c il quifu rentaunosses sont assisau d iner	-⌫-|--|--⌫---|-|-----|---|----|-|-⌫---|
doumaingier ala dameneconuin t pa spar ler	--|-------||-|---|-|------⌫|--⌫|---⌫--|
car ellene maingaitpor lesmambrez cop er	--|---|-|-------|--|--|------|---⌫-|
ains sefaitan sa cha mbretot	---|-|---|-|-|---⌫---|--|
an plor antp or ter	-|----⌫--|-⌫--⌫--|
en unlitse	-|-|--|-|
co u ch a prit soiagaimenter	--⌫-⌫--⌫|---|--||--------|
etorsonde ba uuaizsonmari regrater	-|----|-|--⌫----|--|---|-------|
sa matrechamberier ela	-|----|----------⌫|-|
pritaconforter	---||--------|
e tli ditbelle dametotcelasi és	-⌫|-|--|----|---|--|-|----⌫--|
i aiauezuous oip ar mainte	-⌫-|---|---|-|-⌫-|-----|
f o isconte r	-⌫-⌫-|-----⌫|
cannegaai nne	|-|-|----⌫--|
trop grant duelmen er	---|----|---|---⌫-|
taisfol editlad amenepuis	---|---⌫|--|-|-⌫--|-|---|
antro blier	-----⌫----|
cel ui qui me soloitsigr anthon ourporter	---⌫-|--|-|-----|-|--⌫--|---⌫--|-----|
com m antpourai cestuisof rirn e andure r	---⌫-⌫--|-----|-----|---⌫--|-⌫|------⌫|
q uiauanduo rsonaupaien sd	-⌫-||----|-⌫---|-|-----⌫||
chamberiereiai ne lou	----------|--|-|--|
ieuousdonra iteil	-|---|-----⌫|---|
herb ebien lepuisa fier	----⌫|---|-|---|-⌫---|
que iac hetailautr ier d	--||--⌫----||----⌫--||
un mar c hean td esc ler	-|---⌫-⌫----⌫||---⌫--|
parartdeni gromanc elafis ciconiur er	--|--|-|--⌫-------⌫|-|--|-|------⌫-|
onque sdexnefitfamean	-----⌫|--|-|--|---|-|
cestsiclemort el	---|----|----⌫-|
senauoitsonma ritouc hié	|-|----|--|--⌫-|----⌫---|
queiamaislap oustde son c orsuioler	--|-----|-|-⌫---|-|--|-⌫--|-----|
li gesirneali con uerse r	-|----|-||-|---⌫-----⌫|
iemeimesmescors l ai	-|-----|--|---||-|
bienfaiteesp rouer	---|----|---⌫----|
s amprezuo usandonraiquant deur a aue sp rer	-⌫-----|--⌫-|-|-----|----|----⌫|---⌫--⌫--|
qua nt hugues u ousuoudrabasier etacoler	---⌫-|-----|-⌫--|-----|-----|-|-----|
n aurapaor d anue rsuousabi ter	|---|---||----⌫-|---|---⌫--|
tuitli faudront li	---|-|-------|-|
mambresilou u err oistrambler	-----|-|--|-⌫---⌫--|-------|
etceicen etuorsqueieuo us	-|-|--||-|---|--|-|--⌫-|
ai con té	-|---⌫--|
fate sdemain toz lesmambres	----⌫|-----|--|--|------|
bel le d itladu c hes se dexte pu isseo norer	---⌫-|-⌫-|-|--⌫-⌫---⌫-|--|-|--⌫---|-⌫----|
s auciforssont leshe rbes conie	|---|---|---|--|--⌫---|--|-|
oicon t e r	-|---⌫-⌫-⌫|
lo uma ti n	--⌫|--⌫--⌫|
teferai t roismarsd	-|----|-⌫---|---||
argentliu rer	-----|---⌫--|
cellealaales crins ila uoi t	----|--|||--⌫---|-⌫||-⌫---⌫|
deferm e ́	------⌫-⌫|
le rbeforstratequi	|-⌫--|---|----|--|
tant faitalouer	---|---||----|
etu int deuan tsa	-|-⌫--|-----⌫|-|
damecelle herbe p resanter	---|----|----|-⌫-------|
lac orssed epar tiquant uintal auesp rer	-|-⌫--|-|-⌫----⌫-|----|---|||-----⌫--|
ch arlesuint	--⌫----|---|
anla chambreh ug onifai tmener	-|-|------|-⌫--⌫-||---⌫|----|
puisus entdelean shugon font	---|--⌫--|-|----⌫|----|---|
c e couche conques n onp outamer	-⌫|-----||-----||-|-⌫--|---|
li glossetrait	-|---|-|----|
ue rslip or	--⌫-|-|-⌫-|
s oncors d eporter	-⌫-|---|-⌫------|
tint lerbesil	---||---|-||
anaad ese ́	-||--⌫---⌫|
lors samblaahugonquant	---|-----||----|----|
ladiu ta presser	-|---⌫|-⌫------|
queli cuerslifallit sicomman ceat ramb l er	--|-|----|-|-----|-|------⌫-||-⌫----⌫-⌫-|
etquanthu guesco	-|----|--⌫---|-|
uoitsicu ide forcener	---|-|--⌫--|-------|
fiermautal antlanprit aapeler	---|------⌫--||-|---||-----|
piecea que meuoleztraireta ncha nter	----||--|-|----|----|-|-⌫----⌫---|
nepuis a uostrecorsior	-|---||-----|---|--|
nenuitrepo s er	-|---|----⌫-⌫-|
ie uo us feraardo rnan	-|--⌫-|---|----⌫||-|
p oezesch ap er	-⌫--|----⌫--⌫-|
moutfuhugues irieztouta	---|-|-----|----|---||
le sancmué	-|---|---|
adeladame fa te sauol ante	|-|-|---|--⌫-|-|---⌫---|
illaitla nuitbatuecellela itramponné	-||--|-|---|----|----||-⌫-|--------|
huguesce dit ladame	-----|-|--|-|---|
moutauez folpancei	---|---|--|-----|
querequ erezde dui ti ene	--|----⌫---|--⌫---⌫|-⌫|-|
uousdoiamer	---|--|---|
fl ebesest esetuiauset	--⌫---|---⌫-|-|----|-|
demout grantae	-|---|----|-|
quan t hugues l aoil esanccuide	----⌫|-----|||-|-⌫|---|----|
lorsla fiert	---|-|----|
desonpongledos	-|--|---|-|--|
li ato rné	-||--⌫---|
e tquant ui ntaumatinqueil	-⌫|----|--⌫-|-|----|--|-|
quehu guesce leuae tson	--|--⌫---|-|---|-⌫|--|
corsaparé	---||----|
etladameautreci q u ilecue rotire ́	-|-|---|------|-⌫-⌫|-|---⌫|-|---⌫|
i lnot agechaudeceest lau eritez	-⌫||-|--|-----|-|--|-|-⌫-----|
neaniaulne bouton negarne mantdou né	-|-----|-|-----|-|-----⌫---|---⌫--|
unpelico nuest ide r o u tet	-|------⌫|----⌫|--⌫-⌫-⌫-⌫|-|
et parde sousunch ain sene	-|--|--⌫---|-|--⌫---⌫-|-|
adocs euai t	---|-⌫|---⌫|
seoir pard el ez un pilei	----|--|-⌫--⌫-|-|----|
et ditliun s alautrecia	-|--|-|--⌫|||----|-||
charlessanretornesi con ilotdig né	------||-|------|-|--|-|-|---⌫--|
hu gues le conuoaqu i ian euoede i	--⌫---|-|-----|--⌫|-|-⌫|--|--⌫|
oului cent ba rruiersquimoutontmal	-|--|---|--⌫------|--|---|--|--|
part trait le	---|----|-|
roi a un con soil priué	--||-|---⌫---|-----|
sire ceadithugu esiesui maladoubez	---|-||--|----⌫-|-|--|--|------|
mileslimi ensfilat res mait moutcoli	----|-|--⌫--|-----⌫--||--|---|---|
huguesceditl i roi s onques	-----|-|--|-⌫|---⌫|-----|
