p uisloradist qu	-⌫--|--||---|-|
que langres encitesfais o it	--||-----|-|----|----⌫-⌫-|
siregardade deriersle i	-|------|-|------|--⌫|
contreque liangreoutdist	-----|--|-|----|--|---|
etnostres s ireslamua	-|------|-⌫---|-|--|
enpierre de	-|-----|-|
sel tout la	--|---|-|
s anuinte nla	|-|---|-⌫|-|
petiteetbr ies	-----|-|--⌫--|
seg or nonm é	---⌫-|----⌫-|
ets afanmequi	-|-⌫|----|--|
en sellesbestes de cel	-|--|--|-----|-|--|
l esc hentta ntconlimonsdurra	-⌫---⌫---|--⌫-|--|-|---|----|
etquant li mondesfenira	-|----|-|-----|-----|
enenferainsis descendr a	-|----|-----|--------⌫|
pourcequadieuobei	---|-|-||---|---|
habraha maum ain sel e ua	-------⌫|-|-⌫--|-|-⌫-⌫-|
etenl eu ou d ieus fu est a	-|-|-⌫-|-|-⌫---|-|---⌫|
g omo r reets odomegarda	-⌫---⌫-⌫-|-|-⌫----|----|
toutelareg ion dela	----|-|---⌫--|-|-|
s i ui std eterrela	-⌫|--⌫-|-⌫|----|-|
flanmesche	---------|
quiam ontuerslecieluoleste	--|--⌫--|---|-|---|------|
ausi sconfunsfa itenf ournaise	----⌫|--|---|--⌫-|-|-⌫-------|
etlot h desegorestissus	-|---⌫|-|----|--|----|
fille sen zzmonts us	-----⌫|-|-|---|-⌫-|
car ensegordemourernose	--|-|----|-------||--|
plusseurenmontainnerepos e	---|---|-|--------|-----⌫|
enlamontainne ou unefo sse	-|-|--------|-|--|--⌫--|
luiet sesfilleslaenfo sse	--|-|--|-----|-|----⌫--|
queyyestient laplus gra ns d ist	--|-|------|-|---|---⌫-|-⌫--|
alap lusm a nresu erentenmi	|-|-⌫--|-⌫-⌫--|--⌫-|----|-|
no stres peres	--⌫----|----|
esttrop uillars	--|---|------|
nul honmena	--|----|||
de cui en fens	-|--|--⌫---|
p uissien sauoir	-⌫-------⌫|----|
q ue n ostre slinsperisnesoi t	-⌫-|-⌫-----⌫|---|----|-|---⌫|
ui e n sae t	--⌫-⌫|-|-⌫|
e niu ronsde	-⌫---⌫---|-|
nost re pereet dormonsoulei	----⌫-|---|-|------|-|--|
sig ar deronsnost re	-|-⌫--⌫-----|----⌫-|
doutoutp erie	--|---|-⌫---|
ansisleniurer rentlanuit	----||-------⌫---|-|---|
lesyygar c es et	--|-|---⌫-⌫-|-|
ou sonpere	-|--|---|
onques nousout	-----||-|---|
sequeil fist liperes fous	-|--|-|---|-|----|---|
quantsafi llese	----|-|--⌫--|-|
co ucha ouli	--⌫---|-|-|
le uapourlefortu im	--⌫-|---|-|---|-⌫-|
et lautrenuitla manre iust	-||----|---|-|----|---|
onquesno u sout s i	-----||-⌫|---|-⌫|
laplus gran de	-|---|----⌫-|
enout zzfi l	-|--|-|--⌫|
quemo abape laet dist	--|--⌫-|---⌫-|-|---|
e tlautre manre ra nfanta	-⌫||----|----|--⌫-----|
zzfilqueam on	-|--|--|--⌫-|
uosqui lesbonsu ins	--|--|--|---|-⌫--|
or pouésueoirqu	-|-----|----|-|
e st eniurés	-⌫-|-------|
con puetpec hie r	--|---|---⌫---⌫|
en c ontrede	--⌫-⌫----|-|
enfanmeiane uosfiés	-|----|-|-|--|----|
cartousmaxi suetrep oser	--|---|--||---|---⌫---|
celleslor p er e	-----|--|-⌫--⌫|
ont faitpechier	--|---|------|
quelo rlinaigen	--|--⌫|------||
anuois earri er	-|----⌫|----⌫-|
mais miex uaus ist siconmoisamble	---|---|----⌫--|-|--|--|-----|
quanfant neussentce ll e s	-|-----||------|--⌫--⌫-⌫|
maisdieusu ouloita	---|----|-⌫-----||
n os montrer	-⌫-|------|
q ue tous pecheoursuoul oi tsauuer	-⌫-|---|--------|----⌫--⌫|-----|
porce lorlaissaeniurer	--|-|--|-----|------|
etl or mal ice afi nmener	-|-⌫-|---⌫--||--⌫|----|
ethabrah am sisenr ala	-|------⌫-|-||-|-⌫--|
demourerm olt e ngera ra	-------|-⌫--|-⌫|----⌫-|
etsafa nmesirapela	-|-|--⌫--|-|-----|
s uerpou rle	-⌫--|---⌫|-|
roiabimalech	--|--------|
la p rintetdie u sapert	-|-⌫---|-|---⌫-⌫|----|
aabimalecht randreli	|---------|-----|-|
habrahamsarrequilauo it	-------|----|-|-|---⌫-|
be rbisetb uess erianspucelles	--⌫---|-|-⌫--|-⌫-----|-------|
don ne li roisp our cesnouelles	---⌫-|-|---|-⌫--|--|-------|
et sarrel irandist etdist	-|----|-⌫|------|-|---|
materr edeuant uoss estrait	-|----⌫|-----|--||------|
s idemourésoui l uos	-⌫|--------|-|-⌫|--|
etpuisa sarredist	-|---||----|---|
yypiecesaidenédargent	-|-----|-|----||-----|
atonfrere q u	|--|----|-⌫|
est tesmar is	--|--|---⌫-|
pourtesiex ensam bl ecou urir	---|--|--|-----⌫--⌫|---⌫---|
siertenseigne qu e	-|--|-------|--⌫|
prise soiez	----|----|
en quelqueleuque tu	-|------|--|--|-|
qu a nthabrahamout centainme an	--⌫-⌫-|-------|--|--------|-|
sar rae nfant ason enfent	---⌫-|-⌫-----⌫|--|-----|
uitainm eiourcircu n sis	-------⌫|---|-----⌫-⌫--|
fuisaacno nme ́sainsis	-|----|--⌫---⌫-|-----|
pourcequesarr aauoitri s	---|-|--|----⌫|----|--⌫|
que qued erierlui s setapi st	--|--|-⌫----||--⌫|-|----⌫-|
sarra qui c reus t ia	----|--|-⌫----⌫|-|
q uanfa nte ussiensnosyy uiellart	-⌫|----⌫-|-⌫------|--|-|-------|
cru t e tamanda	---⌫|-⌫|-----|
quanta l aitierisaaclaissa	----|-⌫-⌫-----|----|-----|
zz grantmangierf isthabraham	-|----|------|-⌫--|-------|
en iourdeson alai teme nt	-|---|-|--|----⌫----⌫-|
ca r coutumeen	--⌫|------|-|
c el tensestoit	-⌫-|---|-----|
q ualaitierli enfeslaiss oit	-⌫|-------|-|----|-----⌫--|
queong rantmengieren f a iso it	--|-|-⌫---|------|-|-⌫-⌫---⌫-|
z ziourauoit ueu	-⌫|---|----|--|
quecesfilz	--|--|---|
iuoitou l agar	----|-||---|
quidesgipteestoit uenue	--||------|-----|----|
qu ehabraham auo it quenue	--⌫|-------|---⌫-|-----|
pour cequ e fil auoi rn e p out	---|-|--⌫|--|----⌫|-⌫|-⌫--|
des afanm e brehainie l out	-|-⌫|----⌫|--------||--|
dieusqu itout sestetq uitoutuo ut	----|--⌫|---|---|-|-⌫-|---|--⌫-|
si apelleha brahame tdist	-|-----|--⌫-----|-⌫|---|
w eil mieque lifi l	-⌫--|--|--|-|--⌫|
de aga rsoitoulemienfil	-|---⌫|---|-|-|---|--|
t apucellemestde cifuer	-⌫|------|---|-|-|---|
ets onfiln iweil qu	-|-⌫-|--|||---|-|
l ifilzdeserue habiter	-⌫|---|-|----|------|
hers ned em ourrer	---|-|-⌫--⌫-----|
oumonfil ysaacne	-|--|--|----|-|
li dr o ishers sidoiterester	-|--⌫-⌫-|---|-|---|------|
no n libatarsnou	--⌫|-|-----||-|
puis p orter	---|-⌫----|
quant habraham iceoit	----|-------|--|--|
si en o utdueletd ieusl idist	-|-|-⌫-|---|-|-⌫---|-⌫|---|
apre chosene so i tnedure	---|----|-|--⌫-⌫|-|---|
atoides arret outendure	|--|-|-⌫---|-⌫--|-----|
de ismaellefil	-|-----|-|--|
ca r tesdro isoirs	--⌫|--|---⌫-|---|
engrantgentlefilta baies se	-|----|---|-|--|-|-----⌫-|
fe ra ic roitre deton esse	--⌫--⌫|-⌫-----|-|--|---|
h abraham ce leuamatin	-⌫------|-|---|----|
siaprinspaind	-||----|---||
aigue zzbarril	----|-|-----|
a chergi éd esus	|------⌫-|-⌫---|
deagaret son fillibaille	-|---|-|--|--|-|-----|
alai ssi eet si	|---⌫---⌫|-|-|
cell euaetesta restee	----⌫|-|-|--|-⌫-----|
qu on nonme bersa bee	-|-|----|-----⌫--|
qua nt li aiguefudou barril	---⌫-|-|----|-|--|-----|
degastee sigest a sonfil	-------|-|----⌫|--|--|
desouszz aubrequif uain qui	-----|-|----|--|-⌫|---⌫--|
sis estde icel	-||--|-|---|
leu tourne e	--|------⌫|
au tantco narsferoitgest ee	--⌫---|--⌫|--|-----|----⌫-|
enceleu le uouloit	-|-|--|-|------|
mouri stsansrespitier	-----⌫-|---|--------|
neuerrai m ouri r	-|-----|-⌫----⌫|
monfiletpuisacrierprint	--|--|-|---||----|----|
lanfensbraioit	|-----|------|
etsicrio it	-|-|----⌫-|
qu ouconfortas tnul	-|-|---------⌫|--|
n etro uuoit	-⌫|---⌫----|
no stres sirespitie	--⌫----|----|----|
samere douci el ap ela	-|---|--|--⌫-|--⌫--|
etd i st quefaistulaagar	-|-⌫-⌫-|--|---|-|-|---|
nedou ter mieiaioi	-|---⌫--|--||-|-|
quipleur ede	--|-----⌫|-|
tostpranlan fent tien	---|---||--⌫---|---|
sila nmo innela m ainlit i en	-||-⌫---⌫---|-|-⌫--|-|-⌫-⌫-|
c arengrant gen tlecroistrerai	-⌫-|-|----|---⌫|-|----------|
neiama ntirn etes aurai	-|-|--⌫---|-⌫|-|-⌫----|
etdieuslia ouuerstlesieux	-|----|-||------|--|---|
siuistz zleu ououstzzpuis	-|---|-⌫|--|-|---|-|---|
etlebarrilempli	-|-|-----|----|
etalanfantboiuredon na	-|||-----|-----|---⌫-|
eta ins issile	-|-⌫---⌫-|-|-|
lianfes crust	-|----|----|
e t amanda	-⌫|-----|
si de mouree npharan de sert	-|--⌫----|-⌫|-----|--⌫---|
soieter res f u et ap ers	-------⌫--|-⌫|-|--⌫--|
dené samere	----|-|---|
delate rredegiptei ere	-|-|--⌫--||-----|-⌫--|
etysaa c crois oit ausis	-|----⌫|-----⌫--|----|
etdieusa habr ahams a uint	-|----||----⌫---|-⌫|---|
sili adist	-|-||---|
quil sacrefi ce	-|-|-------⌫-|
son filainsisconmegenisse	--|--|-----|----|------|
donc moign ehabr ahaml anfant	---|-----⌫|----⌫---||-----|
susunane leuaposant	--|-|--|-|-|-----|
bucheet puissanua	----|-|---||-|-|
mais sesseriansou	---|--|------|-|
qu antau pieu int dela	--⌫--|-|--|-⌫--|-|-|
quedieuslimontre etansei gne	--|----|-|-----|-|-----⌫--|
siconmandaasesserians	-|-------||--|------|
quainquile	-|-----|-|
uois senta tandant	----⌫---|-⌫------|
lan fantaprins	|--⌫---||----|
la nmoinne	|-⌫------|
enplushautl eude lamo ntainne	-|---|---|-⌫-|-|-|--⌫------|
ad on ca d ist	--⌫--⌫||-⌫--|
lan fesaupere	|--⌫--|-|---|
ouestlisacrefic es pe res	-|--|-|--------⌫-|--⌫--|
que uos d euésadieu	--|--|-⌫----||---|
nouuoimies a n	|-|--|--||-⌫|
et habraha mrespond u a	-|-------⌫|-------⌫||
fil zfaitildieus lepouruerr a	---⌫|---|-|----|-|--------⌫|
dec e la mont a innenon p rin t	-|-⌫|-|----⌫-⌫---|--|-⌫---⌫|
qui ius quah uia nonainsis	--|---⌫-||-⌫-||--|-----|
d ieupouru e rr a estapelee	-⌫--|-----⌫-⌫--⌫|--|-----|
ius qu aceiour a insi s nonme e	---⌫-||-|---|-⌫----⌫|-----⌫|
ad oncprint	--⌫--|----|
habrahamlan fant	-------||--⌫---|
les mainsli loiel esp ee	--|----|-|---||---⌫-|
sacr efierla leuo uloit	----⌫----|-|-|--⌫----|
pourfairededieu le	---|----|-|---|-|
uint le spee	---||-⌫---|
di eus t on	--⌫--|-⌫-|
uouloi ruoit prantonfil	------⌫|---|---|--|--|
moutonen celbouion	-----|-|--|-----|
s o usacrefiepourtonfil bon	|-⌫|-------|---|--|--|--|
dieusaueuq ue	----||--|-⌫-|
sonm an d em ant que tonfilchier	--|-⌫--⌫-⌫--⌫--|--|--|--|----|
d onchabrahamlemouton	-⌫--|-------|-|-----|
et lesacrefice enfist	-|-|--------|-|---|
quanti l out fait etp uissan uint	----|-⌫|--|---|-|-⌫--||-|---|
puis a pellezz sien ser iant	---|-⌫----|-|---|---⌫---|
siliadis tuiensaaua nt	-|-||---⌫|---|-|---⌫-|
desous mescuisses m est ta main	-----|--|------|-⌫--|-|---|
etmesoitiuré de certain	-|-|---|----|-|------|
q ue pourmonfiltan irasque rre	-⌫-|---|--|--||-|---|---⌫--|
unefanmee nla	--|----|-⌫|-|
nostreter re	-----|---⌫-|
quisoitde nostre parante	--|---|-|-----|------|
car n anw e ilpointde	--||-|-⌫-⌫-|----|-|
l i serianslifianceetiu re	-⌫|------|-|-----|-|--⌫-|
quainsisser a	-|-----|---⌫|
sansat andue	---|--⌫----|
sauoieaqueustsans atarg i er	-|---|------|---|-----⌫-⌫-|
en m es opotaniesanuient	-|-⌫--⌫-------||-|----|
liserg ens cestlaare stés	-|----⌫--||--|-|---⌫----|
ou essourdoit u ne fonta inne	-|---------|-⌫-|-----⌫---|
degra uel leiouansetpla inne	-|---⌫---⌫-|-----|-|---⌫---|
lafontainne	-|--------|
deflourse t d	-|-----|-⌫||
e rbeiusqu aurui	-⌫--|----|-|--|
fontainnees toitto ussanslimon	--------|--⌫---|--⌫-|---|----|
conargensclere iu squaufons	--|-----|----|--⌫--|-|---|
nuns pait ourexla ne uen oi t	---|----⌫----|-|-|---⌫--⌫|
chieure qua n monsp aissoit	------|-|-⌫|---|-⌫------|
ne besteautre n	-|----|----||
ialoitnulle	|----|----|
nelabeste u e stuedeplum e	-|-|----|-⌫-⌫---|-|----⌫|
nelauoitonquesiour	-||----|-----|---|
bestesauuaigen	----|-------||
onquesrainsiausni estoit	-----|--------|||-----|
enbellissoitl el eu	-----------|-⌫|-⌫-|
laque lle humor s faisoit uenir	-|---⌫--|-----⌫|------|----|
etnorrissoit	-|---------|
etb oi s p etis	-|-⌫--⌫|-⌫---|
lesoulloilni	-|-------|||
laissoit ferir	-------|----|
quilafontainne	--|-|--------|
puitente dir	---|----⌫--|
quien tour seris t	--|--⌫---|-|---⌫|
lagensdelauille iuenoit	-|---|-|-|----||-----|
querredelaigue quant plaisoit	-----|-||----|----|-------|
l a sere posa	-⌫|-|--⌫---|
l i serians	-⌫|------|
et ces beste squi	-|--|-----⌫|--|
habrahamsilanfist	-------|-||-|---|
chiergiesdeio uaxpou r donne r	--------|-|--⌫--|---⌫|-----⌫|
a dieu uneproierefist	|---|--|------|---|
dieusdabraham	----||------|
quesiuanra	--|-|----|
sepucell ee stcui	-|------⌫|-⌫-|--|
requ er rai	----⌫--⌫--|
donne moiboiurecellem	----|--|-----||---||
e tmes bes t esqueie	-⌫|--|---⌫-⌫-|--|-|
que cell e soit quedoitauo ir	--|----⌫|---|--|---|---⌫-|
a fanme de mon	|----|-|--|
s ignorlo ir	-⌫----||-⌫-|
sa proie re nout	-|-----⌫-||--|
uoi cidemesop otanie	--|-|-|-----⌫-----|
rebeque fille ba tue l	------|----|--⌫---⌫|
quiuenoi t	--|-----⌫|
querre azzuaisel	-----||-|-----|
aigue d ecellefontain ne	----|-⌫|----|-------⌫-|
doncp u isesesuaisiau s	---|-⌫-⌫--|--|-------⌫|
en plain ne	--⌫-----⌫-|
li seriens boiurea demand é	-|------|-----||------⌫-|
etce ll ed istanmisbuués	-|--⌫--⌫|-⌫--|----|-----|
etuos bestesansisb uureront	-|--|-----|----|-⌫-------|
qua nt ilourent bu	---⌫-|-|-----|-|
anniax pourpand reas	-----|---|----⌫-|-|
lia donnéo iésmeruoilles	-||-----|-⌫---|---------|
effigesdo ns donne et	------|--⌫-|----|-|
ue steures	--⌫------|
etausi s d e sdois	-|----⌫|-⌫-⌫|---|
l aourneu re	|-------⌫-|
puis demande conmantasnon	---|------|------|-|--|
etdesonpere	-|-|--|---|
ausis lenon	----|-|--|
c ellere spont que on	-⌫---|--⌫----|--|-|
rebequebatuelest elle	------|-----|--|---|
filledabraham lignie	----||------|-----|
queeng e rara mo lta m plie	--|-|-⌫-⌫---|--⌫-|-⌫-⌫---|
puisredemandesepourroit	---|--------|-|-------|
maisonoste lauoir	-----|----⌫|----|
ourepaitrepui ssecesbestes	-|-------|---⌫--|--|-----|
etce ll edistoil uoircer t es	-|--⌫--⌫|---|--|---|---⌫-⌫-|
cellesanuaetcil	----||-|-|-|--|
ces b estesle seustde	--|-⌫----|-|----|-|
quantbatuel	----|-----|
safi ll euoit	-|--⌫--⌫|---|
dema ndequidonné	----⌫--|--|-----|
eff iges uesteuresauo ir	---⌫---|--------|---⌫-|
anniaxetces armillies	-----|-|--|--------|
parfoiperesrefaisoit cill e	--|--|----|--------|----⌫|
cistbache lers queueés c i	---|-----⌫---|--|----|-⌫|
be stesamo ignec i	--⌫---|---⌫---|-⌫|
quii e sfr ere	--|-⌫-⌫|--⌫--|
batuel dist	-----|---|
que demandesneque q uiersci	--|-------|-|--|-⌫----|-|
sire serssuide habraham	---|---|--|-|-------|
uoisdemandant	---|--------|
pou rysaacson fil	---⌫|----|--|--|
ilwe ltquefanmeait de sa	-|--⌫-|--|----|--|-|-|
pourc elamenuoiesa	---|-⌫|-||-----|-|
nostre ssir esamon signour	------⌫|---⌫-||--|------|
b e neist etdonn és anm our	-⌫-⌫----|-|----⌫-||---⌫--|
ets ila mol tmagnef ié	-|-⌫|||---⌫|------⌫--|
b erb isetbuesl i	-⌫---⌫-|-|---|-⌫|
e ta rgentetsergense tor	-⌫|-⌫----|-|------|-⌫|-|
etdanmoisel lesetchamos	-|---------⌫--|-|-----|
et des an es	-|--|--⌫-|
etsarre si	-|----|-|
ensauiellet e	-|-|-------⌫|
eu dehabrahe	-|-|------|
qu a nqu il au oitlia	--⌫-⌫--|-|--⌫--|-||
aiuréqueiequ eisse	|----|--|-|--⌫----|
u nefanmepourso n fil	-⌫-|----|---|--⌫|--|
ca rneuo uloit queilpreist	--⌫|-|--⌫----|--|-|-----|
nullefanme	----|----|
den opa is	-|-⌫|--⌫-|
uaenlamaison	-|-|-|-----|
dem onperecogna tion	-|-⌫-|---|-----⌫---|
simequerraslapourmonfil	-|-|------|-|---|--|--|
un efanmeier es pondi	--⌫|----|-|-⌫--⌫----|
s e lafanme n e weltuenir	-⌫|-|----|-⌫|---|----|
ou moi sire iequeferai	-|--|---|-|--|----|
mes s iresdistlidieusqueieai	--|-⌫---|---|-|----|--|-|-|
si tanuo iraou t oison	-||----⌫--|-|-⌫-|--|
quiterad ressera	--|-|---⌫------|
et pourmonf ilpanras la	-|---|--|-⌫-|-----|-|
peree nl a maison	---|-⌫|-⌫|-----|
si naura smim a	-||----⌫|-|-⌫|
maleisso n	--------⌫|
donques ala fonta i nneu ins	------||-|-----⌫-⌫--|-⌫--|
di eue t requis	--⌫-|-⌫|-----|
que cellecui premiersuerroie	--|----|--|-------|------|
cuia boiureiedemandroie	--||-----|-|---------|
etcelleam oiendonnoit	-||---||-⌫-|-|------|
etmesb estes merabuuoit	-|--|-⌫----|-|-------|
fan meaufilhabrahams oit	---⌫-|-|--|-------|-⌫--|
cumiepansas seceschosesci	--|-|------⌫-|--|-----|-|
rebequeaparutet	------|-----|-|
qu e u neboite aportoit	--⌫|-⌫-|----|-------|
s us ces espaulesetdes ce ndoit	-⌫-|--|-------|-|---⌫--⌫----|
a lafontainne etpu isa	|-|--------|-|--⌫--|
iedist l ia	-|---|-⌫||
donnemoiboiureellem an donne	----|--|-----|---||-|----|
et meschasmo s en abandon ne	-|--|------⌫|-|-------⌫-|
fi l leiestu	--⌫-⌫-|--|-|
batuelsem arespondu	-----|-|||-------|
as oroil les	-|-----⌫--|
puis li pand i	---|-|----⌫|
a nniax selon cnostre pai s	-⌫----|-----⌫|-----|---⌫|
etarmi lles	-|----⌫---|
enm a ins limis	-|-⌫-⌫--|-|--|
nostresi gnour	-----|--⌫----|
puisaourai	---|-----|
p ourceste choseque t rou ai	-⌫--|----|----|--|-⌫---⌫-|
uoiemam ené	---|||-⌫---|
pourfanme auoirdouparante	---|----|----|--|------|
signour et desonf rere	------|-|-|--|-⌫---|
fi lsireuoir eetpere	--⌫|---|----⌫|-|---|
p ourquelch os eiew ei ls auoir	-⌫--|---|--⌫--⌫|-|-⌫--⌫|-⌫----|
seuosc estechos e	-|--|-⌫---|----⌫|
etseautrechose uo splait	-|-|----|----|--⌫|----|
d iteslemois ans nusdela i	-⌫---|-|--|-⌫--|--|----⌫|
destreou asen estreirai	-----|-||---⌫----|---|
batuelditmani on sansoi s	-----|--|----⌫--⌫|-----⌫|
nonfai t lisersa inssauerai	--|---⌫|-|---|-⌫--|------|
seadestredemourerai	-||-----|---------|
labanetb atuel r espondent	----|-|-⌫----|-⌫--------|
cesteparoleist	----|-----|--|
et habonde	-|------|
dedie ul e peresouuerain	-|---⌫|-⌫|---|--------|
encontrealern	-------|---||
es tmiecertain	--⌫|--|------|
u oi ci re beque pranlaanmis	-⌫-|-|--⌫----|---|-|----|
sisoitde tonsignourle	-|---|-|--|------|-|
sicon nostr ess iresle dist	-|--|-----⌫-|-⌫---|-|---|
qu ants oitl i ser s tou tsansdemore	--⌫--||--|-⌫|---⌫|---⌫|---|-----|
ate rr e pliedieuenaoure	|--⌫--⌫|---|---|-|----|
puisa traitfors uaisia u sd	---||----|---|------⌫-⌫||
etuestem ens	-|------⌫--|
ar ebeque p ourdon	|-⌫-----|-⌫--|--|
asespere saoffr idon s	|--|----⌫||----⌫|---⌫|
lisers et d e cel ei	-|---|-|-⌫|---⌫-|
puismeng errent auec	---|----⌫-----|---|
aumatinsestliser s	-|----||--|-|---⌫|
puis distcarm	---|---|--||
an laissiésaler	-|--------|---|
ahabraham qui estmessires	|-------|--|--|--|----|
derebequelifreredirent	-|------|-|----|-----|
e t lamere	-⌫|-|---|
aumainsyyiours	-|----|-|----|
s erala pucelleauecnos	-⌫--|-|------|---|--|
etpuisal ersisanpourra	-|---|--⌫-|-||-|-----|
l i sersdistne m e tenés pas	-⌫|---|---|-|-⌫|-----|--|
mauoie madieusadrecie	-|---|||----|------|
lai ssie ́ smanale r amon	---⌫----⌫-⌫||-|---⌫||--|
doncapellerr entla	---|--------⌫--|-|
s auoul antelidemanderrent	-⌫|----⌫---|-|-----------|
ouceshonmes wels tualer	-|--|-----|---|-|---|
aler iweil	---||---|
nouweil seler	|-|---|----|
alerl ai ssent ell e sanua	---|-⌫--⌫----|---⌫||-|-|
etsanorr i ce	-|-|----⌫-⌫-|
qui seue ntle s er ha brah am	--|----⌫-|-|-⌫-|--⌫----⌫-|
etses co npaignonsan siment	-|--|--⌫--------|--⌫-----|
f rer epou r lorsuerproient	-⌫---⌫|---⌫|--|---|------|
q uedieusli	-⌫-|----|-|
doi nsebonneuoie	---⌫--|----|---|
etdisoientnostressuers	-|-------|------|----|
croitrepuissesenmilmilli ers	------|------|-|--|-----⌫--|
ett asem anceaquiereausis	-|-⌫|---⌫---|------|----|
le sportesdecesan nemis	--⌫|-----|-|--|--⌫----|
donquesreb equeet ces	------|---⌫---|-|--|
p uc elles	-⌫--⌫----|
lonme suentchamosmo n terrent	|---|----|-----|--⌫-⌫------|
tens ysaac aloit	---|----|----|
parcelleuoie qui meno it	--|----|---|--|----⌫-|
d eueie nt	-⌫|----⌫-|
etu i uent	-|-⌫-⌫---|
en t erredemeidi estans	-|-⌫---|-|----|-----|
et liiour s	-|-|----⌫|
ia si sabaissoit	-|-||--------|
ysaac sehauceetsiuoit	----|-|----|-|-|---|
dondescent	--|------|
et le iou uancelaraigna	-|-|---⌫-----|------|
faitelle c i lho nsla	---|---|-⌫-⌫|--⌫-|-|
queie uois parc eschansue nir	--|-|---|--|-⌫-|----|--⌫--|
ceie rtfait iluostr e	-|--⌫-|---|-|-----⌫|
ado nquessonpaileprins a	---⌫----|--|----|----||
etson ui saigecouueta	-|--|--⌫----|------|
sesmaris quill espousera	--|----|-|-||--------|
dieus q uelhontecellesqu i	----|-⌫--|----|-----|--⌫|
en nostreloicourrentasho ns	-|-----|--|-------|-|--⌫-|
silesenbrassent	-|--|---------|
e tac olent	-⌫|--⌫----|
sans hontesontt elleest lor o rdre	---|----|---|-⌫---|--|--|-⌫---|
ner esamble n tmiere beque	-|-⌫-------⌫-⌫|--|--⌫----|
quisecouuristquant sou tqueiere	--|-|-------|----|---⌫|--|---|
sesmari squan contre leiiere	--|----⌫|-|--⌫-----|--|---|
a ysaac araconte ́	|----||-------⌫|
li serian scon	-|------⌫|--|
il outou uré	-|--|--⌫---|
y saac safanmedoncprint	-⌫---|-|----|---|----|
entabernacles amere	-|---------|-⌫|---|
quiestoit morted enouel	--|-----|----|-⌫|----|
tantl aanmee pourson	---|||----|---|--|
q u e sameretouteoblia	-⌫-⌫|-|---|----|----|
qui morteie re	--|----|--⌫-|
pou rrebequa	---⌫|------|
telf urent lien genrement	--|-⌫----|-|--⌫--------|
ys aacle filhabr aham	--⌫--|-|--|----⌫---|
habrahamysaac genu it	-------|----|----⌫-|
quan t i lou t	----⌫|-⌫|--⌫|
yyanssipr int	-|--|-|--⌫--|
batuellafille	-----|-|----|
suerlaband e	---|----|-⌫|
me sopotanie	--⌫--------|
y sa acproiapour	-⌫--⌫-|----|---|
dieupour c equeiert breha inne	---|---|-⌫|--|---|-----⌫---|
nostr essiresd ieuslaoi	-----⌫-|----|-⌫---|||-|
carrebeque consustyy	--|------|------|-|
enson uen t re	-|--|---⌫-⌫-|
au ne fois	|-⌫-|---|
e nuentre mo ignentgranstournois	-⌫|-----|--⌫-----|----|-------|
rebeque dist	------|---|
grantluiteen	----|----|-|
dedans m onuentre quec e welt dire	-----|-⌫-|-----|--|-⌫|---|---|
con s oille moi biau stres doussires	---⌫-⌫----|--|----⌫|---|---|----|
nostres sires	------|----|
respontyyg ent	------|-|-⌫--|
deto n ue n tre seront naissans	-|--⌫|--⌫-⌫--|-----|-------|
yypuepple iste r ontdet on uentre	-|------|----⌫-⌫--|-|-⌫-|-----|
qui mouuer ontbatailleensa mble	--|------⌫--|-------|----⌫---|
pue pplespuepple sormont era	---⌫----|------|-------⌫--|
ligransaupetit se rssera	-|----|-|----|--⌫-|---|
l iten s dan fanteraparu t	-⌫|---⌫||--⌫-----|-----⌫|
q uerebeque enfanterdust	-⌫-|------|-------|---|
donquesesmuren t grant ba ta ille	------|-------⌫|----|--⌫--⌫---|
liyygeme l oiésmeruo illes	-|-|----⌫|----|-----⌫----|
lizztirelautrea riers	-|-|---||----|-⌫----|
carcha scuns weltnai trepremiers	--|---⌫----|---|---⌫--|-------|
cilqui prem ie rs enest	--|--|----⌫--⌫-|-|--|
rouset zzpelus	---|-|-|----|
li autresqui	-|-----|--|
tantost naissoit	------|-------|
sonfrereparlepi e	--|----|--|-|--⌫|
a sama in ariersl etraioit	|-|--⌫-|-----|-⌫|------|
pource lapelaontantost	---|-||----|-|------|
queparnonaroitnoniacob	--|--|--|----|--|----|
ysaac au oi t	----|--⌫--⌫|
quant furent	----|-----|
néli yya nfant	--|-|-|-⌫----|
qu a ntfurentgrant esauuen oit	--⌫-⌫-|-----|----|---|---⌫--|
e tuene rre s saigeses toit	-⌫|----⌫---⌫|-----|--⌫---|
etgaignerresa usis de	-|---------|-⌫---|-|
estoithabite ns	-----|------⌫-|
biensi mples	---|--⌫----|
de ysaacetens	-|----|-|--|
ysaaces auanmoit	----|--⌫-|-----|
pour u en is ons	---|-⌫--⌫--⌫--|
quilaportoit	-|-|-------|
decoisou u antes foi s m anioit	-|--|---⌫-⌫----|---⌫|-⌫-----|
etrebequeiac ob anma	-|------|---⌫-|---|
pourceq uele ibienresambla	---|-|-⌫-|--⌫|---|-------|
zziouroutcuit	-|---|--|---|
iacob l a ntilles	----|-⌫-⌫------|
esau uintd ef ors de uille	---|---|-⌫--⌫--|-|----|
deschans ou	--|----|-|
il auoitest é	-|----|---⌫-|
merui llouse ment b ien	-----⌫------⌫---|-⌫--|
a sonfrereiacob a	|--|----|----||
deceslantillescoitesmes ci	-|--|--------|-----|--|-|
