 #META#TextURI	-⌫-----|------|
S Geo rg DeG	-⌫---⌫--⌫--|
grant pechiéf aisoit	----|------|-⌫-----|
Celluiqui leansl es	-----|--|----|-⌫-|
Quantlemperere	----||-------|
Le san gluie st	-|---⌫|--|-⌫-|
toutesm eu	---|---⌫-|
E tdist queoncques si grant honte	-⌫|---|--|------|-|----|----|
Nor entl eursdieux eni ourdumon de.	|--⌫--|-⌫---|----|-|-⌫--|-|---⌫--|
L o rs a comm a nd e ́lemperere	-⌫-⌫-||----⌫-⌫--⌫-⌫||-------|
Q ue l en ap porteune chaudiere	-⌫-||-|--⌫----|--|--------|
Plain ed ya ueiusquesaubort	-----⌫||--⌫-|------|-|---|
Etq uonlaface b oulirfort.	-|-⌫|-|-|---|-⌫----|----|
Et aux parsecuteurs commande	-|--|-----------|-------|
Quil zle despiecent	-|--⌫|-|---------|
membreamemb re	-----||----⌫-|
Etlegietente nla chaudiere	-|-|------|-⌫|-|--------|
PAGEu01P168	----------|
Etilzlefont enlamanier e.	-|--|-|---|-|-|------⌫-|
L angeuin tdeuant tout	|---|---⌫|-----|---|
Qui estaignyle fe u etl onde	--|-------|-|--⌫|-||---|
Eta di t Georgeli eue sus	-||--⌫|-----|--⌫--|--|
Cetemandeleroy Ihesus.	-|-|----|-|--|------|
S aintGeorgel oe Ihesucrist	-⌫---|-----|-⌫-|---------|
Daci enenotgr a nt despit.	----⌫-|-|-|--⌫-⌫-|------|
Ceulxmesmesquisont entourlui	----|-----|--|---|-----|--|
C r i enttrestous	-⌫-⌫-⌫--|-------|
a Dieumer cy.	|---|---⌫--|
Quiontueu app ertemen t	--|--|--|---⌫-------⌫|
Lem irac le	-|-⌫----⌫-|
queDi eu fistgrant.	--|--⌫-|---|-----|
Laroynelemiracle uit	-|----|-|------|--|
cuerloa Ihes ucr ist	---|--|----⌫---⌫--|
Desonchiefgete	-|--|----|---|
sacouronne	-|-------|
A Dieuet a Saint Georgese donne.	|---|-||----|-----|-|-----|
Quan t D acienuoit l aroyne	----⌫|-⌫----|---|-⌫|----|
Q u i aux uertu sdeDieue ndine	-⌫-⌫|--|-----⌫|-|---|-⌫----|
Illy a ditRo yn e	-|-||--|--⌫--⌫|
honnoure ́e	--------⌫-|
Cela rron uousaencha nte ́e.	-|--⌫---|---||-----⌫---⌫--|
Enchanté e nesuyiepas.	---------⌫|-|--|-|---|
Onc demal fairene	--|-|--|----|-|
E nc ore enaurastadess erte.	-⌫--⌫--|-|----|-|----⌫----|
tedointmaleperte.	-|----|---|-----|
I ec royenDie utun	-⌫|-⌫--|-|---⌫|-||
Tuc rois lagr antfor cenerie	-|-⌫---|-|--⌫--|---⌫------|
Des ydolesquite	--|-----|--|-|
Aux crestiens tant decontra i re.	--|--------|---|-|------⌫-⌫--|
F a ymoymo urirquanttuuouldras	-⌫-⌫|--|--⌫---|----|-|-------|
Iamai snuliou r	-----⌫|--|---⌫|
nemeuerra s	-|-|-----⌫|
Croiretesymages dargent	-----|--|-----||-----|
EnDieuaymoncue ruraieme n t.”	-|---|-|--|---⌫|-------⌫-⌫--|
Lyempererela fist p rendre	-|-------|-|---|-⌫-----|
cheueuxsi la fistpendre	------|-|-|---|-----|
P uislui ontla	-⌫--|--|--|-|
testecoup pée	----|----⌫---|
Aunebientrenchant	|--|---|--------|
Le sangesysontdescen dus	--⌫|----||---|------⌫--|
Chantans tedeum la uda mu s.”	-------|-|---|--⌫---⌫--⌫--|
Deuant Dieuont lameportée	-----|---|--||--|------|
Commeroynelontcouro nn ée.	----|----||--|-----⌫--⌫---|
Lemper erefut moult plaind	|-----⌫--|--|----|----||
Quiuintdeu eo ir lem artire	--|---|-|-⌫--⌫-|-|-⌫-----|
A s e ssergensa com mandé	|-⌫-⌫|------||---⌫-----|
Pageu01P169	----------|
QueGeorge lui soit	--|-----|--|---|
Lenlui am eneappertement	|-|--|--⌫--|----------|
Et quantil le uit	-|----|-|-|--|
enpre sent	-|---⌫---|
a faitune dem ande	|---|--|---⌫---|
Etq uerespon seluien rende.	-|-⌫-|------⌫-|--|-|-----|
Un sepulcre ayci deuant	-|-------||--|-----|
Ie cro iraytondieu uraie ment	-|---⌫---|--|---|-----⌫---|
en faisueoir le s c or ps	-|---|----|--⌫|-⌫--⌫-|
Detous ceulxquiysontmors.”	-|---|----|--||---|-----|
SaintGeo rgelui	----|---⌫--|--|
dis t sans demoranc e	---⌫|---|--------⌫|
bo nne esper ance	--⌫--|-----⌫---|
Quequ anqueie uueil	--|--⌫----|-|----|
Il mo ttroi esans	-||-⌫-----⌫|---|
Orfai tes lesepulcre ouurir	-|---⌫--|-|-------|-----|
Et tre stous lesos	-|---⌫----|--|-|
concueillir.	-----------|
Lorss i ue rr ontfemmeset hommes	---|-⌫|--⌫--⌫--|-----|-|-----|
S eles u ertus deDieu sontbo nne s.”	-⌫|--|-⌫----|-|---|---|--⌫---⌫--|
Ousepulcregarderenttu it	-|-------|--------|--⌫-|
Nytrouuerento sgrantne p etit.	||---------|-⌫|----|-|-⌫----|
Lapouldre lui	-|------|--|
o n tappo rtée	-⌫-⌫|----⌫----|
d r apenu elopée.	-⌫-⌫-|---⌫-------|
Sai nt Geor ges est	---⌫-|----⌫-||--|
agenoillié	----------|
soncueraprié	--|---||----|
D ieuqui prist	-⌫--|--|----|
toutle mond e	---|-|----⌫|
Fac euertussurc est epouldr e	---⌫|-----|--|-⌫---⌫|------⌫|
Afinquechascuna grant ioi e	|--|--|------||----|---⌫|
Congnoissetrestousque tu soies Si re de paradis	---------|-------|--|-|----|--⌫-|-|------|
Et croienta insi co mme moy	-|------|-⌫---|--⌫--|--|
Dieuautr e	---|----⌫|
Quanti l o tditto utson pou oi r	----|-⌫|-⌫|--|--⌫-|--|---⌫--⌫|
Ch ascunpot bienap parc euoir	--⌫----|--|---|--⌫----⌫----|
Q uilotillec hommeset	-⌫|-|-|----|-----|-|
Qu ifur entencorpsetenam es.	--⌫|---⌫--|-|----|-|-|--⌫--|
SaintGeo rg eleur ademandé	----|---⌫--⌫|---||-------|
Com bieni l adetemps	---⌫---|-⌫||-|----|
Quilz furentmis	-|--|-----|--|
e nceto mbel.	-⌫|-|--⌫----|
Lunrespont quiotnomIouel	|-|------|--|-|--|----|
Sirei laplus de	---|-⌫||---|-|
Et ne sommespascrestiens .	-|-|-----|--|---------⌫|
Po urD ieu quenousbaptisez	--⌫-|-⌫--|--|---|-------|
Queneretournionsamartire.”	--|-|----------||--------|
Lorsa de lyauedema ndée	---||-||---|----⌫----|
Pageu01P17 0	----------⌫|
Nus h ornsn eluia apportée .	--|-⌫---|-⌫|--||---------⌫|
Tantost fistunecroixsur terre	------|---|--|----|--|----|
Unefontaine ensourt gra nt er re.	--|-------|-|----|---⌫-|--⌫--|
SaintGeorgelesbap t isa tui t	----|-----|--|---⌫-⌫--|---⌫|
distDepar Ihesucrist	---|-|--|---------|
Ale zdeuantmoy mesamis	---⌫|-----|--|--|---|
AuecDie u enparadi s.”	---|---⌫|-|------⌫--|
Ad oncdirentt outes	--⌫--|-----|-⌫----|
leDieudescrestiens	-|---|--|--------|
Dacienest de	-----|--|-|
put affaire	--|------|
Q ui auxhomme sDieuf ait	-⌫-|--|-----⌫|---|-⌫--|
contrair e.”	--------⌫--|
L em p erereestengrant	|--⌫-⌫----|--|-|----|
Lecorpslui t remblede	-|----|--|-⌫-----|-|
Et fait male chiere et	-|---|---|-----|-|
Pour le peuplequiseconuerse.	---|-|-----|--|-|--------|
A haulte uoixsestes crié	|-----|---||--|--⌫----|
“Helasc heit ifmale ur é	-----|-⌫----⌫-|----⌫--⌫-|
P ou rq uoyuintGeorge	-⌫--⌫|-⌫--|---|-----|
souffreragrant	--------|----|
martire .”	-------⌫-|
Lor sapp el la tousses sergens	---⌫|---⌫--⌫-|---|--|------|
“Alleztostie le uouscommans	-----|---|-|-|---|------|
Pren ezGeorge	----⌫-|-----|
sansdemourée	---|--------|
Siluisoitlatestec ou ppé e.”	-|--|---|-|----|-⌫--⌫----⌫--|
Ettou t aulo ngd e lacité	-|---⌫|-|--⌫-|-⌫|-|----|
le ssergens	--⌫|------|
moult debouté	----|-------|
Et lui dir entsoitdroitou tort	-|--|---⌫--|---|----|-|---|
Huyprendrasl a ti ercefoymort	--|-------|-⌫|--⌫---|--|---|
Ce ulxetcellesquie nDieu croien t	--⌫--|-|-----|--|-⌫|---|------⌫|
En plour antle	-|-----⌫--|-|
ma rtirconuoient	--⌫---|--------|
Tan t quilzontlaportepassé e	---⌫|-|--|--|-|----|------⌫|
Oufutlaroyne	-|--|-|----|
decole ́e.	------⌫--|
Ilrega rda tout enuiron	-|----⌫--|---|------|
Sur lesg ensfis tbeneicon.	--|--|-⌫--|---⌫|--------|
A ux sergen sdist Traiezarriere	-⌫-|------⌫|---|-----|------|
ADieuuu eilfairema prier e.”	|---|--⌫--|----|-|-----⌫--|
Contremonta leués esyeux	---------||----|-⌫-|---|
Le s mains aioint e s dr o it	--⌫|----||---|-⌫-⌫|--⌫-⌫-|
a ux c ieulx	-⌫-|-⌫----|
Etrequiert a udoulzIhesu crist	-|-------|-⌫|----|-----⌫----|
Quil reco i ueso n esperi t.	-|-|----⌫-⌫-|--⌫|------⌫-|
BeausireD ie u	---|---|-⌫--⌫|
ieuousrequier	-|---|------|
uo usplaise moyottro ier	--⌫-|-----|--|-----⌫--|
Que uousgard ie zceulxde pesance	--|---|----⌫--⌫|----|-|------|
Quidemoyferont r e membr anc e	--|-|--|-----|-⌫-⌫-----⌫---⌫|
PAGEu01P 1 71	--------⌫-⌫-|
Syu ous r equ ier biau sireDieux	-|-⌫--|-⌫---⌫--|---|---|----|
feron tfonderaux cieulx	-----⌫|-----|--|-----|
nom fe ront offrande	--|--⌫---|-------|
Sirega r delesde mesprendre.	---|--⌫-⌫-|--|-|----------|
Quantotfindesor oison	----|-|----||--⌫----|
grantprocession	----|---------|
DesangesDieu d u ci elen terre	--|----|---|-⌫|--⌫-|-|----|
Quiuindrentlam edeluiquerre.	--|-------||--⌫|-|--|------|
uientenGe or gedient	---||-|--⌫--⌫-|----|
Huyaurasce que tudemande s	--|----|-|--|-|-------⌫|
Huyse ra s	--|--⌫--⌫|
e n l acompaignie	-⌫|-⌫|---------|
filz Saint eMarie.	---|-----⌫|-----|
U n sergen tpristle dam oisel	-⌫|------⌫|----|-|---⌫----|
Lespde tra itehorsdufour r el	|----|---⌫--|---|-|----⌫-⌫-|
Et ildo nnesi gran t	-|-|--⌫--|-|----⌫|
Quil lyalate stecoppé e.	-|-|-||-|--⌫--|------⌫-|
Les angesontlam esaisie	--|----|--||--⌫|-----|
Etuontchanta nsa	-|---|------⌫-||
uoix ser ie	---|---⌫-|
A Di eulepere	|--⌫-|-|---|
toutpuissa nt	---|------⌫-|
Auxcieulxluien font unpresent.	--|-----|--|-|---|-|-------|
Le nnemistpaslecorpsen fosse	|-⌫|-|---|--|-|----|-|----|
Ai nsfutportdenCap adoce.	--⌫-|--|----|-|---⌫-----|
Cresti en sli firen tpo rter	------⌫--⌫|||-----⌫|--⌫---|
Une egliseenfirentfo n d er.	--|-----|-|-----|--⌫-⌫-⌫--|
Orprions leglorieux	-|-----|-|-------|
Tous et toutes qu e	---|-|-----|--⌫|
il nousmaint	-|---|----|
Asibonport quenou spuissi on	|-|--|---|--|---⌫|------⌫-|
Auoi rura ieconfes si on.	----⌫|---⌫-|------⌫--⌫--|
§Cyfinedemonseigneur SaintGeorge.	|-|---|-|----------|----|------|
