formIcicoume ncelauiede seint Gile	---|--|-----⌫--|-|--|-|----|---|
li a uoitdonee.	-|-⌫---|----||
Lo rs se leuasi	--⌫-|-|---|-|
fis t signea la cerue q	---⌫|----||-|----||
elesa pai s ast e tsine fust plus	--||-⌫---⌫-⌫--|-⌫|-|-|---|---|
es p oorieetele	--⌫-⌫----|-|--|
alagesi rdeuant lespie zdelseinthome	--|----⌫|-----|--|---⌫|--|----|---|
si conmeele	-|----|--|
estoitacostumee et tuit	-----|--------|-|---|
li chi enqila siu oi entretornerenttoz usla nzencontreles	-|---⌫-|-|-|---⌫--⌫--|----------|--|----⌫-|-------|--|
ueneorsetnel	------|-|-||
oserentaproismierpuis	------|---------|---|
qu e el e fuuenueasa	--⌫|--⌫|-|----||-|
garan tiedela m ont anced	-----⌫--|-|-|-⌫---⌫---||
unegetee de pierre .	--|----|-|-----||
Lanuiz qifuue nueconstreinstles	-|---|-|-|--⌫--|----------|--|
lassees toientde repairier arrierem es	----|--⌫-----|-|--------|------|-⌫-|
porceqiln a uoient laceruep risene	--|-||-||-⌫-----|-|----|-⌫---|-|
atei nte e sto ient	----⌫--|-⌫---⌫---|
il m outdolenzs i	-|-⌫--|-----|-⌫|
deui serentqilreuendroi e n tl ende mei nch acierlamatinee	----⌫-----||-|---------⌫-⌫-⌫|-⌫----⌫---⌫|--⌫----|-|------|
Quan tlanuizfutrespa sseee tlamatinee re uenuetoute	----⌫|-|---|-|------⌫---|-⌫|-|------|--⌫----|----|
lamesniel e	-|-----|-⌫|
rois esmut po ra ler chacierla bischequ	--||----|--⌫|-⌫--|------|-|-----|-|
ilnepore nt p rendre	-|-|----⌫-|-⌫-----|
lei or deuant ne	-|-⌫-|-----|-|
at eindr e .	--⌫-----⌫||
Qantil se nfurent repairié il lecon terent	---|-||-⌫|-----|--------|-|-|---⌫-----|
auro i etdistrent.	-|--⌫|-|-------||
Qant l i r ois	---|-⌫|-⌫--|
chose sis e pensa qe ce	----|-|-⌫|----|-|-|
estoitdeuineoeuresicomceestoit.	-----|-----|----|-|--|-|-----||
Lorstrest aleuesqedela cit e ́	---|----|-|-----|-|-|---⌫-⌫|
de Nemausense siliconta cest afai retout	-|---------|-|-|----|---|----⌫-|---|
parordresic omliueneor	--|----|-|-⌫-|-|-----|
liauoie ntretrete .	-|-----⌫-|------||
Dont pristrentconsei lli	---|--------|------⌫|-|
roi setli euesqes qelendemein	---⌫|-|-|------|-|--------|
iorneeiroientenla f o r esten sambleogranz	-----|------|-|-|-⌫-⌫-⌫--|--⌫-----||----|
torbe s deuene ors	-----⌫|-|----⌫--|
et de b rochese t dechienspor	-|-|-⌫-----|-⌫|-|-----|--|
prou er etporsauoir	----⌫-|-|--|-----|
ceste chose .	----|----||
Si comille	-|--|-|-|
d is trent einsi nt l e firentcarlendemein	-⌫--⌫----|-----⌫-|-⌫|-----|--|--------|
matineef u rentil mouttempre	------|-⌫-⌫---|-|---|-----|
en la forestsicomil auoi entdeuisé si	-|-|-----|-|--|-|----⌫--|------|-|
es muren tla	--⌫-----⌫|-|
c eru e sicomi lsoloient	-⌫---⌫|-|--|-⌫|-------|
fereetelese nuin tfuiant aul eu ou	---|-|--||-⌫|---⌫|-----|-|-⌫-|-|
lisei nzh omestoitsi	-|---⌫-|-⌫-|-----|-|
com eleauoita	--|--|----||
Li chienrepairierentarri eretuite s b ahiqilne l	-|----|-----------|----⌫--|---|-⌫-⌫-⌫--||-|-||
osoientsiureneapr oismieretbiensac hiez	------|----|-|---⌫------|-|---|---⌫---|
qil ne po o ient .	|-|-|--⌫-⌫---||
Licheualier	-|--------|
e tliue neor et liarchierauironere nt lafosse del	-⌫|-|--⌫---|-|-|------|---------⌫-|-|----|--|
seinthomea lareondecar	----|---||-|-----|--|
eleestoitr e poste	--|-----|-⌫-⌫----|
et aombre e	-|------⌫|
despés bo is et de buissonsporcesi cuidoient	|-----|--⌫-|-|-|-------|--|-|-|--------|
nieu ̈stautrechose	||--⌫--|----|----|
qelacerue q isifustr eposte.	-|-|----|-⌫|-|---|-⌫-----||
Lors tre stli uns desarchiers unesaietepor	---|---⌫-|-|--|--|-------|--|-----|--|
ceq ilcuido it	-||-|-----⌫-|
ch acierlabische f orsdel	--⌫----|-|-----|-⌫--|--|
buissonmes il ferile	------|--|-|---|-|
seinthome enlacuisseqideuantl	----|---|-|-|-----|-|-----||
entreeestoiteno rissons sile p laia	-----|-----|-|-⌫------|-|-|-⌫---|
mout do lereusem en t.	---|--⌫--------⌫--⌫||
c heualierqienuiro n	-⌫-------|-|------⌫|
e stoientcomencierenttantasiureeta	-⌫------|-----------|---||----|-||
apr oismier qiluindrent auserf	---⌫------||-|-------|-|---|
n ostr eSign orqi tozsangle nzet	-⌫----⌫|----⌫-|-|--|------⌫-|-|
pl aiésfesoit encore sesori ssonse t	--⌫----|-----|-----|--|---⌫----|-⌫|
sesproiere s mesauquesl en	--|-------⌫|--|-----||-|
destorboit ladolorde l a	---------|-|----|-|-⌫|
p la iesiu irentqi lestoituns ui elzhom	-⌫--⌫-|-|-⌫----||-⌫|-----|--|--⌫--|--|
chenu zde grantbeautéeten	-----⌫|-|----|------|-|-|
habit de mo inesi sestoitassis porla	----|-|--⌫--|-||-----|----|--|-|
dole urde lsancqidesa p laiedecoroit si	----⌫-|--⌫|---|-|-|-|-⌫---|-------|-|
sesmerueil lierentqela cerue gi soitdeu antluiases	|---------⌫------|-|-|----|--⌫---|---⌫--|--||--|
L iroisetli	-⌫|---|-|-|
eues qes uind rent aluiapiétants olementsicoma nderent	----⌫--|----⌫---||--||---|---|-⌫------|-|----⌫------|
tozlesautresatrerearriere.	--|--|-----||----|------||
Qan t ill or entsaluée t ill or	---⌫|-||--⌫--|-----|-⌫|-|-⌫-|
otresp ond u mo utbenignementillidemande rent	-|----⌫---⌫|--⌫-|----------|-|-|-------⌫---|
qiil estoit e t dequelcontr ee	-|-|-----|-⌫|-|---|-----⌫-|
entr ez ensisoutein	----⌫-|-|-|------|
hermitage et qicil	--------|-|-|--|
est oit qitant gri e mentlauoitplaiéetnauré	---⌫--|-|---|---⌫-⌫---||----|-----|-|-----|
Etqantli seinzhom l orot	-|---|-|----|--|-⌫-|-|
dit so nnonetl e nonde	--|--⌫|--|-|-⌫|--|-|
sacontreeetlochoisonporqoiil estoitl a	-|------|-||-------|--|--|-|-----|-⌫|
uenusetcoment i l auoitre ce üela plaielirois	----|-|-----|-⌫|----|--⌫--⌫--|-|----|-|---|
e t lieu esqeslicheïrentaspieze tsili	-⌫|-|--⌫----|-|--------|-|---|-⌫|-|-|
pr oierentpardonde	--⌫------|-----|-|
celmes fetet si	--|---⌫--|-|-|
lidistrentq il	-|-------||-|
lienuoieroientmir es etde spensespor guerirsaplaie.	-|-----------|---⌫-|-|--⌫------|--|-----|-|----||
Liseinzhom saienol laaterre porproier nostre	-|----|--||------⌫-||----|--|-----|-----|
Signorqil lor	-----||-|--|
pardonast etsi lor	--------|-|-|--|
dist qi lneuoloit ne	---||-⌫|-|-----|-|
n e requeroitauoir nule	-⌫|--------|----|---|
cor po rel mi e deci nedenulhometerrien	---⌫--⌫--|--⌫-⌫----⌫-|-|--|---|------|
sedenostreSig nor non	-|-|-----|---⌫--|--|
Q antliroiset lieuesqes loï rentil s	-⌫--|-|---|-|-|------||---⌫---|-||
esmeruellierentmoutde sag rant sein teési li	--------------|---|-|-|-⌫---|----⌫---|-|-|
proumistren tpluiseursdons mes	-----------⌫|--------|---|--|
seinzGile s nen uout	----|----⌫||-|---|
nul rec ̧o iure	--|---⌫--⌫---|
Quantilorent assezalui	----|-|----|----||--|
parl é depluiseurs c hosesil	----⌫-|-|--------|-⌫----|-|
se m istrenten ses or is sonsetapréss	-|-⌫------|-|--|--⌫--⌫---|-|-----||
enpartir ent	-|------⌫--|
Qantilsenfurent	---|-||-|-----|
pa rtiz lis einzhom senti q	--⌫---|-|-⌫---|--|----||
iles t oit moltafebloiezpor la doleur de	-|--⌫-⌫--|---|--------|--|-|-----|-|
sa plaiesiproia a no streSeigno rqe	-|----|-|----||--⌫---|------⌫|-|
i amés encest	-⌫----|-|---|
l i fustplusgrantsanté renduetantcomi l	-⌫|---|---|----|-----|-----|---|--|-⌫|
u esquist.	-⌫------||
uenoitmout souentaprésce alui por lui	-----|---|-----|-----|-||--|--|--|
uisiter etporoïrses seintesp ar oles	------|-|--|---|--|------|-⌫--⌫---|
offroit etuoloi tdon ergran z	------|-|-----⌫|---⌫-|----⌫|
au o irset granzrichescesmesl isein zhomnen	--⌫-⌫--|-|----|--------|--|-⌫|----⌫|--||-|
uoloit n ulereçoiureeinz	-----|-⌫--|--------|---|
lid ist q ilfeïst	-|-⌫--||-|-----|
auc uneeglisseou	---⌫--|------|-|
ilmeïst pre udomesqi des ozregleuesqissent et qi	-|-----|---⌫-----|-|---⌫-|----|---------|-|-|
nostre Sig norseruissentnuit et	-----|---⌫--|---------|---|-|
L i roislirespondi	-⌫|---|-|-------|
qilleferoi tuol entiers s	|-|-|-----⌫|---⌫------||
il enuoloitestre pa istres et gouerneres.	-|-|-----|----|--⌫-----|-|---------||
Se inz Gilesrefusamoutcestechoseen pluiseurs manieresmes	--⌫--|----|-----|---|----|----|-|--------|-------|--|
tantle m enerent pardisetp ar	---|-|-⌫------|--|--|-|-⌫-|
p aroles etparexamplesqil limostrerent	-⌫-----|-|--|-------||-|-|---------|
uousistou neuousist	------|-|-|------|
lor uo lenté.	--|--⌫-----||
Dontfistliroisqi moltliez	---|---|-|---|-|---|---|
en fufaire.	-|-|----||
molt beles eglisses	---|----|-------|
sei nz Gilles	---⌫-|-----|
loren seign alesleusou	--|--⌫-----⌫|--|---|-|
lenl es deueroitfe r elune enl	|-|-⌫-|-------|--⌫-⌫||--|-||
ouneurseintPere l a postre	-----|----|---||-⌫-----|
autreen l oneurs eintPriule martyr	----|-||----|-⌫---|---|-|-----|
Celefu establieiostelaf ossedel se inthome	---|-|-------|----|-|-⌫---|--|--⌫--|---|
Etl afu i ltoz	-|-⌫|-|-⌫|--|
les iorzdesauieenie uneset	--|---|-|-|--|-|--⌫---|-|
enu ei lles	-|-⌫--⌫---|
e te n o rissons	-⌫|-⌫|-⌫------|
en proiere s.	-|-------⌫||
La sasse mb lerentensem ble o lu ip reudom eetse intho me	-||----⌫--⌫-----|-----⌫--||--⌫|-⌫------⌫|-|--⌫--|--⌫-|
pornostreSignorseruirsolo nc	--|-----|-----|-----|----⌫-|
laruiglede m oniage.	-|-----|-|-⌫-----||
Etli r o isFla uius lordon alat erre	-|-|-⌫-⌫-|---⌫---|--|---⌫|-|-⌫---|
luiesenuironeuse ta oéslorusages	----|------|--|-⌫||---|--|-----|
porce qu il auint une	--|-|-|-|----|--|
uoutparler	---|-----|
a seintGilee t liseinz h om uint encontre	|----|---|-⌫|-|----|-⌫-|---|-------|
l iu esde terr e e tp or ce	-⌫--⌫-|-|----⌫|-⌫|-⌫-|-|
liotr oial iro iset	-|---⌫--|-⌫|--⌫-|-|
donatote sicomp luiseursleracont ent .	---|---|-|--|-⌫-------|-|------⌫--||
Apréscefuseinz Gi llesorde nez	-----|-|-|----|--⌫---|----⌫--|
aprestrepar laproiere desesmo ine setde	|------|--|-|------|-|--|--⌫---⌫|-|-|
toz les hauz	--|--|---|
baronsdelregne et meesme mentdetotlepueple	-----|--|----|-|------⌫---|-|--|-|-----|
Dontprimescomençason cors aamegrirpar g euneset	---|-----|-------|--|---||------|--|-⌫----|-|
parueilles et	--|------|-|
para ssidue lsori ssons .	--|-⌫------⌫-|---⌫----||
eüssi e z ueü lauieqil me noit	------⌫-⌫|---|-|--||-|--⌫---|
et quil auoit comencie a	-|-|-|----|-------||
me ner etmenapuis	--⌫--|-|---|---|
uosd eïssiezqecele qil	--|-⌫-------|-|---||-|
a uoit deuant	-⌫---|-----|
me neees toite nuerscestemout d eliteuse	--⌫--|--⌫---|-⌫----|----|---|-⌫-------|
Et celsqil auoi tdes ozluicomenciez	-|---||-|----⌫|---⌫-|--|--------|
a ga rde rmeno it	|--⌫---⌫|----⌫-|
i ls idocementetpar si do cemaniereq il	-⌫|-⌫|-------|-|--|-|--⌫-|------||-|
ledoto ie ntplus e th onoroi entpar	-|----⌫--⌫-|---|-⌫|-⌫------⌫--|--|
lagrantamo r	-|----|---⌫|
q il auoie nta luiqeparla	|-|-----⌫-||--|-|--|-|
cre missent.	---⌫------||
Etqiporroit	-|-|------|
direne escrir elagrant	---|-|------⌫|-|----|
foin elagr antch aritéqenostre	--|-⌫|-|--⌫--|--⌫-----|-|-----|
Sire sauoitenluimis e Tant ala la renom ee	----⌫|----|-|--|---⌫|---|--|-|-----⌫-|
delu ietla	-|--⌫|-|-|
sareli gionqele	-|----⌫---||--|
paruintas oreilles de Charlemeine qi	------|-|-------|-|----------|-|
a do n cest oit roisdeFrance .	-⌫--⌫-⌫|---⌫--|---|-|-----||
Qantli roi soi ̈	---|-|---⌫|--⌫|
parlerdeseintGileqisi est oit preudom	-----|-|----|---|-|-|---⌫--|------|
e tsiseinteui emenoitild esirra	-⌫|-|-----|--⌫|-----|-|-⌫-----|
mo l taparler	--⌫-⌫||-----|
aluisilitramistsesmess ages	|--|-|-|------|--|----⌫---|
et mandapar	-|----|--|
m olt docema nie re	-⌫--|---|--⌫---⌫-|
qilnelessastmie q	|-|-|------|--||
uenistuisit er	-----|-----⌫-|
Qantlisein z hom oïles	---|-|----⌫|--|--|--|
messagesqeliroisle	-------|-|-|---|-|
mandoiten te lemani ere	------|-|--⌫-|----⌫--|
ilatornas esc hos esettantalaqi l uint	-|-----|-⌫-|-⌫---⌫-|-|---|--||-⌫|---|
aOrli ens .	|----⌫--||
Laherbergailun e	-|-------|-|--⌫|
nuitmestantostcomil u int en lacitéala	---|--|------|--|-|-⌫--|-|-|----|--|
ilaumost i erde	-|-|----⌫-⌫-|-|
SeinteCr oiz po r feresesoris ons.	-----|--⌫--|--⌫|---|--|----⌫--||
Etmein tenantqi lfuentrez	-|----⌫-----||-⌫|-|-----|
enleglisseuns	-||------|--|
estoitforsdel senzcomençaenunangle d e l	-----|---|--|---|-------|-|-|----|-⌫-⌫|
mostier acrier mout o riblem e ntparle	------||----|---|-⌫------⌫-⌫-|--|-|
deableqilauoitel cors etsid i st Heu	-----||-|----|-|---|-|-|-⌫-⌫-|--|
heuGiles com ie suesfr epar t oigranztormenz	--|----|--|-|------⌫|--|-⌫-|----|------|
Encore nesoitt aiustic econtr ereameslois lesse	-----|-|---|-⌫|------⌫|-----⌫--||--|---|----|
unpoitesorissons afere tan t	-|--|--|-------||---|---⌫|
qe ieai c o ngiédecipartiretde te nir	-|-|-|-⌫-⌫----|-|-|-----|-|-|--⌫--|
mauoiec arla ouies uiici	-|---|-⌫-|-|-|-|-⌫-|--|
enclos sisuiiepartoitormentezmol tgrieme nt .	-----|-|--|-|--|--|--------|---⌫|------⌫-||
Quant l iser z	----|-⌫|---⌫|
nostreSignoroïeinsi parler le deab leil fistla	-----|-----|--|----|-----|-|----⌫-|-|---|-|
sign e delauraiecroize nmisonfro nt	----⌫|-|-|----|----|-⌫--|--|---⌫-|
ets idistEn emis dum eine ligniede par toid e	-|-⌫|---|--⌫---||--⌫---|-----|--⌫--|--|-⌫|
ci si uatau oieDon t	-|-|-|-|-⌫--|---⌫|
g eta lideable s u n gran t braitsid e guerp i lome	-⌫--|-|------⌫|-⌫|----⌫|----|-|-⌫-⌫-----⌫||--|
tou t seinet heiti é qi l	---⌫|---|-|-----⌫-||-⌫|
auoitmoutdurementtraue illié.	----|---|-------|-----⌫-----||
C estmiraclefu tostpart o ut racont ezetsifis t	-⌫--|------|-|---|----⌫-⌫-|------⌫-|-|-|---⌫|
seintGill e qi de u antestoitde	----|----⌫|-|--⌫-⌫--|-----|-|
gran tnonparlate rre	----⌫|--|--|-|--⌫--|
deFrance de pl us	-|-----|-|--⌫-|
grantnonetdeplus grantrenome e	----|--|-|-|---|----|------⌫|
Delas en a laila	-|-||-|-⌫-|-||
Charl emeineq ilereçut agranthon eu r sicom	-----⌫-----|-⌫|-|-----||----|---⌫--⌫|-|--|
ilf ere de u oit.	-|-⌫--|--⌫-⌫--||
Qantli rois ui tqelac hos e	---|-|---|--⌫|-|-|-⌫---⌫|
e stoitestoit ueraiedelab one	-⌫----|-----|-----|-|-|-⌫--|
renomeeqelen li auoitd el	------|-||-|-|----|-⌫-|
seinthome ditei lfu molt l iez	----|---|---|-⌫|-|---|-⌫--|
si le tinten sem bleolui par nes aiq anz	-|-|---|--⌫---⌫--||--|--|-|-⌫-|-⌫--|
iorzpar moltgranz	---|--|---|----|
proiere ssiparlere ntentreu sde	-------⌫|-|-------⌫-|---|--⌫|-|
pluseurschoses etdeme inzmiraclesetdel	-------|-----|-|-|--⌫--|-------|-|--|
mondeqel endeu oitdespi re.	----|-||-|---⌫--|-----⌫-||
Entr ecez choses pro ia	----⌫|--|-----|---⌫-|
mo ltdocementliroisle se int homeqi l deg nast	--⌫-|-------|-|---|-|--⌫--|---||-⌫|---⌫---|
proier anostreSignor	-----||-----|-----|
c arilauoitfaitunuileinpe chié	-⌫-|-|----|---|-|-----|--⌫----|
q ilna uoito nq esa	|-||-⌫---|-⌫--⌫-||
n ulhom e dit	-⌫-|---⌫|--|
neau sei nthomene l oso it	-|-|---⌫-|---|-||---⌫-|
Qant uint au diemence et	---|---|-|-------|-|
ilchantoitmesseilproiaanos tre	-|-------|----|-|----||---⌫--|
Signorp orle roi.	-----|-⌫-|-|--||
esto itelcanonli aparutliangelesnostre	----⌫-|-|----|-|-----|-|------|-----|
Signor qim ists eur lautel	-----|-|-⌫--|-⌫--||----|
une chartree n coilipechiezle	--|------|-⌫|--|-|------|-|
escriz s ic onmeill auoitfet	-----|-⌫|-⌫---|-||----|--|
et qilliestoit	-||-|-|-----|
pa rdonez parl aproiereseintGile si ls	--⌫-----|--|-⌫|------|----|---||-⌫||
enrepentoit tant	-|--------|---|
solement et ledeguerpissoit	-------|-|-|------------|
etaudaerreines toit escritenla	-|-|-------|--⌫---|-----|-|-|
chartr equeq icon qesap elero itse intGilepor	------⌫|--|-⌫||--⌫--|--⌫-----⌫-|--⌫--|---|--|
a ucunpe chié sil	-⌫---|--⌫----||-|
lauoi t faits	|----⌫|---||
ille uoloitde gue rpirnos treS ires l i	-|-|-----|--⌫---⌫---|---⌫--|-⌫---|-⌫|
p ardon roitsanzdotanc e .	-⌫-----⌫---|---|------⌫||
Li sein z hom	-|----⌫|--|
qantil uitlachartreenrendi	---|-|--|-|------|-|----|
gracesanostreSignorsi	-----||-----|-----|-|
con ta au roiceste c hose	---⌫-|-|--|----|-⌫---|
etle pechié qilneliosoit	-|-|------||-|-|-|----|
reconutson pe chiéqilauoi tfetsi	------|--|--⌫----||-|----⌫|--|-|
liche ïas piezetsi	-|---⌫-|-|---|-|-|
liproiaqilli	-|----||-|-|
aidastenuers nostreS i gnorpar	-----|-----|-----|-⌫-⌫---|--|
sespr oi eres e tl i	--|--⌫--⌫---|-⌫|-⌫|
s einzhomliconm andaq	-⌫---|--|-|----⌫---||
i lplusnele	-⌫|---|-|-|
Aprésce nes a i	-----|-|-|-⌫-⌫|
i e q a nziorzpri st ilcong ié au	-⌫|-⌫-⌫-|---|---⌫-|-|----⌫--|-|
granzpei nesli	----|---⌫--|-|
donasisen alaa g ran thoneurens	---|-||-|--||-⌫---⌫|-----|-||
abeïe sie mportagranz	-----|-|-⌫-----|----|
donsqe li rois	---|-|-|---|
liauoi tdonez .	-|----⌫|----||
E t lanuit	-⌫|-|---|
qu iliut aNemau sensetrouail mort le fil	-|-|--||-----⌫----|----|-|---|-|--|
qenostreSiresre s uscitapar sa	-|-----|----|--⌫-⌫-----|--|-|
pr oie re.	--⌫---⌫-||
Etqant ilfu	-|---|-|-|
reue nu z a	----⌫--⌫||
s abeïe e tili ot	|-----|-⌫|-||-|
esténe se ic ombiende ten sil	----|-|--⌫|-⌫-----|-|---⌫|-|
sesfreresqesabeïeser oitdestruite	--|-----|-||-----|---⌫--|--------|
parmaus homes	--|---|----|
qi uendr oientdedenzbriefte rmeettel chose	-|-----⌫----|-----|----|--⌫--|-|--|----|
seintEsperitdemostree.	----|------|--------||
Do nt se n	--⌫-||-⌫|
alali se inzho ma R om eensambleopetitde	--|-|--⌫--|--⌫||-⌫--⌫|-------||----|-|
sesfre resporuis iterleco rsde seint P ereet	--|---⌫--|--|---⌫---|-|--⌫-|-|----|-⌫--|-|
des eintPollez	-|-⌫---|--|--|
be neoizapostresetpormetre seglisse enl a	--⌫----|-------|-|--|----||------|-|-⌫|
mei nlapost o le	---⌫||-----⌫-⌫-|
si qeau trepersonen i	-|-|--⌫--|------|||
clamast droit ureeltens de doncneel tensqi	------|-----⌫--|-|---|-|---|-|-|---|-|
Dece ra portali	-|-|--⌫----|-|
seinz homensambleoluibon preuilege	----|--|-------||--|--|--------|
d ela postoileet silidona	-⌫||-⌫-------|-|-|-|---|
liapostoi le s .	-|-------⌫--⌫||
huisde cyprés	---|-|------|
ymagesdesa postr esestoiententai l li e sporme t trea	-----|--|-⌫-----⌫-|-------|-----⌫-⌫--⌫-⌫|--|--⌫-⌫--||
lentreedelegl yseporceqelefust	|-----|-||---⌫--|--|-||--|---|
Liseinzhomlenren dig r ace s	-|----|--||-|---⌫-|-⌫-⌫---⌫|
et silesco mandaametreel	-|-|--|--⌫----||----|-|
Toiure et puis	-----|-|---|
les comandaa n ostre Si gnorp or	--|------||-⌫----|--⌫---|-⌫-|
gouerner .	-------||
Cilqice uirentdistr entqece est oitf oli e	--|-|-|-----|-----⌫--|-|-|---⌫--|-⌫---⌫|
car ilse ro ientperduzsil aualce le	--|-|--⌫--⌫---|-----||-|---|--⌫-|
eues e n aloien t.	--||-⌫|------⌫||
Sein zGille ssede partide Rome et sitintsa	----⌫|-----⌫|-|--⌫----|-|---|-|-|---|-|
uo ietantqilr euint en France.	--⌫-|---||-|-⌫----|-|-----||
Po rlagrieté delauoie et	--⌫|-|------|-|-|---|-|
por letraua il fu il silassez	--|-|-----⌫-|-|-|-|-----|
q ildemor a .	|-|-----⌫||
iorzaCabin one	---||-----⌫--|
auncontere t santé.	|-|-------⌫|-----||
Etqantilf uue n uz	-|---|-|-⌫|--⌫-⌫-|
enli conta	-|-|----|
et d i stqe.	-|-⌫-⌫-|-||
meruelleu sesentaille üresestoient	---------⌫--|--------⌫----|-------|
au p ortari uees sa nznulg ouernementdome	-|-⌫--|---⌫---|--⌫-|--|-⌫---------||--|
Qa nt l iseinz homloï	--⌫-|-⌫|----|--||--|
s ien f umout liez si	-⌫|-|-⌫|---|---|-|
enrendigraces ano streSi gnor qipar	-|----|-----||--⌫---|--⌫---|-|--|
t a ntgrantespacedemer	-⌫-⌫-|----|-----|-|--|
tanztormenzd eu es et par tantes	---|------||--⌫-|-|--|-----|
roches etpa rtanzp orz les	-----|-|--⌫|---|-⌫--|--|
auoit gouernees sanzfroischiere tsanzblech eüre.	----|--------|---|---------|-⌫|---|-----⌫----||
Lorslescomanda a apor tera	---|--|------||----⌫--||
met reas hu isseüresdelmostierpo r beauté e t	---⌫-|-|--⌫--------|--|------|--⌫|------|-⌫|
por b esoi gn e.	--|-⌫----⌫--⌫||
Qa ntilotses	--⌫-|-|-|--|
freresconferm ez enbienetenue raie foi eten	-----|-------⌫-|-|---|-|-|--⌫---|--|-|-|
ueraiecharité parle spaced un	-----|-------|--||-⌫----||-|
b r ieftenseti l otles choses de sabeïe	-⌫-⌫--|---|-|-⌫|-|--|-----|-||-----|
moutb iencon ferme eseto rd enees nostr eSires	---|-⌫--|---⌫-----⌫-|-|-⌫--⌫----|-----⌫|----|
uoutrendre la desierte desont rauaill ilessasauoir	---|-----|-|-------|-|--|-⌫-----|-⌫|----|-----|
parlesei ntEsperitle iordesa	--|-|---⌫-|------|-|--|-|-|
finetilledemostra	--|-|-|-|-------|
etdista chascun	-|---||------|
desesfre resespiritueusetsi	-|--|---⌫--|----------|-|-|
leurproia moltdocementqilproia ssentpor	---|----|---|-------||-|-----⌫----|--|
Et s iauintqele diemenceamienuitse	-|-⌫|----|-|-|-------||------|-|
departil ame deson	------||--|-|--|
cors et alaanostreSignorIe suCris t et	---|-|--||-----|-----|--⌫-|----⌫|-|
deguerpilatristrecedecestdol entsi ec le	-------|-|--------|-|---|---⌫--|--⌫--⌫-|
etreçutla io ieetlaleesche	-|-----|-|--⌫-|-|-|------|
des cielse t cefu eskal end es de	--|----|-⌫|-|-|-|---⌫---⌫-|-|
setembre .	-------||
Lafurent sein t homeqi	-|-----|----⌫|---|-|
iloïre n tl e scompaigni esdesang elesqi totchantantemp o rte rent	-|-----⌫-⌫|-⌫-⌫|---------⌫-|--|---⌫---|-|--|-------|---⌫-⌫---⌫---|
la me delseintho mea granz lo enges	|-⌫-|--|----|--⌫-||----|--⌫----|
Orte proions nos etrequeronsbeauss ire	-|-|------|--|-|--------|----|-⌫--|
sein z G ill e sbo ns peresqe	----⌫|-⌫---⌫-⌫|--⌫-|----|-|
tesseintesm e ritesnos	--|------|-⌫-⌫----|--|
puis sentaidi eret secorre	----⌫---|----⌫-|-|------|
anostre SignorIesu	|-----|-----|---|
Cristq iensambleosonPere	----|-⌫|-------||--|---|
le t otpui ssantetle seint Esperituitetre gne	-|-⌫-|---⌫----|-|-|----|------|--|-|--⌫--|
uns seu sDexpartozlessiecles d ess iec lesparma nable	--|---⌫|--|--|--|--|------|-⌫-|-⌫---⌫--|-----⌫----|
