etuosseruoi eparchans	-|--|------⌫|--|----|
quantontseruipornean t con quest er	----|--|----|--|----⌫|---⌫-----⌫-|
moiseuueillent d e bat ailleesprouer	--|-|--------|-⌫|---⌫----|-------|
gelord orraideniers et h eritez	-|--|-⌫----|------|-|-⌫-----|
chasteauset marches donions	--------|-|------|------|
etfermetez	-|-------|
s elepaismai d enta conq uester	-⌫|-|---||--⌫-⌫--||----⌫-----|
loi deuessaucieretmonter	--|--|--------|-|-----|
ceuueilgedire aspoure sbac helers	-|----|-|---|-|-----⌫|---⌫-----|
asescuie rsqui ont dra s depan ez	-|------⌫-|--|--|---⌫|-----⌫-|
s enuienent	|-|------|
espaigneco nquest er	-------|--⌫------⌫-|
e tlepa i s maidenta aquit er	-⌫|-|--⌫-⌫||-----||-----⌫-|
etl a loidieuessaucier	-|-⌫|--|---|--------|
t antlor dorraidenierset argent	-⌫--|--|-----|------|-|-----|
chastia uset marche sdonionset	-------⌫-|-|------⌫|------|-|
destriers despaigne	--------||-------|
siseront adoub é	-|-----|-----⌫-|
qua nt cil loire nt	---⌫-|--||----⌫-|
sis ontioiante t lie	-|-⌫--|-----|-⌫|--|
a hauteuoi z commenc enta huchie r	|----|---⌫|-------⌫--||------⌫|
sirexmpordieune	---|-|--|---|-|
uost argier	--|-⌫-----|
quinacheual o	--|||-----||
nosira api e	--|--||--⌫|
quidont ueist les	--|---|----|--|
pouresescuiers	-----|-------|
ensenble el s	-------|--⌫|
lesp o urescheu aliers	--|-⌫-⌫---|----⌫-----|
uon taxml emarchi sauuis fier	---⌫||-|-⌫|------⌫|-|--|---|
e n p et it deureen otyy	-⌫|-⌫--⌫-||---|-|-|-|
m il liers	-⌫--⌫----|
al o rpooirsda rmesapareilliez	|-⌫-⌫|-----||-⌫---|----------|
quituit enont	--|---|-|--|
iuré etafichié	----|-|-------|
nelif aud rontporlesmembres	-|-|-⌫---⌫---|--|--|------|
uoitlexm s enestioi ant et	---|-|-||-|--|---⌫--|-|
de di eu de gloire lesenamerciez	-|--⌫-|-|-----|--|-||------|
li cuensx mfistforme nta pr oisi er	-|----|-⌫|---|-----⌫-||--⌫----⌫-|
a roisloouaprendrel eco ngie	|---|--|-|------|-⌫|--⌫---|
li roisli d on edegreet uolentier s	-|---|-|-⌫--⌫|-|--|-|---------⌫|
alezbi ausireauglorieusdel	---|--⌫-|---|-|-------|--|
ih esus de g loireuosdo ingbien esploitier	--⌫---|-|-⌫----|--|--⌫--|---|---------|
doingsainetsa utr ep arrie r	----|---|-|--⌫-|-⌫--⌫-----⌫|
enxmlimarchis	-|-|-|------|
au uis fie r	-|--|---⌫|
ensenble o	-------||
luimaintgentil cheualier	--|----|-----|--------|
pa rmi la sal e ez uos aymonleuiel	--⌫--|-|---⌫|-|--|----|-|---|
dexlecon fonde	--|-|---⌫----|
l iglorieu s duc iel	-⌫|-------⌫|-|-⌫--|
ouuo itl e roiselprista	-|--⌫-|-⌫|--|-||----||
droizempereres	----|--------|
engi gniez	----⌫----|
c ommen t biausire	-⌫-----⌫|---|---|
r espondie	-⌫-------|
ceuosdir ai	-|--|---⌫-|
desor s en uetxmlegue rrier	--|-||-|--|-|-|---⌫----|
en s acompaignem a intge ntilcheualier	-|-⌫|--------|-⌫-⌫--|--⌫---|--------|
defranceuosa	-|-----|--||
fet s iu uidier	--|-⌫|-⌫-----|
sorgerr ene uos	--|----⌫|-|--|
porroiz aidier	------|-----|
etsi creibie n	-|-|---|---⌫|
quilreuenra	-|-|------|
tuitl iautre	---|-⌫|----|
erentmen é a mend i er	----|---⌫-||----⌫-⌫-|
nendi tespreu	|-|--⌫--|---|
roiloo resp ondie	--|--|----⌫----|
molt estpr eudonx mleguerrier	---|--|--⌫----|-⌫|-|-------|
en nuleterren a me illorcheualier	-|---|----|||--⌫----|--------|
bien maseruiauferet	---|||----|-|--|-|
ihesus degloir el end oingbienre perie r	-----|-|-----⌫||-|-⌫---|---|--⌫-----⌫|
etsilido ing totee spa igneaquitier	-|-|-|--⌫--|---|-⌫---⌫---|-------|
i lu ecauo itzzgentilcheual ier	-⌫--⌫-|---⌫-|-|-----|------⌫--|
a peloitle	-⌫-----|-|
tolosan gauti er	------|-----⌫-|
quantiloixml eden gier	----|-|-|-|-⌫----⌫---|
mol tfudola ntn	---⌫|-|----⌫-||
qu e corocie r	--⌫|-------⌫|
isnele mantaual eleplanchier	------⌫---|----⌫|-|--------|
uin t axm selseisi	---⌫||-|-||----|
parlestrier	--||------|
r esnedesoncor antdestri e r	-⌫---|-|--|---⌫--|------⌫-⌫|
sire ditil moltes	---|--|-|---|-|
bon c heualier	--|-⌫-------|
m es el palesne uau s	-⌫-|-|----|-|---⌫|
q uiditce donques ditxm le	-⌫-|--|-|------|--|-|-|
siredit ilgeneuos	---|--|-|-|-|--|
f oiquedoiuosce	-⌫-|--|--|--|-|
f etaymesle uiel	-⌫-|----|-|---|
enuersleroi uos pensedenpirier	-----|-|--|--|----||-------|
et dit xm i l	-|--|-|-⌫|
lec omparra chier	-|-⌫------|----|
sedex medone quepuiss er epe rier	-|--|-|---|--|-----⌫|-⌫---⌫---|
geli feraitoz lesme mbres t r anchier	-|-|----|--|--|--⌫----|-⌫-⌫------|
o upe ndreas	-⌫|--⌫---|-|
forchesoueneu e	------|-|-|--⌫|
etd itgautiernasoing	-|-⌫-|------|||----|
de menaci e r	-|------⌫-⌫|
tiex ho mmenace	---|--⌫|-----|
uautzz xxm	---|-|--|
mesdune chos e	--||--|----⌫|
uosuorroieproier	--|------|-----|
desons eru iselirendez	-|--|-⌫---⌫--|-|-----|
ici deue z	--|----⌫|
la gerr ecommancier	-|----⌫|---------|
cistapremier suostreerrechalon gié	---||-------⌫|-----|---|------⌫---|
etditxmuoirdite s par	-|--|-|---|----⌫|--|
libe rs descent etillitintl	-|--⌫-|------|-|-|-|---||
t otma in amainenmonte n tleplanchier	-⌫-|--⌫-||---|-|-----⌫-⌫|-|--------|
uoit lel i roisencontre	---|-|-⌫|---|-------|
setdr eciez	|-|--⌫----|
yyses brazlia au	-|--|---|-||-|
colplo ié	--|---⌫--|
yyfoisle baise parmolt	-|---|-|----|--|---|
grantamis tie	----|----⌫--|
molt belem ent le	---|-----⌫--|-|
pr is taaresnier	--⌫--⌫||-------|
s irexmuos pletilnul erien	-⌫--|-|--|---|-|---⌫|---|
dor n ed argent que	|-|-⌫||-----|--|
pui sseesligier	---⌫--|-------|
auople sirenauroizsanzdongier	|-|---⌫--|-|-----|---|------|
granz merci zsire xm respondie	----|-----⌫|---|-|--------|
ie aia ssezquanqueilmest	-|-|-⌫---|------|-||--|
m esd unech ose	-⌫-||--|--⌫--|
uos uorroie proier	--|------|-----|
queiagloutonnaiezaconseillie r	--|-|------||---||----------⌫|
lorsse r egard edan	---|-|-⌫-----⌫|--|
salechoisiaymon	---|-----|----|
quantill e	----|-|-⌫|
uitse lpristaled engier	--|-||----||---⌫-----|
he glozlechi erre s dexconfonde ton	-|---|-----⌫----⌫|--|-------|--|
te painesd e	-|-----|-⌫|
franchomeiugier	----|---|-----|
ma uienetefor fis ger ien	-|--|-|-|---⌫--|-|-⌫--|
tep ainesm olt de moienpirier	-|-⌫----|-⌫--|-|--|-------|
denisacuilenuet proier	----||--|--|--|-----|
ainzquetepartes letecuituendre chier	------|-|-----|-|-|---|-----|----|
ilpasseaua ntquant il f urebraciez	-|----|---⌫-|----|-|-⌫|--------|
lepoing senestre li amell éel	-|----|-------|-||----⌫-|-|
hauceledestreenzelcol liasiet	----|-|-----|--|-|--|-|----|
l osde lageulelia	|-|-|-|----|-||
parmifroisié	----|-------|
mortlet rebuche d euant	---|-|-⌫------|-⌫----|
luiasespiez	--||--|---|
licuens xm l a sesi parl e chi e f	-|----|-|||---|--|-⌫|---⌫-⌫|
et parles ianbeslitolosans	-|--|--|-----|-|-------|
fen estr eslegietentel	---⌫----⌫-|-|------|-|
suszzpomi er	--|-|----⌫-|
q ue p armilontfroi ssié	-⌫-|-⌫---||--|----⌫----|
o utr efontilleche rrespautonnier	-⌫---⌫|---|-|-----⌫---|---------|
iade losangenauroiz meszzxxm	-|-|------||-----|--|-|--|
roisloysditxmlefier	---|---|--|-|-|---|
ne creezia gloutonnelosangier	-|----|-|------|-|--------|
queuostrepere n	--|-----|---||
onque s zzchier	-----⌫|-|----|
gemen irai enespai g neestraier	-||-|---|-|-----⌫-⌫-|-------|
u ostreer tlaterre	-⌫----|--⌫|-|----|
alezbiausirea dam edieudelci el	---|---|---||---⌫----|--|--⌫-|
ihesu sde gloireuo s	-----⌫|-|-----|--⌫|
dointbienesploitier	----|---|---------|
q ue uos reuo ie	-⌫-|--|----⌫-|
s ainetsautet	-⌫--|-|---|-|
uetsenxmlimarchisauuisfier	--||-|-|-|------|-|--|---|
ensa compai gne auo it	-|-|------⌫--|---⌫-|
etguieli ndan bert ranses	-|------⌫|--|----⌫--|--|
ensembleoelsmainentyyyy somiers	-------||--|------|-|-|------|
bienuossaidireque	---|--|--|---|--|
porteli p r emiers	----|-|-⌫-⌫-----|
ca l icesd oret	--⌫-⌫---||-|-|
mes sauzet sautiers	---⌫---|-|-------|
chapes de pa ileetcroiz et	-----|-|--⌫--|-|----|-|
encensiers	---------|
quantiluenron ten zel	----|-|------⌫|--⌫|-|
regneessilié	----|-------|
seruironttui tdamedie u totpremier	--------|---⌫|-------⌫|--|------|
bien uossaid ir e que repo rtent	---|--|--|-⌫--⌫|--|----⌫----|
l ia ut re	-⌫|-⌫--⌫-|
uasseausdor finmesseaus etbreuia ires	-------||-|--|-------|-|------⌫---|
etcrucefizet moltrichestoaille s	-|-------|-|---|-----|-------⌫|
quantiluenro nt enzou regnes au uage	----|-|-----⌫-|--|-|----|-⌫--⌫---|
sen se rui rontihesul esperit able	|-|--⌫---⌫---|----||-------⌫---|
bienuo ssaidir e	---|--⌫|--|---⌫|
quer eporteliti e rz	--|-⌫-----|-|--⌫-⌫-|
pailleschaud eron s	------|-----⌫----⌫|
ett repiez	-|-⌫-----|
e tcros agu z	-⌫|---|---⌫|
ettenailles	-|--------|
etlandier s	-|-------⌫|
quantiluenr ont elregne	----|-|----⌫--|-|----|
essill ié	------⌫--|
quebienen p uisse nt at ornera men gier	--|---|-|-⌫-----⌫-|--⌫----||---⌫---|
seruirontxmle gu e rrier	--------|-|-|--⌫-⌫----|
et enaprestres tozsescheua lie rs	-|-|----|----⌫--|--|-----⌫---⌫-|
uetsenxmo sa co mp aigne bele	--||-|-||-|--⌫--⌫----|---|
adieucommandefranceet	|---|-------|-----|-|
par iset chartresettote laut re terre	---⌫-|-|-------|-|---||---⌫-|----|
passentborgoigneetberrietau uergne	------|--------|-|----|-|--⌫-----|
au guedesporssont	-|--|--|---|---|
uenua zzuespre	---||-|-----|
tend entitrespaueillon se therberges	----⌫--||---|---------⌫|-⌫|--------|
encezcuisin e s	-|--|------⌫-⌫|
ontcezfeus alumez	--|--|---|-----|
cilqui sehaste ntdelm engie r	--|--|-|-----⌫-|--|-⌫-----⌫|
licue nsxm	-|---⌫-|-|
estoitdedenzsontr ef	-----|-----|--|--⌫-|
p arf o nd emant comma nce	-⌫---⌫-⌫--⌫----|-----⌫--|
asos pirer	|---⌫----|
de l c uerdel u entreco mmencaa p ens er	--⌫|-⌫--|--|-⌫----|--⌫-----||-⌫---⌫-|
uoit lebertra nselprent aesgarde r	---|-|------⌫|-||----||-------⌫|
oncledi til quaueza dement er	----|--⌫|-|-|---||------⌫-|
estesuo s damequi pleurtses ueuetez	----|--⌫|---|--|-----|--|------|
nenil uoirn ie sein coispe nse po rel	----|---|-⌫--⌫|---⌫---|--⌫--|--⌫|-|
que dirontorecil baroncheualier	--|-----|--|--|----|--------|
uez dexmlemarch isa uuisfier	--|-|-|-|-----⌫-|-⌫|--|---|
com ila o rsondroits eign or mené	--|-||-⌫|--|----|-⌫----⌫-|----|
demison regneliuoltparmidoner	---|--|----|-|---|----|----|
il fusif ox	-|-|-|-⌫-|
len sot nul gre	|-|--|--|--|
ain zpristespaign e oun	---⌫|----|-------⌫|-||
o tdroitherite	-⌫|----|-----|
neuer raimes y ygenz	-|---⌫--|--|-⌫|---|
a ssenbler	-⌫-------|
ne cu idede moidoien t	-|--⌫--|-|--|-----⌫|
onclexmporce	----|-|--|-|
lessiezest er	------|---⌫-|
decestecho se ne uoschaut	-|----|---⌫-|-|--|----|
delaue ntur eue t t ote n	-||---⌫----⌫|--⌫|-⌫-|-⌫|
dem andez leuesiseons	---⌫----||--|-|----|
n ie sd it li	-⌫--⌫|-⌫-|-|
cuensbien feta crean ter	----|---|--||-----⌫--|
a tro mp eor sot leuefetc orner	|---⌫--⌫---⌫|-||--|--|-⌫----|
asseziorentsengler	----||----|------|
gruesetgentes etpoonsempeine z	----|-|-----|-|----|-------⌫|
et quantil	-|----|-|
furentriche mant conraé	-----|-----⌫---|------|
li escui ersuontlesn apesoste r	-|-----⌫--|---|--|-⌫---|----⌫|
c ilcheualierrepairentasostiex	-⌫-|--------|--------|-|-----|
tru sq uaudemainq ueilfuaiorné	---⌫--⌫|-|-----|-⌫-|-|-|------|
queilmonteren t esdestriersabri u ez	--|-|--------⌫|-|--------|----⌫-⌫-|
uontaxmle marchisd emander	---||-|-|------|-⌫------|
si refontilqueau eze n pe nse	--⌫-|---|-|--|--⌫-|-⌫|--⌫--|
ditesquelpart	----|---|---|
uos uorr oizor a ler	--|----⌫--|-|-⌫--|
francc heu alier	----|-⌫---⌫----|
tuite steses fr aé	---|-⌫---|--⌫--⌫--|
g airesq ue	-⌫----|-⌫-|
tornamesd ostel	-------||----|
t otdroit abride lecorssain zhennoré	-⌫-|----||----|-|---|----⌫|-------|
nosiro nslae tal a mer e	--|---⌫-|-|-⌫||-⌫|---⌫|
de nozauo isideuon spres enter	-|--|---⌫-||-----⌫|----⌫----|
siproiera porlacrestiente	-|------|--|-|---------|
eti lrespon ne nt sicomuoscommandez	-|-⌫|------⌫--⌫-|-|--|--|--------|
lorscheuauch ierent etrengiéetserré	---|--------⌫-----|-|------|-|-----|
et ont les tertr esetl es	-|--|--|-----⌫-|-|-⌫-|
monztrespassé	---|---------|
parle conseil que lordona	--|-|------|--|--|---|
onttrepasséet b errieta uuergne	--|--------|-|-⌫---|-|-⌫------|
clermontlesserentet monteren tadestre	-------|--------|-|--------⌫||-----|
lac it lessiere ntet	-|-⌫-|--------⌫-|-|
lesriches herberges	--|-----|--------|
ceausdelauileneuorrent il	----|-|-|---|-|------|-|
la nuit iiurentau mati nsen t ornerent	-|---||-----|-|----⌫||-|-⌫-------|
cueille ntlestreslespauei llons	-------⌫-|--|---|--|-----⌫----|
etlesaucubes	-|--|------|
suslessomier strosse rent	--|--|------⌫|------⌫---|
parmiforezet p ar boischeua ucherent	----|----|-|-⌫-|---|-----⌫-------|
p ar ricor daneoutres en repass e rent	-⌫-|-----⌫---|----||-|------⌫-⌫---|
desiaupui onquesne	---|-|--|-----|-|
saresterent	|---------|
xmu etaumostieror er	-|-⌫-|-|------|--⌫-|
yyma rsda rgent a	-|--⌫-||-⌫----||
mis desuslaute l	--|----||----⌫|
etyypailese tyytapizro ez	-|-|-----|-⌫|-|----|--⌫-|
grant est loffrand e	----|--||-------⌫|
queliprinceontdo né	--|-|-----|--|--⌫--|
puis nedeuantniot	---|-|-----|||-|
onques saper	-----|-|--|
del mo st ieristxm	--|--⌫--⌫--|--|-|
au cort nes	-|---|--|
ouuoitsesho m ess esa	-|---|--|--⌫-⌫-||-||
b aronsdi t	-⌫----|--⌫|
ilenuersmoientendez	-|-----|--|-------|
u ezci le smar ches dela g entcriminel	-⌫-|-|--⌫|---⌫---|-|-|-⌫--|-------|
en auantne sauroiz	-|----|-|------|
que truissezhomqui de	--|-------|--|--|-|
mereso itnez	---|--⌫-|--|
quetuitne soientxm	--|---|-|-----|-|
prenez le sarmessus les	-----|--⌫|----|--|--|
destriersmontez	--------|-----|
alez e nfeure	---|-⌫|----|
fra n ccheualiermenb rez	---⌫-⌫|--------|----⌫--|
sede x uosfetm es	-|--⌫|--|--|-⌫-|
biensileprenez	---|-|-|-----|
t oz lipais uos soitabandonez	-⌫-|-|---|--|---|--------|
etcilr esponent	-|--|-⌫-------|
uestenthauberslacentgemez	------|------|-----|----|
ceignentespe e saspontdor noielez	-------|----⌫-⌫|-|---||-|------|
d esabriuez	-⌫-|------|
lesforsescubo ucle z	--|---|---|--⌫----⌫|
e t en lor poinzles esp i e z noel ez	-⌫|-|--|----|--|---⌫-⌫-⌫|----⌫-|
rengiéets er ré	------|-|-⌫--⌫--|
d euantelsfon t l oriflanbepo rter	-⌫----|--|---⌫||--------|--⌫---|
totdro ituers nymessesontachem ine ́	--|---⌫-|---|----|-|---|-----⌫---⌫|
iluecuitlentante lmeestanceler	----|--|--|---|-⌫--|---------|
enlauantga rde fu	-||-------⌫--|-|
gaut ier de	----⌫--|-|
termesetlescotgilemer	-----|-||----|------|
etguieli nli	-|------⌫|-|
larieregard e fistxml eber	|----------⌫|---|-|-⌫|--|
atotyydexmsbien	---|-|-|--|---|
quide bataille est oient ap re stez	--|-|-------|---⌫----|--⌫--⌫---|
il n orent	-||----|
mie yyli e u esalé	--|-|--⌫-⌫-⌫-|---|
qu amm ila uoie	-|---⌫|-|---|
ontzzuilain	--|-|-----|
uiende aagileouilot conuer sé	---|-|-|---|-|-|-|------⌫--|
a yybues que ilotco nque s té	|-|---|--|-|-|--⌫----⌫-⌫--|
etyyenfanzque ilo t	-|-|-----|--|-|-⌫|
de cesapainse liui lainsquesenez	-|-||------|-|--⌫----|--|----|
q ue selestchier elregnedont fu	-⌫-|--|--|----|-|----|---|-|
desorson chierazztonel	----|--|----||-|----|
si lotenpliettot rasé de	-||-|----|-|--|----|-|
en fanzqueil	--⌫---|--|-|
otenge ndrez	-|----⌫----|
ieuentetrientettienent pain assez	-----|-|----|-|------|---|----|
bill eteieuent desuslesel	----⌫--|-----|----|-|--|
xmsenrien t etqu eferoie nte l	-||-|----⌫|-|--⌫|------⌫-|-⌫|
licuensbertr an lena	-|----|-----⌫-||-||
dinoz u ilainpartaloi dont es	-|--|-⌫----|--|-|--|---|-|
etcilrespontiaorroiz	-|--|------|-|-----|
parmahomsire delaual	--|----|---|-|----|
desu s cler	----⌫|---|
uiendeaagileouge	---|-|-|---|-|-|
aiconquesté	-|---------|
ormenre uois po r recloremesblez	-||-|--⌫---|--⌫|------|--|---|
lesm e uoloi tsauuer	--|-⌫|-----⌫|-----|
b ienm en garroie	-⌫--||-|------|
tantenaigesemé	---|-|-|-|----|
dientxm oras quebri s parlé	----|-|-|-|--|---⌫|-----|
qua ntt uce croiz quexmsoit de	---⌫-|-⌫|-|----|--|-|---|-|
lui aiesrichece neplen te	--|---|------|-|----⌫-|
f roit enyuer nec hal or	-⌫---|-|---|-|-⌫---⌫-|
deuroittozlesmembr es coper	------|--|--|-----⌫-|----|
etdi txmbaron l essiez ester	-|--⌫|-|----|-⌫-----|----|
dunautreafaireuorr a i aluiparle r	|-|----|-----|----⌫-⌫||--|-----⌫|
li cuensxmli com mencaa dire	-|----|-|-|---⌫----||---|
diua uilainpa r laloidont	---|-----|--⌫|-|--|---|
fu s tu anymes	--⌫|-||----|
lafortcite garn ie	-|---|---|----⌫-|
o iuoirsirele piage mequistrent	-⌫|---|---|-|----|-|--------|
gesui troppo uressinelpoibaillier	-|--|---|--⌫---|-|-||--|-------|
ilmelessi ere n t pormes e nfanzqu	-|-|-----⌫---⌫-⌫|--|--|-⌫----|-|
dimoiu il ainsdesestresde	-|--|-⌫--⌫---|--|-----|-|
etcilrespont ceuos sai	-|--|------|-|--|--|
ge biendire	-|---|---|
porzzxxmyygr anz pain sip reimes	--|-|--|-|--⌫--|----⌫||-⌫-----|
laden e reeuauty ye nautre	-|---⌫-⌫--|---|-⌫|-⌫|----|
moltparestbone	---|--|--|---|
se puis n estempi rie	-|---||--|----⌫--|
fo xdit xmcene de mangemie	--⌫|--|-|-|-|--⌫--|-|--|
me sd es pa i e nscheuali er delau ile	--⌫|-⌫-|--⌫-⌫-⌫-|-------⌫-|-|-|-⌫--|
duroiotrantetde sacompaignie	-|--|-----|-|-|-|---------|
ditliu ilainsde cene	--|-|-⌫-----|-|-|-|
s a igemie	-⌫-⌫|-|--|
moinen ert dit e	--||-|--|---⌫|
laf ugarniers zzcheualierno bile	-|-⌫|-------|-|--------|--⌫---|
uauas or fuetmoltsotde boidie	-----⌫-|-|-|---|--|-|-----|
denginementsot totela	|---------|--|---|-|
i lrega rdale s yy	-⌫|----⌫--|--⌫|-|
buesquiuir ent	---|-||---⌫--|
me benei e	-|-----⌫|
q ui auroitoreyy toneausdetelguis e	-⌫-|-----|--|-|------|-|--|----⌫|
comeceleestqui	---|---|--|--|
e l char esta ssise	-⌫|---|--|-⌫----|
e tleseustde	-⌫|--|---|-|
ch eualierse nplies	--⌫-------|-⌫-----|
sescondis is ttot	|-|------⌫--⌫|--|
lechemin deny mes	-|-----|-|--⌫--|
sifetementpo rroit prendrela	-|-------|--⌫----|------|-|
etdit xmpar mon c hie uoi rendi t es	-|--|-|--|--|-⌫--|---⌫|-|--⌫-⌫-|
g e l eferai se llo e	-⌫|-⌫|----|-||--⌫|
mes empires	--|------|
par leco nseil quecelu ia doné	--|-|--⌫----|--|----⌫||----|
font leuilain	---|-|-----|
deuantelsarester	-----|--|------|
aportent amengiera plen te	-------||------||----⌫-|
e t paine tuinetpiment et	-⌫|---|-⌫|--|-|-----|-|
et cilmeniuen tquimoltl ont	-|--|-------⌫|--|---||--|
etquant ilfurichemantconrae ́	-|----|-|-|--------|------⌫|
licuensx ma	-|----|-⌫||
ses baronsmandé	--|-----|-----|
etil iuinren tsanzplus dedemorer	-|-||------⌫|---|---|-|------|
ouquillesuoitses	-|-|-|--|---||-|
barondist il	----|---|-|
e nuersmoientendez	-⌫----|--|-------|
quiauroi toreyy	--|-----⌫|--|-|
toneau s auti eus	------⌫|----⌫--|
c omm ecil est queence stchar	-⌫---⌫|--|--|--|-|--⌫-|---|
e t fuss entplainsde	-⌫|----⌫--|-----|-|
cheualiers armez	---------|----|
sesconduis isttotle che mi n ferré	|-|-------⌫--|--|-|---⌫--⌫|-----|
tot dr oi tanymescelebon ecite	--|--⌫--⌫||----|---|---⌫|---|
si fet emantporr oit dedenzentrer	-|---⌫----|----⌫--|-----|-----|
ian iauroit nelanciéne	-|||-----|-|------|-|
etci lresponent uosdites ue rite	-|--⌫|--------|--|----|--⌫---|
sire xmfranchomquarenpensez	---|-|----|--|---|-|-----|
enceste terrea	-|----|----||
ilcharroizassez	-|-------|----|
ch arsetcha rete si aa grant plante	--⌫--|-|---⌫----⌫||||----|-----|
fetesuosgenz	----|--|---|
ar rierere torner	--⌫----|--⌫-----|
par ric o rdaneou noz	--|---⌫-⌫----|-|--|
s omespassé	-⌫---|-----|
sifaite sprendre lesbuesp ar poeste	-|-----⌫|------|--|---|-⌫-|-----|
etdi txm ileniertbienpe nsé	-|--⌫|-|-|-|---|---|--⌫---|
parleconseilquelipreudonlor done	--|-|------|--|-|------|--|---|
licuensxmf istretornerses	-|----|-|-⌫--|-------|--|
parr icordane yyliues	--|-⌫-------|-|----|
prennentl es ch arslesbue s etles tones	-------|-⌫-|--⌫--|--|---⌫|-|--|----|
libonuilainquiles fontetc onioignent	-|--|-----|--|--|---|-|-⌫---------|
fermentle s tonneset lescharr uesdobl ent	------|--⌫|-----|-|--|-----⌫--|----⌫--|
b ertrann en	-⌫-----||-|
ch autseliuilain engrocent	--⌫--|-|-|-----|-|------|
parla qu epui s enotgranth o nte	----|--⌫|---⌫|-|-|----|-⌫-⌫--|
par diles eu lzet	---⌫-|--|--⌫-|-|
pendipar la	----|--|-|
qui d on tu e istlesdursuilainserrer	--|-⌫--⌫|-⌫-⌫--|--|---|------|----|
etdol ooires et coigniersporter	-|---⌫-----|-|--------|-----|
ton eausloie r ettozren oueler	---⌫---|----⌫|-|--|---⌫-----|
chars e t charretesch euil ler etbar rer	----|-⌫|--------|--⌫----⌫--|-|---⌫--|
dedenzlestonnesl escheualiersen trer	-----|--|-----|-⌫-|---------|--⌫---|
d e grantb arnageli	-⌫|----|-⌫-----|-|
pe ustrem emb rer	--⌫--|---⌫---⌫--|
a chas c unfontzz grant	|----⌫-⌫-|---|-|----|
mailaporter	---|------|
quantilueni r ent a nymeslac ite	----|-|----⌫-⌫--||----|-|-⌫--|
etil orrontl eme stre	-|-|-----|-⌫|--⌫---|
co r soner	--⌫|----|
nostrexms epuissentaidier	-----|-|-⌫|-------|-----|
esa utres tonnessi	-|-⌫----|-----|-|
sont mi ses	---|--⌫--|
e te nchascunefont	-⌫|-⌫|-------|---|
fereyy ensaignes	---|-|--------|
quantiluenront	----|-|------|
entre lagentgrifaigne	----|-|---|--------|
n ientrepraignentl i	||-------------|-⌫|
sodaiordefran ce	------|-|----⌫-|
ena ut retonn e furent	-|-⌫--⌫-|----⌫|-----|
les escusmis	--|----|--|
en ch asconfonz fontfereyye scrins	-|--⌫----|---|---|---|-|-⌫-----|
qu ant il uen rontentrelesxms	--⌫--|-|---⌫---|----|--|--|
nostrexmnesoiententrepris	-----|-|-|-----|--------|
li cue nssehastedecharro iapres t er	-|---⌫-|-|----|-|------⌫|-----⌫-⌫-|
quido n t ueistles u i lainsdelregne	--|--⌫-⌫|----|--|-⌫-⌫----|--|----|
tonne aus relierrefere etenf oncer	-----⌫--|-----|-----|-|---⌫----|
etcezgran z charsretorneretuerser	-|--|----⌫|----|-------|-|-----|
ded enz les	---⌫--|--|
tonne sles cheualiersentrer	-----⌫|--|---------|-----|
degrant barnageli	-|----|------|-|
peustrem enbre r	----|---⌫-----⌫|
huimesdeuons de	--|--|-----|-|
dan bertranchanter	--|------|------|
c om fie remanti lse	-⌫-|---⌫-----|-⌫|-|
o td unburel	-⌫||-|----|
ensespie zmist	-|--|---⌫|---|
unsmerueil leussollers	--|-------⌫---|------|
g rantsont debeuf deseuresontc reué	-⌫---|---|-|---|------|---|-⌫----|
diex distbertr an bia uroi	---|---|-----⌫-|---⌫|--|
cistmau rontsemprest restozlespiezfr oez	---||--⌫---|------|-⌫-----|--|---|--⌫--|
ot lexms ena zz	-|-|-||-||-|
niesditli cuensenuers moientendez	---|--|-|----|-----|--|-------|
fet es ces buestrestotce ualaler	---⌫-|--|---|------|-|--|---|
etditbertranpor n eantenparlez	-|--|------|--|-⌫---|-|-----|
sai tantnepoin drene bout er	--|---|-|----⌫--|-|----⌫-|
que gelespui ssede	--|-|--|---⌫--|-|
lor pasr emuer	--|--|-⌫----|
ot lexm sena zzrisgit é	-|-|-||-||-|--|---⌫-|
mes ab ertranestm oltma l	--||-⌫-----|--|-⌫--|--⌫|
enco n tré	----⌫-⌫---|
mestierdoctrine z	------|--------⌫|
ainzn ensot	---||-|--|
mot sestzz fancentré	--||--|-|---|-----|
trus quasmoi eus i est le ch ar	----⌫-|-|---⌫--||--|-|--⌫-|
uoitlebertran	---|-|------|
apounestforsenez	|--||--|-------|
quile ueistdedenz le fanc	--|-|----|-----|-|---|
et asespaules l aroe sozleuer	-|-|-------|-⌫|--|-------|
agran t meruei lle	|----⌫|------⌫--|
lepeus tregard er	-|----⌫|------⌫-|
camoisi e ́otetla	-------⌫-⌫|-|-|-|
uoit le xm	---|-|-|
sil eprist	-|-⌫|----|
biaunies dit il en uersmoientend ez	---|---|--|-|--⌫---|--|------⌫-|
det elmes tieruos	-|-⌫-|---⌫---|--|
d o nt bien	-⌫-⌫-|---|
ot lebertrama pou	-|-|------||--|
nestforsenez	|--|-------|
enceletonnequelicu ensdut	-|---|----|--|-|--⌫--|--|
fugillebert def aloi s eleber	-|--------|-|-⌫----⌫-⌫|-|--|
gautier de	------|-|
t e rme setl	-⌫-⌫---⌫|-||
escotguilerme	----|-------|
