e nhaute scrieou	-⌫|---|-⌫----|-|
chascu ns au oityyda dobe ́s	------⌫-|--⌫--|-||-⌫----⌫-|
droituer ssaint	----|---⌫|----|
gile sesont	---|-|---|
achem inés	-----⌫----|
lauil le as saillentenuironetenles	-|---⌫-|--⌫-------|------|-|-|--|
x m le uoit lesanc	-⌫|-|---|-|---|
cuid ede s uer	----⌫|--⌫-⌫--|
ill a son hostem aintenant apellét	--||--|----|-⌫--------|-------|
hoste distilgarnemensmaportés	----|---|-|--------||-------|
carie fu iiacheual lieradobés	--|-|--⌫|-|------⌫---|------|
uoirdistli	---|---|-|
hostes iantix esteset be rs	-----|-----|----|-|--⌫-|
armesauré s auostreuolente	----|-----⌫||-----|------|
armes aportentamoltg ra nde plante	----|-------||---|-⌫--⌫--|-----|
e txm sen esterrant armés	-⌫|-||-|--|-----|-----|
e tauuecluicil	-⌫|----|--|--|
cheual liermenbre ́s	------⌫---|------⌫-|
yy furentquexm ot	-|-----|--|-|-|
esc he uaxmont entles escus ac olés	-|-⌫--⌫--|----⌫--|--|----|--⌫----|
les lanc esprennent	--|----⌫-|-------|
asco nfa nonsfermés	-|--⌫---⌫---|------|
pa rmi l a portes enissi rentes pr es	--⌫--|-⌫|----||-|----⌫---|-|--⌫-|
lif rans xmnec	-|-⌫---|-|-||
e stass eu rés	-⌫-|---⌫--⌫---|
b randi tla hanst eau conp han onfermé t	-⌫-----⌫|-|-----⌫|-|----⌫---⌫-|------⌫|
sone scutlisté	--|-⌫---|-----|
d esoslabouc le liafrait	-⌫---|-|----⌫-|-||----|
e ttr o é t	-⌫|--⌫-⌫--⌫|
etl ehaub ercd esroutetdessaf f rét	-|-⌫|----⌫--|-⌫-----|-|------⌫-⌫---|
p a r milecors lifaitl espietpasser	-⌫-⌫-⌫-|-|---|-|---||-----|-----|
ta ntc o n ti nt l abat mor tcrauan té	--⌫-|-⌫-⌫|--⌫-||---|---⌫|------⌫--|
luien porterentm a ffe t	--|--⌫--------|-⌫-⌫---⌫|
et xm nece stasseurés	-|-|-||-⌫-|--------|
le speeau poingd	|-⌫---|-|----||
entrexxmsces tferuset	----|---||--⌫|----|-|
apl usdeyy	|--⌫-|-|-|
enaleschies copés	-||--|----|-----|
sa i ntgile escriebaronorifer és	--⌫-⌫-|---|-----|----|-||---⌫--|
et i lsi firentde bone uolente	-|-⌫|-|-----|-|---|------|
est oretlicha plesmortes	---⌫-|-|-|---⌫---|-----|
cildesaintgiles efussen treculés	--|-|----|---|-⌫|------⌫|-------|
nefustxml iuassau s adurés	-|---|-|-⌫|------⌫|------|
qui lesreti nt	--|--|----⌫-|
aubonbrancace ret	-|--|----|---⌫--|
nancontretursquialui	|-------|---|--||--|
puistdurer	----|----|
paienleuoientmolt sontespoentés	----|-|-----|---|---|---------|
a l autre ce liautre	||----|-|-|----|
par mahometn anpoonses chaper	--|------||-|----|--⌫-----|
no us eschapen ousso nmes mal m en ét	--⌫-|------|-⌫--|--⌫---|---⌫-⌫--⌫--|
yyenso ntuersl ui	-|-|--⌫-|---|-⌫-|
abandonés	---------|
etle ferirentde sespiesnoilés	-|-|-------|--⌫|-----|------|
sonb onescutli o nt fa ites troer	--|-⌫-|----|-|-⌫-|--⌫-|--⌫----|
cenefu st die x et sasain teb onte	-|-|--⌫-|---⌫|-|-|----⌫-|-⌫---|
ianouse ussentxmmort ruét	-|---|-⌫-----|-|---|----|
ouuuelleou nonat erre	-|-----|-|--||-⌫---|
lontp orté	|--|-⌫----|
cuichautdece	--|----|-|-|
laforcepait lepret	-|----|---|-|---|
xmontprisli paien	-|--|---|-|----|
auroico rsublelont tantostpr esenté	-|--|--⌫-----||--|------|--⌫------|
quant sauarislanau eut mener	----|------||-||-⌫--|----|
lors a tel	---||--|
duelle sanccuid e	---|-|---|----⌫|
il et l i sienssont	-|-|-⌫|----|---|
enla u il le a ntrés	-|-|-⌫--⌫-|-⌫-----|
e tl i paienscuidiex puist	-⌫|-⌫|-----|--|---|----|
asallent en uironetenl es	-------|--⌫----|-|-|-⌫-|
a force sontdedens la uille e ntrés	|----|---|-----|-|----|-⌫-----|
uillesionle borcraub ét	----|-|-|-|---|----⌫--|
sauar is pri stladameau cor smollét	-----⌫-|---⌫-|-|---|-|---⌫|------|
si l enportadeua ntlemaistreautel	-||------|----⌫-|-|------|----|
maisiuliie nnia	---|------⌫||||
ilpas porté	-|--|-----|
paie ns le pr irentquiio ieennontme nét	----⌫-|-|--⌫----|--|--⌫-|--|--|--⌫---|
sonentlors	-----|---|
corssiseso ntretorne ́s	---|-|-|--⌫-|-------⌫-|
liroiscor s ublesenaxm	-|---|---⌫-⌫----|-||-|
et zz paiensfist iuliienporter	-|-|-----|---|------|-----|
toutdroita	---|----||
cordes prirentaretorne r	-----|------||-------⌫|
diexq ueldama igequantlesestu etseurer	---|-⌫--|----⌫--|----|--|----⌫-|-----|
l i roiscorsubl eslebernier engui e	-⌫|---|-------⌫-|-|------|-|---⌫|
etsauar islipr exetlinobiles	-|-----⌫-|-|--⌫-|-|-|------|
e tlamassor iuliien lenobi le	-⌫||------|------|-|----⌫-|
uerscordelafor t	---|----|-|---⌫|
citegarnie	---|-----|
etlacontesse	-|-|-------|
r emes tdedenssaintgile	-⌫----⌫|-----|----|---|
tantildemeurequ ellefi tsagesi ne	---|-|------|-|---|--⌫|-|----⌫-|
demanteettintlatesteencl ine	------|-|---|-|----|----⌫--|
ediexd ist elledamesa inte marie	|---|-⌫--|---|---|--⌫---|----|
nemonsingnorne monfil nai iemie	-|--|------|-|--|--||-|-|--|
quefer aore	--|---⌫|--|
cestelassechai tiue	----|----|----⌫---|
hah ixm de	---⌫|-|-|
tacheuallerie	-|----------|
neuisie nulentrestoute	-|--|-|--|-|--------|
oruo usontpri sce lle	-|--⌫-|--|---⌫|--⌫--|
gent pain ie	---|----⌫-|
taisiés uousdamesauaris li escrie	-------|---|---|------|-|-----|
cil leuousre n dequi	--|-|---|--⌫-⌫-|--|
uint demorta uie	---|-|---||--|
ral o ns nousentuer sfr ancelagarnie	---⌫-⌫-|---|--|---⌫|--⌫---|-|-----|
el le re spon t ie lostroisbiaxdoussire	--⌫-|--⌫----⌫|-||------|---|---|---|
monterla fistsor zzmul	-----|-|---|--|-|--|
etpuismont asariche bar onnie	-|---|----⌫|-|----|---⌫----|
delaui ll eissen tqu il	-|-|--⌫--⌫|-----⌫|-|-|
nesatargentmie	-||-------|--|
tantonterrétettantlor	---|--|-----|-|---|--|
uoietinr ent	---|----⌫--|
qua r ibuemontanyyiorsreuinrent	-||-⌫-------|-|-|---|--------|
enco ntreuont trestuit cil	----⌫---|---|-------|--|
de lauille	-|-|----|
a sauarit ont	|------|--|
conmenciéta dire	----------||---|
chiersou est x mnosire	-----|-|--|-⌫|-|---|
sin gnor faitilcer tes	---⌫---|---|-|---⌫--|
deuantsai ntgilel ontp risgens	-----|---⌫-|---||--|-⌫--|---|
quantci llentendentnia	----|--⌫||--------||||
celquienrie	--|--|-|--|
gransfuli duel sa ribuemontla	----|-|-|----⌫||--------|-|
gran sfuliduels etmeruillox li cris	----⌫|-|-|----|-|--------|-|---|
etlanouelleenuaitparlepai s	-|-|------|-|---|--|-|---⌫|
d el francbernierqueo rentpris	-⌫-|----|------|--|-⌫---|---|
deuantsaintgile au gr a ntabat eis	-----|----|---|-|--⌫-⌫-|----⌫--|
zzme senuaitau r oi de	-|--⌫|-|---|-|-⌫-|-|
saintdenis	----|----|
quitou t lafaireliotcon tétet	--|---⌫||-----|-|-|---⌫---|-|
etplusa nco re	-|---|-⌫---⌫-|
que il nau oit	--|-||--⌫--|
sire faitilorsaichie ́suous defi	---|---|-|-|-------⌫-|---|-|-|
mors e stxmligen reaus orxm	---|-⌫-|-|-|---⌫-|-|-⌫-|-|
estcedontuoirsdistli	--|-|---|----|---|-|
o ilbiax sireli messaiges a dit	-⌫-|---|---|-|--------||--|
uen usenest	---⌫-|-|--|
zzsiensnierssauaris	-|----|----|------|
etautres ge nsqu	-|-----|--⌫-|-|
ilmena auuecli	-|---|----|-|
deuantsa int gile	-----|--⌫--|---|
le prir ent sarra sin	-|----⌫--|-----⌫--|
h erchanbausloit m olt io iansende uint	-⌫---------||--|-⌫--|--⌫---|-|--⌫---|
roisi la a	--|-||||
raison mis	-----|--|
sire en per eresporl amor	---|--⌫---⌫---|--||---|
di eumercit	--⌫-|-----|
uousmedonastes	---|-|-------|
lafi lleau	-|--⌫--|-|
mais xmsire	---|-|---|
iesu iteshonsfi a nciés	-|--⌫|--|---|--⌫-⌫-----|
nete faurait ant	-|-|-----|-⌫--|
conie soie	--|-|---|
ie uous don rai y y dest riers arr a b is	-|---|---⌫--|-⌫|----⌫----|---⌫-⌫-⌫-|
etyy hauber setyy hi aumes	-|-|------⌫|-|-|--⌫----|
etyyespeese t yy es cu suotis	-|-|-----|-⌫|-|--⌫--⌫|----|
etdist lirois uo us lar ésbiaxamis	-|---|-|---|--⌫-||--⌫--|---|---|
ace spa roles mandalesor	|--⌫|--⌫----|----|-|--|
uintyyc he ual lier so	---|-|-⌫--⌫---⌫----⌫||
liro is mand axmle	-|--⌫-|----⌫|-|-|
f ran c baron	-⌫---⌫|----|
etiliuin tacoitedesperon	-|-||---⌫||----||------|
e tauueclu iyy uaillans	-⌫|----|--⌫|-|-------|
conpaing nons	--------⌫---|
a paris uinr ents ans	|----|----⌫--|-⌫--|
nul l eare stison	---⌫-⌫|---⌫-----|
t restuitdescendent ensanbleliba ron	-⌫------|---------|-------|-|--⌫--|
xm monta ensel maistred oni on	-|----|--|-|------|-⌫---⌫-|
lirois le uo i ts il amisarais on	-|---|-|--⌫-⌫|-⌫|||--||----⌫-|
x mdistil bien resanb lésbaron	-⌫|---|-|---|------⌫---|----|
xmonqu esnefu texhons	-|----⌫-|-|-|--|---|
telcheualliernau oit entotle	--|---------||--⌫--|-|--|-|
deua ntsaintgile	----⌫-|----|---|
ill ueclo cirrentliencrieme	---⌫--||-⌫------|-|-------|
u enusen sont s a uar is et hu gon	-⌫---|-|---|-⌫-⌫---⌫-|-|--⌫--|
e tauuecia xmaintautr e conp ai ngnon	-⌫|----|--⌫|----|----⌫|----⌫--⌫----|
quiauuecluim urent de cet roion	--|----|--|-⌫----|-|--|----|
et lac ontesse alacle re facon	-|-|-⌫------||-|---⌫-|----|
seiluousplaitet	-|-|---|----|-|
carla ma rio ns	--|-|--⌫---⌫-|
a xmdepontifla	|-|-|-----|-|
plushautemen t done rne la poons	---|--------⌫|----⌫|-|-|----|
etbiensaichoisqueillest	-|---|-------|--|--|--|
ian tixhons	---⌫--|---|
iltient pontif	-|----|-----|
yycitesaen commen dison	-|----||-|------⌫----|
denos trepartbon	-|---⌫--|---|--|
gre uousensaurons	--|---|-|------|
e ntents ibaissa	-⌫----|-⌫|-----|
l ement on	-⌫|----⌫-|
dolensp or l amorx m	-----|-⌫-||---|-⌫|
dune liue e	|--|----⌫|
ne ditneosnenon	-|--|-|-|-|--|
t anr e mentpleu redes biax iex	-⌫---⌫-⌫---|----⌫-|--|---|--|
des lar mesmoil le sonh ermin pelicon	--|---⌫--|----⌫-|--|-⌫----|------|
puis disten haut q ue loie n t mai ntbaro n	---|---|-|---|-⌫-||---⌫-⌫|---⌫-|----⌫|
hahi xmtantmar	---|-|---|--|
fu ta facon	-|-|----|
det apr oes sene f uonques nus	-|-⌫|--⌫---⌫-|-|-⌫|-----|--|
oruousontmors paiene tesclauon	-|---|--|---|----|-⌫|-------|
cis aituostrearmequiu intapaissi on	--|--|-----|---|--|-⌫--||------⌫-|
puisdistau roisens p ointd	---|---|-|--|---|-⌫---||
b iax s irechi ersuost re pla i sir	-⌫--|-⌫--|---⌫--|----⌫-|---⌫-⌫--|
congieta pris si d escen t deldonion	------||---|-|-⌫-----⌫|--|-----|
et auuecluitrestuit ci lconpa in gnon	-|----|--|-------|--⌫|-----⌫--⌫---|
montentes celles des destr iersarragons	------|-|-----|--|-----⌫---|-------|
deparisissenta	-|----|-----||
coited es peron	----||--⌫----|
tant o nterré tlinob ilebaron	---|-⌫-|-----⌫|-|---⌫--|----|
qu e sontuenustout dro itarib uemont	--⌫|---|----|---|---⌫-||---⌫-----|
sosloliui er	--||-----⌫-|
descendentau perron	---------|-|-----|
par lesdegres	--|--|-----|
monterent eldonion	--------|-|-----|
xmdeuantole	-|-----||-|
florit gre gn on	-----|---⌫--⌫-|
trueue safill eeoli	-----|-|----⌫|||-|
maint baron	----|----|
ill a salue pa rmolt	-|-⌫|----|--⌫|---|
b elleraison	-⌫---|-----|
baisalaboucheetlement on	----|-|-----|-|-|----⌫-|
ma bellefilledistxmque feron	-|----|----|---|-|--|----|
morse st xmo nque snefu te x	---|-⌫-|-|-⌫----⌫|-|-|--⌫|
telcheualliern	--|---------||
auoi t entotlemont	----⌫|-|--|-|---|
or reuendroisenlamoiemaiso n	-|---------|-|-|---|-----⌫|
quantdexmnouellesna tendons	----|-|-|-------||-⌫------|
s e ill est	-⌫|--|--|
mort oumené senprison	---|-|-----⌫|-|-----|
etd ist ladame uostrep laisir ferons	-|-⌫--|-|---|-----|-⌫-----|-----|
atantmo nterentsansp l usd	----|--⌫------|---|-⌫-⌫-||
ar es ti s on	--⌫--⌫--⌫-⌫-|
ladame montentsorzz	-|---|------|--|-|
mularragon	--|------|
dontsepartirenttrestuit	---|-|--------|-------|
deribuemont	-|--------|
et cheuauchi erent	-|---------⌫----|
bellem entab andon	------⌫--||-⌫----|
guerri s concheuall ie rsa dr oit	------⌫|--|-------⌫--⌫-|-⌫--⌫--|
o lui safillesor zz	|--|-|----|--|-|
mulespaingn ois	--|--------⌫--|
luiyycheua liers	--|-|-----⌫----|
iusqua paris e n s ont uenus tot droit	----||----|-⌫|-⌫--|----|--|----|
ild escendirentn	-|-⌫----------||
plusdedeloi	---|-|----|
leroidemandedansxmlic or toi s	-|--|------|---|-|-|-⌫--⌫---⌫|
e t ontliditsu selpalai s	-⌫|--|-|--|--⌫|-|-----⌫|
li so rxmen uintalu i tot	-|--⌫|-|-|---||--⌫|--|
c e lsaluaenamoret en foit	-⌫||----|-|---|-|-|---|
b iaxs ire rois	-⌫--|-⌫--|---|
pa rl afo i q u e	--⌫|-⌫|--⌫|-⌫-⌫|
ueésci mafillequioruousuien tueoir	----|-|-|----|--|-|---|----⌫|----|
et distlirois	-|---|-|---|
molt grant	---|----|
i auro i s	|----⌫-⌫|
bienuaingniésdameceliadit l i	---|---------|---|-|-||--|-⌫|
diex uoussaut s ired ist ladame	---|---|---|-⌫--|-⌫--|-|---|
auchiefblois	-|----|----|
liroi sape lle x mle c ortois	-|---⌫|---⌫--|-⌫|-|-⌫-----|
uenés auantb iaxamisdistlir ois	-----|----|-⌫--|---|---|-|-⌫--|
prenésladame qu eielauo us	------|-|---|--⌫|-|-|--⌫-|
sire dist ilgrantm ercis enai ois	---|---|-|----|-⌫----|-|--⌫--|
celmaria i gelo s iebienendrois	--|-----⌫-⌫-|--⌫|-|---|------|
oitle ladamecui diés	--|-|-|---|---⌫----|
que nel an poit	--|-||-|---|
h ah i di stellepere depute loi	-⌫--⌫|--⌫-|---|---|-|---|--|
c o nmastraieet misengra nt	-⌫-⌫||-|----|-|--|-|---⌫-|
quantmed o nés maritcepoisem oi	----|-|-⌫-⌫---|----|-|----|-⌫-|
maisd e moncorsiamaisioie	---|-⌫|--|---|-----|---|
adontsescr ie	----||----⌫-|
en haut aclereuois	-|---||----|---|
exmsirefranscheu al liersadrois	|-|---|----|----⌫--⌫----|-----|
liroisc orsublesuous	-|---|-⌫-------|---|
ti e ntances d est roi s	--⌫-⌫-|-|--|-⌫---⌫---⌫|
maisienesaiseia m ais reuenr ois	---|-|-|--|-|--⌫-⌫--|------⌫--|
cisuous ramaintquifu mi s en la crois	--|---|------|--|-|--⌫|-|-|----|
cemariaigeconparroitquiq uesoit	-|-------|---------|----⌫-|---|
taisiés u ous damecel i	-------|-⌫--|---|-|-⌫|
adit li rois	|--|-|---|
liroi sdefranc ef udr ois	-|---⌫|-|-----⌫|-⌫|--⌫--|
e nsonestant	-⌫|--|-----|
ti ntzzbastonq uil aloit pasmoiant	--⌫-|-|-----|-⌫|-|----|--------|
u oitherchanbautsi lid it eno iant	-⌫--|----------|-|-|-⌫-|-|-⌫---|
pr e n ésla dameq ue ie lauouscom ment	--⌫-⌫-⌫--|-|---|-⌫-|-|-|---|---⌫---|
sirefait ilyymerc isu ousrens	---|---|-|-|----⌫-|-⌫--|---|
passa au antetparlama inla prent	----|--⌫--|-|--|-|--⌫-|-|----|
dedel ai ement	-|---⌫--⌫----|
azzmostier	|-|------|
lan m ainne nterranme nt	|--⌫-⌫-----⌫-|-------⌫-|
lalespousa xm li uaill ans	-||------|-|-|-----⌫--|
la messe c hant el iesuesques mor ans	-|----|-⌫----⌫|-⌫|--------|---⌫--|
quant orfuditesi	----|-|-|---|-|
sentorne a tant	|-|----|-⌫---|
escheuax montentarrabis etcoura n s	-|-----|------|------|-|-----⌫-⌫|
la d amemontentso r	-|-⌫--|------|--⌫|
zzmulet anb lant	-|----|---⌫---|
deparis issentsensnul de laiement	-|----|-----|---|--|--⌫-------|
uers po ntif u ontbell ement	---|--⌫---|-⌫--|----⌫----|
che uauchant	---⌫-------|
aaubeuilles ontu enus liemen t	|--------|-⌫--|-⌫---|------⌫|
ildesc endi re n tel	-|----⌫----⌫--⌫-⌫|-|
plush autmandement	---|-⌫--|--------|
elpalaismainne ntladameaucorsuaillan t	-|-----|------⌫-|-|---|-|---|-------⌫|
ces noces m oltef forciement	--|----|-⌫--|--⌫---------|
enaubeuillelebon borc signori	-|--------|-|--|---|------|
la f itc esnocesxmli	-|-⌫-|-⌫-|----|-|-|
es uo uszzmiep arlaui llequi uin t	-|--⌫-|-|--|-⌫-|-|--⌫--|--|---⌫|
molthautem entae s cri er cespris	---|------⌫--||-⌫-⌫---⌫-||-|---|
au roiti liadameq uid ieufe ist	--⌫---|-⌫|-|---|-⌫-|-⌫--|--⌫--|
quieustia gou tenepa lac in	--|---|-|---⌫-|-|--⌫---⌫-|
en molt poid eurel	-|---|--||---||
an auroiegarit	-|-----|----|
ladameloita	-|---||--||
li lefait uenir	-|-|---|----|
da luiparlerauoit mo lt gr ant	||--|-----|----|--⌫-|--⌫--|
quanto r leuoitsia	----|-⌫|-|---|-||
dit sonpla isir	--|--|---⌫---|
dont ierstum i esgarde	---|---|-|-⌫-⌫-|----|
niai tmentit	||--⌫|-----|
dame distil decelautr epai s	---|---|-|-|--|----⌫|---⌫|
e tsip orssitelracineauuec	-⌫|-|-⌫--|-|--|-----|----|
die x nefist dame	---⌫|-|---|---|
ta nt eust son mar it	--⌫-|---|--|---⌫-|
u o loitqueiamais	-⌫-⌫---|--|-----|
lag entilda me	-|-⌫----|--⌫-|
molt ioiansendeuint	---|-----|-|-----|
amisbi axfrere po rdieuquine	---|--⌫-|----|--⌫|---|--|-|
ua nra slatu faire car meledis	--⌫---⌫|-|-|----|--|-|-|--|
oilmadamepardi euqui	--|-|---|--|--⌫-|--|
ma isqueyy fois la p eser aidorfin	--⌫----|-|---|-|-⌫----⌫-||-|--|
et dist la da me	-|---|-|--⌫-|
parma foiti el	--|-|---|-⌫||
lauaillansdameachat ala	-|-------|---|-----⌫|-|
quantil f u	----|-|-⌫|
eureuontcouchieradeliure	---|---|-------||------|
la fr ai n che dames i nesou blia	-|--⌫--⌫-⌫--|---|-⌫|-||--⌫---|
elle prentl erbe	---|----||---|
ensa bouc he lamise	-|-|----⌫-|||---|
et xmcouchaauuecsami e	-|-|-----|----||---⌫|
i lla asesacoleeet b aisie	-⌫|||---|-----|-|-⌫----|
mais dautrechose	---||----|----|
neli potf airemie	-|-|--|-⌫---|--|
herchanbausiutetsamiedales	----------|--|-||---|----|
illa baisa e t aco la	-|-|----|-⌫|---⌫-|
m ai sd autre chose ne la	-⌫--⌫||----|----|-|-|
ainc n eseso ten celpoint demener	---|-⌫|-|--⌫|-|--|----|------|
quedeladameeust ces uolen tes	--|-|-|---|---|--|-----⌫--|
au matin et cestxmleué s	-|-----⌫-||--|-|-----⌫|
estuestus et	--|-----|-|
chauciés etpar és	--------|-|---⌫--|
sonsenes chalapremier ancontré	--|-----⌫---||------|--------|
cortausisco m zz	---|----|--⌫|-|
meruilloxcop liadelpoi ngdo né	--------|--|-||--|---⌫-|--⌫--|
condeceluiqui atort ert irés	--|-|----|--||---|--|----|
passesu olentes	--|--|-⌫------|
ettuitliau tresonten	-|---|-|--⌫--|---|-|
fu ietornés	--⌫-|------|
mo ltfudolensxm li	--⌫-|-|-----|-|-|
et courreciéspor sa frainc h e	-|----------|--|-|------⌫-⌫|
qu a l inese	-||-⌫|-|-|
potdonoie r	--|------⌫|
i cial luec uou sua uronsdi ax	-⌫-|--⌫---|---⌫|--⌫----||-⌫-|
quantlexserabien sau ronsrepa irier	----|--|---|---|---⌫---|----⌫----|
s ichanterons delios teor xm	-⌫|---------|--|---⌫---|-|
r oisau cib i ersmanda cesc heuall iers	-⌫--|--⌫---⌫-⌫--|----|--|-⌫------⌫---|
t antq u ill	-⌫----⌫|--|
enotauuecluiyy	-|-|----|--|-|
leroi corsublee n	-|--|-------|-⌫|
sa citeassi et	-|---|----⌫-|
sus enl anga rdemonta	--|-||----⌫--|----|
ci saucibier	--⌫|-------|
tantpar e stoit	---|--|-⌫----|
orguilloxcheualli ers	--------|--------⌫--|
aloitquilnenpo rtastle ch ief	----|-|-||-|--⌫----|-|--⌫--|
uoitle corsublesmolt	---|-|--------|---|
en fuairiés	-|-|------|
illan a pelle sarrasins et	--|-|-⌫----|--------|-|
singn orfaiti ls aue ́smoiconc i llier	-----⌫-|---|-⌫|-⌫---⌫-|--|----⌫-⌫----|
encel le engardeuois	-|---⌫-|------|---|
esterzzpaien	----|-|----|
sinous amor tyydenoscheualli ers	-|---||---⌫|-|-|--|--------⌫--|
seul quien	---|--|-|
soi t repair iés	---⌫|------⌫---|
parmahometce di st li	--|------|-|--⌫-|-|
entapr is on au onszzcrestiien	-|-|--⌫--⌫-|--⌫--|-|--------|
deu ant saintgil e liu ismolt	---⌫--|----|---⌫|-|-⌫-|---|
bienaidier	---|-----|
tursliuiscoperleschies	---|-|--|----|--|----|
net aide ie	-||---|-|
etdistli roiscar lemamenissiés	-|---|-|---|--|-||----------|
e tcilrespontbiaxsireuolentier	-⌫|--|------|---|---|--------|
fors dela chartre o tame nét	---|-|-|------|-⌫|---⌫---|
lirois leuoitce l prenta arai snie r	-|---|-|---|-||----||----⌫----⌫|
cres tiiensfreremolt	----⌫-----|----|---|
iersgra ns etplaingni ers	---|---⌫-|-|--------⌫--|
moltiers fornisbiensanbles cheualli ers	---|---|-----|---|------|--------⌫--|
et iesiai daide	-|-|-|-||---|
gra ntmestier	---⌫-|------|
an celle engardeuoisesterunpaien	-|----|------|---|----|-|----|
il nousam orsyydenos cheu al liers	-|---||-⌫--|-|-|--|----⌫--⌫----|
illesat ousocis etdetra i nc hiés	-|--||-⌫--|---|-|-----⌫-⌫--⌫----|
mais ie uousdis	---|-|---|--|
c e uosilconbatiés	-⌫|--|-|---------|
parhardement et uoussil ociiés	--|--------|-|---|-||------|
enuopaistouscuites	-|-|---|---|-----|
mais mesamis	---|--|---|
en se rie ́s	-|--⌫---⌫-|
si te donrai tos che rgié syys osmiers	-|-|-----|--|---⌫-----⌫|-|-⌫------|
de drasdesoie de orfin de deniers	-|---|-|---|-|-|--|-|------|
xmlententonq ues nefusili es	-||-----|---⌫--|-|-|-|--⌫-|
re spont ie i rai uolentier	--⌫----|-|-⌫--|--------|
carm iex uuel	--|-⌫--|---|
estreocise t detrainchiés	----|---|-⌫|------------|
uostr e chartreiamais	-----⌫|------|-----|
meietissiés	-|---------|
maistot auant me donésamaing ier	---|--|----|-|-----||-----⌫--|
respont b i enfaita	------|-⌫-⌫-|---||
toutmaintenantl enfit asses	---|---------||-|--|----|
etcilmaniaquie n	-|--|----|--|-⌫|
auoit mestier	----|------|
quantot maing iétsisecortha u brigier	----|-|-----⌫---|-|-|---|--⌫-⌫------|
il uestlauberclascel el me dacier	-|---||-----|----||--⌫-||----|
ets aintl esp e eau poingdor	-|-⌫---||---⌫-⌫|-|----||-|
o nliamainezz bon courantde st r ier	-⌫|-|-----|-|--|------|--⌫--⌫-⌫--|
etillim onte	-|--||-⌫---|
parsondorét estrief	--|--|-----|------|
asoncol pent	|--|--|---|
zz e s cutde q uarti er	-|-⌫-⌫--|-|-⌫-----⌫-|
etensonpoing zzt ranchant espiet	-|-|--|----|-|-⌫-------|-----|
a yy closdor leco nphano nlasciét	|-|---||-|-|--⌫------⌫|-------|
parm i l aporte sanis t toseslaiss iés	----⌫|-⌫|----||-|--⌫|--|-------⌫---|
diex conlesga rdentlipaien	---|--||----⌫----|-|----|
dist luns a	---||--||
lautre ci abelcheuall ier	|----|-||--|-------⌫--|
demahomet soitlisiensc orssain gnés	-|------|---|-|----|-⌫--|----⌫----|
parmi laportesa n	----|-|----||-⌫|
rich ementfuferuestus et armés	----⌫----|-|--------|-|-----|
autreest outertrem ont és	----|--|-|-----|-⌫---⌫--|
etaucibiers sa nestgard edonés	-|--------||-⌫|--|----⌫|-----|
adontsepence	----|-|----|
quil uie nta li ious t e r	-|-|---⌫-||-|----⌫-⌫-⌫|
genthautement ap ell ét	---|--------|--⌫---⌫--|
ueés uos zzquime	----|--|-|--|-|
uient conreés	----|-------|
quisismeu ien t moltr ichement armés	--|--|-|-⌫---⌫|---|-⌫-------|-----|
s eilmoci tarie r	-⌫|-||---⌫|----⌫|
uousen alés	---|-|----|
encelledequoichasc uns	-|----|-|---|-----⌫--|
en cet pai sau riésmaldemorer	-|--|---⌫|--⌫----|--|------|
etcil responden tauostre	-|--|---------⌫||-----|
liturs uersxmgalop és	-|---|---|-|-----⌫--|
quantil uint pressicest	----|-|---|---|-||--|
hausescriés	---|-------|
qui iers tuuagardemeceler	--|---|-|-|----|-|----|
ierstumessaiges qui	---|-|--------|--|
uiens amoi	----||--|
etdist xmainsua ins	-|---|-|---|--⌫--|
a uousioster	|---|-----|
li p aiensl oitplusfu fiers d	-|-⌫----||--|---|-|----||
neu aurentplu spl ai di ernedeuiser	-|-⌫-----|---⌫|--⌫--⌫--⌫-|-|------|
ta ntconcheuaxlorpore ntr andoner	--⌫-|--|-----|--|----⌫-|-⌫------|
seuont ferirsens plusdede morer	-|---|----|---|---|-|--⌫----|
les escus font etperci e r	--|----|---|-|-----⌫-⌫|
et l or shaub er sdesronpreet	-|-⌫--⌫|----⌫--⌫|--------|-|
e t de lor	-⌫|-|--|
lancesf irentles trousuoler	-----|-⌫----|--|----|----|
autour f rancoispriren t	-|---|-⌫------|------⌫|
uaur ontauchasploiermes ler	----⌫--|-|---------|---⌫--|
gransfuli tur s etmoltfista	----|-|-|---⌫|-|---|---||
enpai nime n anauoitil	-|---⌫---||-|----|-|
d iex gar tbernierdemorte t d	-⌫--|---⌫|------|-|---|-⌫||
grans me r uelles enuers	----|--⌫-⌫----||-----|
luipue tdurer	--|---⌫|----|
l ibaronuinrentandoi au	-⌫|----|------|----|-|
c haplement	-⌫--------|
lipaiensfud emoltfier	-|-----|-|-⌫|---|---|
en toute espai ngne nanauoitnu l si	-|----|-----⌫---||-|----|--⌫|-|
xmferi s or	-|---|-⌫-|
s on escutd e uant	-⌫-|----|-⌫-⌫---|
e nyy moi tietliesquart ele	-⌫|-|---⌫---|-|-------⌫--|
desosxmconsiuilauferrant	----|-|------||--------|
and iroie mor tlabatmaintenan t	-|-⌫----|---⌫||---|---------⌫|
xmtrebuche da u tr epart	-|-------||-⌫-⌫--⌫|---|
pasmer lestut de langoi sse quil sent	-----||----|-||-----⌫--|-|-|---|
zz hons ala st det errezz	-|---|---⌫-|-|-⌫---|-|
