#MET A# TextURI	----⌫-|------|
Al exisP RI	--⌫-----⌫-|
Cilertd olansqui tau oitengenré	--|--|-⌫----|--||--⌫--|-------|
t amére qui	-⌫|----|--|
teporta enlé s.	-|----|-|---⌫-|
Etioumeismequisui	-|--|-----|--|--|
en ueu ee ́.	-|---⌫--⌫-|
H uiu errainoece sa grant due ldeseu rer.	-⌫-|-⌫----|-----⌫||----|---⌫|-----⌫---|
Ilsesignas ile commande	-|-|----|-⌫|-|-------|
Elel apèledoucemente t sou ef.	--||-----|--------|-⌫|---⌫--|
Sir e di teleioute com man t	---⌫|--⌫|--|--|-|---⌫---⌫|
Con fa ite mentmen porr aiconsirer	--|--⌫---⌫---||-|----⌫-|-------|
c onsel lepeus setrouuer	-⌫----|-|----⌫-|------|
Quens embleto imelaissai ss esaler	-|---⌫----|--⌫|-|-------⌫--⌫-|---|
Iameueroiesgentem ent conreer	-|-|------|------⌫--|------|
Tondremescrinsun	-----|--|----|-|
capelafub ler	----|----⌫--|
Etprendreescer peetunb our donfe rré	-|------|-----⌫-|-|-|-⌫---⌫--|--⌫---|
Seruira itoid etes drasrelauer.	-------⌫|--|-⌫|--|---|-------|
Neia luxu renemuer ras	-|-|----⌫-|-||---⌫--|
Ne adulté r ene	-|-------⌫-⌫|-|
a utreputeé.	-⌫---|------|
bele ainste c omm ant a	---|---|-|-⌫---⌫--||
Pag eu 01P 231	---⌫--⌫---⌫--|
Leglorious qui pournou sfupenés	-|-------|--|---|---⌫|-|-----|
En sainte croispo ur	-|-----|----|--⌫-|
son pule sa u uer.	--|---|--⌫-⌫---|
Elecommencegrantdu ela d eme ner.	--|-------|----|--⌫-||-⌫---⌫---|
Iluin taluissel deffrema	-|---⌫|||--|--|-------|
A mien uitsenfuitde	|----⌫--||-----|-|
péreetsamére nelset	----|-|-|----|-||--|
Ne li serian tquil orentagar der.	-|-|------⌫|--||----||---⌫---|
moultli éss enloeD amedé	----|--⌫--||-|--|-⌫-----|
Quelapucelelenacongié	--|-|-----||-||------|
Qu antilfuio rsets olausfu	--⌫--|-|-|--⌫-|-|-⌫----|-|
Descent unualsa untertrem onté	------|-|--|||-|-----|-⌫----|
A quatreliues deRou mela cit é	|-----|----|-|---⌫-|-|---⌫-|
Regarde Romeet en	------|---|-|-|
loncetenlé.	---|-|-|---|
ciele nas onu is torné	---|-⌫||-⌫-|-⌫-|-----|
Estro ite menla Iesu reclamé.	-----⌫---⌫---||---|--------|
Que lapuce ledont issi aes ré	--|-|----⌫-|---|---||--⌫--|
Do inst encestsiécletel	--⌫---|-|---|------|--|
uiedeme ner.	--|----⌫---|
Que l ame en soit	--||--|-|---|
elsa intr egnedeDé	-|--⌫--|-⌫---|-|--|
Puisseliestde	---|-|-|--|-|
so npéremembré	--⌫|----|------|
E tdesaméres i commencea	-⌫|-|-|----|-⌫|-------||
Parlui meisme s e nestreco nforté.	--|--|-----||-⌫|--|----⌫-------|
Droi tenlamer e n aqueltson esrer.	----⌫|-|-|--|-⌫|-----|--|-----|
Presteestlanésu	-----|--|-|---||
il p orraentrer	-|-⌫---|-----|
Donnesonpris	----|--|---|
siest t ous	-|--|-⌫--|
seu sentr és.	---⌫|----⌫---|
Drecentl or	------|-⌫-|
siglela issent cou rrepar mer.	----|--⌫-----|---⌫--|--|---|
EnIers alem les conduistDamedés	-|----⌫---|--|-------|-------|
Sains Alessi ns	----|------⌫-|
esti s s usdela nef.	--|-⌫-⌫-⌫-|-|-|---|
Sains Al essin s estdela nef	----|--⌫-----⌫|--|-|-|--|
uintal s epul cr eu no s tre	---|-|-⌫----⌫--⌫||--⌫-⌫--|
Fistsespriiéres	---|--|--------|
s i s est confèsrendu s.	-⌫||--|------|-----⌫-|
Dou siorsseiournee t	---⌫|---|-------|-⌫|
Quilnemania ne sabouce	-|-|-|----|-|-|----|
Après enestalflun	-----|-|--|-|---|
Iourdanuenus	------|----|
U libaptesmesdenostres ign our fu	|-|--------|-|-----|-⌫---⌫--|-|
Et li apostlesibaptisiére nt t uit.	-|-|------|-|-----------⌫-|-⌫---|
Il sed espoille sise	-|-|-⌫-------|-|-|
baig n atousnus	----⌫-⌫|---|--|
Puisprist des pa lmes sis	---|----|--|--⌫---|-||
enestreuen us .	-|--|-----⌫--⌫|
Pourle sIuis n	---|--⌫|---||
iosaestrepl us.	|--|----|--⌫--|
Pa geu 01S232	--⌫---⌫-----|
Car ace liou rque li sains	--||--⌫|---⌫|--|-|----|
Ni auoitil	||----|-|
desCrest i ensnes un.	--|-----⌫-⌫--|---⌫--|
DroitaleLiceasonce mi ntenu.	----||-|---||--|--⌫--⌫|----|
Dro italeLiceu ne cité moult	---⌫-||-|---|-⌫-|----|----|
Iluec s enua sainsAlessis par	----||-|-|----|------|--|
Maisio unesaicomlongesiconuerse.	---|--⌫|-|--|--|-----||--------|
Uque il soit	|--|-|---|
d eDiu seru ir	-⌫|--|----⌫-|
De samaisnieueutilato uiours	-|-|------|---|-||--⌫-----|
Aprèsenua e nAussisle	-----|-|-|-⌫|-----|-|
Pouruneym aigedo nt iloiparler	---|--|--⌫---|--⌫-|-|-|-----|
Queangl e fisent parlecommant	--|----⌫|-----|--|-|------|
El nonceliquipor tasauueté.	-|--|---|--|---⌫-|--------|
Onques fait urenefu desa b i a ute ́	-----|----⌫--|-|-|-|-|-⌫-⌫-⌫---⌫|
Sansnostredamel a	---|-----|---|-⌫|
me ́reD amedé.	--⌫--|-⌫------|
Iceste ymaigesignourdon t ie uouscant.	-----|-----|------|---⌫|-|---|----|
estdefustnen estdo r ne	--|-|---|-||--||-⌫|-|
d arge nt.	|----⌫--|
Maislis a ins	---|-|-⌫-⌫--|
angl es k ifist lanoncement	----⌫-|-⌫|---||---------|
Denostre dame u Dius prist car etsanc	-|-----|---||---|----|--|-|---|
Esgar dabien	-----⌫-|---|
lyma ige par Di u comm ande ment.	|---⌫--|--|--⌫|----⌫----⌫----|
mistnonMari en.	---|--|----⌫--|
Marieotnoncommela	----|-|--|----|-|
mére Dé.	----|---|
Si uintdu ciel d esainte	-|---|-|---|-⌫|-----|
Paru ndeuenres dela crois	--|-⌫|-------|-|-|----|
Que n os tresiretransi	--|-⌫--⌫--|---|-----|
pournous sauuer	---|---|-----|
Paritel iourd e lapassi onDé	--|---|---|-⌫|-|-----⌫-|--|
Le mist liangle sissi	-|---|-|-----⌫|---|
enlaci te ́	-|-|--⌫--⌫|
Ain cen laterenenot pluspo ureté.	---⌫|-|-|---|--|-|---|--⌫------|
Lal erequistsains Alessisliber	-|-⌫|------|----|------|-|--|
Toutson auoirqueil en	---|--|----|--|-|-|
Ad ep artiain srienne	|-⌫--⌫---|---⌫|---|-|
le n remest.	|-⌫|------|
Lar g es aumosnes parAusi la cité	---⌫-⌫-|-------|--|---|-|----|
Do unaas pouresu qu illes	--⌫--|-|-----||-|-|--|
pottrouuer.	--|-------|
Pou r n ulauoirne uau t estre encombrés	---⌫|-⌫-|----|-|---⌫|----|---------|
Neneuolt perdre	-|-|---|-----|
d el cielles	-⌫-|---|--|
Quantsonauoirlora to utde parti.	----|--|----|--||--⌫-|--⌫-----|
Pageu0 1P233	------⌫----|
Entreles autress asis tsains	----|--|-----||----⌫|----|
Reçustlaum osnel au Di us	------||---⌫---|-⌫||--⌫-|
litramist.	-|-------|
Tan tenretin t quesonc orsen soustint	---⌫|-|-----⌫|--|--|-⌫--|-|-------|
Leremanante nrentaspoue rins.	-|-------|-⌫|---|-|----⌫----|
Orreuenronsau	-|--------|-|
péreeta la mére	----|-||-|----|
Etalespo usekiseule	-|||----⌫--|-|----|
en estremé se.	-|--|-----⌫--|
çousorent	---|-----|
k e il fuis s en ére	-⌫|-|---||-|---|
Çoufugrans deus	---|-|----|---|
queilendemené rent	--|-|-|-------⌫---|
Et gr an sco mplaintes	-|--⌫--⌫|--⌫--------|
pa rt oute	--⌫|-⌫---|
la contre ́e.	-|------⌫--|
Fius Alessins	---|-------|
detad olantemér e	-|-|-⌫-----|----⌫|
Tu mes f uisd olanteensui	-||-|-⌫--|-⌫-----|-|--|
Le liune sa i ne nesa ila	-|--|-|--⌫|-|-|--⌫|-|
co ntr ée	--⌫---⌫--|
Uioutequ iéretoute	|--|-|--⌫----|----|
en sui esgarée.	-|--|--------|
iercm a i sliebiaus fiussin ierttes	---|-⌫-⌫-⌫|--|----|---|-||---|--|
Se nereuie nseni cest econtrée.	-|-|-----⌫-|-|-⌫----⌫|--------|
Çouf ugra nsdeus queil	---|-⌫|---⌫-|---|--|-|
endemenérent.	-|-----------|
uinten lacambreplainn edemariment	---|-|-|-----|------⌫|-|-------|
Si led espoille que n ilaissa	-|-|-⌫-------|--|||-----|
Ni lais se pailenen ulcier	||----⌫-|----|-|-⌫-|---|
garnime nt.	-------⌫--|
Tost at ournéa	---||-⌫-----||
gra ntduelsontale nt	---⌫-|---|--|----⌫-|
Par grantdolour sedeiètesouuent.	--|----|-----|-|------|-------|
Ainspuisceliour nen fu	---|---|--|---||-|-|
liegranmen t.	--|-------⌫-|
uintenlacambretout el adesparée	---|-|-|-----|----⌫|||--------|
S iladestruite	-⌫|||--------|
commeelleertl a uesprée	----|---|--|-⌫|-------|
Ostentl es	-----|-⌫-|
pailese t lescou rtines lées	-----|-⌫|--|---⌫-----|----|
4 15Sa grant ricoisea	-⌫-|-|----|------||
agrantduel to rne ́e	|----|---|--⌫---⌫-|
Ainspuis cel	---|---|--|
iournefu lielimér e.	---|-|-|--|-|----⌫-|
Cambrediste le mal	-----|---|-⌫-|--|
fuissiés a tornée.	--------|-⌫-------|
Contrequ es	-----|--⌫-|
nuece s uous auoi e parée	-----⌫|---|----⌫|-----|
Iam ais en uo us n iert	---⌫--|-|--⌫-||---|
l eècet rouue ́e.	-⌫----|-⌫-----⌫--|
Telduelenotapo ineciet pas mée	--|---|-|-||--⌫|-|---|---⌫---|
Quantpar lamainler eliéuel i pére .	----|--|-|---|-|-⌫------|-⌫|-----⌫|
Deladolou rs a sistlamé reatere	-|-|-----⌫||-⌫---|-|---⌫-||---|
Nesas ist mienesour bancn e	-||--⌫--|--|-|---|---|-⌫|
S ifistlespouse	-⌫|---||------|
saintAlessin l abele	----|------|-⌫|---|
D amedis teleiouai	-⌫--|---⌫|--|--|-|
fait m ou l t grantperte.	---|-⌫--⌫-⌫|----|-----|
Pageu01P2 34	---------⌫-|
Iou aiperdum esnuece slesnouueles.	--|-|----|-⌫-|-----⌫|--|--------|
Orma isuiuraialoidetourterele	-|--⌫-|-----||--|-|---------|
Qui pert son mallepuisneu euta utre	--|---|--|----|---|-|-⌫--|-⌫---|
Qu ant nai tonfi lensamb let oi	--⌫--||-|--|--⌫|------⌫-|-⌫-|
uoele stre.	---|-⌫----|
SeruiraiDi e u carmiex nepuis iou	-------|--⌫-⌫|--|---|-|---|--|
S ilner euient	|-|-|-⌫-----|
n erep aire	-⌫|---⌫---|
Ioume tenrai deuers le	--|-|-----|-----|-|
roicelestre	--|-------|
Cara nul houmena urai iamaisafaire	--||--|----||-⌫---|-----||----|
sil uoi tque iou le	|-|---⌫|--|--|-|
Respontli péreQue bone femeas	------|-|----|--|---|---|-|
Sensem bl emoite uoloiest enir	|-----⌫--⌫|--|-|------|-⌫---|
Seruir a itoipouramouramon fil.	------⌫-⌫|--|---|----||--|---|
Ian aras mal do ntte	-||---|--|--⌫-|-|
puissegarir	-----|----|
Faille meDiexse t efait anul	-----|-|---|-|-⌫|---||--|
Distlapucele Sireuostremerci.	---|-|-----|---|-----|-----|
espousaallosdemes amis	------|-|--|-|--|---|
Orsuimaluaisesi	-|--|-------|-|
medoitDiexha ir	-|---|---|--⌫-|
Simoineme mb r ed eçouqueil me	-|--|-|--⌫--⌫-⌫|-⌫|---|--|-|-|
Aic eleeurequedemo idepar ti.	|--⌫--|---|--|-|--⌫|-----⌫--|
Quanttupourluimeuaura sret enir.	----|-|---|--|-|-----⌫|---⌫----|
Tr èsor t enraiDamediua mari	--⌫--|-|-⌫----|------||---|
faurase iou le	----|-|--|-|
uoel seruir.	---|------|
Quantotlamére	----|-|-|----|
quelap ucele dit.	--|-|-⌫----|---|
Que Dame deus eruira pours onfil	--|----⌫--|-⌫-----|---|-⌫-|--|
plo urantla baiseenm ile uis	---⌫----|-|----|---⌫|-|--|
Pl ou rent ensamblede l duel de	--⌫--⌫---|-------|--⌫|---|-|
L unesonfiletlautreson	|--|--|--|-||----|--|
Pleurentensamblelora mico ntper du.	-------|-------|--|-⌫-||-⌫-|---⌫--|
Pleurela me ́reetlap ucele	-----|-|--⌫--|-|-|-⌫----|
D iusdistlamér e qu	-⌫--|---|-|----⌫|-|
estmesfiexdeuenus	--|--|---|------|
Ço u distli péres P eciéslema tolu.	---⌫|---|-|-----|-⌫-----|-|||----|
D ius dist l espousecom petitl	-⌫--|---||------|--|----||
signourmaisn	------|---||
en aiore nul	-|-|--|--|
SansDame diu leg loriouslasus.	---|----⌫--|-|-⌫------|-|---|
Dont pristl ipére	---|----|-⌫|----|
desesm ill orsserians	-|--|-⌫---⌫--|------|
Parmo ultdeterres fait	--|--⌫--|-|-----|---|
quer resonenfant .	----⌫-|--|------⌫|
Pageu01P235	----------|
DedensAusisuinre nttoutdroitesra n t.	-----|----|-----⌫-|---|----|----⌫-⌫-|
Illuectrouuéren tdantAlessin se ant	-----|----------⌫|---|------|--⌫--|
En tre le s autresua l aumosne querant	--⌫--|--⌫|-----|-||------|------|
Nerecounurent sonuisne	-|----------|--|--|-|
sons a mblant .	--|-⌫-⌫------⌫|
Dont otlienfessa	---|-|-|----|-|
tenrecarmué e	----|--|----⌫|
Saue steure	-|--⌫-----|
de sroutee t d espane ́ e	--⌫-----|-⌫|-⌫------⌫-⌫|
Quil otportée parest rangescontrées	-|-|-|------|--|---⌫-----|--------|
Nel recounur entlid o i	--|--------⌫--|-|-⌫-⌫|
sergantso n pér e	------|--⌫|----⌫|
A luimeisme	|--|-----|
ont l aum os nedoun ée.	--||---⌫--⌫-|----⌫---|
Nelreconnurent	--|----------|
ne nelont enter cie ́.	-|-||--|-----⌫---⌫-|
SainsAl essisen	----|--⌫----|-|
lo e Diu del	--⌫|--|--|
Dessersson pé requiil e rt	--|---|--|---⌫-|--|-|-⌫-|
aumoniers.	---------|
A insfu lorsir e	-⌫--|-|--|---⌫|
orestlorprouendier s	-|--|--|----------⌫|
saidireco mmeil	--|---|--⌫--|-|
par sen fistliés.	--||-|---|-----|
Lid oiseria ntsen uon talor	-|-⌫-|-----⌫-||-|---⌫||--|
Illes poursuit tantqu eles uitentrer	-|--|-------|---|--⌫|--|--|-----|
Po url ocoisondel a u mosnedon ner	--⌫-||------|-||-⌫-⌫----|---⌫--|
ua a lu is lorraisonescouter	-|||-⌫-|--|-----|-------|
Liseriantfisentloroste o	-|------|-----|--|---||
elsdisner.	--|------|
S ef emeet ilprise n tademander	-⌫|-⌫--|-|-|-----⌫-⌫||-------|
Signourdistilques	------|---|-|---|
homestqu e queres	--|--|--⌫|-----|
Unch eualieruniouene baceler	-|--⌫------|-|-----|------|
Ungen tilhomme	-|---⌫--|----|
deRoume nés	-|----|---|
Onquessespéresqui l auoit	-----|--|-----|--||----|
denfans selpooitm o ultamer.......	|-----|--|----|-⌫-⌫--|----------|
So usci e l nahoume	--⌫-|--⌫-⌫|||----|
sillooitregreter	|-||---|-------|
N eliestuec edes	-⌫|-|------⌫|--|
iex delcie fplourer.	--|--|---⌫|-------|
Auoirsnousfautn auonsmais	-----|---|---||----|---|
qued on ner.	--|-⌫--⌫---|
ueullions unonno u se nestuet aler.	--------||--|--⌫-⌫|-⌫|-----|----|
quenfer iésuous el	-|-|---⌫---|---|-|
SainsAl e ss is a bi ento utesc outé.	----|--⌫-⌫--⌫-||--⌫-|--⌫-|---⌫-----|
Ecuers dist ilcomestes	|----|---|-|--|----|
Ge ntepucelemou td e	--⌫--|-----|---⌫|-⌫|
m ercisetgré s	-⌫----|-|----⌫|
aifaitm alet tu mash ouneré.	-|---|-⌫-|-|-||-|-⌫-------|
Pageu01P236	----------|
Pitié e n ot sicomme nce aplourer.	-----|-⌫|-|-|-----⌫--||-------|
Liseriantuirentquil ne	-|------|-----|-|-|-|
lpor renttrouuer.	|---⌫---|-------|
Troisfois l	----|---||
on tquisparAusislacité.	--⌫|---|--|----|-|-----|
P a rmoul tde teres	-⌫-⌫|----⌫|-|----|
demande ́.	-------⌫-|
IInelconnure nt siont	-|--|-------⌫-|-|--|
aluiparlé.	|--|------|
enrepaire nt en Ro me la ci té.	-|-------⌫-|-|--⌫-|-|--⌫---|
Noncent au pére	------|-|----|
l p or ent	|-⌫--⌫--|
S il f ut dolansnel	|-|-⌫-|-----|-||
es tuet demander.	--⌫---|--------|
ueullentunonme t ent le lcon s i r er	-------||--|--⌫-⌫--||-⌫|---⌫-⌫-⌫-⌫-|
Maislorgrantdueln e	---|--|----|---|-⌫|
puentoublier.	----|-------|
Aless iseste n Ausis la	-----⌫-|--|-⌫|----|-|
Sonsignou rsert pargrant humilité	--|------⌫|---|--|----|--------|
Queanemis nel e m puetencombrer.	--|-----|-||-⌫|---|---------|
Disetseta nsainc rien nenfu	--|-|--|-⌫-|---|---||-|-|
Penasonc orsenDamedi e u seruice.	---|--|-⌫--|-|------⌫-⌫|-------|
Cenefi stilpou rami	-|-|--⌫-|-|---⌫|--|
Nepourhou norqu ilien	-|---|---⌫--|--⌫|-|-|
fust adire	---||---|
Mais pour celi qui fu	---|---|---|--|-|
né sdela uirge.	---⌫|-|-|-----|
Pournulauoirnes	---|--|----|-||
entorn eramie .	-|----⌫--|---⌫|
Quantso nc oraigeota çouatourné	----|--⌫|-⌫-----|-||---|-------|
uel n istradela	--||----|-|-|
D ius f istlymagepourAlessin parler.	-⌫--|-⌫--||----|---|------|------|
Par unmied i de	--|-|----⌫|-|
la Natiuité	-|--------|
lipulesfu parmatinleués	-|----|-|--|----|-----|
Pourles eruicequi ld urent escoute r.	---|-|-⌫-----|-|-⌫|-⌫----|-------⌫-|
ainsquesainsi f u stsonnés	---|--|----||-⌫-⌫-|------|
Si comlihomqui niertaco ustumés.	-|--|-|--|--||---|---⌫--------|
Enes leio ur que	-|-|-|--⌫-|--|
Damedieusfu nés	--------|-|---|
Fi stDieusl ym ai getroisfoispourluipar ler	--⌫-|----||--⌫--⌫-|----|---|---|--|---⌫--|
L y maige en a Ermenerappelé.	|-⌫----|-||------|-------|
Unsaige clercquiseruoit alautel.	-|----|----|--|------|||-----|
lymaigeApèle l	|-----|-----||
Carilestdig n eden	--|-|--|---⌫-⌫||-|
Parad isent rer.	-----⌫-|---⌫---|
Etpéreetméreguer pip o ur l amour Dé	-|----|-|----|----⌫-|-⌫-⌫-||----|--|
Etsonauoirettout sonparente ́.	-|--|----|-|---|--|-------⌫-|
Bong uerr edon	--|-⌫----⌫---|
lenrendraDamede ́s	|-|-----|------⌫-|
Agrant m art yr e a sonc orsatourn é.	|----|-⌫---⌫--⌫||--|-⌫--|------⌫--|
Pageu01P2 87	---------⌫-|
Çou dist l ymaigeFailo me	---|---||-----|--||-⌫-|
Encest moustier car bienladese rui	-|---|-------|--|---|||----⌫--|
Caril e st dign e sdentrerempa radis.	--|-|-⌫-|----⌫-⌫||-----|-|--⌫-----|
Cil uaselquier t mai s	--|-|--|-----⌫|---⌫|
i lnels etcoisi r	-⌫|-||-⌫-|-----⌫|
Ice l sainthome	---⌫|----|---|
decui lymaige dist.	-|--||-----|----|
Deuantl ymaigereuint to us esbahi s.	-----||-----|-----|--⌫-|------⌫-|
Liclersreuintes mari salmou st ier	-|----|-----|--⌫----⌫|-|---⌫--⌫--|
Deuant lymaigecommençaa	-----||-----|--------||
Gentie ls yma igenesaiqui entercier	------⌫-|---⌫--|-|--|--|--------|
Angl etefisentpa rcom ma nt Diud el	----⌫|-|-----|--⌫|---⌫--⌫-|--|-⌫-|
Telpaour aitoussuidescon s illiés.	--|----|-|---|--|------⌫-⌫-------|
C ̧ou dis t l ymai geCelu y qui lesl	-⌫--|---⌫||----⌫-|----⌫|--|--||
P rèsestde Di u etdel ré gne	-⌫---|--|-|--⌫|-|--|---⌫--|
Parnuleguisenesen ueut eslongi er..	--|---|----|-||-|---|-------⌫---|
clerssestissusdel moustier.	----||--|----|--|--------|
liclersfo rsdelmoust ier	-|----|--⌫-|--|-----⌫--|
Pa r le sensegnes qu elymai geli	--⌫|--⌫|-------|--⌫||----⌫-|-|
Le reconnutonques rien	-|-------|-----|---|
Cel epartuintaapelerle prist.	---⌫|---|---||-----|-|-----|
tunoncar medisbiaus	-|--|--|-|--|----|
S iredi st	-⌫--|--⌫-|
anonAless is	|--|-----⌫-|
Unspec iére homseuoel espeneir.	--|---⌫----|--|-|---|--------|
Aceste festec	|----|----||
on dist Arcedeclin	-|---|---------|
Q ue nostre si reformadelaig e	-⌫-|-----|--⌫-|----|-||---⌫|
Adonquesiérentdissetans a compli	-------|------|--|--|--|-⌫-----|
Que io u is sitousseus dem onpais	--|--⌫|--⌫-|---|---|-|-⌫-|---|
Aincpu isne	---|--⌫-|-|
uinulhomede	-|--|---|-|
Nes aiseDiusm i fe roi treuenir.	-|-⌫-|-|---|||--⌫---⌫|-------|
C ar i ou fuiclersde let re bien	-⌫-|-⌫-|--|----|-|---⌫-|---|
ta nt folsque cheualiersdeuin g	--⌫-|---|--|---------|-----⌫|
Feme e spousai et	---|-⌫------|-|
mesnueces enfis	--|-----|-|--|
Ain sleguerpiqueli	---⌫|-|-----|--|-|
p l a isdepartis t.	-⌫-⌫-⌫-|--------⌫-|
Quiçouafa i tc ommentporra	--|---||--⌫-⌫|-⌫-----|----|
N en orésplus	|-|----|---|
Ales sinsliad it.	----⌫---|-||-⌫--|
Otleli clerssilen	-|-|-|----|-||-|
a faitenclin	|---|-----|
Aspi ésli ciet et	-|--⌫--|-|---|-|
ci ll erecuel li.	--⌫|-⌫|------⌫--|
E uou sla noi se	|---⌫|-|---⌫-|
partrestou tlep ais	--|-------⌫|-|-⌫--|
Queceley maige	--|---|-⌫----|
pa rlapourAlessin .	--⌫--|---|-------⌫|
Pag eu01P238	---⌫-------|
To ut lenho u norentligrantet li	--⌫-||-|--⌫-⌫-----|-|----|-|-|
Sifusteuesquessele	-|---|-------|-|-|
uausistsou ffr ir.	------|---⌫---⌫--|
Quant iluoitç ouque lueulent	----|-|---|--⌫-|--||------|
faire enA usi	----|-|-⌫--|
EDieusdistilci ne uoelmais	|----|---|-|-|-|---|---|
Degrantricoise	-|----|------|
et dorguelde mener	-||-----|--⌫----|
onmie D amedieu	-|--|-⌫------|
sen fu it de	|--⌫--⌫-|-|
N equistcongiénenosademander	-⌫|----|------|-||--|-------|
Contreso ngrénelifacent e ste r	-----|--⌫|---|-|||-----|-⌫---⌫|
Droitalamer	----||-|--|
ena que lt son	-|-⌫---⌫-|--|
[Dan sAlessis entra e nune	----⌫|------|----|-⌫|--|
Donnas onpri s	----|-⌫-|---⌫|
siestdedensentrés.	-|--|-----|-------|
Drecentlorsiglel ais s entcourr e parmer	------|--|----|-⌫---⌫-⌫--|-----⌫|--|--|
Lap rendrontterreuD iu sl ade stiné	-|-⌫-------|----||-⌫--⌫|||--⌫-----|
Dr oitaTr oholtq ui di érent	--⌫--||--⌫----|-⌫--⌫--⌫-----|
Mais nep uetestre cau tre	---|-|-⌫--|----||--⌫--|
part sonttorné	---|---|-----|
Tout droit a	---|----||
Roum e l e sconduitliore ́s	----⌫|-⌫-⌫|------|-|---⌫-|
A u ndes pors quipluspre ̀sdeRoume	|-⌫|--|---|--|---|---⌫-|-|----|
Aundes porsquiert	|-|--|---|--|--|
pl usprèsdeRou me	--⌫-|----|-|---⌫-|
Illu ecarriu el inés ace lsainthome.	----⌫-|-----⌫|-⌫|---||--⌫|----|----|
Quantuoitsonre gne moutforment s en redoute.	----|---|--|--⌫--|---|------||-|-------|
F a itsesp riiére saorisons	-⌫-⌫-|--|-⌫-------⌫||------|
s a intPie ́re de Ro ume	-⌫-⌫--|---⌫--|-|--⌫--|
ami s quene lcounoissentonques	---⌫|--|-||----------|-----|
Ned elonordelsiécle	-|-⌫||---|--|------|
nelenco m bren t .	-||----⌫-⌫----⌫-⌫|
EDius di st il glori ousro is	|---|--⌫-|-|-----⌫--|--⌫-|
Set o i p l eusticineuausiseestre.	-|-⌫-⌫|-⌫-⌫---|--|-|------|-----|
counoissentla gens deceste	----------|-|---|-|----|
II m e prendront parforceetpar	-|-⌫|--------|--|----|-|--|
Si iousen croiilmetraironta	-|--||-|---|-|-|-------||
AiueDiexquinousas	---|---|--|---|-|
Seuel auoirleuraie compaignie.	-|--|----|-|----|----------|
Etdeseruiruostredurableuie .	-|-------|-----|------|---⌫|
Pageu01P239	----------|
S emecounoistmamérel esmarie	-⌫|-|-------|-|----||------|
Etmiparent et me spouse et	-|-|-----|-||-⌫-----|-|
Il metolrontle uostre	-|-|------|-|-----|
compaign i e	--------⌫-⌫|
Silm e rembat ent ences temortel	|-|-⌫|------⌫--|-|---⌫-|-----|
De ffentm eDiexde	--⌫----|-⌫|---|-|
to utes m alesuisces	--⌫---|-⌫---|-----|
Etdeldiablequeil ne m e scarnisse	-|--|-----|--|-|-||-⌫--------|
Nepuismu erle cuer	-|---|--⌫-|-|---|
asousplice.	----------|
pou rquantmes pér esmedesire	---⌫-----|--|----⌫-|-|-----|
Sifaitmaméreplusq ue feme qui uiue	-|---|-|----|---|-⌫-|---|--|---|
Si fait le spouse queieloraiguerpie	-|---||-⌫-----|--|-|--|-|------|
lesiorsque iouaroiea uiure	--|---|--|--|----||----|
N estoitmaiseurep luslié	|-----|---|---|-⌫--|---|
nem en fesisse	-||-|------|
donesire parit elguise.	---|---|--|--⌫-|-----|
Q u ebienles uoieetsa ce lorco uuine.	-⌫-⌫|---|--|---|-|--⌫-|--|--⌫-----|
Ne mecounoissentne nus hom nelor di e	-|-|----------|-|--|--|-|--|--⌫|
iroief aire	----|-⌫---|
uostreser uice	-----|---⌫---|
Sie steroitlame	-|-⌫------||--|
moi egarie.	---⌫|-----|
la nefqua nt	-|--|---⌫-|
Quantissi otsespriiéresfinées	----|---|-|--|--------|------|
a Diusde tresto ut	|---|-|------⌫-|
e sc outées	-⌫--⌫------|
Qu enuer sluiorent lorueu e s	-|-----⌫|--|----|--|---⌫-⌫|
tourble ́e s	-------⌫--⌫|
N el recounurentlipé rene l i	-⌫||----------|-|---⌫-|-|-⌫|
Ne siamineci ldelacontr ée.	-|-|--|-|--⌫|-|-|-----⌫---|
Nelapu c ele queil otespousée.	-|-|--⌫-⌫--|--|-|-|---------|
Sai nsAl es sinsest iss u sde lanef	---⌫-|--⌫--⌫---|--|---⌫-⌫|-|-|--|
Tout un c emi nsen commen ce	---|-|-⌫---⌫||-|------⌫-|
Sous u neespines	---|-⌫-|-----||
asistpourrep oser.	----|---|---⌫----|
e stmo ult	-⌫-|--⌫--|
enfremé s	--------⌫|
Sicrientmorirpar	-|-----|----|--|
estranges ostés	--------|-----|
Sonsautieraparfondementpreé	--|------||-----------|----|
IIlao u uertsi adedensgardé .	-|||-⌫-⌫---|-||-----|------⌫|
Siat elsletr eselparcemintrouué.	-||-⌫--|----⌫-|-|-------|-------|
Q uela mere a son	-⌫-|-|---||--|
enfantagarder	-----||-----|
Setan s to usplains cest li	--|--⌫|--⌫-|-----||--|-|
p rim i erseés	-⌫---⌫-⌫--|---|
Etpui sap rèssil cieleneffret és	-|---⌫|--⌫---||-|---|-|------⌫--|
Toute sauieque ilaa	----|-|--|--|-|||
Pageu01P240	----------|
O ruauroit sisonpére ara isonn er	-⌫|------|-|--|----|---⌫-----⌫-|
Par itel guisepe usta luiparler	--|---|----|--⌫--||--|-----|
Nel couneu st asonro umancparler	--|------⌫-||--|--⌫----|-----|
