#META#TextURI C leomHas	-----|------|-⌫------|
#META#DEAFhttp//www .deaf-p age.de/fr/b ibl/bib99c.php# CleomHas	-----|---|---------⌫-------⌫-----------⌫---------------⌫-------|
#META#TL Cleom.	-----|-|-----|
#ME TA#F EW	---⌫--|-⌫-|
#META#ARLIMAhttps//www.arlima.net/ad/adenet_le_roi.html#cle	-----|-----|----------------------------------------------|
#META#AuthorAd en etleR oi	-----|-----|--⌫--⌫-|-|-⌫-|
# ME T A#AuthorBorn1240	-⌫--⌫-⌫-|---------|---|
#META# AuthorBo rnAmbc	-----|--------⌫----||
#META#AuthorDied1300	-----|---------|---|
#META# AuthorDi edAmbc	-----|--------⌫----||
#META#AuthorFl1	-----|--------|
#META# AuthorF l2	-----|-------⌫-|
#M ET A #uIAFhttps //uiaf.o rg/uiaf/215956894 /	--⌫--⌫-⌫|---|-----⌫--------⌫-----------------⌫|
#META#TextTitleLirouma ns	-----|--------|-|-----⌫-|
deCléomad ès	-|--------⌫--|
mani erei demora	----⌫--||-----|
Queiamaisne	--|-----|-|
Ainc ̧ois l ecou uenroitpart ir	----⌫---|-⌫|---⌫------|----⌫-|
C onlepeüst	|-|-|-----|
dela ̀partir.	-|--⌫|------|
Miexuorroi equil f ustpartis .	---|------⌫|-|-|-⌫--|------⌫|
Cest pass éiàn eni ert partis	|--|----⌫-|--||-|-⌫--|-----|
Etcesaure z	-|-|-----⌫|
uous bie npartans	---|---⌫|--|---|
Que iln en puet	--|-||-|---|
estre part ans.	----|----⌫---|
Carmaintenant u ous uue i l pr iie r	--|---------|-⌫--|---⌫-⌫|--⌫---⌫|
Queil neuousuueilleanuiier	--|-|-|---|------|------|
Se uerslireu ois temprement	-|---|-|---⌫--|---------|
C arie nep uisuiureautrement.	-⌫-|-|-|-⌫--|----|---------|
Pageu01P1 31	---------⌫-|
Bi enpui sdireq u e maisn	--⌫-|---⌫|---|-⌫-⌫|---||
Femmenu le	----|--⌫-|
secelena i.	-|---||-⌫-|
Car s achie zneuorroiepa s	--|-⌫-----⌫|-|------|--⌫|
Queto us li mons ethaus et bas	--|--⌫-|-|---|-|---|-|--|
T erresaiguesdoucesetmer	-⌫----|-----|-----|-|--|
Etkanc on iporroittrouuer	-|--||-||------|------|
Fustmi en àfair em on	---|--⌫-|-|----⌫|-⌫-|
Etne deüssereueöir	-|-|------|-------|
Ce leà c ui iaimon cuer donne ́.	--⌫-|-|-⌫-||-|--|---|-----⌫-|
Car Clar m ondineaucuersené	--|----⌫-⌫-----|-|---|----|
Iamaisdecuer	-----|-|---|
liez ne s erai	---|-|-⌫---|
Dusqu à tantquelareu errai	----|-|---|--|-|---⌫----|
Ca rse m a is ueöir n e lcuid oie	--⌫|-|-⌫-⌫-|-----|-⌫-⌫|----⌫--|
Iamaisnul iourioien auroie.	-----|--|---|---||------|
Mar cadigasabien oy	---⌫------||---|-|
Commentamo ursauoitsaisi	------|---⌫--|----|----|
Sonfill.Lor sla	--|----|---⌫|||
reconforté	----------|
Etdi st quebi ena	-|--⌫-|--|--⌫-||
Quan t s amoura entellieu mise	----⌫||----||-|--|---|---|
Caren moulthautlieul	--|-|----|---|---||
Car moul tae nz our oi	--|----⌫||-⌫-|-|-⌫-|
Ge ntillroiet s ag eetpois sant	--⌫----|--|-|-⌫--⌫|-|----⌫---|
Etp re ud omeet degrant	-|-⌫--⌫--⌫--|-|-|----|
lig n age.	---⌫-⌫---|
Bien s as s entàcemariage.	---||--⌫-⌫--|-|-|-------|
Biaus fiex faitiltout	----|---|---|-|---|
mainten ant	-------⌫--|
Enuoierai auroiCarm ant	--------|-|--|----⌫--|
Messagierss ages etsenés.	---------|-⌫---|-|------|
S ac hi ezquelap ucele auré s	-⌫--⌫--⌫-|--|-|-⌫----|-----⌫|
Que lmondenapr ince neroi	-|-⌫|----|||--⌫---|-|--|
Tantsoitpoissanssi	---|---|-------|-|
com iecr oi	--|-|--⌫-|
Qui n e f ust mo u l tioia ns et	--|-⌫|-⌫--|--⌫-⌫-⌫|----⌫-|-|
filleauoiruo u lie z .	----|----|--⌫-⌫---⌫-⌫|
soiezass eürez	----|---⌫-----|
Pageu01P132	----------|
Car seiep u isiàni faurrez.	--|-|-|-⌫-⌫-|--|||-------|
Paramoursla pucel e aurons	--|-----|-|-----⌫|-----|
Ouparforcelacon querrons.	-|--|----|-|---⌫--------|
Qua n t Clé omadè s	---⌫-⌫|----⌫------⌫|
S on perequ iparoleainsi	-⌫-|---|--⌫|-----|----|
Bongrél en	--|---||-|
sotc e fur aison.	--|-⌫|-|-⌫-----|
Sirefait ildonnés me Idon	---|---|-|------|-||--|
Telquei e croiqu il	--|--|-⌫|---|-|-|
uousplaira.	---|------|
EtMar cadigas	-|---⌫------|
li donna .	-|-----⌫|
Sirefaitiln	---|---|-||
enuo iezpoint	----⌫--|----|
ÀCa rma ntquilya	-|--⌫---⌫-|-|-|||
n euou snipas	-⌫|---⌫|-|--|
pasà nostr e	--|-|-----⌫|
Lorslidistqueli roisdArcage	---|-|---|--|-|---||-----|
Ap ou rchaciéce mar i age	|-⌫--⌫-------|-|---⌫-⌫--|
DeClarmon dine et deson	-|-------⌫---|-|-|--|
E tpour cey	-⌫|---|-||
auroit peril l	-----|-----⌫|
T elq uesenousienuoions	-⌫-|-⌫-|-|---||-------|
I espoirque pource	|-----|--|---|-|
i faurrons	|-------|
Etpourcemauez	-|---|-||---|
Que lauoise	--|-|----|
pa ruo con gie ́.	--⌫|-|---⌫---⌫-|
cheualtost	-----|---|
La puceleespe ira me n r ai.	-|-----|----⌫-|-⌫--⌫-⌫-⌫--|
Car sachi ez	--|-----⌫-|
ienemet e n roie	-|-|-|-⌫-⌫-⌫---|
doinst a moursd elii oie	-----|-⌫----|-⌫|-|-⌫--|
Deliue ö irceuous	-|-|--⌫--⌫-|-|---|
onfus tlàal éde ci	-|---⌫|--|--⌫-|-|-|
Ne dilueque sreuenus ça.	-||-------⌫|------|---|
P ou r kanq uaentr eci etla ̀	-⌫--⌫|--|-⌫||----⌫|-|-|--⌫|
Duientiersio urmouuo i ruorra i	--|------|--⌫-|-----⌫-⌫|-----⌫|
N en doutezià	|-|-----|--|
t ostreuen ra i.	-⌫--|-----⌫--⌫-|
Sireplaise uousenseme n t	---|-----|---|------⌫-⌫|
Ca rmor ssui	--⌫|---⌫|--|
Pag eu01P133	---⌫-------|
Et seuousuoulez	-|-|---|-----|
de stornés cesteuoie.	--⌫-------|----|----|
Liroisuoit biencommentquila il le	-|---|---|---|------|-|-|-⌫--⌫-|
IraCléomadè s sa nsfaille.	--|----------⌫|--⌫-|------|
Biausfiexfaitil uousi irés	----|---|---|-|---||----|
Parsiqueen c ouue ntmarés	--|-|--|-|-⌫----⌫-||----|
Mo iet uomere	--⌫|-|-|---|
Qued eden sbienp r o chaintermine	--|-⌫----⌫|---|-⌫-⌫-⌫----|------|
Fereztrestout uostre	----|-------|-----|
Denoustemprem ent reueöir	-|---|-------⌫--|-------|
Carset ost	--|-|-⌫--|
neuousreueöie	-|---|-------|
Moultgr antmeschiefde c ueraroie.	----|--⌫--|-------|-|-⌫--|-----|
E tCléo madèsdit l ia	-⌫|-----⌫-----|--|-⌫||
K àsonpo uoir tost reuenra.	|-|--|--⌫---|---|-------|
a uoir nulanui	-⌫---|--|---|
Tantquilait son cheualolui.	---|-|-|--|--|-----||---|
ili luecpa rloient	-|-⌫---|--⌫------|
Deleurbe s oign e etdeuisoient	-|---|--⌫-⌫----⌫|-|---------|
Atant [estf ols] leroiCrompart	----|---|-⌫---|-|--|-------|
Quis enuinttou t droit	--||-|---|---⌫|----|
Oùl irois par olea ̀so nfil.	--|-⌫|---|---⌫--|-⌫|--⌫|---|
Ha roisMarcadigasfaitil	-|---|---------|---|-|
Àgrant tort anui fait m auez	-|----|---|---|---||---|
Etpu isqu euostre	-|--⌫-|--⌫|-----|
fillr auez	---||---|
Dontestraison que Marin e	---|--|-----|--|-----⌫|
Ca rpour nulmeschi ef	--⌫|---|--|------⌫-|
queietraie	--|-|----|
Neseraiuersuouscorrouci ez	-|----|---|---|--------⌫-|
Seuous Marineme	-|---|-----|-|
bail liez.	----⌫----|
Etu ousl em auezen couuent	-|-⌫--|-⌫||---|-|------|
Ce saue zuou s	-|----⌫|---⌫|
bienuraiement.	---|---------|
Etie ladoipardro it	-|-|-|--|--|---⌫-|
Caru ous aueztro uu éen	--|-⌫--|---|---⌫--⌫-|-|
Pageu 01P134	-----⌫-----|
Douche ual	--|---⌫--|
queieuousdon nai	--|-|---|---⌫--|
Toutcequed e lui	---|-|--|-⌫|--|
deui s ai.	----⌫-⌫--|
Tousli mons uo ustientà loial.	---|-|---|--⌫-|----|-|-----|
Neia ̀ pour	-|--⌫|---|
moi n e ferésmal	--|-⌫|-----|--|
bie nqueuo usme tenrés	---⌫|--|--⌫-|-|------|
Ce que uousencouuentmau és.	-|--|---|-|------||--⌫---|
Lors dist Marcadigas à lui	---|---|---------|-|--|
C ertesfaitiluousne	-⌫----|---|-|---|-|
Àmonpouoir	-|--|-----|
nemen tiroie	-|---⌫-----|
Car bon fa itale r droiteuoie.	--|--|--⌫-|---⌫|-----|----|
Maislad r oite uoie eschiuastes	---|-|-⌫-⌫---|---|----------|
Quantl a che uilletetornas tes	----|-⌫|---⌫------|------⌫--|
Doucheu alquants us fumontés	--|----⌫-|----|-⌫-|-|------|
Mesfiexqueuousiciué e ́s	--|---|--|---|--|---⌫-⌫-|
Quitoutm a	--|---|||
Etcomment ar riereetau ant	-|------|--⌫----|-|--⌫--|
ua li cheuaus parl escheuilles.	-|-|------|--|-⌫-|---------|
Lamourde moietdemesf illes	|----|-|--|-|-|--|-⌫----|
E tdemonfill perduauez	-⌫|-|--|---|----|---|
NeiamaisMarinen aure ́s.	-|-----|-----||----⌫--|
Pourcekauez	---|-||---|
faittray so n	---|----⌫--⌫|
uou sretoi l	---⌫|-----⌫|
Sachiezq ueà l amourde li	------|-⌫-|-||----|-|-|
Auezuou sàtousioursfa illi	---|---⌫|-|---|----|--⌫---|
Card roi tuou sdeuroitonhonnir	--|-⌫---⌫|---⌫|------|-|-----|
Car uousm ecu idastestrayr.	--|---|-⌫|--⌫------|-----|
C efu pource quil	-⌫|-|---|-|-|-|
uouss a m b l a	---|-⌫-⌫-⌫-⌫-⌫|
Queàmonf il lpas nagréa	--|-|--|-⌫--⌫|--||-----|
Que uouseüssiezsa	--|---|-------|-|
Ceu ous fistfairece f austour.	-|-⌫--|---|----|-|-⌫--|----|
Ieuous puisbienpour uoiriurer	-|---|---|---|---|---|----|
uous quier iepascel e r	---|----|-|--|---⌫-⌫|
Kesc or chiezfussiezou pendus	|---⌫--⌫----|------|-|-----|
nefust ça	-|---|--|
Page u01P135	----⌫------|
Cléomadès qui	----------|--|
moultmeprie	----|-|---|
Quene uous face uilonnie.	--|-|---|---|--------|
Par lu i es tes bienlesac hiez	--|--⌫|--⌫--|---|-|---⌫---|
Sitostd el aprisonl achiez.	-|---|-⌫|-⌫|-----|-⌫------|
Iluousest uenus àbonport.	-|---|--|----|-|--|----|
aurezgardedemor t .	----|----|-|---⌫-⌫|
P rèsfustesde ma uu a is ma rchié	-⌫---|-----|-|--⌫--⌫-⌫-|--⌫-----|
K àmortuo usauoientiug ié	|-|---|--⌫-|------|---⌫--|
Toutliba ron de	---|-|--⌫--|-|
Enmaterre auez	-|-|----|---|
uersuostrepaysenralés	---|-----|---|-||----|
Cest doum iex quef airepoués	|--|--|-⌫--|--|-⌫---|-----|
Li demor ers uousuanrroitpou	-|-----⌫--|---|-------|--|
Etp ourc elaler	-|-⌫--|-⌫||---|
uous en lo .	---|-|--⌫|
Etdis tCrom parsNeme n irai	-|---⌫|----⌫---|-||-⌫|---|
Dusquà tantque	----|-|---|--|
Marinearai.	-----|----|
Pour tantseroisiedepeciez	---|---|-----|-|-------|
Enuersmoi e stes corr ouciez	-----|--|-⌫---|----⌫-----|
Ma i squan tserés biena uisés	--⌫-⌫|----⌫|-----|---|-⌫-----|
Iespoir que	|-----|--|
cou ue ntmetenrés.	---⌫--⌫-|-|-------|
D is tCléomade ̀suoir ement	-⌫--⌫|---------⌫-|----⌫----|
uous t enr a mesperescouu ent	---|-⌫---⌫|--|----|----⌫--|
Ià decouuent neu ous	--|-|------|-|-⌫--|
Queoren droituous de uisa	--|----⌫----|---|--⌫---|
Q ue uousgard edemortn aurés	-⌫-|---|----⌫|-|---||-----|
masuer failli aués	-|---|-----|----|
Non paspource	--|--|---|-|
que nesoiez	--|-|----|
Richesetbie n enlignagiez	-----|-|---⌫|----------|
Maipou r uo taillemerueilleuse	--|---⌫|-|-----|-----------|
Dontmas uerestsipeüreuse	---|-|-⌫--|--|-|--------|
Pageu01 P136	-------⌫---|
E tquant uers	-⌫|----|---|
moi faust ou rquéistes	--|---|-⌫--⌫|--------|
Sachiezbienq uepour c ep er di ste s	------|---|-⌫-|---|-⌫|-⌫--⌫--⌫---⌫|
Ceque uousauoiten c ouuen t	-|--|---|----|-|-⌫-----⌫|
Mesperesdepremierement.	--|----|-|------------|
Carpou r m oinel uo ul oitlai ssier	--|---⌫|-⌫-|--|--⌫--⌫--|---⌫----|
Tantlenseüss e	---||-|------⌫|
Qu e uousn	--⌫|---||
eüssiez entresai t	-------|--------⌫|
fu stbia u ne	--⌫-|---⌫|-|
Celeuousau o itotroiie.	---|---|--⌫-⌫-|-------|
Perduel auez	-----||---|
p arfolie.	-⌫-|-----|
L aidementuous	-⌫-------|---|
est m esche ü	--|-⌫-----⌫-|
Faussete ́uousa dec eü.	--------⌫|---||---⌫---|
Nestn usqui fausse té maint iengne	|--|-⌫-|--|------⌫--|-----⌫-----|
Que i la ̀mauu aischiefnen uiengne.	--|-⌫|-⌫|----⌫--|----||-|-------|
Sa chie zque	--⌫----⌫|--|
tr ayrmecuidastes	--⌫--|-|--------|
mei ̈s mes enpirast es.	---⌫--⌫--|--------⌫--|
Maint efois	-----⌫|---|
a petitaidié	|----|-----|
Àm aintfolcequ ilontcuidié.	-|-⌫---|--|-|-|-|--|-------|
Mespe resmaisne uouscr oira	--|--⌫--|---|-|---|--⌫---|
uousamistén aura	---|------||---|
C arpu i squeil au roi ttrouué	-⌫-|--⌫-⌫|--|-|--⌫---⌫|------|
Aucun egenten	-----⌫|---|-|
fa ussete ́	--⌫------⌫|
Mai s às amourn e reuen roit	---⌫|-||----|-⌫|-----⌫---|
C il quifaussetéfaitaroi t	-⌫-|--|--------|---|----⌫|
i oursaloialesté	-⌫---||----|----|
yueretesté	---|-|----|
Et loi au ssera toutadès.	-|---⌫--⌫|---|---|-----|
Crompars otque Cléomadès	-------|-|--|----------|
Lidi stse nfutousabaub is	-|--⌫-||-⌫|-|---|-----⌫-|
Sa n scongié sest delàpartis.	--⌫-⌫|------||--|-|--|------|
Mase t d olansfuethonteus	--|-⌫|-⌫----|-|-|------|
Tou t aussi commelipr isl eus	---⌫|----|----|-|--⌫-|-⌫--|
Quino senului regarder.	--||-⌫-|----|--------|
Se partidiluec sansp arler.	-|----||----|---|-⌫-----|
Pageu01P137	----------|
Enlauile s	-|-|---||
en uinttout droit	-|---|---|----|
Oùplen téd esagentauoit	--|----⌫--|-⌫|-|---|----|
Q uilà lauoient atendu	-⌫-|--||------|-----|
D olantd ecue retirascu	-⌫----|-⌫|---⌫|-|-----|
Pourc equeleurseigneursauoient	---|-⌫|--|---|-------|-------|
Enprisonnéetbie n uéoient	----------|-|---⌫|-------|
Que il au oitfaitf aus seté	--|-|--⌫--|---|-⌫---⌫----|
Nepourquantloren tagardé.	-|--------||----⌫|-------|
Àsage ntuint moult aïr és	-|-|--⌫-|---|----|----⌫--|
Crom pars etde	----⌫---|-|-|
cuer tormen tés	---|------⌫---|
Carentelpo inter tsa	--|-|--|--⌫--|--⌫|-|
Kau c uerauoit	|-|-⌫--|----|
ire et uergoigne.	--|-|---------|
di tqu il senalassent	--⌫|-|-||-|-------|
là plusnedemora sse nt.	--|---|-|------⌫---⌫--|
E tc ildient qu ille	-⌫|-⌫-|----|-|-|-|
Carl a coust ume bi en sauoien t	--|-⌫|-----⌫--|--⌫-|-------⌫|
Que on ma intenoitenl eurterre.	--|-|--⌫-------|-|-⌫--|-----|
Po urleu rpaysgarde r	--⌫-|---⌫|---|-----⌫|
E rtestabl i	-⌫-|------⌫|
dan cisserie	|--⌫-------|
Ens ou roia umedeBougie	--|-|----⌫--|-|-----|
Une moultgrantdiuerseté	--|----|----|---------|
Que s enus	--|-⌫|--|
faisoitfausseté	------|--------|
Quito rnastàdesi retance	--|--⌫----|-|----⌫------|
Ne à pointde deshonnorance	-|-|----|-|------------|
En ue rs leseig nourd oupa i ̈s	--⌫--⌫-|-|----⌫---|-⌫-|--⌫-⌫-|
Tantost estoitpriset	------|-----|---|-|
Cil au oitla	--|--⌫--|-|
testecoupée	----|------|
telchose estoit prouuée	--|----|-----|-------|
Sans r achatconuenoit morir	---|-⌫----|--------|----|
Quile seigneur uouloit trayr.	--|-|-------|------|-----|
Celu ipoin tauoi en t usé	----⌫|----⌫|----⌫--⌫|---|
Demoult gran tancienn eté.	-|----|----⌫|-------⌫----|
Et seleursires refustte ́s	-|-|---|----|-----|--⌫-|
Pageu01P1 38	---------⌫-|
Quilf ust en nulpaysrestés	-|-|-⌫--|-|--|---|------|
De fausseté quef ait	-|--------|--|-⌫--|
Trestou tce rta inementseüst	-------⌫|--⌫---⌫------|-----|
siho m ele sa uoient	-|--⌫-⌫|-|--⌫-----|
Pardroit ocirrelepouoient	--|----|-----|-|-------|
SededensuIIan s	-|-----|--|--⌫|
re ueno it	--⌫----⌫-|
Enlat er requi	-|-|-⌫--⌫-|--|
sien neestoit.	----⌫-|------|
N au oitqueuIIans	|--⌫--|--|--|--|
der esp it	-|-⌫---⌫-|
Queil fustà	--|-|---|-|
la mortiugiez	-|---|-----|
Sedoumesfait nertrap aisi ez	-|--|------||--|---⌫----⌫-|
Quepar sonmesfaitf ai ta uoit.	--|--|--|------|-⌫--⌫|-⌫----|
Telloi en Bougiecouroit.	--|--|-|-----|-------|
Auch iefdeuIIans si l	-|--⌫--|-|--|--||-⌫|
Dedenz sonpaysreuenist	-----|--|---|-------|
Parsique dede nz	--|-|--|----⌫-|
ce termine	-|------|
Pourc haçast lettrebonne etfine	-----⌫------|-----|----|-|---|
Q u e c il u ers cuiauoit fausse ́	-⌫-⌫|-⌫-|-⌫--|--|----|------⌫|
Eüssen t oupaysman dé	-------⌫|-|---|---⌫--|
Quebiena paiése ten oient	--|---|-⌫----|-|---⌫----|
D e lui et qui llipar donnoient	-⌫|--|-|-|-⌫|-|---⌫--------|
il auoituers ausmespri s	-|----|---|--|------⌫|
auoit son los r aquis.	----|--|--||-----|
Iama isniremei ̈st	----⌫-|||-----⌫--|
S eai nsineüs t besoignié.	-⌫|--⌫--||----⌫|----------|
Pou r c ett e	---⌫|-⌫---⌫|
raisonsauisa	-----||----|
Cromparsque ild emorra là.	-------|--|-|-⌫-----|---|
Onquesn e laissaauoec lui	-----|-⌫|-----|----|--|
Làen droi tdemorer nul ui	--|--⌫----⌫|------|---⌫-|
Carse ainsinelef aisoit	--|-|----|-|-|-⌫-----|
Autr ementreuenirnosoit	----⌫----|------||----|
Pourlacoustume	---|-|-------|
quildouta.	-|-|-----|
ÀSebiles eusdemo ra.	-|-----|-⌫--|----⌫--|
Pageu01P 13 9	--------⌫--⌫|
Souciexfu etmalicieu s	------|-|-|--------⌫|
Et p ourcedemora t ousseus	-|-⌫--|-|-----|-⌫--|---|
Pou r ce quilneuoul oit	---⌫|-|-|-|-|----⌫--|
Seüs t son	-----⌫|--|
afairee t sonus	-----|-⌫|--|-|
Quenes efioit e nnului	--|-|-⌫|----|-⌫|----|
Ta nt auoit demalic e	--⌫-|----|-|-----⌫|
Malades prist àuisiter	------|----|-|------|
Card efisique	--|-⌫|------|
soto uurer .	--|-⌫-----⌫|
Pour c e kamersecu idoitfaire	---|-⌫||---|-|--⌫----|----|
Enpre noitil sifait	-|---⌫---|-|-|---|
Quel esmaladesàgarir	--|-⌫-|------|-|----|
Carbien en sot àchiefu enir.	--|---|-|--|-|----|-⌫----|
D e fisique ertsi so uuera ins	-⌫|------|--|-|--⌫-----⌫--|
e nertdesicertai ns .	-⌫|--|-|-|------⌫--⌫|
D elàiusques enSalen ique	-⌫|--|------|-|-----⌫---|
nulpl uss eür defi sique.	--|--⌫-|-⌫---|-|--⌫-----|
De l uiuous	-|-⌫-|---|
lairai oree ster.	-----|--|-⌫----|
De Cléom adès uueilparl e r	-|------⌫----|----|----⌫-⌫|
Quilàendroit nedem o ra	--|--|------|-|---⌫-⌫-|
Ma isq u etrois iours.	--⌫-|-⌫-⌫|----|-----|
Lors sar ré a.	---||--⌫---⌫-|
Droita u q uart	----|-⌫|-⌫---|
iour au m at inet	---|-|-⌫--⌫---|
Fumontésseursoncheuale t.	-|------|---|--|-------⌫-|
Nushomsauoienesauoit	--|--|-|---|-|-----|
Fors ses peres	---|--|----|
cui dit l au oit	--|--||--⌫--|
Etsameredon eYnabele	-|-|---|---⌫|------|
Cuimoultdesplaisoitlanouuele	--|----|----------|-|------|
Etses sereursaussile	-|--|------|----|-|
Q uimoulttrè sgrant duelauc ueroren t	-⌫-|----|----⌫|----|---|-|-⌫--|----⌫|
Deceque tel ementsen ua	-|-|--|---⌫----||-|-|
Neneseu entquantreuenra.	-|-|---⌫--|----|-------|
Formen tdemo rerentplorant	------⌫|----⌫-----|------|
Etleurblanches mains destordan t	-|---|-------|----|---------⌫|
Page u01 P140	----⌫---⌫---|
Et Cléomadè s senala	-|----------⌫||-|--|
Cuilauoie moultagréa.	--|-|---|----|------|
Nenp or taol uiques	|---⌫--⌫-||-⌫-|--||
Quierttrencha ntet acerée	--|--|-------⌫-|-|------|
Do ntm ainthaubercot depané	--⌫-|-⌫---|------|-|------|
forthiaume	---|-----|
descerclé	---------|
Etmainthomemort abatu	-|----|---|---|----|
Etdepeciémaint forte scu.	-|-------|----|---|-⌫---|
Les péea uoit n on Resso ignie	|--⌫---|-⌫---|-⌫-|-----⌫----|
Mieudredelinefu	------|-|-|-|-|
Cl éomadès sa ns nuldetri	--⌫--------|--⌫-|--|----|
Senalaainsi	|-|--|----|
que uousdi.	--|---|--|
Marcadigasligent iex rois	---------|-|----⌫--|---|
s es filles	-⌫-|-----|
toutes trois	-----|----|
Etlaroy n eensamble	-|-|---⌫-⌫|-------|
Nemoustrerentpastout l	-|----------|--|---||
Que il or entce pouez c roire.	--|-|--⌫--|-|----|-⌫-----|
Commegen t debonnememoire	----|---⌫|-|----|------|
Ont leu rf illes r econ fort ées	--|---⌫|-⌫----|-⌫----⌫----⌫---|
Et moult lesont as seürée s	-|----|--|--|--⌫--------⌫|
Etd i tqueeles	-|-⌫-⌫|--|---|
serapai ent	-|-----⌫--|
Ne pourleurfrerenesesmaient	-|---|---|----|-||-------|
Car il reuenratemp r em ent	--|-|------|----⌫-⌫--⌫--|
Celeur ai lbienencouuen t.	-|---||-⌫|---|-|------⌫-|
Ai nsi Marcadigasd isoi t	--⌫--|---------|-⌫----⌫|
Luietse s fillescon fortoit.	--|-|--⌫|-----|---⌫-------|
Cléom adès tant	------⌫----|---|
Etsescheuaussileporta	-|--|------|-|-|----|
Quei lalechastel	--|-⌫||-|------|
Oùdoud artd amour sna uréfu	--|--|-⌫--||-----⌫|--⌫---|-|
Si k encoreou cuer l	-||-----|-|---||
enestech e	-|------⌫|
life rs ola flech e.	-|--⌫-||-|-----⌫-|
Pageu01P141	----------|
Qu antilaueü elato ur	--⌫--|-||----⌫|-|--⌫-|
Seurquois arrestala u treiour	---|---||------||-⌫-⌫--|---|
Lorsso tilb ienseüre ment	---|--⌫|-|-⌫--|------⌫---|
chastia usurai ement	-------⌫-|----⌫----|
Oùsescuerslidonna	--|--|----|-|----|
Leiourconl o t	-|---||-||-⌫|
a ̀mortiugié.	-⌫|---|------|
Pou r Clarmondine sel aissa	---⌫|----------|-|-⌫----|
SescuersquantC arm anteschapa.	--|----|----|-⌫---⌫--|-------|
Cléomadès grantioieeu ̈st	----------|----|---|--⌫--|
Sensaconpaign ieseü st	|-|-|--------⌫-|----⌫-|
Lecuerla beleC larmondin e	-|---|-|---|-⌫---------⌫|
Q uionq uesiour ne nuit	-⌫-|---⌫--|---|-|---|
a ̀l uiloiaum e nt .	-⌫|-⌫-|------⌫-⌫--⌫|
Adèsest udie conm ent	----|---⌫---|----⌫--|
Elelepuist i amaisu eo ̈ir.	--|-|----|-⌫----|-⌫--⌫---|
Souuentlif a it	------|-|-⌫-⌫-|
lecuer dol oir	-|---|---⌫--|
Ce que neset quelpartal a	-|--|-|--|---|---|--⌫|
Le iourqui l se part ide	-|---|-|-⌫|-|----⌫|-|
Car ses cuers	--|--|----|
Quede bonli euuen us	--|-|--|--⌫-|---⌫-|
Cléomadèss estauise ́s	----------||--|-----⌫-|
Quetan tqueli i ourssoitpass és	--|---⌫|--|-|-⌫---|---|----⌫--|
Nesetraira uer s lechast el.	-|-|-----|---⌫|-|-----⌫--|
EnIboisde souzI ormel	-||---|--⌫---||----|
Quiestoitfue ill is	--|-----|---⌫---⌫-|
S est Cléomadès auale z.	|--|----------|-----⌫-|
Desouz ce larbre descendi	-----|--⌫|----|-------|
Plus eursch a nsdo isiausioy.	----⌫---|--⌫-⌫-||-⌫-----||--|
Làs estCléomade ̀sassis .	--||--|---------⌫-|-----⌫|
Sonch eualad elezlui	--|--⌫---||-⌫---|--|
Làdemor aiu squàlanu it.	--|-----⌫|--⌫--|-|-|--⌫--|
Penseresto ient	-----|----⌫---|
Pageu 01P142	-----⌫-----|
Cléomadès otgrantpensée	----------|-|----|------|
Co m menti leüst	--⌫-⌫---|-⌫|----|
Labesoi g neque i l chaç oit	-|-----⌫-⌫-|--|-⌫|-----⌫--|
Etenmoult grantpaourestoit	-|-|----|----|----|-----|
QueClarmondinene fust mie	--|----------|-|---|--|
Oulieu oùil lau oi tla issie	-|---|--|-||--⌫--⌫|--⌫----|
Etencor eotplusgr antesmai	-|-----⌫|-|---|--⌫--|----|
D une ch osequeuousdirai	|--|--⌫--|--|---|----|
Quen elieu ̈s tfaitanui	--|-⌫|-|--⌫--⌫|---|---|
Se s peres pourl amour	--⌫|----|---||----|
Et puisleüs tdelà se urée	-|---||----⌫|-|--|--⌫----|
Etpourpaou r de luimenée	-|---|----⌫|-|--|-----|
En autrelieuquelà	-|----|---|--|--|
Ou encha st el	-|-|---⌫--⌫-|
ouenm anoir.	-|-|-⌫-----|
Ainsi souzl arbrealoitpensant	----|---||----|----|------|
Cléomad èsetsouspira nt	--------⌫--|-|--------⌫-|
Tantque liioursfutouspassez.	---|--|-|----|-|---|------|
Lorssestde làen d roitleuez	---||--|-|--|--⌫-⌫---|----|
cheualet r emonta	-------|-⌫-----|
Car poinsenfuc eli	--|----|-|-|-⌫|-|
Mo u lttrèsdouztans	--⌫-⌫-|----|---|---|
etbelfaisoit	-|--|------|
Etl alu ne cla ireluisoi t.	-|-⌫|--⌫-|---⌫--|------⌫-|
Qua nt soncheualot apointié	---⌫-|--|-----|-|--------|
u erslechastel laadrecié.	-⌫--|-|------|||--------|
Sitost iuin t commelu i	-|---||---⌫|----|--⌫|
coiementqueil pot.	-------|--|-|---|
Encosté la grant tour passa	-|-----|-|----|---|----|
Droitenzoupraëls en ala	----|--|-|-----||-|--|
Oùtr ouu ez	--|--⌫---⌫-|
fudou r oi	-|--|-⌫-|
Auoecles pucelesséa nt	----|--|------|----⌫-|
DelezClarmon dine la	----|-------⌫---|-|
Quin e seroitmiedole nte	--|-⌫|-----|--|----⌫--|
Selesa uoitsi prèsde l i.	-|-|--⌫---|-|----|-|-⌫-|
Pageu01P143	----------|
Clé omadèsl orsdescendi	----⌫------|-⌫--|-------|
