mesireno blelilion s	-|---|--⌫--|-|----⌫|
detibertetde la	-|-----|-|-|-|
mesconduibien conmentquilprenge	|-------|---|--------|-|-----|
d ucorbel etde	-⌫|-----|-|-|
moynefue scroupee	--|-|-|-⌫-------|
neatib ertne	-||---⌫--|-|
fisoutrage	--|------|
ne au corbe lde	-|-|-----⌫|-|
sonf romage	--|-⌫-----|
brunlioursqui ce	---|-|---|--|-|
restclamez	---|-----|
certesatortens uiblamez	-----||---|-|-⌫-|-----|
oncneperdiparmoi sapel	--|-|----|--|--|-|--|
ne nefis m alaroounel	-|-|--|-⌫-||------|
na mo n compereyseng rin	||--⌫|------|-----⌫--|
ator t m a coillentm i uoisin	|---⌫||-⌫-------|-⌫|-----|
l asmalseruiseaitori o rzfa it	-⌫-|--|------|-|----⌫-⌫-|--⌫-|
pourbie n fairealenlecolfrait	---|---⌫|----||--|-|--|----|
chasc unl efait ni	-----⌫-|-⌫|---|||
a s i cort	|-⌫|---|
nep eiche quiencort	-|-⌫----|--|-----|
male g racem a donnee	---|-⌫---|||-----|
estmadestinee	--|-|-------|
qu eiacebienne sauroiefa ire	--⌫|-|-|---|-|------|--⌫--|
metieig ne a co ntrair e	-|-----⌫-||--⌫------⌫|
cert esmontaia	----⌫-|---|-||
ceulzbien fait	----|---|---|
quiormont porc haci é c eplait	--|-||--|----⌫----⌫-|-⌫|----|
u ousme nauez huifait semondre	-⌫--||-⌫|---|--|---|-------|
tot prestderespondre	--|----|-|--------|
aui ugementde	-|-⌫------|-|
uostre cort	-----|---|
acemotysengri nacort	|-|--|-------⌫|----|
deuantleroy entrelezaut res	-----|-|--|----|--|---⌫--|
etroounellifel liueautr e s	-|------|-|--|-|------⌫-⌫|
lamesenge t ibertlich a z	-|------|-⌫----|-|--⌫-⌫|
etbrunquiestde grant porc ha z	-|---|--|--|-|----|----⌫--⌫|
damero sei telageli ne	---|--⌫---⌫-|-|----⌫-|
tuitfontleroy	---|---|-|--|
d eu antleur pl a inte	-⌫--⌫--|---|--⌫-⌫---|
nia mestie r	|||------⌫|
parolefa in te	-----|--⌫--⌫-|
ren ar tseseigneamain esc lenche	---⌫--⌫|-|-----||---|---⌫-----|
bien u oitquen	---|-⌫--|--||
ia mest ier pl en che	||----⌫--|--⌫--⌫--|
orlicouuientgr a ntraisonrend re	-|-|-------|--⌫-⌫-|-----|----⌫-|
sia poorque nnele pende	-||---|-|-⌫|-|-|----|
sornestrenart e nmaus	|-||--|-----|-⌫|---|
montis era	---||-⌫--|
bons retor iiens	---|-----⌫----|
sanzpertes en	---|----||-|
sanz chaperon sanz taillierchape	---|-------|---|-------|----|
detantes parss	-|-----|---||
q uap ain e se	-⌫||-⌫---⌫|-|
puet escus er	---|-----⌫-|
nobles qu euousest uis	-----|--⌫|---|--|--|
renartrespontieu ous pleuis	-----|------|-|-⌫--|-----|
quaumesfetneme	-|-|-----|-|-|
que en uerseulzeusse tort	--|--⌫---|---|----|---|
ildirontce quiuoudront	-|-----|-|-||-------|
riennemetodront	---|-|-|------|
siu ousples tqui mes siresestes	-|-⌫--|----⌫|--|--|----|----|
sordiz depl usoursbe ste s	-----|-|--⌫-----|--⌫---⌫|
a telaip ortég rant hono r	|--|-|-⌫----|-⌫---|----⌫|
q ui puizm af aitgrant d esennor	-⌫-|---|||-⌫--|----|-⌫------|
iesaiqueli torsn	-|--|--|-|---||
es t pasmiens	--⌫|--|----|
tou teuoies uient par lui	---⌫------|----|--|--|
onquesderienznementre mis	-----|-|----|-||-----⌫--|
porce deus se estreanemis	--|-|----⌫-|----|-----|
danz ysengrin mon chier	---|-------|--|----|
com p erre	---⌫-⌫---|
neo nqu es par l amemon pere	-|-⌫---⌫-|--||--|--|---|
asaf amenequis folie	|-|-⌫--|-|---|----|
sil amontpor	-|||---|--|
moyassallie	--|-------|
prestdedesfendre	----|-|--------|
seuo usmeuo leze ntrepren d re	-|--⌫-|-|--⌫--|-⌫--------⌫-⌫-|
ieuousdi biensanzautre faille	-|---|-|---|---|----|-----|
ouparioise	-|--|----|
ouparb a taille	-|--|-⌫-⌫-----|
ysengrinestsai lliz enpla ce	-------|--|---⌫---|-|---⌫-|
priele royquilne	---|-|--|-|-|-|
sesadroitureueutproue r	-|-|-------|---|-----⌫|
totsanz co ntrouuer	--|---|--⌫-------|
n o bles conmandequ e	-⌫-⌫---|-------|--⌫|
ni a celu i qui	|||----⌫|--|
co ntredie	--⌫------|
re nartdistysengrinent ent	--⌫---|---|-------|---⌫--|
iesuicilqui so n	-|--|--|--|--⌫|
droit a tent	----|-⌫---|
desgra nzanui zque tum	--|---⌫-|----⌫|--|-||
que nous a uo ns	--|---|-⌫--⌫-|
ceen s retraiz	----⌫|------|
nem esontencoreamendé	-|-⌫|---|-----|------|
silauoi tliroysconmand é	-||----⌫|-|---|-------⌫-|
montas ainz	---|-|---|
quacortt e	-||---|-⌫|
p oist amene r	-⌫---|-----⌫|
e tdes ieune setdeschanus	-⌫|--|-----⌫|-|--|-----|
en asassezporfoustenus	-|-|----|--|---|----|
p oreulzqu i	-⌫-|---|--⌫|
detoyclamorfont	-|--|-----|---|
etq uiciemprestoy sont	-|-⌫-|-|-----|--|---|
por moyquetu	--|--|--|-|
a s sih onniz	-⌫|-|-⌫----|
ueil l queciplezsoi t	----⌫|--|-|---|---⌫|
hu i feniz	--⌫|----|
p arlauerite me n	-⌫-|-|-----||-⌫|
iasedeus pletnementirai	-|-|---|---|-|-------|
e ndiet o t leuoir	-⌫|--|-⌫-⌫|-|---|
enpuizaperceuoir	-|---|---------|
ienemestierde	-|||------|-|
trairealonge	-----|-----|
necontrouueri cimen conge	-|---------|-⌫-|---⌫----|
siquegarantnen trouuer ons	----|-----||-|-------⌫--|
detraison teprouuer ons	-|------|-|-------⌫--|
etmousterraitotparrai son	-|---------|--|--|---⌫--|
tafe lonniee t	-|--⌫-----|-⌫|
bienenuoudrail	---|-|------||
achoison dire	-------|---|
setenuo loies esconduire	-||-|--⌫----|---------|
ren artrespon t bienditauez	---⌫--|------⌫|---|--|---|
or ditesconmantl esauez	-|----|------|-⌫|----|
di tysengrin iel	--⌫|-------|-||
uou sdirai	---⌫|----|
queiademo tn enment irai	--|-|-|--⌫||-|----⌫---|
mo nco mpere estesenla l o i	--⌫|--⌫----|----|-|-|-⌫-⌫|
simauez menéa bellai	-||---|----||-----|
plusde yy foizqueie	---|-|-|---|--|-|
maintebesteauezf aitdolente	-----|----|---|-⌫--|------|
bien lon tplusou raperceu	---||--⌫|------⌫|------|
quemain tes foiz m	--|----⌫--|---||
de uo irse	-|--⌫-|-|
coursne faut	----|-|---|
quetu e n esuenuzausaut	--|-|-⌫|-|----|-|---|
mont aipa rt oi	---|-|--⌫|-⌫-|
mausendurez	---|------|
maintesfoizt	------|---||
en es pariurez	-|-|-------|
famemas malballl i	---||-|--------⌫|
c editrenart tuasfai lli	-⌫|--|-----|-|-|---⌫--|
onquesatafamenefiz	-----||-|---|-|--|
ne atoinaiie rie nz	-||--||-|-|---⌫-|
dit ysen grin c ertes	--|----⌫---|-⌫----|
iemousterraidemo iep art	-|---------|-|--⌫-|-⌫--|
que uo us parforcelasall ites	--|--⌫-|--|----||-----⌫---|
au c rottrouer pa snefail lites	-|-⌫--|-----|--⌫|-|----⌫----|
uoiantmo you	-----|--⌫|-|
libatite s bie n soncrepon	-|------⌫|---⌫|--|-----|
m ontuousuibouteret	-⌫--|---|-|-----|-|
empa indre	----⌫----|
et durement l aq ueue estr aindr e	-|-------|-⌫|-⌫---|----⌫-----⌫|
il ec latenistesporsote	--⌫-|-|-------|--|---|
ne semblo it pasgeu de pelote	-|------⌫-|--|--|-|-----|
ceneporri ezpas	-|-|-----⌫-|--|
de sfendre	--⌫------|
neu o usen ue issede sce ndre	-|-⌫-⌫-|-|--⌫---|--⌫---⌫---|
braies susenmont er	-----|--|------⌫-|
n emesthont e delraconter	-⌫||--|----⌫|--|-------|
mais se iece lerlepeusse	---|-|-|--⌫--|-|-----|
anullidir enelp eu s se	|----|---⌫|-||-⌫--⌫-⌫-|
ceditre nartiadie us ne	-|--|--⌫---|-|---⌫-|-|
letraitorq ue	-|------|-⌫-|
tantm exxx	---|-⌫|--|
qu elac hosesoit	--⌫|-|-⌫---|---|
si t ornee	-|-⌫----|
aiemaconmere	--|-|------|
plusbasquenl	---|--|-|-||
ueillsicomuou s dite z	----|-|--|---⌫|----⌫|
donc se roieieplus que heritez	---|--⌫---|-|---|--|------|
orpui sbiende f isauoir	-|---⌫|---|-|-⌫|-----|
qu e uousne sa uezh on teauoir	--⌫|---|-|--⌫--|-⌫--⌫-|----|
quice a u ezamenteu	--|-|-⌫-⌫-|------|
dontl iautre cesont teu	---|-⌫|----|-|---|--|
mai siane n	---⌫|-||-⌫|
deussi eztenirconte	------⌫-|----|----|
quialitornast ahonte	--||-|------||----|
mais b i e n auez telc hoseapris e	---|-⌫-⌫-⌫|---|--|-⌫---|-----⌫|
bie n auezhont earrieremise	---⌫|---|----⌫|------|---|
bien a uezuergongne	---|-⌫--|--------|
q uiho nni sse z uostreespose e	-⌫-|--⌫---⌫---⌫|-----|------⌫|
l emonteretles uf f auc hi er	-⌫|-----|-|-|-⌫--⌫-⌫---⌫--⌫-|
fiz ietotp or li	--|-|--|-⌫-|-|
horssachier	---|------|
empaindreet trairemeueistes	--------|-|-----|-|------|
que mal yenten diste s	--|--||-----⌫-----⌫|
maisiene l fiss epor	---|-|-||--|-⌫|--|
rendezma l guerredon	-----|--⌫|--------|
ielfis po r bienetpor	-||--|--⌫|---|-|--|
franc hise	-----⌫---|
maisoraiperdumonseruis e	---|-|-|----|--|------⌫|
quefousfis quantm enentremi s	--|---|--|----||-|-------⌫|
oren estes mesanemis	-|-|----|--|-----|
r enartde ta ntte	-⌫----|-|--⌫-|-|
puez uenter	---|-----|
bienses aufolmessechanter	---|--|-|--|----|------|
cestbi ench ose cou uenue	|--|--⌫-|--⌫--|---⌫----|
maintehontea s aperceue	-----|----|-⌫|-------|
tuesdetelautorit e	-|-|-|--|-------⌫|
qu entoinapoint	-|-|--|||----|
tant meco nseillase nlor eill e	---|-|--⌫-------|-⌫||--⌫----⌫|
me feize n	-|---|-⌫|
etaualeroupu iz dedens	-|-----|-|--⌫-|-----|
lamalego uteaiezes dens	-|---|--⌫--|---|-|---|
ata ntderiena stufait	|--⌫-|-|---|-⌫|-|---|
n est nulzquie n	|--|---|--|-⌫|
sacheleconte	----|-|----|
tu d e is queroi porroieestre	-|-⌫-⌫-|--|--|------|----|
paradix terrestr e	------|--------⌫|
ouilauoitgangneries	-|-|----|---------|
etplain s e t bois e tpr ae ries	-|-----⌫|-⌫|---|-⌫|--⌫--⌫---|
n e st ouuoit	|-⌫--⌫-----|
cell erienzro uuer	----⌫|----|--⌫---|
nepoistile ctrouue r	-|----|---⌫|------⌫|
iecuidaiq ue deiss ezu o ir	-|-----|-⌫-|-----⌫-|-⌫-⌫-|
tu mengign as	-||------⌫-|
enicelleheure	-|-----|----|
elseel entraisanzdemeure	-|---|-----|---|------|
et lacordese des torteille	-|-|----|-|---⌫--------|
ettueres enlaut re seille	-|-|---|-||---⌫-|-----|
t raistreseset	-⌫-------|-|-|
l osengiers	-⌫--------|
ie sui p esanz ettu legiers	-|--|-⌫----|-|-|------|
q uantenmilepuiz me ncontras	-⌫---|---|-|---||-⌫-------|
ieauale et tu monta s	-|----|-|-|-----⌫|
doncfu mes cu ersirez et tains	---|-|--|--⌫--|---|-|----|
defel onniep lain s	-|---⌫----|-⌫----⌫|
iedemandai ou tu	-|-------|-|-|
tumedis quetute niroi es	-|-|--|--|-||-⌫|----⌫-|
cest coustume	|--|-------|
quechascuns ti ent	--|-------|--⌫--|
qu antl iunua	--⌫--|-⌫|-|-|
lautre uient	|----|----|
denferestoiezeschapez	|----|------|-------|
or re serez	-|--⌫----|
iaa trapez	-|-⌫-----|
ilec remes tuten issis	---|----|-||-|----|
tel traison	--|------|
demoi feis	-|--|---|
enleue souf fri gr antmo les te	-||--|----⌫--|--⌫--|--⌫---⌫-|
reclo stse u r lateste	-----⌫-|--⌫-⌫|-|----|
monty e nduraigrant meseise	---||-⌫-----|----|------|
deb oiu re estoiea uqu es a	-|-⌫---⌫-|-----|-⌫---⌫-||
liblancmoinemetreire nt fors	-|----|----|-|------⌫-|---|
maistant me	---|---|-|
b atirentle co rs	-⌫------|-|--⌫-|
apoten ces	|-----⌫--|
quilme mistr ent auentri ll ons	-|-|-|-----⌫--||------⌫--⌫--|
depieus mefirenttelaport	-|----|-|-----|--|----|
quil ec melessierentpor mort	-|--⌫-|-|---------|--|---|
enzzfoss equi fupulan z	-|-|----⌫|--|-|-----⌫|
par l a que uemem is tren t enz	--|-⌫|---⌫-|-|-⌫--⌫----⌫|--|
apres senfurentretorne ́	----||-|-----|-------⌫|
e nlieumorentoste l é	-⌫|---||----|----⌫-⌫-|
de pu ord uie stre creuez	-|--⌫-|-⌫-|-⌫---|-----|
montaiestépar toi	---|-|----|--|--|
dilec me m parti	|---||-⌫|----|
agrantpaine	|----|----|
po a iau oir m	--⌫-⌫|--⌫--||
encormedeulen t	----|-|------⌫|
tuit li me mbre	---|-|--⌫---|
montsuidol enz	---|--|---⌫--|
quantmenremembre	----||-|-------|
tume fei za ler pescher	-|-|---⌫|-⌫--|------|
e t en leuetantacrocher	-⌫|-||--|---|-------|
toutelaqueueoiengelee	----|-|----|-|------|
etal a glaceenseelee	-||-⌫|----|-------|
sanzlaque ueperdre a upartir	---|-|---⌫-|-----|-⌫|-----|
nemen poai	-||-|---|
nedepartir	-|-------|
yseng rind is	-----⌫--|-⌫-|
letu acertes	-|-||-----|
que tue us parmoicespe rtes	--|-|-⌫-|--|--|--|--⌫---|
par foituparolesa force	--|--|-|------||----|
taleche riete fist fo rce	-|-----⌫--|-|---|--⌫--|
outrem esure fu	----|-⌫----|-|
etdepoissons	-|-|-------|
tropcouuoiteus	---|---------|
i a nencuid oi espreuauoir	-⌫||-|----⌫--⌫-|---|----|
uoirsdistliu ilainsetsauoir	----|---|-|-⌫-----|-|-----|
quitotcouuoi te t retoutpert	--|--|------⌫-|-⌫-----|---|
te lcuidetota uo ira sapa rt	--⌫|----|--|-⌫--⌫-||-|--⌫-|
qui detotsedeseuretotpert	--|-|--|-|------|--|---|
cet osiebie ndireatap ert	-||-|-|---⌫|---||-|-⌫--|
mont esthonnizqui tant couuoite	---|--|-----|--|---|-------|
qu isongaaigpertetaoite	-||--|----|---|-|----|
d esque tules	-⌫----|-|--|
poisso nssent i s	------⌫-|----⌫-⌫|
t ut alentis	-⌫||------|
o yyouyy t	|-|-|-||
enreuenisses	-|---------|
mais porescharnit e tenisses	---|--|-------|-⌫|-------|
q u etu ne fusses totchargiez	-⌫-⌫|-|-|-----|--|-------|
fustant atargiez	--|---|-------|
quantdeuenir tale	----|-|----||--|
lor sconmen cas zzagrond re	---⌫|------⌫--|-||-----⌫-|
quantie fui	----|-|--|
ennuiezdatendre	------||------|
sitelessai	-|-|-----|
au pois sonprendre	-|----⌫--|------|
teu intporcoim enbl ame s	-|-⌫--|--|--||-|--⌫---⌫|
onquesde spoi ss ons ne meniames	-----|--⌫|---⌫--⌫--|-|-------|
r enar t bientesez escuser	-⌫----⌫|---|-|--|------|
etgentparparoleacuse r	-|---|--|-----|-----⌫|
n eporr oie hui	-⌫|----⌫--|--|
auoirr et rez	----|-⌫--⌫--|
lez maus quetumasdis et	--|---|--|-||-|--|-|
toz temp smaten upor	--|----⌫|||---⌫|--|
zzior que mangai	-|--|--|-----|
gr anttal entauoiedeboi ure	--⌫--|---⌫--|----|-|---⌫--|
lorsmeseustubien deco iure	---|-|---|-|---|----⌫---|
tumedei zque	-|-|---⌫|--|
t enauoit enfaitcele rier	|-|----|-|---|----⌫---|
enta garceest oientli	-|-|----|---⌫----|-|
tottempsausoi r	--|----|-|---⌫|
etaum atin	-|-|-⌫---|
l ame menasda ntsersc uuer s	-⌫|-|----|--⌫-|---|-⌫----⌫|
a s chantéde	-⌫|------|-|
mainsfau su ers	----|---⌫|-⌫--|
ce ditrenartoras	-|--|-----|-|-|
decesaibien	-|-|--|---|
enmonrec or t	-|--|---⌫--⌫|
queta ntbeus	--|--⌫-|---|
que tozf usyures	--|--|-⌫-|----|
siteuent asquet otsanz	-|-|----⌫-|--|-⌫-|---|
chant eroiesbien	-----⌫-----|---|
zz c ondu i t	-|-⌫----⌫-⌫|
puisconmensasasigrantb ruit	---|--------||-|----|-⌫---|
quitui tcil d ela	--|---⌫|--|-⌫|-|
uileuindrent	---|-------|
quag rantmerueille	-||-⌫---|--------|
le tind rent	-|----⌫---|
oi lan ois euenir	-|-|-⌫---⌫|----|
nulzn elmedo itama l	---|-⌫||-|--⌫-||--⌫|
semem isa l xxx	-|-|-⌫-|||--|
q uedemorir o i grantpeor	-⌫-|-|----|-⌫|----|---|
retenuz i fui pa rzzxxx	------||--|--⌫|-|--|
maisie men	---|-||-|
ui ngaumieus	--⌫-|-|----|
auoi rn ousdure nte ntrep r is	----⌫|-⌫--|----⌫-|-⌫-----⌫-⌫-|
que mont nous	--|---|---|
auoientseurpris	------|-------|
s efus bat us a m o i quet ie n t	-⌫|--|---⌫-||-⌫-⌫|--|-⌫--⌫-⌫|
quima l c hace m alli auient	--|--⌫|-⌫---|-⌫-|-|-----|
renart fet	-----|--|
ilmontsezdeboule	-|---|--|-|----|
tute ge tésdemai ntefou le	-|||--⌫---|-|---⌫--|---⌫-|
renart f etildeputepart	-----|-⌫-|-|-|---|---|
la metenistu por	-|-|----|-|--|
d eue chaudecoma	|--|-----|--||
o u tume feiz	-⌫|-|-|---|
lacou ronn e	-|---⌫----⌫|
siampleetsi	-|----|-|-|
eno itotepelee	-|-⌫|---|----|
nemeremest poil seur les	-|-|-----|---|---|--|
tu tenal as fesa n ttes	-||-|--⌫-|----⌫-⌫|--|
demoideuoi e zmoine	-|--|-----⌫-⌫|----|
certes monte sde	-----|---|-⌫|-|
m a lafaire	-⌫-⌫|-----|
partoiestmachar	--|--|--|-|---|
aillorstecrui sifisf o li e	------|-|---|-|--|-⌫-⌫--⌫|
zztroncon medona s	-|------|-|----⌫|
d an guile	|--⌫----|
qu eusconquis	-|--|------|
p ar tagrantguile	-⌫-|-|----|----|
por moiesprandreetalechie r	--|--|--------|-|-------⌫|
enm aint lieuma s fai t trebuc hi e r	-|-⌫---|---||-⌫|---⌫|------⌫--⌫-⌫|
iedemanda ioule	-|-------⌫|-|-|
pormoidecoiurecontrouas	--|--|-------|--------|
que charretierslez aportoient	--|----------|--|---------|
a bienpet itquenes	|---|---⌫-|--||-|
p or f olau oietant cer chié	-⌫-|-⌫-|--⌫--|---|---⌫----|
quau trementf ur ent	-|--⌫------|-⌫--⌫--|
encherc h ié	-------⌫-⌫--|
souuent s alo ien tarrestant	------||---⌫---⌫|--------|
desanguiles auoi e ntt ant	--|-------|----⌫-⌫-|-⌫--|
iedemandai parq uelsemblance	-|-------|--|-⌫--|--------|
i ep oisse emplir ma pance	-⌫|-⌫----|-----|-|----|
e lcharret illquant te t rouueren t	-⌫|-------⌫--|----|-|-⌫--------⌫|
amonestant	---------|
queie menalaiau deuan t	--|-||-|---|-|-----⌫|
s irefissemblantdes tremo rt	-⌫|----|-------||--⌫--|--⌫-|
etd el euie rset debastons	-|-⌫|-⌫----⌫-|-|-|------|
quencorem endeut	-|-----||-|---|
merueille seiaie ennui	--------|-||--|----|
qu antde toiuen giéne	--⌫--|-|--|---⌫---|-|
azzdespl us	|-|--|--⌫-|
lonsior s d es te	---|---⌫||--⌫-|
nauro ieiepas totconté	|----⌫-|-|--|--|-----|
le zmaus lezannuiz quil	--⌫|---|--|-----|-|-|
maisorees tta ntme ulipl ez	---|--|--⌫|--⌫-|--⌫|-|--⌫-|
cortensonmesuenu	---|-|-----|---|
seadroitensonmestenu	-||----|-|-----|---|
de toiauroi encoreuen iance	-|--|----|-----|---⌫----|
bienenai endieu	---|-|-|-|---|
ie te me n ee loiaute	-|||--⌫-⌫-|------|
et tu moi grantdesloiau te	-|-|--|----|--------⌫-|
e stordrasqueque nulzd i e	-⌫-------|-----|---|-⌫-⌫|
pe tit saras der enardie	--⌫--|----|-|-⌫------|
renartrespo n t par	-----|-----⌫-⌫|--|
grantconfort	----|------|
sireysengrinuousaueztort	---|-------|---|---|---|
uousmeblas mez ne saidequoi	---|-|----⌫--|-|--|-|---|
c ilautre barons on ttuit	-⌫-|----|----|-⌫--⌫|---|
qui uou soientne dientmot	--|---⌫|----|-|----|--|
tieusy auo us ti en nent pors ot	----|||--⌫-|--⌫--⌫---|--|-⌫-|
uo st re raison	--⌫--⌫-|-----|
est de s c ouuerte	--|--⌫-⌫-⌫------|
qu auezdite menso nge aperte	-|---|---|-----⌫--|-----|
carqui trop	--|--|---|
mentsame pert	---||--|---|
ha irenart	--⌫|-----|
tr op e st a tart	--⌫-|-⌫-||---|
tongrantann u ietton de sroi	--|----|---⌫-⌫|-|--|--⌫---|
maisse i e n aicongi e	---|-||-⌫|-|-----⌫|
ia aras labatailleal	-|---|-|-------|||
renartrespontrienz tantn e uo eil l	-----|------|----|---|-⌫|--⌫---⌫|
deb atai lle son	-|-⌫----⌫--|--|
ga ge t e nt	--⌫-|-⌫-⌫-|
ysengrine tliroyslepr ent	-------|-⌫|-|---|-|--⌫--|
r enarlele	-⌫---|-|-|
siqueliroysbienle nten di	----|-|---|---||-⌫----⌫-|
bi ensetliroyssanznu lledoute	--⌫-|--|-|---|---|--⌫--|----|
que labatail ley	--|-|------⌫-||
afier ttote	-----⌫|---|
sorne setrenartescrem ir	|-|-|--|-----|------⌫-|
ma ruit l abataille	--⌫|--|-⌫|-------|
l iro ysdemendesesostages	-⌫|--⌫-|------|--|------|
qu imo nt e s toit co rto isetsages	--⌫|--⌫-|-⌫-⌫---|--⌫---⌫-|-|----|
anu lzdeusnel a	|--⌫-||--|-|||
pardonn e z	-------⌫-⌫|
y sengrinalez	-⌫------||--|
siensliurez	----|-----|
porli a fai t	--|-||---⌫|
brun lor sester	---||--⌫|----|
tibert l echat etc hant ec le r	-----|-⌫|---|-|-⌫----⌫--⌫--⌫|
coa rtle lie ureet	---⌫-|-|---⌫--|-|
ceulz ysengrindeseue pa rt	----|-------|-|---|--⌫-|
renartenotdes mieu suennez	-----|-|-|--|----⌫|-----|
quiasa par t furentto rnez	--||-|---⌫|-----|--⌫---|
grimbertet ba ucentl esengler	-------|-|--⌫----|-⌫|------|
qui lotf ait	-|-⌫|-|-⌫--|
os oia ssemble r	|-⌫-|-⌫-------⌫|
etesp inartlehericon	-|---⌫----|-|------|
etmonseignor belinlemouton	-|--|------|----|-|-----|
ci l firent arenart secors	--⌫|-----||-----|-----|
pesadant brunliors	---|---|---|-|--|
laba tailleont	-|--⌫-----|--|
at e rmi nee	--⌫-⌫---⌫--|
aysengrin sanz demor ee	|-------|---|-----⌫-|
gr imbertli ac reant abien	--⌫-----|-|--⌫-----⌫|---|
nelifaudr a po rnullerien	-|-|-----⌫|--⌫|----|---|
que rena rtnef ace combat re	--|----⌫-|-|-⌫--|------⌫-|
p orl o rgueilldeys engrin	-⌫-||-⌫------|-|--⌫-----|
liroysa ditestezem	-|---||--|----|-|
a uos h ostieu salezhuimes	|--|-⌫------⌫|---|-----|
libaronsesont departi	-|----|-|---|------|
male m antontl echamppar t i	----⌫-⌫--|--|-⌫|----|---⌫-⌫|
dentrerenar tetysengrin	|----|-----⌫|-|-------|
qui m ont estoientmal	--|-⌫--|-------|--|
renartnestp a sdetelpuiss ance	-----||--|-⌫-⌫|-|--|-----⌫---|
conmeyse ngrinm a is sa fia nc e	----|---⌫----|-⌫-⌫-|-|---⌫--⌫|
auoitrenartenescremie	----|-----|-|-------|
ontla batai llearramie	--|-|-----⌫--|------|
angingnerres estetcil est fors	-----------|--|-|--|--|---|
ualoitz zgrantconfors	-----|-⌫|----|------|
de lentr edeussesetcou urir	-||----⌫----|-|--|---⌫---|
et bie ntapir	-|---⌫|----|
por des c ou urir	--|---⌫-⌫--⌫---|
soncompaignonquan tilesteis e	--|---------|----⌫|-|--|---⌫|
c hos e quilipl eise	-⌫---⌫|--|-|--⌫---|
entremisdelaprendr e	-------|-||-------⌫|
quenulz ne	--|---|-|
lenpouroit	|-|------|
tan tfait renart	---⌫|---|-----|
dengis plusors	|----|------|
deluitede siambesdestors	-|----|--⌫|-----|--|---|
ainz que ysengrinb aillier	----⌫--|-------|-⌫------|
librisera oubrasou	-|------|-|---|-|
yse n g rinentent montael	---⌫-⌫-⌫--|-----|---||-|
en pessem eta	-|--|-|-⌫-||
son hos tel	--|---⌫--|
queldroitquilatant s e	-|-|----|-|-||---|-⌫|
et renar t enso n cuer	-|-----⌫|-|--⌫|---|
seil le puen t as p oinsb aillier	-|-|-|----⌫|-|-⌫---|-⌫------|
forme ntlecuidetr auaillier	-----⌫-|-|----|--⌫--------|
m ont desire queli iorsuieigne	-⌫--|-----|--|-|---|------|
que en sa batail l e	--|-|-|------⌫-⌫|
le ti eigne	-|--⌫----|
montli desp l etenson corage	---|-|----⌫-⌫-|-|--|-----|
quelabata illetantl itarg e	--|-|----⌫---|---|-⌫|----⌫|
cuid e maisuoirleure	----⌫|---|---||---|
quele soi ttrop	-|--|---⌫|---|
li demeure	-|------|
renartrefuenmont grantpo ine	-----|---|-|---|----|--⌫--|
dar mes conquerr ela semoine	|--⌫--|--------⌫|-|------|
ety sengrintote ns em ent	-|-⌫------|--|-⌫--⌫--⌫--|
reporch ac earmes bellem ent	-------⌫--⌫|----|------⌫--|
en grantporchazdu hater	-|----|------|-|----|
et enp oinedelapreter	-|-|-⌫---|-||------|
cot e a quise etenfeautru re	---⌫||----|-|---------⌫-|
e tsonescu et armeu re	-⌫|--|---|-|-----⌫-|
chauces i ambesa quis bien faites	------|-⌫----||---|---|-----|
quila entorcesiambes traites	-|-||----|--|-----|------|
s on es cuest uer m eustretoz	-⌫-|--⌫-|--|---⌫-⌫--|-----|
etlacoterougedesoz	-|-|---|----|----|
bastondeneff l iere tbien fait	-----|-|----⌫-⌫--|-⌫|---|---|
bienfu armezauior dep lai t	---|-|----|-|--|-|-⌫---⌫|
renartquimainta es charniz	-----|--|----||--⌫------|
nerestoit miepizguarniz	-|------|--|--|------|
assez auoitde bons amis	----|----|-|---|---|
quideluisesontentremis	--|-|--|-|---|-------|
escureon tasa maniere	---|----⌫||-|------|
etcon man de quelen	-|---⌫---⌫-|--|--|
liq ui ere	-|-⌫--⌫--|
une notquifutoziaunes	-|-⌫|-|--|-|--|-----|
ensacote n otpas	-|-|---||-|--|
mont fu bonn eeta isiee	---|-|----⌫|-|-⌫----|
iambo isie	-----⌫---|
zz b as tonotduneaube	-|-⌫--⌫--|-||--|---|
q ui montestoitbiausen ple uine	-⌫-|---|-----|----|-|---⌫---|
enlifumontbien	-|-|-|---|---|
decorgieesfubien	-|-------|-|---|
dechie fen autre quelf orfet	-|----⌫|-|----|-|-|-⌫----|
ainsicar meza lacor tuait	-----|--⌫--||-|---⌫|---|
yse ngrinseniertla	---⌫----||-|---|-|
estoitbien atornez	-----|---|------|
enlacort est uenuz	-|-|---|--|----|
et ysengrin de	-|-------|-|
la ut re part	|-⌫--⌫-|---|
etli baron furent	-|-|----|-----|
chascu nadit cequili	------⌫||--|-|--|-|
re nartnefupase sperduz	--⌫---|-|-|--|-⌫------|
hautf uroongniezet to nduz	---|-⌫|--------|-|--⌫---|
etcoletbarbece fist	-|--|-|----|-|---|
porledes pitdeson	--|-|---⌫--|-|--|
ysengrinlot engrant despit	-------||-|-|----|-----|
etsaforce prisoitpetit	-|-|----|------|----|
onc n idaigna	--|||-----|
osterche ueul	----|---⌫---|
iafuss en ensemble so nweil	-|----⌫-|-------|--⌫|---|
