pourlanoble ch eualerie	---|-|----|--⌫-------|
pourdiusignor	---|--|-----|
orm en tendés	-||--⌫------|
uosqu ialuip lai re	--|--⌫||--|-⌫---⌫-|
si uosdiraidoufelonroi	-|--|----|--|----|--|
qui paroutrageetpar desr oi	--|--|------|-|--|----⌫-|
templesalemon	-----|------|
mie c onques	--||-----|
feistitele	----|----|
carqu antanthiocussai sie	--|--⌫--|--------|---⌫--|
eutlachiteceluie xemple	--|-|----|----|-⌫-----|
fist mai ntenantqueelsaint temple	---|---⌫------|--|-|----|-----|
alaototesa maisnie	--||---|-|------|
pargrantorgueile tparenuie	--|----|------|-⌫|--|----|
quipristl auteldor et	--|----||----||-|-|
lesc o rones	--|-⌫-⌫----|
l aournem ent	|-------⌫--|
quien seltemplefurent mi s	--|--⌫|-|-----|-----|--⌫|
lesuaissiausd or d argentmassis	--|--------||-||-----|-----|
et tout letresor qu iliot	-|---|-|-----|-|-||-|
par tot laauoirp ot	--|--|-|----|-⌫-|
remistensiarrier	-----|---|-----|
engresse sanslu idetrier	-|-----|---|--⌫|------|
mais a uant s icomdist l	---|-⌫---|-⌫|--|---||
fist destruiretama int	---|--------|----⌫--|
maintprodo mesageetdiscre	----|-----⌫-|---|-|-----|
quialuin e rent	--||--||-⌫---|
porcou quemieusuorrentmorir	--|--|--|----|------|----|
quelaloidiuperdre et honir	--|-|--|--|-----|-|----|
mieu samerentmortreceuoir	----⌫|------|---|-------|
mius amerenttr esparsermort	---|------|--⌫-------|---|
quesansfinarecheuoir mort	--|---|--||--------|---|
miusamerentm o rttrespasser	---|------|-⌫-⌫-|---------|
q uen mortlan guir	-⌫|-|---|---⌫---|
s ans trepaser	-⌫--|-------|
ensi a uinte nceltermine	---|-⌫---|-⌫|--|------|
que lifild iu	--|-|--|-⌫-|
teldes epline	--|---⌫-----|
prisentparsif ai te ra ison	------|--|-|-⌫--⌫-|--⌫---|
ne fustc uers durs tantfu st	-|---|-⌫---|---|---|--⌫-|
quesilueis tc omgran tdolour	--||-|----⌫|-⌫-|----⌫|-----|
eut eniherusa lemle	--|-|-------⌫--|-|
sains peu les fustreubés	----|---⌫--|---|------|
que moutne ndeuist g ran s pites	--|---||-⌫|-----|-⌫---⌫|----|
auoi r coment se maintenoient	----⌫|-----|-|-----------|
ciluieil homesedebatoien t	--|----|---|-|---------⌫|
p armilor co rsparmilor pis	-⌫---|--|--⌫-|----|--|--|
liiouencielsefisent	-|--------|-|-----|
carle urch e uiausblond eset	--|--⌫-|--⌫-⌫----|-----⌫-|-|
esrachoie ntp argransflociaus	---------⌫-|-⌫-|----|-------|
lesuiel lesdamesse	--|----⌫--|----|-|
hu rteren t	--⌫------⌫|
etso r lorchies cendre	-|--⌫|--|----|-----|
l esbielesdamesde p ecierent	-⌫-|-----|----|--⌫-⌫-------|
lorbieles ro besetcunciie rent	--|-----|--⌫--|-|-------⌫---|
lespucieles	--|-------|
liione enfant	-|---|-----|
aloientlor	------|--|
uis depecant	--|-------|
crioientci c rioiient l a	-------|-|-⌫-------|-⌫|
iama isgrignorduel	----⌫-|------|---|
comfaisoient	--|--------|
cildisrael	--||-----|
halas co mepour ere uel	-|--|--⌫-|----⌫|--⌫--|
acifaisoient	|-|--------|
biausir e diusailnesun	---|---⌫|---||-|----|
peuledes ousl efirmament	----|---⌫--|-⌫|--------|
quion q uesio r tan tdetorment	--|--⌫-⌫--|--⌫|---⌫|-|------|
euistcomcis roi s nosafait	----|--|--|---⌫|--||---|
moutlonguem ent icestui f a it	---|-------⌫--|------|-⌫-⌫-|
menerenttantquens e n	-------|-----|--|-⌫|
raou rnerents i com destin	----⌫------|-⌫|--|-----|
lorauteldedens lesaint	--|----|-----|-|----|
metoient gr antentente	-------|--⌫--|------|
seloncouquecascunse stoit	----|--|--|------|-⌫----|
diulo erent et gr atioit	--|--⌫----|-|--⌫-----|
casc uns d eleur auersit e	----⌫--|-⌫|---|-------⌫|
isi longuementdemouré	--|---------|-------|
sont tantque uos diraiel conte	---|------|--|----|-|----|
l istoireler aco nte	|------|-|-⌫---⌫--|
quiretorneau	--|------|-|
ditdeuantdeld esroi	--|-----|--|-⌫----|
qu il eutfaitapiela	-|-|--|---|-----|
etlidistor	-|-|---|-|
queiaifaitenuer scele	--||-|---|-----⌫|---|
quendira stunebi e ln eg ent	-|-|----⌫|-|-|--⌫-⌫|-⌫|-⌫--|
faitcil qu ine lblanga derien	---|--|--⌫|-||-----|-|---|
en co rueilio uq ue	--⌫--⌫|---|--⌫|-⌫-|
saciésbi en	------|--⌫-|
q ueuosiestes sic ai o i	-⌫-|--|-----|-||-|-⌫|
delnature alalo y	--|-----|||---⌫|
une biestemeruellegran s	--|-----|-------|----⌫|
a maniereest	|------|--|
cunsel efa ns	|--|--⌫---⌫-|
ro id esansio inteque il ait	--⌫--⌫|---|--⌫---|--|-|--|
engam benuleensi	-|---⌫-|---|---|
qu equanti llicoui entdormir	--⌫|----|-⌫|-|----⌫--|-----|
re po ser ilne pue t	--⌫--⌫--|-|-|---⌫|
nel uimetrea terreanul fuer	-|-⌫-|----||----||--|---|
ancoiscuert	-----|----|
deluicontrester	-|--|---------|
parcuiilsepuistre poser	--|--|-|-|----|--⌫----|
en apo iant	-|---⌫---|
sa ns luicoc ier	--⌫-|--|---⌫--|
lasendort quanten amestier	-||-----|----|-||------|
dontuie nent cilqui	---|---⌫---|--|--|
gai tiélont	---⌫---||--|
si s oi ent l arbr eet	-|-⌫--⌫--||----⌫|-|
qu equant ilreuientautref ois	--⌫|----|-|------|----|-⌫--|
porl uireposer demanois	--|-⌫-|------|-------|
ils ecuideautrefois	-|-⌫|----|----|---|
p ourluireposeretdemetre	-⌫--|--|------|-|------|
maistostest l i	---|---|--|-⌫|
arbre sceus	-----⌫|---|
dont saille ntcil qu i l ont c hoisi	---|------⌫-|--|--⌫||--|-⌫----|
etlocient p ar ce l tourci	-||-----|-⌫-|--⌫|---|-|
tout aut res i bia u sire rois	---|---⌫---⌫|---⌫|---|---|
qui siestespoissa ns et rois	--|-|----|------⌫-|-|---|
auésiointene	----|-----|-|
dont uosaiiésn uleme sure	---|--|-----|-⌫--|--⌫---|
parco iuos p uissiésreposer	--|--⌫|--|-⌫-------|------|
peuleen si	----|--⌫-|
biensaciésque cilarbrisiaus	---|------|--|--|---------|
qui siestuers	--|-|--|---|
ouuostant auésdefiance	-|--|---|----|-|-----|
q ui ln ia	-⌫|-⌫||||
fruitfueillen ebrance	----|------|-⌫|-----|
quetoutne doiu edese chier	--|---|-|----⌫|----⌫----|
pourco i iouuosuorroi proi i er	---|--⌫|--|--|-----|----⌫-⌫-|
queuou s plusnia seurés	--|---⌫|---|||-⌫------|
nonautesserés	--|----|-----|
com ei aiditdelaloy	---⌫||-|--|-||---|
qui sifais est c a ués	--|-|---|--||-⌫---|
hadi usdistdont anthi ocus	-|--⌫-|---|---|-----⌫---|
c omseroieoredeceus	-⌫-|-----|--|-----|
se cestoit	-||-----|
uoirs quetu medis	----|--|-|-|--|
moutpoipr i seoresi	---|--|--⌫-⌫-|--|-|
fors tantqueuo l e ntiersente n t	---|------|--⌫-⌫-⌫-----|----⌫-⌫|
lanatur edetelegent	-|-----⌫|-|---|---|
comtumeuasci	--|-|-|--|-|
carnel lair oieporautrui	--|-||----⌫--|--|-----|
lorfera i autr e	--|----⌫|----⌫|
apres cou ne	----|--|-|
t argad eusan s	-⌫---|-⌫--|--⌫|
c anthiocu s	|--------⌫|
enuoia pa rtouteiud ee	-----|--⌫|----|---⌫-|
enses chitespa rla c ontree	--|-|-----|--⌫|-|-⌫-----|
quetreu li rendi ss enttuit	--|---|-|-----⌫--⌫--|---|
etil nimi sentainc	-|-|||--⌫---|---|
forstantqu e nlasainte	---|-----|-⌫|-|-----|
auoitsig rant peu pleasam b lé	----|-|-⌫---|---⌫--|----⌫-⌫--|
disraelqu eli	|-----|--⌫|-|
nosadirelemal	|--|---|-|--|
ancois l es	-----|-⌫-|
amout deceus	|---|-----|
seuo loitaiaus	-|--⌫---||---|
quantilensil	----|-|---||
oentparler	---|-----|
sicuidierent qu il dei st	-|---------|-|-|---⌫-|
ioieorentgran tsac i é s p ouru oir	---|----|----⌫|---⌫-⌫--⌫|-⌫--|-⌫--|
delorgrandedesco uenue	-|--|-----|-----⌫----|
carildecou sideceue	--|-|-|--|-|-----|
furentcomuos sarai	-----|--|--|----|
n e de moura miegran ttire	-⌫|--⌫----|--|----⌫|---|
quan tilienuoiatel gent	----⌫|-||-----|--|---|
pa rtr aisonsoudainement	--⌫|--⌫----|-----------|
pa rco iilfure nttotdestruit	--⌫|--⌫|-|----⌫-|--|-------|
ochiset mo rt	----|-|--⌫-|
sansn ul condu it	---|-⌫-|-----⌫-|
euiss ent den ulepart	-----⌫--|-|-⌫--|---|
l esainttempleontmisa escart	-⌫|----|-----|--|--||-----|
abatu et toutdepecié	----|-|---|-------|
fors latubequil ontlaissié	---|-|---|-|-|--|-------|
oul iauteus auoitesté	-|-⌫|-----|----|----|
maisceluiontil	---|----|--|-|
de l or ydolesmetr e	-|-⌫-|-----|----⌫|
pu is l e fremer entsi	--⌫-|-⌫|------⌫--|-|
nipeuist aler neuenir	||-----|---|-|----|
o ntfaitebruir	-⌫-|----|----|
afuardantetmis ee n cendre	|-|-----|-|---⌫|-⌫|-----|
conquesnushomn e l	|-----|--|--|-⌫||
p ot defendre	-⌫-|-------|
nefust mis ado l our	-|---|--||--⌫-⌫--|
se counefula	-|--|-|-|-|
g randetour	-⌫----|---|
dauid leroi celui laissie rent	----|-|--|----|-------⌫---|
acouquilmou t	|--|-|-|---⌫|
lesforciere nt	|----------⌫-|
de f ortes tourset de bretesces	-|-⌫----|----|-|-|--------|
de fo rs murshausbate llereres	-|--⌫-|---|---|----⌫-------|
quen us nipeuist habiter	--|-⌫-|||-----|------|
ne enlauil e couers er	-|-|-|---⌫|------⌫-|
pour edefiier ne reme tre	---|-------|-|----⌫--|
laloidiuquil uorrent demetre	-|--|--|-|-|------|------|
limauuais traitor	-|------|------|
garnirentle to renu i r on	--------|-|--⌫|---⌫-⌫-⌫-|
defortesgensetdeuia ndes	-|-----|---|-|-|---⌫---|
toutalalies cande s	---|--|-|--⌫-----⌫|
delpeu plediu	--|---⌫--|--|
qui estruis	--|------|
nefu st adont s i l ifaisoit	-|--⌫-|----||-⌫||------|
chose nul ene demouroit	----|---⌫|-|--------|
quemaintenantnefustochis	--|---------|-|---|----|
deco u p ouoit iestretousf is	-|--⌫|-⌫----|-----|---|-⌫-|
ensifu lach it e sgastee	---|-|-|--⌫--⌫-⌫|-----|
halascom pouredestin ee	-|--|--|----|------⌫-|
et que dius	-|--|---|
quantilso ufri queteus	----|-|--⌫---|--|---|
sigr iefto rmentt elehascie	-|--⌫--|--⌫----|-⌫--|-----|
orent lasiue com paignie	----|-|---|---⌫------|
telemesaise te le	---|------|--⌫-|
teluilteetsigrantto rmen t	--|----|-|-|----|--⌫----⌫|
o rentporluidecelege nt	-⌫---|--|--|-|---|--⌫-|
qui eni ausochireetdest ruire	--|-|-⌫--|-----|-|----⌫----|
sal oient debatre etde duire	|--⌫----|------|-|--⌫----|
eniaus ochi re etdetrenchi er	-|---|----⌫-|-|---------⌫-|
saloientrireetsolachie r	|------|---|-|--------⌫|
eniaushu er et escharnir	-|---|--⌫-|-|--------|
sacomplisoien tlordesir	|------------⌫|--|----|
dolantliunetlie tliautre	-----|-|-|-|---⌫|-|----|
d uelmetresorlautre	-⌫--|----|--||----|
puetonauo ir	---|-||--⌫-|
touta u t resi dontdeieté	---|-⌫-⌫-⌫---|---|------|
fu cis sainspeulesdisrael	-|--|----|-----||-----|
par cefa us roi	--|-|--⌫-|--|
crueus etfe l	-----|-|--⌫|
furent lorfiestescunchiies	-----|--|------|--------|
l or sinagog es	-⌫-|-------⌫-|
depech ies	------⌫--|
leursabat mué	---|----|---|
en tris t e c e enlarme et enplor	-|----⌫-⌫-⌫-⌫|-|----|-|-|---|
lorsquantanthioc us	---|----|-------⌫-|
ce stdestorbier c ai	--⌫-|---------||-|
ci r etrait	-|-⌫-----|
s iap ielae nsourriant	-⌫|--⌫---|-⌫|--------|
maist ree t li dist tan t	-----⌫-|-⌫|-|---|---⌫|
or ueilie dist ilque m edie	-|---|-|---|-|--|-⌫|--|
duiqueies enefi e	|-|--|-|-⌫-----⌫|
sauo ir le u eil	----⌫-|-|-⌫--|
de ce peule	-|-|----|
quetumeuois	--|-|-|---|
ensi atou rner	---|----⌫---|
etso s metre	-|--⌫-⌫----|
ettousamacrean c e metre	-|---||-|-----⌫-⌫|----|
biaussi re	----|--⌫-|
roisfaiti sacie ́s	---|---||-----⌫-|
malisseenforciés	------|---------|
sel on c mon s enset monescr it	---⌫--⌫|--|-⌫--|-|--|----⌫-|
sico mpl inius ae scrit	-|--⌫|--⌫----||-⌫----|
dunebiesteuers	|--|-----|---|
quienluitroisbiestesa trope	--|-|--|----|------|-⌫----|
q uimouts ont forteset poi sans	-⌫-|---|-⌫--|-----|-|---⌫---|
celebiesteachiefdolifans	---|-----||----||------|
cheu alcrignebienfaite	----⌫-|-----|---|----|
cuissesetpiesce merehaite	------|-|---|-|-|------|
alasamblancedegransbu es	|-|--------|-|----|--⌫-|
sicomcil ep oué s uoirlues	-|--|-|-⌫|-⌫----⌫|---|---|
pou rtrait eet poi nte d ecoulours	---⌫------⌫|-|---⌫--|-⌫|-------|
anabu lad istliaucto urs	-----⌫-|-⌫--|-|-----⌫--|
aanonc ele estrangebeste	||--|-⌫--|-------|----|
roi sciagra nt	---⌫|-||---⌫-|
telhomecomiouuos	--|---|--|--|--|
quanttel bieste comp erearoi	----|--|-----|----⌫--||--|
dedeseurechiefd	-|------|----||
etpar lecors dece ualgrant	-|--|-|---|-|--⌫--|----|
parle scuis se s etpa rl espies	--|--⌫|----⌫--⌫|-|--⌫|-⌫-|---|
debuefqu i	-|---|--⌫|
forsestestaciés	---|--|--------|
s iu osdi raicomiou	-⌫|-⌫-|--⌫--|--|--|
chiefdol iphantcarprou é	----||--⌫-----|--|----⌫-|
deuo parolesetde	-|-|------|-|-|
est uns roiaum esabau bis	--|--|------⌫-|----⌫--|
oseuo boch e des dire	--|-|----⌫|---⌫---|
t outau sicomepuet oc hire	-⌫--|--⌫-|---|---|--⌫---|
lioliphan s d eson	-|-------⌫|-⌫|--|
toutesbie s t essans nul rapiel	-----|---⌫-⌫-⌫-|---|--|-----|
p ou ésuossir e	-⌫--⌫--|--|---⌫|
etparicoutantu osdou t	-|--|---|---|-⌫-|---⌫|
seuosaués cors	-|--|----|---|
biausirerois	---|---|---|
rioud echeual	---|-⌫|-----|
uo suoisouent par	--⌫|--|-----|--|
uo t resor	-|-⌫----|
a c iaus cuiuos	|-⌫---|--|--|
donésuostreor	-----|-----|-|
de cheualcorsaués	-|-----|---|----|
biausireroisuos deceués	---|---|---|--|-------|
ciause tce lesseurement	----|-⌫|--⌫--|--------|
c ui u osdo nésl or et largent	-⌫-|-⌫-|--⌫---||-|-||-----|
se uosauéscu isseset pies	-|--|----|--⌫----|-|---|
de buefdontie stesapoiiés	-|---|---|--⌫---|-------|
s eurementuos	-⌫-------|--|
paornauésd ech anc eler	---||----|-⌫|--⌫---⌫---|
tantcoml espies aiiésfe ndus	---|--|-⌫-|---|-----|--⌫---|
n aués u osgarde	|----|-⌫-|----|
comelibuesquisaseur e	---|-|---|--||-----⌫|
decanchele ren l a pastur e	-|--------⌫|-|-⌫|------⌫|
ou ilnedoute tant	-|-|-|----|---|
siuaatrait etsag ema nt	-|-||----|-|---⌫---⌫-|
toutautretesuos uoiief aire	---|-------|--|--|-|-⌫---|
biau sireroispor	---|---|---|--|
c our e traire	-⌫-|-⌫-⌫-----|
u osuoeiliouora nabulla	-⌫-|----|--|-|-⌫------|
quitoutescesnaturesa	--|-----|--|------||
as or e tres b ienpaiié	-|--⌫|---|-⌫--|-----|
distliforsroisetasa iié	---|-|---|---|-|---⌫---|
bon gre tensaic ar	--|--||-|--|-⌫-|
decesti chosen	-|----|----||
m aisencorueila lerauant	-⌫--|----|---|-⌫--|----|
so r a spartansautre	|-⌫-⌫-⌫|--|---|----|
pensé et misencuer	-----|-|--|-|---|
por coine llaro iea	--|--|-||----⌫-||
apres cestedestrution	----|----|---------|
ensi comdi t	---|--|--⌫|
nosuo s auon	--|--⌫|---|
auint si co n conte	----|-|--⌫|----|
list oi re	|---⌫--⌫-|
c anth iocuscef u	|----⌫----|-|-⌫|
enuoia par toutle	-----|--|---|-|
sienreg ne	---|---⌫-|
quilnieuist	-|-|||----|
hom ene feme	---⌫|-|---|
ne tenisen tla loi	-|-------⌫|-|--|
as paiiensd ou comant lero i	-|------|-⌫-|-----|-|--⌫|
siauint que li plus or ma int	-|----|--|-|----⌫-|--⌫--|
dusaintpeuple	-|----|-----|
obeirentasoncomant	-------||--|-----|
q uantiloirentlesien mant	-⌫---|-|-----|-|---|---|
por peurdem orts il on ttenu	--|---|-|-⌫--|-⌫||--⌫|---|
t amain tionee t mai ntchenu	-⌫-----⌫|---|-⌫|---⌫-|----|
loidiu etlorsabas	--|--|-|--|----|
misentlors desi haut	-----|---|-|-|---|
que les ymagesaspaiiens	--|--|-----|-|------|
aourerentetlessains biens	--------|-|--|----|----|
entrelaissier entetseprisent	-------------⌫--|-|-|------|
asydoles ou	-|-----|-|
mout mesprisent	---|---------|
meismesencore a nthiocu s	------|-----|-⌫-------⌫|
dereci ef en uoia	------⌫-|--⌫---|
en la saintebonechite	-|-|-----|---|----|
d eiherusalemou chité	-⌫|---------|-|-----|
furen ttuitnieuists ios	-----⌫|---|||----|-⌫|-|
qui sacrefiastsors esos	--|---------|--|-⌫-|-|
anultemplenen	|--|-----||-|
selonc l aloide	-----|-⌫|--|-|
neiuisnefus ts i	-|---|-|---⌫|-⌫|
quen fesnusfust	-|--⌫--|--|---|
iac irc uncis	-|-⌫---⌫----|
apriesr ecoma nd aauteus	-----|-⌫-----⌫--⌫|-----|
af air equi fuss entiteus	|-⌫---⌫|--|----⌫--|----|
ouyma ge s fussentdesus	-|---⌫--⌫|------|----|
al usagesetalorus	||-----|-||--|-|
p orc sacrefi ier	-⌫--|-------⌫--|
biestesdontmes tier	------|---|---⌫---|
loi diunostrepere	--|--|-----|---|
dontencorauc unsle compere	---|----|---⌫--|-|------|
encor epl usanthiocu s	-----⌫|--⌫-|--------⌫|
q uimout pa r estoitdeceus	-⌫-|---|--⌫|-----|-----|
fistcomander par tot la	---|-------|--|--|-|
quilnieuistnul hom een sere	-|-|||----|--|---⌫|-|---|
repusnemisenliu	----|-|--|-|--|
ouilp euistiestreafremé	-|-|-⌫----|-----|------|
diuqu em aintenant	--|--⌫|-⌫--------|
nefust ocisparsen coma nt	-|---|---|--|--|----⌫-|
querien snelapeuisttenser	--|----⌫|-|-|-----|-----|
c ar bai ll iusfistpour ausberser	-⌫-|---⌫--⌫--|---|---|--|-----|
pa rleschiteset par lesuil e s	--⌫|--|-----|-|--|--|---⌫-⌫|
dontiladont furent	---|-|----|-----|
celegentd onsi uosparo l	---|---|-⌫-|-|--|----⌫|
quelipluss entin rent a fol	--|-|---||-|---⌫---||--|
pourc oi il sasamblerenttuit	---|-⌫-|-||----------|---|
etf urentli plusacou	-|-⌫----|-|---||--|
q uedoutout	-⌫-|--|---|
semisentarrier	-|-----|-----|
delaloi diuetdou mestier	-|-|--|--|-|--|------|
que moisem	--|-----|
le ur eutapris	--⌫-|--|----|
ensi furentlimalsouspris	---|-----|-|--|-------|
demalf aireet debie ndemetre	-|--|-⌫---|-|-|---⌫|------|
sinost ie smoigneet	-|--|-⌫--⌫------|-|
dis tlaletr e	---⌫|-|----⌫|
quelesprodomesp ar	--|--|-------|-⌫-|
couintguerp irlaleur	-----|-----⌫-|-|---|
etiaus fuirensesdesiers	-|---|---|--|-|------|
carentriausfu sse ntcomesers	--|---|---|--⌫---⌫-|---|---|
dem orés il	---⌫---||-|
peusentu iure	------|-⌫---|
mais ne p eurent porle martire	---|-|-⌫-----|--|-|------|
qu illorfaisoienta so ufrir	-|-|--|--------||--⌫----|
po rcou lesencouintfuir	--⌫|--|--|-|-----|---|
par montaig nesetausrepo ndre	--|-------⌫--|-|--|----⌫---|
ensif uren tdecelisondre	---|-⌫----⌫|-|---|-----|
engra ns tor mens etendolours	-|---⌫-|---⌫---|-|-|------|
tamain t e nuiset plusorsiours	------⌫-⌫|---|-|------|----|
apres auint sicomtrouons	----|----|-|--|------|
is toi re quenos diron s	--⌫---⌫-|--|--|-----⌫|
c uinsimeiour	-⌫------|---|
de ca sleusi	-|--⌫---|-|
comuosorois	--|--|----|
c est adire dede ns n ouembre	|--||---|----⌫-|-⌫------|
si c onlihistoirea cemembre	-|-⌫-|-|-------||-|-----|
ayyans tous	|-|--|---|
canthiocus qu ipoiest plains	|--------|--⌫|--|--|-----|
fist uneymagea couforgier	---|--|----||--|------|
fist mout adespri sier	---|---||------⌫---|
carens onn on et en sa guise	--|-|-⌫-|-⌫-|-|-|-|----|
fuso rl autel doutemple	-|--⌫||----|--|-----|
p o uraourerluietson	-⌫-⌫-|-----|--|-|--|
p o r iestre dep lus	-⌫-⌫|-----|-|-⌫--|
grantren on	----|---⌫-|
apresceneseuolt so uffrir	----|-|-|-|---|--⌫-----|
que partoutne ueistfurnir	--|--|---|-|----|-----|
sauolenteetsonuloir	-|------|-|--|----|
come ieldiporuoir	---|-||-|--|---|
partoutleschi tesdeiudee	--|---|--|---⌫--|-|----|
ouilpot a uoir	-|-|--|-⌫---|
sicomenp l aceset	-|--|-|-⌫-⌫---|-|
fistf ai reaut eusnobleetro ste s	---|-⌫--⌫-|---⌫--|----|-|--⌫---⌫|
et au desusardoirencens	-|-|----|-----|-----|
porsacrefissede lor gens	--|---------|-|--|---|
enc oreplus	---⌫--|---|
grant dia bl ie	----|---⌫--⌫-|
porcou quil uoltque onoub lie	--|--|-|-|---|--|-|---⌫--|
lasai ntelo if ist	-|---⌫--|--⌫|-⌫--|
lorsar d oir	---|--⌫-⌫--|
lorliuresp ormiusdeceuoir	--|-----|-⌫-|---|-------|
si n iotnulpuis cest	-|||-|--|---|---|
nul tr ouuast tenant	--|--⌫-----|-----|
liurequialal o itenist	----|--||-|-⌫-⌫|-----|
quemaintenant o nl e	--|---------|-⌫|-⌫|
sifust detren ciés	-|---|------⌫----|
decoupouoit bi en iestr efis	-|--|-----|--⌫-|-----⌫|--|
ap resilfist	--⌫--|-|---|
sicomi ousa i	-|--|-⌫-|--⌫|
e t iou auqu esrete nulai	-⌫|--|----⌫-|----⌫-||-|
queau u intetcinquisme	--|-|-⌫--|-|--------|
doumoiss acrefi ierentlour	--|---|-⌫------⌫-----|---|
sou rles auteus	---⌫|--|-----|
etpar deui s e	-|--|----⌫-⌫|
feme ne fust prise	---|-|---|----|
se le fais oita	|-⌫-|----⌫--||
circun cir	------⌫--|
son enfant	--|-----|
licouintmorir	-|-----|----|
etl enfantpendoientuias	-||-----|--------|---|
d euspiesetparlesbras	-⌫--|---|-|--|--|---|
ci a us memesquilesci rc o ncire nt	--⌫-⌫-|----|--|--|--⌫--⌫-⌫-----⌫-|
degranttour ment	-|----|----⌫---|
mor irles fistr ent	---⌫-|--|-----⌫--|
dont il auin tquep ort el giu	---|-|----⌫|--|-⌫-|-⌫-|--|
quecilqui furentbongiu	--|--|--|-----|--|--|
di rent pormortil nelair oient	--⌫---|--|---|-|-|----⌫----|
lalo y diu carilne poroient	-|--⌫|--|--|-|-|-------|
entrelaissierlesiencomant	------------|-|---|-----|
porcoime ngasent tant nequan t	--|--|--⌫------|---|-|----⌫|
lorfus t desfe ndu e	--|---⌫|-----⌫---⌫|
enlor loyqu ilor e nttenue	-|--|--|-|-|--⌫-⌫-|----|
dontmou t ens ouf rirentla mort	---|---⌫|-|-⌫---⌫-----|-|---|
engrantt ormentet engr a nt	-|----|-⌫-----|-|-|--⌫-⌫-|
pourcoi teus	---|--|---|
grantcr is	----|--⌫-|
tout oui l	---|-|-⌫|
estoitgranslapities	-----|----|-|-----|
partoutiudeeencomenciés	--|---|----|-----------|
deciadont conuos	-|-|----|--|--|
queli souerains po i ssansrois	--|-|--------|--⌫-⌫----|---|
qui so u f rirne potledama ge	--|--⌫-⌫-⌫--|-|--|-|----⌫-|
quiauenoit p ar telpaiage	--|------|-⌫-|--|-----|
enuo iaasa	----⌫-||-|
noblesoucors etb ielet ge nt	----|------|-|-⌫--|-|--⌫-|
q uibien doi t iestre	-⌫-|---|---⌫|-----|
ament iu s	-----⌫--⌫|
quiconquesuiut ies tree nte ntius	--||-----|---|---⌫--|-⌫---⌫----|
a prouec enecheua liers	|------⌫|-|-----⌫----|
ente ndredoitmoutu olen tiers	----⌫---|---|---|-⌫----⌫----|
porc o i n ecomentons edoit	--|-⌫-⌫|-⌫|-----|-|-⌫|---|
m etreaproueceorren droit	-⌫---||------|-----⌫----|
contr emes creansquinecroient	-----⌫|---⌫-----|--|-|------|
laloydediusicomil	-|--|-|--|-|--|-|
apres ic estegrantdolor	----|--⌫---|----|----|
au intcu n sho mdegrantualo r	--⌫--||-⌫-⌫|--⌫|-|----|----⌫|
qui nonauoitma tatias	--|--|----|--⌫-----|
pr odomes toitgentius sansgas	--⌫---|--⌫---|------|---|--|
en cour t oisieet enlargece	-|----⌫-⌫----|-|-|------|
en sensenu al o ur	-|---|-|-⌫--⌫-⌫-|
hardisuigreus	-----|------|
sages etfrans	----|-|----|
sesperesot anon	--|----|-||--|
fi ussym eonp restre s estoit	--⌫-|---⌫--|-⌫------⌫|-----|
o les fiusioramquiauo it	|--|---|----|--|---⌫-|
en iherusalem sonretour	-|---------|--|-----|
mat hatiasot	---⌫-----|-|
sonre tour	--|--⌫---|
enlamotaigne	-|-|-------|
cinc fis auoit d o nt ne deuin	---|--|----|-⌫-⌫-|-|----|
b iaus etgentius	-⌫---|-|------|
sortoterien	--|---|---|
po ur cous ans	--⌫-|--|-⌫--|
fall eq ueie cr ien	----⌫|-⌫-|-|--⌫--|
aiesensne sauoir	--|---|-|-----|
loe rporn ulpooir	---⌫|--|-⌫-|----|
quien moisoi talornobl ece	--|-|--|---⌫||--|----⌫--|
si ne metigneor eperece	-|-|-|----|--⌫|-----|
quemo ntraual	--|--⌫|-----|
metrenedoie	----|-|---|
aco uquebiautes	|--⌫|--|------|
ci m auoi e	-||----⌫|
quibienregn e empluisorliu	--|---|----⌫|-|------|--|
que ci lou	--|--⌫|-|
e st sont en tentiu	-⌫-|---|--⌫-----|
auilounie eta l uxure	|-------|-||-⌫----|
dontlipec hiesmoutl onges	---|-|---⌫---|---|-⌫----|
etlitansest	-|-|---|--|
si tostpassés	-|---|------|
maiscilqueiaici compassés	---|--|--||-|-|---------|
ens en m on cuer dontuousdirai	--|-|-⌫-|---|---|---|----|
queseie puisn en	--|-|-|---||-|
queien en dieuerit e	--|-||-|--|-----⌫|
c ildontuos a ici encité	-⌫-|---|--|-⌫|-|------|
li ainsnésauoitnoniehans	-|-------|----|--|-----|
gad iscilestoitbiaus	---⌫-|--|-----|----|
courto issageset bienapris	------⌫-|----|-|---|----|
s icomi oudeuis	-⌫|--|-⌫-|----|
fuapielés	-|-------|
lor ssy meo n	---⌫|--⌫---⌫|
enl uiauoit noble	-|-⌫-|----|----|
d e son eageetdeson tans	-⌫|--|---|-|-|--|---|
bien peui st	---|----⌫-|
soufr irg r an sahans	-----⌫-|-⌫-⌫--⌫|----|
aubesoi gsicomi lparu	-|-----⌫|-|--|-⌫|---|
en sournona pi eléssifu	-|------|-⌫--⌫----|-|-|
thasis etiudas ma chab e	-----|-|----|--⌫----⌫|
d ont dece stuimienebe	-⌫--|-|--⌫---|--|-|-|
queneuosdi e queusiler t	--|-|--|--⌫|----|-|--⌫|
