In cipitlapidarius	--⌫----|---------|
leechitesila	-|-----|-|-|
metetdesuzleuaisel	----|----|-|-----|
deitmangi er e tsiil estculpablesdela	---|-----⌫-|-⌫|-|-|--|--------|-|-|
feluniequeill ait pe nsee ianulerienne	------|--|-||--|--⌫---|-|---|---|-|
lipasserat	-|-------|
lecolde lmangier	-|--|--⌫|------|
Icest epi ere	-----⌫|--⌫--|
si purrat estre russehom la trouet en le	-|-----|----|----|--|-|-----|-|-|
occeankiauir unetle siecle	-----|-|----⌫---|-|-----|
Sanzi cesten e puntnu legle etele uaul t	---|-⌫----|-⌫|---|--⌫|---|-|--|----⌫|
a l en faunter	||--⌫------|
Gagatromaeus	-----------|
Gagatromeuestun e	---------|--|--⌫|
pi erekiesttachelee cume peld e	--⌫--|-|--|-------|---|--|-⌫|
Sep rince la portequant	-|-⌫----|-|----|----|
iluaitabatallecha mp elsesenemispurrat	-|---||------|---⌫--⌫-|--|-----|-----|
chacie r queia nelose run tattendre	------⌫|--|-|-||---⌫---⌫|-------|
Selen itis	-----⌫---|
Selenitesestau l t retelecumeiaspeuerte	--------|--|--⌫-⌫-⌫-----|---|----|----|
Hom lapelet seint epierepurceo que	--||-----|-----⌫|----|--|--|--|
ele cre istodl alune	--|---⌫--|-|-⌫|---|
e tdecreisteteledunetamur etele ualta	-⌫|-------|-|--|----|---|-|--|---||
Icestena ist en	-----|--⌫--|-|
Cerauniusestun e piereki chiétotfuildr e	--------|--|--⌫|----|-|-----|-|------⌫|
Kicha stementlaportetiafuildr ene lferra t	-|---⌫------|-|-----|-|------⌫|--⌫|-----⌫|
ne mais unnenefu e leest ian	-|----⌫-|-|--||-⌫-|--|-||
iertpe rilliedepar	---|--⌫-------|--|
esturbei llunneparfuildre	--------⌫---|-|--|------|
Bone esta ueintre bat aillesetplaiz	---|--||------|---⌫-----|-|----|
Ele dunetdul z sum nes etbeals s unges	--|----|---⌫|---⌫--|-|----|-⌫----|
El e est de d ousc ulurs	--⌫|--|-|-⌫--|-⌫----|
Heli otropium	----⌫-------|
Eliotropia est detelenatur e	---------|--|-|---|-----⌫|
q u e se homlameten	-⌫-⌫|-|--|-|--|-|
uaiselencontrelesoleil	-----|-------|-|-----|
elefait lesoleil deuen irruge esi	--|---|-|-----|-----⌫-|---||-|
fait nuuel eclipsime	---|----|-------||
enpoi detensfait ele buillir	-|--|-|---|---|--|------|
leu aisseletgeterleewe cu meseilplust	-|-⌫-----|-|----|-|--|--⌫-|-|-|----|
Kil aportet puetp r op het izer m eintes choses	-|-⌫|-----|---|-⌫-⌫--⌫---⌫---|-⌫-----|-----|
eled un et a homebo nlos	--|-⌫--⌫-||---|--⌫|--|
etsant éte leestanchet	-|----⌫--|-⌫-|--------|
san cetele	---⌫|-|--|
es tcuntreueni m	--⌫|-----|----⌫|
etencuntre boisdi e e	-|-------|------⌫||
lerb ekialt resiadnu meliot ropiaod le	|---⌫|-|---⌫---|-|--⌫|-----⌫----|-|-|
cha rmeki i afiert si la	---⌫--|-||-----|-|-|
metetodla piere	----|-|-|----|
ilpotalerla u iluoldratiahomn el	-|--|---|-||-|------|-|--|-⌫-|
Ele uie n tde	--|---⌫-⌫|-|
E thiopie et de	-⌫------|-|-|
E leestaltretele cum esmaragde si	-⌫-|--|--------|--|--------|-|
a d guttes sang uines	-⌫|-----|----⌫----|
H ephaestitis	-⌫----------|
E pistites estruge eresplendissante	-⌫-------|--|---||--------------|
E leestdetie l euertutqueele	-⌫-|--|-|---⌫-⌫|-----|--|--|
la c hal dierebuilla ntesun	-|-⌫---⌫----|------⌫--|--|
bui llir et que eleenpoi de tens	---⌫---|-|--|--|-|--|-|---|
refreidet l ewe	--------||--|
Eleoste tdelaterre kiest se meeoisaus	--|----⌫|-|-|----|-|--|--⌫--|-----|
etla ustesegres illese esturbell unet	-|--⌫----||----⌫----||---------⌫-|-|
ele defa it	--|----⌫-|
mellees e tf eitho m	------|-⌫|-⌫--|--⌫|
Qu anthumlam etel rai	--⌫--|--|-|-⌫-|-|--|
dels oleils irent clart étcumefu	--|-⌫----|-⌫|---|-----⌫--|---|-|
Elese uultporter	--|-|---|-----|
delsenest re b razuelpart	--|------⌫-|-⌫--|--|---|
Haem atitis	----⌫-----|
Emati tes adnum	-----⌫--|-|--|
Na turelementestconf ortatiue	--⌫---------|--|----⌫-------|
Ladeliepuld redelemati t emethlee	-|----|----⌫-|-||-----⌫-⌫|------|
od glai re deoefostetaspertezde	-|----⌫-|-|--|----|-------|-|
pa lpeb reset sies clarietlaue u e	--⌫----⌫--|-|-|--⌫------|-|--⌫-⌫|
Ki lalime t alacuzodle iusde	-|-|----⌫||-|--|-|-|--|-|
la r ugepum euod	-|-⌫--|---⌫||-|
ew ee ledunet aceluiki escrachet san c	--⌫||-|----||----|-|--------|---⌫|
et admalaunssaner est b oneetrestr eintflursa	-|-|------|----|--|-⌫--|-|-----⌫---|----||
femmequant	----|----|
eletrop en ad	--|---|-|-|
E l e ostedchar ki surcreistenplaieet estanchet	-⌫-⌫|----|---|-|--------|-|----|-|--------|
me neisuneod	--⌫-----||-|
uinestbone	--|--|---|
abeiure cuntreuenine	|-----|-----|----||
cun trem orsuredeserp enteod mielualtmu lta	---⌫--|-⌫-----|-|----⌫--||-|---|---|--⌫-||
oilz dui llanz e lapieredepiecet	---|---⌫----||-|----|-------|
Ele uie ntde	--|---⌫-|-|
Affrikeet de	------|-|-|
Pa eani tis	--⌫----⌫--|
Peaniteses tfeme lekar	-------|--⌫|----⌫-|--|
elecu nceiteenf auntetun e altre	--|--⌫----||---⌫-----|--⌫|----|
piere etpur ceo ualt	----|-|--|--|---|
ele m ulta fem me kiuaitdesunuentre	--|-⌫--||---⌫-|-|---|-|--|-----|
Med usnaist en la t erre as	---⌫-|----|-|-|-⌫---|-|
dunet m ort	----|-⌫--|
et uie kark i lesmu ltodlai tdef e mme	-|--|--|-⌫||----⌫-|-|---⌫|-|-⌫-⌫--|
aduneasprecuz si lamet as	-|--|----|--|-|-|--|-|
oilz a cel l uiki lungementa dper dues aueue ele	---||---⌫-⌫-|-|--------|-⌫|---⌫--|-⌫|---|--|
Mais la cuzdeit estreu erte	---|-|--|---|----|-⌫---|
S ehomladest empre t enmees melamaniere odlait	-⌫|--|-|----⌫-----⌫|-|----⌫-|-|------|-|---|
ki n ait eudfors	-||--|--|---|
un aigneleticelma sleel e ualt	-|-----|-|---|--⌫--|--⌫|---|
mu lt encontreuielz poacr eetencele	--⌫-|-------|----|-----⌫|-|-|---|
manie reua ltelem u lt	-----⌫-|--⌫-|--|-⌫-⌫-|
cuntrecorpulset	-----|------|-|
de cestegua rissentlesreins	-|----|---⌫------|--|----|
Hom ledeiten	--|-|---|-|
argentestuier	-----|------|
quant e l e	----|-⌫-⌫|
estdestem preeetduner a u seraieun	--|------⌫---|-|----||-⌫--||---|
Maiski ladestemprastodewe si la	---|-|-|----------|-|--|-|-|
tutelalim eured e la uerte	---|-|---⌫---|-⌫|-|----|
oilzkisenlauereit auo glereitkilabeust	---|-||-|-------|---⌫------|-|-|----|
uomi reit sunpulmunet si m urreit	----⌫---|--|-----|-|-|-⌫-----|
Cestepie reesttute neiremes ses	----|---⌫-|--|---|----|--|--|
ue rtuzn e sunt mi eneirestuteskar	--⌫---|-⌫|---|--⌫|-----|----|--|
elessunt bla nchesquant elesaient etneiresquante l es	---|---|---⌫----|----|---|----|-|-----|----|-⌫-⌫-|
Ch e lon itis	--⌫-⌫---⌫---|
Che lonite sestu ne	---⌫------⌫|--|-⌫-|
pier e que unli maçun portet	----⌫|--|-|--⌫-----|-----|
Indi e ele estpurpre	----⌫|--|--|-----|
laueesabuche e	----|-|----||
lametet suzsalange tauntcu m la lun ee st	-|----|--|-|----|----|--⌫|-|---⌫|-⌫-|
c reissa ntepurratildeu iner d es lema ti n iesquea	-⌫------⌫--|-----|-|---⌫---|-⌫-|-|--⌫--⌫|-----||
midiet e l decursdeuant	---|-|-⌫|-----|-----|
leiur et quanteleestpri me dunc	-|--|-|----|--|--|---⌫-|---|
duretla poestétute iure	----|-|------|---|--||
al t re siqua nt eleestq uinzi e me	--⌫-⌫--⌫-|---⌫-|--|--|-⌫-----⌫-⌫-|
Cestenec rientfunul	----|-|-⌫----|-|--|
Crystallus	---------|
Cristal estglace enduree	------|--|----|------|
parmulzaunzsic ume	--|---|---|-|-⌫--|
asqu anz die nt et	----⌫--|---⌫-|-|
purceodientque	--|--|----|--|
ele retientla c ulur	--|------|-|-⌫---|
etla freidure dela glace	-|-|-------|-|-|----|
Altres l esdient	-----||------|
kar enp lusurscun treesneist	--|-|-⌫-----|---⌫----|----|
un ulesigrantfo r cenestde fre id ure	|-⌫--|-|----|--⌫-⌫-||--|-|---⌫--⌫--|
Icest epier e	-----⌫|----⌫|
conceitbien	------|---|
lefuelr ai d elsoleile t	-|-|-|-⌫-|-⌫-|-----|-⌫|
bienesprent la tundre	---|------|-|-----|
Asquanzenfuntpuldresi lad unentabeiure	------|-|---|-----|-|-|-⌫----||-----|
anurricespuraueirplus	|-------|--|----|---|
laitsi dient quemultualt	---|-|----|--|---|---|
Galactites	---------|
Galactida adcu lu r deferefem me ki la	--------|-|--⌫--⌫|-|--||---⌫-|-|-|
b eit odmulsee leli multepl ie	-⌫--|-|----|-⌫-|-|-------⌫-|
laitmeseleladeituserdeua unt	---|--|--|-|---|---|----⌫--|
mangieraprofbain	------|----|---|
Sieleestpe rcie dee unfild e	-|--|--|--⌫----⌫-||-|--|-⌫|
laine de berbizprei nzse itmis	----|-|-----|----⌫-|--⌫-|--|
parmiet hom la	--|-|-|--|-|
pendetalcol ala nurricesireualt	-----|-|--||-|------|-|-----|
Si fe mmeuaitdesun	-|--⌫--|---|-|--|
ue ntresi li lithom	--⌫---|-|-|--|--|
a laquisse etsehomenf ai tpuldre	|-|-----|-|-|--|-|-⌫--⌫|-----|
e thumladestemp redod selet odewe et	-⌫|--|-|-------⌫--|-|--|-|-|--|-|
hom ena ru selafaldededenzetdehorssi	--|-|-⌫--⌫-|-|----|-----|-|-----|-|
deuen drunt lesberbizlaitier es et ruignene lurauientmi e	-----⌫----|--|-----|-------⌫-|-|-----|-|--|-----|--⌫|
etceo dient	-|--|----|
lesa ncienskic estepiere	--|-⌫-----|-|-⌫---|----|
porteteleliualt	-----|--|-|---|
au ltretantcume tutesl e saltres	--⌫-------|---|----|-⌫-⌫|-----|
Se hom lapo rted enla bucheet eleremetet	-|--|-|--⌫---|-|-|----|-|--|------|
silitrubletlesens	-|-|------|-|---|
H omla trouetel	-⌫-|-|-----|-|
Quan th om lafriet alacuzdunc a d	----⌫|-⌫-|-|----||-|--|---|-⌫|
e leco luret sau ur d elait	-⌫-|--⌫--|-|---⌫-|-⌫|---|
Orites estneire	-----|--|----|
Ele ualtmu ltco ntr e	--|---|--⌫-|--⌫---⌫|
contremorsures	-----|-------|
debestesetdeserpen z	-|-----|-|-|------⌫|
Sehomlatribletod olie rose tet h om le	-|--|-|------|-|---|----⌫|-|-⌫-|-|
metkiu ait pardeserz	--|-|-⌫--|--|-----|
entrefier es	----|----⌫-|
bestesetodsei ad le orite kit urneod	-----|-|-|--|-|-|----|-|-⌫---|-|
ue rduretadblanchest ac heseledefent	--⌫---|-|-|-------|-⌫--⌫--|--|-----|
celuide morsureetde	----|-|------|-|-|
bleceuredeferains et deserpen z	-------|-|------|-|-|------⌫|
La tiercemani ere	-|-----|----⌫--|
deo r iteest	-|-⌫-⌫--|--|
plus pressie deker elee st del une	---|-------⌫-|--|--|-⌫-|-||--|
pa rtas precu m es elefus tpleine	--⌫-|--⌫--|--⌫-⌫||--|---⌫|-----|
de clousetdel altre partpleinec umef er	-|----|-|-||----|---|-----|-⌫--|-⌫-|
Femme ki lapo r tetsur seineenceinte	----|-|-|--⌫-⌫--|--|--|-|-------|
mieetsienceintel a	--|-|-|-------|-⌫|
po rtedele p ertsu nenfaunt	--⌫---|--|-⌫--|--⌫|------|
Hieni aest	-----⌫|--|
une piereque une besteport e	--|----|--|--|----|----⌫|
e nlapurneledeloilkiad	-⌫|-|------|-||--|-|-|
Ice stepieresicume	---⌫--|----|-|---|
nozaunceisursdistrent fa ithume deuinse	--|---------|-------|--⌫-|---|----|-|
tie ntsuzsalangesique s abuch e	---⌫-|--|-|----|-|--|-⌫|----⌫|
se iteinzlauee	--⌫-|---|----|
Lipare aest en	------⌫|--|-|
Li bie et siestd e t i ele	--⌫--|-|-|--|-⌫|-⌫-⌫--|
na tureque t ute sal uag ineuient degre da	--⌫---|--|-⌫--|---⌫---⌫--|----|-|---⌫||
celui k ilaportet ke	----|-⌫|-|-----|-|
il enpurra tpr endre as ezsenzch ac ier	-|-|-----⌫|--⌫----|--⌫-|---|--⌫--⌫--|
Enidros pl ure ttu ziur set degutetsi queele	------|--⌫---⌫|--⌫|---⌫|-|------|-|--|--|
ne stmie purce omendre	|-⌫-|--|--|--⌫|-----|
Yr isesten	--⌫-|--|-|
Arab ie eten la	----⌫-|-|-|-|
Eleadsem bla nce decr istal	--|-|---⌫---⌫--|-|--⌫----|
S iho m latiente lrai d elsolel	-⌫|--⌫|-|----|-⌫|--|-⌫-|----|
ele faiten lapa re itun umbreki resemble	--|---|-|-|--⌫--⌫-|-|----|-|-------|
Androdamas	---------|
A ndrodammae stfurmee c u me	-⌫--------|-⌫-|-----|-⌫-⌫-|
d eitquarree etadc olu r dear gent	-⌫--|------|-|-|-⌫---⌫|-|--⌫---|
Silatrou ethomenlagraueledela	-|-|----⌫-|--|-|-|------|-|-|
Eleestde sigrantuertutq ue	--|--|-|-|----|-----|-⌫-|
ele estnepuetrema indreir eke re ledu net	--|--|-|---|----⌫----|--⌫|--⌫|-⌫-|--⌫--|
leec eetasuage curage	----⌫|-|-----|-----|
Marga r ita	-----⌫-⌫--|
P erle e stenlam us le etsi	-⌫---|-⌫-|-|-|-⌫--⌫-|-|-|
adnumun io purceo	-|--|--⌫-|--|--|
queia ni aurat fors	--|-|||----|---|
Lisag edie ntque	-|---⌫|---⌫-|--|
les mu slessuntouertesc untremuntsirece iuentlaruseedel	--|--⌫---|---|------|-⌫--------|-|----⌫----|-|----|--|
ceocreissentl esp erles de larusee	--|--------|-⌫-|-⌫----|-|-|----|
delmat indeuien en t bl an cheset cl eresetde	--|---⌫-|------⌫--⌫|--⌫--⌫---|-|--⌫---|-|-|
celedel seirde uiene ntobscur es	---|--|---|--⌫-----⌫-|------⌫-|
Lesiofn esmuslesportentpluscleresq ue lesuielle s	--|----⌫-|-----|------|---|-----|-⌫-|--|------⌫|
T antc um plusrec eitde laruseetau n testla	-⌫--|-⌫-|---|---⌫--|-|-|----|---⌫-⌫|--|-|
la perlegrois seu r ma is	-|----|-----⌫---⌫|--⌫-|
est groiss urdedemi eunce	--|------⌫-|-|----⌫|---|
Seiltune qu antelesrecei uent	-|-|---|--⌫--|---|-----⌫---|
laruse eduncperissent lespe rles	-|----⌫|---|--------|--|--⌫---|
Indien aiss ent et en l agrant	----|-⌫----⌫--|-|-|-⌫|----|
Lap erleest atempree entre	-|-⌫---|--|-------|----|
lechau t el e freiteteleestmuist eet	-|----⌫||-⌫|----|-|--|--|-----⌫|-|
ele est seche	--|--|----|
Lagrendre estdemai ur	-|------|--|-|---⌫-|
ue rtut que	--⌫---|--|
lamendre et	-|-----|-|
laclere plusuertuo se que laoscureela ru nd e	-|----|---|------⌫-|--|-|-----||-|--⌫--⌫|
mi eldreque la beslunge	--⌫----|--|-|-------|
Proprementualtagutecural eaceoque cuer	---------|---||---|----|||--|--|---|
tremblet etacelski	-------|-||---|-|
sines eu entpurq uei	-|-|-⌫--⌫--|--|-⌫--|
Le sauncesc lairetdel corssinostet	-|----|---⌫-----|--|---|--|----|
laneire col eetsii l	-|----|---⌫|-|-|-⌫|
es péssil	--⌫---|-||
atenuietlesoilz	-------|--|---|
con forte t	---⌫-----⌫|
Aristotiles dist	----------|---|
Io u iasquanz ki	-|-⌫|------|-|
destemprere ntles p erlessi enlaue rentlestachesblaunches del	-----------⌫-|--|-⌫----|-|-|----⌫---|--|-----|--------|--|
cor ssisen	---⌫|-||-|
La perleestbonecontreceoqu eoilz	-|----|--|---|-----|--|--⌫|---|
estend entt rop	------⌫--|-⌫--|
Alquanzdientquehomputmetre	------|----|--|--|--|----|
lese schalesde s mus lesenliudespe rles	--|-⌫------|--⌫|---⌫--|-|--|--|--⌫---|
enmedecine	-|-------|
P anthero s	-⌫-------⌫|
P antereest de multe s culurs neire	-⌫-----|--|-|-----⌫|-----|----|
rugeuer tepalepurpreet	---|---⌫-|---|-----|-|
adcolurderose	-|----|-|---|
T utesceste s culurs adel e ensemble	-⌫---|-----⌫|-----|-|--⌫|-------|
Kilaueitlematini aleio rn	-|-|---|-|----|-⌫|-|--⌫||
iertuenc u z	---|----⌫-⌫|
en bataillene en nule	-|-------|-|-|---|
Pantereest	------|--|
Ind iede diuerseculurduntbestes	---⌫-|-|------|----|---|-----|
un t poureces tepiere	--⌫|---||---⌫-|----|
su entreli	--⌫----|-|
Chalcopho nos	---------⌫--|
Calcofano s sonetetre tentist	---------⌫|----|-|--⌫------|
quanthom la fiert	----|--|-|----|
Kichaste mentla por tetele	-|------⌫---|-|---⌫--|--|
lidune tdulceuoizsi neesroe r at pa sele	-|----⌫|----|---|-|-|-----⌫-⌫-|--⌫|--|
M olochitis	-⌫--------|
Meloc hitesguardet enfa nzodlauertut	-----⌫----|------|----⌫-|-|-|-----|
q ueilad e t ol tquenule m esau entu ren e	-⌫-|-|-||-⌫--⌫|--|---|-⌫----⌫----⌫-|-⌫|
lurpoetauenir	--|---|-----|
Eleest beleka r e le adune	--|--|---|--⌫|-⌫-|-|--|
crass eue rdursi r esembl etsmaragde	-----⌫|--⌫---|-|-⌫------⌫-|-------|
Arabieuient	-----|----|
Tecolithu s	---------⌫|
Cecolit usresemblet nueldeoliue uil aueer	-------⌫-|--------|---|-|----|--||---|
maisdem ul tgrantuertud	---|-|-⌫--⌫|----|-----|
hom l ades tremp etod	--|-⌫|---⌫-----⌫-|-|
eweetduneta	--|-|----||
beiureelefraint la	-----|--|-----|-|
p iereetb i en expurgetla uessiede la	-⌫---|-|-⌫-⌫-|-------|-|-----|-|-|
Diadocho s	--------⌫|
Diadocos est bone acels	-------|--|---||---|
lessec rezdeuiner parewe ne nulepieren eualt	--|---⌫--|------|--|--|-|---|----|-⌫|---|
plusque cest e	---|--|----⌫|
eleatuche tamorth omsi	--|------⌫||---|-⌫-|-|
pertsaforce pur ceoquesein tepiereestet	---|-|----|--|--|--|----⌫-|----|--|-|
hetl amort	--|-⌫|---|
Dionisiaest neire siestde guteederugesgutes	-------|--|----|-|--|--⌫----|-|----|----|
Q uanteleesttribleeodewe siadodur	-⌫---|--|--|------|-|--|-|-|---|
de uin etn equedenttolt	-|--|-|-⌫-------|---|
Chryselectrum	------------|
Crisele ctre adco lurde or	-------⌫---|-|--⌫--|-|-|
etd e electre	-|-⌫|------|
Icestep iereadcolurbe le	-----|-⌫---|-|----|--⌫-|
lematin etpuis muet alchessacolur	-|----|-|---|---|-----|-|----|
Eleestde telenat ureque	--|--|-|---|---⌫--|--|
nulerien elsi ecle neesprentplustostque	---|---|-|--⌫---|-|------|---|---|--|
el efaitqu anthom lat ocheta feu	--⌫|---|--⌫--|--|-|-⌫----||--|
Onic leporteeal col pen du e uen	----⌫-|-----|-|--|---⌫--⌫||-|
deitfaitg refssunges s ungeret	---|---|-⌫---|-----|-⌫----|-|
fet tençuns etfet	--|-------|-|--|
e nfa nz bauus	-⌫---⌫-|----|
El e ui entde	--⌫|--⌫--|-|
Indie siestd ecincmaneres	----|-|--|-⌫|---|------|
Sardineestapele e	------|--|-----⌫|
de uneihlle	-|--|----|
u elefudprimes trouee	|--|--|-----|-----|
Eleestrugeetla plusuile	--|--|---|-|-|---|---|
de s g emmes	--⌫|-⌫----|
adnule uertud	-|---|-----|
f orsla be a ltéd	-⌫--|-|--⌫-⌫----|
A squan zdie ntque e letolt	-⌫-----⌫|---⌫-|--|-⌫-|---|
sangluteme ntetcontratiun de ner fs ettoutki	----------⌫-|-|---------|-|---⌫-|-|---|-|
sursei la t al onic le sesmals	--|--||-⌫|||----⌫-|--|---|
Chry sop rasus	----⌫---⌫----|
Crisop rassus n a is t e n laterrede	------⌫-----|-⌫-⌫--⌫|-⌫|-|----|-|
Ethiop iekipar iurad	------⌫-|-|--|--|-|
altretelecolur cumeor	--------|----|---|-|
etparnu it d un etcl a rte ́tcum efu	-|--|--⌫-|-⌫--⌫-|--⌫-⌫---⌫-|---⌫|-|
Chrysoprasus	-----------|
Crisoprasuient de	--------|----|-|
Indie el eadcolur deius	----|--⌫|-|----|-|--|
de po rretesi	-|--⌫----|-|
adgutescum e	-|----|---⌫|
unquessesu er tuz escri tes	-----|--|-⌫--⌫--|-----⌫--|
A laband ica	-⌫------⌫--|
Al amandineki	--⌫-------|-|
uientdeun eterrede	----|-|--⌫|----|-|
Asiakiadn un	---|-|-|-⌫-|
Alabandine	---------|
El ere semblet si	--⌫|--⌫------|-|
as a rdine	|-⌫-⌫----|
qu egriefestacu nui stre	--⌫|----|--||--⌫---⌫---|
Ca rbu n culus	--⌫---⌫-⌫----|
Carbuncleueinttute sardauntes piereskare le getet	--------|----|----⌫|--------|-----|--|-⌫-|----|
raisde tutesparzcume charbunuifet pu rice o	---|-|----|---|---|------|--|-|--⌫|---⌫|
ad numchar bunc le	-|--|----⌫----⌫-|
estclere etiurnient	--|----|-|--|----|
Ho mla trou et en	--⌫|-|----⌫-|-|
Asbe s tos	----⌫-⌫--|
Abestosest enl acunt r eede	------|--|-|-⌫|----⌫-⌫-|-|
Ar cadie siad colur	--⌫----|-|-|----|
merue llu sen at urekar	-----⌫---⌫-|-⌫--⌫--|--|
un efeizestespr iseele arttuziursmes	--⌫|---|--|----⌫--|--|--|--|---|--|
Saddaest grieueatrouer surtutesles altres	----|--|-----||-----|--|----|--|-----|
gemm eski suntk ar ianeserreittrouee	----⌫-|-|---|-⌫-|-|-|------|-----|
aersist a spla nchesde l anef	------|-⌫|---⌫----|-|-⌫|--|
k erele aer tsi fermement que	-⌫-|--|---⌫|-|--------|--|
hom nela puet	--|-|-|---|
ostersehomnet ailletlefust	----|-|--|-|-⌫-----|-|---|
Eleadculurdema ru il	--|-|----|-|--⌫--⌫-|
Se uientdelaterredes	-|----|-|-|----|--|
Chal azias	----⌫----|
Gelange dunet	------|----|
be altét a alt resgemmes	--⌫-----||---⌫--|-----|
Eleestsidurequeen nule manierene pot	--|--|-|---|--|-|---|------|-|--|
estre d epeciedeettuzi u rsestfr e ide	----|-⌫-------|-|--|-⌫-⌫-|--|--⌫-⌫--|
ne ian e potestr e	-|-|-⌫|--|----⌫|
Hexacontalithos	--------------|
Exaconzalit osestde seisante	-----------⌫-|--|-|-------|
colurset tutesles atenpetitdeliu	-----|-|----|--|-|-|----|-|--|
Homlatroueten	--|-|-----|-|
Libieotles	----|-|--|
Tr ag od it es	--⌫--⌫--⌫--⌫-|
Pra siu sest contee entregemmes	---⌫---⌫|--|-----|----|-----|
maisnestmiec hiere kare le	---||--|--|-⌫----|--|-⌫-|
nat nu l e	|-|--⌫-⌫|
util itétforsqueeleestuerte e	----⌫----|---|--|--|--|----||
auient e n or	-----|-⌫|-|
A ltr e maniere en	-⌫---⌫|------|-|
estkiad uainetessa ngui nes	--|-|-|-------|--⌫----⌫--|
La ti erce m ani eread treis fi guresb l anch es	-|--⌫---|-⌫---⌫--|-|----|--⌫----|-⌫-⌫----⌫-|
Piriteses t falue	------|--⌫|----|
ele ne suf remi eke hum le estre ignetkar	--|-|---⌫-|--⌫|-|--|-|-----⌫----|--|
lam ainqu ant	-|-⌫--|--⌫--|
hu mle estreint	--⌫|-|-------|
C es te ssuntle s dozepieres au c t or izi eesiasp issaphirc alce d oniesmaralde	-⌫--⌫--⌫|---|--⌫|---|-----|--⌫-⌫-⌫--⌫---⌫--|----⌫-|-----|-⌫----⌫-⌫---|-------|
sardoniesardi ne crisoliteberill etopazioncrisoprasiaci nctea m etiste	-------|-----⌫-|--------|------⌫|-------|--------|----⌫---|-⌫-⌫-----|
