#META# TextURIP erc e u alKu	-----|------|-⌫---⌫-⌫-⌫---|
#META#DEA Fn od ata	-----|---⌫|-⌫--⌫--|
#M ETA#FEW	--⌫---|--|
#META#ARLIMAhttps/ / www .arlima .net/ad/chretien_de_troyes.html# g r a	-----|-----|------⌫-⌫---⌫-------⌫--------------------------------⌫-⌫-⌫|
#META#AuthorChrétiendeTr o yes	-----|-----|--------|-|--⌫-⌫--|
#META#AuthorBorn	-----|---------|
#ME TA#AuthorBornAmb	---⌫--|------------|
#ME TA#A uthorDied	---⌫--|-⌫--------|
#META#AuthorDie dA mb	-----|---------⌫--⌫-|
#ME TA# Aut horFl1	---⌫--|---⌫-----|
#META#AuthorFl2	-----|--------|
#META# TextTitlePerceual	-----|--------|-------|
#MET A# TextSubtit leLe	----⌫-|----------⌫-|-|
#M ETA# Textuols	--⌫---|-------|
#META# TextSub i rom an c e	-----|-------⌫|---⌫--⌫-⌫|
#M ETA# TextDomlit	--⌫---|------|--|
#M ETA#Tr a nslationf alse	--⌫---|--⌫-⌫-------|-⌫---|
#META#Collection	-----|---------|
#META#Colle ct ionNo	-----|-----⌫--⌫----|
# META#TextDescARL u e rsoctos yllabi ques à	-⌫----|----------|-⌫-⌫-|-----⌫------⌫---|-|
qu ias chastiaxse	--⌫|-|-------|-|
depart ir ent	------⌫--⌫--|
laou lemeillor	-|-|-|------|
seior uirent	----|-----|
nil neset comant illorua	|-|-|--|-----|-|--|-|
de c estli diax queliroi sa.	-||--|-|---|--|-|---⌫|-|
Li uaslez neprise.i.deni er	-|-----|-|-------|----⌫-|
lesnouelesau cha r bonier	--|------|-|---⌫-⌫-----|
for sq ue tan t	---⌫|-⌫-|---⌫|
quanlauoiea ntra	-|-|-|---|-⌫---|
celepart o u il limostra	---|---|-⌫|-|-|-----|
tan tquesor	---⌫|--|--|
meru it.i.chastel	--|-⌫----|------|
moutbie n sean tetfortet	---|---⌫|----⌫|-|---|-|
issi rparmila porte	----⌫|----|-|----|
.I.che ualie rarméq uiporte	--|---⌫-----⌫|----|-⌫-|----|
unecopedor	--|---||-|
ansa main.	-|-|----|
Salanceteno it et	-|----|----⌫-|-|
etsonescuanla senestre	-|--|---|-|-|-------|
et laco ped or	-|-|--⌫-||-|
anlade stre	-|-|--⌫---|
etlesarme sbienlis eoien t	-|--|----⌫|---|-|-⌫-----⌫|
qui t o tesuermoille s e stoient.	--|-⌫-⌫--|---------⌫|-⌫-------|
uit les armesbeles	--|--|----|----|
estoientnoueles	-------|------|
siliplor entet dist Parfoi	-|-|----⌫--|-|---|--|--|
cezde ma nderai gel eroi.	--|--⌫--⌫-----|-|-⌫|---|
Sil lesme don ebel	|-|--|-|---⌫|--|
et dahez aitquia ltr es	-|----|--|--|-⌫---⌫-|
(364c.877)	---------|
Ata nt uerslech astelsan	---⌫-|---|-|--⌫----||-|
que tartli est	--|---|-|--|
quiluai gne acort	-|-|---⌫--||---|
tantquepresdel	---|--|---|--|
che u alieruint.	---⌫-⌫----|----|
Etli c heuali ersleretint	-|-|-⌫------⌫--|-|-----|
.i. petitsi	--|----|-|
O uanuastu uaslezdiua	-⌫|-|--|-|-----|-|-|
—Ieuuel fetila	|-|---|--|-||
auroi ces armes demander.	-|--|--|----|--------|
ordi zt ubien.	-|--⌫|-⌫|----|
Or ua do ncto stet si	-|-|--⌫-|--⌫-|-|-|
dirasaum a l uésroi	----|-|-⌫-⌫-⌫---|--|
s eilne uialttenirde	-⌫|-|-|----|----|-|
sa terrequ eilla merande	-|----|--⌫|-|-|-|----|
anuo it qui	----⌫-|--|
lad esfande	-|-⌫------|
uersmo i q ui	---|--⌫|-⌫-|
diquee leest mo ie.	-|--|-⌫-|--|--⌫--|
Eta cesa nsaignes	-||--|-⌫-------|
que deuantlui	--|-----|--|
pris or androit	---|--⌫------|
atotleuindontil beuoit	---|-|--|---|-|-----|
cesteco p equeieciport.	----|--⌫-⌫|--|-|-|----|
Or q u iereautruiqui lireco rt	-|-⌫-⌫---|-----|--|-|----⌫-|
qu ecilni amotantandu .	--⌫|--||||--|-------⌫|
ouliroi set	-|-|---⌫|-|
li cheualier	-|--------|
esto i ent asis	----⌫-⌫--|---|
aumang ier .	-|----⌫---⌫|
fupart erreaual	-|--|-⌫---|---|
etli uaslez	-|-|-----|
antrea cheua l	----||-----⌫|
anlasalequi	-|-|---|--|
et longu eautretant comelee.	-|-----⌫|--------|---|---|
EtliroisArtussert	-|-|---|----||--|
a uchief dune	-⌫|----||--|
table pansis	----|-----|
e ttu it li c heualie rparloient	-⌫|--⌫-|-|-⌫-------⌫|--------|
li. i. as au t res de d uisoient	---⌫-|-|--⌫-⌫--|--⌫-⌫-------|
forsilquifu p ansis et muz.	---|-|--|-|-⌫----|-|---|
Liuasle zestau antuen uz	-|-----⌫|--|--⌫--|---⌫-|
nilne setlequel il salut	|-|-|--|-----|-|----|
quedelroi mie ne con ut	--|--|--|--|-|---⌫-|
Ionezcontreluiuint	----|-----|--|---|
qu i a ns a	--⌫|-⌫|-⌫|
main.i. costel tint.	------|-----|----|
uaslezfeti ltuquilau i en s	-----|--|-⌫|-|--|-|-⌫-⌫--⌫|
quilecostelan ta	--|-|-----|-|-|
maint iens	---|-⌫---|
m ostrez moili quex est li	-⌫-----|--|--⌫---|--|-|
Yo nez q uimout fucort ois	--⌫--|-⌫-|---|-|----⌫--|
lidistAmisuee zle la.	-|---|---|---⌫|-|--|
Liuaslezuersl uis	-|-----|---|-⌫-||
(364d.921)	---------|
sels alua si	--|-⌫---|-|
L iroisse testetnedist mot	-⌫|---|-|---|-|-|---|--|
autrefo izlareisone.	----|--⌫-||--------|
Li roispanseetmotnel isone .	-|---|----|-|--|-|-⌫|----⌫|
Parfoi dis t liuaslezado nques	--|--|---⌫|-|-----|---⌫----|
cistroisne fistcheu alieronques.	---|---|-|---|----⌫----|------|
Qa ntl an n	--⌫-||-||
anpuetp arole traire	-|---|-⌫----|-----|
c omantpu etilch eualierfaire	-⌫----|--⌫-|-|--⌫------|----|
Tanto st delretorner	-----⌫-|--|-------|
l echie f de	-⌫|----⌫|-|
so nc haceor to r ne	--⌫|-⌫-----|--⌫-⌫-|
messi pre s d el roilotmené	--|-|---⌫|-⌫-|--||-|----|
aguised ome	|----||--|
que deuantlui	--|-----|--|
sanznulefable	---|---|----|
liabatideso rlatable	-|----|----⌫|-|----|
delchief.i. chapel	--|-------|-----|
Li roistorne	-|---|----|
lechiefqueil tenoitb eissié	-|----|--|-|-----|-⌫------|
siato tson pans élei ssie ́	-||--⌫|--|----⌫-|---⌫----⌫|
Biausirebien uaigni ez.	---|---|---|------⌫--|
I euos pri qu a maln e taigni ez	-⌫|--|--|-||--|-⌫|------⌫-|
cequauostre sa lume	-|-||-----|--⌫-|-|
D ire r espondren euos poi	|--|-⌫-------|-⌫|--|--|
quelipirea n emis queiaie	--|-|---|-⌫-⌫---|--||--|
quiplusm e hetet pl us me sm ai e	--|---|-⌫|--|-|--⌫-||-⌫--⌫--⌫|
m a cimaterrecontredite	||-|-|----|---------|
ettant est fosque totequi te	-|---|--|--|--|---|---⌫-|
illa uraouuuelle	-||-⌫--|-|-----|
LiuermauzC heualiersa	-|------|-⌫--------||
delaforest deQuinqueroi.	-|-|-----|-|----------|
Etla rei ̈nedeuant	-|-|---⌫--|-----|
estoitc i ue nue	-----|-⌫|--⌫--|
po r conf ort eretporueoir	--⌫|----⌫---⌫-|-|--|----|
cescheualiersquisontblecié.	--|---------|--|---|-------|
Nemeu ̈stguerescorrecié	-||--⌫--|-----|--------|
licheualiersdequanquildis t	-|---------|-|-----|-|---⌫|
mes deuantmoi	--|-----|--|
etsif olemantl anleua	-|-|-⌫------||-|---|
tot l eu in	--|-⌫|-⌫-|
estoitplainn e.	-----|------⌫-|
honte laideetuilainne	----|----|-|-------|
reïne ane st	-----|-|-⌫-|
deg rantdueletd irea nf lame e	-|-⌫---|---|-||--|-⌫--⌫----⌫|
an s achanbreouele s	-|-⌫|------|-|--||
ne necuitpasseDexma ït	-|-|---|--|-|--||-⌫--|
( 3 64e.965)	-⌫-⌫-------|
que iaan p uiseeschape r	--|-|-|-⌫---|-------⌫|
Liu asleznepriseune	-|-⌫----|-|----|--|
quanquelirois	------|-|---|
li dit etconte	-|--|-|----|
nedesonduelne des a	-|-|--|---|-|-|-⌫|
dela reïnene lich aut	-|-|-----|-|-|--⌫--|
Feitesmoi cheualierfetil	-----|--|--------|--|-|
sire r oiscara ler	---|-⌫--|--|-⌫--|
Cler etri an tfur entlioel	---|-|--⌫--⌫|---⌫--|-|--|
anla testeau uaslet	-|-|----|-|-----|
Nusqui leuoitn eltienta sa ige	--|--|-|---|-⌫-|----||--⌫--|
mestrestuit	--|-------|
cil quileueoient	--|--|-|------|
porbeletporgentleten oient.	--|--|-|--|---|-|---⌫-----|
Amisfetlirois d escendez	---|--|-|---|-⌫-------|
et u ostre	-|-⌫----|
chaceor randez	------|-----|
celua sletsi lega rdera	--|--⌫---|-|-|--⌫----|
etuostre u olan té fera.	-|-----|-⌫----⌫--|----|
Fetier taDamedeule ueu	--|---⌫||------|-|--|
a m an nor e tauostrepreu.	||--⌫--|-⌫||-----|----|
Etli uaslez a	-|-|-----||
Ia nestoientpasd escendu	-||-------|--|-⌫------|
cilqueiancontraianla la nde	--|--||--------|-|-|--⌫--|
etuos uolezqu e ie descende	-|--|----|--⌫|-|-------|
Iaparmonc hiefnid escendrai	-|--|--|-⌫---|||-⌫--------|
—Hafet liroisbia xamis ch iers	|-|--|-|---|---⌫|---|--⌫---|
i elef erai	-⌫|-|-⌫---|
moutu ol a nti ers	---|-⌫--⌫-⌫---⌫--|
auostrep reueta	|-----|-⌫--|-||
—Foi qu eie	|--|--⌫|-|
doileCria tor	--|-|----⌫--|
fetliuasl ezbiaxsi rerois	--|-|----⌫-|---|--⌫-|---|
neseraicheualiers desmois	-|----|---------|--|---|
secheualiersuermauz ne sui.	-|---------|------|-|---|
Donezmoiles	----|--|--|
armescel ui	----|---⌫-|
queia nco ntraidefo rs laporte	--||-⌫---⌫----|----⌫-|-|----|
q uiu ost recopedor	-⌫-|-⌫---⌫-|---||-|
Lisenechax qui fublec iez	-|-------|--|-|----⌫--|
quil o tses tcorreciez	-|-|-⌫||--⌫|--------|
etditAmisuo s	-|--|---|--⌫|
auezdro it.	---|---⌫--|
Alezlesprandre	---|--|------|
orandro it	-------⌫-|
les armescar elessont	--|----|--|---|---|
Nef eï ste smieque	-|-⌫---⌫---⌫|--|--|
qant po r ceueni stesic i.	---|--⌫|-|----⌫---|--⌫-|
—Kexfet liroispor Deu	|--|--|-|---|--|--|
tropditesuolantiers enui	---|----|---------|---|
uoschaut onquesa	--|----|-----||
(364 f.1009)	----⌫------|
Aprodome estcemoutlezuices .	|------|--|-|---|--|-----⌫|
Seli uas lez est fos	-|-|---⌫--|--|--|
et ni c es	-|--⌫-⌫-|
se stil e spoirmoutgentix hom	|-⌫-|-|-⌫----|---|-----|--|
etseceliuientd	-|-|-|-|----||
quilai testéauilai n	-|-|--⌫|----||-----⌫|
ancorpuetpr euz etsaigese s tre.	----|---|--⌫--|-|-----|-⌫-⌫---|
uilenie estdautr ui	------|--||----⌫-|
etd eprometre sanzdoner.	-|-⌫|-------|---|-----|
Prodomnesedoit	-----|-|-|---|
antremetre	---------|
de nulerienautruiprometre	-|---|---|-----|-------|
q ue donerneli	-⌫-|----|-|-|
puiseet uuelle	----|-|-----|
maug ré ce luinac uelle	----⌫--|--⌫--||--⌫----|
q uis anzpr ometre	-⌫-|-⌫--|--⌫-----|
estsesamis	--|--|---|
etdesqueilli aprom is	-|--|--|-|-||----⌫-|
s ibeealaprom e sseauoir.	-⌫|--||-|----⌫-⌫--|-----|
Etpar ces ipoez sauoir	-|--|-|-⌫|---|-----|
quasezualdroitilmialz doner	-|---|-------|-|----|----|
quef ere bae r.	--|-⌫--|---⌫-|
dir e anuoldroi t	---⌫|-|-------⌫|
luime i ̈smes gabeetdeçoi t	--|--⌫-⌫----|---|-|------⌫|
quifet prome sse etnelasolt	--|--|-----⌫--|-|-|-|---|
carlecuerson amisetolt.	--|-|---|--|--|-|----|
Ensilirois a	---|-|---||
K ex parloit	-⌫-|------|
etliuasl ez qui	-|-|----⌫-|--|
aune pucele ueüe	|--|-----|----|
bele et gentesil a	---|-|----|-|-⌫|
luietsilirist	--|-|-|-|---|
et an riant	-|-|----|
itantli dist	----|-|---|
ua slezse tu uiz paraaige	--⌫---|-|-|--|--|----|
iepanse t croian moncoraig e	-|---|-⌫|---|-|--|------⌫|
quantrestot lemonde	-|-|------|-|----|
niln ier t	|-|||--⌫|
na nne li saura	|-⌫|-|||----|
n ulm eillorcheu alierde toi.	-⌫-|-⌫-----|----⌫----|-|---|
Ensile panset c uitet	---|-|---|-|-⌫--|-|
Etla pucelenau oitris	-|-|-----||--⌫--|--|
passezauoit anz	-----|----|--|
diste le si anhalt	---|-⌫-|-|-|---|
quetu it loïrent. EtKex salt	--|--⌫-||-------|-|--|---|
parolee nuiamout	-----|-⌫---|---|
silidona copsi estout	-|-|---|--|-|-----|
delapaumea nlaface	-|-|----|-⌫|-|---|
quillafi stala	-|-|-|--⌫-||-|
terreestandre.	----|--------|
pucelefe rueot	-----|--⌫--|-|
ans auoietroua .i.sot	-|-⌫|---|-----⌫--|--|
(365a.1053)	----------|
lez un echemineeestant	--|--⌫|-------|-----|
silebotaelfeu ardant	-|-|---|-|--|-----|
delp ié p arcor rozet	--|-⌫--|-⌫-|---⌫--|-|
quelisoz soloitdire	--|-|--|-----|---|
Cestepucelene r ira	----|-----|-|-⌫--|
i usqueta ntqueeleu erra	-⌫----|--⌫-|--|--|-⌫---|
celuiq uidecheuale r ie	----|-⌫-|-|-------⌫-⌫-|
auratote laseignorie.	---|---|-|---------|
Ensicilcrieetceleplore	---|--|---|-|---|----|
etliuaslezpasne demore	-|-|-----|--|-|-----|
e inzsanretorne	-⌫--||-|------|
sanz consoil	---|------|
a pre ́sle Cheualieru e r moil.	-⌫---⌫-|-|--------|-⌫-⌫-⌫----|
Yo nezquilesdr oizsa ntiers	--⌫--|--|--|--⌫--|--⌫-----|
sauoittoz et	-----|--|-|
mout uolantie rs	---|--------⌫-|
aportoit nouelesacor t	-------|------||---⌫|
atoz ses conpaign onsancort	|--|--|--------⌫--|-|---|
par. i.uergierdeu ant lasale	----⌫-|------|---⌫--|-|---|
etpa runeposter neauale	-|--⌫|--|------⌫-|----|
tantqu i luin tau	---|-|-⌫|---⌫|-|
chemintotdroit	-----|--|----|
ou li c heua liersata ndoit	-|-|-⌫----⌫----|---⌫----|
cheualerieetauanture.	---------|-|--------|
Etliuasl ez	-|-|----⌫-|
grant aleu ̈re	----|----⌫--|
uintuers lui por sesa rme sprandre	---|---|--|--|--|-⌫---⌫|------|
et licheuali erspor	-|-|-------⌫--|--|
auoitlacopedo riusmise	----|-|---||-⌫|--|---|
sor.i .p erron de ro cheb is e.	-----⌫|-⌫----|-|--⌫--|-⌫--⌫-|
Qant li u aslezaprochiél ot	---|-|-⌫----|--------||-|
tantq ue li	---|-⌫-|-|
unsl a utre	--||-⌫---|
cria Mete zles ius	---|----⌫|--|--|
lesarm esn elespor tez	--|---⌫-|-⌫|--|---⌫--|
que liroi sA rtu s l e	--|-|---⌫|-⌫---⌫|-⌫|
uo s ma nde	--⌫|--⌫--|
Etlic heualier sli demande	-|-|-⌫--------⌫|-|------|
uas lezose ç a nu suen ir	---⌫--|--|--⌫|--⌫|---⌫-|
droitleroimaint enir	----|-|--|-----⌫---|
i uientnel	|----|--|
c elerpas.	-⌫---|---|
—Questcede able	|-|--|-|--⌫---|
Estceorga s	--|-|-|--⌫|
danz cheualiers que uosme fait es	---|---------|--|--|-|----⌫-|
qu euosn auezmesarmestra ites	--⌫|--||---|--|----|---⌫---|
Ostezlestostiel uo sco mant.	----|--|---|--|--⌫|--⌫----|
— uas lezfetiliete demant	|---⌫--|--|-|-|-|-----|
se nusuien tçade par leroi	-|--|----⌫|--|-|--|-|--|
qui conbatreseu uell e	--|-------|-|-⌫----⌫|
ch eual iers caro stez t o st	--⌫----⌫---|--|-⌫---|-⌫-⌫-|
lesarmesque ie nes uos ost	--|----|--|-|--|--|--|
(365b .1097)	-----⌫-----|
lesuos soferroie.	--|--|---------|
Biensac hoizque ieuosferroie	---|---⌫---|--|-|--|------|
sepluspa rle rm anfe isiez.	-|---|--⌫---⌫||-|--⌫-----|
Lorsfu lich eualier siriez	---|-|-|--⌫-------⌫|----|
aa .ii.mainsleuee	|-⌫---|----|----|
si lanaferugrant colee	-||-||---|----|----|
parlesespaule santrauers	--|--|-------⌫|-|------|
de laou nestoit pasli	-|-|-||-----|--|-|
quil le fis tanbrunchieraual	-|-|-|---⌫|----------|---|
desorle coldes oncheual .	----|-|--|-|-⌫-|------⌫|
u aslezfu c orreciez	-⌫----|-|-⌫-------|
qant ilsantiqu	---|-|----|-|
il fublecie z	-|-|------⌫|
delaco leequ	-|-|--⌫--|-|
ilotpri se.	-|-|---⌫--|
Aumialzquil puet	-|----|-|-|---|
an l uell au ise	-||--||--⌫--|
etless e aler .i.iauelot	-|----⌫|----⌫--|------|
iln antan t	-||-----⌫|
neuoitneot	-|---|-|-|
li fiertparmil	-|----|----||
p artde lhate rel	-⌫--|--⌫|----⌫--|
lesancetlec er uel espa nt.	-|---|-|-|-⌫--⌫--|----⌫--|
Deladol orlicuersli	-|-|---⌫-|-|----|-|
siuerse e tchi ettoz	-|----|-⌫|---⌫-|--|
est anduz .	---⌫-----⌫|
Et liuaslez estde scenduz	-|-|-----|--|--⌫------|
simetlala nc e aune	-|--|-|--⌫--⌫||--|
es cu delcollidepar t	--⌫-|--|--|-|-----⌫|
nesetuenira chief	-|--|----||----|
del hiaume qui	--|-----|--|
ests orl echief	--|-⌫-|-⌫|----|
quil neset	-|-|-|--|
c omant i lle praigne	-⌫----|-⌫|-|------|
etsa talantqu illi	-|||-----|-|-|-|
lespee mesil n el sot	|----|--|-|-⌫-|--|
nedelfuerrenela	-|--|-----|-|-|
puet trere	---|----|
lefuerreets aicheettire.	-|-----|-|-⌫----|-|----|
EtYonez comanceari re	-|----|------||--⌫-|
q antleua slet	-⌫--|-|--⌫---|
uoitant rep ris .	---|---⌫---⌫---⌫|
I ceq ue estfetilamis	-⌫-|-⌫-|--|--|-|---|
Quefetes uos —Ienesa iquoi.	--|----|--||-|-|--⌫|----|
Iecuidoiedeuostre	-|------|-|-----|
eu ̈stcesarme s donee s	--⌫--|--|----⌫|-----⌫|
m eseinz aurai par charbon ee s	-⌫-|---|----|--|-------⌫--⌫|
tr estotesbraoné le mort	--⌫----|--------|-|---|
d es armesan port	-⌫-|----|-|---|
quelessetienentsi	-|---|-|------|-|
quecede dan zet	--|-|--⌫---⌫|-|
esttre sto t.i.si co nmoisanble	--|---⌫---⌫---|-|--⌫|--|-----|
setienen tsi ansanble.	-|------⌫|-|--------|
(365 c.1141)	----⌫------|
— Orn e uoschalt	|-|-⌫|--|----|
denule rien	-|---|---|
queiesdepartirai	--|--|---------|
seuo s uole zfetY onez.	-|--⌫|----⌫|--|-⌫----|
Orfaidonc tost dit	-|--|---|---|--|
sest* me donezsanz plu s	----|-|----|---|---⌫|
TantostYonezlede suest	------|----|-|--⌫----|
etiusquanl	-|----|-||
artoill edesc hauce.	-----|-⌫|----⌫-----|
N i a remésha uberc	|||-----|--⌫----|
ne hia ume el chi efn autrearmeüre .	-|---⌫--|-|---⌫-||----|--------⌫|
Mesliuas lezsauesteu ̈re	--|-|---⌫--|-|------⌫--|
neuoltlessierque nepreïst	-|---|------|--|-|------|
porrien qu Ione zlide ï st	--|---|-|----⌫|-|--⌫--⌫-|
une co teauoit*ae isiee	--|--⌫-|-----|--⌫----|
de drapdesoi e	-|---|-|---⌫|
ganbe isiee	-----⌫----|
quedes o z	--|---⌫-⌫|
s onhaubercues toit	-⌫-|------|---⌫---|
licheu ali ersquantuise sto it	-|----⌫---⌫--|----|--|-⌫---⌫-|
lipooit despiez	-|----|--|---|
lesreuelins quil ot	--|-------|-|-|-|
ch auc iez	--⌫---⌫--|
einz distDeableestce orgas	---|---|-----|--|-|-|--|
que ie chan ger aimesbonsdra s	--|-|----⌫---⌫-|--|---|---⌫|
que ma me re mefist l	--|-|--⌫-|-|---||
p orl e sdra sa	-⌫-|-⌫-⌫|---⌫||
cest cheualier	---|--------|
M a grosse chemisedechanure	-⌫|-----|------|-|------|
porla so equi	--|-|--⌫|--|
moutesttanue	---|--|----|
uoldri ezuosqueie	------⌫-|--|--|-|
M acoteleo uaigue ne passe	-⌫|-----|-⌫|----|-|----|
porceluiqui	--|----|--|
na ntanroit	|-⌫|------|
Mauditesoitlagol etote	------|---|-|---⌫|---|
q u ich angera nau ant na prés	-⌫-⌫|--⌫-----||--⌫--||-⌫----|
sesbon s dras	--|---⌫|---|
por a utrui malués	--|-⌫----|------|
Gri efchosee st moutdefolaprandre.	---⌫-|----|-⌫-|---|-|--|--------|
lesarmesneuolt prandr e	--|----|-|---|------⌫|
porproierequ el	--|------|--⌫||
Yonezleschauceslilac e	----|--|------|-|---⌫|
al e ha ubercuestu	|-⌫|--⌫----|----|
tel conquesnusmiaudresnefu	--||-----|--|-------|-|-|
etsor lateste li asiet	-|--|-|----|-|----|
la coiffe qui	-|-----|--|
moutbienlisiet	---|---|-|---|
etd elespeeli	-|-⌫||----|-|
qu e lasche tetpandant lac eig ne.	--⌫|------⌫|-|------|-|-⌫---⌫--|
Puisli metlepiéan l	---|-|--|-|---|-||
s elfet mo ntersor ledestr ier.	-⌫-|--|--⌫---|--|-|-----⌫---|
Einzmesestri é ueü n	---|--|-----⌫-|---||
nedesperon riennesauoit	-||------|---|-|-----|
(365d.1185)	----------|
fors decinglantoude roo rte.	---|-|-------|-|-|---⌫---|
Yonezl es culi	----||--⌫-|-|
etlalan cepuissili	-|-|---⌫-|---|-|-|
E nçois que	-⌫-----|--|
Yonezsa naille	----||-⌫|----|
distli uasle z	---|-|-----⌫|
Amisprenez	---|-----|
mon chaceorsi lanm en ez	--|------|-||-|-⌫--⌫-|
quil es tmout bonseti e l	-|-|--⌫|---|---|-|-⌫-⌫|
uos doi ng	--|---⌫-|
porce queien a n	--|-|--|-||-⌫|
ai mes soing.	-|--|-----|
Etportezsa cope le roi	-|-----|-|---|-|--|
sile saluez	-|-|-----|
et tantdireza la	-|---|----||-|
queQuexferisor la meme le	--|---|---|--|-|----⌫-|
queseiep uis ain zque iemuire	--|-|-|-⌫--|---⌫|--|-|----|
licuiti e mout bienme tr e cuire	-|---|-⌫|---|---|--⌫--⌫|----|
uangiee setandra.	------|-|------|
Et cilrespontqueilrandra	-|--|------|--|-|-----|
au r ois acopeet sonme ssaige	-|-⌫-|-⌫|---|-|--|--⌫-----|
al oidesa ige.	|-⌫-|-|--⌫---|
Atantdepartentsis	----|--------|-||
Anlasale oulibaron	-|-|---|-|-|----|
antreYonezparmila po rt e	----|----|----|-|--⌫--⌫|
quiauroisaco pe	--|-|--|-|--⌫-|
distS ireorfetes ioie	---|-⌫--|-|----|---|
queu ostreco peuosanuoi e	--|-⌫----|--⌫-|--|-----⌫|
uo strech eualiersquicifu.	--⌫---|--⌫-------|--|-|--|
—Delquelcheual ier mediztu	|------|------⌫--|-|--|-|
f et li rois quia nsagrant ire	-⌫-|-|---|--|-⌫|-|----|--|
esto itancor. —Eno n Deusire	----⌫-|-----||---⌫|--|---|
fetY onez deluaslet di	--|-⌫---|--|-----|-|
quiorandroit partideci.	--|--------|----|-|--|
— D iztu doncdel uasletgalois	|-⌫-|-|---|--|-----|-----|
quim e demandafet lirois	--|-⌫|------|--|-|---|
lesarmes desinople taintes	--|----|-|------|------|
au cheualier quih onte s	-|--------|--|-⌫----⌫|
m afetesselon c s onpooir	||----|-----⌫|-⌫-|----|
—Sir edelui	|---⌫|-|--|
digeporuoir.	-|-|--|----|
—Etmacopecoma nt ot	|-|-|---|----⌫-|-|
Ainmele tan touprisecil	----|-|---⌫|-|----|--|
son grérandue	--|---|-----|
—Ençoisli a moutchieruandue	|------|-||---|----|-----|
liuaslezqueillaocis.	-|-----|--|-|||----|
— C omant fuce biaxdolz am is	|-⌫----|-|-|---|---|--⌫-|
—Sire nesai mesiele	|---|-|--|--|-|-|
quelicheualierslefe ri	--|-|---------|-|--⌫-|
(365 e.1 229)	----⌫---⌫---|
de sa lance	-|-|----|
et fi stgrant en u i	-|--⌫-|----|--⌫-⌫|
e t li uaslezreferi lui	-⌫|-|-----|-----|--|
du ni auelot par milachiere	|-⌫|-⌫-----|---⌫-|-|-----|
sique illifi st pa rderrie re	-|--|-|-|--⌫-|--⌫|------⌫-|
lesancet la	-|---|-|-|
cerueleesp an dre	------|---⌫--⌫--|
etl ui parterremo rtestandre.	-|-⌫-|--|----|--⌫-|--------|
Lors distli roisau	---|---|-|---|-|
sen es chal	---⌫--⌫---|
HaKexconmauez h ui fet	-|--|--||---|-⌫-|--|
P aruostre leng uel anuios e	-⌫-|-----|----⌫-||------⌫|
quiauradite	--|---|---|
mai nteoisos e	---⌫--|-----⌫|
mauez hui leuaslet tolu	|---|--|-|-----|---|
c estiormamoutu alu.	-⌫--|--|||---|-⌫---|
Y one zauroi	-⌫---⌫|-|--|
chiefilmandepar m oi	----|-|----|--|-⌫-|
a lapucele lareïne	|-|-----|-|-----|
que K e xferipara hatine	--|-⌫-⌫|---|--|-⌫-----|
parmald eluiet	--|--|-⌫|--|-|
parde spit	--|--⌫---|
quillauangera seil uit	-|-|-|------|-|-|--|
et silan puetueni ran	-||-|-|---|----⌫|-|
Lifeus*qui fu delezle feu	-|----|--|-|----|-|--|
otl a parole e tsaut an	-|-⌫|-----|-⌫|---|-|
etuientdeuantleroiiriez	-|----|-----|-|--|----|
satel ioiequiltripeets aut	||--|---|-|-|----|-|-⌫--|
etditD anz roisseDe x	-|--|-⌫--|---|-|--⌫|
or aprochent u oz auanture s.	-|--------|-⌫-|--------⌫-|
De f ele nesseset de dures	-|-⌫---⌫-----|-|-|----|
an uerro iz auenirsouan t	-|-----⌫-|-----|-----⌫|
etsiuosme t b ie nan c ouan t	-|-|--|--⌫|-⌫--⌫|-|-⌫----⌫|
queKex pu et estretozcerta ins	--|--|--⌫-|----|--|-----⌫--|
qui l maruits espiez et ses	-|-⌫|--|--|-⌫-|---|-|--|
et salengue	-|-|-----|
foleet uilainne	---|-|-------|
que ainzquepastune semainne	--|---|--|---|--|-------|
aurali cheuali ers	---|-|-------⌫--|
le cop quilmed onadel pié	-|--|-|-|-|-⌫--|--|---|
etlabuf eert	-|-|---⌫|--|
moutchier ua ndue	---|----|--⌫---|
et bienconpare eet randue	-|---|-------⌫|-|-----|
queil dona a	--|-|---||
que antrelecoletleissele	--|----|-|--|-||------|
de str elibri sera	--⌫---⌫|-|---⌫---|
.i .demianleportera	--⌫|---|-|-|------|
aucolpandu et bien	-|--|----|-|---|
Nip uetfailli rplusqualamort.	||-⌫--|------⌫|---|-||-|----|
Celeparoletant	---|-----|---|
Quepar. i.poquil	--|----⌫-|-|-|-|
(365f.1273)	----------|
demautalan te tde corroz	-|--------⌫|-⌫|-|-----|
ne laladeuant	-||--|-----|
tel conreerquemo rt le ü st.	--|------|--|--⌫-||-⌫--⌫--|
roi por ce desp leüz*	--|--|-|----⌫-----|
lessaqueil ne l anu aï.	----|--|-|-||---⌫---|
distHaïhaï	---|---|---|
Kexcon mauez	--|--||---|
huicorre cié	--|-----⌫---|
Quiasenée tadrecié	--|-----|-⌫|-------|
leua sletdes armes e üst	-|--⌫---|--|----|-⌫---|
poaidier s an	-|-----||-|
escu et delalance	---|-|-|-|----|
bo nsch eual iersfust sanzdot a n ce .	--⌫-|--⌫----⌫---|---|---|---⌫-⌫-⌫--⌫|
