formElnondelperee t	---|-|--|--|---|-⌫|
pa zpor lafinitétant	--⌫|--||-------|---|
solementà	-------|-|
prendrelaà fam eme spa rconmundroi tpar	------|-|-|---⌫|--⌫|--⌫|-----|----⌫|--|
de ueé qu e ilele nesoient soite ns amblefame	--⌫---|--⌫|-|--|-|-----|---|-⌫--⌫----|---|
h ome z et	-⌫---⌫|-|
seelee stancoret a	-|--|-⌫-|-----|-⌫|
estce sesaf ille	--|-|-|-|-⌫---|
tafamelimariage sestempaiechiésporc eq uetu	-|---|-|-------⌫|--|-----------|--|-⌫|-⌫-|-|
ne puez p a z auoir.i i.	-|---|-⌫-⌫|----|--⌫-|
fa mezensam ble .	--⌫--|-----⌫--||
Lifilzqu e li	-|---|--⌫|-|
marisadautrefameet la	----|||----|---|-|-|
fill equelafame	----⌫|--|-|---|
ada utremarise puent	||-⌫---|---|-|----|
bi enasambl erparmariage iasoitcequeilaient	--⌫-|------⌫-|--|------|-|---|-|--|-|----|
enf antdeleurmariagequ i soitfrere à	---⌫--|-|---|------|--⌫|---|----|-|
l unetal autre.	|-|-|||----||
Se ta f amesedepar tide	-|-|-⌫--|-|-----⌫-|-|
toi et ele aunefille dunautre	--|-|--||--|----||-|----|
mariqueele apuispriscelefi llenest	---|--|--||---|---|---|--⌫--||--|
p azta fillastrem aisIuliensditq ue	-⌫-|-|--------|-⌫--|------|--|-⌫-|
doita tenir detelmariage	---|-⌫----|-|--|------|
carlespouseea ̀monfilne st	--||-------|-⌫|--|--||-⌫-|
pasmabru s	--|-|---⌫|
nelesp ousea ̀monperenestpas	-||---⌫---|-⌫|--|---||--|--|
ma ma rastre	-|--⌫-----|
neporq uan t lefera iàd roit	-|----⌫---⌫|-|----⌫|-|-⌫---|
se ieme tai ng	-|-|-|---⌫-|
de leurmar iag e.	-|---|---⌫---⌫||
Il e s t certaine chose	-|-⌫-⌫|-------|----|
queliseruage deslinag es	--|-|------|--|-----⌫-|
empeeschen tmar i ages s e li peres o u la filleouli	----------⌫|---⌫-⌫---|-⌫|-|----|-⌫|-|----|-|-|
lase reuront pa r au ent ureest éfranchi	-|--⌫---|--|--⌫|--⌫---⌫--|---⌫-|------|
autre spersonezàquiil	-----⌫|-------|-|--|-|
est deu eé por d iuersesraisonzqueeles	--|---⌫--|--|-⌫------|------|--|---|
nes emarient	-|-⌫|------|
qu enozau on z otroiéqu e	--⌫|--|--⌫--⌫|------|--⌫|
soientnombreese sli ures	-----|-------|-⌫|--⌫---|
dez Digestesquif urentco nquilliézdelancien	--|-------|--|-⌫----|--⌫---------|-||-----|
Seau c unsas am blentcon tr elez choses	-|--⌫-⌫-||--⌫--⌫----|---⌫--⌫|--|-----|
auonzditeslonnat entententpas	----|----||-||--⌫--|-----|--|
queilai en t	--|-|--⌫--⌫|
iait m arinefamenenoces nemariagene	|--|-⌫--|-|---|-|----|-|------|-|
d oairecilqu inessentdoncde celeassamble e	-⌫----|--|--⌫|------|---|-|---|--------⌫|
pasenlapoestéleurpere mez	--|-|-|------|---|---|--|
autretelentantco milapartienent apartientàla	-------|-|---|--⌫|-|----------|--------|-|-|
poestéaupereconmeci l quisuntque lamere	------|-|---|----|--⌫|--|---|--|-|---|
conçut deporchazcaronentent	------|-|------|--|-|-----|
quei laient	--|-⌫|----|
poi ntdepe r epor ce	---⌫-|-|--⌫-⌫|--|-|
que ilne st pazcerta ine chosequi	--|-||-⌫-|--|-----⌫--|----|--|
est leur pereset	--|---|----|-|
p orce suelentsifi lestre	-⌫-|-|------|-|--⌫|----|
apelé basta rt	-----|-----⌫-|
ouautr esicomenfantsa nz	-|----⌫--|--|-----|--⌫-|
ensie utdon tque qu antt eleasamble e sera departie	-----⌫-|---⌫|--|--⌫--|-⌫--|-------⌫|---|-------|
puise de mande r arrier eneledoaire ne	----|--⌫-----⌫|------⌫|-|-|-----|-|
ledo n pornoce s	-|--⌫|--|----⌫|
Etcilq u isasamblentp arma riagequi	-|--|-⌫-⌫||--------|-⌫-|--⌫----|--|
suntdesue é	---|-----⌫-|
doiuentsos fri rautres	------|---⌫---⌫|-----|
p ainnesqu isuntc ontenuez	-⌫-----|--⌫|---|-⌫-------|
essainzestablissem ens .	-|----|-----------⌫--||
Ilauient au cunefois	-|-----|--⌫---|---|
qu el ienfantquine suntpa s	--⌫|-⌫|-----|--|-|---|--⌫|
e nlapoestéle ur	-⌫|-|------|--⌫-|
peremaintenant	---|---------|
queil suntnéil suntaprésramené	--|-|---|--|-|---|-----|------|
S i conmecilquie st fi lz	-⌫|----|--|--|-⌫-|--⌫-|
nature lze tpuis	------⌫-|-⌫|---|
est mi s àser uir enlacortlempe reoret	--|--⌫|-|---⌫--|-|-|---||----⌫---|-|
est sozmis àlapoesté son pere	--|-----|-|-|------|--|---|
Etc i lquiestnésde fra nchefamede	-|-⌫-⌫|--|--|---|-|---⌫---|---|-|
q ui limariag e z	-⌫-|-|------⌫-⌫|
ne st pasd eueésesloi smezliperes	|-⌫-|--|-⌫-----|-|---⌫|--|-|----|
auoita c ostuméàaconpai gnierà lui etpuis furent	----|-⌫-⌫------|-|-------⌫----|-|--|-|---|-----|
liinstrumentde	-|---------|-|
doairefetparnostreestablissementcilfi lz estenla	-----|--|--|-----|-------------|--|--⌫-|--|-|-|
poest és onpere.	-----⌫-|-⌫-|---||
Et ce seautreenfantsun tné de	-|-|-|----|-----|---⌫|--|-|
celmeesmezmariag e no st re	--|------|------⌫|--⌫--⌫-|
establisemenzlor do nece me esmez	------------|--|--⌫-|-|--⌫----|
Cist tit reses tdesfilzadoptis.	---|---⌫--|--⌫|--|---|------||
N on pastantsolement lienfant naturels unten	-⌫-|--|---|-------|-|-----|------|-⌫--|-|
nostre p oes té selon cceq ue	-----|-⌫---⌫--|-----⌫|-|-⌫-|
nos auonzditmezcilqui qu e noz	--|----|--|--|--|--|--⌫|--|
faisonznoz filzpar	------|--|---|--|
adopti on .	------⌫-||
A doptionzest	-⌫-------|--|
feteen.ii.	---|-|---|
maniere sou parlai trez	-------⌫|-|--|---⌫---|
au princeouparle com mandementasmaist res	-|-----|-|--|-|---⌫--------|-|-----⌫--|
Aucunz puet auoer pa rl a utor ité	-----|---|----|--⌫||-⌫----⌫---|
lempere urcel zou celez	|------⌫-|---⌫|-|----|
quisunt leurdro iturezceest qui sunthorsd	--|---|---|---⌫-----|-|--|--|---|---||
autruipoe ste ́et ceste maniereda doptiones t a pelee	-----|---⌫---⌫|-|----|------||-⌫------|--⌫|-⌫----|
arro gati on.	----⌫----⌫-||
Etnoz auoonsparleconmandementas mestrez c elz ou	-|--|-----|--|-|-----------|-|------|-⌫--|-|
celesquisuntenlapoesté	----|--|---|-|-|------|
leurpe res enqueldegré que il	---|--⌫--|-|---|-----|--|-|
soientoue l premiersiconmefilet	-----|-|-⌫|------|-|----|--|-|
fi llez ouen secontsi c onmeni éz etn iesce	--⌫---|-|-|-----|-|-⌫---|--⌫--|-|-⌫----|
oue ltierssico nm eli enf ant	-|-⌫|----|-|--⌫--⌫|-|---⌫--|
ou à laniece.	-|-|-|----||
Mesiles torandro itainsi queparnos tre esta blisementque	--|-|--⌫|-------⌫-|----|--|--|---⌫--|----⌫--------|--|
quant liperesnaturésdonesonf ilquiest	----|-|----|-------|---|--|-⌫-|--|--|
enson ba ilàestrang eperson eparadoption les	-|--|--⌫-|-|-------⌫|------⌫|--|-------|--|
dr oiturez delap oestéauperenaturelne	--⌫------|-|-|-⌫-----|-|---|------|-|
f aille ntpasporcene	-⌫-----⌫-|--|--|-|-|
nulec hos e queilait	---|-⌫---⌫|--|-|--|
ne uien t aupere	-|----⌫|-|---|
ado pti fneilnestpasen sa	---⌫---⌫|-|-||--|--|-|-|
po estéia	--⌫----|-|
soitce q uenoz	---|-|-⌫-|--|
liaionsdonnéladroi ture	-|----|-----|-|----⌫---|
dauoir s onherita geseil	|----|-⌫-|------⌫-|-|-|
mu ertsanzfairetestament.	--⌫--|---|----|--------||
Etse li peresnatureld on nesonfilenado ption	-|-|-|----|------|-⌫--⌫-|--|--|-|---⌫----|
nonpasa ̀e strange	--|--|-⌫|-⌫------|
home mais à laiea ufilde	---|---|-||--|-⌫|--|-|
parsa mereo useli	--|-|---|-⌫|-|-|
per esnature lesthorsdebai lletildonne son	---⌫-|------⌫|--|---|-|---⌫-|-|-|----|--|
d e parso npereouill idone	-⌫|--|--⌫|---|-|-|-⌫|---|
aubesaieldep arsonpereoudeparsa	-|------|-|-⌫-|--|---|-|-|--|-|
mere encestcazs ase mblerentasambl entenun epe rsone	---|-|---|--||---⌫-------|------⌫--|-|--⌫|--⌫----|
lesdroiturelz naturelze t	--|---------|-------|-⌫|
celez etcelezdadopti onetla	----|-|----||------⌫-|-|-|
droiture aupereadoptifest	-------|-|---|------|--|
esta bl e et	----⌫--⌫|-|
coupleeparnaturelli en et	------|--|------|--⌫-|-|
estrai ntep arloialma niered	------⌫--|-⌫-|----|--⌫----||
adoptionsi que	-------|-|--|
il soitenla	-|---|-|-|
mainsnieete nlapo estéà	-------|-|-⌫|-|--⌫----|-|
Etq uant.i.	-|-⌫---|--|
enfesquiestdedensaage est	----|--|--|-----|---|--|
auoe ́zparla i treslemper eurliauoement	----⌫-|--|--⌫-⌫---||-----⌫--|-|-------|
estotroiézquant	--|-------|----|
lacauseestconneu e et l en aquiertenq uiert	-|----|--|------⌫|-||-|------|---⌫----|
selacauseesthonesteet se ceest	-|-|----|--|------|-|-|-|--|
lipre uzà	-|---⌫-|-|
lor felin.	|--⌫----||
Etliauoeme nssoit	-|-|------⌫-|---|
fezenunecond ict io nz	--|-|--|----⌫---⌫--⌫-|
q ui auoe l orfelindoi n t causionà	-⌫-|---||------|---⌫-⌫|------|-|
aucunec onmune pers oneceestà.i.	-----|-⌫-----|----⌫--|-|--|-|--|
notaireque se li	------|--|-|-|
orfelinzmu e rtain squeilso iten	-------|--⌫-⌫-|---⌫|--|-|--⌫-|-|
eage ilrenderatoz ses bie ns à celzqui	---|-|------|--|--|---⌫-|-|---|--|
fuss en tsioirsel i au oemenzn eus testé	----⌫--⌫|-|--|-|-⌫|--⌫-----||---⌫|----|
Etcilqui l ez auoesn el espuet	-|--|--|-⌫-|----|-⌫|-⌫-|---|
pas metre horsde sonbaillse il	--|----|---|-|--|----|-|-|
nesu nt digne d estre	-|--⌫-|----||----|
mizhorsdebaillq uant lacause seraconn eue	--|---|-|----|-⌫---|-|----|---|----⌫--|
etlor slo rrandeiltozles bienz	-|---⌫|--⌫|----|-|--|--|----|
Mes secilperessemuert	--|-|--|----|-|----|
et ilmethorsdesonhi r etage	-|-|--|---|-|--|--⌫-⌫----|
l e f il q ueil a auoé ouil	-⌫|-⌫-|-⌫-|-||----|-|-|
lemetensauiehorsdesonba il	-|--|-|-|--|---|-|--|--⌫-|
s anz dro it e caus ei l	-⌫--|---⌫--⌫|----⌫|-⌫|
conmandéq ueil li	--------|-⌫-|-|-|
laistlaquart e partiede	----|-|-----⌫|-----|-|
ses bi ens pa r desuzle sbienzque	--|--⌫--|--⌫|----|--⌫|----|--|
ilaportaàso npere	-|-----|-|--⌫|---|
a doptiset	-⌫-----|-|
ila puizaquis.	-||---|----||
I l nen oz ple st pas que	-⌫|-|-⌫-|---⌫-|--|--|
lip luz iones puisse	-|-⌫--|----|-----|
auoirle pluzui elquar	----|-|---|--⌫-|---|
adoptio nsansieu tna tureetceseroit	-------⌫-|------⌫|--⌫---|-|-|-----|
meruei llezàoïrq uel if ilzfustplu zuielz q ue	------⌫---|-|---|-⌫-|-⌫|-⌫--|---|---⌫|----|-⌫-|
Cilquif etdontson	--|--|-⌫-|---|--|
au cunparad optionoupar au oem en tdoitestr e.xuiii.	--⌫--|--|--⌫-----|-|--|--⌫---⌫--⌫|---|----⌫|------|
anzp luzuielzde lui	--|-⌫--|----|-|--|
Illistà aucu nauoé a u oe r.i.	-|---|-|----⌫|----|-⌫-⌫--⌫|--|
autreen liu deneuouou	----|-|--|-|----|-|
i lnai tpoint defil.	-⌫||--⌫|----|-|--||
puetauoir auo er autruifile l	---|----|---⌫-|-----|--|-⌫|
lieu desonneueu	---|-|--|----|
e t autr ui neueuen	-⌫|----⌫-|----|-|
lieu de sonfil.	---|-|--|--||
Mai z sea ucuns	---⌫|-|-⌫----|
enfantenlieu deneu eu	-----|-|---|-|---⌫-|
autresi conmeseilfustde	------|----|-|-|---|-|
son filauoe ́ que ilaensapoesté ou	--|--|----⌫|--|-||-|-|------|-|
naturel quiest a nsonb a ili lconuient encest	------|--|--|-⌫|--|-⌫-⌫-|-⌫|-------|-|---|
lif ilzasente	-|-⌫--|-----|
Enpluso rsc asest cil quiesta u oézsa n blablez	-|-----⌫-|-⌫-|--|--|--|--|-⌫-⌫---|--⌫-⌫------|
àcel uiqui estnezd eloialmari ageetp or	-|---⌫-|--|--|--|-⌫|----|----⌫--|-|-⌫-|
ceseaucunsaa uo é. i.	-|-|-----||-⌫--⌫-|-⌫-|
estrange parlem per eorou pardeua ntlepreuost ou	-------|--||--⌫---⌫--|-|--|----⌫-|-|------|-|
pardeuantlegou erneur de lacontreeil	--|-----|-|---⌫-----|-|-|------|-|
pe u td o ner	--⌫-⌫|-⌫-⌫--|
c e lui meismez enad option.	-⌫-⌫--|------|-|--⌫-----||
Mai sceste chose	---⌫|----|----|
es t conmu n e	--⌫|-----⌫-⌫|
l autre adopt ionquecilqui ne	|----|-----⌫--|--|--|--|-|
puetengendrerenfanzpar na turelespue t	---|--------|-----|--|--⌫---|--|---⌫|
bien auoermezcil	---|----|--|--|
qui sunt ch astré neles puent au oer	--|---|--⌫-----|-|--|----|--⌫--|
F a mez nepu entpasauoir filz	-⌫-⌫--|-|--⌫--|--|----|---|
adoptiscar	------|--|
ele n o ntp as	--||-⌫-|-⌫-|
enlor poestézlorfilznaturésm ez el ezpuen t	-|--|-------|--|---|-------|-⌫-|--⌫-|----⌫|
bienauoerpar l indulgenc eau	---|----|--||---------⌫|-|
prince por auoirconf orsde lor enfanz	-----|--|----|----⌫--|-|--|-----|
qu eelezont	--⌫|---|--|
Etc e estpropre	-|-⌫|--|-----|
cho seàladoptionquiest	---⌫-|-||-------|--|--|
faite parlempereorque secilq uia enfanz	----|--||-------|--|-|--|-⌫-||-----|
ensa poest é	-|-|-----⌫-|
s edoneàestre f iz	-⌫|---|-|----|-⌫-|
adoptisilseuz	------|-|---|
n e s tpazsozmisàlap oesté	|-⌫-⌫|--|-----|-|-|-⌫-----|
àcel uiqui	-|---⌫-|--|
laauoémaizt uit	||----|---|-⌫--|
l i enf a nt queila ensap oestéautresiconme	-⌫|---⌫-⌫-|--|-||-|-|-⌫-----|------|----|
se ilfussentneuou adoptif	-|-|------|----|------|
Etai nsi au oali s ains	-|--⌫--|--⌫-|-|-⌫---|
e mpereresA ugustu s Tybe re ainzqueileust	-⌫-------|-⌫------⌫|----⌫-|---|--|-|---|
auoéGerma nieGermani cusetquant l	----|-----⌫--|-------⌫--|-|----||
adoptionsfu parfaiteGerman icus me zestreadoptif	--------|-|-------|------⌫---|--⌫|----|------|
àlempereor .	-||-------||
Liancienracontentq ueil tr ouaren tescrit	-|-----|--------|-⌫-|-|--⌫------⌫|-----|
es liuresCat onqueselisiresfetde	-|-----|---⌫-|--|-|-|----|--|-|
sess ers ses filz	--|-⌫--|--|---|
adoptifilpue nt estrefr anchi	------|-|---⌫-|----|--⌫----|
parceetp arc efumesno zense ignié et c onma nd anmez	--|-|-|-⌫-|-⌫|----|--⌫|----⌫-----|-|-⌫----⌫--⌫----|
ennos treesta blisementque lisers	-|---⌫--|----⌫--------|--|-|---|
quesezs iresapelason filenses	--|--|-⌫---|----|--|--|-|--|
escri ssoi t	-----⌫|---⌫|
franzpa rceia	----|--⌫|-|-|
quece nelisosfisepasà r eceuoirla	--|-|-|-|------|--|-|-⌫------|-|
droitu rede fil.	------⌫-|-|--||
Cisttitreses t demaitreh ors deba ill.	---|-----|--⌫|-|-----|-⌫--|-|--⌫--||
u oionzoreenq ue lmanierecilqui	-⌫----|--|-|-⌫--⌫|------|--|--|
sun tso zmisàautrui droiture	---⌫|--⌫---|-|-----|-------|
su ntdeliuré	--⌫-|-------|
d r oiture .	-⌫-⌫-----||
Etnozpoon sent endr econment li	-|--|----⌫|---⌫----⌫|------|-|
se rssuntdeliuré	--⌫-|---|-------|
de la poestéa u	-|-|------|-⌫|
leurse igneur	---|--⌫-----|
noz auonz dit auant decelzquisuntfranchimes	--|----|--|----|-|---|--|---|------|--|
cilquisunt en	--|--|---|-|
la poest éleu rperes untdel eurdroiture	-|-----⌫-|---⌫|---|-⌫--|-|-⌫--|-------|
quantliperes est mor s .	----|-|----|--|---⌫||
Mes ilpuetciauo ir di stinctionqua r	--|-|---|-|---⌫-|--⌫--------|---⌫|
quantliperesestmorsli filetlezfi llez	----|-|----|--|---|-|--|-|--|--⌫---|
quiestoientensapoesté sunt	--|-------|-|-|------|---|
entotezmeni eresdelor	-|----|----⌫---|-|--|
droiturezmesquantli aielzes t m orslineueu	--------|--|----|-|----|--⌫|-⌫--|-|----|
etleznicesqui estoient en	-|--|----|--|-------|-|
sapoesté nesun tpazen to utez	-|------|-|---⌫|--|-|--⌫---|
menierezde	-------|-|
le urdroiturezs eainsizest q u	--⌫-|--------|-⌫|-----|--|-⌫|
il ch ie ntenlapoest éle u r pe r eap réz	-|--⌫--⌫-|-|-|-----⌫-|--⌫-⌫|--⌫-⌫|--⌫---|
l amortlor aie l.	-⌫|---|--|---⌫||
Quarse leuraiel muertetlorpe r e s	---|-|---|---|----|-|--|--⌫-⌫-⌫|
r emaint enuiequi estoit enlapoesté	-⌫-----|-|--|--|-----|-|-|------|
au si en p ere	-|--⌫-|-⌫--|
ils unt en lapoestélor pere a p r é zlamort	-|-⌫--|-|-|------|--|---|-⌫-⌫-⌫--⌫|-|---|
Mezsel orperesmor u tainzque	--|-|-⌫-|----|---⌫-⌫|---|--|
lo r a iel	--⌫|-⌫--|
oui lissitd e	-|-⌫|----|-⌫|
lapoestéausienpereai nsquei l	-|------|-|---|---|--⌫-|--|-⌫|
morust cil qui ne	-----|--|--|-|
p o rrentlorsch aïrensa pouertépo e sté	-⌫-⌫----|---|--⌫---|-|-|-------|--⌫-⌫---|
leur d roit u re	---|-⌫----⌫-⌫-|
Quantcilqui esten uoiéz	----|--|--|--|--⌫-----|
enessilporau cun me sfet pert laci té	-|----|--|--⌫--|--⌫---|---|-|--⌫--|
de Romeil s ensiut	-|---|-||-----|
e nfant sun t deliuré delapoe sté à	-⌫----|---⌫|-------|-|-|---⌫---|-|
celuiqui encesteme nier e	----|--|-|----|--⌫----⌫|
es t ost és	--⌫|---⌫--|
a s citea inzdeRomeautresi	-⌫|-----⌫--|-|---|------|
comseilfustmors	--|-|-|---|---|
Etpa rautretelrais on se cilquiestoi t	-|--⌫|-------|----⌫-|-|--|--|-----⌫|
enla poest é	-|-|-----⌫-|
s onpe remesse	-⌫-|--⌫-|--|-|
il est rapele ́sparlind ulgenceau pr ince	-|--|------⌫-|--||---⌫------|-|--⌫---|
il reçoit en touteschoses l ancienestat	-|------|-|-----|-----||-----|----|
Etliperequi sunt enuoié	-|-|---|--|---|------|
eness iliusqu	-|---⌫-|----|
à certainter me	-|------|---⌫-|
re tienent lorenfanz et enlorpoest éetencontre	--⌫------|--|-----|-|-|--|-----⌫-|-|-------|
ce lienfant quisu nt	-|-|-----|--|--⌫-|
enuoié en essiliusquà termeremainne nt en	------|-|----|----|-|----|--------⌫-|-|
la poestéleur peres.	-|------|---|----||
Cil qu i est féssersà	--|--⌫|--|---|---|-|
tormentlaisesezfilz à	------|----|--|---|-|
auoirensapoes te ́ .	----|-|-|----⌫--⌫||
Cils untfetserfà	--|-⌫--|--|---|-|
t or mentqui suntdampné	-⌫--⌫---|--|---|------|
à painede porte rmetal	-|----|-|-----⌫|----|
s ico nmecilquion fetmantel de plon c	-⌫|--⌫--|--|--|-|--|-----|-|----⌫|
qui suntsozmis	--|---|-----|
asbeste z .	-|-----⌫||
bailsonperede uie ntcheu aliers o uile stfaiz senateurs	---|--|---|--⌫---⌫-|----⌫-----|-⌫|-|-⌫-|---|--------|
ouconsillier s ilremaingneen l apoestéson pere	-|----------⌫|-|--------|-|-⌫|------|--|---|
qua rcheualerie	---⌫|---------|
nedignitésdeconsilli ernedeliure pas	-|--------|-|--------⌫-|-|------|--|
so n fild ela po esté s on	--⌫|--|-⌫|-|--⌫----|-⌫-|
peremais la souerainne dignitézacelz quisu nt autresi	---|---|-|---------|--------||---|--|--⌫-|------|
conm ep erelempereo rdeliureparnost r ee st ablisem en t	----⌫|-⌫--||-------⌫|------|--|----⌫-⌫|-⌫--⌫-------⌫--⌫|
lefildelapoestés o np e redéz	-|--|-|-|------|-⌫-⌫|-⌫-⌫-|---|
queliempere res	--|-|------⌫--|
li abail li ézlez	-||----⌫--⌫--|--|
e s crisdec ele dignite ́.	-⌫-⌫---|-|-⌫--|-------⌫||
Quarquisozfer r oit	---|--|------⌫-⌫--|
queliperes peu st	--|-|----|---⌫-|
relai chier son	-----⌫----|--|
deslaz desapoesté	--|--|-|-|------|
par men iere dem etre lehorsdeson	--|---⌫---|-|-⌫---|-|---|-|--|
bailet l ahautescelempereor nepeust	---|-|-⌫|-------||-------|-|----|
pasoster dautruipoestéc eluique	--|----||-----|------|-⌫---|--|
el ea esleu conme	--⌫||----|----|
Seliperesest	-|-|----|--|
p ris etmene ́zenchaitiuison ziasoi tce	-⌫--|-|----⌫-|-|-----------⌫|-|---⌫|-|
sezennemisneporquantla	--|------|-|-------|-|
droit uredesenf anz	-----⌫--|--|---⌫--|
estes crulé porce	--|--⌫-----|----|
nepuetauenirqueliperez	-|---|-----|--|-|----|
r euendrade lachaitiuiso n.	-⌫------|-|-|----------⌫||
Qua rseci lquisunt	---⌫|-|--⌫|--|---|
prisreuien entarriereilon ttou tez	---|------⌫--|------|-|--⌫|---⌫--|
lo ranc ie nnezdroiturez etporce	--⌫|---⌫--⌫---|--------|-|--|-|
lipe resr euient i laurasesen fanzen sapoes té	-|--⌫--|-⌫-----|-⌫|---|--|--⌫---|-|-|----⌫--|
autresi coms	------|--||
onque sestéhors	-----⌫|----|---|
delacité .	-|-|----||
Mais se li peres muertenla cha itiui so nil	---|-|-|----|----|-|-|---⌫-----⌫--⌫|-|
apert qu elifilz fudesa	----|--⌫|-|---|-|-|-|
droitu redésqueliperes fupris.	------⌫-|---|--|-|----|-|---||
Etselifilzou liniézestpris	-|-|-|---|-|-|----|--|---|
etmenéz enchaitiuisonnozdisonzaut resi que	-|-----|-|----------|--|-----|---⌫---|--|
lad roiturede la poestéau per eest	-|-⌫------|-|-|------|-|---⌫|--|
e ncrulépor	-⌫------|--|
ceque ilpuet	-|--|-|---|
auen irque il reuandrontreuendradelachaitiu ison etnoz	----⌫-|--|-|---------|-------|-|-|-------⌫---|-|--|
d isonzque cil reu ientde	-⌫----|--|--|---⌫---|-|
chaitiuisonquientred edenzlezbonnezdenostre	----------|--|----|-⌫----|--|-----|-|-----|
empireq ui sunt autre si	-----|-⌫-|---|-----⌫-|
seloncle z ancienz conme	-----|--⌫|------|----|
lantre e de	|-----⌫|-|
sama ison.	-|--⌫---||
Quantaucu nza esté pri s et si	----|----⌫-||----|---⌫|-|-|
annemi suntuaincu et il estrecou uréz	-----|---|-----|-|-|--|-----⌫----|
lond itquei lest uenu zreuenuz	|-|-⌫-|--|-⌫|--|----⌫|------|
dech aitiuisonz .	-|--⌫---------||
Ens or qu etot l ienfantlaissentà	-|-⌫-|--⌫|--|-⌫|-----|-------|-|
lapoesté douleurperequan ti l les	-|------|--|---|---|----⌫|-⌫|--|
maitenthorsdeleurs baill.	------|---|-|----|----||
Maiz illesmetoiententelmeniere hors	---|-|--|-------|-|--|------|---|
sel oncl an cieneform ed ezlois que il	---⌫--||--⌫----|----⌫|-⌫-|---|--|-|
faisoientsamb lantde u e ndrelese t	--------|----⌫---|-|-⌫-⌫---|--|-⌫|
defranch irlez	-|------⌫-|--|
ouil a tend oient queilen	-|-|-⌫----⌫----|--|-|-|
auoientlezla itr ezlempereur.	------|--|--⌫---⌫-||-------||
Mez nostrep oru e ance	--|-----|-⌫---⌫-⌫---|
re f ormace	--⌫-⌫---|-|
enmielzparnostree stablis ementsiqu etozli	-|----|--|-----|-⌫-------⌫----|-|--⌫|--|-|
a ncienze ns eignemenssoitostéz etli	-⌫-----|-⌫--⌫--------|---|-----|-|-|
pereaillentparde uantlesi ugezou par deuant	---|------|--|--⌫---|--|-⌫---|-|--|-----|
lezbaillizde quiiuridicionil	--|------|-|--|---------|-|
sunt etmeten t	---|-|-----⌫|
hors delormains lorfi lzoulorf il lezou	---|-|--|----|--|--⌫-|-|--|-⌫--⌫--|-|
lorneueuz oulorni es ce s	--|-----|-|--|--⌫--⌫--⌫|
amis h ors de	|--|-⌫--|-|
sonbaillconmelipaitrons ae s bien z	--|----|----|-|-------||-⌫|----⌫|
à cel uique il afran chi	-|---⌫-|--|-||----⌫--|
E tse li f ilz ou	-⌫|-|-|-⌫--|-|
lafille suntded enz aag equ ant li	-|----|---|---⌫--|---⌫|--⌫--|-|
peres le smet	----|--⌫|--|
horsde sonbailli l co uientqueilles	---|-|--|----|-⌫|--⌫----|--|-|--|
preignee ngar d e .	------|-⌫|---⌫-⌫||
N ozdeuons estre amonesté quecilqu iaso nfil	-⌫-|-----|----|--------|--|--|--⌫||--⌫|--|
en sa poestéou .i.	-|-|------|-|--|
uneniecedecel fil il aaitfranc hepoesté	--|----|-|--|--|-||--|-----⌫-|------|
de m etrelefilhors	-|-⌫---|-|--|---|
de son baill etd e r eteniren samai nle	-|--|----|-|-⌫|-⌫-----|-|-|---⌫|-|
neueu oula nieceouderet enirle	----|-|-|----|-|-|---⌫---|-|
filensapoes téetdemetrehors	--|-|-|----⌫--|-|-|----|---|
desonbai ll leneueuou	-|--|---⌫-|-|----|-|
la nieceoude me trelestoz ensamble	-|----|-|-|--⌫--|--|--|-------|
hor sde sonbai l	---⌫|-|--|---⌫|
Etcemeism esdoit estreentendu	-|-|-----⌫-|---|----|------|
de senf anz auneuououà	--⌫|---⌫--|-|----|-|-|
la ni ece.	-|--⌫--||
Etsel iperesdon neenadopt ion	-|-|-⌫|----|---⌫-|-|-----⌫--|
sonfilqueila en sapoeste ́àson	--|--|--|-||-|-|------⌫|-|--|
aiel o u àsonbesai elnaturelse loncno s	---|-⌫|-|--|-----⌫-|------|--⌫---|--⌫|
establ isemenz q ue nozauon zfet	------⌫------|-⌫-|--|----⌫|--|
il esclaireceencort p ar deuant auenantiugesi	-|-------|-|-|---|-⌫-|-----|------|---|-|
quecil quiest d onnéz	--|--|--|--|-⌫-----|
enadoption estpresenzet	-|-------|--|------|-|
n ele cont re dit p azet cil q ui	-⌫|-|----⌫--⌫--|-⌫-|-|--|-⌫-|
lereçoit autresil a droitureauper e	-|------|------|-⌫|-------|-|---⌫|
naturelfaut etil uient	------|---|-|-|----|
en lapoestéau	-|-|------|-|
pereadoptif enquipers onneno z	---|------|-|--|----⌫---|--⌫|
auonz auan t ditque	----|----⌫|--|--|
ladop tio nsest	|----⌫---⌫-|--|
prem iere pleniere.	----⌫---|-------||
Il conu ientsauoir	-|----⌫---|-----|
queseta bruza.i.	--|-|-|---||--|
en fant deton file ttumes	--⌫---|-|--|--|-⌫|-|--|
tonfilhors de tonbaillou	--|--|---|-|--|----|-|
enadoption	-|-------|
tantcomm e tabruzes t	---|----⌫|-|---|--⌫|
g rosseporcene	-⌫----|--|-|-|
re mandrapazqueli enfezquina ist rade line	--⌫-----|--|--|-|----|--|--⌫---⌫-|-|-|-|
soi ten tapo estémaizselien f ese s t	---⌫|-|-|--⌫----|---|-|-|--⌫-⌫-|-⌫-⌫|
