#META# Text URI Cliges	-----|----⌫--|-----|
#META#DEAFno data	-----|---|--⌫---|
#ME TA # TL	---⌫--⌫|-|
#ME TA#FEW	---⌫--|--|
#META#A RLIMAhttps/ /www .arlima.net/ad/ chretien_de_troyes.html#cli	-----|-⌫----|------⌫----⌫---------------⌫--------------------------|
#META# Autho rC h rétiend eTroyes	-----|-----⌫|-⌫-⌫------|-⌫|-----|
#META #Autho rBorn	-----⌫|-----⌫----|
#M ETA#AuthorBornAmb	--⌫---|------------|
#MET A#Aut horDied	----⌫-|---⌫------|
#META#Autho rD iedA mb	-----|-----⌫--⌫----⌫-|
#MET A#A uthorFl1	----⌫-|-⌫-------|
#ME T A#AuthorFl2	---⌫-⌫-|--------|
#META #Tex tTitleCli gès	-----⌫|---⌫-----|---⌫---|
#META# TextSub t itle	-----|-------⌫-⌫---|
#M ETA# Textuo ls	--⌫---|------⌫-|
#META#TextSub iromance	-----|-------⌫|------|
#META#TextDom	-----|------|
#META#Translation	-----|----------|
#M ETA#Collection	--⌫---|---------|
#META#Collect i onNo	-----|-------⌫-⌫---|
# ME TA#TextDescA RL uer soctosyllabiquesa ̀	-⌫--⌫--|---------⌫-|---⌫|--------------|-⌫|
Sesanuaïre nt	--|--------⌫-|
etreq uistrent	-|---⌫-------|
Si quamo rt.xxi.	-|-||--⌫-|----|
an mi stre nt	-|--⌫----⌫-|
En ç ois quedesfiez les aien t.	--⌫--⌫--|--|------|--|----⌫-|
Litraïtor m outs anesmaient	-|-------|-⌫--||-|-------|
Si ses crïent	-||--⌫------|
Tr a ï traï	--⌫-⌫-|----|
ne son tpas esbahi	-|---⌫|--|-----|
Car t a nt con	--|-⌫-⌫-|--|
desarmez lestrue u ent	-------|--|----⌫-⌫--|
L or espeesbienie sprueuent	-⌫-|-----|---||-⌫--------|
Carles .iii.	--|--|----|
De cesqu ilt rouerentarmez	-|--|-|-|-⌫-------|----|
Quilnanion tque	-|-||-||--⌫|--|
.u.le s siez.	--|--⌫-⌫----|
Licuen sAngrés	-|----⌫|------|
se steslessi ez	|-⌫-|-------⌫-|
Etuet sor son escu	-|--|--|--|---|
uean ttoz ferirMaced or	----⌫|--|----|-----⌫-|
S iquepa r	-⌫|--|--⌫|
terremortleruie	----|---|-|---|
Ali xandremout ene nuie	---⌫-----|---|-|-⌫---|
Q a nt sonc onpaignon uoito cis	-⌫-⌫-|--|-⌫--------|---|-⌫--|
Par poque iln	--|-|--|-||
anrage uis .	-----|---⌫|
De mautala ntli	-|-------⌫-|-|
sans li t roble	---|-|-⌫----|
Mesforceethardemanzlido bl e	--|----|-|--------|-|--⌫--⌫|
Etuetferir	-|--|----|
de telan g oisse	-|--|--⌫-⌫----|
Lecont eque sa lanc e	-|----⌫|--|-|----⌫|
Caruolantiersseilpoo it	--|---------|-|-|---⌫-|
Lamort s o namiuangeroit.	-|---|-⌫-⌫|--|---------|
Mes de gra ntforceesto it licuens	--|-|---⌫-|----|----⌫-|-|----|
Et cheualiers	-|---------|
ha r diz etbuens	--⌫-⌫--|-|----|
Que elsieglemeillo r n	--|-|-----|------⌫||
Sefelettraïtres	-|--|-|--------|
C illi reuette l copdoner	-⌫-|-|----|--⌫|--|----|
Quesa lance fetestroner	--|-|----|--|-------|
Siquetrestoteescliceetfa nt.	-|--|-------|------|-|--⌫--|
M es li escuznese desmant	-⌫-|-|----|-|-|------|
N e li unslautrene esloche	-⌫|-|--||----|-|------|
Neplusque feïst	-|---|--|-----|
Carmou t er e ntanbedui fort.	--|---⌫|--⌫-⌫-|------|----|
Mes ceque licuens auoit tort	--|-|--|-|----|----|---|
Legrieuef ormante tanpire .	-|-----|-⌫-----|-⌫|------⌫|
Liunsda xsorl autres ai ̈re	-|--||-⌫|--||----||--⌫--|
anduilorespeestr a ites	----|--|-----|--⌫-⌫---|
Caril o rentl orlance sfrait es.	--|-|-⌫---|-⌫-|-----⌫|-----⌫--|
Nieüstmesnulrecou rier	||----|--|--|-----⌫---|
S elonguem antcildui	-⌫|-------⌫--|--|--|
u olsissentles torma intenir	-⌫--------||--⌫--|--⌫------|
M aintenant couenistfeni r	-⌫--------|-------|----⌫|
Lequ elquesoi t	-|--⌫-|--|---⌫|
a la parclose	|-|-------|
M eslicuens re meno irn i	-⌫-|-|----|--⌫----⌫-|||
Quan torlui uoit	-|--⌫--|--|---|
sagen tocise	-|---⌫|----|
Quidesarmee fusorprise.	--|-------|-|--------|
Et cil fierem a ntlesanchauc e nt	-|--|------⌫-⌫-|--|-------⌫-⌫-|
Quilesr eoignente t e sta ucent	--|--|-⌫-------|-⌫|-⌫---⌫----|
Etdet ranchent etes cer uelen t	-|---⌫-------|-|--⌫---⌫-----⌫|
Ettraïto rl econte apelent.	-|-------⌫|-⌫|----|-------|
Qant sotnomerde tr aïson	---||-|----|-|--⌫-----|
uerssatorcor tagaris on	---|-|--|---⌫||-----⌫-|
auoeclui s anfuient	----|--||-|-----|
Et lora nemilescond uient	-|--|-⌫---|--|----⌫----|
Et fi eremant apr ésse slessent	-|--⌫------|---⌫--||-⌫-------|
Unseuldauseschapernanlessent	-|---||--|-------||-|------|
De tr estozce s	-|--⌫----|--⌫|
queilatei ngnent	--|-|----⌫-----|
Tantenocïentet	---|-|------|-|
e steignent	-⌫--------|
Qu enecuit pasqueplus de set	--⌫|-|---|--|--|---|-|--|
Ansoientuenuarecet.	-|-----|---||-----|
Qantanlatorfu rentantré	---|-|-|--|--⌫---|-----|
sontaresté	---|------|
Car c ilqui uenoient apre ́s	--|-⌫-|--|-------|----⌫-|
Lesorentseüz desipres	--|----|----|-|-|---|
g enz fust dedanz antree	-⌫--|---|-----|-----|
S edeliure lor	-⌫|------|--|
fustlantree.	---||------|
Li traïtorbiensedesfa ndent	-|-------|---|-|-----⌫----|
Quisecors delorgen tata nde nt	--|-----|-|--|---⌫|---⌫---⌫-|
Quis a rmoient elborc aual.	--||-⌫------|-|---|----|
Parlecons oi lde	--|-|----⌫--⌫|-|
F ucontret enuzl i passages	-⌫|-------⌫---|-⌫|-------|
-.I. Grezoisquimoutestoit s ages-	---|------|--|---|-----|-⌫---||
S iq ueacesuenirneporent	-⌫|-⌫-||--|----|-|-----|
Car tropassez d emor e ́orent	--|---|----|-⌫----⌫-⌫|----|
Par maluestiée t	--|---------|-⌫|
par peresce.	--|-------|
Leis sus anc eleforteresce	----⌫--|-|-⌫--|---------|
Nauoitan treec	|----|--⌫---||
Seil estopentcelegueule	-|-|-------|---|-----|
Nau rontga rdequesorausueingn e	|--⌫---|--⌫--|--|--|--|------⌫|
Forc ede quemaus loraueingne.	----⌫|-|--|---|--|--------|
Nebu nallord it	----⌫--|--|-⌫-|
Queli.x x.aillentala	--|-|--⌫-|------||-|
Porenuaïretporconb atr e	--|------|-|--|----⌫---⌫|
Cartosts ipor roie nt	--|---|||---⌫----⌫-|
Texg enzqui	--|-⌫--|--|
lesdomageroient	--|-----------|
Sef orc eou pooi ren	-|-⌫---⌫|-|----⌫|-|
Li.x. la porte fermer a illen t	-|--|-|----|-----|-⌫-----⌫|
Lidisd euantl aporteassaillen t	-|--|-⌫----|-⌫|----|---------⌫|
Quelicuensdedanzne	--|-|----|-----|-|
Fet est ce	--|--|-|
queNebunalloe	--|------|--|
Li disremainnent anl estor	-|--|---------|-||----|
Deuantlapor tedelator	-----|-|---⌫-|-|-|--|
.x.alapo rteuon t.	--||-|--⌫--|---⌫-|
Parpo qu e	--|-|--⌫|
tro pdemor e ́n ont	---⌫|-----⌫-⌫||--|
Car ueniruoient	--|----|-----|
D ec onbatre anflameeet ch aude	-⌫|-⌫------|-------|-|--⌫---|
O umoutauo itarbalestriers	-⌫|---|---⌫-|------------|
Etsergenzde diuersme stie rs	-|------|-|-----|--⌫----⌫-|
Quiportoie ntdiuers es	--|-------⌫-|------⌫-|
Liunaportoient iusarm es	-|-|---------|------⌫-|
Et l i autre	-|-⌫|----|
haches denoises	-----|-------|
Lances et espees turquoises	-----|-|-----|---------|
Quarriaxetdarz	-------|-|---|
etiaueloz.	-|-------|
Iafusttrop gre uai nsliescoz	-|---|---|---⌫---⌫-|-|----|
Carissirlesanc ouenist	--|----|--|-|-⌫------|
genzsorausuenist	---|--|--|-----|
Mesiln iuin dr ent	--|-|||---⌫--⌫--|
Parleconsoile tpa r le sans	--|-|------|-⌫|--⌫|-|---|
Nebunal les	------|--|
adeua ncir ent	-----⌫----⌫--|
E t defors remenoir le s fir en t.	-⌫|-----|-------|--⌫|---⌫--⌫-|
Qantiluo ientquilsontf o rclos	---|-|--⌫---|-|-|---|-⌫-⌫----|
Sise remainnentarepos	-|-|---------||----|
C arp ara ssautce uoientbien	-⌫-|-⌫-|-⌫----|-|-----|---|
Niporroient forfeire rien.	||--------|-------|----|
Lorscomanceun s diaxetuns criz	---|------|--⌫|---|-|--|---|
De fam ese tdanf anzpetiz	-|---⌫-|-⌫||---⌫--|----|
Deueill arz et deiouanciax	-|-----⌫--|-|-|--------|
Sigr anz ques iltonas t	-|--⌫--|--||-|-----⌫|
Cilde lchaste lrienn anoïss e nt.	--|--⌫|------⌫|---||-|-----⌫-⌫--|
LiGrezoismout	-|------|---|
san esioi ̈ssent	|-|-----⌫-----|
Caro rseue nttuitde	--|-⌫|----⌫-|---|-|
Q uei ali cuenspo r nuleür	-⌫-|-⌫|-|----|--⌫|--|---|
N eschaperaquep ris	|--------|--|-⌫--|
L i.iiii.d	-⌫|-----||
aus uontaes ploit	--|---||--⌫----|
Asdesfans ses d esmurs	-|-------⌫--|-⌫-|---|
Tant seul emantpore sg arder	---|----⌫----|--|-⌫--⌫----|
Q u ecildeforsd enulepart	-⌫-⌫|--|-----|-⌫|---|---|
Par nulengin ne	--|--|----|-|
parnu la rt	--|--⌫|-⌫-|
El chas tel	-|----⌫--|
sora usnes	--|-⌫-|-||
a nbatent.	-⌫-------|
Auo ec les .x.quise	---⌫-|--|--|--|-|
li .x ui.retorné.	-|--⌫--|--------|
Iafucleremantaiorné	-|-|--------|------|
Etia orent tant	-|-|----|---|
fetli di s	--|-|--⌫|
Quean lat or	--|-|-|-⌫-|
se furentmi s	-|-----|--⌫|
Etlicuensatotu ne hach e	-|-|----|---|-⌫-|----⌫|
Se fumisdelez une estach e	-|-|--|----|--|------⌫|
Oum out fier emantse desfant	-|-⌫--|----⌫----|-|------|
Cuiil c onsi us t par mil efant .	--|-|-⌫----⌫--⌫|--|-|-⌫|----⌫|
Et sesge nzauoecluise	-|--|--⌫-|----|--|-|
Audesreie niorne lse uan gent	-|-------⌫|-----⌫|-|---⌫---|
Sibienq uede rienne	-|---|-⌫-|-|---|-|
sefaignent.	-|--------|
LesgenzAl ixandre s anplaigne nt	--|---|--⌫------||-|-------⌫-|
Car dausn i auoit mes que.xiii.	--||--|||----|--|--|-----|
Quioreest oient dis et	--|--|---⌫----|--|-|
P arpo qu Al ixan d res	-⌫-|-|-|--⌫----⌫-⌫--|
Qa nt d e sagen tuoittel	--⌫-|-⌫|-|---⌫|---|--|
Quis iestm orteetafeblie .	--|-⌫|--|-⌫---|-|-------⌫|
Mesauu engierpasne s	--|-|-⌫-----|--|-||
Unebarre longueetpesant	--|----|-----|-|-----|
A uoittr ou eean.i .	-⌫---|--⌫--⌫-|-|--⌫|
San uet si ferir .i.gloton	|-|--|-|----|--|-----|
Qu e neli ualut un	--⌫|-|-|----|-|
Ne li escuzne li haubers	-|-|----|-|-|------|
neleportanue rs.	-|-|---|----⌫--|
Apréscelu ileconte ancha uce	-----|----⌫|-|----|-----⌫--|
fer irlabarr ehauce	---⌫-|-|----⌫|----|
lidon e t elesparree	-|---⌫|-⌫-|-------|
Delabarre quifuquarree	-|-|----|--|-|------|
Quela hachelichie t	--|-|----|-|----⌫|
Et fu sie sto rdizet ua ins	-|-|-|-⌫---⌫---|-|--⌫--|
Quesaumur nesereteni st	--||-|--|-|-|------⌫-|
Neüstpi équiles osten ist.	|----|--⌫-|--|-|-⌫-----⌫---|
la bata illefaut	-|----⌫---|---|
conteAlixan dres saut	----|------⌫---|---|
Se l pr ant et	--⌫|--⌫--|-|
Des a utres rie ndir e nestu t	--|-⌫----|---⌫|---⌫||----⌫|
Cardelegierfure ntconqu is	--|-|-----|----⌫-|-----⌫-|
Q antilu irent lorsei gnorp ris.	-⌫--|-|-⌫----|--|---⌫---|-⌫---|
pr istr entauuec le	--⌫----⌫--|----|-|
anmainnent	-|-------|
agranthonte	|----|----|
Siconildesserui l a uoi ent.	-|--|-|-------||-⌫---⌫---|
De toti ce	-|--|-⌫-|
riennesau oient	---|-|---⌫----|
Lor genzqui estoientdefors	--|---|--|-------|-----|
Meslor escuzantrel es c ors	--|--|----|----|-⌫-|-⌫--|
Ore nttrouezla matinee	---⌫-|-----|-|------|
Qantlabataillefufi ne e	---|-|-------|-|--⌫--⌫|
S ifeisoient	-⌫|--------|
.i.duel si fort	--|---|-|---|
PorlorseignorliGreu	--|--|------|-|---|
Porsonescuqu il reconois sent	--|--|---|-|-|--------⌫---|
Trest uitde duelfeire sangoisse nt	-----⌫--|-|---|----||--------⌫-|
Sise p asment	-|-|-⌫-----|
so rsonescu	--⌫|--|---|
Etdïentquet ropontuescu.	-|-----|--|-⌫--|--|-----|
Cornixet Nereüssepasment	-----|-|------|-|------|
Aureueni r lor	-|------⌫|--|
uies blasme nt	---|------⌫-|
Cornie xetAcoriundé s	------⌫|-|----------⌫|
Desialzlo r coroient	--|---|--⌫|-------|
L es lermesiusquesorlesp iz	-⌫-|-----|-----|--|--|-⌫-|
uieetioie lor e st desp iz	--|-|---|--|-⌫-|----⌫-|
EtP ar men idés desort oz	-|-⌫--⌫---⌫----|----|-⌫-|
Ases cheuolstirezetroz.	|--|------|----|-|---|
fo nt duel de lor sei gnor	--⌫-|---|-|--|---⌫---|
Si grant qu	-|----|-|
ilneporentgraignor.	-|-|-----|--------|
Mes porne antsedesconfor tent	--|--|--⌫--|-|---------⌫---|
Anleu deluiunaut rea n	-|--|-|--|-|---⌫-|-⌫|
Sancuident lorseignorpor ter.	|-|------|--|------|---⌫---|
Moutlesref etdesconfort er	---|--|---⌫-|----------⌫-|
Liautre escupa rc oiil croient	-|----|---|--⌫|-⌫-|-|------|
cors lor con paigno ns soient	---|--|---⌫------⌫-|-----|
S isepa smen t susetdemantent	-⌫|-|--⌫----⌫|--|-|--------|
Mestrestu it liesculo r mantent	--|------⌫-|-|---|--⌫|------|
Que deslorni acuno cis	--|--|--|||||-|-⌫--|
Quiau oitnon	--|--⌫--|--|
L eri olis	-⌫---⌫---|
port e ́aneüsse nt	----⌫-⌫|-|------⌫-|
Selaueri téan	-|-|----⌫--|-|
seüssent.	---------|
Mesau sison tangr ant enui	--|--⌫-|---⌫|-|--⌫--|---|
Des au trescome dec el ui.	--|--⌫---|---|-|-⌫--⌫--|
Sesontt ozapor te zet pris	--|--|-⌫-|----⌫--⌫|-|---|
fo rs d un	--⌫-||-|
ont mespri s	--|------⌫|
Mes autres i concilquisong e	--|------⌫|--|--|--|----⌫|
Quip orueritécroitmanç onge	--|-⌫-|------|----|-----⌫---|
Lesboisentliesc ub oclé	--|------|-|---⌫|-⌫----|
Carlama nçongefont	--|-|--⌫------|---|
Parl es escuzsontdeceü.	--|-⌫-|----|---|------|
Ato z lescorss ont	|--⌫|--|---|-⌫--|
Si s anuindre ntiusqu alo rtantes	-||-|------⌫-|----||--⌫|-----|
Oum outa uoit de	-|-⌫--|-⌫---|-|
genzd olantes.	---|-⌫-------|
Me sau duelqueliG reufeisoient	--⌫|-|---|--|-|-⌫--|--------|
Trestuit liau tre seteisoient	-------|-|--⌫--|-|--------|
Al orduel ot grant aünee.	|-⌫-|---|-|----|------|
Orcuide et croit	-|----|-|----|
Soredamorsquiotle	---------|--|-|-|
Et laplaintedeson ami.	-|-|------|-|--|---|
Delapla intee t delad olor	-|-|---⌫---|-⌫|-|-|-⌫---|
Pe rtfamemorte	--⌫-|---|----|
ala col o r	|-|---⌫-⌫|
Et cela grieue mout etblesce	-|-|-|-----|---|-|-----|
Q u elenos edes adestrece	-⌫|--||--⌫|-|-⌫|-------|
D emo strersanblantenapert.	-⌫---⌫----|-------|-|-----|
Ansoncuerason duelco uert	-|--|---||--|---|--⌫---|
Etsenusgard e sanpr eïs t	-|-|--|----⌫||-|--⌫----⌫|
conte nanceueï st	-----⌫----|----⌫-|
Con grantdestrece auoitel	--|----|-------|----|-|
Au sanblantquipar oit defors.	-|-------|--|---⌫--|------|
Mestantau oitchas cunsafei r e	--|---|--⌫--|----⌫---||---⌫-⌫|
Alasoedolor retre ir e	|-|--|----|-----⌫--⌫|
Que ilnelichaloitdautrui.	--|-|-|-|------||------|
Chascuns pleignoi t le su en	-------|--------⌫|-|--⌫-|
[...]Quili est pesa nz etam ere .	----|--|-|--|----⌫-|-|--⌫---⌫|
Laplorelifi lzsorlepere	-|----|-|--⌫-|--|-|---|
Ploreliperessor le fi l	----|-|----|--|-|--⌫|
Sor soncosins epasme	--|--|----|-⌫|----|
E tcil autres	-⌫|--|-----|
sorsonneueu	--|--|----|
E i n sipleignentan	-⌫-⌫-⌫-|--------|-|
cha scu nleu	---⌫---⌫|--|
Pere s et freres	----⌫|-|-----|
etpar anz.	-|---⌫---|
Mesdeso r to z	--|----⌫|--⌫|
estaparanz	--|------|
Grezoisfei soie n t	------|---⌫----⌫-⌫|
Dongrant ioi eatendr epooient	--|----|---⌫|------⌫|------|
A grantioietorner atost	|----|---|------⌫|---|
Ligraindr esdiax de tote l	-|-------⌫-|---|-|---||
defors grant dolorm a innent	-----|----|----|-⌫-⌫-----|
Etcil dedanzforma ntse	-|--|-----|-----⌫-|-|
Comant illo r face ntsauoir	-----|-|--⌫|----⌫-|-----|
Dongrantioie porrontauoir.	--|----|---|------|-----|
Lorprisons desarmentet lïent	--|------|--------|-|-----|
Etc ill or	-|-⌫-|-⌫-|
req uierentetp ri ̈ent	---⌫------|-|-⌫--⌫---|
Qu emaintena n tlesch iés anpraignent	--⌫|--------⌫-⌫|--|--⌫---|-|--------|
Mesilneuuelent n enedaignent	--|-|-|------|-⌫|-|-------|
Einzdïentqu	---|-----|-|
illesgarderon t	-|--|--------⌫|
Tantque au roiles	---|--|-|--|--|
baille ront	------⌫---|
Qu ecil l o rrandr a lesmer ites	--⌫|--|-⌫-⌫|-----⌫|--|---⌫---|
Delor dessertestotesquites.	-|--|--------|----|------|
Qantdesarmezles or enttoz	---|-------|--|--⌫--|--|
Por mos treralo rgentdesoz	--|---⌫---||--⌫|---|----|
Les ontas fenestre s montez.	--|--|-|--------⌫|------|
Mo utlordesplestcestebontez .	--⌫-|--|-------|----|------⌫|
Qant lors eigno rprise tlie ́	---|--|-⌫-----⌫|---|-⌫|---⌫|
uoi ent nesan	---⌫--|-||-|
font mie lié.	---|--|----|
Alixandres delmuramont	---------|--|--|----|
Iure Deu etles sainzde lmont	---|--|-|--|----|--⌫|---|
leirauiure	----|----|
Quetoz nesocieadeliure	--|--|--|---||------|
Se tu it auroi	-|--⌫-|-|--|
ne seuontr andre	-|-|---|-⌫----|
Einçoisqueilles puissen tp randre.	-------|--|-|--|-------⌫|-⌫------|
uoscom ant	--|---⌫--|
A mon seignor isnel emant	|--|------|-----⌫----|
Siuosmetezansam erci.	-|--|----|-|-|-⌫----|
Nusforsle conte quie stci	--|---|-|----|--|-⌫-|-|
Deu osn ia mort desseruie.	-|-⌫-||||---|---------|
Ianiperdroiz man breneui e	-|||-------|---⌫--|-|--⌫|
Seansa me rc i uos	-|-|-|--⌫--⌫|--|
Etdemort neuosre sco ez	-|-|---|-|--|--⌫---⌫-|
Seulema n tp o r mercicrie r	-------⌫-⌫|-⌫-⌫|----|----⌫|
Moutpe tituospoez	---|--⌫--|--|---|
Enuozui es nean uoz c ors.	-|--|--⌫-|-|-|--|-⌫---|
Issiez tuitdesa rmé	-----|---|----⌫---|
E nc ontremonseig nor le	-⌫--⌫----|--|----⌫--|-|
Etsili di tes de par	-|-|-|--⌫--|-|--|
QuAlixandr es uo si	-|--------⌫-|--⌫||
Neperdro i z mieu ostreuoie	-|------⌫-⌫|--|-⌫----|---|
Car to tsonmautalant et	--|--⌫|--|--------|-|
u ospardonra lirois messire	-⌫-|-------|-|---|--|---|
Tantestildolzet deb oneire.	---|--|-|---|-|---⌫------|
Etsa utremantleuo l ezfeire	-||-⌫-------|-|--⌫-⌫-|----|
Amoriruosicouend ra	|----|--||------⌫-|
Que iapit ieznemanprendra.	--|-|---⌫--|-||-|-------|
Tuitansanblecest consoil	---|-------|---|------|
Iu squautr efle	--⌫--|-|--⌫-|-|
roine recroient	--|-|--------|
Silison t tuitau pie ́cheü.	-|-|---⌫|---|-|---⌫|-----|
Iaestpartote l ostseü	-|--|--|---||--|---|
Cequeliontditetconté.	-|--|-|--|--|-|------|
mo nte ettuitsont monté	--⌫--|-|---|---|-----|
Siuienentaucha stelpoignant	-|------|-|---⌫---|-------|
n alerentporl oignant.	|------|----⌫-------|
Alixan dresistdelchastel	------⌫---|--|--|------|
Encontrelero icuifubel	-------|-|--⌫|--|-|--|
Sil ialeconterandu.	-|-⌫||-|----|-----|
Et lir oisnaplusatan du	-|-|-⌫--|||---|----⌫-|
Quelorsnanfac e sa	--|---||-|---⌫|-|
Mesmoutloe Alixandreetp rise	--|---|--|--------|-|-⌫---|
Et tuitli autrelec onioent	-|---|-|----|-|-⌫------|
Et formantlep risent etloent.	-|------|-|-⌫-----|-|-----|
nulquiio ie	--|--|--⌫-|
Por la ioieli d iaxremai nt	--|-|---|-|-⌫--|-----⌫-|
Queil deme noient einçois.	--|-|----⌫-----|--------|
Mes a laio iedes	--||-|--⌫-|--|
Ne sepotautreioie pra ndre.	-|-|--|----|---|---⌫----|
Li ro is lifet	-|--⌫-|-|--|
lacope randr e	-|---|-----⌫|
De.xu.ma rs qui	-|---|--⌫-|--|
moutfuriche	---|-|----|
Etsilidit bie n	-|-|-|--|---⌫|
etafic h e	-|----⌫-⌫|
nanule c hose tant chiere	||---|-⌫---|---|-----|
Se ilfettantquillarequiere	-|-|--|---|-|-|-|-------|
Fo rslacor on eet	--⌫-|-|---⌫--⌫|-|
Q ueilne la nface seisine.	-⌫-|-|-||-⌫|---|-------|
Alixandr e sdecest e chose	--------⌫-⌫|-|----⌫|----|
S o ndesir rierdire	-⌫-⌫|-----⌫---|---|
setquil n i f au droitmie	--|-|-|||-⌫--⌫----|--|
lirequeroits amie.	-|--------||----|
Tantcrient que	---|-----|--|
i l ne d esple ü st	-⌫|-|-⌫-----⌫--⌫-|
Celi quig rant io ieeneüst	---|--|-⌫---|--⌫-|-|----|
Quemou t mialz	--|---⌫|----|
l e üsts or sonuoloir.	|-⌫---|-⌫-|--|------|
Porce r espitquiert	--|-|-⌫----|-----|
Quilneuialt feiresa demande	-|-|-|----|----|-|------|
Tantqu il ansach e son pleisi r	---|-|-|-|----⌫|--|------⌫|
Mes ala cope	--||-|---|
dorseis ir	|-|----⌫-|
N a respit natendueprise.	||-----||------|-----|
QantSoreda mor aaprise	---|------⌫--||-----|
D Alixandreuoir e	|--------|----⌫|
Mo ut liplote t mout	--⌫-|-|---|-⌫|---|
lifu bele.	-|-|----|
Qan t celes otque	---⌫|---|-⌫-|--|
Telio ie enaquilli est uis	--|--⌫-|-||-|-|-|--|--|
Que iames nait	--|-|--||--|
pes anceu neore	---⌫---|-⌫-|--|
M es totce lisanble de more	-⌫-|--|-|-|-----|--⌫---|
Q ueilneuientsi comilsial t.	-⌫-|-|-|----|-|--|-|----⌫-|
P artansauraceq u ele	-⌫-|---|---|-|-⌫|--|
Caran beduiparcontançon	--|--⌫----|--|---------|
Sont dunechos ean	---||--|----⌫|-|
granttançon.	----|-------|
M outes toitAli xandretart	-⌫--|--⌫---|---⌫-----|---|
Queseulemantd undo lz regar t	--|--------||-|--⌫-|-----⌫|
Sep oïstaleisir r epe str e.	-|-⌫----||-----|-⌫---⌫---⌫-|
Grant pie cea queiluols istestre	----|---⌫-||--|-|----⌫--|----|
Eltr ef la reïneuenuz	-|--⌫-|-|-----|----|
Seaillorsne	-|------|-|
fustde tenuz.	---|--⌫-----|
Lademore mou t lidesp lo t	-|-----|---⌫|-|----⌫--⌫|
Auplus tos t queilonques	-|---|---⌫|--|-|-----|
uin t al ar eï ne an sontref.	---⌫||-⌫|-⌫---⌫-|-|--|----|
La reïnel a encontré	-|-----|||--------|
Quidesonpansémo ut	--|-|--|-----|--⌫-|
Sanzcequeditne liauo i t	---|-|--|--|-|-|---⌫-⌫|
Mesbien sa nes t apar ceüe.	--|---||-⌫|--⌫|----⌫-----|
Al antr erdel tref lesalue	||----⌫-|--|---|-|----|
E tde luiconioïrs epainne	-⌫|-|--|-------|-⌫|-----|
Bi ensetquiexa cheisons	--⌫-|--|----|-⌫-------|
Porceq uangré s eruirleu ia lt	--|-|-⌫|-|---|-⌫----|-|-⌫--⌫-|
LezliSoredamors aquialt	--|-|---------|------|
Etf urentiltr oi seulema nt	-|-⌫----|-|--⌫-|-------⌫-|
Loin gdes autr esa parl eman t.	----⌫|--|----⌫-||----⌫----⌫-|
La reïne premiersco mance	-|-----|-------|--⌫----|
estoitderien	-----|-|---|
an d otance	-|-⌫-----|
a ntream assentan dui	-⌫------⌫-----|--⌫--|
Cil c el eetce lecel ui.	--|-⌫--⌫|-|--⌫-|---⌫--|
Bienlecuide defisauoir	---|-|----|-|-|-----|
Et biensetque nepue tauoir	-|---|--|--|-|---⌫|----|
Soredamorsmeillo r ami.	---------|------⌫|---|
Antredeus fuas sise enmi	--------|-|--⌫---|---|
Si lorcomance une	-|--|------|--|
Qui uintanle uet ansei son	--|---|-|--⌫|-|-|---⌫--|
Alixandr efetlareïne	--------⌫|--|-|-----|
Amorsestp ir equehaïne	----|--|-⌫--⌫|--|-----|
Quisonamig rieue etconfont.	--|--|--|-⌫----|-|-------|
Amantne seue nt	----|-|----⌫-|
que ilfont	--|-|---|
Qa nt li uns de lautre se	--⌫-|-|--|-||----|-|
Enamorsamout greueuse oeure	-|----||---|-------|----|
Etmouttor neac onfonde mant	-|---|---⌫-||-⌫-------⌫---|
Q ui necoman cehard emant	-⌫-|-|-----⌫-|----⌫----|
A poinne anpuetu enira	|-----|-|---|-⌫---||
Lend it que i l ni	|-|-⌫-|--|-⌫|||
as i g rie f	|-⌫|-⌫---⌫|
Autrespass ercomelesuel.	-|--------⌫-|---|-|----|
Damorsandoctrine ruosuuel	|----|----------⌫|--|---|
Carbienuoi qu a m or suosafole	--|---|--|-|-⌫-⌫--⌫|--|----|
Porceuo suuel metreaescole	--|-|--⌫|---|----||-----|
Et ga rdeznem ancelezrien	-|--⌫---|-||-|----|---|
Quaparceüem ansuibi en	-|--------||-|--|--⌫-|
Ascontena nce s dechascun	-|-------⌫---⌫|-|------|
Quede .ii.cu ersauez fet un.	--|-|---|--⌫--|---|--|--|
I a uer smoineuos ancour ez	-⌫|---⌫|--|-|--|-|----⌫-|
tro pfolema ntour ez	---⌫|------⌫-|---⌫-|
Q uechascuns son pansernedit	-⌫-|-------|--|-----|-|--|
Qu a ucel e rliuns l autre	-|-⌫|---⌫-⌫|-|--||----|
Da morsomecideserez.	|-⌫---|------|-----|
Or uo slo que iane	-|--⌫|-|--|-|-|
Force neuolanté d amor.	----|-|-------||----|
Par mariageetparenor	--|------|-|--|---|
uosan tr eaconpaigniezansanble	--|--⌫--⌫------------|-------|
Ensiporrasico m moi sanble	---|----|-|--⌫|--|-----|
uo stream ors	--⌫---|--⌫--|
longuem ant du rer.	-------⌫--|--⌫---|
Ieuos osbi e n	-|--|-|--⌫-⌫|
asseu ̈rer	-----⌫---|
Seuosenauezboen corage	-|--|-|---|---|-----|
Iasanblerai le mariage .	|---------|-|-------⌫|
Qant lareïn eotditson buen	---|-|-----⌫|-|--|--|---|
