liduxde brabant·	-|--|-|-------|
endurez · lisouu e nirsmefait	------||-|----⌫-⌫---|-|---|
morirdenu i e⁊lides irs⁊lag ͣns uolent e z	----||---⌫-⌫||-|---⌫--||-|-⌫--|------⌫-⌫|
· Dameme rciqui	|---|--⌫--|--|
tozle sbienssauez	--|--⌫|----|----|
toutesualor s	-----|-----⌫|
⁊t outezgͣnsbontezsontplusenuos	|-⌫----|---|--|--|---|---|-|--|
q̃nq̃ damequi soit ne e·secorez	--|-|---|--|---|--⌫||------|
ferel epoe z	---|-⌫|---⌫|
·Chãconphelipea monamicorezpui s	|---|--|------||--|--|----|---⌫|
q̃ il se stde d enzla cortbo utezbie n	-|-||-⌫-|--⌫-⌫--|-|---|--⌫---|---⌫|
ẽsamors enhainetornee· apeinei er	-|-----|-|----|-----||-----|-⌫-|
mesde beledameamez·	--|-|---|---|---||
I rossignox chant etantq̃morsch iet del aubre	|--------|-----⌫|---|-|---|--⌫--|-||----|
ius·s ibelem ort ne uitnus	--||-⌫|---|-⌫--|-|--|--|
t antdoucene siplais a nt	-⌫--|----|-|-|-----⌫-⌫-|
·aut res i muir ench a n tantap laĩzcrizne ie	|---⌫---⌫|---|-|--⌫-⌫-⌫---||-⌫----|---|-|-|
ne p uisdemadame estre oiznel ede	-|-⌫--|-|-----|----|--|-|-⌫|-|
moipit iezauoirne	--|---⌫--|----|-|
daigne ·Chascuns d itqu ila am i eta n tc	-----||-------|-⌫-|-|-||--⌫-⌫|--⌫-⌫||
onquessi for t	-----|-|---⌫|
nam a nu s·ce fait les	---⌫|--⌫||-|---|--|
aman sꝯf usq q̃	----⌫|--⌫-|-⌫-|
tr op m e n tentli trua nt · mes	--⌫-||-⌫-⌫---|-|----⌫-||--|
da me do itconoistre alor fau sdizquedetoz	--⌫-|--⌫-|--------||--|---⌫|--|--|-|--|
bses t lorfauscuers p a rtiz n	||--⌫|--|---|----|-⌫-⌫---||
il n est pa s dr oizquepiti ezleuenpraign e	-||--|--⌫|--⌫--|--|----⌫-|--|-|------⌫|
·Onq̃sfiertenotsi grant uers	|----|-----||-|-|----|---|
ponp ee iul iusq ue madame nenaitplusuersmoi	----⌫-|---⌫--|-⌫-|-----||-|--|---|---|--|
qu imu irdesirranz deuant	--⌫|--⌫-|--------|-----|
li est tozi orz mesesperi z ⁊	-|--|--|-⌫--|--|------⌫||
nuit⁊iorl i crienul mercizbesan t sespi ez	---||--|-⌫|---|--|-----|-----⌫|--|--⌫-|
quedemoi li souuieg ne ·Lentra iraidieuagarant	--|-|--|-|-------⌫-||--|---⌫---|---|------|
⁊tozles sainz de	|--|--|----|-|
lasus quesen u spuet am͛ plusque ian	----|--|-|-⌫-⌫|---|--|---|--|-||
aieame n dementneia de u osne soiemaiz	--|---⌫-⌫-----|-|-|-|-⌫-|-|---|---|
oizeinzmetolez uo s debonaires	--|---|-|----|--⌫|---------|
di z ⁊mechaciez	--⌫||-|------|
de montaigne · Iene cuit pas	-|--------||-|-|---|--|
qu eserpensnautre	--⌫|------||----|
beste poignentpl᷒9	----|-------|---|
que fontamors	--|---|----|
audesus t rop pa rsontsi coppesantplu s tra it	-|----|-⌫--|--⌫|---|-|--|-----|---⌫|---⌫-|
souuent q̃tursnearabiz	------|-|---|-|-----|
nonq̃s encorsalemon n eda u idne	-----|----|------|-⌫|--⌫-⌫-|-|
siti ndr e n tnecunsfoxdalemaigne·	-|--⌫---⌫-⌫-⌫|-|---|--||--------||
Nest merueill e se iesuiesbahiz	---|--------⌫|-|-|--|------|
