mapo ineme trai et	-|--⌫--|--⌫---|-|
etcil est coruzasdenie rs	-|--|--|----|-|-----⌫-|
tantena prisy yetmil liers	---|-||---|-⌫|-|---⌫----|
cu ne grant	|-⌫-|----|
borseen afarcie	----|-||-----|
etlesioiauxn obliamie	-|--|-----||----|--|
totbotéel sachet	--|----|-|-----|
puis a afubléunma ntel	---||------|-|--⌫---|
nuef desc ar lat e taintengraine	---||---⌫--⌫---⌫|----|-|-----|
siconfort unelo demoin e	-|--|----⌫--|-|------⌫|
d eson ostelse part atant	-⌫|--|----|-|---|----|
moltseu ait	---|-|-⌫--|
seuantsofaschant	-----|---------|
sachezlipa ntaual	-----|-|--⌫-|---|
oezconmantli auintmal	--|------|-|----|--|
enmis au oie aencontree	---|-⌫|-⌫--||--------|
une gelinepiolee	--|-----|-----|
quipasturoit enlachar riere	--|--------|-|-|----⌫----|
uoltretornerarier e	---|-------|-----⌫|
por ce queilientandoitsort	--|-|--|-||--------|---|
a se spiezt rouezz bastoncort	|--⌫|---|-⌫---|-|-----|---|
alagelinelaitaler	|-|-----|---|---|
an prantauoler	-|----||----|
eten gel inoislomaudit	-|-|---⌫----|-|-----|
hont e l iuei gn e	----⌫|-⌫|---⌫--⌫|
quidon c ueist lo	--|---⌫|----|-|
pr estealer	--⌫---|---|
etlui b aissierete sgarder	-|--|-⌫------|-|-⌫------|
tantque entre zeste lhame l	------|-----⌫|--|-⌫|----⌫|
contre luis aut	-----|--|-⌫--|
li fai tblontechier e	-|---⌫|-----|-----⌫|
p uisapelasachanb erriere	-⌫--|----|-|-----⌫------|
co rtostlo seignor deschaucier	--⌫|---|-|------|----------|
uoistbaingnier	----|--------|
enter aiiaap res	-----⌫-|-|--⌫--|
sinosso laceronshuimais	-|--|--⌫-------|--|---|
sim abelira plus ses es t res	-||------|---|--|--⌫-⌫--|
par foidame	--|--|---|
ceditlipr estes	-|--|-|--⌫----|
illic oman ce	-|-|-⌫----⌫-|
a descou rir	|------⌫--|
losachetqui	-|-----|--|
ellogitade soru n	-|-|---|--⌫--|-⌫|
o nq uesauconter nimistpoine	-⌫--⌫--|-|-----|||---|----|
la damequinertpas uilaine	-|---|--||--|--|------|
le sot tantde	-|--|---|-|
sesdizlober	--|--|----|
qelelo fis tel	|--|-|---⌫|-|
baing entre r	----|-----⌫|
pu ispr ist la robeet les	--⌫-|--⌫--|-|---|-|--|
ain z nireme stnelesdeniers	---⌫|||----⌫-|-|--|------|
chanbreap ortee	------|--⌫----|
pu is agale trot ap elee	--⌫-||----⌫---|--⌫---|
faim oit os t uenirlopreuost	--|-⌫-|-⌫--⌫|----|-|------|
di liqueil maport	-|-|--|-||----|
ce queilmet	-|--|-|--|
encouenan t	-|-------⌫|
etcelecort totmaint enant	-|---|---|--|-----⌫----|
si quefaituolerlesesclaz	-|--|---|----|--|-----|
s elepuetten irens es laz	|--|---|---⌫-|-|-⌫-|--|
lopreuos ti l l ira n draco nte	-|------⌫|-⌫|-⌫|--⌫-⌫--|--⌫--|
deparler a	-|-----||
l ina p as honte	-⌫|||-⌫-|----|
qain zl o saluebaudemant	|---⌫|-⌫|----|--------|
faitel mau parant	---|-|--|-----|
danzp reuozparuostrerichoise	---|-⌫----|--|-----|-------|
ma i s i e laif aitcommecortoise	--⌫-⌫|-⌫||-|-⌫--|----|-------|
que neme uoildes naturer	--|-|-|---|---⌫------|
quimedeus t	--|-|----⌫|
yysousdoner	-|---|----|
neme fus seplusentr em ise	-|-|---⌫-|---|----⌫--⌫--|
nuit etiorde u ostrese r u ise	---|-|--|-|-⌫----|--⌫-⌫-⌫--|
ta ntaimada mecorusore	--⌫-|-|-|--⌫-|---|---|
q ueel eestorandroit	-⌫-|--⌫|--|--------|
m ais hastezuosde tostuenir	-⌫--|-----|--|-|---|----|
e t sinedeue zpa s	-⌫|-|-|----⌫|--⌫|
lai s sier	---⌫-⌫---|
cequeuo sdeisteslautr ier	-|--|--⌫|------||----⌫--|
madamea moltdarge ntmes tier	-|---||---||----⌫-|---⌫---|
eleesttant franc hede bonare	--|--|---|-----⌫-|--⌫-----|
q el eleuossaurabie n	|--⌫|-|--|----|---⌫|
maisel eaormestie rdeprand re	---|--⌫||-|------⌫|-|-----⌫-|
preuozotet ent ant	-----|-|-|---⌫--|
q ue lachose esta	-⌫-|-|----|--||
son talan t	--|-----⌫|
ga letrotdistilb eleamie	--⌫-----|---|-|-⌫--|---|
ienetedo iobliermie	-|-|-|--⌫|-----|--|
tumasserui eetbi enetbel	-||-|-----⌫|-|--⌫-|-|--|
ti en yy sous a unmantel	--⌫-|-|---||-|-----|
lorsli geteelgirondeuant	---|-|---|-|----|-----|
etcelesantornacorant	-|---||-|----|-----|
sachi ez quelenest	-----⌫-|-|--||--|
la dame fu b ie nafaiti ee	-|---|-|-⌫--⌫|------⌫-|
qu eloprestedestriatant	--⌫|-|-----|------|---|
estes uos a laporte err ant	----|--||-|----|---⌫--|
lopre uosto il apele	-|---⌫---||-|----|
mal e no uele	---⌫|--⌫---|
ditla dameioimons eignor	--|-|---||-|--|-⌫-----|
damepor d euloc riator	---|--|-⌫-|-|-⌫-----|
faitliprestes	---|-|------|
queporraifaire	--|-----|----|
uostresireest	-----|---|--|
sidemal aire	-|-|--|---|
ieseraii atozdesmiez	-|----|-⌫|--|------|
caril estuersm o i m oltirez	--|-|--|---|-⌫-⌫|-⌫--|---|
faitladam e n aiezpeor	---|-|---⌫||---|---|
i euos mes tra ien t eld e stor	-⌫|--|---⌫---⌫|-|-⌫-|-⌫-⌫---|
ne uost roueroitouan	-|--|-⌫-------|---|
en cel to neldesozcel uan	-|--|--⌫--|----|--|--|
i arienfor spl ume mole	||---|---⌫|--⌫--|---|
l ipre stesotbi ensaparo le	-⌫|---⌫---|-|--⌫-|-|----⌫-|
el tone l s a u tdep laines la is	-|----⌫|-⌫-⌫-⌫|-|-⌫---|--⌫--⌫-|
b ie nlotrouedeluan	-⌫--⌫|-|----|--|--|
ezuosl opreuo staitant	-|--|-⌫|-----⌫-||----|
la da meli fis t b ia usan blant	-|--⌫-|-|---⌫|-⌫--⌫|---⌫----|
illauait m ainte nant baisier	-|-|---|-⌫-----⌫---|------|
sirediste le	---|---|-⌫-|
name stier	||--⌫----|
quesa uez uosquino sesgarde	--|--⌫--|--|--|--⌫|------|
hontemefaitue ruoscoard e	----|-|---|--⌫|--|-----⌫|
mais amor s	---|----⌫|
mi ferah ard ie	||---|-⌫---⌫-|
qantuos seroizde moisaisie	---|--|-----|-|--|-----|
estueritez	--|------|
maisieuosai	---|-|--|-|
c ia portez	-⌫|-⌫-----|
qanzdeniers que iau o ie	---|------|--||--⌫-⌫-|
lor sli des courelacorro ie	---⌫|-|---⌫----|-|-----⌫-|
quimolt estoit	--|---|-----|
plaine et f arsie	-----|-|-⌫----|
etele n el	-|--|-⌫||
refusa mie	-----|--|
ainzla ensachanbre portee	---|||-|-|------|-----|
n euoil ci	-⌫|---|-|
faire demor ee	----|-----⌫-|
a cont er chascuneparole	|----⌫-|-------|-----|
ladamequi n	-|---|--||
est m ie fole	--|-⌫-|---|
l i disttant quil	-⌫|---|----⌫-|-|
e ntraelbain g	-⌫---|-|----⌫|
doblesongaa ing	----|--|---⌫--|
car larobe	--|-|---|
aensaufpo rtee	|-|---|--⌫---|
puisrageletrotapelee	---|-|-------|-----|
l ipr ista con seillier	-⌫|--⌫--||---⌫-------|
uamoiquerrelo	-|--|-----|-|
f orestier	-⌫-------|
dilidesmiauzquetu saura s	-|-|--|----|--|-|-----⌫|
sen ospoonsmet reses dras	-|-⌫-|----|---⌫-|--|---|
olesautres	|--|-----|
ilm ertmo ltbel	-||--|--⌫-|--|
d iliqu e il m aportl anel	-⌫|-|--⌫|-||----||---|
quilmeuoltl	-|-|-|---||
a utreior doner	-⌫---|--|----|
q u ilors ue ist cel e troter	-⌫-⌫|---|--⌫--|---⌫|-----|
parmilau il e au mialz qu e lpue t	----|-|-⌫--⌫|-|----|-|-⌫|---⌫|
orsach ie zqu e uenirl	-|----⌫--⌫|--⌫|----||
loforestierc el e l	-|--------||--⌫||
qantel louoitpas	---|-|-|---|--|
nesefa int	-|-|--⌫--|
debiendesteler saparole	-|---|-------|-|-----|
iesuidist e lemusardeetfole	-|--|---|-⌫-|------|-|---|
caiiede c estmusarsta	|-|-|-|-⌫--|------||
f ust sideb onaire	-⌫--|-|---⌫-----|
p orlui plain p as	-⌫-|--|----|-⌫-|
puis li ditsoaueit enbas	---|-|--|------|-|--|
u ene zam adame parle r	-⌫---⌫||-⌫|---|-----⌫|
quinefinapuis	--|-|---|---|
qu eluosgital	-|-|--|---||
au tr iersi	--⌫--⌫--|-|
mai s ie laipoin teiusqaucuer	---⌫|-||-|----⌫-|---|-|---|
souan tet menu ettantee	-----⌫|-|---|-|-----|
tan tco restdeuoses chaufee	---⌫-|-⌫|--|-|--|--⌫------|
uostr e aneldor liaportez	-----⌫|---||-|-|------|
donra dosuen	----|-|---|
lifore s tiersdeioi esaut	-|----⌫-⌫----|-|---⌫|---|
hegale trot sedeusmesaut	-|----⌫---|-|---|-|---|
deisse iepuis	---|-|-|---|
seielatenoie	-|-|-|-----|
a d eliure	|-⌫-----|
la damequi tant pa rest coint e	-|---|--|---|--⌫|--|-----⌫|
s ousaune g inple	-⌫--||--|-⌫----|
celeles apriscomesage	---|--||---|---|---|
a celienlaissa	|---|-|-----|
quil nerauradelasemoine	-|-|-|----|-|-|------|
tantacorua longealaine	---||---||----|-----|
qeleu inten	|--|-⌫--|-|
maiso ncor ant	-----⌫|---⌫--|
sa dame trouedeschaucent	-|---|----|----------|
laha ste lipreuoz	-|--⌫--|-|-----|
ezuos l oforestiertantost	-|--|-⌫|--------|------|
c al a port eu i entsi	||-⌫|----⌫|-⌫-⌫--|-|
lasseci a male n oue le	----|-||---|-⌫---⌫-|
faitladame messires uient	---|-|---|--|----|----|
lipreuoz lo t	-|-----||-⌫|
porce quilau oitcorecié	--|-|-|||--⌫--|-------|
dame m olt mauez corecié	---|-⌫--||---|-------|
seneprenezdemoico nroi	-|-|-----|-|--|--⌫---|
soie z en esfroi	----⌫|-|-----|
fa itladame muc i ez	--⌫-|-|---|---⌫-⌫-|
quemessires	--|--|----|
atantlo t oneldesc ouri	----|-|-⌫---|----⌫---|
etcil ioi nzp i ez dedanzsa ill i	-|--|---⌫-|-⌫-⌫-|-----|--⌫---⌫|
atuélopreste	|---|-|-----|
halasfa it il ceque puet	-|--|--⌫-|-|-|--|---|
o rs ontdeiablede sce ndu	-⌫|-⌫--|------|--⌫---⌫--|
qantlipresteslo ra	---|-|------|-|-|
apoquil nest delsan	|-|-|-||--|--|--|
alasfaitilors uitrai z	|--|---|-|-|-⌫-|----⌫|
traizporl esengoissesbe	----|--|-⌫-|--------|-|
quie stu q uimasescou té	--|-⌫|-|-⌫-||-|-----⌫--|
ieuoircedit li	-|---|-|--|-|
maistuqui es dimoit onestre	---|-|--|-|-|--|-⌫-|----|
li las et limalaurous	-|--|-|-|--------|
moltsuidestroizetengo isseus	---|--|-------|-|----⌫-----|
ettu quiesdi	-|-|--|-|-|
chais tislipreuous	-----⌫--|-|------|
l ip reuozdit d on	-⌫|-⌫----|--|-⌫-|
n aii e mal	|-|-⌫|--|
acointentparigal	--------|--|---|
alautre sa uantur e	||----||-⌫------⌫|
li forest iers	-|------⌫---|
ainzuintal	---|---|||
ostelroi deetcointe	----|---⌫-|-|-----|
ladamesestpresdeluiioint e	-|---||--|---|-|--|-----⌫|
tantquelfu	-----|-|-|
delanelsaisie	-||---|-----|
tant loblandistetta nt l olie	---|-|-------|-|--⌫-|-⌫|--|
quelelou f ait elbaing entrer	-|--|--|-⌫--|-|----|-----|
etmolt bienl o us otalomer	-|---|---|-⌫-⌫|-⌫-|-----|
chascu n dit	------⌫|--|
etchascunsaf aire	-|-------|--⌫---|
moltbienensou tlad ametraire	---|---|-|---⌫|-|-⌫--|-----|
lanel etceq uepotauoi r	|---|-|-|-⌫-|--|----⌫|
a sons eignorafaitsauoir	|--|-⌫-----||---|-----|
amueigneque	-|-----|--|
eleabesoing	--||------|
la charuenertgaires	-|-----||--|-----|
ezlouosbruiant ala	-|-|--|------||-|
deusfaitlad ameorsuigem or te	---|---|-|-⌫--|-|--|-|-⌫--⌫-|
mes sireui ent ue ezlola	--|---|--⌫--|--⌫-|-|-|
b iensai queil sanir a	-⌫--|--|--|-||-|--⌫|
ilnest pas tansd oure	-||--|--|---||---|
dameceditlifore stiers	---|-|--|-|----⌫-----|
uostresiresm e	-----|----|-⌫|
he t demo rt	--⌫|-|--⌫-|
se nepr enezde	-|-|--⌫---|-|
moi confort	--|------|
l adamel otpansenoue l	-⌫|---||-|----|----⌫|
muciezuoscaen	-----|--|-|-|
to neldescour i	--⌫--|-------⌫|
etilioi nz p iezded anzsailli	-|-|---⌫-|-⌫--|---⌫--|-----|
lopreste atainte nlapoitrine	-|-----|-----|-⌫|-|-------|
apreuostfaitplaierleschine	|------|---|-----||------|
maisnusd aus ne n ossag rocier	---|--||--||-⌫|---|-⌫-----|
hal asce dit	-|-⌫-|-|--|
li forestiers	-|---------|
fole mantenbatuz	----⌫---|------|
q estc e mausoiezuosue nuz	|--|-⌫|--|----|--|--⌫--|
fait lipreuostr aiezuosla	---|-|-----|--⌫---|--|-|
iec uitqueiecreueraica	-|-⌫--|--|-|-------|-|
senosso mescilonguemant	-|--|--⌫--|-|---------|
etdit liprestes	-|--|-|------|
lasdolan s	--|-----⌫|
ciadolantepenitanc e	-||------|--------⌫|
ie cu itqu ei aibrisieela hanc he	-|--⌫-|--⌫||-|------|-|----⌫-|
fait lipreuozamiencuidier	---|-|-----||---|------|
parfoic e ditli fores trier	--|--|-⌫|--|-|-----⌫----|
a poquelioilnemes aillen t	|-|--|-|--|-|-|-⌫------⌫|
q ui tantmetrauaille	-⌫-|---|-|--------|
soithonieh ui encestior	---|----|-⌫-|-|---|--|
u iuons agr a nt dolor	-⌫----||--⌫-⌫-|----|
es te s uosdan costantbruiant	--⌫--⌫|--|--|------|------|
une granthac hepaumoiant	--|----|---⌫-|--------|
dame isabel laasen é	---|-----|||----⌫-|
to t belemantliaconté	--⌫|-------|-||-----|
conma ntlesa	-----⌫-|--||
sireorenouurezmoltbel	---|-|-|-----|---|--|
iluoloientamoi	-|-------||--|
lorfames u enir	--|----|-⌫---|
si feroizsambla ntettout outre	-|-----|------⌫-|-|---|----|
la premiere uo s couientfoutre	-|-------|--⌫|------|-----|
et puislesdeusce uosp oez	-|---|--|---|-|--|-⌫--|
sis eron thonietmaté	-|-⌫----⌫|---|-|----|
etsi seront a droit paiez	-|-|-----||----|----|
ie uoi lque einsincloufacie z	-|---⌫|--|------|--|-----⌫|
maistenezt outiorzuost re	---|----|-⌫------|----⌫-|
que ele uautune menace	--|--|---|--|-----|
done zlor emsenussesmuet	----⌫|--|-|-|--||-----|
dame fa itilfa irelestuet	---|--⌫-|-|--⌫--||-----|
galetroutf aiteleputeasnesse	--------|-⌫--|--|---|------|
cormoimolttos t	--|--|---|---⌫|
porlaproume ss e	--|-|------⌫--⌫|
diliqueueignea	-|-|--|-----||
moi baingnier	--|--------|
etuo s a lez apareill ier	-|--⌫|-⌫--|--------⌫--|
et siuosmetez	-|-|--|----|
etgiraimolt co rantl o	-||---|---|--⌫---|-⌫|
par ci aler	--|-|---|
naisoinde d e morer	|-|---|-|-⌫-⌫----|
o uo sseez sorcele met	|--⌫|---|--|---|--|
sisoieztotiorz en a gait	-|----|------|-|-⌫---|
dam euostreplaisirferai	---⌫|-----|------|----|
gualetrout cort	---------|---|
parmi le s	----|--⌫|
prestess ehatee	--------⌫|----|
quealostellaamen ee	--|||----|||----⌫-|
la d e melafait deschaucie r	-|-⌫-⌫-|-|---|----------⌫|
e td etouz ses	-⌫|-⌫|---|--|
drax des poillier	---|---⌫-------|
qantd e spoilliélot	---|-⌫-⌫--------||-|
totautresinc onelpot	--|-------|-⌫-|-|--|
forss oulemant delachemise	---|-⌫-------|-|-|------|
li uilainsalafacebise	-|------||-|---|---|
qu iresamb laitespoua nt ail	--⌫|------⌫---|------⌫--⌫--|
la chan bre atouts on mail	-|----⌫--|----|-⌫-|---|
mol test hideusadesmesure	---⌫|--|-----||--------|
nule silai de cr iat ure	---|-|---⌫-|--⌫---⌫--|
ne fu ueuen enco n tree	-|-|---||----⌫-⌫---|
etsi auoit	-|-|----|
la t estelee	-|-⌫---|--|
auoi t e s tez	----⌫|-⌫-⌫--|
tant auoi testéadolez	---|----⌫|----|-----|
lesdan z roces	--|---⌫|----|
conmoi a usduef	--|---⌫-⌫-||--|
u os dique a nul fuer	-⌫-|-|--||--|---|
n edeustiesir nulefam e	-⌫|----|----|---|---⌫|
tan t auoitl ach iere grifaine	---⌫|----|-⌫|--⌫---|-------|
etuint auba in	-|---|-|--⌫-|
tozesfraez	--|------|
ausincconseilfustde suez	-----|--|-|-|---|--⌫---|
q estcefaiti l quiest	|--|-|---|-⌫|--|--|
i enequier ia	-⌫|-|----|-|
t ro uer plus	-⌫--⌫--|---|
co u chiezuos tostsi	--⌫-⌫----|--|---|-|
uosfout rai	--|----⌫--|
celelo ui t	---|-|--⌫|
hideus etlai	-----|-|--|
grantpe or	----|--⌫-|
ot iceuosdi	-|--|--|-|
queonquesmai snultel nenuit	--|-----|---⌫|--|--||-|--|
la ss efaite leque fer ai	--⌫--⌫|---|-⌫-|--|---⌫-|
criicebiensai	--|--|---|--|
les genzi uanrontau nc or	--|---||------||-⌫|-⌫-|
lors sera la hontegraignor	---|---|-|----|-------|
q elenaura de uantesté	|--||---|--⌫---|----|
biaussiredeusdemaieste	----|---|---|-|------|
opor raiale rn e	|---⌫--|---⌫|-⌫|
illa ueitasi ambes	-|-|---|-|-⌫----|
c ochiee toteenuerse	-⌫-----|---|------|
nela pristpasalatrauerse	-|-|----|--||-|-------|
etelesecommance a	-|--|-|-------||
etliuilainsfo r mant s	-|-|------|--⌫-⌫---||
si liboteoconlouit	-|-|---||--|-|--|
siquesafa mebienlouit	-|--|-|--⌫-|---|-|--|
lorslili euel esiames en	---|-|--⌫--|-⌫-|----|-|
sili afaitzz	-|-||---|-|
m enusau t	-⌫--|---⌫|
puis liprist	---|-|----|
alanciertot	|------|--|
et ele li deli uratot	-|--|-|----⌫--|--|
ne li u ee ianbe ne	-|-|-⌫-|----|-|
prestres qu el	-------|-|-|
onquesp uisse	-----|-⌫----|
ne samplaindra de lasemoine	-||-|-------|-|-|------|
qu eeltonel etagrantpo ine	--⌫|-|-----⌫-||----|--⌫--|
queilen fist	--|-|-|---|
louer uoler	-|--|----|
li preste sprant aesgarder	-|------⌫|----||-------|
siuitlo u itenbrooillier	-|--|-|-⌫-|-----------|
a upre st re monstra samoillier	-⌫|---⌫--⌫-|------|-|-------|
prestesques tc equeieuoi	------|-|--⌫|-⌫|--|-|--|
o resg ard e zque ce sera	-⌫|---⌫---⌫-⌫|--|-|---|
orestre lapr estese	-|----|-|--⌫-----|
co noistrasla tuafe s se	--⌫-------|-|-||--⌫-⌫-|
eta sn achesquisont entor	-|-⌫|-⌫----|--|---|----|
grant dol or	----|---⌫-|
li p restes fusitres plainsd ire	-|-⌫-----|-|-|---|-----||--|
qu il ne se t	-|-|-|--⌫|
que i ldoied ire	--|-⌫|---|-⌫--|
deduelque ila	-|---|--|-||
maisneu oilesl o ignier loconte	---|-|-⌫--|---⌫-⌫-----|-|----|
qantda nzcosta nzlouttant corbee	---|--⌫-|-----⌫-||--|---|-----|
horsdesa maison	---|-|-|-----|
galotrotf u	-------|-⌫|
iaenu oiee	-|---⌫---|
porfaireuenir la preuoste	--|----|----|-|-------|
danzcoustanz duneparts ac oste	---|-------||--|---||--⌫---|
iusquecelefureuenue	-----|---|-|------|
etqante lef u desuestue	-|---|-⌫-|-⌫|--------|
etelcuidaelbainen trer	-|-|----|-|---|--⌫---|
asafame uadem a nder	|-|---|-|---⌫-⌫---|
qu erequiertc este dame ci	--⌫|-------|-⌫---|---|-|
auoidancost anbia usa mis	---|--|----⌫-|---⌫-|-⌫--|
ie s uiuenuema int e f oiz	-|-⌫-|----|--⌫---⌫|-⌫--|
par foi damedo ncestbien	--|--|---|--⌫-|--|---|
queuos i soi ez orfoutue	--|--||---⌫-|-|-----|
etcelecestmolt	-|---||--|---|
siseporofri	-|-|------|
adesfandre	|--------|
etil la uaitasiames prandre	-|-|-|---|-|----|------|
porce q u ele	--|-|-⌫|--|
sedesfandoit	-|---------|
la ilcorbeesiest roit	||-|-----|-|---⌫---|
ipoistgiteryy dez	|----|----|-|--|
seli p restesf u	-|-|-⌫-----|-⌫|
lipreuos fu	-|-----|-|
auta nt oplu s	----⌫-||---⌫|
qant illa uit p ar	---|-|-|--|-⌫-|
demener siui lainemant	------|-|--⌫--------|
lifore stiers san	-|----⌫-----||-|
ritformant	--|------|
etliprestesqanti llauoit	-|-|------|---|-⌫|-|---|
ornamiesigrant destroit	-|||--|-|----|-------|
preuo sconoistuc elela	-----⌫|-----|-|-⌫--|-|
quele t umberaia	-|--|-⌫-----|-|
lipreuozfutri stes plain	-|-----|-|---⌫---|----|
set quil d oiedire	--|-|-|-⌫--|---|
porc e quil	--|-⌫|-|-|
po tuangier	--⌫|------|
quil i dona s t tot	--|-⌫|----⌫-⌫|--|
monpellier	---------|
n esistilunmotdesa	|----|-|-|--|-|-|
etcostan ssouant la ref ole	-|------⌫|-----|-|---⌫--|
delfai s setqui lauoitmol t	--|---⌫-⌫--|-|-⌫|----|---⌫|
licusest oitplusnoirsquefrox	-|--|---⌫--|---|----|--|---|
quimolt est oien t presapres	--|---|---⌫----⌫|---||---|
esgarde nttot	-------⌫-|--|
quieltone l erentmucie ́	--|-|----⌫|----|-----⌫|
qo nques decene p ris tcongie	|-⌫----|-|-|-|-⌫---⌫|-----|
quant danz coust ans lout bien	----|---|-----⌫--||--|---|
for sdesa maisonl	---⌫|-|-|-----||
elesanuaitmo lt	--||-|---|--⌫-|
galoutrotriertiaenuo ie e	--------|----|-|----⌫--⌫|
p ora men er	-⌫-|-⌫---⌫-|
la foresti er e	-|-------⌫--⌫|
e leiu inta	-⌫-||-⌫--||
podeproi ere	-|-|----⌫--|
e tqant ele fu enz	-⌫|---|--|-|--|
or li e stuetauoir sapa ie	-|-|-⌫----|----|-|--⌫-|
danzcoustanssautquimolts	---|-------|---|--|---||
qu i moltertdan nieus cou ine	--⌫|---|--||--⌫----|---⌫--|
etplusue luzcu neescl au i ne	-|---|--⌫--||-⌫-|----⌫--⌫-⌫-|
et lapiaurosseet	-|-|---|----|-|
moltparotchier efelonnos e	---|--|-|-----⌫|--------⌫|
etsi auoitil molt	-|-|----|-|---|
ai n zsinoirnu shommai s ne ui t	--⌫-⌫|-|---|--⌫|--|---⌫|-|--⌫|
cefumaruoille aesga rde r	-|-|--------||----⌫---⌫|
queil sanblo itzz uilmaufe	--|-|------⌫-|-|--|----|
il lau i t esbaie	-|-|-⌫-⌫|-----|
cestefait il ceramamie	----|---|-|---||---|
ie l afoutra iici	-|-⌫|------⌫|--|
chau t p as	----⌫|-⌫-|
auo idancostant estcega s	---⌫|--|------|--|-|--⌫|
ga suosleu erroizmoltpa rtans	--⌫|--|-|-⌫-----|---|--⌫|---|
apoquelen issi	|-|-|--||---|
etil l iuintdetel rauine	-|-|-⌫|---|-|--|-----|
lafistuolerso rle schine	-|---|----|--⌫||-⌫-----|
duremant corbee	-------|-----|
quelan enpu e tu e oir l	--|--|-|--⌫-⌫|-⌫-⌫--||
loing quise n p reis tgarde	----|--||-⌫|-⌫----⌫|----|
esgarde forestiersesgarde	------|---------|------|
faitli preuoz cequepuet	---|-|-----|-|--|---|
parle ssain zdeu cedi tliprestes	--|--⌫|----⌫|--|-|--⌫|-|------|
ci stm iro irses ta ssezorbes	--⌫-|-⌫---⌫--|--⌫|-⌫---|----|
elea locul plus noir	--||-|--|---|---|
li forestiers	-|---------|
fu sipl ainsdire	-|-|--⌫---||--|
queilneset qu i ldoie dire	--|-|-|--|-|-⌫|---|---|
mais ce l anfaitr e conforter	---|-||-|---|-⌫-⌫--------|
quel u nsnen puet	--||-⌫-||-|---|
costa nzl o b iencorbe e	-----⌫-|||-⌫--|-----⌫|
etretor neeet es tube e	-|-----⌫--|-|--⌫----⌫|
aluis lien s eigne la uoie	||--|-|--⌫-⌫----|-|---|
tantsoe fla	---|---⌫|-|
dame conuoie	---|------|
u olerouput el	-⌫---|-|---⌫-|
sanzpeliconetsa nzman t el	---|------|-|--⌫-|---⌫-⌫-|
etsa coteremaintengages	-|-|---|------|-|----|
m olt parfu dame ys sa bel	-⌫--|--|-|---|--⌫--⌫--|
to tio rz tint sa hancheen samain	--⌫---⌫-|---|-|-----|-|-|---|
orescotezdesonu il ain	-|------|-|--|-⌫--⌫--|
auton el uient selde sco uri	-|---⌫-|----|-||--⌫---⌫--|
por locuer	--|-|---|
b eq u eestceci	-⌫|-⌫-⌫|--|-|-|
quia setonelenplumé	--||-|----|-------|
od euoiemestremonble	|-⌫----|-----|--|--|
parles iauzdeie la rdre ia	--|--|---|-|-||-⌫---|-|
donprantlofeusil ibota	--|----|-|--|-|||---|
etilcommancaab rul er	-|-|-------||-⌫---⌫-|
lo tonelfo ntiu s	-|----|--⌫-|--⌫|
totestoient deplumee nclox	--|-------|-|----|-⌫----|
i paroituantre nedox	|-----|-----|-|--|
testene iame necos te	----|-|---|-|---⌫-|
qu it uit ni	--⌫|-⌫--|||
fusentenplumé	-----|-------|
aschansfuientpar	-|----|-----|--|
etcostanzpran tune macue	-|------|----⌫|--|----|
si sa nt orne	-||-⌫|-⌫---|
apresauxtornant	----|--|------|
toziorzloruintses	--|---|--|---|--|
chie nshuia nt	----⌫-|----⌫-|
houhouchanb ertmansel	--|--|-----⌫--|-----|
parl ame d emar ti nhane l	--||--|-⌫|---⌫--⌫|----⌫|
monperequi	--|---|--|
b ien m e norri	-⌫--|-⌫|----|
puis l ore queman genoi	---||--|--||-|----|
noimais parlerdeteus bestes	|-|---|-----|-|---|-----|
seianp o is seauoir lestestes	-||-|-⌫-⌫--⌫-|----|--|-----|
ielesporterai mon seignor	-|--|-------|--|------|
ora c ha scuns	-||-⌫--⌫----|
dausgrantpe or	|--|----|--⌫-|
painentdetostfoir	------|-|---|---|
etchienscommancentaue n i r	-|-----|---------||--⌫-⌫-⌫|
balofarz lich ien s aupreuost	-------|-|--⌫---⌫|-|------|
lo saisi stas manchestantost	-|-----⌫-|-|------|------|
portaplaine sagole	----|-----|-|---|
liprestesierten malefol e	-|------|---|-|---|---⌫|
que es m eraudesa	--|--⌫-⌫-----|-|
lo prantas c o illonspa r darriere	-|----|-|-⌫-⌫-----|--⌫|-------|
qu imoltestgranz etmer ueilleuse	--⌫|---|--|----|-|---⌫--------|
por noi antimeist	--|---⌫--||----|
q esme raudefusib ienprise	|----⌫----|-|-|-⌫--|----|
portrest ot lo rqui est	--|-----⌫-||-⌫|--|--|
anpar t istils anzmah ai nz	-|---⌫-⌫--|-|-⌫--|---⌫--⌫-|
lipr estes	-|--⌫----|
f ulaset estainz	-⌫|--|-|------|
sisestla issiezuer ser a	-||--|--⌫-----|---⌫--||
et costansl estalez requerre	-|------||--|---|-------|
oto tla m acue griesche	---⌫|-|-⌫---|-------|
tele lido nealatr auer se	---|-|--⌫-||-|--⌫----⌫-|
quilofist yy tors	--|-|---|-|---|
u oilleon onlocouintu erser	-⌫----||-⌫-|-|-----|-⌫----|
qantilliotlesch iensostez	---|-|-|-|--|--⌫---|----|
ap resles y y	--⌫--|--|-⌫|
auoit u n leurier	----|-⌫|------|
adoncconsuit lofor esti er	----|------|-|---⌫----⌫-|
descuissesli traityy brao ns	--|------|-|----|-|----⌫-|
estes uosplus deyygai gnons	----|--|---|-|-|---⌫----|
