#ME TA# TextURIAigarB	---⌫--|------|-----|
#META# DEAFhttp//www.deaf-p age.de/bi bl/ bib99a .php#AigarB	-----|---|----------------⌫---------⌫---⌫------⌫----------|
#ME TA#FEW	---⌫--|--|
#META#ARLIMAhttps// ww w.arlima.net/ad/aigar_et_maurin . html	-----|-----|-------⌫--⌫-------------------------------⌫-⌫---|
#ME TA#Au thor	---⌫--|--⌫---|
#META#AuthorBorn	-----|---------|
#META# AuthorB ornAmb	-----|-------⌫-----|
#META#Au thorDied	-----|--⌫-------|
#META#AuthorDiedAmb	-----|------------|
#MET A#AuthorFl1	----⌫-|--------|
#MET A# Au tho rFl2	----⌫-|--⌫---⌫---|
#META# TextTitle Aiga ret	-----|--------|----⌫|-|
#META # TextSubtitle	-----⌫|-----------|
# ME TA#T extuols	-⌫--⌫--|-⌫------|
#META# Tex tSubiepic	-----|---⌫----|---|
#META#Text Dom lit	-----|----⌫--|--|
#META #Translati onfalse	-----⌫|---------⌫-|----|
#META#Coll ection	-----|----⌫-----|
#META#CollectionNo	-----|-----------|
# META#TextDescARLuersdécasyl labique s rép artisenlaissesmono rimes	-⌫----|----------|---|--------⌫-------⌫|----⌫----|-|------|----⌫----|
#META#TextDe scuers	-----|------⌫-----|
#META#Te xtDa teARL12e	-----|--⌫----⌫----|--|
#META# TextD ateAdi	-----|-----⌫-----|
#META#TextDateMin1 166	-----|----------|-⌫--|
#M ETA# TextDa teMax	--⌫---|------⌫----|
# META# EdEditor Alfred	-⌫----|-------|-----|
#META#EdP l ac e	-----|---⌫-⌫--⌫|
#META#E dPublisherRomanischeF orschungen	-----|-⌫---------|---------|-⌫---------|
#META#Eduol14	-----|----|-|
#META#EdYear1903	-----|-----|---|
#ME TA#EdPages1 -102	---⌫--|------|-⌫---|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
#ME TA#MsN u m1	---⌫--|---⌫-⌫||
#META#MsDateARL	-----|--------|
#ME TA# MsDateAdi	---⌫--|--------|
#M ETA# Formu	--⌫---|---||
#META#Complete true	-----|-------|---|
#META# NoWords	-----|------|
#M ETA#NoLines	--⌫---|------|
#META# DialAuthocci tan	-----|-------|----⌫--|
# META # D ia lS cribe	-⌫----⌫|-⌫--⌫--⌫----|
#META #ScanURLhttps//archi u e .org/ d etai ls/romanisc heforsch14franu oft	-----⌫|------|------------⌫-⌫-⌫-----⌫-⌫----⌫-----------⌫---------------⌫--|
#MET A# ScanURIOther	----⌫-|-----------|
# META# ArkID ark/13960/t93 77i81 z	-⌫----|----|-------------⌫-----⌫|
#ME TA#Lccn I D	---⌫--|----⌫-⌫|
#META# Oc lcI D	-----|--⌫---⌫|
#MET A# We bAuth or Dau id	----⌫-|--⌫-----⌫-|---⌫-|
I osephWr isley	-⌫----|--⌫----|
Quatrearpen ss esdel a	-----|-----⌫||-|-|-⌫|
terreeslaissas	----|--------|
Efualiegresco me re fu	|-|-------|--⌫|-⌫-|-|
Falc t r assaresnesoslom bre d	---|-⌫-⌫-|-|----|--||--⌫--||
Sic artapelepercosse ldem andar	---⌫--|----|--|-----⌫|---⌫----|
brocelodestrer balçanuar	----|-|------|------|--|
ÇoesLirons quauesa uit	--|-|-----|-|---|-⌫--|
Kifunorisenforessans bai llar	-|-|----|-|----|---|---⌫---|
DontloIIIbrequelo	---|-|--|-----|-|
anna rent enblar	----⌫---|-----|
E Sa lapanslifeslo	|--⌫-----|-|--|-|
brac nodar	---|----|
Nu bi e l e nmane	--⌫--⌫||-⌫----|
per conprar	--|------|
Be n doze mile de beza nslenfetdar	--⌫|---|---|-|----⌫-||-|--|--|
Ala reiginelenuiet	|-|------||-----|
annetp er pro eceacat ar	----|-⌫-|---⌫--|----⌫-|
En isleF ade quant	-|---|-⌫--|----|
iuenc arberiar	|---|-------|
Detli ladosneq ue l	--|-|-|----|-⌫--⌫|
tenie moltcar	----|---|--|
Personcatencepersanor	--|--|-----||--||---|
Eel Sicartqui	|-|-----|--|
neluoltp uis	--|---|-⌫--|
Karlouit grant ebonper	--|-|--|----||--|--|
EBertranspoins Abstrugetlo	|-------|----|--------|-|
Tantbo n cauaunonaui thomnomar	---|--⌫|----|--|---⌫|--|----|
Draugue lofal Roïnde	------|-|--|----|-|
Neguns de cor remot	-----|-|---⌫-|--|
nonPausesona r	--|----|----⌫|
ElproeRenelme sl o brun Eliaz ar	-|---|-------⌫|-⌫|---|-----⌫-|
Cort e iscauause de	----⌫-⌫-|-----||-|
cor r e e danblar	---⌫-⌫|||-----|
E Asce linsCobeitos loliar	|----⌫---|-------|-|---|
F olque deSaur elAlfe rrantdoltr emar	-⌫----|-|----⌫||----⌫----||----⌫---|
Kelco ms Ma urins l ai ga ieg netli	--|--⌫-|--⌫----|-⌫-|--⌫---⌫--|-|
KantaRodans fual	---||-----|-|-|
torneime scl ar	-----|--⌫---⌫-|
LoMau rdeTir	-|---⌫|-|--|
Enterr esec equancposnon poc leuar	-|----⌫|---⌫|-|--|--|--|--|----|
Folcondon et quantnonli	-----|---⌫-|----|--|-|
Kels eusfomor s	--|-⌫--|-|---⌫|
aPeridealintrar	|-----|-|-----|
De XXXlance smaintenantsans lançar.	-|--|-----⌫|---------|---|-------|
M aurinsfesFortuneslaiss ar	-⌫-----|--|-----|-------⌫-|
Anenonfobesteq u iaului	--|--|-|----|-⌫-⌫|-|--|
po s annar	--⌫|----|
Aitaus peruises greus a a iostar	-----|-----|-|----||-⌫-----|
Quantleperdra	----|-|-----|
Maurinsdemorts e gar.	------|-|---|-⌫|---|
Eresont setperloconseil	--|---|--|--|-|------|
Segnerdis F a lceu	-----|--|-⌫-⌫-|-|
Ladesfianceaifetaraisona r	-|--------|-|--|--------⌫|
Ede ibenma im aguer r e	|--⌫|--|--⌫|-⌫|----⌫-⌫|
comenc har.	------⌫---|
Folquere spontAnnem losencalchar	-----|--⌫----|----|--|--------|
E nlasherberie s pe rt erme dabeurar	-⌫|--|--------⌫|--⌫|-⌫---||------|
Enossiem c ent al	|--|---|-⌫--|||
E uosa milannas uosenbuissar	|--||--|----|--|--------|
Eels fil s del	---|---⌫|--|
re i e s leusatr aginar.	--⌫|-⌫|---||--⌫------|
—Cenbeausden ui s es	|-------|-|-⌫--⌫|-|
malz aencalcar	---||-------|
Cedis Maurinslaissemaiçoestar	-|--|------|------|----|----|
Kelre iss et be n s o s os ent regaitar	--|--⌫-|-⌫-|--⌫|-⌫-⌫|-|---⌫-------|
Elo matinqua ntuiraloior ciar	|-|----|---⌫-|---|-|--|---|
Fera pe rTost to s so s graisle ssonar	---|--⌫|---|--⌫|--⌫|-------⌫|----|
En uostresterres interra herbreiar	-|------|-----|------|--------|
EaPeri deuenra	||----⌫-|----|
pe rtorne iar.	--⌫|-----⌫---|
Annem nosengarnir e adobar	----|--|-|-----||-----|
L os elmsbrunirelos o sb ersbreiar	-⌫-|---|-----||--|-⌫--⌫--|-----|
Tosch arlaslancese losas tesdreça r	-----⌫-|--|-----||--|--⌫--|------⌫|
E los caua usabaureconredar	|--|----⌫-|-|---|-------|
K alpreme r ial lor	|-|-----⌫|--|--|
toldreml o ma niar.	------|-⌫|--⌫----|
Eu aiuegut	-|-|----|
re i a l roteaiostar	--⌫-⌫-⌫|---|------|
cantantepuisplorealtornar .	------||---|----|-|------⌫|
C e disSica rs Mil slo poriam	-⌫|--|----⌫-|---⌫|-|-----|
Kia celatnos sabrieguidar	-||----|--|-----|-----|
oltr e celeost	----⌫|---|--|
Lainonac ho mequipuisse	--|--|-|--⌫-|--|-----|
a rmes portar	-⌫---|-----|
Kel reis a c	--|---|-⌫|
seiqu antp otm enar.	--|--⌫--|-⌫-|-⌫----|
Gentnos estereun	---|--|-----|-|
castel laironar	-----|-------|
AlamaisnadeFalc on	|-|-------|----⌫-|
p oguesestar	-⌫----|----|
Enm i lo rterreperl onor	---⌫|--⌫|----|--||---|
—Eus ai d isFalcopo dem	|-|-⌫-|-⌫-|---||--⌫--|
La nsnoncuit querensi	--⌫-|--|---|--|--|||
E esmos dreis	|-|--|----|
seuipodieintrar	|-||----|-----|
Ke lre isdonet mama ire	--⌫|--⌫-|----|-|--⌫--|
am ar i ar	|-⌫--⌫-⌫-|
Poslibausetqu e nolli uol e	--|-|-----|--⌫|--|-|---⌫|
CedisSicarsAnnem	-|--|-----|----|
losessaiar	--|------|
Ee lremaignentperlaterregardar.	|-⌫|---------|--|-|----|------|
Fazemlacoce esiema nduipar	----|-|---||---|-⌫---|--|
Ke maldeittraire p ros	-|--|---|-----|-⌫--|
h om pergaie g nar .	-⌫-|--|----⌫-⌫---⌫|
—Seig ne rdisFalcn o nfaimaisa	|----⌫--⌫|--|---|-⌫-⌫|--|---||
tariar. Aiquest con sseil ant frematpercel ar .	------|------|---⌫----|--|-----|--|---⌫--⌫|
Loconsaus partquantsolaus fucolchans	-|------|---|----|-----|-|-------|
Elco msMaurinsuaierberiarabans.	-|--⌫-|------|--|-------|-----|
Drauguese Fol quese SicarslAlemans	-------||---⌫---||-----||------|
E lorco npai gnequisontbonesegra ns	|--|--⌫----⌫--|--|---|----||---⌫-|
M ileset censabelmsrefla mb eians	-⌫-||--|---|-|---|-----⌫--⌫----|
EBos losguid eperlosualsd es Karra ns.	|--|--|----⌫|--|--|---|-⌫-|-----⌫--|
Aisse nt las aut quant fu iau cans	-----⌫-|--|--|----|-|--|---|
Aikilspassetlo	-----|-----|-|
p onteners Io ans.	-⌫-------|--⌫---|
Del portdAissen dai q ui entrosal Lans	--|---||-----||--⌫-⌫-|-----|-|---|
Adoeligu esde dreis	|--|----⌫-|-|----|
cemi ns errans.	----⌫-|------|
LoFarslocl au	-|---|-|--⌫-|
uneaigu e perillans	--|----⌫|--------|
Tot en rodonteomesolausuira ns	--|-|-----|---|-----|----⌫-|
Eentr el sdos	|----⌫--⌫|--|
estlo uau s d eBrians	--|-|---⌫|-⌫|-----|
EliAnfrun alo saces	|-|-----||--⌫|---|
le sl ances com es leuaslibans.	--⌫|-⌫----|--|-|----|-|----|
Kiperbatail leladebent cost umans.	-|--|------⌫-|-|-----|----⌫-----|
Milcau a illersaben lai ̈ns intrans	--|---⌫-⌫-----||--|---⌫--|------|
Ki ant maisnadesemoillers	-|--|--------||-------|
Cauau searme s esalu ag es ta lans	-----⌫||----⌫||----⌫--⌫-|--⌫---|
Keloplusuilses fers	-|-|---|---|-|---|
eguerroians.	|----------|
Li duic astelantgue rr oiat	-|--|-⌫----|--|---⌫--⌫---|
Pe r lacostume kiesdeneuf	--⌫|-|------|-|-|-|---|
C adune naus lor d eitIIIcen sbezans	-⌫----|---|--|-⌫--|--|---⌫|-----|
pasnoner entrausdurans.	--|--|-|------|------|
Demanerfinsansl o sol eilleuans	----|-|---|--|-⌫|---⌫--|-----|
KaFalconerius tiseeaclinans	||-----|-|---⌫---||-------|
Ri xn er tlisegnre quiauraa	--⌫||--⌫|-|-----|--|---||
al r ei pogr asa .. .	-|-⌫-|----⌫|-|--⌫|
EaPerideer	||-----|-|
Maur[in s]...	-------⌫-|--|
De sobrelc olles	-|-----|-⌫-|--|
descend...	------|--|
Ke çai uendr ont.. .	-|---|-----⌫--|--⌫|
Elo reisne r e	|-|---||-⌫||
Tos lier iaucuers.. .	--|-|-|---|---|--⌫|
Erenert gu erred...	-|-|--|--⌫---||--|
uaitsenSicars e.. .	---||-|-----||--⌫|
EBos losguidepe r.. .	|--|--|----|--⌫|--⌫|
Al Lans losa cen la...	-|---|--|-⌫|-|-|--|
Aiqui senbuissenteluer[dier].. .	----||---------|-|--------|--⌫|
Loca steluirentqua nc...	-|--⌫---|-----|-|-⌫-|--|
Autsiet en	--|---|-|
rauquela...	-----|-|--|
Eiosalp eu lasaleelp. . .	|--|-|-⌫-|-|---|-||-⌫-⌫|
Loscanbres uoltesels . ..	--|------|-----|--|-⌫-|
E la capele	|-|-----|
Etoses c laus sanspon	|--|-|-⌫---|---|--|
uermelacmaior...	-----|-|----|--|
Deuauas sorqui sont...	-|-----⌫--|--|---|--|
Abgr ant solers clausd	-|--⌫--|-----|----||
M aisenos tsont tu itper...	-⌫--|-|--⌫|---|--⌫-|--|--|
Ebaslo ncl ai guee l	|--|--⌫-||--⌫--|-⌫|
BenI umile a[t os] ior[s]	--|-⌫|---|---⌫--|-----|
Laig uede l Farlos cl[au] . ..	|---⌫-|--⌫|--|--|-----|-⌫-|
Lamars i uencIII	-|---||---|--|
K ifa itsontordell a ...	-⌫|--⌫-|--|--|--|-⌫|--|
Per kei li	--|--|-|
Etal se ig ner ueim olt...	-|-|--⌫--⌫--|--|-⌫--|--|
L o iors esclai r e pe rmile ...	-⌫|---|------⌫-⌫|--⌫--|-|--|
SicarsdemandeBoso n ...	-----|------|----⌫|--|
S ignerdisBosnon. ..	-⌫----|--|--|--|-⌫-|
K ech aïnssontmei	-⌫|--⌫----|---|--|
Mostresenseigne e en ...	-----||-------||-|--|
Q uantlauerres	-⌫---|-|-----|
Intra rpo res perlos	-----⌫|--⌫--|--|--|
Laïns uai Falcs	-----|--|----|
E sosl a cape	|--|-⌫|---|
cascu ns . ..	-----⌫-|-⌫-|
elelmeele s[c ut]...	||---|||-⌫---⌫-----|
laporte slquere...	-|----|-|--|-|--|
Soa uapel e	---⌫|----⌫|
l eporter ...	-⌫|-----|--|
Eelquant auts onuerz	|-|----|--|-⌫-|---|
Olbretla p ortesans...	-----|-|-⌫---|---|--|
E Bosqua ntintrepermi	|--|---⌫-|----|----|
Manaceel gen dre	-----|-|---⌫--|
ue rslauepor te ...	--⌫-|--||---⌫-|--|
Sonconpalgnonapele...	--|---------|----|--|
Ki lap osterne olbr[et]	-|-|-⌫------|-------|
EBossenmonte s us...	|--||-|----|-⌫-|--|
Gete lalanceeense g[ne] .. .	---|-|----||----⌫----|--⌫|
E Sicarsintre ...	|-----|----|--|
Tuit son t e n terrepe r...	---|---⌫|-⌫|----|--⌫|--|
Etui lih ome...	|--|-|-⌫--|--|
Per en ilance...	---⌫|-⌫|----|--|
Ne nus l autre non	-|--||----|--|
Mais pren d e r...	---|----⌫-⌫-⌫|--|
uaiper. ..	--|--|-⌫-|
AnnasF a lcontuit .. .	----|-⌫-⌫---|---|--⌫|
soig nernan...	----⌫--|--|--|
Esabestuitquelre is	|----|---|---|--⌫-|
Deuostreauei rni per...	-|-----|----⌫|-|--|--|
.. . entent	--⌫|-----|
.. .me rendent	--⌫|-|------|
... esfend ent	--|------⌫--|
...[en]uaïment	--|-----------|
...esgarent	--|-------|
...ensement	--|-------|
...alq u esaiostas	--|---⌫-⌫-|------|
...nusseignoras	--|--|--------|
... seus guerrias	--|---|-------|
... sonte nsanbl eenpas	--|---|-⌫------⌫|-|--|
... siafin as	--|-|----⌫-|
...mentda mist as	--|---||-⌫----⌫-|
... scoro nas	--||----⌫--|
...arlosfe ltas	--|-|--|--⌫---|
...losc aualscorsas	--|--|-⌫----|-----|
...r ei ui as	--|-⌫-|--⌫-|
...rsescania s	--|-|-|-----⌫|
... loriretas	--|--|-----|
...silorpl as	--|-|--|--⌫-|
.. . ansercasas	--⌫|--|-|----|
... er em a ssas	--|--⌫-|-⌫---|
... [quant	--|-----|
so]l ausfu le uas	----⌫--|-|--⌫--|
.. .SantG ermane spras	--⌫|---|-⌫----|-⌫|---|
...[ce]n bels trias	--|-----⌫---|----|
... e d armas	--|||----|
.. .re i barn as	--⌫|--⌫|----⌫-|
.. . ga rdees	--⌫|--⌫--|-|
... [t o]rn eiaficas	--|--⌫----⌫-|-----|
... repairas	--|-------|
... forsiet as	--|---|---⌫-|
.. .dardi se d essaias	--⌫||----⌫|||------|
... coceaduras	--|---|-----|
... en tr esegna s	--|--⌫--⌫------⌫|
...dema ndas	--|----⌫---|
... que la ias	--|--|--⌫--|
... trobas	--|-----|
...ndread alm a s	--|---|--⌫---⌫-⌫|
...taignenas	--|-----|--|
...[tor]neises mesclas	--|--------|-|------|
.. .en eenpas	--⌫|-||-|--|
...desraucas	--|--------|
...engolas	--|------|
...entail las	--|------⌫--|
. .. [me]ssagesint ras	-⌫-|---------|---⌫--|
...eabr ieua s	--||---⌫----⌫|
... abuneslas	--|-|---|--|
...econtas	--||-----|
... [noner	--|---|-|
ia]m oscelas	--|-⌫-|----|
... s uoses	--||--|-|
...ca uali as	--|--⌫----⌫-|
...[ f ulii]ors	--|-⌫-⌫|-|----|
esclaira s	--------⌫|
...[s usen	--|--⌫-|-|
... eforcas	--||-----|
.. .desi retas.	--⌫|----⌫-----|
r eisanc non fo t anti ras.	-⌫--|--|--|-|-⌫--|-⌫---|
Mandet son	-----|--|
filquispe rcesdesramas	--|---|--⌫|--|-------|
Ecellofai q ui gentes ensegnas.	|--|-|--|-⌫-|---|-|--------|
Ass as i laisse	---⌫-||-----|
des m orsedesnafras	--|-⌫--||--|-----|
Descauaillers ades	--|---------||--|
caualss el as	-----|-⌫--⌫-|
Abgr ans saietes	-|--⌫--|------|
ea darsenpenas .	||---|-------⌫|
Kiac perdutsac perdut	-|-|-----||-|-----|
s esiur as.	-⌫-|---⌫--|
est ossesafars canias.	-|-⌫-|--|----|------|
Ansquesesie une	--|--|-|--|--|
ligueeslonia s	----|-------⌫|
AM aurincomteesmessagespassas	|-⌫----|----|-|-------|-----|
Ki d isl afarc o me ntsesie annas	-|-⌫-||---|-⌫-⌫--⌫-|-|--|----|
Sin esMaurinsablos seus	--|-|------|-|--|---|
Kelreissaur a an sq u esi e arbreias.	--|---|----⌫|--⌫|-⌫-⌫|--⌫|--------|
u ait s entloreisparm i un e	-⌫--||--|-|---|----⌫|--⌫|
Pereis harberstome	--|--|------|---|
filsmanelarrergarde reniade	---|---||---------|------|
Milcauaillers	--|---------|
de conpaign e triade.	-|--------⌫|------|
Trestotloiorasost c ontre gaitade	------|-|--|||--|-⌫-----⌫------|
Descialseir qu elor failla	----|-|---|--⌫|--|---|-|
ior n a d e.	---⌫-⌫-⌫-⌫-|
El gaut enestl	-|---|-|--||
arreregard eintrade	----------⌫|------|
Maurin slo secco nuit l	------⌫|-|--|--⌫|--||
aurebaissade	---|-------|
Aescaritau.ce ns de	|------||-|--⌫-|-|
Kel sa p cauzi sdefort	|-|--⌫|-----⌫|-|---|
conpaigneausade	--------|-----|
TosdePerid ee	--|-|-----⌫||
d Eissen t	|------⌫|
sa cont ra de	-|----⌫--⌫-|
KisontaFost	-|---||---|
a migenuitpassade.	|---|---|-------|
LaifesMaurin s loco msune	--|--|------⌫|-|--⌫-|--|
KenFost alreies	|-|---|-|--|-|
intrasa celade.	-----||------|
u sont au luide conpaigne	|---|-|--|-|--------|
Fol queeRenelmesePonsde Pierel ade	---⌫--||-------||---|-|------⌫--|
loBaiuersdisleFade	-|------||---|---|
Kiuaiobelsuneen segne enlacha de.	-|--|-|--|--|--⌫----|-------⌫--|
L otrap reiauconucal	-⌫|---|----|----|||
escla irade	-----⌫----|
Kelicarbo nc lefan entorper	-|-|-----⌫--⌫-|--|----|--|
Li milIn glesantlautrenuit	-|--|--⌫---|--||----|---|
Cuifuals eirlagait ec oman d ad e	--|-|-|-⌫--|-|----⌫|-⌫----⌫-⌫--⌫|
Endurmisontperprat a	------|---|--|---||
cas cunss ace laslui	---⌫---||--|--|--|
QuantMa urinsuitle skergaite colcade	----|--⌫----|--||-⌫--------|------|
Alleitdel rei acsalancelan çade	-|---|--|--|-|-|----|---⌫----|
Lo c obreto r t re ncete la felç ade	-|-⌫------⌫|-⌫--⌫---||-|-----⌫--|
K ifode porpreede	-⌫|-|-|-----||-|
samitolbr ade	----|----⌫--|
El prat lasl uin	-|---|--|-⌫-||
am esunebra çade.	|-⌫-|--|---⌫-----|
Kan tuitloreislon c	---⌫|--|-|---|---⌫|
seilaste passade	--||---|------|
Cuide perue ir q uesamors seit	----|--|--⌫-|-⌫-|-|---|---|
Tosnuscobret	--|--|-----|
sonescutese spade.	--|----|||-⌫-----|
Li canberl en csaill ent al amesclade	-|-------⌫--⌫|-----⌫--||-⌫|-------|
Folque feri Oelinde Belnade	-----|---|----|-|------|
EltosRene lmesMaletde ual Penade	-|--|----⌫---|----|-|--|-----|
E PonsBegond	|---|----||
o l trela ma rsalade	-⌫-⌫--|-|--⌫|-----|
EAler an sacse[n] seignebai ssade	|----⌫--⌫|-||----⌫-----|---⌫----|
El pesBerautac	-|--|-----|-|
salance fremade	-|----|------|
crabente arrer en	-------|----|-|
Descanb erlen santla cam brelibrade	--|----⌫-----⌫|--|-|---⌫--|------|
a ntmorsFransdebonel inade.	-⌫-|---|----|-|---|-⌫-----|
E ob aitant	|-|-----|
e slorgensadunade	-⌫|--|---|------|
Elcapdelost fantloresporon a de	-|--|-||--|---|--|-------⌫-⌫-|
Met ent lofocala	---⌫--|-|--||-|
lunecolcade	---|------|
Efantl o rgraisles sonar a	|---|-⌫-⌫|-------|----||
Comesifusgransbataillei urade.	---|-|--|----|-------|-⌫-----|
Mau rinss en is e	---⌫---||-|-||
acsagentiostade	-|-|---|------|
Co rteisementlalanu itc adelade	--⌫---------|||-|--⌫-|-⌫------|
Esansma zan s	|---|--⌫---⌫|
conoie a laironade	|-|--||--------|
Ab ansque lossesieramen brade.	--⌫--|--||-|-|--|-----⌫-----|
Lofilsdelreiacsabroigne endossade	-|---|--|--|-|-|------|--------|
laçat e senseignefermade	-----|||-------|------|
Unaconpaigneenesablu icob rade.	--|--------|-|-|-|--⌫|---⌫----|
Dreitu ersP erideencalcent	----|-⌫--|-⌫----|--------|
p er lestrad e	-⌫-||------⌫|
Aiqueleterre	------|----|
ac Maurinsobliade	-|------|------|
KeuersloLansasaresne	-|---|-|---||-|----|
Eissen t eralaube escla i rade.	------⌫|-|||---|-----⌫-⌫----|
Lo fils del	-|---|--|
rei en calcepe r	--|--⌫----|--⌫|
Ma isas seusfu	--⌫-|-|---|-|
etor nasega udie	|---⌫--||--⌫---|
E sansconiatcomslo	|---|-----|---|-|
reinondesfie.	--|--|------|
E sunt IIIcent tuitenune parie	|---|--|---|---|-|--|----|
Ce ntni remainent	--⌫-|||--------|
qui cuide ntfarbauzie	--|-----⌫-|--|-----|
Ponçon ui scomtedeTubie	------|--⌫-----|-|----|
Kia calLanstore	-|-⌫|-|---|--||
s aleel estie	-⌫--||-⌫----|
Eparl as rues	|--|-⌫-|---|
partoterbergerie	--|--|---------|
Eni ac home delui	|||-|---|-|--|
casasno nsie.	----|--⌫|---|
Cellosretenc e s amoillers	--|--|-----||-⌫|-------|
Edone t l o rsonaue irsans faill ie	|----⌫|-⌫-⌫|--|---⌫-|---|-----⌫-|
Destrer slordonee palefreis dU[n]grie	-------⌫|--|---||--------||-------|
Aur eargentealtremananti e	--||-----||----|-------⌫|
Tr estotel os es parelesbaldie.	--⌫-----||-|-|--|-|--------|
El coms Maurins	-|---|------|
uerspor[t ]dEi ss entembr ie	---|-----⌫-|--⌫--⌫--|----⌫-|
Lautreconpaigne encon tr ee[n] mis auie	|----|--------|-----⌫--⌫|---|-|-⌫|--|
ac unque non baisenon rie	-|-|--|--|---||--|--|
AobsFal con los fer me	|--|---⌫--|--|---⌫-|
elospla idie.	|--|---⌫----|
Bertranapelequil	------|----|--||
escaelor deu i e	----|--|---⌫-⌫|
Kelt raisla	|-|-⌫---|-|
ostable scl arzie.	--|-||-⌫---⌫-----|
Aisinloraubelor	----|-|----|--|
a Bertransp artie.	|-------|-⌫-----|
Grant aueir doneepramete afie	----|----|---||-----||---|
Failosiurarsorbre	--|--|----|-----|
sant Ieremie	---|------|
EndreitFalcon tostensmasseignorie	-|----|-----|------|--|--------|
Eab sonoessedeluidefaillie.	|-|--|--|-|-|--|-|-------|
lor pa sselo	--|--⌫--|-|
p o ntenersGarsie	-⌫-⌫------|-----|
Des soslo Lan s e nlapradeflorie	---⌫--|-|---⌫|-⌫|-|----|-----|
Sont aiostatab altr econ pa igni e.	---|------|-|----⌫|---⌫--⌫----⌫-|
Tote la gensesencontre el sissi e	---|-|---|-|-------|--⌫|----⌫|
EisliEnfrunqui sontplandefelni e	--|-|-----|--|---|---|-|-----⌫|
B ensontuintmil e dontla	-⌫-|---|---|---⌫|---|-|
uais esgarn ie.	---|-|----⌫--|
daueir ed amor lesc onuie.	|----|||---|--|-⌫-----|
As sasac Falsc a	--⌫--|-|----||
cu ifacefulie	--⌫|---|----|
De cau ai ll e rse sans mot dementie	-|---⌫--⌫--⌫-⌫-||---|--|-|-----|
Be nso ntI IImiledefort conpaigne	--⌫|--⌫-|-⌫-|---|-|---|--------|
Ecas cunsd	|---⌫---||
broigneuest ie	------|----⌫-|
Sonelmlaça t	--|--|-----⌫|
enseignefremie.	-------|------|
sefientenlo rc auaill erie	-|----|-|--⌫|-⌫------⌫---|
redolt en tconrien	------⌫--⌫||-|---|
losd esc onfie	--|-⌫---⌫----|
Proc uira nt lostentr osqua	---|----⌫-||--|----⌫-|-||
merquesdie.	------|---|
Al benmatinquantlalbepert elt ron	-|--|----|----||---|---|-|-⌫--|
faimotes esontbendesaison.	--|----||---|--|-|------|
Centgraislecomentperto tel	---|------|-----|--|--⌫-||
os ten son	--⌫|-|--|
E s ontcuei l litlitra t	|-⌫--|----⌫-⌫--|-|---⌫|
elpauillon	-|-------|
Auentlam essedelabatNeuelon.	----|-|-⌫---|-||---|-------|
Epuis apeleGaleran e Sanson	|---|----|------||-----|
Luns es sos ca s edrus de	|--|-|--|--⌫||---|-|
Elautrefils	||----|---|
acon estable	|---⌫------|
Perloreiame poignes	--|-|-----|------|
a besporon	-⌫|------|
Mon rereban	--|------|
fait cridar abandon	---|-----|------|
gransp laisnon fu t ant leusa	----|-⌫---|--|-|-⌫--|---||
Maislomaior sdeue m premersme nar	---|-|-----⌫|----⌫|------|--⌫--|
Asa n iebodelo fa zem	|-|-⌫-----|-|--⌫--|
parentnondeudesiretar .	-----|--|--|---------⌫|
Come u uenie perloperi ldemar	--|-⌫|----|--|-|----⌫|-|--|
En isle F ademefestDex arribar.	-|---|-⌫--|-|---|--|-------|
feziemon c atencafiar	----|--|-⌫----|----|
Ebailletm en uns on dr ubace lar	|------||-|-|-⌫-|--⌫|----⌫--|
CesA lera nsquauesauitnomar	|-|-⌫----⌫-|-|---|---|----|
Abtausuintmileper	-|---|---|---|--|
Toslo sorderessabbent or nei smes clar.	--|-|-------|--|--|-⌫--⌫---⌫|---⌫----|
Tant commos corporaa rmespor tar	---|--|--|--|---|-⌫---|---⌫--|
Nona uraireisribere nicacha r	--|-⌫---|---|-----|-|-----⌫|
Tr osel r eia m e li	--⌫-|-|-⌫---⌫-⌫|-|
facedeuiar	---|-----|
E p ar mi loc part iremeitiar	|-⌫-|-|--|----⌫-||------|
Comtepercomte educ pe r duc	----|--|----||--|--⌫|--|
C it atp eraltree	-⌫--⌫-|-⌫-|----||
castelpers onp ar	-----|--|-⌫-|-⌫-|
Esaigrem ent contre un	|-------⌫--|-----|-|
aut reiurar .	---⌫-|-----⌫|
EFa lco n facesoscouens	|--⌫---⌫|---|--|-----|
Kepossamort lo ueiemcoro nar	-|--|-|---|-|----|----⌫--|
EposBernart a	|--|------||
uiane acui tar	----|----⌫--|
K asonlinage	||--|-----|
louimesachatar .	-|----|-------⌫|
Ede m eusplaisnonac	|-|-⌫--|----|--|-|
maisatarzar	---||-----|
Bedemmonf eu queu li	----|--|-⌫-|-|-|-|
uoleachatar	---|------|
apenace mafettrabe lla r	|----||||--|-----⌫---⌫|
Am osfeuscreistreeabaueirdona r	|-⌫-|---|-------||-|----|----⌫|
M epo tbenlir etote delcor	-⌫|--⌫|--||--⌫|---|--|--|
Esaiço nontro squa isorbredurar	||----|--|---⌫|-|-⌫|----------|
A ueml a gue rrec	-⌫--|-⌫|---⌫--||
unsnon po t	--|--|--⌫|
desmes clar	------⌫---|
mortentremeie Aig a r	---|----|--||---⌫-⌫|
uoseBertranse n	--||-------|-⌫|
porespro trobar.	----|--|------|
