un e ma nieredes	--⌫|--⌫----|--|
entel pens eeete nteldit	-|--|----⌫-|-|-⌫|--|--|
es tcelledont	--⌫|----|---|
es toitpartis	--⌫---|-----|
qu ede penseefuata int	--⌫|-|-----|-|---⌫--|
licheual iersfu en telpoint	-|------⌫---|-|-|--|----|
etado n quesa li par ole	-|---⌫-⌫---||-|---⌫--|
quantl iduslat aint s i l	----|-⌫|--||--⌫---|-⌫||
a f etioie	|-⌫-|---|
s iliadit ie uou screant	-⌫|-||--|-|---⌫|-----|
susle corsetl	--|-|---|-||
a m edem oi	-⌫-⌫|-|-⌫-|
que iamesior neuousfau dray	--|-|--|--|-|---|---⌫---|
quar uous mauésdetoutu oir dit	---|---||----|-|---|-⌫--|--|
et la duc hoisem am enti	-|-|---⌫----|||-⌫---|
p erdro ie ioieet	-⌫-----⌫-|---|-|
sireie uou spriet requier	---|-|---⌫|--|-|------|
ceconseil uous pl ese aceler	-|------|---|--⌫--||----|
etl amoura lade bonere	-||----||-|--⌫-----|
etmorroiesan snulefaute	-|------|---⌫|---|----|
sei esauoiequenu lautre	-|-⌫|-----|--|--⌫|----|
icesauoi tqueuoussan z	--|-----⌫|--|---|---⌫|
ornemparléspl usfet	-||-|------|--⌫-|--|
sachie ́squiliert s ibiencelés	------⌫-|-|-|---|-⌫|---|-----|
q ueia n enye rtparmoi p arlé	-⌫-|-||-|--⌫-|--|--|-⌫----|
ain s int s	---⌫-⌫--||
en son tpa rlantuenu	-|---⌫|--⌫----|---|
il estoi entmeu	-|-----⌫--|--|
etceiour quant	-|-|---|----|
uintau mengier	---|-|------|
moustra lidusaucheuali er	------|-|--|-|-------⌫-|
plusbi aus embla ntqu	---|--⌫-|-⌫-----⌫-|-|
ilnauoitfet	-||----|--|
donttelc ourouzetteldehet	---|--|-⌫-----|-|--|----|
enot la ducho isesansfaille	-|-|-|-----⌫--|---|-----|
s en leuade la	|-|---|-|-|
et af etse mblant p ar fa intise	-||-⌫-|--⌫-----|-⌫-|--⌫-----|
quema ladie	--|--⌫----|
li soitpris e	-|---|----⌫|
z z uall e totdesa	-⌫|----⌫-⌫|-|-|-|
dilecques enuoie	|-------|-----|
etlid usquantil otmengié	-|-|-⌫-|----|-|-|------|
etl aue ́et bienfestoié	-|-⌫---⌫|-|---|-------|
tanto staler ueoir	-----⌫-|---|----|
etla fistsor son litseoir	-|-|---|--|--|--|----|
siacommandé	-||--------|
nere maigne leansforslui	-|--⌫-----|----|---|--|
len fettant ostc equicomma nde	--|--|----⌫--|-⌫|-||-----⌫--|
etliduserrant lidema nde	-|-|--|-----|-|----⌫--|
c ommen tcismaus liest	-⌫-----⌫|--|---|-|--|
etce que estquau és	-|-|--|--|-|--⌫--|
c elerespont	-⌫--|------|
cediex meg a rt	-|---|-|-⌫-⌫-|
ienemendonnoie	-|-||-|------|
iusq u ata nt c aumengie r m	----⌫||--⌫-||-|------⌫||
que greigneur	--|--------|
sense t plusda uis	---|-⌫|---||-⌫--|
eustenuousque iene ui	---|-|---|--|-|-|-|
quantuous tenés sichie rcelu i	----|---|-----|-|----⌫|----⌫|
queieuousaid it quixxx	--|-|---|-|-⌫-|--|--|
com mentamoigra ntdesp i t face	---⌫---||--|---⌫-|----⌫-⌫|---|
etquant uoi que pluzbia u semblan t	-|----|--|--|---|---⌫|-------⌫|
uous li fetesquededeuant	---|-|----|--|-|-----|
sigrantdueil	-|----|----|
ettelire enoy	-|--|--|-|-|
qu ilecquesdemourer	-|-------|-------|
ha fe tli dus m adouce am ie	-|--⌫|-|--|-⌫|----|--⌫-|
sa chi ésienelecr er oie	--⌫---⌫--|-|-|-|--⌫--⌫--|
ne uousne autrecreature	-|---|-|----|-------|
conques parnule a u entore	|-----|--|---|-⌫-⌫-----|
auen istce que uousmedi te s	----⌫--|-|--|---|-|--⌫--⌫|
ainssai bien	---|--|---|
quil en esttousqu ites	-|-|-|--|---|--⌫---|
neonq ues nepen sadou fere	-|---⌫--|-|---⌫-|--|---|
tantaiapris	---|-|----|
desonafere	-|--|----|
parlés iaplus	------|-|---|
a tantse n	-⌫---||-⌫|
part dileclidus	---||---|-|--|
etcele remestmout pensiue	-|---|-----|---|------|
que ia mais tantcom me	--|-|---|---|---⌫-|
u n eeur eae senesera	-⌫-⌫|---⌫||-⌫-|-|---|
deuan tquepl us ap risaura	-----⌫|--|--⌫-|--⌫--|---|
que li du s	--|-|--⌫|
quelenel endema nt	-|--|-||-|----⌫-|
me s ianelensera deffence	--⌫|-|-||-|---|-------|
car en soncuer	--|-|--|---|
enginporpense	----|-------|
qu ele l eporra b ien s auoir	-|--|-⌫|----|-⌫--|-⌫----|
sel e ses ueffrei us qu	|--⌫|-|-⌫-----|-⌫--⌫-|
ellesauracenedoutepoint	---|----|-|-|----|----|
m iex s on	-⌫--|-⌫-|
ena utrepoint	-|-⌫---|----|
et po ur ce aitantseti nt	-|--⌫-|-||----|-|--⌫-|
etquantli duscouchierseuint	-|----|-|--|-------|-|---|
aunepartdulitsetret	|--|---|-|--|-|---|
f et semblantquepoint nelih et	-⌫-|-------|--|----|-|-|-⌫-|
que li d us o	--|-|-⌫-||
l uigesirdoie	-⌫-|----|---|
quelle set bi enquec est	-|---|--|--⌫-|--||--|
deson marimettr e audessous	-|--|---|-----⌫|-|------|
pourferesemblantd e co urous	---|---|-------|-⌫|--⌫----|
setintelle	-|---|---|
en telegui se	-|---|---⌫-|
queellemie x	--|---|---⌫|
le ducatis e	-|--|----⌫|
acroirequ ele soi t iree	|-----|-|--|---⌫|---|
pourtantsansplusq u	-------|---|---|-⌫|
ill abaisie	-|||-----|
lidist el l emoutestesf aus	-|---|--⌫-⌫|---|----|-⌫--|
ettrecherreset desl eaus	-|---------|-|----⌫---|
quimemoustre zsemb lant damor	--|-|-------⌫|----⌫---||---|
co nquesnem amast esnulior	|-⌫----|-||-----⌫-|--|--|
eti aiestélonctemps sifole	-||-|----|---|----|-|---|
queiai creueuostrep arole	--||-|----|-----|-⌫----|
sou u entefoismedeis siés	---⌫-⌫---|---|-|----⌫----|
que de loialcue rmamiés	--|-|----|---⌫||-----|
m eshuimesuiaperce ue	-⌫-|--|-|--|------⌫-|
en aiesté deceue	-|-|----|-----|
distenuousen	---|-|---|-|
ne medeis tesuousparfoi	-|-|----⌫--|---|--|--|
q uia malib ee	-⌫-||--||-⌫-|
queienefuisse siose e	--|-|-|-----|-|---⌫|
que ie n e	--|-|-⌫|
uo us enquesis seriens	--⌫-|--------⌫-|----|
dece queuousorsauésbien	-|-|--|---|-|-----|---|
dequoi s auésieuousespondre	-|---|-⌫----|-|---|-------|
dece qu eciluous	-|-|--⌫|--|---|
faitelledontmenconseauoi re	---|---|---|-------||---⌫-|
secenelem efeist	-|-|-|-|-⌫|----|
mes de l pe nser iln emech aut	--|--⌫|--⌫---|-|-⌫|-|--⌫--|
cariepensequ epetit uaut	--|-|----|--⌫|----|---|
amerdecuerloial	---|-|---|----|
queque cef ustoubie n	--|--|-|-⌫--|-|---⌫|
riensneuitnenesot	----|-|--|-|-|--|
q uene seussiésausito st	-⌫-|-|--------|------⌫-|
etoruoibie n queme	-|-|--|---⌫|--|-|
uostremer ciles	-----|---⌫-|--|
uos penses	--|-----|
mes o rsac hi ésuous	--|-⌫|---⌫--⌫--|---|
sansdouta n c e	---|-----⌫-⌫-⌫|
que ia mes n aur e telf iance	--|-|--||---⌫|--|-⌫----|
enuous neenuostremaniere	-|---|-|-|-----|------|
l orsa comme nciéa	-⌫--||-----⌫----||
p lo ur er	-⌫--⌫--⌫-|
laduchoise	-|-------|
etaso upirer	-||--⌫-----|
etse s forcaplusquele pot	-||-⌫-⌫----|---|-|--|--|
grantp itieenot	----|-⌫---|-|-|
mabele dame	-|---|---|
ie nesouf ferroieparmame	-|-|----⌫------|--||--|
ne uostre couro u s neuostre ire	-|-----|-----⌫-⌫|-|-----|--|
sachiésie neleuouspuis	-------|-|-|-|---|---|
ie ne leuous diro iemie	-|-|-|---|----⌫-|--|
sansferetro p	---|---|---⌫|
gra ntuilenie	---⌫-|------|
celeresponti nellepas	---|------|-⌫-------|
sirecene lmeditespas	---|-|-||-|----|--|
uoi bienauo ssemblant	--|---||--⌫|-------|
en moineuo usfie ́s	-|--|-|--⌫-|---⌫-|
pas t a nt	--|-⌫-⌫-|
que cel asseuo stre conseil	--|---⌫---|--⌫---|------|
etsachiés	-|-------|
q uemout me meru eil	-⌫-|---|-|----⌫--|
ainz n oistes grantne	---||-----|----|-|
conse ilqueuousme u ssié s	-----⌫-|--|---||-⌫-⌫-----⌫|
dont decouuer sfuissiéspar moi	---|--------⌫|--------|--|--|
etsiuousdien bonefoy	-|-|---|-|-|---|--|
iaenmauie n	-|-|-|--||
quan t elle otce	----⌫|---|-|-|
ditsiplora	--|-|----|
e tli dussilacole	-⌫|-|--|-||----|
qui fudec orsmoutame saise	--|-|-|-⌫--|---||--⌫----|
siqueplusne se	-|--|---|-|-|
pot t enir	--|-⌫---|
de lauerite	-|-|-----|
deco uurir	----⌫----|
adit mabeledame	|--|-|---|---|
ienesoufferro i ep armame	-|-|---------⌫-⌫|-⌫-||--|
qu e tant mefienuousetcro	--⌫|---|-|-|-|---|-|--|
quechose celerne uousdoi	--|----|----|-|---|--|
cuerssacheneoit	----|----|-|--|
me sieuous dinen	--⌫|-|---|-||-|
pa r lésmot	--⌫-⌫---|--|
sachiés queitant uousendi	-------|--|----|---|-|-|
quese i e suiparu oustrahi	--|-|-⌫|--|--|-⌫--|----|
uous enreceueréslamort	---|-|---------|-|---|
etcel edit bienm ia c ort	-|---⌫|--|---|||-⌫-⌫--|
estre neporr oitiefe isse	----|-|----⌫--|-|--⌫---|
chose dont	----|---|
u ersuo usmespreisse	-⌫--|--⌫-|---------|
cilqui l aimep orce	--|--||---|-⌫-|-|
etcuide qu euerit e s oit	-|----|--⌫|-----⌫|-⌫--|
niece tre s toutliconte	----|---⌫-⌫---|-|----|
commea prisotdu	----|-⌫---|-|-|
ch e ualier	--⌫-⌫-----|
etsico mme ilfu eluergi er	-|-|--⌫--|-|-|-|-----⌫-|
seul aseuletniot	---||---|-|||-|
etcomment lichiensuinta	-|------|-|-----|---||
et del issue et	-|-||----|-|
de l entree	-||-----|
liatou t mota	-||---⌫|--||
mo tc ontee	--⌫|-⌫----|
siqueiln ia	-|--|-||||
riens t eu	----|-⌫-|
yaitoyneueu	|--|-|-|--|
etqu antladucho iselentent	-|--⌫--|-|-----⌫--||-----|
quecilaimeplusbassement	--|--|---|---|--------|
qu ede s amourlaescon di te	--⌫|-||----|||-----⌫--⌫-|
mortesetient et	----|-|----|-|
m esonque s plus semblant n	-⌫-|-----⌫|---|-------||
ainzotriam out	---|----|-⌫--|
etpr o mist	-|--⌫-⌫---|
auducdebien cele r cest eeuure	-|--|-|---|----⌫|----⌫|----|
auientque lla	-----|-|-⌫|-|
des cueure	---⌫-----|
que il lapendeaune hart	--|-|-|----||--|---|
etsil iest	-|-|-⌫|--|
il iatroptart	-|-|---|---|
dace llepar ler	||--⌫--|---⌫--|
me ssoncorage	--⌫|--|-----|
desicelleeurequ eleset	--|-----|---|-|--|--|
quele e stoitamie a celui	-|--|-⌫----|---||----|
afet honteet anuit	|--|----|-|----|
por itan tce li estauis	--|----⌫|-|-|--|---|
qu i ne u eutestresesamis	-||-|-⌫--|----|--|---|
si afermeto utson porpens	-|-----|--⌫-|--|------|
quec el leueoitlieuet	--||--⌫-|----|---|-|
qu a laniece	-||-|----|
leducparlast	-|--|------|
qu elelidiraau si tost	-|--|-|---|--⌫--⌫---|
ne ianesouffer ratel	-|-|-|-------⌫-|--|
oufe lonnies oitenclose	-|--⌫-----|-⌫--|------|
meson quespui ss on p o intneuit	--|--⌫---|---⌫|-⌫-|-⌫-⌫--|-|--|
tant quel ape ntecoste uint	---|--|-⌫|--⌫-------|---|
cefu laprem iere	-|-|-|----⌫---|
quelidus tint sa courtplenier e	--|-|--|---|-|----|-------⌫|
siquil enuo iapar tou t querre	-|-|-|----⌫-|---⌫---⌫|-----|
to ut e sles damesde laterre	--⌫--⌫-⌫|--|----|-|-|----|
etsanicefupremeraine	-|-|---|-|---------|
qu i deuergi	--⌫|-|----|
fuch a st e lain e	-|--⌫-⌫--⌫-⌫----⌫|
e tqua ntladuchesse	-⌫|---⌫-|-|-------|
tantosttouzlisans	------|---|-|---|
lifr emist	-|--⌫----|
com ce lledum ont quep l uzhet	--|--⌫--|-|-⌫--|--|-⌫-⌫-|--|
messoncorag eceler set	--|--|-----⌫|----|--|
sili af etp lusbelcontro it	-|-||-⌫-|-⌫--|--|------⌫-|
talent dedire	-----|-|---|
aucuergran t ire	-|---|----⌫|--|
et la demeurem o utlic ou st e	-|-|------|-⌫-⌫-|-|-⌫--⌫--⌫|
icelui iour	-----|---|
depentecouste	-|----------|
qu eles t ables fur entostees	--⌫|--|-⌫----|---⌫--|-----|
lo rsa laduchoise me nees	--⌫-||-|-------|--⌫---|
es c hambrez auecsoi	-|-⌫------|---|--|
p ourelles parlerenrec oi	-⌫--|----|-----|-|---⌫-|
pour uenircoi ntea	---|----|---⌫--||
l orsnepotteni rsaparole	-⌫--|-|--|----⌫|-|-----|
la duchoisequi uoit son lieu	-|-------|--|---|--|---|
ainzdist aussicommepar	---|---|----|----|--|
chastel aines oiés	-------⌫---|-⌫----|
bi encointe	--⌫-|-----|
carbe l amiauésetcointe	--|--⌫|--|----|-|-----|
etcel e resp ont simpl ement	-|---⌫|----⌫--|-----⌫----|
ienesai quel	-|-|--|---|
acointe ment	-------⌫---|
uouspen sésma dame pour uoir	---|---⌫---|-|---|---|---|
mesnaitalen tda miauoir	--||-|-----⌫||-⌫-|----|
quines oitdu tout	--|-|-⌫--|-|---|
etde mo i et d emonseigneur	-|-|--⌫|-|-⌫|--|-------|
ie lecroibie ndi s tla duchoise	-|-|---|---⌫|--⌫-⌫|-|-------|
m ais uou sestesbonemestresse	-⌫--|---⌫|----|---|--------|
qui auésapri sle	--|----|----⌫|-|
p etitchienetaffaitier	-⌫---|------|--------|
lesdamesontoile	--|----|--|-|-|
mesnese uen ta	--|-|--⌫---⌫||
quoi cemonte	---|-|----|
o laduchoisesenreuont	|-|-------||-|-----|
ausquerolesquefetesont	--|-------|--|----|--|
et la chastelainerema int	-|-|----------|----⌫--|
licuer sdireli trem ble et t aint	-|----⌫||--|-|----⌫--|-|-⌫---|
etlimu e tresto utonuentre	-|-|--⌫|------⌫-|-|-----|
de dens unegardero beentr e	--⌫---|--|-------⌫-|----⌫|
la ou u nepu celeauoit	-|-|-⌫-|--⌫---|----|
qui ausp ie sdulit seg isoit	--|--|-⌫--⌫|-|--|-|-⌫----|
meselle n elapou tueoir	--|---|-⌫|-|---⌫|----|
oulitsestless iecheoir	-|--||--|----⌫-|-----|
lachastelaine moutdoulente	-|----------|---|-------|
moutse complaint mou tsede ment e	---|-|--------|---⌫|-|--⌫----⌫|
e tdist hasire diexmerci	-⌫|---|-|---|---|----|
q uepu e testrequeiaioy	-⌫-|--⌫-⌫|----|--||-|-|
quema damem afetregret	--|-|---|||--|-----|
queia iaffai tiémonc hienet	--||-⌫|-----⌫---|--|-⌫-----|
set ellepa r n ului	--|---|--⌫|-⌫---|
ces aiiebienfors parce lui	-|-⌫-|-|---|---|--|--⌫--|
queia moieettraiema	--||-⌫---|-|----|||
etsi ne ledeistil ia	-|-|-|-|----|-|-|
n e usttr opgrant	|-⌫--|--⌫-|----|
ac oin ta nce	--⌫---⌫--⌫--|
etcil ne lemmas tsan z doutance	-||-|-||-----⌫|---⌫|-------|
plus quemoyq u eil	---|--|--|-⌫-⌫|-|
b ienu oiqueil	-⌫--|-⌫-|--|-|
nemaime mie	-||---|--|
quant il mefautde conue nant	----|-|-|---|-|-----⌫---|
douzd ie xe ti elamoie tan t	---|-⌫--⌫|-⌫|-⌫||----|---⌫|
commecuers puet	----|----|---|
plusautreamer	---|----|---|
qualleursne pooiepen s er	-|------|-|----|---⌫-⌫-|
nezuneeure neior ne	--|--|---|-|--|-|
ma ioiee t	-|---|-⌫|
mo n deduit	--⌫|-----|
ces toitmondeli t	|--⌫---|--|----⌫|
etmonsolas e t mo n confort	-|--|----|-⌫|--⌫|------|
comentolui	-----||--|
mecont enaie	-|----⌫----|
depenserqua ntneliueoie	-|-----|---⌫-|-|||----|
hea misdonte stce uenuz	-|-⌫--|---|-⌫-|-|----|
quepoé se stre de uenuz	--|----⌫|-⌫---|--⌫----|
qu enuers moiaués estéma u s	-|-----|--|----|----|--⌫-⌫|
iecu idoieq uepluzloi aus	-|--⌫----|-⌫-|---|---⌫--|
m efui ssiésse diex meconseut	-⌫|---⌫-----|-|---|-|------|
trit enayseult	----⌫-||-----|
pluzu o usam oie la moitie	---|-⌫-⌫-|--⌫--|-|-----|
s e di exai tdem oi	-⌫|--⌫-|--⌫|-|-⌫-|
qu en efesoiemoimeismez	--⌫|-⌫|-----|--|------|
onques auant ne puis neprimes	-----|----|-|---|-|-----|
enpe nse e n en dit n	-|--⌫---⌫||-|--||
n efunepou	-⌫|-|-|--|
ne grantme ff et	-|----|--⌫--⌫-|
medeus siezh a i r	-|----⌫---|-⌫-⌫-⌫|
uilainem enttr ahi r	--------⌫--|--⌫---⌫|
co mdenozam ors depecier	--⌫|-|--|--⌫--|-------|
porautrea meret moi lessie r	--|----|-⌫--|-|--|------⌫|
etdes courirnost reconse l	-|---⌫-----|----⌫-|-----⌫|
helas am ismou tmemerueill	-|--|--⌫-|---⌫|-|-------|
ne fuonques uers	-|-|-----|---|
carsetoutle montadeuis	--|-|---|-|---||----|
toutl e ciel	---|-⌫|---|
e tto utparad is	-⌫|--⌫-|-----⌫-|
medonnastdiexpasne l	-|------|---|--|-||
pa rcon uentq ueieuousp erdisse	--⌫|---⌫---|-⌫-|-|---|-⌫------|
ca ruous est iésma	--⌫|---|---⌫---|-|
etmasant e etmaleeche	-|-|----⌫|-|-|-----|
quarri en s greuernemepeust	---|--⌫--⌫|-----|-|-|----|
t ant commemonl azcuers s eust	-⌫--|----|--|-⌫-|----|-⌫---|
quel i uostre d eri enz me mmast	--|-⌫|-----|-⌫|--⌫--||-⌫----|
hefineamors etquipensast	-|---|----|-|--|------|
quefeissiésu ersmo i desroi	--|--------|-⌫--|--⌫|-----|
q uarildisoitquantiert omoy	-⌫--|-|-----|----|---||--|
quilierttoz mienzet	-|-|---|--|----|-|
meten oitildeco rset d am e	-|---⌫--|-|-|--⌫-|-||--⌫|
et l i disoitsi	-|-⌫|-----|-|
q ue lecreoie bonement	-⌫-|-|-----|-------|
neienepensoie a nul fuer	-|-|-|------||--|---|
qu ilpe usttrouera s on	-|-|--⌫--|-----||-⌫-|
enuersmo i corozne hai ne	-----|--⌫|----|-|---⌫-|
p or duc hoiseneporroyne	-⌫-|---⌫----|-|--|----|
qua rlu ia merm estuetsi bon	---⌫|--⌫|-⌫--||-----|-|--|
quarmonc uer prenoielesien	---|--|-⌫--|------|-|---|
deluimepesoitautresi	-|--|-|-----|------|
quisetenoita m o nami	-||-|-----||-⌫-⌫|--|
tot esau i e ets on aag e	---⌫|-|-⌫-⌫|-|-⌫-|---⌫|
quebien c onnoizenmon	--|---|-⌫-----|-|--|
s auantmorustque tant l amasse	|----|-----|--|---||-----|
estr e oluimefeist	----⌫||--|-|----|
queuiuresi quede mesiex	--|----|-|--|-|--|--|
neleueis se nule fois	-|-|----⌫-|---|---|
hefineam orsestcedont droiz	-|---|--⌫--|--|-|---|----|
qu eil einsia	--⌫|-|----||
desc ouert	----⌫----|
nos treconseilltot e napert	---⌫--|-------|--|-⌫|----|
m a morotrierlidis	|-⌫--|-----|-|--|
encou uenan tli mis	-|---⌫-----⌫|-|--|
queaceleore me	--||---|--|-|
qu e nostreamordescouuerroit	--⌫|-----|---|------------|
etquantiai a uant	-|----||-|-⌫---|
nepui sapresitelanui	-|---⌫|----|---|---|
uiure s anzlipo urq uim edu eill	----|-⌫--|-|--⌫-|-⌫-|-⌫|--⌫---|
ne ie nepuisne ie	-|-|-|---|-|-|
nem a uie ne	-|-⌫|--|-|
me plest tant	-|----|---|
quetre stout aussi ur a iem ent	--|---⌫----|----|--⌫-⌫---⌫--|
co m ie l emmoieloialm e nt	--⌫|-||-----|------⌫-⌫-|
celui qui cema porchassié	----|--|-|||----------|
ai tdexdemona mepi t ie	--⌫|--|-|--|-⌫-|--⌫-⌫-|
etacelui qui a	-||----|--||
traieet liuré	----|-|-----|
dointhone uretie	----|----⌫-|-|-|
l ip ardoi n z	-⌫|-⌫-----⌫-⌫|
que mam ortnests e	--|-|-⌫--||--|-⌫|
cem est a uiz qu ant deli	-||--|-⌫--|--⌫--|-|-|
etqu antd e s	-|--⌫--|-⌫||
am o rmeso uuient	--⌫-⌫|-|--⌫-----|
por li mori rnemest pas	--|-|----⌫|-||--|--|
atant s esta i nt	----||----⌫-⌫-|
lachastelaine	-|----------|
forsq uel e distens ospira nt	---|-⌫|--⌫|---|-|-⌫------⌫-|
d ouzamisadiexuous commant	-⌫--|---||---|---|------|
a cezmosde	|--|--|-|
sesbrassestr aint	--|---||----⌫---|
li cuers li fautliuisli taint	-|----|-|---|-|--|-|----|
etgistmortedescolo ree	-|---|----|-------⌫--|
en uersefu geu le b aee	--⌫----|-|---⌫-|-⌫--|
enmile litmort e sansu ie	---|-|--|----⌫|---|-⌫-|
m essonami	-⌫-|--|--|
ne lese t mie	-|-|--⌫|--|
qu is ededuisoite nlasale	--⌫|-⌫|--------|-⌫|-|---|
asqua roles ou dan ce etbale	-|---⌫----|-|---⌫-|-|---|
plot chose quiluoie	---|----|-|-|---|
a quisoncuer sotr o ie	|--|--|---||---⌫-⌫-|
neuoit pa s	-|---|--⌫|
dontmoutse	---|---|-|
dit auducensorel le	--|-|--|-||----⌫-|
s ireou es t uostren iece	-⌫--|-|--⌫|-----|-⌫---|
qui a dem o re ́si gr antpiece	--||---⌫-⌫--⌫|-|--⌫--|----|
quenes tasquaro lesuenue	--||--⌫|-|-----⌫--|----|
ne saisel aués miseenmue	-|--|-||----|---|-|--|
laquarole esgua rde	-|------|-----⌫--|
qui de c enese	--|-|-⌫|-|-|
pr enoitguarde	--⌫----|-----|
celuia soipa rla m ain	----||--|--⌫|-|-⌫--|
et droiten lac h ambr ese n uait	-|----|-|-|-⌫-⌫----⌫||-⌫|---|
et qua ntillecq ues nele	-|---⌫-|------⌫--|-|-|
aucheualie rd istetlirueue	-|--------⌫|-⌫--|-|-|----|
quenlaguarderobe	-|-|-|---------|
qui lleuueutentelemaniere	-|-⌫|-|----|-|---|------|
entr eusauenciez	---|--|-------|
et d acoleret	-||-----|-|
debais ier	-|----⌫--|
etcilquimoutlensot grantgr e	-|--|--|---||-|--|----|--⌫|
en l a guarderobeest entre z	-|-⌫|---------|--|-----⌫|
ousamiegisoitenuerse	-||---|-----|------|
desc olore e etperse	----⌫-----⌫|-|----|
ciltot erran t l	--|--|-----⌫||
aco le etbaise	---⌫-|-|----|
decefere ot	-|-|---|-|
li eu et a is e	--⌫-|-|-⌫--⌫|
etsa bouchea trouueefro ide	-|-|-----||------|---⌫--|
etpartotlecorspale et roide	-|-----|-|---|---|-|----|
s emblantqu e l i cors most re	-⌫------|--⌫|-⌫|---|----⌫-|
uoitbienqueleest	---|---|-|--|--|
mo rtet r e stot e	--⌫--|-⌫-⌫-⌫----⌫|
tantostcommeesbahiss	------|----|------||
sire d iex estmorte mami e	---|-⌫--|--|----||---⌫|
etlapucele sail li sus	-|-|-----|----⌫-|--|
quia uz piesduli tg isoi t ius	--|-⌫-|---|-|--⌫|-⌫----⌫|--|
quiresp ondicecroiiebien	--|----⌫---|-|---|-|---|
mo rt e pl usqu autr erienz	--⌫--⌫|--⌫-|-|----⌫|----|
nedeman dapuisque uintci	-|-----⌫-|------|---|-|
forsq uelec ors desonami	---|-⌫-|-|-⌫--|-|--|--|
quarmadam e l a	---|-|---⌫|-⌫|
sonami lablasma	--|--|-|-----|
dontlicoroz	---|-|----|
liuintmo rtiex	-|---|--⌫----|
e tquantiloyl es m os	-⌫|----|-|-|-⌫-|-⌫-|
q uecequil distau d u c la	-⌫-|-|-|-|---|-|-⌫-⌫|||
sanzmesuresedesconforte	---|-----|-|----------|
helasdis tilma do uceamor	-|--|---⌫|-|-|--⌫--|---|
la plu z cortoise	-|---⌫|-------|
etlamell or	-|-|----⌫-|
c onquezfust	|-----|---|
p luzloial	-⌫--|----|
c omme traitres desloial	-⌫---|-------|-------|
uouzaimortece	---|-|----|-|
fustdroiture	---|-------|
qu es usmoytorn astlauenture	--⌫|-⌫-|--|----⌫--||-------|
eussiés mal	-------|--|
quesuz uouslaué s	--|--|---||----⌫|
a ua nt pr ise	-⌫--⌫-|--⌫--|
me z ieferai	--⌫|-|----|
demoiiustice	-|--|------|
pourlatraison que	---|-|------|--|
u neesp eea du fu erretraite	-⌫-|---⌫-||-|--⌫---|-----|
pen dueazz	---⌫--||-|
parmilecuer	----|-|---|
c heoir se	-⌫----|-|
laist susl autrescors	----|--||-----|---|
tant a seignié	---||-------|
que il estmo rs	--|-|--|--⌫-|
etla pucel e	-|-|-----⌫|
esthorss ailliee	--|---|-⌫------|
quant elleui t lecorssanz	----|---|--⌫|-|---|---|
hideure not	-----|-⌫|-|
quantlesch oisi	----|--|--⌫---|
leduc encontreselidist	-|--|-------|-|-|---|
ceque lleaoy	-|-|-⌫--||-|
siquelle ni	-|-|---|||
a r iens teu	|-⌫---|--|
comm ent laffai reestcomme ncie ́	----⌫--||-----⌫-|--|-----⌫----⌫|
nesdu petitc hienafaitie ́	--|-|----|-⌫---|-------⌫|
dontl a d uch oi se	---|-⌫|-⌫---⌫--⌫-|
auoitpa rlé	----|--⌫---|
atant ezuousledu cd esué	----|-|---|-|--⌫|-⌫----|
tout m aintenanten	---|-⌫--------|-|
la chambre entre	-|------|----|
au che ualier tr aithor s del	-|---⌫-----|--⌫--|---⌫|--|
dontestoitocis	---|-----|---|
ta ntost estala uoiemis	--⌫----|--||-|---|--|
grant oirredro ita laquerol e	----|----|---⌫-||-|------⌫|
sanzpluz tenir long u eparole	---|---|----|----⌫-⌫|-----|
senui nter ranta	|-|--⌫-|--⌫---||
l a duchoise	-⌫|-------|
re ndusa pramesse	--⌫--|-|-------|
etouch i efliaembat ue	-|-|--⌫-⌫-|-||-----⌫-|
quilaportanue	-|-|-----|--|
san z parl e rquemout fuiriés	---⌫|----⌫-⌫|--|---|-|-----|
la duchoise chieta ses	-|-------|----||--|
uoia ntt o us ceuzde	----⌫-|-⌫-⌫-|---|-|
la co ntree	-|--⌫----|
dontfula corstou tetroblee	---|-|-|---|---⌫-|------|
dezcheualiersquil aes toient	--|---------|--|-⌫|--⌫-----|
quigrant i oie menéauo ient	--|----|-⌫--|----|---⌫---|
et led uctre s totausitost	-|-|-⌫-|---⌫-⌫--|-------|
uoianttousceusqu	-----|---|---|-|
et distl afaire	-|---||-----|
emmilacort	---|-|---|
l orsnia celuiqui	-⌫--||||----|--|
et dautre partquantil reuoient	-||----|---|----|-|-------|
qui mortgi soi en t	--|---|--⌫---⌫--⌫|
etladuch oisedautrepart	-|-|----⌫---||----|---|
adueillet a	|-----|-||
courouzdepart	------|-----|
lacortet a me schiefuilai n	-|---|-||--⌫-----|-----⌫|
leducent erre	-|--|---⌫---|
l endemain	|-------|
fis t lezamanz	---⌫|--|----|
e nsarcuer	-⌫|------|
et laduch oise enautrel ieu	-|-|----⌫---|-|----|-⌫--|
tan tost secr oisadoutreme r	---⌫---|-|--⌫---||-------⌫|
ouilala sanz retorner	-|-|--|---|-------|
et d eu intilecquestempliers	-|-⌫--⌫--|-------|--------|
hel astre stot cestencombrie r	---⌫-|---⌫---|---|---------⌫|
et cemesc hief por	-|-|----⌫---|--|
