roi gouern erentl acite	--|------⌫----|-⌫|---|
fesoientsa creficesconmunaumen tm es	-------|--⌫-------|-----------⌫|-⌫-|
so tbienque il	--⌫|---|--|-|
desgu isezporamor dela	-----⌫---|--|---|-|-|
dame li senato rm e ismesenmur en t	---|-|------⌫|-⌫-⌫----|-|---⌫--⌫|
grantconp la i ntequeli	----|----⌫--⌫-⌫--|--|-|
sacreficeenauoientes té pollut	--------|-|------|--⌫--|-----|
p orc e l a less a	-⌫-|-⌫|-⌫|----⌫|
apres lenuoi a li senazet	----||-----⌫|-|----|-|
derrien n e	-------⌫-⌫|
e spai gneporfere d roit ureet	-⌫----⌫--|--|---|-⌫----⌫--|-|
p o radrecier	-⌫-⌫|-------|
et ordenerlesaffaires	-|------|--|-------|
delacontreetantqu e il	-|-|------|------⌫|-|
agade s unec ited	|----⌫|--|-⌫--||
e sclau ons	-⌫-----⌫--|
etentrae nuntem plehercules	-|----|-⌫|-|---⌫--|-------|
uns d iexde p aiens	--|-⌫--|-|-⌫----|
aorezil uectrouaiuille s	----|--⌫--|----|------⌫|
ymagedelroia lissandreet l	----|--|--|-⌫--------|-||
gemietsetint	---|-|-|---|
perecexha fi stila	------|-|--⌫-|-||
meismesconsu imauues	------|--|--⌫|-----|
quinaianquore rien	--||-|------|---|
d ontgedoi eloxauoir etcil	-⌫--|-|---⌫|--|----|-|--|
con quispresquet ot	---⌫---|------|-⌫-|
le mondequant	-|----|----|
demonaa g elors li	-|--|--⌫-⌫|---|-|
crutseshardeme nzet	---|--|-------⌫-|-|
se pensaqueil empren droit	-|----|--|-|------⌫----|
gre ignorschosesqueiln	---⌫-----|-----|--|-||
a uoitfe tancoi se tuoudroit monter	-⌫---|--⌫|-----⌫|-⌫|-------|-----|
engreignor	-|-------|
p ris lanuitdeuant	-⌫--|-|---|-----|
gisoit charn elment	-----|-----⌫-----|
os amerede	|-⌫|---|-|
ilmoutconf usmes li	-|---|----⌫-|--|-|
deuinqui s entrem e toi ent	----|--||------⌫-⌫---⌫--|
de so ngesespiaudrele renconf o rterent	-|--⌫---|--------|-|-------⌫-⌫------|
moltquaril	---|---|-|
la terreestmerede toz	-|----|--|---|-|--|
et einsiestele	-|----|--|--|
q uetuauoi e sta meresouzt oi	-⌫-|-|----⌫-⌫|-|---|---|-⌫-|
senefie quetuau ra stoute	------|--|-|--⌫--⌫|----|
terre enta subiect i on	----|-|-|-------⌫-⌫-|
sera ssiredeum onde	----⌫|---|--|-⌫---|
cele misten	-|-|---|-|
e sperance degrantchose coumen cier	-⌫-------|-|----|----|------⌫---|
ilauin tque ilalatantost en	-|----⌫|--|-|--|------|-|
terred e laboroutreromeaunes	----|-⌫|----|----|---||---|
estranges genzq uila	--------|---|-⌫-|-|
uen uporla terregarder et	---⌫|--|-|----|-----|-|
gaai ngni e retles	----⌫----⌫-⌫|-|--|
eustesco nmeuz	---|----⌫----|
c esaraaucunhardement	-⌫---||----|--------|
les s enatorsmes li	--|-⌫------|--|-|
conse ledetindre ntles l egionsdes	-----⌫-|--------⌫-|--|-⌫-----|--|
cheualiersporcr ienme dece	---------|--|--⌫----|-|-|
etlesfire ntunpo	-|--|----⌫-|-|-|
ta ntque sesg en zfurent	--⌫----|--|-⌫--⌫|-----|
quan t cefu remesl eslegions	----⌫|-|-|----|-⌫-|------|
sen aler ent	|-|----⌫--|
encylice o u	-|-----|-⌫|
eleses toient destineesetmi ses	---|--⌫-----|--------|-|--⌫--|
escritporenuoi erla	-----|--|-----⌫-|-|
nedemoraguieresque ce sa r fu	-|-----|------|--|--⌫--⌫|-|
edilesetle fistsibien	-----|-|-|---|-|---|
en c el e baillie	-|-⌫--⌫|------|
aquei lli grantlos i l aornaet	-----⌫--|----|--|-⌫|----|-|
le uou len donoit	--⌫|-|--|-----|
lesdignetez et le leu ou len	--|-------|-|-|--|-|--|
ple doitet le spaleset le	---⌫---|-|--⌫|----|-|-|
ca pit oile eti fistporchesoulen	--⌫---⌫---|-||---|------|-|--|
po i stmetrepar t iedes choses	--⌫-⌫-|----|---⌫-⌫-|--|-----|
d e rom e qua nt e l es habundoient	-⌫|---⌫|---⌫-|-⌫-⌫-|----------|
etd ar meset d	-||--⌫--|-||
afferesquiap arteno ientaucomun	------|--|--⌫------⌫---|-|----|
ma rcusbibulusfu s es	--⌫---|------|-|-⌫-|
con p ainz e ncele	---⌫-⌫---|-⌫|---|
baillieiuill e	------|-----⌫|
c esarestabli assezch aces	-⌫---|------|----|--⌫---|
geussicomeil aparten oit	---|-|---|-|-------⌫--|
atel baillie et o son	|--|------|-||--|
conpaignonetsanz	---------|-|---|
luidontilauint	--|---|-|----|
que il auoit	--|-|----|
lagracedequanque il	-|----|-|------|-|
e t parsoiet auec son	-⌫|--|--|-|---|--|
conpaignonne i s d elorconm un es despenses	---------|--⌫-⌫|-⌫|--|----⌫--⌫-|--------|
auoit iltozseulsle	----|-|--|----|-|
loset disoitbienma r cusbibul us	--|-|-----|---|--⌫-⌫--|-----⌫-|
sesc onpainzilestauen u	--|-⌫------|-|--|----⌫|
amoice quiestau enu	|--|-|--|--|--⌫--|
apollucecar ca s tor et	|------|--|--⌫-⌫--|-|
pollucesfurentduifrereet li	-------|-----|--|----|-|-|
romainle s metoienteunombrede	-----|--⌫|-------|-|-----|-|
lordiexsiqueil	--|---|-|--|-|
uncoumun temple arome nen e	-|-----|-----||---|-|-⌫|
disoit lenpas ue ez cile	-----|--|--|--⌫-|-|-|
templecastoireetpol luceensemble	-----|-------|-|---⌫---|-------|
ainz disoitl ence	---|-----|-⌫-|-|
estlitemplescastoire	--|-|------|-------|
sanz nomerp ol luceautresi	---|----|-⌫--⌫---|------|
es tilauenua m oidisoit	--⌫|-|----||-⌫-|-----|
marcus b ibulusieetiui lles	-----|-⌫-----|-|-|---⌫---|
fe son slesdespens	--⌫---⌫|--|------|
et il seuls e n	-|-|----|-⌫|
a tot le los	|--|-|--|
cesarestre tot iceacrut	----|----|--|--|----|
lenombredecels qui se	-|-----|-|---|--|-|
combatoientasespeeseuth eaitre	----------|-|-----|-|--⌫-----|
auoir enla	----|-|-|
quen osdironsilauoit une	--|-⌫-|-----|-|----|--|
g rantplace aro me ceint e	-⌫---|----||--⌫-|-----⌫|
len a peloit	--|-⌫-----|
cercleouamp hiteait recaruoi rement	-----|-|---⌫-------⌫-|--|---⌫-----|
theait r esne st	------⌫-⌫-||-⌫-|
a inz estcom edemi	-⌫--|--|---⌫|---|
meslia mph iteaitrese str eonz	--|-|-⌫---⌫--------|-⌫-|-⌫---|
comecercles encel	---|------|-|--|
amphiteaitresauoit	------------|----|
yyp ortesune	-|-⌫----|--|
uers orienta utr e uerso ccident	---|-----|-⌫---⌫|---|-⌫------|
parmicesyyportes e ntroient	----|--|-|-----|-⌫-------|
dui cheualier sor	--|--------|--|
yyblans c heu ax	-|----|-⌫---⌫-|
totarméetauoientyyhia umes	--|----|-|------|-|---⌫---|
orenlorchie set	-|-|--|----⌫|-|
uenoienta esles lun s	-------||----||--⌫|
cont r el autreet	----⌫-⌫||----|-|
sentreferoient	|------------|
gr anzcops dese speeset	--⌫--|---|--|-⌫----|-|
sec on bato ienttantque li uns	-|-⌫--⌫----⌫---|------|-|--|
copoit lechiefal	-----|-|----|||
a utrec ilq uison conpaignon	-⌫---|-⌫-|-⌫-|--|---------|
sor montoit siauoit la uictoir e	---⌫------|-|----|-|-------⌫|
et e sto it coronez	-|-⌫---⌫-|------|
et l annoroitli	-||-------|-|
u ne autremaniered eb atai lle	-⌫-|----|------|-⌫|-⌫----⌫--|
lenenc eleum eismesa	--|-|-⌫|--|-⌫-----||
e speesc ar	-⌫----|-⌫-|
lenfichoit	--|------|
espees totentorle cercle	-----|--|----|-|-----|
siquel espointes e stoient	-|--|-⌫-|------|-⌫------|
torneesdro ita cels qui	------|---⌫-||---|--|
estoientenmilecercle	-------|---|-|-----|
lo rs uenoientduicurr e em	--⌫-|-------|--|----⌫|-|
plac eetd uicheualierarmésor	----⌫|-|-⌫-|--------|----|--|
cesyycurre setlicharretier	--|-|-----⌫|-|-|---------|
sorlescheuaxq uiconduisoi ent	--|--|-----|-⌫-|---------⌫--|
lescu rres p ar sigra n t	--|--⌫---|-⌫-|-|---⌫-⌫|
maies tirequ eli ch eual	-----⌫---|--⌫|-|--⌫---|
se hurtoient	-|--------|
pa sespointes	--⌫|-|------|
espeesne nepa ssoientlecerne	-----|-|-|--⌫------|-|----|
et s econbatoitliuns	-|-⌫|--------|-|--|
cheualiers	---------|
alautreta nt qu e	||----|--⌫--⌫--⌫|
liuns estoit	-|--|-----|
leno mbredecesch eual iers acrut	-|--⌫---|-|--|--⌫----⌫---|----|
et ampli acesaretmout	-|-----⌫|----|-|---|
en eustestabl ietassemblé	-|---|------⌫|-|--------|
messianemi	--|-|----|
qui fure ntespoent é	--|----⌫-|-------⌫-|
dece queil acrois s o it	-|-|--|-|------⌫-⌫-⌫-|
uolentiersmesnie e etde	---------|------⌫|-|-|
habundancede	---------|-|
se rianzli uenoit	--⌫----|-|-----|
enmein temanieree tlise naz	-|----⌫-|------|-⌫|-|--⌫--|
fi r enttant	--⌫-⌫--|---|
qu elenest abli certain	--⌫|--|---⌫---|------|
deces cheu a lierssique ne	-|--|----⌫-⌫----|-|--|-|
cesarneautresquifusten	----|-|-----|--|---|-|
cele baill ie n ani poo it	---|-----⌫-||-||---⌫-|
nusmetreoutre cen o mbr eli senaz	--|----|----|-|-⌫-⌫---⌫|-|----|
serecordo itbien d eceque	-|-------⌫-|---|-⌫|-|--|
lucessilla lordisoit	----|----|--|-----|
uiuoitgaitiez	-----|------|
uale t malceintcees toit	----⌫|--|----|-|--⌫---|
deiuillescesar quiportoit	-|------|----|--|------|
toriorss aceinture la schequi	------|-⌫|-------|--⌫---|--|
ioennes esto itet	------|----⌫-|-|
pl einsd e grant sout illite	--⌫---|-⌫|----|----⌫-----|
qua ntgelis	---⌫-|-|--|
dei u illes	-|-⌫-⌫----|
cesar queluces	----|--|----|
silla l apeloit	----||------|
leualetmau ceint	-|----|--|----|
membre dem onseign orphelipe le	-----|-|-⌫-|-----⌫-|------|-|
defrancequelen pooit bien	-|-----|--|--|----|---|
apeler leu a let mau pingniéqu an t	-----|-|-⌫-⌫--|--|-------|--⌫--⌫|
i lestoitioenes caril	-⌫|-----|-----|--|-|
esto it torio rsher iciezne iln	----⌫-|-----⌫-|---⌫----|-|-||
apasmainsde sen sen	|--|----|-|---⌫|-|
luiqueilo t en iuille s ce sar	--|--|-|-⌫|-|------⌫|--⌫--|
fors seulementde letresnen	---|--------|-|-----|-||
apasmeinseu aff e requ e	|--|----|-|---⌫-⌫-|--⌫|
i uilles otetencontreceque	-⌫-----|-|-|-------|-|--|
fuletre z estli r ois	-|-----⌫|--|-|-⌫--|
sa nz malicecarla let r eure	--⌫-|-----|--|-|---⌫-⌫---|
agui saiuill esa meintma lice	----⌫-|-----⌫-||----|--⌫---|
quantcesarotence lebaill ie	----|----|-|-|--⌫-|-----⌫-|
conquise la m or deu puepleet	-------||-⌫-⌫-|--|-----|-|
lot roiil sentrauaillamo lt	|--⌫--|-||----------|--⌫-|
p arlaidedestri bunsque	-⌫-||---|--|---⌫---|--|
senaz etlipuep les	----|-|-|----⌫--|
ot roiass entegyptea gardere t	--⌫------⌫--|-----||-----|-⌫|
gouernerca rcild	-------|--⌫|--||
alyssandreauoientlorroi chaci é	---------|------|--|--|-----⌫-|
hors delaterrem esli	---|-|-|----|-⌫-|-|
senatornel	------|-||
uodren tp asot roie r	------⌫|-⌫-|--⌫----⌫|
tenoientl eroi d	-------|-⌫|--||
alyssand reporconp aignonetp or	--------⌫-|--|----⌫-----|-|-⌫-|
n eilneplesoitpas	-⌫|-|-|------|--|
m enuesgenz degypteque cild	-⌫----|---||-----|--|--||
aly s sandreauoienteinsi	---⌫-⌫-----|------|----|
ch aci é lo r roi	--⌫---⌫-|--⌫|--|
lorssotiuillescesarmalgre	---|--|------|----|--|--|
au senatdecequela c ontree	-|----|-|-|--|-|-⌫-----|
degypt elif uesconditeet	|-----⌫|-|-⌫|--------|-|
fi stre fere enhaine	--⌫-|--⌫---|-|----|
dessenator suns	--|-------⌫|--|
arsqueil auoientab atu	--|--|-|------|--⌫--|
ences arsestoien t escr itesles	-|--|--|-------⌫|----⌫---|--|
uictoiresqu e mariu sa uoit eues	--------|--⌫|-----⌫|-⌫---|---|
dei ugurtaetdes ti ois	-|-⌫-----|-|--|--⌫--|
iugurtafuunsroisde	------|-|--|---|-|
numidiens cel uia mena	--------|---⌫-|-⌫---|
mar iuspris	---⌫--|---|
arome etfirent	|---|-|-----|
rom ainun s ars ou	---⌫--|--⌫|--|-|
cele ui ctoire fu	---|--⌫-----|-|
escriteetfirentsailliriugurtade	------|-|-----|------|------|-|
u n de ce sars a t er re	-⌫|-|--⌫|--||-⌫--⌫-|
siqueilmorut porce que	-|--|-|----|--|-|--|
ma riusfu apreshaiz des senat orsil	--⌫---|-|----|---|--|-----⌫--|-|
abatirent en desann ordelui les	--------|-|------⌫-|-|--|--|
arsd esa uictoir e apres	--|-⌫|-|-------⌫|----|
que luces sil lalot chacié	--|----|---⌫-||-|------|
debataille ces ars fistrefere	-|-------|--|--|---|-----|
iuillesce sarpor amenu isierl	------|--⌫--|--|-----⌫----||
auctor itedels enatetp or	------⌫--|--|-⌫---|-|-⌫-|
mostre rqueilauoient so n	------⌫|--|-|------|--⌫|
maugr epor l a prouin ce degypte	-----⌫|--|-⌫|------⌫-||-----|
qu e ill i auoie ntescondite	--⌫|-|-⌫|-----⌫-|--------|
plu s fistcontre e us	---⌫|---|-----|-⌫-|
banizetles	----|-|--|
essilliezderome	--------|-|---|
quelisenatorauoientr ape lez	--|-|------|------|-⌫---⌫--|
etlorauoien tdo né auoirdeu	-|--|------⌫|--⌫--|----|--|
co u munde romeporce	--⌫-⌫--|-|---|--|-|
quei lauoient r aporteesdune bataille	--|-⌫|------|-⌫-------||--|-------|
qui fuentrel uce	--|-|----|-⌫--|
mariumles test esdescit eainsde	-----|--|----⌫-|--|---⌫----|-|
romequi furen t ocistintil	---|--|-----⌫|---|---|-|
por danpnezetlesi uc haet mist	--|------|-|--|-⌫--⌫-|-|---|
eunombredesetfist	-|-----|--|-|---|
rapele rdetraiso nunnoblehome	------⌫|-|------⌫|-|----|---|
cil ot no ngaiusrabirius	--|-|--⌫|----|-------|
por ceque il auoit	--|-|--|-|----|
estéen laforceetenl	----|-|-|----|-|-||
aidedels enat qua ntil	---|--|-⌫---|---⌫-|-|
tolire nta luce	------⌫-||---|
satu rnimlabaillie	----⌫---|-|------|
porsanoisecestu i d anpnai uilles	--|-|----|-----⌫|-⌫----|-⌫-----|
ces aret iu chatotporhonted eu se nat	---⌫-|-|--⌫--|--|--|----|-⌫-|--⌫--|
q uantiuil l e sc esaruitqu e	-⌫---|----⌫-⌫-⌫|-⌫---|--|--⌫|
ilot perduel	-|-|-----||
e speranc e	-⌫-------⌫|
degypteauo iril ten dia	|-----|---⌫-|-|---⌫-||
a utrecho s eca r	-⌫---|---⌫-⌫|--⌫|
il uostest reuesques	-|---|---⌫-|------|
so uuerain ssir es et	--⌫-------⌫|---⌫-|-|
mestresdes temples etdes	------|--|------|-|--|
sacre ficespor	-----⌫----|--|
celed ig nete	---|-⌫--⌫---|
il emprunta	-|-------|
mo utgrantauoir	--⌫-|----|----|
etlei orqu eil aloit au	-|-|-⌫-|--⌫|-|----|-|
leu oulend onoitlesdignetezil	--|-|--|-⌫----|--|-------|-|
acolasanorriceet lab esa	----|-|------|-|-|-⌫--|
pu islidistgene re uendre	--⌫-|-|---|-|-|--⌫-----|
ameson s euesquenoncar	|----|-⌫|-----|--|--|
ilauoitgrantesperanceen	-|----|----|--------|-|
queil po rtoitainsiaui nt	--|-|--⌫----|----|---⌫-|
il re p era atoute l adigniteet	-|--⌫-⌫--|-----|-⌫|------|-|
fuu esques	-|-⌫-----|
quintus catulusl et orna	------|------|-⌫|-⌫---|
grantdesdaingcarilcuidoit	----|-------|--|-|------|
estr e ue squescomecil quies toi t	----⌫|--⌫----|---|--|--|--⌫---⌫|
ri chesh ometainz	--⌫---|-⌫-|-|---|
c e saret plusauoi teuesdignetez	-⌫-⌫--|-|---|----⌫|---|-------|
d elui ne ce len epot	-⌫|--|-|--⌫-|-⌫|--|
auoirainz fuboutezarr iere	----|---|-|-----|---⌫---|
etcesar fuauantape lezpiso	-|----|-|----|---⌫--|---|
meismes unsautresnobl eshuem	------|--|-----|----⌫-|---|
enrefumout do lenz	-|---|---|--⌫---|
po runiu gemen t queiuilles	--⌫|-|--⌫-----⌫|--|------|
cesarauoit d onéco ntrel ui	----|----|-⌫---|--⌫---|-⌫-|
cilpisoauoitbatuun	--|---|----|---|-|
hommequili deuoitdeniersi uilles	----|--|-|-----|------|-⌫-----|
cesa r iugie ́que	----⌫|-----⌫|--|
piso deuoit	---|-----|
l esdeniers p er dr epor cele	-⌫-|------|-⌫--⌫--⌫|--|---|
bateur emes	------⌫|--|
ne rem estp ornul	-|---⌫--|-⌫-|--|
queiuil les	--|----⌫--|
nefu st ue sques	-|--⌫-|--⌫----|
carlipu eples	--|-|--⌫----|
liaidaplu squ aicels	-|---|---⌫|-||----|
apres f uiuillescesar	----|-⌫|------|----|
pres toren cel	----⌫--|-|--|
catilina dont nos	-------|---|--|
auonsparlé	----|-----|
caa rriere u negran td is sencion	-|-⌫-----|-⌫-|----⌫|-⌫--⌫------|
et grant coniuroison	-|----|----------|
con tre le	---⌫--|-|
coumund e romee tot	-----|-⌫|---|-⌫|-|
ass ezs enators	---⌫-|-⌫------|
etautresnob leshom esencele	-|-----|---⌫--|---⌫-|-|---|
coniuroison et	----------|-|
da utres menuzhom es	|-⌫----|----|---⌫-|
dehors dessen ato rs	-|---|--|---⌫---⌫-|
publi us lentulus lucius autroniu sluc iu s cassius	-----⌫-|-------|-----|--------⌫|---⌫--⌫|------|
gaiuscetegerpubl iusseruius	----|------|----⌫--|------|
lucius uargunteusquint us	-----|---------|-----⌫-|
ant onius marcusporciuslecca	---⌫----|-----|------|----|
l uciusbestiaquintus	-⌫----|-----|------|
curiusdesch eu aliers ifurentmarcu sfuluius	-----|--|--⌫--⌫-----||-----|-----⌫|------|
statilius publiusgabiniuscap ito	--------|------|-------|---⌫--|
gaius c orneliusdesu i les	----|-⌫-------|--|-⌫-⌫--|
dehorsetdes	-|---|-|--|
chas tiaxiot	----⌫---||-|
quemeruei llefuetmou tiotde	--|------⌫--|-|-|---⌫||-|-|
nobles homesquicouertement	-----|----|--|----------|
sec o ntenoien t	-|-⌫-⌫--------⌫|
acatil inenon	|-----⌫--|--|
pas porpouerte mesporcouoitise	--|--|------|--|--|--------|
de monter enhautec eseil	-|-----|-|------⌫|-|-|
pooitau enir qu eli con s eleet	----|--⌫---|--⌫|-|---⌫-⌫--|-|
lipluspoissantder ome	-|---|-------|-|-⌫--|
fussentocisparlaconiur oison	------|---|--|-|------⌫----|
ca t iline l autr eiouentes et enoi t	--⌫-⌫----||----⌫|------|-⌫|-⌫----⌫|
aca tilinepor	|--⌫-----|--|
i auo itd esi oennes homes	|---⌫-|-⌫-|-⌫-----|----|
a mo ientp lu sdescorde	-⌫--⌫---|-⌫--⌫|-------|
pesmarcus cra ssusm ei smeset	--|-----|---⌫---|-⌫--⌫---|-|
iuilles cesar refuren tnote ́	------|----|-------⌫|----⌫|
coniuroisonnonpas	----------|--|--|
aperteme ntmesenrepostporce	--------⌫-|--|-|-----|--|-|
cuidelenqu eiuillesne uost	----|--|--⌫|------|-|---|
pasiucher amortles	--|-----||---|--|
compa ignonscat iline quantil furent	-----⌫-----|---⌫----|----|-|-----|
priset la coni uroisons	---|-|-|----⌫-------|
fudes couerte	-|---⌫------|
lucesc atilinecedistsalustes	----|-⌫------|-|---|-------|
noble lig nage	----|---⌫---|
g rantforcedecorsetde	-⌫---|----|-|---|-|-|
granthardementdecue rme sde	----|--------|-|---⌫|--⌫|-|
maliciexe nginfu il	-------|-⌫---|-|-|
tou tesaiouente enmauueseseuur es	---⌫-|-|------|-|-------|----⌫-|
s icomeenh omicidesen	-⌫|---|-|-⌫-------|-|
roberies enmes leesettoutes descordes	-------|-|---⌫---|-|-----|--------|
l uxureilpooits osfrir	-⌫----|-|----|-⌫-----|
fa imfro it ueillieretaut res	--⌫-|---⌫-|-------|-|---⌫--|
trauaxplusqu elen n e	-----|---|--⌫|--|-⌫|
p or roit cr oire hardi c o rageauoit	-⌫--⌫---|--⌫---|----|-⌫-⌫---|----|
trichierresestoitdiuersfe inz	----------|-----|-----|--⌫--|
couoitexdelautrui	-------|-||-----|
gaste rresdeusuendegrant	-----⌫---|--|---|-|----|
parole descience	-----|-|------|
ch osesm eesmem entaestre	--⌫---|-⌫------⌫--||----|
et siresdeucoumun	-|----|--|-----|
deromequa nt iluit	-|---|---⌫-|-|--|
lucessillaesto itmorz et que	----|----|----⌫-|---|-|--|
pompeesest oitesl ontaign es	------|---⌫--|-|-⌫-------⌫-|
bat aillesen e st ra nge sterres e t	---⌫-----|-|-⌫--⌫--⌫---⌫|-----|-⌫|
estoitauques sanzch eualiers	-----|-----|---|--⌫-------|
fe soitbaer aes treseignor	--⌫---|---||--⌫--|------|
quanti lestoi tioennesi l	----|-⌫|-----⌫|------|-⌫|
des pucelauneuir gedemoutno ble	---⌫-----|--|---⌫-|-|---|--⌫--|
gente t une	---|-⌫|--|
autreui rg e	----|--⌫--⌫|
qui est oit	--|---⌫--|
pre stesse et abaessedel	---⌫-----|-|------|--|
templeuesteauderrien	-----|----|-|------|
aamaaurelequi fudeulignage	---|-----|--|-|--|------|
horestemo lt estoitbe lefame	------|--⌫-|-----|--⌫-|---|
messi con dis tsalustes	--|-|--|---⌫|-------|
e nli no t onquesbie n	-⌫|-||-⌫|-----|---⌫|
quialoe rfeistnem esque ele	--||---⌫|----|-|-⌫----|--|
refus aeu coumenc ementaestre	-----⌫|-|-------⌫----||----|
espousecatilin eelenefist	------|-------⌫|--|-|---|
onqu esautre biend o nt ele	----⌫-|----|---|-⌫-⌫-|--|
auoirlosmes	----|--|--|
ce mar ia gerefusa	-|---⌫--⌫-|-----|
eleporuncatilin e	--|--|-|-------⌫|
quii aestoit auquesgranz	--|-⌫|-----|-----|----|
ca rele sendoutoitsi	--⌫|--||-|------|-|
confam esseulentferede l or	--|---⌫-|------|---|-|-⌫-|
filastresmessiconlen di t	--------|--|-|--|--|--⌫|
ca tilin etuason filet lor s	--⌫-----⌫|--|--|--|-|---⌫|
si lespos a ce	-||-----⌫|-|
choseporquoidiexso us fri plus	----|--|---|---|--⌫--⌫--|---|
tostsondestruieme ntcar ilen	---|--|----------⌫-|--|-|-|
dediexetdomesne	-|---|-||---|-|
ne pooitr eposern en ueillant	-|----|-⌫-----||-|-------|
nen dormant ilauoit	|-|------|-|----|
palechiere	---|-----|
letes ga rt	--|--⌫--⌫-|
unefoizcoroit	--|---|-----|
autre foiz aloit so ef	----|---|----|--⌫-|
il auoitlaioue n tede rome	-|----|-|----⌫-⌫-|-|---|
si enlacieeetentroduite	-|-------|-|---------|
queliunuiuoient	--|-|-|-------|
tote manieredeluxureli autr e	---|------|-|-----|-|----⌫|
roboientembloientportoientfaustesmoinzme ntoien tlor foiz	-------|--------|--------|---|-------|--⌫------⌫|--|---|
sabandounoient a tozperilz	|------------||--|-----|
ciliouencel suiuoientcati li nepor	--|-------|--------|----⌫--⌫-|--|
mauues usagemeint enirm es c il	-----|----|-----⌫---|-⌫-|-⌫-|
g reignorqu i	-⌫------|--⌫|
sontarrie re	---|-----⌫-|
nonmélesuiuoientporachoison	-----|-|--------|--|-------|
d emontere ndign itezeten	-⌫|-----|-⌫|----⌫---|-|-|
hautecesse ce	-------|-|-|
poo itestre	---⌫-|----|
fetquecatilineauoitporpensé	--|--|-------|----|--------|
uniorapelacat iline	-|--|----|---⌫----|
sesconpaigno nspriue ementetdist	--|---------⌫-|-----⌫----|-|---|
se ignor sgete ndisse	--⌫-----⌫|-|--⌫-----|
n oi entafer eseignorsderome	-⌫--⌫--||---⌫|-------|-|---|
neuos sege	-|--|-|-|
fu ssecerteinsde uostreuertuet de	--⌫--|-------|-|-----|----|-|-|
uo stre foi mesporcequege	--⌫---|--|--|--|-|--|-|
uosai trouez hardizetlo ia x	--|-|-----|-----|-|--⌫--⌫|
grantbes oigneose	----|---⌫----|--|
miscor age sentreprendresi	--|---⌫---⌫|-----------|-|
fetcon uos sauezet	--|--|--|----|-|
ge en t en	-|--⌫-⌫-|
bienqueuos estes	---|--|--|----|
apareilliéderecoi ure	----------|-|-----⌫--|
malauecmoisoura inneamorses t	--|---|--|-----⌫---|----|--⌫|
qua nt uneconpaign i e d e	---⌫-|--|--------⌫-⌫|-⌫|
di uershomes uiautoudesuiaut	--⌫---|----|----|-|-------|
unem eisme	--|-⌫----|
cho se u os auezoi	---⌫-|-⌫-|---|-|
pieca monpenss eet queiet eng	----|--|-----⌫|-|--|-|-⌫--|
mout amafr an chiseeta la	---||-|--⌫--⌫----|-||-|
uostreuos ueezq u eunpode	-----|--|---|-⌫-⌫|-|-|-|
senatorsont toutela se ignoriee t	-------|--|----|-|--⌫------|-⌫|
la richesce dela citede	-|-------|-|-|---|-|
romeetduiconseleauec	---|-|--|------|---|
els mes quideus sienmesestreaua nt	--|--|--|----⌫------|----|---⌫-|
soumestenuuilnenus	-----|---|--|-|--|
nenosapele a nu lehautece	-|--|----||--⌫-|------|
quideussiemesestre	--|---------|----|
c re muetre dou té	-⌫--⌫-|-|--⌫---⌫--|
ilontlagracel e	-|--|-|----|-⌫|
l ono r l aricheceno s	|---⌫|-⌫|------|--⌫|
somes deguerpienperilznossomes	----|-------|-|-----|--|----|
de bouté et iugié nos somesen	--⌫-----|-|-----|--|----|-|
pouerteohomeplein	------||---|----|
iusqu aquantsosferron s	----||----|---------⌫|
c e dontneuaut il mieu z	-⌫|---|-|---|-|----⌫|
mor ir uertueus ementetahonor que	---⌫-|--------⌫----|-||----|--|
uiure ahon te etenchetiuete	----||---⌫-|-|-|--------|
ge traiatesmoingetdieu	-|---||-------|-|---|
ethomesque la uictoireesten	-|----|--|-|-------|--|-|
uoss euosuoul ez	--|-⌫|--|----⌫-|
estesioenehomeuigu erexet	----|----|---|----⌫---|-|
hardiilsonten cien	----|-|---|--⌫---|
ap e recienri checes coumen cons	--⌫-⌫---|-|--⌫-----|------⌫---|
sa nzplus lachose estf ete	--⌫-|---|-|----|--|-⌫--|
etacheueenu shuem quisens	-|------|--⌫|---|--|---|
ait coumentporroitsosfrirce	--|------|------|------|-|
queilo nt de lauoi r	--|-|-⌫-|-||----⌫|
tantque il	------|-|
en fontmesons	-|---|-----|
e tpalaisquatree tq uatre	-⌫|-----|-----|-⌫|-⌫----|
achatentles l izpeinz	-------|--|-⌫-|----|
les uessiaxdor et dar ge nt	--|------||-|-||--⌫--⌫-|
etc uiden tl amerampl ir	-|-⌫-----⌫|-⌫|--|----⌫-|
et lesmonz	-|--|---|
abessierabaten t	-------|------⌫|
mursetrefontne	---|-|-----|-|
il p uiss e ntfere	-|-⌫----⌫-⌫-|---|
delauoir tant enont	-||----|---|-|--|
etnosa uons	-|--|-⌫---|
sosfreteennoz	-------|-|--|
somes endetémalementno s	----|------|-------|--⌫|
uet nauonmes espe r ancede	--||------|----⌫-⌫---|-|
nulbienauoi r n o sn	--|---|----⌫|-⌫-⌫||
quen os ch e tis	--|-⌫-|--⌫-⌫--|
esueil liezuosdonq uesueez la	------⌫---|--|----⌫--|---|-|
franc hise a l uei lque	-----⌫---|||---⌫|--|
tanta u ez couoitieericheceshonors	---|-⌫-⌫-|--------|-------|-----|
gloire uoss on t	-----|--|-⌫--⌫|
apa reilliees fortuneuos	---⌫--------|------|--|
