artus li boinsroisdebretag ne	----|-|----|---|-|------⌫-|
qu ecent fois	--⌫|---|---|
cuidaiestremors	-----|----|---|
desfoudres qu ent our moi caoient	--|------|-|---⌫--|--|------|
etdesarbres	-|--|-----|
ki depe coien t	-|----⌫-----⌫|
mou t durementfuiesmaiiés	---⌫|-------|--|--------|
ta ntkelitansfurap aiiés	--⌫---|-|---|-|---⌫-----|
maisdiextan tmera seura	---|---|---⌫|-|--⌫----|
que l i ta nsg airesn edura	--|-⌫|--⌫-|-⌫----|-⌫|---|
c artoutli	-⌫-|---|-|
uentsereposerent	---|-|---------|
que dieu ne plotuent ern oserent	--|---|-|---|----⌫-||------|
etquantiou	-|----|--|
uilaircler etpur	-||--|---|-|--|
sirefui mou t	-|----|---⌫|
tost aseur	---|----|
l aistansf u	-⌫--|---|-⌫|
trespassés	----------|
ui so urlepin tantamassés	-|--⌫-|-|--|---|-------|
estkicroi remen	--|-|----⌫-||-|
kil ni auoi tbrancene fuelle	|-|||----⌫|-----|-|-----|
que n efustcou uerted oisiaus	--|-⌫|---|---⌫----||------|
senestoitliarb resplusbiax	|-|-----|-|---⌫--|---|---|
ettout li o iseletca ntoient	-|---|-|-⌫-----|--⌫------|
sikem o utbiens	-|-|-⌫-⌫-|---||
entracord oient	---------⌫----|
maisdiuierscans cantoit	---|------|---|------|
quecou quey ca nto it liun s	--|--|--||--⌫---⌫-|-|--⌫|
c antoitpas en si	-⌫-----|--|--⌫-|
del ai oiemenresioi	-|-⌫|-⌫--||-|-----|
s atenditantk	|-----|----|
ilorentfait	-|----|---|
lorsie ruichet re stout a tra it	--|---⌫-----|-⌫--⌫----||---⌫-|
c ainc maisneuisibeleioie	|---|---|-|-|-|---|---|
necuicquenushom loi e	-|---|--|--|--||--⌫|
seiln enaceluioi	-|-||-||----|-|
kitant me plot	-|---|-|---|
doi tparole tenir	---⌫|-----|----|
f u itantcoi uenir	-⌫-⌫|----|-|----|
cheualie rscou	--------⌫-|--|
biencuid aique ilfuissents is	---|----⌫-|--|-|-------|-⌫-|
telnoiseet	--|----|-|
teleffroitmenoi t	--|------|-----⌫|
unsche ualiersqui seusuen oit	--|---⌫------|--|---|---⌫--|
quantiouleuito utseul ue nan t	----|--|-|-|--⌫-|---|--⌫---⌫|
moncheualrestrains main tenant	--|-----|--------|----⌫-----|
aumonter demeure	-|-----|------|
et il comme	-|-|----|
mautalentis	----------|
uint plustostc unsesmeril lon s	---|---|---||--|-------⌫---⌫|
f iersparsamblantcommelions	-⌫---|--|-------|----|----|
de sihaut comme ilpot crier	-|-|---|----|-|--|----|
meco mmencha aesc rier	-|--⌫------||---⌫---|
etdis tuassal	-|---⌫|-----|
au ésfait	--⌫--|---|
sans de f fianchehonteetl ait	---|--⌫-⌫------|----|-|-⌫--|
deffiermedeussié suous	------|-|--------⌫|---|
seile ust guerre entrenous	-|-|-⌫--|-----|----|---|
u au mainsd r oit urerequerre	|-|----|-⌫-⌫---⌫--|-------|
ainsq ue u ousme s	-----⌫-|-⌫--|--⌫|
meussiés guerre	--------|-----|
m aispar monc hief si re u as saus	-⌫--|--|--|-⌫---|--⌫-|-⌫--⌫---|
souruousen re uerrali maus	---|---|-|--⌫----|-|---|
deldamagekiest parans	--|-----|-|--|-----|
endroi tdem oie st ligarans	------⌫|-|-⌫-|-⌫-|-|-----|
demo nloski estab atus	-|--⌫|--|-|--|--⌫---|
plaindresedoitki	-------|-|---|-|
et ioumen plaingsiairaison	-|--||-|-----|-|-|-----|
ca r uousmaue ́sde mamaison	--⌫|---||---⌫-|-|-|-----|
caciétaeff on dre etapluie	------||---⌫--⌫--|-||----|
fait m aués	---||----|
cosekiman uie	---|-||--⌫--|
aitcuicoues tbel	--|--|--|--⌫|--|
ken monbosneenmon	|-|--|--|-|-|--|
mauésfaite te leenu aie	|----|----|--⌫-|---⌫--|
quemest iernauoied ai e	--|----⌫--||----||--⌫|
d egensned armes ne de	-⌫|---|-||----|-|-|
nonkesn i othommeaseur	|----|||-|----|----|
en forte re che ki	-|-----⌫--⌫--|-|
de d urepierrenedefust	-|-⌫--|-----|-|-|---|
etsachiés	-|-------|
biendesoremais	---|---------|
m oitr uiuuenepais	-⌫-|--⌫----|-|---|
a ce lm ot nous	|--⌫|-⌫-|---|
entreuenimes	-----------|
le s ecusembra cie ́stenimes	--⌫|---|-----⌫---⌫-|------|
si se couuricasc unsdel	-|-|-----|----⌫--|--|
licheualiersotcheual	-|---------|-|-----|
et lance ro ide etf usans	-|----|--⌫--|-|-⌫|---|
plus gr ansdem oila	---|--⌫--|-|-⌫-|-|
teste toute	----|----|
ensid el toutam esch ief fu	---|-⌫-|---||-⌫----⌫--|-|
queioufuiplu spetisde	--|--|--|---⌫|----|-|
etsesche uau splus	-|--|---⌫---⌫|---|
for s delmien	---⌫|--|---|
parm ileuoirco usac iés	----⌫|-|---|--⌫|---⌫---|
m enuoispourma ho nte co uur ir	|-|---|---|-|--⌫--|--⌫---⌫-|
s igrantcop com ioupoi souffrir	-⌫|----|--|--|--|--|-------|
lido nn aiconques ne m	-|--⌫--⌫-||-----|-||
elcombledel	-|-----|-||
escu lat a ins	---||--⌫-⌫--|
mistrestoutema p oissance	--|--------|-|-⌫-------|
pechesuolama lance	-----|---|-|----|
et l asoieremestentie re	-|-⌫|---|-----|-----⌫-|
car elleniertmielegiere	--|---||---|--|------|
ains iertpl usgros seaumienc uidier	---|---|--⌫-|----⌫-|-|---|-⌫-----|
lance acheualier	----||--------|
on ke snuletelene u i	--⌫--⌫|---|---|-|-⌫|
etli cheua liers me fe ri	-|-|-----⌫----|-|--⌫-|
si roi dem entquecontreual	-|---⌫---⌫--|--|--------|
memist a tiereduch eual	-|---||----|-|--⌫---|
parlac rupeetcairtou tplat	--|-|-⌫---|-|---|---⌫|---|
laissahonteusetmat	-----|------|-|--|
queonquesnemereg a rda	--|-----|-|-|---⌫-⌫--|
mo ncheual	--⌫|-----|
prinstetmoilaissa	-----|-|--|-----|
mistariereala uoie	---|-----||-|---|
etiouquefai ren esauoie	-|--|--|---⌫-|-⌫|-----|
dolans etpensis	-----|-|-----|
d eleslafontei n ne	-⌫---|-|------⌫-⌫-|
un petitsi mereposai	-|----|-|-|------|
leche ualiersu iir	-|---⌫-----|--⌫--|
car folieaf airedo utaisse	--|----||-⌫---|--⌫------|
et se i ou bie n fai rel o sa sse	-|-|-⌫-|---⌫|---⌫-||-⌫--⌫--|
io uke ilsedeuint	--⌫|-|-|-|-----|
finuolentes meuint	--|-------|-|---|
c amonostecouuen ttenroie	||--|---|------⌫|------|
p arluimen reuerroie	-⌫-|--||-|--------|
ensi meplotissile	---|-|---|---|-|
et mes armes toutes ius mis	-|--|----|-----|--|--|
pou ralerplusdeliurement	---⌫|---|---|----------|
simenreui nc honteuseme nt	-||-|----⌫-|----------⌫-|
quant iouuincla	----|--|---|-|
nuitalostel	---|||----|
trouuaimonostetout autel	------|--|---|---|----|
ausi lieet ausicourto i s	---|--|-|---|------⌫-⌫|
commeioul octrouuéanco is	----|--||-|------|----⌫-|
onques de rie n nemaprecui	-----|-|---⌫|-||------|
n edes afillene	-⌫|-|-⌫|----|-|
que mainsu olentiersme	--|----|-⌫--------|-|
neque mainsd am ourme	-|--|----||--⌫--|-|
q uilauoientfaitl	-⌫|-|------|---||
au trenuit	--⌫--|---|
gran thonneur me por tere nt tuit	----⌫|------|-|---⌫----⌫-|---|
lalorm ier chi	-|--|-⌫---⌫--|
enlormaison	-|--|-----|
etdisoi en tc o nke s nushom	-|-----⌫--⌫||-⌫---⌫|--|--|
niertescap ésqu eil	|---|-----⌫--|--⌫|-|
neque iloid i ree ussent	-|--|-|-|-⌫-⌫-|-⌫-----|
d eladontiestoieuenus	-⌫|-|---||-----|----|
ki nefu s tmorsuretenus	-|-|--⌫-⌫|---||------|
ensialaiensireuing	---|---|---|-----|
au reue nir pou rmetin g	-|----⌫--|---⌫|-|---⌫|
siuousaicontécommefol	-|---|-|-----|----|--|
o nkesmaisd ireneu oll	-⌫---|---|-⌫--|-|-⌫--|
pa r mon ci ef dis tme sire yuuains	--⌫|--|--⌫-|---⌫|-|---|------|
mescou sin sgie rmains	--|---⌫---⌫|---⌫-----|
sinous deussonsentrame r	-|---|-------|-------⌫|
chouuouspu isfol cl a mer	---|---|--⌫-|--|--⌫-⌫--|
queuousl e maué stan tc elé	--|---|-⌫||----⌫|---⌫|-⌫---|
seiouuousai folapelé	-|--|---|-|--|-----|
ieuo usproi kil	-|--⌫-|---||-|
ne u ousenpo ist	-|-⌫--|-|--⌫--|
c arseiou puiset il	-⌫-|-|--|---|-|-|
uostrehonteuengier	-----|----|------|
b ienper tkilest	-⌫--|---⌫||-|--|
apriesmeng ier	-----|----⌫--|
faitkexki t a irenesepot	---|--|-|-⌫-⌫--|-|-|--|
plus apa rolesen plain	---||--⌫----|-|----|
zzdeceruoise	-|-|-------|
ondistkeli caussanss	-|---|-|-|---|---||
apresmengiersansremue r	----|------|---|-----⌫|
uait cas cunsnoiradintuer	---|---⌫---|-------|---|
et uousirésue ngier fourre	-|---|----|--⌫----|-----|
souruosttrepanielabou ré	---|------|-----|----⌫--|
s ontuoscaucesde	-⌫--|--|-----|-|
fier fr oies	---|--⌫---|
etuosban iere sdesploies	-|--|---⌫----⌫|--------|
ortostpourdieume sireyuua ins	-|---|---|---|-|---|----⌫--|
mouuerésa nui tu demain	--------|-⌫---⌫||-----|
lai ss iésl e	---⌫--⌫---|-⌫|
noussauoirbiau ssire	---|-----|----⌫|---|
quantuous i r e ́s acelmar ti re	----|---|-⌫-⌫-⌫-||--|---⌫--⌫-|
carnousuousuau rrons conuo iier	--|---|---|---⌫----|-----⌫---|
niaurapreuost neu oier	||---|------|-|-⌫---|
kiuolentiersneu ous conuo ist	-|---------|-|-⌫--|-----⌫--|
etiou uous proico mme n tk ils oit	-|--|---|---|--⌫---⌫-⌫-|-|-⌫--|
al és pointsans	--⌫--|----|---|
moncong ie	--|----⌫-|
ets e uous	-|-⌫|---|
auiéssongié	-----|------|
mau u ais songe siremanés	---⌫-⌫--|----|-|-------|
cent dya b lei es te uousderue ́s	---|---⌫-⌫-|-⌫--⌫-|---|-----⌫-|
me sirekexfaitla	-|---|--|---|-|
lauostre la ngheonkesn efin e	-|-----|--⌫---|----|-⌫|---⌫|
la uostrelanghesoit	-|-----|-----|---|
u il a tant	|-||---|
deuilonnie	-|-------|
ci ertesuost relangheu ous het	--⌫----|----⌫-|-----|-⌫--|--|
cartoutlepisqu e	--|---|-|--|--⌫|
distacasc unque ls	---||----⌫-|---⌫-|
queil soit	--|-|---|
langh ekionqu esnerecroit	-----⌫|-|----⌫-|-|------|
d e maldiresoit	-⌫|--|---|---|
lauost re lang hesi	-|----⌫-|----⌫-|-|
hetet ueuthon nir	--|-|---|---⌫--|
m iols ne u ouspue telletr air	-⌫---|-|-⌫--|---⌫|---|--⌫--|
bien sachiésiou la pielero i e	---|-------|--||-⌫-------⌫-⌫|
de tra ison s ell e	-|---⌫---||---⌫|
est oitm oie	---⌫--|-⌫--|
homme connepuetc astoier	----||-|-|---|-⌫------|
d eueroit on aumostier	-⌫------|-|-|------|
commederuédeuantlesproism es	----|-----|-----|--|------⌫-|
certes da m e de sesram pos ne s	-----|--⌫-⌫|-|--|---⌫---⌫--⌫|
faitmesireyuuainsn emeca ut	---|-|---|------|-⌫|-|--⌫-|
tantset et	---|--|-|
tant p uete t	---|-⌫--|-⌫|
mesirek exe ntoutes	-|---|-⌫-|-⌫|-----|
nefuonquesmuiausne	-|-|-----|-----|-|
biensetencontreuilon nie	---|--|-------|-----⌫--|
respondr es enset courtoisie	--------⌫|-⌫--|-|---------|
e t sinefist aincautrement	-⌫|-|-|---|---|--------|
orsauésuousbi ense ie ment	-|-----|---|--⌫-|-|-|---|
m ais ienai cure	-⌫--|-||-|---|
de tenc h ier	-|----⌫-⌫--|
nedemesleec omme nchier	-|-|-----|-⌫----⌫-----|
carc ilne fait pas	--|-⌫-|-|---|--|
l ames lee	-⌫|---⌫--|
k i fiertlapre miere	-⌫|----|-|---⌫----|
ainslefait	---|-|---|
cilki sereuenge	--|-|-|------|
bientench er oit	---|-----⌫--⌫--|
azzestraigne	|-|--------|
uiers soncom p aignon	----|--|---⌫-⌫-----|
neuoelpassamblerlegaig non	-|---|--|------|-|----⌫--|
kisehireceetreskigne	-|-|-----|-|-------|
autresma st insle gr inge	-----|--⌫--⌫--|-|--⌫---|
coiquei lp ar loien tens i	-----|-⌫|-⌫--⌫-----⌫|---⌫|
liroisfor s delacamb re i s si	-|---|---⌫|-|-|----⌫-|-⌫-⌫-|
uilotfaitlonge demeure	|-|-|---|----|------|
dormiauoit duscace lle	----|----|---||--⌫--|
etlibar onquantil	-|-|---⌫-|----|-|
l euiren t	-⌫|-----⌫|
tout en pi es contreluisalirent	---|-|--⌫-|-----|--|-------|
et li rois	-|-|---|
raseoir les fist	------|--|---|
deles laroine s	----|-|----||
etlaroinemai ntenant	-|-|----|---⌫------|
l esnouueles calogrenant	-⌫-|-------|----------|
lic ontat outes motamot	-|-⌫---|-⌫----|--||--|
belconter lesot	--|-----|-|--|
l iroislesoi uolentiers	-⌫|---|--|-|---------|
puisfistyy saire mensentiers	---|---|-|-----⌫---|------|
l ameu terpandr a gon	|--|-⌫--------⌫-⌫--|
etleson filet	-|-|--|--|-|
la fo ntain ne	-|--⌫-----⌫-|
ia ainsne passera q uinsainne	-|---|-|------|-⌫--------|
etle pierronetle me rueille	-|-|------|-|-|--⌫------|
etkilyuenra ale uelle	-||-||----||-|----|
mo n seig neursaintiehan	--⌫|----⌫---|----|----|
et siprendralanuitsagi ste	-|-|------|-|---|-|--⌫--|
que auoeclu iiront	--|----|--⌫|----|
tout cilqu aleryua urro nt	---|--|-|---||--⌫----⌫-|
q ueliroisdeuis a	-⌫-|-|---|-----⌫|
toutl acours mout en prisa	---|-⌫|----|---|-|----|
car mouty uoloientaler	--|---||-------|---|
lipr e udomme etli	-|--⌫-⌫-----|-|-|
maiskiken soit l ies	---|--|-|---|-⌫--|
mesir e yuuains	-|---⌫|------|
en fudol ans	-|-|---⌫--|
k il enq ui doitaler tous sous	|-|-|-⌫--⌫---|---|---|---|
se nfu do le nset courecous	|-⌫|-|--⌫--⌫-|-|--------|
de lroi ki a lerydeuoi t	--⌫|--|-|-⌫--||-----⌫|
p ourchouseulem ent	-⌫--|---|------⌫--|
ligre uoit	-|---⌫---|
qu ilsa uoitbi e n	-|-|--⌫---|--⌫-⌫|
quela bataille	--|-|-------|
ar oitme s ire kexsansfaill e	--⌫--|-|-⌫--|--|---|-----⌫|
se il p rime s	-|-|-⌫----⌫|
lerequero i t	-|-------⌫-⌫|
iaueéneli	-|---|-|-|
u me siregauains meismes	|-|---|------|------|
espoir ledemanderoitprimes	-----|-|----------|-----|
senusdecesyy	-|--|-|--|-|
lerequiert	-|-------|
iacontrediteneliiert	-|---------|-|-|---|
soi ngdelorcompaig nie	---⌫-|-|--|-------⌫--|
anco is i ratousseusson uoel	----⌫-|-⌫-|---|---|--|---|
u a saioie u asond ue l	||-|---|||--|-⌫--⌫|
etkikiremaingnea	-|--||--------||
ilue utiestreduscatierc iour	-|--⌫-|-----|---||----|---|
en brece liande e tquerra	-|-----⌫-----|-⌫|-----|
puettantque i l u enra	---|------|-⌫|-⌫---|
alestroitsentie rperilleus	||------|------⌫|--------|
carmo uten e st	--|--⌫-|-|-⌫-|
ental e nteus	-----⌫-⌫----|
etl elandee tlemaisonfort	-|-⌫|----|-⌫|-|-----|---|
etlesoulasetledeport	-|-|-----|-|-|-----|
de la courtoise dam oisiele	-|-|--------|---⌫------|
que mout esta ue nansetbele	--|---|--|-⌫--⌫---|-|---|
etlepre udomme auo ecsa fill e	-|-|---⌫-----|---⌫-|-|----⌫|
quenhonneurfaires ess ille	-|-|------|----||---⌫---|
ta n testfrans etdeboin ep art	--⌫-⌫|--|----|-|-|----⌫|-⌫--|
puisuenrailestourset l	---|-----|--|----|-||
etlelaituilain ki les garde	-|-|---|-----|-|--|----|
liu eoir slidemeure ettarde	-|-⌫----⌫|-|------|-|----|
deluilai n kitant p ar	--|-----⌫|-|---|-⌫-|
gransethis deuset con tref ais	----|-|---⌫---|-|---⌫----⌫--|
et auisage de f elon	-||-----|-|-⌫---|
puisue ra silpu etle	---|--⌫-||-|--⌫-|-|
etle fo ntainn e etlebachi n	-|-|--⌫------⌫|-|-|-----⌫|
et lesosiaus deso usle	-|--|-----|----⌫-|-|
sife ra plouuoi ret uenter	-|--⌫-|-------⌫|-|-----|
mais il n es	---|-|-⌫||
n e ias il	-⌫|-||-|
n el sa ra	-⌫||--⌫-|
desia tantkei laura	---||-----|-⌫|---|
granthonteugr anthonne ureue	----|----||--⌫--|-----⌫-|--|
et puissoi tla	-|---|---⌫|-|
c ose seue	-⌫--|---|
mesireyuu ainsde l a	-|---|---⌫---|-|-⌫|
courts emble	----||----|
sicacompaignon	-|||---------|
nia ssemble	||-⌫------|
maisseusason	---|---||--|
toute sa m ai sni etr ouua	----|-|-⌫--⌫---⌫|--⌫---|
sicommandea metresa	-|-------||----|-|
etunsienescuierapie le	-|-|---|------|----⌫-|
cuiilne celoit	--|-|-|-----|
diu afaitilapri esmoi	---⌫|---|-|----⌫-|--|
laforse t mes	-|---|-⌫|--|
armesaporte	----|-----|
i ou menis traiparc elleporte	-⌫-||-|--⌫---|--|-⌫---|----|
sourmonpalefroitoutlep as	---|--|-------|---|-|-⌫-|
gar d e nedem ourer tupas	---⌫-⌫|-|---⌫----|-|--|
m en conuientmo n tlonc ale r	|-|-------|--⌫-⌫|---|---⌫|
et moncheualfaibien fier er	-|--|-----|--|---|----⌫-|
etsigardeie ltecommanc	-|-|----|-||-|------|
quenusquedemoitedem ant	--|--|--|-|--|-|---⌫--|
nouuielesn elendies	--------|-⌫||-|---|
setuenmoideriens tefi es	-|-|-|--|-|----|-|--⌫-|
ia martif ieroies	-|--|||-⌫------|
siredist ilor en so itpai s	---|---|-|-|-|--⌫-|---⌫|
c a riapar moinusnel saura	-⌫-⌫|-|--|--|--|-||----|
ale ́stostiou uous	---⌫-|---|--|---|
suir ai ia	----⌫-|-|
m e sireyu uains	-⌫|---|--⌫----|
maintenantmonte	---------|----|
kiluenge ra	|-|-----⌫-|
s ilpuetlahonte	|-|---|-|----|
soncousin an co iskilretour t	--|-----|--⌫--⌫--|-|------⌫|
ses escuiers	--|-------|
a sarme s court	-⌫|----⌫|----|
eta cheu al	-||----⌫-|
si m ontasus	-|-⌫---|--|
quedeme ure	--|----⌫--|
nifis tplus	||---⌫|---|
kilnifaloit	|-|||-----|
monseign o ursuit lesgransgalos	--|-----⌫-⌫-|---|--|----|----|
ta ntquei l le uitdescend u	--⌫----|-⌫|-|--|-------⌫|
ialauoitunpoiatendu	-||----|-|--|-----|
c emin enund estroit	-⌫---|-|-|-⌫------|
toutsonhar n oi se t	---|--|---⌫-⌫--⌫|-⌫|
sona t o ur	--|-⌫-⌫-⌫-|
ot at ournépui s si	-|--⌫-----|---⌫|-|
yuu ainsne seiourna	---⌫---|-|-------|
puiskarmés funeta nt n e	----|-----|-|-|--⌫-|-⌫|
ancoise rra ca scuniourtant	-----|-⌫--|--⌫---|---|---|
parmontaignes et	--|---------|-|
paru alees	--|-⌫----|
e tpar f ories	-⌫|--|-⌫----|
grandeset lee s	------|-|---⌫|
par liusaa et sauu a ge s	--|---|-|-|----⌫-⌫--⌫|
etpassa tantfelons	-|----|---|-----|
et tantperil ettantdestroit	-|---|----|-|---|-------|
tantque elsenti eruint	------|-|-----⌫-|---|
tout droit	---|----|
pl ainder on ses etd escurte	--⌫--|-|-⌫--⌫--|-||------|
et lor sfua	-|---⌫|-||
sauole nte	-|----⌫--|
kilne poroitmie	|-|-|-----|--|
kikele doieco mperer	---|-|---|--⌫-----|
nefineratantkeiluoie	-|-----|-----|-|---|
lafontai nne o mbroie	-|------⌫--|-⌫-----|
letourmente	-|--------|
kilpleut etg raille	|-|----|-|-⌫-----|
etnege etuent e	-|---|-|----⌫|
lanuito tcoupoéssa uoi r	-|---|-⌫|--|----|--⌫---⌫|
telostelcomilpotau oi r	--|----|--|-|--|--⌫--⌫|
carpl usde bien etplus danno ur	--|--⌫-|-|---|-|---||----⌫-|
trouu aas se seluauas o ur	-----⌫|--⌫--⌫|-|-----⌫-⌫-|
c on neli otconté	|-|-|-|-|-----|
etenlapucelereuit	-|-|-|-----|----|
donno uretde	|----⌫-|-|-|
bon tecentt ans	---⌫-|---|-⌫--|
quenotcon técalogrena ns	--||-|---⌫--|---------⌫-|
conne puetpasconter lasomme	|-|-|---|--|-----|-|----|
deboinefemme etde preudomme	-|----|----|-|-|--------|
desk il satourn ent a	---|-||------⌫--||
i anierttout dit neracon te ́	-⌫||---|---|--|-|-----⌫--⌫|
ne langh ene	-|-----⌫|-|
poroi tret raire	-----⌫|---⌫----|
co u debienkedoit preudon	--⌫|-|---|-|---|------|
m esireyuuainscele nuitot	-⌫|---|------|---|---|-|
moutboinostelet se	---|---|----|-|-|
etu intenl es sa rtl en demain	-|-⌫--|-||--⌫--⌫-||--⌫-----|
uit les bestes	--|--|-----|
etleuila in	-|-|----⌫-|
kila uoielie ns e igna	-|-|---|-|-⌫--⌫-⌫---|
etplusdeyyfois	-|---|-|-|---|
delamerueille que il ot	-|-|--------|--|-|-|
comme ntn aturefa iresot	-----⌫-|-⌫----|--⌫--|--|
o eur esi laid e ets iuilainne	-⌫---⌫|-|----⌫|-|-⌫|-------|
puis e sradusc	---|-⌫--|---|
a la fontai ne	|-|------⌫-|
etuitcanqueuoloitueoir	-|--|-----|-----|----|
sa nsarie s t er	--⌫-|----⌫-⌫-⌫-|
etsansseoir	-|---|----|
uiers a sourleper ro n de pl a in	-----⌫|---|-|---⌫--⌫|-|--⌫-⌫-|
d elyau elebaci ntout plain	-⌫||---⌫|-|----⌫|---|----|
etmaintenantnega etplut	-|---------|---|-|---|
etfisttel ta ns	-|---|--|--⌫-|
c omfaire dut	-⌫-|----|--|
etgrantdi exredonnale bel	-|----|--⌫-|------|-|--|
sourle pin uinrent	---|-|--|------|
etfi sent i oiemerueil leuse	-|--⌫---|-⌫--|-------⌫----|
sourlafontain ne	---|-|-------⌫-|
p erilleuse	-⌫--------|
et quantlaioie furemese	-|----|-|---|-|-----|
ui ntd i replusardans que bres e	--⌫-||-⌫-|---|-----|--|----⌫|
unscheua lie rsdesi grantb ruit	--|-----⌫---⌫-|-|-|----|-⌫---|
comi lcacas t zzcerfderui t	--|-⌫|-----⌫|-|---|-|---⌫|
etmainte nant kilsentreu irent	-|------⌫---||-||------⌫----|
tel chiere ettelsamblantsefire nt	--|-----|-|--|-------|-|----⌫-|
k ilsentrehai ss entde mort	|-||--------⌫--⌫--|-|---|
es laissent sans nu l depo rt	--⌫-------|---|--⌫|----⌫-|
si sentredonnent s i grans caus	-||-----------|-⌫|----|---|
c a ndeuslesescusdelor cols	|-⌫----|--|----|-|--|---|
percent e tles hauberseslic ent	------|-⌫|--|------|-----⌫--|
le s lan cesfro issent	--⌫|---⌫--|---⌫-----|
et esclice nt	-|-------⌫-|
et litron con uolentenhaut	-|-|----⌫--|-----|-|---|
li unslautreal lespeeassaut	-|--||----|-||----|-----|
caple des e spe es	----|--|-⌫---⌫-|
lesguigesdesescus	--|-----|--|----|
e tlesescusdetr encenttou s	-⌫|--|----|----⌫-----|---⌫|
e t par deseu reetpardesous	-⌫|--|-----⌫-|-|--|-----|
sike les pi e cese n	-|-|--|--⌫-⌫--|-⌫|
d efendent	-⌫-------|
n il ne s encueure nt ne deffende nt	|-|-||-|------⌫-|-|--------⌫-|
ontal i goté s	--|--⌫-⌫-----⌫|
qu e saciésque sourles	--⌫|------|--|---|--|
etsourlesbrasets ourleshances	-|---|--|---|-|-⌫--|--|-----|
sefiere nt des espeesblan ces	-|-----⌫-|--|-----|----⌫--|
mo utfelenessem ents	--⌫-|----------⌫--||
entresprueuent	-------------|
nilnese coeurent	|-|-|-|-------|
neremueuen t	-|--------⌫|
rientp luskesil	----|-⌫--|-||-|
fuissent doi gres	-------|--|---|
ch e ualierssiengres	--⌫-⌫------|-|-----|
nefurentdelo rsc orscopper	-|-----|-|--⌫-|-⌫--|-----|
nontc urede	|--|-⌫--|-|
lor colshaster	--|---|-----|
mais miexki lpueent lesemploient	---|---||-⌫|-----|--|--------|
carli hauberc ne	--|-|------|-|
lorualoient	--|-------|
a cas cun dausnientplusd un froc	|---⌫--||--|----|---||-|---|
ensesuissefier entdestoch	--|-|--|-|----⌫--||-----|
sestgransmerueillequetantd ure	|--|----|--------|--|---|-⌫--|
labataille sipiesmeetdu re	-|-------|-|-----|-|--⌫-|
mai s a ndois o ntdesi grantcuer	---⌫|-⌫---|-⌫-⌫-|-|-|----|---|
que li u n spourla utr eanulfuer	--|-|-⌫-⌫|---||-⌫---⌫||--|---|
pointdetiere ne guerpiroit	----|-|----|-|---------|
se dus ca mortne l empiroit	-|---⌫||---|-||-------|
mai sdec houfisentmoutque	---⌫|-|-⌫--|-----|---|--|
lor c euausen	--|-⌫----|-|
ne naurerent ne ne mpirieren t	-|--------|-||-⌫---------⌫|
quilneuaurentne nedaignierent	-|-|-|------|-|-|----------|
maistousiours	---|---|----|
que n ulefois	--|-⌫--|---|
apieneuinrent	|--|-|------|
labataill e plusbi ele	-|-------⌫|---|--⌫--|
alafin sone lme	|-|--|--|-⌫--|
esquar tiele	------⌫----|
aucheualiermesireyu uains	-|--------|-|---|--⌫----|
delcopfuestourdis	--|--|-|--------|
licheua lierssi	-|-----⌫----|-|
c aincma is son	|---|--⌫-|--|
pareil ne trouua	-----|-|-----|
ki lliadesou s	|-⌫|-||-----⌫|
fendulechief	----|-|----|
siqued elceruelet del sanc	-|--|-⌫-|-----|-|--|---|
haubercblanc	------|----|
dont sitres grant doloursouffri	---|-|---|----|-----|------|
ca p oilic uersn eli fa li	||-⌫-|-|-⌫---|-⌫|-|--⌫-|
se puis fuineutmietort	-|---|--||--|--|---|
quil sese nti	-|-|-|--⌫--|
nauréamort	-----||---|
carr i e ns neliu aloitdeffense	--|-⌫-⌫-⌫-|-|-|-⌫----|-------|
moutt osts	---|-⌫--||
enfuitquantilsap ense	-|---|----|-||--⌫---|
uiers so ncastieltouseslais siés	----|--⌫|------|---|------⌫----|
et liponslif ueslais siés	-|-|---|-|-⌫|------⌫----|
porteouuerteabandon	----|------||-----|
mesir e yuuains de grantrandon	-|---⌫|------|-|----|-----|
ca nkil pue t apriesesperonne	--⌫-|-|---⌫|-----|--------|
s icomgirfausgruer andonne	-⌫|--|------|---|-⌫------|
kideloncm uetet tantlapro ce	-|-|---|-⌫--|-|---||----⌫-|
te nirlecuideet	--⌫--|-|----|-|
mesireyuuai nsl encach e	-|---|-----⌫-||------⌫|
si pries apo ikil nelemb rache	-|----||--⌫||-|-||---⌫----|
etsi nele parpuetataindre	-|-|-|-|--|---|-------|
etsestsiprieskeill otpla indre	-||--|-|----|-|-||-|---⌫----|
deladest rec eke	-|-|----⌫---⌫|-|
ettou s iours aufuirent e nt	-|---⌫|----|-|---|---⌫-⌫-|
et ci lduca chiersesuertue	-|--⌫|-|--⌫----||-------|
kicri entsa pa inneauoirp erdue	-|---⌫--|-|--⌫---|----|-⌫----|
se uifum ort n e led etient	-|--||-⌫--|-⌫|-|-⌫-----|
ramprosnesli s ouuient	---------|-|-⌫------|
kemes ir eskex	-|-|-⌫--⌫-|--|
l iot dites	-⌫|-|----|
niertpas dela prom essequites	|---|--|-|-|----⌫---|-----|
kason cousin auoitpromis e	||--|-----|----|------⌫|
i anier t c reusennul l eguisse	-⌫||---⌫|-⌫---|-|---⌫-⌫|-----|
senseigneurai enenemp orte	|-------|----⌫||-|---⌫---|
