alonordeu eta	||---|--|-||
ue rslecielamont	--⌫-|-|---|----|
adamedeuse	|------|-|
dexquipa rtotasta puissance	--|--|--⌫---|-|-|--------|
urai sa luset	---|--⌫--|-|
uraie es perance	----|--⌫------|
ura ispit esdexdepeke re	---⌫-|---⌫-|--|-|----⌫-|
a idi e suerai s aluere	-⌫---⌫-⌫|----|-⌫-----|
uraiiugi eres ueraiiustice	---|----⌫---|----|------|
a quitote rien	|--|---|---|
doit seruice	---|------|
espant dextabeneico n	-----|--|-|-------⌫|
sorc estei auepa rton no n	--|-⌫---|-⌫--|--⌫|--|--⌫|
et porlesa int ba ptisement	-|--|-|--⌫--|--⌫--------|
de pechieaiees purgeme nt	-|-----|--|--⌫-------⌫-|
faisaint espirdelcieldescen dre	--|----|----|--|---|------⌫--|
et mo i de cestperildefendre	-|--⌫|-|---|----|-------|
ro npé sliien sou iosui mise	--⌫----⌫|-----⌫|-|-|--|---|
ancoisque mort m ait tropsosprise	--------|---||--|---|-------|
na uoitditg aires plus quetant	|-⌫---|--|-⌫----|---|--|---|
es uosuntonoire	-|--|-|------|
m ultgrant	-⌫--|----|
un e colonbedelcielui nt	--⌫|------|--|---|--⌫-|
corone doren son bec	-----||-|-|--|--|
desus la uirgedroitsassist	----|-|----|----||-----|
etuneu oisoique dist	-|--|-⌫--|-|--|---|
margeriteestafermement	--------|---|--------|
lac o npaigne dedeu tate nt	-|-⌫-⌫------|-|--||---⌫-|
esuoslesliensdepechiés	-|--|--|----|---------|
dont pieset main s auoit	---|---|-|----⌫|----|
deloilemargeriteissi	-||---|--------|---|
q ueonques dolorn isenti	-⌫-|-----|----|||----|
por lesmiraclesqueciluirent	--|--|-------|--|--|-----|
plus de c incmil	---|-|-⌫--|--|
si conuertiren t	||-----------⌫|
cincmileho mes iot	---|---|--⌫--||-|
sans lesf emeset les enfans	---|--|-⌫---|-|--|-----|
olimbrius corec iés fu	--------|-----⌫---|-|
quanten t antuit cr oireenihesu	----|-|-⌫--|--|--⌫---|-|----|
parmaltalentetpargrant	--|--------|-|--|----|
leconmandametre amartire	-|-------|----||------|
en a rmenelafai t mener	-|-⌫----|-|---⌫|----|
le ca npn o io nques nomer	-|--⌫-||-⌫|-⌫----|----|
iluecfu rent totenun	----|--⌫---|--|-|-|
deco l éporla de ua mor	----⌫-⌫-|--|-|--⌫|-⌫--|
multor entb on bapti sement	---|--⌫--|-⌫-|-----⌫-----|
d elsan cdont	-⌫-|---⌫|---|
ilere ntsanglant	-|---⌫-|-------|
quant portorment nep or	----|--|------|-|-⌫-|
que li prouos etsa gentface	--|-|-----|-|-|---|---|
uirgeso rmonter	----|--⌫------|
ned esaloifairetorn er	-|-⌫|-|--|----|----⌫-|
conmandaquefust fors menee	-------|--|---|---|----|
dela cit e etdecolee	-|-|---⌫|-|------|
pr estq ue	--⌫--|-⌫-|
q uan tli prou osle conmanda	-⌫---⌫|-|----⌫-|-|-------|
quant fumeneeace lmartire	----|-|----||--⌫|------|
dontm alc u sl e	---|-⌫---⌫-⌫|-⌫|
deu oitocire	---⌫--|----|
uirge distil	----|---|-|
le col est ent	-|--|---⌫--|
r echois lagl oire	-⌫-----|-|--⌫---|
p italment	-⌫-------|
et puis aiesmercidemoi	-|---|---|----|-|--|
cariouoide uens ambl e otoi	--|-|--|--⌫|---⌫----⌫||--|
ele resp onti ot erequi er	--|----⌫--|-⌫|-⌫|-----⌫-|
laimoideuprim e s deproier	--|--|--|----⌫-⌫|-------|
liue rai li moncors	----⌫--|-|--|---|
malcusdis tdame io lotroi	-----|---⌫|---|-||----|
donts emist en	---|-⌫|---|-|
etfist uers d eu cesteoriso n	-|---|---|-⌫-|----|-----⌫|
deuqui le monde as	--|--|-|----|-|
etpar totas tapoe ste	-|---⌫--|-|-|---⌫--|
q u idelmond egarde teprens	-⌫-⌫|--|----⌫|----|-|----|
defors etuois dedens	-----|-|---|-----|
a toibiaussiregraces	|--|----|---|-----|
qui mas gardeede t orme nt	--||-|-----|-|-⌫----⌫-|
def elenieetdeluxu re	-|-⌫-----|-|-|----⌫-|
su ietmon dee tpure	--⌫|-|---⌫-|-⌫|---|
otroiemoi e t loialm ent	-----|--|-⌫|------⌫--|
que i oterequier	--|-⌫|-|------|
quimauieencuer	--|-|--|-|---|
oudeboncuerlescoutera	-|-|--|---||--------|
ouq uid esa gaaigne rie	-|-⌫-|-⌫|-|-------⌫--|
uolraauo irlamoie a ie	----|---⌫-|-|---|-⌫-|
o uquichapeleu	-⌫|--|------||
qu imostier	--⌫|------|
amoifer aedef iier	|--|---⌫|----⌫---|
u de lsieni	|--⌫|---||
metralumiere	----|------|
o iesbia x sire maproi ere	-⌫--|---⌫|---|-|----⌫--|
failorcequilte proie r ont	--|--|-|-|-|-|-----⌫-⌫--|
quilpo rlor	-|-|--⌫|--|
re querr ont	--⌫-----⌫--|
pardo naient d el o rpechies	-----⌫|----|-⌫|-⌫-⌫|------|
nes l aissiésestrea	|-|-⌫-------|----||
mo rt iugiés	--⌫-|------|
ne n ais seiaenlor	-|-⌫---⌫-|-|-|--|
enf es s a	---⌫-|||
droit termine n on	----|------|-⌫-|
li enfes sainet entiers o it	-|----|---|-|-----|-⌫-⌫-|
naturalment sicon il do it	----------|-|--|-|--⌫-|
sef emeestentr a ualdenfant	-|-⌫--|--|-|--⌫-⌫--||-----|
et par be soigmoireclama nt	-|--|--⌫---|--|-------⌫-|
biaxsiredexlorfaiaie	---|---|--|--|--|--|
etlunetl autremetauie	-||-|-||----|--||--|
quieniugem entmissera	--|-|-----⌫--|--|---|
etdemon nonl i souenra	-|-|--|--|-⌫|------|
parmon nonlifai ensement	--|--|--|-|--|-------|
n aitpar fau siu gement	|--|--|---⌫|--⌫-----|
quipormam orteproi er a	--|--||--⌫-|-|----⌫--⌫|
tedemandera	-|--------|
pormamorlord one pardon	--||---|--|-⌫--|-----|
e tueni r a con fession	-⌫|----⌫||---⌫------|
sort oscex	--|-⌫-|--|
quimenomeront	--|-|-------|
m emoi re m e te nront	-⌫----⌫-|-⌫|--⌫----|
l i sainsespirdelci e ldescend e	-⌫|----|----|--|--⌫-⌫|-------⌫|
etd au ersaire les deffende	-||--⌫------|--|-------|
encore estoiten oriso ns	-----|-----|-|-----⌫-|
la sa inte	-|--⌫---|
uirge ai enoillons	----||-⌫--------|
lasainteui rgeaienoillon s	-|-----|--⌫--||---------⌫|
quantunstonoires m erueillos	----|--|-------|-⌫--------|
fu oismult espoentos	-|--|---|--------|
totci l quile tonoire	--|--⌫|--|-|------|
a terre de paor chairen t	|----|-|---|-------⌫|
deuersleciel	-----|-|---|
u intun sesc rois	-⌫--|--⌫|---⌫---|
unecolombe a uneuoi s	--|------||--|---⌫|
lacolo mbesor l is asist	-|----⌫--|--|-⌫||----|
endementresquelau oisdist	-------------|-|-⌫--|---|
m argeriteboneuree	-⌫-------|-------|
ancele deuetespou see	-----|--|-|-----⌫--|
deser uie aslasieuegloir e	-----⌫--|-|-|----|-----⌫|
carportrestos asfaitm emoir e	--|--|------|-|---|-⌫-----⌫|
dexaoietotroié	--||-|-|------|
totcequ e tuli	--|-|--⌫|-|-|
et ce et p lus	-|-|-|-⌫--|
desor tenuienenparadis	--|-||-|---|-|------|
si r eceuras	-|-⌫------|
tong uere don	--|-⌫----⌫--|
de ce stet oiep a s sion	-|--⌫--|-⌫--|-⌫-⌫-⌫---|
elcielserasb oneuree	-|---|----|-⌫------|
lesu irgescor onee	--|-⌫----|---⌫---|
et totcilq uit e	-|--|--|-⌫-|-⌫|
delor pech iespardonaront	-|--|----⌫--|-----|----|
lauirge uint enson se an t	-|----|---|-|--|--⌫--⌫|
si let orne uersori ant	-|-|-⌫---|---|---⌫--|
etd ist frere desormefier	-|-⌫--|----|--|-|-|---|
dam efaitc il netostouc hier	---⌫|---|-⌫-|-||-|----⌫---|
d ameconmentf erirte	-⌫--|------|-⌫---|-|
quantli mes	----|-|--|
de up aroleatoi	--⌫|-⌫----||--|
se tu distelen emocis	-|-|---|--|-⌫||---|
e nterrasenparadis	-⌫------|-|------|
qu ant cil l	--⌫--|--||
oisile feri	-|-|-|---|
aunc oplechief	|-|-⌫-|-|----|
puisdis t quant illiot tranci é	---|---⌫|----|-|-|-|------⌫-|
d expardonesm oices t pec hie	-⌫-|-------|-⌫-|---⌫|---⌫--|
qu a ntceotdit	--⌫-⌫-|-|-|--|
leslauirgelame rendi	--|-|----||--|----|
delcieluind ren tangle	--|---|----⌫---⌫|----|
entor l a uirged eu l oant	----|-⌫|----|-⌫-|-⌫---|
chanterent	---------|
expl icitde	----⌫---|-|
sainte mar guerit e	-----|---⌫------⌫|
d e xnos f ac e denos	-⌫-⌫|--|-⌫--⌫|-|--|
pechies quite	------|----|
ci fines aintemarg aritel a uirgene	-|---|-⌫----|----⌫----|-⌫|------|
