molzpelerinsqu iuuntalmunt	---|-------|--⌫|---|-|---|
auquanzdientqueni eceesteit	------|----|--|--⌫--|-----|
le reiarturqui	-|--|----|--|
npristg rantdreit	|----|-⌫---|----|
entrele montetumbeleine	----|-|---||---------|
corttostlameirpa rmie lareine	---|---|-|---|--⌫---||-----|
plenteiadegranzsaumons	-----|||-|----|------|
delampreesd	-|-------||
a utresp ei s sons	-⌫----|-⌫--⌫-⌫---|
querlenip rentemulsebars	---|--||-⌫---||---||---|
bonsesturgons egr antsaba rs	---|--------||--⌫--|----⌫-|
torbozplaizcong reishar ens	-----|----|----⌫---|---⌫--|
porpeis gras peis q ua nt	------|----⌫---|-⌫--⌫-|
en esttens	-|--|---|
et a n zmenuzpeissons de meir	|-⌫-⌫-⌫|----|-------|-|---|
es uosseidemiesn ommeir	-|--|--|-----|-⌫-----|
cil quiueient le mon t	--|--|-----|-|---⌫|
lehesmeite stretoutroont	-|------|-⌫---|---|----|
e que ligl ieset orressemble	|--||---⌫---|-⌫-|--------|
ou la bei etoteensemble	-||-⌫---⌫|---|-------|
esiorz destei	-|---||----|
iatouztens	||---|---|
doudguezoutre issi com ien	---|---|-|---⌫-|-|--|--|
iane cei n drameir lagran tporte	-|-|---⌫-⌫--|---|-|----⌫|----|
uersar deoumquant	---|--⌫----|----|
eleest mor te	--|--|---⌫-|
equanteleestdegran tpo ignant	|----|--|--|-|----⌫|--⌫-----|
aurenchespasse e po nz	--------|----||--⌫-|
riuetot p orprent	---|--|-⌫------|
parle paisamunts e s t ent	--|-|---|----||-⌫-⌫-⌫--|
enla ma rches ie tlabeie	-|-|--⌫---|-⌫--⌫||----|
deb retaigne e	-|-⌫-------||
de norm end ie	-|----⌫---⌫-|
decest lerre i sire uendrai	-|---|-----⌫|-|--⌫------|
a mamatie reque	|-|-----⌫-|--|
li bu enseuesquesespleita	-|--⌫--|-------|-------|
d esonmos tiert ant	-⌫|--|---⌫---|-⌫--|
quefaitl a	--|---|||
quantleuit fait form ent	----|-|--|---|----⌫--|
lei p eisequen	--|-⌫---|--||
de seintmichiel aucune ri en	-|----|------|-----|--⌫-|
maismoltliauint	---|---|-|----|
dece st bien	-|--⌫-|---|
querunenoit qu ant sedo rmeit	---|--|---|--⌫--|-|--⌫----|
larchang leuint la ouestei t	|-------⌫-|---|-|-|-----⌫|
cenlia dit	--|-||--|
que il aprest ast	--|-|------⌫--|
do us de sesclerssisenuea s t	--⌫-|-|--|----|-||-----⌫-⌫|
a umont dreitd e	-⌫|---|----|-⌫|
lissue es t decampai gn e	|----|--⌫|-|------⌫--⌫|
desreliqueslademandassent	--|-------|-|-----------|
cen quilauurunt en aportassent	--|-|-|------|-|----------|
qua nt sein t autbertoutcen	---⌫-|----⌫|------|--|--|
delno inzde langle	--|--⌫--|-||----|
ad am le deu gra ntgracesre nt	|-⌫--⌫--⌫--|---⌫-|-----|--⌫-|
poisapresta hastiuement	---|------|----------|
ce ls quideueient aler la	--⌫-|--|-------|---|-|
arc h an glesli	---⌫-⌫--⌫---|-|
lordrasa fait	--|---||---|
costree t allier	-----||-⌫-----|
m oltsehastadelenuei er	-⌫--|-|----|-||-----⌫-|
deniersadquis tantcu mi lueit	------|-|---|---|--⌫|-⌫|---|
que sof ier e puen tpard reit	--|---⌫---⌫|----⌫|--|-⌫---|
lisoller sun tfaittuitf aitiz	-|-----|---⌫|---|---|-⌫----|
hueselsorent porleseuiz	------|----|--|--|---|
sunt faiteseiellé	---|---||-------|
briement i	-------||
sunttuit re cunté	---|---|--⌫-----|
limi rac ledechief	-|--⌫---⌫-|-|----|
et estr e c ensi	-|----⌫|-⌫-|-|
untunbrief	--|-|----|
quides r eliquesdemandout	--|--|-⌫------|--------|
si cumli angles	-|--|-|-----|
comman dout	------⌫---|
quantaprestés unt l i	----|-------|-⌫--|-⌫|
ri enu ntfait mol tques age	--⌫-|-⌫-|---|---⌫|--|-⌫--|
quan t de leue sque d esseureir ent	----⌫|-||---⌫---|-⌫---------⌫--|
beneicon lidemandeirent	-------|-|-----------|
quernesouren t s i r enuendreient	---|-|------⌫|-⌫|-⌫-----------|
la uei etuit morrei en t	-|---⌫|---|------⌫--⌫|
molt dolc ementlesabesiez	---|----⌫----|--||-----|
lieu esq uese puis seigniez	-|--⌫---⌫--||---|-------|
en uuntplor e ntforment	-|---|----⌫-⌫-|------|
laoudepar te ntdelorgen t	-|-|-----⌫--⌫-|-|--|---⌫|
s iref unt cil dela utr epart	-⌫|---⌫--|--|-||-⌫---⌫|---|
au de sseure ir outma intregart	-|--⌫------⌫-|--|--⌫--|-----|
saluent dolcement	------|--------|
laoud e pa rtentdelor gent	-|-|-⌫-⌫--⌫----|-|--|---|
quant apeine suntdeseurei	----||----|---|-------|
lo rche mi nount t ant ci l esre i	--⌫|---⌫--⌫|---|-⌫--|--⌫|----⌫|
q ue iliess entdaurenc hein	-⌫-|-|----⌫--||------⌫---|
doie smei se	|---⌫----⌫||
d au gee de li esuin	|--⌫-||-|--⌫----|
canztrespassentunsecpais	---|----------|-|--|---|
e ueulg uessincenm est auis	|-----⌫-----|--||--|---|
no rmend ieont t oteado ss ee	--⌫-----⌫-|--|-⌫--|---⌫--⌫-|
quantl euedep teonttresp assee	----||--||--⌫-|--|-----⌫----|
passentponteiseeseintdenis	------|-------||----|----|
deuersdestr e	-----|-----⌫|
leissent paris	-------|----|
marnepassent endreit laingne	----|------|------|------|
parmieb riesens untalé	-----|-⌫--||-|-⌫--|---|
dreit a sezane	----||-----|
p la ierre ueiente uertu	-⌫--⌫----|-----||----|
tot e francetrespasseeunt	---⌫|-----|---------|--|
parmieb orgoigne	-----|-⌫-------|
a upre mier	-⌫|---⌫---|
d el autrep artpoissuntentré	-⌫||----|-⌫--|---|---|-----|
en la cont edemoriaign e	-|-|----⌫|-|--------⌫|
lel ac tresp assent	-|-⌫-|-----⌫-----|
delos aine	-|---⌫---|
a g rantespleitountamo n teiz	|-⌫---|------|---|---⌫-⌫---|
trestozlesmonzet aual eiz	------|--|---|-|----⌫--|
quantdesmonz f urentdescendu	----|--|---|-⌫----|-------|
e nlonbardiesu nt uenu	-⌫|--------|--⌫-|---|
trespassentla isne lement	----------|-|----⌫-----|
toscane a proftotensemen t	------|-⌫---|--|-------⌫|
pa rmierome s	--⌫---|---||
ensuntale ́	-|---|---⌫|
poi sencam pa ignesunte ntre ́	---⌫|-|---⌫--⌫---|---|-⌫----⌫|
e sr étantpar camp agn e	-⌫--⌫-|---|--|----⌫---⌫|
q uei l u eientmonteg argaine	-⌫-|-⌫|-⌫----|----|-⌫------|
lorsmerci entmolt dam ledeu	---|-----⌫--|---|---⌫----|
qui esamene ztres qua	--|-||----⌫|----⌫-||
eseintmichieltot	|----|------|--|
qui lor afait auiement	--|--||---|-------|
diluequ es sun t alei auant	|------⌫-|---⌫|---|----|
m ostier uien ent	-⌫-----|----⌫--|
dedenz enentr ent	-----|-|----⌫--|
lorpreieresfunt belement	--|-------|---|-------|
deuantl autel a	-----||----||
genoillons	---------|
qua nt fa ites ore nt	---⌫-|--⌫---|---⌫-|
loror eisons	--|--⌫-----|
sorpiezs esdrece ntsi	--|---||-------⌫-|-|
sest urent	|---⌫----|
puissesig nie rentcumildurent	---|-|---⌫---⌫---|--|-|-----|
a lau tel sunttuita pris mié	||--⌫--|---|---|-⌫----⌫---|
de uan tsesuntragenollié	--⌫---⌫|-|---|----------|
lo r offrendesdesus	--⌫|--------|----|
quant b eisié l unt silieuen tsu s	----|-⌫-----||--|-|------⌫|--⌫|
seignié sesunt pu i sou ntd iné	-------|-|---|--⌫-⌫|--⌫-|-⌫---|
p arfunde mentsisunt ralé	-⌫-------⌫---|-|---|----|
a lorbastonslaouil	|--|------|-|-|-|
qu iltrouuent	-|-|-------|
de mandeiren	--⌫--------|
ouertdans abessert enai ese	-|--|---|---||--|-|--⌫--|
querrequis lonta g r antmesa ise	---|-----||--||-⌫-⌫--|----⌫--|
uolentier s od	---------⌫|-|
luip a rlerei ent	--|-⌫-⌫------⌫--|
priu eements i l i	----⌫-----|-⌫|-⌫|
que ils unt ill uec	--|-|-⌫--|---⌫--|
uenuquerr e	---|-----⌫|
quer messagesun t	---|------|---⌫|
dautreterre	|----|----|
seig no rsfuntci l	----⌫--⌫-|---|--⌫|
o r uoss o uffre iz	-⌫|--|-⌫-⌫-----⌫-|
ne uos peistpas que	-|--|----|--|--|
querre la b ei sili	-----||-⌫-⌫-|-|-|
q u euos uolezod luip ar ler	-⌫-⌫|--|----|-|--|-⌫--⌫--|
puis selipl eistporrei zal er	---|-|-|--⌫---|------⌫|--⌫-|
pa r ler odluiou	--⌫-⌫--|-|--|-|
s eil uelt	-⌫|-|---|
auos u endrasicommeilselt	|--|-⌫----|-|----|-|---|
uenirrecei ureau tres	----|-----⌫--|--⌫---|
com me prod omrichesesages	---⌫-|----⌫-|-----||----|
quantilfurentdiluec	----|-|-----||----|
enestlespastr ouue nt l	----------|--⌫----⌫-||
sili unt ditque	-|-|--|--|--|
enesteientpas	-|-------|--|
suntel mostier	---|-|------|
at tendeient	--⌫--------|
querouec luiparleruoleie nt	---|---|--|-----|------⌫-|
edoncsunt ilnosn esau um	|---|---|-|--|-⌫|---⌫-|
nedemandei	-|-------|
ne l orauu m	-|-⌫-|---⌫|
ale izmolttost sis m	---⌫-|---|---|-|||
de grantdolcorlessalue iz	-|----|-----|--|-----⌫-|
doncensuntcilalei por cels	---|-|---|--|---|--|---|
primessuntbeisiez entrels	-----|---|------|---|--|
pois al abei	---|||---|
u irentsa lué lunt	-⌫----|--⌫---||--|
re fai t elsensement	--⌫---⌫|--|-------|
c ommeseinz	-⌫---|----|
huensmolt hum lement	----|---|---⌫-----|
de u antluisunt	--⌫-⌫--|--|---|
age nolliez	---⌫------|
tre stoz lorbrie s li	---⌫---|--|----⌫|-|
unt balliez	--|------|
es guardez	--⌫------|
lesmessages a	--|-------||
seignorsfaitil uo s remain dreiz	-------|---|-|--⌫|------⌫----|
etouue c nos	-|----⌫|--|
herbegerez	---------|
quersedexpl eistnos	---|-|--|--⌫---|--|
nauum r ie n	|---|-⌫--⌫|
poissiez queneiés bien	-------|--||----|---|
m aisoruospri eparcharite	-⌫--|-|--|---⌫|--|------|
qu eme conteis	--⌫|-|------|
decestechosecommentuait	-|----|----|------|---|
cist bri esm ond itdontmolt	---|---⌫-||-|-⌫-|---|---|
lor d emande la uer ite	--|-⌫-----|-|---⌫--|
etil liunt trestot	-|-|-|--|------|
dechiefenchief	-|----|-|----|
querenmemoire	---|-|------|
aueientbiento te	------|---|--⌫-|
desquel i a b e sou toi	-----|-⌫|-⌫-⌫-⌫|--⌫|-|
quecildistr e ntmol tse sioi	--|--|-----⌫-⌫-|---⌫||-⌫---|
des q ueilsout qu en	---⌫-⌫-|-|---|-|-|
r oout se int michie lherbergement	-⌫---|--⌫--|------⌫|-----------|
da ml edeu a d lor sgracié	--⌫--⌫---|-⌫|---⌫|------|
lanuit suntci lb ien herberg ié	-|---|---|--⌫|-⌫--|-------⌫--|
enlendemaine neslespas	-||-------|-⌫--------|
lorfait muer tr esto z	--|---|---|--⌫----⌫|
uaitas sipontcele cit e	---|-|-----|---|---⌫|
suneuesque ad	--|------|-|
illuectro u e ́	-----|---⌫-⌫-⌫|
siliaditecontét ot	-|-||--||-----|-⌫-|
quantquecil	-------|--|
dien tmot a mot	----⌫|--||--|
lieuesqueenfut molt	-|------|-|--|---|
que dexaueita pareil lié	--|--|----|-⌫------⌫---|
quelipr euozdeparadis	--|-|--⌫---|-|------|
e nplus o rsleus se re it requis	-⌫|----⌫-⌫-|---|--⌫--⌫-|-----|
des pecheor squiparla	--|-------⌫|--|--|-|
sesoreisons ireientquerre	--|-------|------|-----|
lieuesquel	-|------||
a beipre out	-⌫--|---⌫--|
edolc ement	|----⌫----|
li comm andout	-|----⌫-----|
delenor e rles	--|----⌫-⌫|--|
messagiers	---------|
quer moltles deueit	---|---|--|-----|
aueirc h ie rs	----|-⌫-⌫--⌫-|
porce nlo rfacem ielsassez	--|--⌫|--⌫|---|-⌫---|----|
quer delongsunt	---|-|---|---|
illuecalez	-----|---|
ensorquetote silo r dont	----------||-|--⌫|---|
deseint mich ie l de	-|----|----⌫--⌫|-|
cenqu illunt	--|-|-||--|
del rogepaillequelais sa	--|---|-----|--|----⌫-|
desuslautel quant	----||----|----|
il eliangles lemo stier	-||-|-----|-|--⌫----|
ed elmarbrequilon t moltchi er	|-⌫-|-----|-|-|--⌫|---|---⌫-|
sor qu e i lianglestintses piez	--|--⌫-⌫|-|-----|---|--|---|
qua ntl imostierfutdedie z	---⌫-|-⌫|------|--|-----⌫|
poisquilore nt assezp arle i	-----|-|---⌫-|----|-⌫----⌫|
pris acongiee demandei	---||-----||-------|
libuensabes d eseinteuie	-|----|---|-⌫|-----|--|
si estaleia sabeie	-|--|---|||----|
limessagierontsei orn é	-|--------|--|---⌫---⌫-|
agra ntpl entelo radtro ué	|---⌫-|--⌫---|--⌫|-|---⌫--|
cen quilsout	--|-|-|---|
que buenlo rfu t	--|---|--⌫|--⌫|
eq uepa r dreit	|-⌫-|--⌫|----|
fairelor dut	----|--|--|
qua ntcilour ent assezestei	---⌫-|--|---⌫--|----|----|
si aliabesaprestei	-||-|---|-------|
les rel iqueshonestement	--|---⌫----|----------|
queil o nt quistant lo nguement	--|-|-⌫-|---|---|--⌫-------|
de celseintdrap un	-|--|----|---|-|
autel l angles leissa	----||-----|-----|
qua nt l imostiersfutdedieiz	---⌫-|-⌫|-------|--|------|
e decel marbre ou ttintses	|-|--|-----|--⌫|---|--|
en coreilsunt	--⌫---|-|---|
apare issant	-----⌫-----|
lileudespiezcumd un enfant	-|--|--|---|--||-|-----|
quantcilourentle	----|--|-----|-|
seintuaire	---------|
d ist lor li abes debonaire	-⌫--|--|-|---|--------|
seign ors pordeuoruo s preions	-----⌫--|--|--|-|--⌫|------|
que de sormaisnos en tramons	--|--⌫------|--|--⌫------|
bien deuune stred	---|----|-⌫---||
quanttuitseruumauns eign or	----|---|-----||-|-⌫----⌫-|
siseromnos ma isse	-|----|--|--⌫-|-|
respond ent cilquantil	-------⌫--|--|----|-|
c ongieontprissisenr euunt	-⌫----|--|---|-||-|-⌫----|
en lorp aisq uanttre stotont	-|--|-⌫--|-⌫---|---⌫---|--|
qu a ntqueilourentdeman dei	--⌫-⌫----|-|-----|-----⌫--|
etestrecensuntsoiornei	-|----|--|---|-------|
maisen main t leuousu nt	---|-|----⌫|--|-|--⌫-|
lescristqueai ueu	|------|--|-|--|
damledeufistmo ltesuertuz	-------|---|--⌫---|-----|
pors eintm ichi e l qui estsisdruz	--|-⌫---|-⌫----⌫-⌫|--|--|--|---|
m aintbealmirac leueuunt	-⌫---|---|-----⌫-|--|--|
enplus orsleus ouuenu sunt	-|----⌫--|---|-|---|---|
liporteor del	-|------|--|
seintuaire	---------|
ilfurentel repaire	-|-----|-|------|
dou zeeni out	---⌫-|-||--|
quiescr izsunt	--|----⌫-|---|
d e do uzecels quiueuunt	-⌫|--⌫--|---|--|--|--|
assez ioutdautreplusors	----||--||----|------|
queieneseiraconte ruos	--|-|-|--|-------⌫|--|
nem ai seiss i	-|-⌫--⌫|----⌫|
cumi enuos di	--|-⌫-|--|-|
t anton taleipar lo r	-⌫--|--⌫|---|--|--⌫|
queuenusunt e nlorco ntreies	--|---|---|-⌫|--|--⌫------|
lamerci deu es eintmarti n	-|----|--||-⌫---|-----⌫|
elpaissun t daurenchein	-|---|---⌫||---------|
desu suntertres untpoi é	----⌫|-|-----|-⌫--|---⌫-|
dontle montueientsi sunt lie	---|-|---|-----|-|---|--|
aui s lo rest	---⌫|--⌫|--|
quant lo nt	----||-⌫-|
ke n ouelsi ecleseitd euenu	-|-⌫---|--⌫---|---|-⌫----|
ueient l esmonzele sualeies	-----|-⌫-|---||--⌫|------|
leseuesdolceseles preies	--|---|-----||--|-----|
le s boisl esui lesleschaste als	--⌫|---|-⌫-|--⌫--|--|------⌫--|
ele pais quimoltest beals	|-|---|--|---|--|----|
li iorze rt c leir se serains	-|---|-⌫-|-⌫----⌫||------|
elipaisert b as	|-|---|--|-⌫-|
ueient la me ir	-----|-|--⌫-|
e les forez	|--|----|
les champaigne se lesdeserz	--|----------⌫||--|-----|
bone sseit	----⌫|---|
lieuesenui ro n	-----|----⌫--⌫|
l aterreueientabandon	-⌫|----|-----||-----|
ueientlemonte	-----|-|---||
molt se prenenta	---|-|------||
m er uellier	-⌫--⌫------|
tozertmuédetel cum fu	--|--|---|-|--|--|-|
aicel ior que sunt	|---|--|--|---|
hosteiz e neirt le bruihair ez	------|-⌫|---|-|--------⌫-|
lesespinesl e bu issonneiz	--|------|-⌫|--⌫--------|
liboisesteittrestoz host eiz	-|---|-----|------|----⌫--|
et elplanistreroel eiz	-|-|--------|----⌫--|
aualel baselpiede lmont	---|-|--|-|--|--⌫|---|
qu iloing lorse mblout roont	--⌫|----|--|--⌫-----|----|
en sonlemonttotc leir parei t	-|--|-|---|--|-⌫---|-----⌫|
celeiglieseque faite esteit	---|------|--|----|-----|
deforze steitto teblanchie	-----|-⌫----|--⌫-|-------|
u ersle sole ilmolt	-⌫--|-|----⌫-|---|
maiso ntzi outfai tesnoueles	-----⌫--||--|---⌫--|------|
qui deloi ngperent estre	--|-|---⌫-|-----|----|
quan tass e izou rentes guardei	----⌫|---⌫-⌫-|--⌫---|--⌫------|
etuitsefurentreposei	|---|-|-----|------|
aua nt enu eie nt isnaument	---⌫-|---⌫---⌫-|--------|
pordenunc ier lor uene men t	--|------⌫--|--|----⌫---⌫|
laioie futleiordouble e	-|---|--|-|--|------⌫|
queraumont outgrant	---|-|---|--|----|
assemblei e	---------⌫|
decl ers deue sq ue s de barons	-|--⌫--||---⌫--⌫--⌫|-|-----|
e de normans edebre to ns	|-|------||-|---⌫--⌫-|
queseint au tbertzaueitmandeiz	--|----|--⌫-----|----|------|
li puep les	-|----⌫--|
eirtgra nz	---|---⌫-|
as sembl eiz	--⌫-----⌫--|
querdedier idonc uoleit	---|-----|----|-----|
cele i gliesequ efaiteau eit	---|-⌫-----|--⌫|----|--⌫--|
granteir r e ioutde p elerins	----|---⌫-⌫||--|-|-⌫------|
quierrou ent parlesche mins	--|-----⌫--|--|--|---⌫---|
molt ueneientes peissement	---|-------|--⌫---------|
iertcle rse sanzgrantuent	---|---⌫-||---|----|---|
lesm eschineseles uall ez	--|-⌫-------||--|----⌫-|
c hescunsdelsdistuerzousonnez	-⌫------||--|---|---|-|-----|
neis liuiellartreuunt	---|-|-------|-----|
d e leece funt tuitsembl ant	-⌫|----|---|---|-----⌫--|
quiplus neseit si	--|---|-|---|-|
chanteo utree	-----|-⌫----|
ciliugleorlaouiluunt	--|------|-|-|-|---|
uielestrait es unt	-----|-----⌫-|--|
laiz es o nnez	---||-⌫-⌫---|
uuntuielan t	---|------⌫|
litensestbeals	-|---|--|----|
laioie estg ran t	-|---|--|-⌫---⌫|
cilpalefr ei	--|------⌫-|
e cil destrier	|--|-------|
ecilroncinecil	|--|-----||--|
qui errouent pa rleche min	--|-------|--⌫|-|---⌫--|
quemenouen tcilpelerin	--|-------⌫|--|------|
d e totes p arzhenissantuunt	-⌫|----|-⌫--|--------|---|
porlagrantioiequeilu nt	--|-|----|---|--|-|-⌫-|
neispar le s bois	---|--|--⌫|---|
chantouenttuit	---------|---|
li oisele tgra ntetpetit	-|------⌫|---⌫-|-|----|
li buefle s uachesuuntmuant	-|---|--⌫|-----|---|----|
le s forez	--⌫|----|
erepaissan t	|---------⌫|
corseboisin ese	---||------⌫-||
fres teals	----⌫----|
ef leutesechalemeals	|-⌫-----||---------|
so nnoent siq u eles monta ignes	--⌫-----|-|-⌫-⌫|--|-----⌫----|
enret in t oentele s pleignes	-|---⌫--⌫-⌫---||--⌫|-------|
quee steit dontdes pl aiseiz	--|-⌫----|---|--|--⌫-----|
e d esf oreze	|-⌫-|-⌫---||
deslarr iz	--|----⌫-|
en c elspar a telso nneiz	-|-⌫--|--||--|--⌫----|
comsicefustcer saco ll iz	--|-|-|---|---⌫|---⌫--⌫-|
entor lemo ntel	----|-|--⌫-|-|
boisfo llu	---|--⌫--|
ciltra uetier unttres	--|---⌫-----|--|---|
rues untfait	---|--|---|
plenteii out d ediuers	------||--|-⌫|-----|
paine pa stez	---||--⌫---|
fru itepoissons	---⌫-||-------|
oiselsoubl eiesue neisons	-----|----⌫---|--⌫------|
det otes parzaueit	-|-⌫---|---|----|
assezenou t quiad	----|-|--⌫|--|-|
quetendr e	--|-----⌫|
