kere sforez	--|-⌫|----|
unsuenu asl etu niouincea us	-|---|-⌫---⌫-|-⌫|--------⌫-|
aape lésiletent	|---⌫--|-|-|---|
uatost faitilisnelement	-|---|---|-|---------|
ala tenteca lcas detroi e	|-|----|--⌫---|-|----⌫|
di asafille la bloie	-||-|----|-|----|
que ieli e nueiecestde stri er	--|-|-|-⌫----|---|--⌫----⌫-|
guaaigniélai	---------||-|
d un cheualier	|-|--------|
q u el nes iraisse de mes	-⌫|-|-||------|-|--|
que nli est toz mis	-|-⌫|-|--|--|--|
c ilsentorn elesgrezmenuz	-⌫-||-|----⌫|--|---|----|
deuantlatente estdescendu z	-----|-|----|--|--------⌫|
pu isestent réelpaue illon	--⌫-|--|---⌫--|-|----⌫----|
dontd efi n orsunt	---|-⌫|--⌫|-|---|
l ipeisson	-⌫|------|
etl estache lipome aus	-||------|-|----⌫--|
aig les quitrope st beaus	---⌫--|--|---|-⌫-|----|
lefizca riz de	-|--|--⌫--|-|
p ierrelee	-⌫-------|
danzele saluee	------|-----|
deparsun naturel	-|--|--|------|
damefaitilcest mis oudor	---|---|-|---|---⌫----|
uosenu eiepa rdruerie	--|---⌫--|--⌫|------|
sachiezqu epas neuoso blie	------|--⌫|--|-|--|-⌫---|
detroilus cesai retraire	-|------|-|--|-------|
quitant lesetde	--|---|-|--|-|
uosb ie nfaire	--|-⌫--⌫|----|
l agua aignén asepoi	||---⌫-----|||-|--|
tr ebuchaelsablon	--⌫-----|-|-----|
telpoindrei fistueiantmes	--|------||---|-----|--|
nef udel asigrant lorguil	-|-⌫|-|-⌫|-|----||-----|
ce ntn enchai ssenttozenuers	--⌫-||-|----⌫----|--|-----|
plus sains est	---|----|--|
paleetpers	---|-|---|
ce uosmande por uossepeine	-|--|----|--|--|-|----|
est uost re demeine	--|----⌫-|------|
parl anelet	--||-----|
pristlad anzelelecheual	----|-|-⌫-----|-|-----|
dimeifaitelet onseign or	-|--|---|--|-⌫-|-----⌫-|
qu e cimepo rte il maleamor	--⌫|-|-|--⌫--|-|---|---|
quesiriens sefaitbien demei	--|-|----|-|---|---|-|--|
mi e ngren omunotrei	--⌫-⌫|--|||--|----|
nede riensseitmisdepr eianz	-|-|----|---|--|----⌫----|
ta ntcu muers mei ertbie nuoillanz	--⌫-|--⌫|---|--|--|---⌫--------|
deitlaidirn edamag ier	---|-----|-⌫|-----⌫--|
cequiert de mei	-|-|---|-|--|
aintetaitchier	---|-|--|----|
biens ai s il maime d e neient	---|-⌫-||-||---|-⌫|-----|
que dem ieuzens erama	--|-|-⌫---|-|-⌫--|-|
a t oze ndeit	|-⌫-|-⌫|---|
porter manaiee	-----|------|
maisse il es t qui lme	---|-|-|--⌫|-|-⌫|-|
iorraiasezainzle	|----|---|---|-|
q uecila urapristelret or	-⌫-|--|-⌫--|---|--|---⌫-|
cheualoues	-----|--||
dontlaperte	---|-|----|
ertbien re storee	--|---|--⌫-----|
nest pas uila inadesgu agier	|--|--|----⌫-||-----⌫----|
quer sozcielna telcheualier	---|--|---|||--|--------|
bienquitqueil	---|---|--|-|
s iuras aprei e e	-⌫---|-⌫|----⌫-⌫|
l ichaudraquilqu enueiee	-⌫|------|-|-|-|-|----|
telliq uideraueer	--|-|-⌫-----|---|
queleporr a b i encompe rer	--|-|----⌫|-⌫-⌫-|-----⌫--|
uaarier etost a lestor	-|-----⌫|---|||----|
simesaluee tun s eigno r	-|-|-----|--|-⌫-----⌫|
iane lharraiseie na i dreit	-|-||-----|-|-||-⌫|----|
nencorn e l	|----|-⌫||
aimdontmieuz	--|---|----|
li uaslez sestdeli	-|-----||--|-|-|
arier etorn ealfe reiz	-----⌫|----⌫|-|--⌫---|
almerueil losetalmortal	-|-------⌫--|-|-|-----|
fenissent tantuassal	--------|---|-----|
ta ntconte ett antriche	--⌫-|----|-|-⌫--|----|
paris ettuitsi	----|-|---|-|
com paign un	---⌫-----⌫-|
furent albesoi ng	-----|-|-----⌫-|
sorles destrierslesarzte n duz	--|--|--------|--|--|--⌫-⌫--|
qu endir reietel traiei z	-|-|---⌫---|--|------⌫|
nesiestrang e	-|-|-------⌫|
neuit unc riensne	-|--|--|----|-|
ne pourentgriussof frirl estor	-|------|----|---⌫---||----|
derumpuz furent	-------|-----|
delap lace	-|-|-⌫---|
iusquastentesdu ra lacace	----|-|-----|--⌫-|-|---|
sagamennon	|--------|
n essecoru st	|-|------⌫-|
mauueisseme ntlorest eust	-----------⌫-|--|---⌫---|
di m ilegrieus nouea uset	-|-⌫--|-----|-----⌫-|-|
l ac iezleshaumespauieis	-⌫--⌫--|--|-----|------|
lesieuenttuit	-|------|---|
lesescuzpris	--|----|---|
cistr equierent lore nemis	---|-⌫--------|--|-⌫----|
eses moluzfers et	-|--⌫----|---|-|
la f aussentosb ersetbli auz	-|-⌫------|---⌫--|-|---⌫--|
l adesioinnentcostez etpiz	-⌫|----------|-----|-|--|
laaasezdes esbahiz	-||---|--|------|
quine s eseuentconseillier	--|-|-⌫|-----|----------|
par leschan suo nt uoizlesdestriers	--|--|----⌫|--⌫-|---|--|--------|
d esseles s un	-⌫-|----|-⌫-|
enfereielongplait	-|-----|---|----|
litroien suntr esortiz	-|-----|---|-⌫------|
siuntel chap desl orgue rpiz	-|--|-|---|--|-⌫-|---⌫---|
tr ei scenz etpluscedit l escrit	--⌫--⌫|---|-|---|-|--||-----|
et cilquiosesoilzlesuit	-|--|--||--|---|--|--|
par mi leslice sl e s meissent	---⌫-|--|----⌫|-⌫-⌫|-------|
iaanceismais nedepartissent	-|-----|---|-|-----------|
seni uen istpo lidamas	-|||---⌫--|--⌫------|
etreis fionle fizduglas	-|---|---|-|--|-----|
cis tunt l estor esuig oré	---⌫|--||----|-----⌫---|
par eus f ule champre cou ré	--|--|-⌫|-|----|--⌫---⌫--|
maismo ut i	---|--⌫-||
out anceiscolees	--|-----|-----|
prises rendueset donees	-----|------|-|-----|
quelito rneiz fustarestez	--|-|--⌫----|---|------|
outleioras ez	--|-|--|--⌫-|
milliers degentcetru islisant	-------|-|---|-|---⌫-|-----|
cesteb ataillefu m o utgra nt	----|-⌫------|-|-⌫-⌫-|---⌫-|
deuantlesdouues pres des murs	-----|--|-----|---|--|---|
fuli torneizp esmeset	-|-|------|-⌫----|-|
tot lei or puisdeciqu alseir	--|-|-⌫-|---|-----|-|---|
m out len poeientbien ueeir	-⌫--|--|------|---|----|
polid amasmoutiiosta	-----⌫---|---||----|
etcheuauspro iguaaigna	-|------|--||-------|
mout sipena	---|||---|
darmes porte r	|----|-----⌫|
asez saueien tsunpen ser	---|-------⌫|--|---⌫--|
plu sorqu i nus plai	---⌫--|--⌫|--|---|
nequi s enbl ant nelenfaiseient	-|--|-⌫----⌫--|-||-|--------|
diomedes etluiiostere nt	-------|-|--|-------⌫-|
quid e neientne	--|-⌫|-----|-|
s entra merent	|-----⌫-----|
ia iostefu moutairose	-|----|-|---|-----|
et achascu ndeusperillose	-||------⌫||--|--------|
i outcel quinesai ngnast	|--|--|--|-|---⌫-----|
etquisalance n	-|--|-|----||
maislecheualdiom edes	---|-|-----|----⌫---|
uira deso zluit r opa f es	---|----⌫|--|-⌫-⌫-||-⌫-|
soz lu ich ai	--|--⌫|--⌫-|
moutfublec i ez	---|-|----⌫-⌫-|
ainzq u ilrefu st	-----⌫|-|----⌫-|
saill i enpiez	-----⌫|-|---|
outpol id a m asle dest rier	--|---⌫--⌫-⌫-⌫-|-|----⌫---|
liuréa unsue n e s cuier	-----||-|---⌫|-⌫-⌫----|
atroilu senfistpresent	|------⌫|-|---|------|
la iosteuirent teus	-|----|-----|---|
qui m oute noure nt grantenuie	--|-⌫--|-⌫|----⌫-|----|----|
etceles quinehee nt mie	-|----|--|-|---⌫-|--|
l untlunalautre aldei	|--||-|||----|-|--|
untentre eu s parl é	--|----|--⌫|----⌫-|
etmo u tgr antbienretraite td it	-|--⌫-⌫|--⌫--|---|------|-⌫|-⌫-|
quanttroilusle cheualuit	----|------|-|-----|--|
grant grelen	----|--||-|
sout que r moutfuriche	---|---⌫|---|-|----|
enzen suncue rditet afiche	--|-|--|---⌫|--|-|-----|
quilen fracheualerie	-|-|-|--|---------|
sique norraparler	---|-⌫|---|-----|
ets ifistilne	-|-⌫|---|-|-|
tarzaguaire	----|-----|
e iss ic um ieuosp ui s ret r aire	-⌫---⌫|-⌫-|-|--|-⌫--⌫|---⌫-⌫---|
t r op les empr essoutachilles	-⌫-⌫-|--|----⌫-----|-------|
seteneit des renspres	-|-----|--|---|---|
qu ilnep oeitnul	-|-|-|-⌫---|--|
deslorspoindre	--|---|------|
nedreitalernea dreitioindre	-|----|---|-||----|------|
quil n elis ors ist enlachiere	-|-|-⌫|-|-⌫---⌫--|-|-|-----|
oa sco stezo	|-⌫|--⌫---||
parderi ere	--|----⌫--|
ue ian tloro uilz	--⌫---⌫|--|-⌫---|
mai s enpoi dorech ietx xx	---⌫|-|--||--|--⌫--|-⌫-|
troi lussist	----⌫--|---|
sorle destr ier	--|-|-----⌫--|
mo ut am a etmoutoutc hi er	--⌫-|--⌫|-|---|--|-⌫--⌫-|
querunce n	---|--|-⌫|
sibuen n outmo nté	-|---||--|--⌫---|
orenbog lé	-|-----⌫--|
leaumelaciélosb erc	|----|-----||---⌫--|
lala nc eel poingofuentors	-|--⌫--⌫|-|----||-|-----|
l egunfanonque lidona	-⌫|-------|--|-|---|
da m iselebriseida	--⌫-⌫----|-------|
quilmo ut amout	-|-|--⌫-|----|
encoral ior	----|-|--|
toz le s granzsauz delmis sou dor	--|--⌫|----|---|--|---⌫---⌫--|
i osteral cors dun ch eualier	-⌫----|-|---||-|--⌫------|
ma isachilles sail lipre mier	--⌫-|-------|----⌫-|---⌫---|
quilf eri siparm ilachie re	-|-|-⌫--|-|----⌫|-|----⌫-|
c h ai enlapoudere	-⌫-⌫-|-|-|------|
n esa iqu ialoingna sse plus	-⌫|--⌫|-||--------⌫--|---|
es tra n gecou pli	--⌫---⌫-⌫-|---⌫|-|
quant dautre	----||----|
partsenist lifer s	---||-|--|-|---⌫|
unc nes i p outt e nirl ous be r s	--|-|||-⌫--|-⌫-⌫--||---⌫--⌫-⌫|
se achillesne seb ais sast	-|-------|-|-|-⌫---⌫---|
iamais sabochenema niast	-----|-|----|-|--⌫----|
cillahurté cum	--|||-----|--|
formen tdeseie t	------⌫|-|--|-⌫|
del che u a l	--|---⌫-⌫-⌫|
iusletr ebuchedeldestrier	--|-|--⌫-----|--|-------|
siqualeaume fiert	---|||----|----|
elgrau ie r	-|----⌫--⌫|
uermei ll e	------⌫--⌫|
moutparmetien ta grant me rueille	---|--|-|----⌫||----|--⌫------|
cumilestdel a mortgua riz	--|-|--|-|-⌫|---|---⌫--|
m o utre fut ostenpi ezsailliz	-⌫-⌫-|--⌫-|-⌫--|-|--⌫-|------|
sun de strie r pr entparmi	--|--⌫-----⌫|--⌫--|----|
et troiluspointn e	-|------|----|-⌫|
l espere ne	|------⌫-|
delespeelimeist	-||----|-|----|
s or lea umequicler reso ne	-⌫-||--⌫--|--|---|----⌫-|
c i ra sen blent	-⌫|--⌫---⌫----|
cirou te st ordu r et	-|---⌫|-⌫--⌫-|--⌫|-|
ci fa it hectorteus escremies	-|--⌫-|-----|---|--------|
dontcentdesl orperdentlesui es	---|---|--|-⌫-|------|--|--⌫-|
c i uosdi bien quelibasta r t	-⌫|--|-|---|--|-|-----⌫-⌫|
ifunt dece usde l	|---|-|--⌫-|-||
laoil uont s unt lirenc c ler	-||-|---|-⌫--|-|---|-⌫--|
a maint enfu ntle chief u ol er	|----|-|--⌫-|-|----|-⌫--⌫-|
larescosseerttrop angoissose	-|-------|--|---|---------|
et as plu sforzmout	-|-|---⌫|---|---|
r iens n e	-⌫---|-⌫|
ne despeestelfere iz	-||-----|--|----⌫-|
outréaueientach illes	-----|------|---⌫----|
cilqui senmistrentagrant	--|--||-|-------||----|
tozesteie ntprizetretenuz	--|------⌫-|---|-|------|
quanttela m oni e stuenuz	----|----⌫-⌫-||-⌫-|----|
e tl i buensdusateniens	-⌫|-⌫|----|--|-------|
cistnifu ssentmaisuia tens	---|||--⌫----|---|-||---|
targassentnetant ne	---------|-|---|-|
i aachillesneust gua rant	-⌫|-------||---|---⌫---|
m aisi ll unt	-⌫--|-⌫||--|
de lapresset ra it	-|-|-----|-⌫--⌫-|
etsin fuain zm ai nteespie	-|-||-|---⌫|-⌫--⌫--|----|
etmaintescudor enboglé	-|----|---||-|-------|
tot d etrenchiéetdecoupié	--|-⌫---------|-|--------|
d e maint eaumelesla zru mpu z	-⌫|----|----|--|--⌫|--⌫---⌫|
cheualerabatu z	-------|-----⌫|
tropenfugrant	---|-|-|----|
iorsen ue t	--||-|--⌫|
nuituientoscureet neire	---|----|-----|-|----|
quia fait departir la	--||---|-------|-|
partizs ensuntettraiz	-----||-|---|-|----|
ace lefe i zni out	|--⌫-|--⌫-⌫|||--|
fa itpl us	--⌫-|--⌫-|
asher bergessenretorner ent	-|---⌫-----||-|--------⌫--|
cil quigaires n i	--|--|-----|||
se i ornere nt	--⌫-⌫------⌫-|
n o firente lcildedenz	-⌫|-----|-⌫|--|-----|
trenteiorzdorali	-----|---|---|-|
uncunsoliorn e trespassa	--|-|--|--|-⌫|--------|
lorgentnedeseura	--|---|-|------|
deciquelesparti l is eirs	------|--|----|-⌫|-⌫---|
uespresoscursetn eirs	------|-----|-|-⌫---|
litrentei or furentpe nible	-|-----|-⌫-|-----|--⌫----|
outnulsimal	--|--|-|--|
quetozne fust las etmati z	--|--|-|---|--|-|----⌫|
ainz queil fussentacompliz	----⌫--|-|------|-------|
dui de s bast arzi furent	--|--⌫|----⌫--||-----|
quidone r entgran t de scon forz	--|----⌫-⌫--|----⌫|--⌫----⌫---|
aure ipriantet ap aris	-|--⌫|-----|-||-⌫---|
etasplus chiersde lo ramis	-|-|---|-----|-|--⌫|---|
esderiers iorzdel abataille	-|------|---|-|-⌫|-------|
mail lesdelauentaille	----⌫--|-|-|--------|
fu h e ctorn af frezenla	-|-⌫-⌫---|-⌫--⌫---|-|-|
qua relparte lmanere	---⌫--|--|--⌫|-----|
quepo r u npoi ne fuocis	--|--⌫|-⌫|--|-|-|---|
puisenuint teus	---|-|---|---|
conc sunosbe rc ne	|--|--|----⌫-|-|
pout uestir	---|-----|
neforsdesmursdetroieeissir	-|---|--|---|-|----|-----|
mou ten receurentgrandd am age	---⌫|-|--------|----|-⌫--⌫--|
liplusproc aindes un linnia g e	-|---|----⌫--|-|-⌫-|------⌫-⌫|
ta ntcum la bata illeaduré	--⌫-|--|-|----⌫---||----|
d esp uisquilfuel	-⌫-|-⌫----|-|-|-|
uis naf fré	--|---⌫---|
enfuren tbienlisor de o r	-|-----⌫|---|-|---⌫--⌫-⌫|
moutertregr etéchas c un	---|--|----⌫---|----⌫-⌫-|
moutenplorouentte ndrement	---|-|--------|--⌫-------|
c ilqu ile grant des truiem ent	-⌫-|--⌫|-|----|---⌫------⌫--|
u eeientfair edelor genz	-⌫-----|----⌫|-|--|---|
parma in tes feizlesmistrent enz	--|--⌫--⌫--|---|--|-------|--|
parmaintes	--|------|
feiz lesreus e rent	---|--|----⌫-⌫---|
etparmaintesfeizrecourerent	-|--|------|---|----------|
moutesteientsordeior	---|-------|-------|
iaueient lo rseignor	|------|--⌫|------|
naue ient point de fortelece	|---⌫---|----|-|--------|
moutregretouen tsa	---|----------⌫|-|
mo uts enfaiseien tangoissos	--⌫-||-|--------⌫|--------|
dolenz ettristese tploros	-----|-|------|-⌫|-----|
lichamperentc ouertdemorz	-|----|----|-⌫----|-|---|
e t liuerg ieretto z les orz	-⌫|-|----⌫--|-|--⌫|--|--|
quileni aueit pl u sasez	-|-|-||----|--⌫-⌫|---|
que quantil	--|----|-|
furentars es	-----|--|-|
codiseientb ienl i pl us or	-|-------|-⌫--|-⌫|--⌫--⌫-|
nenioutp as t antlaut re i or	|-||--|-⌫-|-⌫--||---⌫-|-⌫-|
n e lpoeient	-⌫||------|
plusend urer	---|---⌫---|
quer nau e ient o asembler	---||--⌫-⌫---||-------|
l olor e t la puor les	|---|-⌫|-|---|--|
ni aueit uoinechamp	||----|--|-|----|
en porhec torqui iutnaffré	-|--|---⌫--|--|--|------|
dontlisuen	---|-|---|
er e ntm almené	--⌫-⌫-|-⌫-|----|
etporredeliurer leschans	-|--|---------|--|----|
requist triueslireispri an s	------|-----|-|---|---⌫--⌫|
ses genzueei tceditlautor	--|---|----⌫|-|--||----|
a m il liers mor irchas cunior	|-⌫--⌫----|---⌫-|----⌫--|--|
pa risseit iqueniert	--⌫------||--|||--|
aueit laseignorie	----|-|--------|
messagiers pri st linoblesreis	---------|---⌫-|-|-----|---|
richesetsai uese tcorte is	-----|-|---⌫--|-⌫|-----⌫-|
aa gamennon lestramist	|-⌫-------|--|------|
truis paslornone scrit	----|--|--|--|-⌫----|
sismeis requistre nttriue entie re	--|---|---------⌫-|----|-----⌫-|
quehuemn i tra i e nela ntnefiere	--|---|||---⌫-⌫|-|--⌫-|-|----|
doneefusanzc ontredit	----|-|---|-⌫-------|
quifustdegrantne	--|---|-|----|-|
parz lo ntaf iee	---||-⌫-|--⌫--|
ado ncrefugrantlasenblee	---⌫-|---|----||-------|
a f aireetascorsardeir	|-⌫---|-|-|---|-----|
necesserentmatin ne	-|--------|----|-|
deciquet ot fu aconpli	------|-⌫-|-|------|
furentsepel i	-----|-----⌫|
etmis en cen dre etensarcous	-|--|-|---⌫--|-|-|------|
out siiouenure nesi	--|-|-------|-|-|
que n efustliezdelloncs ei or	--|-⌫|---|---|--|---|-⌫--⌫-|
alerent lip lusor	------|-|-⌫----|
mestie rlor en ertet be soingz	------⌫|--|-|--|-|--⌫-----|
mout c oitoutaquerrelo ingz	---|-⌫-----||-----|--⌫---|
l i fizle re i	-⌫|--|-|--⌫|
furen tplore ́	-----⌫|-----⌫|
l ei or quilfu rententerré	-⌫|-⌫-|-|-|--⌫---|-------|
sarcousourentt ropprecios	------|-----|-⌫--|------|
sepeliz fure n t amedo s	------|----⌫-⌫|-----⌫|
delezlorfreresrich ement	----|--|-----|----⌫----|
et lorleihone stement	-|--|--|----⌫------|
enpaizfurentet	-|---|-----|-|
buendemi ance dit	---|---|-|-|--|
bienl oruolentez	---|-⌫-|-------|
etl imalad eetlesn affrez	-|-⌫|-----⌫|-|--|-⌫-----|
lepuillei slepluss ene z	-|-------⌫|-|---|-⌫---⌫|
qui demigiefust	--|-|----|---|
ned o ignementfreisned enplastre	-||-⌫-------|----|-||--------|
dedenzlachambr e	-----|-|------⌫|
delabastre	-||------|
dame setles puce le s	----⌫|-|--|----⌫--⌫|
totes lesrichesdamiseles	----|--|-----|--------|
sunt deuantl uietn uit et ior	---|-----|-⌫-|-|-⌫--|-|--|
uienenti reipr ince	------||--|--⌫---|
uene nticilquiplusualei ent	----⌫-|---|--|---|-----⌫--|
e tdegreinor	-⌫|-|------|
pris ies teient	---||--⌫-----|
po lixenaies t sasuer	--⌫-----||--⌫|-|---|
quimout la ime detotsun cuer	--|---||-⌫--|-|--|--|---|
heleinequilese rt	------|--|-|--⌫-|
quis aplaie lil iee ttert	--|-⌫|----|-|-⌫-|-⌫|---|
doucementmoutdebuen gre	--------|---|-|---|--|
asezenunt souen tparlé	---|-|--|-----⌫|-----|
laqueleentienentaplusbele	-|----|-|------||---|---|
odameheleine o lapuce le	|---|------||-|----⌫-|
maisneseuentqu e	---|-|-----|--⌫|
al plusbelquilpuetaler	-|---|--|-|-|---|---|
n acuerpor pe nsa st	||---|---⌫--⌫---⌫-|
nela boche quideuisast	-|-|----|--|-------|
labeaute nelaresplen dors	-|-----|-|-|-------⌫---|
meins beledeles dos	----|---||---|--|
enlachabredelabastrie	-|-|-----|-||-------|
ol ordarai bereflambie	||-||----⌫-|--------|
pierres i um ell es	------|-⌫--⌫---⌫-|
quedeuse n	--|---|-⌫|
eslist asplus	-----|-|---|
q uant pre ciosesles	-⌫---|---⌫-----|--|
safir etsardina	----|-|------|
t opaceprasmecrisol ite	-⌫----|-----|------⌫--|
ma raude berilzameti s te	--⌫----|-----|-----⌫-⌫-|
ias pesrubi	---⌫--|---|
c hieret sa rdoin e	-⌫---|-|--⌫-----⌫|
charbocle cleret calcedoine	--------|---|-|---------|
dicestesoutde l l onc etl e	|------|--|--⌫|-⌫--|-|-⌫|
en la chambremout grant plente	-|-|------|---|----|-----|
nibesoignaautr e c la r tez	||-------|----⌫|-⌫--⌫-⌫--|
quertozliplus	---|--|-|---|
beausiorz destez	----|---||----|
nerel uist sinatel mesure	-|---⌫---|-|||--|-----|
fait par nuit	---|--|---|
deprasmesuerz etdesar din es	-|------|---|-|-|---⌫---⌫-|
bu e nesalema ndines	--⌫-⌫--|-----⌫-----|
suntlesuitresetleschassiz	---|--|-----|-|--|------|
d ordaraibet reieteiz	|-||-----|-⌫-------|
d esentaille snedefigures	-⌫-|--------⌫|-|-|------|
nedesformesned e peintures	-|--|-----|-|-⌫|--------|
ne d e merue illes ne desieus	-|-⌫|-----⌫----|-|--|---|
dont tantioutparplu sors	---|---||--|--|---⌫---|
n equier retraireneparler	-⌫|----|-------|-|-----|
quenui serreit del	-|---|------|-||
m a isenla chambre	-⌫-⌫-|-|-|------|
et quatre pilerslons	-|-----|-----|---|
lautredeiaspe	|----|-|----|
u e r tetros	-⌫-⌫-⌫|-|--|
