Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
D iexquideffent	-⌫--|--|------|
lesbiensde touzma usetqui	--|----|-|---|--⌫-|-|--|
Gene ui eueen gar deet	----⌫--⌫--|-|---⌫-|-|
quilauoltgarderdes faxblasmes	--|-|---|-----|--|--|------|
donteleesto itblasmee atortla garenti	---|--|----⌫-|------||---|-|------|
E ncoren eseuoulo itpastere	-⌫----|-⌫|-|-----⌫-|--|---|
liarcediacrese inçoiz leur	-|----------|-⌫------|---|
uoltdir e ce	---|---⌫|-|
que ilpe nsoit	--|-|--⌫----|
Be au si refetil mesire saint	--⌫-|--⌫-|--|-|-----|----|
Marti nqui fuplesanza	-----⌫|--|-|------||
Di euet unssiencompains qui	--⌫-|-|--|---|-------|--|
au oit n onsains	--⌫--|-⌫-|----|
Aignien spar quimai ntmal fur entpuisestainz	-------⌫|--|--|---⌫-|--|---⌫--|---|------|
et furent preudomme setloiau set	-|-----|---------⌫|-|-----⌫|-|
remestrentp uizmai nzm axpa reulz	---------|-⌫--|---⌫-|-⌫-|--⌫|---|
Orlien slafist nostre	------⌫|-|---|-----|
Sireporluimaintes granzuertu ze tpar	---|--|--|------|----|-----⌫|-⌫|--|
lagrantuer tu	-|----|---⌫-|
qui e nlu i	--|-⌫|--⌫|
e stoit g ardaillesge nzde la c ité et les	-⌫----|-⌫---|-|--|--⌫-|-|-|-⌫---|-|--|
d effendidu	-⌫------|-|
mauuésr oisquiuenoitseureulz	------|-⌫--|--|-----|---|---|
Liau tressanzfaille de ffistunebataille qui	-|--⌫---|---|-----|--⌫----|--|-------|--|
mo ut estoitfelenesseetcrui eu x	--⌫-|-----|--------|-|----⌫--⌫|
Onq uesni ot couertureseur son cors	---⌫--|||-|--------|---|--|---|
Ilentrade dans sanzarmeure	-|----|--⌫---|---|------|
nule forsqu edebo ntézet	---|---|--⌫|-|--⌫----|-|
deuertuz dont	-|-----|---|
ilestoitcouerz et gar nizsi f ermemant	-|-----|-----|-|---⌫--|-|-⌫-------|
queil nen po uoitestredesgarniz	--|-||-|--⌫---|----|--------|
Diexa porl ui despec ieecele asse mblee	---||--|-⌫-|------⌫--|---|----⌫----|
uousgenzquiestessanz pitiée tsanzmise ricorde	---|---|--|----|---|-----|-⌫|---|----⌫------|
ein sipu et bie n	---⌫-|--⌫-|---⌫|
D iexferepor l a mourde la	-⌫--|---|--||-⌫---|-|-|
Lepouoirque ilseult auoirencor la	-|-----|--|-|----|----|----|||
iletsachie ́zbienet sinend out e ́zmie	-|-|------⌫-|---|-|-||-|-⌫---⌫-⌫-|--|
qu eseuousauézenluifian cesifera	--⌫|-|---|----|-|--|----⌫-|-|---|
To utase urensoiéz	--⌫-|---⌫-|-|-----|
Etsachiéz	-|-------|
certa innementqueuostrecitése ragardeep ar	-----⌫-------|--|-----|----|--⌫-|-----|-⌫-|
cestee tlamauuais e ge nt con fundue	----|-⌫|-|-------⌫|--⌫-|---⌫-----|
Tuitcil de	---|--|-|
la citéfu rent mout ioianz	-|----|--⌫---|---|-----|
etorentmoutbontale nt uers	-|----|---|--|----⌫-|---|
Enceltermine queie uous	-|--|------|--|-|---|
deu isesto ientacom pli	---⌫-|----⌫---|----⌫--|
Xuanz en laage	-|--|-||---|
a lada moise le	|-|--⌫-----⌫-|
Ele crutm outde	--|---|-⌫--|-|
co rse tde	--⌫-|-⌫|-|
courage etsicr ut enuertuz e tama nda	------|-|-|--⌫-|-|-----|-⌫|---⌫--|
Ele mena porlamour de	--|---|--||----|-|
D ieu aquerremoutas pre	-⌫--|------|---|--⌫--|
sa charetbatiettour menta	-|---|-|---|-|----⌫----|
Eles e fioiten	--|-⌫|----|-|
Di euetatendoit	--⌫-|-|-------|
Elecru cefioit formen tsesmenbr es	--|---⌫------|------⌫|--|-----⌫-|
Ein si conli	---⌫-|--|-|
apostresdist	-------|---|
lefistele s anz con tre dis t	-|---|--|-⌫--|---⌫---⌫---⌫|
Lauier gemen goit	-|----⌫-|---⌫---|
IIfoiz enlasem ainneleme scrediet	-|---|-|-|---⌫----|-|--⌫-----|-|
le sa medi aunefoiz	-|--⌫---||--|---|
Sesconroi ses toit	--|------⌫|--⌫---|
mou tp oures	---⌫|-⌫----|
Ilestoitpoures aum o nde etrichesa	-|-----|-----|-|-⌫-⌫--|-|-----||
Ele confondoiteinsisa c ha r etmatoit	--|---------|----|-|-⌫--⌫|-|-----|
El emangoi t	--⌫|------⌫|
tants e ul emantp aind	---|-⌫-⌫--⌫----|-⌫--||
orgepestrien lesiue e t	---|-----|-|-----|-⌫|
f euesbaiennes	-⌫---|-------|
Eleencuis oit	--|-|----⌫--|
foi zq uel esli dur oie nt	---⌫|-⌫|--⌫-|-|---⌫---⌫-|
Xu iour s ou	-|----⌫|-|
IIIsemainnes	--|--------|
Ele n auoit da utremengiernul	--||----||-⌫---|------|--|
deli tetde celui menioiteleencore moutpetit	----⌫|-|-|----|------|--|-----|---|----|
Onque s en sauien ebut	-----⌫|-|-|--|-⌫|--|
d euinnede ceruoi senedenul boiure fors	-⌫|--|-|-|------⌫-|-|-|--|-----|---|
tantseulemantei nsicommenous trouonsen	---|--------|--⌫--|----|---|------|-|
n eonqu esne fuenuieuseen	-⌫|----⌫-|-|-|-------|-|
Ele menacesteuie Lan z neonqu es	--|---|----|--||--⌫|-|----⌫-|
ne ploraso nesperitm esson cors afoibl i	-|----|--⌫|------|-⌫-|--|---|------⌫|
Leseuesques qu ilors estoient etq u ilesgranz	--|-------|--⌫|---|-------|-|-⌫-⌫|--|----|
bontéz sau oien tdonele estoit	------|---⌫----⌫|--|--|-----|
plainneetla	------|-|-|
grantrel igion	----|---⌫----|
dont ele estoi tlamistr en t aresonuni our	---|--|-----⌫|-|-----⌫--⌫||----|-|-⌫--|
Ge n eu ieu efontiluous port ézune soumequiesttrop	--⌫-⌫--⌫---⌫|---|-|---|----⌫--|--|----|--|--|---|
u ousa fobloiéztropuostr echar	-⌫--|-⌫--------|---|-----⌫|---|
N ous uous	-⌫--|---|
proi onsq ue uoustantseulema nt aiézpitiéde uo us e n	----⌫--|-⌫-|---|---|-------⌫-|----|-----|-|--⌫-|-⌫|
tele maniereque u ous	---|------|--|-⌫--|
puissiézlongueman tu iu re	--------|---------⌫|-⌫--⌫-|
Mangi ézplusqueuousn aue ́z	-----⌫--|---|--|---||---⌫-|
a coustume s e uous uoulézioi rd u	|-------|-⌫|---|------|---⌫|-⌫|
ue ssel ou li	--⌫---|-|-|
Espe rizestencloz	----⌫--|--|-----|
S ainteuie rg ecreéznous	-⌫----|---⌫--⌫|-----|---|
Nous leuous com ma ndons dep ar	---|-|---|---⌫--⌫----|-|-⌫-|
Dieu quile d onnousen adonné	---|--|-|-⌫-|---|-||-----|
Nousdeuons estrepere et uou sfille	---|-----|----|---|-|---⌫|----|
Cil lecomperemoutchier et ac h ate qui	--|-|------|---|----|-|--⌫-⌫--|--|
contresoneuesq ue ua que	-----|--|-----⌫-|-|--|
Diex si di st	---|-|--⌫-|
en leuuangile	-||--------|
Cil quiu o usoentoie ntmoie t monparadis	--|--|-⌫-⌫-|---|---⌫-|--|-⌫|--|------|
et monresgneotroiiea	-|--|-----|----|-||
c euzquiuous	-⌫--|--|---|
Ata nt leurotroia laui ergele uruolentésanz	---⌫-|---|-----|-|--⌫---|--⌫-|-------|---|
nul del ai	--|---⌫-|
El ecrutta ntporluisa u ieq uele	--⌫|---|--⌫-|--|--|-|-⌫-|-⌫|--|
menia dulaitet desgra n z pois onz not enuie	----|-|---|-|--|---⌫-⌫|----⌫--||-|----|
ei nçoismeniatoutesa uie desmenuz	--⌫-----|----|----|-|--|--|----|
et toutesles heuresqu	-|-----|--|-----|-|
eleen men ioitsouspiroitducu ere t	--|-|---⌫---|---------|-|--⌫-|-⌫|
plo uroitm outt en drementdeseu lztant	---⌫----|-⌫--|-⌫--⌫------|--|--⌫-|---|
seuleman tporce quele	--------⌫|--|-|-|--|
n epouoitfere ein sicommeele	-⌫|-----|---|---⌫-|----|--|
fesoitdeuante i nc ̧ois q ueele alastafloibloiant	-----|-----|-⌫-⌫--⌫---|-⌫-|--|----|-----------|
Eleauoi t en	--|----⌫|-|
Die u m ise	---⌫|-⌫--|
sacu re t oute	-|--⌫-|-⌫---|
E leestoit sipureetsinete	-⌫-|-----|-|---|-|-|---|
q uele ue oit l ec ielouuert	-⌫|--|--⌫--|-⌫|-⌫--|-----|
Ce l iestoitauise t	-|-⌫|-----|---|-⌫|
Damed ieu ensonsainestreet	-----⌫--|-|--|---|----|-|
siestoitas adestresonfuilz	-|-----||-⌫|-----|--|----|
Donquesdeu onsnoustr estuit	------|---⌫--|---|--⌫-----|
biencroirequesa	---|-----|--|-|
promesseestuoireque	-------|--|----|--|
Diexpromet ases ami s	---|-----||--|---⌫|
Il beneistceulzq uisontnet	-|------|----|-⌫-|---|--|
tuitcilquiserontne tdecue ruerron t	---|--|--|-----|--⌫|-|---⌫|------⌫|
Cesteleueoitp orceque el e estoit nete	----|-|----|-⌫-|-|--|--⌫|-----|---|
Eleauoittouz	--|----|---|
iou r soluison	---⌫-⌫||--|--|
Eleauoit sicom me s ai ns	--|----|-|---⌫-|-⌫--⌫-|
Ay mesler acont een li	--⌫--|-|-⌫-----⌫|-|-|
XII uertuz	--|-----|
O nqu esnul ene len	-⌫---⌫-|---⌫|-||-|
Ilestueritézetsile setonbienque	-|--|-------|-|-|-|--|-|---|--|
enl ah aute	-|-⌫|-⌫---|
Ierusalemnepuet	--------|-|---|
nusfe reess aidentrerseiln	--|--⌫-|---⌫-||-----|-|-||
XIIuertuz ensoi	--|-----|-|--|
Ie les u ous	-|--|-⌫--|
nommerai t outente lemanierecommeie	-------|-⌫--|-|--⌫-|------|----|-|
lestroua ienes critlaprumiere si	--|-----⌫|-|--⌫---|-|-------|-|
estfor ceco ncordeamistiézguerred onen	--|---⌫-|--⌫-----|--------|-------⌫-|-|
Dieu in nocence char itézproesce	---|--⌫------|----⌫----|------|
Dieu u eritéz simplescedec ep line	---|-⌫------|--------|---⌫--⌫---|
etchas teé qui af ine to utes ch oses	-|----⌫---|--|--⌫--|--⌫---|--⌫---|
Ou tens quelesapostresestoientqui	-|---|--|--|-------|-------|--|
anon çoientlesnons	----⌫------|--|---|
Di eu senala sain s	--⌫-||-|--|----⌫|
At haines ouilso ufri maintespainnesetmainztrauaxpour	--⌫-----|-|-|--⌫---|------|------|-|----|-----|---|
Il t roua lacité	-|-⌫---|-|----|
moutdureet pl a inn e detresg ran z cruaute ́z	---|---|-|--⌫-⌫---⌫|-|---|-⌫---⌫|-------⌫-|
Ne puetchaloirquiliesploita	-|---|------|-|-||-------|
ta ntq u i lconquis t celuidelaci t é q ue	--⌫-|-⌫|-⌫|-------⌫|----|-|-|--⌫-⌫-|-⌫-|
ilplu scou oita	-|---⌫|---⌫---|
fistcroirel	---|-----||
a nonsains	|--|----|
Denis et fuen	----|-|-|-|
Francedecoll e ́z	-----|------⌫-⌫-|
I l ama mout	-⌫|--|---|
Dieuetmoutle crut et en lafi n morut	---|-|---|-|---|-|-|-|--⌫|----|
q u ilfuconuertiz	-⌫|-|-|--------|
Romeoui lfu receuza gra nt i oiecaril	---|-|-⌫|-|-----||---⌫-|-⌫--|--|-|
est oitmerueilleusclersets iestoit escienteuzde	---⌫--|----------|----|-|-⌫|-----|---------|-|
to u zles ars	--⌫-⌫|--|--|
Iltroua ill uecquessaint	-|----|---⌫------|----|
Climantq ui	------|-⌫-|
mout ioieusemant	---|----------|
estr e apo stoile	----⌫|---⌫-----|
Lenl auo itd enouuelesleuetsaint	|-||---⌫-|-⌫|-----|----|-|----|
Perel em isten	---|-⌫|-⌫--|-|
la c haer e einçoisq ui lmoureust	-|-⌫----⌫|-------|-⌫|-⌫|-------|
Ilfu pu is lon c tensapostoi les	-|-|--⌫-|---⌫|---|-------⌫--|
Ilotenlu imoutde sensetde	-|-|-|--⌫|---|-|---|-|-|
I lenuoiasaint	-⌫|-----|----|
Fran ce qui mout bien	----⌫-|--|---|---|
i emploias a p aine	|------|-⌫|-⌫---|
Ilfu puiseuesqu e de	-|-|---|------⌫|-|
P a ri se t en lafin fuil occiz	-⌫-⌫--⌫|-⌫|-|-|--|-|-|----|
Dieuetauec	---|-|---|
luif ur entm artirié	--|-⌫--⌫--|-⌫-------|
conpaingn onspour leur grant foi	---------⌫--|---|---|----|--|
et pour leur grant bontéquilpreeschoient lenon	-|---|---|----|-----|-|-|-----------|-|--|
Oruo usreueilieciemprés dir ede	-|--⌫-|-----|-|-|------|---⌫|-|
lau ierge quia ditlo nc tens apr és	-|-⌫----|--||--|--⌫-|---|---⌫--|
leur mar tire	---|---⌫---|
quelecommenc era	-|--|-------⌫--|
uneygl yse ou	--|---⌫--|-|
chapelledes	-------|--|
III m artirsets i	--|-⌫-----|-|-⌫|
laparferase leonques puet	-|------||-⌫-|-----|---|
Elees muetla chose seloncs onpooi r	--|--⌫---|-|----|-----|-⌫-|----⌫|
Lorsaestéceste chosemo str ee auspr ouoiresdupa is	---||----|----|----|--⌫---⌫-|--|--⌫------|-|--⌫-|
Ouousmesperese t m esseingneursou non	|---|--|----|-⌫|-⌫-|---------|-|--|
Denis et de saint	----|-|-|----|
Eleu tiereetde saint	----⌫----|-|-|----|
Rustiqu edont nousauons t ant de bonesr eliques uoeil	-------⌫|---|---|----|-⌫--|-|----|-⌫------|----|
co me nci erune	--⌫--⌫---⌫-|--|
ch apellepour	--⌫-----|---|
Bi axseingneurssiluous	--⌫-|---------||-|---|
uientaplesirs imaidi éz	----||-----|-⌫||----⌫--|
S achiézbien	-⌫------|---|
p or uoir fontliprouoirequechascuns de	-⌫-|---|---|-|-------|--|-------|-|
no us estdec estechos emoutliézet sachiéz	--⌫-|--|-|-⌫---|----⌫|---|----|-|-------|
bien queuousnauroiz	---|--|---||-----|
i abesoingnemestierde ch o se	-⌫|------|-|------|-|--⌫-⌫-|
qu enou sp uissio nsa uoir que	--⌫|---⌫|-⌫------⌫-|-⌫---|--|
uousnaiéz auostre besoing	---||----||-----|------|
Me sceestunegriefcho se	--⌫|-|--|--|----|---⌫-|
aenpre ndrecar uousn auéz	|-----⌫---|--|---||----|
oupr end re lachauznen ulerien qui	-|--⌫---⌫-|-|----|-|-⌫--|---|--|
mestier uo usiaitne	------|--⌫-||--|-|
ueonspasdont ele puisseuenir	----|--|---|--|-----|----|
Iceste chosesinous grieue	-----|----|-|---|-----|
Lorsr espondi sainte	---|-⌫------|-----|
Geneuieueque	--------|--|
Diexamaet t intchieresico mme	---|--|-|-⌫--|-----|-|--⌫--|
Damedi e u li o tenseingnié	------⌫-⌫|-|-⌫|----------|
Seingneurs n e se faingne	---------|-⌫|-|------|
moiaidie rseloncson	--|-----⌫|-----|--|
pouoir car	-----|--|
Diexseraa u comm encier	---|---|-⌫|----⌫-----|
Ilmesoui entbie n d un e	-|-|----⌫--|---⌫||--⌫|
choseque nous auo nsbienqua nqui lli	----|--|---|---⌫-|---|---⌫--|-⌫|-|
bo neuolent éet	--⌫-|------⌫-|-|
Di exnousaideraetsidonra	--⌫-|---|-----|-|-|----|
planteureuseme nttoutc equi noussera mesti ers	--------------⌫-|---|-⌫|--|---|---|-----⌫--|
Alézseurl epont	----|---|-⌫|---|
Pariset si me r a contézerranme nt tout ce que uous	----|-|-|-|-⌫-⌫------|-------⌫-|---|-|--|---|
it roueroizet	|-⌫-------|-|
Die x qu i es tplains	---⌫|--⌫|--⌫|-----|
detre sgra ntbontéuousidoi nt	-|---⌫|---⌫-|-----|---||---⌫-|
trouertelchose dont il n o u s face	-----|--|----|---|-|-⌫-⌫-⌫|---|
touzr esioi r	---|-⌫-----⌫|
Atant senuont	----||-|---|
li prouoire enlacité	-|-------|-|-|----|
desuslepontetsesonti luec	----|-|---|-|-|---|-⌫---|
arrestéztuitesb ah i	--------|---|---⌫--⌫|
Mes iliorent estémou tpetit	--|-||----|----|---⌫|----|
qu e il uirenten susd eulsunpoul oing asseoir	--⌫|-|-----|--⌫--||---|-|--|-⌫---|------|
IIpor chierslundelézlautr esi	-|---⌫-----||-|-----||----⌫|-|
distc hascunscequilli uint	---|-⌫------|-|-|-|-|---|
ettantqueliunsd euls dist	-|---|--|-|--||---|---|
I aloiefistilauantieraprésmespourciaxqu e	|----|---|-|-------|-----|--|-------|--⌫|
si tr ouai unf o urdechauz	-|--⌫---|-|-⌫-⌫-|-|----|
qui estoitmoutgr a ntetp arfont	--|-----|---|--⌫-⌫-|-|-⌫-----|
I leniauoitgrantplan té	-⌫|-||----|----|----⌫--|
m esiene saiporquoiele estoita p areiliee	-⌫-|-|-|--|--|---|--|-----|-⌫-⌫-------|
o nques ne n	-⌫----||-⌫|
uita ntassenblee	-|--⌫-|--------|
fetliautresausin taloiei eparmilebois	--|-|-----|-----⌫|----|-⌫|----|-|---|
toutseu ss icom meie	---|---⌫|-⌫|---⌫-|-|
iuoissouent	|---|-----|
si trouai unarb recheoi s tqueli	-|-----|-|---⌫-|-----⌫-⌫|--|-|
u ensauoitabatu et s ia uoi t	-⌫--|----|----|-|-⌫|-⌫---⌫|
desouzu ne	-----|-⌫-|
f osseplainned euiue chau z	-⌫---|------|-⌫|---|----⌫|
Do nt nesont ce merueill es queietro uaisi	--⌫-|-|---|-|--------⌫-|--|-|---⌫--|-|
gr antplante ́ de	--⌫--|------⌫|-|
ch a uz en	--⌫-⌫-|-|
lafosseou le sracinesauoient estédecel	-|----|-|--⌫|------|------|----|-|--|
arbre que cestoitmerueilles	----|--||-----|---------|
Quantli prouoireoïrent	----|-|-------|------|
cestechosesise esi oi rentmerueilleusement dece	----|----|-|-|---⌫--⌫---|---------------|-|-|
quelipastorelorentdis tsienmerci erent	--|-|-------|----|---⌫|-|-|-----⌫----|
Dieuetren direntgra cesquipour la	---|-|---⌫-----|---⌫--|--|---|-|
beneureeuierge a cest e chose	-------|-----||----⌫|----|
demous tree	------⌫---|
Et lipro uoires	-|-|---⌫-----|
qui tenoien ta uoir cequeli	--|-------⌫||---|-|--|-|
pastourelorent	--------|----|
distsedepartirent	---|-|----------|
diluecquesetsen	|--------|-||-|
alerent et	------|-|
q ui strent tantamont etaualq u	-⌫--⌫-----|---|----|-|---|-⌫|
iltrouer entles fos sess icommeles pastouriaxq ui	-|------⌫--|--|---⌫--|-⌫|----|--|---------|-⌫-|
premierementlestrouerent les	-----------|--|--------|--|
auoientdeui sees	------|----⌫---|
Ils enre tournerent isnellementarrieresi oianzet	-||-|--⌫---------|----------|-------|-⌫----|-|
s iontcont é	-⌫|--|----⌫-|
G e neuieueco mm an tdui porchierauoientense ingnie ́	-⌫-⌫------|--⌫--⌫--⌫|--|-------|------|----⌫------⌫|
lac hauz dont il semerueillierent	-|-⌫---|---|-|-|-------------|
moutet si l	---|-|-||
ontueueeulsmee smes	--|---|---|---⌫---|
Quan tla precieuseui ergeotlap aro le	----⌫|-|--------|--⌫---|-|-|-⌫---⌫-|
en tendueeleenfu moutioie use dedensson cuersi	--⌫-----|--|-|-|---|----⌫--|-----|--|---|-|
et ahourason criatou r	-|-----|--|-------⌫|
lipl ora degranti oie	-|--⌫--|-|----|-⌫--|
E l e fuenoroisone t plouratantcommela n uit	-⌫-⌫|-|-|------|-⌫|-----|---|----|-|-⌫--|
duraA lendemain	---|||-------|
l irequistqu esi uoirementcommeeleaen	-⌫|------|--⌫|-|--------|----|--||-|
luiesp eranceli doint	--|---⌫-----|-|----|
Die xtrerea chie fde cele oeureque	---⌫|----||----⌫|-|---|----|--|
eleuouloit encommencier	--|------|-----------|
Eleauoitt oute	--|----|-⌫---|
nuittraua ill ié e t aumatin tantostcommeliioursapparut	---|-----⌫---⌫--|-⌫|-|----|------|----|-|----|------|
lauierge senert uenue	-|-----||-|--|----|
Ge neuis ileprou o iresi li	--⌫-----⌫|-|----⌫-⌫--|-|-|
aconteel achoseets ili ad euisee et	|-----|-⌫|----|-|-⌫|-||-⌫-----|-|
comment ele ueultfere	------|--|----|---|
IIIbeneuréz martirsqui deuoient	--|--------|------|--|-------|
bien estr ehennouréz	---|----⌫|---------|
po rc equ i l firentmaintesbonne soe uu res	--⌫|-⌫|-|-⌫|-----|------|-----⌫|--⌫--⌫--|
Aprés lidis tet de scueure ainsintc omme	-----|-|---⌫|-|--⌫------|------|-⌫---|
Diexqu iseurtouteschoseses tpo is sanzli	---|--⌫|---|-----|-----|--⌫|--⌫--⌫---|-|
o te nseingn ié	-⌫|-⌫-------⌫--|
II foursplainsde chauz	-|----|-----|-|----|
II po rchiers q ui desuslepontestoient	-|--⌫------|-⌫-|----|-|---|-------|
Geneuisilipr estres arespond uma intenantquil	-------|-|--⌫-----||-------⌫|--⌫-------|-|-|
ert touz ap ar e illiézdeferesauolentéetsi aura	--|---|--⌫--⌫-⌫------|-|---|-|-------|-|-|---|
Cilse met ta n tos tag eno uzetcommencetantost a	--|-|--|--⌫-⌫---⌫||-⌫---⌫-|-|-------|------||
plourere tseresioie n	------|-⌫|-|-----|-⌫|
Dam edieuqua nti l	---⌫----|---⌫-|-⌫|
oÿparlerde lachauzque orsetilbien	--|-----|-|-|----|--|-|--|-|---|
ueraiementque eleert p lainn edegrant	---------|--|--|--|-⌫-----⌫|-|----|
Geneuieueq uiiertami e a	--------|-⌫-|---|---⌫||
Cris trequist aideaceulz delacite ́que	----⌫|------|---||----|-|-|----⌫|--|
D ieu qu ieffacetouzmaxl ife i ss ent	-⌫--|--⌫|-----|---|--|-⌫|--⌫-⌫--⌫--|
a ucuneaid e	-⌫----|---⌫|
Etens em ent	-|---⌫--⌫--|
Gene sispriabonnement	----⌫--|---|--------|
atouzquilli	|---|-|-|-|
Atantont la chapel le commenc ieequ i	----|--|-|------⌫-|-------⌫--|--⌫|
enco ree rt	----⌫-|-⌫-|
Mainten ant ontquis char pentiers	-------⌫--|--|---|----⌫-------|
qu il menerentenunboi s	-|-|-------|-|-|---⌫|
ou i ldolerentmaint trefetmaintbiau	-|-⌫|-------|----|---|-|----|---|
Moutio tdecharpentier s ei nç oi z	---||-⌫|-|-----------⌫|--⌫---⌫--⌫|
que leglysefu stparfaite	--||-----|--⌫-|-------|
Il auintuniou rs icomme	-|----|-|---⌫|-⌫|----|
Dieupl ot q u ilestoi ent malbaillis des oifn	---|--⌫-|-⌫|-|-----⌫--|---------|-|-⌫--||
elene pouoi testr eestainte	--|-|-----⌫|----⌫|-------|
Mes la sainte u iergenesauo it mi e que	--|-|-----|-⌫----|-|----⌫-|--⌫|--|
leure ue fustfaillie	---|-⌫-|---|------|
Genesius li	-------|-|
requiertet	-------|-|
prie quele se p rain gne	---|-|--|-|-⌫----⌫--|
garde des charpent iersetil i rae n lacit é	----|--|--------⌫---|-|-|-⌫-|-⌫|-|---⌫-|
querre del e ue	-----|-||-⌫-|
Et lauiergequiauoit	-|-|-----|--|----|
lacuredeulsle urdist	-|---||---|--⌫-|---|
Moustréz moi	--------|--|
leue ss eloucest egent seulentboiur e	-|--⌫--⌫-|-|----⌫|---|------|-----⌫|
Lenlimoustra m ainten ant	|-|-|------|-⌫------⌫--|
Ilapelo i entleuessel a	-|-----⌫-⌫--|-|-----||
quoiilb eu oient	---|-|-⌫--⌫----|
Lau ierge l eurc ommandaqueil s e trei ssentu npou	-|-⌫----|-⌫--|-⌫------|--|-|-⌫|----⌫----|-⌫|--|
ensu zcar ele uouloitremanoir	----⌫|--|--|------|-------|
Ele neuouloi t mie	--|-|------⌫|--|
auoi rlelosd es gens	----⌫|-|--|-⌫-|---|
Elenauo itcure quen usla	--||---⌫-|---|--|-⌫-|-|
ue istfo rs	--⌫--|--⌫-|
ci l seule menta quie l eenu oie rasone sperit	--⌫|-----⌫---||--|-⌫-⌫|---⌫---⌫-|--|-⌫-----|
Etcil quim al	-|--|--|-⌫-|
estoientmenédesoifs e	-------|----|-|---|-⌫|
son tes loingn ié	---⌫|--⌫------⌫--|
ettretensust antque eleot	-|---|----|-⌫--|--|--|-|
faitesaproiere	----|-|------|
Elesemist a	--|-|---||
terre a nuzgenoulz	----||--|------|
pour requerrea	---|-------||
soncriatou rquanqu eleuoudracaril	--|-------⌫|-----|--|-----|--|-|
faudrade rien s	-----|-|----⌫|
Die uenplourant granz af flic tionsaqu iele	---⌫|-|-------|----|--⌫----⌫----||--⌫|--|
setienteto troieetile nten t	-|----|-|-⌫----|-|-|-⌫----⌫|
sesp ri eres	--|-⌫--⌫---|
Ele bat sa cou peetp leure	--|--|-|---⌫-|-|-⌫----|
duremen te t puissi	-------⌫|-⌫|---|-|
aprisesaco up le	|----|-|--⌫--⌫-|
Celedequ i	---|-|--⌫|
D iexal a uoizent endue fistdesusluile	-⌫--||-⌫|---|---⌫----|---|----|--|-|
l ac roizetsitost comme el e lot	-⌫|-⌫---|-|-|---|----|--⌫||-|
fetla coupefu	--|-|----|-|
t out eplai nne	-⌫---⌫|----⌫--|
d e uesileurd u ratant	|-⌫-|-|---|-⌫-⌫-|---|
quetoutel euure fu acomplieetparfaite	--|----||----|-|-------|-|-------|
Einsiouura	----|----|
Da medieu por lamour	--⌫-----|--||----|
ui erge etp o rl	--⌫---|-|-⌫-⌫||
am ordesonseingnaclea	--⌫-|-|--|---------||
ilce stmi racl efet	-|--⌫-|--⌫----⌫|--|
Chascu n s enbu ttant commeilpotonq ue s	------⌫-⌫|-|--⌫|---|----|-|--|---⌫--⌫|
porce n en io tonquesmain s	--|-||-||-⌫|-----|----⌫|
Netantcomme	-|---|----|
dura nabessa	---||-----|
n ene descrut	-⌫|-|------|
Tuitci lquiuire ntcelmiracl e se resioirent en	---|--⌫|--|----⌫-|--|------⌫|-|---------|-|
Damedieuetloerentsainte	-------|-|------|-----|
Geneu ieue ca rleuureleurengri eue	-----⌫---|--⌫||----|---|-|---⌫--|
mainsassézetplusientendir e nt quiln	----|-----|-|---||--------⌫-⌫-|-|-||
auoientdeuantfet	------|-----|--|
Q uantilorent touteleuu reco nsommeeetm eneea	-⌫---|-|----|----||---⌫-|--⌫------|-|-⌫---||
finil lip risttalent qu ele	--|-|-|-⌫---|-----|-|--|
iroitueillieralachapelle	----|-------||-|-------|
E lesesmut	-⌫-||----|
uns amediousoirsi plute tuentatou te	-|-⌫----|-|---|-|---|-⌫|----|---⌫-|
Lamienui t	-|--|---⌫|
estoitpasseeetlicoc	-----|-----|-|-|--|
au oi entiacha ntésiestoitpr es dudiemanche	--⌫--⌫--|-|---⌫---|-|-----|--⌫-|-|--------|
E lemena auecluises compaingnes siporto ientun	-⌫-|---|---|--|--|----------|-|-----⌫---|-|
cier ge ardant m es	----⌫-|-----|-⌫-|
lagrantpluie quiduciel	-|----|----|--|-|---|
descendoitleurdestaint	---------|---|-------|
Chascu ne se p laingnoitmout	------⌫-|-|-⌫--------|---|
lanuite stoit si noire et	-|---|-⌫----|-|----|-|
oscure etcelequi grantfoi auoit et estoit	-----|-|---|--|----|--|----|-|-----|
degr antbonté	-|--⌫--|-----|
plain neleur dist	-----⌫-|---|---|
Orlemeba i ll i éz	-|-|-|--⌫-⌫--⌫-⌫--|
et elleslibaillie rentet si	-|----|-|-------⌫---|-|-|
commeelel e preno it ilespristentre sesmains	----|--|-⌫|-----⌫-|-|------|----|--|----|
etsiarditantqu	-|-|---|---|-|
il ui ndrent del ézli glis e conquesneleur	-|--⌫-----|---⌫--||-⌫----⌫||-----|-|---|
fai llisaclart é	---⌫--|-|-----⌫-|
Cestmira cle fist	---|----⌫--|---|
Diexpourlamordel abeleuierge	---|---||---|-|-⌫|---|-----|
Gl oireetlouengeethenneu r	--⌫---|-|------|-|------⌫|
seingneur quisib ien r entetguerredonne	--------|--|-|-⌫--|-⌫--|-|----------|
ases a mis quile s eruent	|--|-⌫--|--|-|-⌫-----|
lame rite de leur	-|--⌫---|-|---|
