quide cueri	--|-|---||
peisq uede la loitant se uantent	-----⌫-|-|-|--|---|-|------|
quec esescripture snoschanten t	--|-⌫-|----------⌫|--|-------⌫|
moyseslibials etli	-----|-|----|-|-|
oquideu sparla	|--|---⌫|----|
tant esfoiz	----⌫-|---|
foiss idemo stra	---|-⌫|----⌫---|
unsenfesnosnestra	--|----|--|-----|
empriueleu et en	-|----|--|-|-|
etlameresi	-|-|---|-|
comgiecrei	--|--|---|
ohome n es aprochera	|---|-⌫||--------|
necharnelment	-|----------|
n i tochera	||------|
seinsysaiesqui nosconte	----|-----|--|--|----|
unechosequia	--|----|--||
d istcune uirgecon ceureit	-⌫--||--|----|---⌫------|
quinat uresideceure it	--|---⌫--|-|-------⌫-|
queuirg eauant	--|----⌫|----|
etuir geapres	-|---⌫-|----|
aureitenfant n a loig na pres	-----|-----|||---|||---|
nesaureitcompai gniedome	-|------|------⌫---||--|
enfantdist a la p e rsonne	-----|---||-|-⌫-⌫-----|
qu emmanuels eroi tnomez	-|-------|-⌫----⌫|----|
cil meismesaillor s n os retret	--|------|------⌫|-⌫-|-----|
dede qui dessuens	-|-|--|--|----|
edistn orrize te ssauc iez	|---|-⌫----|-⌫|-⌫-----⌫--|
eimesfiz etenbien	-|--|--|-|-|---|
ei lsanznulaltr erespit	|-⌫|---|--|----⌫|-----|
mont ui le tienent endespit	|--|--⌫||------|-|-----|
libu ef con utbiensonse ign or	-|--⌫-|---⌫-|---|--|--⌫---⌫-|
et encormerueill egreignor	-|----|--------⌫|-------|
liasnebeste desens	-|---|----|-|---|
desonseignorconutlacreche	-|--|------|----|-|-----|
me sisrael e mamesnie	--⌫|-----||-|-----|
demoicon oistre	-|--|---⌫-----|
estbienf esnie	--|---|-⌫----|
ne m o nt serui	-||-⌫-|----|
nemispuepl esnemaseu	-|--|-----⌫-|-|||--|
n e ob ei den ulerie n	-⌫|--⌫-|-|-⌫--|---⌫|
honerénefetaltrebien	------|-|--|----|---|
lareineens ilordescuure	-|----|---⌫|--|-------|
quepa rcesm ozepar	--|--⌫|--|-⌫-||--|
deusdet ozlessuen sple indre	---|-|-⌫-|--|----⌫|---⌫----|
epormilzconfondreet ateindre	|--|---|--------|-|-------|
dist q ue pareusotestédit	---|-⌫-|--|--|-|----|--|
epeisempressenzco ntr edit	|---|-----|---|--⌫---⌫---|
m oltplus grant c hoselorp ramet	-⌫--|---|----|-⌫---|--|-⌫----|
adireetamostreretmet	|---|-||------|-|--|
les altres prophetesauant	--|-----|--------|----|
anul quita nts e uan t	|--|--|--⌫-|-⌫|---⌫|
toz nesoit chargiezde re spondre	--|-|---|-------|-|--⌫------|
li se u entpas	-|--⌫-⌫--|--|
es po ndre	--⌫--⌫---|
lameitied ic e	-|-----||--⌫|
quelequiert	-|--|-----|
etdistsei gnor iae nsi niert	-|---|---⌫---|-|-⌫--||---|
cest e res on queuos	----⌫|---⌫-|--|--|
nefurentpas porceescrites	-|-----|--|--|-|-------|
le s prophetiesn el il iure	--⌫|---------|-⌫|-⌫|-⌫---|
alez encor	---|----|
t ota d eli ur e	-⌫-||-⌫---⌫--⌫|
sieslisiez un a ltrefoiz	-|-------|-|-⌫---|---|
e cilangoissosetd e stroi z	|--|--------|-|-⌫-⌫-----⌫|
senuo ntde	|-|--⌫-|-|
cequen usnentent	-|--|-⌫-||-----|
la choseolarein ete nt	-|----||-|----⌫|--⌫-|
n epor quanteno nt	-⌫----⌫----|-|-⌫-|
yycenzdicialsq uil o nt seu	-|---||-----|-⌫-||-⌫-|--|
nep orroitentreprendr e	-|-⌫-----|-----------⌫|
debien re spondresenz mesprendre	-|---|--⌫------|---|---------|
quant orent f etsi s e nre uont	----|----|-⌫-|-||-⌫|--⌫---|
dauantlempereriseont	-----||--------||--|
ditentrosdamesnos	--|---|-|----|--|
c enzdecezhome s	-⌫--|-|--|----⌫|
quiplussontde sen	--|---|---|-|--|
espro u é	-----⌫-⌫-|
of et s eleinefolproué	|-⌫-||-----|--|-----|
auogléetdepute or ine	------|-|-|---|--⌫--|
desloietlacor ine	-----|-|-|---⌫--|
ela malueseuolente	|-|------|------|
o uostreanceisoron testé	|-----|-------|--⌫|----|
aueztenuei usque	---|----|-⌫----|
iacertespitienemerci	-|-----|----|-|----|
n e deuroitlo ndeuosauoir	-⌫|------|--⌫|-|--|----|
quelon neuosdeust deuoir	--|--|-|--|----|-|---|
to za rdoiropendreol arder	--⌫|-⌫----||-----||-⌫----|
q ua in cne uosuolsi stesgarder	-⌫|-⌫--⌫|-|--|-----⌫---|-----|
dec eluiq ui	-|-⌫---|-⌫-|
tant bienuos	---|---|--|
tantmortenuieuos remist	---|---|-|--|--|-----|
tantauogl e renlumina	---|-----⌫|--------|
eincuost remals cuer s	---|----⌫-|---|----⌫|
iusquatantquepar	----||---|--|--|
uost reenuie	----⌫-|----|
litolsistes lasoe uie	-|--------|-|--|--|
e nlacroiz oilfutpenduz	-⌫|-|----||-|--|-----|
braz et meinsetpiez es tenduz	---|-|----|-|---|--⌫-----|
ouosagrant	|--||----|
tort loceistes	---||-------|
escuserdeistes	------|------|
queiesufizde nest oit	--|---|--|-||---⌫--|
alez f ets eleeneslepas	---|-⌫-||--|--------|
s i e s lesiezlatierce foiz	-⌫|-⌫-⌫-----|-|-----|---|
pl ussageme nt queparl a	--⌫-|------⌫-|--|--|-⌫|
seuos altr echosene	-|--|----⌫|----|-|
uileneset despit es	------|-|------⌫-|
uosfer ei moriraangoisse	--|---⌫-|----||-------|
so lquirirepoisse	--⌫|--|---|-----|
decequelordistlareine	-|-|--|--|---|-|----|
messeinzresp it	--|----|----⌫-|
eseinz te r mine	|----|--⌫-⌫---|
u ont a unepa rtbriement	-⌫--||--|--⌫-|-------|
porferes onco mmande ment	--|---|-⌫-|--⌫------⌫---|
aune partse fu ren tt ret	|--|---|-|--⌫---⌫|-⌫--|
elar eine lor a fet	|-|-⌫---|--||--|
g ardensmetr eto tenuiron	-⌫-----|----⌫|--⌫|------|
se ignorfontse il qued iron	--⌫----|---|-|-|--|-⌫---|
p orquelaferenos	-⌫-|---|----|--|
en telmanerela reine	-|--|-----|-|----|
qued emande eque ueltsauoir	--|-⌫-----||--|---|-----|
seignorf etseiiudas le	------|-⌫-|--|----|-|
uos di rei quepe nsema	--|--⌫--|--|--⌫--|-|
sormon corsuos diet sormalme	--|--|---|--|-|-|--||---|
ceu os quideatrere	-|-⌫-|----|-----|
cunedemandeuosueltfere	|--|------|--|---|---|
delacr oiz o ele	-|-|--⌫--||--|
porceuostienten	--|-|--|----|-|
gr antmerueilleseroit	--⌫--|--------|-----|
quiceenseignierme	--|-|---------|-|
iud asfe tsadonclarein e	---⌫-|--⌫||----|-|----⌫|
s eit le ndeplusloncter mine	-⌫--|--⌫|-|---|---|---⌫---|
leschose squisontauen ues	--|-----⌫|--|---|----⌫--|
quart otes genzgran zemenues	---|-⌫---|---|----⌫||-----|
seuentqueiafuttroie	-----|--|-|--|----|
arse toteet	---|---|-|
acharb on mise	|-----⌫-|---|
da mefe it	--⌫-|--⌫-|
seii ud asadonques	--|-⌫--⌫-|-------|
escri turegie neuionques	-----⌫---|--|-|-|-----|
quid ece me feist certei n	--|-⌫|-|-|----|------⌫|
queuosquerei zmeis esc riuein	--|--|------⌫|---|---⌫-----|
ceste eles	----||--|
altresauentures	-----|--------|
ont misesen lorescritures	--|----|-|--|---------|
etge neseio n que ses cr iure	-|-|-|--|-⌫-⌫---⌫|--⌫--⌫---|
en sorquetot l inostreliure	--⌫--------|-⌫|-----|----|
n en seuentrie nne nesauro nt	|-|-----|---⌫|-|-|-----⌫-|
neiac est echose nauront	-|-|-⌫---⌫|----||-----|
sedexpl estque uos	-|--|--⌫--|--|--|
me que reiz	-|---⌫---|
ne i acert eine n en ser eiz	-|-⌫|----⌫---||-|---⌫--|
parchosequeg i enc oreuoie	--|----|--|||---⌫--|---|
couientaltre uoie	------|----|---|
iudasfetsencorla	----|--||----|-|
parceluiq uitozbiens	--|----|-⌫-|--|----|
epar l a cr eance	|--|-⌫|--⌫----|
o crucefis quei aore i	|-------|--||----⌫|
alt re rien neme	---⌫-|---|-|-|
ettoncoragenedesdis	-|--|-----|-|-----|
d efine feimm orras aglaiue	-⌫|---|---|-⌫----||-----|
etsembler asmalementsaiue	-|-------⌫-|-------|----|
quanttu porchoses i	----|-|--|----|-⌫|
morrasde m ort l eideetdespite	-----|-|-⌫--|-⌫---|-|------|
es euangiles eiapr is	-|--------|-|---⌫-|
queleidengiezbatuzepris	--|---------|----||---|
futdexlidol zli debonere	--|--|-|---⌫|-|-------|
qui a n omcalua r e	--||-⌫-|-----⌫-⌫|
etsegece luileu sauoie	-|-|-|--⌫--|--|-----|
tostpo rroi eestremiseauoie	---|--⌫----⌫|----|---||---|
desauoirceque tantdes ir	-|-----|-|--|---|---⌫-|
dameen sie stu os treplesir	---|--⌫-|-⌫-|-⌫--⌫--|-----|
feti uda squeuosmeuolez	--|-⌫---⌫|--|--|-|----|
plusfere malque	---|---|--|--|
g ienedeserui	-⌫-|-|------|
po rdirec e conque sneu i	--⌫|---|-⌫||-----⌫|-|-⌫|
gie uoircertenete	--|---|--------|
nepoi s au eirne	-|--|-⌫--⌫--|-|
mesp or noientuos empe nez	--|-⌫-|-----|--|-|--⌫--|
nepeisestremenez	-|---|----|----|
ate ldolorna telmartire	|--⌫|----|||--|------|
queia riens	--|-|----|
uosensachedire	--|-|----|---|
quantlareine	----|-|----|
seit etu oit	---|-|-⌫--|
que so ntenspert ne nesau oit	--|--⌫|---|---|-|-|---⌫--|
conm ent pl u s	----⌫--|--⌫-⌫|
lem peisse ess aier	|-|-----|---⌫---|
enla chartre	-|-|------|
senz delaie r	---|------⌫|
lefetaualeretconm ande	-|--|-----|-|----⌫---|
q ueia nimainiustdeuiande	-⌫-|-|||-------|-|-----|
n e boiue deuen e	-⌫|----||--|-⌫|
t endrea bonde uin	-⌫----||--|--⌫--|
ne muertoildira	-|----||-|---|
ce quede la croiz a dire a	-|--|-|-|----||---||
se ti orzfutiudas	--⌫|-⌫--|--|----|
c onques rienspetitenegrosse	|-----|----|-----|-|-----|
de denzni meinia nen e but	--⌫---|||-----|-|-⌫|--|
et qua ntsifort affleblizfut	-|---⌫-|-|---|--------|--|
q uepl usne pot	-⌫-|--⌫-|-|--|
soffr ir le	-----⌫-|-|
crieq uelonl e n traie	---|-⌫-|--||-⌫|----|
seinz termine	----|------|
s en est uenuz	|-|--|----|
da me fetseilalonsquerre	--⌫-|--|-|-|----|-----|
sa i nzdelaileleue	--⌫-⌫-|----|-|--||
olin ostrea ncei soront	|-|-⌫----|-⌫----⌫--|--|
lacroizqu eta ntmauezrequise	-|----|--⌫|--⌫-||---|------|
quarcertesp lusne peiss offrir	---|-----|-⌫--|-|---|-⌫-----|
etg rant honteei do	-|-⌫---|----|-|-|
messachiezque	--|------|--|
c e stm algremien	|-⌫-|-⌫-|--|---|
quamong renenfeisserien	-||--|-⌫-||-|-----|---|
l a reineotqu edi stiudas	-⌫|----|-|--⌫|--⌫-|----|
moltl enestbelqueneslepas	---||-|--|--|-|--------|
bonauoiement	--|--------|
quideauoir	----|----|
decequetant uoloit sauoir	-|-|--|---|-----|-----|
nep orquantancois	---⌫------|-----|
qui se mueue	--|-|----|
conmandela	-------|-|
qulon liapor t amein gier	-|--|-|----⌫||----⌫---|
etilmeiniue	-|-|------|
senz dangier	---|------|
quepe nneuinnarefuse ́	--|--⌫|-|--|||------⌫|
qu enlafosseauoi t tropmusé	-|-|-|----|----⌫|---|----|
qu ant o tmeingie ́et beupro	--⌫--|-⌫|-------⌫|-|--|--|
de cequi liot fe tg rantpro	-|-|--|-|-|--⌫|-⌫---|--|
empres lui se met	-----|--|-|--|
qui o t tel ioie	--|-⌫|--|---|
qu en n ul sennepuet	-|-|-⌫-|--|-|---|
e stremere	-⌫---|---|
all eudecaluere	-|-⌫-|-|------|
oilor entpo rmalessample	|-|--⌫--|--⌫|--|-------|
d une deessefe tuntemple	|--|-----|--⌫|-|-----|
quiuenussefesoit nom er	--|----|-|-----|---⌫-|
quese nusu ols i staorer	--|-|--|-⌫---⌫-⌫-|----|
lacroizillue c de screstiens	-|----|-----⌫|--⌫|--------|
porleleu quii ert an cie n s	--|-|--|--|-⌫--|--⌫---⌫-⌫|
auisli fust que quil	---|-|---|---⌫-|-|
queilla dees seao rast	--|-|-|----⌫-|--⌫---|
mot iertlileusle z etui l eins	--|---|-|---|--⌫|-|--⌫-⌫---|
et iudas quiniertpas	-|----|--||---|--|
c er tein s	-⌫--⌫----⌫|
enque lleu	-|---⌫|--|
lacroizfureposte	-|----|-|------|
aualet a mo nte t	|--|-||--⌫-|-⌫|
ueit regarda ntparmielaplace	---|-------⌫-|-----|-|----|
etancoisqueilp lusen f ac e	-|--------|-|-⌫--|-|-⌫--⌫|
semetagenoilzporore r	-|--||------|--|---⌫|
te nd r emen tconmence	--⌫--⌫-⌫----⌫|-------|
en eb r equenusnel ente nt	-|--⌫-⌫|--|--|-||----⌫-|
a dit dex sireomnipo tent	|--|--|---|------⌫---|
qui formascielett erre essamble	--|-----|---|-|-⌫---|-------|
et n osdonassicom	-|-⌫-|----|-|--|
e scriteomon tde synai	-⌫-----||---⌫|-|----|
laloip arl a meinmoysi	-|--|-⌫-|-⌫|---|----|
q uiest seu eet loig et	-⌫-|--|---⌫|-|---|-|
demostras e mpres	--------|-⌫----|
le s osseintioseph n ostrepere	--⌫|-|----|-----|-⌫----|---|
etlaloien sico m	-|-|--|--⌫-|--⌫|
a uons ten ue iusqua ci	-⌫---|---⌫-|----||-|
g ete requierpartamerci	-⌫|-|------|--|-|----|
qu etu meface s demostrance	--⌫|-|-|----⌫|----------|
set uuuels	-|-⌫|----|
nonessalciesoit	--|-------|---|
que crestien ont o rendroit	--|-------|--|-⌫-------|
e tdo lleu	-⌫|--⌫|--|
o fut enterree	|--|-------|
la croiz une dolcef umee	-|----|--|----|-⌫---|
dela terrenosfeiuenir	-|-|----|--|--|----|
qu eiato ipuisseparuenir	--⌫|-|--⌫|-----|-------|
las s us oe st mifreree s teinure	---⌫-⌫-||-⌫-|-|----|-⌫-⌫------|
que come falsetconmeenrieure	--|---|---|-|----|-------|
iugierentli io if	--------|-|--⌫-|
et lapierenta gr anttort	-|--------||--⌫--|---|
na u oitpas	|-⌫-⌫--|--|
e n c oreter minee	-⌫-⌫-⌫--|---⌫----|
iuda ssoreisonnefi nee	----⌫||------|-|--⌫--|
cune fu meeistde la terre	|--|--⌫--|--|-|-|----|
nuleplusdocen es tuetquere	---|---|---||--⌫---|----|
delaendro it	-|-|-----⌫-|
o iert la croiz	|---|-|----|
nesembloitpasestre depoiz	-|-------|--|----|-|---|
ne dechosequ i	-|-|----|--⌫|
qu aincl eign ealoen altrefust	-|---|-⌫----⌫|---||----|---|
n es p iecenu leanegun	|--⌫-⌫---|--⌫-||----|
ne ietames sigran toldo r	-|---|--|-|----⌫|----⌫|
comd ecelefumeeeissoit	--|-⌫|---|----|------|
liez f u tiudasq u ico nno issoit	---|-⌫-⌫|----|-⌫-⌫|--⌫---⌫-----|
quedexot oi sa	--|--|-|-|-|
debo n cu er	-|--⌫|--⌫-|
et obelechie re	-||---|----⌫-|
comcil qui tozestoit seinzfiel	--|--|--|--|-----|----|---|
este n tsesmein senuer sle ciel	----⌫-⌫|--|----⌫|-----⌫|-|---|
etdis td ex	-|---⌫|-⌫-|
sireomnipotent	---|---------|
gracesetmerciuo sen	-----|-|----|--⌫|-|
parlauostre m erci	--|-|-----|-⌫---|
ma uez deignié m ostr er ici	|-⌫--|-------|-⌫----⌫-|--|
tant sauoiruoloie	---|-----|-----|
et dontalcu ertantme d olo ie	-|---|-|--⌫-|---|-|-⌫---⌫-|
quenensauoicert eneite	--||-|----|----⌫-----|
orsei giebiende	-|--|--|---|-|
qu e dela u irgefustesnez	--⌫|-|-|-⌫---|-----|--|
etenlac roiz a tort penez	-|-|-|-⌫---||---|----|
et qu agrantdroiten uos creoit	-|-||----|----|-|--|-----|
porlare isonqu ili	--|-|--⌫---|-|-||
mif rere estieurelimartir	-|-⌫---|-------|-|-----|
etmedonez ol uip artir	-|-|----||-⌫-|-⌫----|
bialssiredex o	----|---|--||
quantot ceditsile ua sus	----|-|-|--|-|--⌫-|--|
etprentlefosoir por f oir	-|----|-|-----|--|-⌫--|
e t cele onotque	-⌫|---|||-|--|
laseinte damelareine	-|-----|---|-|----|
quio t ueu totlecouigne	--|-⌫|--|--|-|------|
uenue iestporadre ci er	----||--|--|----⌫--⌫-|
mesanc ois otfet depecier	--|---⌫--|-|--|-------|
totletemplequem ein	--|-|-----|--|-⌫--|
e to tfet ferebeleet nete	-⌫|-⌫|--|---|---|-|---|
cel eplac e	---⌫|----⌫|
to te nuiron	--⌫|-⌫-----|
etpe isfu entaesperon	-|--⌫-|--⌫--||------|
etontfoitante n p arfo nt	-|--|--|---|-⌫|-⌫----⌫-|
o laie qualtres	||--|-|-----|
qualaseinte croizsontuenu	-||-|-----|----|---|---|
odeuirent sa ignant et nu	|-|-----|--⌫-----|-|-|
cilquefu renten slui	--|--|--⌫---|--⌫|--|
f uts icomdit la let re	-⌫-|-⌫|--|--|-|---⌫-|
d eson sancaroseeetteinte	-⌫|--|---|-----|-|-----|
laotploreele rmemei nte	-|-|-----|--⌫--|---⌫--|
d efinedolcor etde	-⌫|---|-----|-|-|
mesneporquant	--|---------|
etlorioiemotdessasamb l e	-|--|---|--|---------⌫-⌫|
ceque tro iscroiz trouentensambl e	-|--|---⌫-|----|------|-------⌫|
cele odexpendielo ngement	---||--|-----|--⌫------|
etlesaltres	-|--|-----|
do s ensement	--⌫|-------|
ocill ormembres	|--|-⌫-|------|
esten dirent	-----⌫-----|
qui e ncost e deluipen dirent	--|-⌫-----⌫|-|--|---⌫-----|
sion t d ecemolt g ra ntangoiss e	-|--⌫|-⌫|-|---|-⌫--⌫-|-------⌫|
q uil ni acelu id	-⌫|-||||----⌫||
ia lsqui po isse	--⌫-|--|--⌫---|
droitecerte ineteauoir	-----|-----⌫----|----|
delanostre	-|-|-----|
se ig nor sauoir	--⌫--⌫--|-----|
etsion tletitre troué	-|-|--⌫|-|----|-----|
q uepilat esauoitroué	-⌫-|-----⌫-|----|----|
sorlacroizmetreetqu imostro it	--|-|----|----|-|--⌫|------⌫-|
enebreli escrizestoit	-|---|-|-----|-----|
etquidisoit que cer tiesus	-|--|-----|--||--⌫|----|
i ois naz arenus	-⌫--|---⌫-----|
mestantestoituielz	--|---|-----|----|
l escriture	|--------|
et effaceelap einture	-|------|-|-⌫------|
quil n osoientura ie mentdire	-|-||------|---⌫--⌫---|---|
que cefust ce le onostresire	--|-|---|--⌫-||-----|---|
f ut enun so l	-⌫-|-|-|--⌫|
iormorz etuis	--|---|-|--|
etseint macairecem e stuis	-|----|------|-||-⌫-|--|
unshomde gran t humilite	--|--|-|----⌫|-------|
er teuesquesdelacit e	--⌫|-------|-|-|---⌫|
sageshomet	----|--|-|
deg rantconseil	-|-⌫---|------|
dam e fet silmolt meme ru eil	---⌫|--||-|---|-|--⌫--⌫--|
cunechosene u olezfere	|--|----|-|-⌫---|---|
pors auo ir defi ce st	--|-⌫---⌫-|-|-|--⌫-|
quarquialacroiz auend ra	---|--||-|----|-----⌫-|
parestouoir	--|-------|
li couend r a	-|------⌫-⌫|
qu omiracle ipuiss eauenir	-||------||-----⌫|-----|
fe testoteslescroizuenir	--⌫--|----|--|----|----|
seront cia portees	-----|-|-⌫------|
totest reisens eron t portees	----|-⌫---|-|-⌫----⌫|------|
aunemesonpr es dici	|--|----|--⌫-||--|
e t dexparlaso emerci	-⌫|--|--|-|--⌫|----|
demostrancenosen	----------|--|-|
decel equisoesera	-|---⌫|--|--|---|
icilmoltpresa unefame	---|---|---||--|---|
seultestre	----|----|
et q ui anon primaria	-|-⌫-||--|-------|
etenc ore altre chose i a	-|---⌫--|----|----|||
qu elenese	-|--|-|-|
tenist porrie n	-----|--|---⌫|
defer e almosne	-|---⌫|------|
oal tre bien	|--⌫--|---|
or segiestellie t delam ort	-|-|----|-|---⌫|-|-|-⌫--|
altre confort	----|------|
na ltr e c ho se n ipue tlonprendr e	|-⌫---⌫|-⌫--⌫-|||---⌫|--|------⌫|
se larmenonqueleuial t rendr e	-||---|--|-|--|----⌫|-----⌫|
quele n euoi tnenot	-|--|-⌫|---⌫|-||-|
et lareine plus nate nt	-|-|----|---||---⌫-|
qu ase int mac aire	-||--⌫--|---⌫---|
etiu das ensembleels sein zfa ille	-|--⌫--|-------|--|----⌫|--⌫---|
quinefet mi ea	--|-|--|--⌫||
quen luisepuetlonmoltfi er	-|-|--|-|---|--|---|--⌫-|
et fo nt totes lescroiz porter	-|--⌫-|----|--|----|-----|
porlafemereconforte r	--|-|---|----------⌫|
par lasoe puissance	--|-|--|--------|
donsturaieconnoissance	----|----|-----------|
a lames onsont ia uenu	|-|---⌫-|---|-|---|
etempreslorestauenu	-|-----|--|--|----|
quelu ne d e s treiscro iz	--||-⌫-|-⌫-⌫|----|---⌫-|
et dedesus la feme	-|-|----|-|---|
p orcenese	-⌫-|-|-|-|
mesens i com memortei ut	--|---⌫|---⌫-|----|-⌫-|
croler neca nela	-----|-|-|-|-|
m acairesapela	-⌫------|----|
celuiquil uit	----|-|-|--|
lautret enir	|----|-⌫---|
etquan t lotfet	-|----⌫||-|--|
asoi uenir	|--|----|
la femeadela	-|---||-|-|
cr oizt ochi e	--⌫--|-⌫----⌫|
etmo ltp resde li e	-|--⌫-|-⌫--|-|--⌫|
a proc hie	-⌫----⌫--|
nif istal treforce	||-⌫--|--⌫--|----|
q u efeistunefroideescorce	-⌫-⌫|----|--|-----|------|
lauoirecroiza pris eempres	-|----|----||----⌫|-----|
ce lequier tdo u re cipres	--⌫-|--|--⌫||-⌫-⌫-|-----|
odexmorit por sesamis	|--|----|--|--|---|
e tantostcom ilena	|------|--|-|-||
undes coro nsd esusle cors	-|--|----⌫-|-⌫---|-|---|
celes a illitde sonliethors	---|-⌫-⌫----|-|--|---|---|
toteh etie et totese in e	---|-⌫---|-|---|--⌫--⌫|
sique senstraualz e	-|--|---|------||
sen z peine	---⌫|----|
uoianttozuait par lam eson	-----|--|---|--|-|-⌫---|
eloedeen sares on	|--|-|-|-|---⌫-|
lau ertu de lacroiz	-|-⌫---|-|-|----|
l auoitgariea	|----|----||
qu antdela	--⌫--|-|-|
sefurentpar ti	-|-----|---⌫-|
u oiereu erti	-⌫--|---⌫---|
unuaslet mort ontencontré	-|-----|---|--|--------|
et anco isquel eust oltré	-|----⌫----||---|-----|
iud asquifermem ent	---⌫-|--|------⌫--|
c on mande qua res teesoit	-⌫--⌫----|-|-⌫---⌫--|---|
labiereal mortunp etitet	-|----|-|---|-|-⌫-----|
peisestuen uz uersleuaslet	---|--|---⌫-|---|-|-----|
etdelune des	-|-||--|--|
croizletoche	----|-|----|
mespor neienttantl	--|--|-----|---||
c onquespor cenesecrolla	|-----|--|-|-|-|-----|
etdelautreempres sa mo lla	-|-||----|-----||-⌫--⌫--|
d et oc hieralpluspresq u il pu et	-⌫|-⌫--⌫---|-|---|---|-⌫|-|--⌫-|
m esonque sp o r ce	-⌫-|-----⌫|-⌫-⌫|-|
emp reslesdoslatiercea pri s e	---⌫--|--|--|-|-----||---⌫-⌫|
uertuz feree rtaprise	-----|---|-⌫-|-----|
silapo seesor	-|||--⌫--|--|
et liua slezs anz ferechiere	-|-|--⌫---|-⌫--|---|-----|
que der ien snule	--|-|-⌫---⌫|---|
fus t greuez	---⌫|-----|
se ins etsau sse n	--⌫--|-|---⌫||-⌫|
es tsusl e uez	--⌫|--|-⌫-⌫--|
et pre nt l acroiza aorer	-|---⌫-|-⌫|----||----|
dedo l corconm enceaplorer	-|--⌫-⌫--|----⌫---||-----|
la b onereine laseinte	-|-⌫--|----|-|-----|
la ot ploree lermemeinte	-|-|-----|----|-----|
decolsquila	-|---|--|-|
choseontueue	----|--|---|
grant ioie	----|---|
onttuiteue	--|---|--|
et pluslarein eetiudas	-|---|-|----⌫|-|----|
etl eue squequinidoitpas	-||---⌫---|--|||---|--|
estre obli ezen nule guise	----|----⌫-|-|---|----|
queparluiet parsa	--|--|--|-|--|-|
ala croizeste ́tantprouee	|-|----|----⌫|---|-----|
quela nostresire	--|-|-----|---|
o nttrouee	-⌫-|-----|
mescilq ui toz iorza enuie	--|--|-⌫-|--|---||----|
detoz biensetqui ensa uie	-|--|----|-|--|-|-|--|
nefinerade tozmals fere	-|-----|-|--|---|---|
enle ramont conm enc e abrere	-||-⌫|----|----⌫---⌫||----|
c efu tdea blesqui cr ioit	-⌫|--⌫|---⌫---|--|--⌫---|
ensiconme chesc unooit	---|----|-----⌫-|---|
etdisoitd iuaquiies	-|-----|-⌫--|--|--|
qui hei cestiorastel uer tu	--|--|---|--|-|--|---⌫-|
quepar unec r oizque	--|--|--|-⌫-⌫--|--|
lesal mesqui sont mor tes	--|--⌫--|--|---|---⌫--|
enteldesloiquelessontmoies	-|--|-----|-|---|---|----|
diuaiudastropmedesuoies	---|----|---|-|-------|
ettropmasorendroitsolp ris	-|---||-|--------|----⌫--|
ein cmesparhomenefui pris	---⌫|--|--|---|-|--|---|
meispar toi me uienttia ls	---|--|--|-|----|---⌫-|
qui dur ramesa toz	--|---⌫-|--||--|
diua i udastropmasmeffet	---|-⌫---|---||-|-----|
quep ariud as a uoig ie fet	--|-⌫-|---⌫-|-⌫--|-⌫-|--|
la tr aisone tde menee	-|--⌫----|-⌫|--⌫----|
dom en c elecr oiz futpenee	--|-|-⌫--|--⌫--|--|----|
l ac harceluiquinos br isa	-⌫|-⌫--|----|--|--|--⌫--|
nost reenfer e quilespuis a	----⌫-|----||--||------⌫|
de quantqui li auoitd amis	-|------|-⌫||----||---|
i udas enmal annosas m is	-⌫---|-|--|-|--|-|-⌫-|
que iames gari rneporron	--|----|----⌫|-|-----|
ocelecro iz quenos	|---|---⌫-|--|--|
iudastresbie n	----|---|---⌫|
seruimauoit	----||----|
qu ialp lusbial suim auoit	--⌫|-|-⌫--|---|--||----|
auoitfete la t rai son	----|---|-|-⌫---⌫--|
maiscist iuda smaem priso n	---|---|----⌫|||-|-----⌫|
a toz iorz mesmisetge té	|--|---|--|--|-|--⌫--|
dice que par luia esté	|--|--|--|--||----|
la croiz troueeetdes couerte	-|----|-----|-|---⌫------|
par queigese i ente l prouert e	--|---|-|--⌫|-|--⌫|-------⌫|
por queiiamesnaurei poer	--|---|----||----|---|
croiz puis se	----|----⌫-|
iudassetu m	----|-|-||
asfet domage	-|--|-----|
ge naureibien enmon ea ge	-||----|---|-|--|--⌫-|
iu squet antqu aieporch acié	--⌫---|-⌫--|-|--|-----⌫----|
et tantali e ́ ettanttracié	-|---|---⌫-⌫|-|---|------|
comalt resei gno raie quis	--|---⌫-|---⌫---⌫|--|---|
quineintpas tantle	--||---|--|---|-|
comf etci lqu i oreestton	--|-⌫-|--⌫|--⌫|--|--|--|
etcil o dueletomartire	-|--||---|-||------|
t e fera dest ruireet pener	-⌫|---|----⌫----|-|----|
etpeisteuo ldrei	-|---|-|--⌫----|
tantme ner	---|--⌫--|
et parmoisid e suoieras	-|--|--|-|-⌫-⌫-------|
queiesu cristreneer as	--|---|----|------⌫-|
netepei soreplusoff ri r	-|-|---⌫|--|---|---⌫--⌫|
mon domagemestuetso ffrir	--|-----||-----|--⌫----|
etapr esqu antmon leuu endra	-|---⌫-|--⌫--|--|--|-⌫----|
segiepeisto nmalte querei	-|--|---|--⌫|--|-|-----|
iudasquibienestoi tcreanz	----|--|---|-----⌫|-----|
li respontdiua	-|------|---|
re crean z	--⌫-----⌫|
fols e t maluesetesbahiz	---|-⌫|-----|-|------|
dedeetdo mondehaiz	-|-|-|-|----|---|
