#META#TextU RI	-----|-----⌫-|
Alex i sOctP	----⌫-⌫----|
Lis egrei s t ai nnef upaslen z	-|-⌫-----⌫-⌫-⌫--⌫|-|-⌫|--|---⌫|
qu en utne n el	--⌫--⌫-|-|-⌫-|
L orsr etorna et preiaDeu	-⌫--|-⌫-----|-|----|--|
Qu illienseignastenqu el leu	-|-|-|---------|-|--⌫-|--|
Etqueusilertqui lnifausi st.	-|----|-|--|-|-⌫|||-----⌫--|
Lors reparla l imageet dist	---|------||----|-|---|
Lipouresh omqui aluissiet	-|-----|-⌫-|--|||--|---|
cilquiaDeu	--|--||--|
plestetsiet.	----|-|----|
quiaDeuat alente	--||--|--⌫-----|
Kari l lesert	--|-⌫|-|---|
oboenneentente.	|-----|-------|
Atantlis egr eiteins esmut	----|-|-⌫---⌫-----||----|
Etuintaluie tle qu e nut	-|---||--|-⌫|-|--⌫-⌫--|
Sili cha ia piez	-|-|---⌫||---|
Sir e merciporIhesu Crist	---⌫|----|--|----|----|
L efi z De uuosprietrequier	-⌫|--⌫|--⌫|--|--|-|------|
Ke uosen tre iz en	-|--|--⌫---⌫-|-|
cestmostier	---|------|
Etfet e sa uostre	-|---⌫-⌫||-----|
Quanqueuospler a en	------|--|----⌫|-|
Ker i lplest a	--|-⌫|----||
Deuet anos.	--|-||---|
C ilquifusimpl eset hon tos	-⌫-|--|-|-----⌫-|-|---⌫--|
En outlafaceaukesuermelle	-|--|-|---|----|-------|
Etli pueplesen	-|-|------|-|
outmeruelle	--|-------|
Quic eont oietueu	--|-⌫|--|-|-|--|
Por c e lontpuis bien queneu	--|-⌫||--|---|---|-----|
enorér e nt etchiérirent	-------⌫-⌫-|-|----------|
quipar ler	--|---⌫--|
en oirent.	-|------|
Cilquilemon deent iéremen t	--|--|-|---⌫-|---⌫--------⌫|
Ou tporplere aD eusolement	--⌫|--|----||-⌫-|-------|
Adosséqu an tilui tl	------|--⌫--⌫|-|--⌫||
lifeseitoutgrant	-|-----|--|----|
Keuai n e g loireet uan ité	-|---⌫-⌫|-⌫----|-|---⌫---|
N e litousist humilité	-⌫|-|------|--------|
S anzquitotest y p ocrisie	-⌫--|--|--|--|-⌫-⌫------|
Quanqu apartient	-----|--------|
a sainteuie.	|-----|---|
Porsi grant	--|-|----|
perilesch iuer	----|----⌫---|
l e striuer	|-⌫------|
est so util etsoudu iant	--|--⌫---|-|-----⌫---|
Parnui tsenes t	--|---⌫||-|--⌫|
tornéfuiant	-----|-----|
lamer e tdi stquireit	-|--|-⌫|--⌫-|-|----|
A Tars eseDexleu oleit	|----⌫|-|--|-|-⌫----|
Cestlauiledont	|--|-|---|---|
saint Polfu	----|--|-|
Et qu ant ilserei t lauenu	-|--⌫--|-|-----⌫|-|---|
Iliseior reitto t adè s	-||-----⌫---|--⌫|----⌫|
Cumil aue itfetaRo hè s	--|-|---⌫-|--||--⌫---⌫|
En l igli sesaintPol deTarse	-||----⌫-|----|--|-|----|
ertnep ou re neescharse.	--|-|-⌫--⌫-|-|--------|
Por l aa lersusmermonta	--|-⌫|-⌫--|--|--|----|
Me ̀s unuentlanef desuoia	--⌫-|-|---|-|--|------|
Et chac ̧a	-|----⌫-|
ta ntqu ala	--⌫-|-||-|
Est ariuéeau	--|------|-|
portde Rome.	---|-|----|
QuantAlexiuei tle	----|----|---⌫|-|
Etquenoistdo ntiles t	-|-------|--⌫-|-|--⌫|
luim ès plusn enpuet	--|-⌫--|---||-|---|
Quer fortiose estf erelestuet.	---|---|---|--|-⌫--||-----||
Lors sepo rp enseensei	---|-|--⌫--⌫---|----|
Q ua ntilplestausaintesperit	-⌫--⌫-|-|----|-|----|------|
Keienlaterreouie	-||-|-|----|-|-|
S uien tel manie ́ re	-⌫-|-|--|-----⌫-⌫-|
Contre mon	-----|--|
cu er gira iaRome	--⌫-||---⌫||---|
Ne ia ne r equerre ́nulhome	-|-|-|-⌫-------⌫|--|---|
D o stelforss olementmonpére	|-⌫---|---|-⌫------|--|----|
Querienecuit	---|-|-|---|
p asqueiap e ́re	-⌫-|--||--⌫-⌫--|
N amacolorn amonsemblant	||-|----|||--|-------|
Q ue i onkesf usse	-⌫-||----|-⌫---|
soneffant.	--|------|
Issi ledist lorssen torna .	---|-|---|---||-|-----⌫|
A Romeu in tetencontra	|---|-⌫--⌫|-|-------|
Sic ommeDexleuou tso n pére	-|-⌫---|--|-|---⌫|--⌫|----|
Qui delac ort	--|-|-|-⌫--|
alemperére	||--------|
A son oste isenretorneit	|--|----⌫||-|--------|
Etgrantplentéo	-|----|------||
seim eneit	--|-⌫----|
D e conpaign onset	-⌫|--------⌫--|-|
Co mmehaut	--⌫--|---|
bien puissanz.	---|--------|
auanceuers lui	-----|---|--|
Sire fe til porDeu ie	---|--⌫|-|--|--|-|
Un poureshomq ui aimestier	-|-----|--|-⌫-|-|------|
Kelen med oigieamengier	-||-|-|-⌫----||------|
Siuosrequier par cherité	-|--|------|--|-------|
PorD euqui main t en	--|-⌫-|--|----⌫|-|
t rin ité	-⌫---⌫---|
Qui dema luos	--|-|--⌫|--|
gartetdeffe n de	---|-|-----⌫-⌫-|
Et uostr e	-|-----⌫|
fiz uncor uos r ende	--|----|--|-⌫---|
Pageu01P175	----------|
u i fetsainet	-⌫-⌫|-|---|-|
saufet he tié	---|-|--⌫---|
Q ueuos aie zdemeipitié	-⌫-|--|---⌫|-|--|-----|
Et medoingiez magarison	-|-|-------|-|------|
Deuozaumonesen meson.	-|--|------|-|-----|
Eufemienbienl escouta	-------|---||------|
sonfizlimenbr a	--|--|-|-----⌫|
Dontg r an ttendror aucuer liprist.	---|-⌫-⌫--⌫|------|-|---|-|-----|
Unse riant	-|--⌫----|
apelaetdist	----|-|---|
Meinnecest home	-----|---|---|
a mon ost el	|--|---⌫-|
Gardeq uil	----|-⌫|-|
B es o igsouf rete nemesese	-⌫--⌫-⌫-|----⌫---|-|-----|
Nenuleri enquili despl ese	-|---|--⌫-|--|-|-----⌫--|
Nemolesten e	-|------|-⌫|
Cetecommantiemouttrés	-|-|------|-|---|----|
Ainz fai uers luiqua nqu	---|--|---|--|---⌫--|
Etqua nq uem est ierlis era.	-|---⌫--⌫-|-⌫---⌫--|-|-⌫---|
Sire resp ont cil	---|----⌫--|--|
ielotre i.	-||----⌫-|
enmai nnealostel o	-|---⌫--|||----||
Si lienseign e	-|-|-------⌫|
etleuet place	-|--|-|----|
Ouil giseetmen ius t	-|-|---|-|---⌫---⌫|
Sauolentéet totsonboen	-|-------|-|--|--|---|
Ausi c omme se totfus tsoen.	---|-⌫---|-|--|---⌫|----|
Ta nt comme	--⌫-|----|
Fu il ost e lez	-|-|---⌫-⌫--|
Mèsquantlensennu iade	---|----||-||----⌫-|-|
M outtrouaqu ilifis tennui.	-⌫--|----|--⌫|-|---⌫|-----|
Garchonnal lemalemesnie	----------⌫-|---|-----|
Moutmal duite	---|--|----|
etmalenseigni e	-|--|--------⌫|
Dont cesri c hes osteu ssuntplai ns	---|--|--⌫-⌫--|-----⌫|---|----⌫-|
Quisuntenrieures etuilains	--|---|--------|-|------|
Et poruersetdemalafere	-|------|-|-|--|----|
Lauilosen te tpuentfere	--|-|----⌫|-⌫|----|---|
Etq ui plus est uerseus soufrable s	-|-⌫-|---|--|---|--|---------⌫|
Et eusplusfous	-|--|---|---|
eten creables	-|--⌫-------|
seclaimene	-|-----|-|
C elfolen tilseur ement.	-⌫-|-----⌫|-|----⌫-----|
Seus trouen t homesim ple	|--|------⌫|---|---⌫--|
geuent auchapifol	-----|-|-------|
Etlifonthonteetuilanie	-|-|---|----|-|------|
Quelis eignor	--|-|-⌫-----|
nese ́u entmie	-|--⌫--⌫--|--|
Toz l esmeffezde lor os tel	--|-⌫-|-----|-|--|--⌫--|
quil en tendentael.	-|-|--⌫------||--|
Ç auient souent	-|-----|-----|
Auene it ila	-----⌫-|-||
Mo utdebot éfuetl ediz	--⌫-|-----⌫-|-|-|-⌫---|
Etr a m ponezetes c harniz	-|-⌫-⌫-⌫----|-|--⌫-⌫-----|
Ta ntqueneisle slaueures	--⌫-|--|---|--⌫|-------|
Despozetch urea usetordu res	--|--|-|--⌫----⌫-|-|----⌫--|
Sorsonchi efli	--|--|---⌫-|-|
me te ienti l	--⌫--⌫---|-⌫|
Mout le tenei entco rtetuil	---|-|-----⌫--|--⌫-|-|--|
E t feseient mal	-⌫|-------|--|
Mès ilbe ueit totporpoison	---|-|--⌫---|--|--|-----|
Querpois o nes t eitcesanzdote	---|----⌫-⌫|--⌫-⌫--|-|---|---|
conlengaristde	--||-|-----|-|
autrema lpa r	----|--⌫|--⌫|
poisonbe iu re	-----|--⌫--⌫-|
Tot autresi quiueutreceiure	--|------|--|---|-------|
Auersité e npenitanc e	--------|-⌫|--------⌫|
Humblementeten paci ence	---------|-|-|----⌫---|
IIgaristsamedepechié	-|-----||--|-|------|
Sen aDeu merci etpitié.	|-||--|----|-|------|
Moutsedist uei rsaintP ol qui d ist	---|-|---|---⌫|----|-⌫-|--|-⌫--|
Qu icun quesselo nIhesuCrist	--⌫----⌫---|----⌫|----|----|
ueutuiureo boenneintenciun	---|----||-----|--------|
persecuciun	----------|
Kerquipluses treligios	--|--|---|--⌫|-------|
Etplus li est c ontralios	-|---|-|--|-⌫--------|
Cil quideçut parunepom e	--|--|-----|--|--|---⌫|
EueetAdamle p rimie r home	--|-|---|-|-⌫-----⌫|---|
Etquitozueuta	-|--|--|---||
Trei re parforceetparengin	----⌫-|--|----|-|--|----|
Por ce assauten	--|-|-----|-|
meinteguise	-----|----|
Ker mein tefeizparc oueitis se	--|----⌫-|---|--|-⌫-------⌫-|
Desde le zcharnausl esco mmuet	--|--⌫--⌫|-------||----⌫----|
Et quantilueitqueilnelp uet	-|----|-|---|--|-|--|-⌫--|
uei ntrepa r coueitis edese	---⌫---|--⌫|--------⌫||--|
Silifetd oloret m esese	-|-|--|-⌫---|-|-⌫----|
l uiou par sesserianz	-⌫-|-|--|--|------|
Dontmoutest	---|---|--|
demagegra nz.	-----|---⌫--|
IlueitqueAlexiesteit	-|---|--|----|-----|
Chéssonpe ́reet l ez	----|--|--⌫--|-|-⌫-|
Biensterriensagra ntplenté	----|-------||---⌫-|------|
Dontilf eists auolenté	---|-|-⌫---|-⌫|-------|
Seil uousistchangiersa uie	-|-|------|-------|-|--|
Dont ilaueitduel et enuie	---|-|----|---|-|----|
Queilnepoeitpas tan tfere	--|-|-|----|--|---⌫|---|
le pe ustaceatrere	-|--⌫--||-|-----|
Sisentiço utencontre	--|-------⌫-|-------|
Etlifeseitasez	-|-|-----|---|
Que para ngoise o upardest rece	--|--|-⌫-----|-⌫|--|----⌫---|
Senr eperas ta	|-|-⌫------⌫||
sarich ece	-|----⌫--|
Ets asain te uie	-|-⌫|----⌫-|--|
chan chas t	----⌫----⌫|
Ou s eueausnonqu	-|-⌫-----|--|-|
ilsenuengas t.	-||-|------⌫-|
Pa geu01 P17 6	--⌫-----⌫---⌫|
Isintestqua ntaucunsestriue	----|--|---⌫-|-----|------|
Boter desorlordela riue	----|----||-|-|-|---|
Unautreenl	-|----|-||
eu e sil n epuet	--⌫||-|-⌫|---|
Sisenaireetescommue t	-||-|---|-|--------⌫|
Etlefier tde pié	-|-|----⌫|-|---|
Quil sall e enle ueparb esoi g	-|-|----⌫|-||-⌫-|--|-⌫----⌫|
Ouseueaus qu il s enseituengié	-|------|-|-||-|---|------|
Tantquil sentieng e	---|-|-||-|-----⌫|
abie npai é.	|---⌫|---⌫--|
Alexi quice	----|--|-|
bie nsaueit	---⌫|-----|
Comme cilqui	----|--|--|
gr antsens aueit	--⌫--|---|----|
S o ufreitmoutdebeneremen t	-⌫-⌫-----|---|-----------⌫|
Commeaignel simp le et	----|-----|----⌫-|-|
innoc e nt	-----⌫-⌫-|
L auile nnieetledespit	-⌫|----⌫---|-|-|-----|
Sanzmeffetetsanzcont redit	---|-----|-|---|----⌫----|
Sans co n tenç o n	---|--⌫-⌫-----⌫-⌫|
e tsansclamor	-⌫|---|-----|
Ferenadamen aseignor	---|||---|||------|
Etplusesteitdeuscorouciez	-|---|-----||--|--------|
Fol io35 c	---⌫----⌫|
Q ue deableaueitsisoz	-⌫-|-----|----|-|--|
Quilenfeseits ones t r umen t	-|-|-|-----|-⌫-|--⌫-⌫-⌫----⌫|
Quilne rt de	-|-||-⌫-|-|
s onauile ment	-⌫-|-----⌫---|
Desonmal ne	-|--|--|-|
desonhontage	-|--|------|
Qu er cer t s o npre uet	--⌫-||--⌫|-⌫-⌫|---⌫|-|
Eten atendeit	-|-|-------|
grantcoron e	----|-----⌫|
DeDeuqui lesbiens guerredone.	-|--|--|--|----|----------|
Au tres dis et set anzuesqu i	--⌫---|--|-|--|--|-----⌫|
Enzlames onsonp ére i s si	--|-|---⌫-|--|-⌫---|-⌫-⌫-|
Et quanti ls e nti prèssafin	-|----|-⌫|-⌫-⌫--|----|-|--|
Iladem andépa rchemin	-||---⌫----|--⌫------|
Etenque acilquilegardou t	-|----||--|--|-|------⌫|
Si l ia porte qu antillout	-|-⌫|-⌫----|--⌫--|-||--|
escri t tot esa uie	-----⌫|---⌫|-|--|
S icommeuosla uet	-⌫|----|--||-⌫--|
E tescri ttotde chiefen chie f	-⌫|-----⌫|--|-|----|-|----⌫|
Lamesestance etl emeschief	-|---------|-|-⌫|-------|
Etlesmausdont	-|--|---|---|
illoutad ès	--|--|--⌫--|
Etchés s onpèreeta	-|----|-⌫-|----|-||
De uantce quildut tres pa ser	--⌫---|-|-|-|--|----⌫--⌫--|
uoutDexs on	---|--|-⌫-|
tres or encu ser	----⌫-|----⌫--|
Et dist uneuoizenliglise	-|---|--|---|-||-----|
Aupoeplequi	-|-----|--|
Alezs iquerez	---|-⌫|-----|
lesainth ome	-|----|-⌫--|
po rl a cité	--⌫|-⌫|----|
Ker ile stsip r èsde	--|-|-⌫-|-|-⌫-⌫--|-|
Qu il trespaserale mati n.	-|-|---------|-|----⌫-|
De cele uoizquifu oie	-|---|---|--|-|--|
lagent esbah ie	-|---|-----⌫-|
Etlanoueletos t seue	-|-|-----|---⌫|---|
Par la citéetes pandue.	--|-|----|-|--⌫------|
M èsne saueient en quelterre	-⌫--|-|-------|-|---|----|
II deusse nttelhomme	-|------⌫-|--|----|
Quistrentlemèspasnel tr ouérent.	--------|-|---|--|--|--⌫--------|
Pour ceparma tinasemblérent	---|-|--|--⌫--|-----------|
Le uendredi commu n ement	-|-------|-----⌫-⌫----|
A ligli se.P a peInnocent	||----⌫--|-⌫-⌫-|-------|
duienpe rére	--|----⌫----|
Arch ade etHonoire sonfrére	----⌫--|-|------|--|-----|
Etmo u tgrantplentédautregent	-|--⌫-⌫|----|------||----|---|
Etpreiérentdeu otement	-|---------|---⌫------|
D eu quilore nseigna stouesteit	-⌫-|--|--|-⌫-------⌫-|-|-----|
Cil qu i quer re lo rkema ndei t .	--|--⌫|----⌫-|--⌫|----⌫----⌫-⌫|
uolen téI hesuChrist	-----⌫--|-⌫---|-----|
uoizetlordist	---|-|--|---|
Enlameso nEuf emien	-|-|----⌫|---⌫----|
Trouereizlesaintc restien.	--------|-|----|-⌫-------|
Delau oiz quill	-|-|-⌫--|-|--|
Meru ellose me ntesioi	----⌫------⌫--⌫-|----|
Furenttuitetgrantet	-----|---|-|----|-|
Lors ontaEuf emie nd it	---|--||---⌫----⌫|-⌫-|
Sirefontilqua uezuosfet	---|---|-|-|-⌫--|--|--|
Certesmoutnos auez meff et	-----|---|--|---|----⌫-|
Quite ltreso rauezcelé.	--|--⌫|-----⌫|---|-----|
Non ai fet ilporuerité	--|-|--|-|--|------|
Lesachiez ainzceisuos di bie n	-|------|-------|--|-|---⌫|
Queunc o renen	--|---⌫-⌫-||-|
saiierien .	--|-|----⌫|
Lo rsapeleetme t are son	--⌫-|----|-|--⌫||--⌫--|
Leseneschalde sameson	-|--------|-|-|----|
Seztufetiln ul	--|-|--|-|-⌫-|
Que tuoz ci	--|-|-|-|
enmon o stel	-|--|-⌫---|
Certessirefetilie non.	-----|---|--|-|-|---|
Alonidonc et sisach o n	---||---|-|-|----⌫-⌫|
Fetpa peInnocent.uolentiers	--|--⌫-|--------|---------|
Lorsua deuantto tlip rimiers	---|-|-----|--⌫|-|-⌫------|
Eufemienporator ner	-------|--|----⌫--|
iln ia itqua mender	-|||-⌫-|-|-⌫-----|
Areceueirsihaute gen t.	|-------|-|----|---⌫-|
Atant euos isnelement	----|---|---------|
Le ualletquiengardeaueit	-|-----|--|-|----|----|
A lexit antcomme iluiueit	-⌫---|-⌫--|----|-|-----|
Pageu01P1 77	---------⌫-|
i lper nez	-⌫|---⌫--|
cil queiai	--|--||-|
saibienienendotmie	--|---|-||-|--|--|
Quilesteitmout	-|-|-----|---|
desainte uie	-|-----|--|
Etau e itm ou t	-|--⌫-⌫-|-⌫--⌫|
p or uerité	-⌫-|------|
Pacie nceethumilité	-----⌫--|-|--------|
Etmoutfe seitgrant pe nit ance	-|---|--⌫---|----|--⌫---⌫---|
De ieunese td	-|-----|-⌫||
austinance	---------|
Et mou tes teite n oreison	-|---⌫|--⌫---|-⌫|------|
Etaligl iseet	-|||---⌫--|-|
Eufemiencele part	-------|---|---|
Mortletr euue	---|-|--⌫---|
uersluisetret	---|--|-|---|
Siledesc oure et uei t sa face	-|-|----⌫---|-|---⌫|-|---|
Quis e m bloutclére commeg lace	--|-⌫-⌫-⌫----|-----|----|-⌫---|
loutenlumin ée	|--|-------⌫--|
Quan tsauief uterminée.	----⌫|-|--|-⌫|---------|
T ant lesgarde qu ilape rceit	-⌫--||------|-|-|---⌫----|
Le p archemin quei lteneit.	-|-⌫-------|--|-⌫|------|
Il sabessap rendr e l euout	-||-----|-⌫-----⌫|-⌫|---|
Mèsunkesaueir nele	---|----|----|-|-|
Lors u i entari e ́re isnelement	---|-⌫-⌫--|---⌫-⌫--|---------|
Eta dita pape Innoc ent	-||--||---|-----⌫--|
EtasautresTrou éauun	-|-|-----|----⌫-|---|
Lores lo r	----|--⌫|
cont e desauie	----⌫|-|-|--|
C ommeilloutdu ualletoi e	-⌫---|-||--|-|-----|--⌫|
Etdelpa rch e m in quilt e nei t	-|--|--⌫---⌫-⌫-⌫-|-|-|-⌫-⌫---⌫|
Q uil uoutpre ndremès ne poeit.	-⌫|-|---|---⌫---|---|-|-----|
Parlantlesa i ss imenez	------|--||-⌫--⌫|----|
Aucorsilec	-|---|---|
sontasemblez	---|-------|
Etfont ogrant deuociun	-|---||----|-------|
Deuantl ui lor estaciun.	-----|-⌫-|--|--------|
So ncorset sa face	--⌫|---|-|-|---|
etsachiére	-|-|------|
Esgardentenme inte maniére	--------|-|--⌫---|-------|
E tleparcheminquei lt int.	-⌫|-|--------|--|-⌫|-⌫---|
P apeIn nocentprès	-⌫--|--⌫-----|----|
delui uint	-|--|---|
l escrit e n sa m ain	|-----|-⌫|-|-⌫--|
Etle baille aso nchape lein.	-|-|-----||--⌫|-----⌫----|
Cillut le sc riten	--|--||-⌫--⌫--|-|
Etli autret indren t	-|-|----|-⌫------⌫|
QuantEu f em i enl entendi	----|--⌫-⌫--⌫-⌫-||------|
Pa rpoilecuern e li fendi	--⌫|--|-|---|-⌫|-|----|
D angoiss e et deduel	|-------⌫|-|-|---|
Ne pout unkesparl er un	-|---|----|----⌫-|-|
Le cuer litrembleet	-|---|-|------|-|
refreidis t	---------⌫|
Ilp er tla color	-|-⌫--⌫|-|----|
P asmésestet esuanoiz	-⌫----||--|-|-------|
Kerles ancestaucuer	--|-|-⌫--|--|-|---|
Quanti l r euintdepasmeison	----|-⌫|-⌫----|-|--------|
En sonsens eten sa reison	-|--|---|-|-|-|-----|
fizsilenbrace	--|-||------|
Bes eli la b o uc he e t laface	---⌫|-|-|-⌫-⌫--⌫-|-⌫|-|---|
Leseuz l efront sanzdire	--|--|-⌫|----|---|---|
Etquantc e fu queparlerpot	-|----|-⌫|-|--|-----|--|
commence a	-------||
Et apleindreetaregr ete r	-||-------|-||----⌫---⌫|
Alexis ipitos ement	----|-⌫|-----⌫----|
Quil feseitmal	-|-|-----|--|
a t ot egent	|-⌫--⌫|---|
Alasfetilalascheitif	---|--|-|---|------|
Cest gran tdolorquei etant uif.	|--|----⌫|----|--|-⌫|---|---|
meie uie n edur e	---|--|-⌫|---⌫|
Fors porau eirmalau enture	---|--|--⌫--|-----⌫-----|
Etdolordèsore	-|----|---|--|
Atozlesiorz de monuiuant.	|--|--|---|-|--|------|
Alexibeuf i zAlexi	----|--|-⌫-⌫|----|
Porque imauezuossitrahi	--|---⌫||---|--|-|----|
Que uos tanz	--|--|---|
m aus auez eu	-⌫--|---|-|
demei sanz monseu	-|--|---|--|--|
Et si loncten s	-|-|---|---⌫|
unkesnelsoi	----|--|--|
Nerequenoistreneuos	-|-----------|-|--|
Soufferta ueztante s	-------|-⌫--|-----⌫|
Tanzhontagesta ntesleidures	---|-------|--⌫---|-------|
Deuosgarçons demeinement	-|--|-------|----------|
S i neuos failleit solement	-⌫|-|--|-------|-------|
Fors parle ret	---|-----⌫|-|
uosdes couurir	--|---⌫------|
Aau eir totuo streplesir.	|--⌫--|--|--⌫---|------|
Ie cuidaiquantuosfustesné	-|-----|----|--|-----|--|
Beau fizque Dex m eustdone ́	---|--|--|--||---|----⌫|
Forceet aideenmaflebece	----|-|---|-|-|------|
Etsostenanceen	-|---------|-|
ma uiellece	-|-------|
Et ballifetseignor ete ir	-|-----|-|------|-|-⌫-|
Demon oretdemonaueir.	-|--|-|-|-|--|-----|
Mès Dexmasi	---|--|||-|
dessesperé	----------|
De sconfitetdesbareté	--⌫------|-|---------|
uer squinusna	---⌫|--|--|||
deffe n se	-----⌫-⌫-|
Moutrem aintdecequefolpense	---|---⌫---|-|-|--|--|----|
fussiezocis	------|---|
En batal le cemestau is	-|-----⌫-|-||--|--⌫-|
c ̧au ientcorsaum ent	-⌫|--⌫---|-------⌫--|
fuss eplu sle gie ́rement	----⌫|---⌫|--⌫---⌫------|
Et conf ortezet	-|----⌫----|-|
esg artque uoses t iez	---⌫--|--|--|--⌫-⌫--|
Pageu01P1 78	---------⌫-|
Enmono steleten magarde	-|--|-⌫---|-|-|-|----|
Siestesmort parmamesgarde	-|----|---|--|-|-------|
Quer nefisp as c e	---|-|--|-⌫-|-⌫|
uers estsi queno isque	---|--|-|-----⌫-|--|
Moutco pa b le deuostremo rt	---|--⌫--⌫-⌫-|-|-----|--⌫-|
demon desconfor t	-|--|---------⌫|
le stescopablesansd ota nce	--⌫---|------|---|-⌫---⌫--|
Quersauiez la	---|-----|-|
grantpes ance	----|---⌫---|
Etsauiez le	-|-----|-|
grantto rment	----|--⌫----|
Queiau eiepor uoss ouent	--||--⌫--|--|--|-⌫----|
Etueiezla l edehére	-|----|-|-⌫--|----|
Etdeme ietdeuostr e	-|-|--⌫|-|-|-----⌫|
Nonqu esne	|----⌫-|-|
uosenprist p itié	--|-|----|-⌫----|
uosfeistesueir gra nt	--|------|---|---⌫-|
Kerm out to st se uos uous isie z	--|-⌫--|--⌫-|-|--|----⌫----⌫|
E ngra nt ioie nos meissiez.	-⌫|---⌫-|---|--|--------|
Bel d ouzf izie uosaifet	--|-⌫--|-⌫-|-|--|-|--|
E t cerc her	-⌫|----⌫--|
etpa rterre	-|--⌫|----|
Non ques noueles	|--⌫---|------|
troué mort	-----|---|
Ie ment troué	-|---|-----|
Q uei aitrouéle corssanzuie	-⌫-||-|-----|-|---|---|--|
Trouermort n estpas troueure	-----|---||--|--|-------|
Me ̀spertedoleros eetdure	--⌫-|----|-------⌫|-|---|
Iaidoncperd unonpastr oué	|-|---|----⌫|--|--|--⌫---|
quei a ueie adiré.	--||-⌫---|------|
Al exibeufizAlexi	--⌫--|--|--|----|
uo s ai iedo nc p erdu issi	--⌫|-|-|--⌫-|-⌫---|---|
Oil ueir iene	--|---|-|-|
m enpuis te r e	|-|---|--⌫-⌫|
S eueau s quantie nenpu i s	-⌫-----⌫|----|-||-|--⌫-⌫|
plus fere.	---|----|
Ale xi belfiz	---⌫-|--|--|
Deuostoz iorsaucuneioie	-|--|--|---|-----|---|
Etao irdaucune part	-||-⌫-||-----|---|
Bo nenouele outost	--⌫-|-----|-|---|
Deuosenauc u nemanie ́re.	-|--|-|---⌫-⌫-|-----⌫---|
M ès or niate ntforslabiére	-⌫--|-|||---⌫-|---|-|-----|
uost remor t	----⌫-|---⌫|
N e rienaqui iem	-⌫|---||--|-||
Q ueru osnauezfrère ne sue r	-⌫--|-⌫-||---|-----|-|---⌫|
Et por cenistra dem on	-|--|-||----|-|-⌫-|
Iamèscesteamertume hors	-----|----|-------|---|
Tantcu m iaiela	---|--⌫||--|-|
u iee lcors.	-⌫-|-⌫|----|
Queque ci l fe sei t	--|--|--⌫|--⌫---⌫|
comm epére	----⌫|----|
Atanteu osue nirlamére	----|--⌫-|--⌫--|-|----|
M arm ito useete sc heu elée	-⌫---⌫---⌫--|-|-⌫--⌫---⌫----|
Breantc o mmebes teef freée	-----|-⌫-⌫--|---⌫-|--⌫-----|
Q uipor sesf oonsest engresse .	-⌫-|--|--|-⌫---|--|--------⌫|
Agra nt peinederom ptlapresse	|---⌫-|----|-----⌫-|-|-----|
Qua nteluintla etl ecorsuit	---⌫-|-|---|-|-|-⌫|---|--|
Licorsli f autetle s perit	-|---|-|-⌫--|-||-⌫-⌫----|
Sorluisepameplu sorsfeiz	--|--|-|---|---⌫---|---|
Quer mouteste itsicuers destreiz.	---|---|----⌫-|-|----|--------|
Quantel r euint dep ameison	----|-|-⌫----|-|-⌫------|
Ensonsens et ensar eson	-|--|---|-|-|-|-⌫---|
Elcorta sonfizsil	-|---||--|--|-||
Beselilabouche et la	---|-|-|-----|-|-|
L e seuzl efrontsanzdire mot	-⌫-⌫|--|-⌫|----|---|---|--|
Etquantcef u quep arler	-|----|-|-⌫|--|-⌫----|
Elsecomme nceadoloser	-|-|-----⌫--||------|
Eta pleindreeta	-||-------|-||
reg reter.	---⌫-----|
Ensu ncuerasigranthachiée	-|--⌫|---||-|----|-------|
Qu e lsecontientconmeesragi ée	-|-⌫|-|-------|----|------⌫--|
Eltuerts e s poinsse s c heueus tire	-|----|-⌫-⌫|----|--⌫|-⌫-----|---|
Ele s esgr atineetdescire	--||----⌫----|-|------|
Elbatetsonpezetsa teste.	-|--|-|--|--|-|-|-----|
Et fettelnoisee ttelt ampeste	-|--|--|----|-⌫|--|-⌫------|
Etbret etc rie e t hautetbas	-|---|-|-⌫--|-⌫|---|-|--|
Queien e cuidereiepas	--|-|-⌫|--------|--|
Qu elec riastsihaut dassez	-|--|-⌫----|-|---||----|
Quan t Al e xi s o nfiz	----⌫|--⌫-⌫-|-⌫-⌫|--|
S estmerueille qu elne	|--|--------|-|-|-|
Dec rier Lasselasselasse	-|-⌫---|----|----|----|
Lassefet elemoneffant	----|--|--|--|-----|
am oie ie tant	--⌫--|-|---|
T r enteetquatreanz lai atendu	-⌫-⌫---|-|-----|--||-|-----|
Orl ait rou éo rlai	-||-|-⌫---⌫-|-⌫||-|
Orpuisiecert einement	-|---|-|----⌫-------|
Queiai trouédolor etire	--||-|-----|----|-|--|
Et queia ip erdu	-|--||-⌫|-⌫---|
to te io i e	--⌫-|--⌫-⌫|
Quer iaiperdu	---||-|----|
quanque iamoie	------||----|
Do uzDez po rquenemegardast es	--⌫-|--|--⌫|--|-|-|-------⌫-|
Mo n fiz quant uo slemedonastes	--⌫|--|----|--⌫|-|-|-------|
Oupor qu eileme doni e z	-|--|--⌫-|-|-|----⌫-⌫|
Quant tolirlem euoliez	----|----|-|-⌫|-----|
C e fupormei	-⌫|-|--|--|
plusco rocier	---|--⌫-----|
Kar l aiperdu	--||-|----|
sanz reco urier	---|----⌫----|
Ce p eise mei	-|-⌫---|--|
