doit fabl esauoir	---|----⌫-|----|
us eri erscrasa d esmesure	--⌫---⌫--|---||-⌫-------|
quib ien auoient lordr oiture	--|-⌫--|------|--|--⌫-----|
cuitest o ient etserent tel	---|---⌫-⌫---|-||----|--|
qu ilestoi entd autrui	-|-|-----⌫--||-----|
lardési cra sdessusla co st e	-----|-|---⌫|-----|-|--⌫--⌫|
deuantet derriereet	-----|-|-------|-|
otchascunsbi en	-|-------|--⌫-|
deusdoits delart	---|----|-|---|
sicrasqu onne le lar t	-|---|-|-|-|-|---⌫|
en enfer toutcommunaument	-|----|---|-----------|
m escildenferenzelc ouuent	-⌫-|--||----|--|-|-⌫-----|
itantuous di bien sanzf aintie	----|---|-|---|---|-⌫-----|
qui lneti e ne ntmieadaintie	-|-⌫|-|--⌫-⌫--⌫-|--||------|
tel messelonc ce que	--|--|-----|-|--|
quar ilsontdu ser i ers serui	---|-|---||-⌫---⌫-⌫--|----|
tozten se testee tyuer	--|---⌫|-⌫|---|-⌫|---|
cestligenerausmesd	|--|-|-------|--||
uns au tres	--|--⌫---|
mesfutaportez	--|--|------|
delarrons mu rtriersapl entez	-|------|--⌫------||--⌫----|
quifur entdestremp ré	--|---⌫--|--------⌫--|
siestoi t ch ascunstoz uermaus	-|-----⌫|--⌫-----|--|------|
desan cd em archeansmor dris	-|---⌫|-⌫|-⌫-------|---⌫---|
dont ilauoi entlauoirp ri s	---|-|----⌫--||----|-⌫--⌫|
apresorentunautrem es	----|----|-|----|-⌫-|
quilti ndrenta bonet	-|-|--⌫-----||--|-|
uieil les pu t ains	-----⌫--|--⌫-⌫---|
a plaqueres ses	-⌫---------⌫--|
qui ontteuscreuasses	--|--|---|--------|
qu asnesses	-|-------|
mengies auerdesaueur	------||----|-----|
moultse nloerentlipluseur	----||-⌫|------|-|------|
en delechoient	-|----------|
porl es putains quilo rpuoie nt	--|-⌫-|------|--|--⌫|-----⌫-|
dontil amoientmou ltle flair	---|-|------|---⌫-|-|----|
encorensensie pu ir lair	----|-|---|-|--⌫-||--|
deuan tleroi	-----⌫|-|--|
apres cil mes	----|--|--|
aport alonu nentrem es	-----⌫|--|-⌫|------⌫-|
qui dure m entfudeparlez	--|----⌫-⌫--|-|-------|
bou gresulle z	---⌫---|----⌫|
grantsausseparisee	----|-----|------|
q uide lorfezfudeui see	-⌫-|-|--|--|-|----⌫--|
commentonlorf istce mesamble	------|-|--|-⌫--|-|-|-----|
pa riugement a	--⌫|-------||
to zensambl e	--⌫|-------⌫|
sau ssedefeuf inalem ent	---⌫--|-|--|-⌫------⌫--|
de st e mpreededa m pnement	--⌫--⌫-⌫----|-|--⌫-⌫------|
entel saussequei ai nommee	-|--|-----|--||-|-----|
tozchausatoutel a	--|----||----|-⌫|
fur e n t al atable denfer	---⌫-⌫-⌫||-⌫|----||----|
aportezen brochede	------|-|-----|-|
deuantleroiaqui moult	-----|-|--||--|----|
qui en t or lui ot grant	--|--⌫-⌫-|--|-|----|
e tfutliezdu rement	-⌫|--|---|--⌫-----|
etpresentamou l t l argement	-|-------|---⌫-⌫|-⌫-------|
les m ez e t	--|-⌫-|-⌫|
tant endonnail	---|-|----|-|
etlaque c il	-|-|--|-⌫-|
senloe rent	|-|---⌫---|
san znulefa ble	---⌫|---|--⌫--|
tan tq uildisoientsurl atable	---⌫|-⌫|-|-------|--|-⌫|----|
quonques te usmesnefuueus	-|-----|--⌫-|--|-|-|---|
autrebo ugres onti leus	----|--⌫----|--|-⌫|--|
messi plesanzueu snauoie nt	--|-|------|---⌫||-----⌫-|
que porl ulle i squilsau oient	--|--||----⌫-⌫|-|-|---⌫----|
di soientquecerente s pisses	--⌫-----|--||----|-⌫-⌫-----|
sienfaisoient	-|-|--------|
granzde lic es	----|--⌫---⌫-|
partoutque ce	--|---|--|-|
s embloitpoiso n	-⌫------|-----⌫|
tui tenauoi entafoison	---⌫|-|----⌫--||-----|
mesilestoi entendoutance	--|-|-----⌫--|-|-------|
q ueiln eussent mes p ita nce	-⌫-|-||------|--|-⌫---⌫--|
desi la que gormons	---|-|--|------|
uen istotoute	---⌫--||----|
sa grant g ent	-|----|-⌫--|
oulonle semont	-|--|-|-----|
eta pre smedist	-|-⌫---⌫|-|---|
unsdausqui tere	--||--|--|---|
quonen fero itzz hochepo t	-|-|-|----⌫-|-|-------⌫|
apres les bougresqui	----|--|------|--|
flero ient	-----⌫---|
larsi setpuis	-----⌫|-|---|
sifarsiroient	-|----------|
faus p led eo rs a	---|-⌫---⌫--⌫-||
grantreuel	----|----|
moul t enmenoient grant gaudel	----⌫|-|-------|----|-----|
e ntr elsporle fausiugeme nt	-⌫--|--|--|-|---|------⌫-|
qu il font entrauscomm unement	-|-|---|---|--|----⌫------|
po rliloierquilenattendent	--⌫|-|----|-|-|-|--------|
etp orlesdeniers quil en pren dent	-|-⌫-|--|------|-|-|-|----⌫---|
don t ilachetentlesuiandes	---⌫|-|-------|--|------|
de quo ii lfont	-|---⌫|-⌫|---|
lorpancesgran des	--|-----|----⌫--|
sonte n enferme ngiéaioie	---|-⌫|----|--⌫----||---|
greignorquedir e	-------|--|---⌫|
fon tlique u zzent remes	---⌫|-|---⌫|-|---⌫----|
telque parlernoist esm es	--|--|-----||----⌫-|-⌫-|
d enuleteluiande a	-⌫|---|--|-----||
quarcest u ns mesqui	---||--|-⌫-|--|--|
pas n e co rt	--|-⌫|--⌫-|
aus corsnep as nen so ntaprises	--|---|-|-⌫-||-|--⌫-|------|
quar liqu eu ontlesl ang ues prises	---|-|--⌫-|--|--|-⌫---⌫--|-----|
des p ledeorse ttretesf ors	--|-⌫------|-⌫|-----|-⌫--|
d esgueulesetsiles	-⌫-|------|-|-|--|
to rtquilfontde ld ro it	--⌫-|-|-|---|--⌫|-⌫--⌫-|
la o ntleslangues del	-|-⌫-|--|------|--|
tortdr oit	---|--⌫--|
etdelorfaussetezme r it es	-|-|--|--------|--⌫-⌫--⌫-|
quarai ncoisqueles	---|--⌫------|---|
soientfr ites	-----|--⌫---|
n e t rai n eespar milefeu	-⌫|-⌫---⌫-⌫--|---⌫-|-|--|
zzmai stire enfontli	-|---⌫----|-|---|-|
quard e ce que	---|-⌫|-|--|
furentloés	-----|----|
des gra nzloiersson torloés	--|---⌫-|-----|---⌫|-|----|
au metre enla friture	-|----|-|-|------|
e n c el feuet	-⌫|-⌫-|--|-|
en c ele ardu re	-|-⌫--|----⌫-|
demenoient	---------|
tout lemalice auo echocoient	---|-|-----|---⌫-|-------|
quonpuete npledeorpu isi er	-|-|---|-⌫|------|--⌫---⌫-|
por lasauor bienaguisi er	--|-|----|---|------⌫-|
ce nertpas geus	-||--|--|---|
de telslanguesne stpasm erueille	-|---|------||-⌫-|--|-⌫-------|
secil denferontles	-|--||----|--|--|
de plainpani er demaudicons	-|----|----⌫-|-|--------|
droitsorces	----|--|--|
languesembroies	------|-------|
entredeuxmencongeshoc ies	----|---|--------|---⌫--|
deuantler oi	-----|-|-⌫-|
l esportentcestli mese l mont	-⌫-|------||--|-|--|-⌫|---|
quonque sliroispl usdesirroit	-|-----⌫|-|---|--⌫-|--------|
que ceslangues	--|--|------|
moultles loa	----|--|--|
tuit leslooient	---|--|------|
quiueist c omla ngues aloien t	--|----|-⌫-|--⌫----|------⌫|
etcaet l acom munement	-|-|-|-⌫|---⌫-------|
manderpeusttoutur aiement	-----|----|---|--⌫------|
aus pa ri urez	--|--⌫--⌫---|
ausmenteors	--|-------|
quelanguesd efaus	--|------|-⌫|---|
nesontpas enenfe r	-|---|--|-|----⌫|
bl asme es	--⌫----⌫-|
me schiertenu es	--⌫|----|----⌫-|
apresc elmesreuint	----|-⌫-|--|-----|
moultbiaus	----|----|
d euie illesputains desloiau s	-⌫|---⌫----|------|--------⌫|
firentpastezanos co nfreres	-----|-----||--|--⌫------|
moulte ndelechoientlor leure s	----|-⌫|----------|--|-----⌫|
tu i t c il q uienenferestoient	--⌫-⌫|-⌫-|-⌫-|-|----|-------|
por ce queles p utainspuoient	--|-|--|--|-⌫-----|------|
enle udefromages	-|--⌫|-|-------|
nousdonnerent	---|--------|
enfanzmurtris	-----|------|
quifurentgrosco mmesain	--|-----|---|--⌫--|---|
mes nus f romage s	--|--|-⌫------⌫|
acel mang ier	|--|----⌫--|
puet prendre	---|------|
quonentrueuepe titauendre	-|-|-|-----|--⌫--||-----|
apres cel m es nousui nt en haste	----|--|-⌫-|---|--⌫-|-|----|
bediaus bru lez bi encuiz enpaste	------|---⌫--|--⌫-|---|-|----|
pape l ars aly pocrisie	----⌫-⌫--|||-⌫-------|
noirsmoinesa latanoisi e	----|-----||-|-------⌫|
uielle sprestresse s	------⌫|----------⌫|
noi r esnonnainsau creto nne ́	---⌫-⌫-|-------|-|-----⌫---⌫|
sodomites biencuiz	--------|---|---|
tant mes queiene sai	---|--|--|-|-|--|
ontcil denfer leenz eu	--|--||----|----|-|
dech ar furenttropbienpeu	-|--⌫-|-----|---|---|--|
e t bur entsi com medeuin	-⌫|---⌫--|-|---⌫-|----|
uilonies en	-------|-|
biensai mes nem en	---|--|--|-||-|
puet decoiure	---|-------|
tro pamangieret po i aboiure	---⌫||------|-|--⌫||-----|
onten enfer beleest lo ruie	--|-|----|---|--|--⌫|--|
e t luesque	-⌫|------|
la co rt fupartie	-|--⌫-|-|-----|
denf ertoutmainten ant	|---⌫-|---|-------⌫--|
pa rl aam oiendem andant	--⌫--⌫||-⌫-|-|---⌫-----|
commentiereuenuz acort	------||--|----||---|
desnouele s	--|------⌫|
m etint moult c o rt	-⌫|---|----|-⌫-⌫-|
queli d eiss eetiesanz	--|-|-⌫----⌫|-|-|---|
l icontai l aueritetoute	-⌫|-----|-⌫|-----|----|
comme asacortuenuz estoi e	----||-|---|----|-----⌫|
bie nsotqu ederiennimentoie	---⌫|--|--⌫|-|---|||------|
quiporluideporter	--|--|--|-------|
me fist uns ien liu re aporter	-|---|-|-⌫--|---⌫-|------|
quen enferot	-|-|----|-|
leenzescrit	----|-----|
unsme s t r esqui mist enesc rit	--|--⌫-⌫-⌫-⌫-|--|---|-|---⌫--|
lesdro izleroi et lesforfez	--|---⌫-|-|--|-|--|-----|
l esfolsuice se tlesfolsfe z	-⌫-|---|----⌫|-⌫|--|---|--⌫|
quonfetett o utlem alaf ere	-|-|--|-|-⌫-⌫-|-|-⌫-|--⌫--|
dont lirois doi tiusticefere	---|-|---|---⌫|------|---|
enceliure m e	-|-|----|-⌫|
rou ua dire	---⌫-|---|
tantosti commencai a lire	------||--------||---|
quen diroie ence lliure	-|-|-----|-|--⌫|----|
enlisantco nnui	-|-----|--⌫---|
encel liure	-|--|----|
quiestoittels	--|-----|---|
les uiesdes fols me nestre ls	--|---|--|---|--⌫------⌫-|
e nunquaier tout eescrites	-⌫|-|-----|----⌫|-------|
di stic eme distes	--⌫-|--⌫|-|-----|
quarci meplest	---|-|-|----|
sipuissentild	-|-------|-||
enferio ir	----|--⌫-|
quecestleplus	--||--|-|---|
pl e santend roit	--⌫-⌫---|---⌫---|
et gi commenca itouta droit	-|||--------⌫|---||----|
aumiex queie soilire	-|---|--|-|--|---|
desfolsm en estre lspris	--|---|-⌫--⌫-----⌫-|---|
l esfaiztrestouta po intenri me	-⌫-|---|-------||--⌫--|-|--⌫-|
sibel sibiensi leon ime	-|--|-|---|-|----⌫--|
lesoia raconter	-|--||-------|
i reme st riens ac onter	|----⌫-|----||-⌫----|
pechiez nehon tene re prouc he	------|-|---⌫-|-|--⌫-----⌫-|
quenulhomp uistdire	--|--|--|-⌫---|---|
quetoutnefust e n cel escrit	--|---|-|---|-⌫|--|-----|
c o mmentq ue c hasc unssen	-⌫-⌫------⌫-|-⌫----⌫--||-|
e tde chacun	-⌫|-|-----|
la plus uilteche	-|---|--|----|
l e plusuilpechiedo n til	-⌫|---|--|-----|--⌫-⌫|-|
esc ri tie ls aideuoir	---⌫--⌫|-||-⌫-|-|---|
o ubliéneu oudroie	-⌫-----|-|-⌫------|
cequeieui e nzanul f uer	-|--|-|-|-⌫-||--|-⌫--|
i ereting duliureparcuer	-⌫|-----|-|----|--|---|
faizetlesdiz	---|-|--|--|
dontie c uitencorebiausdiz	---|-|-⌫--|-----|----|--|
d ires anzespargni ernu lui	-⌫--|-⌫--|--------⌫-|--⌫--|
quendiroiee ncel liurelui	-|-|-----|-⌫|--|----|--|
silong uement com	-|----⌫-----|--|
le roiplot	-|--|---|
et quantassezesco uté mot	-|----|----|----⌫---||-|
t an tc oml ui plot nemi emains	-⌫--⌫|-⌫-|-⌫-|---|-|--⌫|----|
donerme fist	----|-|---|
deden zmesmain s	-----⌫|--|----⌫|
yysolsdedeablies	-|---|-|-------|
don tiachetai byffesio lies	---⌫||------|-----|--⌫---|
apres c equeie uousaidit	----|-⌫|--|-|---|-|--|
nedemoraquunseul peti t	-|-----|-|-|---|----⌫|
denfertrestuitsarmerent	|----|-------||-------|
etp uis sur	-|-⌫--|--|
l orcheuausmonterent	-⌫-|------|--------|
sis en ale rentproiequerre	-||-|---⌫---|----|-----|
mesieu ousdissa nsmespre sure	--|-|-⌫--|--|--⌫-|------⌫---|
quonques neuisigrantmurmure	-|-----|-|-|-|----|------|
commei lfirent a	----|-⌫|-----||
tropseroi tgriefaracon ter	---|-----⌫|----||-----⌫--|
saiquenmentiroie	--|-|-|--------|
aupartirmefirentte l	-|-----|-|-----|--⌫|
que cefut unegrant	--|-|--|--|----|
cong ieprentraouls sisesueill e	----⌫-|----|-----|-||-------⌫|
etcistcont esfau tsiapoint	-|---|----⌫-|---⌫|-||----|
qu ap r esc enendiroiep oint	-|--⌫-⌫-|-⌫||-|-----|-⌫---|
por a uentureq uiauiegne	--|-⌫------|-⌫-|------|
deua ntquedes ongierr euiegne	----⌫----|-|-⌫-----|-⌫------|
raoulsdeho udaing sans	-----|-|--⌫-----|---|
quic es tfablel fistd es ons onge	--|-⌫--⌫|-----|---|-⌫|-⌫-|-⌫---|
c i finelisongesd	-⌫|---|-|-----||
diex menga r t este	---||-|--⌫-⌫|---|
apresorrez de paradis	----|----|-|------|
diex nous i maint	---|---||----|
et nos amis	-|--|---|
