adam sirefourméteai	---|---|------|-|-|
en telh aha nen te ldamage	-|--|-⌫---⌫|-|--⌫|-----|
e tun lignage	|--|------|
toit ce als qui d e	---|--⌫--|--|-⌫|
toiistron t	--|------⌫|
liton pe cche	-|--|--⌫---|
plore ront	-----⌫---|
gosui m esfai t cofupar folage	-|--|-⌫-----⌫|-|-|--|-----|
porun epo mesoffrirai sigrant dama ge	--|--⌫|--⌫-|--------|-|----|----⌫-|
queen paine metmoiemonlig nage	--|-|----|--|--||--|---⌫---|
petit a que st	----|-⌫---⌫-|
granttra uage	----|---⌫---|
s iiome sfi snefumerueillegrant	-⌫|-|--⌫---⌫|-|-|--------|----|
quant tra im oi	----|---⌫|-⌫-|
leserpentsud ui ant	-|------|---⌫--⌫--|
multsetdemal nen sembl epas	---|--|-|--|--|-----⌫|--|
baillizquia luise	------|--||--|-|
lapomepri s	-|---|---⌫|
orsaiq uefisfo lie	-|--|-⌫-|--|--⌫--|
sor ton defensde c ofis folonie	--|--|-----|-|-⌫|--|------|
malengustai	--|-|-----|
detoih ai e	-|--|-⌫--⌫|
porpoidefroi t m oi co uien tpe r d rela uie	--|--|-|----⌫|-⌫-|--⌫----⌫|--⌫-⌫-⌫-|-|--|
e tuserpents oiez maleit	|-|------|-⌫---|-----|
de to i reprendraibienmondr oit	-|--⌫|---------|---|--|--⌫--|
sor tonpiztetr aineras	--|--|--|-|--⌫------|
le siors queiauiueras	--⌫|---|--|-|------|
lapuldreiert tutdis tauiande	-|-----|---|--|--|-|-----|
e nboi senplainenlande	-⌫|---⌫|-|----|-|----|
f e mme te porter ahai ne	-⌫-⌫--|-|------⌫|---⌫-|
oncorete iert ma le ueisine	-----|-|---|--⌫-|------|
tusontalon aguaiteras	-|--|----|---------|
c elete sacheraleras	-⌫--|-|------|-|--|
ferra deit elmail	----|-|--⌫-|---|
quiteferramultgranttrauail	--|-|----|---|----|------|
encore enprendrabienc onrei	-----|-|------|---|-⌫----|
cumpo rrauengier det oi	--|--⌫--|------|-|-⌫-|
malacointastu s untrain	--|-------|-|-⌫-|----|
elete fralechiefe nc lin	--|-|--|-|----|-⌫--⌫--|
oncore raizde luiistra	-----|---|-|--|----|
q u i t oztesuertuzconfund ra	-⌫-⌫|-⌫-|--|-----|-------⌫-|
horsdepa radis	---|-|--⌫----|
ma lcha ngeau ezf etde pais	--⌫|---⌫--|--⌫-|-⌫-|-|---|
e nterreuusfrezmaison	-⌫|----|--|---|-----|
enparadisnauez raison	-|------||---|-----|
n iauezrie nqu echalengier	||---|---⌫|--⌫|---------|
fors isterezsen	---|------|--|
niaue z rienpariu gement	||---⌫|---|--|--⌫-----|
orperneza ill orschasement	-|-----|-⌫---⌫--|--------|
f orsen issezdebonaurte	-⌫--|-|----|-|-------|
fa ltma i sf aimnelas sete	--⌫-|--⌫-⌫|-⌫--|-|---⌫---|
ne uu sfalt mais	-|--⌫|---|---|
dolornep aine	----|-|-⌫---|
atoz les i orsdelasemaine	|--|--|-⌫--|-|-|------|
enterreaurezmaluaissoior	-|----|----|------|----|
apresmorrezalchiefd eto r	----|-----|-|----|-⌫|--⌫|
des pois qu auerezgustémo r t	--|---|-|-----|-----|--⌫-⌫|
enemferirrez	-|----|----|
sanzde p ort	---|--⌫-⌫--|
ici aur ont lescorseissil	--|---⌫--|--|---|-----|
les alme sen emf ernper il	--|----⌫|-|---⌫--|---⌫-|
satan uus aura en baillie	----|--|---|-|------|
n e sthom queuus enface	|-⌫-|--|--|--|-|---|
pa rcuisoiez uusiarescos	--⌫|--|----|--|-|-----|
prengepi ted euus	-----|--⌫-|-⌫|--|
gardez moibie nle paradis	-----|--|---⌫|-|------|
quemais nientre ici st faudis	--|---|||----|---⌫-|-----|
aitmaispo eir	--|---|--⌫--|
ne detocher lifruitdeuie	-|-|-----|-|----|-|--|
oce l espee	|--⌫-⌫|---|
qui fl amboie	--|--⌫-----|
silidefendeztresbienla uoie	-|-|-------|---|---|-|---|
alla s chaitiftant	----⌫|------|---|
ma l ui unches lore	--⌫|-|-----||--|
que mespecche z	--|--|------⌫|
me suntco rusor e	-|---|--⌫-|---⌫|
que ioguerpi leseignorquehomaure	--|-|-----|-|------|--|--|---|
quir eque rra i amesqu ilme socore	--|-⌫----⌫--|-⌫|--|-|-|-|-----|
tant be lmane r	---|--⌫|----⌫|
uergierdegl orietant	------|-|--⌫---|---|
u us fetb el	-⌫-|--|-⌫-|
io tezensuiparmon pecchie paruoir	--⌫--|-|--|--|--|------|--|---|
delrecou rer	--|-----⌫--|
tot aiperdu l	--|-|----||
iofuide den znensoi gairesioir	-|--|--⌫---⌫||-|--|-----|---|
cre ico nsei lc himefi sttostp a r tir	---⌫|--⌫----⌫|-⌫-|-|--⌫-|---|-⌫-⌫-⌫--|
or menrepentdroitestquem en	-||-|-----|----|--|--||-|
coestatartriennen u alt m on sos pir	-|--||---|---|--|-⌫--|-⌫-|---⌫--|
ouf u mo n	-|-⌫|--⌫|
se nsquedeu intma memoi re	--⌫-|--|---⌫--|-|-----⌫-|
qu epo rsatan guerpi le	--⌫|--⌫|----|-----|-|
or men trauail si menualt m oltpetit	-||-|------|-||-|---|-⌫--|----|
li mienpecchie i ert e nestoir ees crit	-|---|------|-⌫--|-⌫|------⌫|--⌫---|
oi malefemm e plain e	-|---|----⌫|-----⌫|
tant m asmistosten	---||-|--|---|-|
cummetolis le s ens	--|-|----|-|-⌫--|
orme nrepent nepu isauer	-||-⌫|-----|-|--⌫-|---|
euedo lentecum fusamaldeliure	--|--⌫----|--|--||--|------|
quantcreutes sitostc onsei l dela guiure	----|------|-|---|-⌫-----⌫|-|-|-----|
part oisuimortsiaiperdule uiure	--|-⌫-|--|---|-|-|----|-|----|
li t oenpecchieiertessc riten	-|-⌫--|------|---|----⌫--|-|
ueez tu lesign esdegra ntconfusion	---|-|-|----⌫-|-|---⌫-|--------|
la t erre se ntla nostremaleicon	-|-⌫---|--⌫-|-|-----|-------|
formen t se mames orinaissentchardon	------⌫|--⌫----|-||-------|------|
d e n ostre mal ueistelecomencemen t	-⌫|-⌫----|--|-----|-|----------⌫|
co estnostre grant dolorsmaisgran ior	-|--|-----|----|-----|---|----⌫--|
mene z enserromsenemfer l a idement	----⌫|-|------|-|----|-⌫-⌫------|
nenusfa ldra n e poineneto rment	-|--|--⌫---|-⌫|----|-|--⌫----|
eu e chaiti ue queten esta uiaire	--⌫|------⌫-|--||-|--||-----|
ces ta sconquis	---⌫|-⌫|------|
donez t est end ua ire	----||--|-|-⌫--⌫--|
ia nesauer asuer sho me b ie n atra ire	-|-|-----⌫-|---⌫|--⌫-|-⌫--⌫|----⌫--|
mesaraison	--||-----|
se rra stotten scontraire	--⌫---⌫|--|---⌫|--------|
tuz celsqueistront denostre lignee	--|---|--|------|-|-----|-----|
del toenforf aitsentiro ntlah asc ee	--|---|----⌫--|-------⌫-|-|-⌫---⌫-|
t uforfis atozceals estiugee	-⌫|-----||--|----|--|----|
mult ta zera porquiil	---|--⌫---|--|--|-|
ier tch angee	---⌫|--⌫----|
adambelsire	---|--|---|
mult maueblasteng é	---||--|--------⌫-|
mauilainnie	-|--------|
retraitee rep roc hé	-------||---⌫---⌫--|
si io mesfisioensu ffrela	-|-|-----|-|-|--⌫---|-|
io suicopabl ep ardeu	-|--|------⌫|-⌫-|--|
serraiiugee	-----|----|
i osuiuers deueue rstoimult mesfeite	-⌫|--|---|--||--⌫-|--|---|-------|
l e mienmesfai tm ult ie rtlonger etraite	-⌫|---|------⌫|-⌫--|--⌫-|----|-⌫------|
maculp e e stg rantmespe cch iezm edehaite	-|----⌫|-⌫-|-⌫---|--|--⌫---⌫--|-⌫|------|
chait i uesui det ut	-----⌫-⌫-|--|-|-⌫-|
bie n aisuffra ite	---⌫|-|------⌫--|
n enairaiso nqueu ers d eumedefende	-⌫-|-|-----⌫|--|-⌫--|-⌫-|-|------|
que peccheriz cul pable	--|--------|---⌫----|
ne me rende	-|-|----|
pardonez lemoikarne puisfaire	-------|-|--|--|-|---|----|
siiopoeie iofraiparoffr ende	-|-|----|-|---|--|----⌫---|
iopecc heri z iolasse ioch aitiue	-|----⌫----⌫|-|----|-|--⌫-----|
por forfetsuiio uersde u siesch iue	--|-----|--|-|---|--⌫|-|----⌫--|
mort carmepren ne suffretquei o	---|--|-|---|-|------|--|-⌫|
e mp erils ui n e puisue nirariue	-⌫|-⌫---|-⌫-|-⌫|---|--⌫--||---|
se r pen tlaguiure	--⌫-⌫---⌫|-|-----|
demal ai re	-|--|--⌫-|
m efist ma ngier la pom e de contr aire	-⌫|---|--⌫----|-|---⌫|-|-----⌫---|
io te ndona i	-||-⌫|----⌫|
si q uida i porbie n faire	-|-⌫----⌫|--|---⌫|----|
emistoi enpecchiedontnetepois	|--|--|-|------|---|-|-|---|
porqu ein efuial criator en cli ne	--|--⌫-|-⌫|--|-|------|--⌫---⌫-|
netieniosire t a discipli ne	-|---|-|---|-⌫|--------⌫-|
tumesfesismes	-|-------|--|
denostre mallongen	-|-----|--|---|-|
estlamescine	--|-|------|
l e mien mesfai t ma grant	-⌫|---|------⌫|-|----|
m esauentur e	-⌫---------⌫|
com perachier l ano st reengend reore	---⌫---|----|-⌫|--⌫--⌫-|------⌫----|
li fr uiz fudulzlapaineestdure	-|--⌫--|-|---|-|----|--|---|
m angiezn ostre	-⌫-----|-⌫----|
iert laf r aiture	---|-|-⌫-⌫-----|
maisnep orquanten d eu	---|---⌫------|-|-⌫-|
estmasperance	--|-|-------|
dicestmesfait	|----|------|
chartotiertacorda nce	---|--|---|------⌫--|
deusmerendrasagraceesa	---|-|-----|-|----||-|
gieter nusuoldrademferpa r	-----|--|-----||----|--⌫|
frerechaymnus	----|----|--|
sume s dousger main	----⌫|---|---⌫---|
esumes filzde lhom epremer ain	|----|---|-||---⌫|------⌫--|
cofuad aml a mere	-|-|--⌫-|-⌫|---|
otnon euain	-|--|----|
de deu seruirnes eom	-|--|-----|-|-⌫--|
te nssubiectalcria tor	--⌫-|------|-|----⌫--|
ensiseruumq ue conquerromss amor	---|-----|-⌫-|----------||---|
pare nzperdirent par folor	----⌫-|--------|--|----|
entreno ssiso itbienfer m	----|--⌫|-|--⌫-|---|---⌫|
sis eruumdeu	-|-⌫----|--|
queliuie nge a plaisir	--|-|---⌫--||------|
ren domsesdroiz	---⌫--|--|----|
n ensoitriens d el	-⌫-|---|----|-⌫-|
sede bo ncuer le uol om s obeir	-|-|--⌫|---|-|---⌫--⌫|----|
n aue rontnos almespour	|---⌫---|--|----|---|
donu msad ismeet ute	----⌫|-|-⌫---||-⌫--|
sai ust ise	-|-⌫---⌫--|
primicesoffrend esdons	-------|-------⌫-|---|
s acrifice	-⌫-------|
side lteni rnosprentacoueitise	-|--⌫|----⌫|--|----|---------|
pe r duserromsenenfer sen deuise	--⌫-⌫-|------|-|----|--|-----|
en t renos deusaitgrant dilection	--⌫-⌫-|--|---|--|----|--------|
ni soitenuie	||---|----|
soitdetraction	---|---------|
porqueiauraen tre	--|---|---|--⌫--|
nu sdou stencon	--⌫|---⌫|-----|
tot e laterrenose stmi sabando n	---⌫|-|----|--|-⌫-|--⌫||-----⌫|
be alfrere abel bie n	--⌫-|----|---|---⌫|
saue z sermoner	----⌫|-------|
uostreraison as aer	-----|-----|--⌫--|
uostredoctrine s i estqu i luoilleescoter	-----|-------|-⌫|--|--⌫||-----|------|
de iorzaura poi quedoner	-|---|---|--|--|----|
disme donernemeuintonches a	----|----|-|-|---|-----||
deltoe n aue r poezf airetabo nt e	--|---⌫|---⌫|---|-⌫---|-|--⌫--⌫|
eio del mie nfrai ma uolente	|-|--|---⌫|---|-|------|
parmonmesfaitneser rastud ampné	--|--|------|-|---⌫--|-|-⌫-----|
d en usamer naturenus ens eigne	-⌫|-⌫-|---|-----|--|---⌫----|
en trenus dousnait nulquesefeig n e	--⌫--|--|---||--|--|--|-|----⌫-⌫|
qu i entren u s co mencerala	--⌫|----|-⌫-⌫|--⌫------|-|
tresb ienl achatk e droizest	---|-⌫--||----|-⌫|----|--|
s en pleingne	|-|-------|
chaim belfrere ententa	----|--|----|-----||
uol ent iersor edi de quoi	---⌫---⌫---|--⌫|-|-|---|
coest de tonprutant mestplusbel	-|--|-|--|--|---||--|---|--|
nenfa iiauers	--|--⌫|-|---|
deu re uel	--|--⌫--|
n enaez enu ersluiorg ui l	-⌫-|--|---⌫--|--|---⌫--⌫|
ch ast iiobien	--⌫---⌫|-|---|
creez mon conseilalomsoffrir	----|--|------|----|-----|
adampnedeup orlui plai sir	|--------|-⌫-|--|----⌫--|
s ilestuers nos a paiez	|-|--|---|--|-⌫----|
nus prendrapecchiez	--|------|-------|
nes ornu s neuen dratristor	-|-⌫-|--⌫|-|---⌫--|------|
mult faitbon p orchacersamor	---|---|--|-⌫-------||---|
al oms offrir ason altier	--⌫--|-----||--|-----|
teldonqueiluoille regar d er	--|--|--|-|-----|-----⌫-⌫-|
preoml uiquil nusdoins t sam or	----|-⌫-|-|-|--|-----⌫||--⌫-|
defended emal	------|-⌫|--|
belfrereab elmu lt asbi end it	--|----|--⌫-|--⌫-|-|--⌫-|-⌫-|
icestserm o nasbienescri t	----|----⌫-⌫|-|---|-----⌫|
e io creraibientonsermon	|-|-----|---|--|-----|
alomoffrir	---|-----|
quoioff rira s tuioun aignel	---|---⌫----⌫|-|-|-|-----|
tuitle meil lore leplus bel	---|-|----⌫--||-|---|--|
queporraitrouera lostel	--|-----|-----|||----|
i celoffrirain enfraie l	-⌫--|-------||-|---|-⌫|
sil uioffrirai encens	-|-⌫-|-------|-----|
ditt otmon po rpens	--|-⌫-|--|--⌫----|
tu que offrirasiode monble	-|--|-------|-|-|--|--|
itelc um deusle	---|-⌫-|---|-|
iert del meill or nenilporuoi r	---|--|-----⌫-|----|--|---⌫|
decelfrai i o	-|--|---|-⌫|
p a inalsoi r	-⌫-⌫-|-|---⌫|
te loffrende	--⌫|-------|
nestpasaceptable	|--|--|--------|
i a est cofable	-⌫|--|-|----|
riches hom esemultasbes tes	-----|--|-||---|-|---⌫--|
siaiporquei	-|-|--|---|
necon test oi t	-|---⌫--|-⌫--⌫|
edetotesdonezlasdism es	|-|----|----|--|----⌫-|
siof frirasa	-|--⌫-----||
d eu maimes	-⌫-|-----|
offrez le luidebon cue r	-----|-|--|-|--|---⌫|
sire ce uras	-|--⌫--⌫---|
f ra s le tuensior oezfuror	-⌫--⌫|-|-|---|-|--|----|
d e disneremaind rontqu enoef	-⌫|--|-|-------⌫---|--⌫|---|
icist conseilne uea lt	----|------|-|---⌫-|
alomoffri r de ca chescons parsoi	---|-----⌫|-|-|-------|--|--|
quiluoldra	-|-|-----|
eiolo tr ei	|-||-⌫--⌫-|
b el frere	-⌫-|----|
abeliss umc afors	---|---⌫-|-⌫|---|
porqu oip or d eporter	--|--⌫-|-⌫-|-⌫------|
eporreguardernostrelabo r	|--|--------|-----|----⌫|
cum suntcre us ilsuntem	--|---|---⌫||-|---|-|
as prezpui senirrums	-|---|---⌫|-|-----|
p lus leegier	-⌫--|------|
apresen serroms	----|-|------|
ioirrai ouect oi	-|----|---|-⌫-|
outuu oldras	-|-|-⌫-----|
or enuie ndoncbon	-|-|---⌫|---|--|
tues m ifre resliainez	-|-|-⌫|---⌫--|-|----|
ioensiura ites	-|-------⌫|--|
auantioirraiapres	----|-|----|----|
le peti tpasa grantrelais	-|----⌫|--||----|-----|
iome n uol drai	-||-⌫|---⌫---|
uengierdet oi	------|-|-⌫-|
sui io me sfaitoilasez	--|-|--⌫----|--|---|
t uestraitrestotprouez	-⌫|-|-------|--|-----|
certesn onsui	-----|-⌫-|--|
am aideferetraison	--⌫-|-|---|------|
tulafesiseiocome nt	-|-|----||-|----⌫-|
tos tlesauer asio	---⌫|-|-----⌫-|-|
ioltoifrai multtosts a uo ir	-||--|---|---|---|-⌫-⌫--⌫-|
porras p r ouerporuoir	-----|-⌫-⌫---|--|---|
laproueest presdeusmaidera	-|----|--|---|---||-----|
ioteoccirai deule	-|-|------|--|-|
ueez iciqu ifra la	---|--|--⌫|--|-|
totema fiance	---|-|-----|
uersmoi taura	---|--||---|
il poi m est ier	-|--|-⌫---⌫--|
bie n te poet	---⌫|-|---|
fairedestorber	----|--------|
ne po r rade mortguenchir	-|--⌫-⌫-|-|---|-------|
me meta sonplaisi r	-|--||--|------⌫|
uolsoir porquoiteoscir ai	---|--|--|---|-|-----⌫-|
orlemedipor quo i i ol	-|-|-|-|--|---⌫|-⌫||
t oidirr a i	-⌫-|----⌫-⌫|
troptef ais de	---|-|-⌫--|-|
totre fusé	--|--⌫----|
refusailma offr e nde	-----|-|-|----⌫-⌫--|
doncque ne	---|--|-|
iotenr en dr ai	-||-|-⌫--⌫--⌫-|
le guere don	-|-----⌫--|
mortremaindrasoiausablon	---|---------|-|-|-----|
situmocies coier t a	-|-||----|-|---⌫||
d euuengeraentoimamort	-⌫-|------|-|--|-|---|
nemesfisd eulesetbien	-|-----|-⌫-|-|--|---|
uers luinetemeslaiderien	---|--|-|-|-----|-|---|
ai nztedisque fe s istelfa itz	--⌫-|-|--|--|--⌫-⌫-|--|--⌫--|
que fuissez	--|------|
dig nedesa pa iz	---⌫-|-|-|--⌫-|
a lui rendisezses r aisons	|--|-------|--|-⌫-----|
dimesprimices oblacions	----|-------|--------|
porc op o rrezauer s amor	--|-⌫|-⌫-⌫---|---||---|
tu nelfai soras iror	-|-||---⌫|-|-|---|
ueraisquia luis ert	-----|--||--|-⌫--|
tresbienl empli ep as nel	---|---||-----⌫|-⌫-|-||
tropas parolé semp res morras	---|-|------|----⌫--|-----|
frere que d is tumeminas	----|--|-⌫-|-|-|----|
iouinccaforsen	-|---|-|---|-|
tacreanc e	-|------⌫|
ia ne t a uramestierfiance	-|-||-⌫--|------|-----|
iotoiosc iraiiotoid efi	-|--|---⌫---|-|--|-⌫--|
adeu priqui l	|--|--|-|-⌫|
aitde moimerci	--|-|--|----|
chai m esttonfrereabel	----⌫|--|--|----|---|
iaentrezenre uel	-|-----|-|--⌫--|
tu ascome nc ié	-|-|----⌫--⌫--|
u ers moie strif	-⌫--|--|-⌫----|
o rmemostreton frereuif	-⌫|-|-----|--|----|--|
q uesaiiosire o	-⌫-|--|-|---||
s estam aison	|--||-⌫----|
ouases b lez	-||--|-⌫--|
quoiledeit rouer	---|-|--|-⌫----|
ianeldeuoieiop as garder	-|-||-----|-|-⌫-|-----|
quenastu fetou l	-|-|-|-|--|-||
bientulasocis	---|-||-|---|
son sancenf ait a m oi	--|---|-|-⌫--||-⌫-|
a l cie lme uintialar umor	-⌫|---⌫|-|---|-|-|-⌫---|
multenfaisgrantfelonie	---|-|---|----|------|
ma l eiten se r rastote	--⌫-⌫--|-|--⌫-⌫--|---|
totio rz a ura sma laiecon	--|--⌫-|-⌫---⌫|--⌫------|
atel mesfa ittelg ueredon	|--|-----⌫-|--|-⌫------|
ma isneu oilque homte	--⌫-|-|-⌫--|--|--|-|
mai sendolor dorg esta	---⌫|-|----|----⌫-|-|
queo nques chaimoscira	--|-⌫----|----|-----|
a setd oble lepenera	|--|-⌫---|-|-----|
t onfrereasmortenzmacreance	-⌫-|----|-|---|--|-|------|
griesense rrata pe nitance	----|-|--⌫--|-|--⌫------|
abr aham suie iss ia non	---⌫---|--||---⌫||--|
or entend ez	-|------⌫-|
tuitma raison	---|-|-----|
qui endeu ad bo nesper ance	--|-|--|-|--⌫-|----⌫---|
tienge safaiesa	-----|-|--||-|
c h ien deuauraferme	-⌫-⌫|-|--|---|----|
de usertod lui iols aiparmoi	--⌫-|--|-|--|-||-⌫-|--|--|
il metemptai o fis son gre	-|-|-----|-⌫|--|--|--|
bienacomp lisauolente	---|-----⌫-|-|------|
occire uoleiporluimonfilz	-----|----|--|--|--|---|
maispar luienfui	---|--|--|-|--|
contred itz	-------⌫--|
ioluoleieoffri rpo r sacrefise	-||-----|-----⌫|--⌫|--------|
a tornéaiustise	|-----||------|
deumapramis ebieniertueirs	--|||-----||---|---|----|
ancoreistr ade m oi tel	-----|----⌫|-|-⌫-|--|
chi ueintratotses	--|------|--|--|
en siserraf orte	--⌫-|----|-⌫--||
lor port estendraensesmains	--|----⌫-|-----|-|--|----|
e lor cha stelsn ie rt	|--|---⌫----||--⌫-|
pasuilai ns	--|-----⌫-|
t elhomm e	-⌫-|----⌫|
i stra d e	-⌫---|-⌫|
mase mence	-|--⌫----|
qui chang era nostr e	--|-----⌫--|-----⌫|
s enten ce	-⌫-----⌫-|
parcuiserrali	--|--|----|-|
m ond saluez	-⌫--|-----|
adamserrade peinede liurez	---|----|-|----|--⌫-----|
lesgenzdetote nascion	--|---|-|---|------|
a urontpar	-⌫----|--|
luibeneicon	--|-------|
coqueuosdipardeule	-|--|--|-|--|--|-|
de uosfreres deuostreloi	-|--|-----|-|-----|--|
u oldra deussuscite rhome	-⌫----|---|-------⌫|---|
il i ertprophete ceier t la somme	-|-⌫--|-------|-|---⌫|-|----|
saurato it le secroi	----|--⌫-|-|-----|
celuid euezcroireplusq ue moi	----|-⌫---|-----|---|-⌫-|--|
icesteuergesenzp lanter	-----|----|---|-⌫-----|
poetfair e flor sefro it	---|----⌫|----⌫||---⌫-|
tel uerg eistradem onlignage	--|----⌫|----|-|-⌫-|------|
qu iasatanfradamag e	--⌫||----|--|-----⌫|
chisanzc harnalenge ndreure	--|---|-⌫-----|----⌫------|
d eh om epor teral a	-⌫|-⌫--⌫|---⌫---|-⌫|
cuiada mtrarradeprison	--|---⌫|-----|-|-----|
ist ralau erite	---⌫-|-|-⌫----|
eiusti cedema ieste	|-----⌫-|-|--⌫----|
deusdurrab enignite	---|----|-⌫-------|
nostreterredorrasonble	-----|----|----|--|--|
d e son furme ntdorrasonpain	-⌫|--|-----⌫-|----|--|---|
quisalueralefilz e uain	--|------|-|---|-⌫---|
ciliertsiredetote terre	--|---|---|-|---|----|
ci lferapaisdestruir a guere	--⌫|---|---|--------⌫|----|
iudeuauu sdon a	----||--⌫|---⌫|
maisuusneliportaste sfoi	---|--|-|-|--------⌫|--|
de sonregne	-|--|----|
uu s fis tbaillis	--⌫|---⌫|------|
char multestiez bienasis	---|---|-----|---|---|
uosn eiuiastespar	--|-⌫|-------|--|
e ncontredeu iert uostre as i se	-⌫------|--|---|-----|--⌫-⌫-|
sa u olente	-|-⌫-----|
mul tfugrantuostrei ni qu ite	---⌫|-|----|-----|-⌫--⌫--⌫--|
coqu efaiste stut parra	-|--⌫|------⌫|--|----|
doruengeme nts erra	--|-------⌫-|-⌫---|
encelsquifurent li	-|---|--|-----|-|
ilprendront toit un mal uai ssalt	-|--------|---|-|---⌫---⌫|---|
auradeuspite	---|---|---|
mult lesrendra esleecie ́	---|--|-----|--------⌫|
la propheci eaue rera	-|--------⌫|---⌫---|
quan tle filz d eupo r n o s	----⌫|-|---|-⌫-|--⌫|-⌫-⌫|
cil quesunt ma istre	--|--|---|--⌫----|
occirunt luiparma le foi	-------|--|--|--⌫-|--|
contreiustiseenc ontre raison	-----|------|---⌫----|-----|
mettrunt leencruiz cumelaron	-------|-|-|----|---|----|
porco perdrunt lo rseignorie	--|-|-------|--⌫|--------|
auerontdeluiemui e	------|-|--|----⌫|
degranthaltoruendr ontembas	-|----|-----|-----⌫--|-|--|
mul t s eporrunttenir	---⌫|-⌫|------|----|
delpo ureadam aurapi ete	--|--⌫--|---|---|--⌫--|
del i uerat l uide pecche	---⌫-⌫----|-⌫-|-|-----|
deiacobistra une steille	-|----|----|--|------|
del feudelciel serra uermeill e	--|--|--|---|----|--------⌫|
eunsd ucsde lpopleisrael	|--|-⌫--|--⌫|----|-----|
q uia moab fera reu el	-⌫-||---|---|---⌫-|
e lororgu il abais sera	|--|----⌫-|-----⌫---|
char d eisra elc hristu s is ter a	---|-⌫|----⌫-|-⌫------⌫|--⌫---⌫|
qui ertestoi lle	--|--|-----⌫--|
tot e rtdel ui	--|-⌫-|-|-⌫-|
enlumine ́	--------⌫|
le s so nfeelbienconduira	--⌫|--⌫|---|---|-------|
s es enemisto it	-⌫-|-----|--⌫-|
confunder a	---------⌫|
iud ei d ima raiso n	---⌫-|-⌫|-|-----⌫|
quie nuersd eue st est ropfelon	--|-⌫----|-⌫-|-⌫--⌫-|-⌫--|----|
des sainzquan t uen dra to i t	--|----|----⌫|---⌫--|--⌫-⌫|
dontsentir ez uosgranz contr aires	---|------⌫-|--|----|-----⌫----|
donccesser au os treoncion	---|------⌫|-⌫--⌫--|-----|
p asclamerraison	-⌫-|-----|-----|
coe st cristqueli saintsignifie	-|-⌫-|----|--|-|----|-------|
t uz ce ls qui parluiaurontuie	-⌫-|--⌫-|--|--|--|-----|--|
popleue ndraenterre	----|--⌫---|-|----|
uo s tregent lifrunt	--⌫-⌫--|---|-|----|
gr ant guere	--⌫--|----|
met trontap assio n	---⌫----||-⌫-----⌫|
por ceper dr un tloroncio n	--|-|---⌫--⌫--⌫|--|-----⌫|
eues que nauerontp oisneroi	----⌫--||------|-⌫--|-|--|
ainzperira	---|-----|
parels lorlei	--|--|--|--|
dedeuaioi nouele	-|--|-|-|-----|
toten aitr ubl e l ac e ruel e	--|-|-|--⌫---⌫|-⌫|-⌫-⌫----⌫|
tantaiesgardécestoure	---|-|-------|---|---|
quegrantpour li	--|----|---|-|
cuermenoure	---||-----|
e ntred ousbestesiertconeuz	-⌫---|-⌫--|-----|---|-----|
par to t le mondiertcremu z	--|--⌫|-|---|---|-----⌫|
aisigra ntmerue ille	-|-|---⌫-|-----⌫---|
iert demostr ép arun eesteille	---|-------⌫-|-⌫-|--⌫|-------|
pas torletrou er onten cres che	---⌫--|-|----⌫--⌫--|-|----⌫--|
qui e rttrenchieenpie rese cche	--|-⌫-|-------|-|---⌫-|--⌫---|
oumangerontlesbest esfai n	-|--------|--|----⌫-|---⌫|
poissif raasraiscerta in	---|||-⌫-|-|---|-----⌫-|
la s teillei amerratles	-|-⌫-----||------|--|
o ffrendeaporteronttottrais	-⌫------|---------|--|----|
oezded eus ainteparole	--|-|-⌫-|-⌫----|-----|
totu usqui	--|-⌫-|--|
est es de sa scole	---⌫-|-|-|----|
delb oniudelagrantl i gnee	--|-⌫-|---|-|----|-⌫-⌫---|
u u schiestesde s a	-⌫-⌫|--|----|-|-⌫|
parcesteporte uolez	--|----|----|----|
pornostre seignor ao urer	--|-----|------|--⌫---|
li sir es delhos tuu sso mont	-|---⌫-|-||---⌫|--⌫|--⌫---|
deud eisr aeldel	--|-⌫|---⌫--|--|
ciella mont	---|--⌫---|
faitesbones	-----|----|
lesuosu oies	--|--|-⌫---|
soi e ntdroi tescummeraies	---⌫-⌫-|----⌫--|----|----|
soie ntnetzles uozcurages	----⌫-|---|--|--|------|
queuusnenuiengenulsda mages	--|--||-|-----|---|--⌫----|
uo strestudiesoienten	--⌫---|-----|-----|-|
d efelonieniaitrien	-⌫|------|||--|---|
si ensilefaitesdeusue ndra	-|---|-|-----|---|--⌫---|
ense mble ouecuushab iter a	----⌫---|---|--|---⌫----⌫|
lifilzde de uliglori us	-|---|-|--⌫|-|-----⌫-|
ente rredescend raauos	-|--⌫--|-------⌫-||--|
ser racu mhommemortal s	---⌫-|--⌫|----|------⌫|
lisires lecele stials	-|----|-|----⌫-----|
adamtrara de priso n	---|----|-|-----⌫|
so ncors dorra por	--⌫|---|----|--|
dirraimeru eillusdiz	-----|----⌫-----|--|
i essefera de	-⌫---|---|-|
uerge enistraqu ifraf lor	----|-|----|--⌫|--|-⌫--|
quiertd igne degran tu no r	--|--|-⌫---|-|----⌫|-⌫--⌫|
sainte sspir it	----|-⌫-----⌫-|
la urasi clos	|-⌫--|-|---|
soricesteflor	--|-----|---|
iertsunrepos	---|--|----|
orem eres p onsire ysaias	--|-⌫|---⌫-⌫-|---|-----|
