quipetit semepetitquielt	--|----|---|----|-----|
tutli biens	--|-|----|
car il niauoit pl usde s miens	--|-|||----|--⌫-|--⌫|----|
rienplu s ni	---|---⌫|||
au oitdeus les a che	--⌫--|---|-|-⌫-⌫--|
dontme pust fa iredamage	---|-|---|--⌫--|-----|
liualet en tentmult petit	-|----|--⌫---|---|----|
a c eoques amere l i	|-⌫-|--|-⌫|---|-⌫|
a mange r faitil	|-----⌫|---|-|
nes ai dequeymara isonez	-|-⌫-|-|---||---⌫-----|
mais mult irroieuolent iers	---|---|-----|------⌫---|
al roiquifaitles	-|--|--|---|--|
cheu aliers	----⌫-----|
eieoirraiqui qu	|--|----|---⌫-|
l ameretantcumil	-⌫|---|---|--|-|
liretiente silesoiorne	||------||-|-|------|
orelia parailleeatorne	--|-|-⌫-------||-----|
decaneuaz unechemise	-|------|--|------|
ebrai elzfaite sa laguise	|----⌫--|-----⌫||-|----|
o ulen ensemble	-⌫|--|-------|
braielzecha ucesceome	------||---⌫---|--|-|
coteec haperon	---||-⌫------|
de c erfclosenuiron	-|-⌫--|---|------|
issilamerelatorna	---|-|---||-----|
t rois iorsalplus l esoiorna	-⌫---|---|-|---|-⌫|------|
n iot mestierlosen ge	||-|------|-----⌫-|
lors outla	---|--|-|
m eredoel e strange	-⌫--|---|-⌫------|
silebaiseeacoleen plorant	-|-|----||----|-|------|
edis toreai ie o d uel	|---⌫|--|-|--⌫|-⌫--|
bealfilz quan taleruos e nuoi	---|---|----⌫|---|--|-⌫|--|
uosirrezalacurt	--|----||-|---|
dirrez que armezuosdoint	-----|--|----|--|----|
de contreditn iauer apoint	-|--------|||----⌫|----|
quil les uos dorrabien le	-|-|--|--|----|---|-|
maisquantu osuendrezal essa i	---|----|-⌫-|------|||----⌫|
darme sporter	|----⌫|-----|
comenter t ad onques	-----|--⌫|--⌫-----|
ce oqu euosneu e istes onques	--⌫|--⌫|--|-|-⌫-⌫----|-----|
na utrine ueistesfaire	|-⌫---|-|------|----|
comenten sauerezach eftraire	-----|-|------||--⌫-|-----|
mauuaisement uoirceo	-----------|---|--|
m alserrez	-⌫-|-----|
afai tépartou t	----⌫--|--|---⌫|
nilnes t merueill e	|-||--⌫|--------⌫|
ce o m estuis	--⌫||--|--|
sihomne siet ceo quehomnad	-|--|-|---|--|--|--||-|
maismerueillequant	---|--------|----|
lennapren t	--||-----⌫|
c eoquelen oteueitsouent	-⌫-|--|--|-||---|-----|
bealfizunsen uosuoi laprendre	---|--|-|--|--|---⌫|-------|
oui luosfait mout b ienentendre	-|-⌫|--|---|---|-⌫--|-------|
que s iluospl ais ta	--||-|--|--⌫---⌫||
gran t bi enuos	----⌫|--⌫-|--|
enpo rraueni r	-|--⌫--|----⌫|
c heualer serrez ies quapou	-⌫------|-----|---⌫-||--|
fiz sideuplaiste	--|-|--|-----||
si uostro uezoupres o u l oign	-|--|---⌫--|-|---|-⌫|-⌫---|
n epucel ed es conseil lie	-⌫|-----⌫|-⌫--⌫-------⌫--|
lauostreaie	-|-----|--|
ap paraillie	--⌫--------|
lurseitsiele s	--|---|-|---⌫|
requierent	---------|
cartote shon orssiafierent	--|----⌫|---⌫--|-|-------|
dameshon our neporte	----|---⌫--|-|----|
la suehonorsdeitestre morte	-|--|-----|---|----|----|
dam esep ucelesame z	---⌫-||-⌫-----|---⌫|
siserrezpar tut ho nourez	-|-----|--|--|--⌫-----|
e siuosalkuneenpriez	|-|--|-----|-|----|
ga rdeziane l ennuiez	--⌫---|-|-||------|
ne faitesrienqu e li de spl ai se	-|-----|---|--⌫|-|--⌫---⌫--⌫-|
depuceleamult qui la	-|-----||---|--|-|
sielelebaisier uosc onsent	-|--|-|------|--|-⌫-----|
le surplus uosen defe nt	-|------|--|-|----⌫-|
silai s serleuole z pu rmoi	-|---⌫-⌫--|-|----⌫|--⌫|--|
maissi elead anelenson	---|-|--|-|---|-|--|
ouas aceinturealm oniere	-||-⌫|-------|---⌫-----|
si paramour ouparpr iere	-|--|----|-|--|--⌫---|
leuos donebon	-|--|---|--|
siuosenportez sonanel	-|--|-------|--|---|
delanel prendre	-||---|------|
uos donie o	--|--|--⌫|
almonierecong ieo	--------|----⌫--|
oncoreuosdirraiel	-----|--|-----|-|
ia en cheminn	-|-|-----||
n aiez lo ngem entcompaignon	|---|--⌫----⌫--|---------|
qu euosne dema ndezsonnon	--⌫|--|-|----⌫---|--|--|
esonsornon ala	|--|-----||-|
parlesornon	--|-|-----|
enconuistlenl	-|------|--||
ebel aprodho mes parlez	|--||------⌫--|-----|
ou eclesprodh omes alez	--⌫-|--|-----⌫---|---|
p rodhome nefors conseillemie	-⌫------|-|----⌫--------|--|
tienent sa c ompaignie	------|-|-⌫--------|
surtoterien	--|---|---|
quea egliseea	--||-----|||
aillezpr iernostre seignor	-----|--⌫--|-----|------|
quiencest siecleuos doi nst	--|-|---|-----|--|---⌫--|
uosidoinst contenir	--||-----|-------|
quia bone f in	--||---|-⌫-|
pu issez uenir	--⌫----|----|
ilquei est eglise	-|---|--|-----|
len f aitl e s e ruise	--|-⌫--|-⌫|-⌫-⌫----|
celiqui ciel	---|--|---|
eterrefist	|----|---|
ehomesebestes	|----||-----|
e mosti erquei ic eomeisme	|-----⌫-|---|--⌫-|-----|
unes ma isons bele es aintisme	---|--⌫----|---||-⌫-------|
e de c ors seintze detre sors	|-|-⌫--|-----||-|---⌫---|
si estsa crifiéen lesein tcors	||--|--⌫------|-|-|----⌫|---|
ihesucri stleproph ete	----|---⌫-|-|-----⌫--|
quigui firenthontemei nte	--|--|-----|----|---⌫--|
trahizfueiogez ato rt	-----|-||----||--⌫-|
anguissede mort	-------|-|---|
p urles homese pur	-⌫-|--|----||--|
l e sfe mmes	-⌫-⌫|--⌫---|
queenenfer n	--|-|-----⌫|
alo ent lesalmes	---⌫--|--|----|
quantelesdepartoentdes	----|---|---------|--|
e illesenregettahors	|-|--|-|------|---|
sif ua le stache liez	-|-⌫|||-⌫-----|---|
batuze puiscrucifiez	----||---|--------|
eportacoronedespine s	|----|-----||------⌫|
pur oirme sses emat ines	--|--|--⌫---||---⌫---|
epurcelseignoraor er	|--|--|------|---⌫-|
mostieral er	------|--⌫-|
donquesirraiie ouole nti ers	------|----|--⌫|----⌫---⌫--|
asegl isese asmosters	-|---⌫---||-|------|
uosmet encouenant	--|--|-|-------|
fa it liualetdesoreen	--⌫-|-|----|--|--|-|
atant n ioutplusdedemoe re	----|||--|---|-|-----⌫-|
congiep re nt	-----|-⌫--⌫-|
e la miereploere	|-|----|-----|
ques a selelifu	--|-⌫|---|-|-|
al a maniere	|-⌫|------|
eal aguise	||-⌫|----|
appara ill ez	------⌫---⌫-|
unsriuel insa uoitch a u cez	--|-----⌫--|-⌫---|--⌫-⌫-⌫--|
epartutla o uilaloit	|--|--|-|-⌫|-|----|
tr ei s gauelozporter soloit	--⌫--⌫|------|-----|-----|
uol eit odl ipor ter	---⌫--|-|-⌫|---⌫--|
maisdeusl enfi stlamere	---|---||-|--⌫-|-|---|
pur ceoque	--|--|--|
trops emblastgalois	---|-⌫------|-----|
sieustelefa ittutztrois	-|---|--|--⌫-|---|----|
multuolentier s siss i	---|---------⌫||---⌫|
peustes tre	----|--⌫--|
unereorteensamaind estr e	--|-----|-|-|---|-⌫----⌫|
porto ut pur soncheual fe r ir	-----⌫-|--|--|-----|--⌫-⌫-|
plorantlebaise	------|-|----|
aldepartir	-|-------|
lamer eque multchier lau oi t	-|---⌫|--|---|----||--⌫--⌫|
bealfizfaite ledeu	---|--|---|-⌫-|--|
uos me int	--|--⌫--|
ioieplusquenemenreme int	---|---|--|-||-|----⌫--|
uosdoinsti lou	--|-----|-⌫|-|
qu e uosa lez	--⌫|--|-⌫--|
quantl iualetzfutesloignez	----|-⌫|-----|--|--------|
legetd un epieremenue	-|--||--⌫|----|----|
siseretornee	-|-|------||
alchie f delponta rere	-|----⌫|--|---|-⌫---|
eiutil oec eniti el ma niere	|--|--⌫--|-|---⌫-|--⌫----|
fustc ha uem or te	---|-⌫--⌫-|-⌫--⌫-|
ecilfi ertde laroorte	|--|--⌫--|-|-|-----|
sonpale fro i parmi l acroupe	--|----⌫---⌫|----|-⌫|-----|
portequi pas nadcoupe	----|--|--||-|----|
p ar mi lagra nt fo rest obs cure	-⌫--⌫-|-|---⌫-|--⌫---|---⌫---|
lesgranzga lopsel a mbleure	--|----|--⌫---|||-⌫------|
e che ua uchedeslemati n	|---⌫--⌫---|--|-|----⌫|
ta ntque liiors	--⌫----|-|---|
uinta dec lin	---||---⌫--|
enla foreste	-|-|------|
tantquelii orsliap pare ut	------|-|-⌫--|-|--⌫----⌫-|
emainalchan tdesoiselez	|---|-|----⌫|--|------|
amontliualetz	----|-|-----|
siadalcheuauche r	-|-|-|---------⌫|
s i quiluitu ntrief	-⌫|-|-|--|-⌫|----|
en unepraerie	-|--|------|
liez lesorse	---|-|----|
d unefonte le	|--|-----⌫-|
li tr iefsfu belsag rantm erueil le	-|--⌫---|-|---||-⌫---|-⌫------⌫-|
lune partieenfuuermeil le	|--|-----|-|-|-------⌫-|
elaut re uert z	||---⌫-|----⌫|
d orfreisbroudee	|------|------|
d esuzoutunaigledorree	-⌫---|--|-|----|-----|
en laiglefereit lis oleils	-||----|-----|-|-⌫-----|
quemultest eitclerseuermeils	--|---|---⌫--|----||-------|
s i e nre l u soient	-⌫|-⌫|--⌫-⌫-⌫-----|
del enluminementdel tre	-||-----------|--|--|
entourlet r efala reonde	-----|-|-⌫-⌫-||-|-----|
qui e st oitle plusbelsdelmonde	--|-⌫--⌫--|-|---|---|--|----|
a uo itrameese	-⌫--⌫-|-----||
foil lie es	----⌫---⌫-|
elogesgalesch es dresciees	|----|-------⌫-|--------|
liualetzuersletriefala	-|-----|---|-|----|--|
edistei nzquiluenist la	|---|--⌫---|-|-----|-|
deusore uei ie ouostremaison	---|--|--|--⌫|-----|-----|
or eferei ieodesraison	--⌫|----|--|--------|
ne uosaloie	-|--|----|
uourdistma mere to teuoie	---|---|-|---|--⌫-|---|
quimed istque	--|-|-⌫--|--|
m ostiersestoit	-⌫------|-----|
laplus belechosequesoit	-|---|---|----|--|---|
e me distqueiane trouasse	|-|---|--|-|-|-------|
mostierque a orern ialasse	------|--|-⌫---|||-----|
le creatou renquiie o	-|-------⌫|-|--|--⌫|
ieolirraiiaprierparfoi	--||----|-|----|--|--|
q uilmedoinstencui amanger	-⌫|-|-|-----|----||-----|
que ieoen a uro ie grantmestier	--|--|-|-⌫---⌫-|----|------|
lo rsui ent al triefsi	--⌫-|--⌫--|-|----|-|
letroeueo u ert	-|-----|-⌫-⌫--|
enmiletri ef unl it couert	---|-|---⌫-|-|-⌫-|-----|
dune cotedepaillee uoit	|--|---|-|-----||---|
ellit totesule	-|--|---|---|
unepu c e lee nd o rmie	--|--⌫-⌫-⌫-|-⌫--⌫-⌫---|
maisloignsertdesa compai gnie	---|-----|--|-|-|------⌫---|
quealeesere nts espu c eles	--|----|---⌫-|-⌫-|--⌫-⌫---|
p u rcoilli r flurettes noueles	-⌫-⌫|------⌫|--------|------|
queparletriefio nchieru oleient	--|--|-|----|--⌫-----|-⌫------|
autresi cu m faire soleient	------|--⌫|----|-------|
ualet eltrie fentra	----|-|----⌫|----|
sis cheualstiele noiseme na	--|------|----|----|--⌫-|
quel adameisele l o i	--|-⌫|--------||-⌫|
sise sueillaetressailli	-||-⌫------||---------|
eliualetzqui nicesfu	|-|-----|--|----|-|
distpuceleieouos salu	---|-----|--|--|---|
sicummamere le	-|--|-|---|-|
m enseignaedist	|-------||---|
qu elespucel essalu ass e	--⌫|--|-----⌫-|----⌫---⌫|
en quelqueli u ieoles trouass e	-|------|--⌫|--|--|-------⌫|
l a puc el ede pourtre mbl e	-⌫|---⌫--⌫|-|---|---⌫---⌫|
purle uasl et quifol	--|-|----⌫-|--|--|
siseti entpur fol eprouee	-|-|--⌫--|--|---⌫|-----|
de ceoque soulel	-|--|--|----||
ualetfait eleu a tauoie	----|---|--|-⌫|-|---|
fui quem isamis	--|--|-⌫-|---|
ne t e uoie	-|-⌫|---|
einzuo sbaiserai par	---|--⌫|-------|--|
mon chi ef	--|---⌫-|
fait liualetz quiqu	---|-|-----|----|
quemamerelem enseigna	--|-|---|-||-------|
ieouoirnete baiseraiia	--|---|-|-|-------|-|
faitlapucelequeieo p uisse	---|-|-----|--|--|-⌫----|
f uiquemisamisnetetruisse	-⌫-|--|--|---|-|-|------|
troeuetuies	-----|-|--|
liual etz quilesb razo ut fortz	-|---⌫--|--|--|-⌫--|-⌫-|----|
l adenb rac eeestra itement	|-|---⌫---⌫-|-----⌫------|
car il n elsoutfaire	--|-|-⌫||---|----|
altr ement	----⌫----|
lisilest e n di	-|-||---⌫-⌫-⌫-|
lapuc elesed efen di	-|---⌫--|-|-⌫----⌫-|
egandi a quant que elep out	|----||-----⌫--|--|-⌫--|
mais defensemest iern	---|------|----⌫--||
eliua let tutenrandon	|-|--⌫--|--|-|-----|
laba isa uousis te le	-|--⌫--|------⌫|-⌫-|
u intfoi zsicoml i	-⌫--|---⌫|-|--|-⌫|
ta ntqueun a nelensondei uit	--⌫----|-|-⌫--|-|--|--|--|
aunee smera udem ultc l ere	|--|-⌫-----⌫--|-⌫--|-⌫-⌫--|
onco re medist fait ilm a	----⌫-|-|---|---|-|-⌫|
queenuostre	--|-|-----|
dei lan elpreisse	--||--⌫-|------|
maisquer ien	------|-⌫--|
plusne uos queisse	---|-|--|------|
orecal anel	--|-||---|
ieoleuoila uoi r	--|-|---|-⌫---⌫|
mon anelnaueras	--|---||-----|
tu ia uoir	-|-|---|
pu r nulerienquefaire saches	--⌫|---|---|--|----|-----|
siaforcedel dein elm	-||----|--|--|-⌫|||
li ualetzpar	-|-----|--|
lepoig nla prent	-|----⌫|-|----|
deiliestent	--|-|-----|
si a d sonanelde son	-|-⌫|--|---|-|--|
een sondeimei smemis	|-|--|--|---⌫--|--|
edistpuc elebien ai ez	|---|---⌫--|---|--⌫-|
e ni rr aiieo bienpaiez	-⌫|-⌫--⌫-|--|---|----|
emo utmeil lorbaisir uo s fait	|--⌫-|----⌫--|-----|--⌫|---|
quichambererequ	--|---------|-|
en tote la maisonmame r e	-|---|-|-----|-|--⌫-⌫|
bucheamie re	----|----⌫-|
pl oere e dist	--⌫---||---|
nemp ortezpasmon anelet	|---⌫----|--|--|-----|
queieoenserroiemalb aillie	--|--|-|------|----⌫-----|
etu enperdroies lauie	|-|-|--------|-|--|
maisquiltartceo	-----|-|---|--|
t e pramet	-⌫|-----|
liualetz ason	-|-----||--|
q u eornemet	-⌫-⌫--|-|--|
nuleriendeq u antquil ot	---|---|-|-⌫-⌫----|-|-|
m aisdeceo queieoné	-⌫--|-|--|--|-----|
faimdemalef i n	---|-|---|-⌫-⌫|
un boeceltr oe uepl eindeuin	-|-----|--⌫--⌫-|--⌫--|-|--|
eunhanapdar gentsolonc	|-|----||--⌫---|-----|
eu i t sur un	|-⌫-⌫|--|-|
trosselde i o n c	------|-|-⌫-⌫-⌫|
unetu aille b lanche enoeue	--|--⌫----|-⌫-----||----|
il lasuslie ueedesou z troeue	-|-|------⌫-||-----⌫|-----|
treis bon spast ez decheu erel fr es	----|---⌫|----⌫-|-|----⌫---|--⌫-|
ne liennuiapascistmes	-|-|-----|--|---|--|
purlafaimqueforment	--|-|---|--|------|
languis se	|------⌫-|
un de spastezdeuantli fruisse	-|--⌫|-----|-----|-|------|
si enmangapar	-|-|----|--|
granttalent	----|-----|
euerseenlacu pedarg ent	|----|-|-|--⌫-||---⌫--|
nestoitmielaiz	|-----|--|---|
sienbutsouentea	-|-|--|-----|||
granztra iz	----|---⌫-|
ed istpuce lec istp a stez	|-⌫--|----⌫-|-⌫--|-⌫-⌫---|
neserroi t	-|------⌫|
huip armoiga s tez	--|-⌫-|--|--⌫-⌫--|
uenezm a nger	----|-⌫-⌫---|
quilsontmo ut bon	-|-|---|--⌫-|--|
s i auerac hescuns assez delson	-⌫|----|-⌫------|----|--|--|
sie nr e maindrauns entiers	-|-⌫|-⌫-⌫------|--|------|
ecele pl oreendementiers	|---|--⌫--|-----------|
maisq uillapriee somont	-----⌫|-|-|---||-----|
unmotneli re spont	-|--|-|-|--⌫----|
ecil manga	|--|----|
tantcumliplout	---|--|-|----|
ebeut tantqueas sezenou t	|---|------|--⌫--|-|--⌫|
erecouerilerem anant	|-------|-|---⌫----|
puis prist congie demaintenant	---|----|-----|-|---------|
sico man daadeu celi	-|--⌫---⌫-||--|---|
q uison s aluz po intnembeli	-⌫-|--|-⌫---|--⌫--||-----|
d eusuossaltfai t il b eleamie	-⌫--|--|---|---⌫|-|-⌫--|---|
deun euospeistil mie	--|-⌫|--|----|-|--|
anelsiieolemport	---|-|--||-----|
que e incoisqueieomoerede mort	--|-⌫--------|--|----|-|---|
ieoleuosguer d o nerai	--|-|--|----⌫-⌫-⌫----|
auostrecongie	|-----|-----|
ma is cele p loereeditquei a	--⌫-|---|-⌫----||--|--|-⌫|
adeune lcomendera	|--|-||--------|
quel i coue ndra purlui	--|-⌫|----⌫---|--|--|
suffrirtantmale	------|---|--||
que ta ntenoutnul e chaitiue	--|--⌫-|-|--|---⌫|-------|
neiapurtantcumil uiue	-|-|--|---|--|-|---|
n aue railsoco r s n aie	|---⌫-|-|----⌫-⌫||--|
bienqui l l adtr aie	---|-|-⌫||-|--⌫--|
si rem ist celeen	-|---⌫--|---|-|
ma isna l a geres demor ant	--⌫-||-⌫-⌫|----|-----⌫--|
s isa misquide horsreuint	-⌫-|-⌫--|--|--⌫---|-----|
delua letq ui	--|--⌫--|-⌫-|
s auo i etint	-⌫|--⌫-⌫|---|
uitlesesclozsi lien	--|--|-----|-|-|-|
es amiep loran tetroua	||---|-⌫-----⌫-|----|
edistd amei sele	|---|-⌫----⌫---|
ace se ns eignesque ieo uei	|--⌫|-⌫--⌫-----|--|--|--|
que c heualer ade u ici	--|-⌫------|-|-⌫|--|
sire ieol euos affi	---|--|-⌫|--|---|
maisun u a let galois	---|-|-⌫-⌫--|-----|
e nnuious uilain es ot	-⌫------|-----||-⌫-|
quiaddeuostre	--|-|-|-----|
tantcumiluoute bel li	---|--|-|---||--|-|
emangadeuos	|----|-|--|
treisp astez	----|-⌫----|
epurceobele si plore z	|--|--|---|-|-----⌫|
s ile u stbeuemangé	|-|-⌫-⌫-|--||-----|
trestutceo uousisseieo	------|--|-------|--|
iliadplussire faitele	-||-|---|---|---|--|
misanelse st e nla querele	--|----|-⌫-|-⌫|-|------|
qu ilmelad t olusi l	-|-|-||-|-⌫--|-||
i eo u ousi ss e miel z estremorte	-⌫-|-⌫----⌫--⌫|----⌫|----|----|
quilleust issiemporté	-|-||---|---|-------|
esuosce lidesconforté	-|--|--⌫-|-----------|
e anguis sousenso ncorage	|------⌫---|-|--⌫|-----|
pa rfoifaitilci outultrage	--⌫|--|---|-|-|--|------|
emporte sil	------|-||
mais ieo quidqu ili outplus	---|--|---|-|-||--|---|
out ne lcel ezia	--|-||---⌫-|-|
sirefaiteleil me	---|---|--|-|-|
baisauo ireie o	----|--⌫--|--⌫|
le uosdi bien	-|--|-|---|
maisicof u	---|--|-⌫|
m aloit gremien	-⌫----|--|---|
eincoisuossiste multuosplou t	------|--|---||---|--|----⌫|
unquesnulcontredit n i	-----|--|--------|||
f aitcilqui ge lousi eanguisse	-⌫--|--|--|--⌫-----⌫|-------|
quidezqueieoneuos	-----|--|--|-|--|
sifaz certesne n estsu rdois	-|--|-----||-⌫|--|--⌫----|
ne su i sibornesnesi lois	-|--⌫|-|-----|-|-|---|
queuo strefa usetene	--|--⌫---|--⌫----|-|
entr ées tesenmaleuoie	----⌫-|--⌫--|-|---|---|
assezau erezemal e peine	----|--⌫---||--||----|
queia n emangera daueine	--|-|-⌫|------||-----|
uostrecheualsnenert	-----|------|-||--|
tantquei eome soieuengez	------|-⌫-|-|---|-----|
elaouildeff erra	|-|-|-|----⌫---|
iam esneserra	---⌫-|-|----|
einzquei eomesoie	------|-⌫-|-|---|
neia mesneserrontchangé	-|--⌫--|-|------|------|
li drapdont uoseste suestue	-|---|---|--|----⌫|-----|
mesuosmesiuereza	--|--|-|------||
tantquela testeenauerai p rise	------|-|----|-|-----|-⌫---|
iane nferaiautreius t ise	-||-⌫|----|----|---⌫-⌫--|
atantsa s s ist esimanga	----||-⌫-⌫-⌫--||-|----|
e liua letztan tcheuaucha	|-|--⌫---|---⌫|--------|
quiluitunca rbonerue nant	-|-|--|-|--⌫-----|--⌫---|
unasn edeuantlim enant	-|---⌫|-----|-|-⌫----|
u ilainfait ilenseignez	-⌫----|---|-|--------|
q uil asnemeinesdeuanttoi	-⌫-||---|-----|-----|--|
la plusdroiteuoieacardo il	-|---|-----|---||-----⌫-|
li reisa rthu r qui	-|---|-⌫----⌫|--|
ueeiru oil	----|-⌫--|
il faitcheual er sceodist	-|---|------⌫--⌫|--|---|
ualet f ait ilenicestsen	----|-⌫--|-|-|----|--|
est l i chastealssurmera ssis	--|-⌫|--------|--|--|-⌫---|
le r eia rthurbel douzami s	-|-⌫-|-⌫----|--|---|---⌫|
dolent it roueras	-----||-⌫------|
chastelsi tui	------|-|-||
ore m enredir rast onuoel	--||-|-----⌫--|-⌫-|---|
dequei lir ois fait i oie	-|---|-|-⌫--|---|-⌫--|
ieo le te di rraifaitilmout	--|-|-|--⌫---|---|-|---|
lireisar thursa totesost	-|---|--⌫----||---||--|
alr oy r ion	-|-⌫-|-⌫--|
liroisd es ysle s fuuencu z	-|---|-⌫-|----⌫|-|-----⌫|
deceoestli rois	-|--|--|-|---|
arthurs multl ez	------|---|-⌫-|
ses c ompa ignonsmo ut	--|-⌫----⌫-----|--⌫-|
q uial chast e l sedepartire nt	-⌫-|-|-----⌫-⌫|-|---------⌫-|
meillorsoiouru iren t	------|-----|-⌫----⌫|
n ilnesiet	|-|-|---|
coment illur	-----|-|--|
deceoest lido el sq ue li	-|--|--|-|--⌫--⌫|-⌫-|-|
le ualetne priseu ndenier	-|----|-|----|-⌫|-----|
lesnouelesal carbo nier	--|------|-|-----⌫---|
forstan tq ueen la	---|---⌫--⌫-|-|-|
celepart o uil li moustra	---|---|-⌫|-|-|------|
tantque desurmer uit un	------|----|--|--|-|
mult bien seantegentebe l	---|---|----||---||--⌫|
e uit is s irparmilaporte	|--|--⌫-⌫-|----|-|----|
u nc heualer qui emporte	-⌫|-⌫------|--|------|
une c upe dor ensamain	--|-⌫--||-|-|-|---|
sal ance tenoit esonfrain	-|-⌫---|-----||--|----|
eson esc u e n	|--|---⌫|-⌫|
la senestre	-|-------|
enla dest re	-|-|----⌫-|
e sesarmesbien liseo ient	|--|----|---|-|---⌫---|
quetot e suermailles estoient	--|---⌫-⌫|---------|-------|
liualet uitles armes b el es	-|----|--|--|----|-⌫--⌫-|
qu ifurentfresche s enoueles	--⌫|-----|-------⌫||------|
silipl a is eien te dist p arfoi	-|-|--⌫-⌫--⌫----⌫||---|-⌫-|--|
cesdemanderai ieoleroi	--|---------|--|-|--|
endon e bel m en	-|---⌫|--||-|
e dahe zertquiautres	|----⌫|--|--|-----|
ata nt uer sle chastelsencou rt	---⌫-|---⌫|-|------||-|---⌫-|
quetar tlies tqu iluiegne	--|---⌫|-|--⌫|-|-|-----|
tantquepresdelcheualer	------|---|--|-------|
cheualersli retint	--------|-|-----|
sili dema n da	-|-|----⌫-⌫-|
o u irrastu u aletdiua	-⌫|----|-|-⌫---|---|
i eo uoilf aitil acortaler	-⌫-|---|-⌫--|-||---|---|
alroi uosarme s dem and e r	-|--|--|----⌫|---⌫---⌫-⌫|
ualet fait iltuferas	----|---|-|-|----|
uadonctoste tostreu ien	-|---|---||---|---⌫--|
etant dirr asal maluais roi	|---|----⌫-|-|------|--|
quesil neui elt t enir	--||-|-|--⌫--|-⌫---|
saterreq u	-|----|-⌫|
i llamere nde	-⌫|-|-|--⌫--|
ou il enuoitqui	-|-|-----|--|
l ade fende	-⌫|--⌫----|
uersmoiqu i diqu eeleest moie	---|--|--⌫|-|--⌫|--|--|---|
acesens eignes tecroie	|--|---⌫-----|-|----|
liprisoreend reit	-|---|------⌫---|
od tut leuin	-|--|-|--|
quil beueit	-|-|-----|
ceste cu pequeieoemport	----|--⌫-|--|--|-----|
autr equiereque li	----⌫|-----|--|-|
m ot entendu	-⌫-|------|
i esqu alacurtnade ntend u	-⌫---||-|---||-|-⌫-----⌫|
ouliroi seli cheualer	-|-|---⌫||-|-------|
estoien tassisalmangier	-------⌫|----|-|------|
la sale fua terreaua l	-|---|-||----|---⌫|
eliual etzentreacheu al	|-|---⌫--|----||----⌫-|
en lasalequeest pauee	-|-|---|--|--|----|
elonge atantcomelee	|----|----|---|--|
eliroisarthur sest	|-|---|-----||--|
al chie fdune tablepensifs	-|----⌫||--|----|------|
cheualer parloent	-------|-------|
u n alautregaboen t	-⌫|||----|------⌫|
p urceoquilert pensifse muz	-⌫-|--|-|-|--|------||--|
liuasletzesta tantu enuz	-|------|--|-⌫---|-⌫---|
nen es ietliqu el	-|-⌫|-⌫--|-|--⌫-|
quedel roimiene	--|--|--|--|-|
tantqu eyoneccont re	------⌫|----|----⌫-|
qui un cultel	--|-|-----|
e nsamai ntint	-⌫|-|---⌫|---|
ualetf aitil tuquic a ui ens	----|-⌫--|-|-|--|-⌫|--⌫--|
quicestcotelenta	--|---|----|-|-|
ma intiens	--⌫-|----|
mustr emoil iqu i els estl irois	-----⌫|--|-⌫|--⌫-⌫--|--|-⌫|---|
yonetzqui mu lt fu	-----|--|--⌫-|-|
lidistamisueez lela	-|---|---|---|-|-|
ecil tant ost uers li	|--|----⌫--|---|-|
sal uasicom	---⌫-|-|--|
li reis pens aened istmo t	-|---|----⌫||-|-⌫--|--⌫|
ecilautrefoiz	|--|----|---|
la rai sone	|-⌫---⌫---|
li roispa nsaemotne	-|---|--⌫--||--|-|
dist li ualetado nque s	---|-|----|---⌫----⌫|
cistreis n e	---|---|-⌫|
fistcheualeronque s	---|-------|-----⌫|
quantlapa rolenenput	----|-|--⌫---||-|--|
comentporrei t cheualerfaire	-----|------⌫|-------|----|
tantostdelretornersatorne	------|--|-------||-----|
lechiefdelchac eo r torne	-|----|--|----⌫--⌫|----|
mais sipresdel roilout	---|-|---|--|--||--|
enguise dome mal sené	-|----||--|---⌫----|
quedeuantli	--|-----|-|
s anznule fable	-⌫--|---|----|
liabati ensonlatable	-|----|-|--|-|----|
del c hie funcha pel de bon et	--|-⌫---⌫|-|---⌫--|-|---⌫-|
li rois torneuersleuale t	-|---|----|---|-|----⌫|
lech ef qu i ltenoitba issé	-|--⌫-|-|-⌫|-----|--⌫----|
si a dtutsonpense	-|-⌫|--|--|----|
edist bealfrerebien	|---|---|----|---|
priuosq uea	--|--|-⌫-||
malneltei gne z	--|-||---⌫---⌫|
ceoqueauostr e salume toi	--|--||-----⌫|---|-|--|
quer i en resp ondre	--|-⌫-⌫-|----⌫----|
quelepi reen emi queieoaie	--|-|--⌫-|--⌫--|--|--|--|
quiplusmehiete plusm	--|---|-|---||---||
m adsimaterrecontredite	|-|-|-|----|---------|
etantest fols que	|---|--|---|--|
dist q uill aue rauoil le ounon	---|-⌫|-||---⌫-|----⌫-|-|--|
li uermeilscheualer sa non	-|-------|--------⌫||--|
d ela forest de quinqueroi	-⌫|-|-----|-|---------|
e la reynedeu ant	|-|----|---⌫--|
esteit ci uenueseer	-----|-|----|---|
purconforterepuru eer	--|--------||--|-⌫--|
cescheuale r s qui	--|-------⌫-⌫|--|
so ntblescé	--⌫-|------|
nemeust guere sc oru cé	-||---|-----⌫|-⌫---⌫--|
l i cheua ler	-⌫|-----⌫--|
de quantquil dist	-|------|-|---|
maisdeua nt m oimacupe prist	---|----⌫-|-⌫-|-|---|----|
