la u ctoritenosdituneraisonpor uoir	|-⌫-⌫------|--|--|--|-----|--|---|
kemal que porluitrait sont tu i t plei m d e	-|--|--|--|--|----|---|--⌫-⌫|----⌫|-⌫|
lap os t rese d espoi ll e uoia nttouz enramment	|--⌫--⌫-⌫-|-|-⌫-----⌫--⌫|----⌫-|---|--------|
sies tentr ez	-|--⌫|----⌫-|
elb aigmont deb onairement	-|-⌫--|---|---⌫---------|
secon mandequ ilfistlefirm ament	-|---⌫----|--⌫-|---|-|----⌫----|
mesomques n i senti	--|-----|||----|
net orment	-|-⌫-----|
commentuos es tdanz mestre sfait litir an z	------|--|--⌫|---|------⌫|---|-|---⌫--⌫|
iecui doie quecuiz	-|---⌫---|--|---|
etboillanzfus sieztouz	-|-------|---⌫---|---|
dexgrace f aitlapostreainzm	--|----|-⌫--||------|---||
e stcistb ainz	-⌫-|---|-⌫---|
keencorne m est le cuir	-|----|-||--|-|---|
neentamezne rouz	-|------|-|---|
a malempereor ennuie mo nt	|--|-------|-----|--⌫-|
qui conuoiteformen tqueliapostrear de	-||-------|------⌫|--|-|------|--⌫-|
sai nze speriz lesa u ueet tientengarde	---⌫-|-⌫-----|-|--⌫-⌫-|-|----|-|----|
ke cascunsquil le uoitamer ueil lesl esgarde	-|------|---|-|---||---⌫----⌫--||------|
ewangelistes que	-----------|--|
cascuns lesgar doit	------||-----⌫---|
et quetuit	-|--|---|
s emeruei llent decen queil n a rdoit	|-------⌫----|-|--|--|-||-⌫----|
oi ant t ouzque	--⌫--|-⌫--|--|
cildi eulegard oit	--|--⌫-|-|----⌫--|
to uzpec heo rs lamen da n cheatendoit	--⌫-|---⌫---⌫-||----⌫--⌫-⌫--|-------|
bo negentlap ostre chil me s ostient en	--⌫-|---||--⌫----|---|-|-⌫------|-|
quideuos asauuera	--|-|--||-----||
me ssecelepitiezn est	--⌫|-|---|-----||--|
paruosdeseru ie	--|--|------⌫-|
enlafosseenter re zdolente et aseruie	-|-|----|-----⌫--⌫|------|-|------|
empe rerefait	----⌫---|---|
ilmontp arest durstesc uers	-|---|-⌫-|--|---|--|-⌫---|
liennemis te	-|------|-|
meinneatouzue nzatouzfuers	-----||---|--⌫-||---|----|
faid ieuet te honoretgetecel	--|-⌫--|-|-|----|-|---|--|
mal fue rs	--|---⌫-|
ketro p sera sd estr uitsetue n ces t	-|---⌫|----⌫|-⌫----⌫--|-|-|-⌫|---⌫|
pointmuers	----|----|
noirr ons cuidaseint pierreencrucefiantnuire	-----⌫--|----|----|-----|-|---------|----|
cuides me tu a usipartesto rmensdestuire	-----|-|-|-⌫--|--|--|--⌫----|-------|
neniluoirquenulchar	----|---|--|--|---|
bo illirnecu i re	--⌫----|-|--⌫-⌫-|
d ie uneweultsoffrir que nc estmartire muire	-⌫--⌫|-|----|------|-|-⌫|-⌫--|------|----|
lemperereresp ontse	|-------|----⌫--|-|
nem uerspar cestu i	-|-⌫---|--|-----⌫|
iaien core untel	|-|--⌫---|-|--|
boirequa u ez	----|-||-⌫-|
toncorsest ui	--|---|---⌫-|
etse tucelui	-|-|-|----|
boissanz torm e nt	---|---|----⌫-⌫-|
dontna uras tu mesga rde	---||-⌫---|-|--|--⌫--|
ne d atru i	-||----⌫|
sa insxm e stissu fors dela	--⌫--|-|-⌫-|---|---|-|-|
cuu enoire	---⌫|----|
dist aufelontir an tfaitesuenir celboire	---|-|----|---⌫--⌫|-----|----|--|----|
etque r woulsissezapresausitostcroire	-|---⌫|---------|----|---|---|-----|
congen auraibeu sanzsante	--||-|----|--|---|----|
r e croir e	-⌫-⌫-----⌫|
kequesoi tordel	----|---⌫|-|--|
croir efaitli	-----⌫|---|-|
tiranscrueuz	-----|-----|
feraito tp remier boiretoz deuanttoia	----|--⌫|-⌫-----|----|--|-----|--||
s i er ezdelcroi ie plusdouteuz	-⌫|--⌫-|--|---|-|---|------|
qu erl entos q uee stmon tmaleet liuenins	--⌫-||-----⌫-⌫-|-⌫-|---⌫|---|-|-|-----|
atant fa it deuant lui	----|--⌫-|-----|--|
amener enlasale	-----|-|-|---|
yy hommesetl	-|-----|-||
e stostquequilmont est laideet	-⌫-------|---|---|--|----|-|
commecas c unsemboi tpoint	----|---⌫-⌫--|-|---⌫|----|
les sou prentl iue ninsetl aide	--|---⌫----|-⌫|--⌫---|-|-⌫---|
mort et paille	---|-|-----|
orpuez boiref aitcil quicrueltezsemon t	-|---|----|-⌫--|--|--|-------|-----⌫|
etse i ntiohan regar depuisritetsil	-|--⌫-⌫-|----|-----⌫-|---|--|-|-||
rre sp ont	---⌫--⌫--|
ors achi ez	-|-⌫----⌫-|
quecildiupetit	--|--|--|----|
esmai é mont	-----⌫-||--|
k eriesu ien	-⌫-|-|--⌫|-|
la gardeceldieuquilfist	-|----|--|---|---|---|
puis sia li uaisse l ouli	---|-||-|------⌫|-|-|
ue ninsiert pris	--⌫---|---|---|
dist al empereorcheste entostque	---|||-------|-----|--------|
lisiresdonties ui alume z etespris	-|----|---|-|-⌫-|-----⌫|-|-----|
mabonco niurementcont resa forche	||--|--⌫--------|----⌫-|-|-----|
fetlem perer e	--||--⌫-----⌫|
iewo il totenranment	-|--⌫-|--|--------|
o i ret taparol e e tten co uinnement	-⌫-⌫|-|-|-----⌫|-⌫|--|--⌫--------|
keriecroiquechesoitt outpa r	--|-|---|--|--|---|-⌫--|--⌫|
enchantement	-----------|
qanttu meinnesmompue pleetmoi	---|-|------|--|---⌫--|-|--|
s i maleme nt	-⌫|------⌫-|
c her te sfa itsein tiohanissile uo il	-⌫---⌫--⌫|--⌫-|----⌫|----|---|-|--⌫-|
ore o ie zmonc h arne	--|-⌫--⌫|--|-⌫-⌫---|
e t l en chantementt out	-⌫||--⌫---------|-⌫--|
ian iert ti	-||---|-|
uenins ne si fort ne	-----|-|-|---|-|
si esto ut	-|----⌫-|
quepa rlauertu dieu ne	--|--⌫|-|----|---|-|
so itiatout dero t	--⌫-|-|---|----⌫|
enordelseig norquiltot criaetf ist	---|--|----⌫--|---|--|---|-|-⌫--|
etd elau irge dameemquich ar	-|-⌫|-|-⌫---|---|-|--|--⌫-|
etsancpr ist	-|---|--⌫--|
t e coni urie uenins c	-⌫|----⌫-|-|-----||
estde dieu	--|-|---|
ihesucrist	----|----|
ketu malne me fachesdeuantcest	-|-|--|-|-|-----|-----|---|
an tecrist	--⌫------|
en lenor delseignor qu	-||---|--|------|-|
ilara menteu	-||--⌫-----|
fait croiz	---|----|
susl ewaisseilpuis	--|-⌫|-------|---|
l atotfors	||--|---|
quiln ena c hief neb rasne cors	-|-||-||-⌫---|-|-⌫--|-|---|
ne mai nmeu	-|---⌫|--|
a merueillelesga rdent tuit cilquill	|--------||----⌫----|---|--|---||
meism ele mpereres	-----⌫||-⌫------||
en e smerueille fort	-|-⌫---------|---|
q u il le uoitor plusseim	-⌫|-|-|---|-|---|---|
p lus uermeiletplusf ort	-⌫--|------|-|---|-⌫--|
etplus b ellpar	-|---|-⌫--|--|
semblantet de meillor confort	-------|-|-|------|------|
ildistoian t	-|---|----⌫|
touzque certu ns	---|--||--|-⌫-|
honss anzmort	---|-⌫--|---|
cest chil qui dex auoitpa rtout	|--|---|--|--|----|--⌫|---|
asse ur é	----⌫--⌫-|
emperereasoi	-------|-|-|
petital ipoiers d e	----||-⌫|-----|-⌫|
ton uenim duré	--|----|----|
tropesde lenn emi	---|-|-||---⌫--|
lecuer clos etmur é	-|---|---|-|---⌫-|
messetutewol oiez	--|-|-|-|---⌫---|
recroiredeta perte	-------|-|-|----|
par te ns temons t eroieun e mirac leaperte	--|--⌫-|-|----⌫-⌫----|--⌫|-----⌫-|-----|
aiezendamledi euf ermecreancheetce rt e	---|-|-------⌫-|-⌫---|-------|-|--⌫--⌫|
etlit ira nsres pont ornos sarmone	-|-|-⌫---⌫-|---⌫---|-|--|------|
tes sarmonsn e mefait	--|------|-⌫|-|---|
fo r s le chief	--⌫-⌫|-|----|
weuzme tuau tre loiquela moie donner	---|-|-|--⌫--|--|--|-|---|-----|
entel l ie ute feraiparten s	-|--|-⌫--⌫|-|----|--|---⌫|
emprisonner	----------|
porras toutse ulz	-----|---|--⌫--|
l onguement sarmon ner	-⌫--------|------⌫--|
certesfaitliapost re s	-----|---|-|-----⌫--⌫|
iedout poit a p riso n	-|---|--|-⌫|-⌫----⌫|
loi adieunulleriennepr ison	--||---|----|---|-|--⌫---|
trop tamis	---|||--|
l enn emisacr uelmesprison	|---⌫---||--⌫--|--------|
ka n tiln aen toicuerned ouchor	--⌫-⌫|-|||-|--|---|-|-⌫-----|
li pu eplesquill a iert liuaitcriermer chi	-|--⌫----|---|-⌫|---|-|---|----|---⌫--|
sire proie at ondie udesyymo rs	---|----||-⌫-|---⌫|--|-|--⌫-|
quilsontchi	---|---|--|
puisses ta genoilliezuo ianttouzsanzdetri	---||--⌫|-⌫---------|--⌫---|---|---|----|
si tostcommel isainss e	-|---|----|-⌫|----|-⌫|
f umis agen o ux	-⌫|--||---⌫-⌫-|
ses m ainsio inst puisdist	--|-⌫---|--⌫---|---|---|
dexihesu c ri stperedoux	--|----|-⌫--⌫-|---|---|
rentacesyy lesu i esqueueninsa	---||--|-|--|-⌫-⌫-|--|-----||
feilquil des perezest tou x	---|---|---⌫----|--|---⌫|
dexquisapa role	--|--|-|--⌫---|
aoieet entendue	|--|-|-------|
desyymorslauie	--|-|---|-|--|
elcorsrendue	-|---|-----|
etseinti ohanlor r a sadest remaim t e ndue	-|----|-⌫---|--|-⌫|-|----⌫-|---|-⌫-⌫---|
p uisf upar ca scun s deuzl a loi di eudefendue	-⌫--|-⌫|--|--⌫----⌫||--|-⌫|--|--⌫-|-------|
astufetsai nt	-|-|--|---⌫-|
iohanen c o rap erche u	----|--⌫-⌫-⌫|--⌫-----⌫|
conmenttuasestélonguementdecheu	------|-|-|----|---------|-----|
etnas tu cesdeuz	-||-|-|--|---|
morsresuci te z ueu	---|------⌫--⌫|--|
e tlemperereemb la sis est tou tcoi teu	-⌫||-------|---⌫-|-||--|---⌫|--|--|
faitdomitianusieuoi	---|---------|-|--|
et entent bien	-|-----|---|
ketu esenchanterre	-|-|-|----------|
plei nsdemaletd	----⌫-|-|--|-||
sin eprist aparole ne toi plus que	-|-⌫|---|-⌫|-----|-|--|---|--|
ainzhaz ettoiet tonsar mo nce	---|--|-|--|-|--|---⌫--⌫|-|
est sor to ute ri e n	--|--|--⌫--|--⌫-⌫|
tuasmontcontremo i	-|-|---|-----|--⌫|
faitiles téiohan	---|-|--⌫--|----|
s i t en feraisoffrirennui	-⌫||-|----|------|----|
peine et ahan	----|-|---|
enliulaitetestrangeferas	-|--|---|-|-------|----|
mes ton aha n	--|--|---⌫|
nen is trasdep a r	|-|--⌫---|-|-⌫-⌫|
monciefdecestan	--|---|-|---|-|
pathmo scom mandec o nleme i gne	------⌫|---⌫----||-⌫|-|--⌫-⌫--|
so itenf erse tdemoreetremai gne	--⌫-|-|-⌫--|-⌫|-----|-|-----⌫--|
sainz honsetsainzserianz etsanzpoin t de	----|---|-|----|------|-|---|----⌫|-|
co mpaigne	--⌫------|
au par t ir delauillecroi	-|---⌫-⌫-|-|-|----|---|
quemainthommelep laigne	--|----|----|-|-⌫-----|
aupa rtir de lauille	-|--⌫---|-|-|----|
le p lorerent ma int	-|-⌫-------|--⌫--|
hafa itil bonegent ihesu	-|--⌫-|-|---|---|----|
c rist quihaut	-⌫---|--|---|
uos la isttes ou uresfaireq ue	--|--⌫--|--|--⌫---|----|-⌫-|
enz eschiel z u o s maint	--|-|-----⌫|-⌫-⌫|----|
etlaboneg entdient	-|-|---|-⌫--|----|
siree tiluosram aint	---|-⌫|-|--|---⌫---|
enprisonestmenez enlislede	-|-----|--|----|-||---|-|
et fistetescri st sibea xmos	-|---|-|-----⌫-|-|---⌫|--|
de l seintapocalixedontli sens e s t s i	--⌫|----|--------|---|-|---|-⌫-⌫|-⌫|
k apei nne lo senu sdesp ondre forsqu	||---⌫--||-⌫-|--⌫|----⌫----|-----|
lis a inzewangelisteen celeisle demeur e	-|-⌫-⌫--|----------|-|---|---|------⌫|
pordouco rporp echiexautrui pechiezipl o re	--|-----⌫|--|-⌫-----|-----|------||--⌫-⌫-|
etprie ihesucri stquil	-|---|----|---⌫-|-|-|
mai ntiegneets ec or e	---⌫------|-|-⌫--⌫--⌫|
t ouzcheu z q ue	-⌫--|----⌫|-⌫-|
il auoit sarmonnéparmain teeure	-|----|--------|--|----⌫-|---|
lapo calixe	|---⌫-----|
faitde laraisondeuine	---|-|-|-----|-----|
etparolededieu etdeseintecou uinne	-|-----|-|---|-|-|-----|---⌫----|
sein sesperiz	----⌫|------|
liaprentetdoctrinne	-|-----|-|--------|
chenqu i b ut	---|-||-⌫-|
chein nesorla seint epoitrinne	-----⌫-|--|-|-----⌫|--------|
chil esc ri stqu illau oi t lasus e s chieulzest é	---|---⌫--⌫-|-|--|--⌫--⌫|----|-⌫|------|---⌫-|
etq uilauoitue udedieu	-|-⌫|-|----|--⌫|-|---|
en sa maies te	-|-|-----⌫-|
e tlapleintedesa ngresentorsa	-⌫|-|------|--|-⌫----|----|-|
laaprista p arlerdela diuinit e	-|-----||-⌫----|-|-|-------⌫|
montn osfu bon	---|-⌫-|-|--|
mestr esquiil lu equesl ap ri st	-----⌫-|--|--⌫--⌫----||--⌫--⌫-|
etqu auesseinte ygliseenennorerla	-|-||--|-----|-----|-|------|-|
n el eustditnulautr es nel desi st	-⌫||---|--|--|----⌫-|-||----⌫-|
n ecest e grantbonte nu lautre	-⌫|----⌫|----|----|--⌫|----|
nefe ssist	-|--⌫----|
nosseinte ygli se enass oagement	--|-----|----⌫-|-|---⌫-------|
son do rmir etso nboir ees pandi	--|--⌫---|-|--⌫|----⌫|--⌫----|
d ouchem ent	-⌫------⌫--|
ke rla diuinite	--⌫|-|-------|
espan didoucement	-----⌫-|--------|
q ui touziorsiertsanzfin et	-⌫-|---|---|---|---|--|-|
sa nz co nmen che ment	--⌫-|--⌫----⌫---⌫---|
qu ausi conmeli	-|---|----|-|
leu a insestconforsa	---⌫-⌫--|--|------||
r ent sa uoirsein teygliseladiuinitechaste	-⌫--|--⌫---|----⌫-|-----|-|-------|-----|
ke liapos tres b utlese intpizen	-|-|----⌫---|-⌫-|-|--⌫--|--|-|
qu ele ne demorastesfreenegaste	-|--|-|-------|-----|-|----|
kerbienfustse int e yglis ewide etwainneet ga stee	--|---|---|--⌫---⌫|-----⌫|---|-|-----|-|--⌫---|
se ilneus tbeula fonta inneetusee	-|-||---⌫|--|-|-----⌫---|-|---|
parq uilwirginitezf utozi ors amonte e	--|-⌫--|---------|-⌫|--|-⌫--|------⌫|
etl agen tm es creantconu e rti e etdantee	-|-⌫|---⌫|-⌫--⌫-----|----⌫-⌫---⌫|-|-----|
c hil quill e seint piz	-⌫--|---|-⌫|----|--|
ihesucris t rep osa	----|----⌫|---⌫--|
lewraiapocalixefist enl	-|---|--------|---|-||
isle etglosa	---|-|----|
seinte c h ose pardedenzenclos a	-----|-⌫-⌫--|--|-----|-----||
quenusn e lesou ttoutdespondre ne n	--|--|-⌫|-|---⌫|---|--------|-||
ha de xtantbonfu n é	-|--⌫|---|--|-|-⌫-|
sigrantmerueille	-|----|--------|
quebouche n ose direne esc ou ter orreil le	--|-----||--|---|-|---⌫--⌫--|------⌫-|
parceldigneco nseilsortet	--|--|----|--⌫----|---|-|
pluetet rousei lle	----|-|------⌫--|
libiensdont seinte yglise se	-|----|---|-----|-----|-|
gouuerne e t co nseille	-------|-⌫|--⌫------|
bien d estruist lennemietbienl	---|-⌫-------||-----|-|---||
amenuiss a	--------⌫|
cilsainzquil sain teyglise sainteme ntagu issa	--|----|---|----⌫-|-----|--------⌫-|---⌫---|
de la s eintefontainne dontilbutetpui sa	-|-|-⌫----|--------|---|-|--|-|---⌫-|
par q uoicrestiente	--|-⌫--|---------|
maint bien eupuisa	----|---|-|---||
uir ginite soleuxdeseinte yg li se	---⌫-----|-----|-|-----|--⌫--⌫-|
umili te oisseauxenautregu isse	-----⌫-|-------|-|----|--⌫---|
hom sanz m alperas	--|---|-⌫-|--|-|
angresapo stres pardeuise	-----|---⌫----|--|-----|
estchil ewa ngelistesqua droit cercheet guisse	--|---|---⌫--------|-||----|-----|-|-----|
f l ordeuirg inite depr ecioseodor	-⌫-⌫-|-|----⌫----|-|--⌫-----|---|
t out d autel emaniere et d	-⌫--||-----⌫|------|-||
autelec olor	-----|-⌫---|
con meestla uirgeflor lame r e	---⌫-|--|-|----|---|-|--⌫-⌫|
e t estlisa insquitant f iste td	-⌫|--|-|--⌫--|--|---|-⌫--|-⌫||
a moretd onor	-⌫--|-||---|
dame mesnecroiezqueiecro ienestriue	---|--|-|-----|--|-|---⌫-||------|
n eianecuider aia n ulior	-⌫|-|-|------⌫-||-⌫-|--|
kedetou tes	-|-|---⌫--|
wallorsnesoiez	------|-|----|
fonsetriue	---|-|---|
etsecors depiti eouespera ncheauiue	-|-----|-|----⌫|-|------⌫---|----|
m er edieumes onpuetbien	-⌫--⌫|---|--|-|---|---|
mesprendre	---------|
k enuost re cierneue u nout omques querepre ndre	|-|----⌫-|---|----⌫||--|-----|--|-----⌫---|
chi l qui and euz uos fist	---⌫|--|---⌫--|--|---|
d uneuertuespren d re	|--|----|------⌫-⌫-|
u osuout dunemanierees cuers	-⌫-|---||--|------|-|----|
p orter et prendre	-⌫----|-|------|
m es ne croienu sque i aiede	-⌫-|-|----|--⌫|--||--|-|
riensmespris	----|------|
kerencorfuuos n iers de	--|----|-|--|-⌫---|-|
uo uertuespris	-|----|-----|
etenaute lm an iereeschielzpor téetpris	-|-|----⌫|-⌫--⌫---|-|-----|---⌫--|-|---|
qu i l n est t euz nede sitreshaut	-|-⌫||--|-⌫--|-|-|-|---|---|
kerau ost re wallornule ne sac ompere	--||-⌫---⌫-|-----|---|-||--⌫-----|
ihesusuose st escieulz	-----|--|-⌫-|-|-----|
sicon me filetcompere	-|---⌫-|--|-|--|---|
etuosluico nmefilleet conme dameetmere	-|--|--|--⌫--|----|-|----|---|-|---|
et sei nt iohans coisinsetnier s et	-|---⌫-|-----|------|-|----⌫|-|
filze t fr ere	---|-⌫|--⌫--|
nostreseign o rsi llendoit bienmelzestre	-----|-----⌫-⌫|--⌫||-|---|---|---|----|
etsestcoisins germainsa dieu le	-||--|------|-------||---|-|
roicelestre	--|-------|
etq uantuofilpendirentgieuf el on r ubestre	-|-⌫---|-|--|--------|---|-⌫--⌫-|-⌫------|
fu uostreni ers	-|-----|--⌫--|
etfilx etgard e	-|---|-|----⌫|
ewangeliste s conmeieuosdeuis	-----------⌫|----|-|--|----|
nepl usdou z ne	-|--⌫-|---⌫|-|
plus seinsnes tnus ce	---|----||--⌫|--|-|
mest aui s	|--|---⌫|
e nl isledepathmos iertpouurement	-⌫||---|-|------|---|---------|
tant co nmed omicie nslempererefu	---|--⌫--|-⌫------⌫-||-------|-|
mesquan tl i	--|----⌫|-⌫|
de sloiaux empereref u mors	--⌫------|-------|-⌫|---|
l i hauthon m ed	-⌫|---|---⌫-⌫||
epheseetl iconmunsacors	-----|-|-⌫|------|----|
e nu oierenten lislepor c eluitrai r efors	-⌫--⌫------|-||---|--|-⌫---|----⌫-⌫|---|
li sainsestoitenour e en ame	-|----|-----|-|---⌫|-|--|
a u seint ewange listres on tuenulimes age	-⌫|----|------⌫-----|-⌫--⌫|---|-|---⌫--|
forsdes buies lontmisetrefait lepassage	---|--|----||--|--|-|-----|-|------|
l apoc alixeemporte ouelui	|----⌫----|-|----|--|--|
tantestsage	---|--|---|
ou ila u oite scriptemain thautmotet	-|-|-⌫-⌫--|-⌫------|----⌫|---|--|-|
mai n tsag e	---⌫-⌫|---⌫|
uersephese senuaittoutsicomen l	---|-----||-|---|---|-|--|-||
en me inne	-|--⌫---|
co ntreluisontuenu	--⌫---|--|---|---|
conteetprinc heet dem einne	----|-|-----⌫-|-|---⌫----|
licon munsp uepleq ui	-|---⌫---|-⌫----|-⌫-|
gran tioiee ndemeinne	----⌫|---|-⌫|-------|
etmontgr acientdieu	-|---|--⌫-----|---|
c omlorreme inne	|-|--|----⌫---|
s i t ostcomsaintiohanfuentreze n	-⌫|-⌫--|--|----|----|-|-----|-⌫|
siencontre unebiere que mdeuantluiaporte	-|-------|--|----|-|-⌫|-----|--|-----|
ilde mandequece stsire unefamem orte	-|--⌫----|--||-⌫-|---|--|---|-⌫---|
druc ianetam iequi creanc heiert morte	----⌫---||--⌫-|--|------⌫-|---|----|
hafaitil estcen	-|---|-|--|--|
dontdrucianema mie	---|-------||-⌫--|
oilfa itseilepueplesne lmes creezuos	--|--⌫-|--|-|------|-||---⌫----|--|
piec haque dedieu croire nefuior e ndormie	----⌫-|--|-|---|-----|-|-|--|-⌫------|
sireorimettamain nicreon s autr e	---|-||--|-|---|||-----⌫|----⌫|
seignorsfait s ei nt	-------|---|-⌫--⌫-|
iohans gene fac pas	-----|-|-|--|--|
mescilquiau piller	--|--|--|-|-----|
fu liezet batuz	-|---|-|----|
etquitrais t	-|--|-----⌫|
fors denfer les chaiti fz abatus	---||----|--|------⌫-|-----|
sorqui lihuisestoit serre ́ et	--|--|-|---|-----|-----⌫|-|
neporquantporpitieetpor uostreproiere	---------|--|----|-|--|-----|------|
etq ueleestoitmamieespe cialet	-|-⌫|--|-----||---|----⌫---|-|
preraiih esucris tdewolent eentie re	-----|--⌫--|----⌫|-|------⌫|-----⌫-|
k ele n ait me s mest ierde	|--||--|--⌫|----⌫--|-|
lins el n ede biere	----⌫-|-⌫|-|----|
agenoilliezsesttoutlipuep les	----------||--|---|-|----⌫--|
et lisains	-|-|----|
lapostrep rie adieude	|------|-⌫--||---|-|
io intsesmains	--⌫--|--|----|
sire soffrezfaitil que ci stco rs	---|------|---|-|--|--⌫-|--⌫-|
r esoi t plein s	-⌫----⌫|-----⌫|
et d euieetdenfertet ouzsains	-|-⌫|--|-||------|-⌫--|----|
chelesaut esfree	----|---|-----|
quiquide a u oird ormi	--|----|-⌫-⌫--|-⌫---|
ent orliuait	---⌫-|-|---|
l ipu eple deg rantio i eestormi	-⌫|--⌫---|-|-⌫---|--⌫-⌫|------|
ne porqu antseintiohanconutet entendi	--⌫-----⌫--|----|----|----|-|------|
a sen ostela la omques	|--|----|-⌫-|-----|
plus natendi	---||-----|
a lapostre achele	||------||----|
lagenta sarm onnéet	-|---||----⌫----|-|
mai ntenue	---⌫-----|
et t antlora	-|-⌫--|--||
blasmélor grant	------|--|----|
des co nuenue	---⌫--⌫-----|
ke desmorteux	-|--|------|
pechiezles des p oilleetdes nue	------|--|---⌫-⌫----|-|---⌫--|
delor smort expec hiez l esdesnueet	-|---⌫|----⌫-|---⌫---|-⌫-|-----|-|
sique niaceluiqu i	-|--||||----|--⌫|
iamai s pechier	-----⌫|------|
etque de se smesfai z nesere p e nt e	-|--|-|--⌫|------⌫|-|-|--⌫-⌫-⌫--⌫|
si faitlorsporriz arbres florir	-|---|---|-----|-----|-----|
etp orterfoille	-|-⌫----|-----|
cert esces tbe lm iraclecildoiuent	----⌫-||--⌫|--⌫|-⌫-----|--|------|
etsauoirtu it	-|-----|--⌫-|
qui fait arbre sporri zporter fo i lleflore t fruit	--|---|-----⌫|-----⌫|-----|--⌫-⌫--|---|-⌫|----|
cheso ntlors grantpech iesiconmeiecroi	--|--⌫-|---|----|----⌫-|-|----|-|---|
quiso r lorscors estoientendurchiet recuit	--|--⌫|---|---|-------|-------|-|-----|
unior estoit	-|--|-----|
ale z s eintiohansen sarmo n	---⌫|-⌫---|-----|-|-----⌫|
enunegr a ntchite do ntiene s ai	-|--|--⌫-⌫-|----|--⌫-|-|-|-⌫-|
lauintum iouenchel de montbelefac hon	-|---|-|--------|-|---|---|---⌫--|
so iezdistme sfi x si nauras	--⌫--|---|--⌫|--⌫|-||----|
kan tlien feslententsiconmenchaarir e	---⌫|-|--⌫--||-----|-|--------||---⌫|
dit uos fil woil ie	--|--|--|---|-|
bienestre bel	---|----|--|
kernusenfenznedoitsibonpere	--|--|-----|-|---|-|--|---|
esc ondire	---⌫-----|
l apostre sagrantioi e decenque	|-------⌫||----|---⌫|-|--|--|
puis uient al	---|----|||
enue squ elenffanchon neitl ibaille	----⌫---⌫||----------⌫---|-⌫|-----|
decestenffez u os	-|---|-----|-⌫-|
fait il seignor etbaille	---|-|------|-|-----|
et sel fai tezaprendreal	-|-||---⌫--|-------|||
escolesanz fail le	-----|---|----⌫-|
keriecuit enuersdieuamaint	--|-|---|-----|---||----|
hommeencor wail le	----|----|----⌫-|
lenuesquep rent l e ffan t etcillibaillesa	|-------|-⌫---||-⌫----⌫|-|--|-|-----|-|
m ontlewoits impleetbel de doux estre	-⌫--|-|---|-⌫----|-|--|-|---|----|
apre nt etdo ctrin nesouuent etsoiret main	----⌫-|-|--⌫-----⌫-|------|-|---|-|---|
bienlai n meautantou	---||--⌫-⌫-|-----|-|
plus consoncou sin germain	---|--|--|---⌫--|------|
lisains ewangelistesne	-|----|-----------|-|
ne fi n nenenecess e	-|--⌫-⌫-|-|-|----⌫|
des g ensasarmonne r	--|-⌫--||--------⌫|
seschastieetconfesse	|-|------|-|-------|
d ecroirelealment lesangoisseetengr esse	-⌫|-----|-------|--|-------|-|----⌫---|
kant ilistdelaw il l e sa	---|-|--|-|-|-⌫--⌫-⌫|||
pres de lui	---|-|--|
grantpresse	----|-----|
grantpr es seaapres luiquantildill uec	----|--⌫--⌫-||----|--|----|-||---⌫--|
maintbelmotlor	----|--|--|--|
despontau p a rtiretdepa rt	------|-|-⌫-⌫---|-|----⌫-|
soiezfaitilencroir ehardi	----|---|-|-|-----⌫|----|
co nme lieupar t	--⌫--|-------⌫|
etco artdepechiers	-|--⌫--|-|------||
ais es i commedexplout	---⌫|-⌫|----|--|----|
ewangelist es enun e chiteuint	----------⌫-|-|--⌫|----|---|
ou ildistla	-|-|---|-|
quededieusouuint	--|-|---|------|
etlafis ttex miracles dontmontdegent	-|-|---⌫|--|-------|---|---|-|---|
parbeaxmouxlesatraitdouchementet sarmonne	--|---|---|--|-----|---------|-|-------|
etli sainz	-|-|----|
espe ris sigrant gracelidonne	----⌫--|-|----|----|-|----|
ke otro ieeschielzqu am quilf aite t pardonne	-|----⌫-|-|-----|--⌫--⌫-|-|-⌫--|-⌫|-------|
i ssi semeiletsieet requiltet m esso nne	-⌫--|---|-|-|--|-|------|-|-⌫----⌫--|
e ncelegrantchiteestoi ent hommed oi	-⌫|---|----|----|-----⌫--|----|-⌫-|
usurrier haut	-------|---|
etrichep uis queuoirdiredoi	-|----|-⌫---⌫--|---|---|--|
uestuz d edrasdesoieplein	-----|-⌫|---|-|---|----|
dermin e et do r fro i	|-----⌫|-||-⌫-⌫---⌫|
ka nt les ainthomm e entendentsi	--⌫-|-|-⌫---|----⌫|--------|-|
sontengrant	---|-|----|
l enuangelisteesg ardentplus	|-----------|---⌫-----|---|
douz quelizne	---|--|--|-|
bienpensente nl o rscuersqu il	---|------|-⌫|-⌫-⌫-|----|-|-|
iertt ressainte chos e	---|-⌫--|-----|----⌫|
cascun sde	------⌫|-|
sespechiez	--|------|
serepentmontetcose	-|-----|---|-|---|
enuendr o nts	-|-----⌫-⌫-||
enrecheuure les ose	-|--------|--|--|
crierwont lamerchiet lisainz les r ech oit	----|---|-|-----|-|-|----|--|-⌫---⌫--|
et depitiepleurequant aperchoi t	-|-|----|-----|----|--------⌫|
keli feil ennemis n estient mes nedechoit	-|-|---|------||-|----|--|-|------|
etcascuns deuz	-|------||--|
deuzrepe n tanche conchoit	---|----⌫-⌫-----|-------|
seignors fait seintiohans i euousa irec heuz	-------|---|----|-----|-⌫|---|-⌫|---⌫---|
dusuree tdepechieest	|----|-⌫|-|-----|--|
c ascunsacreuz	-⌫-----|-----|
