f orm Icicoumen ce	-⌫--|--|------⌫-|
postc omm un ion fu oïeun euoizq i distuenezamoi	-----⌫---⌫--⌫--|-|---|--⌫|---|-⌫|---|----||--|
t uitcil qi trau eilliezetqi charchie z	-⌫--|--|-|----⌫------|-|-|--------⌫|
e ste setie	-⌫---⌫|-|-|
uo sreferaiet	--⌫|------|-|
assoagera i deuo z	---------⌫|-|--⌫|
T u i t cilqiel mostierestoient orentpoor et	-⌫-⌫-⌫|--|-|-|------|-------|----|---|-|
se sba h ire nt.	|-⌫---⌫-⌫---⌫-||
Qanti loïrentla u oiz qi	---|-⌫|------|-|-⌫--|-|
p arloitentel	-⌫-----|-|--|
uo ieetenteil	--⌫-|-|-|---|
maniereilseles sierentcheoir	------|-|-|---⌫------|-----|
a terr e de	|----⌫|-|
poo r si distrentKy r ie	---⌫|-|-------|--⌫-⌫-|
eleys onApréscequi lorentein sintditla	-----⌫-|-----|-|-|-⌫|----|---⌫---|--|-|
uoizreco m en ça	---|----⌫-⌫--⌫--|
adireQerezlomeDeu et silipro iez	|---|----||--|--|-|-|-|---⌫--|
Ce remestet trespa ssaeinsin t	-|-----|-|------⌫--|------⌫|
qantliempereor etl iapos toiles meesme ment	---|-|-------|-|-⌫|----⌫-----|------⌫---|
et tuit cildelacité estoient	-|---|--|-|-|----|-------|
siesb ah iz	-|---⌫--⌫-|
porlauo izqilauoient o ïeqil	--|-|--⌫-||-|------|-⌫--||-|
n esauoientquil peüss entfei re	-⌫|-------|-|-|------⌫--|---⌫-|
Seinz Alexisest oitala	----|-----|---⌫--||-|
meson sonpere	----|--|---|
ma ladese tre ndoi ti or et nuit	--⌫----|-⌫|--⌫----⌫|-⌫-|-|---|
an ostreSig n or graces assiduelment	|-⌫----|---⌫-⌫-|-----|-----------|
e t loengesetli reque roit me rcietpardonde	-⌫|------|-|-|-----⌫---|--⌫--|-|-----|-|
sespechiezet q uilliotro iasta auoir	--|------|-|-⌫|-|-|----⌫---||----|
uie pa rmenable.	--|--⌫-------||
Q antuintauioesdia lamatin ee ilr en di	-⌫--|---|-|-----||-|-----⌫-|-|-⌫--⌫-|
lameetlisein tangelelemporte rentes	|--|-|-|----⌫|-----||-------⌫---|-|
cieusa grant ioie etagran t	----||----|---|-||----⌫|
Lauesprees assemblerent	-|------||-----------|
emper eoretl i clergiezdelacitépour	-----⌫--|-|-⌫|-------|-|-|----|---|
ale r q errelese inthome	---⌫|-⌫---|-|--⌫--|---|
si c omela	-|-⌫--|-|
uo iz l or au oitdite tense ig nie.	--⌫-|-⌫-|--⌫--|--|-⌫|----⌫--⌫--||
Sicomilsa pare i llo ie ntpor	-|--|-||-⌫----⌫-⌫---⌫--⌫-|--|
cefeire quildeuoientil	-|----|-|-|-------|-|
oïrentlau oizq	------|-|-⌫--||
ildeuan tauoi ento ïee tsi	-|-----⌫|----⌫--|-⌫--|-⌫|-|
lordistq u en	--|---|-⌫|-|
lamesonEu f emienestoit lic ors.	-|----|--⌫-⌫----|-----|-|-⌫--||
Doncparleren t	---|--------⌫|
ilaEufemienetsi li dis trent	-||-------|-|-|-|---⌫----|
Tuasen ta mesonla	-|-|-|-|----|-|
ha utegrace e t l asi gnorie	--⌫--|----|-⌫|-⌫|--⌫-----|
mi ede mostr ee	--⌫|--⌫-----⌫-|
Eufemienslor	--------|--|
respondietdistCe sace nostre	-------|-|---|-|---|-----|
Siresqe ie mi e nen i	----|-|-|--⌫||-||
Lorsapelaceluiqideseu reto te sam es nie	---|----|----|-|-----⌫-|--⌫-|-|-⌫--⌫--|
esto it si li distSeztuliquieus dema	----⌫-|-|-|---|--|-|-|-----|-|-|
mesnieatel grace Ci l	-----||--|----|--⌫|
respondi Ien enconois mie.	-------|-||-|-----|--||
Dont comander entliempereor	---|--------⌫--|-|-------|
qe nalastala m eson Eufemien	|-⌫|----||-|-⌫---|-------|
qerrelomenostreSi gnor .	----||--|-----|--⌫---||
Eufe miensenuoiadeuant ensamesonpor	----⌫----|-----|-----|-|-|----|--|
apareilli erless ieges etpor ferebeau lu minaireetemb ra ser	---------⌫-|--|-⌫----|-|--|---|---|--⌫------|-|---⌫--⌫--|
oé sceusqiiu endroien tcartele	---⌫|---|-||-⌫--------⌫|--|---|
costumeadonc .	------|----||
firentli s er ia ntc omill orestoitcomandé.	-----|-|-⌫--⌫--⌫-|-⌫-|-|-⌫-|-----|-------||
Don tu in t Eufem iens e t cil	---⌫|-⌫--⌫|-----⌫---|-⌫|--|
qileseinthomeqeroient ensanbleoluiasa	-|-|----|---|-------|-------||--||-|
L aseintedame	-⌫|-----|---|
lameres eint A lexi ssozha uça lesidoine qi	-|---|-⌫---|-⌫----⌫|-----⌫---|-|------|-|
deuantun efenestre es to it ouele	-----|--⌫|-------|--⌫--⌫-|-|--|
gisoite tsidistQie us resonsest ce	-----|-⌫|-|---|---⌫-|-----|--|-|
etqieusnoi s e e t deqoisontcez	-|----|---⌫-⌫|-⌫|-|--|---|--|
brus qideuant li	---|-|-----|-|
estoitli disoi t	-----|-|-----⌫|
toutc eqe le ueoitetqela	---|-⌫||-⌫-|----|-|-|-|
auoitgrantassembleede ge nz.	----|----|--------|-|--⌫-||
Liserian zqui seintAle xi	-|------⌫|--|----|---⌫-|
gardoitdistaEufem ienson si gnordeuant toz	------|---||-----⌫--|--|--⌫---|-----|--|
ceusqila estoientIe aiueülome	---|-|-|-------|-|-|---||--|
qeu osmecomandastesagarder	-|-⌫-|-|----------||-----|
feremoutsei nte soeur escar	---|---|---⌫---⌫|----⌫-|--|
il sefeso ita come nier c ha scun d ieme nce nene	-|-|----⌫-|-⌫----⌫---|-⌫--⌫---|-⌫----⌫--|-|-|
mengoit de peinchasc uniorqe.	------|-|---|-----⌫-|--|-||
oncesetgrantab s tinenc eauoi tenlui	----|-|----|--⌫-⌫------⌫|----⌫|-|--|
mei ̈smesdeueq il nen beuoit se	---⌫----||--||-||-|-----|-|
mo ut pe unontotelasem e ine ne ne d ormoit	--⌫-|--⌫|--|---|-|---⌫-⌫--|-|-|-⌫-----|
io r ne nuit einz	--⌫|-|---|---|
es toi t to ztensen orissonseten	--⌫---⌫|--⌫|---|-|-------|-|-|
Lipluis eurdelaiouenem esniedece ensle	-|-----⌫--|-|-|-----|-⌫----|-|--⌫--|-|
gaboientetass ailloie nt parpar oleset	-------|-|---⌫-------⌫-|--|---⌫---|-|
ilnesecorroç oitonques	-|-|-|-------⌫--|-----|
nenesesmo uo itenire.	-|-||----⌫--⌫-|-|--||
O restmorz ettres passez decesteu ie	-⌫|--|---|-|----⌫-----|-|----|-⌫-|
QuantEufemianusoï ceilcorutmou tisnielement	----|---------|--|-|-|----|---⌫|----------|
la oulic ors gisoit silecomençaa	-|-|-|-⌫--|-----|-|-|-------||
huciermes il n	-----|--|-||
itrouaneuoiznepar ole .	|----|-|---|-|---⌫--||
Lo rs le descouri siuit	--⌫-|-|-------|-|--|
seinzho m auoi t leuiaire aus sint cler	----|--⌫|----⌫|-|-----|---⌫---|---|
co munsangele s etaussin t	--⌫|--|------⌫|-|------⌫|
re sple ndissanze t en	--⌫----⌫-------|-⌫|-|
sameinte no it unechartreq	-|---|--⌫--⌫-|--|------||
ilau oit escrite.	-|--⌫--|------||
Eufemiens tendi	--------|----|
sesmeinsa la	--|----||-|
cha rt reporce q illa u oloitp rendreet	---⌫--⌫-|--|-||-|-|-⌫----|-⌫-----|-|
lireme s liseinzhom la	---|--⌫|-|----|--|-|
tenoitsif er me mentqilne lipoo it oster	-----|-|-⌫--⌫--⌫---||-|-|-|---⌫-|----|
delameinporc h oseq	-|-|---|--|-⌫-⌫--||
uitEufemi ensilrepa ira as empereorsarriere	--|------⌫--|-|----⌫--|-|--------|------|
dis t Nosauons troué c elu i	---⌫|--|----|-----|-⌫---⌫|
que nos querons.	--|--|------||
Don tlorc onmençaaconterla uie qel i	---⌫|--|-⌫-------||-----|-|--|-|-⌫|
sein zhomauo it.	----⌫|--|---⌫-||
anzdeme nee	--|----⌫--|
en sameso n	-|-|----⌫|
eto reestoitmorze tteno itensa	-|-⌫-|-----|---|-⌫|----⌫-|-|-|
meinu nechartre q	---|-⌫-|------||
ilne lipooitoster nea uoir	-|-|-|----|----|-|-⌫---|
tantqu il l eüstleüe	---|-|-||----|----|
Qantceoïrent li em﻿pe reoril conmande rent con feïst	---|-|------|-|-----⌫---|-|--------⌫---||-|-----|
litatorner moutri chementetsi	--|------|---|--⌫------|-|-|
meïstl en le corsd eseure.	-----||-|-|---|-⌫-----||
Qantcefu fetil	---|-|-|--|-|
m ur en t delao u	-⌫--⌫--⌫|-|-|-⌫|
ilestoien t etensemble oeus lia postoi leset tuit	-|-------⌫|-|-------||--|-|-⌫------⌫--|-|---|
lisena tdeR omeet	-|----⌫|-|-⌫--|-|
g ran zpueplesaussint si ui ndr en talameson	-⌫---⌫|------|------|-|--⌫---⌫--⌫||-|----|
Eufe mienou	----⌫---|-|
lisein zcorsgisoi t.	-|----⌫|---|-----⌫||
D ontparlerentli empereortou templorantsi	-⌫--|--------|-|-------|---⌫|-|------|-|
dist r ent Sein z h o m qi ci gis	----⌫-⌫--|----⌫|-⌫-⌫|-|-|--|
enco re soionsno s pecheorssi somes	----⌫-|-----|--⌫|-------|-|----|
n os empereors etci	-⌫-|--------|-|-|
est liapostoil esqiperesest as c restiensdonecele	--|-|--------⌫-|-|----|--|-|-⌫-------|---|---|
ch artre qenossac ̧onsqi tu	--⌫----|-|--|---⌫---|-|-|
ie set q ele sen efie	--⌫|-||--|---⌫---|
Tantostou riseinz	------|--⌫-|----|
Alexi ssameinetlor less a alerla	-----⌫|-|---|-|--|----⌫|---|-|
chartre qildeuantneuoloit	------||-|-----|-|-----|
ba i llier ason pere .	--⌫-⌫----||--|---||
baillie rentliempere orau n cle rcsili	-------⌫---|-|------⌫-||-⌫|---⌫-|-|-|
c onmanderent al ir e.	-⌫----------||-⌫--⌫||
Tu itcilqila	--⌫-|--|-|-|
est o ien tseteurentet	---⌫-⌫---⌫|-|------|-|
li c le rs lut lachartre	-|-⌫--⌫-|--|-|------|
tote outreet esponst oiant	---|----|-|------|----|
Quant E ufe miens	----|-⌫---⌫----|
qipere sestoit se intAlexi oïle s	-|----⌫|-----|--⌫--|----|--|--⌫|
p arolesqe sesbon sfiu z auoitescrites	-⌫-----|-|--|---⌫|---⌫|----|-------|
il seleuatozdroiz deso n	-|-|---|--|----|-|--⌫|
siegesicom en çabie n aferese mblant d	----|-|---⌫--⌫--|---⌫||---|--⌫-----||
omedolentcar il despeçatotes	--|-----|--|-|-------|----|
sesuesteüresetsi	--|---------|-|-|
detresttozsescheueuset	------|--|--|------|-|
se lessacheoir parmi l ecorstoutplor antet	-|----|-----|----|-⌫|---|---|----⌫--|-|
crianta l ongue a la in e etsidisoitH e eMes tres	-----||-⌫----|-⌫--⌫--⌫|-|-|-----|-⌫-⌫|--|---|
doz fiuzp or	--|---|-⌫-|
qoiauezuos si cor rociéma meEt porqo i	--|---|--|-|---⌫-----||-⌫-|-|--|--⌫|
auez uosmis s igrant	---|--|--|-⌫|----|
duelen mon cuert o zles iorzde ma	---|-|--|---|-⌫-⌫|--|---|-|-|
uieBeausfiuzdouziecuido iep arler atoipor	--|----|---|---|-|-----⌫-|-⌫----||--|--|
sauoir qitu fus cesmeslas c heti s	-----|-|-|---⌫--|--|--|-⌫----⌫|
nonferaicar	--|----|--|
iete uo imo r tne	-|-|--⌫|--⌫-⌫|-|
me respons.	-|------||
Beausfiuzq i	----|---|-⌫|
estoiezleconfort demauiellec eq edirai i eet	------|-|------|-|-|-------⌫|-⌫|----|-⌫|-|
quelduelporrai iedeme nerportoi	---|---|-----|-|----⌫--|--|--|
to z le si orz de	--⌫|--⌫|-⌫--|-|
mauie Lo rs	-|--|--⌫-|
sepasmaet d euintau ssipailes comecendre	-|----|-|-⌫----|--⌫--|-----|---|-----|
Apre ́suint la mereqimeint egr ant doleur	----⌫-|---|-|---|-|-----⌫|--⌫--|-----|
auoitdemenee por l uietsostenue .	----|------|--|-⌫-|-|-------||
Qant eles otqecees t oi t se sfiuzqi	---|--|-⌫-|-|-|--⌫-⌫--⌫|--⌫|---|-|
la e stoitmorznefu	-|-⌫----|---|-|-|
dela doleur	-|-|-----|
qe lecom ença a	|-⌫-|---⌫----||
ferecar e le coum ençasesdrasa	---|--|-⌫-|----⌫----|--|---||
descirer e ta derrompreaussintcomlilionsfetla	-------|-⌫||--------|------|--|-|----|--|-|
at rapezdesozparles ueneors	--⌫----|----|--|--|------|
e tses cheueusmeesme men t desr ompoit ele a ses	-⌫|--|------|------⌫---⌫|----⌫-----|--||--|
meinscomeforsenee etregardoitala	----|---|-------|-|--------||-|
foïeue rslecieletala	----|--⌫-|-|---|-||-|
foïe uers	----|---|
lepuep leqi entorl iestoitsi lor di soit	-|----⌫-|-|----|-⌫|-----|-|--|--⌫---|
Belesgenz carmelessiezporDeu	----|---|--|-|------|--|--|
alerue oirmo nfil	---|--⌫--|--⌫|--|
a cuilesperanceestoitdemauie	|--||--------|-----|-|-|--|
etcuiie aletaidemesmamele s.	-|--|-|-----|-|--|------⌫||
auoit ceditele	----|-|--|--|
se r eferoitenmi	-|-⌫------|---|
lepizet redem enoitu nedoleursidesmesure ecar el e	-|--|-|-----⌫----|-⌫-|-----|-|---------⌫|--|--⌫|
s erescrioitahautes uoisetsidisoi tuoustoz	-⌫|--------||-----|---|-|-|-----⌫|---|--|
q i ci este sassa mblez	-⌫|-|----⌫|----⌫----|
etplorezensembleom oietd emenez doleu rporce	-|-----|-------||-⌫-|-|-⌫-----|-----⌫|--|-|
q emesfiuzaesté .	-⌫|--|---||----||
mesonn ene	----|-⌫|-|
le conut nus ho mqecefustA lexisl	-|----|--|--⌫|-|-|---|-⌫----||
e spe ranced ema uie	-⌫---⌫----|-⌫|-|--|
Siserf le leid engoientnenesauoientqui il	-|---|-|----⌫-------|-|-|-------|--|-|
es toitne nelec oni ssoient .	--⌫---|-|-|-|-⌫---⌫------||
Dont se r escrioi tahautesuoizaprés	---|-|-⌫-------⌫||-----|---|-----|
etdis oitBeaus fiuzqu i lumiereestoiez demes	-|---⌫--|----|---|--⌫|------|------|-|--|
iols comentte	---|-----|-|
peüst u c elerenlameso nto npere	----|-⌫|-⌫---|-|-|----⌫|--⌫|---|
s iloing termine Lorsba isoit le cor s sid isoit	-⌫|----|------|---|--⌫----|-|---⌫|-|-⌫----|
Be ausfiuz porqoi auez uos ei nsinto uré uers	--⌫--|---|--|--|---|--|--⌫----|-⌫---|---|
m oiu ouzu eiésuostre pereetmoi	-⌫-|-⌫--|-⌫----|-----|---|-|--|
c has cuniorplore r	-⌫---⌫--|--|-----⌫|
p oruosetsi	-⌫-|--|-|-|
neuosdes c ouri ezmie nenau iezpitiéne	-|--|---⌫-⌫----⌫-|--|-||--⌫--|-----|-|
mis er ico rdedenos	---⌫--⌫---⌫--|-|--|
A ceu sqi lachas ti oient et	|---⌫|-|-|----⌫--⌫----|-|
confortoi entdisoite le Les s iez moima grantdolord em enercar	---------⌫--|-----|-⌫-|---⌫-⌫--|--|-|----|----|-⌫--⌫---|--|
ielaiassezde qoi fere	-||-|----|-|--|---|
Don trecomençoit sa d ole ur	---⌫|-----------|-|-⌫---⌫-|
femes eint	---|-⌫---|
A lexiqi ahauz crizcrioitet plor oitetauoit	-⌫---|-||---|---|-----|-|----⌫--|-|----|
to tesses uest e üres d erroutes	--⌫--|--|----⌫-⌫----|-⌫-------|
di soit Lasse	--⌫---|----|
oreaprimes sui	--||-----|--|
iedeg u erpieor suiieueueCuigarderai ie	-|---⌫-⌫----|-|--|-|---|--|-------|-|
mesneaten der ainulechosesep lo re menzn o n t ozle s	--|-|----⌫---⌫-|---|----|-|-⌫--⌫--⌫---|-⌫-⌫|-⌫-|--⌫|
iorzdemauie	---|-|-|--|
qi laestoientas s em blezet la genz	-|-|-------|--⌫-⌫--⌫---|-|-|---|
s esbahissoien t et	|------------⌫|-|
esmeru eilloient m outdure mentdeceqil u eoientetsi	------⌫--------|-⌫--|----⌫---|-|-||-|-⌫-----|-|-|
ploroie ntporla dolo rqilu eoien t fereau pere	-------⌫-|--|-|----⌫||-|-⌫-----⌫|---|-|---|
eta lamere	-||-|---|
e talafemeseintA lexi.	-⌫||-|---|----|-⌫---||
Dontc omanderentlidui	---|-⌫---------|-|--|
empereo rc on aportastle lit	-------⌫||-|-------|-|--|
seinzhomg is oit enmilacite ́ e t sifirentpart out	----|--|-⌫--⌫--|---|-|----⌫|-⌫|-|-----|----⌫--|
noncieretdireq ilauoi ent troué lome	------|-|---||-|----⌫--|-----||--|
Deuqila uoientquis.	--||-|-⌫-----|---||
Tuitre ueno ient	---|--⌫----⌫---|
encontrele seint corshomes	-------|-|----|---|----|
femesetcilq ienfermestoient delorm aladies et	----|-|--|-⌫|-----|-------|-|--|-⌫------|-|
languereusig ueri ssoientde	---------||-⌫----⌫------|-|
lor enfermete z.	--|---------⌫||
Li mu el irauoientlorparoleslia uugle	-|--⌫-||-------|--|------|-|-⌫----|
lorueu ̈eslil ie pr e usiestoient	--|---⌫--|-|-⌫--⌫--⌫-⌫-||-------|
mondez lideruéig uerissoient.	-----|-|-----||-⌫----------||
Cesmiracles	--|-------|
u eoientetooientli dui	-⌫-----|-|-----|-|--|
emp ereorqim eesmement portoient le	---⌫----|-|-⌫--------|--------|-|
seinthomemessi grantpressei	----|---|--|-|----|-----||
auoitq il ne pooie nt	----||-|-|-----⌫-|
auant a le rnedelaplacele seint corsremouoi r	----|-⌫--⌫|-|-|-|----|-|----|---|-------⌫|
Dontco mander entliduipiuempereo rHonoiresetArch adies	---|--⌫------⌫--|-|--|--|-------⌫|-------|-|----⌫----|
qon giet a st	|-|----⌫-⌫-|
or etarg entenlaplace po r	-|-|---⌫--|-|-|----|--⌫|
ceqe lipueples entendis t	-|-|-|------|--------⌫|
aureçoiur e et l apresse enfust	-|--------⌫|-|-⌫|-----|-|---|
aclaroïe .	--------||
Ein sint f ulachosefet e mesonqesal	---⌫---|-⌫|-|----|---⌫|--|----|||
or nea l argent ne t endire nte inz	-|-|||-----|-|-⌫------⌫-|-⌫--|
se traioientpres de lcorsdequa nq u il pooientmes	-|--------|---|--⌫|---|-|---⌫--⌫|-|------|--|
n eporqa ntsefforcierent tantlidui empere o ret li ha ut	-⌫------⌫-||-----------|---|-|--|------⌫-⌫|-|-|--⌫-|
g rantpein eetagrantangoisse	-⌫---|----⌫|-||----|-------|
l emporterentaumostier SeintBone face.	|----------|-|------|----|----⌫---||
Lalemistrenttoutchantanthymnesetloen gesan ostre	-|-|-------|---|-------|-----|-|----⌫--||-⌫----|
Si g no r .	--⌫-⌫--⌫||
Dontfire ntfere lemonumen tseintA lexis et	---|----⌫-|---|-|-------⌫|----|-⌫----|-|
doretda rg ent	|-|-||-⌫--⌫--|
et de pierresprecie us esenleg liss e.	-|-|------|------⌫--⌫-|-||--⌫----⌫||
Lalenfoi ̈rentetmi s trent	-||-----⌫----|-|--⌫-⌫----|
a sigra nt ho no rcomil deuoient	|-|---⌫-|--⌫--⌫|--|-|-------|
fetnostr e Sires meintbeaumiracle etf et	--|-----⌫|----|----|---|------|-|-⌫-|
en coret resqa hui	--⌫---|-⌫---||--|
C ef uaudisiemeiord elm oisdeiu lie	-⌫|-⌫|-|------|--|-⌫-|-⌫--|-|--⌫--|
qeHonor es etArchad iesestoientem pereorde	-|-----⌫-|-|------⌫--|-------|--⌫-----|-|
De la sepouture	-|-|--------|
auseintcors	-|----|---|
isso i entunes aussid ocesodorscom de	----⌫-⌫--|---|----|-⌫---|----|--|-|
Et seaucunsrequierta ïde anostreSignor	-|-|-----|-------|-⌫---||-----|-----|
paruraiecr eancen ostr eS ires li	--|----|--⌫----|-⌫----⌫|-⌫---|-|
otroiepar l aproi ereseint	-----|--|-⌫|----⌫--|----|
Alexicarli seinzhomaïdeatozceusqui	----|--|-|----|--|----||--|---|--|
on tesperanceennostreSigno r.	--⌫|--------|-|-----|-----⌫||
Etbien e std ro i zqeqinost r eSignorsertententiuem en t	-|---|-⌫-|-⌫--⌫-⌫|-|-|----⌫-⌫|-----|---|----------⌫--⌫|
et parfin coragequilenait	-|--|--|-----|-|-|-|--|
telmer it e quilip eire carqi bon	--|---⌫--⌫|-|-||-⌫---|--|-|--|
signo rsertbon ne	-----⌫|---|---⌫-|
m er iteatente tqi m a uuésle si ert	-⌫--⌫--|----|-⌫|-|-⌫-⌫----|-|--⌫--|
si s enrepentsoue n t.	-||-|-----|----⌫-⌫||
SeinzAlexisseruib onsignorqan ti l se ti ntas	----|-----|----|-⌫-|-----|---⌫|-⌫|-|--⌫-|-|
co m andemenze talaloynostr e S ignor .	--⌫-⌫-------|-⌫||-|--|-----⌫|-⌫----||
Dont laplusgran tpartiedeceusqiore	---|-|---|----⌫|-----|-|---|-|--|
sontseslongentet se ruentautre signorq	---||--------|-|--⌫----|----|-----||
ilnedeueroient ceestau deable .	-|-|---------|-|--|-|-----||
Etci lq ia	-|--⌫|-⌫||
telsi gnorsetienentenauro n t	--|--⌫---|-|------|-|----⌫-⌫|
lordes ertetel equilen	--|---⌫---|---⌫|-|-|-|
ironte ninferou ilen	----|-⌫|----|-|-|-|
sofferron tto rmenz etpain esqito ztens duerront	---------⌫|--⌫----|-|----⌫-|-|--⌫|---|-------|
sicomles Escriptu res le tesmoign entqi	-|--|--|--------⌫--|-|--------⌫--|-|
uerité dien t.	------|----⌫||
E tcilqinostre S ignorse rui r ont	-⌫|--|-|-----|-⌫----|--⌫---⌫-⌫--|
eta ses con mandemenz	-||--|---⌫--------|
se tendront i l	-|-------|-⌫|
aurontlai oie	-----|-|-⌫--|
parmenabl eensembleo lesangeleso les	---------⌫|-------||--|------||--|
arc hangeleset o lesmartyrset	---⌫-------|-||--|------|-|
confess orset olesui rges si g r antq e nusne	-------⌫--|-||--|--⌫---|-|-⌫-⌫--|-⌫|--|-|
laporroit conte rnedire.	-|------|-----⌫|-|---||
A cele ioiede ue roitchascu nsh ompensertou tadés	|---|---|--⌫--⌫---|------⌫-|-⌫-|-----|---⌫|----|
e te ntendre et	-⌫|-⌫------|-|
doinst parue ni rnostreSiresIesuC r iz qi	-----|-----⌫--⌫|-----|----|---|-⌫-⌫-|-|
uit et reg ne	--|-|---⌫-|
parmenablementpar	-------------|--|
tout le s iecle	---|-|-⌫----|
des sie clessanzfin.	--|---⌫---|---|--||
