#ME TA#TextURIErecF	---⌫--|------|----|
#META#DE AFh t tp//www.deaf-page.d e/ fr/bib l/b ib99e. php#ErecF	-----|--⌫-|-⌫-⌫-------------------⌫--⌫------⌫---⌫------⌫--------|
#META#TLErec	-----|-|---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttps//www.a r li ma.net/ad/chretien_de_ tr o yes.html#ere	-----|-----|------------⌫-⌫--⌫----------------------⌫--⌫-⌫-----------|
#META# AuthorChrétiende Tr oye s	-----|-----|--------|-|--⌫---⌫|
# META#Author B or n1 130	-⌫----|------⌫-⌫--⌫|-⌫--|
#META#AuthorB ornAmbc	-----|-------⌫-----||
#META# AuthorDied 1180	-----|---------|---|
#META #Auth orDie dA mba	-----⌫|----⌫-----⌫--⌫-||
#META#AuthorFl1	-----|--------|
# META # AuthorFl2	-⌫----⌫|--------|
# META#TextTitle Ericet	-⌫----|--------|---|-|
#META# TextSubtitl e	-----|-----------⌫|
#ME TA#Textuols	---⌫--|-------|
#META# Text S ubi	-----|----⌫-⌫--|
#META #TextDoml it	-----⌫|------|-⌫-|
# META#Translation	-⌫----|----------|
#META#C ollection	-----|-⌫--------|
#M ETA#CollectionNo	--⌫---|-----------|
#META#Text DescARLuersoctosyllabiquesa ̀rim es	-----|----⌫------|---|--------------|-⌫|---⌫-|
#META#TextDescuers 8	-----|-----------||
#META# Tex tDa teARL117 0	-----|---⌫---⌫----|---⌫|
#META# TextDateAdi 1170	-----|----------|---|
#META#TextDateMin	-----|----------|
#META# TextDateMa x	-----|----------⌫|
# META#EdEditorFoerst erWendel in	-⌫----|-------|------⌫-|------⌫-|
#META#EdPlaceHall e	-----|------|----⌫|
#META# EdPub lisher	-----|-----⌫-----|
#META# Eduol	-----|----|
#META# EdYear	-----|-----|
#META# EdPages	-----|------|
#META#MsBaseH[ P8]	-----|-----|--⌫--|
#META # MsOther	-----⌫|------|
#META# MsNu m1 3	-----|----⌫|-⌫|
# META#M s Date ARL	-⌫----|-⌫-⌫----⌫--|
#META#MsDateAdi	-----|--------|
#META#For mu	-----|---⌫||
#META#Com pl ete true	-----|---⌫--⌫--|---|
#META#NoWords39059	-----|------|----|
#META# No Li nes 6 956	-----|--⌫--⌫--|-⌫--|
# META #DialAuth	-⌫----⌫|-------|
#META#Dial S cribe	-----|----⌫-⌫----|
#META #ScanURL	-----⌫|------|
Liseneschauspremiersles u it	-|---------|-------|--|-⌫-|
Amon seignor Gauu ainadit	|--|------|----⌫--||--|
Sire fetilmes c uers deuine	---|--|-|--|-⌫---|-----|
Queciluassausquilachemin e	--|--|------|--|-|------⌫|
Est cilque lareïnedist	--|--|--|-|-----|---|
Qui ier sigrantenuil ifist.	--|--|-|----|---|-⌫|----|
Ce mest auisqueil	-||--|---|--|-|
et lapuceleuoi.	-|-|-----|---|
uoirsestfetmes	----|--|--|--|
sireGauuains	---|-------|
Cestun e pucele	|--|--⌫|-----|
et uns nains	-|--|----|
Quiauueclecheua lieruiene nt	--|----|-|-----⌫---|-----⌫-|
u ers nosla droit e	-⌫--|--|-|-----⌫|
uoietienent.	---|-------|
To z estarmezlicheu aliers	--⌫|--|----|-|----⌫-----|
escus nestpasan tiers.	----||--|--|--⌫-----|
Selareïnele u eoit	-|-|-----|-|-⌫---|
Iecuit q uelele conoistroit.	-|---|-⌫|--|-|-----------|
Ha senes c hau s carl	-|-----⌫-⌫---⌫|--||
estmaintenantale z	--|---------|---⌫|
T roueel a anun echanbre.	-⌫----|||-|--⌫|-------|
Dam e fetils	---⌫|--|-||
il uos remanbre	-|--|-------|
Delnai nquiieruoscorreça	--|---⌫|--|--|--|-------|
Quantuost re pucele bl eça	----|----⌫-|-----|--⌫---|
O ïlmoutman souientilbien.	-⌫--|---||-|------|-|----|
Sen es chaussauezuo san rien	---⌫--⌫----|----|--⌫|-|---|
l auez ram ante ü	|---|---⌫----⌫-|
Dameporcequ ei a iu eü	---|--|-|--⌫||-⌫|-⌫--|
uenir unc heualiererra nt	----|-|-⌫-------|----⌫-|
Armésor unc heual ferr ant	----|--|-|-⌫----|----⌫--|
Etsemioeln e m ontmanti	-|-|-|--|-⌫||--|----|
Un epu ce leauueclui ui	--⌫|--⌫--⌫-|----|--|-|
Et simes t uis	-|-||--⌫|--|
qu auuecluiu ient	-|----|--|-⌫---|
Linainsq ui la corgiee tient	-|----|-⌫-|-|------|----|
reç utlacolee.	----⌫-|-|-----|
Lo rsse stl a	--⌫-||-⌫-|-⌫|
reïnele uee	-----|--⌫--|
Et distAlonstostsenesch aus	-|---|----|---|-------⌫--|
ueoir se ceestli	----|-|-|--|-|
Sec esti lb i en poe z sauoir	-||--|-⌫|-⌫-⌫-|---⌫|-----|
Queieu os a n d irai leuoir	--|-|-⌫-|-⌫|-⌫---|-|---|
Maintenant q ueieleuerrai.	---------|-⌫-|-|-|------|
EtKeusdist	-|---|---|
Iel uosm o sterrai.	--|--|-⌫-⌫-------|
ueneza naslogesamont	----|-⌫|-|----|----|
La ouuostrec heualiersont.	-|-|-----|-⌫-------|----|
ue nirl eueïmes	--⌫--|-⌫|------|
Etmessi reGauua insmeïsmes	-|--|--⌫-|-----⌫--|-------|
uosiatant.Da me alonsi	--||-----|--⌫-|----||
Quetropauons d em oréci.	--|---|----|-⌫--⌫---|--|
L orsses tla reïneesmeüe	-⌫--||--⌫|-|-----|------|
Asfenestres	-|--------|
seignor Gau uain s estut	------|---⌫---||----|
L e c he ua lierbienreconut.	-⌫|-⌫--⌫--⌫---|---|-------|
Hase igno r fetelecest il	-|--⌫----⌫|--|--||--|-|
grantperil.	----|-----|
Conbat uzses t.Cen e	------⌫-||--⌫-|-|-⌫|
s ai g ié	-⌫-|-⌫--|
Se Ere cason duel uan gié	-|---⌫||--|---|---⌫---|
aErecueinc u	|---|-----⌫|
Mes moutacosanson e scu	--|---||--|-|--|-⌫--|
Seshau bersestco uerz	--|---⌫---|--|--⌫---|
De rog e i aplusqued eblanc.	-|---⌫|||---|--|-⌫|-----|
fetmessireGauuains	--|--|---|-------|
Dame ies uitrest oz certains	---|-|-⌫-|-----⌫-|-------|
Quederienn ulene	--|-|---|-⌫--|-|
Seshaubersest ansangl antez	--|------|--|-------⌫----|
Moutes thurtezetdebatuz	---|--⌫|-----|-|------|
Bienipertqu il	---||---|-|-|
s e stconbatuz.	|-⌫-|--------|
Sauoirpoons sanznulefaille	-----|----|---|---|-----|
Quefierea este ́	--|----||----⌫|
labatai lle.	-|-----⌫---|
Ialiorrons telchosedire	-|-|-----|--|----|---|
Donn osauronsouioieouire	--|-⌫-|-----|-|---|-|--|
Ou Erecl anuoieauos	-|---||-----||--|
An pr isonanuostre	-|--⌫---|-|-----|
Ouil s anuientpar hardemant	-|-||-|----|--|--------|
uante ra ntr e	-----⌫|-⌫---⌫|
nosfolemant	--|-------|
Qu ilaErecueincuoumort.	-|-||---|-----|-|----|
Ne cui tq uaut renoueleaport.	-|---⌫|-⌫|---⌫-|-----|-----|
Fet l a reïne Iele cuit .	--|-⌫|-----|-|-|----⌫|
Bienp uet estrec e dïent	---|-⌫--|----|-⌫|-----|
At a n tY ders antre a nl aporte	--⌫-⌫-⌫|-⌫---|----|-⌫|-⌫|----|
Qui lanouelelorapo rte.	--|-|-----|--|---⌫---|
Deslog esso nttuitaual e ́	--|---⌫-|--⌫-|---|----⌫-⌫|
Al ancontre lisont alé.	||-------|-|---|----|
Ydersuintauper ronreal	----|---|-|---⌫--|---|
L adesçandi deson cheual .	-⌫|--------|-|--|------⌫|
EtGauuainslap uceleprist	-|-------|-|-⌫----|----|
Iusde sonpal efroil amist	--|-|--|---⌫----|-⌫|---|
Linainsde lautre par t	-|----|-||----|---⌫|
Cheualiers iotp lus deçant.	---------||-|-⌫--|-|-----|
Quantdesça ndufurent	----|------⌫--|-----|
S i lesmainne nt	-⌫|--|------⌫-|
d eu antleroi.	-⌫--⌫--|-|---|
LaouY dersuitla re ïne.	-|-|-⌫---|--|-|--⌫----|
Iusquedeuantses piez lancline	-----|-----|--|---||------|
Sal ué elatotpre miers	---⌫---⌫|||--|---⌫----|
Puisle roiet ses	---|-|--|-|--|
cheualiers	---------|
Et distDameanuost reprison	-|---|---|-|----⌫-|-----|
Manu oi e ci unsia ntis hon	|---⌫--⌫|-|--|--⌫---|--|
Uns c heualiers uaillanz et	--|-⌫--------|-------|-|
Cil cuif ist iersantirles neuz	--|--|-⌫--|--|-----|--|---|
del acorgie eeluis	-|-⌫|------⌫|-|--|
Outrémadarmes e t co nqu is.	-----||||----|-⌫|--⌫---⌫--|
D am e lenainuosamain ci	-⌫--⌫|-|---|--|----|-|
uostremerci.	-----|-----|
Moie tmapuceleetmon nain	--|-⌫|-|-----|-|--|---|
Anuostre pr isonuosama i n	-|-----|--⌫---|--|---⌫-⌫|
Por feiretotquanqueuosplest.	--|----|--|------|--|-----|
L are ïneplusne s e	-⌫|--⌫---|---|-|-⌫|
DEreclidemande	|---|-|------|
Ditesm oi fetelechae le s	----|-⌫-|--|--|----⌫--⌫|
Saue zuos quant E rec uandra	----⌫|--|----|-⌫--|-----|
Damedemainets	---|-----|-||
U ne pucele an sa nb leolui	-⌫-|-----|--⌫--⌫--⌫-||--|
O nquessibele nec onu i.	-⌫----|-|---|-|-⌫---⌫-|
Quant cilotconté sonmes sage	----|--|-|-----|--|---⌫---|
La r eïne fu franche	-|-⌫----|-|------|
Cort oisemantli dist Ami s	----⌫-------|-|---|---⌫|
anma merc it esmis	-|-|----⌫||-|--|
Plusan ie rtta pri sonslegiere	---|-|--⌫-|-|---⌫---|------|
Naitalan t quenul maltequi ere.	|-|-----⌫|--|--|--|-|---⌫---|
MescemediseDeus	--|-|-|-|-|---|
Comantas non Et cili	-----|-|--|-|-|-|
Dame Ydersai	---|----|-|
L auerite ́lanrec onu t.	-⌫|------⌫||-|---⌫---⌫-|
est la reïne leuee .	--|-|-----|-----⌫|
Deuantleroi an es talee	-----|-|--|-|--⌫|---|
S ireauezantandu	-⌫--|---|------|
Or au ezuosbienat andu	-|--⌫-|--|---|--⌫---|
Erecleuaillantcheualier.	---|-|-------|---------|
Mou tuosdonai bu en consoilier	---⌫|--|----|--⌫-|------|--|
Quantieluosloaia	----|--|--|---||
Porc e fetil buenco nsoilprandre.	--|-⌫|--|-|---|--⌫----|-------|
Liroisrespont Nestmiefable	-|---|------||--|--|----|
Cest eparol e estueritable	----⌫|-----⌫|--|--------|
Quicroitconsoiln est mief os.	--|----|------||--|--|-⌫--|
Buerc reüme s ier uostrelos	---|-⌫------⌫|--|-----|--|
Me s se deriennule mamez	--⌫|-|-|---|---||---|
C est cheuali erqu ite clame z	-⌫--|-------⌫-|--⌫--|-----⌫|
prisonpartel couant	-----|--|--|-----|
Qu eilsoit des or	--⌫|-|---|--|-|
D emamesnieeetd emacor t	-⌫|-|------|-|-⌫|-|---⌫|
Etsil ne lfe t amal	-||-|--⌫|--⌫||--|
Lir oi sotsa parole	-|-⌫--⌫|-|-|-----|
Et la reïneclaimmequite	-|-|-----|------|----|
Lecheuali er totmaintenant	-|-------⌫-|--|---------|
Mesc efu part elcouenant	--|-⌫|-|--|-⌫-|-------|
co rtdeltot rema ssist.	--⌫-|--|--|----⌫-----|
Cilgueires p roiiernesanfi st	--|------|-⌫-----|-||-|--⌫-|
La remenan cea otroiiee .	-|-------⌫-||--------⌫|
Puisfudeco rt	---|-|-|--⌫-|
etdemesniee	-|-|------|
Nan auoitpas	|-|----|--|
deuant esté.	-----|-----|
Lorsfurentuasletapres té	---|-----|-----|-----⌫--|
Qui lecoru rentdesarmer.	--|-|----⌫---|--------|
Orred e uonsd	-|---⌫-⌫---||
Erec parler	---|-----|
Quiancor an	--|----|-|
laplaceestoi t	-|----|-----⌫|
Oulabataillefe ite auoi t.	-|-|-------|--⌫--|----⌫-|
Onquesce cuittelio ie not	-----|-|---|--|--⌫-||-|
Tris tanzl e	----⌫---|-⌫|
fi erMorhot	--⌫-|-----|
Anl Islesaint	-||---|----|
Sansonuein qui	-----|----⌫--|
fe isoitdEr e ciqui.	--⌫----||--⌫-⌫|----|
Moutfeiso ientdelu igrantlos	---|-----⌫---|-|--⌫|----|--|
G rantetpetitetgr esleetgros.	-⌫---|-|----|-|--⌫---|-|----|
T uit pri sent sach eualerie	-⌫--|---⌫---|-|--⌫-------|
Ni a ch eualierqui	|||--⌫------|--|
Deusquel uassalsozciel n	---|---|-----|--|---||
Aprésluiuontason	-----|--|---||--|
Grantlosan font	----|--|-|---|
etgrant parole	-|----|-----|
Etlicuensm eïsmesl acole	-|-|----|-⌫------||----|
to zgrantioi ef eiso it	--⌫|----|---⌫|-⌫----⌫-|
Siresiluos pleisoit	---||-|--|-------|
Bi ende uriiezet	--⌫-|--⌫-----|-|
p ar rei son	-⌫-|---⌫--|
uo st r eostel	--⌫--⌫-⌫|----|
p randrea n mameison	-⌫-----|-⌫|-|-----|
Qua ntuosestefiz Lacleroi.	---⌫-|--|---|--|--|-|---|
Seuospre niiezmonconro i	-|--|---⌫----|--|-----⌫|
uosmef eri iezg rant	--|-|-⌫---⌫--|-⌫---|
Car ie uostai ng pormonseignor.	--|-|--|---⌫-|--|--|-------|
Biaussirela	----|---|-|
uostremerci	-----|----|
De herbergie romoiuo spri.	-|---------⌫||--|--⌫|---|
Erec respont N euo sen uit	---|------|-⌫|--⌫|--⌫--|
Neleisse raim onoste anuit	-|------⌫--|-⌫-|---|----|
Qui moutm agr ant enor p o rtee	--|---|||--⌫--|---|-⌫-⌫---|
Quantils a	----|-|-⌫|
Quanditesuoss i reNes tdons	-|-|----|--|-⌫-⌫-||--⌫|---|
Moutb iaus	---|-⌫---|
etmoutr ichesl idons	-|---|-⌫----|-⌫|---|
Oïluoi r sire fet licuens	---|---⌫|---|--|-|----|
Moutestli dons et biauset	---|--|-|---|-|----|-|
be leetsage	--⌫-|-|---|
Etsi es tmout	-|-|--⌫|---|
d ehautparage	-⌫|---|-----|
S achiezquesamere	-⌫-----|--|-|---|
estmasuer.	--|-|----|
Certesmoutan ailiéle	-----|---|-|-|---|-|
maniece auoir deig nie z.	-|----|----|----⌫---⌫-|
An cor u ospriqueuosuei gniez	--⌫--|-⌫-|--|--|--|---⌫----|
Amoiherbergier	|--|---------|
anuit mes.	----|---|
E re cres pont L eissiez manpes	-⌫--⌫|---⌫---|-⌫------||-|--|
Nelferoiean nule menie re.	--|-----|-|---|-----⌫--|
Cil uoitnia mestier pr oiiere	--|---||||------|--⌫-----|
SidistSirea uos tre	-|---|---||---⌫--|
Orno sanpoons	-|--⌫|-|----|
bien te is ir	---|--⌫--⌫-|
Mes giéet micheualiert u it	--|---|-|-|--------|-⌫-⌫-|
Seron sauuecuosm es an u it	-----⌫|----|--|-⌫-|--⌫-⌫-|
etporc onpeig nie.	-|--|-⌫------⌫---|
QuantErecl ot	----|---||-|
silan mercie .	-||-|------⌫|
uenuzest Erecchi és	----|--|---|---⌫--|
cu ensauueclui	--⌫--|----|--|
Dames etch eualiersi ot.	----|-|--⌫-------||--|
Liuauassors mo utsan esiot.	-|--------|--⌫-||-|-----|
Tot maintenantque Erecuint	--|---------|--|---|---|
uasletcoruren tplusdeuint	-----|-------⌫|---|-|---|
Porl ui desarmera esploit.	--|-⌫-|-------||-------|
mei son estoit	---⌫--|-----|
Moutpooitgrant ioie	---|----|----|---|
Er ec sal apremiersseoir	--⌫-||--⌫|-------|----|
Puis sassieenttu itparlesrans	---||-------|--⌫-|--|--|---|
Sorli zs or coutes e t sorbans.	--|--⌫|-⌫-|-----|-⌫|--|----|
LezErecsest licuensassis	--|---||--|-|----|----|
E tl a pucele o l e	-⌫|-⌫|-----||-⌫|
Quidela letedun plou ier	--|-||-⌫---||-|----⌫--|
Peissoits or son	-------|-⌫-|--|
poinglespreuier	----||--------|
Porcui labatail le otesté.	--|--|-|------⌫-|-|-----|
Mout auoitle iorconquesté	---|----|-|--|---------|
Enoretioieets eignora ge.	---|-|---|-|-⌫-------⌫--|
Mo ut estoitlieeanson corage	--⌫-|-----|---|-|--|-----|
d esonseigno r	-⌫|--|------⌫|
Nepota uoirioiegreignor	-|--|-⌫---|---|-------|
and e mostr asanbla nt.	-|-⌫-⌫-----⌫|------⌫--|
Nefistpassaioiean an b lant	-|---|--|-|---|-|--⌫-⌫---|
Que bien le sorent tuitetuirent.	--|---|-|-----|---|-|------|
Parlameisong rantioie fir ent	--|-|-----|-⌫---|---|---⌫--|
Tuitpor amorde l a	---|--|---|-|-⌫|
uauassorapele	-------|----|
Siliacomancié adi re	-|-||--------||--⌫-|
Biaus ostesbiausamisbiaussire	----|----|----|---|----|---|
Moutm auezg rantenor po rtee	---||---|-⌫---|---|--⌫---|
Mesbienuos	--|---|--|
iertguerredo nee.	---|--------⌫---|
Demainanmanrai	-----|-|-----|
auue c mo i	----⌫|--⌫|
uostre fille ala	-----|----||-|
cortleroi.	---|-|---|
Lalauoudraiafam e pr an dre	-|-|------||---⌫|--⌫--⌫--|
i luos plestunpo a t andre	-⌫|--|----|-|-|-⌫-⌫----|
Parta ns u osanuoieraiquerre.	--|--⌫-|-⌫-|--------|------|
Mene ruos fer ai an lat erre	----⌫|--|---⌫-|-|-|-⌫---|
Quimon pere est etmoie a prés	--|--|---|--|-|---|-⌫----|
de cin estmiepres.	-|-||--|--|----|
Ilue cuo sdon rai de uschastiaus	----⌫|--⌫|---⌫--|--⌫-|--------|
Moutbu ens	---|--⌫--|
mout ric hesetmout bia us.	---|---⌫--|-|---|---⌫--|
S ireseroizde Roa dan	-⌫--|-----|-|---⌫--|
Qu i fu fezdesletansAdan	--⌫|-|--|--|-|---|---|
Etdunau tre	-||-|--⌫--|
chastelse lonc	------|--⌫---|
Quineuaut m ie mains unionc	--|-|---|-⌫-|----|-|---|
Lesianz l a pel en tM ontr euel	--|---||-⌫---⌫--⌫|-⌫----⌫---|
Mon pe ren amellorchastel.	--|--⌫-|||-----|-------|
Etainzque soittie rziorz passe z	-|---|--|---|---⌫-|---|-----⌫|
uos au raia nuo iie ́assez	--|--⌫--|-⌫---⌫---⌫|----|
Oretar iant et uer etgris	-|-|--⌫---|-|--|-|---|
Et drasde soiedechier pris	-|---|-|---|-|----|---|
Po ruestiruosetuostrefame	--⌫|-----|--|-|-----|---|
Quiestlamoiechiere dame.	--|--|-|---|-----|----|
Demainpar s onl	-----|--|-⌫-||
aubedelior	---|--|--|
An telrobeeta ntelator	-|--|---|-|-⌫|--|---|
uostre fil leacort.	-----|---⌫-||----|
Ie uuel quema	-|---|--|-|
dame latort	---||----|
s oe robe demainne	-⌫-|---|-------|
De s amiz etd edras an grainne.	-|-⌫---|-|-⌫|---|-|-------|
Unep uc eleestoi tlean z	--|-⌫--⌫--|-----⌫|----⌫|
Moutpreuzmoutsag e mout uaillanz	---|----|---|---⌫|---|-------|
p ucel eaucha insebla nc	-⌫----⌫|-|---⌫---|---⌫-|
Sestoitass ises or unbanc	|-----|---⌫--|-⌫-|-|---|
Et sacosine	-|-|-----|
estoitgermainne	-----|--------|
le con te de m ainne.	-|---⌫-|--⌫-⌫-----|
Qu antlap aroleot antandue	--⌫--|-|-⌫----|-|-------|
Quesit resp our emant uest ue	--|-|-⌫--|-⌫---⌫----|----⌫-|
Anuoloitmenersacosine	-|-----|----|-|-----|
lac ortlareïne	-|-⌫--|-|-----|
Apar oleanamis	|---⌫--|-||--|
Sirefet e lemoutgranthonte	---|--|-⌫-|---|----|----|
Seroitauosplusqu	-----||--|---|-|
an men oita uueclui	-|---⌫--|-⌫---|--|
u ostr eniecesipo uremant	-⌫----⌫|----|-|--⌫------|
Atorneedeuestemant.	------|-|---------|
Etlicuen srespont Ie u ospri	-|-|----⌫|------|-|-⌫-|--|
Ma douceniece d onezli	-|----|----|-⌫---|-|
Deuoz robes	-|--|----|
La me l lorque	-|--⌫-⌫--|--|
uosisa u ez.	--||--⌫-⌫--|
Ereca lapa r oleoïe	---||-|--⌫-⌫--|---|
Etdist Sirenanparlez	-|---|---||-|-----|
U nechose sachiez	-⌫-|----|------|
Ne uoudroie pornule	-|-------|--|---|
Quele eüstdautre	-|--|----||----|
robepoi nt	---|---⌫-|
Iusquelareïneli doint.	-----|-|-----|-|-----|
Quantladameisele loï	----|-|--------||--|
Lors respondi Haï	---|-------|---|
Biaussirequantuos antel	----|---|----|--|-|--|
chainseet ansa chemi se	------|-|-|-|-----⌫-|
M acosin ean	-⌫|-----⌫|-|
uolezmener	----|----|
Un autr edonliuuel doner	-|----⌫|--|-|---|----|
Quantuosne	----|--|-|
u olezantreset	-⌫---|-------|
Q ue nul e demes robes et.	-⌫-|---⌫|-|--|----|--|
Ie a i troispalefroizmout	-|-⌫|----|--------|---|
Onqu esm ellors not roisne cuens	----⌫-|-⌫-----||-|---|-|----|
ueretunbauçant.	--|-|-|--------|
S anzma ntirlaouan ac ̧ a nt	-⌫--|--⌫---|-|-|-||-⌫-⌫-⌫-|
ap as un mel lordeluer.	|-⌫-|-|---⌫--|--|---|
Lioi selqui uol entp ar l	-|--⌫--|--|---⌫--|-⌫-||
Ne uontplust ost	-|---|---|-⌫--|
delpalefroi	--|-------|
E t sin est	-⌫|-||--|
pasdegrant	--|-|----|
Teusest comeapuceleestuet	---|--|---||-----|-----|
che uau chierlepuet	---⌫---⌫----|-|---|
Q ui lnest onbrages ne	-⌫|-⌫||--|-------|-|
nef iertnen e stragis.	-|-⌫---|-||-⌫-|-----|
Quime llorquiert ne	--|--⌫---|-----|-|
setqu iluiaut	--|-|-|----|
cheuauch ene sediaut	--------⌫|-|-|----|
Ainzu aplus eiseetp lussoef	---|-⌫|---|---|-|-⌫--|---|
Que sil es t oitanune nef .	--||-|--⌫-⌫--|-|--|---⌫|
Erec Ma douce amie	---|-|----|---|
De c es td on	-|-⌫--⌫|-⌫-|
nemepoi semie	-|-|---⌫-|--|
S el e le prant	|--⌫|-|----|
ei nc ̧oismeplest.	--⌫--⌫---|-|-----|
Neuuel miequele le	-|---|--|-|--|-|
Totmaintenant	--|---------|
la dam eisele	-|---⌫-----|
Unsuenseriantpriue ́apele	-|---|------|-----⌫|----|
Silidist Biausamis alez	-|-|---|----|---|---|
M on pal efroiueranselez	-⌫-|---⌫----|--|------|
amenezis nele mant.	-----|--⌫----⌫----|
son coma n de ma nt	--|----⌫-⌫--⌫--⌫-|
Le cheualanseleet anfrainn e	-|-----|-----|-|--------⌫|
Delbienaparel lie rsepainne	--|---|------⌫---⌫|-|-----|
Puism o n teel pa lefroicrenu.	---|-⌫-⌫-⌫-|-|--⌫-----|-----|
Ez u osl e palefroiuen u	-|-⌫-|-⌫|-------|---⌫|
Quant Ereclepa le fro i ui t	----|---|-|--⌫--⌫---⌫|--⌫|
Ne leloa mie petit	-|-|--|--|----|
Carmout leuitet bele t i ant.	--|---|-|--|-|--|-⌫|-⌫---|
Puiscomandaa unseriant	---|------||-|------|
Quanl establel ez	-|-||------|-⌫-|
sondestr ier	--|-----⌫--|
palefroi loiier.	-------|------|
At antse departi r enttuit	|-⌫--|-|-------⌫-⌫--|---|
Grant ioieorentfet celenu it .	----|---|----|--|---|--⌫--⌫|
sonostels anuet	--|----||-|--|
Erecchiésleuauass orlet	---|-----|-|------⌫-|--|
Et ditqu illeconuo i e ra	-|--|-|-|-|-----⌫-⌫-⌫-|
A uma t in	-⌫|--⌫-⌫-|
quantilsanir a.	----|-||-|--⌫-|
Celenuit onttotedormie.	---|---|--|---|------|
Auma inquantl aub eest esclarcie	-|--⌫-|----||---⌫|--|--------|
Er ecs atorne de l aler	--⌫-||-----|-||---|
Se s ch euaus	--⌫|--⌫----|
comandeanseler	------|------|
bel eesuoille	---⌫|-------|
ato rne et	---⌫--|-|
aparoille.	---------|
Li uauas so rslieu e etsa	-|-----⌫--⌫-|----⌫|-|-|
N iremaintcheualiers ne	||------|---------|-|
Q ui nes atort	-⌫-|-||----|
porconu oiier	--|----⌫----|
Lapuceleetle cheual i er .	-|-----|-|-|------⌫-⌫--⌫|
Tuit sontmontéetlicuensmonte.	---|---|-----|-|-|----|-----|
Erec cheuauchelezle conte	---|--------|--|-|----|
Et dele z lui	-|----⌫|--|
sa do uceamie	-|--⌫--|---|
Quile spreuierno bli amie	--||-⌫-------||-⌫---⌫|--|
Asonespreuie rse	|--|--------⌫|-|
Nuleaut re richesce	---|---⌫-|-------|
Gra nt ioi eo ntfet	---⌫-|---⌫|-⌫-|--|
auc onuoi ier.	-|-⌫-----⌫---|
Au dep artiru osta nuoiier	-|---⌫----|-⌫--|-⌫------|
Au ue cE recunepartie	--⌫--⌫|-⌫--|--|-----|
desac heu a l erie	-|-|-⌫---⌫-⌫-⌫---|
Porce quenor lifeïs s iént	--|-|-|---|-|-----⌫-⌫----|
Seauue cluis an alissién t	-|----⌫|--||-|---------⌫|
Mesil di st	--|-|--⌫-|
quenuln an m anr oit	--|--||-|-⌫---⌫--|
Neconpeignie ne quero it	-|---------|-|-----⌫-|
Fo rsl apucel esoleman t .	--⌫-|-⌫|-----⌫|-------⌫-⌫|
Pu islor distA Deuuo scomant	--⌫-|--|---||--|--⌫|-----|
Conuo iiélesorentgrantpi e ce.	-----⌫---|--|----|----|--⌫-⌫--|
Lecu e nsbeis eErecetsani ece	-|--⌫-⌫-|----⌫|---|-|-|--⌫--|
Si lescoma ndeaDeule pi.	-|--|----⌫--||--|-|--|
Lepereetlamereautressi	-|---|-|-|---|-------|
Lesb eisentsouante tme nu.	--|-⌫-----|-----|-⌫|--⌫--|
Deplorernesesont tenu	-|-----|-|-|---|---|
Au departirplorela mer e	-|-------|----|-|---⌫|
P lorelapuceleetlipe re.	-⌫---|-|-----|-|-|--⌫--|
Teuse stamor steusest nat ure	---|-⌫-|----⌫|---|--|---⌫--|
Te us e s tpitiezdeno rreture.	--⌫-|-⌫-⌫|-----|-|--⌫-------|
Plorerl es	-----|-⌫-|
feisoitla pitiez	------|-|-----|
Etladouçorse tlamistiez	-|-|-------|-⌫||-------|
Qu ilau oient delora nfant	-|-|--⌫----|-|--|-⌫----|
Mesbiensauoient nep orquant	--|---|-------|---⌫------|
Quel orfillean telleu	--|-⌫-|----|-|--|--|
Dongranzeno r s lorauan dr oit.	--|----|---⌫-⌫|--|----⌫--⌫---|
D amo ret de pitiéplor oient	|---⌫|-|-|-----|----⌫----|
Qua ntd elorfil le departoient	---⌫-|-⌫|--|---⌫-|----------|
Neploroientporautre	-|--------|--|----|
B iensauoie ntqu	-⌫--|------⌫-|-|
alaparclose	|-|-------|
Anseroientileno ré.	-|-------|-|---⌫---|
Moutontaudepar ti rploré	---|--|-|-----⌫--⌫|-----|
Plorant aDeus	------||--||
antrec omandent	------⌫-------|
Or san uont queplusn	-||-|---|--|---||
i atan den t.	|----⌫---⌫-|
Quemeruo illes liestoit	--|-----⌫----|-|-----|
Que a lacort le roiuenist	--||-|---|-|--|-----|
Des a uanture sesioïst	-||-⌫------||-------|
Moutestoit	---|-----|
s auanture	|-------|
Quam i e ot beleadesmesure	-|--⌫-⌫|-|---||--------|
Sageet corto iseetdeboneeire.	---|-|-----⌫--|-|-|---|----|
De lesgardernepotpreufe ire	-||-------|-|--|---|--⌫--|
Q uantpluslesgardeplusliplest.	-⌫---|---||------|---|-|-----|
Nepuetmuer qu	-|---|---|-|
uolanti erspres deli setret	-------⌫--|---|-|-|-|---|
esgarder se r efet.	-------|-|-⌫----|
Moutr emire so n chiefleb lont	---|-⌫----|--⌫|----|-|-⌫---|
Sesiauzrianzet son	--|---|----|-|--|
Lenezet la face et la boche	-|--|-|-|---|-|-|----|
Dongranzdouçors au cu e r lito che.	--|----|-------|-|--⌫-⌫|-|--⌫---|
Tot remire iusqu alahanche	--|-----|----||-|-----|
Lemantonet	-|-----|-|
la gorge blanche	-|----|------|
Flans etc ostez etbraz etmains	----|-|-⌫----|-|---|-|----|
