anceltans quelimostier	-|--|---|--|-|------|
siesprisdunees p eriteil	-|-----||--|--⌫-⌫------|
illisembloitbienque totesatri st esce	-|-|-------|---|--|---|-|---⌫--⌫---|
fust assouaigie etc ommanda ta ntostque	---|---------|-|-⌫------|--⌫----|--|
balaamfu tamenezdeuan tlu e tilsifu.	-----|--⌫|-----|-----⌫|-|-⌫|-|-|-||
etqu a ntilleu istsile salua mont	-|--⌫-⌫-|-|-|-⌫--|-|-|----|---|
debonairement et	------------|-|
commendai as ons ergentqu ilsanalas t .	--------||-⌫-|-⌫-----|-|-||-|----⌫||
etquantil sanfuale zs idit	-|----|-||-|-|---⌫|-⌫|--|
ios ap hataba laammoustremoilapi errepreciou sedo nmes	---⌫--⌫--||--⌫---|------|--|-|--⌫---|-------⌫-|--⌫|--|
sergen zma dites meruo illes.	------⌫|||----|-----⌫----||
et bal aamli	-|---⌫--|-|
respondiie	-------|-|
s aroiemont	-⌫----|---|
f ouxseiefaisoie	-⌫--|-|-|------|
s auoirnonentenda n ta t ahau teste	-⌫----|--|-------⌫-⌫||-⌫|---⌫----|
por ce ne doutem ie que ie	--|-|-|----|-⌫-|--|-|
disa ton sergantne s oient	--||--|------|-|-⌫----|
u oi resm e s	-⌫--⌫--|-⌫-⌫|
se genauoie auantesp roué to n sa n et	-|-||----|----|---⌫----|--⌫|--⌫|-|
ta ualorienetemiesihaute	-|----|-|-|-|--|-|----|
c hos e mou st rerquar	-⌫---⌫|---⌫--⌫--|---|
honsestoitqu isemoi tete ndem antresquil se moi tune	---|-----|--⌫|-----⌫|-|-⌫----⌫-------|-|--⌫---⌫|--|
laseman ce	-|-----⌫-|
chaydelail auoieet	---|-|--|-⌫|---|-|
oi seluind re nt	--⌫--|----⌫--⌫-|
meingerent etzz	---------|-|-|
autre partieanchayentr elespierres	----|-----|-----|----⌫|--|------|
ouiln auoit	-|-||----|
mie montterreetcele parti eleuameintenantpor	--|---|----|-|---|-----⌫|---|---------|--|
niauoitmieterre parfonde .	||----|--|----|-------||
etquantli selouxeschaufai silesechai	-|----|-|-----|--------|-|-|-----|
porce qu el en	--|-|-|--⌫||
auoitnule racine.	----|---|-----||
uneautrepart iech e yantrele sespines	--|----|----⌫-|--⌫-⌫|----|--⌫|------|
et lesespinesleue ren tetl	-|--|------|----⌫---⌫|-||
estaindrent.	----------||
uneautrepart iean	--|----|----⌫-|-|
t er reboneet porta frutacent doubles.	-⌫--⌫-|---|-|----|---||---|------||
por cedigequesegetruisan	--|-|-|-|--|-|-|----|-|
to n cuerdebon e	--⌫|---|-|---⌫|
t errequidoieporter	-⌫---|--|---|-----|
frutieisemerailadiuinesemancee t	---|-||------|-|-----|------|-⌫|
tedescourerailemystere .	-|----------|-|------||
et s e getrui ster reper rouseneespinouseie	-|-⌫|-|----⌫|---⌫-|---⌫----|-|--------|-|
n i espandraimiela seinte	||--------|--|-|-----|
semance p o rdonermaingierasbestesneas	------|-⌫-⌫|----|-------|-|-----|-|-|
o ysiauxdeuant les que xilmest	-⌫-----|-----|--|---⌫|-||--|
co nm andez queienemete	--⌫--⌫----|--|-|-|---|
mie lesmargari tes.	--|--|-------⌫--||
et si ne di	-|-|-|-|
c equeie n e croiebien que	-⌫|--|-|-⌫|----|---|--|
ge trouer aiantoi assezde bienset qu e tu	-|------⌫-|-|--|----|-|----|-|--⌫|-|
uerras l a pierrepreciouseetseras	-----|-⌫|-----|--------|-|----|
enluminezdes a clartequar bi e n	--------|-|-⌫|-----|---|--⌫-⌫|
saic hesqueie	----⌫--|--|-|
de loingp ortoi	-|----|-⌫-|--|
ensegnierc e quetu noysonques.	--------|-⌫|--|-||--|-----||
iosaphat lirespondi etdisthay	-------|-|-------|-|---|--|
e noraubl esuel larzsetu s auoie s cong es u is	-⌫-------⌫-|---⌫---|-|-|-⌫-----⌫|--|-⌫|-⌫-⌫-|
des sierranz d o ir a ucunebonech ose et	---⌫-------||-⌫-|-⌫----|---|--⌫--|-|
profitauble .	----------||
setediquilmese mble	-|-|-|-|-|-|--⌫---|
que touzl i cuersma rde	--|---|-⌫|----||-⌫--|
de dansl e corsdelgra nt d essierre que	--⌫---|-⌫|---|--|---⌫-|-⌫-------|--|
quariai montlonguemantestétristes	---||-|---|---------|----|------|
deceque iene	-|-|--|-|-|
tr ouoieh o mequicons e ill ier m anseust.	--⌫----|-⌫-⌫-|--|----⌫-⌫---⌫--||-|----||
et s e i etr ouoie aucunqui aucun	-|-⌫|-⌫|--⌫----|----|--|----|
bienmensegnast ge te	---||--------|-|-|
diquilne perdr oitm iesapoi ne	-|-|-|-|-----⌫--|-⌫-|-|---⌫-|
cu it miequidonastsa	--⌫-|--|-||-----|-|
semancea us bestesne	------|-⌫-|-----|-|
auxoysiau sq ua r ie lareceurailiemant	--|------⌫|-⌫--⌫|-|-|-------|------|
et saigemant lagu ar de rai.	-|--------|-|--⌫--⌫--⌫--||
porcetepriquesetum e sez	--|-|-|--|--|-|-|-⌫|--|
nulbi enensegni er qu e	--|--⌫-|-------⌫-|--⌫|
tu ne mece lermieme sdi	-|-|-|--⌫--|--|--⌫|-|
lem oi seurementqu ar puisquege oy que	-|-⌫-|--------|--⌫-|------|-|-|--|
t uest oiespormoiue nu sdeloint aingpa is iet e	-⌫|---⌫---|--|--|--⌫--⌫|-|-----⌫---|--⌫-|-|-⌫|
diquelarme dem o i e nfu	-|--||---|-|-⌫-⌫|-⌫|-|
esperanceq uege auroie portoi	--------|-⌫-|-|-----|--|--|
c equegeh ai	-⌫|--|-|-⌫-|
silonguemant	-|---------|
des si erré.	---⌫--⌫----||
c etefisgemaintenantant rer ceanzet fu	-⌫|-|--|-|---------|---⌫--|----|-|-|
plus li ezdetauenue que ge	---|--⌫-|-|-|----|--|-|
nefus edenulamique	-|---⌫|-|--|--|--|
et balaamlidis t	-|-----|-|---⌫|
de ce feistu	-|-|---|-|
m ontbie n quet une	-⌫--|---⌫|--|-⌫|-|
pri smiega rdeama pu itesce par	---⌫|--|--⌫--||-|--⌫-----|--|
augrantbien q u etu	-|----|---|-⌫-⌫|-|
cu doiespar	--⌫----|--|
ensintle fist ia disun srichesroys.	-----|-|---|--⌫--|--⌫|-----|---||
ilauintunior	-|----|-|--|
sicomilaloit encur redoréqui l	-|--|-|----|-|---⌫-|----|-|-⌫|
e ncontraiy y homes montpouremantu e stuz	-⌫-------|-⌫|----|---|--------|-⌫-⌫---|
e tmoultm aigresetmoul tpaules.	-⌫|----|-⌫-----|-|----⌫|-----||
et quantliroys les	-|----|-|---|--|
uistsi sout	---|-|---|
bienqui lestoientsim aigr e	---|-|-⌫|-------|-|-⌫----⌫|
et sip auleparlesgranz	-|-|-⌫---|--|--|----|
trauaxet lesgranzmesai sse zquil auoient eues	-----|-|--|----|-----⌫---⌫|-|-|------|---|
ouseruisel oucriator etq u e	-|------|-⌫-|------|-|-⌫-⌫|
por amor de	--|---|-|
luiesto ient	--|----⌫---|
en sip oure abit ete n si uil.	-|-|-⌫---|---|-|-⌫|-|--||
bar on et li	---⌫-|-|-|
autre home quiauec	----|---|--|---|
luiestoientuirentcesi eno rent	--|-------|-----|-|-|-|-⌫---|
des deingquarillorfua uisquifi thonte	---⌫----|---|-|--|-|-⌫--|-||--⌫|----|
asaroyallignie.	|-|----|-----||
etporceque	-|--|-|--|
i l me ismesnelen osse rent blasmernereprandresi	-⌫|--⌫----|-||-|----⌫---|------|-|--------|-|
uinrent a unsuen frereet lip rie rent qu	------||-|---|----|-|-|-⌫---⌫---|-|
il lanc hastiast et r epr eist	-||-|-⌫-------|-|-⌫---⌫---|
siq u ilnesab aissat mie ta ntune	-|-⌫|-|-||--⌫-----|--|--⌫-|--|
autr efoiz q uilennorastnenefeistsi	----⌫|---|-⌫|-|-------|-|-|----|-|
grant ioie as i p o ure spersones	----|---||-⌫|-⌫-⌫---⌫|-------|
etsi d espites.	-|-|-⌫------||
etqua nt cil o utleroybla smé et	-|---⌫-|--|-⌫-|-|--|---⌫---|-|
reprisdece qu il	-----|-|-|-|-|
estoitta nthumiliezue r s lesy yhomessina n	-----|--⌫-|-------|--⌫-⌫|--|-⌫|----|-||-⌫|
fi stmieliroysgrantch iere acele foz	--⌫-|--|-|---|----|--⌫---||---|--|
liroysauoit teil	-|---|----|---|
costumequequa nt au scunsestoit	------|--|---⌫-|--⌫----|-----|
e n sacortiugieza mort ila nuoioitzzde	-⌫|-|---|-----||---|-|-⌫------|-|-|
s es bediaux atoutu ne	-⌫-|------|----|-⌫-|
bousi neasa porteetporces au oit	-----⌫-||-|----|-|--|-|-⌫--⌫--|
touz lipueplesque	---|-|------|--|
ci le stoiti ugieza mort	--⌫|-⌫----|-⌫----||---|
qu antli roysfureuenuz	--⌫--|-|---|-|------|
p elas etd escenduzde soncu rre si	-⌫---|-|-⌫-------|-|--|--⌫--|-|
badielqui a	-----|--||
cest mestieres toitesta ubliz bus ineralapo rteson	---|------|--⌫---|----⌫----|---⌫---||-|--⌫--|--|
quantciloy la	----|--|-|-|
b usinede mor tasa portesisedesperai	-⌫----|-|---⌫||-|----|-|-|-------|
desa uie etfistmontgrantduelsique	-|-|--|-|---|---|----|---|-|--|
t o te celenuitdegastaem ploursetenlarmes	-⌫-⌫-|---|---|------|-|-----|-|-|-----|
e tlematin seuest iau	-⌫|-|----|-|----⌫|-|
pluspoureman t	---|--------⌫|
pou stet alai auecsafammeet	---⌫-|-|---|---|-|----|-|
sesanfa nz a la p ort e le	--|----⌫-||-|-⌫---⌫|-|
roycria ntetfes antmontgrantduel	--|----⌫-|-|---⌫--|---|----|---|
etliroysle manda i deuantsoi etdi st	-|-|---|-|-----⌫|-----|--|-|--⌫-|
h ayn icesetfouxse tu	-⌫-|-⌫---|-|---|-|-|
paour deceque li serganzto ngermei nfrer ecu	----|-|-|--|-|------|--⌫|------⌫|----⌫|-|
tu nasforfai tbusinai ata	-||-|------⌫|------||-|
porteporquoime repris tud onc de	----|--|---|-|-----|-|-⌫--|-|
ce quegeme	-|--|-|-|
humiliaiu ersles s er gensmondeuquimont	-------|-⌫--|--|-⌫--⌫---|--|--|--|---|
plusdesr ain i emantque par bu sineme	---|----⌫---⌫-⌫----|--|--|--⌫---|-|
se ne fi erent lamortet uers	--⌫--⌫--⌫----|-|---|-|---|
cuii aim aintesfo ismespris	--||-|-⌫-----|--⌫-|------|
etpech i é	-|----⌫-⌫-|
se fice portoi reprandre detafolieet	-|-|-|--|--|--------|-|-|----|-|
or re pr endraica uxquice te feirent	-|--⌫--⌫-----|--⌫-|--|-|-|------|
quantl i roisoustson frere asa meson	----|-⌫|---|---|--|----||-|----|
siconme ndaiquem li	-|-----⌫---|-|-|-|
fe istyyes crinsyymont richeman t	--⌫--|-|--⌫----|-|---|--------⌫|
dorez yy a utres lexet	----|-|-⌫----|--|-|
poures ethydeus.	-----|-|-----||
es yy esc rinsdorez fistmetr echaroignemoult p uant	-|-|---⌫---|----|---|----⌫|--------|----|-⌫---|
esyyautr esescrins fistmetre	-|-|----⌫-|------|---|----|
pierrespr eciouse s agrantplantede bonesletuaireset de	------|--⌫-------⌫||----|-----|-|----|--------|-|-|
riches espices.	-----|------||
et puisfistapelerca ux qui l	-|---|---|-----|--⌫-|--||
a uoi ent fetb lasmer asonfrereet	-⌫---⌫--|--|-⌫-----||--|----|-|
lordit qu illi	--|--|-|-|-|
deissen tl iq uelescrin fesoient	-------⌫|-⌫|-⌫--|-----|-------|
e noreoulibia ulou	-⌫---|-|-|---⌫-|-|
li hydoux.	-|-----||
i l li respondirentque libelfasoi entplusachier	-⌫|-|-----------|--|-|--|-----⌫--|---||----|
tenir et li roy slordist	----|-|-|---⌫|--|---|
ie sa iuoiebienqueceme	-|--⌫----|---|--|-|-|
respondriezuos quaruos r egar dez des	----------|--|---|--|-⌫----⌫--|--|
foreinsieulz lesforeinnes	------|----|--|--------|
c hosesqui	-⌫----|--|
suntd edens.	---|-⌫----||
atantcommendaiaour ir le s escrinsdorezet quantil	----|--------||---⌫-|--⌫|------|----|-|----|-|
furentouert	-----|----|
unes igranz puors qua poi nesle	--|-⌫|----|----|-||---⌫--|-|
p o uoients of rir cilqui laiestoient	-⌫-⌫-----|-⌫--⌫--|--|--|--|-------|
et liroys lorditilresamble ntles	-|-|---|--|--|-|--------⌫-|--|
riche setles puisanzd ece t sieclequ isont	-----⌫|-|--|------|-⌫|--⌫|-----|--⌫|---|
belet parantde h o rspor	--|-|-----|--⌫-⌫-⌫-|--|
lesrich esrobes	--|----⌫-|----|
quilontuestueset d ede ns son t mort et	-|-|--|------|-|-⌫---⌫-|---⌫|---|-|
p uantp orlesmal uaisesoiur es qu ilontfetes	-⌫---|-⌫-|--|---⌫-----|----⌫-|-|-|--|----|
puisfit o ur ir le sau tres	---|--|-⌫--⌫-|--⌫|--⌫---|
yye scrin s	-|-⌫-----⌫|
etuneo dours enissi	-|--|-⌫----|-|---|
douceetsouef sique tuitcil quila se ntirent	----|-|----|-|--|---|--|--|-|--⌫------|
enfurentr e plein.	-|-----|-⌫-⌫----||
etliroysl or di t ceschoses	-|-|---|-⌫-|--⌫|--|-----|
sont semblauble s ausyy poureshomesqu e siesto ient	---|----------⌫|--|-|-----|----|--⌫|-|----⌫---|
po u remant uestu	--⌫-⌫-----|----|
desquexuo smerepristespo r	--|---|--⌫|-|--------|--⌫|
lesenoraiquaruos neuos pregnez	--|-----|---|--|-|--|------|
gardequede lor pou re abit	----|--|-|--|---⌫-|---|
pardehors.	--|-----||
lesregarda	--|------|
des ieul zdelcu eret uis les r iche sces	--|----⌫|--|--⌫-|-|--|--|-⌫----⌫---|
donlor armesesti entao r nees	--|--|----|----⌫--|--⌫-⌫---|
etporceles en orai gesi	-|--|-|--|--⌫---|-|-|
comme ueistes etsege loreusse fei t yyplus	----|------|-|-|-|--|----|---⌫|-|---|
denorque gene fi s	|---|--|-|-|--⌫|
s enfusent ilbi endign e.	|-|-----|-|--⌫-|----⌫||
enceste maniererepristlir oysc e a ux	-|----|------|------|-|-⌫--|-⌫-⌫-⌫-|
de lorfolieet lor	-|--|----|-|--|
dit quilne	--|-|-|-|
f usientmesd e ceuporles	-⌫-----|--|-⌫-⌫--|--|--|
chosesquiaper entpar dehors mespris sentgardees	-----|--|----⌫--|--|-----|--|----⌫---|----|-|
chosesd ed enz	-----|-⌫--⌫--|
tuesfei taus icomm e fistcilbons	-|-|---⌫|---⌫|----⌫|---|--|---|
roysq uine pris	---|-⌫-|-|---|
mie gardea ma	--|----||-|
pouretepar d ehorse inzfus	------|--|-⌫----|-⌫--|--|
enbon espe ranceq uil	-|--|----⌫----|-⌫|-|
eustenm oiauscun	---|-|-⌫-|-----|
bienpardedens.	---|--|-----||
lo rslidi st iosaph attuma s montcouenaublement ces	--⌫-|-|--⌫-|------⌫-|-||-⌫|---|-------------|--|
c hosesmonstreesmesor tepri	-⌫----|--------|--|-|-|--|
die sq uies tlisires d ontumeparlasqui	---⌫|-⌫-|--⌫|-|----|-⌫-|-|-|-----|--|
auoi tparle ́ de	----⌫|-----⌫|-|
b alaamlire spondietdistse	-⌫----|-|--⌫-----|-|---|-|
m onseg norquon oistremessire s	-⌫-|---⌫--|----⌫-----|--|----⌫|
est ihesuli filsdeuquiestroysde s	--|----|-|---|--|--|--|---|--⌫|
royse tsiresdes segnour squarbien	---|-⌫|----|--|-------⌫|---|---|
saich ezque	-----⌫-|--|
gene sui s	-|-|---⌫|
mie de ceaux	--|-|----|
qui aore nt lesydoles	--|----⌫-|--|-----|
einz croietaor deuenyy person eslepere	---|---|-|--|--|-|-|------⌫-|-|---|
etle filet le sei n tespe riste t	-|-|--|-|-|---⌫-⌫|----⌫---|-⌫|
enun e natureete n	-|--⌫|-----|-|-⌫|
unesustance	--|-------|
eten une g loireeten unregne	-|-|--|-⌫----|-|-|-|----|
cilfist dene antto tes	--|---|-|--⌫--|--⌫--|
cho sesueau blex etnean tueaubles.	---⌫--|----⌫---|-|----⌫|-------||
tost auant fist les	---|----|---|--|
ne anzueaub le suer tuzet	--⌫--|-----⌫--⌫|---⌫--|-|
lescelesti auxcompagn i eset	--|-------⌫--|-------⌫-⌫-|-|
l es neant corpo rexministr es	-⌫-|----|-----⌫--|-------⌫-|
porlu seruir.	--|-|-----||
apres fi tce mondeueaubleleciel	----|--⌫|-|----|------|-|---|
later reetlamer .	-|---⌫-|-|-|--||
etporlemondeenluminer aornai lecielde	-|--|-|----|--------|-----|-|---|-|
seloiletde laluneet	-----|-|-|-|---|-|
d e setoileset la ter re a orna dediu erses	-⌫-⌫|------|-|-|---⌫-|-⌫---|-|---⌫----|
mani eresdarbr eset de bes te s	----⌫---||----⌫-|-|-|---⌫--⌫|
etla mer dediuer ses menier ede poiso ns	-|-|--|-|-----⌫--|------⌫|-|-----⌫-|
apresforma homede sesma insle cors for ma de	----|----|---|-|--|--⌫--|-|---|---⌫-|-|
la po udredela	-|--⌫---|-|-|
te rr eet donaparsonp ropreso uflemantau co rsarme	--⌫--⌫|-|---|--|--|-⌫----|--⌫-------|-|--⌫-|---|
raisounaubleetentendaub lequilc reaasygmage	-----------|-|---------⌫-|-|-|-⌫--|||-----|
eta sa se nblence.	-||-|--⌫------||
de celhomequil andormi	-|--|---|-|-|------|
fist il dunede	---|-||--|-|
ses coste s une famme	--|-----⌫|--|----|
san blaublea lui.	---⌫------||--||
etsi plantapar adis	-|-|-----|---⌫---|
de del itet del eesc eet	-|---⌫-|-|-|-⌫----⌫|-|
ilecq ues mistlom eque ilauoitformé .	-----⌫--|---||--⌫|--|-|----|-----||
etlia band ona	-|-|-⌫----⌫--|
tozl e sarbres depar a d isforsquez zsuelqui	--|-⌫-⌫|-----|-|---⌫-⌫-⌫-|------|-⌫|---|--|
es tapelezconois sancede bienet d ema ul etli	--⌫|-----|------⌫----|-|---|-|-⌫|--⌫-|-|-|
ditsit ost conuosgosteroit	--|-|-⌫--|--|--|--------|
de fruit decelarbre	-|----|-|--|----|
uosmoroizde	--|-----|-|
ilau int queli	-|--⌫--|--|-|
unsdesangresq uie stoitestaublizsor u nedes	--|--|-----|-⌫-|-⌫----|--------|--|-⌫-|--|
ordresdes celestiauxuertu zsetornai debien	-----|--|---------|-----⌫|-|-----|-|---|
enmalnonmiepornaturelestaublissement deso ncr eator	-|--|--|--|--|------|--------------|-|--⌫|--⌫----|
mespar laueluntede son	--|--|-|------|-|--|
franc iu gema nt	----|--⌫----⌫-|
etpa r so n	-|--⌫|--⌫|
o rguelreuelerm ontcontresonsegnor	-⌫----|------|-⌫--|-----|--|-----|
etson deu.	-|--|--||
e tpo rcefu a batuz des on	-⌫|--⌫|-|-|-⌫----|-|-⌫-|
desa digneteetcele	-|-|------|-|---|
g loir e etle non	-⌫----⌫|-|-|--|
perdiil side t out quamle ud	----|-|-|-|-⌫--|-|-|--⌫||
angele est ape lez deaubles et	-----|--|---⌫--|-------|-|
ain on sat hanas.	-|-⌫-|---⌫----||
quardexlegeta	---|--|-|---|
de ce lesouuerainegloireauoc grant	-|--⌫-|---------|-----|---|----|
multitude d el ordredesangele s	--------|-⌫||----|--|------⌫|
quid esouz	--|-⌫----|
luestoient quarpor c equil	-|-------|---|--|-⌫|-|-|
lai s serent delorp ropreuelu nte	---⌫-⌫-----|-|--|-⌫----|----⌫--|
etsaccor deren tau	-||-----⌫-----⌫|-|
mau let al a d eslea ute d e	---⌫|-||-⌫|-⌫-----⌫--|-⌫|
lorprincesontil	--|-----|---|-|
apelédeau bl e.	-----|----⌫--⌫||
et quantl ide a ub lesuis tqui l est oitcheuz de	-|----|-⌫|--⌫-⌫--⌫--|---⌫|-|-⌫|---⌫--|----|-|
cele gloire etquehome	---|-----|-|--|---|
estoitasigrantenoressauciezsieno u st	-----||-|----|---|--------|-|-|-⌫-⌫-|
anuie etsepo rpansa enq uel	----|-|-|--⌫-----|-|-⌫--|
maniereilleporoitdeceuoira estr ehors d ecele	------|-|-|-----|-------||----⌫|---|-⌫|---|
seinteconuersati o n .	-----|----------⌫-⌫||
il entraienzz serpent quifu	-|-----|-|-|------|--|-|
antre meuzdesadece uance etparl ou	-----⌫---|-|-|----⌫----|-|--|-⌫-|
s erpentdecustlafammeet	-⌫-----|-----|-|----|-|
par la famme	--|-|----|
lesout yy deceuz	--|--|-|-----|
e ti lorentmaigié d e cefrustdein obedian ce si	-⌫|-⌫|----|------|-⌫|-|----|-|--⌫-------⌫-|-|
furent yygitédesdelicesdeparadi s .	-----|-|----|--|------|-|------⌫||
parce steuictoireque l i deau blez out	--|--⌫--|-------|--|-⌫|----⌫---|--|
sorho mefuil siessa uci ezs or	--|--⌫-|-|-|-|----⌫---⌫-|-⌫-|
lumaine lignieq ui lm enai	|-----|-----|-⌫|-⌫|-⌫---|
mo ndea maul .	--⌫--||---||
etporce que n ostresiredexn e	-|--|-|--|-⌫----|---|--|-⌫|
que sa granzdesleautefust	--|-|----|--------|---|
simui ntepl ieesorterres i com menc ailedeluge	-|---⌫-----⌫--|--|----|-⌫|---⌫----⌫-|-|-----|
sor terre etfit	--|----|-|--|
perirtotearmeuiu e for ssuelemant zz	----|---|---|---⌫|---⌫|--------|-|
quitroua iustequ il	-||----|----|-|-|
sauuaienlarche luietsa famme	-----|-||----|--|-|-|----|
et sesa nf anz.	-|--|-⌫--⌫--||
quant luma ineligniefuderec hief	----||---⌫--|-----|-|-----⌫---|
creuee tmutep lieesorte rr e	----|-⌫|-----⌫---|--|--⌫--⌫|
simistrent deuen oblietanon chal oret	-|-------|--|-|---|-||--|----⌫-|-|
deuindrentan coreplusm auuai s que liautredeua nt n	---------|--⌫---|---|-⌫-----⌫|--|-|----|----⌫-||
auoie nt esté.	-----⌫-|----||
abandonn erentasigrantignorancequ	--------⌫----||-|----|--------|-|
ilcroioientqu e li	-|--------|--⌫|-|
mondesfutsos tenuz	-----|--|---⌫----|
porsoim e i sm esanz laydede	--|--|-⌫-⌫-⌫--⌫|---||---|-|
nulsegnor.	--|-----||
liautr ecuderentquelimondesfust faiz ansintcom me	-|----⌫|-------|--|-|-----|---|---|-----|---⌫-|
porfo rtun e	--|--⌫----⌫|
etpordestinee	-|--|-------|
liautre estaublirentdiuerses	-|----|-----------|-------|
mani eresdedex mei smes	----⌫---|-|--|---⌫---|
etenl ornous drecerentymaige s	-|-||-|---|--------|------⌫|
so rd esetm ues sanssens etsens	--⌫--⌫-|-|-⌫--|---|---|-|---|
antandem an tet lesa o reren t .	--------⌫--⌫|-|--|-⌫-⌫-----⌫||
liautreaorerent	-|----|-------|
louseloiletla	--|-----|-|-|
l une etl esestoile s quedex	-⌫--|-|-⌫-|-------⌫|--|--|
auoitest aublizpordonerl umiereaumond e	----|---⌫-----|--|----|-⌫-----|-|----⌫|
e t liautreaorerent lefe uet	-⌫|-|----|-------|-|--⌫|-|
l e ueetle sautre s elem ant	|-⌫-|-|--⌫|-----⌫|----⌫--|
liautreaor erent lesb est es	-|----|---⌫----|--|-⌫---⌫-|
neant entendaubles	----|-----------|
liaut refirentymaige de mauuaix homeetde	-|---⌫-|-----|-----|-|------|---|-|-|
ma u uaise s famm esetlesapelerentd ex etdeesses	--⌫-⌫-----⌫|----⌫-|-|--|--------|-⌫-|-|------|
des quexmeismes	--|---|------|
ilsau oi entb ienq u ilauoienteste ́	-|---⌫--⌫--|-⌫--|-⌫|-|------|----⌫|
auout reet homicid ee tl arronetrauisseoretque	-----⌫-|-|-------⌫|-⌫|-⌫----|-|--------|-|--|
li unes témo r t de	-|-|--⌫--|--⌫-⌫|-|
lormor tetliautr edefoudre	--|---⌫|-|-|----⌫|-|-----|
t onoireet l i	-⌫-----|-|-⌫|
autreau oient este ́muez en best es	----|--⌫----|----⌫|---|-|----⌫-|
porplus couertemantlo rdesleautez.	--|---|----------|--⌫|---------||
p orce qu e	-⌫-|-|--⌫|
l iho mepregno ientessam pl es es	-⌫|--⌫-|------⌫---|-----⌫--⌫-|-|
oiu res de	---⌫--|-|
a p e lo ient l ordex	-⌫-⌫-⌫--⌫---|-⌫-|--|
chei li mond esan gr antordureet	---|-|----⌫-|-|--⌫--|-----|-|
angrant ocur te quaril n iauoi tnul	-|----|----⌫-|---|-|-⌫|----⌫|--|
qui recogneus tso nc riator.	--|---------⌫|--⌫|-⌫-----||
en cel egene rationfu	-|---⌫|----⌫-----|-|
t rouez zzseushons - ce fu abr aam-	-⌫----|-|---|---||-|-|---⌫--||
quioutlesensde	--|--|-|---|-|
lar me c le retentandantquipar	|--⌫-|-⌫--⌫|-|--------|--|--|
lesestaublissemanz descreaturescon utson ueraicr iatorquaril	--|--------------|--|--------|---⌫-|--|----|--⌫----|---|-|
regarda ilaterre et lamer et	-------⌫|-|----|-|-|--|-|
louc ieletles eloilet lalune et	--|-⌫--|-|-|-⌫----|-|-|---|-|
lesestoiles	--|-------|
et l esestaub li ssem anzdesyye lemanzet se	-|-⌫-|------⌫--⌫----⌫--|--|-|-⌫-----|-|-|
meruo illaqui	-----⌫---|-||
aorn ema ntauoitfaitquaril sauoitbienque c es	----⌫---⌫-|----|---|---|-|-----|---|--|-⌫-|
choses nesestoientmiefetespar eles	-----|-||-------|--|----|--|---|
etquelesydoles quies tientsens	-|--|--|-----|--|--⌫----|---|
entandemantn estoientmieachoisun	----------||-------|--|-------|
de sigrantaornem ant.	-|-|----|------⌫--||
parceschoses c rus t il	--|--|-----|-⌫---⌫|-|
leueraideuet	-|----|--|-|
b ienentendiqu il est oitcrier reset f esieresde tote s	-⌫--|------|-|-|---⌫--|-----⌫--|-|-⌫------|-|----⌫|
icestu e luistd exdeua n ttouz le s autresa so n	-----|-⌫----|-⌫-|----⌫-⌫|---|--⌫|-----||--⌫|
seruic e et se ma nifestai aluino nmi e	------⌫|-|-|--⌫-------||--|--⌫|--⌫|
ensubta ncequar cene po uoitestre	-|-----⌫--|---|-|-|--⌫---|----|
que humei ne natu reueis t	--|-----⌫-|----⌫-|----⌫|
deu me sil	--|--⌫|-|
li don a plusparfecte	-|---⌫|---|-------|
s cianc edelui conoistre q ueanulautre.	-⌫-----⌫|-|--|--------|-⌫-||--|----||
qu antabraam fuuenuzalaconoissance	--⌫--|-----|-|----||-|----------|
so ncri ator sil	--⌫|---⌫---|-||
ensegnaiconoistre atozcauxquideluiiss irentpor	-------|--------||--|---|--|-|--|---⌫----|--|
la quelchosedex	-|---|----|--|
amat antluiet sa	--|-⌫--|--|-|-|
semence qu illamuitepliaidegen z.	------|-|-|-|---------|-|---⌫||
apelaile saint	-----|-|----|
p uepleetlesdeliurai delaseruitute	-⌫----|-|--|-------|-|-|--------|
degypteet delapoes te phara on	|-----|-|-|-|----⌫-|-----⌫-|
p a ryyseins pr ophetesm oyseme taaronporcuiil	-⌫-⌫|-|----|--⌫------|-⌫----|-⌫|----|--|--|-|
torm ent ailesegyptiei ns.	----⌫---⌫-|--|--------⌫-||
etc esqui es toie ntde	-|-⌫-|--|--⌫----⌫-|-|
lalignieabr aamapela ile pu epled	-|-----|---⌫--|-----⌫|-|--⌫---||
israel etlemenai	-----|-|-|----|
parmi la m erroigeansi ntcomme pa rterre	----|-|-⌫-|----|----⌫-|----|--⌫|----|
e tquant phar aonet liegypti ei nentrerenta presaux	-⌫|----|----⌫--|-|-|------⌫--⌫|--------|-⌫---|--|
sifurentencloxdeseue se t furent tuit	-|-----|-----|--|---⌫|-⌫|-----|---|
perillie .	-------||
apresceschoses men a iliuer ai	----|--|-----|---⌫-⌫|-|---⌫-|
deu xlepuepled israelendesert	---⌫|-|-----||-----|-|-----|
l e nor ri yy ans dou	-⌫|---⌫-|-|--|--|
peinde cielet li dona iloiescri te en	---|-|---|-|-|----⌫|--|-----⌫-|-|
taublesdepierrequilba illi moysiou il	------|-|-----|-|-|--⌫---|----|-|-|
