quipetitseme petitq uialt	--|----|---|----|-⌫----|
auroidescaualo nala	-|--||--------⌫|--|
li ainznezet ta nt	-|------|-|--⌫-|
que cheualiersfuadob ez	--|---------|-|----⌫-|
e tliautresquipu i sf u nez	-⌫|-|-----|--|--⌫-⌫|-⌫|--|
fuauroiba ndegomeret	-|-|--|--⌫|-|------|
an unior anduil i uaslet	-|-|--|----|-⌫|-----|
adobé etch eualier f urent	-----|-|--⌫------|-⌫----|
iormeisme smurent	--|------⌫|-----|
por re uenir a lorrepeire	--|--⌫----||--|------|
meuoloi entfeire	-|-----⌫--|----|
perequip uisn esuit	---|--|-⌫--||-|--|
armesfu rentdesconfit	----|--⌫---|--------|
as arm esf urentmortand ui	-|---⌫-|-⌫----|---|---⌫-|
doniaigr antduel etgrant	--||-|--⌫--|---|-|----|
delainzneauin drentm eruoill es	-||-----|----⌫----|-⌫-------⌫-|
quel icor bele tl es cornoi lle s	--|-⌫|---⌫--|-⌫|-⌫-|------⌫---⌫|
anb edeus lesialzli creuere nt	---⌫----|--|---|-|-------⌫-|
ensila gent mor z	---|-|---|---⌫|
lestro ue ren t	--|---⌫--⌫---⌫|
d esf ilzmorutli	-⌫-|-⌫--|----|-|
uie moutamere	--|---|----|
so ffertepuisqueilfumorz	--⌫-----|------|-|-|---|
uosestei eztozli	--|-----⌫-|--|-|
queieauoieettoz li b iens	--|-|----|-|--|-|-⌫---|
i au oitplusdes miens	|--⌫--|---|--|----|
rien plusnem	---|---|-||
au oi tdexlessiee	--⌫--⌫|--|------|
do ntiefuss e	--⌫-|-|----⌫|
ioianzetliee	-----|-|---|
li uasleza ntan tm out petit	-|-----|-⌫----⌫|-⌫--|----|
ac equesamereli dit	|-⌫|--|-|---|-|--|
amangierfet ilmedonez	|------|--|-|-|----|
nesaide coimareison ez	-|--|-|--||-------⌫-|
mes m outiro ieuo lantiers	--|-⌫--|---⌫-|--⌫-------|
qui fetlescheual iers	--|--|--|------⌫---|
et g iirai	-|||---|
cuiquila n pois t	----|-|-⌫|----⌫|
lame retantcom	-|--⌫-|---|--|
i lliloist	-⌫|-|----|
lere tientetsil eseiorne	-|--⌫----|-|-|-⌫|------|
aparoil leetator ne	-------⌫-|-|----⌫-|
decheneua zgrossechemi se	-|-------⌫|-----|-----⌫-|
e tbraiesfeit esalaguise	-⌫|-----|----⌫-||-|----|
de galesoulanfet ansanble	-|----|-|--|--|-------|
braies etchaucesc e	-----|-|------|-⌫|
etsiotcoteet chaper on	-|-|-|---|-|------⌫-|
decerf c los	-|---|-⌫--|
en silam erelatorna	--⌫-|-|-⌫--||-----|
tro isiorzeinzp lus	---⌫-|---|---|-⌫--|
queplus n iotmesti erlosange	--|---|||-|-----⌫-|------|
lamered ueles trange	-|---|-⌫--|--⌫-----|
se lbeiseetacolean plorant	-||----|-|----|-|------|
etdito raiged uel	-|--|-⌫|-|-|-⌫--|
mout grant	---|----|
bia xfilzquan ta ler	---⌫|---|----⌫|-⌫--|
uos irez alacortleroi	--|---||-|---|-|--|
silidirez quarmes uos	-|-|----|-|----|--|
decontreditni	-|--------|||
a urapoint	-⌫--|----|
qu illes uosdo nr ab ienlesai	-|-|--|--|--⌫--⌫|-⌫--|-|--|
mesq uantiluandraalessai	--|-⌫---|-|-----|||----|
da rmesp ortercoma ntier td on qu e s	|-⌫---|-⌫----|----⌫-|---⌫|-⌫--⌫--⌫-⌫|
uos ne f eistes o nque s	--|-|-⌫-----|-⌫----⌫|
ne autruin eluei ste sfaire	-|-----|-⌫||---⌫---⌫|----|
comant ansauroiza chieft raire	-----|-|------||----|-⌫----|
malueisementuoirecedot	-----------|----|-|--|
af eitiezdel tot	--⌫-----|--|--|
ne n est meruoillece mestuis	-||--|--------|-||--|--|
sannesetce quann aapri s	|-|-|--|-|-|-|||----⌫|
me sme ruoilleestquantann	--⌫|--⌫------|--|----|-||
ceq uelan uoi t	-|-⌫-|--|---⌫|
etotsouant	-|-|-----|
biaus filzunsanuosuuel	----|---|-|--|--|---|
oui luos fetmoutbo na ntandre	-|-⌫|--|--|---|--⌫|-⌫------|
plest areteni r	----||------⌫|
gra nzbie nsuosanporr au enir	---⌫-|---⌫-|--|-|----⌫|-⌫---|
che ualiers seroiziu squapo	---⌫------|-----|--⌫--||-|
filz sedeuples t etiele l o	---|-|--|----⌫|-|-|-|-⌫|
se uos troueznepresne l oing	-|--|-----|-|---|-|-⌫---|
dame qui daie ait	---|--||--|--|
nepu celedesconselliee	-|--⌫---|------------|
aie apa relliee	--|---⌫------|
lorsoi tselesuosan	--|---⌫||---|--|-|
req uie rent	---⌫---⌫---|
enorsiafie rent	----||----⌫---|
quiasdames en orne p orte	--|-|----|--⌫-|-|-⌫---|
lasoeenors do itestre	-|--|----|--⌫-|----|
da mese tpuceles	--⌫--|-⌫|------|
siseroizpartot	-|-----|--|--|
etseuosaucuneanproiez	-|-|--|-----|-|-----|
gardez queuosnelenuiez	-----|--|--|-||-----|
nefet esr ien quili des pleis e	-|---⌫-|-⌫--|--|-|---⌫-----⌫|
amoutqui labeise	|---|--|-|----|
selel ebeisieruosconsan t	|--|-⌫|------|--|------⌫|
lesoreplusuos an	-|-------|--|-|
seles sierleuolez p or moi	-|---⌫---|-|----|-⌫-|--|
etseleaen elanson doi	-||--||--⌫-|-|--|--|
ou asa cei n tureaumosniere	-||-|---⌫-⌫---|---------|
amor ou parproier e	---|-|--|------⌫|
don ebonmie rt	---⌫|--||--⌫-|
po rtoiz sonan el	--⌫----|--|--⌫-|
prandreuosdoin gie	------|--|---|--|
etde l a umosniere	-|-||-⌫--------|
an c oruosuueldiree l	--⌫-⌫-|--|---|---|-⌫|
ia anchem i nneanostel	-|-|----⌫-⌫|-|-|----|
l onguement c onpa ignon	-⌫--------|-⌫----⌫----|
que u osnedemandi e z sonnon	--|-⌫-|-|-------⌫-⌫|--|--|
len onsachiezalaparsome	-|-⌫-|------||-|------|
carpar lenonconuistanl om e	--|--|-|--|------|-||--⌫|
bia xfilzasprod omesp arlez	---⌫|---|-|----⌫---|-⌫----|
auoecles prodo mes	----|--|-----⌫--|
prodomeneforuoientmie	------|-|--------|--|
cesquitien ent	--|--|----⌫--|
lorc onpaig nie	--|-⌫------⌫--|
sortote rie n uos uuelproier	--|---|---⌫|--|---|-----|
quean yglis eetanmostier	--|-|-----⌫|-|-|------|
al ez pr oiernostreseignor	--⌫-|--⌫---|-----|------|
quen cest siecleuo sdo inte nor	-|-|---|-----|--⌫|--⌫--|-⌫--|
etsiuos idointco nte nir	-|-|--||----|--⌫---⌫--|
qu a bonefin p ui ssi ezuenir	-||---|--|-⌫--⌫---⌫-|----|
merefetilqueestiglise	---|--|-|--|--|-----|
uns leusouanfet	--|---|-|-|--|
les eruise	-|-⌫-----|
celui qui cielet terre	----|--|---|-|----|
etbestesimis t	-|-----||---⌫|
et mostiersquest ic e meisme	-|-------|-|--|--⌫|-----|
unemeison bele etsaintisme	--|-----|---|-|--------|
plainde c ors	----|-|-⌫--|
sainzetdetre sor s	----|-|-|---⌫---⌫|
sacre f ielanlecors	-----⌫-⌫-|--|-|---|
iesucristla	---|----|-|
pr ophetesainte	--⌫-----|-----|
firent hont ema inte	-----|----⌫|--⌫---|
tra izfu et	---⌫-|-|-|
iugieza tort	-----||---|
sisofri angoissede	-|----|-------|-|
porleshomes	--|--|----|
etporlesfames	-|--|--|----|
anfer aloient	----|------|
qanteles partoientdes cor s	---|---|--------|--|---⌫|
etillesangitapuisfors	-|-|--|-|---|---|---|
l estaic he	|------⌫-|
puis croc ef iez	---|----⌫--⌫--|
et p ortaco ronedespines	-|-⌫---|--⌫---||------|
poroirmessesetmatines	--|--|-----|-|------|
etpo rcelseignor aorer	-|--⌫|--|------|----|
uoslo gi eaum ostierale r	--|-|--⌫|-|-⌫-----|---⌫|
gemoutuolantiers	-|---|---------|
esigl isesetesmo s t iers	-|---⌫---|-|-|--⌫-⌫-⌫---|
uasl e zdoren auant	----⌫-⌫|-----⌫----|
ens i leuos metanco uant	---⌫|-|--|--|-|--⌫---|
ot plu sded emore	-|---⌫|-|-⌫----|
congiepran tetlamereplo re	-----|----⌫|-|-|---|---⌫-|
etsasel elifu	-|-|---⌫|-|-|
alameniere etalaguise	|-|------|-||-|----|
de galois fu apar ellie z	-|-----|-|----⌫-----⌫|
unsreuelinsa uoi t c hauciez	--|-------|-⌫---⌫|-⌫------|
laouilaloit	-|-|-|----|
yyia uelo z portersoloit	-|--⌫----⌫|-----|-----|
sesi au eloz anuol tporter	--|-⌫--⌫---|-|---⌫|-----|
mesyy lanfistsa	--|-||-|---|-|
por cequetropsa nblast galois	--|-|--|---|--⌫-----|-----|
fet toz trois	--|--|----|
mo utuolantierssil poistest re	--⌫-|---------||-|----|---⌫-|
uner eorteansamaindes tre	--|-⌫----|-|-|---|---⌫--|
por ta porson	---⌫-|--|--|
cheual ferir	-----|----|
p lorant lebeiseaudepartir	-⌫-----|-|----|-|-------|
lamerequimou tchier	-|---|--|---⌫|----|
etpriedeu qu eill	-|---|--|--⌫|-||
biax filzfetel e dexuosdoin t	---|---|--|--⌫|--|--|----⌫|
ioie pl usquiln emer e m oi nt	---|--⌫-|-|-|-⌫|-|-⌫-⌫-⌫--⌫-|
an q uelque leu que uosailli e z	-|-⌫-----|--|--|--|-----⌫-⌫|
qa ntli ua slezfu esloignie z	--⌫-|-|--⌫---|-|---------⌫|
le g iet dunepi erremenue	-|-⌫--||--|--⌫---|----|
si regardaet uit	-|------|-|--|
chief de lp ontarriere	----|--⌫|-⌫--|------|
etiutp asme e an te lmeniere	-|--|-⌫----⌫|-|--⌫|------|
c oms el efust	-⌫-||--⌫|---|
c heuemorte	-⌫---|----|
etcilceingle	-|--|------|
del a reorte	-|-⌫|-----|
s onchaceor	-⌫-|------|
parm ila crope	----⌫|-|----|
sanua quipa sne	|-|-|--|--⌫|-|
einz lanportegrant a leure	---||-|----|----|-⌫----|
par mi l agrantfo restoscure	---⌫-|-⌫|----|--⌫---|-----|
et cheualcha des le m a ti n	-|--------|--|-|-⌫-⌫--⌫|
tantque li	------|-|
iorzuintade clin	---|---||--⌫---|
anlafo restcele	-|-|--⌫---|---|
tantqueliiorzcle rsa parut	------|-|---|---⌫-|-⌫----|
aum ain au chant desoiselez	-|-⌫--|-|----|--|------|
selie ueet mon teli	-|---⌫-|-|---⌫-|-|
ch eualchie rantandu	--⌫--------⌫|------|
uituntref tandu	--|-|---|----|
an unepraerie	-|--|------|
lezladoizdunef ontenele	--|-|---||--|-⌫-------|
fu biaxagrant	-|---||----|
m eruoil le	-⌫------⌫-|
lu ne par t iefuuermoille	|-⌫-|---⌫-⌫-|-|--------|
etlautre fu dorfroisbande e	-||----|-||------|-----⌫|
desus otunea igl edore e	----|-|--|-⌫---⌫|----⌫|
anlaigleferoit lisolauz	-||----|-----|-|-----|
quimoutl uisoit clers etuer mauz	--|---|-⌫-----|----|-|---⌫---|
si re lui soie nttui tli pre	-|--⌫---⌫----⌫-|---⌫|-|--|
de lanlumineme nt d eltr e	-||----------⌫-|-⌫-|--⌫|
antorletrefalareond e	----|-|---||-|-----⌫|
quiestoit l i	--|-----|-⌫|
pl us b iax	--⌫-|-⌫--|
ramees fuilli ees	-----|------⌫--|
et loigesgalesches drec iees	-|-----|--------|----⌫---|
liuas lez uers letrefala	-|---⌫--|---|-|---|--|
e t dist ainzque	-⌫|---|------|
iluenis t la	-|-----⌫|-|
de x ci uoigeuostr emeison	--⌫|-|--|-|-----⌫|-----|
orferoieiemesprison	-|-----|-|--------|
se aorerneuosaloi e	-|----|-|--|----⌫|
uoirdis tmam ere	---|---⌫|-|-⌫--|
quimedistque mos t iersestoit	--|-|---|--|---⌫-⌫---|-----|
l aplusbelechoseq uisoit	-⌫|---|---|----|-⌫-|---|
etmedi st queia	-|-|--⌫-|--|-|
netrouass e	-|-------⌫|
m o stier quaor erni tornasse	-⌫-⌫----|-|---⌫-|||-------|
lecriatoran c uiie cr oi	-|------|-|-⌫-|-|--⌫-|
ie liraiproierparmafoi	-||---|-----|--|-|--|
qu ilmedoi ntancui amangier	-|-|-|---⌫-|----||------|
que ianau roie grant	--||-|--⌫---|----|
lorsuientautrefseltrueue ouert	---|----|-|---|-||-----|----|
enmile tr efunlitco uert	---|-|--⌫-|-|--|--⌫---|
dunecostedepaisle	|--|----|-|-----|
ellittotesolegis oit	-|--|---|---|---⌫--|
u neda meisele andormie	-⌫-|--⌫------|-------|
tote s eulesanz conpaignie	---|-⌫---|---|---------|
alees e r entse spuceles	----|-⌫-⌫--|--⌫|------|
porcoillir	--|------|
floretes noueles	-------|------|
quepar le trefio nchier	--|--|-|---|--⌫-----|
qantliuaslezeltrefantra	---|-|-----|-|---|----|
sif orts acopa	-|-⌫--||----|
q uelada meiseleloi	-⌫-|-|--⌫------||-|
sesesu ei l la et tressa i ll i	-||---⌫--⌫-⌫-|-|------⌫-⌫--⌫|
etliuaslez	-|-|-----|
quinices fu	--|----|-|
di stpuceleieuossalu	--⌫-|-----|-|--|---|
sicomma merelemaprist	-|--|-|---|-||-----|
ma mere manseignaetdist	-|---||-------|-|---|
queles pucelessaluasse	--|--|------|-------|
anquelquel euqu elestrouasse	-|------|-⌫-|--⌫|--|-------|
por l euasletquifollisanble	--|-⌫|-----|--|--|-|-----|
sise tient	-|-|----|
po rfo leproue e	--⌫|--⌫-|-----⌫|
d ecequilla soletroue e	-⌫|-|-|-|||---|-----⌫|
u aslezfeteletienta	-⌫----|--|--|---|-|
fuiq uemes amisnete u oie	--|-⌫-|--|---|-|-|-⌫--|
einz uosbeiserai par mon chief	---|--|-------|--|--|----|
fetliuaslez	--|-|-----|
cui qu ilsoitgr ief	---⌫-|-|---|--⌫--|
m e rele ma nse ign a	-⌫-⌫-|-||-⌫---⌫---⌫|
ieu o irnete	-|-⌫-⌫-|-|-|
beisere ia	------|-|
pucele qu eie	-----|--⌫|-|
fuiq ue mes amis ne tetruisse	--|-⌫-|--|---|-|-|------|
que siltetrueu e	--||-|-|-----⌫|
liuaslez auoit les braz forz	-|-----|----|--|---|---|
sil anbrace moutnicem ant	-||------|---|-----⌫--|
carilne lsotferea utremant	--|-|-||--|---|-⌫-------|
mistlasoz lui tote	---|-|--|--|---|
e st an due	-⌫--⌫--⌫--|
et celesestmoutde sfandue	-|---||--|---|--⌫------|
et de ganchi	-|--⌫-----|
quanquelepot	-----|--|--|
mesdesfanss e mesti erni ot	--|--------⌫|-----⌫-|||-|
que liuaslezan un randon	--|-|-----|-|-|-----|
labeisauolsi stel e ou non	-|----|-----⌫-|--⌫|-|--|
yy foizsi comlicontesdit	-|---|-|--|-|-----|--|
tantcun anelansondoi	----|-|---|-|--|--|
aune esme raude mout clere	|--|----⌫----|---|----|
encorfetil medistma mere	----|--|-|-|---|-|---|
quanuost r edoil ane l	-|-|----⌫-⌫|--||---⌫|
mesquepl us rienneuosfeisse	-----|--⌫-|---|-|--|-----|
orcalanelie l	-|-||---|-||
monanel naurastu	--|---||----|-|
fe tlap ucele bienl esaiches	--⌫|-|-⌫----|---|-⌫|------|
saforcedeld oi	||----|--|-⌫-|
nel marai ches	-|||----⌫---|
l i uaslezpa r lamainla prant	-⌫|-----|--⌫|-|---|-|----|
afo rceled oiliesta nt	|--⌫--|-|-⌫-|-|----⌫-|
si ala nel an sondo i pris	-|||-⌫--|-|--|--⌫|---|
et elsu endo ime ismesmis	-|-|--⌫-|--⌫|--⌫----|--|
et ditp ucelebien	-|--|-⌫----|---|
orm an iraigebi e npa iez	-||-|---|-|--⌫-⌫|--⌫--|
meillorbeisieruosfet	------|------|--|--|
quechanberier equeile t	--|----------⌫|--|-|-⌫|
antote l ameisonm a m ere	-|---|-⌫|-----|-⌫|-⌫--|
que n auezpaslaboicheamere	--||---|--|-|-----|----|
cel e ploreetdistauua sl et	---⌫|----|-|---|-|--⌫--⌫-|
nan port e rpas monanelet	|-|----⌫-⌫|--|--|-----|
qu eianseroiemalb ai llie	--⌫||-|-----|----⌫--⌫---|
et tu anperdroies la	-|-|-|--------|-|
quequilt ardast ie l tepromet	----|-|-⌫-----|-||-|-----|
liuaslezas oncuernemet	-|-----||-⌫-|---|-|--|
ri en nul edecequeilot	--⌫-|---⌫|-|-|--|-|-|
mesdecequeieune ́o t	--|-|-|--|-----⌫|-⌫|
moroit defai namalefin	-----|-|---⌫||---|--|
u nboceltrueuepl aindeu in	-⌫|----|-----|--⌫--|-|-⌫-|
hen apdarge ntselonc	---⌫-||----⌫-|-----|
etuoitso r u n tr o ssel	-|---|--⌫|-⌫|--⌫-⌫---|
une toa il le blancheetn ueue	--|---⌫--⌫-|------|-|-⌫---|
illa sozl ieue	-|-|----⌫---|
et desoz t r ueue	-|----|-⌫-⌫---|
yybons pastezde cheu relfres	-|---|-----|-|----⌫--|---|
enui apa s cistmes	----⌫|--⌫|---|--|
fainquif orment langoisse	---|--|-⌫-----||-------|
und es pastez	-|-⌫-|-----|
deu a ntl ui	---⌫-⌫-|-⌫-|
et maniu epar g ranttalant	-|-----⌫|--|-⌫---|-----|
etu ers eanlacope	-|-⌫---⌫|-|-|---|
deluin quin	--|--|--||
e stoitpastroblez	-⌫----|--|------|
sanboit souantet a granz trez	|-|---|-----|-||----|---|
et ditpucel ecistpaste	-|--|-----⌫|---|----|
nes eront h uiparmoigasté	-|-⌫----|-⌫-|--|--|-----|
uenezmangier	----|------|
il sontmout bue n	-|---|---|---⌫|
ase zau rachas cunsdels uen	---⌫|--⌫-|----⌫---|--|-⌫--|
sian rema ndraunantier	-|-|----⌫---|-|-----|
etcele plor eand eman tier	-|---|----⌫|---⌫----⌫---|
qu equecillaprieet semont	--⌫---|--|-|---|-|-----|
u nmotnerespont	-⌫|--|-|------|
ladameisele ainzpl orefort	-|--------|---|--⌫--|---|
m outd urement s espoinz detort	-⌫--|-⌫------|-⌫-|----|-----|
maniatantcon lui	----|---|--|--|
etbuttantqueas ez enot	-|--|------|--⌫-|-|-|
lorsp r istcongietotmaintenant	---|-⌫-⌫--|-----|--|---------|
sirecourile rem enant	-|------|-|---⌫----|
etco manda	-|--⌫----|
sa l uzp oint	--⌫-⌫-|-⌫---|
dex uossautfet	--|--|---|--|
il beleamie	-|---|---|
pordeun euos	--|--|-⌫|--|
enuit i lmie	----|-⌫|--|
d euostreanelqueie a nport	-⌫|-----|---|--|-|-⌫----|
q uaincoisqueiemui r edem ort	-⌫|---------|-|---⌫-⌫|-|-⌫--|
leuos guerred oneraigie	-|--|-------⌫-----|--|
iem anuoi sa	-||-|---⌫||
uostre co ngie	-----|--⌫---|
et cele plor e etdi t queia	-|---|----⌫|-|--⌫|--|-|
ade u nelecomandera	|--⌫|-|-|--------|
ca ril l i couandrap or lu i	--⌫|-|-⌫|-------|-⌫-|--⌫|
tantauoirh on te e t tant enui	---|----|-⌫--⌫-|-⌫|---|---|
qu e ta nt	--⌫|--⌫-|
nan ot nulech estiue	|-|-|---|--⌫-----|
neiapar lui tant com	-|-|--|--|---|--|
nan aura secors	|-|---|-----|
sisaic he b ien qu il la	-|----⌫-|-⌫--|-|-|||
ensire mestce lepl orant	---|--⌫---|--⌫-|--⌫----|
puisnalagueres demora nt	---||--|-----|------⌫-|
s esamisq ue del boisreu int	-⌫-|---|-⌫-|--|---|---⌫--|
deluasletqui sa uoieti nt	--|-----|--|-|---|--⌫-|
uit lesesclozsili	--|--|-----|-|-|
et s amie ploranttroua	-||---|------|----|
si dis tdameisele iecroi	-|---⌫|--------|-|---|
aces ansai g nesqueieuoi	|--|-----⌫-⌫--|--|-|--|
quecheualie r	--|--------⌫|
non as i re ieluosafi	--||-⌫-⌫-|-||--|--|
mesunuaslet ga lo isiot	--|-|-----|--⌫--⌫-||-|
enuieus et uila in etso t	------|-|----⌫-|-|--⌫|
quiadeuostre	--||-|-----|
ta ntcom lui	--⌫-|--|--|
plot etbonli fu	---|-|--|-|-|
etmaniad eu o z yypastez	-|----|-⌫|-⌫-⌫|-|-----|
c eb elesiplorez	-⌫|-⌫--|-|-----|
sil eustbeue t mang ié	|-|---|--|-⌫|----⌫--|
tres totsile uolsissegie	----⌫--|-|-|-------|--|
iliap l us si redis tel e	-|||-⌫-⌫-|--⌫-|---⌫|--⌫|
meseniaxe stan laquerel e	--|----|-⌫-|-|-|------⌫|
qu illomet o lisi	-|-|-|-|-⌫-⌫-|-|
ieuolissem ialzestremo rte	-|------|-⌫---|----|--⌫--|
a neustensipo rté	-⌫|---|---|--⌫---|
ez uos ce luidesc onforté	-|--|--⌫--|----⌫-------|
etangoisseuse n so ncoraige	-|---------|-⌫|--⌫|------|
par foi fe tilc iot o ltraig e	--|--|--⌫|-|-⌫|-|-⌫------⌫|
et de squil l anportes i l	-|--⌫--|-||------|-⌫||
mesie cuit	--|-|---|
otp lus fait	-|-⌫--|---|
seplusi otnel	-|---||-|-||
sirefet eleil mebeisa	---|--|--|-|-|----|
beisauoireiel	----|----|-||
mes cefumaleoitgre	--|-|-|------|--|
ein coisuossistet siu osplot	---⌫---|--|---|-|-|-⌫-|---|
onquesnul contr e dit ni ot	-----|--|-----⌫-⌫--|||-|
fe t ci lcuiialosieangoisse	--⌫|--⌫|--|------|-------|
cuidiezqueie neuo s	------|--|-|-|--⌫|
sifa zcertesbien	-|--⌫|-----|---|
uos conois	--|-----|
nesuisiborgnesnesilois	-|--|-|------|-|-|---|
queuo stre	--|--⌫---|
fausete n euo ie	------|-⌫|--⌫-|
antree estes an	-----|----|-|
a ntreeeste sanmalepainne	-⌫----|----⌫|-|---|-----|
que ia ne mang erad a uainne	--|-|-|----⌫--||-⌫-----|
uostr e c heuax nen	-----⌫|-⌫----|-||
iert se niez	---|--⌫---|
tantqueie m e	------|-|-⌫|
seraiuangiez	----|------|
etlaouildesferrera	-|-|-|-|---------|
iamesrefer r ez ne s e r a	----|-----⌫-⌫-|-|-⌫-⌫-⌫|
sil muertuos	|-|----|--|
mesiuroizapie	-|------||--|
ne iames neserontchangie ́	-|----|-|-----|-------⌫|
lidra pdon	-|---⌫|--|
einz mesiur ez apie etnue	---|-|----⌫-||--|-|--|
t antquel a	-⌫-----|-⌫|
testean aurai prise	----|-|----|----|
ian an f eraiaut re	-||-|-⌫---|---⌫-|
atan tsasistetsi	----⌫||----|-|-|
et liuas leztantcheual cha	-|-|---⌫--|---|------⌫--|
unchar bonieruenant	-|----⌫-----|-----|
d euantluiuna snemenant	-⌫----|--|-|-⌫--|-----|
uilain sfe t ilans a ignemoi	------⌫|--⌫|-|---⌫-⌫---|--|
quil asne mainnesdeu an t	--||---|------|---⌫--⌫|
l a plus droite	-⌫|---|-----|
uoiea carduel	---||------|
li roisart usqueueoiruuel	-|---|---⌫-|--|----|---|
cheualiersceditan	---------|-|--|-|
uaslezfetil anicels an	-----|--|-|-|---|-⌫-|
a unc hastel sormer a sis	|-|-⌫-----|--|--|-⌫--|
leroi artusbi axdolz amis	-|--|----|--⌫-|---|---|
li e et dolant	--⌫|-|-----|
le troueras	-|-------|
ace lchastelsetu iuas	|--⌫|------|-|-||--|
orme d iroies	-|-|-⌫-----|
de coi liro isa ioieetdue l	-|--|-|--⌫-||---|-|---⌫|
diraifet ilmou ttost	----|--|-|---⌫|---|
lir ois artus ettote s	-|-⌫--|----|-|---||
sest auroir yon	|--|-|--|-⌫--|
l iroisdesislesfu uainc u z	-⌫|---|--|----|-|-----⌫-⌫|
roisartus liez	---|----|---|
sesconp a ignonsiri e z	--|----⌫-⌫-----|---⌫-⌫|
quias chastiaxsedepartirent	--|-|-------|-|----------|
meillor seioruirent	------|----|-----|
nilnesetcomant il	|-|-|--|-----|-|
e st lidiax	-⌫-|-|---|
que li roi sa	--|-|---⌫||
liuasleznepr iseundenier	-|-----|-|--⌫--|-|-----|
le snouelesauchar bonier	--⌫|------|-|----⌫-----|
f orsquetantquanla u oieantra	-⌫-----|-----|-|-|-⌫--|----|
cele part ou il limostra	---|---|-|-|-|-----|
tantquesor mer	------|--|--|
uitunchastel	--|-|------|
mout bienseante t f ort etbel	---|---|----|-⌫|-⌫--|-|--|
etu oit i ss i rparmi	-|-⌫--|-⌫--⌫-⌫|----|
unche ualier arme ́qui p orte	-|---⌫-----|----⌫|--|-⌫---|
uneco pe d	--|--⌫-||
oran samain	-|-|-|---|
salance tenoitetso nfrain	-|----|-----|-|--⌫|----|
et s onescuan la	-|-⌫-|---|-|-|
etlacop ed or an la des tre	-|-|---⌫||-|-|-|---⌫--|
et les armesbie n	-|--|----|---⌫|
li seoient	-|------|
qui totesuermoill eses toie nt	--|----|--------⌫-|--⌫----⌫-|
u itlesarm e s beles	-⌫-|--|---⌫-⌫|----|
quitotes estoie ntnoueles	--|----|------⌫-|------|
plorentetdistparfoi	------|-|---|--|--|
cezd emanderaigele	--|-⌫--------|-|-|
do nebel maniert	--⌫-|--||-|---|
etdahezait quialtresquiert	-|----|--|--|-----|-----|
atant uers	----|---|
lechast e lsa ncort	-|-----⌫-⌫||-⌫|---|
que t art lie st quil uaigneacor t	--|-⌫--|-|-⌫-|-|-|-----||---⌫|
tantquepresdel cheualier uint	------|---|--|--------|---|
et lich eualiersl ere t int	-|-|--⌫-------|-⌫|--⌫-⌫--|
un pet itsil idemanda	-|---⌫-|-|-⌫|------|
ou an uastu uaslezdiua	-|-|--|-|-----|---|
ie uuelfet	-|---|--|
c ortale r	-⌫--|---⌫|
cesa rmesdemand er	--|-⌫---|------⌫-|
uaslez fetil ord iztu b ien	-----|--|-|-|-⌫-|-|-⌫--|
oru adonctost et si	-|-⌫|---|---|-|-|
et tant d i ra saumalues roi	-|---|-⌫-⌫--⌫|-|-----|--|
sei lneuialtteni r demoi	-|-⌫|-|----|----⌫|-|--|
s a terrequeillamerande	-⌫|----|--|-|-|-|----|
ou ilanuoit qui	-|-|-----|--|
ladesfande	-|-------|
uers moiq ui diqu eeleestmoie	---|--|-⌫-|-|--⌫|--|--|---|
et acesan saignestancro ie	-||--|--⌫------||-|---⌫-|
q uedeuant luipris orandro i t	-⌫-|-----|--|---|-------⌫-⌫|
at ot leuin dont ilbeuoit	--⌫-|-|--|---|-|-----|
ce stecopeque	--⌫--|---|--|
aut rui quilirecort	---⌫--|--|-|-----|
a mot antandu	|--|------|
la cort na	-|---|||
oul irois etlicheualier	-|-⌫|---|-|-|--------|
e stoient asis aumang ier	-⌫------|---|-|----⌫--|
la sal efupar terre	-|---⌫|-|--|----|
etl i uas lezan trea cheual	-|-⌫|---⌫--|--⌫--||-----|
a nla s alequ i fupau ee	-⌫|-|-⌫--|--⌫|-|---⌫-|
e tlongueautretantcomelee	-⌫|-----|--------|---|--|
art ussert	---⌫-||--|
a uc hi efdunetable pa nsis	-⌫|-⌫--⌫-||--|----|--⌫---|
et tuitlicheualierparloi ent	-|---|-|--------|------⌫--|
autres ded uisoient	-----|---⌫-------|
f ors ilquifupansisetmuz	-⌫--|-|--|-|-----|-|--|
liuaslez est auantuenuz	-|-----|--|----|----|
nil ne set l equel	|-|-|--|-⌫|---|
quedelroimie necon ut	--|--|--|--|-|---⌫-|
tantqu ionezcon tre lui	-----|----|---⌫--|--|
samainuncosteltint	-|---|-|-----|---|
uaslezfetil tu	-----|--|-|-|
quilauiens	--|-|----|
qu ilecost elantamaintiens	--⌫|-|----⌫-|-|-|---|----|
mostrezmoili	------|--|-|
quexest li rois	---|--|-|---|
yo nez qui mout	--⌫--|--|---|
li dista misueezlela	-|---|-⌫--|---|-|-|
liuaslezuersl uis a n	-|-----|---|-⌫-||-⌫|
se lsal uasi comilsot	-||---⌫-|-|--|-|--|
l iroisse te st	-⌫|---|-|--⌫-|
etne distmot	-|-|---|--|
autre foi zlareisone	----|---⌫||-------|
liroispanseetmotne	-|---|----|-|--|-|
parfoi dist liuaslez adonques	--|--|---|-|-----|-------|
