map aineme traiet	-|-⌫---|--⌫---|-|
a i pointdegui mpleespo i sse	-⌫|----|-|---⌫---|----⌫-⌫--|
li prestres	-|-------|
lacolesirit	|----|-|--|
gales trotnete	-----⌫---|-|-|
tienyys ous aunpe licon	---|-|-⌫--||-|--⌫----|
estor liuilainsen maison	--|-|-|------|-|-----|
nenillilas il ni e st mie	----|-|--|-|||-⌫-|--|
sireiaima dametraie	---||-|-|---|----|
seuo snestesmoltd eb onaire	-|--⌫||----|---|-⌫--⌫-----|
celequibi en sot	---|--|--⌫-|--|
sonpreufair e	--|---|----⌫|
yy sou s enson sain	-|---⌫|-|--|---|
du chapelain	-|--------|
et cilestcoruzas deni ers	-|--|--|----|-|----⌫--|
ta nten apriscenz etmi lliers	--⌫-|-||---|---|-|--⌫-----|
cu negrant bor se	|-⌫-|----|---⌫-|
enaf arsie	-||-⌫----|
et lesi oieausnobli am ie	-|--|-⌫-----||----⌫|-⌫-|
ainzbo utat otenzz saquel	---|--⌫--|-⌫-|-|-|-----|
e tpuissafublad un	-⌫|---||-----||-|
u a irdescarlate	-⌫-⌫-||--------|
taintengr eine	----|-|--⌫---|
sicom fortune	-|--|------|
le de ma ine	-|--⌫--⌫--|
siistdeson ostelatant	-|--|-|--|----|----|
siua l iprestressozfauch a nt	-|-|-⌫|-------|--------⌫-⌫-|
que lisachezlipoisea ual	--|-|-----|-|----|-⌫--|
oezcommelia uintmal	--|----|-|-⌫---|--|
une geline pielee	--|-----|-----|
a enmis auoietrouee	|---|-⌫|---|-----|
quipasturoit enlac harriere	--|--------|-|-|-⌫-------|
doncsenuolt reto rnerarriere	---||-|---|----⌫---|------|
ilientendoit sort	-||--------|---|
trueuezzbast on	-----|-|----⌫-|
al a geline	|-⌫|-----|
etelesenprantauo ler	-|--||-|----||--⌫--|
ensongel inois le maud ist	-|--|---⌫----|-|----⌫--|
hon te l iuiegne etilsifist	---⌫-|-⌫|-----|-|-|-|---|
qu ido ncueistle prestreale r	--⌫|--⌫-|----|-|------|---⌫|
le colbaissa nt etr egarder	-|--|------⌫-|-|-⌫------|
tantquil est	-----|-|--|
entrezel ham el	-----|-|---⌫-|
contreluisaltda m e	-----|--|---|--⌫-⌫|
quimoltli fa it blondete	--|---|-|--⌫-|-------|
puisapelasachanberiere	---|----|-|----------|
queurtostle	----|---|-|
seignordeschauc ier	------|--------⌫--|
geuueilqueilseuoist b aig nier	-|----|--|-|-|----|-⌫---⌫---|
etge i entrera iapres	-|-||-------⌫|----|
sinosso la ceron huma is	-|--|--⌫--⌫----|----⌫-|
si menbelirapl us so n	-||-------|--⌫-|--⌫|
par foi da meced it leprestre	--|--|--⌫-|-|-⌫-|-|------|
ge neuos en	-|-|--|-|
sai pasmentir	--|--|-----|
lorslicommenceadescourir	---|-|-------||--------|
quin er tpaspetit	--||--⌫|--|----|
el leg ieteenmisonli t	-|-|-⌫---|---|--|--⌫|
onquesacont ern i mist	-----||----⌫-|||---|
ladamene fupas	-|---|-|-|--|
t ant lesot de se sdi zs oler	-⌫--|-|--|-|--⌫|--⌫|-⌫---|
q uelelef istelbaige ntrer	-⌫|--|-|-⌫--|-|---|-⌫----|
puisprist la robeet lesdeni ers	---|----|-|---|-|--|----⌫--|
leschau chiers	--|----⌫-----|
ai nzl aens achanbre	--⌫-|||-|-⌫|------|
puislagalestro tapelee	---|||--------⌫|-----|
faimoitostuenir lepreuost	--|--|---|----|-|------|
diliqueilaporttantost	-|-|--|-|----|------|
oten coue nant	-|-|----⌫---|
entorn ecorant	-|----⌫|-----|
quelefa it	-|--|--⌫-|
uoler les esclaz	----|--|-----|
seorpu ettenirenses laz	-|-|--⌫-|----|-|--|--|
lepreuostilli	-|------|-|-|
r endraco nte	-⌫----|--⌫--|
d e parlera luina	-⌫|-----||--|||
ainzle saluefi erement	---|-|----|--⌫------|
i ai en u os di t elmalpar ent	|-|-|-⌫-|--⌫|-|--|---⌫--|
da ntpr euostporuostrer ichoise	--⌫-|--⌫----|--|-----|-⌫------|
maisge l aifetmoltqu e cort oise	---|-||-|--|---|--⌫|----⌫---|
meuueildenaturer	-|----|--------|
qu imedeuroityy sou sd o nner	--⌫|-|------|-|---⌫|-⌫-⌫---|
nemefu ssemieen t remis e	-|-|--⌫--|--|--⌫-⌫-----⌫|
nuitetior de	---|-|--|-|
u ostreser uise	-⌫----|---⌫---|
tantai madamecorusore	---|-|-|---|---|---|
e store ndroit en lore	-⌫-|---⌫-----|-||--|
defa iretotuostrepla is ir	-|--⌫--|--|-----|---⌫--⌫-|
mais hastez	---|-----|
uosdetos tue n ir	--|-|---⌫|--⌫-⌫-|
etsinedeuez	-|-|-|----|
paslaissier	--|-------|
ce queuosde isteslautr ier	-|--|--|--⌫----||----⌫--|
madame ata ntdargent afai re	-|---||--⌫-||-----||---⌫-|
elest ta ntsimp le etdebonaire	-|--|--⌫-|----⌫-|-|--------|
q uele le u ossaur abien	-⌫|--|-|-⌫-|----⌫|---|
mas e la or mestier de prandre	--|-⌫||-|------|-|------|
quantle pr euototetentent	----|-|--⌫---|-|-|-----|
chose est a	----|--||
sonta le nt	--|--⌫--⌫-|
galestrot faitilbeleamie	--------|---|-|---|---|
genete doioublier mie	-|-|-|--|------|--|
asseruietbienetbel	-|----|-|---|-|--|
ta nt os t li	--⌫--⌫--⌫|-|
donezzbon m antel	---|-|--|-⌫----|
lors li met elgiron	---|-|--|-|----|
et ele sen tornecorant	-|--||-|----|-----|
sachiezqueln e fu	------|-|-|-⌫|-|
la d am e fu siaffaitie	-|-⌫--⌫|-|-|-------|
pr estre detr iatant	--⌫----|----⌫-|---|
que stesal aportecorant	-|-⌫---||-⌫|----|-----|
l epreuost laouilapele	-⌫|------|-|-|-|----|
l asse faitelequelnouele	-⌫---|---|--|---|-----|
di tladame ioi mon seignor	--⌫|-|---||-|--|------|
damepo rdieul ecr iator	---|--⌫|---|-⌫|--⌫----|
dit leprestrequepor raifaire	--|-|------|--|---⌫--|----|
uostresire est de	-----|---|--|-|
mal a ffaire	--|-⌫-----|
aur aiatost esmié	---⌫|-|---|-----|
qu aril est moltuers moiirié	--⌫-|-|--|---|---|--|----|
dit ladamen aiezpaor	--|-|---||---|---|
geuosmetraienteld estor	-|--|-----|-|--|-⌫----|
ouilne uosquerraoan	-|-|-|--|-----|--|
soz celtonnel	--|--|-----|
de soz c eluan	--⌫--|-⌫-|--|
i lniarie nsf orspl umemole	-⌫||||---⌫-|-⌫--|--⌫--|---|
leprestre crust	-|------|----|
bienlaparole	---|-|-----|
el tonelsaut	-|----|---|
dep lainesles	-|-⌫---|----|
couridu uenapres	----|-|--|----|
este z uos lepreuos tat ant	----⌫|--|-|------⌫|--⌫--|
l adame lifistbeau s enblant	-⌫|---|-|---|---|-⌫------|
cilla uo ltmaintenan tbaisier	--|-|--⌫-|---------⌫|------|
sirefait el	---|---|-|
cename stier	-|||--⌫----|
q uesau ez uosquinos esgar de	-⌫-|---⌫-|--|--|--|-----⌫-|
honte mefait	----|-|---|
uersuoscoarde	---|--|-----|
maisamo rsm	---|---⌫-||
i feraha rdie	|---|--⌫---|
quant uosseroiz demoi	----|--|-----|-|--|
dame dit il cestuerite	---|--|-||--|-----|
ma i sg euosai	--⌫-⌫|-⌫|--|-|
c iaporté	-⌫|------|
nes aiquanzd e nie rsque	-|-⌫-|----|-⌫-⌫---⌫-|--|
l orslid escueurelaco rroie	-⌫--|-|-⌫-------|-|--⌫----|
qu imoltesto itplainee tfarsie	--⌫|---|----⌫-|-----|-⌫|-----|
maise l nela	---|-⌫|-|-|
ref usamie	---⌫--|--|
lorsle co mmandeentrere l baig	---|-|--⌫-----|-----|-⌫|---|
orelidouble song aaig	--|-|-----|--|-⌫---|
robeensaufportee	---|-|---|-----|
puis aga lestrotape l ee	---||--⌫------|---⌫-⌫-|
li pris ta	-|----⌫||
cons eillier	----⌫------|
uamequer r eleforestier	-|-|----⌫-⌫|-|--------|
d ili aumielz quetusaur as	-⌫|-|-|----|--|-|----⌫-|
senospoons metresesdras	-|--|----|----|--|---|
olesautresc e m iertmolt bel	|--|-----|-⌫||---|---|--|
dili queilaportlennel	-|-|--|-|----||----|
quilme uoloitlautrier doner	-|-|-|-----||------|----|
quilorsueistcele	--|---|----|---|
parmi la uileau	----|-|---|-|
mielzquelpuet	----|-|-|---|
orsa chiezqueuenir	-|--⌫----|--|----|
le fore stier	-|----⌫----|
sel lel atein t	|--⌫-||-----⌫|
q uant e lle uoitpasne	-⌫---|-⌫|-|---|--|-|
deuisersaparole	------|-|-----|
ges uiditelmusa rde	-|-⌫-|--|-|----⌫--|
ce uassala faire	-|-----||----|
seilne fust sidebonnaire	-|-|-|---|-|---------|
genalasse porluiplainpas	-||-----|--|--|----|--|
pui s liditsoaue t	---⌫|-|--|-----⌫|
ue n ezamadamep aller	--⌫-⌫-||-|---|-⌫----|
eln e fina puisdepensser	-|-⌫|---|---|-|------|
qu eluo sgitalaut rier	-|-|--⌫|---||---⌫---|
maisgel aipo inteius qu	---|-||-|--⌫---|---⌫-|
souen te ttenueet t aste e	-----⌫|-⌫|----|-|-⌫----⌫|
tan tqu elestpor uos	---⌫--|-|--|--|--|
eschau fee	------⌫--|
uostre enneaud o r	-----|-----||-⌫|
liapo rt e z	-|---⌫--⌫-⌫|
eluo sdonradu s ien	-|--⌫|----|-|-⌫--|
l efo restie r	-⌫|--⌫------⌫|
deioie s aut	-|---|-⌫--|
hegalestrot sedieus	-|--------|-|----|
bu er lefe is s e ge pui suiure	--⌫-|-|--⌫-|-⌫|-|---⌫|----|
segela ten oie	-|-|-|---⌫--|
adel iur e	|---⌫---⌫|
ladamequit antpare sts imple	-|---|--|-⌫--|--|-⌫-|-⌫----|
yy sous aune	-|---||--|
apris comme sa ige	|---|----|--⌫--|
e tcilil aisseratelga ig e	-⌫|--||-⌫------|--|--⌫--⌫|
quil ne raura mes	-|-|-|----|--|
dess emaine	--|-⌫-----|
corutag rantalain e	----||-⌫---|-----⌫|
queleuintenmaisone rra nt	-|--|---|-|-----|-⌫---⌫-|
sadametroua	-|---|----|
des chaucent	---⌫-------|
leforestiermolt	-|--------|---|
quiuenoita	--|-----||
ladameto st	-|---|--⌫-|
e z le uosbrui ant	-⌫|-|--|----⌫--|
lassefaitelege s ui	----|---|--|-|-⌫-|
messire suien toez lela	--|----⌫|----⌫|--|-|-|
biensai qu eils enrira	---|--|--⌫|-||-|---|
quil nestpas	-|-||--|--|
te nsde deslier	--⌫-|-|------|
dameceditl e	---|-|--|-⌫|
s enepr enez	-⌫|-|--⌫---|
de m oi confort	-|-⌫-|------|
uostre sire me h et demort	-----|---|-|-⌫-|-|---|
la d ame lotm oltlifubel	-|-⌫--||-|-⌫--|-|-|--|
muciezuos la	-----|--|-|
enceltonel	-|--|----|
toneldesco u r i	----|-----⌫-⌫-⌫|
etilestenzio inzpiez sai lli	-|-|--|--|--⌫--|---|---⌫--|
s idure mentde telrauine	-⌫|----⌫---|-|--|-----|
quaupreuost fetp loierleschine	-|-|------|--|-⌫----||------|
mais nuld aus n	---|--||--||
e n osagrocier	-⌫|--|------|
hadi eusc edit	-|--⌫--|-⌫|--|
leforestier	-|--------|
gesui fole mentenbatuz	-|--|----⌫---|------|
m alsoi e ste u en uz	-⌫-|---⌫-⌫|-|-⌫--⌫-|
faitliprestrestr aiezuosla	---|-|-------|--⌫---|--|-|
quegecreueraiia	--|-|-------|-|
s omesci longuement	-⌫---|-|---------|
h adit le prestr e lasdolent	-⌫|--|-|------⌫|--|-----|
com ciadolente poit rine	--|-||------|----⌫---|
mais geaibrisieel	---|-|-|------||
faitlip reuozaumiencuidier	---|-|-⌫----|-|---|------|
par foice ditleforestier	--|--|-|--|-|--------|
apoiquelioeiln e	|--|--|-|---|-⌫|
me saill ent	-|-----⌫--|
lesu iesquitant nos trau aillent	--|-⌫--|--|---|--|----⌫------|
so ienthon ies hu i	--⌫---|---⌫--|--⌫|
que nosuiuons a grant dolor	--|--|-----||----|----|
e stezuos danzcoutanzbruiant	-⌫---|--|---|------|------|
uneg ranthache	--|-⌫---|----|
paumoi ant	------⌫--|
dameysabel laacené	---|-----|||-----|
tot b elementli aconté	--|-⌫------|-||-----|
comment lesa	------|--||
mis eltonnel	--|-|-----|
o renourez	-⌫|-|----|
sire mol tbel	---|---⌫|--|
i l uoloient	-⌫|-------|
o mo igesir	|--⌫|----|
gef erailorsfe me s	-|-⌫---|---|--⌫--⌫|
sifaitess a nblantet	-|-----|-⌫-⌫-----|-|
l apre miere uos couientfoutre	-⌫|---⌫----|--|------|-----|
etpuisl es yyse uos uolez	-|---|-⌫-|-|-|--|----|
si seront honiz	-|-----|----|
e tsi seront	-⌫|-|-----|
adroit paiez	|----|----|
ge uu eilqueainsilefaciez	-|--⌫--|--|----|-|-----|
maisto z iorztenez	---|--⌫|---|----|
uo strehac he	--⌫---|---⌫-|
ualt unemenace	---|--|-----|
donezlorensen ulse muet	----|--|-|-|-⌫-|-|---|
damedistilfair e lestuet	---|---|-|----⌫||-----|
galestrotfa it elputeasnesse	--------|--⌫-|-|---|------|
u atostcorant	-⌫|---|-----|
po rlap r est r esse	--⌫|-|-⌫-⌫---⌫-⌫---|
dili queluiegneo mo ibaignier	-|-|-|-|-----||--⌫|-------|
etuosalez apareillier	-|--|---|----------|
ou nosa sser ron cel emet	-|--|-⌫----⌫--|---⌫|--|
ets oi ezt ozi orzen	-|-⌫--⌫-|-⌫-|-⌫--|-|
dameuostre plesirfe rai	---|-----|-----|--⌫--|
galestotcortparmile tai	-------|---|----|-|--|
tantala prest ressehastee	---||-|-----⌫----|-----|
que mainte nant laamenee	--|------⌫---|||-----|
ladamela faitdespoi llier	-|---|-|---|------⌫----|
ausicom por	---|--|--|
fairebaignier	----|-------|
fors seulementdesac he mise	---|--------|-|-|-⌫--⌫---|
ala facebise	|-|---|---|
quir esanblo itespoanta il	--|-⌫-------⌫-|--------⌫-|
istd elac ha n bre at otzzmail	--|-⌫|-|-⌫--⌫-⌫--|--⌫-|-|---|
qu est ce fait ilet que uel tceste	-|--|-|---|-|-|--|---⌫|----|
g en i quie r iatrouuer plus	-⌫|||----⌫|-|------|---|
co uchiezuostostsiuosfoutra i	--⌫-----|--|---|-|--|------⌫|
uithid euset	--|---⌫--|-|
parler ne grondir	-----|-|------|
au ia m bes s aisir	-|--⌫-⌫--|-⌫----|
si l acouchié tot eenu erse	-|||-------|---⌫|---⌫---|
nelap r istpa s	-|-|-⌫-⌫--|--⌫|
alatr auerse	|-|--⌫-----|
ainz lapri s t	---|-|---⌫-⌫|
a l euerdebout	|-⌫---|-|---|
etel eliliuratres tout	-|--⌫|-|----|----⌫---|
nelileu aianbene cuisse	-|-|---⌫|----|-|-----|
maisauprestreq uel	---|-|------|-⌫|-|
onq uespuisse	---⌫--|-----|
n ele dir a maisdessemaine	-⌫|-|---⌫|---|--|------|
q ui e lton elestagra nt	-⌫-|-⌫|---⌫-|--||---⌫-|
quilenfi st	-|-|-|--⌫-|
l eue rtoi lu oler	-⌫|--⌫----⌫|-⌫---|
lipreuozprist aregarder	-|-----|----||-------|
siu it le uilainbraoillier	-|-⌫-|-|-----|---------|
aup restr e mostr asa moillier	-|-⌫-----⌫|-----⌫|-|-------|
prestre que s t ce que	------|-|-⌫-⌫|-|--|
orescout er qu e cesera	-|------⌫-|--⌫|-|---|
puet e strela prest resse	---|-⌫---|-|-----⌫----|
connoistr as la tualaf esse	---------⌫-|-|-||-|-⌫---|
et autrecesquiso nt	-|-|-----|--|--⌫-|
enlademai ne a g rantdoul or	-|-|-----⌫-||-⌫---|----⌫-|
lip restres sifus i plains	-|-⌫------|-|-|-⌫|-----|
queil nesetqu	--|-|-|--|-|
ildo ie dir e	-|--⌫-|---⌫|
duduelqu ilaetde	-|---|-|-||-|-|
m aisneuueil aloignierleconte	-⌫--|-|----|--------|-|----|
qu antdantcostan tlot	--⌫--|---|------⌫||-|
bien com br e e	---|---⌫--⌫-⌫|
hors d esa mais on l a b oute e	---|-⌫|-|----⌫-|||-⌫----⌫|
etel senua m oltcorrecie	-|-||-|-|-⌫--|-------|
galestrotertia enuoie	--------|--|-|-----|
por faire uenirlapreuost e	--|----|----|-|-------⌫|
d antcostanz d une parts	-⌫--|------||--|---||
que r equiertcestedameci	--|-⌫------|----|---|-|
auoicoutan z por die umer ci	---|------⌫|--|---⌫|---⌫-|
gesuiuen uem ai nte	-|--|---⌫-|-⌫--⌫--|
en nomdieudameceest	-|--|---|---|-|--|
queuosisoie zor fout ue	--|--||----⌫|-|----⌫-|
etcestese st	-|----||-⌫-|
mo lt irascue	--⌫-|------|
sise porof fr ia des fendre	-|-|-----⌫--⌫||---⌫-----|
etillauaitas	-|-|-|---|-|
ianbesprandre	-----|------|
por cequ el e se de sfendoit	--|-|-|--⌫|-|--⌫-------|
lailcorb ee si estroit	||-|----⌫-|-|------|
qu anipeustgiteryyde z	-|-||----|----|-|--⌫|
seliprestresfueschauf ez	-|-|-------|-|-------⌫-|
l ipreuo zfuautantou p lu s	-⌫|-----⌫|-|-----|-|-⌫--⌫|
qu antil lauit par le	--⌫--|-|-|--|--|-|
demenersiuileinement	------|-|----------|
liforesti ers	-|-------⌫--|
ristforme nt	---|-----⌫-|
etliprestres q u antil lauoit	-|-|-------|-⌫-⌫--|-|-|---|
ore nuoiuneagrantdestroi t	-|-⌫|--|--||----|-------⌫|
preuozconnoistucelela	-----|------|-|---|-|
gecuitque le t un ber aia	-|---|-|-⌫-|-⌫--⌫---⌫|-|
lip r euozpar fusi p leind ire	-|-⌫-⌫---|--|-|-|-⌫---||--|
nesetq ue i ldo ie	-|--|-⌫-|-⌫|--⌫-|
duduelquilot	-|---|-|-|-|
etdel a h onte	-|-|-⌫|-⌫---|
maisn en u u eilalo ignie rl e conte	---||-|-⌫-⌫--|---⌫-----⌫|-⌫|----|
quant dant costanl	----|---|-----||
horsdes amaison l	---|-|-⌫|-----||
et el sen uamolt correcie	-|-||-|-|---|-------|
galestrotert	--------|--|
ia enuo i e	-|----⌫-⌫|
por a mener laforestiere	--|-⌫----|-|---------|
eleui ntapoide	--|--⌫-||--|-|
et quantele refu uenue	-|----|--|---|----|
eteleref udesue stu e	-|--|---⌫|-----⌫---⌫|
estuet auoirsapaie	-----|----|-|---|
dantco stan zsalt quimoltle smaie	---|--⌫----⌫|---|--|---||-⌫----|
quimoltert danie us couine	--|---|--||----⌫-|-----|
e t plusueluz	-⌫|---|----|
c une es c lauine	|--|--⌫-⌫-----|
porce quil la uitesba hie	--|-|-|-|-|--|----⌫--|
c est ed itil	-⌫---⌫|-⌫-|-|
se ra mamie	--⌫-||---|
gelafoutraien eslep as	-|-|------|--⌫-----⌫-|
au oidant costantestce gas	--⌫-|---|------|--|-|--|
g asuosle uerroizpartens	-⌫-|--|-|------|--|---|
apoiqu elenissid u	|--|-|--||---|-⌫|
quaril liuintde	---|-|-|---|-|
qu illafis t	-|-|-|---⌫|
uoler sorl eschine	----|--||------|
sidurementcor b ee	-|-------|---⌫-⌫-|
q uelen p o ist ueo irlen tr ee	-⌫-|--|-⌫-⌫--|---⌫-||--⌫--⌫-|
de bien loigquisenpreistgarde	-|---|---|--||-|-----|----|
e sgardeforestier esgarde	-⌫-----|--------|------|
o r esgardece q uepu etest re	-⌫|------|-|-⌫-|--⌫-|---⌫-|
parles sain z dieu	--|--|----⌫|---|
ceditl e prestre	-|--|-⌫|------|
cest mireorest asse orbe	---|-----|--|---|---|
elea leculplusnoi r	--||-|--|---|---⌫|
lif orestiers fu si	-|-⌫--------|-|-|
qu il nes etque il doi edire	-|-|-|-⌫-|--|-|---⌫|---|
mais cel e faitreconfort er	---|-|-⌫|---|---------⌫-|
n epotl autregaber	-⌫|--||----|----|
quantdant costant lot biencorbee	----|---|------||-|---|-----|
etrebaisieet	-|-------|-|
aluisliensai gne lauoie	||--|-|-----⌫--|-|---|
d antco stant	-⌫--|--⌫----|
l a dameconuo ie	-⌫|---|-----⌫-|
etlafist uolerel	-|-|---|----|-|
sonpeliconetson mante l	--|------|-|--|-----⌫|
etsacoter em esten	-|-|---|-⌫--⌫--|-|
ysabeau sage	------|---|
toziorzti ntsahachee n	--|---|--⌫-|-|----|-⌫|
orescout ezde so nuilai n	-|------⌫-|-|--⌫|-----⌫|
au toneluintse ldescou r i	-|----|---|-||------⌫-⌫|
por le c u erbi euque	--|-|-⌫-⌫-|--⌫-|--|
quiaceltonele npl umé	--||--|----|-⌫---⌫---|
laougedoimet re monble	-|-|-|--|---⌫-|--|--|
p arles sain z	-⌫-|--|----⌫|
dieu gel ardreia	---|-||----|-|
lorsprant lefeu si l	---|----|-|--|-||
et cilcomencentabru l ler	-|--|--------||---⌫-⌫--|
l etonel font iusroeler	-⌫|----|---|--|-----|
tui testoient dep l umeenclos	---⌫|-------|-|-⌫-⌫--|-----|
ilni paroit	-|||-----|
uentrenedos	-----|-|--|
iambe necoste	----|-|----|
quetuitne fussentenplumé	--|---|-|------|-------|
fuientpar zz	-----|--|-|
etcoutanzprantunemacue	-|------|----|--|----|
s isenuait apresau s	-⌫||-|---|----|--⌫|
loruaitses chienshuant	--|---|--|-----|----|
ho u hougi bier ohoumansel	--⌫|--|--⌫---|---|-----|
da nquetinhamel	|-⌫------|----|
monb onpe re q u imenorri	--|-⌫-|--⌫-|-⌫-⌫|-|----|
noi m aisparlerd et eusbestes	|-|-⌫--|-----|-⌫|-⌫--|-----|
pe usseauoirlestestes	--⌫---|----|--|-----|
gespr es entassem on se i gnor	|-|--⌫--⌫------|-⌫-|--⌫-⌫---|
or ot chascundaus grantpa or	-|-|------||--|----|--⌫-|
painent de bienfouir	------|-|---|----|
etchiens co mmencent	-|-----|--⌫-------|
galosfartlec hie na	--------|-|-⌫---⌫||
les saisistasnachesmoltto s t	--|------|-|-----|---|--⌫-⌫|
quilen portapl aine sa goule	-|-|--⌫----|--⌫---|-|----|
lipres t reserten	-|----⌫-⌫--|--|-|
male fo ule	---|--⌫--|
q uaresmeraudesaleuriere	-⌫--|--------|-|-------|
l esa isistaucul	-⌫|--⌫----|-|--|
p arderrieres	-⌫-|--------|
quimolter tgrant	--|---|--⌫|----|
etmerueilleus e	-|-----------⌫|
pornoien tsit enistuenteuse	--|-----⌫|||-⌫----|-------|
quelalisses	--|-|----||
bien prise	---|----|
por tre st outlo rquisoi t	--|---⌫--⌫--||-⌫|--|---⌫|
n es enpa rtist	-⌫||-|--⌫----|
elsanzdusanc	-|---|-|---|
lip restresfulaset	-|-⌫------|-|--|-|
sisest laissiéch eoira	-||--|-------|--⌫---||
etco stanzlestalez re querre	-|--⌫----||--|---|--⌫-----|
atotsamacuego ue sch e	---|-|----|--⌫--⌫---⌫|
weilleounon	-----|-|--|
lecouuintuerser	-|------|-----|
liotle sc hiensos tez	-|-|--⌫|-⌫----|--⌫--|
enpreslesy y	-----|--|-⌫|
sestaro utez	|--|---⌫---|
lipreuozauoit	-|-----|----|
zzleu rier	-|---⌫---|
quiaconsuit leforesti e r	--|-------|-|-------⌫-⌫|
desnaich es li	--|-----⌫-|-|
traisty ybraons	-----|-⌫|-----|
atesuosplusdeyygaignons	---|--|---|-|-|-------|
qu iuerslepreuostseheri cent	--⌫|---|-|------|-|----⌫---|
for mentlemorde nt et	---⌫---|-|-----⌫-|-|
costantiest	------||--|
uenuz courant	----|------|
atot zzbasto nco r tp esant	---|-|-----⌫|--⌫-⌫|-⌫----|
nenpr eist pas zzboiss eld orge	|-|--⌫---|--|-|-----⌫-||---|
a upreuo stas auuélag orge	-⌫|-----⌫-||-⌫----|-|-⌫---|
q ue li ch ien sil	-⌫-|-|--⌫--|-||
orentnauré	----|-----|
leforestie rontadente ́	-|--------⌫|--|------⌫|
et ilcri ecoutanzaie	-|-|---⌫|------|--|
por dieule filz s a intema rie	--|---|-|---|-⌫-⌫---|--⌫--|
neme laissie z as	-|-|-------⌫|-|
c hiensm e ngier	-⌫----|-⌫-⌫----|
iamaisnetorraitoiden ier	-----|-|-----|--|---⌫--|
dantcostanzlesgaignonsli	---|------|--|-------|-|
quildeuantauoitetencoste	-|-|-----|----|-|------|
enplusd eyyleus	-|---|-⌫|-|---|
etcilsetintabien paié	-|--|-|---||---|----|
chie nslifur entostez	----⌫-|-|---⌫--|----|
ezuos l apres se	-|--|-⌫|----⌫-|
quiengroi sse	--|------⌫--|
to te lage ntdela par ro isse	--⌫-|-|--⌫-|-|-|---⌫--⌫---|
iac orentde tote sparz	|--⌫----|-|----⌫|---|
etparbussons et p aressa rz	-|--|------|-|-⌫-|----⌫-|
porc equem alato r nez furent	--|-⌫|--|-⌫-|---⌫-⌫--|-----|
po i delo r	--⌫|-|--⌫|
uois ins lesco nnurent	----⌫--|--|--⌫------|
d euantce queil senomerent	-⌫----|-|--|-|-|-------|
lormesnie lesenporter ent	--|-----|--|--------⌫--|
do lorquils osfrirent	--⌫--|-|-|-⌫--------|
mais genesais il engarirent	---|-|-|--||-|-|-------|
maisi oi direen la con tr ee	---||-|---|-|-|---⌫--⌫-|
s e s toitprouee	|-⌫-⌫---|-----|
comme pr eudefeme et ue rai e	----|--⌫---|---|-|--⌫---⌫|
qui molttos t	--|---|---⌫|
otcon té sapaie	-|---⌫--|-|---|
quipresdem oiseuorro i t	--|---|-|-⌫-|-|-----⌫-⌫|
zzbeaucon t emorroitretr air e	-|---|---⌫-⌫||-----|----⌫---⌫|
dontge mesuimoltentremis	---|-|-|--|---|-------|
laienrimme mis	|-|-|----|--|
auint trestota ligne	----|------||----|
deden zla uilede	-----⌫|-|---|-|
enla uilea u oitzzboriois	-|-|---|-⌫-⌫--|-|------|
quimol tert s ag es et corto is	--|---⌫|--|-⌫--⌫-|-|-----⌫-|
etrich eset d e gran t	-|----⌫-|-|-⌫|----⌫|
ente ntise rt ahonorfaire	----⌫---|-⌫-||----|----|
ausi aupourecom	---|-|----|--|
quinertauersn e chiche	--||--|----|-⌫|-----|
ilauoitzz uallet afill	-|----|-|-----||---|
deniermistaessill	-----|---||-----|
tan tcom ilfuensaioen ece	---⌫|--|-|-|-|-|----⌫--|
desa ualorde salargesce	-|-|----|-|-|-------|
p alloitl e n iusquanbeauuoisin	-⌫-----|-⌫-⌫|----|-|---------|
c ilauoitzz pou reu oi sin	-⌫-|----|-|---⌫-|-⌫--⌫--|
qui une filleauo itmolt	--|--|----|---⌫-|---|
e tli uallez	-⌫|-|-----|
sila proia m o lt longuem ent	-|-|----|-⌫-⌫-|-------⌫--|
celeli dist	---|-|---|
apertement	---------|
quem ielz leuenr oitreposer	--|-⌫---|-|----⌫--|------|
uoloitespouse r	-----|-------⌫|
mais seluiplaisoit qu illeust	---|-|--|-------|-|-||---|
afem e sicomil deust	|---⌫|-|--|-|----|
el en auroit au	-|-|-----|-|
c u e rgrant	-⌫-⌫-⌫|----|
e tmol tu ol entiersleuorroie	-⌫|---⌫|-⌫--⌫------|-|------|
f ait liuall ezicemep lais t	-⌫--|-|----⌫-|--|-|-⌫----⌫|
celipra mi st ata nt	-|-|---⌫--⌫-|---⌫-|
etcilreuintasamaison	-|--|-----||-|-----|
s onpere en am is	-⌫-|---|-||-⌫-|
si li as on affaire	-|-||-⌫-|------|
m a islipereslicont redit	-⌫-⌫-|-|----|-|----⌫----|
et mol tl en blasme e tmoltl en	-|---⌫||-|-----|-⌫|---||-|
beaus filzfait ilde cestec h ose	----|---|---|-|-|----|-⌫-⌫--|
te d eusses tu molt bienxxx	-|-⌫-----|-|---|---|--|
celene stpas deton affaire	---||-⌫-|--|-|--|------|
deschauci er	---------⌫-|
ge te uorraiplussozhau ci e r	-|-|-----|---|------⌫--⌫-⌫|
quequeil medo iuecouster	--|--|-|-|--⌫--|------|
t euorrai aioster	-⌫|-----|------|
as meillo rs	-|------⌫-|
genz decest pais	---|-|---|---|
