Sirebou niour	---|---⌫|---|
Dieutoutpu issant	---|---|--⌫-----|
Nousg ra untele ioyetoutdizd urant	---|-⌫--⌫---|-|---|------|-⌫----|
AuxcisireI	----|---||
estoyey ra lefeste	----|--⌫||-|----|
Ouesqu emo unchiefoué	------⌫|--⌫-|----|---|
m ounteste	-⌫--|----|
Mezchiueul xrecercilezle frountdeu a nt	--|-------⌫|---------|-|-----|---⌫-⌫-|
le colder er	-|--|---⌫-|
Lezorellezlez oillez oué leu e w eclere	--|------|--|-----|---|-|-⌫-⌫-⌫|----|
Lezpapierset lepurnelele z surcilezle	--|------|-|-|------|--⌫|-------|-|
nees le znarr ez etle tendron	---|--⌫|----⌫-|-|-|------|
L e b ouche ouélepal et amount	-⌫|-⌫----|---|-|---⌫-|-----|
Lezdentzlalang elezgyngyues lez faulx	--|----|-|----⌫|--|-------|--|----|
l eiowesetle	-⌫|----|-|-|
Lez l yures desuis	--|-⌫----|-----|
etdesutzquenclosent le zdentze n uyro ne	-|-----|-|--------|--⌫|----|-⌫-⌫----⌫-|
Le han apel	-|---⌫---|
Ou é leztemple zetle	--⌫-|--|------⌫|-|-|
Le fosselet la	-|-------|-|
gorgedeuant	----|-----|
Lagargalette la oumou n	-|---------|-|-|---⌫|
aleyn eestp assant	-----⌫|--|-⌫-----|
Enmyle testeestl e gr eue le	---|-|----|--|-⌫|--⌫--|-|
ca kenoledere re	--⌫-----|----⌫-|
laui sagedeuant	-|--⌫---|-----|
De toutleteste	-|---|-|----|
iena ycu re d e la remanantI	-||-⌫|--⌫-|-⌫|-|-------||
a yauxi lepysou	-⌫|---|-|--|-|
le pecteyne	-|-------|
Leze spaul ez	--|-⌫-----⌫-|
blasounet l eschyne	------|-||------|
uentreosdosmamels costees	-----|-|--|-----|------|
cous tees umbyletlapeel	----⌫---|----|-|-|---|
Quecou erele uy tlezcoylloun s	--|---⌫--|-|--⌫|--|--------⌫|
lecuyllachaarettout	-|---|-|----|-|---|
Enmyl yeuderermez	-|---⌫--|----|--|
ayl ezc oubt ezsurqueuxiedeclinequant	-|-⌫-|-⌫----⌫-|--|----|-|------|----|
P a rentre leco ub teet la cowe	-⌫-⌫-----|-|--⌫--⌫-|-|-|---|
demamaynIappel leun	-|-|---||-----⌫-|-|
cubyt enlonguere certein	----|-|-------|------|
Sur mezmay n s i aylezdeyes	--|--|---⌫-⌫||-|--|----|
un gles d eauxcr e ssantzetlepoyn que cl ost	--⌫---||---|--⌫-⌫-----|-|-|---|--|--⌫--|
lamayn quanti aysciéunpoignoun de	-|---|----||-|----|-|-------|-|
b leedede i nslapaum	-⌫--|----⌫-⌫-|-|---|
Dedeins l euentreiaylecoer ouqui	------|-⌫|-----||-|-|---|-|--|
iepansedemoun	-|----|-|---|
seen Dapprendreet	---||--------|-|
fa yre bi en	--⌫--|--⌫-|
Boweles entr elsfoyesplenetrenoun	------|----⌫--|--|-----|-|-----|
E stomakueyns	-⌫-----|----|
etpul moun reynset	-|---⌫---|----|-|
p u nyldeho rsfeeldede inse tuescyeIay a ux i lez	-⌫-⌫--|----⌫-|---|----⌫--|-⌫|-----||-|-⌫--⌫|--|
iambes oulassure	-----|-||-----|
Quysseuxetlezgenulesnages	-------|-|--|------|----|
et la forcheure	-|-|--------|
Lezpiésoué lezkeuylslez ur tilesle	--|----|---|--|-----|--|--⌫----|-|
plau ntee tle	----⌫--|-⌫|-|
Dountlefraunceysestco m un	----|-|--------|--|--⌫-⌫-|
Auxi si rI ayd edra ps quapparte ignenta	---|--⌫||-|-⌫|---⌫-|-|-------⌫-----||
D elynges e tdelaynessen gl es furrez et	-⌫|-----|-⌫|-|-----|---⌫--⌫-|-----|-|
doubl ezdedeinsetdehor schausez so lers	-----⌫-|------|-|-----⌫|------|--⌫---|
bote s ou hoseu xetb oteaux chausemb lez	----⌫|-|-----⌫|-|-⌫-----|--------⌫--|
esporonschemysebraysetbrael	-------|------|----|-|----|
cotepurpoint etkertel surkotmanteltabardee tclok ehopelonde	---|-------|-|-----|-----|-----|------|-⌫|----⌫|--------|
c haperounp ilionetch apelet etautre garnementoué manchezlongez	-⌫-------|-⌫----|-|--⌫-----|-|----|--------|---|------|-----|
largez etbienta ill ez	-----|-|---|--⌫---⌫-|
Etsimes tier	-|-|---⌫---|
y so i t iayunc oiffepeigne et	|--⌫-⌫||-|-|-⌫----|-----|-|
unkeuerch ief	-|-------⌫--|
desoydefyleetde	-|--|-|---|-|-|
Mesieneuuillemyeoblier	--|-|-|-----|--|-----|
nemounaguler	-|---|-----|
Etquantmaf emmeserra tenseyntee ele s er ra	-|----|-|-⌫---|-----⌫|--------|--|-⌫--⌫-|
se intee debonese inture	--⌫----|-|---|--⌫-----|
S ilnesoitdesoy ilserra dequ yre	|-|-|---|-|--|-|----|-|--⌫--|
Moun da geet mo u nc utellebien trencha n tla	---|--⌫-|-|--⌫-⌫|-⌫-----|---|-------⌫-⌫|-|
gaigne beal	-----|---|
Esp eyeetbokelerd acer	---⌫--|-|------||---|
f yno ube al forureetlemel no u el	-⌫-|-⌫|--⌫-|-----|-|----|--⌫-⌫-|
neu uil lemye tyrermoun espey ehorsde la	-|-⌫---⌫-|--|----|---|-----⌫|---|-|-|
Saunz graunteyeoucaus eresonabl e quarle m	----|-----|--|-|----⌫|--------⌫|---||-⌫|
Escripture	---------|
C ylquicoueytefererouesqueles peyepa re speye il	-⌫-|--|------|----|------||--⌫---|--⌫|-⌫----|-|
serr aferuz	----⌫|----|
Auxi beal fyz ietoy	---|---|--|-|--|
enseigne de comu ne l ang ageetd	-------|-|----⌫-|-⌫---⌫--|-||
autremanerd e parl ance	----|----|-⌫|----⌫---|
E tdezdiuers chosezbestezetde gaynerie	-⌫|--|-----|-----|-----|-|-|-------|
Issintquede	-----|--|-|
parlerdroit	-----|----|
uou snefai llerez mye	---⌫|-|---⌫-----|--|
Siuou strei ezab onecom paig nie	-|---⌫|----⌫-||-⌫--|---⌫----⌫--|
Etguerpezlez maueysetlou r foly e	-|------|--|-----|-|---⌫|----⌫|
un hommeetdunefemmenede	-|----|-||--|----|-|-|
lourenfaunt	---|------|
Il nebosoigne	-|-|-------|
paspurparler tau nt	--|--|-----|---⌫-|
Delou rfizfile ouf ilette	-|---⌫|--|---|-|-⌫-----|
Garsounpuseleou garsette	------|-----|-|-------|
ualetzlowy s	-----|----⌫|
seruantz nelourap pr entysueysynsmaistressouerri gnez seigno urss ubgitz	-------|-|---|--⌫--⌫----|------|-------|-------⌫---|------⌫--|-⌫-----|
l ouramyset	-⌫--|---|-|
bi enuoillantz	--⌫----------|
Auxidezemp ero ursroysdukescountesbaronschiualers et esquiers	---|--|---⌫---⌫--|---|----|------|-----|--------|-|-------|
l es somparler	-⌫--⌫--|-----|
Delpapeauxiet dez e rceuesq ue s	--|---|---|-|--|-⌫-------⌫--⌫|
euesqu esarchedekene sden esofficialsprestresclerkes abbeesmoi gnes etpriour s	------⌫-|-----------⌫|---⌫-|--------|-------|------|-----|---⌫---|-|------⌫|
f reresetchanonsnoneign ies eta utrezreligiousez	-⌫----|-|------|-------⌫--|-|-⌫----|----------|
D elaroigne auxietdela	-⌫|-|-----|---|-|-|-|
autrezdameze tde	-----|----|-⌫|-|
la countesse delasoer etsorceres se de l ezueil lez	-|--------|-|-|---|-|--------⌫-|-|-⌫-|----⌫--|
ueweset ui rginesde	----|-|--⌫-----|-|
lezr ibaudesoupaillardez putaignesputeuilezetuilla yns	--|-⌫------|-|---------|--------|--------|-|-----⌫--|
larounsfelouns	------|------|
ettrai to urs	-|----⌫--⌫--|
Autrefraun ceysiay	----|-----⌫---||-|
apr yspurun	---⌫-|--|-|
rate etunsory slyue r	---|-|-|----⌫|----⌫|
liureleuereetleuere r aestablesetbrichetz sceiles	----|-----|-|------⌫|--|-----|-|-------|------|
d ocer sbanke rsouquarre ux che yres aundyresfour chesd e	-⌫----⌫|-----⌫-|-|------⌫-|---⌫---|-------|----⌫---|-⌫|
lefeu basy nsew erse tchaufours pozet paillezd	-|--|----⌫-|--⌫--|-⌫|--------|--|-|------||
ares mecoupesd	----⌫-|-----||
or piec esoutasse zdargentendorrezhan aps	-|----⌫-|-|-----⌫||-----|-------|---⌫--|
defraxme s o ué	-|------⌫|-⌫--|
lezcouerclezpeyntez	--|--------|------|
Launcezdeuerre	------|-|----|
Coyn és po urcouperbas t ouns d ekeyne	----⌫--|--⌫-|-----|---⌫-⌫---|-⌫|----|
Et c oig nespurlez busshesfendre	-|-⌫---⌫--|--|--|------|-----|
Etlar gentcoi g neep r endre	-||--⌫---|---⌫-⌫--|-⌫-⌫----|
Et autrearmu re cest	-|----|----⌫-||--|
ass auerbaysneto ulombrereetla uentaille plates	|--⌫---|------|-⌫||------|-|-|--------|-----|
pesyne s e tha bergeons uambras rerebrasquisseuxet	------⌫|-⌫|--⌫-------|------|-------|-------|-|
gauntz deplatear kesse tes etcor des	-----|-|----|--⌫--|--⌫--|-|---⌫--|
p url e z arkes	-⌫-|-⌫-⌫|----|
uesselleauxidargent et	-------|---||-----|-|
dest eynec est a ssauoird euxdoszein s de z	|---⌫---||--||------|-⌫--|-------⌫|--⌫|
cuillersda rgent	-------||-⌫----|
m erchezou e ́letest ed un	-⌫-----|--⌫-⌫|-|----⌫||-|
l ibarde .iii.douszeyns	-⌫-----|----|--------|
p lateaux .iii.doszei nsesqu iles	-⌫------|----|------⌫-|----⌫---|
et .iii. doszein ssauce r	-|----|-------⌫|-----⌫|
