l auenture dun autre	|-------||-|----|
tutacheua lpartel sembla nt	--||-----⌫|--|--|------⌫-|
des cendire ntdeuantle deis	---⌫-------⌫-|-----|-|---|
lausee itarturlireis	-||---⌫-|----|-|---|
eles furentdegrantbeute	---|-----|-|----|----|
si untcurteisementparle ́	-|--|-----------|-----⌫|
reis faite scha mbresdeliurer	---|--|--⌫|---⌫----|-------|
edepaliesenc urtine r	|-|-----|---⌫------⌫|
puistdescendre	----|--------|
si ensembleoduusu eut	-|-------|-|--|-⌫--|
ostel prendre	----|------|
ill ur otria mutuole nters	-|-⌫-|----|--|----⌫----|
si appeladeuscheua lers	-|-----|---|-----⌫---|
as c hamb r es lesmenerentsus	-|-⌫----⌫-⌫-|--|-------|--|
acelefe iz ne di strentplus	|---|--⌫-|-|--⌫-----|---|
lir eis dem andea	-|-⌫--|---⌫---||
ses bar un s	--|---⌫--⌫|
le iugementelesrespuns	-|-------||--|------|
editquetantl u ntcurucié	|--|--|---||-⌫-|-------|
deceoquetantluntdelaié	-|--|--|---||--|------|
sir efunt ilnusdepa rtim es	---⌫|---|-|--|----⌫----⌫-|
purlesdam esquenusueimes	--|--|---⌫-|--|--|-----|
niauer atnulesgart	-|----⌫-|--|-----|
o rerecumence rumleplait	-⌫-|---------⌫--|-|----|
dun c ass emlere nttutpensi f	---⌫|---⌫------⌫-|--|-----⌫|
aseziot noisee estr if	---||-|----||----⌫-|
quantilierenten	----|-|-----|-|
c e l esfrei	-⌫-⌫|-----|
deuspuce lesdege nt	---|----⌫--|-|--⌫-|
uestue sdede uspaliesfrei s	------⌫|-|--⌫-|-----|----⌫|
cheuauchent deusmulsespa nneis	----------|---|---|----⌫----|
u irent uenir lar ueaua l	-⌫----|----|-|-⌫-|---⌫|
gran t i oieeneurent	----⌫|-⌫--|-|-----|
dientqueoreestgariz	----|--|--|--|----|
l a nual lipruzeli hardiz	-⌫-⌫---|-|---||-|-----|
yweinsi esta lui a lez	-----||--||--|-⌫--|
ses cunpainunsiadmenez	--|---------||-|----|
sire fet il rehaitiez uus	---|--|-|--------|--|
puramurdeu parlez	--|---|--|-----|
iciuienentdeusdameise les	--|------|---|-------⌫--|
muta cemees emutb eles	--|-⌫-----||--|-⌫---|
ce oes tuos treamieue reiment	--⌫|--⌫|---⌫--|---|--⌫------|
lanualrespunt	-----|------|
h as ti uement	-⌫--⌫--⌫-----|
editquilpas	|--|-|-|--|
ne iln es c unutnene s	-|-|-⌫||-⌫---|-|-||
atant furent celesuenues	----|-----|----|-----|
deuantle r ei	-----|-|-⌫-|
suntdescendues	---|---------|
m utles loere nt liplusur	-⌫-|--|-----⌫-|-|-----|
decor sde uise decolur	-|---⌫|-|--||-|----|
niad cele meuzne uau sis t	||-|---|---|-|---⌫---⌫|
queunkeslareine ne f ist	--|----|-|----|-|-⌫--|
fucurteiseesage	-|-------||---|
auenantmentd istsunm essage	----------|-⌫--|--|-⌫-----|
re iskarn usfai chambre sbai llier	--⌫-|--|-⌫-|--|-------⌫|---⌫----|
aoes ma d a meh er bergier	|--|-|-⌫-⌫-|-⌫--⌫------|
eleuientic iatei	--|----|--⌫||--|
illescumande amener	-|--|------||----|
od lesautres que ainc e is	-|--|-----|--|----⌫-⌫-|
ui endr ent	--⌫----⌫--|
u uesdes mulsnul	|--|--|---|--|
plaine tindrent	---|-|-------|
fudelesdeliu erez	-||---|-----⌫---|
pui s adtuzses	---⌫|-|--|--|
baru ns mandez	----⌫-|-----|
queleiugementseit	--|-|-------|---|
tropad leiure sté	---|-|-|--|-⌫---|
l areine s encuruceit	-⌫|----||-|-------|
q uesilun geslesatendeit	-⌫-|-|---⌫--|--|-------|
ia de p artissent a	-|--⌫-⌫--------||
quantparla uile uient errant	----|--|-|---|----|-----|
t uta c heual unepucel e	-⌫-||-⌫----|--|-----⌫|
le seclen ot plusbel e	-|----||-|---|---⌫|
u nbla ncpale frei cheua chot	-⌫|---⌫-|----⌫---|-----⌫---|
quebeles uefla portot	--|--||-⌫--|-|-----|
mutot bien fete	--|-|---|--||
c ol eteste	-⌫-||----|
ne notpl us be lebeste	|-⌫|-|--⌫-|--⌫-|----|
ri c heaturotal	--⌫-⌫-|---|-|-|
suzcielne nadquens	--|---||-⌫|-|----|
k itutpusteslegi er	-⌫|--|---|------⌫-|
s anztere uend re ueng agier	-⌫--|---|----⌫-||---⌫----|
ertuestueeni telguis e	--|-----|-|-⌫--|----⌫|
d echai nsilb lancede chemise	-⌫|----⌫---|-⌫---||-|------|
le s cost ez li pareient	--⌫|----⌫-|-|-------|
quededeuzp a rz laciezesteient	--|-|---|-⌫-⌫-|-----|-------|
gent ba sselahanche	---|--⌫--|-|-----|
le colplus b l anc queneif	-|--|---|-⌫-⌫--|--|---|
s ur br anche	-⌫-|--⌫----|
leso ilzotuairseblanc	--|-⌫--|-|----||----|
belebucheneisbienasis	---|----|---|---|---|
lessurc ilzbruns ebel lefrunt	--|----⌫--|----||--|-|----|
aukesblunt	----|----|
fildorn e gettetelluur	--||-|-⌫|----|--|---|
cums unche ual cuntre le iur	--|-⌫-|---⌫--|-----|-|--|
sis mante us	--|-----⌫-|
fu de purp rebis	-|-|----⌫-|--|
lespan sen	--|---⌫|-|
oten tur lim is	-|--⌫--|-|-⌫-|
unespe ruier su rsunp ointien t	-|----⌫----|--⌫|--|-⌫--|----⌫|
eunleuerer apre sluiuient	|-|------|----⌫|--|----|
otalburc peti tnegrant	-|-|---|----⌫|-|----|
n e li ueillardne li e nfant	-⌫|-|-------|-|-|-⌫----|
que ne lalassent e sgarder	--|-||-------|-⌫------|
sicumillaueenterre r	-|--|-|-|----|----⌫|
de s a b ea utenie rt	-|-⌫|-⌫--⌫--|-|-⌫-|
eleuene it mein sque lepas	--|----⌫-|----⌫|--|-|--|
l iiugeurquela	-⌫|-----|--|-|
a mer ueilleletenei ent	|---⌫-----|-|-----⌫--|
sul kilesgar da st	--|-||-----⌫--⌫-|
dedreitei o ie nese schaufast	-|-----|-⌫-⌫-|-||-⌫--------|
ci lki lecheualeramoent	--⌫|-|-|-------|-----|
alu iuen e ientsili cuntouent	|--⌫|---⌫-⌫---|-|-|--------|
delap ucelekiueneit	-|-|-⌫----|-|-----|
sideu plest qu eledeliuereit	-|--|----|--⌫|-|---------|
sirecump ain cienui entune	---|----⌫--|-|-|--⌫--|--|
mesel en est	--|--⌫||--|
pasf auenebru n e	--|-⌫--|-|---⌫-⌫|
ceoestlaplus be le del mund	--|--|-|---|--⌫-|--|---|
detut esceles keisunt	-|---⌫-|----|-||---|
lanual lo i	-----||-⌫|
sunchi efdresca	--|---⌫-|-----|
bien lac unuts isuspira	---|-|-⌫---|-⌫|------|
l isanc li estmuntéaluis	-⌫|---|-|--|-----|-|--|
deparler fuaukes hastifs	-|-----|-|----|------|
pa r feifeti l ceoestm	--⌫|--|--|-⌫|--|--||
ore men estgueres	--||-|--|-----|
sielen ad mercidemei	-|--||-|----|-|--|
sui quant ieol auei	--|----|--|-⌫|--|
ladameentraalp alais	-|---|----|-|-⌫----|
beleni ui entmais	---|||--⌫--|---|
de u ant ler ei estde s cendu e	--⌫-⌫--|-|-⌫-|--|--⌫-⌫-----⌫|
siq uede tuziert	-|-⌫-|-|--||--|
bien uenu e	---|----⌫|
sun mantel ad laissié cheir	--|-----|-|-------|----|
que meuz l a	--|---|-⌫|
puissen tueer	-------⌫|---|
li reisquemut fuenseigniez	-|---|--|--|-|---------|
en cuntr e lui d resciez	--⌫-----⌫|--|-⌫------|
au t re l enurerent	--⌫-⌫-||--------|
deli seruirse	-|-|-----|-|
presenterent	-----------|
q uantil lorentbienesgardee	-⌫---|-||----|---|-------|
esabe auteformentloee	|-|--⌫---|------|---|
eleparlaen	--|----|-|
teu mesure	--|-----|
k ar dedem urern en	-⌫-|-|---⌫---||-|
reisieoaiaméun tuenuassal	---|--|-|---|-|---|-----|
ueezleic iceoestlanual	---|-|--⌫|--|--|-----|
acheisunéfu enta curt	---------|-|-|-|---|
n e uuilmieque amal li	-⌫|---|--|--||--|-|
deceo quildist ceo	-|--|-|-|---|--|
quela reineadtort	--|-|----|-|---|
uantanceke	-------|-|
siparm e peotestreaquitez	-|--|-⌫|---|----|------|
paruoz barunsseit deliuerez	--|--|-----|---|--------|
ceoqu i li uge rent	--|-|-⌫|-⌫---⌫---|
lirei so t riekiissi seit	-|---⌫|-⌫-⌫--|-|---|---|
n iad un sul	||-|-|--|
aitiugie ́	--|-----⌫|
desrainié	---------|
de li ue rez est	--⌫--⌫--⌫--|--|
parlu r esgart	--|--⌫|-----|
e l apucel esendepart	|-⌫|-----⌫||-|-----|
nela peotli	-|-|---|-|
reisretenir	---|------|
asez ge ntot ali seru ir	---|--⌫-|-||-|----⌫-|
forsdelas a leaueientmis	---|-|-|-⌫-⌫-|------|--|
ungrant perrund emarbr ebis	-|----|-----|-⌫|-----⌫|--|
u pesanth umm em untoent	|-----|-⌫---⌫|-⌫------|
quedela curtle rei ueno ent	--|-|-|---|-|--|----⌫--|
lanualesteitmuntédesus	-----|-----|-----|----|
quantlapu c eleistfor sa lus	----|-|--⌫-⌫--|--|---⌫|||-|
palefreidetriers li	-------|-------|-|
deplai ne slaislanualsa illi	-|----⌫|-⌫----|-----|--⌫---|
odli sen ua iten	-|-||-|--⌫-|-|
ceonu srecunten t lib re tun	--|--⌫|--------⌫|-|-⌫--⌫--|
e nun islequ emut estbeau s	-⌫|-|---|--⌫|--|--|----⌫|
lafur auil idameiseaus	-|-|-⌫--|-⌫|---------|
nulhumme n enoiplus p a rler	--|----||-|-|---|-⌫-⌫---|
neieonensaiauantcunt er	-|--||-|--|----|----⌫-|
